#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Prdm1/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.dn.bed
NR2042--MA0508.2.PRDM1	chr6	124911743	124911752	-	0.000	0.000	Merged-chr6-124911783-36
NR1854--MA0508.2.PRDM1	chr5	96825041	96825050	+	0.000	0.000	Merged-chr5-96825060-50
NR2294--MA0508.2.PRDM1	chr8	81609216	81609225	+	0.000	0.000	Merged-chr8-81609244-13
NR358--MA0508.2.PRDM1	chr11	20477808	20477817	+	0.000	0.000	Merged-chr11-20477652-51
NR2469--MA0508.2.PRDM1	chrX	23697449	23697458	-	0.000	0.000	Merged-chrX-23697547-21
NR2326--MA0508.2.PRDM1	chr8	119437062	119437071	-	0.000	0.000	Merged-chr8-119437136-21
NR2435--MA0508.2.PRDM1	chr9	94670319	94670328	-	0.000	0.000	Merged-chr9-94670459-1
NR1310--MA0508.2.PRDM1	chr2	102886819	102886828	+	0.000	0.000	Merged-chr2-102886878-67
NR1833--MA0508.2.PRDM1	chr5	90257423	90257432	-	0.000	0.000	Merged-chr5-90257254-26
NR2448--MA0508.2.PRDM1	chr9	114632418	114632427	+	0.000	0.000	Merged-chr9-114632456-28
NR2305--MA0508.2.PRDM1	chr8	94434389	94434398	+	0.000	0.000	Merged-chr8-94434227-54
NR207--MA0508.2.PRDM1	chr1	193273460	193273469	+	0.000	0.000	Merged-chr1-193273386-37
NR1270--MA0508.2.PRDM1	chr2	68364638	68364647	+	0.000	0.000	Merged-chr2-68364639-40
NR1921--MA0508.2.PRDM1	chr6	29278874	29278883	+	0.000	0.000	Merged-chr6-29279043-26
NR2156--MA0508.2.PRDM1	chr7	101341586	101341595	+	0.000	0.000	Merged-chr7-101341598-26
NR1031--MA0508.2.PRDM1	chr17	48316139	48316148	+	0.000	0.000	Merged-chr17-48316195-8
NR1968--MA0508.2.PRDM1	chr6	67266807	67266816	+	0.000	0.000	Merged-chr6-67267043-98
NR438--MA0508.2.PRDM1	chr11	109375608	109375617	+	0.000	0.000	Merged-chr11-109375589-56
NR2406--MA0508.2.PRDM1	chr9	71189011	71189020	+	0.000	0.000	Merged-chr9-71189020-54
NR1010--MA0508.2.PRDM1	chr17	28407662	28407671	+	0.000	0.000	Merged-chr17-28407635-51
NR42--MA0508.2.PRDM1	chr1	54279815	54279824	-	0.000	0.000	Merged-chr1-54279813-25
NR1785--MA0508.2.PRDM1	chr5	36538824	36538833	+	0.000	0.000	Merged-chr5-36538864-43
NR1894--MA0508.2.PRDM1	chr5	140215979	140215988	-	0.000	0.000	Merged-chr5-140215756-33
NR1798--MA0508.2.PRDM1	chr5	44180998	44181007	+	0.000	0.000	Merged-chr5-44180865-15
NR1655--MA0508.2.PRDM1	chr4	63486631	63486640	-	0.000	0.000	Merged-chr4-63486767-20
NR1512--MA0508.2.PRDM1	chr3	116711247	116711256	-	0.000	0.000	Merged-chr3-116711212-6
NR159--MA0508.2.PRDM1	chr1	171033702	171033711	-	0.000	0.000	Merged-chr1-171033722-93
NR1493--MA0508.2.PRDM1	chr3	99233965	99233974	-	0.000	0.000	Merged-chr3-99234214-90
NR1621--MA0508.2.PRDM1	chr4	41064283	41064292	+	0.000	0.000	Merged-chr4-41064306-11
NR268--MA0508.2.PRDM1	chr10	70156679	70156688	-	0.000	0.000	Merged-chr10-70156646-22
NR1668--MA0508.2.PRDM1	chr4	86725257	86725266	+	0.000	0.000	Merged-chr4-86725378-12
NR1730--MA0508.2.PRDM1	chr4	138282969	138282978	-	0.000	0.000	Merged-chr4-138283015-36
NR1982--MA0508.2.PRDM1	chr6	83718295	83718304	+	0.000	0.000	Merged-chr6-83718285-22
NR2488--MA0508.2.PRDM1	chrX	98259641	98259650	-	0.000	0.000	Merged-chrX-98259743-49
NR1092--MA0508.2.PRDM1	chr18	32441177	32441186	+	0.000	0.000	Merged-chr18-32441368-26
NR1363--MA0508.2.PRDM1	chr2	145905309	145905318	+	0.000	0.000	Merged-chr2-145905286-60
NR1905--MA0508.2.PRDM1	chr5	149427532	149427541	-	0.000	0.000	Merged-chr5-149427432-30
NR1376--MA0508.2.PRDM1	chr2	150869559	150869568	+	0.000	0.000	Merged-chr2-150869596-45
NR13--MA0508.2.PRDM1	chr1	20825268	20825277	-	0.000	0.000	Merged-chr1-20825313-33
NR1071--MA0508.2.PRDM1	chr17	88042613	88042622	+	0.000	0.000	Merged-chr17-88042729-54
NR1103--MA0508.2.PRDM1	chr18	54482791	54482800	-	0.000	0.000	Merged-chr18-54482664-28
NR1878--MA0508.2.PRDM1	chr5	120579374	120579383	+	0.000	0.000	Merged-chr5-120579534-1
NR1050--MA0508.2.PRDM1	chr17	70707280	70707289	+	0.000	0.000	Merged-chr17-70707362-50
NR1116--MA0508.2.PRDM1	chr18	65015988	65015997	-	0.000	0.000	Merged-chr18-65016159-16
NR954--MA0508.2.PRDM1	chr16	52147413	52147422	+	0.000	0.000	Merged-chr16-52147489-52
NR1573--MA0508.2.PRDM1	chr3	148844485	148844494	-	0.000	0.000	Merged-chr3-148844306-23
NR2079--MA0508.2.PRDM1	chr6	145993207	145993216	-	0.000	0.000	Merged-chr6-145993129-56
NR1172--MA0508.2.PRDM1	chr19	18766571	18766580	+	0.000	0.000	Merged-chr19-18766611-24
NR1714--MA0508.2.PRDM1	chr4	128728620	128728629	+	0.000	0.000	Merged-chr4-128728655-13
NR2058--MA0508.2.PRDM1	chr6	137541344	137541353	-	0.000	0.000	Merged-chr6-137541549-52
NR1599--MA0508.2.PRDM1	chr4	7961867	7961876	-	0.000	0.000	Merged-chr4-7961828-25
NR771--MA0508.2.PRDM1	chr14	59341474	59341483	-	0.000	0.000	Merged-chr14-59341391-54
NR1185--MA0508.2.PRDM1	chr19	32999028	32999037	+	0.000	0.000	Merged-chr19-32999080-29
NR1042--MA0508.2.PRDM1	chr17	63459979	63459988	-	0.000	0.000	Merged-chr17-63460148-16
NR1313--MA0508.2.PRDM1	chr2	106003263	106003272	+	0.000	0.000	Merged-chr2-106003306-49
NR1979--MA0508.2.PRDM1	chr6	82921955	82921964	-	0.000	0.000	Merged-chr6-82922037-57
NR1294--MA0508.2.PRDM1	chr2	91078435	91078444	+	0.000	0.000	Merged-chr2-91078502-21
NR532--MA0508.2.PRDM1	chr12	99946277	99946286	-	0.000	0.000	Merged-chr12-99946342-2
NR1422--MA0508.2.PRDM1	chr3	28405494	28405503	-	0.000	0.000	Merged-chr3-28405628-27
NR1217--MA0508.2.PRDM1	chr2	10101440	10101449	-	0.000	0.000	Merged-chr2-10101354-20
NR1260--MA0508.2.PRDM1	chr2	59364704	59364713	-	0.000	0.000	Merged-chr2-59364601-33
NR893--MA0508.2.PRDM1	chr15	95850110	95850119	+	0.000	0.000	Merged-chr15-95850129-22
NR1578--MA0508.2.PRDM1	chr3	152127485	152127494	-	0.000	0.000	Merged-chr3-152127515-20
NR1164--MA0508.2.PRDM1	chr19	12475626	12475635	+	0.000	0.000	Merged-chr19-12475721-44
NR402--MA0508.2.PRDM1	chr11	80498186	80498195	-	0.000	0.000	Merged-chr11-80498094-2
NR1021--MA0508.2.PRDM1	chr17	34103002	34103011	+	0.000	0.000	Merged-chr17-34102981-20
NR53--MA0508.2.PRDM1	chr1	66279478	66279487	+	0.000	0.000	Merged-chr1-66279555-43
NR1273--MA0508.2.PRDM1	chr2	69043581	69043590	-	0.000	0.000	Merged-chr2-69043604-35
NR1544--MA0508.2.PRDM1	chr3	136106737	136106746	-	0.000	0.000	Merged-chr3-136106732-41
NR1815--MA0508.2.PRDM1	chr5	62939302	62939311	-	0.000	0.000	Merged-chr5-62939189-18
NR1382--MA0508.2.PRDM1	chr2	158380072	158380081	+	0.000	0.000	Merged-chr2-158379910-26
NR2460--MA0508.2.PRDM1	chr9	122398941	122398950	-	0.000	0.000	Merged-chr9-122399009-31
NR1414--MA0508.2.PRDM1	chr3	18243924	18243933	-	0.000	0.000	Merged-chr3-18243680-52
NR110--MA0508.2.PRDM1	chr1	133711411	133711420	+	0.000	0.000	Merged-chr1-133711440-47
NR471--MA0508.2.PRDM1	chr12	32006713	32006722	+	0.000	0.000	Merged-chr12-32006631-21
NR994--MA0508.2.PRDM1	chr17	8195750	8195759	+	0.000	0.000	Merged-chr17-8195901-46
NR1013--MA0508.2.PRDM1	chr17	29552540	29552549	+	0.000	0.000	Merged-chr17-29552502-38
NR580--MA0508.2.PRDM1	chr13	3611094	3611103	-	0.000	0.000	Merged-chr13-3611189-5
NR917--MA0508.2.PRDM1	chr16	18443709	18443718	+	0.000	0.000	Merged-chr16-18443657-29
NR1265--MA0508.2.PRDM1	chr2	62408912	62408921	+	0.000	0.000	Merged-chr2-62408986-36
NR1807--MA0508.2.PRDM1	chr5	53213783	53213792	+	0.000	0.000	Merged-chr5-53213963-3
NR1122--MA0508.2.PRDM1	chr18	66478050	66478059	-	0.000	0.000	Merged-chr18-66478119-35
NR960--MA0508.2.PRDM1	chr16	55551064	55551073	-	0.000	0.000	Merged-chr16-55551053-37
NR593--MA0508.2.PRDM1	chr13	16021028	16021037	-	0.000	0.000	Merged-chr13-16020821-23
NR864--MA0508.2.PRDM1	chr15	66476170	66476179	+	0.000	0.000	Merged-chr15-66476281-69
NR1929--MA0508.2.PRDM1	chr6	38789506	38789515	+	0.000	0.000	Merged-chr6-38789563-52
NR625--MA0508.2.PRDM1	chr13	48978067	48978076	+	0.000	0.000	Merged-chr13-48978131-34
NR877--MA0508.2.PRDM1	chr15	80948576	80948585	-	0.000	0.000	Merged-chr15-80948556-72
NR1101--MA0508.2.PRDM1	chr18	52410246	52410255	-	0.000	0.000	Merged-chr18-52410134-29
NR192--MA0508.2.PRDM1	chr1	185363618	185363627	+	0.000	0.000	Merged-chr1-185363652-3
NR734--MA0508.2.PRDM1	chr14	19979595	19979604	-	0.000	0.000	Merged-chr14-19979538-4
NR2431--MA0508.2.PRDM1	chr9	91365295	91365304	+	0.000	0.000	Merged-chr9-91365340-1
NR1475--MA0508.2.PRDM1	chr3	89730749	89730758	-	0.000	0.000	Merged-chr3-89730861-61
NR2301--MA0508.2.PRDM1	chr8	88362331	88362340	+	0.000	0.000	Merged-chr8-88362163-113
NR1127--MA0508.2.PRDM1	chr18	69068570	69068579	+	0.000	0.000	Merged-chr18-69068591-21
NR280--MA0508.2.PRDM1	chr10	81249703	81249712	-	0.000	0.000	Merged-chr10-81249714-12
NR822--MA0508.2.PRDM1	chr14	118109989	118109998	+	0.000	0.000	Merged-chr14-118109992-14
NR2391--MA0508.2.PRDM1	chr9	61745155	61745164	+	0.000	0.000	Merged-chr9-61745239-9
NR203--MA0508.2.PRDM1	chr1	191599403	191599412	+	0.000	0.000	Merged-chr1-191599385-45
NR869--MA0508.2.PRDM1	chr15	75850936	75850945	+	0.000	0.000	Merged-chr15-75851032-8
NR1488--MA0508.2.PRDM1	chr3	97076594	97076603	+	0.000	0.000	Merged-chr3-97076384-70
NR931--MA0508.2.PRDM1	chr16	31234186	31234195	+	0.000	0.000	Merged-chr16-31234137-43
NR2423--MA0508.2.PRDM1	chr9	84970182	84970191	-	0.000	0.000	Merged-chr9-84970224-28
NR29--MA0508.2.PRDM1	chr1	38987572	38987581	+	0.000	0.000	Merged-chr1-38987666-67
NR835--MA0508.2.PRDM1	chr15	12856971	12856980	-	0.000	0.000	Merged-chr15-12856981-25
NR1183--MA0508.2.PRDM1	chr19	32292730	32292739	+	0.000	0.000	Merged-chr19-32292783-63
NR421--MA0508.2.PRDM1	chr11	96996675	96996684	-	0.000	0.000	Merged-chr11-96996617-51
NR2261--MA0508.2.PRDM1	chr8	36030434	36030443	+	0.000	0.000	Merged-chr8-36030382-8
NR1087--MA0508.2.PRDM1	chr18	23773231	23773240	-	0.000	0.000	Merged-chr18-23773308-23
NR2370--MA0508.2.PRDM1	chr9	37616940	37616949	-	0.000	0.000	Merged-chr9-37616969-11
NR163--MA0508.2.PRDM1	chr1	173420451	173420460	+	0.000	0.000	Merged-chr1-173420566-40
NR434--MA0508.2.PRDM1	chr11	105364512	105364521	+	0.000	0.000	Merged-chr11-105364636-18
NR272--MA0508.2.PRDM1	chr10	76802277	76802286	-	0.000	0.000	Merged-chr10-76802342-40
NR609--MA0508.2.PRDM1	chr13	23761507	23761516	-	0.000	0.000	Merged-chr13-23761314-21
NR795--MA0508.2.PRDM1	chr14	79331947	79331956	-	0.000	0.000	Merged-chr14-79332097-1
NR652--MA0508.2.PRDM1	chr13	75839921	75839930	+	0.000	0.000	Merged-chr13-75840041-65
NR2492--MA0508.2.PRDM1	chrX	101429573	101429582	+	0.000	0.000	Merged-chrX-101429503-77
NR2001--MA0508.2.PRDM1	chr6	98105516	98105525	-	0.000	0.000	Merged-chr6-98105536-59
NR142--MA0508.2.PRDM1	chr1	161480175	161480184	+	0.000	0.000	Merged-chr1-161480099-19
NR1079--MA0508.2.PRDM1	chr18	10869601	10869610	-	0.000	0.000	Merged-chr18-10869637-25
NR5--MA0508.2.PRDM1	chr1	13659713	13659722	+	0.000	0.000	Merged-chr1-13659781-1
NR251--MA0508.2.PRDM1	chr10	56486743	56486752	-	0.000	0.000	Merged-chr10-56486689-18
NR317--MA0508.2.PRDM1	chr10	111422752	111422761	-	0.000	0.000	Merged-chr10-111422684-38
NR1207--MA0508.2.PRDM1	chr19	58096025	58096034	+	0.000	0.000	Merged-chr19-58095870-50
NR2091--MA0508.2.PRDM1	chr7	19004028	19004037	+	0.000	0.000	Merged-chr7-19004188-46
NR360--MA0508.2.PRDM1	chr11	22814205	22814214	-	0.000	0.000	Merged-chr11-22814136-127
NR631--MA0508.2.PRDM1	chr13	58067866	58067875	+	0.000	0.000	Merged-chr13-58067754-68
NR426--MA0508.2.PRDM1	chr11	98294568	98294577	-	0.000	0.000	Merged-chr11-98294653-16
NR2484--MA0508.2.PRDM1	chrX	77522749	77522758	+	0.000	0.000	Merged-chrX-77522857-17
NR501--MA0508.2.PRDM1	chr12	75531651	75531660	-	0.000	0.000	Merged-chr12-75531793-15
NR1901--MA0508.2.PRDM1	chr5	148419286	148419295	+	0.000	0.000	Merged-chr5-148419241-23
NR482--MA0508.2.PRDM1	chr12	52615861	52615870	-	0.000	0.000	Merged-chr12-52615986-19
NR548--MA0508.2.PRDM1	chr12	110389527	110389536	+	0.000	0.000	Merged-chr12-110389691-32
NR405--MA0508.2.PRDM1	chr11	83942126	83942135	-	0.000	0.000	Merged-chr11-83942163-42
NR928--MA0508.2.PRDM1	chr16	26581729	26581738	-	0.000	0.000	Merged-chr16-26581670-77
NR2102--MA0508.2.PRDM1	chr7	39642546	39642555	+	0.000	0.000	Merged-chr7-39642605-22
NR623--MA0508.2.PRDM1	chr13	46364727	46364736	-	0.000	0.000	Merged-chr13-46364676-21
NR190--MA0508.2.PRDM1	chr1	184060590	184060599	-	0.000	0.000	Merged-chr1-184060676-8
NR461--MA0508.2.PRDM1	chr12	16532201	16532210	+	0.000	0.000	Merged-chr12-16532110-1
NR1861--MA0508.2.PRDM1	chr5	103437887	103437896	-	0.000	0.000	Merged-chr5-103437917-3
NR2367--MA0508.2.PRDM1	chr9	36802493	36802502	-	0.000	0.000	Merged-chr9-36802612-8
NR745--MA0508.2.PRDM1	chr14	32201971	32201980	-	0.000	0.000	Merged-chr14-32201951-64
NR1731--MA0508.2.PRDM1	chr4	138943815	138943824	-	0.000	0.000	Merged-chr4-138943897-43
NR2237--MA0508.2.PRDM1	chr8	8334599	8334608	-	0.000	0.000	Merged-chr8-8334812-71
NR583--MA0508.2.PRDM1	chr13	5864714	5864723	+	0.000	0.000	Merged-chr13-5864867-1
NR1983--MA0508.2.PRDM1	chr6	84798867	84798876	+	0.000	0.000	Merged-chr6-84798882-8
NR2075--MA0508.2.PRDM1	chr6	145276475	145276484	+	0.000	0.000	Merged-chr6-145276388-70
NR2346--MA0508.2.PRDM1	chr9	7473079	7473088	+	0.000	0.000	Merged-chr9-7473003-16
NR139--MA0508.2.PRDM1	chr1	160006268	160006277	+	0.000	0.000	Merged-chr1-160006258-20
NR453--MA0508.2.PRDM1	chr12	8344997	8345006	-	0.000	0.000	Merged-chr12-8345102-29
NR2293--MA0508.2.PRDM1	chr8	81558831	81558840	-	0.000	0.000	Merged-chr8-81558760-48
NR105--MA0508.2.PRDM1	chr1	128399218	128399227	-	0.000	0.000	Merged-chr1-128399248-36
NR357--MA0508.2.PRDM1	chr11	20064304	20064313	-	0.000	0.000	Merged-chr11-20064139-6
NR628--MA0508.2.PRDM1	chr13	52721659	52721668	+	0.000	0.000	Merged-chr13-52721741-44
NR214--MA0508.2.PRDM1	chr10	4357669	4357678	-	0.000	0.000	Merged-chr10-4357640-28
NR1008--MA0508.2.PRDM1	chr17	26551277	26551286	+	0.000	0.000	Merged-chr17-26551311-33
NR846--MA0508.2.PRDM1	chr15	30662237	30662246	-	0.000	0.000	Merged-chr15-30662184-17
NR1561--MA0508.2.PRDM1	chr3	142183742	142183751	+	0.000	0.000	Merged-chr3-142183834-1
NR336--MA0508.2.PRDM1	chr10	122194304	122194313	-	0.000	0.000	Merged-chr10-122194311-33
NR1670--MA0508.2.PRDM1	chr4	87669637	87669646	-	0.000	0.000	Merged-chr4-87669731-33
NR1941--MA0508.2.PRDM1	chr6	53704599	53704608	+	0.000	0.000	Merged-chr6-53704558-10
NR2176--MA0508.2.PRDM1	chr7	112180324	112180333	+	0.000	0.000	Merged-chr7-112180328-30
NR2447--MA0508.2.PRDM1	chr9	114592575	114592584	+	0.000	0.000	Merged-chr9-114592565-4
NR174--MA0508.2.PRDM1	chr1	176996870	176996879	+	0.000	0.000	Merged-chr1-176997002-19
NR445--MA0508.2.PRDM1	chr11	120631338	120631347	-	0.000	0.000	Merged-chr11-120631318-28
NR968--MA0508.2.PRDM1	chr16	70408304	70408313	+	0.000	0.000	Merged-chr16-70408152-21
NR2208--MA0508.2.PRDM1	chr7	132337117	132337126	+	0.000	0.000	Merged-chr7-132337014-20
NR2394--MA0508.2.PRDM1	chr9	63173986	63173995	-	0.000	0.000	Merged-chr9-63174130-6
NR729--MA0508.2.PRDM1	chr14	12307864	12307873	-	0.000	0.000	Merged-chr14-12307905-40
NR1920--MA0508.2.PRDM1	chr6	24516169	24516178	+	0.000	0.000	Merged-chr6-24516367-18
NR296--MA0508.2.PRDM1	chr10	93195069	93195078	+	0.000	0.000	Merged-chr10-93194947-1
NR2121--MA0508.2.PRDM1	chr7	64309596	64309605	-	0.000	0.000	Merged-chr7-64309656-8
NR2439--MA0508.2.PRDM1	chr9	101099660	101099669	+	0.000	0.000	Merged-chr9-101099532-8
NR2025--MA0508.2.PRDM1	chr6	114397975	114397984	+	0.000	0.000	Merged-chr6-114397925-17
NR2405--MA0508.2.PRDM1	chr9	69467470	69467479	-	0.000	0.000	Merged-chr9-69467550-22
NR1880--MA0508.2.PRDM1	chr5	123344705	123344714	-	0.000	0.000	Merged-chr5-123344591-87
NR2386--MA0508.2.PRDM1	chr9	57990971	57990980	+	0.000	0.000	Merged-chr9-57990805-40
NR1261--MA0508.2.PRDM1	chr2	59617060	59617069	+	0.000	0.000	Merged-chr2-59617159-6
NR2243--MA0508.2.PRDM1	chr8	18954089	18954098	+	0.000	0.000	Merged-chr8-18954142-48
NR2081--MA0508.2.PRDM1	chr6	146530553	146530562	+	0.000	0.000	Merged-chr6-146530581-26
NR2418--MA0508.2.PRDM1	chr9	80026192	80026201	-	0.000	0.000	Merged-chr9-80026146-29
NR2004--MA0508.2.PRDM1	chr6	99521625	99521634	-	0.000	0.000	Merged-chr6-99521786-49
NR1131--MA0508.2.PRDM1	chr18	75304862	75304871	-	0.000	0.000	Merged-chr18-75304696-39
NR1925--MA0508.2.PRDM1	chr6	33249105	33249114	+	0.000	0.000	Merged-chr6-33249191-56
NR2365--MA0508.2.PRDM1	chr9	35007139	35007148	+	0.000	0.000	Merged-chr9-35007274-11
NR20--MA0508.2.PRDM1	chr1	23882946	23882955	+	0.000	0.000	Merged-chr1-23882900-25
NR1492--MA0508.2.PRDM1	chr3	98086092	98086101	-	0.000	0.000	Merged-chr3-98085981-10
NR1646--MA0508.2.PRDM1	chr4	59278647	59278656	-	0.000	0.000	Merged-chr4-59278599-46
NR1917--MA0508.2.PRDM1	chr6	22330459	22330468	-	0.000	0.000	Merged-chr6-22330722-48
NR2357--MA0508.2.PRDM1	chr9	21978126	21978135	+	0.000	0.000	Merged-chr9-21978174-8
NR2118--MA0508.2.PRDM1	chr7	58750043	58750052	-	0.000	0.000	Merged-chr7-58750204-53
NR259--MA0508.2.PRDM1	chr10	62187122	62187131	+	0.000	0.000	Merged-chr10-62187045-24
NR368--MA0508.2.PRDM1	chr11	34093255	34093264	+	0.000	0.000	Merged-chr11-34093385-10
NR1973--MA0508.2.PRDM1	chr6	70103465	70103474	-	0.000	0.000	Merged-chr6-70103466-27
NR940--MA0508.2.PRDM1	chr16	36598500	36598509	+	0.000	0.000	Merged-chr16-36598490-46
NR1830--MA0508.2.PRDM1	chr5	88727956	88727965	+	0.000	0.000	Merged-chr5-88727833-39
NR1734--MA0508.2.PRDM1	chr4	139598954	139598963	+	0.000	0.000	Merged-chr4-139599159-54
NR2206--MA0508.2.PRDM1	chr7	130773359	130773368	+	0.000	0.000	Merged-chr7-130773473-37
NR1999--MA0508.2.PRDM1	chr6	97235377	97235386	-	0.000	0.000	Merged-chr6-97235343-20
NR2296--MA0508.2.PRDM1	chr8	84601590	84601599	-	0.000	0.000	Merged-chr8-84601669-24
NR1442--MA0508.2.PRDM1	chr3	59120161	59120170	-	0.000	0.000	Merged-chr3-59120352-78
NR1508--MA0508.2.PRDM1	chr3	109433442	109433451	-	0.000	0.000	Merged-chr3-109433404-19
NR932--MA0508.2.PRDM1	chr16	32130072	32130081	+	0.000	0.000	Merged-chr16-32130229-66
NR1280--MA0508.2.PRDM1	chr2	76030120	76030129	-	0.000	0.000	Merged-chr2-76030062-28
NR1617--MA0508.2.PRDM1	chr4	33270254	33270263	+	0.000	0.000	Merged-chr4-33270288-23
NR1--MA0508.2.PRDM1	chr1	7206748	7206757	+	0.000	0.000	Merged-chr1-7206621-34
NR1203--MA0508.2.PRDM1	chr19	54015204	54015213	+	0.000	0.000	Merged-chr19-54015154-21
NR1455--MA0508.2.PRDM1	chr3	69005934	69005943	+	0.000	0.000	Merged-chr3-69006115-39
NR1434--MA0508.2.PRDM1	chr3	51553104	51553113	+	0.000	0.000	Merged-chr3-51553157-56
NR1020--MA0508.2.PRDM1	chr17	33919639	33919648	-	0.000	0.000	Merged-chr17-33919703-60
NR1686--MA0508.2.PRDM1	chr4	101458550	101458559	+	0.000	0.000	Merged-chr4-101458526-22
NR1272--MA0508.2.PRDM1	chr2	68932316	68932325	+	0.000	0.000	Merged-chr2-68932401-28
NR1609--MA0508.2.PRDM1	chr4	15958522	15958531	-	0.000	0.000	Merged-chr4-15958337-98
NR1795--MA0508.2.PRDM1	chr5	43856007	43856016	+	0.000	0.000	Merged-chr5-43855987-24
NR1400--MA0508.2.PRDM1	chr2	174723538	174723547	+	0.000	0.000	Merged-chr2-174723668-14
NR1381--MA0508.2.PRDM1	chr2	157746757	157746766	-	0.000	0.000	Merged-chr2-157746803-36
NR1923--MA0508.2.PRDM1	chr6	30141149	30141158	+	0.000	0.000	Merged-chr6-30141112-2
NR65--MA0508.2.PRDM1	chr1	86344391	86344400	-	0.000	0.000	Merged-chr1-86344486-59
NR1827--MA0508.2.PRDM1	chr5	72938449	72938458	+	0.000	0.000	Merged-chr5-72938590-38
NR980--MA0508.2.PRDM1	chr16	92443872	92443881	-	0.000	0.000	Merged-chr16-92443749-37
NR1394--MA0508.2.PRDM1	chr2	169396589	169396598	-	0.000	0.000	Merged-chr2-169396513-5
NR1774--MA0508.2.PRDM1	chr5	21188669	21188678	+	0.000	0.000	Merged-chr5-21188682-9
NR1569--MA0508.2.PRDM1	chr3	146173285	146173294	+	0.000	0.000	Merged-chr3-146173193-9
NR741--MA0508.2.PRDM1	chr14	27390874	27390883	-	0.000	0.000	Merged-chr14-27390836-41
NR1264--MA0508.2.PRDM1	chr2	61492435	61492444	+	0.000	0.000	Merged-chr2-61492330-26
NR1535--MA0508.2.PRDM1	chr3	131126041	131126050	-	0.000	0.000	Merged-chr3-131125958-32
NR1439--MA0508.2.PRDM1	chr3	55660117	55660126	-	0.000	0.000	Merged-chr3-55660012-44
NR1230--MA0508.2.PRDM1	chr2	26933685	26933694	+	0.000	0.000	Merged-chr2-26933520-84
NR1896--MA0508.2.PRDM1	chr5	140915557	140915566	+	0.000	0.000	Merged-chr5-140915429-24
NR592--MA0508.2.PRDM1	chr13	14063585	14063594	+	0.000	0.000	Merged-chr13-14063519-130
NR863--MA0508.2.PRDM1	chr15	66454132	66454141	+	0.000	0.000	Merged-chr15-66454152-12
NR1405--MA0508.2.PRDM1	chr2	179875336	179875345	-	0.000	0.000	Merged-chr2-179875422-32
NR972--MA0508.2.PRDM1	chr16	78532151	78532160	-	0.000	0.000	Merged-chr16-78532286-51
NR1100--MA0508.2.PRDM1	chr18	50053409	50053418	+	0.000	0.000	Merged-chr18-50053279-83
NR733--MA0508.2.PRDM1	chr14	19751176	19751185	+	0.000	0.000	Merged-chr14-19751305-34
NR1081--MA0508.2.PRDM1	chr18	13787159	13787168	+	0.000	0.000	Merged-chr18-13787099-71
NR1399--MA0508.2.PRDM1	chr2	174566135	174566144	+	0.000	0.000	Merged-chr2-174566072-46
NR1004--MA0508.2.PRDM1	chr17	23193129	23193138	+	0.000	0.000	Merged-chr17-23193299-96
NR842--MA0508.2.PRDM1	chr15	27784087	27784096	+	0.000	0.000	Merged-chr15-27783998-63
NR1527--MA0508.2.PRDM1	chr3	126630883	126630892	-	0.000	0.000	Merged-chr3-126630748-8
NR680--MA0508.2.PRDM1	chr13	92671879	92671888	-	0.000	0.000	Merged-chr13-92671922-24
NR1907--MA0508.2.PRDM1	chr5	149846969	149846978	-	0.000	0.000	Merged-chr5-149846777-12
NR332--MA0508.2.PRDM1	chr10	120628368	120628377	+	0.000	0.000	Merged-chr10-120628264-28
NR1888--MA0508.2.PRDM1	chr5	135703036	135703045	-	0.000	0.000	Merged-chr5-135702928-61
NR1017--MA0508.2.PRDM1	chr17	31011881	31011890	-	0.000	0.000	Merged-chr17-31011806-34
NR855--MA0508.2.PRDM1	chr15	50298320	50298329	+	0.000	0.000	Merged-chr15-50298353-6
NR1474--MA0508.2.PRDM1	chr3	85887675	85887684	-	0.000	0.000	Merged-chr3-85887790-94
