#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed
NR9921--MA0089.1.MAFG::NFE2L1	chr6	6217169	6217174	-	0.000	0.000	Merged-chr6-6217012-81
NR6355--MA0089.1.MAFG::NFE2L1	chr19	53800694	53800699	-	0.000	0.000	Merged-chr19-53800770-48
NR10521--MA0089.1.MAFG::NFE2L1	chr6	128803270	128803275	+	0.000	0.000	Merged-chr6-128803141-52
NR2814--MA0089.1.MAFG::NFE2L1	chr12	82251510	82251515	-	0.000	0.000	Merged-chr12-82251542-24
NR438--MA0117.2.Mafb	chr1	120245346	120245357	+	0.000	0.000	Merged-chr1-120245236-2
NR9501--MA0495.2.MAFF	chr5	96879083	96879103	+	0.000	0.000	Merged-chr5-96879087-37
NR88--MA0495.2.MAFF	chr1	39196872	39196892	+	0.000	0.000	Merged-chr1-39196974-45
NR809--MA0591.1.Bach1::Mafk	chr1	171849662	171849676	-	0.000	0.000	Merged-chr1-171849632-17
NR4481--MA0501.1.MAF::NFE2	chr15	51823240	51823254	-	0.000	0.000	Merged-chr15-51823268-39
NR10938--MA0089.1.MAFG::NFE2L1	chr7	35991369	35991374	+	0.000	0.000	Merged-chr7-35991280-23
NR6657--MA0089.1.MAFG::NFE2L1	chr2	45019185	45019190	+	0.000	0.000	Merged-chr2-45019275-14
NR711--MA0089.1.MAFG::NFE2L1	chr1	162186935	162186940	+	0.000	0.000	Merged-chr1-162187046-32
NR6576--MA0591.1.Bach1::Mafk	chr2	28540185	28540199	+	0.000	0.000	Merged-chr2-28540150-39
NR3454--MA0089.1.MAFG::NFE2L1	chr13	63237961	63237966	+	0.000	0.000	Merged-chr13-63238136-32
NR13031--MA0089.1.MAFG::NFE2L1	chrX	163848672	163848677	-	0.000	0.000	Merged-chrX-163848776-29
NR5164--MA0495.2.MAFF	chr16	87642408	87642428	-	0.000	0.000	Merged-chr16-87642367-32
NR7124--MA0591.1.Bach1::Mafk	chr2	128401514	128401528	-	0.000	0.000	Merged-chr2-128401504-24
NR5282--MA0117.2.Mafb	chr17	3092893	3092904	-	0.000	0.000	Merged-chr17-3092916-34
NR1205--MA0089.1.MAFG::NFE2L1	chr10	21395537	21395542	+	0.000	0.000	Merged-chr10-21395563-5
NR12681--MA0495.2.MAFF	chr9	107629890	107629910	+	0.000	0.000	Merged-chr9-107629977-18
NR315--MA0496.2.MAFK	chr1	85895436	85895454	+	0.000	0.000	Merged-chr1-85895487-63
NR1771--MA0089.1.MAFG::NFE2L1	chr10	122758497	122758502	-	0.000	0.000	Merged-chr10-122758293-88
NR922--MA0501.1.MAF::NFE2	chr1	181866628	181866642	-	0.000	0.000	Merged-chr1-181866572-42
NR5070--MA0495.2.MAFF	chr16	65815972	65815992	+	0.000	0.000	Merged-chr16-65816014-3
NR12515--MA0496.2.MAFK	chr9	83564271	83564289	+	0.000	0.000	Merged-chr9-83564254-44
NR10749--MA0089.1.MAFG::NFE2L1	chr6	146734402	146734407	-	0.000	0.000	Merged-chr6-146734350-25
NR146--MA0089.1.MAFG::NFE2L1	chr1	58742727	58742732	+	0.000	0.000	Merged-chr1-58742743-31
NR11584--MA0117.2.Mafb	chr7	143649695	143649706	-	0.000	0.000	Merged-chr7-143649559-54
NR8780--MA0117.2.Mafb	chr4	119962920	119962931	-	0.000	0.000	Merged-chr4-119962727-36
NR2687--MA0495.2.MAFF	chr12	41044928	41044948	-	0.000	0.000	Merged-chr12-41044922-24
NR2472--MA0495.2.MAFF	chr11	115172976	115172996	+	0.000	0.000	Merged-chr11-115173098-6
NR10168--MA0501.1.MAF::NFE2	chr6	67014762	67014776	-	0.000	0.000	Merged-chr6-67014748-19
NR2815--MA0591.1.Bach1::Mafk	chr12	82284813	82284827	-	0.000	0.000	Merged-chr12-82284829-46
NR5878--MA0591.1.Bach1::Mafk	chr18	54860890	54860904	+	0.000	0.000	Merged-chr18-54860804-67
NR5262--MA0501.1.MAF::NFE2	chr16	97002597	97002611	-	0.000	0.000	Merged-chr16-97002537-1
NR12341--MA0495.2.MAFF	chr9	58542042	58542062	+	0.000	0.000	Merged-chr9-58542052-13
NR12343--MA0591.1.Bach1::Mafk	chr9	58542045	58542059	+	0.000	0.000	Merged-chr9-58542052-13
NR8962--MA0591.1.Bach1::Mafk	chr4	144998410	144998424	-	0.000	0.000	Merged-chr4-144998591-35
NR5166--MA0501.1.MAF::NFE2	chr16	87642408	87642422	-	0.000	0.000	Merged-chr16-87642367-32
NR715--MA0501.1.MAF::NFE2	chr1	162215974	162215988	-	0.000	0.000	Merged-chr1-162215888-4
NR1431--MA0591.1.Bach1::Mafk	chr10	77225546	77225560	+	0.000	0.000	Merged-chr10-77225622-11
NR7571--MA0089.1.MAFG::NFE2L1	chr3	8718376	8718381	-	0.000	0.000	Merged-chr3-8718167-60
NR3321--MA0501.1.MAF::NFE2	chr13	30604099	30604113	-	0.000	0.000	Merged-chr13-30604057-7
NR3204--MA0495.2.MAFF	chr13	9082703	9082723	+	0.000	0.000	Merged-chr13-9082570-19
NR233--MA0591.1.Bach1::Mafk	chr1	69548600	69548614	-	0.000	0.000	Merged-chr1-69548718-45
NR792--MA0591.1.Bach1::Mafk	chr1	169969241	169969255	-	0.000	0.000	Merged-chr1-169969262-62
NR8491--MA0591.1.Bach1::Mafk	chr4	41713750	41713764	-	0.000	0.000	Merged-chr4-41713787-95
NR3278--MA0089.1.MAFG::NFE2L1	chr13	23752647	23752652	-	0.000	0.000	Merged-chr13-23752435-52
NR10647--MA0089.1.MAFG::NFE2L1	chr6	141435623	141435628	+	0.000	0.000	Merged-chr6-141435632-1
NR6250--MA0501.1.MAF::NFE2	chr19	32904412	32904426	+	0.000	0.000	Merged-chr19-32904627-33
NR2610--MA0089.1.MAFG::NFE2L1	chr12	17544920	17544925	+	0.000	0.000	Merged-chr12-17544915-80
NR12771--MA0501.1.MAF::NFE2	chr9	117927200	117927214	-	0.000	0.000	Merged-chr9-117927282-85
NR11287--MA0089.1.MAFG::NFE2L1	chr7	109265802	109265807	-	0.000	0.000	Merged-chr7-109265818-41
NR2244--MA0495.2.MAFF	chr11	85324146	85324166	-	0.000	0.000	Merged-chr11-85324179-42
NR8211--MA0591.1.Bach1::Mafk	chr3	143426664	143426678	+	0.000	0.000	Merged-chr3-143426791-9
NR8929--MA0089.1.MAFG::NFE2L1	chr4	141419657	141419662	-	0.000	0.000	Merged-chr4-141419764-31
NR919--MA0591.1.Bach1::Mafk	chr1	181866631	181866645	-	0.000	0.000	Merged-chr1-181866572-42
NR8855--MA0591.1.Bach1::Mafk	chr4	129263600	129263614	-	0.000	0.000	Merged-chr4-129263671-18
NR4117--MA0501.1.MAF::NFE2	chr14	71138231	71138245	+	0.000	0.000	Merged-chr14-71138006-34
NR6138--MA0495.2.MAFF	chr19	5878141	5878161	-	0.000	0.000	Merged-chr19-5878025-63
NR10821--MA0089.1.MAFG::NFE2L1	chr7	16376629	16376634	+	0.000	0.000	Merged-chr7-16376685-9
NR6540--MA0089.1.MAFG::NFE2L1	chr2	18872948	18872953	+	0.000	0.000	Merged-chr2-18873017-31
NR11750--MA0089.1.MAFG::NFE2L1	chr8	68627407	68627412	+	0.000	0.000	Merged-chr8-68627437-32
NR126--MA0591.1.Bach1::Mafk	chr1	51509240	51509254	+	0.000	0.000	Merged-chr1-51509217-43
NR5826--MA0089.1.MAFG::NFE2L1	chr18	39801296	39801301	+	0.000	0.000	Merged-chr18-39801283-11
NR7799--MA0089.1.MAFG::NFE2L1	chr3	89801599	89801604	+	0.000	0.000	Merged-chr3-89801691-40
NR6735--MA0501.1.MAF::NFE2	chr2	55253364	55253378	-	0.000	0.000	Merged-chr2-55253274-13
NR3767--MA0089.1.MAFG::NFE2L1	chr13	112287341	112287346	-	0.000	0.000	Merged-chr13-112287336-21
NR8121--MA0089.1.MAFG::NFE2L1	chr3	135212535	135212540	+	0.000	0.000	Merged-chr3-135212470-74
NR5880--MA0501.1.MAF::NFE2	chr18	54860887	54860901	-	0.000	0.000	Merged-chr18-54860804-67
NR1382--MA0496.2.MAFK	chr10	67701942	67701960	+	0.000	0.000	Merged-chr10-67701888-9
NR1165--MA0117.2.Mafb	chr10	12821572	12821583	-	0.000	0.000	Merged-chr10-12821526-15
NR4781--MA0501.1.MAF::NFE2	chr15	100687231	100687245	+	0.000	0.000	Merged-chr15-100687236-65
NR3206--MA0117.2.Mafb	chr13	9082712	9082723	-	0.000	0.000	Merged-chr13-9082570-19
NR12453--MA0501.1.MAF::NFE2	chr9	78527524	78527538	+	0.000	0.000	Merged-chr9-78527704-82
NR7627--MA0501.1.MAF::NFE2	chr3	27210449	27210463	-	0.000	0.000	Merged-chr3-27210457-3
NR5621--MA0501.1.MAF::NFE2	chr17	83991047	83991061	-	0.000	0.000	Merged-chr17-83990876-14
NR3685--MA0117.2.Mafb	chr13	106454648	106454659	-	0.000	0.000	Merged-chr13-106454673-2
NR6254--MA0496.2.MAFK	chr19	33160167	33160185	+	0.000	0.000	Merged-chr19-33160221-22
NR9618--MA0591.1.Bach1::Mafk	chr5	110808227	110808241	+	0.000	0.000	Merged-chr5-110808309-69
NR4999--MA0659.1.MAFG	chr16	52418693	52418713	+	0.000	0.000	Merged-chr16-52418568-49
NR6389--MA0495.2.MAFF	chr19	57329136	57329156	+	0.000	0.000	Merged-chr19-57329037-3
NR9352--MA0089.1.MAFG::NFE2L1	chr5	73199824	73199829	-	0.000	0.000	Merged-chr5-73199876-43
NR2648--MA0501.1.MAF::NFE2	chr12	26398797	26398811	+	0.000	0.000	Merged-chr12-26398856-20
NR9192--MA0591.1.Bach1::Mafk	chr5	23874721	23874735	-	0.000	0.000	Merged-chr5-23874681-17
NR965--MA0501.1.MAF::NFE2	chr1	185193695	185193709	-	0.000	0.000	Merged-chr1-185193700-43
NR9620--MA0591.1.Bach1::Mafk	chr5	111150876	111150890	+	0.000	0.000	Merged-chr5-111150785-19
NR12994--MA0089.1.MAFG::NFE2L1	chrX	104760551	104760556	-	0.000	0.000	Merged-chrX-104760741-26
NR6740--MA0089.1.MAFG::NFE2L1	chr2	59055934	59055939	+	0.000	0.000	Merged-chr2-59055992-29
NR1201--MA0089.1.MAFG::NFE2L1	chr10	21187974	21187979	+	0.000	0.000	Merged-chr10-21187975-21
NR3379--MA0501.1.MAF::NFE2	chr13	45623921	45623935	+	0.000	0.000	Merged-chr13-45624002-39
NR3130--MA0117.2.Mafb	chr12	116269654	116269665	+	0.000	0.000	Merged-chr12-116269685-29
NR7999--MA0089.1.MAFG::NFE2L1	chr3	116751425	116751430	+	0.000	0.000	Merged-chr3-116751371-23
NR6815--MA0591.1.Bach1::Mafk	chr2	70939305	70939319	+	0.000	0.000	Merged-chr2-70939242-30
NR10369--MA0089.1.MAFG::NFE2L1	chr6	108895321	108895326	+	0.000	0.000	Merged-chr6-108895381-27
NR4887--MA0117.2.Mafb	chr16	24840221	24840232	+	0.000	0.000	Merged-chr16-24840158-23
NR142--MA0089.1.MAFG::NFE2L1	chr1	58304618	58304623	-	0.000	0.000	Merged-chr1-58304515-8
NR2025--MA0591.1.Bach1::Mafk	chr11	51688753	51688767	+	0.000	0.000	Merged-chr11-51688854-65
NR2712--MA0659.1.MAFG	chr12	51871958	51871978	-	0.000	0.000	Merged-chr12-51871812-58
NR10092--MA0591.1.Bach1::Mafk	chr6	53498091	53498105	+	0.000	0.000	Merged-chr6-53498072-40
NR815--MA0117.2.Mafb	chr1	172412442	172412453	-	0.000	0.000	Merged-chr1-172412368-13
NR6175--MA0089.1.MAFG::NFE2L1	chr19	12833815	12833820	-	0.000	0.000	Merged-chr19-12833671-54
NR4350--MA0659.1.MAFG	chr15	4124870	4124890	-	0.000	0.000	Merged-chr15-4124842-36
NR7607--MA0089.1.MAFG::NFE2L1	chr3	21224541	21224546	+	0.000	0.000	Merged-chr3-21224399-4,Merged-chr3-21224664-3
NR4908--MA0089.1.MAFG::NFE2L1	chr16	32741603	32741608	-	0.000	0.000	Merged-chr16-32741529-1
NR8299--MA0501.1.MAF::NFE2	chr3	152315824	152315838	+	0.000	0.000	Merged-chr3-152315823-29
NR12686--MA0496.2.MAFK	chr9	107629891	107629909	-	0.000	0.000	Merged-chr9-107629977-18
NR2198--MA0591.1.Bach1::Mafk	chr11	77484090	77484104	+	0.000	0.000	Merged-chr11-77483872-51
NR820--MA0089.1.MAFG::NFE2L1	chr1	173392126	173392131	-	0.000	0.000	Merged-chr1-173392014-26
NR8105--MA0117.2.Mafb	chr3	133411787	133411798	-	0.000	0.000	Merged-chr3-133411903-38
NR10371--MA0591.1.Bach1::Mafk	chr6	108895319	108895333	+	0.000	0.000	Merged-chr6-108895381-27
NR11184--MA0501.1.MAF::NFE2	chr7	99794263	99794277	-	0.000	0.000	Merged-chr7-99794311-17
NR647--MA0501.1.MAF::NFE2	chr1	155029375	155029389	-	0.000	0.000	Merged-chr1-155029443-27
NR5948--MA0496.2.MAFK	chr18	66409293	66409311	+	0.000	0.000	Merged-chr18-66409343-32
NR8132--MA0089.1.MAFG::NFE2L1	chr3	136688184	136688189	-	0.000	0.000	Merged-chr3-136688298-63
NR6711--MA0496.2.MAFK	chr2	52938454	52938472	+	0.000	0.000	Merged-chr2-52938398-15
NR10507--MA0495.2.MAFF	chr6	127265242	127265262	+	0.000	0.000	Merged-chr6-127265230-18
NR1522--MA0495.2.MAFF	chr10	88875144	88875164	+	0.000	0.000	Merged-chr10-88875114-36
NR10972--MA0591.1.Bach1::Mafk	chr7	49762880	49762894	+	0.000	0.000	Merged-chr7-49762758-15
NR5628--MA0117.2.Mafb	chr17	85189690	85189701	+	0.000	0.000	Merged-chr17-85189630-51
NR129--MA0591.1.Bach1::Mafk	chr1	51594095	51594109	+	0.000	0.000	Merged-chr1-51594120-49
NR8338--MA0117.2.Mafb	chr3	155235702	155235713	-	0.000	0.000	Merged-chr3-155235663-12
NR1591--MA0089.1.MAFG::NFE2L1	chr10	95914631	95914636	-	0.000	0.000	Merged-chr10-95914776-60
NR2374--MA0496.2.MAFK	chr11	106001903	106001921	-	0.000	0.000	Merged-chr11-106001838-18
NR9176--MA0501.1.MAF::NFE2	chr5	20082524	20082538	-	0.000	0.000	Merged-chr5-20082786-46
NR5306--MA0659.1.MAFG	chr17	10840174	10840194	+	0.000	0.000	Merged-chr17-10840429-74
NR2898--MA0501.1.MAF::NFE2	chr12	98249886	98249900	+	0.000	0.000	Merged-chr12-98249926-13
NR11861--MA0495.2.MAFF	chr8	84914096	84914116	+	0.000	0.000	Merged-chr8-84914135-5
NR7862--MA0501.1.MAF::NFE2	chr3	101056906	101056920	-	0.000	0.000	Merged-chr3-101056914-14
NR1524--MA0659.1.MAFG	chr10	88875144	88875164	+	0.000	0.000	Merged-chr10-88875114-36
NR264--MA0501.1.MAF::NFE2	chr1	74726840	74726854	-	0.000	0.000	Merged-chr1-74726770-27
NR10827--MA0501.1.MAF::NFE2	chr7	17135446	17135460	-	0.000	0.000	Merged-chr7-17135418-14
NR1732--MA0501.1.MAF::NFE2	chr10	117839177	117839191	+	0.000	0.000	Merged-chr10-117839249-9
NR7316--MA0089.1.MAFG::NFE2L1	chr2	150918921	150918926	+	0.000	0.000	Merged-chr2-150918832-31
NR9679--MA0659.1.MAFG	chr5	118269183	118269203	+	0.000	0.000	Merged-chr5-118269215-26
NR9686--MA0495.2.MAFF	chr5	118620495	118620515	+	0.000	0.000	Merged-chr5-118620530-42
NR9867--MA0089.1.MAFG::NFE2L1	chr5	148596870	148596875	-	0.000	0.000	Merged-chr5-148596681-29
NR2135--MA0591.1.Bach1::Mafk	chr11	69332066	69332080	-	0.000	0.000	Merged-chr11-69332186-23
NR4480--MA0117.2.Mafb	chr15	51803083	51803094	+	0.000	0.000	Merged-chr15-51803142-36
NR6521--MA0117.2.Mafb	chr2	17703200	17703211	-	0.000	0.000	Merged-chr2-17703026-82
NR2287--MA0117.2.Mafb	chr11	90576726	90576737	-	0.000	0.000	Merged-chr11-90576690-20
NR2528--MA0501.1.MAF::NFE2	chr11	118000747	118000761	-	0.000	0.000	Merged-chr11-118000770-19
NR11408--MA0089.1.MAFG::NFE2L1	chr7	123377957	123377962	-	0.000	0.000	Merged-chr7-123378098-56
NR4415--MA0089.1.MAFG::NFE2L1	chr15	31418319	31418324	-	0.000	0.000	Merged-chr15-31418440-29
NR6764--MA0089.1.MAFG::NFE2L1	chr2	62526370	62526375	+	0.000	0.000	Merged-chr2-62526559-11
NR5720--MA0089.1.MAFG::NFE2L1	chr18	5694538	5694543	+	0.000	0.000	Merged-chr18-5694694-26
NR5658--MA0495.2.MAFF	chr17	88213760	88213780	+	0.000	0.000	Merged-chr17-88213709-19
NR1395--MA0591.1.Bach1::Mafk	chr10	68540769	68540783	-	0.000	0.000	Merged-chr10-68540864-1
NR3594--MA0496.2.MAFK	chr13	92241621	92241639	+	0.000	0.000	Merged-chr13-92241716-35
NR11751--MA0117.2.Mafb	chr8	68674248	68674259	-	0.000	0.000	Merged-chr8-68674402-29
NR9681--MA0496.2.MAFK	chr5	118269184	118269202	+	0.000	0.000	Merged-chr5-118269215-26
NR6475--MA0089.1.MAFG::NFE2L1	chr2	9867583	9867588	-	0.000	0.000	Merged-chr2-9867507-76
NR2356--MA0089.1.MAFG::NFE2L1	chr11	101910371	101910376	-	0.000	0.000	Merged-chr11-101910464-12
NR1312--MA0089.1.MAFG::NFE2L1	chr10	42934724	42934729	-	0.000	0.000	Merged-chr10-42934777-29
NR11194--MA0089.1.MAFG::NFE2L1	chr7	101547951	101547956	+	0.000	0.000	Merged-chr7-101547952-32
NR881--MA0495.2.MAFF	chr1	177702851	177702871	-	0.000	0.000	Merged-chr1-177702906-70
NR4270--MA0659.1.MAFG	chr14	118796408	118796428	-	0.000	0.000	Merged-chr14-118796395-16
NR2241--MA0089.1.MAFG::NFE2L1	chr11	84916339	84916344	+	0.000	0.000	Merged-chr11-84916345-39
NR2077--MA0659.1.MAFG	chr11	60199797	60199817	-	0.000	0.000	Merged-chr11-60199892-26
NR11863--MA0117.2.Mafb	chr8	84914105	84914116	-	0.000	0.000	Merged-chr8-84914135-5
NR13064--MA0089.1.MAFG::NFE2L1	chrX	170676123	170676128	-	0.000	0.000	Merged-chrX-170676221-18
NR9374--MA0501.1.MAF::NFE2	chr5	74471049	74471063	-	0.000	0.000	Merged-chr5-74471085-11
NR7596--MA0501.1.MAF::NFE2	chr3	18243873	18243887	+	0.000	0.000	Merged-chr3-18243680-52
NR9364--MA0495.2.MAFF	chr5	74470989	74471009	+	0.000	0.000	Merged-chr5-74471085-11
NR1466--MA0501.1.MAF::NFE2	chr10	82053780	82053794	+	0.000	0.000	Merged-chr10-82053844-6
NR10007--MA0591.1.Bach1::Mafk	chr6	30227526	30227540	-	0.000	0.000	Merged-chr6-30227395-32
NR11872--MA0089.1.MAFG::NFE2L1	chr8	85555384	85555389	+	0.000	0.000	Merged-chr8-85555240-122
NR9045--MA0591.1.Bach1::Mafk	chr4	149989145	149989159	-	0.000	0.000	Merged-chr4-149989064-38
NR10771--MA0496.2.MAFK	chr6	148436635	148436653	+	0.000	0.000	Merged-chr6-148436541-68
NR4579--MA0117.2.Mafb	chr15	66558971	66558982	-	0.000	0.000	Merged-chr15-66559012-25
NR7603--MA0089.1.MAFG::NFE2L1	chr3	19707067	19707072	-	0.000	0.000	Merged-chr3-19706982-40
NR8532--MA0089.1.MAFG::NFE2L1	chr4	57928013	57928018	-	0.000	0.000	Merged-chr4-57928066-27
NR1290--MA0501.1.MAF::NFE2	chr10	39765057	39765071	+	0.000	0.000	Merged-chr10-39764888-24
NR5886--MA0496.2.MAFK	chr18	55107148	55107166	+	0.000	0.000	Merged-chr18-55107186-34
NR4042--MA0659.1.MAFG	chr14	59087335	59087355	-	0.000	0.000	Merged-chr14-59087274-14
NR5544--MA0089.1.MAFG::NFE2L1	chr17	73263292	73263297	-	0.000	0.000	Merged-chr17-73263273-50
NR9328--MA0501.1.MAF::NFE2	chr5	67404587	67404601	+	0.000	0.000	Merged-chr5-67404737-28
NR10438--MA0659.1.MAFG	chr6	121210700	121210720	-	0.000	0.000	Merged-chr6-121210795-40
NR712--MA0591.1.Bach1::Mafk	chr1	162207440	162207454	+	0.000	0.000	Merged-chr1-162207431-48
NR771--MA0117.2.Mafb	chr1	165838080	165838091	-	0.000	0.000	Merged-chr1-165837829-51
NR10563--MA0117.2.Mafb	chr6	134710581	134710592	+	0.000	0.000	Merged-chr6-134710635-12
NR5631--MA0089.1.MAFG::NFE2L1	chr17	85901467	85901472	-	0.000	0.000	Merged-chr17-85901349-9
NR9175--MA0591.1.Bach1::Mafk	chr5	20082527	20082541	-	0.000	0.000	Merged-chr5-20082786-46
NR2932--MA0089.1.MAFG::NFE2L1	chr12	101102826	101102831	+	0.000	0.000	Merged-chr12-101102825-20
NR3384--MA0496.2.MAFK	chr13	45827704	45827722	+	0.000	0.000	Merged-chr13-45827627-7
NR9313--MA0501.1.MAF::NFE2	chr5	65951605	65951619	+	0.000	0.000	Merged-chr5-65951579-1
NR9098--MA0089.1.MAFG::NFE2L1	chr5	4948460	4948465	+	0.000	0.000	Merged-chr5-4948385-16
NR8921--MA0089.1.MAFG::NFE2L1	chr4	139578613	139578618	+	0.000	0.000	Merged-chr4-139578524-2
NR11374--MA0591.1.Bach1::Mafk	chr7	118595465	118595479	+	0.000	0.000	Merged-chr7-118595316-35
NR7434--MA0591.1.Bach1::Mafk	chr2	167986854	167986868	+	0.000	0.000	Merged-chr2-167986885-20
NR4961--MA0501.1.MAF::NFE2	chr16	44778937	44778951	-	0.000	0.000	Merged-chr16-44778885-37
NR2858--MA0089.1.MAFG::NFE2L1	chr12	91009109	91009114	-	0.000	0.000	Merged-chr12-91009085-35
NR5933--MA0089.1.MAFG::NFE2L1	chr18	64913497	64913502	+	0.000	0.000	Merged-chr18-64913437-34
NR11697--MA0501.1.MAF::NFE2	chr8	36184258	36184272	+	0.000	0.000	Merged-chr8-36184209-47
NR8541--MA0591.1.Bach1::Mafk	chr4	59682666	59682680	+	0.000	0.000	Merged-chr4-59682801-45
NR5251--MA0495.2.MAFF	chr16	96358152	96358172	+	0.000	0.000	Merged-chr16-96358039-35
NR10440--MA0496.2.MAFK	chr6	121210701	121210719	-	0.000	0.000	Merged-chr6-121210795-40
NR13009--MA0501.1.MAF::NFE2	chrX	113075052	113075066	+	0.000	0.000	Merged-chrX-113075086-29
NR3734--MA0495.2.MAFF	chr13	109822600	109822620	+	0.000	0.000	Merged-chr13-109822486-79
NR11708--MA0089.1.MAFG::NFE2L1	chr8	46636515	46636520	+	0.000	0.000	Merged-chr8-46636605-4
NR2763--MA0501.1.MAF::NFE2	chr12	72844375	72844389	-	0.000	0.000	Merged-chr12-72844339-47
NR2646--MA0659.1.MAFG	chr12	26398791	26398811	+	0.000	0.000	Merged-chr12-26398856-20
NR755--MA0089.1.MAFG::NFE2L1	chr1	165132474	165132479	-	0.000	0.000	Merged-chr1-165132661-25
NR7993--MA0089.1.MAFG::NFE2L1	chr3	116331916	116331921	-	0.000	0.000	Merged-chr3-116332074-27
NR8103--MA0501.1.MAF::NFE2	chr3	132979993	132980007	+	0.000	0.000	Merged-chr3-132979856-28
NR9337--MA0496.2.MAFK	chr5	67437632	67437650	-	0.000	0.000	Merged-chr5-67437495-24
NR11292--MA0089.1.MAFG::NFE2L1	chr7	109781589	109781594	-	0.000	0.000	Merged-chr7-109781592-85
NR4850--MA0501.1.MAF::NFE2	chr16	14237421	14237435	-	0.000	0.000	Merged-chr16-14237452-27
NR3567--MA0591.1.Bach1::Mafk	chr13	91091605	91091619	-	0.000	0.000	Merged-chr13-91091674-66
NR10578--MA0089.1.MAFG::NFE2L1	chr6	136547245	136547250	+	0.000	0.000	Merged-chr6-136547260-16
NR8715--MA0117.2.Mafb	chr4	109135038	109135049	-	0.000	0.000	Merged-chr4-109135224-18
NR10315--MA0496.2.MAFK	chr6	99420833	99420851	+	0.000	0.000	Merged-chr6-99420809-31
NR6309--MA0089.1.MAFG::NFE2L1	chr19	45006390	45006395	-	0.000	0.000	Merged-chr19-45006531-66
NR10100--MA0496.2.MAFK	chr6	54685255	54685273	-	0.000	0.000	Merged-chr6-54685260-34
NR4437--MA0591.1.Bach1::Mafk	chr15	36938812	36938826	-	0.000	0.000	Merged-chr15-36938734-87
NR5309--MA0496.2.MAFK	chr17	10840175	10840193	-	0.000	0.000	Merged-chr17-10840429-74
NR2756--MA0089.1.MAFG::NFE2L1	chr12	70995435	70995440	+	0.000	0.000	Merged-chr12-70995410-19
NR7928--MA0591.1.Bach1::Mafk	chr3	107274066	107274080	+	0.000	0.000	Merged-chr3-107274021-28
NR4626--MA0089.1.MAFG::NFE2L1	chr15	76766697	76766702	-	0.000	0.000	Merged-chr15-76766886-28
NR6471--MA0089.1.MAFG::NFE2L1	chr2	8965006	8965011	+	0.000	0.000	Merged-chr2-8965212-53
NR3772--MA0089.1.MAFG::NFE2L1	chr13	112509557	112509562	+	0.000	0.000	Merged-chr13-112509641-25
NR5804--MA0659.1.MAFG	chr18	34202739	34202759	+	0.000	0.000	Merged-chr18-34202543-19
NR11190--MA0089.1.MAFG::NFE2L1	chr7	101302097	101302102	+	0.000	0.000	Merged-chr7-101301960-107
NR7779--MA0591.1.Bach1::Mafk	chr3	88337492	88337506	-	0.000	0.000	Merged-chr3-88337526-21
NR2897--MA0659.1.MAFG	chr12	98249880	98249900	-	0.000	0.000	Merged-chr12-98249926-13
NR4713--MA0089.1.MAFG::NFE2L1	chr15	93712836	93712841	-	0.000	0.000	Merged-chr15-93712745-43
NR11517--MA0496.2.MAFK	chr7	136152646	136152664	+	0.000	0.000	Merged-chr7-136152676-10
NR10852--MA0089.1.MAFG::NFE2L1	chr7	24377288	24377293	+	0.000	0.000	Merged-chr7-24377357-8
NR955--MA0089.1.MAFG::NFE2L1	chr1	184741551	184741556	+	0.000	0.000	Merged-chr1-184741519-9
NR10526--MA0591.1.Bach1::Mafk	chr6	128843921	128843935	+	0.000	0.000	Merged-chr6-128843932-5
NR1592--MA0117.2.Mafb	chr10	95964827	95964838	+	0.000	0.000	Merged-chr10-95964744-26
NR3707--MA0496.2.MAFK	chr13	108498729	108498747	-	0.000	0.000	Merged-chr13-108498755-24
NR8368--MA0501.1.MAF::NFE2	chr3	157884228	157884242	-	0.000	0.000	Merged-chr3-157884103-23
NR12191--MA0501.1.MAF::NFE2	chr9	15530011	15530025	+	0.000	0.000	Merged-chr9-15530031-64
NR4524--MA0089.1.MAFG::NFE2L1	chr15	59618610	59618615	-	0.000	0.000	Merged-chr15-59618561-44
NR2365--MA0089.1.MAFG::NFE2L1	chr11	103776890	103776895	-	0.000	0.000	Merged-chr11-103776919-6
NR13052--MA0496.2.MAFK	chrX	166661609	166661627	+	0.000	0.000	Merged-chrX-166661565-108
NR9572--MA0089.1.MAFG::NFE2L1	chr5	103680516	103680521	-	0.000	0.000	Merged-chr5-103680526-14
NR671--MA0496.2.MAFK	chr1	156911154	156911172	+	0.000	0.000	Merged-chr1-156911198-16
NR1099--MA0591.1.Bach1::Mafk	chr1	192736713	192736727	+	0.000	0.000	Merged-chr1-192736716-7
NR6464--MA0117.2.Mafb	chr2	8628739	8628750	+	0.000	0.000	Merged-chr2-8628681-1
NR6437--MA0591.1.Bach1::Mafk	chr2	3713418	3713432	-	0.000	0.000	Merged-chr2-3713630-67
