#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Bcl6/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.dn.bed
NR1052--MA0731.1.BCL6B	chr16	23250854	23250870	+	0.000	0.000	Merged-chr16-23250750-42
NR1099--MA0731.1.BCL6B	chr16	65533857	65533873	-	0.000	0.000	Merged-chr16-65533669-35
NR1916--MA0463.1.Bcl6	chr4	119127468	119127481	-	0.000	0.000	Merged-chr4-119127359-48
NR271--MA0731.1.BCL6B	chr10	19530152	19530168	-	0.000	0.000	Merged-chr10-19530154-52
NR2382--MA0731.1.BCL6B	chr7	84164954	84164970	+	0.000	0.000	Merged-chr7-84165071-54
NR1822--MA0463.1.Bcl6	chr4	48045108	48045121	-	0.000	0.000	Merged-chr4-48045107-76
NR805--MA0463.1.Bcl6	chr14	18670786	18670799	+	0.000	0.000	Merged-chr14-18670985-9
NR316--MA0731.1.BCL6B	chr10	56848144	56848160	+	0.000	0.000	Merged-chr10-56848025-2
NR568--MA0731.1.BCL6B	chr12	84451209	84451225	-	0.000	0.000	Merged-chr12-84451236-79
NR1044--MA0731.1.BCL6B	chr16	17508848	17508864	-	0.000	0.000	Merged-chr16-17508961-62
NR1048--MA0463.1.Bcl6	chr16	21794450	21794463	-	0.000	0.000	Merged-chr16-21794397-74
NR1724--MA0463.1.Bcl6	chr3	137611265	137611278	+	0.000	0.000	Merged-chr3-137611144-106
NR76--MA0731.1.BCL6B	chr1	66279479	66279495	+	0.000	0.000	Merged-chr1-66279555-43
NR1169--MA0463.1.Bcl6	chr17	29500923	29500936	+	0.000	0.000	Merged-chr17-29500871-30
NR1836--MA0463.1.Bcl6	chr4	57065438	57065451	+	0.000	0.000	Merged-chr4-57065457-35
NR286--MA0463.1.Bcl6	chr10	37232213	37232226	+	0.000	0.000	Merged-chr10-37232300-62
NR1966--MA0463.1.Bcl6	chr4	155491181	155491194	+	0.000	0.000	Merged-chr4-155491010-1
NR242--MA0731.1.BCL6B	chr10	5194947	5194963	-	0.000	0.000	Merged-chr10-5194873-88
NR41--MA0463.1.Bcl6	chr1	33883646	33883659	+	0.000	0.000	Merged-chr1-33883578-48
NR146--MA0731.1.BCL6B	chr1	131153224	131153240	-	0.000	0.000	Merged-chr1-131153253-37
NR417--MA0731.1.BCL6B	chr11	19993910	19993926	-	0.000	0.000	Merged-chr11-19993906-5
NR1541--MA0463.1.Bcl6	chr2	144527546	144527559	-	0.000	0.000	Merged-chr2-144527541-67
NR2058--MA0463.1.Bcl6	chr5	72161046	72161059	+	0.000	0.000	Merged-chr5-72161207-53
NR2618--MA0463.1.Bcl6	chr9	78113247	78113260	-	0.000	0.000	Merged-chr9-78113316-53
NR430--MA0463.1.Bcl6	chr11	51638254	51638267	-	0.000	0.000	Merged-chr11-51638186-26
NR2550--MA0731.1.BCL6B	chr8	117471568	117471584	+	0.000	0.000	Merged-chr8-117471438-26
NR757--MA0463.1.Bcl6	chr13	110683371	110683384	+	0.000	0.000	Merged-chr13-110683272-3
NR2597--MA0731.1.BCL6B	chr9	41116375	41116391	+	0.000	0.000	Merged-chr9-41116264-54
NR518--MA0731.1.BCL6B	chr12	33434055	33434071	+	0.000	0.000	Merged-chr12-33434060-41
NR356--MA0731.1.BCL6B	chr10	96181067	96181083	-	0.000	0.000	Merged-chr10-96181297-117
NR2324--MA0731.1.BCL6B	chr7	29908352	29908368	+	0.000	0.000	Merged-chr7-29908489-59
NR1259--MA0731.1.BCL6B	chr18	36525746	36525762	+	0.000	0.000	Merged-chr18-36525718-16
NR2323--MA0463.1.Bcl6	chr7	29908352	29908365	-	0.000	0.000	Merged-chr7-29908489-59
NR2066--MA0731.1.BCL6B	chr5	77170705	77170721	-	0.000	0.000	Merged-chr5-77170742-14
NR2608--MA0731.1.BCL6B	chr9	61924864	61924880	-	0.000	0.000	Merged-chr9-61925004-1
NR677--MA0463.1.Bcl6	chr13	61710900	61710913	+	0.000	0.000	Merged-chr13-61710985-22
NR1940--MA0731.1.BCL6B	chr4	134102477	134102493	+	0.000	0.000	Merged-chr4-134102653-39
NR2250--MA0731.1.BCL6B	chr6	117146748	117146764	-	0.000	0.000	Merged-chr6-117146729-2
NR2568--MA0731.1.BCL6B	chr8	127447272	127447288	+	0.000	0.000	Merged-chr8-127447217-34
NR1941--MA0463.1.Bcl6	chr4	134683114	134683127	-	0.000	0.000	Merged-chr4-134683033-16
NR485--MA0463.1.Bcl6	chr11	117334409	117334422	-	0.000	0.000	Merged-chr11-117334271-49
NR2438--MA0731.1.BCL6B	chr7	139648277	139648293	+	0.000	0.000	Merged-chr7-139648313-24
NR1731--MA0463.1.Bcl6	chr3	141841339	141841352	+	0.000	0.000	Merged-chr3-141841340-1
NR1288--MA0463.1.Bcl6	chr18	61643667	61643680	+	0.000	0.000	Merged-chr18-61643847-38
NR1503--MA0463.1.Bcl6	chr2	122486098	122486111	+	0.000	0.000	Merged-chr2-122485879-27
NR2378--MA0463.1.Bcl6	chr7	80905148	80905161	+	0.000	0.000	Merged-chr7-80905285-49
NR2181--MA0463.1.Bcl6	chr6	41526470	41526483	-	0.000	0.000	Merged-chr6-41526509-3
NR2539--MA0731.1.BCL6B	chr8	106973589	106973605	-	0.000	0.000	Merged-chr8-106973584-40
NR2620--MA0463.1.Bcl6	chr9	80067562	80067575	+	0.000	0.000	Merged-chr9-80067411-128
NR2607--MA0463.1.Bcl6	chr9	61681177	61681190	-	0.000	0.000	Merged-chr9-61681164-50
NR44--MA0463.1.Bcl6	chr1	36273171	36273184	+	0.000	0.000	Merged-chr1-36273311-46
NR979--MA0463.1.Bcl6	chr15	62730649	62730662	+	0.000	0.000	Merged-chr15-62730717-24
NR2465--MA0731.1.BCL6B	chr8	36140259	36140275	-	0.000	0.000	Merged-chr8-36140320-4
NR1611--MA0731.1.BCL6B	chr3	31145929	31145945	-	0.000	0.000	Merged-chr3-31145985-42
NR670--MA0463.1.Bcl6	chr13	49247952	49247965	+	0.000	0.000	Merged-chr13-49248043-74
NR1419--MA0463.1.Bcl6	chr2	54272664	54272677	-	0.000	0.000	Merged-chr2-54272736-1
NR49--MA0463.1.Bcl6	chr1	40085978	40085991	-	0.000	0.000	Merged-chr1-40085963-65
NR442--MA0463.1.Bcl6	chr11	58214898	58214911	-	0.000	0.000	Merged-chr11-58214991-50
NR460--MA0463.1.Bcl6	chr11	89024322	89024335	-	0.000	0.000	Merged-chr11-89024298-29
NR489--MA0731.1.BCL6B	chr12	4817611	4817627	+	0.000	0.000	Merged-chr12-4817506-66
NR1332--MA0731.1.BCL6B	chr19	18615923	18615939	+	0.000	0.000	Merged-chr19-18615969-1
NR2563--MA0463.1.Bcl6	chr8	125557520	125557533	-	0.000	0.000	Merged-chr8-125557520-11
NR1800--MA0463.1.Bcl6	chr4	26338968	26338981	+	0.000	0.000	Merged-chr4-26338850-16
NR1441--MA0731.1.BCL6B	chr2	69862572	69862588	-	0.000	0.000	Merged-chr2-69862499-13
NR1693--MA0731.1.BCL6B	chr3	115933922	115933938	+	0.000	0.000	Merged-chr3-115933714-29
NR456--MA0463.1.Bcl6	chr11	78345897	78345910	+	0.000	0.000	Merged-chr11-78345997-37
NR2327--MA0731.1.BCL6B	chr7	38215087	38215103	+	0.000	0.000	Merged-chr7-38215034-63
NR2120--MA0463.1.Bcl6	chr5	137338377	137338390	-	0.000	0.000	Merged-chr5-137338498-22
NR1930--MA0463.1.Bcl6	chr4	128689115	128689128	+	0.000	0.000	Merged-chr4-128689044-23
NR2232--MA0463.1.Bcl6	chr6	100215089	100215102	+	0.000	0.000	Merged-chr6-100214989-3
NR595--MA0463.1.Bcl6	chr12	107011658	107011671	+	0.000	0.000	Merged-chr12-107011663-34
NR1292--MA0731.1.BCL6B	chr18	65395665	65395681	-	0.000	0.000	Merged-chr18-65395765-31
NR1420--MA0731.1.BCL6B	chr2	54272664	54272680	+	0.000	0.000	Merged-chr2-54272736-1
