#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.dn.bed
NR33368--MA0742.1.Klf12	chr2	25262589	25262603	-	0.000	0.000	Merged-chr2-25262737-80
NR28620--MA1107.1.KLF9	chr17	84119720	84119732	+	0.000	0.000	Merged-chr17-84119713-65
NR36008--MA0741.1.KLF16	chr2	122765301	122765311	-	0.000	0.000	Merged-chr2-122765389-48
NR57799--MA0741.1.KLF16	chr7	99535050	99535060	+	0.000	0.000	Merged-chr7-99535229-9
NR47229--MA0493.1.Klf1	chr5	30710072	30710082	+	0.000	0.000	Merged-chr5-30710004-10
NR29983--MA0741.1.KLF16	chr18	61399028	61399038	+	0.000	0.000	Merged-chr18-61398839-2
NR42584--MA0741.1.KLF16	chr4	34882312	34882322	-	0.000	0.000	Merged-chr4-34882306-3
NR23717--MA1107.1.KLF9	chr16	13819265	13819277	-	0.000	0.000	Merged-chr16-13819185-114
NR33556--MA0599.1.KLF5	chr2	28533398	28533407	+	0.000	0.000	Merged-chr2-28533447-53
NR60246--MA0039.3.KLF4	chr8	22398591	22398601	+	0.000	0.000	Merged-chr8-22398467-72
NR17280--MA0039.3.KLF4	chr13	89521654	89521664	+	0.000	0.000	Merged-chr13-89521757-30
NR62575--MA0599.1.KLF5	chr8	117802046	117802055	+	0.000	0.000	Merged-chr8-117802067-74
NR38440--MA1107.1.KLF9	chr3	9500015	9500027	-	0.000	0.000	Merged-chr3-9499976-58
NR28369--MA0039.3.KLF4	chr17	78835592	78835602	-	0.000	0.000	Merged-chr17-78835526-79
NR32919--MA0741.1.KLF16	chr2	3284035	3284045	-	0.000	0.000	Merged-chr2-3284320-138
NR25481--MA0741.1.KLF16	chr16	94371682	94371692	-	0.000	0.000	Merged-chr16-94371721-8
NR16541--MA0599.1.KLF5	chr13	54188614	54188623	+	0.000	0.000	Merged-chr13-54188520-62
NR27763--MA1107.1.KLF9	chr17	55712345	55712357	+	0.000	0.000	Merged-chr17-55712492-56
NR61077--MA0740.1.KLF14	chr8	70797265	70797278	-	0.000	0.000	Merged-chr8-70797334-59
NR8291--MA1107.1.KLF9	chr10	121796196	121796208	+	0.000	0.000	Merged-chr10-121796258-28
NR33322--MA1107.1.KLF9	chr2	24975130	24975142	-	0.000	0.000	Merged-chr2-24975116-5
NR15816--MA0741.1.KLF16	chr13	23763591	23763601	-	0.000	0.000	Merged-chr13-23763739-41
NR63553--MA0599.1.KLF5	chr9	22156799	22156808	+	0.000	0.000	Merged-chr9-22156759-63
NR54926--MA0599.1.KLF5	chr6	145469422	145469431	-	0.000	0.000	Merged-chr6-145469437-17
NR46911--MA0740.1.KLF14	chr5	21056184	21056197	+	0.000	0.000	Merged-chr5-21055956-115
NR26431--MA0740.1.KLF14	chr17	24687415	24687428	+	0.000	0.000	Merged-chr17-24687301-48
NR28065--MA1107.1.KLF9	chr17	65884521	65884533	+	0.000	0.000	Merged-chr17-65884407-1
NR57656--MA0741.1.KLF16	chr7	96657254	96657264	+	0.000	0.000	Merged-chr7-96657062-2
NR26529--MA0741.1.KLF16	chr17	26507659	26507669	-	0.000	0.000	Merged-chr17-26507632-4
NR17725--MA0599.1.KLF5	chr13	101569401	101569410	-	0.000	0.000	Merged-chr13-101569413-14
NR60223--MA0740.1.KLF14	chr8	22166295	22166308	-	0.000	0.000	Merged-chr8-22166326-62
NR9136--MA0599.1.KLF5	chr11	21108293	21108302	+	0.000	0.000	Merged-chr11-21108325-26
NR51893--MA0493.1.Klf1	chr6	38789651	38789661	+	0.000	0.000	Merged-chr6-38789563-52
NR68369--MA0741.1.KLF16	chrY	90799069	90799079	-	0.000	0.000	Merged-chrY-90799205-23
NR63903--MA0741.1.KLF16	chr9	42264295	42264305	+	0.000	0.000	Merged-chr9-42264244-61
NR30554--MA0741.1.KLF16	chr18	75322573	75322583	-	0.000	0.000	Merged-chr18-75322404-42
NR52303--MA0599.1.KLF5	chr6	54849711	54849720	-	0.000	0.000	Merged-chr6-54849565-61
NR66591--MA0740.1.KLF14	chr9	118669775	118669788	+	0.000	0.000	Merged-chr9-118669839-33
NR58963--MA0599.1.KLF5	chr7	127244510	127244519	+	0.000	0.000	Merged-chr7-127244446-56
NR26333--MA1107.1.KLF9	chr17	23592729	23592741	+	0.000	0.000	Merged-chr17-23592787-37
NR35611--MA0741.1.KLF16	chr2	106693348	106693358	-	0.000	0.000	Merged-chr2-106693535-18
NR161--MA0657.1.KLF13	chr1	21079391	21079408	+	0.000	0.000	Merged-chr1-21079276-92
NR21910--MA0599.1.KLF5	chr15	72859486	72859495	+	0.000	0.000	Merged-chr15-72859470-25
NR25133--MA0741.1.KLF16	chr16	87495909	87495919	+	0.000	0.000	Merged-chr16-87495807-62
NR61920--MA0740.1.KLF14	chr8	95320969	95320982	+	0.000	0.000	Merged-chr8-95320775-75
NR15970--MA0740.1.KLF14	chr13	34163285	34163298	-	0.000	0.000	Merged-chr13-34163217-77
NR65397--MA0599.1.KLF5	chr9	94607631	94607640	-	0.000	0.000	Merged-chr9-94607543-65
NR57980--MA0493.1.Klf1	chr7	104231339	104231349	+	0.000	0.000	Merged-chr7-104231419-24
NR23453--MA0741.1.KLF16	chr15	103323589	103323599	-	0.000	0.000	Merged-chr15-103323812-100
NR29925--MA1107.1.KLF9	chr18	60844167	60844179	-	0.000	0.000	Merged-chr18-60844209-77
NR60143--MA0039.3.KLF4	chr8	14996106	14996116	-	0.000	0.000	Merged-chr8-14996187-57
NR886--MA0599.1.KLF5	chr1	64690880	64690889	+	0.000	0.000	Merged-chr1-64690862-70
NR47035--MA0741.1.KLF16	chr5	24351724	24351734	+	0.000	0.000	Merged-chr5-24351780-25
NR34437--MA0741.1.KLF16	chr2	62409040	62409050	+	0.000	0.000	Merged-chr2-62408986-36
NR16623--MA0741.1.KLF16	chr13	55593047	55593057	-	0.000	0.000	Merged-chr13-55593149-43
NR42604--MA0599.1.KLF5	chr4	35225865	35225874	+	0.000	0.000	Merged-chr4-35225977-93
NR51570--MA1107.1.KLF9	chr6	17901369	17901381	-	0.000	0.000	Merged-chr6-17901265-19
NR60746--MA0740.1.KLF14	chr8	57511845	57511858	-	0.000	0.000	Merged-chr8-57511963-83
NR40981--MA0740.1.KLF14	chr3	129901424	129901437	-	0.000	0.000	Merged-chr3-129901484-63
NR35863--MA0741.1.KLF16	chr2	119338030	119338040	+	0.000	0.000	Merged-chr2-119337945-63
NR60936--MA1107.1.KLF9	chr8	69790620	69790632	+	0.000	0.000	Merged-chr8-69790538-1
NR46650--MA0599.1.KLF5	chr5	3543823	3543832	-	0.000	0.000	Merged-chr5-3543963-58
NR14020--MA1107.1.KLF9	chr12	76527554	76527566	-	0.000	0.000	Merged-chr12-76527633-28
NR10687--MA0599.1.KLF5	chr11	75454781	75454790	+	0.000	0.000	Merged-chr11-75454726-54
NR49360--MA0599.1.KLF5	chr5	113994150	113994159	+	0.000	0.000	Merged-chr5-113994160-2
NR9381--MA1107.1.KLF9	chr11	32769105	32769117	-	0.000	0.000	Merged-chr11-32769022-47
NR17129--MA0741.1.KLF16	chr13	80885657	80885667	-	0.000	0.000	Merged-chr13-80885729-117
NR32577--MA1107.1.KLF9	chr19	55263408	55263420	-	0.000	0.000	Merged-chr19-55263325-12
NR8825--MA0740.1.KLF14	chr11	3932087	3932100	-	0.000	0.000	Merged-chr11-3931934-36
NR56188--MA0657.1.KLF13	chr7	30626217	30626234	+	0.000	0.000	Merged-chr7-30626131-41
NR30864--MA0599.1.KLF5	chr18	82577918	82577927	-	0.000	0.000	Merged-chr18-82577863-14
NR39074--MA0493.1.Klf1	chr3	59120256	59120266	-	0.000	0.000	Merged-chr3-59120352-78
NR26096--MA0741.1.KLF16	chr17	12992262	12992272	+	0.000	0.000	Merged-chr17-12992302-122
NR19564--MA0493.1.Klf1	chr14	57999005	57999015	-	0.000	0.000	Merged-chr14-57999124-66
NR10529--MA0742.1.Klf12	chr11	70669978	70669992	-	0.000	0.000	Merged-chr11-70669977-7
NR26606--MA0740.1.KLF14	chr17	27820688	27820701	+	0.000	0.000	Merged-chr17-27820571-92
NR57360--MA0742.1.Klf12	chr7	81454606	81454620	+	0.000	0.000	Merged-chr7-81454544-19
NR33001--MA0599.1.KLF5	chr2	5895418	5895427	+	0.000	0.000	Merged-chr2-5895412-60
NR47526--MA0740.1.KLF14	chr5	38684790	38684803	-	0.000	0.000	Merged-chr5-38684647-63
NR33340--MA1107.1.KLF9	chr2	25181021	25181033	+	0.000	0.000	Merged-chr2-25180911-83
NR61790--MA0741.1.KLF16	chr8	90795488	90795498	+	0.000	0.000	Merged-chr8-90795506-65
NR13830--MA1107.1.KLF9	chr12	69608665	69608677	+	0.000	0.000	Merged-chr12-69608852-1
NR2531--MA1107.1.KLF9	chr1	143644293	143644305	-	0.000	0.000	Merged-chr1-143644426-22
NR15997--MA0493.1.Klf1	chr13	34994176	34994186	-	0.000	0.000	Merged-chr13-34994132-82
NR53732--MA1107.1.KLF9	chr6	118197419	118197431	-	0.000	0.000	Merged-chr6-118197312-39
NR51897--MA1107.1.KLF9	chr6	38789651	38789663	+	0.000	0.000	Merged-chr6-38789563-52
NR784--MA0740.1.KLF14	chr1	59482089	59482102	-	0.000	0.000	Merged-chr1-59482272-104
NR43385--MA0599.1.KLF5	chr4	62502282	62502291	+	0.000	0.000	Merged-chr4-62502251-45
NR64247--MA0741.1.KLF16	chr9	55938119	55938129	-	0.000	0.000	Merged-chr9-55938219-68
NR23660--MA0599.1.KLF5	chr16	10958706	10958715	-	0.000	0.000	Merged-chr16-10958757-32
NR46433--MA0741.1.KLF16	chr4	152313460	152313470	-	0.000	0.000	Merged-chr4-152313382-29
NR37592--MA1107.1.KLF9	chr2	165983254	165983266	-	0.000	0.000	Merged-chr2-165983267-1
NR62207--MA1107.1.KLF9	chr8	106687804	106687816	-	0.000	0.000	Merged-chr8-106687705-18
NR61163--MA0599.1.KLF5	chr8	71611102	71611111	-	0.000	0.000	Merged-chr8-71611190-54
NR67353--MA0741.1.KLF16	chrX	48314745	48314755	+	0.000	0.000	Merged-chrX-48314836-34
NR16289--MA0039.3.KLF4	chr13	48528478	48528488	-	0.000	0.000	Merged-chr13-48528650-27
NR66129--MA0599.1.KLF5	chr9	110333369	110333378	-	0.000	0.000	Merged-chr9-110333533-55
NR13374--MA0493.1.Klf1	chr12	31567823	31567833	+	0.000	0.000	Merged-chr12-31567847-31
NR21467--MA0599.1.KLF5	chr15	38078883	38078892	-	0.000	0.000	Merged-chr15-38078784-97
NR7984--MA0741.1.KLF16	chr10	117660138	117660148	-	0.000	0.000	Merged-chr10-117659981-30
NR24177--MA0599.1.KLF5	chr16	31275327	31275336	+	0.000	0.000	Merged-chr16-31275130-59
NR2327--MA0741.1.KLF16	chr1	134747697	134747707	+	0.000	0.000	Merged-chr1-134747834-30
NR32595--MA0741.1.KLF16	chr19	55401899	55401909	-	0.000	0.000	Merged-chr19-55401887-30
NR46404--MA0599.1.KLF5	chr4	152212655	152212664	-	0.000	0.000	Merged-chr4-152212643-15
NR29249--MA0740.1.KLF14	chr18	25487039	25487052	-	0.000	0.000	Merged-chr18-25487147-80
NR47279--MA0599.1.KLF5	chr5	31251898	31251907	+	0.000	0.000	Merged-chr5-31251770-31
NR52517--MA1107.1.KLF9	chr6	67480703	67480715	+	0.000	0.000	Merged-chr6-67480682-22
NR64540--MA0599.1.KLF5	chr9	64737743	64737752	+	0.000	0.000	Merged-chr9-64737677-73
NR15674--MA1107.1.KLF9	chr13	13492082	13492094	+	0.000	0.000	Merged-chr13-13492146-24
NR38570--MA1107.1.KLF9	chr3	21936141	21936153	-	0.000	0.000	Merged-chr3-21936128-91
NR18721--MA0599.1.KLF5	chr14	20640847	20640856	+	0.000	0.000	Merged-chr14-20640824-81
NR12400--MA1107.1.KLF9	chr11	112781839	112781851	+	0.000	0.000	Merged-chr11-112781983-1
NR50804--MA0599.1.KLF5	chr5	140944722	140944731	-	0.000	0.000	Merged-chr5-140944857-24
NR57949--MA0742.1.Klf12	chr7	102529252	102529266	-	0.000	0.000	Merged-chr7-102529191-45
NR39988--MA0599.1.KLF5	chr3	97628798	97628807	+	0.000	0.000	Merged-chr3-97628792-45
NR32527--MA0742.1.Klf12	chr19	53479904	53479918	-	0.000	0.000	Merged-chr19-53479762-36
NR64499--MA0741.1.KLF16	chr9	63124366	63124376	+	0.000	0.000	Merged-chr9-63124202-41
NR28481--MA0657.1.KLF13	chr17	81045916	81045933	+	0.000	0.000	Merged-chr17-81046015-1
NR28890--MA0599.1.KLF5	chr17	88597611	88597620	+	0.000	0.000	Merged-chr17-88597413-65
NR67437--MA1107.1.KLF9	chrX	57189588	57189600	-	0.000	0.000	Merged-chrX-57189507-26
NR67210--MA0741.1.KLF16	chrX	36598159	36598169	+	0.000	0.000	Merged-chrX-36598230-66
NR49520--MA0740.1.KLF14	chr5	117069439	117069452	-	0.000	0.000	Merged-chr5-117069414-24
NR59601--MA0599.1.KLF5	chr7	141194125	141194134	-	0.000	0.000	Merged-chr7-141194198-81
NR9140--MA0493.1.Klf1	chr11	21174504	21174514	-	0.000	0.000	Merged-chr11-21174541-55
NR31287--MA0742.1.Klf12	chr19	6276662	6276676	-	0.000	0.000	Merged-chr19-6276643-88
NR32326--MA0039.3.KLF4	chr19	45790797	45790807	+	0.000	0.000	Merged-chr19-45790675-51
NR19905--MA0599.1.KLF5	chr14	70549507	70549516	+	0.000	0.000	Merged-chr14-70549442-27
NR39200--MA0599.1.KLF5	chr3	68543313	68543322	+	0.000	0.000	Merged-chr3-68543251-15
NR11327--MA0741.1.KLF16	chr11	88595871	88595881	+	0.000	0.000	Merged-chr11-88595910-28
NR21588--MA0599.1.KLF5	chr15	50667894	50667903	+	0.000	0.000	Merged-chr15-50667671-62
NR14459--MA1107.1.KLF9	chr12	91789832	91789844	-	0.000	0.000	Merged-chr12-91789924-28
NR26419--MA0493.1.Klf1	chr17	24478865	24478875	-	0.000	0.000	Merged-chr17-24479000-72
NR6556--MA0599.1.KLF5	chr10	80350544	80350553	+	0.000	0.000	Merged-chr10-80350407-33
NR30952--MA0039.3.KLF4	chr18	84293565	84293575	+	0.000	0.000	Merged-chr18-84293673-106
NR63374--MA0741.1.KLF16	chr9	14926828	14926838	+	0.000	0.000	Merged-chr9-14926732-51
NR27031--MA0741.1.KLF16	chr17	34127649	34127659	+	0.000	0.000	Merged-chr17-34127670-6
NR23414--MA0599.1.KLF5	chr15	102376887	102376896	-	0.000	0.000	Merged-chr15-102377119-58
NR29049--MA0599.1.KLF5	chr18	5819923	5819932	+	0.000	0.000	Merged-chr18-5820020-28
NR4496--MA1107.1.KLF9	chr1	191445859	191445871	-	0.000	0.000	Merged-chr1-191445969-55
NR23753--MA1107.1.KLF9	chr16	14380126	14380138	-	0.000	0.000	Merged-chr16-14380008-54
NR26124--MA0599.1.KLF5	chr17	13668635	13668644	+	0.000	0.000	Merged-chr17-13668793-34
NR3610--MA0741.1.KLF16	chr1	172521075	172521085	-	0.000	0.000	Merged-chr1-172520957-77
NR7892--MA0599.1.KLF5	chr10	116930685	116930694	+	0.000	0.000	Merged-chr10-116930621-65
NR61965--MA0741.1.KLF16	chr8	95833246	95833256	+	0.000	0.000	Merged-chr8-95833320-2
NR64867--MA0599.1.KLF5	chr9	72531972	72531981	+	0.000	0.000	Merged-chr9-72532103-113
NR32923--MA0599.1.KLF5	chr2	3284164	3284173	-	0.000	0.000	Merged-chr2-3284320-138
NR32779--MA0742.1.Klf12	chr19	58143977	58143991	-	0.000	0.000	Merged-chr19-58144082-51
NR56694--MA0599.1.KLF5	chr7	47104250	47104259	-	0.000	0.000	Merged-chr7-47104097-36
NR60488--MA0039.3.KLF4	chr8	35597273	35597283	+	0.000	0.000	Merged-chr8-35597143-68
NR4824--MA0599.1.KLF5	chr10	7212249	7212258	-	0.000	0.000	Merged-chr10-7212223-140
NR38682--MA1107.1.KLF9	chr3	31095080	31095092	-	0.000	0.000	Merged-chr3-31095271-1
NR61041--MA1107.1.KLF9	chr8	70594431	70594443	+	0.000	0.000	Merged-chr8-70594498-62
NR33078--MA0657.1.KLF13	chr2	11187393	11187410	-	0.000	0.000	Merged-chr2-11187260-69
NR36064--MA0741.1.KLF16	chr2	125189305	125189315	+	0.000	0.000	Merged-chr2-125189398-33
NR5699--MA0599.1.KLF5	chr10	60081273	60081282	-	0.000	0.000	Merged-chr10-60081362-88
NR10677--MA1107.1.KLF9	chr11	74926565	74926577	-	0.000	0.000	Merged-chr11-74926727-12
NR50916--MA0599.1.KLF5	chr5	142895215	142895224	-	0.000	0.000	Merged-chr5-142895252-53
NR6635--MA0740.1.KLF14	chr10	80676622	80676635	-	0.000	0.000	Merged-chr10-80676683-73
NR23091--MA0493.1.Klf1	chr15	97908368	97908378	+	0.000	0.000	Merged-chr15-97908198-86
NR67733--MA0741.1.KLF16	chrX	103616955	103616965	-	0.000	0.000	Merged-chrX-103616839-86
NR29840--MA1107.1.KLF9	chr18	56621016	56621028	-	0.000	0.000	Merged-chr18-56620960-32
NR24055--MA1107.1.KLF9	chr16	23549180	23549192	+	0.000	0.000	Merged-chr16-23549215-2
NR36489--MA1107.1.KLF9	chr2	137114970	137114982	+	0.000	0.000	Merged-chr2-137114905-4
NR42949--MA0599.1.KLF5	chr4	45972296	45972305	-	0.000	0.000	Merged-chr4-45972471-79
NR18067--MA0742.1.Klf12	chr13	109213212	109213226	-	0.000	0.000	Merged-chr13-109213117-28
NR16489--MA0740.1.KLF14	chr13	52929673	52929686	+	0.000	0.000	Merged-chr13-52929606-61
NR28929--MA0039.3.KLF4	chr17	88668755	88668765	+	0.000	0.000	Merged-chr17-88668603-31
NR16979--MA1107.1.KLF9	chr13	70637839	70637851	+	0.000	0.000	Merged-chr13-70637852-111
NR67994--MA0742.1.Klf12	chrX	151096297	151096311	-	0.000	0.000	Merged-chrX-151096457-56
NR4507--MA0657.1.KLF13	chr1	191662419	191662436	+	0.000	0.000	Merged-chr1-191662407-14
NR55846--MA0741.1.KLF16	chr7	25281980	25281990	+	0.000	0.000	Merged-chr7-25282176-85
NR19898--MA0741.1.KLF16	chr14	70351329	70351339	+	0.000	0.000	Merged-chr14-70351270-70
NR19200--MA0740.1.KLF14	chr14	48376271	48376284	+	0.000	0.000	Merged-chr14-48376361-15
NR40335--MA0599.1.KLF5	chr3	107036237	107036246	-	0.000	0.000	Merged-chr3-107036261-59
NR63517--MA0493.1.Klf1	chr9	21526102	21526112	-	0.000	0.000	Merged-chr9-21526182-42
NR40426--MA0741.1.KLF16	chr3	108653860	108653870	+	0.000	0.000	Merged-chr3-108653855-66
NR60727--MA0599.1.KLF5	chr8	57488699	57488708	-	0.000	0.000	Merged-chr8-57488538-11
NR32162--MA0599.1.KLF5	chr19	42770733	42770742	-	0.000	0.000	Merged-chr19-42770693-24
NR48474--MA0741.1.KLF16	chr5	92603039	92603049	-	0.000	0.000	Merged-chr5-92603127-58
NR9172--MA0599.1.KLF5	chr11	22851534	22851543	+	0.000	0.000	Merged-chr11-22851672-11
NR1629--MA0039.3.KLF4	chr1	92934603	92934613	+	0.000	0.000	Merged-chr1-92934490-65
NR16406--MA1107.1.KLF9	chr13	51726391	51726403	-	0.000	0.000	Merged-chr13-51726299-41
NR63763--MA0742.1.Klf12	chr9	35176012	35176026	+	0.000	0.000	Merged-chr9-35175859-80
NR60512--MA0599.1.KLF5	chr8	36249517	36249526	+	0.000	0.000	Merged-chr8-36249558-6
NR66147--MA0599.1.KLF5	chr9	110732701	110732710	-	0.000	0.000	Merged-chr9-110732795-38
NR33999--MA0493.1.Klf1	chr2	36091472	36091482	+	0.000	0.000	Merged-chr2-36091401-36
NR55264--MA0599.1.KLF5	chr7	4996069	4996078	-	0.000	0.000	Merged-chr7-4996162-39
NR12858--MA0599.1.KLF5	chr11	119943010	119943019	-	0.000	0.000	Merged-chr11-119943000-66
NR15938--MA0741.1.KLF16	chr13	34046645	34046655	+	0.000	0.000	Merged-chr13-34046570-24
NR56670--MA0039.3.KLF4	chr7	46838871	46838881	-	0.000	0.000	Merged-chr7-46838931-53
NR46422--MA0599.1.KLF5	chr4	152297156	152297165	-	0.000	0.000	Merged-chr4-152297190-61
NR9630--MA0741.1.KLF16	chr11	50225259	50225269	+	0.000	0.000	Merged-chr11-50225207-103
NR31385--MA0493.1.Klf1	chr19	8695454	8695464	-	0.000	0.000	Merged-chr19-8695569-23
NR11189--MA0039.3.KLF4	chr11	86484613	86484623	-	0.000	0.000	Merged-chr11-86484609-66
NR49471--MA1107.1.KLF9	chr5	115341214	115341226	-	0.000	0.000	Merged-chr5-115341130-65
NR19694--MA0493.1.Klf1	chr14	62342654	62342664	-	0.000	0.000	Merged-chr14-62342844-35
NR23301--MA1107.1.KLF9	chr15	100683150	100683162	+	0.000	0.000	Merged-chr15-100683235-12
NR27572--MA0599.1.KLF5	chr17	47395706	47395715	-	0.000	0.000	Merged-chr17-47395645-41
NR21251--MA1107.1.KLF9	chr15	25812123	25812135	-	0.000	0.000	Merged-chr15-25812163-56
NR32356--MA0741.1.KLF16	chr19	46148528	46148538	-	0.000	0.000	Merged-chr19-46148494-21
NR45645--MA0493.1.Klf1	chr4	138262423	138262433	+	0.000	0.000	Merged-chr4-138262353-56
NR53738--MA0599.1.KLF5	chr6	118593943	118593952	+	0.000	0.000	Merged-chr6-118593680-90
NR3943--MA0039.3.KLF4	chr1	181853229	181853239	+	0.000	0.000	Merged-chr1-181853067-80
NR19723--MA0740.1.KLF14	chr14	63940969	63940982	-	0.000	0.000	Merged-chr14-63940977-13
NR53276--MA0741.1.KLF16	chr6	99666819	99666829	+	0.000	0.000	Merged-chr6-99666817-4
NR47400--MA0599.1.KLF5	chr5	35105751	35105760	+	0.000	0.000	Merged-chr5-35105769-58
NR67116--MA0599.1.KLF5	chrX	13071443	13071452	-	0.000	0.000	Merged-chrX-13071580-193
NR3243--MA0741.1.KLF16	chr1	164571871	164571881	-	0.000	0.000	Merged-chr1-164571989-46
NR9579--MA0493.1.Klf1	chr11	49051306	49051316	+	0.000	0.000	Merged-chr11-49051380-85
NR19247--MA0599.1.KLF5	chr14	51913309	51913318	+	0.000	0.000	Merged-chr14-51913534-68
NR32354--MA0493.1.Klf1	chr19	46148516	46148526	+	0.000	0.000	Merged-chr19-46148494-21
NR15221--MA0740.1.KLF14	chr12	111759514	111759527	+	0.000	0.000	Merged-chr12-111759639-3
NR10977--MA0741.1.KLF16	chr11	80081058	80081068	-	0.000	0.000	Merged-chr11-80080950-54
NR8963--MA1107.1.KLF9	chr11	6000759	6000771	+	0.000	0.000	Merged-chr11-6000952-1
NR33895--MA0039.3.KLF4	chr2	33543823	33543833	-	0.000	0.000	Merged-chr2-33543891-59
NR57364--MA0741.1.KLF16	chr7	81454607	81454617	+	0.000	0.000	Merged-chr7-81454544-19
NR49108--MA0741.1.KLF16	chr5	110595576	110595586	+	0.000	0.000	Merged-chr5-110595397-93
NR23712--MA0742.1.Klf12	chr16	13819263	13819277	-	0.000	0.000	Merged-chr16-13819185-114
NR57550--MA1107.1.KLF9	chr7	90476111	90476123	-	0.000	0.000	Merged-chr7-90476243-63
NR47157--MA0741.1.KLF16	chr5	27791397	27791407	+	0.000	0.000	Merged-chr5-27791558-105
NR7997--MA0741.1.KLF16	chr10	117792864	117792874	-	0.000	0.000	Merged-chr10-117792709-55
NR52790--MA1107.1.KLF9	chr6	83273909	83273921	+	0.000	0.000	Merged-chr6-83273927-28
NR47601--MA0740.1.KLF14	chr5	51552660	51552673	+	0.000	0.000	Merged-chr5-51552540-96
NR6216--MA0599.1.KLF5	chr10	75765130	75765139	-	0.000	0.000	Merged-chr10-75765225-18
NR24029--MA0493.1.Klf1	chr16	22920007	22920017	-	0.000	0.000	Merged-chr16-22920184-19
NR57896--MA0742.1.Klf12	chr7	101538380	101538394	-	0.000	0.000	Merged-chr7-101538203-73
NR2189--MA0657.1.KLF13	chr1	132007333	132007350	-	0.000	0.000	Merged-chr1-132007424-3
NR19407--MA0741.1.KLF16	chr14	54464141	54464151	-	0.000	0.000	Merged-chr14-54464203-140
NR32333--MA0657.1.KLF13	chr19	46003420	46003437	-	0.000	0.000	Merged-chr19-46003515-58
NR51889--MA0493.1.Klf1	chr6	38551356	38551366	-	0.000	0.000	Merged-chr6-38551188-3
NR27899--MA0599.1.KLF5	chr17	57031690	57031699	-	0.000	0.000	Merged-chr17-57031784-94
NR53799--MA0741.1.KLF16	chr6	119749282	119749292	+	0.000	0.000	Merged-chr6-119749325-22
NR43805--MA1107.1.KLF9	chr4	98444859	98444871	-	0.000	0.000	Merged-chr4-98444883-15
NR11692--MA0599.1.KLF5	chr11	98022685	98022694	+	0.000	0.000	Merged-chr11-98022652-17
NR67022--MA0599.1.KLF5	chrX	8892338	8892347	+	0.000	0.000	Merged-chrX-8892389-3
NR38918--MA0741.1.KLF16	chr3	51396575	51396585	+	0.000	0.000	Merged-chr3-51396752-51
NR40648--MA0493.1.Klf1	chr3	121689302	121689312	+	0.000	0.000	Merged-chr3-121689232-23
NR30719--MA0657.1.KLF13	chr18	80469698	80469715	-	0.000	0.000	Merged-chr18-80469735-111
NR60078--MA0599.1.KLF5	chr8	13200683	13200692	-	0.000	0.000	Merged-chr8-13200567-28
NR5698--MA1107.1.KLF9	chr10	60077960	60077972	-	0.000	0.000	Merged-chr10-60077857-9
NR59811--MA0493.1.Klf1	chr7	144896407	144896417	-	0.000	0.000	Merged-chr7-144896188-46
NR51575--MA1107.1.KLF9	chr6	17901379	17901391	-	0.000	0.000	Merged-chr6-17901265-19
NR31389--MA1107.1.KLF9	chr19	8695518	8695530	-	0.000	0.000	Merged-chr19-8695569-23
NR29200--MA0741.1.KLF16	chr18	21300192	21300202	+	0.000	0.000	Merged-chr18-21300237-62
NR60454--MA0740.1.KLF14	chr8	34689188	34689201	-	0.000	0.000	Merged-chr8-34689039-1
NR9190--MA0599.1.KLF5	chr11	23124544	23124553	+	0.000	0.000	Merged-chr11-23124595-33
NR26549--MA0493.1.Klf1	chr17	26676375	26676385	-	0.000	0.000	Merged-chr17-26676631-68
NR49435--MA0039.3.KLF4	chr5	114824291	114824301	-	0.000	0.000	Merged-chr5-114824362-38
NR19561--MA0740.1.KLF14	chr14	57999002	57999015	-	0.000	0.000	Merged-chr14-57999124-66
NR51903--MA0599.1.KLF5	chr6	39348140	39348149	+	0.000	0.000	Merged-chr6-39348126-65
NR36816--MA1107.1.KLF9	chr2	148021939	148021951	+	0.000	0.000	Merged-chr2-148022020-1
NR14374--MA1107.1.KLF9	chr12	87052921	87052933	-	0.000	0.000	Merged-chr12-87053026-11
NR50518--MA0740.1.KLF14	chr5	137030212	137030225	-	0.000	0.000	Merged-chr5-137030185-35
NR5303--MA0741.1.KLF16	chr10	39505708	39505718	-	0.000	0.000	Merged-chr10-39505827-10
NR7720--MA0742.1.Klf12	chr10	111102953	111102967	+	0.000	0.000	Merged-chr10-111102896-60
NR64791--MA0599.1.KLF5	chr9	70542743	70542752	-	0.000	0.000	Merged-chr9-70542837-79
NR17979--MA0741.1.KLF16	chr13	107890430	107890440	-	0.000	0.000	Merged-chr13-107890491-165
NR58874--MA0599.1.KLF5	chr7	126759598	126759607	-	0.000	0.000	Merged-chr7-126759483-50
NR8533--MA0740.1.KLF14	chr10	127121270	127121283	-	0.000	0.000	Merged-chr10-127121155-48
