#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Prdm1/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed
NR1164--MA0508.2.PRDM1	chr17	42887604	42887613	+	0.000	0.000	Merged-chr17-42887503-23
NR1382--MA0508.2.PRDM1	chr2	13271433	13271442	-	0.000	0.000	Merged-chr2-13271415-60
NR1719--MA0508.2.PRDM1	chr3	97158753	97158762	+	0.000	0.000	Merged-chr3-97158953-85
NR1034--MA0508.2.PRDM1	chr16	22493578	22493587	+	0.000	0.000	Merged-chr16-22493542-26
NR1143--MA0508.2.PRDM1	chr17	23550902	23550911	+	0.000	0.000	Merged-chr17-23550701-105
NR1000--MA0508.2.PRDM1	chr15	96345068	96345077	-	0.000	0.000	Merged-chr15-96345150-30
NR1666--MA0508.2.PRDM1	chr3	51559774	51559783	-	0.000	0.000	Merged-chr3-51559853-4
NR1937--MA0508.2.PRDM1	chr4	86722002	86722011	-	0.000	0.000	Merged-chr4-86721990-52
NR1318--MA0508.2.PRDM1	chr18	84951560	84951569	+	0.000	0.000	Merged-chr18-84951669-87
NR1299--MA0508.2.PRDM1	chr18	64931242	64931251	-	0.000	0.000	Merged-chr18-64931407-12
NR2582--MA0508.2.PRDM1	chr8	126833020	126833029	+	0.000	0.000	Merged-chr8-126833007-101
NR994--MA0508.2.PRDM1	chr15	86228297	86228306	-	0.000	0.000	Merged-chr15-86228439-16
NR1536--MA0508.2.PRDM1	chr2	118200040	118200049	+	0.000	0.000	Merged-chr2-118200163-35
NR1122--MA0508.2.PRDM1	chr17	7892787	7892796	+	0.000	0.000	Merged-chr17-7892904-34
NR1897--MA0508.2.PRDM1	chr4	59278647	59278656	-	0.000	0.000	Merged-chr4-59278599-46
NR58--MA0508.2.PRDM1	chr1	53909310	53909319	-	0.000	0.000	Merged-chr1-53909307-13
NR1387--MA0508.2.PRDM1	chr2	14879817	14879826	-	0.000	0.000	Merged-chr2-14879911-6
NR24--MA0508.2.PRDM1	chr1	20912552	20912561	-	0.000	0.000	Merged-chr1-20912686-65
NR877--MA0508.2.PRDM1	chr14	90025274	90025283	-	0.000	0.000	Merged-chr14-90025209-2
NR1496--MA0508.2.PRDM1	chr2	90890289	90890298	+	0.000	0.000	Merged-chr2-90890259-1
NR2322--MA0508.2.PRDM1	chr6	127246038	127246047	+	0.000	0.000	Merged-chr6-127246096-47
NR986--MA0508.2.PRDM1	chr15	73629818	73629827	-	0.000	0.000	Merged-chr15-73629813-13
NR843--MA0508.2.PRDM1	chr14	59341474	59341483	-	0.000	0.000	Merged-chr14-59341391-54
NR999--MA0508.2.PRDM1	chr15	94255282	94255291	+	0.000	0.000	Merged-chr15-94255177-46
NR1475--MA0508.2.PRDM1	chr2	77237471	77237480	+	0.000	0.000	Merged-chr2-77237632-1
NR171--MA0508.2.PRDM1	chr1	158177299	158177308	-	0.000	0.000	Merged-chr1-158177392-1
NR965--MA0508.2.PRDM1	chr15	50694151	50694160	+	0.000	0.000	Merged-chr15-50694314-20
NR1507--MA0508.2.PRDM1	chr2	105021926	105021935	-	0.000	0.000	Merged-chr2-105022109-54
NR869--MA0508.2.PRDM1	chr14	87066619	87066628	-	0.000	0.000	Merged-chr14-87066806-16
NR1597--MA0508.2.PRDM1	chr2	174932755	174932764	+	0.000	0.000	Merged-chr2-174932867-47
NR2423--MA0508.2.PRDM1	chr7	70628277	70628286	+	0.000	0.000	Merged-chr7-70628191-1
NR2532--MA0508.2.PRDM1	chr8	61283285	61283294	-	0.000	0.000	Merged-chr8-61283229-50
NR739--MA0508.2.PRDM1	chr13	105266985	105266994	+	0.000	0.000	Merged-chr13-105266881-21
NR1358--MA0508.2.PRDM1	chr19	41911927	41911936	-	0.000	0.000	Merged-chr19-41912030-67
NR801--MA0508.2.PRDM1	chr14	16432970	16432979	+	0.000	0.000	Merged-chr14-16432942-30
NR577--MA0508.2.PRDM1	chr12	112130380	112130389	+	0.000	0.000	Merged-chr12-112130474-63
NR848--MA0508.2.PRDM1	chr14	64688869	64688878	+	0.000	0.000	Merged-chr14-64688922-18
NR163--MA0508.2.PRDM1	chr1	152010419	152010428	-	0.000	0.000	Merged-chr1-152010502-52
NR434--MA0508.2.PRDM1	chr11	66905954	66905963	-	0.000	0.000	Merged-chr11-66906049-23
NR543--MA0508.2.PRDM1	chr12	79634010	79634019	+	0.000	0.000	Merged-chr12-79634130-2
NR814--MA0508.2.PRDM1	chr14	32201971	32201980	-	0.000	0.000	Merged-chr14-32201951-64
NR795--MA0508.2.PRDM1	chr14	11997994	11998003	-	0.000	0.000	Merged-chr14-11997983-1
NR447--MA0508.2.PRDM1	chr11	94601809	94601818	-	0.000	0.000	Merged-chr11-94601858-52
NR1175--MA0508.2.PRDM1	chr17	51743291	51743300	-	0.000	0.000	Merged-chr17-51743349-2
NR1079--MA0508.2.PRDM1	chr16	64824652	64824661	+	0.000	0.000	Merged-chr16-64824762-36
NR1459--MA0508.2.PRDM1	chr2	65182903	65182912	+	0.000	0.000	Merged-chr2-65182800-62
NR631--MA0508.2.PRDM1	chr13	23574209	23574218	+	0.000	0.000	Merged-chr13-23574347-69
NR1297--MA0508.2.PRDM1	chr18	61638217	61638226	+	0.000	0.000	Merged-chr18-61638222-61
NR2580--MA0508.2.PRDM1	chr8	123162984	123162993	+	0.000	0.000	Merged-chr8-123163099-40
NR2503--MA0508.2.PRDM1	chr8	25132731	25132740	+	0.000	0.000	Merged-chr8-25132757-32
NR439--MA0508.2.PRDM1	chr11	78328290	78328299	-	0.000	0.000	Merged-chr11-78328473-53
NR548--MA0508.2.PRDM1	chr12	86879814	86879823	+	0.000	0.000	Merged-chr12-86879844-2
NR243--MA0508.2.PRDM1	chr10	16830080	16830089	+	0.000	0.000	Merged-chr10-16829982-2
NR352--MA0508.2.PRDM1	chr10	94829520	94829529	-	0.000	0.000	Merged-chr10-94829610-38
NR2734--MA0508.2.PRDM1	chrX	159626349	159626358	-	0.000	0.000	Merged-chrX-159626513-14
NR875--MA0508.2.PRDM1	chr14	89826978	89826987	+	0.000	0.000	Merged-chr14-89826834-10
NR461--MA0508.2.PRDM1	chr11	118086180	118086189	-	0.000	0.000	Merged-chr11-118086043-2
NR745--MA0508.2.PRDM1	chr13	106691992	106692001	+	0.000	0.000	Merged-chr13-106691961-50
NR2713--MA0508.2.PRDM1	chrX	77509282	77509291	+	0.000	0.000	Merged-chrX-77509424-59
NR583--MA0508.2.PRDM1	chr12	117995044	117995053	-	0.000	0.000	Merged-chr12-117995119-48
NR758--MA0508.2.PRDM1	chr13	110564221	110564230	+	0.000	0.000	Merged-chr13-110564159-46
NR2726--MA0508.2.PRDM1	chrX	134566758	134566767	+	0.000	0.000	Merged-chrX-134566845-16
NR2312--MA0508.2.PRDM1	chr6	121241940	121241949	-	0.000	0.000	Merged-chr6-121242053-23
NR248--MA0508.2.PRDM1	chr10	19168063	19168072	+	0.000	0.000	Merged-chr10-19167953-53
NR105--MA0508.2.PRDM1	chr1	98589842	98589851	+	0.000	0.000	Merged-chr1-98589738-39
NR357--MA0508.2.PRDM1	chr10	99245177	99245186	+	0.000	0.000	Merged-chr10-99245013-5
NR2468--MA0508.2.PRDM1	chr7	122932333	122932342	-	0.000	0.000	Merged-chr7-122932357-26
NR2325--MA0508.2.PRDM1	chr6	129366092	129366101	+	0.000	0.000	Merged-chr6-129366136-25
NR989--MA0508.2.PRDM1	chr15	78596959	78596968	+	0.000	0.000	Merged-chr15-78597127-20
NR2176--MA0508.2.PRDM1	chr5	140871436	140871445	+	0.000	0.000	Merged-chr5-140871418-38
NR859--MA0508.2.PRDM1	chr14	79180670	79180679	-	0.000	0.000	Merged-chr14-79180563-9
NR174--MA0508.2.PRDM1	chr1	159953686	159953695	-	0.000	0.000	Merged-chr1-159953685-19
NR349--MA0508.2.PRDM1	chr10	93453449	93453458	-	0.000	0.000	Merged-chr10-93453277-72
NR187--MA0508.2.PRDM1	chr1	173420451	173420460	+	0.000	0.000	Merged-chr1-173420566-40
NR729--MA0508.2.PRDM1	chr13	100854321	100854330	-	0.000	0.000	Merged-chr13-100854442-29
NR328--MA0508.2.PRDM1	chr10	79417332	79417341	-	0.000	0.000	Merged-chr10-79417442-89
NR2373--MA0508.2.PRDM1	chr7	6343580	6343589	+	0.000	0.000	Merged-chr7-6343741-28
NR166--MA0508.2.PRDM1	chr1	154786475	154786484	+	0.000	0.000	Merged-chr1-154786384-57
NR275--MA0508.2.PRDM1	chr10	40476411	40476420	-	0.000	0.000	Merged-chr10-40476553-4
NR798--MA0508.2.PRDM1	chr14	14716269	14716278	-	0.000	0.000	Merged-chr14-14716073-16
NR1532--MA0508.2.PRDM1	chr2	117358210	117358219	+	0.000	0.000	Merged-chr2-117358189-8
NR179--MA0508.2.PRDM1	chr1	161804526	161804535	+	0.000	0.000	Merged-chr1-161804729-61
NR288--MA0508.2.PRDM1	chr10	52382205	52382214	-	0.000	0.000	Merged-chr10-52382064-99
NR2527--MA0508.2.PRDM1	chr8	57749557	57749566	-	0.000	0.000	Merged-chr8-57749718-8
NR1131--MA0508.2.PRDM1	chr17	12692069	12692078	+	0.000	0.000	Merged-chr17-12692013-52
NR2365--MA0508.2.PRDM1	chr6	145285860	145285869	+	0.000	0.000	Merged-chr6-145285757-35
NR2126--MA0508.2.PRDM1	chr5	85781414	85781423	+	0.000	0.000	Merged-chr5-85781215-4
NR538--MA0508.2.PRDM1	chr12	76752972	76752981	+	0.000	0.000	Merged-chr12-76753055-50
NR1938--MA0508.2.PRDM1	chr4	86748582	86748591	-	0.000	0.000	Merged-chr4-86748710-108
NR2506--MA0508.2.PRDM1	chr8	26622236	26622245	-	0.000	0.000	Merged-chr8-26622131-10
NR1232--MA0508.2.PRDM1	chr18	11883434	11883443	-	0.000	0.000	Merged-chr18-11883419-27
NR2009--MA0508.2.PRDM1	chr4	148998232	148998241	+	0.000	0.000	Merged-chr4-148998288-20
NR1341--MA0508.2.PRDM1	chr19	9911610	9911619	+	0.000	0.000	Merged-chr19-9911533-24
NR1612--MA0508.2.PRDM1	chr3	8718383	8718392	+	0.000	0.000	Merged-chr3-8718167-60
NR259--MA0508.2.PRDM1	chr10	25387422	25387431	+	0.000	0.000	Merged-chr10-25387454-21
NR1721--MA0508.2.PRDM1	chr3	100969744	100969753	+	0.000	0.000	Merged-chr3-100969599-56
NR1102--MA0508.2.PRDM1	chr16	84982725	84982734	+	0.000	0.000	Merged-chr16-84982791-18
NR940--MA0508.2.PRDM1	chr15	30458924	30458933	-	0.000	0.000	Merged-chr15-30458920-2
NR1354--MA0508.2.PRDM1	chr19	34846599	34846608	-	0.000	0.000	Merged-chr19-34846685-64
NR2588--MA0508.2.PRDM1	chr8	128709380	128709389	-	0.000	0.000	Merged-chr8-128709398-34
NR2174--MA0508.2.PRDM1	chr5	139368037	139368046	+	0.000	0.000	Merged-chr5-139368071-16
NR81--MA0508.2.PRDM1	chr1	76754996	76755005	+	0.000	0.000	Merged-chr1-76755045-2
NR2349--MA0508.2.PRDM1	chr6	140308248	140308257	+	0.000	0.000	Merged-chr6-140308190-9
NR1747--MA0508.2.PRDM1	chr3	123385939	123385948	+	0.000	0.000	Merged-chr3-123385920-64
NR1062--MA0508.2.PRDM1	chr16	51705264	51705273	+	0.000	0.000	Merged-chr16-51705241-52
NR1333--MA0508.2.PRDM1	chr19	4114059	4114068	+	0.000	0.000	Merged-chr19-4113915-47
NR198--MA0508.2.PRDM1	chr1	180403776	180403785	-	0.000	0.000	Merged-chr1-180403715-60
NR1564--MA0508.2.PRDM1	chr2	145233990	145233999	+	0.000	0.000	Merged-chr2-145234039-59
NR802--MA0508.2.PRDM1	chr14	16434335	16434344	-	0.000	0.000	Merged-chr14-16434532-15
NR1150--MA0508.2.PRDM1	chr17	31296185	31296194	-	0.000	0.000	Merged-chr17-31295980-148
NR1782--MA0508.2.PRDM1	chr3	142674824	142674833	+	0.000	0.000	Merged-chr3-142674758-15
NR1577--MA0508.2.PRDM1	chr2	153632750	153632759	+	0.000	0.000	Merged-chr2-153632630-73
NR1163--MA0508.2.PRDM1	chr17	42887544	42887553	-	0.000	0.000	Merged-chr17-42887503-23
NR52--MA0508.2.PRDM1	chr1	51155454	51155463	+	0.000	0.000	Merged-chr1-51155443-2
NR1033--MA0508.2.PRDM1	chr16	21836808	21836817	+	0.000	0.000	Merged-chr16-21836791-13
NR1142--MA0508.2.PRDM1	chr17	21469216	21469225	+	0.000	0.000	Merged-chr17-21469407-5
NR1665--MA0508.2.PRDM1	chr3	51553251	51553260	-	0.000	0.000	Merged-chr3-51553157-56
NR470--MA0508.2.PRDM1	chr12	8842630	8842639	-	0.000	0.000	Merged-chr12-8842561-54
NR1360--MA0508.2.PRDM1	chr19	42306426	42306435	+	0.000	0.000	Merged-chr19-42306300-48
NR1264--MA0508.2.PRDM1	chr18	38592492	38592501	-	0.000	0.000	Merged-chr18-38592462-9
NR1373--MA0508.2.PRDM1	chr2	6220491	6220500	-	0.000	0.000	Merged-chr2-6220387-36
NR1439--MA0508.2.PRDM1	chr2	52979417	52979426	-	0.000	0.000	Merged-chr2-52979573-5
NR720--MA0508.2.PRDM1	chr13	92671879	92671888	-	0.000	0.000	Merged-chr13-92671922-24
NR23--MA0508.2.PRDM1	chr1	20820395	20820404	+	0.000	0.000	Merged-chr1-20820206-62
NR462--MA0508.2.PRDM1	chr11	118348902	118348911	+	0.000	0.000	Merged-chr11-118348908-46
NR1081--MA0508.2.PRDM1	chr16	65135976	65135985	+	0.000	0.000	Merged-chr16-65135972-1
NR1147--MA0508.2.PRDM1	chr17	28523141	28523150	-	0.000	0.000	Merged-chr17-28522997-85
NR985--MA0508.2.PRDM1	chr15	73146892	73146901	+	0.000	0.000	Merged-chr15-73146986-37
NR1875--MA0508.2.PRDM1	chr4	41064283	41064292	+	0.000	0.000	Merged-chr4-41064306-11
NR571--MA0508.2.PRDM1	chr12	99773766	99773775	+	0.000	0.000	Merged-chr12-99773885-16
NR1094--MA0508.2.PRDM1	chr16	75877298	75877307	-	0.000	0.000	Merged-chr16-75877310-18
NR1745--MA0508.2.PRDM1	chr3	121105080	121105089	-	0.000	0.000	Merged-chr3-121105161-35
NR1269--MA0508.2.PRDM1	chr18	41861277	41861286	-	0.000	0.000	Merged-chr18-41861355-68
