#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gata/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed
NR6976--MA0482.1.Gata4	chr4	88015483	88015493	+	0.000	0.000	Merged-chr4-88015608-45
NR7757--MA0037.3.GATA3	chr5	139483517	139483524	-	0.000	0.000	Merged-chr5-139483495-36
NR4128--MA1104.1.GATA6	chr16	85172247	85172259	-	0.000	0.000	Merged-chr16-85172081-1
NR3899--MA0766.1.GATA5	chr16	29856393	29856400	-	0.000	0.000	Merged-chr16-29856280-19
NR4091--MA0140.2.GATA1::TAL1	chr16	76225784	76225801	+	0.000	0.000	Merged-chr16-76225808-94
NR6238--MA0035.3.Gata1	chr3	84461169	84461179	-	0.000	0.000	Merged-chr3-84461060-54
NR3485--MA0766.1.GATA5	chr15	19857647	19857654	-	0.000	0.000	Merged-chr15-19857574-17
NR1780--MA1104.1.GATA6	chr11	116782934	116782946	-	0.000	0.000	Merged-chr11-116782885-34
NR4171--MA1104.1.GATA6	chr16	91448306	91448318	+	0.000	0.000	Merged-chr16-91448282-13
NR5044--MA0037.3.GATA3	chr19	29367426	29367433	+	0.000	0.000	Merged-chr19-29367376-49
NR7420--MA0036.3.GATA2	chr5	36722517	36722527	-	0.000	0.000	Merged-chr5-36722614-37
NR4786--MA0482.1.Gata4	chr18	50028360	50028370	-	0.000	0.000	Merged-chr18-50028414-49
NR5740--MA0036.3.GATA2	chr2	150667355	150667365	-	0.000	0.000	Merged-chr2-150667676-130
NR3865--MA0766.1.GATA5	chr16	24826503	24826510	-	0.000	0.000	Merged-chr16-24826564-20
NR1314--MA0766.1.GATA5	chr10	99393614	99393621	+	0.000	0.000	Merged-chr10-99393384-65
NR5222--MA0035.3.Gata1	chr2	29632324	29632334	-	0.000	0.000	Merged-chr2-29632325-58
NR1566--MA0766.1.GATA5	chr11	22813645	22813652	+	0.000	0.000	Merged-chr11-22813643-1
NR2267--MA0036.3.GATA2	chr12	98247086	98247096	+	0.000	0.000	Merged-chr12-98247130-40
NR8778--MA0482.1.Gata4	chr7	73600105	73600115	-	0.000	0.000	Merged-chr7-73600199-6
NR1936--MA0036.3.GATA2	chr12	36057887	36057897	+	0.000	0.000	Merged-chr12-36057875-8
NR8159--MA0482.1.Gata4	chr6	82922014	82922024	-	0.000	0.000	Merged-chr6-82922037-57
NR8338--MA1104.1.GATA6	chr6	127474041	127474053	+	0.000	0.000	Merged-chr6-127474146-19
NR2156--MA1104.1.GATA6	chr12	88408405	88408417	+	0.000	0.000	Merged-chr12-88408457-71
NR6269--MA0766.1.GATA5	chr3	93607809	93607816	+	0.000	0.000	Merged-chr3-93607971-30
NR389--MA0482.1.Gata4	chr1	94035513	94035523	+	0.000	0.000	Merged-chr1-94035484-87
NR9917--MA0766.1.GATA5	chrX	140537799	140537806	-	0.000	0.000	Merged-chrX-140537922-35
NR4385--MA0482.1.Gata4	chr17	35910100	35910110	+	0.000	0.000	Merged-chr17-35910117-56
NR1774--MA0036.3.GATA2	chr11	113788692	113788702	+	0.000	0.000	Merged-chr11-113788685-32
NR9222--MA0036.3.GATA2	chr8	54436802	54436812	+	0.000	0.000	Merged-chr8-54436651-1
NR4037--MA0482.1.Gata4	chr16	64758765	64758775	-	0.000	0.000	Merged-chr16-64758494-145
NR8058--MA0766.1.GATA5	chr6	58832867	58832874	-	0.000	0.000	Merged-chr6-58832889-39
NR9846--MA0035.3.Gata1	chrX	23673358	23673368	+	0.000	0.000	Merged-chrX-23673581-22
NR9484--MA0766.1.GATA5	chr9	13536930	13536937	+	0.000	0.000	Merged-chr9-13536890-20
NR3664--MA0035.3.Gata1	chr15	63989731	63989741	-	0.000	0.000	Merged-chr15-63989879-13
NR8377--MA0482.1.Gata4	chr6	130102978	130102988	+	0.000	0.000	Merged-chr6-130103023-31
NR1755--MA0482.1.Gata4	chr11	106430743	106430753	+	0.000	0.000	Merged-chr11-106430638-37
NR2347--MA0035.3.Gata1	chr12	118255860	118255870	-	0.000	0.000	Merged-chr12-118255780-45
NR1274--MA0766.1.GATA5	chr10	95971102	95971109	-	0.000	0.000	Merged-chr10-95971075-85
NR4207--MA0766.1.GATA5	chr16	97204301	97204308	-	0.000	0.000	Merged-chr16-97204388-55
NR3773--MA0035.3.Gata1	chr15	103339525	103339535	+	0.000	0.000	Merged-chr15-103339534-3
NR1612--MA0482.1.Gata4	chr11	46389539	46389549	+	0.000	0.000	Merged-chr11-46389577-59
NR6349--MA0482.1.Gata4	chr3	121343373	121343383	+	0.000	0.000	Merged-chr3-121343370-11
NR1797--MA0766.1.GATA5	chr12	3989940	3989947	+	0.000	0.000	Merged-chr12-3989980-1
NR8839--MA0140.2.GATA1::TAL1	chr7	83600200	83600217	-	0.000	0.000	Merged-chr7-83600067-26
NR3791--MA0766.1.GATA5	chr16	5746818	5746825	-	0.000	0.000	Merged-chr16-5746649-1
NR709--MA0037.3.GATA3	chr1	164366711	164366718	-	0.000	0.000	Merged-chr1-164366862-30
NR4434--MA0037.3.GATA3	chr17	52348687	52348694	-	0.000	0.000	Merged-chr17-52348820-8
NR8251--MA0037.3.GATA3	chr6	108168408	108168415	+	0.000	0.000	Merged-chr6-108168461-115
NR9031--MA0035.3.Gata1	chr7	140207132	140207142	+	0.000	0.000	Merged-chr7-140207191-19
NR9596--MA0036.3.GATA2	chr9	53271836	53271846	+	0.000	0.000	Merged-chr9-53271662-13
NR7783--MA0766.1.GATA5	chr5	149255637	149255644	-	0.000	0.000	Merged-chr5-149255735-4
NR7071--MA0140.2.GATA1::TAL1	chr4	107989070	107989087	-	0.000	0.000	Merged-chr4-107989218-22
NR5780--MA0035.3.Gata1	chr2	163054626	163054636	-	0.000	0.000	Merged-chr2-163054784-63
NR1657--MA0036.3.GATA2	chr11	64037639	64037649	-	0.000	0.000	Merged-chr11-64037767-32
NR930--MA0035.3.Gata1	chr10	19122264	19122274	+	0.000	0.000	Merged-chr10-19122454-26
NR7154--MA0036.3.GATA2	chr4	140815639	140815649	+	0.000	0.000	Merged-chr4-140815831-84
NR7231--MA0482.1.Gata4	chr4	156022069	156022079	+	0.000	0.000	Merged-chr4-156022073-120
NR1762--MA0140.2.GATA1::TAL1	chr11	109561082	109561099	-	0.000	0.000	Merged-chr11-109560984-42
NR5602--MA0036.3.GATA2	chr2	132292254	132292264	-	0.000	0.000	Merged-chr2-132292299-25
NR7534--MA0036.3.GATA2	chr5	64519186	64519196	-	0.000	0.000	Merged-chr5-64519093-9
NR8992--MA0037.3.GATA3	chr7	127288042	127288049	+	0.000	0.000	Merged-chr7-127288112-51
NR1633--MA0766.1.GATA5	chr11	54063314	54063321	+	0.000	0.000	Merged-chr11-54063198-57
NR3294--MA0766.1.GATA5	chr14	100283702	100283709	-	0.000	0.000	Merged-chr14-100283659-2
NR4072--MA0482.1.Gata4	chr16	66086702	66086712	+	0.000	0.000	Merged-chr16-66086640-17
NR1562--MA0035.3.Gata1	chr11	21103247	21103257	+	0.000	0.000	Merged-chr11-21103382-12
NR9856--MA0766.1.GATA5	chrX	42511293	42511300	+	0.000	0.000	Merged-chrX-42511352-16
NR1241--MA1104.1.GATA6	chr10	89326992	89327004	+	0.000	0.000	Merged-chr10-89327162-49
NR1113--MA0036.3.GATA2	chr10	62665830	62665840	-	0.000	0.000	Merged-chr10-62665963-7
NR1790--MA0482.1.Gata4	chr11	121038747	121038757	+	0.000	0.000	Merged-chr11-121038759-1
NR3417--MA0035.3.Gata1	chr14	122788394	122788404	-	0.000	0.000	Merged-chr14-122788282-21
NR3788--MA0482.1.Gata4	chr16	5746818	5746828	+	0.000	0.000	Merged-chr16-5746649-1
NR8657--MA0037.3.GATA3	chr7	30099623	30099630	+	0.000	0.000	Merged-chr7-30099514-26
NR9708--MA0035.3.Gata1	chr9	86579814	86579824	+	0.000	0.000	Merged-chr9-86579809-9
NR1898--MA0766.1.GATA5	chr12	28589598	28589605	-	0.000	0.000	Merged-chr12-28589573-34
NR9368--MA0037.3.GATA3	chr8	111566113	111566120	-	0.000	0.000	Merged-chr8-111566005-2
NR890--MA0035.3.Gata1	chr10	13993678	13993688	+	0.000	0.000	Merged-chr10-13993632-56
NR5756--MA1104.1.GATA6	chr2	153525958	153525970	-	0.000	0.000	Merged-chr2-153526092-26
NR4012--MA0037.3.GATA3	chr16	58670210	58670217	-	0.000	0.000	Merged-chr16-58670422-58
NR1822--MA0482.1.Gata4	chr12	12373254	12373264	-	0.000	0.000	Merged-chr12-12373073-13
NR712--MA0036.3.GATA2	chr1	164366710	164366720	+	0.000	0.000	Merged-chr1-164366862-30
NR6420--MA0037.3.GATA3	chr3	133332579	133332586	-	0.000	0.000	Merged-chr3-133332565-72
NR7200--MA0035.3.Gata1	chr4	149147505	149147515	-	0.000	0.000	Merged-chr4-149147530-1
NR2855--MA0037.3.GATA3	chr13	106997642	106997649	+	0.000	0.000	Merged-chr13-106997590-6
NR1479--MA0035.3.Gata1	chr10	125330207	125330217	+	0.000	0.000	Merged-chr10-125330277-12
NR3406--MA0482.1.Gata4	chr14	121995694	121995704	-	0.000	0.000	Merged-chr14-121995600-7
NR7427--MA0766.1.GATA5	chr5	37083247	37083254	-	0.000	0.000	Merged-chr5-37083387-28
NR25--MA0766.1.GATA5	chr1	6453564	6453571	+	0.000	0.000	Merged-chr1-6453471-6
NR4892--MA0140.2.GATA1::TAL1	chr18	67212824	67212841	+	0.000	0.000	Merged-chr18-67212775-57
NR8779--MA1104.1.GATA6	chr7	73600105	73600117	+	0.000	0.000	Merged-chr7-73600199-6
NR5052--MA0036.3.GATA2	chr19	31210683	31210693	+	0.000	0.000	Merged-chr19-31210653-54
NR5989--MA0036.3.GATA2	chr3	41107781	41107791	+	0.000	0.000	Merged-chr3-41107952-27
NR2597--MA1104.1.GATA6	chr13	61996741	61996753	-	0.000	0.000	Merged-chr13-61996796-15
NR1174--MA0035.3.Gata1	chr10	75406253	75406263	-	0.000	0.000	Merged-chr10-75406076-29
NR4226--MA0482.1.Gata4	chr17	3209754	3209764	+	0.000	0.000	Merged-chr17-3209784-17
NR7807--MA0766.1.GATA5	chr5	150593213	150593220	-	0.000	0.000	Merged-chr5-150593583-231
NR8109--MA0482.1.Gata4	chr6	66252375	66252385	+	0.000	0.000	Merged-chr6-66252474-1
NR5328--MA0035.3.Gata1	chr2	60418236	60418246	-	0.000	0.000	Merged-chr2-60418304-27
NR9729--MA0036.3.GATA2	chr9	92274453	92274463	+	0.000	0.000	Merged-chr9-92274591-56
NR4359--MA0035.3.Gata1	chr17	27323302	27323312	+	0.000	0.000	Merged-chr17-27323176-36
NR614--MA0037.3.GATA3	chr1	143202926	143202933	+	0.000	0.000	Merged-chr1-143203062-8
NR1673--MA0482.1.Gata4	chr11	70594812	70594822	+	0.000	0.000	Merged-chr11-70594778-39
NR4038--MA1104.1.GATA6	chr16	64758765	64758777	+	0.000	0.000	Merged-chr16-64758494-145
NR2358--MA1104.1.GATA6	chr13	3637161	3637173	-	0.000	0.000	Merged-chr13-3636993-50
NR1724--MA0036.3.GATA2	chr11	97994751	97994761	-	0.000	0.000	Merged-chr11-97994878-44
NR2311--MA0037.3.GATA3	chr12	110689851	110689858	+	0.000	0.000	Merged-chr12-110689902-59
NR9373--MA0482.1.Gata4	chr8	111955418	111955428	+	0.000	0.000	Merged-chr8-111955328-48
NR8378--MA1104.1.GATA6	chr6	130102976	130102988	-	0.000	0.000	Merged-chr6-130103023-31
NR1690--MA1104.1.GATA6	chr11	80068119	80068131	-	0.000	0.000	Merged-chr11-80068268-1
NR1756--MA1104.1.GATA6	chr11	106430741	106430753	-	0.000	0.000	Merged-chr11-106430638-37
NR3409--MA0035.3.Gata1	chr14	121995695	121995705	-	0.000	0.000	Merged-chr14-121995600-7
NR1729--MA0035.3.Gata1	chr11	98497544	98497554	+	0.000	0.000	Merged-chr11-98497586-22
NR2559--MA0482.1.Gata4	chr13	49188128	49188138	-	0.000	0.000	Merged-chr13-49188113-1
NR8997--MA0037.3.GATA3	chr7	130774092	130774099	+	0.000	0.000	Merged-chr7-130774226-12
NR6651--MA0037.3.GATA3	chr4	8381061	8381068	+	0.000	0.000	Merged-chr4-8380900-9
NR9947--MA0036.3.GATA2	chrX	169979119	169979129	-	0.000	0.000	Merged-chrX-169979163-27
NR3866--MA0035.3.Gata1	chr16	24826502	24826512	+	0.000	0.000	Merged-chr16-24826564-20
NR1613--MA1104.1.GATA6	chr11	46389537	46389549	-	0.000	0.000	Merged-chr11-46389577-59
NR5184--MA0766.1.GATA5	chr2	17644736	17644743	+	0.000	0.000	Merged-chr2-17644831-25
NR1315--MA0035.3.Gata1	chr10	99393612	99393622	-	0.000	0.000	Merged-chr10-99393384-65
NR2741--MA0035.3.Gata1	chr13	85498876	85498886	-	0.000	0.000	Merged-chr13-85498931-37
NR2738--MA0037.3.GATA3	chr13	85498878	85498885	+	0.000	0.000	Merged-chr13-85498931-37
NR5107--MA0766.1.GATA5	chr19	60838027	60838034	+	0.000	0.000	Merged-chr19-60837918-27
NR4229--MA0035.3.Gata1	chr17	3209753	3209763	+	0.000	0.000	Merged-chr17-3209784-17
NR9928--MA0482.1.Gata4	chrX	153375288	153375298	+	0.000	0.000	Merged-chrX-153375365-26
NR9437--MA0036.3.GATA2	chr8	127589469	127589479	+	0.000	0.000	Merged-chr8-127589399-43
NR6664--MA0037.3.GATA3	chr4	10770164	10770171	+	0.000	0.000	Merged-chr4-10770192-53
NR9766--MA0482.1.Gata4	chr9	112174907	112174917	-	0.000	0.000	Merged-chr9-112174843-101
NR9376--MA0035.3.Gata1	chr8	111955417	111955427	+	0.000	0.000	Merged-chr8-111955328-48
NR9918--MA0035.3.Gata1	chrX	140537798	140537808	+	0.000	0.000	Merged-chrX-140537922-35
NR7210--MA0766.1.GATA5	chr4	150517582	150517589	-	0.000	0.000	Merged-chr4-150517532-35
NR3170--MA0482.1.Gata4	chr14	60131692	60131702	+	0.000	0.000	Merged-chr14-60131750-51
NR1761--MA0482.1.Gata4	chr11	109561090	109561100	-	0.000	0.000	Merged-chr11-109560984-42
NR9403--MA0036.3.GATA2	chr8	120537477	120537487	-	0.000	0.000	Merged-chr8-120537413-55
NR7232--MA1104.1.GATA6	chr4	156022067	156022079	-	0.000	0.000	Merged-chr4-156022073-120
NR6425--MA0037.3.GATA3	chr3	133623448	133623455	-	0.000	0.000	Merged-chr3-133623556-36
NR8540--MA0766.1.GATA5	chr6	144329733	144329740	-	0.000	0.000	Merged-chr6-144329601-7
NR4400--MA0035.3.Gata1	chr17	36020626	36020636	-	0.000	0.000	Merged-chr17-36020745-74
NR3821--MA0482.1.Gata4	chr16	10732546	10732556	+	0.000	0.000	Merged-chr16-10732689-38
NR1716--MA0036.3.GATA2	chr11	95835284	95835294	-	0.000	0.000	Merged-chr11-95835319-21
NR3202--MA0482.1.Gata4	chr14	74977158	74977168	+	0.000	0.000	Merged-chr14-74977138-7
NR1522--MA0482.1.Gata4	chr11	8524117	8524127	+	0.000	0.000	Merged-chr11-8524008-23
NR5067--MA0766.1.GATA5	chr19	33053337	33053344	-	0.000	0.000	Merged-chr19-33053321-32
NR7685--MA0482.1.Gata4	chr5	107648992	107649002	+	0.000	0.000	Merged-chr5-107649073-49
NR6164--MA0140.2.GATA1::TAL1	chr3	69041523	69041540	-	0.000	0.000	Merged-chr3-69041504-24
NR412--MA0036.3.GATA2	chr1	94803981	94803991	+	0.000	0.000	Merged-chr1-94803919-2
NR5100--MA0482.1.Gata4	chr19	57477221	57477231	+	0.000	0.000	Merged-chr19-57477375-13
NR3789--MA1104.1.GATA6	chr16	5746816	5746828	-	0.000	0.000	Merged-chr16-5746649-1
NR7784--MA0035.3.Gata1	chr5	149255636	149255646	+	0.000	0.000	Merged-chr5-149255735-4
NR9634--MA0036.3.GATA2	chr9	78024980	78024990	+	0.000	0.000	Merged-chr9-78024957-31
NR5028--MA0035.3.Gata1	chr19	12488321	12488331	-	0.000	0.000	Merged-chr19-12488322-25
NR936--MA0140.2.GATA1::TAL1	chr10	21268945	21268962	-	0.000	0.000	Merged-chr10-21269012-32
NR5004--MA0482.1.Gata4	chr19	5348971	5348981	+	0.000	0.000	Merged-chr19-5349151-26
NR2339--MA0140.2.GATA1::TAL1	chr12	117173460	117173477	+	0.000	0.000	Merged-chr12-117173433-4
NR3205--MA0035.3.Gata1	chr14	74977157	74977167	+	0.000	0.000	Merged-chr14-74977138-7
NR7616--MA0766.1.GATA5	chr5	92204520	92204527	+	0.000	0.000	Merged-chr5-92204715-7
NR8761--MA0036.3.GATA2	chr7	67672916	67672926	-	0.000	0.000	Merged-chr7-67672812-28
NR4167--MA0140.2.GATA1::TAL1	chr16	91063928	91063945	-	0.000	0.000	Merged-chr16-91063973-29
NR611--MA0482.1.Gata4	chr1	143202524	143202534	-	0.000	0.000	Merged-chr1-143202432-31
NR3484--MA1104.1.GATA6	chr15	19857645	19857657	-	0.000	0.000	Merged-chr15-19857574-17
NR3847--MA0482.1.Gata4	chr16	18075421	18075431	-	0.000	0.000	Merged-chr16-18075425-17
NR7573--MA0140.2.GATA1::TAL1	chr5	74260785	74260802	+	0.000	0.000	Merged-chr5-74260801-106
NR3637--MA0766.1.GATA5	chr15	53267119	53267126	+	0.000	0.000	Merged-chr15-53267286-91
NR5779--MA0482.1.Gata4	chr2	163054625	163054635	-	0.000	0.000	Merged-chr2-163054784-63
NR5570--MA0482.1.Gata4	chr2	122668167	122668177	-	0.000	0.000	Merged-chr2-122668057-9
NR8968--MA0037.3.GATA3	chr7	119894981	119894988	+	0.000	0.000	Merged-chr7-119895039-1
NR3295--MA0035.3.Gata1	chr14	100283701	100283711	+	0.000	0.000	Merged-chr14-100283659-2
NR7696--MA0036.3.GATA2	chr5	118069583	118069593	-	0.000	0.000	Merged-chr5-118069472-39
NR3450--MA1104.1.GATA6	chr15	8280448	8280460	-	0.000	0.000	Merged-chr15-8280344-8
NR5103--MA0035.3.Gata1	chr19	57477220	57477230	+	0.000	0.000	Merged-chr19-57477375-13
NR5012--MA0766.1.GATA5	chr19	6015318	6015325	-	0.000	0.000	Merged-chr19-6015500-73
NR4227--MA1104.1.GATA6	chr17	3209752	3209764	-	0.000	0.000	Merged-chr17-3209784-17
NR9586--MA0035.3.Gata1	chr9	47739428	47739438	-	0.000	0.000	Merged-chr9-47739490-10
NR762--MA0766.1.GATA5	chr1	172526891	172526898	-	0.000	0.000	Merged-chr1-172526755-50
NR23--MA0482.1.Gata4	chr1	6453561	6453571	-	0.000	0.000	Merged-chr1-6453471-6
NR8774--MA0036.3.GATA2	chr7	72308182	72308192	+	0.000	0.000	Merged-chr7-72308227-31
NR165--MA0037.3.GATA3	chr1	44101608	44101615	+	0.000	0.000	Merged-chr1-44101717-6
NR3651--MA0482.1.Gata4	chr15	60112102	60112112	+	0.000	0.000	Merged-chr15-60111990-62
NR3056--MA0035.3.Gata1	chr14	27384253	27384263	+	0.000	0.000	Merged-chr14-27384235-54
NR1674--MA1104.1.GATA6	chr11	70594810	70594822	-	0.000	0.000	Merged-chr11-70594778-39
NR1899--MA0035.3.Gata1	chr12	28589597	28589607	+	0.000	0.000	Merged-chr12-28589573-34
NR9374--MA1104.1.GATA6	chr8	111955416	111955428	-	0.000	0.000	Merged-chr8-111955328-48
NR7786--MA0482.1.Gata4	chr5	149392278	149392288	-	0.000	0.000	Merged-chr5-149392157-30
NR6542--MA0035.3.Gata1	chr3	146192716	146192726	-	0.000	0.000	Merged-chr3-146192596-55
NR980--MA0766.1.GATA5	chr10	28674113	28674120	+	0.000	0.000	Merged-chr10-28674060-27
NR5015--MA0036.3.GATA2	chr19	8019877	8019887	+	0.000	0.000	Merged-chr19-8019847-106
NR2513--MA0037.3.GATA3	chr13	29756231	29756238	+	0.000	0.000	Merged-chr13-29756237-14
NR449--MA0037.3.GATA3	chr1	106549283	106549290	-	0.000	0.000	Merged-chr1-106549229-13
NR6297--MA0140.2.GATA1::TAL1	chr3	107100165	107100182	-	0.000	0.000	Merged-chr3-107100029-42
NR1779--MA0482.1.Gata4	chr11	116782936	116782946	+	0.000	0.000	Merged-chr11-116782885-34
NR7199--MA0036.3.GATA2	chr4	149147505	149147515	-	0.000	0.000	Merged-chr4-149147530-1
NR68--MA0036.3.GATA2	chr1	13293495	13293505	+	0.000	0.000	Merged-chr1-13293593-50
NR5062--MA0140.2.GATA1::TAL1	chr19	32998961	32998978	-	0.000	0.000	Merged-chr19-32999080-29
NR7752--MA0482.1.Gata4	chr5	137787615	137787625	-	0.000	0.000	Merged-chr5-137787536-7
NR7428--MA0035.3.Gata1	chr5	37083246	37083256	+	0.000	0.000	Merged-chr5-37083387-28
NR26--MA0035.3.Gata1	chr1	6453562	6453572	-	0.000	0.000	Merged-chr1-6453471-6
NR1273--MA1104.1.GATA6	chr10	95971100	95971112	-	0.000	0.000	Merged-chr10-95971075-85
NR9929--MA1104.1.GATA6	chrX	153375286	153375298	-	0.000	0.000	Merged-chrX-153375365-26
NR8482--MA0036.3.GATA2	chr6	140308226	140308236	+	0.000	0.000	Merged-chr6-140308190-9
NR1796--MA1104.1.GATA6	chr12	3891251	3891263	-	0.000	0.000	Merged-chr12-3891363-76
NR5233--MA0036.3.GATA2	chr2	39325860	39325870	-	0.000	0.000	Merged-chr2-39325876-70
NR2908--MA0036.3.GATA2	chr13	113639034	113639044	+	0.000	0.000	Merged-chr13-113639155-24
NR7808--MA0035.3.Gata1	chr5	150593212	150593222	+	0.000	0.000	Merged-chr5-150593583-231
NR1815--MA0037.3.GATA3	chr12	12172556	12172563	-	0.000	0.000	Merged-chr12-12172464-29
NR4784--MA0766.1.GATA5	chr18	50014639	50014646	+	0.000	0.000	Merged-chr18-50014584-52
NR7717--MA0766.1.GATA5	chr5	129524686	129524693	+	0.000	0.000	Merged-chr5-129524684-34
NR5081--MA0766.1.GATA5	chr19	42166224	42166231	+	0.000	0.000	Merged-chr19-42166251-13
NR3171--MA1104.1.GATA6	chr14	60131690	60131702	-	0.000	0.000	Merged-chr14-60131750-51
NR8971--MA0036.3.GATA2	chr7	119894979	119894989	-	0.000	0.000	Merged-chr7-119895039-1
NR744--MA0036.3.GATA2	chr1	171118396	171118406	-	0.000	0.000	Merged-chr1-171118470-13
NR704--MA0140.2.GATA1::TAL1	chr1	161794947	161794964	+	0.000	0.000	Merged-chr1-161794797-65
NR6672--MA0036.3.GATA2	chr4	11404220	11404230	+	0.000	0.000	Merged-chr4-11404244-13
NR8700--MA0482.1.Gata4	chr7	45526451	45526461	+	0.000	0.000	Merged-chr7-45526317-62
NR5185--MA0035.3.Gata1	chr2	17644734	17644744	-	0.000	0.000	Merged-chr2-17644831-25
NR1819--MA0766.1.GATA5	chr12	12172556	12172563	-	0.000	0.000	Merged-chr12-12172464-29
NR8860--MA1104.1.GATA6	chr7	92420480	92420492	-	0.000	0.000	Merged-chr7-92420666-38
NR3203--MA1104.1.GATA6	chr14	74977156	74977168	-	0.000	0.000	Merged-chr14-74977138-7
NR5094--MA0766.1.GATA5	chr19	53185684	53185691	-	0.000	0.000	Merged-chr19-53185705-40
NR3666--MA0140.2.GATA1::TAL1	chr15	64031989	64032006	+	0.000	0.000	Merged-chr15-64031961-34
NR5042--MA0035.3.Gata1	chr19	25360764	25360774	-	0.000	0.000	Merged-chr19-25360847-26
NR5754--MA0037.3.GATA3	chr2	153525960	153525967	-	0.000	0.000	Merged-chr2-153526092-26
NR5193--MA0036.3.GATA2	chr2	20969347	20969357	-	0.000	0.000	Merged-chr2-20969092-180
NR7768--MA0035.3.Gata1	chr5	144964170	144964180	-	0.000	0.000	Merged-chr5-144963961-18
NR6762--MA0482.1.Gata4	chr4	32291744	32291754	-	0.000	0.000	Merged-chr4-32291576-26
NR4195--MA0140.2.GATA1::TAL1	chr16	96030855	96030872	-	0.000	0.000	Merged-chr16-96030968-16
NR3165--MA0036.3.GATA2	chr14	60118304	60118314	+	0.000	0.000	Merged-chr14-60118138-14
NR1632--MA0037.3.GATA3	chr11	54063314	54063321	+	0.000	0.000	Merged-chr11-54063198-57
NR5101--MA1104.1.GATA6	chr19	57477219	57477231	-	0.000	0.000	Merged-chr19-57477375-13
NR3037--MA0482.1.Gata4	chr14	21101881	21101891	-	0.000	0.000	Merged-chr14-21101763-12
NR6794--MA0036.3.GATA2	chr4	41569652	41569662	+	0.000	0.000	Merged-chr4-41569502-63
NR2911--MA0482.1.Gata4	chr13	113639071	113639081	+	0.000	0.000	Merged-chr13-113639155-24
NR8158--MA0037.3.GATA3	chr6	82922017	82922024	+	0.000	0.000	Merged-chr6-82922037-57
NR5758--MA0766.1.GATA5	chr2	153525960	153525967	-	0.000	0.000	Merged-chr2-153526092-26
NR388--MA0037.3.GATA3	chr1	94035513	94035520	-	0.000	0.000	Merged-chr1-94035484-87
NR5078--MA0482.1.Gata4	chr19	42166221	42166231	-	0.000	0.000	Merged-chr19-42166251-13
NR8541--MA0035.3.Gata1	chr6	144329732	144329742	+	0.000	0.000	Merged-chr6-144329601-7
NR9166--MA0482.1.Gata4	chr8	36194320	36194330	+	0.000	0.000	Merged-chr8-36194183-57
NR7494--MA0140.2.GATA1::TAL1	chr5	57610170	57610187	-	0.000	0.000	Merged-chr5-57610042-1
NR2324--MA0036.3.GATA2	chr12	112743308	112743318	+	0.000	0.000	Merged-chr12-112743369-41
NR5571--MA1104.1.GATA6	chr2	122668167	122668179	+	0.000	0.000	Merged-chr2-122668057-9
NR3306--MA0036.3.GATA2	chr14	101477377	101477387	-	0.000	0.000	Merged-chr14-101477413-70
NR6422--MA0766.1.GATA5	chr3	133332579	133332586	-	0.000	0.000	Merged-chr3-133332565-72
NR4471--MA0766.1.GATA5	chr17	62784084	62784091	-	0.000	0.000	Merged-chr17-62784192-42
NR5068--MA0035.3.Gata1	chr19	33053336	33053346	+	0.000	0.000	Merged-chr19-33053321-32
NR3659--MA0035.3.Gata1	chr15	61438673	61438683	-	0.000	0.000	Merged-chr15-61438700-21
NR2857--MA0766.1.GATA5	chr13	106997642	106997649	+	0.000	0.000	Merged-chr13-106997590-6
NR8376--MA0037.3.GATA3	chr6	130102978	130102985	-	0.000	0.000	Merged-chr6-130103023-31
NR4324--MA0140.2.GATA1::TAL1	chr17	17636257	17636274	-	0.000	0.000	Merged-chr17-17636367-22
NR1611--MA0037.3.GATA3	chr11	46389539	46389546	-	0.000	0.000	Merged-chr11-46389577-59
NR651--MA0482.1.Gata4	chr1	151002319	151002329	+	0.000	0.000	Merged-chr1-151002204-60
NR4570--MA0036.3.GATA2	chr17	84061870	84061880	+	0.000	0.000	Merged-chr17-84061758-18
NR4365--MA0036.3.GATA2	chr17	31210485	31210495	+	0.000	0.000	Merged-chr17-31210494-9
NR1607--MA0482.1.Gata4	chr11	35537612	35537622	+	0.000	0.000	Merged-chr11-35537638-11
NR2895--MA0035.3.Gata1	chr13	111655962	111655972	-	0.000	0.000	Merged-chr13-111655949-74
NR370--MA0035.3.Gata1	chr1	91099024	91099034	+	0.000	0.000	Merged-chr1-91099031-34
NR6431--MA0140.2.GATA1::TAL1	chr3	133623449	133623466	+	0.000	0.000	Merged-chr3-133623556-36
NR9834--MA0037.3.GATA3	chrX	13461670	13461677	+	0.000	0.000	Merged-chrX-13461805-52
NR7213--MA0482.1.Gata4	chr4	150938226	150938236	+	0.000	0.000	Merged-chr4-150938152-39
NR7787--MA1104.1.GATA6	chr5	149392278	149392290	+	0.000	0.000	Merged-chr5-149392157-30
