#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed
NR2198--MA0591.1.Bach1::Mafk	chr11	94275923	94275937	+	0.000	0.000	Merged-chr11-94275707-70
NR3429--MA0501.1.MAF::NFE2	chr13	96697952	96697966	-	0.000	0.000	Merged-chr13-96698036-39
NR6197--MA0501.1.MAF::NFE2	chr19	53566059	53566073	+	0.000	0.000	Merged-chr19-53566161-15
NR10063--MA0496.2.MAFK	chr6	116136314	116136332	+	0.000	0.000	Merged-chr6-116136227-16
NR8466--MA0495.2.MAFF	chr4	109665333	109665353	-	0.000	0.000	Merged-chr4-109665283-1
NR7203--MA0089.1.MAFG::NFE2L1	chr2	155382161	155382166	+	0.000	0.000	Merged-chr2-155382008-76
NR11247--MA0496.2.MAFK	chr8	22537098	22537116	-	0.000	0.000	Merged-chr8-22537059-19
NR12033--MA0495.2.MAFF	chr9	68717083	68717103	+	0.000	0.000	Merged-chr9-68717105-6
NR6477--MA0089.1.MAFG::NFE2L1	chr2	37565818	37565823	+	0.000	0.000	Merged-chr2-37565860-32
NR3260--MA0117.2.Mafb	chr13	52004069	52004080	-	0.000	0.000	Merged-chr13-52004248-54
NR2721--MA0089.1.MAFG::NFE2L1	chr12	85632483	85632488	-	0.000	0.000	Merged-chr12-85632486-20
NR7918--MA0495.2.MAFF	chr3	133626798	133626818	+	0.000	0.000	Merged-chr3-133626779-42
NR10507--MA0495.2.MAFF	chr7	27402831	27402851	+	0.000	0.000	Merged-chr7-27402873-8
NR795--MA0501.1.MAF::NFE2	chr1	178497029	178497043	+	0.000	0.000	Merged-chr1-178497067-16
NR9124--MA0501.1.MAF::NFE2	chr5	86783379	86783393	-	0.000	0.000	Merged-chr5-86783243-43
NR746--MA0089.1.MAFG::NFE2L1	chr1	171793584	171793589	+	0.000	0.000	Merged-chr1-171793480-13
NR4215--MA0089.1.MAFG::NFE2L1	chr15	38284027	38284032	-	0.000	0.000	Merged-chr15-38283996-39
NR10650--MA0591.1.Bach1::Mafk	chr7	73517590	73517604	+	0.000	0.000	Merged-chr7-73517689-25
NR1886--MA0591.1.Bach1::Mafk	chr11	46660878	46660892	-	0.000	0.000	Merged-chr11-46660819-1
NR8065--MA0591.1.Bach1::Mafk	chr3	152800799	152800813	-	0.000	0.000	Merged-chr3-152800764-1
NR5409--MA0591.1.Bach1::Mafk	chr17	74802965	74802979	+	0.000	0.000	Merged-chr17-74802991-25
NR7698--MA0496.2.MAFK	chr3	89872364	89872382	-	0.000	0.000	Merged-chr3-89872416-43
NR4695--MA0659.1.MAFG	chr16	24854663	24854683	-	0.000	0.000	Merged-chr16-24854563-13
NR8058--MA0089.1.MAFG::NFE2L1	chr3	152127457	152127462	+	0.000	0.000	Merged-chr3-152127515-20
NR7190--MA0659.1.MAFG	chr2	154603806	154603826	-	0.000	0.000	Merged-chr2-154603925-61
NR9101--MA0117.2.Mafb	chr5	74132971	74132982	-	0.000	0.000	Merged-chr5-74132835-25
NR7796--MA0591.1.Bach1::Mafk	chr3	105763609	105763623	+	0.000	0.000	Merged-chr3-105763665-52
NR8810--MA0089.1.MAFG::NFE2L1	chr4	149868917	149868922	+	0.000	0.000	Merged-chr4-149868944-10
NR5231--MA0089.1.MAFG::NFE2L1	chr17	35393836	35393841	+	0.000	0.000	Merged-chr17-35394010-52
NR6561--MA0591.1.Bach1::Mafk	chr2	57408002	57408016	-	0.000	0.000	Merged-chr2-57407840-54
NR3461--MA0089.1.MAFG::NFE2L1	chr13	99648028	99648033	+	0.000	0.000	Merged-chr13-99648016-28
NR8107--MA0591.1.Bach1::Mafk	chr3	157884231	157884245	-	0.000	0.000	Merged-chr3-157884103-23
NR11966--MA0659.1.MAFG	chr9	61187130	61187150	+	0.000	0.000	Merged-chr9-61187199-16
NR759--MA0089.1.MAFG::NFE2L1	chr1	172895559	172895564	-	0.000	0.000	Merged-chr1-172895498-15
NR10221--MA0591.1.Bach1::Mafk	chr6	134794421	134794435	-	0.000	0.000	Merged-chr6-134794283-45
NR10780--MA0591.1.Bach1::Mafk	chr7	97626067	97626081	+	0.000	0.000	Merged-chr7-97625910-13
NR5988--MA0501.1.MAF::NFE2	chr19	9065997	9066011	+	0.000	0.000	Merged-chr19-9066188-87
NR7316--MA0089.1.MAFG::NFE2L1	chr2	168575051	168575056	+	0.000	0.000	Merged-chr2-168575169-53
NR7833--MA0495.2.MAFF	chr3	115584871	115584891	+	0.000	0.000	Merged-chr3-115584831-13
NR966--MA0495.2.MAFF	chr1	191420990	191421010	-	0.000	0.000	Merged-chr1-191421132-37
NR1414--MA0089.1.MAFG::NFE2L1	chr10	85829481	85829486	-	0.000	0.000	Merged-chr10-85829298-76
NR3026--MA0495.2.MAFF	chr12	119388172	119388192	+	0.000	0.000	Merged-chr12-119388101-32
NR10651--MA0501.1.MAF::NFE2	chr7	73517593	73517607	+	0.000	0.000	Merged-chr7-73517689-25
NR7391--MA0089.1.MAFG::NFE2L1	chr2	173448695	173448700	-	0.000	0.000	Merged-chr2-173448878-59
NR9867--MA0089.1.MAFG::NFE2L1	chr6	86870511	86870516	-	0.000	0.000	Merged-chr6-86870427-33
NR355--MA0089.1.MAFG::NFE2L1	chr1	91755238	91755243	-	0.000	0.000	Merged-chr1-91755348-8
NR4467--MA0659.1.MAFG	chr15	85469117	85469137	+	0.000	0.000	Merged-chr15-85469002-5
NR11521--MA0495.2.MAFF	chr8	106889040	106889060	-	0.000	0.000	Merged-chr8-106888987-23
NR12396--MA0495.2.MAFF	chr9	123740893	123740913	+	0.000	0.000	Merged-chr9-123740966-33
NR3850--MA0089.1.MAFG::NFE2L1	chr14	61774047	61774052	+	0.000	0.000	Merged-chr14-61773988-12
NR8233--MA0496.2.MAFK	chr4	45407793	45407811	+	0.000	0.000	Merged-chr4-45408005-5
NR9087--MA0089.1.MAFG::NFE2L1	chr5	72635725	72635730	+	0.000	0.000	Merged-chr5-72635707-35
NR968--MA0659.1.MAFG	chr1	191420990	191421010	-	0.000	0.000	Merged-chr1-191421132-37
NR6388--MA0089.1.MAFG::NFE2L1	chr2	24385113	24385118	-	0.000	0.000	Merged-chr2-24385282-51
NR11598--MA0089.1.MAFG::NFE2L1	chr8	117256637	117256642	+	0.000	0.000	Merged-chr8-117256752-70
NR2269--MA0089.1.MAFG::NFE2L1	chr11	101910371	101910376	-	0.000	0.000	Merged-chr11-101910464-12
NR5714--MA0501.1.MAF::NFE2	chr18	53951297	53951311	+	0.000	0.000	Merged-chr18-53951279-47
NR11848--MA0495.2.MAFF	chr9	35475547	35475567	+	0.000	0.000	Merged-chr9-35475679-27
NR657--MA0089.1.MAFG::NFE2L1	chr1	160806375	160806380	+	0.000	0.000	Merged-chr1-160806207-6
NR540--MA0591.1.Bach1::Mafk	chr1	137898615	137898629	+	0.000	0.000	Merged-chr1-137898663-56
NR3162--MA0117.2.Mafb	chr13	36513353	36513364	-	0.000	0.000	Merged-chr13-36513295-29
NR7895--MA0089.1.MAFG::NFE2L1	chr3	130571193	130571198	+	0.000	0.000	Merged-chr3-130571110-5
NR14--MA0089.1.MAFG::NFE2L1	chr1	10037936	10037941	+	0.000	0.000	Merged-chr1-10038044-60
NR10641--MA0089.1.MAFG::NFE2L1	chr7	68070809	68070814	-	0.000	0.000	Merged-chr7-68070882-29
NR8838--MA0591.1.Bach1::Mafk	chr4	155126757	155126771	+	0.000	0.000	Merged-chr4-155126874-51
NR6199--MA0089.1.MAFG::NFE2L1	chr19	53800694	53800699	-	0.000	0.000	Merged-chr19-53800770-48
NR9274--MA0089.1.MAFG::NFE2L1	chr5	105718245	105718250	+	0.000	0.000	Merged-chr5-105718341-55
NR5671--MA0591.1.Bach1::Mafk	chr18	39877924	39877938	+	0.000	0.000	Merged-chr18-39877975-43
NR3863--MA0089.1.MAFG::NFE2L1	chr14	64368407	64368412	+	0.000	0.000	Merged-chr14-64368474-8
NR4343--MA0501.1.MAF::NFE2	chr15	64156010	64156024	+	0.000	0.000	Merged-chr15-64155964-10
NR11281--MA0089.1.MAFG::NFE2L1	chr8	36194405	36194410	+	0.000	0.000	Merged-chr8-36194183-57
NR12221--MA0591.1.Bach1::Mafk	chr9	100462312	100462326	+	0.000	0.000	Merged-chr9-100462229-47
NR1729--MA0089.1.MAFG::NFE2L1	chr10	130228433	130228438	+	0.000	0.000	Merged-chr10-130228483-35
NR2059--MA0117.2.Mafb	chr11	73133127	73133138	-	0.000	0.000	Merged-chr11-73133140-9
NR6777--MA0089.1.MAFG::NFE2L1	chr2	112367902	112367907	+	0.000	0.000	Merged-chr2-112367834-78
NR7974--MA0659.1.MAFG	chr3	142590892	142590912	+	0.000	0.000	Merged-chr3-142590942-14
NR2544--MA0591.1.Bach1::Mafk	chr12	25267926	25267940	+	0.000	0.000	Merged-chr12-25267855-44
NR11541--MA0659.1.MAFG	chr8	110939139	110939159	-	0.000	0.000	Merged-chr8-110939286-87
NR7838--MA0495.2.MAFF	chr3	116440309	116440329	-	0.000	0.000	Merged-chr3-116440390-48
NR1793--MA0659.1.MAFG	chr11	19993172	19993192	-	0.000	0.000	Merged-chr11-19993082-47
NR10427--MA0495.2.MAFF	chr7	12955034	12955054	-	0.000	0.000	Merged-chr7-12955055-4
NR947--MA0501.1.MAF::NFE2	chr1	189657814	189657828	-	0.000	0.000	Merged-chr1-189657722-11
NR1716--MA0591.1.Bach1::Mafk	chr10	128821810	128821824	-	0.000	0.000	Merged-chr10-128821761-47
NR2388--MA0496.2.MAFK	chr11	115158132	115158150	+	0.000	0.000	Merged-chr11-115158188-48
NR5713--MA0591.1.Bach1::Mafk	chr18	53951294	53951308	+	0.000	0.000	Merged-chr18-53951279-47
NR2293--MA0501.1.MAF::NFE2	chr11	106125984	106125998	-	0.000	0.000	Merged-chr11-106126005-12
NR7541--MA0591.1.Bach1::Mafk	chr3	35764840	35764854	-	0.000	0.000	Merged-chr3-35764985-46
NR10222--MA0501.1.MAF::NFE2	chr6	134794418	134794432	-	0.000	0.000	Merged-chr6-134794283-45
NR8421--MA0501.1.MAF::NFE2	chr4	102983051	102983065	-	0.000	0.000	Merged-chr4-102982899-26
NR5168--MA0089.1.MAFG::NFE2L1	chr17	26631061	26631066	-	0.000	0.000	Merged-chr17-26631023-9
NR1098--MA0501.1.MAF::NFE2	chr10	25457374	25457388	-	0.000	0.000	Merged-chr10-25457296-47
NR7389--MA0501.1.MAF::NFE2	chr2	172971966	172971980	+	0.000	0.000	Merged-chr2-172972051-17
NR7634--MA0659.1.MAFG	chr3	82333593	82333613	+	0.000	0.000	Merged-chr3-82333766-35
NR4414--MA0591.1.Bach1::Mafk	chr15	77877481	77877495	-	0.000	0.000	Merged-chr15-77877456-21
NR8949--MA0089.1.MAFG::NFE2L1	chr5	20061957	20061962	+	0.000	0.000	Merged-chr5-20062093-32
NR11204--MA0089.1.MAFG::NFE2L1	chr8	11452691	11452696	-	0.000	0.000	Merged-chr8-11452787-41
NR5631--MA0089.1.MAFG::NFE2L1	chr18	36492720	36492725	+	0.000	0.000	Merged-chr18-36492692-14
NR3973--MA0501.1.MAF::NFE2	chr14	78559181	78559195	+	0.000	0.000	Merged-chr14-78559223-28
NR8262--MA0591.1.Bach1::Mafk	chr4	57306490	57306504	+	0.000	0.000	Merged-chr4-57306623-55
NR8169--MA0089.1.MAFG::NFE2L1	chr4	32179882	32179887	-	0.000	0.000	Merged-chr4-32179914-44
NR1148--MA0501.1.MAF::NFE2	chr10	39412358	39412372	+	0.000	0.000	Merged-chr10-39412218-22
NR3081--MA0089.1.MAFG::NFE2L1	chr13	16642143	16642148	+	0.000	0.000	Merged-chr13-16642164-24
NR3138--MA0496.2.MAFK	chr13	31505465	31505483	-	0.000	0.000	Merged-chr13-31505526-12
NR177--MA0591.1.Bach1::Mafk	chr1	55196485	55196499	+	0.000	0.000	Merged-chr1-55196547-23
NR5457--MA0591.1.Bach1::Mafk	chr17	80762648	80762662	+	0.000	0.000	Merged-chr17-80762560-27
NR9583--MA0496.2.MAFK	chr6	8641036	8641054	-	0.000	0.000	Merged-chr6-8641126-10
NR561--MA0659.1.MAFG	chr1	139179652	139179672	-	0.000	0.000	Merged-chr1-139179531-1
NR7716--MA0089.1.MAFG::NFE2L1	chr3	93608020	93608025	+	0.000	0.000	Merged-chr3-93607971-30
NR5779--MA0591.1.Bach1::Mafk	chr18	65122838	65122852	-	0.000	0.000	Merged-chr18-65122808-14
NR8198--MA0591.1.Bach1::Mafk	chr4	41295743	41295757	+	0.000	0.000	Merged-chr4-41295781-15
NR3862--MA0501.1.MAF::NFE2	chr14	62879725	62879739	+	0.000	0.000	Merged-chr14-62879632-33
NR4022--MA0089.1.MAFG::NFE2L1	chr14	100222466	100222471	-	0.000	0.000	Merged-chr14-100222353-13
NR7285--MA0591.1.Bach1::Mafk	chr2	166708487	166708501	-	0.000	0.000	Merged-chr2-166708496-46
NR11858--MA0501.1.MAF::NFE2	chr9	38728416	38728430	+	0.000	0.000	Merged-chr9-38728411-36
NR11416--MA0591.1.Bach1::Mafk	chr8	81861486	81861500	+	0.000	0.000	Merged-chr8-81861625-26
NR2569--MA0089.1.MAFG::NFE2L1	chr12	28829634	28829639	-	0.000	0.000	Merged-chr12-28829718-31
NR7803--MA0089.1.MAFG::NFE2L1	chr3	106785187	106785192	-	0.000	0.000	Merged-chr3-106785320-62
NR10363--MA0089.1.MAFG::NFE2L1	chr6	146185786	146185791	-	0.000	0.000	Merged-chr6-146185680-43
NR1034--MA0089.1.MAFG::NFE2L1	chr10	12842791	12842796	-	0.000	0.000	Merged-chr10-12842715-46
NR357--MA0501.1.MAF::NFE2	chr1	91831435	91831449	+	0.000	0.000	Merged-chr1-91831329-12
NR6556--MA0495.2.MAFF	chr2	57362605	57362625	-	0.000	0.000	Merged-chr2-57362654-19
NR11932--MA0591.1.Bach1::Mafk	chr9	56098161	56098175	+	0.000	0.000	Merged-chr9-56098023-21
NR9392--MA0591.1.Bach1::Mafk	chr5	123171823	123171837	+	0.000	0.000	Merged-chr5-123171865-37
NR2050--MA0089.1.MAFG::NFE2L1	chr11	72207276	72207281	-	0.000	0.000	Merged-chr11-72207242-88
NR11028--MA0089.1.MAFG::NFE2L1	chr7	125594019	125594024	+	0.000	0.000	Merged-chr7-125593922-57
NR4819--MA0501.1.MAF::NFE2	chr16	52292837	52292851	+	0.000	0.000	Merged-chr16-52292729-42
NR2756--MA0089.1.MAFG::NFE2L1	chr12	91009109	91009114	-	0.000	0.000	Merged-chr12-91009085-35
NR1536--MA0496.2.MAFK	chr10	105229293	105229311	-	0.000	0.000	Merged-chr10-105229362-2
NR11970--MA0089.1.MAFG::NFE2L1	chr9	61216311	61216316	+	0.000	0.000	Merged-chr9-61216256-31
NR1592--MA0591.1.Bach1::Mafk	chr10	117215853	117215867	-	0.000	0.000	Merged-chr10-117215967-32
NR5352--MA0591.1.Bach1::Mafk	chr17	65885354	65885368	-	0.000	0.000	Merged-chr17-65885183-87
NR3206--MA0089.1.MAFG::NFE2L1	chr13	45866857	45866862	-	0.000	0.000	Merged-chr13-45867017-27
NR1047--MA0089.1.MAFG::NFE2L1	chr10	17295432	17295437	-	0.000	0.000	Merged-chr10-17295397-1
NR653--MA0089.1.MAFG::NFE2L1	chr1	160246056	160246061	+	0.000	0.000	Merged-chr1-160246205-43
NR11969--MA0496.2.MAFK	chr9	61187131	61187149	-	0.000	0.000	Merged-chr9-61187199-16
NR7701--MA0089.1.MAFG::NFE2L1	chr3	90446503	90446508	-	0.000	0.000	Merged-chr3-90446607-7
NR6095--MA0089.1.MAFG::NFE2L1	chr19	32935826	32935831	-	0.000	0.000	Merged-chr19-32935830-20
NR5141--MA0117.2.Mafb	chr17	22165860	22165871	+	0.000	0.000	Merged-chr17-22165943-71
NR6551--MA0496.2.MAFK	chr2	52955272	52955290	-	0.000	0.000	Merged-chr2-52955279-28
NR9174--MA0659.1.MAFG	chr5	92353778	92353798	-	0.000	0.000	Merged-chr5-92353751-46
NR6325--MA0117.2.Mafb	chr2	10101273	10101284	-	0.000	0.000	Merged-chr2-10101354-20
NR3976--MA0495.2.MAFF	chr14	79115182	79115202	+	0.000	0.000	Merged-chr14-79115074-10
NR6544--MA0591.1.Bach1::Mafk	chr2	52955274	52955288	+	0.000	0.000	Merged-chr2-52955279-28
NR8037--MA0496.2.MAFK	chr3	146784423	146784441	-	0.000	0.000	Merged-chr3-146784453-8
NR135--MA0501.1.MAF::NFE2	chr1	43207351	43207365	+	0.000	0.000	Merged-chr1-43207362-30
NR6663--MA0496.2.MAFK	chr2	84059440	84059458	+	0.000	0.000	Merged-chr2-84059493-47
NR3521--MA0117.2.Mafb	chr13	107574564	107574575	-	0.000	0.000	Merged-chr13-107574590-2
NR2546--MA0495.2.MAFF	chr12	25360229	25360249	+	0.000	0.000	Merged-chr12-25360161-60
NR5041--MA0495.2.MAFF	chr16	96912137	96912157	-	0.000	0.000	Merged-chr16-96912143-1
NR7136--MA0089.1.MAFG::NFE2L1	chr2	150362521	150362526	+	0.000	0.000	Merged-chr2-150362676-64
NR5374--MA0117.2.Mafb	chr17	71214935	71214946	+	0.000	0.000	Merged-chr17-71214914-103
NR5439--MA0501.1.MAF::NFE2	chr17	79616788	79616802	-	0.000	0.000	Merged-chr17-79616795-12
NR7086--MA0496.2.MAFK	chr2	145804908	145804926	+	0.000	0.000	Merged-chr2-145804796-32
NR7223--MA0089.1.MAFG::NFE2L1	chr2	158160159	158160164	-	0.000	0.000	Merged-chr2-158160127-37
NR10483--MA0117.2.Mafb	chr7	19817574	19817585	+	0.000	0.000	Merged-chr7-19817599-46
NR9304--MA0501.1.MAF::NFE2	chr5	107953212	107953226	-	0.000	0.000	Merged-chr5-107953037-18
NR551--MA0089.1.MAFG::NFE2L1	chr1	138584810	138584815	-	0.000	0.000	Merged-chr1-138584849-31
NR5128--MA0117.2.Mafb	chr17	17845681	17845692	+	0.000	0.000	Merged-chr17-17845619-46
NR812--MA0501.1.MAF::NFE2	chr1	180410497	180410511	+	0.000	0.000	Merged-chr1-180410391-12
NR3613--MA0496.2.MAFK	chr13	113322204	113322222	-	0.000	0.000	Merged-chr13-113322180-25
NR7438--MA0089.1.MAFG::NFE2L1	chr2	177840318	177840323	+	0.000	0.000	Merged-chr2-177840278-65
NR5167--MA0501.1.MAF::NFE2	chr17	26610555	26610569	+	0.000	0.000	Merged-chr17-26610479-9
NR1346--MA0117.2.Mafb	chr10	78232661	78232672	+	0.000	0.000	Merged-chr10-78232802-30
NR2206--MA0495.2.MAFF	chr11	94370921	94370941	-	0.000	0.000	Merged-chr11-94371007-27
NR9841--MA0117.2.Mafb	chr6	82775641	82775652	-	0.000	0.000	Merged-chr6-82775550-35
NR233--MA0495.2.MAFF	chr1	69350804	69350824	-	0.000	0.000	Merged-chr1-69350970-27
NR10805--MA0591.1.Bach1::Mafk	chr7	101504749	101504763	-	0.000	0.000	Merged-chr7-101504709-13
NR1849--MA0591.1.Bach1::Mafk	chr11	34049140	34049154	-	0.000	0.000	Merged-chr11-34049016-54
NR6960--MA0089.1.MAFG::NFE2L1	chr2	129180153	129180158	+	0.000	0.000	Merged-chr2-129180074-1
NR9989--MA0089.1.MAFG::NFE2L1	chr6	106981478	106981483	-	0.000	0.000	Merged-chr6-106981432-3
NR4394--MA0496.2.MAFK	chr15	73627475	73627493	+	0.000	0.000	Merged-chr15-73627530-51
NR4229--MA0501.1.MAF::NFE2	chr15	41949019	41949033	-	0.000	0.000	Merged-chr15-41949066-24
NR7525--MA0089.1.MAFG::NFE2L1	chr3	28709914	28709919	+	0.000	0.000	Merged-chr3-28710015-15
NR6105--MA0089.1.MAFG::NFE2L1	chr19	33429564	33429569	-	0.000	0.000	Merged-chr19-33429713-40
NR8411--MA0117.2.Mafb	chr4	101234857	101234868	-	0.000	0.000	Merged-chr4-101235092-24
NR1247--MA0089.1.MAFG::NFE2L1	chr10	59636946	59636951	-	0.000	0.000	Merged-chr10-59636988-40
NR1220--MA0501.1.MAF::NFE2	chr10	53348580	53348594	-	0.000	0.000	Merged-chr10-53348557-41
NR10085--MA0089.1.MAFG::NFE2L1	chr6	119159841	119159846	-	0.000	0.000	Merged-chr6-119159656-11
NR5152--MA0501.1.MAF::NFE2	chr17	24152470	24152484	+	0.000	0.000	Merged-chr17-24152368-58
NR8738--MA0117.2.Mafb	chr4	145361301	145361312	-	0.000	0.000	Merged-chr4-145361226-45
NR3871--MA0591.1.Bach1::Mafk	chr14	64650072	64650086	+	0.000	0.000	Merged-chr14-64650080-4
NR10043--MA0501.1.MAF::NFE2	chr6	115480473	115480487	-	0.000	0.000	Merged-chr6-115480536-31
NR11334--MA0591.1.Bach1::Mafk	chr8	69149358	69149372	-	0.000	0.000	Merged-chr8-69149326-14
NR8185--MA0496.2.MAFK	chr4	33587739	33587757	-	0.000	0.000	Merged-chr4-33587729-131
NR11617--MA0089.1.MAFG::NFE2L1	chr8	117395469	117395474	+	0.000	0.000	Merged-chr8-117395323-13
NR3708--MA0089.1.MAFG::NFE2L1	chr14	20766174	20766179	-	0.000	0.000	Merged-chr14-20766175-32
NR1549--MA0089.1.MAFG::NFE2L1	chr10	111924394	111924399	+	0.000	0.000	Merged-chr10-111924366-28
NR9149--MA0501.1.MAF::NFE2	chr5	90742151	90742165	+	0.000	0.000	Merged-chr5-90742238-22
NR10743--MA0591.1.Bach1::Mafk	chr7	84196450	84196464	+	0.000	0.000	Merged-chr7-84196453-50
NR4068--MA0495.2.MAFF	chr14	118986925	118986945	-	0.000	0.000	Merged-chr14-118986967-32
NR5062--MA0089.1.MAFG::NFE2L1	chr17	3079458	3079463	-	0.000	0.000	Merged-chr17-3079530-45
NR10272--MA0089.1.MAFG::NFE2L1	chr6	140443668	140443673	-	0.000	0.000	Merged-chr6-140443586-32
NR7637--MA0496.2.MAFK	chr3	82333594	82333612	-	0.000	0.000	Merged-chr3-82333766-35
NR1479--MA0495.2.MAFF	chr10	95557338	95557358	+	0.000	0.000	Merged-chr10-95557525-27
NR5023--MA0496.2.MAFK	chr16	95893615	95893633	-	0.000	0.000	Merged-chr16-95893684-47
NR9396--MA0089.1.MAFG::NFE2L1	chr5	124022577	124022582	+	0.000	0.000	Merged-chr5-124022476-27
NR1931--MA0495.2.MAFF	chr11	53657073	53657093	-	0.000	0.000	Merged-chr11-53657053-47
NR6109--MA0501.1.MAF::NFE2	chr19	33429575	33429589	+	0.000	0.000	Merged-chr19-33429713-40
NR1597--MA0117.2.Mafb	chr10	117571667	117571678	-	0.000	0.000	Merged-chr10-117571495-58
NR10155--MA0495.2.MAFF	chr6	128345840	128345860	+	0.000	0.000	Merged-chr6-128345779-18
NR1936--MA0591.1.Bach1::Mafk	chr11	53774926	53774940	-	0.000	0.000	Merged-chr11-53775083-5
NR5493--MA0496.2.MAFK	chr17	86850851	86850869	+	0.000	0.000	Merged-chr17-86850931-27
NR6183--MA0591.1.Bach1::Mafk	chr19	53038331	53038345	-	0.000	0.000	Merged-chr19-53038497-69
NR7317--MA0117.2.Mafb	chr2	168575070	168575081	+	0.000	0.000	Merged-chr2-168575169-53
NR11300--MA0089.1.MAFG::NFE2L1	chr8	53611886	53611891	-	0.000	0.000	Merged-chr8-53611772-3
NR8727--MA0501.1.MAF::NFE2	chr4	144916727	144916741	+	0.000	0.000	Merged-chr4-144916675-7
NR6611--MA0591.1.Bach1::Mafk	chr2	70920180	70920194	+	0.000	0.000	Merged-chr2-70920097-22
NR4945--MA0496.2.MAFK	chr16	89974506	89974524	+	0.000	0.000	Merged-chr16-89974505-28
NR677--MA0089.1.MAFG::NFE2L1	chr1	161671183	161671188	+	0.000	0.000	Merged-chr1-161671075-50
NR9698--MA0089.1.MAFG::NFE2L1	chr6	48723848	48723853	-	0.000	0.000	Merged-chr6-48723812-13
NR7628--MA0501.1.MAF::NFE2	chr3	79336208	79336222	-	0.000	0.000	Merged-chr3-79336264-23
NR5942--MA0089.1.MAFG::NFE2L1	chr19	4269234	4269239	+	0.000	0.000	Merged-chr19-4269199-28
NR4031--MA0089.1.MAFG::NFE2L1	chr14	102828623	102828628	+	0.000	0.000	Merged-chr14-102828632-27
NR2752--MA0089.1.MAFG::NFE2L1	chr12	90810920	90810925	+	0.000	0.000	Merged-chr12-90810823-15
NR1332--MA0089.1.MAFG::NFE2L1	chr10	76542916	76542921	+	0.000	0.000	Merged-chr10-76543066-52
NR3587--MA0501.1.MAF::NFE2	chr13	110842271	110842285	-	0.000	0.000	Merged-chr13-110842123-42
NR11811--MA0659.1.MAFG	chr9	14248437	14248457	+	0.000	0.000	Merged-chr9-14248366-20
NR9817--MA0496.2.MAFK	chr6	71156853	71156871	-	0.000	0.000	Merged-chr6-71156958-28
NR3317--MA0089.1.MAFG::NFE2L1	chr13	67082077	67082082	-	0.000	0.000	Merged-chr13-67082172-4
NR3428--MA0659.1.MAFG	chr13	96697952	96697972	-	0.000	0.000	Merged-chr13-96698036-39
NR7812--MA0089.1.MAFG::NFE2L1	chr3	108562552	108562557	-	0.000	0.000	Merged-chr3-108562830-113
NR2421--MA0501.1.MAF::NFE2	chr11	117220981	117220995	-	0.000	0.000	Merged-chr11-117220944-8
NR178--MA0501.1.MAF::NFE2	chr1	55196488	55196502	+	0.000	0.000	Merged-chr1-55196547-23
NR8616--MA0501.1.MAF::NFE2	chr4	132800063	132800077	+	0.000	0.000	Merged-chr4-132800149-6
NR12120--MA0495.2.MAFF	chr9	83564270	83564290	+	0.000	0.000	Merged-chr9-83564254-44
NR4296--MA0496.2.MAFK	chr15	59650976	59650994	-	0.000	0.000	Merged-chr15-59650805-18
NR1918--MA0495.2.MAFF	chr11	51264658	51264678	-	0.000	0.000	Merged-chr11-51264498-29
NR6478--MA0117.2.Mafb	chr2	38510262	38510273	+	0.000	0.000	Merged-chr2-38510276-11
NR4081--MA0496.2.MAFK	chr14	121000911	121000929	+	0.000	0.000	Merged-chr14-121000827-24
NR2100--MA0591.1.Bach1::Mafk	chr11	79092956	79092970	-	0.000	0.000	Merged-chr11-79093031-26
NR5377--MA0089.1.MAFG::NFE2L1	chr17	72822227	72822232	+	0.000	0.000	Merged-chr17-72822157-16
NR5511--MA0501.1.MAF::NFE2	chr17	88213816	88213830	-	0.000	0.000	Merged-chr17-88213709-19
NR6398--MA0591.1.Bach1::Mafk	chr2	28445141	28445155	-	0.000	0.000	Merged-chr2-28445231-10
NR5753--MA0089.1.MAFG::NFE2L1	chr18	61638188	61638193	-	0.000	0.000	Merged-chr18-61638222-61
NR5265--MA0496.2.MAFK	chr17	42887611	42887629	+	0.000	0.000	Merged-chr17-42887503-23
NR1698--MA0496.2.MAFK	chr10	128008239	128008257	-	0.000	0.000	Merged-chr10-128008437-23
NR10145--MA0501.1.MAF::NFE2	chr6	127359611	127359625	-	0.000	0.000	Merged-chr6-127359568-39
NR11405--MA0501.1.MAF::NFE2	chr8	78738757	78738771	+	0.000	0.000	Merged-chr8-78738869-6
NR4525--MA0495.2.MAFF	chr15	97580206	97580226	+	0.000	0.000	Merged-chr15-97580335-5
NR6393--MA0089.1.MAFG::NFE2L1	chr2	25620598	25620603	+	0.000	0.000	Merged-chr2-25620603-21
NR359--MA0495.2.MAFF	chr1	92119341	92119361	+	0.000	0.000	Merged-chr1-92119439-48
NR10157--MA0117.2.Mafb	chr6	128345849	128345860	-	0.000	0.000	Merged-chr6-128345779-18
