#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/Bcl6KO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed
NR4470--MA0089.1.MAFG::NFE2L1	chr16	59469922	59469927	-	0.000	0.000	Merged-chr16-59469978-46
NR1860--MA0591.1.Bach1::Mafk	chr11	71230852	71230866	+	0.000	0.000	Merged-chr11-71230864-28
NR7384--MA0089.1.MAFG::NFE2L1	chr4	32179919	32179924	-	0.000	0.000	Merged-chr4-32179914-44
NR10621--MA0089.1.MAFG::NFE2L1	chr8	128489613	128489618	-	0.000	0.000	Merged-chr8-128489561-17
NR11011--MA0117.2.Mafb	chr9	107976309	107976320	+	0.000	0.000	Merged-chr9-107976246-1
NR7409--MA0089.1.MAFG::NFE2L1	chr4	45342165	45342170	-	0.000	0.000	Merged-chr4-45342285-81
NR1254--MA0117.2.Mafb	chr10	80900857	80900868	-	0.000	0.000	Merged-chr10-80900760-63
NR9630--MA0089.1.MAFG::NFE2L1	chr7	55957284	55957289	+	0.000	0.000	Merged-chr7-55957390-5
NR5511--MA0089.1.MAFG::NFE2L1	chr19	25057961	25057966	-	0.000	0.000	Merged-chr19-25057993-14
NR7122--MA0659.1.MAFG	chr3	135604825	135604845	-	0.000	0.000	Merged-chr3-135604723-37
NR9469--MA0089.1.MAFG::NFE2L1	chr7	4836448	4836453	+	0.000	0.000	Merged-chr7-4836481-36
NR5423--MA0501.1.MAF::NFE2	chr19	5510532	5510546	+	0.000	0.000	Merged-chr19-5510623-50
NR4420--MA0501.1.MAF::NFE2	chr16	52292837	52292851	+	0.000	0.000	Merged-chr16-52292729-42
NR8886--MA0495.2.MAFF	chr6	70709472	70709492	-	0.000	0.000	Merged-chr6-70709572-48
NR7571--MA0089.1.MAFG::NFE2L1	chr4	101356210	101356215	-	0.000	0.000	Merged-chr4-101356432-43
NR4067--MA0501.1.MAF::NFE2	chr15	71917725	71917739	-	0.000	0.000	Merged-chr15-71917869-36
NR8136--MA0089.1.MAFG::NFE2L1	chr5	43824756	43824761	-	0.000	0.000	Merged-chr5-43824623-50
NR8254--MA0591.1.Bach1::Mafk	chr5	92118036	92118050	-	0.000	0.000	Merged-chr5-92118046-23
NR7456--MA0495.2.MAFF	chr4	57295321	57295341	-	0.000	0.000	Merged-chr4-57295265-18
NR9932--MA0089.1.MAFG::NFE2L1	chr7	118135777	118135782	+	0.000	0.000	Merged-chr7-118135744-21
NR1346--MA0496.2.MAFK	chr10	93069518	93069536	-	0.000	0.000	Merged-chr10-93069523-27
NR4056--MA0496.2.MAFK	chr15	66755321	66755339	+	0.000	0.000	Merged-chr15-66755443-30
NR10690--MA0591.1.Bach1::Mafk	chr9	32901448	32901462	+	0.000	0.000	Merged-chr9-32901528-39
NR8897--MA0659.1.MAFG	chr6	70714455	70714475	-	0.000	0.000	Merged-chr6-70714490-34
NR6058--MA0501.1.MAF::NFE2	chr2	104561558	104561572	-	0.000	0.000	Merged-chr2-104561694-40
NR6705--MA0591.1.Bach1::Mafk	chr3	27183871	27183885	+	0.000	0.000	Merged-chr3-27184018-7
NR4670--MA0089.1.MAFG::NFE2L1	chr17	6775438	6775443	+	0.000	0.000	Merged-chr17-6775419-7
NR5072--MA0117.2.Mafb	chr18	6281381	6281392	-	0.000	0.000	Merged-chr18-6281338-48
NR3428--MA0495.2.MAFF	chr14	34615333	34615353	+	0.000	0.000	Merged-chr14-34615266-19
NR5120--MA0089.1.MAFG::NFE2L1	chr18	32543299	32543304	-	0.000	0.000	Merged-chr18-32543284-47
NR7116--MA0495.2.MAFF	chr3	135604825	135604845	+	0.000	0.000	Merged-chr3-135604723-37
NR8837--MA0501.1.MAF::NFE2	chr6	52825699	52825713	+	0.000	0.000	Merged-chr6-52825813-18
NR8525--MA0089.1.MAFG::NFE2L1	chr5	139344309	139344314	+	0.000	0.000	Merged-chr5-139344322-30
NR5184--MA0117.2.Mafb	chr18	44812208	44812219	+	0.000	0.000	Merged-chr18-44812125-32
NR5335--MA0089.1.MAFG::NFE2L1	chr18	78146797	78146802	+	0.000	0.000	Merged-chr18-78146988-36
NR3176--MA0089.1.MAFG::NFE2L1	chr13	102645056	102645061	-	0.000	0.000	Merged-chr13-102645059-45
NR6236--MA0496.2.MAFK	chr2	122754012	122754030	-	0.000	0.000	Merged-chr2-122753909-23
NR1602--MA0495.2.MAFF	chr11	3151526	3151546	-	0.000	0.000	Merged-chr11-3151424-21
NR2883--MA0591.1.Bach1::Mafk	chr13	41249758	41249772	-	0.000	0.000	Merged-chr13-41249879-71
NR8985--MA0501.1.MAF::NFE2	chr6	97447136	97447150	+	0.000	0.000	Merged-chr6-97447180-22
NR10346--MA0591.1.Bach1::Mafk	chr8	95697286	95697300	-	0.000	0.000	Merged-chr8-95697272-29
NR4107--MA0591.1.Bach1::Mafk	chr15	80704603	80704617	+	0.000	0.000	Merged-chr15-80704480-26
NR2589--MA0495.2.MAFF	chr12	104057249	104057269	+	0.000	0.000	Merged-chr12-104057313-64
NR6720--MA0501.1.MAF::NFE2	chr3	32708650	32708664	+	0.000	0.000	Merged-chr3-32708836-74
NR6494--MA0591.1.Bach1::Mafk	chr2	163155372	163155386	+	0.000	0.000	Merged-chr2-163155228-25
NR2801--MA0117.2.Mafb	chr13	13564683	13564694	-	0.000	0.000	Merged-chr13-13564699-51
NR273--MA0501.1.MAF::NFE2	chr1	89069610	89069624	+	0.000	0.000	Merged-chr1-89069635-1
NR1944--MA0117.2.Mafb	chr11	86807453	86807464	+	0.000	0.000	Merged-chr11-86807530-83
NR5182--MA0496.2.MAFK	chr18	43492937	43492955	+	0.000	0.000	Merged-chr18-43493033-11
NR7697--MA0089.1.MAFG::NFE2L1	chr4	120925195	120925200	-	0.000	0.000	Merged-chr4-120925095-66
NR4426--MA0659.1.MAFG	chr16	52418693	52418713	-	0.000	0.000	Merged-chr16-52418568-49
NR2030--MA0089.1.MAFG::NFE2L1	chr11	101278749	101278754	-	0.000	0.000	Merged-chr11-101278952-42
NR10904--MA0591.1.Bach1::Mafk	chr9	88273558	88273572	-	0.000	0.000	Merged-chr9-88273504-34
NR4634--MA0496.2.MAFK	chr16	95893657	95893675	-	0.000	0.000	Merged-chr16-95893684-47
NR7118--MA0117.2.Mafb	chr3	135604825	135604836	+	0.000	0.000	Merged-chr3-135604723-37
NR4554--MA0495.2.MAFF	chr16	87700098	87700118	+	0.000	0.000	Merged-chr16-87700097-27
NR194--MA0591.1.Bach1::Mafk	chr1	69548600	69548614	-	0.000	0.000	Merged-chr1-69548718-45
NR9471--MA0591.1.Bach1::Mafk	chr7	4877095	4877109	+	0.000	0.000	Merged-chr7-4877176-58
NR7382--MA0117.2.Mafb	chr4	32127082	32127093	+	0.000	0.000	Merged-chr4-32126903-56
NR3124--MA0495.2.MAFF	chr13	96697952	96697972	+	0.000	0.000	Merged-chr13-96698036-39
NR5715--MA0496.2.MAFK	chr2	9946991	9947009	-	0.000	0.000	Merged-chr2-9946908-17
NR6469--MA0501.1.MAF::NFE2	chr2	158701699	158701713	+	0.000	0.000	Merged-chr2-158701741-16
NR5422--MA0659.1.MAFG	chr19	5510526	5510546	-	0.000	0.000	Merged-chr19-5510623-50
NR6666--MA0089.1.MAFG::NFE2L1	chr3	9401032	9401037	-	0.000	0.000	Merged-chr3-9400917-27
NR3967--MA0089.1.MAFG::NFE2L1	chr15	44364115	44364120	-	0.000	0.000	Merged-chr15-44364254-41
NR5644--MA0495.2.MAFF	chr19	57093468	57093488	-	0.000	0.000	Merged-chr19-57093567-48
NR11132--MA0501.1.MAF::NFE2	chrX	13281107	13281121	-	0.000	0.000	Merged-chrX-13281344-129
NR7392--MA0501.1.MAF::NFE2	chr4	33587764	33587778	-	0.000	0.000	Merged-chr4-33587729-131
NR4300--MA0501.1.MAF::NFE2	chr16	23609945	23609959	-	0.000	0.000	Merged-chr16-23609976-53
NR4840--MA0591.1.Bach1::Mafk	chr17	44718205	44718219	-	0.000	0.000	Merged-chr17-44718379-50
NR9089--MA0089.1.MAFG::NFE2L1	chr6	112879686	112879691	-	0.000	0.000	Merged-chr6-112879624-4
NR119--MA0496.2.MAFK	chr1	52066890	52066908	+	0.000	0.000	Merged-chr1-52066714-41
NR6279--MA0117.2.Mafb	chr2	131254030	131254041	+	0.000	0.000	Merged-chr2-131254013-54
NR7897--MA0089.1.MAFG::NFE2L1	chr4	147960391	147960396	+	0.000	0.000	Merged-chr4-147960404-28
NR10085--MA0501.1.MAF::NFE2	chr7	144857378	144857392	+	0.000	0.000	Merged-chr7-144857340-18
NR5646--MA0659.1.MAFG	chr19	57093468	57093488	-	0.000	0.000	Merged-chr19-57093567-48
NR9627--MA0496.2.MAFK	chr7	51892731	51892749	+	0.000	0.000	Merged-chr7-51892724-31
NR4789--MA0659.1.MAFG	chr17	32891342	32891362	-	0.000	0.000	Merged-chr17-32891413-48
NR11326--MA0591.1.Bach1::Mafk	chrX	142737932	142737946	+	0.000	0.000	Merged-chrX-142737886-3
NR4215--MA0089.1.MAFG::NFE2L1	chr15	100600100	100600105	-	0.000	0.000	Merged-chr15-100600141-58
NR7821--MA0117.2.Mafb	chr4	139599026	139599037	-	0.000	0.000	Merged-chr4-139599159-54
NR5409--MA0591.1.Bach1::Mafk	chr19	3851891	3851905	-	0.000	0.000	Merged-chr19-3851775-57
NR945--MA0117.2.Mafb	chr10	12921639	12921650	+	0.000	0.000	Merged-chr10-12921788-21
NR6964--MA0117.2.Mafb	chr3	107783580	107783591	-	0.000	0.000	Merged-chr3-107783480-11
NR9969--MA0089.1.MAFG::NFE2L1	chr7	122402321	122402326	+	0.000	0.000	Merged-chr7-122402258-36
NR4695--MA0659.1.MAFG	chr17	10840174	10840194	+	0.000	0.000	Merged-chr17-10840429-74
NR7125--MA0496.2.MAFK	chr3	135604826	135604844	+	0.000	0.000	Merged-chr3-135604723-37
NR5892--MA0117.2.Mafb	chr2	61578776	61578787	+	0.000	0.000	Merged-chr2-61578661-51
NR8810--MA0089.1.MAFG::NFE2L1	chr6	48788008	48788013	-	0.000	0.000	Merged-chr6-48788087-5
NR3142--MA0501.1.MAF::NFE2	chr13	99126757	99126771	-	0.000	0.000	Merged-chr13-99126699-1
NR2532--MA0089.1.MAFG::NFE2L1	chr12	99393080	99393085	+	0.000	0.000	Merged-chr12-99392913-146
NR3558--MA0496.2.MAFK	chr14	64434221	64434239	+	0.000	0.000	Merged-chr14-64434245-45
NR4881--MA0089.1.MAFG::NFE2L1	chr17	56303259	56303264	-	0.000	0.000	Merged-chr17-56303360-16
NR8309--MA0496.2.MAFK	chr5	100466828	100466846	-	0.000	0.000	Merged-chr5-100466890-43
NR3--MA0591.1.Bach1::Mafk	chr1	7205018	7205032	-	0.000	0.000	Merged-chr1-7204950-26
NR3126--MA0117.2.Mafb	chr13	96697952	96697963	+	0.000	0.000	Merged-chr13-96698036-39
NR645--MA0591.1.Bach1::Mafk	chr1	169969241	169969255	-	0.000	0.000	Merged-chr1-169969262-62
NR588--MA0501.1.MAF::NFE2	chr1	159812892	159812906	+	0.000	0.000	Merged-chr1-159812982-41
NR11091--MA0495.2.MAFF	chr9	120415586	120415606	-	0.000	0.000	Merged-chr9-120415677-25
NR1779--MA0591.1.Bach1::Mafk	chr11	57791382	57791396	-	0.000	0.000	Merged-chr11-57791276-17
NR1414--MA0089.1.MAFG::NFE2L1	chr10	99592301	99592306	-	0.000	0.000	Merged-chr10-99592304-27
NR6403--MA0495.2.MAFF	chr2	152810316	152810336	+	0.000	0.000	Merged-chr2-152810370-23
NR1168--MA0496.2.MAFK	chr10	67701942	67701960	+	0.000	0.000	Merged-chr10-67701888-9
NR3723--MA0501.1.MAF::NFE2	chr14	105177473	105177487	+	0.000	0.000	Merged-chr14-105177397-2
NR2921--MA0089.1.MAFG::NFE2L1	chr13	49270739	49270744	+	0.000	0.000	Merged-chr13-49270675-31
NR10500--MA0591.1.Bach1::Mafk	chr8	121187824	121187838	-	0.000	0.000	Merged-chr8-121187823-40
NR1716--MA0089.1.MAFG::NFE2L1	chr11	44544221	44544226	-	0.000	0.000	Merged-chr11-44544227-34
NR4905--MA0591.1.Bach1::Mafk	chr17	65885354	65885368	-	0.000	0.000	Merged-chr17-65885183-87
NR6501--MA0496.2.MAFK	chr2	163401424	163401442	-	0.000	0.000	Merged-chr2-163401452-24
NR1073--MA0591.1.Bach1::Mafk	chr10	43901035	43901049	+	0.000	0.000	Merged-chr10-43901198-1
NR4490--MA0089.1.MAFG::NFE2L1	chr16	75823556	75823561	-	0.000	0.000	Merged-chr16-75823473-28
NR11119--MA0089.1.MAFG::NFE2L1	chr9	124028740	124028745	-	0.000	0.000	Merged-chr9-124028680-14
NR9474--MA0591.1.Bach1::Mafk	chr7	12881135	12881149	-	0.000	0.000	Merged-chr7-12881125-51
NR10086--MA0496.2.MAFK	chr7	144857373	144857391	+	0.000	0.000	Merged-chr7-144857340-18
NR897--MA0501.1.MAF::NFE2	chr1	192753211	192753225	-	0.000	0.000	Merged-chr1-192753229-57
NR3285--MA0089.1.MAFG::NFE2L1	chr13	112287341	112287346	-	0.000	0.000	Merged-chr13-112287336-21
NR8838--MA0591.1.Bach1::Mafk	chr6	52825791	52825805	-	0.000	0.000	Merged-chr6-52825813-18
NR8251--MA0496.2.MAFK	chr5	91038838	91038856	+	0.000	0.000	Merged-chr5-91038885-32
NR7705--MA0501.1.MAF::NFE2	chr4	122872095	122872109	+	0.000	0.000	Merged-chr4-122872187-66
NR107--MA0501.1.MAF::NFE2	chr1	51509243	51509257	+	0.000	0.000	Merged-chr1-51509217-43
NR10888--MA0495.2.MAFF	chr9	83564270	83564290	-	0.000	0.000	Merged-chr9-83564254-44
NR8840--MA0591.1.Bach1::Mafk	chr6	54116513	54116527	-	0.000	0.000	Merged-chr6-54116572-22
NR5794--MA0117.2.Mafb	chr2	30595059	30595070	+	0.000	0.000	Merged-chr2-30595059-50
NR3779--MA0591.1.Bach1::Mafk	chr14	120275577	120275591	-	0.000	0.000	Merged-chr14-120275634-49
NR11306--MA0089.1.MAFG::NFE2L1	chrX	135742795	135742800	-	0.000	0.000	Merged-chrX-135742752-69
NR5221--MA0117.2.Mafb	chr18	56889005	56889016	+	0.000	0.000	Merged-chr18-56889017-47
NR9282--MA0591.1.Bach1::Mafk	chr6	137316523	137316537	+	0.000	0.000	Merged-chr6-137316445-24
NR947--MA0501.1.MAF::NFE2	chr10	12949726	12949740	+	0.000	0.000	Merged-chr10-12949602-11
NR10413--MA0496.2.MAFK	chr8	114827952	114827970	+	0.000	0.000	Merged-chr8-114827990-5
NR3108--MA0089.1.MAFG::NFE2L1	chr13	92722632	92722637	+	0.000	0.000	Merged-chr13-92722597-29
NR9952--MA0089.1.MAFG::NFE2L1	chr7	120754786	120754791	+	0.000	0.000	Merged-chr7-120754842-25
NR5242--MA0591.1.Bach1::Mafk	chr18	61643908	61643922	+	0.000	0.000	Merged-chr18-61643847-38
NR5168--MA0089.1.MAFG::NFE2L1	chr18	39835788	39835793	+	0.000	0.000	Merged-chr18-39835954-30
NR10796--MA0659.1.MAFG	chr9	63133284	63133304	-	0.000	0.000	Merged-chr9-63133405-2
NR2034--MA0501.1.MAF::NFE2	chr11	101697341	101697355	-	0.000	0.000	Merged-chr11-101697250-12
NR8411--MA0591.1.Bach1::Mafk	chr5	115635606	115635620	-	0.000	0.000	Merged-chr5-115635680-25
NR2160--MA0591.1.Bach1::Mafk	chr11	116949977	116949991	-	0.000	0.000	Merged-chr11-116950052-23
NR6109--MA0089.1.MAFG::NFE2L1	chr2	115610676	115610681	+	0.000	0.000	Merged-chr2-115610633-33
NR9878--MA0089.1.MAFG::NFE2L1	chr7	113143717	113143722	+	0.000	0.000	Merged-chr7-113143723-32
NR2556--MA0089.1.MAFG::NFE2L1	chr12	101102826	101102831	+	0.000	0.000	Merged-chr12-101102825-20
NR5631--MA0089.1.MAFG::NFE2L1	chr19	56756638	56756643	-	0.000	0.000	Merged-chr19-56756635-43
NR5425--MA0496.2.MAFK	chr19	5510527	5510545	-	0.000	0.000	Merged-chr19-5510623-50
NR9127--MA0495.2.MAFF	chr6	117431667	117431687	+	0.000	0.000	Merged-chr6-117431708-65
NR3877--MA0501.1.MAF::NFE2	chr15	6986333	6986347	-	0.000	0.000	Merged-chr15-6986369-8
NR525--MA0117.2.Mafb	chr1	152832185	152832196	+	0.000	0.000	Merged-chr1-152832204-22
NR453--MA0089.1.MAFG::NFE2L1	chr1	138348632	138348637	+	0.000	0.000	Merged-chr1-138348736-39
NR4803--MA0117.2.Mafb	chr17	35051902	35051913	+	0.000	0.000	Merged-chr17-35051735-66
NR10783--MA0591.1.Bach1::Mafk	chr9	61056513	61056527	+	0.000	0.000	Merged-chr9-61056676-44
NR9915--MA0495.2.MAFF	chr7	118104853	118104873	+	0.000	0.000	Merged-chr7-118104738-1,Merged-chr7-118105003-9
NR6656--MA0117.2.Mafb	chr2	181410930	181410941	-	0.000	0.000	Merged-chr2-181411095-55
NR9010--MA0496.2.MAFK	chr6	99435315	99435333	+	0.000	0.000	Merged-chr6-99435291-39
NR5442--MA0089.1.MAFG::NFE2L1	chr19	9939003	9939008	-	0.000	0.000	Merged-chr19-9938920-69
NR4629--MA0591.1.Bach1::Mafk	chr16	95893617	95893631	+	0.000	0.000	Merged-chr16-95893684-47
NR8356--MA0089.1.MAFG::NFE2L1	chr5	105798651	105798656	-	0.000	0.000	Merged-chr5-105798670-49
NR1901--MA0089.1.MAFG::NFE2L1	chr11	79339688	79339693	-	0.000	0.000	Merged-chr11-79339786-62
NR9263--MA0117.2.Mafb	chr6	134274236	134274247	-	0.000	0.000	Merged-chr6-134274107-38
NR6001--MA0501.1.MAF::NFE2	chr2	92609011	92609025	-	0.000	0.000	Merged-chr2-92609103-37
NR2332--MA0591.1.Bach1::Mafk	chr12	41044931	41044945	+	0.000	0.000	Merged-chr12-41044922-24
NR9863--MA0089.1.MAFG::NFE2L1	chr7	109781589	109781594	-	0.000	0.000	Merged-chr7-109781592-85
NR4698--MA0496.2.MAFK	chr17	10840175	10840193	-	0.000	0.000	Merged-chr17-10840429-74
NR5699--MA0495.2.MAFF	chr2	9574293	9574313	-	0.000	0.000	Merged-chr2-9574386-32
NR1121--MA0089.1.MAFG::NFE2L1	chr10	59292624	59292629	-	0.000	0.000	Merged-chr10-59292726-30
NR2084--MA0496.2.MAFK	chr11	106994505	106994523	-	0.000	0.000	Merged-chr11-106994404-9
NR10586--MA0659.1.MAFG	chr8	126551246	126551266	+	0.000	0.000	Merged-chr8-126551138-20
NR11028--MA0089.1.MAFG::NFE2L1	chr9	111047388	111047393	-	0.000	0.000	Merged-chr9-111047494-21
NR8756--MA0591.1.Bach1::Mafk	chr6	30205806	30205820	+	0.000	0.000	Merged-chr6-30205764-30
NR10174--MA0089.1.MAFG::NFE2L1	chr8	46656097	46656102	+	0.000	0.000	Merged-chr8-46656118-24
NR3503--MA0117.2.Mafb	chr14	55540238	55540249	+	0.000	0.000	Merged-chr14-55540407-42
NR7088--MA0117.2.Mafb	chr3	130803898	130803909	-	0.000	0.000	Merged-chr3-130803996-20
NR9298--MA0089.1.MAFG::NFE2L1	chr6	140466497	140466502	-	0.000	0.000	Merged-chr6-140466408-37
NR4626--MA0089.1.MAFG::NFE2L1	chr16	95809371	95809376	-	0.000	0.000	Merged-chr16-95809247-50
NR11115--MA0089.1.MAFG::NFE2L1	chr9	123259905	123259910	-	0.000	0.000	Merged-chr9-123259798-3
NR2570--MA0659.1.MAFG	chr12	102588572	102588592	+	0.000	0.000	Merged-chr12-102588735-27
NR5356--MA0117.2.Mafb	chr18	79589389	79589400	-	0.000	0.000	Merged-chr18-79589307-27
NR2462--MA0591.1.Bach1::Mafk	chr12	84417262	84417276	+	0.000	0.000	Merged-chr12-84417394-49
NR7457--MA0591.1.Bach1::Mafk	chr4	57295324	57295338	-	0.000	0.000	Merged-chr4-57295265-18
NR3803--MA0591.1.Bach1::Mafk	chr14	121711582	121711596	-	0.000	0.000	Merged-chr14-121711337-42
NR11216--MA0501.1.MAF::NFE2	chrX	77509299	77509313	+	0.000	0.000	Merged-chrX-77509424-59
NR8727--MA0495.2.MAFF	chr6	17629864	17629884	-	0.000	0.000	Merged-chr6-17630018-29
NR1871--MA0591.1.Bach1::Mafk	chr11	74848003	74848017	-	0.000	0.000	Merged-chr11-74848149-19
NR8984--MA0659.1.MAFG	chr6	97447130	97447150	-	0.000	0.000	Merged-chr6-97447180-22
NR3609--MA0501.1.MAF::NFE2	chr14	71120624	71120638	-	0.000	0.000	Merged-chr14-71120653-22
NR8372--MA0591.1.Bach1::Mafk	chr5	110808227	110808241	+	0.000	0.000	Merged-chr5-110808309-69
NR4396--MA0117.2.Mafb	chr16	50201956	50201967	-	0.000	0.000	Merged-chr16-50201808-40
NR2331--MA0495.2.MAFF	chr12	41044928	41044948	-	0.000	0.000	Merged-chr12-41044922-24
NR7641--MA0496.2.MAFK	chr4	109476592	109476610	-	0.000	0.000	Merged-chr4-109476466-95
NR7136--MA0089.1.MAFG::NFE2L1	chr3	136688184	136688189	-	0.000	0.000	Merged-chr3-136688298-63
NR10219--MA0117.2.Mafb	chr8	68674248	68674259	-	0.000	0.000	Merged-chr8-68674402-29
NR4436--MA0501.1.MAF::NFE2	chr16	52470435	52470449	+	0.000	0.000	Merged-chr16-52470408-42
NR3994--MA0495.2.MAFF	chr15	57906811	57906831	-	0.000	0.000	Merged-chr15-57906740-47
NR8731--MA0496.2.MAFK	chr6	17629865	17629883	+	0.000	0.000	Merged-chr6-17630018-29
NR3971--MA0496.2.MAFK	chr15	51805086	51805104	+	0.000	0.000	Merged-chr15-51805093-44
NR5128--MA0117.2.Mafb	chr18	34119202	34119213	-	0.000	0.000	Merged-chr18-34119023-1
NR8858--MA0089.1.MAFG::NFE2L1	chr6	59180504	59180509	-	0.000	0.000	Merged-chr6-59180566-24
NR1536--MA0089.1.MAFG::NFE2L1	chr10	122800518	122800523	+	0.000	0.000	Merged-chr10-122800507-74
NR10669--MA0496.2.MAFK	chr9	21237483	21237501	-	0.000	0.000	Merged-chr9-21237618-31
NR888--MA0591.1.Bach1::Mafk	chr1	191802690	191802704	-	0.000	0.000	Merged-chr1-191802759-25
NR9989--MA0089.1.MAFG::NFE2L1	chr7	127895717	127895722	+	0.000	0.000	Merged-chr7-127895657-49
NR3725--MA0496.2.MAFK	chr14	105177468	105177486	-	0.000	0.000	Merged-chr14-105177397-2
NR9874--MA0089.1.MAFG::NFE2L1	chr7	112225753	112225758	+	0.000	0.000	Merged-chr7-112225883-54
NR8978--MA0495.2.MAFF	chr6	97447130	97447150	+	0.000	0.000	Merged-chr6-97447180-22
NR322--MA0496.2.MAFK	chr1	106187696	106187714	-	0.000	0.000	Merged-chr1-106187715-26
NR3978--MA0117.2.Mafb	chr15	53492256	53492267	+	0.000	0.000	Merged-chr15-53492104-53
NR9341--MA0501.1.MAF::NFE2	chr6	143176587	143176601	+	0.000	0.000	Merged-chr6-143176847-16
NR4841--MA0501.1.MAF::NFE2	chr17	44718202	44718216	-	0.000	0.000	Merged-chr17-44718379-50
NR3871--MA0591.1.Bach1::Mafk	chr15	6555766	6555780	+	0.000	0.000	Merged-chr15-6555772-24
NR9183--MA0117.2.Mafb	chr6	124702925	124702936	-	0.000	0.000	Merged-chr6-124702959-17
NR2263--MA0089.1.MAFG::NFE2L1	chr12	17511194	17511199	-	0.000	0.000	Merged-chr12-17511273-48
NR7827--MA0089.1.MAFG::NFE2L1	chr4	141405006	141405011	+	0.000	0.000	Merged-chr4-141404988-27
NR2969--MA0089.1.MAFG::NFE2L1	chr13	62653302	62653307	+	0.000	0.000	Merged-chr13-62653213-52
NR4839--MA0089.1.MAFG::NFE2L1	chr17	44718212	44718217	-	0.000	0.000	Merged-chr17-44718379-50
NR8423--MA0495.2.MAFF	chr5	118269183	118269203	+	0.000	0.000	Merged-chr5-118269215-26
NR8467--MA0089.1.MAFG::NFE2L1	chr5	122224452	122224457	+	0.000	0.000	Merged-chr5-122224441-19
NR5768--MA0089.1.MAFG::NFE2L1	chr2	26304755	26304760	+	0.000	0.000	Merged-chr2-26304890-4
NR9396--MA0089.1.MAFG::NFE2L1	chr6	145374573	145374578	-	0.000	0.000	Merged-chr6-145374595-4
NR5268--MA0591.1.Bach1::Mafk	chr18	65430699	65430713	-	0.000	0.000	Merged-chr18-65430843-87
NR8352--MA0089.1.MAFG::NFE2L1	chr5	105642721	105642726	+	0.000	0.000	Merged-chr5-105642805-64
NR10850--MA0089.1.MAFG::NFE2L1	chr9	78039331	78039336	+	0.000	0.000	Merged-chr9-78039218-36
NR8131--MA0501.1.MAF::NFE2	chr5	38307974	38307988	-	0.000	0.000	Merged-chr5-38307807-52
NR7983--MA0501.1.MAF::NFE2	chr5	8660503	8660517	+	0.000	0.000	Merged-chr5-8660427-82
NR8893--MA0495.2.MAFF	chr6	70714455	70714475	-	0.000	0.000	Merged-chr6-70714490-34
NR3099--MA0591.1.Bach1::Mafk	chr13	91091605	91091619	-	0.000	0.000	Merged-chr13-91091674-66
NR9974--MA0089.1.MAFG::NFE2L1	chr7	123377957	123377962	-	0.000	0.000	Merged-chr7-123378098-56
NR2186--MA0591.1.Bach1::Mafk	chr11	119345107	119345121	+	0.000	0.000	Merged-chr11-119345028-19
NR6471--MA0496.2.MAFK	chr2	158701694	158701712	-	0.000	0.000	Merged-chr2-158701741-16
NR2851--MA0591.1.Bach1::Mafk	chr13	32338765	32338779	-	0.000	0.000	Merged-chr13-32338674-80
NR7846--MA0591.1.Bach1::Mafk	chr4	144996074	144996088	-	0.000	0.000	Merged-chr4-144996009-47
NR2161--MA0089.1.MAFG::NFE2L1	chr11	117092973	117092978	+	0.000	0.000	Merged-chr11-117092893-43
NR1353--MA0496.2.MAFK	chr10	93261569	93261587	-	0.000	0.000	Merged-chr10-93261429-32
NR5942--MA0089.1.MAFG::NFE2L1	chr2	69003121	69003126	+	0.000	0.000	Merged-chr2-69003152-17
NR4992--MA0117.2.Mafb	chr17	83666804	83666815	-	0.000	0.000	Merged-chr17-83666792-23
NR274--MA0501.1.MAF::NFE2	chr1	89069604	89069618	-	0.000	0.000	Merged-chr1-89069635-1
NR5770--MA0501.1.MAF::NFE2	chr2	27028044	27028058	+	0.000	0.000	Merged-chr2-27028033-48
NR4293--MA0591.1.Bach1::Mafk	chr16	22602605	22602619	+	0.000	0.000	Merged-chr16-22602605-18
NR1043--MA0089.1.MAFG::NFE2L1	chr10	37335324	37335329	+	0.000	0.000	Merged-chr10-37335340-12
NR6091--MA0089.1.MAFG::NFE2L1	chr2	113966658	113966663	-	0.000	0.000	Merged-chr2-113966529-16
NR5674--MA0501.1.MAF::NFE2	chr2	3713421	3713435	+	0.000	0.000	Merged-chr2-3713630-67
NR3392--MA0089.1.MAFG::NFE2L1	chr14	21750459	21750464	+	0.000	0.000	Merged-chr14-21750492-17
NR11080--MA0591.1.Bach1::Mafk	chr9	119254766	119254780	-	0.000	0.000	Merged-chr9-119254891-26
NR2079--MA0591.1.Bach1::Mafk	chr11	106994507	106994521	+	0.000	0.000	Merged-chr11-106994404-9
NR9929--MA0496.2.MAFK	chr7	118104821	118104839	-	0.000	0.000	Merged-chr7-118104738-1,Merged-chr7-118105003-9
NR5753--MA0089.1.MAFG::NFE2L1	chr2	18935624	18935629	+	0.000	0.000	Merged-chr2-18935718-26
