#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/Bcl6KO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed
NR27--MA0089.1.MAFG::NFE2L1	chr1	20740624	20740629	+	0.000	0.000	Merged-chr1-20740658-39
NR8454--MA0591.1.Bach1::Mafk	chr5	120503177	120503191	+	0.000	0.000	Merged-chr5-120503408-50
NR9476--MA0495.2.MAFF	chr7	16057370	16057390	+	0.000	0.000	Merged-chr7-16057177-61
NR7541--MA0591.1.Bach1::Mafk	chr4	89516002	89516016	-	0.000	0.000	Merged-chr4-89516226-43
NR10333--MA0495.2.MAFF	chr8	94186724	94186744	-	0.000	0.000	Merged-chr8-94186753-31
NR7818--MA0089.1.MAFG::NFE2L1	chr4	139337085	139337090	+	0.000	0.000	Merged-chr4-139337251-35
NR10666--MA0117.2.Mafb	chr9	21161622	21161633	-	0.000	0.000	Merged-chr9-21161494-64
NR3889--MA0089.1.MAFG::NFE2L1	chr15	10583678	10583683	+	0.000	0.000	Merged-chr15-10583571-15
NR10378--MA0089.1.MAFG::NFE2L1	chr8	106973106	106973111	+	0.000	0.000	Merged-chr8-106972963-3
NR9328--MA0501.1.MAF::NFE2	chr6	142519107	142519121	+	0.000	0.000	Merged-chr6-142519262-28
NR7529--MA0089.1.MAFG::NFE2L1	chr4	89282055	89282060	-	0.000	0.000	Merged-chr4-89282220-20
NR5220--MA0501.1.MAF::NFE2	chr18	56737559	56737573	+	0.000	0.000	Merged-chr18-56737571-43
NR8818--MA0659.1.MAFG	chr6	49128468	49128488	+	0.000	0.000	Merged-chr6-49128471-29
NR2437--MA0591.1.Bach1::Mafk	chr12	80257145	80257159	+	0.000	0.000	Merged-chr12-80257238-10
NR1659--MA0659.1.MAFG	chr11	11766210	11766230	-	0.000	0.000	Merged-chr11-11766225-56
NR4024--MA0117.2.Mafb	chr15	62824692	62824703	+	0.000	0.000	Merged-chr15-62824757-73
NR3976--MA0089.1.MAFG::NFE2L1	chr15	53216518	53216523	+	0.000	0.000	Merged-chr15-53216582-40
NR11204--MA0089.1.MAFG::NFE2L1	chrX	75056331	75056336	+	0.000	0.000	Merged-chrX-75056362-10
NR2182--MA0501.1.MAF::NFE2	chr11	119083924	119083938	-	0.000	0.000	Merged-chr11-119083935-60
NR9589--MA0089.1.MAFG::NFE2L1	chr7	45771302	45771307	-	0.000	0.000	Merged-chr7-45771241-24
NR7691--MA0089.1.MAFG::NFE2L1	chr4	120120476	120120481	+	0.000	0.000	Merged-chr4-120120491-32
NR8430--MA0089.1.MAFG::NFE2L1	chr5	118271801	118271806	-	0.000	0.000	Merged-chr5-118271976-24
NR8388--MA0117.2.Mafb	chr5	114041574	114041585	-	0.000	0.000	Merged-chr5-114041714-24
NR1929--MA0089.1.MAFG::NFE2L1	chr11	85312068	85312073	-	0.000	0.000	Merged-chr11-85312259-24
NR9185--MA0089.1.MAFG::NFE2L1	chr6	124903770	124903775	-	0.000	0.000	Merged-chr6-124903872-48
NR629--MA0501.1.MAF::NFE2	chr1	165736274	165736288	+	0.000	0.000	Merged-chr1-165736327-32
NR8141--MA0089.1.MAFG::NFE2L1	chr5	51553916	51553921	+	0.000	0.000	Merged-chr5-51553923-15
NR10694--MA0501.1.MAF::NFE2	chr9	32910780	32910794	+	0.000	0.000	Merged-chr9-32910829-64
NR8847--MA0089.1.MAFG::NFE2L1	chr6	54775837	54775842	-	0.000	0.000	Merged-chr6-54775842-27
NR8797--MA0501.1.MAF::NFE2	chr6	41541722	41541736	+	0.000	0.000	Merged-chr6-41541875-48
NR1140--MA0591.1.Bach1::Mafk	chr10	59950974	59950988	+	0.000	0.000	Merged-chr10-59950921-19
NR755--MA0089.1.MAFG::NFE2L1	chr1	184013327	184013332	-	0.000	0.000	Merged-chr1-184013369-24
NR8820--MA0496.2.MAFK	chr6	49128469	49128487	+	0.000	0.000	Merged-chr6-49128471-29
NR4036--MA0495.2.MAFF	chr15	64041700	64041720	-	0.000	0.000	Merged-chr15-64041818-65
NR9106--MA0501.1.MAF::NFE2	chr6	114657110	114657124	-	0.000	0.000	Merged-chr6-114657175-55
NR2667--MA0501.1.MAF::NFE2	chr12	112994269	112994283	-	0.000	0.000	Merged-chr12-112994371-22
NR264--MA0089.1.MAFG::NFE2L1	chr1	88267761	88267766	+	0.000	0.000	Merged-chr1-88267879-42
NR7963--MA0496.2.MAFK	chr5	3358937	3358955	-	0.000	0.000	Merged-chr5-3358967-15
NR4960--MA0659.1.MAFG	chr17	80139917	80139937	-	0.000	0.000	Merged-chr17-80140059-47
NR2010--MA0591.1.Bach1::Mafk	chr11	98568417	98568431	+	0.000	0.000	Merged-chr11-98568407-8
NR1232--MA0495.2.MAFF	chr10	79937280	79937300	+	0.000	0.000	Merged-chr10-79937148-47
NR4908--MA0591.1.Bach1::Mafk	chr17	65961962	65961976	-	0.000	0.000	Merged-chr17-65961846-52
NR518--MA0501.1.MAF::NFE2	chr1	151613432	151613446	-	0.000	0.000	Merged-chr1-151613371-29
NR7023--MA0089.1.MAFG::NFE2L1	chr3	115974374	115974379	+	0.000	0.000	Merged-chr3-115974428-45
NR4890--MA0089.1.MAFG::NFE2L1	chr17	56898021	56898026	+	0.000	0.000	Merged-chr17-56897869-32
NR4125--MA0496.2.MAFK	chr15	82906878	82906896	+	0.000	0.000	Merged-chr15-82906941-10
NR10676--MA0591.1.Bach1::Mafk	chr9	25186022	25186036	-	0.000	0.000	Merged-chr9-25186087-6
NR3470--MA0089.1.MAFG::NFE2L1	chr14	47740753	47740758	+	0.000	0.000	Merged-chr14-47740703-52
NR4038--MA0659.1.MAFG	chr15	64041700	64041720	-	0.000	0.000	Merged-chr15-64041818-65
NR5455--MA0089.1.MAFG::NFE2L1	chr19	10839216	10839221	+	0.000	0.000	Merged-chr19-10839389-65
NR420--MA0496.2.MAFK	chr1	133146149	133146167	-	0.000	0.000	Merged-chr1-133146237-29
NR9083--MA0089.1.MAFG::NFE2L1	chr6	108537159	108537164	+	0.000	0.000	Merged-chr6-108536943-79
NR5016--MA0659.1.MAFG	chr17	86063692	86063712	+	0.000	0.000	Merged-chr17-86063661-27
NR68--MA0495.2.MAFF	chr1	37308181	37308201	-	0.000	0.000	Merged-chr1-37308112-49
NR9496--MA0117.2.Mafb	chr7	16368614	16368625	+	0.000	0.000	Merged-chr7-16368534-21
NR11210--MA0117.2.Mafb	chrX	75764237	75764248	-	0.000	0.000	Merged-chrX-75764478-65
NR8827--MA0117.2.Mafb	chr6	50252936	50252947	-	0.000	0.000	Merged-chr6-50252871-31
NR2268--MA0591.1.Bach1::Mafk	chr12	21437729	21437743	+	0.000	0.000	Merged-chr12-21437615-25
NR7981--MA0496.2.MAFK	chr5	8075507	8075525	-	0.000	0.000	Merged-chr5-8075370-38
NR4482--MA0501.1.MAF::NFE2	chr16	64796763	64796777	+	0.000	0.000	Merged-chr16-64796887-9
NR938--MA0501.1.MAF::NFE2	chr10	10307486	10307500	-	0.000	0.000	Merged-chr10-10307543-35
NR6766--MA0496.2.MAFK	chr3	55424096	55424114	-	0.000	0.000	Merged-chr3-55424109-16
NR6898--MA0117.2.Mafb	chr3	96198347	96198358	-	0.000	0.000	Merged-chr3-96198410-32
NR7518--MA0117.2.Mafb	chr4	88079020	88079031	+	0.000	0.000	Merged-chr4-88079193-33
NR5266--MA0089.1.MAFG::NFE2L1	chr18	65382026	65382031	+	0.000	0.000	Merged-chr18-65381869-74
NR1634--MA0591.1.Bach1::Mafk	chr11	5099440	5099454	-	0.000	0.000	Merged-chr11-5099369-106
NR7664--MA0495.2.MAFF	chr4	116677954	116677974	+	0.000	0.000	Merged-chr4-116678042-15
NR2769--MA0089.1.MAFG::NFE2L1	chr13	5768013	5768018	+	0.000	0.000	Merged-chr13-5768061-15
NR8267--MA0089.1.MAFG::NFE2L1	chr5	93097626	93097631	+	0.000	0.000	Merged-chr5-93097663-1
NR175--MA0089.1.MAFG::NFE2L1	chr1	62829929	62829934	-	0.000	0.000	Merged-chr1-62829921-36
NR7753--MA0496.2.MAFK	chr4	129821464	129821482	-	0.000	0.000	Merged-chr4-129821455-21
NR4891--MA0591.1.Bach1::Mafk	chr17	56951089	56951103	-	0.000	0.000	Merged-chr17-56951160-8
NR23--MA0089.1.MAFG::NFE2L1	chr1	16688419	16688424	+	0.000	0.000	Merged-chr1-16688563-89
NR2365--MA0089.1.MAFG::NFE2L1	chr12	55027308	55027313	-	0.000	0.000	Merged-chr12-55027232-31
NR8152--MA0089.1.MAFG::NFE2L1	chr5	53355266	53355271	+	0.000	0.000	Merged-chr5-53355267-30
NR7666--MA0659.1.MAFG	chr4	116677954	116677974	-	0.000	0.000	Merged-chr4-116678042-15
NR2250--MA0089.1.MAFG::NFE2L1	chr12	13576052	13576057	-	0.000	0.000	Merged-chr12-13576044-20
NR519--MA0496.2.MAFK	chr1	151613433	151613451	+	0.000	0.000	Merged-chr1-151613371-29
NR7202--MA0501.1.MAF::NFE2	chr3	146107582	146107596	+	0.000	0.000	Merged-chr3-146107522-11
NR6699--MA0089.1.MAFG::NFE2L1	chr3	22089993	22089998	-	0.000	0.000	Merged-chr3-22089881-43
NR6529--MA0496.2.MAFK	chr2	166607152	166607170	+	0.000	0.000	Merged-chr2-166607083-27
NR6427--MA0501.1.MAF::NFE2	chr2	154603904	154603918	+	0.000	0.000	Merged-chr2-154603925-61
NR4235--MA0089.1.MAFG::NFE2L1	chr15	102263117	102263122	-	0.000	0.000	Merged-chr15-102263146-38
NR1764--MA0591.1.Bach1::Mafk	chr11	53803659	53803673	+	0.000	0.000	Merged-chr11-53803686-61
NR10154--MA0501.1.MAF::NFE2	chr8	36194268	36194282	+	0.000	0.000	Merged-chr8-36194183-57
NR7352--MA0591.1.Bach1::Mafk	chr4	12786215	12786229	+	0.000	0.000	Merged-chr4-12786257-5
NR3406--MA0089.1.MAFG::NFE2L1	chr14	27237989	27237994	-	0.000	0.000	Merged-chr14-27238003-64
NR6361--MA0117.2.Mafb	chr2	146063871	146063882	-	0.000	0.000	Merged-chr2-146063828-3
NR11209--MA0495.2.MAFF	chrX	75764228	75764248	-	0.000	0.000	Merged-chrX-75764478-65
NR5940--MA0501.1.MAF::NFE2	chr2	68862489	68862503	+	0.000	0.000	Merged-chr2-68862587-3
NR940--MA0089.1.MAFG::NFE2L1	chr10	12842754	12842759	-	0.000	0.000	Merged-chr10-12842715-46
NR2293--MA0591.1.Bach1::Mafk	chr12	32897737	32897751	-	0.000	0.000	Merged-chr12-32897664-25
NR1335--MA0591.1.Bach1::Mafk	chr10	93006609	93006623	-	0.000	0.000	Merged-chr10-93006828-34
NR1549--MA0089.1.MAFG::NFE2L1	chr10	127151237	127151242	+	0.000	0.000	Merged-chr10-127151405-14
NR9149--MA0501.1.MAF::NFE2	chr6	118167157	118167171	+	0.000	0.000	Merged-chr6-118167184-65
NR288--MA0089.1.MAFG::NFE2L1	chr1	92473735	92473740	+	0.000	0.000	Merged-chr1-92473909-79
NR9414--MA0591.1.Bach1::Mafk	chr6	146516330	146516344	-	0.000	0.000	Merged-chr6-146516138-30
NR6453--MA0496.2.MAFK	chr2	157131379	157131397	+	0.000	0.000	Merged-chr2-157131278-25
NR2854--MA0089.1.MAFG::NFE2L1	chr13	32864703	32864708	-	0.000	0.000	Merged-chr13-32864701-28
NR8158--MA0591.1.Bach1::Mafk	chr5	53401312	53401326	+	0.000	0.000	Merged-chr5-53401251-38
NR10593--MA0496.2.MAFK	chr8	126694181	126694199	+	0.000	0.000	Merged-chr8-126693986-5
NR1868--MA0501.1.MAF::NFE2	chr11	74444015	74444029	-	0.000	0.000	Merged-chr11-74444076-12
NR2121--MA0495.2.MAFF	chr11	110897174	110897194	+	0.000	0.000	Merged-chr11-110897111-25
NR5596--MA0496.2.MAFK	chr19	44554325	44554343	-	0.000	0.000	Merged-chr19-44554365-6
NR2454--MA0117.2.Mafb	chr12	82268079	82268090	+	0.000	0.000	Merged-chr12-82268056-22
NR2189--MA0089.1.MAFG::NFE2L1	chr11	119352198	119352203	-	0.000	0.000	Merged-chr11-119352427-33
NR7205--MA0117.2.Mafb	chr3	146156481	146156492	-	0.000	0.000	Merged-chr3-146156447-31
NR3305--MA0495.2.MAFF	chr13	113322300	113322320	-	0.000	0.000	Merged-chr13-113322180-25
NR8615--MA0496.2.MAFK	chr5	146655356	146655374	-	0.000	0.000	Merged-chr5-146655552-37
NR123--MA0117.2.Mafb	chr1	52631153	52631164	+	0.000	0.000	Merged-chr1-52631121-87
NR6709--MA0089.1.MAFG::NFE2L1	chr3	28236923	28236928	-	0.000	0.000	Merged-chr3-28236857-20
NR3120--MA0591.1.Bach1::Mafk	chr13	96487438	96487452	-	0.000	0.000	Merged-chr13-96487488-44
NR6899--MA0089.1.MAFG::NFE2L1	chr3	96198476	96198481	+	0.000	0.000	Merged-chr3-96198410-32
NR4401--MA0117.2.Mafb	chr16	50632883	50632894	-	0.000	0.000	Merged-chr16-50633027-57
NR2425--MA0496.2.MAFK	chr12	77074835	77074853	-	0.000	0.000	Merged-chr12-77074794-6
NR2132--MA0659.1.MAFG	chr11	113174351	113174371	-	0.000	0.000	Merged-chr11-113174221-33
NR6784--MA0089.1.MAFG::NFE2L1	chr3	60438912	60438917	-	0.000	0.000	Merged-chr3-60438936-20
NR4968--MA0495.2.MAFF	chr17	80520738	80520758	-	0.000	0.000	Merged-chr17-80520754-23
NR1273--MA0591.1.Bach1::Mafk	chr10	83652694	83652708	+	0.000	0.000	Merged-chr10-83652562-18
NR9513--MA0495.2.MAFF	chr7	19872430	19872450	+	0.000	0.000	Merged-chr7-19872321-3
NR5785--MA0501.1.MAF::NFE2	chr2	29100998	29101012	+	0.000	0.000	Merged-chr2-29100957-2
NR589--MA0591.1.Bach1::Mafk	chr1	160179675	160179689	+	0.000	0.000	Merged-chr1-160179671-30
NR9698--MA0089.1.MAFG::NFE2L1	chr7	75600572	75600577	-	0.000	0.000	Merged-chr7-75600674-52
NR6033--MA0495.2.MAFF	chr2	101628662	101628682	+	0.000	0.000	Merged-chr2-101628862-31
NR370--MA0501.1.MAF::NFE2	chr1	120233881	120233895	-	0.000	0.000	Merged-chr1-120234014-4
NR7138--MA0591.1.Bach1::Mafk	chr3	136730124	136730138	-	0.000	0.000	Merged-chr3-136730222-15
NR3580--MA0659.1.MAFG	chr14	68048502	68048522	+	0.000	0.000	Merged-chr14-68048538-29
NR7803--MA0591.1.Bach1::Mafk	chr4	136144697	136144711	+	0.000	0.000	Merged-chr4-136144732-18
NR10365--MA0496.2.MAFK	chr8	105170475	105170493	+	0.000	0.000	Merged-chr8-105170559-11
NR10513--MA0501.1.MAF::NFE2	chr8	121906574	121906588	+	0.000	0.000	Merged-chr8-121906680-28
NR135--MA0495.2.MAFF	chr1	58725973	58725993	+	0.000	0.000	Merged-chr1-58726093-26
NR8741--MA0089.1.MAFG::NFE2L1	chr6	22424194	22424199	-	0.000	0.000	Merged-chr6-22424289-78
NR9515--MA0659.1.MAFG	chr7	19872430	19872450	+	0.000	0.000	Merged-chr7-19872321-3
NR111--MA0501.1.MAF::NFE2	chr1	51597172	51597186	+	0.000	0.000	Merged-chr1-51597319-48
NR2011--MA0117.2.Mafb	chr11	98747283	98747294	-	0.000	0.000	Merged-chr11-98747477-33
NR11117--MA0117.2.Mafb	chr9	123869353	123869364	-	0.000	0.000	Merged-chr9-123869515-16
NR1703--MA0495.2.MAFF	chr11	43729108	43729128	-	0.000	0.000	Merged-chr11-43729040-41
NR9188--MA0117.2.Mafb	chr6	125222366	125222377	+	0.000	0.000	Merged-chr6-125222318-50
NR1258--MA0089.1.MAFG::NFE2L1	chr10	81248129	81248134	+	0.000	0.000	Merged-chr10-81248090-40
NR5415--MA0501.1.MAF::NFE2	chr19	4037979	4037993	+	0.000	0.000	Merged-chr19-4037964-42
NR575--MA0089.1.MAFG::NFE2L1	chr1	157017484	157017489	+	0.000	0.000	Merged-chr1-157017378-1
NR951--MA0089.1.MAFG::NFE2L1	chr10	13967562	13967567	+	0.000	0.000	Merged-chr10-13967586-131
NR5840--MA0089.1.MAFG::NFE2L1	chr2	38825205	38825210	+	0.000	0.000	Merged-chr2-38825321-27
NR2036--MA0591.1.Bach1::Mafk	chr11	103028582	103028596	+	0.000	0.000	Merged-chr11-103028483-70
NR2358--MA0591.1.Bach1::Mafk	chr12	54313282	54313296	+	0.000	0.000	Merged-chr12-54313214-97
NR7212--MA0496.2.MAFK	chr3	148488519	148488537	-	0.000	0.000	Merged-chr3-148488399-75
NR1123--MA0591.1.Bach1::Mafk	chr10	59296378	59296392	-	0.000	0.000	Merged-chr10-59296474-30
NR5019--MA0496.2.MAFK	chr17	86063693	86063711	-	0.000	0.000	Merged-chr17-86063661-27
NR1445--MA0591.1.Bach1::Mafk	chr10	111506614	111506628	-	0.000	0.000	Merged-chr10-111506860-100
NR162--MA0591.1.Bach1::Mafk	chr1	60875488	60875502	+	0.000	0.000	Merged-chr1-60875356-55
NR8754--MA0089.1.MAFG::NFE2L1	chr6	29609798	29609803	+	0.000	0.000	Merged-chr6-29609635-99
NR1767--MA0591.1.Bach1::Mafk	chr11	54205566	54205580	+	0.000	0.000	Merged-chr11-54205523-3
NR4431--MA0495.2.MAFF	chr16	52468520	52468540	-	0.000	0.000	Merged-chr16-52468577-24
NR8263--MA0089.1.MAFG::NFE2L1	chr5	92327483	92327488	-	0.000	0.000	Merged-chr5-92327493-24
NR10398--MA0089.1.MAFG::NFE2L1	chr8	111821507	111821512	+	0.000	0.000	Merged-chr8-111821367-66
NR10808--MA0591.1.Bach1::Mafk	chr9	69125460	69125474	+	0.000	0.000	Merged-chr9-69125560-59
NR10130--MA0501.1.MAF::NFE2	chr8	25256137	25256151	-	0.000	0.000	Merged-chr8-25256219-29
NR6805--MA0117.2.Mafb	chr3	68794485	68794496	+	0.000	0.000	Merged-chr3-68794543-41
NR8611--MA0591.1.Bach1::Mafk	chr5	146655358	146655372	-	0.000	0.000	Merged-chr5-146655552-37
NR6129--MA0089.1.MAFG::NFE2L1	chr2	117352953	117352958	-	0.000	0.000	Merged-chr2-117352784-31
NR2266--MA0501.1.MAF::NFE2	chr12	21437690	21437704	-	0.000	0.000	Merged-chr12-21437615-25
NR2315--MA0591.1.Bach1::Mafk	chr12	36215297	36215311	-	0.000	0.000	Merged-chr12-36215246-21
NR8478--MA0089.1.MAFG::NFE2L1	chr5	123782029	123782034	+	0.000	0.000	Merged-chr5-123782033-22
NR8350--MA0089.1.MAFG::NFE2L1	chr5	105515540	105515545	+	0.000	0.000	Merged-chr5-105515630-23
NR2576--MA0089.1.MAFG::NFE2L1	chr12	102743674	102743679	-	0.000	0.000	Merged-chr12-102743719-52
NR1156--MA0089.1.MAFG::NFE2L1	chr10	67004364	67004369	-	0.000	0.000	Merged-chr10-67004511-105
NR744--MA0501.1.MAF::NFE2	chr1	182528172	182528186	-	0.000	0.000	Merged-chr1-182528373-67
NR4661--MA0117.2.Mafb	chr17	5887184	5887195	+	0.000	0.000	Merged-chr17-5887399-51
NR8462--MA0591.1.Bach1::Mafk	chr5	121503075	121503089	-	0.000	0.000	Merged-chr5-121503139-12
NR5806--MA0591.1.Bach1::Mafk	chr2	32236636	32236650	-	0.000	0.000	Merged-chr2-32236605-69
NR8225--MA0591.1.Bach1::Mafk	chr5	77092702	77092716	-	0.000	0.000	Merged-chr5-77092743-13
NR2090--MA0501.1.MAF::NFE2	chr11	107693433	107693447	+	0.000	0.000	Merged-chr11-107693539-25
NR5919--MA0496.2.MAFK	chr2	65134009	65134027	-	0.000	0.000	Merged-chr2-65133825-19
NR7521--MA0089.1.MAFG::NFE2L1	chr4	88300990	88300995	+	0.000	0.000	Merged-chr4-88300823-32
NR8074--MA0089.1.MAFG::NFE2L1	chr5	23616587	23616592	+	0.000	0.000	Merged-chr5-23616699-80
NR3829--MA0591.1.Bach1::Mafk	chr14	122747993	122748007	+	0.000	0.000	Merged-chr14-122748042-18
NR2701--MA0659.1.MAFG	chr12	114809435	114809455	+	0.000	0.000	Merged-chr12-114809482-22
NR8336--MA0659.1.MAFG	chr5	103927715	103927735	-	0.000	0.000	Merged-chr5-103927740-47
NR7351--MA0496.2.MAFK	chr4	11960987	11961005	-	0.000	0.000	Merged-chr4-11960864-24
NR9533--MA0117.2.Mafb	chr7	27357536	27357547	+	0.000	0.000	Merged-chr7-27357694-29
NR9696--MA0089.1.MAFG::NFE2L1	chr7	75416082	75416087	+	0.000	0.000	Merged-chr7-75416159-31
NR5577--MA0089.1.MAFG::NFE2L1	chr19	40762495	40762500	+	0.000	0.000	Merged-chr19-40762334-20
NR32--MA0089.1.MAFG::NFE2L1	chr1	21618845	21618850	-	0.000	0.000	Merged-chr1-21618952-34
NR4776--MA0495.2.MAFF	chr17	32067706	32067726	-	0.000	0.000	Merged-chr17-32067769-19
NR11050--MA0117.2.Mafb	chr9	114730377	114730388	-	0.000	0.000	Merged-chr9-114730346-23
NR4042--MA0089.1.MAFG::NFE2L1	chr15	64174630	64174635	-	0.000	0.000	Merged-chr15-64174654-18
NR10052--MA0496.2.MAFK	chr7	140983130	140983148	+	0.000	0.000	Merged-chr7-140983161-18
NR1750--MA0659.1.MAFG	chr11	51264658	51264678	-	0.000	0.000	Merged-chr11-51264498-29
NR399--MA0089.1.MAFG::NFE2L1	chr1	131010623	131010628	-	0.000	0.000	Merged-chr1-131010715-50
NR11259--MA0495.2.MAFF	chrX	103621838	103621858	-	0.000	0.000	Merged-chrX-103621915-2
NR6527--MA0591.1.Bach1::Mafk	chr2	166607154	166607168	-	0.000	0.000	Merged-chr2-166607083-27
NR7823--MA0089.1.MAFG::NFE2L1	chr4	140944959	140944964	-	0.000	0.000	Merged-chr4-140945149-61
NR9808--MA0089.1.MAFG::NFE2L1	chr7	101905924	101905929	-	0.000	0.000	Merged-chr7-101905958-61
NR1191--MA0591.1.Bach1::Mafk	chr10	75492245	75492259	-	0.000	0.000	Merged-chr10-75492121-22
NR5388--MA0089.1.MAFG::NFE2L1	chr18	84859697	84859702	+	0.000	0.000	Merged-chr18-84859622-32
NR6764--MA0501.1.MAF::NFE2	chr3	55424095	55424109	-	0.000	0.000	Merged-chr3-55424109-16
NR6286--MA0117.2.Mafb	chr2	131352776	131352787	-	0.000	0.000	Merged-chr2-131352831-82
NR9547--MA0591.1.Bach1::Mafk	chr7	28382870	28382884	+	0.000	0.000	Merged-chr7-28382827-73
NR10491--MA0501.1.MAF::NFE2	chr8	120715483	120715497	-	0.000	0.000	Merged-chr8-120715474-36
NR9594--MA0089.1.MAFG::NFE2L1	chr7	46796045	46796050	-	0.000	0.000	Merged-chr7-46795936-83
NR3961--MA0591.1.Bach1::Mafk	chr15	41846629	41846643	-	0.000	0.000	Merged-chr15-41846585-48
NR1792--MA0591.1.Bach1::Mafk	chr11	60769469	60769483	+	0.000	0.000	Merged-chr11-60769599-13
NR4333--MA0495.2.MAFF	chr16	33769914	33769934	+	0.000	0.000	Merged-chr16-33769896-51
NR10191--MA0496.2.MAFK	chr8	49946938	49946956	-	0.000	0.000	Merged-chr8-49947112-22
NR8389--MA0089.1.MAFG::NFE2L1	chr5	114773548	114773553	-	0.000	0.000	Merged-chr5-114773401-70
NR8765--MA0089.1.MAFG::NFE2L1	chr6	31220353	31220358	-	0.000	0.000	Merged-chr6-31220407-8
NR7345--MA0089.1.MAFG::NFE2L1	chr4	11026400	11026405	-	0.000	0.000	Merged-chr4-11026453-25
NR9871--MA0591.1.Bach1::Mafk	chr7	110977915	110977929	+	0.000	0.000	Merged-chr7-110978086-35
NR6491--MA0089.1.MAFG::NFE2L1	chr2	162998651	162998656	+	0.000	0.000	Merged-chr2-162998735-32
NR6100--MA0591.1.Bach1::Mafk	chr2	114135319	114135333	+	0.000	0.000	Merged-chr2-114135366-6
NR4357--MA0089.1.MAFG::NFE2L1	chr16	38406840	38406845	+	0.000	0.000	Merged-chr16-38406916-18
NR8852--MA0089.1.MAFG::NFE2L1	chr6	57529450	57529455	+	0.000	0.000	Merged-chr6-57529378-24
NR955--MA0495.2.MAFF	chr10	17550179	17550199	-	0.000	0.000	Merged-chr10-17550297-37
NR1369--MA0089.1.MAFG::NFE2L1	chr10	94848656	94848661	+	0.000	0.000	Merged-chr10-94848627-43
NR715--MA0117.2.Mafb	chr1	179169976	179169987	-	0.000	0.000	Merged-chr1-179169843-56
NR4820--MA0089.1.MAFG::NFE2L1	chr17	36042761	36042766	-	0.000	0.000	Merged-chr17-36042760-57
NR8222--MA0496.2.MAFK	chr5	76565521	76565539	+	0.000	0.000	Merged-chr5-76565486-34
NR2385--MA0089.1.MAFG::NFE2L1	chr12	70999533	70999538	+	0.000	0.000	Merged-chr12-70999631-61
NR5460--MA0089.1.MAFG::NFE2L1	chr19	11387401	11387406	+	0.000	0.000	Merged-chr19-11387289-24
NR3583--MA0496.2.MAFK	chr14	68048503	68048521	+	0.000	0.000	Merged-chr14-68048538-29
NR5675--MA0089.1.MAFG::NFE2L1	chr2	3742814	3742819	-	0.000	0.000	Merged-chr2-3742681-34
NR10407--MA0495.2.MAFF	chr8	114369493	114369513	+	0.000	0.000	Merged-chr8-114369520-41
NR4689--MA0659.1.MAFG	chr17	9002572	9002592	+	0.000	0.000	Merged-chr17-9002640-32
NR988--MA0089.1.MAFG::NFE2L1	chr10	21335784	21335789	-	0.000	0.000	Merged-chr10-21335656-23
NR2169--MA0591.1.Bach1::Mafk	chr11	118212952	118212966	-	0.000	0.000	Merged-chr11-118212846-19
NR5762--MA0089.1.MAFG::NFE2L1	chr2	24962629	24962634	+	0.000	0.000	Merged-chr2-24962468-44
NR2294--MA0501.1.MAF::NFE2	chr12	32897734	32897748	-	0.000	0.000	Merged-chr12-32897664-25
NR5253--MA0591.1.Bach1::Mafk	chr18	64476941	64476955	-	0.000	0.000	Merged-chr18-64476957-10
NR401--MA0591.1.Bach1::Mafk	chr1	131135094	131135108	+	0.000	0.000	Merged-chr1-131135243-3
NR6855--MA0117.2.Mafb	chr3	89250549	89250560	+	0.000	0.000	Merged-chr3-89250678-9
NR9565--MA0117.2.Mafb	chr7	31131103	31131114	-	0.000	0.000	Merged-chr7-31131054-34
NR2359--MA0501.1.MAF::NFE2	chr12	54313285	54313299	+	0.000	0.000	Merged-chr12-54313214-97
NR8185--MA0089.1.MAFG::NFE2L1	chr5	65391536	65391541	-	0.000	0.000	Merged-chr5-65391425-67
NR5998--MA0117.2.Mafb	chr2	91527410	91527421	-	0.000	0.000	Merged-chr2-91527310-1
NR6490--MA0591.1.Bach1::Mafk	chr2	162931537	162931551	+	0.000	0.000	Merged-chr2-162931607-133
NR4285--MA0501.1.MAF::NFE2	chr16	19975722	19975736	+	0.000	0.000	Merged-chr16-19975535-20
NR9330--MA0496.2.MAFK	chr6	142519102	142519120	-	0.000	0.000	Merged-chr6-142519262-28
NR9011--MA0089.1.MAFG::NFE2L1	chr6	99643708	99643713	-	0.000	0.000	Merged-chr6-99643748-32
NR7945--MA0117.2.Mafb	chr4	156033082	156033093	+	0.000	0.000	Merged-chr4-156033433-76
NR4153--MA0089.1.MAFG::NFE2L1	chr15	90229392	90229397	-	0.000	0.000	Merged-chr15-90229607-22
NR2019--MA0496.2.MAFK	chr11	99562666	99562684	-	0.000	0.000	Merged-chr11-99562680-10
NR3974--MA0501.1.MAF::NFE2	chr15	51842707	51842721	+	0.000	0.000	Merged-chr15-51842617-12
