#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Prdm1/Bcl6KO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed
NR387--MA0508.2.PRDM1	chr12	82226657	82226666	+	0.000	0.000	Merged-chr12-82226802-5
NR101--MA0508.2.PRDM1	chr1	167340225	167340234	+	0.000	0.000	Merged-chr1-167340348-59
NR1610--MA0508.2.PRDM1	chr7	75914211	75914220	+	0.000	0.000	Merged-chr7-75914112-33
NR908--MA0508.2.PRDM1	chr19	21948136	21948145	+	0.000	0.000	Merged-chr19-21948051-2
NR223--MA0508.2.PRDM1	chr10	99459789	99459798	+	0.000	0.000	Merged-chr10-99459996-60
NR475--MA0508.2.PRDM1	chr13	60839605	60839614	-	0.000	0.000	Merged-chr13-60839603-42
NR127--MA0508.2.PRDM1	chr1	191124465	191124474	+	0.000	0.000	Merged-chr1-191124534-8
NR1732--MA0508.2.PRDM1	chr8	109853549	109853558	-	0.000	0.000	Merged-chr8-109853670-31
NR616--MA0508.2.PRDM1	chr15	55850943	55850952	+	0.000	0.000	Merged-chr15-55851119-54
NR597--MA0508.2.PRDM1	chr15	12856971	12856980	-	0.000	0.000	Merged-chr15-12856981-25
NR1602--MA0508.2.PRDM1	chr7	72275540	72275549	-	0.000	0.000	Merged-chr7-72275636-59
NR629--MA0508.2.PRDM1	chr15	76251937	76251946	-	0.000	0.000	Merged-chr15-76251941-7
NR215--MA0508.2.PRDM1	chr10	95297816	95297825	-	0.000	0.000	Merged-chr10-95297882-9
NR467--MA0508.2.PRDM1	chr13	41471645	41471654	+	0.000	0.000	Merged-chr13-41471691-6
NR1724--MA0508.2.PRDM1	chr8	94434389	94434398	+	0.000	0.000	Merged-chr8-94434227-54
NR175--MA0508.2.PRDM1	chr10	59707794	59707803	-	0.000	0.000	Merged-chr10-59707523-19
NR446--MA0508.2.PRDM1	chr13	6633782	6633791	-	0.000	0.000	Merged-chr13-6633671-76
NR1846--MA0508.2.PRDM1	chr9	116223669	116223678	+	0.000	0.000	Merged-chr9-116223599-38
NR50--MA0508.2.PRDM1	chr1	106647497	106647506	-	0.000	0.000	Merged-chr1-106647524-44
NR1812--MA0508.2.PRDM1	chr9	82964121	82964130	+	0.000	0.000	Merged-chr9-82964235-29
NR188--MA0508.2.PRDM1	chr10	77515728	77515737	+	0.000	0.000	Merged-chr10-77515813-50
NR1650--MA0508.2.PRDM1	chr7	121120463	121120472	-	0.000	0.000	Merged-chr7-121120410-28
NR568--MA0508.2.PRDM1	chr14	74918627	74918636	-	0.000	0.000	Merged-chr14-74918775-39
NR1825--MA0508.2.PRDM1	chr9	96583236	96583245	-	0.000	0.000	Merged-chr9-96583315-51
NR1140--MA0508.2.PRDM1	chr3	93607946	93607955	-	0.000	0.000	Merged-chr3-93607971-30
NR329--MA0508.2.PRDM1	chr11	104667628	104667637	-	0.000	0.000	Merged-chr11-104667644-45
NR438--MA0508.2.PRDM1	chr12	118296397	118296406	-	0.000	0.000	Merged-chr12-118296340-47
NR1424--MA0508.2.PRDM1	chr5	143518123	143518132	+	0.000	0.000	Merged-chr5-143518064-68
NR276--MA0508.2.PRDM1	chr11	23770265	23770274	+	0.000	0.000	Merged-chr11-23770301-1
NR1676--MA0508.2.PRDM1	chr7	143626374	143626383	+	0.000	0.000	Merged-chr7-143626402-10
NR1785--MA0508.2.PRDM1	chr9	55242133	55242142	+	0.000	0.000	Merged-chr9-55242240-47
NR1798--MA0508.2.PRDM1	chr9	62349517	62349526	-	0.000	0.000	Merged-chr9-62349502-36
NR1403--MA0508.2.PRDM1	chr5	117938513	117938522	+	0.000	0.000	Merged-chr5-117938550-41
NR1860--MA0508.2.PRDM1	chrX	23697449	23697458	-	0.000	0.000	Merged-chrX-23697547-21
NR1384--MA0508.2.PRDM1	chr5	105495369	105495378	+	0.000	0.000	Merged-chr5-105495544-71
NR1655--MA0508.2.PRDM1	chr7	127296335	127296344	-	0.000	0.000	Merged-chr7-127296371-62
NR1350--MA0508.2.PRDM1	chr5	64488158	64488167	+	0.000	0.000	Merged-chr5-64487990-63
NR1416--MA0508.2.PRDM1	chr5	135118615	135118624	-	0.000	0.000	Merged-chr5-135118769-7
NR840--MA0508.2.PRDM1	chr18	39250832	39250841	-	0.000	0.000	Merged-chr18-39250948-35
NR1730--MA0508.2.PRDM1	chr8	106821470	106821479	+	0.000	0.000	Merged-chr8-106821433-20
NR1254--MA0508.2.PRDM1	chr4	89503945	89503954	+	0.000	0.000	Merged-chr4-89503923-8
NR1111--MA0508.2.PRDM1	chr3	55520480	55520489	+	0.000	0.000	Merged-chr3-55520679-39
NR1220--MA0508.2.PRDM1	chr4	16102103	16102112	-	0.000	0.000	Merged-chr4-16102324-55
NR1743--MA0508.2.PRDM1	chr8	117224665	117224674	+	0.000	0.000	Merged-chr8-117224827-42
NR1809--MA0508.2.PRDM1	chr9	77806872	77806881	+	0.000	0.000	Merged-chr9-77806830-39
NR1124--MA0508.2.PRDM1	chr3	79177284	79177293	+	0.000	0.000	Merged-chr3-79177375-21
NR13--MA0508.2.PRDM1	chr1	43299561	43299570	-	0.000	0.000	Merged-chr1-43299668-27
NR1690--MA0508.2.PRDM1	chr8	25948927	25948936	+	0.000	0.000	Merged-chr8-25949044-65
NR1485--MA0508.2.PRDM1	chr6	83423535	83423544	-	0.000	0.000	Merged-chr6-83423337-5
NR1756--MA0508.2.PRDM1	chr8	128549957	128549966	-	0.000	0.000	Merged-chr8-128549994-56
NR1342--MA0508.2.PRDM1	chr5	31918817	31918826	-	0.000	0.000	Merged-chr5-31918818-43
NR1408--MA0508.2.PRDM1	chr5	120579374	120579383	+	0.000	0.000	Merged-chr5-120579534-1
NR1594--MA0508.2.PRDM1	chr7	58759451	58759460	-	0.000	0.000	Merged-chr7-58759463-23
NR1498--MA0508.2.PRDM1	chr6	99095795	99095804	-	0.000	0.000	Merged-chr6-99095913-165
NR1769--MA0508.2.PRDM1	chr9	32704182	32704191	+	0.000	0.000	Merged-chr9-32704216-31
NR670--MA0508.2.PRDM1	chr16	19983126	19983135	+	0.000	0.000	Merged-chr16-19983015-55
NR1212--MA0508.2.PRDM1	chr3	157636064	157636073	+	0.000	0.000	Merged-chr3-157636123-2
NR1116--MA0508.2.PRDM1	chr3	60486666	60486675	+	0.000	0.000	Merged-chr3-60486566-72
NR1573--MA0508.2.PRDM1	chr7	28788966	28788975	+	0.000	0.000	Merged-chr7-28788971-18
NR1844--MA0508.2.PRDM1	chr9	114621261	114621270	+	0.000	0.000	Merged-chr9-114621254-26
NR1368--MA0508.2.PRDM1	chr5	89197103	89197112	-	0.000	0.000	Merged-chr5-89197180-6
NR811--MA0508.2.PRDM1	chr17	73010123	73010132	+	0.000	0.000	Merged-chr17-73010213-37
NR1430--MA0508.2.PRDM1	chr5	149599472	149599481	-	0.000	0.000	Merged-chr5-149599468-27
NR1225--MA0508.2.PRDM1	chr4	40823900	40823909	+	0.000	0.000	Merged-chr4-40823922-38
NR1682--MA0508.2.PRDM1	chr8	13551173	13551182	-	0.000	0.000	Merged-chr8-13551195-28
NR95--MA0508.2.PRDM1	chr1	161735016	161735025	+	0.000	0.000	Merged-chr1-161734917-117
NR1586--MA0508.2.PRDM1	chr7	47013488	47013497	+	0.000	0.000	Merged-chr7-47013375-34
NR1857--MA0508.2.PRDM1	chrX	12151831	12151840	+	0.000	0.000	Merged-chrX-12151801-24
NR824--MA0508.2.PRDM1	chr17	86187950	86187959	-	0.000	0.000	Merged-chr17-86187981-35
NR1443--MA0508.2.PRDM1	chr6	12038555	12038564	+	0.000	0.000	Merged-chr6-12038478-25
NR1714--MA0508.2.PRDM1	chr8	83783329	83783338	+	0.000	0.000	Merged-chr8-83783400-30
NR1509--MA0508.2.PRDM1	chr6	120056377	120056386	+	0.000	0.000	Merged-chr6-120056156-40
NR410--MA0508.2.PRDM1	chr12	107734619	107734628	+	0.000	0.000	Merged-chr12-107734744-35
NR1695--MA0508.2.PRDM1	chr8	36082795	36082804	+	0.000	0.000	Merged-chr8-36082616-47
NR771--MA0508.2.PRDM1	chr17	33092501	33092510	-	0.000	0.000	Merged-chr17-33092643-43
NR1456--MA0508.2.PRDM1	chr6	41547123	41547132	-	0.000	0.000	Merged-chr6-41547233-22
NR74--MA0508.2.PRDM1	chr1	143653899	143653908	+	0.000	0.000	Merged-chr1-143653917-44
NR1151--MA0508.2.PRDM1	chr3	101274870	101274879	-	0.000	0.000	Merged-chr3-101274930-55
NR1674--MA0508.2.PRDM1	chr7	142435693	142435702	+	0.000	0.000	Merged-chr7-142435660-33
NR1198--MA0508.2.PRDM1	chr3	146156435	146156444	-	0.000	0.000	Merged-chr3-146156447-31
NR370--MA0508.2.PRDM1	chr12	69458554	69458563	-	0.000	0.000	Merged-chr12-69458442-59
NR1260--MA0508.2.PRDM1	chr4	101194281	101194290	-	0.000	0.000	Merged-chr4-101194365-30
NR87--MA0508.2.PRDM1	chr1	155646806	155646815	-	0.000	0.000	Merged-chr1-155646912-20
NR893--MA0508.2.PRDM1	chr19	5257209	5257218	+	0.000	0.000	Merged-chr19-5257394-33
NR1578--MA0508.2.PRDM1	chr7	30321742	30321751	-	0.000	0.000	Merged-chr7-30321790-4
NR1706--MA0508.2.PRDM1	chr8	70806733	70806742	-	0.000	0.000	Merged-chr8-70806772-33
NR1273--MA0508.2.PRDM1	chr4	124646749	124646758	-	0.000	0.000	Merged-chr4-124646724-23
NR1544--MA0508.2.PRDM1	chr6	142848508	142848517	+	0.000	0.000	Merged-chr6-142848344-28
NR1401--MA0508.2.PRDM1	chr5	115712214	115712223	+	0.000	0.000	Merged-chr5-115712054-77
NR492--MA0508.2.PRDM1	chr13	92354948	92354957	+	0.000	0.000	Merged-chr13-92354723-122
NR763--MA0508.2.PRDM1	chr17	29552540	29552549	+	0.000	0.000	Merged-chr17-29552502-38
NR1382--MA0508.2.PRDM1	chr5	103412565	103412574	-	0.000	0.000	Merged-chr5-103412550-11
NR1653--MA0508.2.PRDM1	chr7	125496355	125496364	-	0.000	0.000	Merged-chr7-125496348-14
NR1448--MA0508.2.PRDM1	chr6	37046634	37046643	-	0.000	0.000	Merged-chr6-37046555-33
NR1719--MA0508.2.PRDM1	chr8	88298238	88298247	-	0.000	0.000	Merged-chr8-88298148-50
NR1286--MA0508.2.PRDM1	chr4	134058418	134058427	-	0.000	0.000	Merged-chr4-134058654-63
NR1143--MA0508.2.PRDM1	chr3	96198425	96198434	+	0.000	0.000	Merged-chr3-96198410-32
NR776--MA0508.2.PRDM1	chr17	35353612	35353621	+	0.000	0.000	Merged-chr17-35353468-33
NR32--MA0508.2.PRDM1	chr1	87215053	87215062	-	0.000	0.000	Merged-chr1-87215008-15
NR362--MA0508.2.PRDM1	chr12	26057779	26057788	+	0.000	0.000	Merged-chr12-26057851-43
NR633--MA0508.2.PRDM1	chr15	80077179	80077188	+	0.000	0.000	Merged-chr15-80076989-19
NR1252--MA0508.2.PRDM1	chr4	89001384	89001393	-	0.000	0.000	Merged-chr4-89001381-67
NR1523--MA0508.2.PRDM1	chr6	129406200	129406209	+	0.000	0.000	Merged-chr6-129406250-15
NR1318--MA0508.2.PRDM1	chr4	150248126	150248135	+	0.000	0.000	Merged-chr4-150248164-26
NR1090--MA0508.2.PRDM1	chr2	181581085	181581094	+	0.000	0.000	Merged-chr2-181581172-2
NR1427--MA0508.2.PRDM1	chr5	146882603	146882612	-	0.000	0.000	Merged-chr5-146882424-24
NR917--MA0508.2.PRDM1	chr19	34583375	34583384	+	0.000	0.000	Merged-chr19-34583205-74
NR503--MA0508.2.PRDM1	chr13	103870383	103870392	-	0.000	0.000	Merged-chr13-103870359-3
NR1788--MA0508.2.PRDM1	chr9	57800566	57800575	+	0.000	0.000	Merged-chr9-57800660-12
NR960--MA0508.2.PRDM1	chr2	29622699	29622708	+	0.000	0.000	Merged-chr2-29622559-44
NR1483--MA0508.2.PRDM1	chr6	72982080	72982089	+	0.000	0.000	Merged-chr6-72982109-28
NR450--MA0508.2.PRDM1	chr13	14063585	14063594	+	0.000	0.000	Merged-chr13-14063519-130
NR1135--MA0508.2.PRDM1	chr3	89961607	89961616	+	0.000	0.000	Merged-chr3-89961609-14
NR354--MA0508.2.PRDM1	chr12	8659992	8660001	-	0.000	0.000	Merged-chr12-8659979-34
NR625--MA0508.2.PRDM1	chr15	66800034	66800043	-	0.000	0.000	Merged-chr15-66799964-46
NR211--MA0508.2.PRDM1	chr10	94545658	94545667	-	0.000	0.000	Merged-chr10-94545691-55
NR1101--MA0508.2.PRDM1	chr3	34039067	34039076	-	0.000	0.000	Merged-chr3-34039081-6
NR1082--MA0508.2.PRDM1	chr2	168230535	168230544	+	0.000	0.000	Merged-chr2-168230468-122
NR986--MA0508.2.PRDM1	chr2	69043581	69043590	-	0.000	0.000	Merged-chr2-69043604-35
NR700--MA0508.2.PRDM1	chr16	52374266	52374275	+	0.000	0.000	Merged-chr16-52374285-15
NR224--MA0508.2.PRDM1	chr10	99461981	99461990	+	0.000	0.000	Merged-chr10-99461841-2
NR1095--MA0508.2.PRDM1	chr3	9896075	9896084	+	0.000	0.000	Merged-chr3-9895947-13
NR333--MA0508.2.PRDM1	chr11	108268593	108268602	-	0.000	0.000	Merged-chr11-108268786-21
NR1223--MA0508.2.PRDM1	chr4	32057227	32057236	-	0.000	0.000	Merged-chr4-32057265-25
NR790--MA0508.2.PRDM1	chr17	47508187	47508196	-	0.000	0.000	Merged-chr17-47508113-61
NR442--MA0508.2.PRDM1	chr13	5705161	5705170	-	0.000	0.000	Merged-chr13-5705239-38
NR713--MA0508.2.PRDM1	chr16	75617833	75617842	-	0.000	0.000	Merged-chr16-75617911-31
NR93--MA0508.2.PRDM1	chr1	160053604	160053613	-	0.000	0.000	Merged-chr1-160053620-125
NR1488--MA0508.2.PRDM1	chr6	87590836	87590845	+	0.000	0.000	Merged-chr6-87590737-28
NR660--MA0508.2.PRDM1	chr15	100983828	100983837	-	0.000	0.000	Merged-chr15-100983947-40
NR931--MA0508.2.PRDM1	chr19	58087227	58087236	-	0.000	0.000	Merged-chr19-58087296-13
NR312--MA0508.2.PRDM1	chr11	84880156	84880165	+	0.000	0.000	Merged-chr11-84880218-87
NR978--MA0508.2.PRDM1	chr2	58138134	58138143	-	0.000	0.000	Merged-chr2-58137903-53
NR293--MA0508.2.PRDM1	chr11	67021154	67021163	-	0.000	0.000	Merged-chr11-67021187-12
NR835--MA0508.2.PRDM1	chr18	32880709	32880718	+	0.000	0.000	Merged-chr18-32880667-46
NR1106--MA0508.2.PRDM1	chr3	52069941	52069950	-	0.000	0.000	Merged-chr3-52069951-61
NR944--MA0508.2.PRDM1	chr2	9688470	9688479	-	0.000	0.000	Merged-chr2-9688295-16
NR577--MA0508.2.PRDM1	chr14	103477447	103477456	-	0.000	0.000	Merged-chr14-103477505-31
NR1196--MA0508.2.PRDM1	chr3	145933876	145933885	+	0.000	0.000	Merged-chr3-145933993-23
NR1119--MA0508.2.PRDM1	chr3	65929709	65929718	-	0.000	0.000	Merged-chr3-65929899-83
NR85--MA0508.2.PRDM1	chr1	155167682	155167691	-	0.000	0.000	Merged-chr1-155167798-18
NR686--MA0508.2.PRDM1	chr16	37094561	37094570	-	0.000	0.000	Merged-chr16-37094405-73
NR957--MA0508.2.PRDM1	chr2	27540337	27540346	-	0.000	0.000	Merged-chr2-27540208-76
NR272--MA0508.2.PRDM1	chr11	20133051	20133060	-	0.000	0.000	Merged-chr11-20133191-35
NR400--MA0508.2.PRDM1	chr12	102725355	102725364	+	0.000	0.000	Merged-chr12-102725313-9
NR923--MA0508.2.PRDM1	chr19	46305725	46305734	+	0.000	0.000	Merged-chr19-46305608-10
NR447--MA0508.2.PRDM1	chr13	8831758	8831767	-	0.000	0.000	Merged-chr13-8831757-38
NR1066--MA0508.2.PRDM1	chr2	153345647	153345656	-	0.000	0.000	Merged-chr2-153345751-112
NR699--MA0508.2.PRDM1	chr16	52329570	52329579	+	0.000	0.000	Merged-chr16-52329510-16
NR1589--MA0508.2.PRDM1	chr7	49088529	49088538	+	0.000	0.000	Merged-chr7-49088536-6
NR556--MA0508.2.PRDM1	chr14	62837515	62837524	-	0.000	0.000	Merged-chr14-62837590-93
NR142--MA0508.2.PRDM1	chr10	12842776	12842785	+	0.000	0.000	Merged-chr10-12842715-46
NR1079--MA0508.2.PRDM1	chr2	167589433	167589442	-	0.000	0.000	Merged-chr2-167589263-66
NR317--MA0508.2.PRDM1	chr11	88187859	88187868	+	0.000	0.000	Merged-chr11-88187909-35
NR631--MA0508.2.PRDM1	chr15	78576459	78576468	+	0.000	0.000	Merged-chr15-78576586-27
NR426--MA0508.2.PRDM1	chr12	115298215	115298224	-	0.000	0.000	Merged-chr12-115298159-31
NR1297--MA0508.2.PRDM1	chr4	139616926	139616935	+	0.000	0.000	Merged-chr4-139616773-45
NR806--MA0508.2.PRDM1	chr17	69401401	69401410	-	0.000	0.000	Merged-chr17-69401476-24
NR787--MA0508.2.PRDM1	chr17	46555998	46556007	+	0.000	0.000	Merged-chr17-46556133-86
NR915--MA0508.2.PRDM1	chr19	33081663	33081672	-	0.000	0.000	Merged-chr19-33081699-35
NR352--MA0508.2.PRDM1	chr11	121039431	121039440	-	0.000	0.000	Merged-chr11-121039238-62
NR623--MA0508.2.PRDM1	chr15	66476170	66476179	+	0.000	0.000	Merged-chr15-66476281-69
NR147--MA0508.2.PRDM1	chr10	14086298	14086307	-	0.000	0.000	Merged-chr10-14086090-94
NR69--MA0508.2.PRDM1	chr1	138952323	138952332	+	0.000	0.000	Merged-chr1-138952405-35
NR527--MA0508.2.PRDM1	chr13	119617026	119617035	-	0.000	0.000	Merged-chr13-119616717-94
NR365--MA0508.2.PRDM1	chr12	35686447	35686456	+	0.000	0.000	Merged-chr12-35686484-17
NR474--MA0508.2.PRDM1	chr13	56507216	56507225	+	0.000	0.000	Merged-chr13-56507278-42
NR139--MA0508.2.PRDM1	chr10	7474432	7474441	-	0.000	0.000	Merged-chr10-7474458-4
NR519--MA0508.2.PRDM1	chr13	112447339	112447348	-	0.000	0.000	Merged-chr13-112447320-26
NR1710--MA0508.2.PRDM1	chr8	77429894	77429903	-	0.000	0.000	Merged-chr8-77429902-19
NR628--MA0508.2.PRDM1	chr15	75850936	75850945	+	0.000	0.000	Merged-chr15-75851032-8
NR214--MA0508.2.PRDM1	chr10	95265216	95265225	-	0.000	0.000	Merged-chr10-95265143-50
NR989--MA0508.2.PRDM1	chr2	72365348	72365357	+	0.000	0.000	Merged-chr2-72365558-19
NR846--MA0508.2.PRDM1	chr18	50009075	50009084	+	0.000	0.000	Merged-chr18-50009042-56
NR479--MA0508.2.PRDM1	chr13	67500479	67500488	+	0.000	0.000	Merged-chr13-67500378-53
NR1670--MA0508.2.PRDM1	chr7	141455844	141455853	-	0.000	0.000	Merged-chr7-141455879-2
NR697--MA0508.2.PRDM1	chr16	52132955	52132964	-	0.000	0.000	Merged-chr16-52133067-26
NR1702--MA0508.2.PRDM1	chr8	57417000	57417009	-	0.000	0.000	Merged-chr8-57416909-32
NR349--MA0508.2.PRDM1	chr11	119476111	119476120	+	0.000	0.000	Merged-chr11-119476184-7
NR729--MA0508.2.PRDM1	chr16	93454563	93454572	-	0.000	0.000	Merged-chr16-93454367-31
NR1792--MA0508.2.PRDM1	chr9	60991674	60991683	+	0.000	0.000	Merged-chr9-60991715-48
NR296--MA0508.2.PRDM1	chr11	70790626	70790635	+	0.000	0.000	Merged-chr11-70790875-54
NR1410--MA0508.2.PRDM1	chr5	120777721	120777730	+	0.000	0.000	Merged-chr5-120777652-8
NR328--MA0508.2.PRDM1	chr11	101552366	101552375	-	0.000	0.000	Merged-chr11-101552447-130
NR1391--MA0508.2.PRDM1	chr5	107554483	107554492	+	0.000	0.000	Merged-chr5-107554534-24
NR1662--MA0508.2.PRDM1	chr7	132335501	132335510	-	0.000	0.000	Merged-chr7-132335509-39
NR166--MA0508.2.PRDM1	chr10	44003891	44003900	+	0.000	0.000	Merged-chr10-44003826-80
NR708--MA0508.2.PRDM1	chr16	58709024	58709033	-	0.000	0.000	Merged-chr16-58709115-34
NR689--MA0508.2.PRDM1	chr16	44999616	44999625	-	0.000	0.000	Merged-chr16-44999747-49
NR275--MA0508.2.PRDM1	chr11	23699882	23699891	+	0.000	0.000	Merged-chr11-23700003-38
NR1803--MA0508.2.PRDM1	chr9	64914787	64914796	-	0.000	0.000	Merged-chr9-64914839-18
NR559--MA0508.2.PRDM1	chr14	64884950	64884959	+	0.000	0.000	Merged-chr14-64885056-34
NR429--MA0508.2.PRDM1	chr12	115848086	115848095	-	0.000	0.000	Merged-chr12-115847969-36
NR1492--MA0508.2.PRDM1	chr6	94986366	94986375	+	0.000	0.000	Merged-chr6-94986542-29
NR1091--MA0508.2.PRDM1	chr3	5272106	5272115	-	0.000	0.000	Merged-chr3-5272073-63
NR1362--MA0508.2.PRDM1	chr5	76951353	76951362	+	0.000	0.000	Merged-chr5-76951369-96
NR1633--MA0508.2.PRDM1	chr7	107664528	107664537	+	0.000	0.000	Merged-chr7-107664561-57
NR1885--MA0508.2.PRDM1	chrX	159199720	159199729	+	0.000	0.000	Merged-chrX-159199808-53
NR1471--MA0508.2.PRDM1	chr6	61271291	61271300	+	0.000	0.000	Merged-chr6-61271177-5
NR1646--MA0508.2.PRDM1	chr7	118277643	118277652	+	0.000	0.000	Merged-chr7-118277428-74
NR1503--MA0508.2.PRDM1	chr6	108717980	108717989	-	0.000	0.000	Merged-chr6-108717791-30
NR1612--MA0508.2.PRDM1	chr7	80232607	80232616	+	0.000	0.000	Merged-chr7-80232686-63
NR1450--MA0508.2.PRDM1	chr6	38360194	38360203	-	0.000	0.000	Merged-chr6-38360325-47
NR368--MA0508.2.PRDM1	chr12	61994427	61994436	-	0.000	0.000	Merged-chr12-61994556-31
NR1877--MA0508.2.PRDM1	chrX	106136091	106136100	-	0.000	0.000	Merged-chrX-106135909-80
NR81--MA0508.2.PRDM1	chr1	151011218	151011227	+	0.000	0.000	Merged-chr1-151011231-27
NR238--MA0508.2.PRDM1	chr10	117393427	117393436	-	0.000	0.000	Merged-chr10-117393432-68
NR1572--MA0508.2.PRDM1	chr7	27357517	27357526	+	0.000	0.000	Merged-chr7-27357694-29
NR1843--MA0508.2.PRDM1	chr9	114581438	114581447	+	0.000	0.000	Merged-chr9-114581631-11
NR1604--MA0508.2.PRDM1	chr7	74684134	74684143	-	0.000	0.000	Merged-chr7-74684112-21
NR1790--MA0508.2.PRDM1	chr9	57990971	57990980	+	0.000	0.000	Merged-chr9-57990805-40
NR108--MA0508.2.PRDM1	chr1	173451776	173451785	+	0.000	0.000	Merged-chr1-173451815-42
NR1713--MA0508.2.PRDM1	chr8	82383562	82383571	+	0.000	0.000	Merged-chr8-82383447-3
NR1508--MA0508.2.PRDM1	chr6	116311628	116311637	+	0.000	0.000	Merged-chr6-116311503-1
NR932--MA0508.2.PRDM1	chr19	58522460	58522469	+	0.000	0.000	Merged-chr19-58522437-11
NR1280--MA0508.2.PRDM1	chr4	129496812	129496821	+	0.000	0.000	Merged-chr4-129496759-24
NR1822--MA0508.2.PRDM1	chr9	94614117	94614126	-	0.000	0.000	Merged-chr9-94614117-31
NR1617--MA0508.2.PRDM1	chr7	84421522	84421531	-	0.000	0.000	Merged-chr7-84421555-9
NR1598--MA0508.2.PRDM1	chr7	64090106	64090115	+	0.000	0.000	Merged-chr7-64090173-26
NR1203--MA0508.2.PRDM1	chr3	152193887	152193896	+	0.000	0.000	Merged-chr3-152193769-51
NR770--MA0508.2.PRDM1	chr17	32528916	32528925	+	0.000	0.000	Merged-chr17-32528790-45
NR1041--MA0508.2.PRDM1	chr2	132643448	132643457	+	0.000	0.000	Merged-chr2-132643452-47
NR1564--MA0508.2.PRDM1	chr7	12891113	12891122	-	0.000	0.000	Merged-chr7-12891207-39
NR1835--MA0508.2.PRDM1	chr9	107334435	107334444	+	0.000	0.000	Merged-chr9-107334469-86
NR802--MA0508.2.PRDM1	chr17	56269294	56269303	-	0.000	0.000	Merged-chr17-56269390-41
NR1739--MA0508.2.PRDM1	chr8	115496169	115496178	+	0.000	0.000	Merged-chr8-115496222-29
NR1054--MA0508.2.PRDM1	chr2	144343268	144343277	-	0.000	0.000	Merged-chr2-144343268-23
NR1686--MA0508.2.PRDM1	chr8	14997065	14997074	-	0.000	0.000	Merged-chr8-14996995-10
NR1543--MA0508.2.PRDM1	chr6	142823521	142823530	-	0.000	0.000	Merged-chr6-142823375-40
NR1795--MA0508.2.PRDM1	chr9	61427262	61427271	+	0.000	0.000	Merged-chr9-61427187-31
NR762--MA0508.2.PRDM1	chr17	28007329	28007338	+	0.000	0.000	Merged-chr17-28007418-17
NR1447--MA0508.2.PRDM1	chr6	35462700	35462709	+	0.000	0.000	Merged-chr6-35462751-23
NR1033--MA0508.2.PRDM1	chr2	127131459	127131468	-	0.000	0.000	Merged-chr2-127131488-25
NR871--MA0508.2.PRDM1	chr18	77746903	77746912	-	0.000	0.000	Merged-chr18-77747090-44
NR1285--MA0508.2.PRDM1	chr4	133757633	133757642	-	0.000	0.000	Merged-chr4-133757542-4
NR1142--MA0508.2.PRDM1	chr3	94954018	94954027	+	0.000	0.000	Merged-chr3-94953960-56
NR1394--MA0508.2.PRDM1	chr5	108349919	108349928	-	0.000	0.000	Merged-chr5-108349848-29
NR1046--MA0508.2.PRDM1	chr2	136888998	136889007	+	0.000	0.000	Merged-chr2-136888885-4
NR470--MA0508.2.PRDM1	chr13	48978067	48978076	+	0.000	0.000	Merged-chr13-48978131-34
NR1426--MA0508.2.PRDM1	chr5	146248858	146248867	-	0.000	0.000	Merged-chr5-146249004-18
NR1264--MA0508.2.PRDM1	chr4	106935013	106935022	-	0.000	0.000	Merged-chr4-106934885-1
NR1121--MA0508.2.PRDM1	chr3	71564229	71564238	+	0.000	0.000	Merged-chr3-71564100-40
NR1787--MA0508.2.PRDM1	chr9	57647851	57647860	+	0.000	0.000	Merged-chr9-57647746-26
NR1134--MA0508.2.PRDM1	chr3	89730749	89730758	-	0.000	0.000	Merged-chr3-89730861-61
NR972--MA0508.2.PRDM1	chr2	48328345	48328354	+	0.000	0.000	Merged-chr2-48328415-44
NR1038--MA0508.2.PRDM1	chr2	130630985	130630994	+	0.000	0.000	Merged-chr2-130631063-9
NR876--MA0508.2.PRDM1	chr18	81423491	81423500	-	0.000	0.000	Merged-chr18-81423542-12
NR1100--MA0508.2.PRDM1	chr3	32417918	32417927	-	0.000	0.000	Merged-chr3-32417870-35
NR462--MA0508.2.PRDM1	chr13	32833408	32833417	-	0.000	0.000	Merged-chr13-32833384-31
NR1352--MA0508.2.PRDM1	chr5	65654061	65654070	+	0.000	0.000	Merged-chr5-65654078-14
NR985--MA0508.2.PRDM1	chr2	69043495	69043504	+	0.000	0.000	Merged-chr2-69043604-35
NR36--MA0508.2.PRDM1	chr1	88575975	88575984	-	0.000	0.000	Merged-chr1-88576113-71
NR1888--MA0508.2.PRDM1	chrX	166304565	166304574	+	0.000	0.000	Merged-chrX-166304686-40
