#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Runx/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed
NR2988--MA0511.2.RUNX2	chr13	95813840	95813848	-	0.000	0.000	Merged-chr13-95813903-46
NR3587--MA0002.2.RUNX1	chr15	5108552	5108562	+	0.000	0.000	Merged-chr15-5108448-64
NR10384--MA0002.2.RUNX1	chr9	62121786	62121796	-	0.000	0.000	Merged-chr9-62121738-9
NR1241--MA0002.2.RUNX1	chr10	89832518	89832528	-	0.000	0.000	Merged-chr10-89832604-4
NR9626--MA0002.2.RUNX1	chr7	132226872	132226882	-	0.000	0.000	Merged-chr7-132226896-31
NR1493--MA0002.2.RUNX1	chr11	4260554	4260564	+	0.000	0.000	Merged-chr11-4260577-3
NR7532--MA0002.2.RUNX1	chr4	150808643	150808653	+	0.000	0.000	Merged-chr4-150808794-106
NR4284--MA0684.1.RUNX3	chr16	70365448	70365457	+	0.000	0.000	Merged-chr16-70365429-20
NR10493--MA0002.2.RUNX1	chr9	80070224	80070234	+	0.000	0.000	Merged-chr9-80070269-16
NR4079--MA0684.1.RUNX3	chr16	23838218	23838227	-	0.000	0.000	Merged-chr16-23838386-46
NR1145--MA0002.2.RUNX1	chr10	76802235	76802245	+	0.000	0.000	Merged-chr10-76802342-40
NR8594--MA0511.2.RUNX2	chr6	98992970	98992978	+	0.000	0.000	Merged-chr6-98993074-69
NR9193--MA0002.2.RUNX1	chr7	47022575	47022585	+	0.000	0.000	Merged-chr7-47022743-46
NR10720--MA0511.2.RUNX2	chr9	115321332	115321340	+	0.000	0.000	Merged-chr9-115321284-1
NR4092--MA0511.2.RUNX2	chr16	25426504	25426512	-	0.000	0.000	Merged-chr16-25426499-60
NR1816--MA0684.1.RUNX3	chr11	84916302	84916311	+	0.000	0.000	Merged-chr11-84916345-39
NR1397--MA0002.2.RUNX1	chr10	118714234	118714244	-	0.000	0.000	Merged-chr10-118714396-52
NR1002--MA0002.2.RUNX1	chr10	42269537	42269547	-	0.000	0.000	Merged-chr10-42269495-58
NR4207--MA0684.1.RUNX3	chr16	48594584	48594593	+	0.000	0.000	Merged-chr16-48594719-53
NR10972--MA0511.2.RUNX2	chrX	153139983	153139991	-	0.000	0.000	Merged-chrX-153140079-69
NR7641--MA0002.2.RUNX1	chr5	23387127	23387137	-	0.000	0.000	Merged-chr5-23387051-61
NR7022--MA0002.2.RUNX1	chr4	33072978	33072988	-	0.000	0.000	Merged-chr4-33073054-38
NR2951--MA0002.2.RUNX1	chr13	89965753	89965763	-	0.000	0.000	Merged-chr13-89965778-3
NR7959--MA0002.2.RUNX1	chr5	105291004	105291014	+	0.000	0.000	Merged-chr5-105291153-16
NR3391--MA0002.2.RUNX1	chr14	69979173	69979183	+	0.000	0.000	Merged-chr14-69979172-46
NR3186--MA0002.2.RUNX1	chr14	16152014	16152024	-	0.000	0.000	Merged-chr14-16152025-9
NR3457--MA0002.2.RUNX1	chr14	78356897	78356907	+	0.000	0.000	Merged-chr14-78356893-53
NR3728--MA0002.2.RUNX1	chr15	57838721	57838731	-	0.000	0.000	Merged-chr15-57838718-52
NR6119--MA0002.2.RUNX1	chr2	143063121	143063131	+	0.000	0.000	Merged-chr2-143063164-73
NR3314--MA0002.2.RUNX1	chr14	55882488	55882498	+	0.000	0.000	Merged-chr14-55882429-48
NR10982--MA0002.2.RUNX1	chrX	163868145	163868155	-	0.000	0.000	Merged-chrX-163868243-1
NR1363--MA0002.2.RUNX1	chr10	117118607	117118617	-	0.000	0.000	Merged-chr10-117118585-40
NR10777--MA0002.2.RUNX1	chr9	119894834	119894844	-	0.000	0.000	Merged-chr9-119894778-5
NR9953--MA0002.2.RUNX1	chr8	84813284	84813294	+	0.000	0.000	Merged-chr8-84813219-19
NR9477--MA0002.2.RUNX1	chr7	112180308	112180318	+	0.000	0.000	Merged-chr7-112180328-30
NR10092--MA0002.2.RUNX1	chr8	119784354	119784364	+	0.000	0.000	Merged-chr8-119784383-58
NR7925--MA0002.2.RUNX1	chr5	100622450	100622460	+	0.000	0.000	Merged-chr5-100622533-21
NR6628--MA0684.1.RUNX3	chr3	94375472	94375481	-	0.000	0.000	Merged-chr3-94375656-27
NR9791--MA0002.2.RUNX1	chr8	22783633	22783643	-	0.000	0.000	Merged-chr8-22783714-26
NR2126--MA0684.1.RUNX3	chr12	13410417	13410426	+	0.000	0.000	Merged-chr12-13410341-33
NR8017--MA0002.2.RUNX1	chr5	110390480	110390490	-	0.000	0.000	Merged-chr5-110390618-8
NR2378--MA0684.1.RUNX3	chr12	98269753	98269762	+	0.000	0.000	Merged-chr12-98269804-132
NR5484--MA0684.1.RUNX3	chr19	57113350	57113359	+	0.000	0.000	Merged-chr19-57113185-31
NR6688--MA0511.2.RUNX2	chr3	108165003	108165011	-	0.000	0.000	Merged-chr3-108164973-25
NR962--MA0002.2.RUNX1	chr10	28675906	28675916	-	0.000	0.000	Merged-chr10-28676078-30
NR10995--MA0002.2.RUNX1	chrX	166316995	166317005	-	0.000	0.000	Merged-chrX-166317073-39
NR9843--MA0684.1.RUNX3	chr8	46617298	46617307	+	0.000	0.000	Merged-chr8-46617433-87
NR5563--MA0511.2.RUNX2	chr2	12302049	12302057	-	0.000	0.000	Merged-chr2-12301937-47
NR9300--MA0002.2.RUNX1	chr7	78566849	78566859	+	0.000	0.000	Merged-chr7-78566867-22
NR5341--MA0684.1.RUNX3	chr19	32958544	32958553	-	0.000	0.000	Merged-chr19-32958694-10
NR5612--MA0684.1.RUNX3	chr2	25620565	25620574	-	0.000	0.000	Merged-chr2-25620603-21
NR9922--MA0511.2.RUNX2	chr8	78975206	78975214	-	0.000	0.000	Merged-chr8-78975191-34
NR3727--MA0684.1.RUNX3	chr15	55896429	55896438	+	0.000	0.000	Merged-chr15-55896395-5
NR2109--MA0511.2.RUNX2	chr12	8208227	8208235	-	0.000	0.000	Merged-chr12-8208226-52
NR6890--MA0002.2.RUNX1	chr3	145942218	145942228	+	0.000	0.000	Merged-chr3-145942154-31
NR3740--MA0511.2.RUNX2	chr15	59596758	59596766	+	0.000	0.000	Merged-chr15-59596634-94
NR2930--MA0002.2.RUNX1	chr13	85430186	85430196	-	0.000	0.000	Merged-chr13-85430211-51
NR1091--MA0684.1.RUNX3	chr10	67096332	67096341	+	0.000	0.000	Merged-chr10-67096355-5
NR3370--MA0002.2.RUNX1	chr14	67877890	67877900	-	0.000	0.000	Merged-chr14-67877957-30
NR3436--MA0002.2.RUNX1	chr14	75769438	75769448	-	0.000	0.000	Merged-chr14-75769501-48
NR3121--MA0511.2.RUNX2	chr13	113549212	113549220	-	0.000	0.000	Merged-chr13-113549207-25
NR9599--MA0002.2.RUNX1	chr7	127922867	127922877	-	0.000	0.000	Merged-chr7-127922827-35
NR8950--MA0002.2.RUNX1	chr6	144910469	144910479	+	0.000	0.000	Merged-chr6-144910390-40
NR1342--MA0002.2.RUNX1	chr10	111446509	111446519	+	0.000	0.000	Merged-chr10-111446386-39
NR9390--MA0002.2.RUNX1	chr7	100932401	100932411	-	0.000	0.000	Merged-chr7-100932637-76
NR1408--MA0002.2.RUNX1	chr10	119382449	119382459	+	0.000	0.000	Merged-chr10-119382475-33
NR7924--MA0684.1.RUNX3	chr5	100466876	100466885	+	0.000	0.000	Merged-chr5-100466890-43
NR3644--MA0511.2.RUNX2	chr15	34356866	34356874	+	0.000	0.000	Merged-chr15-34356866-8
NR7110--MA0002.2.RUNX1	chr4	59204824	59204834	+	0.000	0.000	Merged-chr4-59204829-36
NR9790--MA0684.1.RUNX3	chr8	22728940	22728949	+	0.000	0.000	Merged-chr8-22728865-15
NR4971--MA0002.2.RUNX1	chr18	47339465	47339475	+	0.000	0.000	Merged-chr18-47339549-17
NR9979--MA0002.2.RUNX1	chr8	94969848	94969858	+	0.000	0.000	Merged-chr8-94969690-1
NR7362--MA0002.2.RUNX1	chr4	129573692	129573702	-	0.000	0.000	Merged-chr4-129573644-36
NR5354--MA0684.1.RUNX3	chr19	34475146	34475155	-	0.000	0.000	Merged-chr19-34475070-71
NR290--MA0002.2.RUNX1	chr1	92696999	92697009	-	0.000	0.000	Merged-chr1-92697011-25
NR3131--MA0002.2.RUNX1	chr13	113816054	113816064	-	0.000	0.000	Merged-chr13-113816059-33
NR6415--MA0511.2.RUNX2	chr3	21996142	21996150	-	0.000	0.000	Merged-chr3-21996009-51
NR7014--MA0002.2.RUNX1	chr4	24569310	24569320	+	0.000	0.000	Merged-chr4-24569297-30
NR2943--MA0002.2.RUNX1	chr13	87753754	87753764	+	0.000	0.000	Merged-chr13-87753928-1
NR1851--MA0684.1.RUNX3	chr11	90196637	90196646	-	0.000	0.000	Merged-chr11-90196675-9
NR7841--MA0511.2.RUNX2	chr5	77217873	77217881	-	0.000	0.000	Merged-chr5-77217782-61
NR10722--MA0002.2.RUNX1	chr9	115387672	115387682	+	0.000	0.000	Merged-chr9-115387656-46
NR4308--MA0684.1.RUNX3	chr16	76002577	76002586	+	0.000	0.000	Merged-chr16-76002490-12
NR1183--MA0511.2.RUNX2	chr10	81194417	81194425	-	0.000	0.000	Merged-chr10-81194350-49
NR7742--MA0002.2.RUNX1	chr5	52149336	52149346	+	0.000	0.000	Merged-chr5-52149380-37
NR1232--MA0684.1.RUNX3	chr10	89415728	89415737	+	0.000	0.000	Merged-chr10-89415714-14
NR9822--MA0684.1.RUNX3	chr8	35430957	35430966	-	0.000	0.000	Merged-chr8-35430856-53
NR8204--MA0511.2.RUNX2	chr5	140624014	140624022	+	0.000	0.000	Merged-chr5-140623883-3
NR1311--MA0511.2.RUNX2	chr10	98786239	98786247	+	0.000	0.000	Merged-chr10-98786079-74
NR5509--MA0002.2.RUNX1	chr19	60837864	60837874	-	0.000	0.000	Merged-chr19-60837918-27
NR3558--MA0002.2.RUNX1	chr14	121478179	121478189	-	0.000	0.000	Merged-chr14-121478313-77
NR4146--MA0684.1.RUNX3	chr16	34125768	34125777	+	0.000	0.000	Merged-chr16-34125712-27
NR9055--MA0002.2.RUNX1	chr6	149348299	149348309	-	0.000	0.000	Merged-chr6-149348388-7
NR7375--MA0002.2.RUNX1	chr4	132808218	132808228	-	0.000	0.000	Merged-chr4-132808337-17
NR9882--MA0511.2.RUNX2	chr8	66860268	66860276	-	0.000	0.000	Merged-chr8-66860248-21
NR7917--MA0002.2.RUNX1	chr5	98016941	98016951	-	0.000	0.000	Merged-chr5-98016849-63
NR7060--MA0511.2.RUNX2	chr4	41708559	41708567	-	0.000	0.000	Merged-chr4-41708469-7
NR9455--MA0684.1.RUNX3	chr7	106551481	106551490	+	0.000	0.000	Merged-chr7-106551313-76
NR4570--MA0002.2.RUNX1	chr17	29297861	29297871	+	0.000	0.000	Merged-chr17-29297953-13
NR9849--MA0002.2.RUNX1	chr8	53639123	53639133	-	0.000	0.000	Merged-chr8-53639020-77
NR5700--MA0684.1.RUNX3	chr2	49313370	49313379	+	0.000	0.000	Merged-chr2-49313171-56
NR5618--MA0002.2.RUNX1	chr2	26235459	26235469	-	0.000	0.000	Merged-chr2-26235322-12
NR3938--MA0002.2.RUNX1	chr15	95838563	95838573	+	0.000	0.000	Merged-chr15-95838556-4
NR7632--MA0684.1.RUNX3	chr5	21658763	21658772	+	0.000	0.000	Merged-chr5-21658802-28
NR3623--MA0511.2.RUNX2	chr15	18951819	18951827	-	0.000	0.000	Merged-chr15-18951851-25
NR7755--MA0002.2.RUNX1	chr5	54101518	54101528	+	0.000	0.000	Merged-chr5-54101500-65
NR7711--MA0511.2.RUNX2	chr5	37109451	37109459	-	0.000	0.000	Merged-chr5-37109564-47
NR1245--MA0684.1.RUNX3	chr10	91167021	91167030	+	0.000	0.000	Merged-chr10-91167120-36
NR1573--MA0002.2.RUNX1	chr11	32693766	32693776	+	0.000	0.000	Merged-chr11-32693838-13
NR6630--MA0002.2.RUNX1	chr3	94443359	94443369	+	0.000	0.000	Merged-chr3-94443589-72
NR2079--MA0002.2.RUNX1	chr11	119164546	119164556	-	0.000	0.000	Merged-chr11-119164536-11
NR540--MA0002.2.RUNX1	chr1	157412539	157412549	-	0.000	0.000	Merged-chr1-157412445-85
NR10573--MA0002.2.RUNX1	chr9	94607589	94607599	-	0.000	0.000	Merged-chr9-94607543-65
NR4159--MA0684.1.RUNX3	chr16	37036223	37036232	+	0.000	0.000	Merged-chr16-37036331-23
NR940--MA0684.1.RUNX3	chr10	22296027	22296036	+	0.000	0.000	Merged-chr10-22296009-12
NR3091--MA0002.2.RUNX1	chr13	109190438	109190448	+	0.000	0.000	Merged-chr13-109190361-18
NR5393--MA0511.2.RUNX2	chr19	42266339	42266347	-	0.000	0.000	Merged-chr19-42266343-14
NR9752--MA0511.2.RUNX2	chr8	9811411	9811419	+	0.000	0.000	Merged-chr8-9811294-16
NR5836--MA0002.2.RUNX1	chr2	78860237	78860247	-	0.000	0.000	Merged-chr2-78860154-39
NR10477--MA0002.2.RUNX1	chr9	78022501	78022511	-	0.000	0.000	Merged-chr9-78022388-19
NR7374--MA0684.1.RUNX3	chr4	132732479	132732488	+	0.000	0.000	Merged-chr4-132732449-43
NR9177--MA0002.2.RUNX1	chr7	45338273	45338283	-	0.000	0.000	Merged-chr7-45338434-19
NR10704--MA0511.2.RUNX2	chr9	114446464	114446472	+	0.000	0.000	Merged-chr9-114446417-16
NR8356--MA0684.1.RUNX3	chr6	28949422	28949431	+	0.000	0.000	Merged-chr6-28949446-17
NR3266--MA0002.2.RUNX1	chr14	48246459	48246469	+	0.000	0.000	Merged-chr14-48246381-22
NR1586--MA0002.2.RUNX1	chr11	35747242	35747252	+	0.000	0.000	Merged-chr11-35747326-7
NR3395--MA0684.1.RUNX3	chr14	70350786	70350795	-	0.000	0.000	Merged-chr14-70350640-1
NR4599--MA0511.2.RUNX2	chr17	33456924	33456932	+	0.000	0.000	Merged-chr17-33456861-18
NR6057--MA0684.1.RUNX3	chr2	128400509	128400518	+	0.000	0.000	Merged-chr2-128400561-8
NR3789--MA0002.2.RUNX1	chr15	73150952	73150962	-	0.000	0.000	Merged-chr15-73151082-33
NR2319--MA0511.2.RUNX2	chr12	82394383	82394391	+	0.000	0.000	Merged-chr12-82394298-69
NR9242--MA0511.2.RUNX2	chr7	64141526	64141534	+	0.000	0.000	Merged-chr7-64141555-53
NR5326--MA0002.2.RUNX1	chr19	31910323	31910333	+	0.000	0.000	Merged-chr19-31910490-12
NR1843--MA0684.1.RUNX3	chr11	88620305	88620314	+	0.000	0.000	Merged-chr11-88620334-19
NR3997--MA0511.2.RUNX2	chr15	100997384	100997392	-	0.000	0.000	Merged-chr15-100997392-7
NR2521--MA0002.2.RUNX1	chr12	114914578	114914588	+	0.000	0.000	Merged-chr12-114914678-38
NR1717--MA0511.2.RUNX2	chr11	67580585	67580593	+	0.000	0.000	Merged-chr11-67580687-16
NR933--MA0002.2.RUNX1	chr10	21535820	21535830	+	0.000	0.000	Merged-chr10-21535730-30
NR1347--MA0002.2.RUNX1	chr10	111562798	111562808	-	0.000	0.000	Merged-chr10-111562842-26
NR9666--MA0002.2.RUNX1	chr7	137476758	137476768	+	0.000	0.000	Merged-chr7-137476773-22
NR7320--MA0002.2.RUNX1	chr4	119320671	119320681	+	0.000	0.000	Merged-chr4-119320539-50
NR3755--MA0002.2.RUNX1	chr15	62807601	62807611	+	0.000	0.000	Merged-chr15-62807559-22
NR64--MA0511.2.RUNX2	chr1	38657791	38657799	-	0.000	0.000	Merged-chr1-38657935-57
NR3506--MA0511.2.RUNX2	chr14	103088719	103088727	-	0.000	0.000	Merged-chr14-103088795-24
NR5564--MA0684.1.RUNX3	chr2	12302048	12302057	-	0.000	0.000	Merged-chr2-12301937-47
NR3884--MA0684.1.RUNX3	chr15	84388982	84388991	-	0.000	0.000	Merged-chr15-84388969-27
NR5687--MA0002.2.RUNX1	chr2	45017322	45017332	+	0.000	0.000	Merged-chr2-45017480-33
NR9381--MA0684.1.RUNX3	chr7	99536408	99536417	+	0.000	0.000	Merged-chr7-99536356-6
NR1456--MA0002.2.RUNX1	chr10	127512267	127512277	+	0.000	0.000	Merged-chr10-127512473-102
NR94--MA0684.1.RUNX3	chr1	43880551	43880560	-	0.000	0.000	Merged-chr1-43880599-41
NR5421--MA0684.1.RUNX3	chr19	47731303	47731312	-	0.000	0.000	Merged-chr19-47731333-127
NR7224--MA0002.2.RUNX1	chr4	101062002	101062012	-	0.000	0.000	Merged-chr4-101062010-28
NR10661--MA0002.2.RUNX1	chr9	108154969	108154979	+	0.000	0.000	Merged-chr9-108154914-20
NR10456--MA0002.2.RUNX1	chr9	75246457	75246467	+	0.000	0.000	Merged-chr9-75246433-36
NR1108--MA0002.2.RUNX1	chr10	68147147	68147157	-	0.000	0.000	Merged-chr10-68147068-31
NR9156--MA0002.2.RUNX1	chr7	42692723	42692733	-	0.000	0.000	Merged-chr7-42692763-63
NR9427--MA0002.2.RUNX1	chr7	105563675	105563685	-	0.000	0.000	Merged-chr7-105563676-13
NR3993--MA0684.1.RUNX3	chr15	100750453	100750462	+	0.000	0.000	Merged-chr15-100750259-57
NR5796--MA0002.2.RUNX1	chr2	71843427	71843437	+	0.000	0.000	Merged-chr2-71843530-15
NR10790--MA0684.1.RUNX3	chr9	120866894	120866903	-	0.000	0.000	Merged-chr9-120866868-24
NR10935--MA0511.2.RUNX2	chrX	101767452	101767460	-	0.000	0.000	Merged-chrX-101767433-48
NR9840--MA0511.2.RUNX2	chr8	46420693	46420701	-	0.000	0.000	Merged-chr8-46420639-16
NR9635--MA0511.2.RUNX2	chr7	132402777	132402785	-	0.000	0.000	Merged-chr7-132402823-64
NR3102--MA0002.2.RUNX1	chr13	110564085	110564095	-	0.000	0.000	Merged-chr13-110564159-46
NR532--MA0002.2.RUNX1	chr1	155784606	155784616	-	0.000	0.000	Merged-chr1-155784753-78
NR6874--MA0002.2.RUNX1	chr3	144605216	144605226	+	0.000	0.000	Merged-chr3-144605279-4
NR9265--MA0002.2.RUNX1	chr7	67911936	67911946	-	0.000	0.000	Merged-chr7-67912081-16
NR9807--MA0002.2.RUNX1	chr8	25962251	25962261	-	0.000	0.000	Merged-chr8-25962203-9
NR10521--MA0511.2.RUNX2	chr9	84031079	84031087	+	0.000	0.000	Merged-chr9-84030961-27
NR9394--MA0684.1.RUNX3	chr7	101027880	101027889	-	0.000	0.000	Merged-chr7-101027827-19
NR6096--MA0511.2.RUNX2	chr2	136058484	136058492	-	0.000	0.000	Merged-chr2-136058435-1
NR7694--MA0002.2.RUNX1	chr5	35462511	35462521	+	0.000	0.000	Merged-chr5-35462574-17
NR5020--MA0684.1.RUNX3	chr18	62267402	62267411	-	0.000	0.000	Merged-chr18-62267467-16
NR10425--MA0511.2.RUNX2	chr9	69023482	69023490	-	0.000	0.000	Merged-chr9-69023585-49
NR9996--MA0511.2.RUNX2	chr8	104790037	104790045	-	0.000	0.000	Merged-chr8-104790118-11
NR3192--MA0002.2.RUNX1	chr14	20503199	20503209	-	0.000	0.000	Merged-chr14-20503247-33
NR7174--MA0511.2.RUNX2	chr4	88003302	88003310	+	0.000	0.000	Merged-chr4-88003423-46
NR1455--MA0684.1.RUNX3	chr10	127471458	127471467	+	0.000	0.000	Merged-chr10-127471535-20
NR9231--MA0002.2.RUNX1	chr7	63999431	63999441	+	0.000	0.000	Merged-chr7-63999373-46
NR3214--MA0511.2.RUNX2	chr14	27384346	27384354	+	0.000	0.000	Merged-chr14-27384235-54
NR5543--MA0684.1.RUNX3	chr2	9689686	9689695	-	0.000	0.000	Merged-chr2-9689730-31
NR3592--MA0684.1.RUNX3	chr15	5144622	5144631	-	0.000	0.000	Merged-chr15-5144505-4
NR3929--MA0684.1.RUNX3	chr15	93913639	93913648	+	0.000	0.000	Merged-chr15-93913565-49
NR3115--MA0002.2.RUNX1	chr13	112509671	112509681	+	0.000	0.000	Merged-chr13-112509641-25
NR10849--MA0002.2.RUNX1	chrX	20790071	20790081	-	0.000	0.000	Merged-chrX-20790140-13
NR8679--MA0511.2.RUNX2	chr6	115677725	115677733	+	0.000	0.000	Merged-chr6-115677836-38
NR10805--MA0511.2.RUNX2	chr9	122233122	122233130	-	0.000	0.000	Merged-chr9-122233247-97
NR5252--MA0002.2.RUNX1	chr19	12518019	12518029	-	0.000	0.000	Merged-chr19-12518208-28
NR1687--MA0002.2.RUNX1	chr11	61564198	61564208	-	0.000	0.000	Merged-chr11-61564144-31
NR2990--MA0684.1.RUNX3	chr13	95813839	95813848	-	0.000	0.000	Merged-chr13-95813903-46
NR1372--MA0511.2.RUNX2	chr10	117652226	117652234	+	0.000	0.000	Merged-chr10-117652105-48
NR7455--MA0002.2.RUNX1	chr4	140860318	140860328	+	0.000	0.000	Merged-chr4-140860263-13
NR383--MA0002.2.RUNX1	chr1	128614921	128614931	+	0.000	0.000	Merged-chr1-128615083-92
NR5033--MA0684.1.RUNX3	chr18	65207729	65207738	-	0.000	0.000	Merged-chr18-65207601-18
NR7312--MA0002.2.RUNX1	chr4	116824969	116824979	-	0.000	0.000	Merged-chr4-116824855-47
NR10914--MA0511.2.RUNX2	chrX	77509329	77509337	+	0.000	0.000	Merged-chrX-77509424-59
NR5156--MA0002.2.RUNX1	chr18	84355495	84355505	+	0.000	0.000	Merged-chr18-84355361-12
NR1944--MA0684.1.RUNX3	chr11	104582888	104582897	-	0.000	0.000	Merged-chr11-104582835-39
NR7729--MA0511.2.RUNX2	chr5	44220689	44220697	+	0.000	0.000	Merged-chr5-44220668-26
NR10544--MA0002.2.RUNX1	chr9	88273496	88273506	-	0.000	0.000	Merged-chr9-88273504-34
NR1276--MA0511.2.RUNX2	chr10	95283422	95283430	+	0.000	0.000	Merged-chr10-95283638-28
NR7088--MA0002.2.RUNX1	chr4	48012475	48012485	+	0.000	0.000	Merged-chr4-48012358-52
NR1448--MA0002.2.RUNX1	chr10	126013823	126013833	+	0.000	0.000	Merged-chr10-126013819-17
NR3684--MA0511.2.RUNX2	chr15	38535574	38535582	+	0.000	0.000	Merged-chr15-38535554-39
NR10481--MA0511.2.RUNX2	chr9	78593272	78593280	+	0.000	0.000	Merged-chr9-78593326-11
NR7216--MA0002.2.RUNX1	chr4	98282437	98282447	+	0.000	0.000	Merged-chr4-98282479-46
NR1577--MA0684.1.RUNX3	chr11	32715224	32715233	-	0.000	0.000	Merged-chr11-32715413-66
NR10448--MA0002.2.RUNX1	chr9	72097284	72097294	+	0.000	0.000	Merged-chr9-72097262-35
NR3541--MA0511.2.RUNX2	chr14	118658446	118658454	+	0.000	0.000	Merged-chr14-118658326-68
NR5665--MA0684.1.RUNX3	chr2	34790752	34790761	+	0.000	0.000	Merged-chr2-34790571-52
NR5122--MA0002.2.RUNX1	chr18	80652995	80653005	-	0.000	0.000	Merged-chr18-80653014-8
NR7202--MA0684.1.RUNX3	chr4	95778035	95778044	+	0.000	0.000	Merged-chr4-95778146-34
NR9290--MA0511.2.RUNX2	chr7	75863436	75863444	-	0.000	0.000	Merged-chr7-75863636-9
NR9561--MA0511.2.RUNX2	chr7	123355109	123355117	+	0.000	0.000	Merged-chr7-123355107-50
NR5169--MA0002.2.RUNX1	chr18	85484168	85484178	-	0.000	0.000	Merged-chr18-85484055-1
NR8480--MA0002.2.RUNX1	chr6	67348224	67348234	-	0.000	0.000	Merged-chr6-67348220-52
NR524--MA0002.2.RUNX1	chr1	153379961	153379971	-	0.000	0.000	Merged-chr1-153380015-29
NR1414--MA0002.2.RUNX1	chr10	120616805	120616815	-	0.000	0.000	Merged-chr10-120616812-55
NR9462--MA0002.2.RUNX1	chr7	109458594	109458604	-	0.000	0.000	Merged-chr7-109458509-7
NR7848--MA0002.2.RUNX1	chr5	77367928	77367938	-	0.000	0.000	Merged-chr5-77367800-15
NR9213--MA0511.2.RUNX2	chr7	51879573	51879581	-	0.000	0.000	Merged-chr7-51879410-58
NR981--MA0002.2.RUNX1	chr10	39192890	39192900	+	0.000	0.000	Merged-chr10-39192937-50
NR1609--MA0684.1.RUNX3	chr11	46229296	46229305	-	0.000	0.000	Merged-chr11-46229299-6
NR6452--MA0002.2.RUNX1	chr3	37738620	37738630	-	0.000	0.000	Merged-chr3-37738517-40
NR9657--MA0684.1.RUNX3	chr7	136270357	136270366	-	0.000	0.000	Merged-chr7-136270364-24
NR904--MA0002.2.RUNX1	chr10	17512260	17512270	+	0.000	0.000	Merged-chr10-17512175-6
NR7371--MA0511.2.RUNX2	chr4	132040469	132040477	+	0.000	0.000	Merged-chr4-132040319-80
NR10795--MA0684.1.RUNX3	chr9	120960684	120960693	+	0.000	0.000	Merged-chr9-120960803-26
NR6832--MA0002.2.RUNX1	chr3	138419614	138419624	+	0.000	0.000	Merged-chr3-138419800-73
NR7215--MA0684.1.RUNX3	chr4	98040364	98040373	+	0.000	0.000	Merged-chr4-98040330-51
NR1255--MA0511.2.RUNX2	chr10	92791360	92791368	-	0.000	0.000	Merged-chr10-92791286-37
NR2601--MA0002.2.RUNX1	chr13	3526656	3526666	+	0.000	0.000	Merged-chr13-3526495-54
NR7023--MA0511.2.RUNX2	chr4	33110238	33110246	+	0.000	0.000	Merged-chr4-33110299-20
NR8764--MA0002.2.RUNX1	chr6	128474350	128474360	-	0.000	0.000	Merged-chr6-128474299-11
NR9475--MA0002.2.RUNX1	chr7	111109765	111109775	-	0.000	0.000	Merged-chr7-111109664-29
NR3934--MA0511.2.RUNX2	chr15	94453065	94453073	+	0.000	0.000	Merged-chr15-94453103-20
NR7467--MA0684.1.RUNX3	chr4	141330194	141330203	+	0.000	0.000	Merged-chr4-141330272-14
NR8720--MA0511.2.RUNX2	chr6	122258981	122258989	+	0.000	0.000	Merged-chr6-122259137-47
NR5121--MA0684.1.RUNX3	chr18	80611207	80611216	+	0.000	0.000	Merged-chr18-80611321-12
NR2853--MA0002.2.RUNX1	chr13	58443985	58443995	+	0.000	0.000	Merged-chr13-58444018-18
NR5039--MA0002.2.RUNX1	chr18	65819177	65819187	+	0.000	0.000	Merged-chr18-65819211-50
NR1285--MA0684.1.RUNX3	chr10	95998151	95998160	+	0.000	0.000	Merged-chr10-95998321-17
NR8621--MA0002.2.RUNX1	chr6	102944644	102944654	+	0.000	0.000	Merged-chr6-102944548-1
NR7546--MA0511.2.RUNX2	chr4	155869394	155869402	-	0.000	0.000	Merged-chr4-155869503-64
NR1827--MA0684.1.RUNX3	chr11	87240397	87240406	+	0.000	0.000	Merged-chr11-87240422-3
NR6--MA0684.1.RUNX3	chr1	6467287	6467296	-	0.000	0.000	Merged-chr1-6467226-38
NR4785--MA0002.2.RUNX1	chr17	79299101	79299111	-	0.000	0.000	Merged-chr17-79299016-28
NR7447--MA0002.2.RUNX1	chr4	139287490	139287500	+	0.000	0.000	Merged-chr4-139287610-26
NR10490--MA0684.1.RUNX3	chr9	79810696	79810705	+	0.000	0.000	Merged-chr9-79810670-36
NR851--MA0002.2.RUNX1	chr10	3238581	3238591	-	0.000	0.000	Merged-chr10-3238463-21
NR7576--MA0684.1.RUNX3	chr5	10254862	10254871	-	0.000	0.000	Merged-chr5-10254903-14
NR7847--MA0684.1.RUNX3	chr5	77367867	77367876	-	0.000	0.000	Merged-chr5-77367800-15
NR980--MA0684.1.RUNX3	chr10	39005776	39005785	+	0.000	0.000	Merged-chr10-39005753-18
NR3074--MA0684.1.RUNX3	chr13	107869161	107869170	+	0.000	0.000	Merged-chr13-107869033-28
NR3468--MA0002.2.RUNX1	chr14	79236447	79236457	-	0.000	0.000	Merged-chr14-79236608-48
