#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gata/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed
NR1274--MA0766.1.GATA5	chr10	95971102	95971109	-	0.000	0.000	Merged-chr10-95971075-85
NR7404--MA0035.3.Gata1	chr5	29200062	29200072	+	0.000	0.000	Merged-chr5-29200032-4
NR5453--MA0035.3.Gata1	chr2	92192027	92192037	-	0.000	0.000	Merged-chr2-92192158-30
NR3958--MA0482.1.Gata4	chr16	48760676	48760686	+	0.000	0.000	Merged-chr16-48760801-13
NR4207--MA0766.1.GATA5	chr16	97204301	97204308	-	0.000	0.000	Merged-chr16-97204388-55
NR6349--MA0482.1.Gata4	chr3	121343373	121343383	+	0.000	0.000	Merged-chr3-121343370-11
NR1797--MA0766.1.GATA5	chr12	3989940	3989947	+	0.000	0.000	Merged-chr12-3989980-1
NR8839--MA0140.2.GATA1::TAL1	chr7	83600200	83600217	-	0.000	0.000	Merged-chr7-83600067-26
NR9721--MA0766.1.GATA5	chr9	90301326	90301333	-	0.000	0.000	Merged-chr9-90301276-26
NR8343--MA0482.1.Gata4	chr6	128764089	128764099	+	0.000	0.000	Merged-chr6-128764213-62
NR8317--MA1104.1.GATA6	chr6	124750611	124750623	+	0.000	0.000	Merged-chr6-124750623-14
NR3791--MA0766.1.GATA5	chr16	5746818	5746825	-	0.000	0.000	Merged-chr16-5746649-1
NR709--MA0037.3.GATA3	chr1	164366711	164366718	-	0.000	0.000	Merged-chr1-164366862-30
NR7765--MA0035.3.Gata1	chr5	142896936	142896946	-	0.000	0.000	Merged-chr5-142896891-14
NR9596--MA0036.3.GATA2	chr9	53271836	53271846	+	0.000	0.000	Merged-chr9-53271662-13
NR2863--MA0037.3.GATA3	chr13	109822582	109822589	+	0.000	0.000	Merged-chr13-109822486-79
NR7071--MA0140.2.GATA1::TAL1	chr4	107989070	107989087	-	0.000	0.000	Merged-chr4-107989218-22
NR930--MA0035.3.Gata1	chr10	19122264	19122274	+	0.000	0.000	Merged-chr10-19122454-26
NR7154--MA0036.3.GATA2	chr4	140815639	140815649	+	0.000	0.000	Merged-chr4-140815831-84
NR9782--MA0482.1.Gata4	chr9	116138613	116138623	+	0.000	0.000	Merged-chr9-116138726-20
NR1762--MA0140.2.GATA1::TAL1	chr11	109561082	109561099	-	0.000	0.000	Merged-chr11-109560984-42
NR8879--MA0482.1.Gata4	chr7	101504104	101504114	+	0.000	0.000	Merged-chr7-101503907-73
NR5602--MA0036.3.GATA2	chr2	132292254	132292264	-	0.000	0.000	Merged-chr2-132292299-25
NR3555--MA0036.3.GATA2	chr15	40131079	40131089	+	0.000	0.000	Merged-chr15-40131241-26
NR8548--MA1104.1.GATA6	chr6	144987412	144987424	+	0.000	0.000	Merged-chr6-144987357-14
NR1241--MA1104.1.GATA6	chr10	89326992	89327004	+	0.000	0.000	Merged-chr10-89327162-49
NR8006--MA0036.3.GATA2	chr6	54119122	54119132	+	0.000	0.000	Merged-chr6-54119085-6
NR6202--MA0037.3.GATA3	chr3	81201468	81201475	-	0.000	0.000	Merged-chr3-81201582-6
NR1113--MA0036.3.GATA2	chr10	62665830	62665840	-	0.000	0.000	Merged-chr10-62665963-7
NR4522--MA0037.3.GATA3	chr17	71491184	71491191	-	0.000	0.000	Merged-chr17-71491103-50
NR1856--MA0482.1.Gata4	chr12	16588626	16588636	+	0.000	0.000	Merged-chr12-16588738-7
NR3146--MA0035.3.Gata1	chr14	54197800	54197810	+	0.000	0.000	Merged-chr14-54197805-29
NR9785--MA0035.3.Gata1	chr9	116138612	116138622	+	0.000	0.000	Merged-chr9-116138726-20
NR3788--MA0482.1.Gata4	chr16	5746818	5746828	+	0.000	0.000	Merged-chr16-5746649-1
NR8657--MA0037.3.GATA3	chr7	30099623	30099630	+	0.000	0.000	Merged-chr7-30099514-26
NR9708--MA0035.3.Gata1	chr9	86579814	86579824	+	0.000	0.000	Merged-chr9-86579809-9
NR4631--MA0037.3.GATA3	chr18	6484970	6484977	-	0.000	0.000	Merged-chr18-6484878-33
NR9368--MA0037.3.GATA3	chr8	111566113	111566120	-	0.000	0.000	Merged-chr8-111566005-2
NR890--MA0035.3.Gata1	chr10	13993678	13993688	+	0.000	0.000	Merged-chr10-13993632-56
NR2141--MA0140.2.GATA1::TAL1	chr12	81595270	81595287	-	0.000	0.000	Merged-chr12-81595167-52
NR5105--MA0036.3.GATA2	chr19	58376992	58377002	-	0.000	0.000	Merged-chr19-58376963-7
NR5756--MA1104.1.GATA6	chr2	153525958	153525970	-	0.000	0.000	Merged-chr2-153526092-26
NR4012--MA0037.3.GATA3	chr16	58670210	58670217	-	0.000	0.000	Merged-chr16-58670422-58
NR1822--MA0482.1.Gata4	chr12	12373254	12373264	-	0.000	0.000	Merged-chr12-12373073-13
NR3687--MA0766.1.GATA5	chr15	76231139	76231146	+	0.000	0.000	Merged-chr15-76231095-16
NR712--MA0036.3.GATA2	chr1	164366710	164366720	+	0.000	0.000	Merged-chr1-164366862-30
NR6420--MA0037.3.GATA3	chr3	133332579	133332586	-	0.000	0.000	Merged-chr3-133332565-72
NR3754--MA0482.1.Gata4	chr15	97831564	97831574	+	0.000	0.000	Merged-chr15-97831393-88
NR2584--MA0037.3.GATA3	chr13	59585438	59585445	-	0.000	0.000	Merged-chr13-59585318-80
NR1479--MA0035.3.Gata1	chr10	125330207	125330217	+	0.000	0.000	Merged-chr10-125330277-12
NR25--MA0766.1.GATA5	chr1	6453564	6453571	+	0.000	0.000	Merged-chr1-6453471-6
NR5052--MA0036.3.GATA2	chr19	31210683	31210693	+	0.000	0.000	Merged-chr19-31210653-54
NR7680--MA0482.1.Gata4	chr5	105699707	105699717	-	0.000	0.000	Merged-chr5-105699890-8
NR9810--MA1104.1.GATA6	chrX	7421266	7421278	+	0.000	0.000	Merged-chrX-7421154-31
NR2597--MA1104.1.GATA6	chr13	61996741	61996753	-	0.000	0.000	Merged-chr13-61996796-15
NR7287--MA0037.3.GATA3	chr5	15470117	15470124	-	0.000	0.000	Merged-chr5-15470199-54
NR1174--MA0035.3.Gata1	chr10	75406253	75406263	-	0.000	0.000	Merged-chr10-75406076-29
NR5328--MA0035.3.Gata1	chr2	60418236	60418246	-	0.000	0.000	Merged-chr2-60418304-27
NR9729--MA0036.3.GATA2	chr9	92274453	92274463	+	0.000	0.000	Merged-chr9-92274591-56
NR7112--MA0036.3.GATA2	chr4	126677481	126677491	-	0.000	0.000	Merged-chr4-126677717-65
NR614--MA0037.3.GATA3	chr1	143202926	143202933	+	0.000	0.000	Merged-chr1-143203062-8
NR9416--MA0035.3.Gata1	chr8	124520719	124520729	+	0.000	0.000	Merged-chr8-124520851-52
NR2358--MA1104.1.GATA6	chr13	3637161	3637173	-	0.000	0.000	Merged-chr13-3636993-50
NR2311--MA0037.3.GATA3	chr12	110689851	110689858	+	0.000	0.000	Merged-chr12-110689902-59
NR1140--MA0035.3.Gata1	chr10	69168673	69168683	+	0.000	0.000	Merged-chr10-69168741-15
NR5142--MA0482.1.Gata4	chr2	13132683	13132693	-	0.000	0.000	Merged-chr2-13132891-60
NR1756--MA1104.1.GATA6	chr11	106430741	106430753	-	0.000	0.000	Merged-chr11-106430638-37
NR9896--MA0482.1.Gata4	chrX	114474360	114474370	-	0.000	0.000	Merged-chrX-114474330-36
NR2288--MA0482.1.Gata4	chr12	105019701	105019711	+	0.000	0.000	Merged-chr12-105019829-37
NR8997--MA0037.3.GATA3	chr7	130774092	130774099	+	0.000	0.000	Merged-chr7-130774226-12
NR6717--MA0037.3.GATA3	chr4	19923452	19923459	+	0.000	0.000	Merged-chr4-19923492-7
NR4100--MA0037.3.GATA3	chr16	78265278	78265285	-	0.000	0.000	Merged-chr16-78265078-57
NR3959--MA1104.1.GATA6	chr16	48760674	48760686	-	0.000	0.000	Merged-chr16-48760801-13
NR7683--MA0035.3.Gata1	chr5	105699708	105699718	-	0.000	0.000	Merged-chr5-105699890-8
NR1961--MA0037.3.GATA3	chr12	40427691	40427698	+	0.000	0.000	Merged-chr12-40427719-34
NR7762--MA0140.2.GATA1::TAL1	chr5	140208921	140208938	-	0.000	0.000	Merged-chr5-140208912-49
NR5107--MA0766.1.GATA5	chr19	60838027	60838034	+	0.000	0.000	Merged-chr19-60837918-27
NR1788--MA0140.2.GATA1::TAL1	chr11	117334306	117334323	-	0.000	0.000	Merged-chr11-117334271-49
NR5564--MA0766.1.GATA5	chr2	122125776	122125783	-	0.000	0.000	Merged-chr2-122125883-8
NR194--MA0037.3.GATA3	chr1	59173180	59173187	+	0.000	0.000	Merged-chr1-59173225-2
NR9928--MA0482.1.Gata4	chrX	153375288	153375298	+	0.000	0.000	Merged-chrX-153375365-26
NR6664--MA0037.3.GATA3	chr4	10770164	10770171	+	0.000	0.000	Merged-chr4-10770192-53
NR5559--MA0035.3.Gata1	chr2	121457052	121457062	+	0.000	0.000	Merged-chr2-121457132-54
NR9766--MA0482.1.Gata4	chr9	112174907	112174917	-	0.000	0.000	Merged-chr9-112174843-101
NR9918--MA0035.3.Gata1	chrX	140537798	140537808	+	0.000	0.000	Merged-chrX-140537922-35
NR7210--MA0766.1.GATA5	chr4	150517582	150517589	-	0.000	0.000	Merged-chr4-150517532-35
NR4528--MA0140.2.GATA1::TAL1	chr17	71491185	71491202	+	0.000	0.000	Merged-chr17-71491103-50
NR1761--MA0482.1.Gata4	chr11	109561090	109561100	-	0.000	0.000	Merged-chr11-109560984-42
NR5838--MA0036.3.GATA2	chr2	179369438	179369448	-	0.000	0.000	Merged-chr2-179369287-1
NR8139--MA0140.2.GATA1::TAL1	chr6	70709468	70709485	-	0.000	0.000	Merged-chr6-70709572-48
NR8540--MA0766.1.GATA5	chr6	144329733	144329740	-	0.000	0.000	Merged-chr6-144329601-7
NR7548--MA0140.2.GATA1::TAL1	chr5	65901067	65901084	-	0.000	0.000	Merged-chr5-65901111-39
NR7290--MA0036.3.GATA2	chr5	15470116	15470126	+	0.000	0.000	Merged-chr5-15470199-54
NR3202--MA0482.1.Gata4	chr14	74977158	74977168	+	0.000	0.000	Merged-chr14-74977138-7
NR1522--MA0482.1.Gata4	chr11	8524117	8524127	+	0.000	0.000	Merged-chr11-8524008-23
NR7685--MA0482.1.Gata4	chr5	107648992	107649002	+	0.000	0.000	Merged-chr5-107649073-49
NR9722--MA0035.3.Gata1	chr9	90301325	90301335	+	0.000	0.000	Merged-chr9-90301276-26
NR715--MA0037.3.GATA3	chr1	164494819	164494826	+	0.000	0.000	Merged-chr1-164494906-11
NR3387--MA0766.1.GATA5	chr14	118796306	118796313	-	0.000	0.000	Merged-chr14-118796395-16
NR412--MA0036.3.GATA2	chr1	94803981	94803991	+	0.000	0.000	Merged-chr1-94803919-2
NR6249--MA0140.2.GATA1::TAL1	chr3	86635973	86635990	-	0.000	0.000	Merged-chr3-86635879-25
NR5937--MA0140.2.GATA1::TAL1	chr3	27067436	27067453	-	0.000	0.000	Merged-chr3-27067455-6
NR5100--MA0482.1.Gata4	chr19	57477221	57477231	+	0.000	0.000	Merged-chr19-57477375-13
NR6720--MA0036.3.GATA2	chr4	19923450	19923460	-	0.000	0.000	Merged-chr4-19923492-7
NR3789--MA1104.1.GATA6	chr16	5746816	5746828	-	0.000	0.000	Merged-chr16-5746649-1
NR76--MA0036.3.GATA2	chr1	14514551	14514561	-	0.000	0.000	Merged-chr1-14514684-1
NR3962--MA0140.2.GATA1::TAL1	chr16	48760861	48760878	-	0.000	0.000	Merged-chr16-48760801-13
NR2339--MA0140.2.GATA1::TAL1	chr12	117173460	117173477	+	0.000	0.000	Merged-chr12-117173433-4
NR3205--MA0035.3.Gata1	chr14	74977157	74977167	+	0.000	0.000	Merged-chr14-74977138-7
NR7616--MA0766.1.GATA5	chr5	92204520	92204527	+	0.000	0.000	Merged-chr5-92204715-7
NR8761--MA0036.3.GATA2	chr7	67672916	67672926	-	0.000	0.000	Merged-chr7-67672812-28
NR7688--MA0035.3.Gata1	chr5	109997108	109997118	-	0.000	0.000	Merged-chr5-109997231-2
NR3484--MA1104.1.GATA6	chr15	19857645	19857657	-	0.000	0.000	Merged-chr15-19857574-17
NR3847--MA0482.1.Gata4	chr16	18075421	18075431	-	0.000	0.000	Merged-chr16-18075425-17
NR7573--MA0140.2.GATA1::TAL1	chr5	74260785	74260802	+	0.000	0.000	Merged-chr5-74260801-106
NR8880--MA0766.1.GATA5	chr7	101504104	101504111	-	0.000	0.000	Merged-chr7-101503907-73
NR3685--MA0482.1.Gata4	chr15	76231136	76231146	-	0.000	0.000	Merged-chr15-76231095-16
NR7773--MA0482.1.Gata4	chr5	148596595	148596605	+	0.000	0.000	Merged-chr5-148596681-29
NR7681--MA1104.1.GATA6	chr5	105699707	105699719	+	0.000	0.000	Merged-chr5-105699890-8
NR5103--MA0035.3.Gata1	chr19	57477220	57477230	+	0.000	0.000	Merged-chr19-57477375-13
NR5012--MA0766.1.GATA5	chr19	6015318	6015325	-	0.000	0.000	Merged-chr19-6015500-73
NR23--MA0482.1.Gata4	chr1	6453561	6453571	-	0.000	0.000	Merged-chr1-6453471-6
NR3812--MA0140.2.GATA1::TAL1	chr16	7768613	7768630	+	0.000	0.000	Merged-chr16-7768660-2
NR165--MA0037.3.GATA3	chr1	44101608	44101615	+	0.000	0.000	Merged-chr1-44101717-6
NR3175--MA0482.1.Gata4	chr14	62342731	62342741	-	0.000	0.000	Merged-chr14-62342844-35
NR3056--MA0035.3.Gata1	chr14	27384253	27384263	+	0.000	0.000	Merged-chr14-27384235-54
NR8315--MA0037.3.GATA3	chr6	124750614	124750621	+	0.000	0.000	Merged-chr6-124750623-14
NR7786--MA0482.1.Gata4	chr5	149392278	149392288	-	0.000	0.000	Merged-chr5-149392157-30
NR6542--MA0035.3.Gata1	chr3	146192716	146192726	-	0.000	0.000	Merged-chr3-146192596-55
NR9897--MA1104.1.GATA6	chrX	114474360	114474372	+	0.000	0.000	Merged-chrX-114474330-36
NR980--MA0766.1.GATA5	chr10	28674113	28674120	+	0.000	0.000	Merged-chr10-28674060-27
NR5015--MA0036.3.GATA2	chr19	8019877	8019887	+	0.000	0.000	Merged-chr19-8019847-106
NR2289--MA1104.1.GATA6	chr12	105019699	105019711	-	0.000	0.000	Merged-chr12-105019829-37
NR6198--MA0482.1.Gata4	chr3	81102401	81102411	+	0.000	0.000	Merged-chr3-81102418-9
NR3688--MA0035.3.Gata1	chr15	76231137	76231147	-	0.000	0.000	Merged-chr15-76231095-16
NR2513--MA0037.3.GATA3	chr13	29756231	29756238	+	0.000	0.000	Merged-chr13-29756237-14
NR6297--MA0140.2.GATA1::TAL1	chr3	107100165	107100182	-	0.000	0.000	Merged-chr3-107100029-42
NR1779--MA0482.1.Gata4	chr11	116782936	116782946	+	0.000	0.000	Merged-chr11-116782885-34
NR8602--MA0035.3.Gata1	chr7	12987629	12987639	-	0.000	0.000	Merged-chr7-12987633-12
NR3249--MA0766.1.GATA5	chr14	87439913	87439920	-	0.000	0.000	Merged-chr14-87439901-5
NR26--MA0035.3.Gata1	chr1	6453562	6453572	-	0.000	0.000	Merged-chr1-6453471-6
NR1273--MA1104.1.GATA6	chr10	95971100	95971112	-	0.000	0.000	Merged-chr10-95971075-85
NR9929--MA1104.1.GATA6	chrX	153375286	153375298	-	0.000	0.000	Merged-chrX-153375365-26
NR8482--MA0036.3.GATA2	chr6	140308226	140308236	+	0.000	0.000	Merged-chr6-140308190-9
NR3178--MA0035.3.Gata1	chr14	62342732	62342742	-	0.000	0.000	Merged-chr14-62342844-35
NR1796--MA1104.1.GATA6	chr12	3891251	3891263	-	0.000	0.000	Merged-chr12-3891363-76
NR5233--MA0036.3.GATA2	chr2	39325860	39325870	-	0.000	0.000	Merged-chr2-39325876-70
NR1666--MA0140.2.GATA1::TAL1	chr11	66906100	66906117	-	0.000	0.000	Merged-chr11-66906049-23
NR7717--MA0766.1.GATA5	chr5	129524686	129524693	+	0.000	0.000	Merged-chr5-129524684-34
NR5086--MA0482.1.Gata4	chr19	46620060	46620070	-	0.000	0.000	Merged-chr19-46620252-57
NR8546--MA0037.3.GATA3	chr6	144987415	144987422	+	0.000	0.000	Merged-chr6-144987357-14
NR3713--MA0037.3.GATA3	chr15	91578252	91578259	-	0.000	0.000	Merged-chr15-91578192-2
NR6672--MA0036.3.GATA2	chr4	11404220	11404230	+	0.000	0.000	Merged-chr4-11404244-13
NR9344--MA0766.1.GATA5	chr8	107164414	107164421	-	0.000	0.000	Merged-chr8-107164486-19
NR683--MA0035.3.Gata1	chr1	158177456	158177466	+	0.000	0.000	Merged-chr1-158177392-1
NR8860--MA1104.1.GATA6	chr7	92420480	92420492	-	0.000	0.000	Merged-chr7-92420666-38
NR3203--MA1104.1.GATA6	chr14	74977156	74977168	-	0.000	0.000	Merged-chr14-74977138-7
NR5094--MA0766.1.GATA5	chr19	53185684	53185691	-	0.000	0.000	Merged-chr19-53185705-40
NR7686--MA1104.1.GATA6	chr5	109997107	109997119	+	0.000	0.000	Merged-chr5-109997231-2
NR5042--MA0035.3.Gata1	chr19	25360764	25360774	-	0.000	0.000	Merged-chr19-25360847-26
NR5754--MA0037.3.GATA3	chr2	153525960	153525967	-	0.000	0.000	Merged-chr2-153526092-26
NR5565--MA0035.3.Gata1	chr2	122125775	122125785	+	0.000	0.000	Merged-chr2-122125883-8
NR5193--MA0036.3.GATA2	chr2	20969347	20969357	-	0.000	0.000	Merged-chr2-20969092-180
NR9838--MA0482.1.Gata4	chrX	17590884	17590894	+	0.000	0.000	Merged-chrX-17590800-11
NR2367--MA0140.2.GATA1::TAL1	chr13	5408608	5408625	-	0.000	0.000	Merged-chr13-5408640-54
NR4195--MA0140.2.GATA1::TAL1	chr16	96030855	96030872	-	0.000	0.000	Merged-chr16-96030968-16
NR3165--MA0036.3.GATA2	chr14	60118304	60118314	+	0.000	0.000	Merged-chr14-60118138-14
NR8222--MA0036.3.GATA2	chr6	100011906	100011916	-	0.000	0.000	Merged-chr6-100011850-11
NR5101--MA1104.1.GATA6	chr19	57477219	57477231	-	0.000	0.000	Merged-chr19-57477375-13
NR6794--MA0036.3.GATA2	chr4	41569652	41569662	+	0.000	0.000	Merged-chr4-41569502-63
NR1737--MA0482.1.Gata4	chr11	100545861	100545871	+	0.000	0.000	Merged-chr11-100545700-39
NR5758--MA0766.1.GATA5	chr2	153525960	153525967	-	0.000	0.000	Merged-chr2-153526092-26
NR388--MA0037.3.GATA3	chr1	94035513	94035520	-	0.000	0.000	Merged-chr1-94035484-87
NR5462--MA1104.1.GATA6	chr2	98665145	98665157	+	0.000	0.000	Merged-chr2-98665090-39
NR4633--MA0766.1.GATA5	chr18	6484970	6484977	-	0.000	0.000	Merged-chr18-6484878-33
NR8541--MA0035.3.Gata1	chr6	144329732	144329742	+	0.000	0.000	Merged-chr6-144329601-7
NR6770--MA0766.1.GATA5	chr4	32615369	32615376	-	0.000	0.000	Merged-chr4-32615355-52
NR3306--MA0036.3.GATA2	chr14	101477377	101477387	-	0.000	0.000	Merged-chr14-101477413-70
NR6422--MA0766.1.GATA5	chr3	133332579	133332586	-	0.000	0.000	Merged-chr3-133332565-72
NR4471--MA0766.1.GATA5	chr17	62784084	62784091	-	0.000	0.000	Merged-chr17-62784192-42
NR3388--MA0035.3.Gata1	chr14	118796305	118796315	+	0.000	0.000	Merged-chr14-118796395-16
NR7774--MA1104.1.GATA6	chr5	148596593	148596605	-	0.000	0.000	Merged-chr5-148596681-29
NR651--MA0482.1.Gata4	chr1	151002319	151002329	+	0.000	0.000	Merged-chr1-151002204-60
NR1607--MA0482.1.Gata4	chr11	35537612	35537622	+	0.000	0.000	Merged-chr11-35537638-11
NR3176--MA1104.1.GATA6	chr14	62342731	62342743	+	0.000	0.000	Merged-chr14-62342844-35
NR8342--MA0037.3.GATA3	chr6	128362492	128362499	-	0.000	0.000	Merged-chr6-128362737-69
NR370--MA0035.3.Gata1	chr1	91099024	91099034	+	0.000	0.000	Merged-chr1-91099031-34
NR9834--MA0037.3.GATA3	chrX	13461670	13461677	+	0.000	0.000	Merged-chrX-13461805-52
NR7213--MA0482.1.Gata4	chr4	150938226	150938236	+	0.000	0.000	Merged-chr4-150938152-39
NR7787--MA1104.1.GATA6	chr5	149392278	149392290	+	0.000	0.000	Merged-chr5-149392157-30
NR7489--MA0035.3.Gata1	chr5	54098237	54098247	+	0.000	0.000	Merged-chr5-54098374-26
NR8910--MA0482.1.Gata4	chr7	110265934	110265944	-	0.000	0.000	Merged-chr7-110265938-33
NR4955--MA0035.3.Gata1	chr18	75322353	75322363	+	0.000	0.000	Merged-chr18-75322404-42
NR7617--MA0035.3.Gata1	chr5	92204518	92204528	-	0.000	0.000	Merged-chr5-92204715-7
NR5759--MA1104.1.GATA6	chr2	154797063	154797075	+	0.000	0.000	Merged-chr2-154797130-17
NR274--MA0035.3.Gata1	chr1	69331723	69331733	-	0.000	0.000	Merged-chr1-69331775-34
NR6199--MA1104.1.GATA6	chr3	81102399	81102411	-	0.000	0.000	Merged-chr3-81102418-9
NR725--MA0766.1.GATA5	chr1	165985897	165985904	+	0.000	0.000	Merged-chr1-165985990-54
NR1139--MA0766.1.GATA5	chr10	69168674	69168681	-	0.000	0.000	Merged-chr10-69168741-15
NR977--MA0766.1.GATA5	chr10	28518460	28518467	-	0.000	0.000	Merged-chr10-28518434-39
NR9781--MA0037.3.GATA3	chr9	116138613	116138620	-	0.000	0.000	Merged-chr9-116138726-20
NR8878--MA0037.3.GATA3	chr7	101504104	101504111	-	0.000	0.000	Merged-chr7-101503907-73
NR348--MA0036.3.GATA2	chr1	86344522	86344532	+	0.000	0.000	Merged-chr1-86344486-59
NR9704--MA0037.3.GATA3	chr9	86579815	86579822	-	0.000	0.000	Merged-chr9-86579809-9
NR5013--MA0035.3.Gata1	chr19	6015317	6015327	+	0.000	0.000	Merged-chr19-6015500-73
NR3093--MA0140.2.GATA1::TAL1	chr14	40930159	40930176	+	0.000	0.000	Merged-chr14-40930259-57
NR4867--MA0036.3.GATA2	chr18	62072966	62072976	+	0.000	0.000	Merged-chr18-62072861-2
NR2348--MA0037.3.GATA3	chr12	118836262	118836269	-	0.000	0.000	Merged-chr12-118836221-3
NR391--MA0036.3.GATA2	chr1	94035512	94035522	+	0.000	0.000	Merged-chr1-94035484-87
NR7216--MA0035.3.Gata1	chr4	150938225	150938235	+	0.000	0.000	Merged-chr4-150938152-39
NR7840--MA0140.2.GATA1::TAL1	chr6	7847066	7847083	+	0.000	0.000	Merged-chr6-7847080-25
NR9809--MA0482.1.Gata4	chrX	7421266	7421276	-	0.000	0.000	Merged-chrX-7421154-31
NR3050--MA0140.2.GATA1::TAL1	chr14	25481178	25481195	-	0.000	0.000	Merged-chr14-25481230-34
NR9623--MA0140.2.GATA1::TAL1	chr9	76831666	76831683	-	0.000	0.000	Merged-chr9-76831707-1
NR1507--MA1104.1.GATA6	chr10	130313721	130313733	-	0.000	0.000	Merged-chr10-130313729-35
NR6775--MA0766.1.GATA5	chr4	33110182	33110189	-	0.000	0.000	Merged-chr4-33110299-20
NR6181--MA0035.3.Gata1	chr3	75240891	75240901	+	0.000	0.000	Merged-chr3-75240815-11
NR3787--MA0037.3.GATA3	chr16	5746818	5746825	-	0.000	0.000	Merged-chr16-5746649-1
NR3960--MA0036.3.GATA2	chr16	48760675	48760685	+	0.000	0.000	Merged-chr16-48760801-13
NR6351--MA0036.3.GATA2	chr3	121343372	121343382	+	0.000	0.000	Merged-chr3-121343370-11
NR2786--MA0036.3.GATA2	chr13	90886326	90886336	-	0.000	0.000	Merged-chr13-90886172-1
NR7025--MA0140.2.GATA1::TAL1	chr4	96591244	96591261	+	0.000	0.000	Merged-chr4-96591096-6
NR133--MA0482.1.Gata4	chr1	35653567	35653577	-	0.000	0.000	Merged-chr1-35653441-55
NR1821--MA0037.3.GATA3	chr12	12373257	12373264	+	0.000	0.000	Merged-chr12-12373073-13
NR9393--MA0037.3.GATA3	chr8	117801966	117801973	+	0.000	0.000	Merged-chr8-117802067-74
NR3781--MA0140.2.GATA1::TAL1	chr16	4762238	4762255	-	0.000	0.000	Merged-chr16-4762365-8
NR2101--MA0482.1.Gata4	chr12	73598433	73598443	+	0.000	0.000	Merged-chr12-73598343-51
NR6122--MA0766.1.GATA5	chr3	60954285	60954292	+	0.000	0.000	Merged-chr3-60954370-10
NR6778--MA0036.3.GATA2	chr4	33189442	33189452	+	0.000	0.000	Merged-chr4-33189254-36
NR2547--MA0036.3.GATA2	chr13	41097618	41097628	-	0.000	0.000	Merged-chr13-41097728-40
NR7152--MA0482.1.Gata4	chr4	140815640	140815650	+	0.000	0.000	Merged-chr4-140815831-84
NR8599--MA0037.3.GATA3	chr7	12987631	12987638	+	0.000	0.000	Merged-chr7-12987633-12
NR371--MA0140.2.GATA1::TAL1	chr1	91298271	91298288	-	0.000	0.000	Merged-chr1-91298212-56
NR664--MA0766.1.GATA5	chr1	151973294	151973301	+	0.000	0.000	Merged-chr1-151973357-25
NR935--MA0766.1.GATA5	chr10	21092871	21092878	-	0.000	0.000	Merged-chr10-21092817-9
NR4546--MA0035.3.Gata1	chr17	80062159	80062169	+	0.000	0.000	Merged-chr17-80062114-120
NR4030--MA0140.2.GATA1::TAL1	chr16	59007369	59007386	-	0.000	0.000	Merged-chr16-59007299-38
NR7107--MA0036.3.GATA2	chr4	126103848	126103858	+	0.000	0.000	Merged-chr4-126103759-104
NR8609--MA0766.1.GATA5	chr7	19093680	19093687	-	0.000	0.000	Merged-chr7-19093740-100
NR2803--MA0140.2.GATA1::TAL1	chr13	95393443	95393460	+	0.000	0.000	Merged-chr13-95393533-22
NR659--MA0035.3.Gata1	chr1	151683047	151683057	+	0.000	0.000	Merged-chr1-151683056-48
NR4953--MA1104.1.GATA6	chr18	75322352	75322364	-	0.000	0.000	Merged-chr18-75322404-42
NR7046--MA0035.3.Gata1	chr4	101217307	101217317	-	0.000	0.000	Merged-chr4-101217167-64
NR5095--MA0035.3.Gata1	chr19	53185683	53185693	+	0.000	0.000	Merged-chr19-53185705-40
NR7649--MA0140.2.GATA1::TAL1	chr5	96201972	96201989	+	0.000	0.000	Merged-chr5-96201907-44
NR9895--MA0037.3.GATA3	chrX	114474363	114474370	+	0.000	0.000	Merged-chrX-114474330-36
NR2287--MA0037.3.GATA3	chr12	105019701	105019708	-	0.000	0.000	Merged-chr12-105019829-37
NR4206--MA0036.3.GATA2	chr16	97204300	97204310	+	0.000	0.000	Merged-chr16-97204388-55
NR667--MA0036.3.GATA2	chr1	153141157	153141167	+	0.000	0.000	Merged-chr1-153140977-54
NR8817--MA0036.3.GATA2	chr7	78865892	78865902	+	0.000	0.000	Merged-chr7-78865782-5
NR6200--MA0036.3.GATA2	chr3	81102400	81102410	+	0.000	0.000	Merged-chr3-81102418-9
NR3790--MA0036.3.GATA2	chr16	5746817	5746827	+	0.000	0.000	Merged-chr16-5746649-1
NR1175--MA1104.1.GATA6	chr10	75424695	75424707	+	0.000	0.000	Merged-chr10-75424715-43
NR7214--MA1104.1.GATA6	chr4	150938224	150938236	-	0.000	0.000	Merged-chr4-150938152-39
NR8936--MA0766.1.GATA5	chr7	113419587	113419594	+	0.000	0.000	Merged-chr7-113419557-35
NR8911--MA1104.1.GATA6	chr7	110265934	110265946	+	0.000	0.000	Merged-chr7-110265938-33
NR2550--MA0482.1.Gata4	chr13	41948365	41948375	-	0.000	0.000	Merged-chr13-41948463-1
