#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.dn.bed
NR23498--MA0599.1.KLF5	chr15	76091655	76091664	-	0.000	0.000	Merged-chr15-76091607-23
NR39028--MA0740.1.KLF14	chr2	153325876	153325889	-	0.000	0.000	Merged-chr2-153325949-22
NR22829--MA0599.1.KLF5	chr15	43870060	43870069	-	0.000	0.000	Merged-chr15-43869939-26
NR19566--MA0741.1.KLF16	chr14	25189489	25189499	+	0.000	0.000	Merged-chr14-25189493-18
NR70532--MA0742.1.Klf12	chr9	104337789	104337803	-	0.000	0.000	Merged-chr9-104337728-48
NR31795--MA1107.1.KLF9	chr18	61555161	61555173	-	0.000	0.000	Merged-chr18-61555267-68
NR40694--MA0741.1.KLF16	chr3	30995771	30995781	-	0.000	0.000	Merged-chr3-30995800-69
NR34166--MA0599.1.KLF5	chr19	46690092	46690101	-	0.000	0.000	Merged-chr19-46690011-53
NR45036--MA0741.1.KLF16	chr4	41569162	41569172	+	0.000	0.000	Merged-chr4-41568973-1
NR724--MA0599.1.KLF5	chr1	52113765	52113774	-	0.000	0.000	Merged-chr1-52113700-66
NR68475--MA0740.1.KLF14	chr9	44708540	44708553	-	0.000	0.000	Merged-chr9-44708535-22
NR40965--MA0599.1.KLF5	chr3	51552967	51552976	-	0.000	0.000	Merged-chr3-51553157-56
NR67615--MA1107.1.KLF9	chr8	128333492	128333504	-	0.000	0.000	Merged-chr8-128333532-18
NR32709--MA0741.1.KLF16	chr18	84293569	84293579	+	0.000	0.000	Merged-chr18-84293673-106
NR58744--MA0740.1.KLF14	chr7	3292943	3292956	+	0.000	0.000	Merged-chr7-3292987-7
NR11045--MA1107.1.KLF9	chr11	75410448	75410460	+	0.000	0.000	Merged-chr11-75410293-22
NR57944--MA0599.1.KLF5	chr6	134450908	134450917	-	0.000	0.000	Merged-chr6-134450954-21
NR61748--MA0493.1.Klf1	chr7	100950760	100950770	+	0.000	0.000	Merged-chr7-100950799-22
NR50865--MA0493.1.Klf1	chr5	72647729	72647739	+	0.000	0.000	Merged-chr5-72647797-53
NR60456--MA1107.1.KLF9	chr7	45866112	45866124	-	0.000	0.000	Merged-chr7-45866346-53
NR68951--MA1107.1.KLF9	chr9	58271288	58271300	+	0.000	0.000	Merged-chr9-58271289-37
NR40607--MA0599.1.KLF5	chr3	28318193	28318202	+	0.000	0.000	Merged-chr3-28318064-9
NR41061--MA0599.1.KLF5	chr3	53041479	53041488	-	0.000	0.000	Merged-chr3-53041622-23
NR28916--MA0599.1.KLF5	chr17	36083546	36083555	+	0.000	0.000	Merged-chr17-36083529-56
NR64818--MA0741.1.KLF16	chr8	46617377	46617387	-	0.000	0.000	Merged-chr8-46617433-87
NR63709--MA0599.1.KLF5	chr7	141414154	141414163	-	0.000	0.000	Merged-chr7-141414217-79
NR9444--MA0599.1.KLF5	chr11	19926136	19926145	-	0.000	0.000	Merged-chr11-19926174-9
NR56070--MA0493.1.Klf1	chr6	85037788	85037798	-	0.000	0.000	Merged-chr6-85037843-26
NR72869--MA0741.1.KLF16	chrX	162643656	162643666	+	0.000	0.000	Merged-chrX-162643590-34
NR66758--MA1107.1.KLF9	chr8	114506084	114506096	-	0.000	0.000	Merged-chr8-114506190-31
NR69129--MA0599.1.KLF5	chr9	63754985	63754994	+	0.000	0.000	Merged-chr9-63755068-11
NR13623--MA0740.1.KLF14	chr12	20815807	20815820	-	0.000	0.000	Merged-chr12-20815724-27
NR62835--MA0740.1.KLF14	chr7	127512317	127512330	+	0.000	0.000	Merged-chr7-127512446-128
NR60045--MA0741.1.KLF16	chr7	35172053	35172063	-	0.000	0.000	Merged-chr7-35172078-26
NR34846--MA0741.1.KLF16	chr2	11173719	11173729	+	0.000	0.000	Merged-chr2-11173621-55
NR29901--MA0741.1.KLF16	chr17	70990566	70990576	-	0.000	0.000	Merged-chr17-70990523-86
NR52628--MA0740.1.KLF14	chr5	123973580	123973593	-	0.000	0.000	Merged-chr5-123973673-46
NR9425--MA1107.1.KLF9	chr11	17160450	17160462	-	0.000	0.000	Merged-chr11-17160372-30
NR28593--MA0493.1.Klf1	chr17	32993465	32993475	-	0.000	0.000	Merged-chr17-32993236-53
NR45288--MA0741.1.KLF16	chr4	46138444	46138454	+	0.000	0.000	Merged-chr4-46138589-84
NR13226--MA0599.1.KLF5	chr11	120660893	120660902	+	0.000	0.000	Merged-chr11-120660742-13
NR15400--MA1107.1.KLF9	chr12	105027967	105027979	+	0.000	0.000	Merged-chr12-105027877-30
NR13565--MA1107.1.KLF9	chr12	16533754	16533766	-	0.000	0.000	Merged-chr12-16533665-29
NR40617--MA0741.1.KLF16	chr3	28781208	28781218	-	0.000	0.000	Merged-chr3-28781211-76
NR30615--MA0741.1.KLF16	chr17	87107219	87107229	+	0.000	0.000	Merged-chr17-87107301-129
NR60381--MA0599.1.KLF5	chr7	45339645	45339654	+	0.000	0.000	Merged-chr7-45339768-30
NR3263--MA0599.1.KLF5	chr1	156076618	156076627	-	0.000	0.000	Merged-chr1-156076663-15
NR12206--MA0657.1.KLF13	chr11	100939518	100939535	+	0.000	0.000	Merged-chr11-100939606-96
NR363--MA0742.1.Klf12	chr1	35813997	35814011	-	0.000	0.000	Merged-chr1-35813885-25
NR28456--MA0741.1.KLF16	chr17	29549641	29549651	+	0.000	0.000	Merged-chr17-29549704-46
NR10103--MA0740.1.KLF14	chr11	51969135	51969148	+	0.000	0.000	Merged-chr11-51969067-31
NR72455--MA0741.1.KLF16	chrX	105928729	105928739	+	0.000	0.000	Merged-chrX-105928639-1
NR39162--MA1107.1.KLF9	chr2	157119281	157119293	-	0.000	0.000	Merged-chr2-157119108-55
NR41501--MA0740.1.KLF14	chr3	81932600	81932613	-	0.000	0.000	Merged-chr3-81932722-80
NR31343--MA1107.1.KLF9	chr18	37969775	37969787	+	0.000	0.000	Merged-chr18-37969808-65
NR60023--MA0599.1.KLF5	chr7	34630507	34630516	-	0.000	0.000	Merged-chr7-34630517-24
NR9645--MA0493.1.Klf1	chr11	26387477	26387487	-	0.000	0.000	Merged-chr11-26387349-56
NR17478--MA0599.1.KLF5	chr13	69821334	69821343	+	0.000	0.000	Merged-chr13-69821460-47
NR59551--MA0740.1.KLF14	chr7	25683634	25683647	-	0.000	0.000	Merged-chr7-25683734-21
NR28424--MA0740.1.KLF14	chr17	29347884	29347897	-	0.000	0.000	Merged-chr17-29347843-56
NR62618--MA1107.1.KLF9	chr7	122288960	122288972	-	0.000	0.000	Merged-chr7-122289082-6
NR44910--MA0741.1.KLF16	chr4	34882312	34882322	-	0.000	0.000	Merged-chr4-34882306-3
NR40176--MA1107.1.KLF9	chr2	178891691	178891703	+	0.000	0.000	Merged-chr2-178891686-1
NR44287--MA0740.1.KLF14	chr3	155093419	155093432	+	0.000	0.000	Merged-chr3-155093462-79
NR65328--MA1107.1.KLF9	chr8	70608609	70608621	-	0.000	0.000	Merged-chr8-70608498-6
NR41243--MA0039.3.KLF4	chr3	65863538	65863548	-	0.000	0.000	Merged-chr3-65863474-31
NR67158--MA0740.1.KLF14	chr8	121568421	121568434	+	0.000	0.000	Merged-chr8-121568444-23
NR57303--MA0741.1.KLF16	chr6	120836861	120836871	+	0.000	0.000	Merged-chr6-120836708-1
NR40719--MA0599.1.KLF5	chr3	32397110	32397119	-	0.000	0.000	Merged-chr3-32397292-117
NR59720--MA0742.1.Klf12	chr7	28375698	28375712	-	0.000	0.000	Merged-chr7-28375704-42
NR2781--MA0740.1.KLF14	chr1	139423048	139423061	+	0.000	0.000	Merged-chr1-139423119-2
NR23376--MA1107.1.KLF9	chr15	73627497	73627509	-	0.000	0.000	Merged-chr15-73627530-51
NR52056--MA0599.1.KLF5	chr5	113873221	113873230	-	0.000	0.000	Merged-chr5-113873174-24
NR13903--MA0657.1.KLF13	chr12	33036350	33036367	+	0.000	0.000	Merged-chr12-33036196-25
NR11627--MA0741.1.KLF16	chr11	88595870	88595880	+	0.000	0.000	Merged-chr11-88595910-28
NR15816--MA0039.3.KLF4	chr12	112673273	112673283	+	0.000	0.000	Merged-chr12-112673105-15
NR7227--MA0039.3.KLF4	chr10	81253300	81253310	-	0.000	0.000	Merged-chr10-81253220-18
NR602--MA1107.1.KLF9	chr1	40790661	40790673	+	0.000	0.000	Merged-chr1-40790646-63
NR50410--MA0741.1.KLF16	chr5	53540270	53540280	-	0.000	0.000	Merged-chr5-53540253-35
NR14586--MA0740.1.KLF14	chr12	76324803	76324816	+	0.000	0.000	Merged-chr12-76324931-27
NR63674--MA0741.1.KLF16	chr7	141215792	141215802	+	0.000	0.000	Merged-chr7-141215830-56
NR37457--MA0740.1.KLF14	chr2	104122881	104122894	+	0.000	0.000	Merged-chr2-104122905-60
NR68016--MA0741.1.KLF16	chr9	22165113	22165123	-	0.000	0.000	Merged-chr9-22165025-24
NR14857--MA0740.1.KLF14	chr12	85746477	85746490	-	0.000	0.000	Merged-chr12-85746223-36
NR63945--MA0741.1.KLF16	chr8	3515588	3515598	+	0.000	0.000	Merged-chr8-3515428-24
NR46263--MA1107.1.KLF9	chr4	89137608	89137620	+	0.000	0.000	Merged-chr4-89137676-98
NR58358--MA0599.1.KLF5	chr6	142345822	142345831	+	0.000	0.000	Merged-chr6-142345915-71
NR19914--MA0740.1.KLF14	chr14	40956692	40956705	-	0.000	0.000	Merged-chr14-40956605-62
NR33882--MA0599.1.KLF5	chr19	40509069	40509078	-	0.000	0.000	Merged-chr19-40509084-1
NR55884--MA0742.1.Klf12	chr6	72439123	72439137	+	0.000	0.000	Merged-chr6-72438940-1
NR62828--MA0039.3.KLF4	chr7	127422075	127422085	+	0.000	0.000	Merged-chr7-127422019-53
NR3910--MA0741.1.KLF16	chr1	171060401	171060411	-	0.000	0.000	Merged-chr1-171060539-31
NR61207--MA0599.1.KLF5	chr7	80535205	80535214	+	0.000	0.000	Merged-chr7-80535254-6
NR71006--MA0657.1.KLF13	chr9	114368361	114368378	+	0.000	0.000	Merged-chr9-114368290-39
NR11152--MA0039.3.KLF4	chr11	77468101	77468111	-	0.000	0.000	Merged-chr11-77467994-17
NR56031--MA0740.1.KLF14	chr6	83456834	83456847	-	0.000	0.000	Merged-chr6-83457033-1
NR12306--MA0740.1.KLF14	chr11	102467220	102467233	-	0.000	0.000	Merged-chr11-102467251-44
NR38633--MA0599.1.KLF5	chr2	142903113	142903122	-	0.000	0.000	Merged-chr2-142903188-70
NR61331--MA1107.1.KLF9	chr7	83649041	83649053	+	0.000	0.000	Merged-chr7-83649000-10
NR33187--MA1107.1.KLF9	chr19	7294694	7294706	-	0.000	0.000	Merged-chr19-7294791-1
NR2039--MA0599.1.KLF5	chr1	119637145	119637154	-	0.000	0.000	Merged-chr1-119636990-21
NR28010--MA0740.1.KLF14	chr17	23924758	23924771	-	0.000	0.000	Merged-chr17-23924911-57
NR31275--MA0740.1.KLF14	chr18	35831811	35831824	-	0.000	0.000	Merged-chr18-35831986-19
NR65592--MA1107.1.KLF9	chr8	75071857	75071869	+	0.000	0.000	Merged-chr8-75071889-52
NR59831--MA0657.1.KLF13	chr7	29211573	29211590	+	0.000	0.000	Merged-chr7-29211529-84
NR13462--MA1107.1.KLF9	chr12	8827548	8827560	-	0.000	0.000	Merged-chr12-8827572-4
NR59336--MA0599.1.KLF5	chr7	19749761	19749770	+	0.000	0.000	Merged-chr7-19749873-53
NR49596--MA0740.1.KLF14	chr5	24348288	24348301	+	0.000	0.000	Merged-chr5-24348360-46
NR25557--MA0599.1.KLF5	chr16	20804930	20804939	+	0.000	0.000	Merged-chr16-20804779-46
NR52195--MA0740.1.KLF14	chr5	115119353	115119366	-	0.000	0.000	Merged-chr5-115119310-50
NR11781--MA0740.1.KLF14	chr11	95232187	95232200	-	0.000	0.000	Merged-chr11-95232173-16
NR25342--MA0599.1.KLF5	chr16	14159512	14159521	+	0.000	0.000	Merged-chr16-14159517-83
NR36896--MA0742.1.Klf12	chr2	80315680	80315694	+	0.000	0.000	Merged-chr2-80315576-77
NR7522--MA0741.1.KLF16	chr10	87025107	87025117	+	0.000	0.000	Merged-chr10-87025164-32
NR13901--MA0742.1.Klf12	chr12	33027323	33027337	-	0.000	0.000	Merged-chr12-33027322-24
NR65877--MA0741.1.KLF16	chr8	84686726	84686736	-	0.000	0.000	Merged-chr8-84686915-1
NR40705--MA0493.1.Klf1	chr3	31145840	31145850	+	0.000	0.000	Merged-chr3-31145985-42
NR63601--MA0493.1.Klf1	chr7	140116526	140116536	-	0.000	0.000	Merged-chr7-140116362-57
NR29805--MA0741.1.KLF16	chr17	66101652	66101662	-	0.000	0.000	Merged-chr17-66101673-100
NR72569--MA0599.1.KLF5	chrX	136993217	136993226	-	0.000	0.000	Merged-chrX-136993018-95
NR35092--MA0740.1.KLF14	chr2	19657715	19657728	+	0.000	0.000	Merged-chr2-19657975-133
NR9677--MA0599.1.KLF5	chr11	29515046	29515055	-	0.000	0.000	Merged-chr11-29515062-56
NR64396--MA0599.1.KLF5	chr8	22398662	22398671	+	0.000	0.000	Merged-chr8-22398467-72
NR47214--MA0742.1.Klf12	chr4	123686654	123686668	+	0.000	0.000	Merged-chr4-123686542-1
NR59102--MA1107.1.KLF9	chr7	16826036	16826048	-	0.000	0.000	Merged-chr7-16826052-26
NR40410--MA0599.1.KLF5	chr3	14611315	14611324	+	0.000	0.000	Merged-chr3-14611354-67
NR55634--MA0493.1.Klf1	chr6	57449423	57449433	-	0.000	0.000	Merged-chr6-57449516-18
NR3020--MA0741.1.KLF16	chr1	152090339	152090349	+	0.000	0.000	Merged-chr1-152090175-114
NR14136--MA0742.1.Klf12	chr12	52783212	52783226	-	0.000	0.000	Merged-chr12-52783123-49
NR49780--MA0599.1.KLF5	chr5	28329654	28329663	-	0.000	0.000	Merged-chr5-28329563-25
NR30519--MA0741.1.KLF16	chr17	84859882	84859892	+	0.000	0.000	Merged-chr17-84860120-51
NR3957--MA0741.1.KLF16	chr1	172197390	172197400	+	0.000	0.000	Merged-chr1-172197316-25
NR69147--MA0599.1.KLF5	chr9	64281536	64281545	+	0.000	0.000	Merged-chr9-64281696-49
NR27941--MA0039.3.KLF4	chr17	21679883	21679893	-	0.000	0.000	Merged-chr17-21679790-78
NR61917--MA0741.1.KLF16	chr7	105633653	105633663	+	0.000	0.000	Merged-chr7-105633562-65
NR13539--MA0493.1.Klf1	chr12	14152277	14152287	-	0.000	0.000	Merged-chr12-14152213-14
NR15150--MA0657.1.KLF13	chr12	98572410	98572427	+	0.000	0.000	Merged-chr12-98572483-18
NR67097--MA0599.1.KLF5	chr8	120668153	120668162	+	0.000	0.000	Merged-chr8-120668120-83
NR61113--MA0599.1.KLF5	chr7	79592226	79592235	+	0.000	0.000	Merged-chr7-79592418-20
NR54750--MA0741.1.KLF16	chr6	28878194	28878204	-	0.000	0.000	Merged-chr6-28878211-33
NR39484--MA0039.3.KLF4	chr2	164786095	164786105	+	0.000	0.000	Merged-chr2-164785983-68
NR64109--MA0493.1.Klf1	chr8	11635870	11635880	-	0.000	0.000	Merged-chr8-11635696-171
NR2015--MA0039.3.KLF4	chr1	118627898	118627908	+	0.000	0.000	Merged-chr1-118628003-42
NR47587--MA0599.1.KLF5	chr4	130802166	130802175	+	0.000	0.000	Merged-chr4-130802230-25
NR41603--MA0599.1.KLF5	chr3	87408330	87408339	-	0.000	0.000	Merged-chr3-87408314-25
NR41557--MA0657.1.KLF13	chr3	84477558	84477575	-	0.000	0.000	Merged-chr3-84477603-8
NR44543--MA0741.1.KLF16	chr4	11455283	11455293	-	0.000	0.000	Merged-chr4-11455280-34
NR46960--MA0742.1.Klf12	chr4	116877374	116877388	-	0.000	0.000	Merged-chr4-116877441-82
NR70852--MA0740.1.KLF14	chr9	110732744	110732757	-	0.000	0.000	Merged-chr9-110732795-38
NR30926--MA0599.1.KLF5	chr18	12168676	12168685	+	0.000	0.000	Merged-chr18-12168747-122
NR13536--MA0657.1.KLF13	chr12	14152271	14152288	-	0.000	0.000	Merged-chr12-14152213-14
NR22753--MA0599.1.KLF5	chr15	39943790	39943799	-	0.000	0.000	Merged-chr15-39943726-117
NR32385--MA0741.1.KLF16	chr18	77870171	77870181	-	0.000	0.000	Merged-chr18-77870219-23
NR59528--MA0493.1.Klf1	chr7	25297223	25297233	+	0.000	0.000	Merged-chr7-25297148-3
NR68831--MA0493.1.Klf1	chr9	55938125	55938135	-	0.000	0.000	Merged-chr9-55938219-68
NR55256--MA0741.1.KLF16	chr6	48395566	48395576	+	0.000	0.000	Merged-chr6-48395696-62
NR66996--MA0493.1.Klf1	chr8	119586002	119586012	+	0.000	0.000	Merged-chr8-119585972-66
NR47014--MA0599.1.KLF5	chr4	118260670	118260679	-	0.000	0.000	Merged-chr4-118260858-21
NR42929--MA0741.1.KLF16	chr3	121982311	121982321	+	0.000	0.000	Merged-chr3-121982250-28
NR47353--MA1107.1.KLF9	chr4	127095286	127095298	-	0.000	0.000	Merged-chr4-127095353-15
NR13911--MA0599.1.KLF5	chr12	33048569	33048578	-	0.000	0.000	Merged-chr12-33048598-27
NR2612--MA0599.1.KLF5	chr1	135368738	135368747	-	0.000	0.000	Merged-chr1-135368488-15
NR8247--MA0599.1.KLF5	chr10	115315602	115315611	+	0.000	0.000	Merged-chr10-115315696-3
NR6943--MA0039.3.KLF4	chr10	79554799	79554809	+	0.000	0.000	Merged-chr10-79554930-87
NR47466--MA0742.1.Klf12	chr4	129542721	129542735	+	0.000	0.000	Merged-chr4-129542711-60
NR50709--MA0740.1.KLF14	chr5	65435838	65435851	+	0.000	0.000	Merged-chr5-65436020-62
NR31361--MA1107.1.KLF9	chr18	38367010	38367022	-	0.000	0.000	Merged-chr18-38367283-66
NR30673--MA0740.1.KLF14	chr17	88379042	88379055	+	0.000	0.000	Merged-chr17-88379029-1
NR8371--MA1107.1.KLF9	chr10	117532278	117532290	+	0.000	0.000	Merged-chr10-117532128-28
NR529--MA0741.1.KLF16	chr1	39714010	39714020	-	0.000	0.000	Merged-chr1-39714046-47
NR23055--MA0599.1.KLF5	chr15	58595066	58595075	+	0.000	0.000	Merged-chr15-58595150-15
NR60923--MA0599.1.KLF5	chr7	68205945	68205954	-	0.000	0.000	Merged-chr7-68206033-25
NR8914--MA0599.1.KLF5	chr10	127471444	127471453	-	0.000	0.000	Merged-chr10-127471535-20
NR15348--MA0741.1.KLF16	chr12	103443788	103443798	-	0.000	0.000	Merged-chr12-103443723-55
NR41191--MA0599.1.KLF5	chr3	62338941	62338950	-	0.000	0.000	Merged-chr3-62339060-22
NR3468--MA1107.1.KLF9	chr1	161070941	161070953	-	0.000	0.000	Merged-chr1-161070949-93
NR59344--MA0741.1.KLF16	chr7	19749907	19749917	+	0.000	0.000	Merged-chr7-19749873-53
NR28217--MA0741.1.KLF16	chr17	27133989	27133999	+	0.000	0.000	Merged-chr17-27133890-64
NR59214--MA1107.1.KLF9	chr7	19149329	19149341	+	0.000	0.000	Merged-chr7-19149446-69
NR4254--MA0741.1.KLF16	chr1	180642104	180642114	+	0.000	0.000	Merged-chr1-180642282-2
NR59615--MA0741.1.KLF16	chr7	27258728	27258738	-	0.000	0.000	Merged-chr7-27258672-61
NR44795--MA0741.1.KLF16	chr4	32481941	32481951	-	0.000	0.000	Merged-chr4-32481815-19
NR13668--MA0741.1.KLF16	chr12	21373699	21373709	+	0.000	0.000	Merged-chr12-21373648-61
NR28066--MA0657.1.KLF13	chr17	24687223	24687240	+	0.000	0.000	Merged-chr17-24687301-48
NR68723--MA1107.1.KLF9	chr9	51162036	51162048	-	0.000	0.000	Merged-chr9-51161990-29
NR67937--MA0741.1.KLF16	chr9	21616042	21616052	+	0.000	0.000	Merged-chr9-21616115-78
NR69259--MA0599.1.KLF5	chr9	66599824	66599833	-	0.000	0.000	Merged-chr9-66599878-25
NR1540--MA0599.1.KLF5	chr1	87214232	87214241	-	0.000	0.000	Merged-chr1-87214241-86
NR14409--MA1107.1.KLF9	chr12	69853616	69853628	+	0.000	0.000	Merged-chr12-69853558-20
NR52722--MA0741.1.KLF16	chr5	124729818	124729828	+	0.000	0.000	Merged-chr5-124729814-15
NR29372--MA0741.1.KLF16	chr17	50292854	50292864	+	0.000	0.000	Merged-chr17-50292906-47
NR51297--MA0493.1.Klf1	chr5	93267193	93267203	+	0.000	0.000	Merged-chr5-93267290-2
NR70191--MA1107.1.KLF9	chr9	94614246	94614258	+	0.000	0.000	Merged-chr9-94614117-31
NR5680--MA0741.1.KLF16	chr10	40212621	40212631	-	0.000	0.000	Merged-chr10-40212600-39
NR69720--MA0599.1.KLF5	chr9	78845416	78845425	-	0.000	0.000	Merged-chr9-78845462-22
NR55779--MA0741.1.KLF16	chr6	67296113	67296123	+	0.000	0.000	Merged-chr6-67296295-29
NR52937--MA1107.1.KLF9	chr5	129715474	129715486	-	0.000	0.000	Merged-chr5-129715582-48
NR27029--MA0493.1.Klf1	chr16	91688765	91688775	+	0.000	0.000	Merged-chr16-91688812-60
NR14076--MA0740.1.KLF14	chr12	46819520	46819533	-	0.000	0.000	Merged-chr12-46819376-53
NR71691--MA0741.1.KLF16	chrX	8175962	8175972	+	0.000	0.000	Merged-chrX-8175861-91
NR379--MA0493.1.Klf1	chr1	36272651	36272661	-	0.000	0.000	Merged-chr1-36272682-8
NR7842--MA0599.1.KLF5	chr10	95514991	95515000	-	0.000	0.000	Merged-chr10-95515183-85
NR22306--MA0741.1.KLF16	chr15	8169040	8169050	+	0.000	0.000	Merged-chr15-8169006-87
NR34282--MA0493.1.Klf1	chr19	53142562	53142572	-	0.000	0.000	Merged-chr19-53142483-91
NR63706--MA0741.1.KLF16	chr7	141414099	141414109	-	0.000	0.000	Merged-chr7-141414217-79
NR47989--MA0742.1.Klf12	chr4	135963692	135963706	-	0.000	0.000	Merged-chr4-135963723-59
NR48883--MA0741.1.KLF16	chr4	152178078	152178088	-	0.000	0.000	Merged-chr4-152178295-75
NR29123--MA1107.1.KLF9	chr17	46283076	46283088	-	0.000	0.000	Merged-chr17-46282976-55
NR53401--MA0740.1.KLF14	chr5	135962731	135962744	+	0.000	0.000	Merged-chr5-135962796-70
NR61755--MA0741.1.KLF16	chr7	101012084	101012094	-	0.000	0.000	Merged-chr7-101011923-30
NR64602--MA0599.1.KLF5	chr8	34689209	34689218	-	0.000	0.000	Merged-chr8-34689039-1
NR8408--MA0741.1.KLF16	chr10	118090010	118090020	-	0.000	0.000	Merged-chr10-118090052-13
NR376--MA0742.1.Klf12	chr1	36272647	36272661	-	0.000	0.000	Merged-chr1-36272682-8
NR8359--MA0599.1.KLF5	chr10	117494125	117494134	-	0.000	0.000	Merged-chr10-117494286-56
NR28469--MA0741.1.KLF16	chr17	29841932	29841942	-	0.000	0.000	Merged-chr17-29841943-28
NR6728--MA0741.1.KLF16	chr10	75835760	75835770	+	0.000	0.000	Merged-chr10-75835813-94
NR59899--MA1107.1.KLF9	chr7	30072659	30072671	+	0.000	0.000	Merged-chr7-30072642-62
NR15801--MA0657.1.KLF13	chr12	112629095	112629112	-	0.000	0.000	Merged-chr12-112629266-49
NR59867--MA0741.1.KLF16	chr7	29307868	29307878	+	0.000	0.000	Merged-chr7-29307894-31
NR71375--MA1107.1.KLF9	chr9	120127744	120127756	-	0.000	0.000	Merged-chr9-120127726-70
NR30--MA1107.1.KLF9	chr1	6519522	6519534	+	0.000	0.000	Merged-chr1-6519375-11
NR57250--MA0741.1.KLF16	chr6	120006493	120006503	+	0.000	0.000	Merged-chr6-120006378-7
NR41141--MA0742.1.Klf12	chr3	57848016	57848030	+	0.000	0.000	Merged-chr3-57848090-4
NR19782--MA1107.1.KLF9	chr14	31206077	31206089	-	0.000	0.000	Merged-chr14-31206647-90
NR65119--MA0599.1.KLF5	chr8	64947169	64947178	-	0.000	0.000	Merged-chr8-64947122-116
NR8820--MA0599.1.KLF5	chr10	126901392	126901401	-	0.000	0.000	Merged-chr10-126901254-64
NR44923--MA0741.1.KLF16	chr4	35225865	35225875	+	0.000	0.000	Merged-chr4-35225977-93
NR72587--MA0599.1.KLF5	chrX	140664827	140664836	+	0.000	0.000	Merged-chrX-140664923-33
NR9834--MA0741.1.KLF16	chr11	35838497	35838507	-	0.000	0.000	Merged-chr11-35838525-24
NR11845--MA0741.1.KLF16	chr11	96464581	96464591	+	0.000	0.000	Merged-chr11-96464548-48
NR68168--MA1107.1.KLF9	chr9	32616172	32616184	-	0.000	0.000	Merged-chr9-32616146-52
NR62061--MA0742.1.Klf12	chr7	110221678	110221692	-	0.000	0.000	Merged-chr7-110221778-96
NR34389--MA1107.1.KLF9	chr19	55260743	55260755	-	0.000	0.000	Merged-chr19-55260920-21
NR55642--MA0039.3.KLF4	chr6	57570394	57570404	-	0.000	0.000	Merged-chr6-57570582-29
NR58362--MA0493.1.Klf1	chr6	142345907	142345917	+	0.000	0.000	Merged-chr6-142345915-71
NR47011--MA0740.1.KLF14	chr4	118179982	118179995	+	0.000	0.000	Merged-chr4-118179905-83
NR18128--MA0742.1.Klf12	chr13	97790018	97790032	+	0.000	0.000	Merged-chr13-97790032-25
NR69165--MA0599.1.KLF5	chr9	64737743	64737752	+	0.000	0.000	Merged-chr9-64737677-73
NR7357--MA0039.3.KLF4	chr10	82859156	82859166	-	0.000	0.000	Merged-chr10-82859313-42
NR65909--MA0741.1.KLF16	chr8	84937402	84937412	-	0.000	0.000	Merged-chr8-84937354-26
NR62076--MA0039.3.KLF4	chr7	110627602	110627612	+	0.000	0.000	Merged-chr7-110627584-9
NR26759--MA0599.1.KLF5	chr16	78376812	78376821	-	0.000	0.000	Merged-chr16-78376447-159
NR38096--MA0599.1.KLF5	chr2	125189300	125189309	+	0.000	0.000	Merged-chr2-125189398-33
NR55778--MA0599.1.KLF5	chr6	67296113	67296122	+	0.000	0.000	Merged-chr6-67296295-29
NR23148--MA1107.1.KLF9	chr15	61538980	61538992	+	0.000	0.000	Merged-chr15-61539170-27
NR367--MA0741.1.KLF16	chr1	35814000	35814010	-	0.000	0.000	Merged-chr1-35813885-25
NR50669--MA0599.1.KLF5	chr5	64780898	64780907	-	0.000	0.000	Merged-chr5-64780950-29
NR32318--MA0599.1.KLF5	chr18	76222424	76222433	+	0.000	0.000	Merged-chr18-76222464-24
NR38262--MA0741.1.KLF16	chr2	130642900	130642910	+	0.000	0.000	Merged-chr2-130642738-65
NR7072--MA0599.1.KLF5	chr10	80566558	80566567	+	0.000	0.000	Merged-chr10-80566579-19
NR12050--MA1107.1.KLF9	chr11	98783531	98783543	-	0.000	0.000	Merged-chr11-98783373-52
NR10552--MA0599.1.KLF5	chr11	61855233	61855242	-	0.000	0.000	Merged-chr11-61855241-5
NR1509--MA0599.1.KLF5	chr1	85894533	85894542	-	0.000	0.000	Merged-chr1-85894541-45
NR23984--MA0741.1.KLF16	chr15	83205226	83205236	-	0.000	0.000	Merged-chr15-83205313-23
NR67719--MA0493.1.Klf1	chr9	14088202	14088212	+	0.000	0.000	Merged-chr9-14088046-43
NR15728--MA0741.1.KLF16	chr12	110979137	110979147	-	0.000	0.000	Merged-chr12-110979044-60
NR1767--MA0741.1.KLF16	chr1	94035359	94035369	-	0.000	0.000	Merged-chr1-94035484-87
NR59724--MA0741.1.KLF16	chr7	28379321	28379331	+	0.000	0.000	Merged-chr7-28379291-46
NR64171--MA1107.1.KLF9	chr8	13494555	13494567	-	0.000	0.000	Merged-chr8-13494435-15
