#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed
NR2686--MA0039.3.KLF4	chr1	151083944	151083954	-	0.000	0.000	Merged-chr1-151084034-24
NR34724--MA0741.1.KLF16	chr2	18609898	18609908	+	0.000	0.000	Merged-chr2-18609869-8
NR54101--MA0599.1.KLF5	chr6	50110139	50110148	-	0.000	0.000	Merged-chr6-50110247-81
NR12364--MA0599.1.KLF5	chr11	106487929	106487938	-	0.000	0.000	Merged-chr11-106487771-62
NR35260--MA0599.1.KLF5	chr2	32312387	32312396	+	0.000	0.000	Merged-chr2-32312482-34
NR37179--MA1107.1.KLF9	chr2	116893935	116893947	+	0.000	0.000	Merged-chr2-116894094-31
NR30437--MA0493.1.Klf1	chr18	23803948	23803958	-	0.000	0.000	Merged-chr18-23803965-77
NR24517--MA0741.1.KLF16	chr15	100984091	100984101	-	0.000	0.000	Merged-chr15-100983947-40
NR5181--MA0039.3.KLF4	chr10	19188579	19188589	-	0.000	0.000	Merged-chr10-19188580-55
NR5191--MA0493.1.Klf1	chr10	19591919	19591929	+	0.000	0.000	Merged-chr10-19591977-65
NR63300--MA0741.1.KLF16	chr8	70072893	70072903	-	0.000	0.000	Merged-chr8-70072773-24
NR32893--MA0657.1.KLF13	chr19	9991504	9991521	+	0.000	0.000	Merged-chr19-9991497-15
NR27623--MA0741.1.KLF16	chr17	26508554	26508564	-	0.000	0.000	Merged-chr17-26508450-149
NR66086--MA0741.1.KLF16	chr9	40469753	40469763	+	0.000	0.000	Merged-chr9-40469723-18
NR30888--MA0741.1.KLF16	chr18	46917799	46917809	-	0.000	0.000	Merged-chr18-46917814-10
NR35798--MA0740.1.KLF14	chr2	57117660	57117673	+	0.000	0.000	Merged-chr2-57117653-11
NR66301--MA1107.1.KLF9	chr9	46151713	46151725	-	0.000	0.000	Merged-chr9-46151705-34
NR36524--MA0493.1.Klf1	chr2	84784850	84784860	-	0.000	0.000	Merged-chr2-84784837-8
NR30754--MA0742.1.Klf12	chr18	38365196	38365210	+	0.000	0.000	Merged-chr18-38365063-36
NR54199--MA0741.1.KLF16	chr6	52640545	52640555	-	0.000	0.000	Merged-chr6-52640387-58
NR2249--MA0599.1.KLF5	chr1	134405861	134405870	+	0.000	0.000	Merged-chr1-134406034-69
NR47112--MA0599.1.KLF5	chr4	135102981	135102990	-	0.000	0.000	Merged-chr4-135103074-30
NR58334--MA1107.1.KLF9	chr7	27325719	27325731	+	0.000	0.000	Merged-chr7-27325818-6
NR6583--MA0742.1.Klf12	chr10	79669176	79669190	+	0.000	0.000	Merged-chr10-79669394-88
NR27941--MA1107.1.KLF9	chr17	29638104	29638116	+	0.000	0.000	Merged-chr17-29638161-9
NR68379--MA0599.1.KLF5	chr9	107542173	107542182	+	0.000	0.000	Merged-chr9-107542021-57
NR11234--MA0741.1.KLF16	chr11	86088699	86088709	-	0.000	0.000	Merged-chr11-86088575-8
NR2757--MA0741.1.KLF16	chr1	153304230	153304240	-	0.000	0.000	Merged-chr1-153304263-23
NR63135--MA0493.1.Klf1	chr8	64771047	64771057	+	0.000	0.000	Merged-chr8-64771092-36
NR62734--MA1107.1.KLF9	chr8	34539967	34539979	+	0.000	0.000	Merged-chr8-34540020-11
NR36522--MA0742.1.Klf12	chr2	84784846	84784860	-	0.000	0.000	Merged-chr2-84784837-8
NR40905--MA0039.3.KLF4	chr3	68784319	68784329	-	0.000	0.000	Merged-chr3-68784168-43
NR12350--MA0493.1.Klf1	chr11	106216894	106216904	+	0.000	0.000	Merged-chr11-106216790-91
NR52252--MA0493.1.Klf1	chr5	136449972	136449982	-	0.000	0.000	Merged-chr5-136449962-15
NR23153--MA0599.1.KLF5	chr15	76576501	76576510	+	0.000	0.000	Merged-chr15-76576495-44
NR63823--MA0741.1.KLF16	chr8	84067371	84067381	-	0.000	0.000	Merged-chr8-84067412-4
NR9887--MA0599.1.KLF5	chr11	53891922	53891931	-	0.000	0.000	Merged-chr11-53891754-62
NR24364--MA0742.1.Klf12	chr15	99644026	99644040	-	0.000	0.000	Merged-chr15-99643998-26
NR61872--MA0741.1.KLF16	chr7	140264975	140264985	-	0.000	0.000	Merged-chr7-140265035-12
NR55844--MA0493.1.Klf1	chr6	120464176	120464186	+	0.000	0.000	Merged-chr6-120464092-4
NR17397--MA0741.1.KLF16	chr13	64161728	64161738	-	0.000	0.000	Merged-chr13-64161873-63
NR58554--MA0493.1.Klf1	chr7	30219524	30219534	-	0.000	0.000	Merged-chr7-30219688-54
NR35802--MA0741.1.KLF16	chr2	57117667	57117677	+	0.000	0.000	Merged-chr2-57117653-11
NR3312--MA0741.1.KLF16	chr1	167339589	167339599	-	0.000	0.000	Merged-chr1-167339598-12
NR10077--MA0599.1.KLF5	chr11	59212519	59212528	-	0.000	0.000	Merged-chr11-59212517-38
NR37413--MA0599.1.KLF5	chr2	120850548	120850557	-	0.000	0.000	Merged-chr2-120850426-67
NR24201--MA0039.3.KLF4	chr15	97790325	97790335	-	0.000	0.000	Merged-chr15-97790248-21
NR69696--MA1107.1.KLF9	chrX	38182047	38182059	-	0.000	0.000	Merged-chrX-38181994-21
NR41270--MA1107.1.KLF9	chr3	89102056	89102068	-	0.000	0.000	Merged-chr3-89101941-62
NR57805--MA0599.1.KLF5	chr7	16047795	16047804	+	0.000	0.000	Merged-chr7-16047876-4
NR6369--MA0741.1.KLF16	chr10	75589957	75589967	-	0.000	0.000	Merged-chr10-75589907-17
NR36242--MA0741.1.KLF16	chr2	72997221	72997231	-	0.000	0.000	Merged-chr2-72997142-44
NR41729--MA0741.1.KLF16	chr3	98013454	98013464	-	0.000	0.000	Merged-chr3-98013630-71
NR20929--MA0657.1.KLF13	chr14	75845210	75845227	+	0.000	0.000	Merged-chr14-75845337-99
NR10744--MA0599.1.KLF5	chr11	75454781	75454790	+	0.000	0.000	Merged-chr11-75454726-54
NR62649--MA0741.1.KLF16	chr8	27177329	27177339	+	0.000	0.000	Merged-chr8-27177254-18
NR2072--MA0741.1.KLF16	chr1	128593455	128593465	+	0.000	0.000	Merged-chr1-128593290-2
NR44835--MA0741.1.KLF16	chr4	46564122	46564132	-	0.000	0.000	Merged-chr4-46564109-30
NR2155--MA0599.1.KLF5	chr1	131910374	131910383	-	0.000	0.000	Merged-chr1-131910348-5
NR27047--MA0599.1.KLF5	chr17	8165501	8165510	-	0.000	0.000	Merged-chr17-8165441-73
NR59532--MA0493.1.Klf1	chr7	75416010	75416020	+	0.000	0.000	Merged-chr7-75416159-31
NR55482--MA0741.1.KLF16	chr6	113531549	113531559	+	0.000	0.000	Merged-chr6-113531499-49
NR39346--MA0493.1.Klf1	chr2	167775188	167775198	-	0.000	0.000	Merged-chr2-167775389-53
NR16153--MA0657.1.KLF13	chr13	4191108	4191125	-	0.000	0.000	Merged-chr13-4191269-39
NR46903--MA1107.1.KLF9	chr4	132775197	132775209	-	0.000	0.000	Merged-chr4-132775105-24
NR27190--MA0741.1.KLF16	chr17	12991758	12991768	-	0.000	0.000	Merged-chr17-12991698-4
NR11725--MA0740.1.KLF14	chr11	97187218	97187231	+	0.000	0.000	Merged-chr11-97187177-25
NR7245--MA1107.1.KLF9	chr10	86778895	86778907	+	0.000	0.000	Merged-chr10-86778945-85
NR19611--MA0039.3.KLF4	chr14	25535456	25535466	+	0.000	0.000	Merged-chr14-25535305-16
NR49819--MA1107.1.KLF9	chr5	74285473	74285485	+	0.000	0.000	Merged-chr5-74285542-15
NR55819--MA0741.1.KLF16	chr6	120112540	120112550	-	0.000	0.000	Merged-chr6-120112379-94
NR53337--MA1107.1.KLF9	chr5	151704138	151704150	+	0.000	0.000	Merged-chr5-151704265-4
NR40821--MA0493.1.Klf1	chr3	65958284	65958294	+	0.000	0.000	Merged-chr3-65958089-130
NR58778--MA0740.1.KLF14	chr7	38085241	38085254	-	0.000	0.000	Merged-chr7-38085350-130
NR15162--MA0039.3.KLF4	chr12	100986997	100987007	-	0.000	0.000	Merged-chr12-100986861-13
NR706--MA0599.1.KLF5	chr1	52630918	52630927	+	0.000	0.000	Merged-chr1-52631121-87
NR41338--MA0493.1.Klf1	chr3	89871072	89871082	+	0.000	0.000	Merged-chr3-89871193-44
NR19522--MA1107.1.KLF9	chr14	20023917	20023929	-	0.000	0.000	Merged-chr14-20024041-29
NR1408--MA0740.1.KLF14	chr1	85600613	85600626	-	0.000	0.000	Merged-chr1-85600680-106
NR31676--MA0740.1.KLF14	chr18	74224676	74224689	-	0.000	0.000	Merged-chr18-74224728-18
NR38836--MA0657.1.KLF13	chr2	158624840	158624857	+	0.000	0.000	Merged-chr2-158625094-66
NR49077--MA0599.1.KLF5	chr5	34514112	34514121	+	0.000	0.000	Merged-chr5-34513990-85
NR10945--MA0493.1.Klf1	chr11	78261552	78261562	+	0.000	0.000	Merged-chr11-78261664-62
NR38194--MA0599.1.KLF5	chr2	145903220	145903229	+	0.000	0.000	Merged-chr2-145903332-51
NR11072--MA0741.1.KLF16	chr11	80081018	80081028	+	0.000	0.000	Merged-chr11-80080950-54
NR15974--MA0599.1.KLF5	chr12	117075787	117075796	+	0.000	0.000	Merged-chr12-117075635-4
NR11909--MA1107.1.KLF9	chr11	98942402	98942414	-	0.000	0.000	Merged-chr11-98942196-71
NR58586--MA0599.1.KLF5	chr7	30650224	30650233	+	0.000	0.000	Merged-chr7-30650234-55
NR22488--MA0493.1.Klf1	chr15	43282856	43282866	-	0.000	0.000	Merged-chr15-43282649-75
NR64718--MA0742.1.Klf12	chr8	115728735	115728749	+	0.000	0.000	Merged-chr8-115728663-11
NR4460--MA0599.1.KLF5	chr1	189608920	189608929	-	0.000	0.000	Merged-chr1-189608778-45
NR9149--MA0742.1.Klf12	chr11	6528853	6528867	-	0.000	0.000	Merged-chr11-6528717-51
NR64145--MA0599.1.KLF5	chr8	94408586	94408595	+	0.000	0.000	Merged-chr8-94408756-20
NR47446--MA0740.1.KLF14	chr4	141099062	141099075	+	0.000	0.000	Merged-chr4-141099118-11
NR41925--MA0599.1.KLF5	chr3	102996015	102996024	-	0.000	0.000	Merged-chr3-102995869-67
NR11247--MA0493.1.Klf1	chr11	86484615	86484625	-	0.000	0.000	Merged-chr11-86484609-66
NR51149--MA0493.1.Klf1	chr5	115119380	115119390	+	0.000	0.000	Merged-chr5-115119310-50
NR55642--MA1107.1.KLF9	chr6	115774020	115774032	+	0.000	0.000	Merged-chr6-115774096-4
NR51774--MA0741.1.KLF16	chr5	130079346	130079356	+	0.000	0.000	Merged-chr5-130079464-63
NR38503--MA0599.1.KLF5	chr2	152293797	152293806	+	0.000	0.000	Merged-chr2-152293907-74
NR22389--MA1107.1.KLF9	chr15	38094972	38094984	+	0.000	0.000	Merged-chr15-38095035-21
NR27620--MA0599.1.KLF5	chr17	26508549	26508558	-	0.000	0.000	Merged-chr17-26508450-149
NR23466--MA0493.1.Klf1	chr15	80711053	80711063	-	0.000	0.000	Merged-chr15-80711165-82
NR1741--MA0741.1.KLF16	chr1	105663811	105663821	-	0.000	0.000	Merged-chr1-105663837-98
NR13871--MA0657.1.KLF13	chr12	33036350	33036367	+	0.000	0.000	Merged-chr12-33036196-25
NR6717--MA0740.1.KLF14	chr10	80330083	80330096	-	0.000	0.000	Merged-chr10-80329943-52
NR23171--MA0599.1.KLF5	chr15	76660214	76660223	-	0.000	0.000	Merged-chr15-76660069-59
NR57542--MA0741.1.KLF16	chr6	149375094	149375104	+	0.000	0.000	Merged-chr6-149375184-57
NR45819--MA0599.1.KLF5	chr4	102584699	102584708	+	0.000	0.000	Merged-chr4-102584866-14
NR66745--MA0493.1.Klf1	chr9	62368721	62368731	-	0.000	0.000	Merged-chr9-62368780-17
NR25551--MA1107.1.KLF9	chr16	38503701	38503713	-	0.000	0.000	Merged-chr16-38503705-28
NR52248--MA0740.1.KLF14	chr5	136449969	136449982	-	0.000	0.000	Merged-chr5-136449962-15
NR16923--MA0741.1.KLF16	chr13	49307667	49307677	+	0.000	0.000	Merged-chr13-49307635-74
NR37646--MA0599.1.KLF5	chr2	128403377	128403386	+	0.000	0.000	Merged-chr2-128403401-18
NR20103--MA0599.1.KLF5	chr14	52272899	52272908	+	0.000	0.000	Merged-chr14-52272946-13
NR58572--MA0493.1.Klf1	chr7	30321679	30321689	-	0.000	0.000	Merged-chr7-30321790-4
NR45943--MA1107.1.KLF9	chr4	107006402	107006414	-	0.000	0.000	Merged-chr4-107006366-21
NR12216--MA0493.1.Klf1	chr11	103351165	103351175	+	0.000	0.000	Merged-chr11-103350991-5
NR55657--MA0741.1.KLF16	chr6	115972919	115972929	-	0.000	0.000	Merged-chr6-115972922-11
NR37128--MA0741.1.KLF16	chr2	114566904	114566914	+	0.000	0.000	Merged-chr2-114567021-7
NR20309--MA0599.1.KLF5	chr14	56276273	56276282	-	0.000	0.000	Merged-chr14-56276156-29
NR28804--MA0599.1.KLF5	chr17	50025422	50025431	+	0.000	0.000	Merged-chr17-50025514-42
NR22394--MA0493.1.Klf1	chr15	38122405	38122415	+	0.000	0.000	Merged-chr15-38122272-49
NR66575--MA0741.1.KLF16	chr9	57563140	57563150	+	0.000	0.000	Merged-chr9-57563217-5
NR49650--MA0599.1.KLF5	chr5	67450383	67450392	+	0.000	0.000	Merged-chr5-67450291-36
NR659--MA0741.1.KLF16	chr1	51478436	51478446	+	0.000	0.000	Merged-chr1-51478318-72
NR15683--MA0741.1.KLF16	chr12	110857381	110857391	+	0.000	0.000	Merged-chr12-110857404-28
NR12069--MA0740.1.KLF14	chr11	101468089	101468102	+	0.000	0.000	Merged-chr11-101468029-46
NR38554--MA0741.1.KLF16	chr2	152915138	152915148	+	0.000	0.000	Merged-chr2-152915178-2
NR36654--MA0493.1.Klf1	chr2	92393030	92393040	-	0.000	0.000	Merged-chr2-92392954-19
NR64863--MA0740.1.KLF14	chr8	119756067	119756080	+	0.000	0.000	Merged-chr8-119755879-40
NR23610--MA0741.1.KLF16	chr15	83100172	83100182	-	0.000	0.000	Merged-chr15-83100216-49
NR12803--MA0599.1.KLF5	chr11	115708616	115708625	+	0.000	0.000	Merged-chr11-115708587-76
NR10389--MA0740.1.KLF14	chr11	68853134	68853147	-	0.000	0.000	Merged-chr11-68853077-70
NR39364--MA0493.1.Klf1	chr2	167962489	167962499	+	0.000	0.000	Merged-chr2-167962618-3
NR15513--MA0599.1.KLF5	chr12	108364042	108364051	+	0.000	0.000	Merged-chr12-108363951-19
NR5089--MA0599.1.KLF5	chr10	13474381	13474390	-	0.000	0.000	Merged-chr10-13474425-98
NR35219--MA1107.1.KLF9	chr2	31116148	31116160	+	0.000	0.000	Merged-chr2-31116198-66
NR7490--MA0741.1.KLF16	chr10	94035833	94035843	+	0.000	0.000	Merged-chr10-94035928-82
NR28213--MA0742.1.Klf12	chr17	35164943	35164957	+	0.000	0.000	Merged-chr17-35165046-91
NR33169--MA1107.1.KLF9	chr19	23273968	23273980	+	0.000	0.000	Merged-chr19-23273759-64
NR1396--MA0493.1.Klf1	chr1	85250744	85250754	-	0.000	0.000	Merged-chr1-85250842-29
NR56065--MA1107.1.KLF9	chr6	125191792	125191804	-	0.000	0.000	Merged-chr6-125191910-87
NR31478--MA0742.1.Klf12	chr18	67443945	67443959	-	0.000	0.000	Merged-chr18-67443843-22
NR64023--MA1107.1.KLF9	chr8	88771380	88771392	-	0.000	0.000	Merged-chr8-88771445-24
NR40083--MA0599.1.KLF5	chr3	10351386	10351395	-	0.000	0.000	Merged-chr3-10351318-69
NR49929--MA0657.1.KLF13	chr5	76951295	76951312	-	0.000	0.000	Merged-chr5-76951369-96
NR66641--MA0039.3.KLF4	chr9	59565755	59565765	-	0.000	0.000	Merged-chr9-59565831-20
NR14477--MA0740.1.KLF14	chr12	76085169	76085182	-	0.000	0.000	Merged-chr12-76085234-6
NR54558--MA0599.1.KLF5	chr6	72957842	72957851	-	0.000	0.000	Merged-chr6-72957924-4
NR63836--MA0741.1.KLF16	chr8	84249722	84249732	-	0.000	0.000	Merged-chr8-84249647-53
NR63861--MA0599.1.KLF5	chr8	84825804	84825813	-	0.000	0.000	Merged-chr8-84825845-44
NR32709--MA0741.1.KLF16	chr19	5964209	5964219	+	0.000	0.000	Merged-chr19-5964165-54
NR68746--MA0740.1.KLF14	chr9	114581809	114581822	+	0.000	0.000	Merged-chr9-114581631-11
NR14995--MA1107.1.KLF9	chr12	94083598	94083610	+	0.000	0.000	Merged-chr12-94083592-14
NR59103--MA0599.1.KLF5	chr7	48137407	48137416	+	0.000	0.000	Merged-chr7-48137318-1
NR11045--MA1107.1.KLF9	chr11	79653459	79653471	-	0.000	0.000	Merged-chr11-79653344-69
NR60250--MA1107.1.KLF9	chr7	101316824	101316836	-	0.000	0.000	Merged-chr7-101316916-14
NR8241--MA1107.1.KLF9	chr10	117918688	117918700	-	0.000	0.000	Merged-chr10-117918701-83
NR38140--MA0741.1.KLF16	chr2	144224475	144224485	+	0.000	0.000	Merged-chr2-144224483-67
NR35429--MA0039.3.KLF4	chr2	35299636	35299646	+	0.000	0.000	Merged-chr2-35299647-29
NR52159--MA0599.1.KLF5	chr5	135689002	135689011	-	0.000	0.000	Merged-chr5-135689128-71
NR28710--MA0599.1.KLF5	chr17	47683040	47683049	-	0.000	0.000	Merged-chr17-47682839-51
NR58166--MA0742.1.Klf12	chr7	24593837	24593851	+	0.000	0.000	Merged-chr7-24593848-34
NR28599--MA0741.1.KLF16	chr17	46248056	46248066	+	0.000	0.000	Merged-chr17-46248104-53
NR52283--MA1107.1.KLF9	chr5	137046172	137046184	+	0.000	0.000	Merged-chr5-137046129-67
NR17347--MA1107.1.KLF9	chr13	63340131	63340143	+	0.000	0.000	Merged-chr13-63340215-26
NR28015--MA1107.1.KLF9	chr17	31693550	31693562	-	0.000	0.000	Merged-chr17-31693537-59
NR31437--MA0740.1.KLF14	chr18	67212684	67212697	+	0.000	0.000	Merged-chr18-67212775-57
NR597--MA0039.3.KLF4	chr1	43070730	43070740	+	0.000	0.000	Merged-chr1-43070918-20
NR1410--MA0599.1.KLF5	chr1	85600616	85600625	-	0.000	0.000	Merged-chr1-85600680-106
NR44848--MA0741.1.KLF16	chr4	46635543	46635553	-	0.000	0.000	Merged-chr4-46635507-41
NR52950--MA1107.1.KLF9	chr5	146655614	146655626	-	0.000	0.000	Merged-chr5-146655552-37
NR4120--MA0599.1.KLF5	chr1	184573177	184573186	+	0.000	0.000	Merged-chr1-184573445-38
NR70061--MA1107.1.KLF9	chrX	101163432	101163444	-	0.000	0.000	Merged-chrX-101163696-15
NR60316--MA0741.1.KLF16	chr7	102210351	102210361	-	0.000	0.000	Merged-chr7-102210325-100
NR47239--MA0741.1.KLF16	chr4	137388216	137388226	-	0.000	0.000	Merged-chr4-137388421-76
NR34966--MA0657.1.KLF13	chr2	26640319	26640336	+	0.000	0.000	Merged-chr2-26640192-42
NR16578--MA0742.1.Klf12	chr13	33965761	33965775	+	0.000	0.000	Merged-chr13-33965707-3
NR42799--MA1107.1.KLF9	chr3	131157636	131157648	-	0.000	0.000	Merged-chr3-131157614-46
NR48870--MA0741.1.KLF16	chr5	24908833	24908843	+	0.000	0.000	Merged-chr5-24908670-93
NR35254--MA0740.1.KLF14	chr2	32288142	32288155	+	0.000	0.000	Merged-chr2-32288192-62
NR33618--MA0599.1.KLF5	chr19	41981424	41981433	-	0.000	0.000	Merged-chr19-41981286-107
NR17267--MA0741.1.KLF16	chr13	58359234	58359244	+	0.000	0.000	Merged-chr13-58359164-70
NR17352--MA0493.1.Klf1	chr13	63530400	63530410	-	0.000	0.000	Merged-chr13-63530431-8
NR45294--MA1107.1.KLF9	chr4	70601487	70601499	-	0.000	0.000	Merged-chr4-70601569-19
NR19608--MA0493.1.Klf1	chr14	25522583	25522593	+	0.000	0.000	Merged-chr14-25522595-18
NR35049--MA0740.1.KLF14	chr2	28533413	28533426	+	0.000	0.000	Merged-chr2-28533447-53
NR736--MA0740.1.KLF14	chr1	55052748	55052761	-	0.000	0.000	Merged-chr1-55052728-71
NR64133--MA0741.1.KLF16	chr8	94191427	94191437	-	0.000	0.000	Merged-chr8-94191444-39
NR12206--MA0657.1.KLF13	chr11	103117372	103117389	+	0.000	0.000	Merged-chr11-103117278-16
NR38708--MA1107.1.KLF9	chr2	155811963	155811975	+	0.000	0.000	Merged-chr2-155812086-49
NR19867--MA1107.1.KLF9	chr14	36953008	36953020	+	0.000	0.000	Merged-chr14-36952927-121
NR836--MA0599.1.KLF5	chr1	58973436	58973445	+	0.000	0.000	Merged-chr1-58973623-66
NR1502--MA0741.1.KLF16	chr1	88267860	88267870	+	0.000	0.000	Merged-chr1-88267879-42
NR3469--MA0599.1.KLF5	chr1	172197218	172197227	+	0.000	0.000	Merged-chr1-172197316-25
NR25660--MA0742.1.Klf12	chr16	48786426	48786440	-	0.000	0.000	Merged-chr16-48786510-43
NR9550--MA0741.1.KLF16	chr11	43426269	43426279	-	0.000	0.000	Merged-chr11-43426226-46
NR54106--MA0599.1.KLF5	chr6	50394125	50394134	-	0.000	0.000	Merged-chr6-50394261-50
NR26473--MA0740.1.KLF14	chr16	91688810	91688823	+	0.000	0.000	Merged-chr16-91688812-60
NR10995--MA0599.1.KLF5	chr11	78550740	78550749	+	0.000	0.000	Merged-chr11-78550738-54
NR32546--MA0599.1.KLF5	chr19	4283133	4283142	-	0.000	0.000	Merged-chr19-4283203-50
NR60536--MA0740.1.KLF14	chr7	109986338	109986351	+	0.000	0.000	Merged-chr7-109986340-83
NR49188--MA1107.1.KLF9	chr5	35819665	35819677	+	0.000	0.000	Merged-chr5-35819826-21
NR32818--MA0741.1.KLF16	chr19	7557438	7557448	-	0.000	0.000	Merged-chr19-7557578-39
NR40203--MA0741.1.KLF16	chr3	21991929	21991939	+	0.000	0.000	Merged-chr3-21992010-59
NR37636--MA1107.1.KLF9	chr2	128190328	128190340	-	0.000	0.000	Merged-chr2-128190126-44
NR12782--MA0741.1.KLF16	chr11	115367746	115367756	+	0.000	0.000	Merged-chr11-115367614-40
NR36592--MA0599.1.KLF5	chr2	90679336	90679345	+	0.000	0.000	Merged-chr2-90679344-61
NR14279--MA0742.1.Klf12	chr12	69361568	69361582	+	0.000	0.000	Merged-chr12-69361444-60
NR36304--MA0039.3.KLF4	chr2	75054043	75054053	+	0.000	0.000	Merged-chr2-75054199-1
NR6696--MA0741.1.KLF16	chr10	80172928	80172938	-	0.000	0.000	Merged-chr10-80173084-48
NR45948--MA0742.1.Klf12	chr4	107196648	107196662	+	0.000	0.000	Merged-chr4-107196669-22
NR56968--MA0740.1.KLF14	chr6	142884398	142884411	+	0.000	0.000	Merged-chr6-142884312-23
NR1503--MA1107.1.KLF9	chr1	88267857	88267869	+	0.000	0.000	Merged-chr1-88267879-42
NR34684--MA0741.1.KLF16	chr2	18028694	18028704	-	0.000	0.000	Merged-chr2-18028659-36
NR38614--MA1107.1.KLF9	chr2	153995799	153995811	-	0.000	0.000	Merged-chr2-153995887-24
NR27731--MA1107.1.KLF9	chr17	27820572	27820584	+	0.000	0.000	Merged-chr17-27820571-92
NR54044--MA0742.1.Klf12	chr6	48554900	48554914	+	0.000	0.000	Merged-chr6-48554837-61
NR13630--MA0742.1.Klf12	chr12	21480429	21480443	+	0.000	0.000	Merged-chr12-21480312-60
NR948--MA0599.1.KLF5	chr1	63130063	63130072	-	0.000	0.000	Merged-chr1-63130141-51
NR57962--MA0599.1.KLF5	chr7	19077928	19077937	+	0.000	0.000	Merged-chr7-19077981-36
NR21854--MA0039.3.KLF4	chr14	122187064	122187074	+	0.000	0.000	Merged-chr14-122187060-26
NR19425--MA0599.1.KLF5	chr14	12284200	12284209	+	0.000	0.000	Merged-chr14-12284486-97
NR2704--MA0740.1.KLF14	chr1	151501001	151501014	-	0.000	0.000	Merged-chr1-151500785-93
NR34165--MA1107.1.KLF9	chr19	57327965	57327977	-	0.000	0.000	Merged-chr19-57327761-18
NR28934--MA0599.1.KLF5	chr17	56163933	56163942	-	0.000	0.000	Merged-chr17-56163961-52
NR11730--MA1107.1.KLF9	chr11	97187218	97187230	+	0.000	0.000	Merged-chr11-97187177-25
NR53789--MA0039.3.KLF4	chr6	37046652	37046662	-	0.000	0.000	Merged-chr6-37046555-33
NR14101--MA0599.1.KLF5	chr12	54656337	54656346	+	0.000	0.000	Merged-chr12-54656460-63
NR61646--MA0741.1.KLF16	chr7	135598566	135598576	+	0.000	0.000	Merged-chr7-135598633-32
NR59308--MA1107.1.KLF9	chr7	64043090	64043102	-	0.000	0.000	Merged-chr7-64043125-48
NR58264--MA0599.1.KLF5	chr7	25297224	25297233	+	0.000	0.000	Merged-chr7-25297148-3
NR66222--MA0599.1.KLF5	chr9	44379434	44379443	-	0.000	0.000	Merged-chr9-44379436-63
NR51439--MA0741.1.KLF16	chr5	122233405	122233415	+	0.000	0.000	Merged-chr5-122233772-36
NR59680--MA0493.1.Klf1	chr7	80535204	80535214	+	0.000	0.000	Merged-chr7-80535254-6
NR809--MA0742.1.Klf12	chr1	58424068	58424082	-	0.000	0.000	Merged-chr1-58424071-3
NR61658--MA1107.1.KLF9	chr7	135669500	135669512	+	0.000	0.000	Merged-chr7-135669447-32
NR47309--MA0493.1.Klf1	chr4	138250262	138250272	-	0.000	0.000	Merged-chr4-138250390-66
NR14875--MA0493.1.Klf1	chr12	88472042	88472052	+	0.000	0.000	Merged-chr12-88472096-45
NR64705--MA0599.1.KLF5	chr8	115450842	115450851	-	0.000	0.000	Merged-chr8-115450993-14
NR45935--MA0493.1.Klf1	chr4	106804463	106804473	+	0.000	0.000	Merged-chr4-106804422-78
NR17370--MA0493.1.Klf1	chr13	64049710	64049720	-	0.000	0.000	Merged-chr13-64049732-3
NR67200--MA0599.1.KLF5	chr9	73176830	73176839	-	0.000	0.000	Merged-chr9-73176903-12
NR7179--MA0657.1.KLF13	chr10	84622332	84622349	+	0.000	0.000	Merged-chr10-84622424-60
NR45254--MA0741.1.KLF16	chr4	63544714	63544724	+	0.000	0.000	Merged-chr4-63544778-69
NR40041--MA0741.1.KLF16	chr3	8923859	8923869	+	0.000	0.000	Merged-chr3-8923725-59
NR22178--MA0741.1.KLF16	chr15	31222372	31222382	-	0.000	0.000	Merged-chr15-31222442-41
NR19546--MA0599.1.KLF5	chr14	20640847	20640856	+	0.000	0.000	Merged-chr14-20640824-81
NR24200--MA0742.1.Klf12	chr15	97790323	97790337	-	0.000	0.000	Merged-chr15-97790248-21
NR27843--MA1107.1.KLF9	chr17	28648728	28648740	+	0.000	0.000	Merged-chr17-28648765-16
NR28920--MA0493.1.Klf1	chr17	56036678	56036688	+	0.000	0.000	Merged-chr17-56036647-50
NR19331--MA0599.1.KLF5	chr13	119690244	119690253	+	0.000	0.000	Merged-chr13-119690439-73
NR431--MA0740.1.KLF14	chr1	37884551	37884564	+	0.000	0.000	Merged-chr1-37884608-6
NR12242--MA0039.3.KLF4	chr11	104310606	104310616	+	0.000	0.000	Merged-chr11-104310634-7
NR54124--MA0599.1.KLF5	chr6	50596971	50596980	+	0.000	0.000	Merged-chr6-50596805-84
NR53815--MA0740.1.KLF14	chr6	38345974	38345987	+	0.000	0.000	Merged-chr6-38346040-40
NR66413--MA0039.3.KLF4	chr9	50924517	50924527	-	0.000	0.000	Merged-chr9-50924601-13
NR36112--MA1107.1.KLF9	chr2	69802994	69803006	+	0.000	0.000	Merged-chr2-69803068-39
