#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed
NR1505--MA0742.1.Klf12	chr1	88474782	88474796	+	0.000	0.000	Merged-chr1-88475023-73
NR2296--MA0493.1.Klf1	chr1	134747728	134747738	+	0.000	0.000	Merged-chr1-134747834-30
NR32733--MA0741.1.KLF16	chr19	6236310	6236320	-	0.000	0.000	Merged-chr19-6236407-1
NR49674--MA1107.1.KLF9	chr5	71701053	71701065	+	0.000	0.000	Merged-chr5-71701009-20
NR46410--MA0599.1.KLF5	chr4	120288021	120288030	+	0.000	0.000	Merged-chr4-120287807-68
NR12048--MA0741.1.KLF16	chr11	101260559	101260569	-	0.000	0.000	Merged-chr11-101260585-35
NR29825--MA0599.1.KLF5	chr17	84056508	84056517	-	0.000	0.000	Merged-chr17-84056540-29
NR38791--MA1107.1.KLF9	chr2	158105824	158105836	-	0.000	0.000	Merged-chr2-158105775-9
NR12373--MA0657.1.KLF13	chr11	106536354	106536371	+	0.000	0.000	Merged-chr11-106536245-61
NR31373--MA0493.1.Klf1	chr18	65430912	65430922	+	0.000	0.000	Merged-chr18-65430843-87
NR8357--MA0741.1.KLF16	chr10	119218836	119218846	-	0.000	0.000	Merged-chr10-119218704-23
NR58844--MA0599.1.KLF5	chr7	44305030	44305039	-	0.000	0.000	Merged-chr7-44305170-86
NR26900--MA0599.1.KLF5	chr17	6279374	6279383	-	0.000	0.000	Merged-chr17-6279454-6
NR66317--MA0741.1.KLF16	chr9	47530145	47530155	+	0.000	0.000	Merged-chr9-47530154-53
NR25756--MA0740.1.KLF14	chr16	55974661	55974674	-	0.000	0.000	Merged-chr16-55974858-8
NR38658--MA0599.1.KLF5	chr2	155019371	155019380	+	0.000	0.000	Merged-chr2-155019489-63
NR42031--MA0039.3.KLF4	chr3	106032901	106032911	-	0.000	0.000	Merged-chr3-106032862-49
NR70320--MA0599.1.KLF5	chrX	150441195	150441204	+	0.000	0.000	Merged-chrX-150441082-51
NR50473--MA1107.1.KLF9	chr5	100846231	100846243	-	0.000	0.000	Merged-chr5-100846236-82
NR59010--MA0039.3.KLF4	chr7	45643819	45643829	-	0.000	0.000	Merged-chr7-45643762-54
NR4060--MA0741.1.KLF16	chr1	183345536	183345546	-	0.000	0.000	Merged-chr1-183345406-106
NR64742--MA1107.1.KLF9	chr8	116526266	116526278	+	0.000	0.000	Merged-chr8-116526092-12
NR847--MA0493.1.Klf1	chr1	59163173	59163183	+	0.000	0.000	Merged-chr1-59163188-37
NR56230--MA0599.1.KLF5	chr6	128286253	128286262	+	0.000	0.000	Merged-chr6-128286104-14
NR10607--MA0740.1.KLF14	chr11	72221462	72221475	-	0.000	0.000	Merged-chr11-72221533-32
NR37675--MA0493.1.Klf1	chr2	128878966	128878976	+	0.000	0.000	Merged-chr2-128879047-18
NR45768--MA0599.1.KLF5	chr4	101235225	101235234	+	0.000	0.000	Merged-chr4-101235092-24
NR34740--MA0039.3.KLF4	chr2	18920293	18920303	+	0.000	0.000	Merged-chr2-18920394-54
NR34750--MA0493.1.Klf1	chr2	19622141	19622151	-	0.000	0.000	Merged-chr2-19622223-29
NR48343--MA0493.1.Klf1	chr4	155563513	155563523	+	0.000	0.000	Merged-chr4-155563706-85
NR6866--MA0493.1.Klf1	chr10	80848766	80848776	+	0.000	0.000	Merged-chr10-80848752-35
NR39706--MA0039.3.KLF4	chr2	174533128	174533138	+	0.000	0.000	Merged-chr2-174532982-23
NR5235--MA0599.1.KLF5	chr10	21178989	21178998	-	0.000	0.000	Merged-chr10-21178728-78
NR54117--MA0493.1.Klf1	chr6	50553486	50553496	-	0.000	0.000	Merged-chr6-50553342-12
NR39716--MA0493.1.Klf1	chr2	174556036	174556046	-	0.000	0.000	Merged-chr2-174555978-36
NR31679--MA0657.1.KLF13	chr18	74294916	74294933	+	0.000	0.000	Merged-chr18-74294799-40
NR26138--MA0741.1.KLF16	chr16	77360455	77360465	-	0.000	0.000	Merged-chr16-77360376-19
NR47809--MA0599.1.KLF5	chr4	147809444	147809453	+	0.000	0.000	Merged-chr4-147809534-83
NR59146--MA0599.1.KLF5	chr7	49778328	49778337	+	0.000	0.000	Merged-chr7-49778462-70
NR8970--MA0599.1.KLF5	chr11	3289539	3289548	-	0.000	0.000	Merged-chr11-3289490-8
NR44099--MA0039.3.KLF4	chr4	6989700	6989710	+	0.000	0.000	Merged-chr4-6989689-11
NR33315--MA1107.1.KLF9	chr19	32186702	32186714	+	0.000	0.000	Merged-chr19-32186788-54
NR60406--MA0741.1.KLF16	chr7	105633047	105633057	+	0.000	0.000	Merged-chr7-105632857-1
NR7254--MA0742.1.Klf12	chr10	87025106	87025120	+	0.000	0.000	Merged-chr10-87025164-32
NR40912--MA0741.1.KLF16	chr3	68784303	68784313	-	0.000	0.000	Merged-chr3-68784168-43
NR32477--MA0599.1.KLF5	chr19	4000356	4000365	+	0.000	0.000	Merged-chr19-4000436-69
NR66298--MA0741.1.KLF16	chr9	46012803	46012813	+	0.000	0.000	Merged-chr9-46012745-59
NR33893--MA0493.1.Klf1	chr19	47908899	47908909	+	0.000	0.000	Merged-chr19-47908985-9
NR32262--MA0599.1.KLF5	chr18	84804499	84804508	-	0.000	0.000	Merged-chr18-84804572-27
NR19010--MA1107.1.KLF9	chr13	112792076	112792088	-	0.000	0.000	Merged-chr13-112792096-28
NR36593--MA0039.3.KLF4	chr2	90679337	90679347	+	0.000	0.000	Merged-chr2-90679344-61
NR58984--MA0742.1.Klf12	chr7	45434403	45434417	+	0.000	0.000	Merged-chr7-45434581-78
NR20227--MA0741.1.KLF16	chr14	54517536	54517546	-	0.000	0.000	Merged-chr14-54517551-43
NR33150--MA0657.1.KLF13	chr19	22915934	22915951	-	0.000	0.000	Merged-chr19-22916033-24
NR58113--MA0742.1.Klf12	chr7	24369922	24369936	-	0.000	0.000	Merged-chr7-24370030-56
NR66640--MA0742.1.Klf12	chr9	59565753	59565767	-	0.000	0.000	Merged-chr9-59565831-20
NR58779--MA0742.1.Klf12	chr7	38085240	38085254	-	0.000	0.000	Merged-chr7-38085350-130
NR33291--MA0742.1.Klf12	chr19	29805225	29805239	-	0.000	0.000	Merged-chr19-29805286-18
NR46737--MA0599.1.KLF5	chr4	129624407	129624416	+	0.000	0.000	Merged-chr4-129624518-66
NR6805--MA0741.1.KLF16	chr10	80590451	80590461	-	0.000	0.000	Merged-chr10-80590311-63
NR13331--MA0741.1.KLF16	chr12	4038887	4038897	+	0.000	0.000	Merged-chr12-4038819-48
NR49466--MA0741.1.KLF16	chr5	57714984	57714994	-	0.000	0.000	Merged-chr5-57715009-24
NR26866--MA0741.1.KLF16	chr17	3314330	3314340	-	0.000	0.000	Merged-chr17-3314377-47
NR12733--MA1107.1.KLF9	chr11	114813036	114813048	+	0.000	0.000	Merged-chr11-114812922-18
NR67248--MA0740.1.KLF14	chr9	75402270	75402283	+	0.000	0.000	Merged-chr9-75402101-74
NR4144--MA1107.1.KLF9	chr1	184732724	184732736	-	0.000	0.000	Merged-chr1-184732542-127
NR55345--MA1107.1.KLF9	chr6	108512317	108512329	-	0.000	0.000	Merged-chr6-108512233-21
NR65184--MA0599.1.KLF5	chr8	123236020	123236029	+	0.000	0.000	Merged-chr8-123236103-61
NR33240--MA0599.1.KLF5	chr19	29323610	29323619	-	0.000	0.000	Merged-chr19-29323777-46
NR1409--MA0742.1.Klf12	chr1	85600612	85600626	-	0.000	0.000	Merged-chr1-85600680-106
NR13054--MA0599.1.KLF5	chr11	118195005	118195014	-	0.000	0.000	Merged-chr11-118195058-2
NR35835--MA1107.1.KLF9	chr2	59167912	59167924	-	0.000	0.000	Merged-chr2-59168044-17
NR60658--MA0741.1.KLF16	chr7	112416199	112416209	-	0.000	0.000	Merged-chr7-112416223-20
NR17395--MA0493.1.Klf1	chr13	64161706	64161716	+	0.000	0.000	Merged-chr13-64161873-63
NR66590--MA0039.3.KLF4	chr9	57640631	57640641	-	0.000	0.000	Merged-chr9-57640554-51
NR37481--MA0740.1.KLF14	chr2	122369183	122369196	-	0.000	0.000	Merged-chr2-122369135-71
NR949--MA0039.3.KLF4	chr1	63130061	63130071	-	0.000	0.000	Merged-chr1-63130141-51
NR68311--MA0741.1.KLF16	chr9	106203108	106203118	-	0.000	0.000	Merged-chr9-106203255-66
NR9728--MA0742.1.Klf12	chr11	50422114	50422128	+	0.000	0.000	Merged-chr11-50422088-24
NR11680--MA0599.1.KLF5	chr11	96667148	96667157	+	0.000	0.000	Merged-chr11-96667069-36
NR36832--MA0599.1.KLF5	chr2	103485176	103485185	+	0.000	0.000	Merged-chr2-103485172-63
NR19018--MA0740.1.KLF14	chr13	112800677	112800690	+	0.000	0.000	Merged-chr13-112800923-90
NR27545--MA0740.1.KLF14	chr17	25474890	25474903	+	0.000	0.000	Merged-chr17-25474715-47
NR45506--MA0741.1.KLF16	chr4	88641323	88641333	-	0.000	0.000	Merged-chr4-88641244-84
NR7521--MA1107.1.KLF9	chr10	94864858	94864870	-	0.000	0.000	Merged-chr10-94864939-82
NR12157--MA0741.1.KLF16	chr11	102456198	102456208	+	0.000	0.000	Merged-chr11-102456095-36
NR11876--MA1107.1.KLF9	chr11	98747487	98747499	-	0.000	0.000	Merged-chr11-98747477-33
NR1644--MA0039.3.KLF4	chr1	93342849	93342859	+	0.000	0.000	Merged-chr1-93342797-4
NR22501--MA0742.1.Klf12	chr15	43870056	43870070	-	0.000	0.000	Merged-chr15-43869939-26
NR15534--MA0741.1.KLF16	chr12	108554916	108554926	+	0.000	0.000	Merged-chr12-108554926-29
NR44682--MA0493.1.Klf1	chr4	43875525	43875535	-	0.000	0.000	Merged-chr4-43875709-66
NR31397--MA0741.1.KLF16	chr18	65924899	65924909	-	0.000	0.000	Merged-chr18-65924997-33
NR56314--MA1107.1.KLF9	chr6	129518075	129518087	+	0.000	0.000	Merged-chr6-129518183-25
NR49433--MA0493.1.Klf1	chr5	53401299	53401309	+	0.000	0.000	Merged-chr5-53401251-38
NR17624--MA0599.1.KLF5	chr13	74462944	74462953	+	0.000	0.000	Merged-chr13-74462886-53
NR68748--MA1107.1.KLF9	chr9	114581809	114581821	+	0.000	0.000	Merged-chr9-114581631-11
NR28664--MA0742.1.Klf12	chr17	46880156	46880170	+	0.000	0.000	Merged-chr17-46880120-39
NR31534--MA0742.1.Klf12	chr18	68195221	68195235	-	0.000	0.000	Merged-chr18-68195286-23
NR51988--MA0039.3.KLF4	chr5	134507452	134507462	-	0.000	0.000	Merged-chr5-134507549-21
NR60212--MA0740.1.KLF14	chr7	100700067	100700080	-	0.000	0.000	Merged-chr7-100699955-31
NR53077--MA0599.1.KLF5	chr5	148372224	148372233	+	0.000	0.000	Merged-chr5-148372339-13
NR43914--MA1107.1.KLF9	chr3	154628466	154628478	+	0.000	0.000	Merged-chr3-154628476-23
NR58085--MA0741.1.KLF16	chr7	19822812	19822822	+	0.000	0.000	Merged-chr7-19822815-38
NR39067--MA0493.1.Klf1	chr2	163750236	163750246	+	0.000	0.000	Merged-chr2-163750187-67
NR41525--MA0599.1.KLF5	chr3	95223145	95223154	+	0.000	0.000	Merged-chr3-95223190-16
NR45758--MA0741.1.KLF16	chr4	101235173	101235183	+	0.000	0.000	Merged-chr4-101235092-24
NR15555--MA1107.1.KLF9	chr12	108835930	108835942	+	0.000	0.000	Merged-chr12-108835970-60
NR55560--MA0742.1.Klf12	chr6	114660203	114660217	+	0.000	0.000	Merged-chr6-114660280-61
NR2758--MA0599.1.KLF5	chr1	153320185	153320194	-	0.000	0.000	Merged-chr1-153320307-48
NR41190--MA0741.1.KLF16	chr3	87948270	87948280	-	0.000	0.000	Merged-chr3-87948447-14
NR24725--MA0599.1.KLF5	chr16	4077590	4077599	+	0.000	0.000	Merged-chr16-4077734-57
NR12377--MA0740.1.KLF14	chr11	106613054	106613067	-	0.000	0.000	Merged-chr11-106612974-112
NR38862--MA0741.1.KLF16	chr2	158768010	158768020	-	0.000	0.000	Merged-chr2-158768121-83
NR54125--MA0039.3.KLF4	chr6	50601871	50601881	-	0.000	0.000	Merged-chr6-50601872-31
NR5253--MA0599.1.KLF5	chr10	22058669	22058678	-	0.000	0.000	Merged-chr10-22058743-34
NR10231--MA1107.1.KLF9	chr11	62076874	62076886	-	0.000	0.000	Merged-chr11-62077068-25
NR7633--MA1107.1.KLF9	chr10	98776709	98776721	-	0.000	0.000	Merged-chr10-98776574-38
NR13147--MA1107.1.KLF9	chr11	119847356	119847368	-	0.000	0.000	Merged-chr11-119847373-20
NR9397--MA0740.1.KLF14	chr11	26387474	26387487	-	0.000	0.000	Merged-chr11-26387349-56
NR67318--MA1107.1.KLF9	chr9	77544928	77544940	-	0.000	0.000	Merged-chr9-77544648-151
NR57512--MA0493.1.Klf1	chr6	148896262	148896272	+	0.000	0.000	Merged-chr6-148896090-83
NR32680--MA0741.1.KLF16	chr19	5729706	5729716	-	0.000	0.000	Merged-chr19-5729609-19
NR551--MA1107.1.KLF9	chr1	40465685	40465697	-	0.000	0.000	Merged-chr1-40465740-44
NR26443--MA0493.1.Klf1	chr16	91447046	91447056	-	0.000	0.000	Merged-chr16-91447068-40
NR68420--MA0741.1.KLF16	chr9	107736186	107736196	-	0.000	0.000	Merged-chr9-107736226-36
NR18260--MA0039.3.KLF4	chr13	99431576	99431586	+	0.000	0.000	Merged-chr13-99431578-17
NR45344--MA0741.1.KLF16	chr4	82513340	82513350	-	0.000	0.000	Merged-chr4-82513258-36
NR32137--MA0599.1.KLF5	chr18	82855839	82855848	+	0.000	0.000	Merged-chr18-82855874-59
NR55617--MA0741.1.KLF16	chr6	115037872	115037882	+	0.000	0.000	Merged-chr6-115037733-55
NR4118--MA0493.1.Klf1	chr1	184441553	184441563	-	0.000	0.000	Merged-chr1-184441398-48
NR61156--MA0599.1.KLF5	chr7	125594031	125594040	+	0.000	0.000	Merged-chr7-125593922-57
NR53937--MA0741.1.KLF16	chr6	47621484	47621494	+	0.000	0.000	Merged-chr6-47621326-39
NR13287--MA0599.1.KLF5	chr11	121421331	121421340	+	0.000	0.000	Merged-chr11-121421434-59
NR45772--MA0493.1.Klf1	chr4	101235224	101235234	+	0.000	0.000	Merged-chr4-101235092-24
NR64855--MA0741.1.KLF16	chr8	119585965	119585975	-	0.000	0.000	Merged-chr8-119585972-66
NR66401--MA0742.1.Klf12	chr9	50856890	50856904	-	0.000	0.000	Merged-chr9-50856954-76
NR39099--MA0599.1.KLF5	chr2	164486514	164486523	+	0.000	0.000	Merged-chr2-164486529-34
NR18714--MA0599.1.KLF5	chr13	107872360	107872369	+	0.000	0.000	Merged-chr13-107872273-1
NR40869--MA0493.1.Klf1	chr3	67568450	67568460	+	0.000	0.000	Merged-chr3-67568401-35
NR16879--MA0599.1.KLF5	chr13	47043485	47043494	-	0.000	0.000	Merged-chr13-47043518-72
NR49231--MA1107.1.KLF9	chr5	36722602	36722614	+	0.000	0.000	Merged-chr5-36722614-37
NR39225--MA0741.1.KLF16	chr2	166617811	166617821	-	0.000	0.000	Merged-chr2-166617858-42
NR58401--MA0599.1.KLF5	chr7	27804933	27804942	-	0.000	0.000	Merged-chr7-27804809-45
NR5150--MA0599.1.KLF5	chr10	17948133	17948142	+	0.000	0.000	Merged-chr10-17948244-7
NR31438--MA0742.1.Klf12	chr18	67212684	67212698	+	0.000	0.000	Merged-chr18-67212775-57
NR37447--MA0493.1.Klf1	chr2	121866901	121866911	-	0.000	0.000	Merged-chr2-121866868-116
NR33445--MA1107.1.KLF9	chr19	37174843	37174855	-	0.000	0.000	Merged-chr19-37174871-73
NR27528--MA1107.1.KLF9	chr17	24896473	24896485	+	0.000	0.000	Merged-chr17-24896442-47
NR65174--MA1107.1.KLF9	chr8	123163081	123163093	+	0.000	0.000	Merged-chr8-123163099-40
NR65511--MA0599.1.KLF5	chr8	128562939	128562948	+	0.000	0.000	Merged-chr8-128563020-29
NR66251--MA0493.1.Klf1	chr9	44717177	44717187	-	0.000	0.000	Merged-chr9-44717151-19
NR66386--MA0599.1.KLF5	chr9	50537458	50537467	+	0.000	0.000	Merged-chr9-50537430-19
NR3972--MA1107.1.KLF9	chr1	182281314	182281326	+	0.000	0.000	Merged-chr1-182281416-23
NR25600--MA0599.1.KLF5	chr16	44140635	44140644	-	0.000	0.000	Merged-chr16-44140552-3
NR15500--MA0741.1.KLF16	chr12	108275432	108275442	+	0.000	0.000	Merged-chr12-108275445-64
NR7083--MA0493.1.Klf1	chr10	83161861	83161871	-	0.000	0.000	Merged-chr10-83161895-41
NR671--MA0742.1.Klf12	chr1	51577913	51577927	+	0.000	0.000	Merged-chr1-51577937-41
NR10238--MA0741.1.KLF16	chr11	62248946	62248956	+	0.000	0.000	Merged-chr11-62248917-36
NR41838--MA0493.1.Klf1	chr3	101224331	101224341	+	0.000	0.000	Merged-chr3-101224387-31
NR62889--MA0039.3.KLF4	chr8	46470934	46470944	-	0.000	0.000	Merged-chr8-46471112-117
NR21366--MA0599.1.KLF5	chr14	103477491	103477500	+	0.000	0.000	Merged-chr14-103477505-31
NR24076--MA0599.1.KLF5	chr15	94255266	94255275	+	0.000	0.000	Merged-chr15-94255177-46
NR13615--MA0741.1.KLF16	chr12	21316334	21316344	+	0.000	0.000	Merged-chr12-21316448-48
NR52426--MA0599.1.KLF5	chr5	139299446	139299455	+	0.000	0.000	Merged-chr5-139299297-63
NR39477--MA0741.1.KLF16	chr2	170205683	170205693	-	0.000	0.000	Merged-chr2-170205615-94
NR70212--MA0741.1.KLF16	chrX	134963376	134963386	+	0.000	0.000	Merged-chrX-134963484-45
NR26456--MA1107.1.KLF9	chr16	91476173	91476185	-	0.000	0.000	Merged-chr16-91475994-53
NR52349--MA0741.1.KLF16	chr5	137741616	137741626	-	0.000	0.000	Merged-chr5-137741418-73
NR1010--MA0599.1.KLF5	chr1	65179153	65179162	+	0.000	0.000	Merged-chr1-65178957-152
NR24533--MA0741.1.KLF16	chr15	101221685	101221695	-	0.000	0.000	Merged-chr15-101221814-20
NR7607--MA0493.1.Klf1	chr10	96871711	96871721	+	0.000	0.000	Merged-chr10-96871794-33
NR20579--MA0039.3.KLF4	chr14	64212982	64212992	-	0.000	0.000	Merged-chr14-64212873-33
NR68053--MA0741.1.KLF16	chr9	100460394	100460404	-	0.000	0.000	Merged-chr9-100460410-54
NR19778--MA0741.1.KLF16	chr14	32716954	32716964	+	0.000	0.000	Merged-chr14-32716978-71
NR22377--MA0741.1.KLF16	chr15	37437359	37437369	+	0.000	0.000	Merged-chr15-37437279-19
NR47845--MA0599.1.KLF5	chr4	148160215	148160224	+	0.000	0.000	Merged-chr4-148160107-67
NR4602--MA0599.1.KLF5	chr1	191955315	191955324	+	0.000	0.000	Merged-chr1-191955378-32
NR17161--MA0741.1.KLF16	chr13	55513436	55513446	+	0.000	0.000	Merged-chr13-55513377-73
NR29833--MA1107.1.KLF9	chr17	84116730	84116742	+	0.000	0.000	Merged-chr17-84116630-65
NR39409--MA0742.1.Klf12	chr2	168741429	168741443	+	0.000	0.000	Merged-chr2-168741453-11
NR18950--MA1107.1.KLF9	chr13	111796783	111796795	-	0.000	0.000	Merged-chr13-111796973-104
NR7651--MA1107.1.KLF9	chr10	98785673	98785685	+	0.000	0.000	Merged-chr10-98785565-23
NR37549--MA0039.3.KLF4	chr2	125673466	125673476	-	0.000	0.000	Merged-chr2-125673245-74
NR41222--MA0741.1.KLF16	chr3	88254446	88254456	+	0.000	0.000	Merged-chr3-88254557-24
NR6133--MA0741.1.KLF16	chr10	68445693	68445703	-	0.000	0.000	Merged-chr10-68445900-93
NR14162--MA0599.1.KLF5	chr12	55560443	55560452	+	0.000	0.000	Merged-chr12-55560358-27
NR31158--MA1107.1.KLF9	chr18	60560684	60560696	+	0.000	0.000	Merged-chr18-60560900-69
NR6525--MA0039.3.KLF4	chr10	78372833	78372843	+	0.000	0.000	Merged-chr10-78372862-56
NR57726--MA0039.3.KLF4	chr7	6383276	6383286	-	0.000	0.000	Merged-chr7-6383352-66
NR45776--MA1107.1.KLF9	chr4	101235218	101235230	+	0.000	0.000	Merged-chr4-101235092-24
NR26194--MA0741.1.KLF16	chr16	81200660	81200670	+	0.000	0.000	Merged-chr16-81200661-42
NR70193--MA0741.1.KLF16	chrX	134276771	134276781	+	0.000	0.000	Merged-chrX-134276833-55
NR4724--MA0741.1.KLF16	chr1	193363990	193364000	+	0.000	0.000	Merged-chr1-193363957-33
NR19252--MA1107.1.KLF9	chr13	117203229	117203241	-	0.000	0.000	Merged-chr13-117203167-67
NR68878--MA1107.1.KLF9	chr9	116243758	116243770	-	0.000	0.000	Merged-chr9-116243832-57
NR61174--MA0599.1.KLF5	chr7	126285671	126285680	-	0.000	0.000	Merged-chr7-126285441-83
NR2297--MA0741.1.KLF16	chr1	134747697	134747707	+	0.000	0.000	Merged-chr1-134747834-30
NR35890--MA0599.1.KLF5	chr2	60375320	60375329	-	0.000	0.000	Merged-chr2-60375404-17
NR63769--MA1107.1.KLF9	chr8	83724912	83724924	+	0.000	0.000	Merged-chr8-83724964-34
NR60257--MA0741.1.KLF16	chr7	101321070	101321080	-	0.000	0.000	Merged-chr7-101321217-65
NR37178--MA0741.1.KLF16	chr2	116893954	116893964	+	0.000	0.000	Merged-chr2-116894094-31
NR25908--MA1107.1.KLF9	chr16	64899393	64899405	+	0.000	0.000	Merged-chr16-64899292-19
NR4117--MA0039.3.KLF4	chr1	184441551	184441561	-	0.000	0.000	Merged-chr1-184441398-48
NR46415--MA0599.1.KLF5	chr4	120570295	120570304	-	0.000	0.000	Merged-chr4-120570179-83
NR35498--MA0741.1.KLF16	chr2	36230443	36230453	-	0.000	0.000	Merged-chr2-36230505-28
NR24925--MA0039.3.KLF4	chr16	13117461	13117471	+	0.000	0.000	Merged-chr16-13117438-27
NR66807--MA0599.1.KLF5	chr9	63740776	63740785	+	0.000	0.000	Merged-chr9-63740717-42
NR10237--MA0599.1.KLF5	chr11	62248946	62248955	+	0.000	0.000	Merged-chr11-62248917-36
NR33482--MA0599.1.KLF5	chr19	38298437	38298446	-	0.000	0.000	Merged-chr19-38298328-29
NR24717--MA0742.1.Klf12	chr16	3872304	3872318	+	0.000	0.000	Merged-chr16-3872425-54
NR36129--MA0493.1.Klf1	chr2	69917455	69917465	-	0.000	0.000	Merged-chr2-69917342-25
NR18938--MA0599.1.KLF5	chr13	111686531	111686540	-	0.000	0.000	Merged-chr13-111686630-116
NR14363--MA0493.1.Klf1	chr12	70913638	70913648	-	0.000	0.000	Merged-chr12-70913651-14
NR9813--MA1107.1.KLF9	chr11	52318594	52318606	+	0.000	0.000	Merged-chr11-52318681-44
NR15327--MA1107.1.KLF9	chr12	105027967	105027979	+	0.000	0.000	Merged-chr12-105027877-30
NR51475--MA0599.1.KLF5	chr5	122949456	122949465	+	0.000	0.000	Merged-chr5-122949287-47
NR46802--MA0741.1.KLF16	chr4	130878627	130878637	-	0.000	0.000	Merged-chr4-130878715-26
NR42713--MA0493.1.Klf1	chr3	129379342	129379352	-	0.000	0.000	Merged-chr3-129379277-30
NR44851--MA0741.1.KLF16	chr4	46641485	46641495	-	0.000	0.000	Merged-chr4-46641506-27
NR2315--MA0599.1.KLF5	chr1	135154608	135154617	+	0.000	0.000	Merged-chr1-135154581-28
NR66484--MA0493.1.Klf1	chr9	54586402	54586412	-	0.000	0.000	Merged-chr9-54586552-67
NR10003--MA1107.1.KLF9	chr11	57791206	57791218	+	0.000	0.000	Merged-chr11-57791276-17
NR52155--MA0740.1.KLF14	chr5	135688966	135688979	-	0.000	0.000	Merged-chr5-135689128-71
NR60682--MA0740.1.KLF14	chr7	112679301	112679314	+	0.000	0.000	Merged-chr7-112679423-49
NR47513--MA0741.1.KLF16	chr4	141793535	141793545	-	0.000	0.000	Merged-chr4-141793612-90
NR47037--MA0741.1.KLF16	chr4	134061721	134061731	+	0.000	0.000	Merged-chr4-134061948-77
NR24437--MA0741.1.KLF16	chr15	100304708	100304718	+	0.000	0.000	Merged-chr15-100304601-63
NR11839--MA0741.1.KLF16	chr11	98348343	98348353	+	0.000	0.000	Merged-chr11-98348383-15
NR22222--MA1107.1.KLF9	chr15	34046429	34046441	+	0.000	0.000	Merged-chr15-34046584-10
NR68130--MA0740.1.KLF14	chr9	102779722	102779735	+	0.000	0.000	Merged-chr9-102779765-25
NR11206--MA0599.1.KLF5	chr11	84513566	84513575	-	0.000	0.000	Merged-chr11-84513596-65
NR41856--MA0493.1.Klf1	chr3	101377061	101377071	-	0.000	0.000	Merged-chr3-101377096-48
NR27814--MA0741.1.KLF16	chr17	28488304	28488314	+	0.000	0.000	Merged-chr17-28488439-21
NR40901--MA0599.1.KLF5	chr3	68784315	68784324	-	0.000	0.000	Merged-chr3-68784168-43
NR17812--MA0741.1.KLF16	chr13	85289389	85289399	-	0.000	0.000	Merged-chr13-85289179-92
NR1458--MA0599.1.KLF5	chr1	87185105	87185114	-	0.000	0.000	Merged-chr1-87185093-29
NR60917--MA0742.1.Klf12	chr7	118995256	118995270	+	0.000	0.000	Merged-chr7-118995325-43
NR38461--MA0741.1.KLF16	chr2	151543660	151543670	-	0.000	0.000	Merged-chr2-151543630-14
NR66170--MA1107.1.KLF9	chr9	43242633	43242645	+	0.000	0.000	Merged-chr9-43242516-24
NR55369--MA0599.1.KLF5	chr6	108665782	108665791	+	0.000	0.000	Merged-chr6-108665749-34
NR43948--MA0741.1.KLF16	chr3	155093405	155093415	+	0.000	0.000	Merged-chr3-155093462-79
NR33372--MA0740.1.KLF14	chr19	34475187	34475200	+	0.000	0.000	Merged-chr19-34475070-71
NR65501--MA1107.1.KLF9	chr8	128421100	128421112	-	0.000	0.000	Merged-chr8-128420826-46
NR58079--MA0599.1.KLF5	chr7	19816471	19816480	-	0.000	0.000	Merged-chr7-19816339-50
NR58620--MA0493.1.Klf1	chr7	31033903	31033913	-	0.000	0.000	Merged-chr7-31034011-67
NR41997--MA0741.1.KLF16	chr3	105704896	105704906	+	0.000	0.000	Merged-chr3-105704887-86
NR29807--MA0493.1.Klf1	chr17	83862737	83862747	+	0.000	0.000	Merged-chr17-83862747-3
NR41694--MA0740.1.KLF14	chr3	97124353	97124366	-	0.000	0.000	Merged-chr3-97124449-32
NR35016--MA0742.1.Klf12	chr2	27442415	27442429	+	0.000	0.000	Merged-chr2-27442428-51
NR13310--MA0741.1.KLF16	chr12	3237179	3237189	+	0.000	0.000	Merged-chr12-3237307-1
NR28991--MA0742.1.Klf12	chr17	56757592	56757606	-	0.000	0.000	Merged-chr17-56757477-9
NR11765--MA0493.1.Klf1	chr11	97719142	97719152	-	0.000	0.000	Merged-chr11-97719070-35
NR38899--MA1107.1.KLF9	chr2	160367185	160367197	-	0.000	0.000	Merged-chr2-160367322-62
NR58531--MA0599.1.KLF5	chr7	29307965	29307974	+	0.000	0.000	Merged-chr7-29307894-31
NR41658--MA0742.1.Klf12	chr3	96670273	96670287	-	0.000	0.000	Merged-chr3-96670226-48
NR12729--MA1107.1.KLF9	chr11	114813028	114813040	+	0.000	0.000	Merged-chr11-114812922-18
NR9809--MA0740.1.KLF14	chr11	52318594	52318607	+	0.000	0.000	Merged-chr11-52318681-44
NR65276--MA0740.1.KLF14	chr8	124793448	124793461	-	0.000	0.000	Merged-chr8-124793304-30
NR57077--MA0039.3.KLF4	chr6	144332302	144332312	-	0.000	0.000	Merged-chr6-144332292-25
