#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Prdm1/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.dn.bed
NR1000--MA0508.2.PRDM1	chr15	96345068	96345077	-	0.000	0.000	Merged-chr15-96345150-30
NR1937--MA0508.2.PRDM1	chr4	86722002	86722011	-	0.000	0.000	Merged-chr4-86721990-52
NR1318--MA0508.2.PRDM1	chr18	84951560	84951569	+	0.000	0.000	Merged-chr18-84951669-87
NR1299--MA0508.2.PRDM1	chr18	64931242	64931251	-	0.000	0.000	Merged-chr18-64931407-12
NR994--MA0508.2.PRDM1	chr15	86228297	86228306	-	0.000	0.000	Merged-chr15-86228439-16
NR1536--MA0508.2.PRDM1	chr2	118200040	118200049	+	0.000	0.000	Merged-chr2-118200163-35
NR1169--MA0508.2.PRDM1	chr17	48316139	48316148	+	0.000	0.000	Merged-chr17-48316195-8
NR612--MA0508.2.PRDM1	chr13	14063585	14063594	+	0.000	0.000	Merged-chr13-14063519-130
NR1897--MA0508.2.PRDM1	chr4	59278647	59278656	-	0.000	0.000	Merged-chr4-59278599-46
NR58--MA0508.2.PRDM1	chr1	53909310	53909319	-	0.000	0.000	Merged-chr1-53909307-13
NR1406--MA0508.2.PRDM1	chr2	29622699	29622708	+	0.000	0.000	Merged-chr2-29622559-44
NR24--MA0508.2.PRDM1	chr1	20912552	20912561	-	0.000	0.000	Merged-chr1-20912686-65
NR211--MA0508.2.PRDM1	chr1	189703530	189703539	-	0.000	0.000	Merged-chr1-189703506-56
NR1496--MA0508.2.PRDM1	chr2	90890289	90890298	+	0.000	0.000	Merged-chr2-90890259-1
NR843--MA0508.2.PRDM1	chr14	59341474	59341483	-	0.000	0.000	Merged-chr14-59341391-54
NR333--MA0508.2.PRDM1	chr10	84070520	84070529	-	0.000	0.000	Merged-chr10-84070351-2
NR1889--MA0508.2.PRDM1	chr4	56005724	56005733	-	0.000	0.000	Merged-chr4-56005821-2
NR585--MA0508.2.PRDM1	chr13	3611094	3611103	-	0.000	0.000	Merged-chr13-3611189-5
NR171--MA0508.2.PRDM1	chr1	158177299	158177308	-	0.000	0.000	Merged-chr1-158177392-1
NR965--MA0508.2.PRDM1	chr15	50694151	50694160	+	0.000	0.000	Merged-chr15-50694314-20
NR280--MA0508.2.PRDM1	chr10	44003891	44003900	+	0.000	0.000	Merged-chr10-44003826-80
NR1507--MA0508.2.PRDM1	chr2	105021926	105021935	-	0.000	0.000	Merged-chr2-105022109-54
NR2391--MA0508.2.PRDM1	chr7	30321742	30321751	-	0.000	0.000	Merged-chr7-30321790-4
NR869--MA0508.2.PRDM1	chr14	87066619	87066628	-	0.000	0.000	Merged-chr14-87066806-16
NR1488--MA0508.2.PRDM1	chr2	84660553	84660562	-	0.000	0.000	Merged-chr2-84660480-32
NR2423--MA0508.2.PRDM1	chr7	70628277	70628286	+	0.000	0.000	Merged-chr7-70628191-1
NR2532--MA0508.2.PRDM1	chr8	61283285	61283294	-	0.000	0.000	Merged-chr8-61283229-50
NR739--MA0508.2.PRDM1	chr13	105266985	105266994	+	0.000	0.000	Merged-chr13-105266881-21
NR1358--MA0508.2.PRDM1	chr19	41911927	41911936	-	0.000	0.000	Merged-chr19-41912030-67
NR801--MA0508.2.PRDM1	chr14	16432970	16432979	+	0.000	0.000	Merged-chr14-16432942-30
NR848--MA0508.2.PRDM1	chr14	64688869	64688878	+	0.000	0.000	Merged-chr14-64688922-18
NR891--MA0508.2.PRDM1	chr14	103719037	103719046	+	0.000	0.000	Merged-chr14-103719095-60
NR543--MA0508.2.PRDM1	chr12	79634010	79634019	+	0.000	0.000	Merged-chr12-79634130-2
NR814--MA0508.2.PRDM1	chr14	32201971	32201980	-	0.000	0.000	Merged-chr14-32201951-64
NR795--MA0508.2.PRDM1	chr14	11997994	11998003	-	0.000	0.000	Merged-chr14-11997983-1
NR2492--MA0508.2.PRDM1	chr8	14997065	14997074	-	0.000	0.000	Merged-chr8-14996995-10
NR1079--MA0508.2.PRDM1	chr16	64824652	64824661	+	0.000	0.000	Merged-chr16-64824762-36
NR1459--MA0508.2.PRDM1	chr2	65182903	65182912	+	0.000	0.000	Merged-chr2-65182800-62
NR426--MA0508.2.PRDM1	chr11	44540297	44540306	-	0.000	0.000	Merged-chr11-44540371-5
NR1297--MA0508.2.PRDM1	chr18	61638217	61638226	+	0.000	0.000	Merged-chr18-61638222-61
NR806--MA0508.2.PRDM1	chr14	21032266	21032275	+	0.000	0.000	Merged-chr14-21032326-46
NR2503--MA0508.2.PRDM1	chr8	25132731	25132740	+	0.000	0.000	Merged-chr8-25132757-32
NR439--MA0508.2.PRDM1	chr11	78328290	78328299	-	0.000	0.000	Merged-chr11-78328473-53
NR2612--MA0508.2.PRDM1	chr9	30423285	30423294	+	0.000	0.000	Merged-chr9-30423278-2
NR548--MA0508.2.PRDM1	chr12	86879814	86879823	+	0.000	0.000	Merged-chr12-86879844-2
NR2734--MA0508.2.PRDM1	chrX	159626349	159626358	-	0.000	0.000	Merged-chrX-159626513-14
NR875--MA0508.2.PRDM1	chr14	89826978	89826987	+	0.000	0.000	Merged-chr14-89826834-10
NR2320--MA0508.2.PRDM1	chr6	125131892	125131901	+	0.000	0.000	Merged-chr6-125131800-57
NR2224--MA0508.2.PRDM1	chr6	33249105	33249114	+	0.000	0.000	Merged-chr6-33249191-56
NR126--MA0508.2.PRDM1	chr1	128103200	128103209	-	0.000	0.000	Merged-chr1-128103135-101
NR2713--MA0508.2.PRDM1	chrX	77509282	77509291	+	0.000	0.000	Merged-chrX-77509424-59
NR378--MA0508.2.PRDM1	chr10	111156973	111156982	-	0.000	0.000	Merged-chr10-111156928-138
NR487--MA0508.2.PRDM1	chr12	28699887	28699896	+	0.000	0.000	Merged-chr12-28699931-23
NR758--MA0508.2.PRDM1	chr13	110564221	110564230	+	0.000	0.000	Merged-chr13-110564159-46
NR2726--MA0508.2.PRDM1	chrX	134566758	134566767	+	0.000	0.000	Merged-chrX-134566845-16
NR248--MA0508.2.PRDM1	chr10	19168063	19168072	+	0.000	0.000	Merged-chr10-19167953-53
NR105--MA0508.2.PRDM1	chr1	98589842	98589851	+	0.000	0.000	Merged-chr1-98589738-39
NR2272--MA0508.2.PRDM1	chr6	82921955	82921964	-	0.000	0.000	Merged-chr6-82922037-57
NR2718--MA0508.2.PRDM1	chrX	102464157	102464166	+	0.000	0.000	Merged-chrX-102464174-20
NR859--MA0508.2.PRDM1	chr14	79180670	79180679	-	0.000	0.000	Merged-chr14-79180563-9
NR174--MA0508.2.PRDM1	chr1	159953686	159953695	-	0.000	0.000	Merged-chr1-159953685-19
NR1811--MA0508.2.PRDM1	chr3	152193887	152193896	+	0.000	0.000	Merged-chr3-152193769-51
NR187--MA0508.2.PRDM1	chr1	173420451	173420460	+	0.000	0.000	Merged-chr1-173420566-40
NR458--MA0508.2.PRDM1	chr11	111792091	111792100	+	0.000	0.000	Merged-chr11-111792002-31
NR2678--MA0508.2.PRDM1	chr9	101099660	101099669	+	0.000	0.000	Merged-chr9-101099532-8
NR2373--MA0508.2.PRDM1	chr7	6343580	6343589	+	0.000	0.000	Merged-chr7-6343741-28
NR166--MA0508.2.PRDM1	chr1	154786475	154786484	+	0.000	0.000	Merged-chr1-154786384-57
NR2277--MA0508.2.PRDM1	chr6	87887792	87887801	+	0.000	0.000	Merged-chr6-87887908-55
NR275--MA0508.2.PRDM1	chr10	40476411	40476420	-	0.000	0.000	Merged-chr10-40476553-4
NR798--MA0508.2.PRDM1	chr14	14716269	14716278	-	0.000	0.000	Merged-chr14-14716073-16
NR1893--MA0508.2.PRDM1	chr4	57813604	57813613	-	0.000	0.000	Merged-chr4-57813680-42
NR2365--MA0508.2.PRDM1	chr6	145285860	145285869	+	0.000	0.000	Merged-chr6-145285757-35
NR2636--MA0508.2.PRDM1	chr9	77806872	77806881	+	0.000	0.000	Merged-chr9-77806830-39
NR2126--MA0508.2.PRDM1	chr5	85781414	85781423	+	0.000	0.000	Merged-chr5-85781215-4
NR538--MA0508.2.PRDM1	chr12	76752972	76752981	+	0.000	0.000	Merged-chr12-76753055-50
NR1938--MA0508.2.PRDM1	chr4	86748582	86748591	-	0.000	0.000	Merged-chr4-86748710-108
NR2506--MA0508.2.PRDM1	chr8	26622236	26622245	-	0.000	0.000	Merged-chr8-26622131-10
NR2073--MA0508.2.PRDM1	chr5	36996853	36996862	-	0.000	0.000	Merged-chr5-36996710-15
NR2519--MA0508.2.PRDM1	chr8	46030337	46030346	-	0.000	0.000	Merged-chr8-46030343-32
NR1232--MA0508.2.PRDM1	chr18	11883434	11883443	-	0.000	0.000	Merged-chr18-11883419-27
NR1898--MA0508.2.PRDM1	chr4	59331212	59331221	+	0.000	0.000	Merged-chr4-59331068-10
NR1612--MA0508.2.PRDM1	chr3	8718383	8718392	+	0.000	0.000	Merged-chr3-8718167-60
NR259--MA0508.2.PRDM1	chr10	25387422	25387431	+	0.000	0.000	Merged-chr10-25387454-21
NR2099--MA0508.2.PRDM1	chr5	53213783	53213792	+	0.000	0.000	Merged-chr5-53213963-3
NR1973--MA0508.2.PRDM1	chr4	128728608	128728617	-	0.000	0.000	Merged-chr4-128728655-13
NR1102--MA0508.2.PRDM1	chr16	84982725	84982734	+	0.000	0.000	Merged-chr16-84982791-18
NR940--MA0508.2.PRDM1	chr15	30458924	30458933	-	0.000	0.000	Merged-chr15-30458920-2
NR1192--MA0508.2.PRDM1	chr17	69401401	69401410	-	0.000	0.000	Merged-chr17-69401476-24
NR2174--MA0508.2.PRDM1	chr5	139368037	139368046	+	0.000	0.000	Merged-chr5-139368071-16
NR81--MA0508.2.PRDM1	chr1	76754996	76755005	+	0.000	0.000	Merged-chr1-76755045-2
NR2349--MA0508.2.PRDM1	chr6	140308248	140308257	+	0.000	0.000	Merged-chr6-140308190-9
NR1508--MA0508.2.PRDM1	chr2	106003263	106003272	+	0.000	0.000	Merged-chr2-106003306-49
NR60--MA0508.2.PRDM1	chr1	55088169	55088178	-	0.000	0.000	Merged-chr1-55087990-104
NR1726--MA0508.2.PRDM1	chr3	103466067	103466076	-	0.000	0.000	Merged-chr3-103466121-19
NR1564--MA0508.2.PRDM1	chr2	145233990	145233999	+	0.000	0.000	Merged-chr2-145234039-59
NR802--MA0508.2.PRDM1	chr14	16434335	16434344	-	0.000	0.000	Merged-chr14-16434532-15
NR640--MA0508.2.PRDM1	chr13	34163153	34163162	+	0.000	0.000	Merged-chr13-34163217-77
NR1577--MA0508.2.PRDM1	chr2	153632750	153632759	+	0.000	0.000	Merged-chr2-153632630-73
NR1163--MA0508.2.PRDM1	chr17	42887544	42887553	-	0.000	0.000	Merged-chr17-42887503-23
NR52--MA0508.2.PRDM1	chr1	51155454	51155463	+	0.000	0.000	Merged-chr1-51155443-2
NR1338--MA0508.2.PRDM1	chr19	6980057	6980066	+	0.000	0.000	Merged-chr19-6980205-101
NR1447--MA0508.2.PRDM1	chr2	55068870	55068879	+	0.000	0.000	Merged-chr2-55068760-4
NR2158--MA0508.2.PRDM1	chr5	107546186	107546195	+	0.000	0.000	Merged-chr5-107546120-23
NR1033--MA0508.2.PRDM1	chr16	21836808	21836817	+	0.000	0.000	Merged-chr16-21836791-13
NR1142--MA0508.2.PRDM1	chr17	21469216	21469225	+	0.000	0.000	Merged-chr17-21469407-5
NR1665--MA0508.2.PRDM1	chr3	51553251	51553260	-	0.000	0.000	Merged-chr3-51553157-56
NR470--MA0508.2.PRDM1	chr12	8842630	8842639	-	0.000	0.000	Merged-chr12-8842561-54
NR993--MA0508.2.PRDM1	chr15	80722058	80722067	-	0.000	0.000	Merged-chr15-80722026-5
NR1264--MA0508.2.PRDM1	chr18	38592492	38592501	-	0.000	0.000	Merged-chr18-38592462-9
NR1121--MA0508.2.PRDM1	chr17	5060978	5060987	-	0.000	0.000	Merged-chr17-5060798-16
NR1373--MA0508.2.PRDM1	chr2	6220491	6220500	-	0.000	0.000	Merged-chr2-6220387-36
NR720--MA0508.2.PRDM1	chr13	92671879	92671888	-	0.000	0.000	Merged-chr13-92671922-24
NR1405--MA0508.2.PRDM1	chr2	27540337	27540346	-	0.000	0.000	Merged-chr2-27540208-76
NR23--MA0508.2.PRDM1	chr1	20820395	20820404	+	0.000	0.000	Merged-chr1-20820206-62
NR462--MA0508.2.PRDM1	chr11	118348902	118348911	+	0.000	0.000	Merged-chr11-118348908-46
NR1081--MA0508.2.PRDM1	chr16	65135976	65135985	+	0.000	0.000	Merged-chr16-65135972-1
NR1875--MA0508.2.PRDM1	chr4	41064283	41064292	+	0.000	0.000	Merged-chr4-41064306-11
NR2430--MA0508.2.PRDM1	chr7	80232607	80232616	+	0.000	0.000	Merged-chr7-80232686-63
NR2701--MA0508.2.PRDM1	chrX	12151831	12151840	+	0.000	0.000	Merged-chrX-12151801-24
NR571--MA0508.2.PRDM1	chr12	99773766	99773775	+	0.000	0.000	Merged-chr12-99773885-16
NR1745--MA0508.2.PRDM1	chr3	121105080	121105089	-	0.000	0.000	Merged-chr3-121105161-35
NR1269--MA0508.2.PRDM1	chr18	41861277	41861286	-	0.000	0.000	Merged-chr18-41861355-68
