#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Bcl6/Bcl6KO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed
NR568--MA0731.1.BCL6B	chr14	61971215	61971231	-	0.000	0.000	Merged-chr14-61971047-1
NR935--MA0463.1.Bcl6	chr2	32772174	32772187	+	0.000	0.000	Merged-chr2-32771998-3
NR786--MA0731.1.BCL6B	chr17	52461996	52462012	+	0.000	0.000	Merged-chr17-52461953-32
NR1066--MA0463.1.Bcl6	chr2	174675934	174675947	+	0.000	0.000	Merged-chr2-174675833-26
NR895--MA0731.1.BCL6B	chr19	53421457	53421473	-	0.000	0.000	Merged-chr19-53421333-52
NR707--MA0463.1.Bcl6	chr16	57176300	57176313	+	0.000	0.000	Merged-chr16-57176339-30
NR481--MA0731.1.BCL6B	chr13	42095825	42095841	+	0.000	0.000	Merged-chr13-42095999-70
NR590--MA0731.1.BCL6B	chr14	103550684	103550700	+	0.000	0.000	Merged-chr14-103550672-31
NR725--MA0463.1.Bcl6	chr16	89938329	89938342	-	0.000	0.000	Merged-chr16-89938532-48
NR1626--MA0463.1.Bcl6	chr7	130800943	130800956	+	0.000	0.000	Merged-chr7-130801003-64
NR640--MA0463.1.Bcl6	chr15	75941004	75941017	+	0.000	0.000	Merged-chr15-75941045-45
NR255--MA0731.1.BCL6B	chr10	117665899	117665915	+	0.000	0.000	Merged-chr10-117665862-11
NR967--MA0463.1.Bcl6	chr2	73056295	73056308	-	0.000	0.000	Merged-chr2-73056449-10
NR1662--MA0463.1.Bcl6	chr8	53630856	53630869	-	0.000	0.000	Merged-chr8-53630787-29
NR891--MA0463.1.Bcl6	chr19	45649977	45649990	-	0.000	0.000	Merged-chr19-45650085-7
NR582--MA0731.1.BCL6B	chr14	79394637	79394653	+	0.000	0.000	Merged-chr14-79394771-21
NR1267--MA0731.1.BCL6B	chr4	128884559	128884575	+	0.000	0.000	Merged-chr4-128884596-1
NR645--MA0463.1.Bcl6	chr15	83526963	83526976	+	0.000	0.000	Merged-chr15-83526907-65
NR663--MA0463.1.Bcl6	chr16	10774795	10774808	-	0.000	0.000	Merged-chr16-10774943-5
NR417--MA0463.1.Bcl6	chr12	86687071	86687084	-	0.000	0.000	Merged-chr12-86687051-28
NR723--MA0731.1.BCL6B	chr16	87354483	87354499	+	0.000	0.000	Merged-chr16-87354313-51
NR1215--MA0463.1.Bcl6	chr4	55442510	55442523	+	0.000	0.000	Merged-chr4-55442539-69
NR356--MA0731.1.BCL6B	chr11	104639122	104639138	+	0.000	0.000	Merged-chr11-104639154-13
NR1007--MA0731.1.BCL6B	chr2	130578277	130578293	+	0.000	0.000	Merged-chr2-130578052-52
NR677--MA0463.1.Bcl6	chr16	22548239	22548252	-	0.000	0.000	Merged-chr16-22548400-52
NR87--MA0463.1.Bcl6	chr1	155050360	155050373	-	0.000	0.000	Merged-chr1-155050378-11
NR798--MA0463.1.Bcl6	chr17	79100012	79100025	-	0.000	0.000	Merged-chr17-79100085-51
NR587--MA0731.1.BCL6B	chr14	103033507	103033523	+	0.000	0.000	Merged-chr14-103033598-47
NR337--MA0463.1.Bcl6	chr11	89024322	89024335	-	0.000	0.000	Merged-chr11-89024298-29
NR715--MA0731.1.BCL6B	chr16	75894458	75894474	+	0.000	0.000	Merged-chr16-75894553-32
NR696--MA0731.1.BCL6B	chr16	49164667	49164683	-	0.000	0.000	Merged-chr16-49164589-42
NR467--MA0463.1.Bcl6	chr13	23757203	23757216	+	0.000	0.000	Merged-chr13-23757090-56
NR1153--MA0463.1.Bcl6	chr3	131250572	131250585	+	0.000	0.000	Merged-chr3-131250529-24
NR566--MA0731.1.BCL6B	chr14	57910503	57910519	-	0.000	0.000	Merged-chr14-57910674-41
NR218--MA0731.1.BCL6B	chr10	80855154	80855170	+	0.000	0.000	Merged-chr10-80855252-46
NR1028--MA0463.1.Bcl6	chr2	144240369	144240382	-	0.000	0.000	Merged-chr2-144240355-14
NR924--MA0463.1.Bcl6	chr2	24748162	24748175	-	0.000	0.000	Merged-chr2-24748146-35
NR1843--MA0463.1.Bcl6	chrX	151521073	151521086	-	0.000	0.000	Merged-chrX-151521261-1
NR178--MA0731.1.BCL6B	chr10	24482509	24482525	-	0.000	0.000	Merged-chr10-24482390-32
NR602--MA0463.1.Bcl6	chr14	121000901	121000914	+	0.000	0.000	Merged-chr14-121000827-24
NR1709--MA0463.1.Bcl6	chr8	117673711	117673724	-	0.000	0.000	Merged-chr8-117673653-52
NR714--MA0463.1.Bcl6	chr16	75894458	75894471	-	0.000	0.000	Merged-chr16-75894553-32
NR1400--MA0463.1.Bcl6	chr5	144294987	144295000	+	0.000	0.000	Merged-chr5-144295152-24
NR396--MA0731.1.BCL6B	chr12	69386836	69386852	+	0.000	0.000	Merged-chr12-69386789-3
NR1302--MA0463.1.Bcl6	chr4	149698122	149698135	+	0.000	0.000	Merged-chr4-149697962-1
NR522--MA0463.1.Bcl6	chr13	107831371	107831384	+	0.000	0.000	Merged-chr13-107831387-49
NR1423--MA0463.1.Bcl6	chr6	28583635	28583648	+	0.000	0.000	Merged-chr6-28583541-9
NR979--MA0463.1.Bcl6	chr2	93199062	93199075	+	0.000	0.000	Merged-chr2-93199242-68
NR1754--MA0731.1.BCL6B	chr9	67813929	67813945	-	0.000	0.000	Merged-chr9-67813867-45
NR2--MA0463.1.Bcl6	chr1	21166422	21166435	+	0.000	0.000	Merged-chr1-21166464-30
NR115--MA0731.1.BCL6B	chr1	171114077	171114093	+	0.000	0.000	Merged-chr1-171114011-38
NR1567--MA0463.1.Bcl6	chr7	64141777	64141790	+	0.000	0.000	Merged-chr7-64141555-53
NR1223--MA0731.1.BCL6B	chr4	62757023	62757039	+	0.000	0.000	Merged-chr4-62756958-63
NR1688--MA0463.1.Bcl6	chr8	94330997	94331010	-	0.000	0.000	Merged-chr8-94330995-25
NR1800--MA0463.1.Bcl6	chr9	115710146	115710159	-	0.000	0.000	Merged-chr9-115710325-23
NR1245--MA0463.1.Bcl6	chr4	115102019	115102032	+	0.000	0.000	Merged-chr4-115101833-38
NR492--MA0463.1.Bcl6	chr13	67844440	67844453	-	0.000	0.000	Merged-chr13-67844387-42
NR910--MA0731.1.BCL6B	chr2	6557995	6558011	-	0.000	0.000	Merged-chr2-6557927-26
