#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.dn.bed
NR11713--MA0495.2.MAFF	chr7	16314087	16314107	-	0.000	0.000	Merged-chr7-16314036-50
NR11229--MA0496.2.MAFK	chr6	94623148	94623166	+	0.000	0.000	Merged-chr6-94623201-16
NR13155--MA0089.1.MAFG::NFE2L1	chr9	56118655	56118660	+	0.000	0.000	Merged-chr9-56118638-19
NR1671--MA0591.1.Bach1::Mafk	chr10	80249144	80249158	-	0.000	0.000	Merged-chr10-80249310-65
NR11132--MA0501.1.MAF::NFE2	chr6	71125156	71125170	+	0.000	0.000	Merged-chr6-71125305-30
NR935--MA0089.1.MAFG::NFE2L1	chr1	170218615	170218620	+	0.000	0.000	Merged-chr1-170218734-21
NR6262--MA0089.1.MAFG::NFE2L1	chr18	15552676	15552681	+	0.000	0.000	Merged-chr18-15552635-38
NR1967--MA0659.1.MAFG	chr10	117829926	117829946	+	0.000	0.000	Merged-chr10-117829855-64
NR10871--MA0117.2.Mafb	chr6	31803430	31803441	+	0.000	0.000	Merged-chr6-31803356-16
NR9667--MA0089.1.MAFG::NFE2L1	chr4	120032551	120032556	+	0.000	0.000	Merged-chr4-120032784-81
NR383--MA0496.2.MAFK	chr1	72870500	72870518	-	0.000	0.000	Merged-chr1-72870469-25
NR5710--MA0591.1.Bach1::Mafk	chr17	12301064	12301078	-	0.000	0.000	Merged-chr17-12301160-36
NR4691--MA0591.1.Bach1::Mafk	chr15	30662285	30662299	+	0.000	0.000	Merged-chr15-30662184-17
NR5516--MA0117.2.Mafb	chr16	75855646	75855657	-	0.000	0.000	Merged-chr16-75855662-51
NR833--MA0117.2.Mafb	chr1	151766370	151766381	+	0.000	0.000	Merged-chr1-151766309-19
NR6559--MA0591.1.Bach1::Mafk	chr18	66041378	66041392	+	0.000	0.000	Merged-chr18-66041389-38
NR2058--MA0501.1.MAF::NFE2	chr11	3165466	3165480	-	0.000	0.000	Merged-chr11-3165665-33
NR3372--MA0117.2.Mafb	chr13	67128414	67128425	+	0.000	0.000	Merged-chr13-67128310-57
NR13481--MA0495.2.MAFF	chr9	118272791	118272811	-	0.000	0.000	Merged-chr9-118272859-65
NR9674--MA0117.2.Mafb	chr4	120815857	120815868	-	0.000	0.000	Merged-chr4-120815867-58
NR2219--MA0501.1.MAF::NFE2	chr11	43748001	43748015	-	0.000	0.000	Merged-chr11-43747947-60
NR13759--MA0089.1.MAFG::NFE2L1	chrX	167330592	167330597	+	0.000	0.000	Merged-chrX-167330775-21
NR7815--MA0495.2.MAFF	chr2	157131378	157131398	+	0.000	0.000	Merged-chr2-157131278-25
NR5084--MA0496.2.MAFK	chr16	4736341	4736359	+	0.000	0.000	Merged-chr16-4736414-28
NR13315--MA0496.2.MAFK	chr9	90257561	90257579	+	0.000	0.000	Merged-chr9-90257512-5
NR8815--MA0591.1.Bach1::Mafk	chr3	133563700	133563714	-	0.000	0.000	Merged-chr3-133563771-42
NR1603--MA0089.1.MAFG::NFE2L1	chr10	68724427	68724432	-	0.000	0.000	Merged-chr10-68724362-53
NR2280--MA0496.2.MAFK	chr11	62280804	62280822	+	0.000	0.000	Merged-chr11-62280813-1
NR13670--MA0591.1.Bach1::Mafk	chrX	101954285	101954299	-	0.000	0.000	Merged-chrX-101954276-51
NR2735--MA0501.1.MAF::NFE2	chr12	52644368	52644382	+	0.000	0.000	Merged-chr12-52644289-23
NR11019--MA0496.2.MAFK	chr6	57583830	57583848	+	0.000	0.000	Merged-chr6-57584006-3
NR605--MA0117.2.Mafb	chr1	107534012	107534023	+	0.000	0.000	Merged-chr1-107533964-30
NR5988--MA0501.1.MAF::NFE2	chr17	65826440	65826454	+	0.000	0.000	Merged-chr17-65826425-32
NR966--MA0495.2.MAFF	chr1	174921246	174921266	+	0.000	0.000	Merged-chr1-174921307-1
NR10865--MA0591.1.Bach1::Mafk	chr6	30227526	30227540	-	0.000	0.000	Merged-chr6-30227395-32
NR11973--MA0495.2.MAFF	chr7	75630057	75630077	+	0.000	0.000	Merged-chr7-75629936-10
NR3387--MA0089.1.MAFG::NFE2L1	chr13	70611221	70611226	-	0.000	0.000	Merged-chr13-70611194-23
NR13465--MA0117.2.Mafb	chr9	114496670	114496681	+	0.000	0.000	Merged-chr9-114496634-56
NR8623--MA0591.1.Bach1::Mafk	chr3	101407694	101407708	-	0.000	0.000	Merged-chr3-101407677-30
NR7403--MA0089.1.MAFG::NFE2L1	chr2	85007967	85007972	-	0.000	0.000	Merged-chr2-85007896-35
NR8916--MA0659.1.MAFG	chr3	146063412	146063432	+	0.000	0.000	Merged-chr3-146063322-20
NR9195--MA0591.1.Bach1::Mafk	chr4	33582099	33582113	-	0.000	0.000	Merged-chr4-33582045-40
NR12481--MA0501.1.MAF::NFE2	chr8	34083508	34083522	+	0.000	0.000	Merged-chr8-34083686-45
NR9860--MA0591.1.Bach1::Mafk	chr4	155129616	155129630	+	0.000	0.000	Merged-chr4-155129607-22
NR13645--MA0501.1.MAF::NFE2	chrX	94169555	94169569	+	0.000	0.000	Merged-chrX-94169687-15
NR6388--MA0089.1.MAFG::NFE2L1	chr18	41888474	41888479	+	0.000	0.000	Merged-chr18-41888397-77
NR13557--MA0496.2.MAFK	chrX	48310731	48310749	-	0.000	0.000	Merged-chrX-48310773-8
NR12953--MA0659.1.MAFG	chr8	125557551	125557571	+	0.000	0.000	Merged-chr8-125557520-11
NR7968--MA0591.1.Bach1::Mafk	chr2	177464748	177464762	+	0.000	0.000	Merged-chr2-177464769-67
NR3070--MA0089.1.MAFG::NFE2L1	chr13	5466498	5466503	-	0.000	0.000	Merged-chr13-5466570-1
NR13177--MA0591.1.Bach1::Mafk	chr9	63602413	63602427	+	0.000	0.000	Merged-chr9-63602538-63
NR1803--MA0089.1.MAFG::NFE2L1	chr10	96579458	96579463	+	0.000	0.000	Merged-chr10-96579636-12
NR4011--MA0089.1.MAFG::NFE2L1	chr14	27560699	27560704	-	0.000	0.000	Merged-chr14-27560598-17
NR7544--MA0501.1.MAF::NFE2	chr2	116438904	116438918	-	0.000	0.000	Merged-chr2-116438825-1
NR12935--MA0117.2.Mafb	chr8	122568402	122568413	+	0.000	0.000	Merged-chr8-122568587-1
NR12274--MA0501.1.MAF::NFE2	chr7	130886484	130886498	-	0.000	0.000	Merged-chr7-130886495-31
NR6866--MA0117.2.Mafb	chr19	53520066	53520077	-	0.000	0.000	Merged-chr19-53520175-41
NR1542--MA0117.2.Mafb	chr10	60028309	60028320	-	0.000	0.000	Merged-chr10-60028260-54
NR10237--MA0501.1.MAF::NFE2	chr5	65895442	65895456	-	0.000	0.000	Merged-chr5-65895360-6
NR4913--MA0495.2.MAFF	chr15	73627474	73627494	+	0.000	0.000	Merged-chr15-73627530-51
NR1303--MA0501.1.MAF::NFE2	chr10	25457374	25457388	-	0.000	0.000	Merged-chr10-25457296-47
NR5713--MA0591.1.Bach1::Mafk	chr17	12318834	12318848	-	0.000	0.000	Merged-chr17-12318588-111
NR13366--MA0089.1.MAFG::NFE2L1	chr9	96340875	96340880	-	0.000	0.000	Merged-chr9-96341017-10
NR4299--MA0501.1.MAF::NFE2	chr14	86848337	86848351	+	0.000	0.000	Merged-chr14-86848271-1
NR3298--MA0089.1.MAFG::NFE2L1	chr13	51100475	51100480	-	0.000	0.000	Merged-chr13-51100412-9
NR11955--MA0496.2.MAFK	chr7	73588798	73588816	+	0.000	0.000	Merged-chr7-73589087-116
NR2630--MA0089.1.MAFG::NFE2L1	chr12	34894483	34894488	+	0.000	0.000	Merged-chr12-34894415-1
NR868--MA0495.2.MAFF	chr1	161480011	161480031	+	0.000	0.000	Merged-chr1-161480099-19
NR9663--MA0089.1.MAFG::NFE2L1	chr4	117887413	117887418	-	0.000	0.000	Merged-chr4-117887306-54
NR10754--MA0089.1.MAFG::NFE2L1	chr6	12080564	12080569	+	0.000	0.000	Merged-chr6-12080624-16
NR11319--MA0089.1.MAFG::NFE2L1	chr6	108185569	108185574	-	0.000	0.000	Merged-chr6-108185514-51
NR5255--MA0089.1.MAFG::NFE2L1	chr16	32868021	32868026	-	0.000	0.000	Merged-chr16-32868243-54
NR12624--MA0089.1.MAFG::NFE2L1	chr8	66860200	66860205	+	0.000	0.000	Merged-chr8-66860248-21
NR5631--MA0089.1.MAFG::NFE2L1	chr16	95303862	95303867	+	0.000	0.000	Merged-chr16-95303882-7
NR5140--MA0089.1.MAFG::NFE2L1	chr16	8470856	8470861	-	0.000	0.000	Merged-chr16-8470808-56
NR8921--MA0089.1.MAFG::NFE2L1	chr3	146345346	146345351	+	0.000	0.000	Merged-chr3-146345390-35
NR8214--MA0501.1.MAF::NFE2	chr3	32708650	32708664	+	0.000	0.000	Merged-chr3-32708836-74
NR4992--MA0089.1.MAFG::NFE2L1	chr15	89123092	89123097	+	0.000	0.000	Merged-chr15-89123028-62
NR418--MA0659.1.MAFG	chr1	78422793	78422813	-	0.000	0.000	Merged-chr1-78422740-38
NR6486--MA0089.1.MAFG::NFE2L1	chr18	55303638	55303643	+	0.000	0.000	Merged-chr18-55303601-6
NR2066--MA0496.2.MAFK	chr11	5416087	5416105	-	0.000	0.000	Merged-chr11-5415987-23
NR10223--MA0117.2.Mafb	chr5	65005507	65005518	+	0.000	0.000	Merged-chr5-65005487-8
NR2854--MA0496.2.MAFK	chr12	81845169	81845187	+	0.000	0.000	Merged-chr12-81845150-28
NR4823--MA0591.1.Bach1::Mafk	chr15	58823463	58823477	+	0.000	0.000	Merged-chr15-58823489-98
NR12531--MA0495.2.MAFF	chr8	46550338	46550358	-	0.000	0.000	Merged-chr8-46550228-39
NR7892--MA0495.2.MAFF	chr2	168583321	168583341	-	0.000	0.000	Merged-chr2-168583356-49
NR5395--MA0591.1.Bach1::Mafk	chr16	55975111	55975125	+	0.000	0.000	Merged-chr16-55975100-1
NR2534--MA0117.2.Mafb	chr12	15967664	15967675	-	0.000	0.000	Merged-chr12-15967723-42
NR10174--MA0089.1.MAFG::NFE2L1	chr5	53584528	53584533	+	0.000	0.000	Merged-chr5-53584497-5
NR246--MA0501.1.MAF::NFE2	chr1	54492645	54492659	-	0.000	0.000	Merged-chr1-54492864-67
NR8608--MA0659.1.MAFG	chr3	98030692	98030712	+	0.000	0.000	Merged-chr3-98030658-2
NR13612--MA0495.2.MAFF	chrX	71468813	71468833	-	0.000	0.000	Merged-chrX-71468864-48
NR1355--MA0591.1.Bach1::Mafk	chr10	37240761	37240775	+	0.000	0.000	Merged-chr10-37240820-10
NR12533--MA0659.1.MAFG	chr8	46550338	46550358	-	0.000	0.000	Merged-chr8-46550228-39
NR9770--MA0501.1.MAF::NFE2	chr4	145254681	145254695	-	0.000	0.000	Merged-chr4-145254618-54
NR11475--MA0501.1.MAF::NFE2	chr6	130029867	130029881	-	0.000	0.000	Merged-chr6-130029953-23
NR8048--MA0591.1.Bach1::Mafk	chr3	9833533	9833547	-	0.000	0.000	Merged-chr3-9833444-80
NR7891--MA0089.1.MAFG::NFE2L1	chr2	168170384	168170389	-	0.000	0.000	Merged-chr2-168170286-45
NR4833--MA0495.2.MAFF	chr15	60141740	60141760	-	0.000	0.000	Merged-chr15-60141822-49
NR7572--MA0501.1.MAF::NFE2	chr2	122668160	122668174	+	0.000	0.000	Merged-chr2-122668057-9
NR9385--MA0089.1.MAFG::NFE2L1	chr4	63475413	63475418	-	0.000	0.000	Merged-chr4-63475408-7
NR740--MA0089.1.MAFG::NFE2L1	chr1	137898539	137898544	+	0.000	0.000	Merged-chr1-137898663-56
NR11443--MA0117.2.Mafb	chr6	125222366	125222377	+	0.000	0.000	Merged-chr6-125222318-50
NR8919--MA0496.2.MAFK	chr3	146063413	146063431	-	0.000	0.000	Merged-chr3-146063322-20
NR10920--MA0495.2.MAFF	chr6	41526527	41526547	+	0.000	0.000	Merged-chr6-41526509-3
NR13416--MA0591.1.Bach1::Mafk	chr9	108156927	108156941	+	0.000	0.000	Merged-chr9-108157018-18
NR11417--MA0089.1.MAFG::NFE2L1	chr6	120978185	120978190	+	0.000	0.000	Merged-chr6-120978325-32
NR3508--MA0089.1.MAFG::NFE2L1	chr13	83204414	83204419	+	0.000	0.000	Merged-chr13-83204596-1
NR12367--MA0501.1.MAF::NFE2	chr8	11007714	11007728	-	0.000	0.000	Merged-chr8-11007767-63
NR10187--MA0089.1.MAFG::NFE2L1	chr5	57387182	57387187	+	0.000	0.000	Merged-chr5-57387295-1
NR8610--MA0496.2.MAFK	chr3	98030693	98030711	+	0.000	0.000	Merged-chr3-98030658-2
NR2430--MA0501.1.MAF::NFE2	chr11	113536965	113536979	-	0.000	0.000	Merged-chr11-113536889-33
NR5944--MA0089.1.MAFG::NFE2L1	chr17	56079565	56079570	-	0.000	0.000	Merged-chr17-56079386-89
NR8745--MA0495.2.MAFF	chr3	122419703	122419723	+	0.000	0.000	Merged-chr3-122419865-81
NR3294--MA0089.1.MAFG::NFE2L1	chr13	49268013	49268018	-	0.000	0.000	Merged-chr13-49267914-12
NR6896--MA0496.2.MAFK	chr2	4864668	4864686	-	0.000	0.000	Merged-chr2-4864669-14
NR6509--MA0089.1.MAFG::NFE2L1	chr18	57970375	57970380	-	0.000	0.000	Merged-chr18-57970531-36
NR5202--MA0591.1.Bach1::Mafk	chr16	17722440	17722454	-	0.000	0.000	Merged-chr16-17722645-80
NR7352--MA0591.1.Bach1::Mafk	chr2	75823975	75823989	-	0.000	0.000	Merged-chr2-75823994-29
NR8740--MA0496.2.MAFK	chr3	121593327	121593345	+	0.000	0.000	Merged-chr3-121593516-30
NR1380--MA0591.1.Bach1::Mafk	chr10	37721258	37721272	+	0.000	0.000	Merged-chr10-37721362-7
NR9631--MA0659.1.MAFG	chr4	107889853	107889873	+	0.000	0.000	Merged-chr4-107889950-86
NR5807--MA0495.2.MAFF	chr17	27755570	27755590	+	0.000	0.000	Merged-chr17-27755639-7
NR5182--MA0659.1.MAFG	chr16	14237421	14237441	+	0.000	0.000	Merged-chr16-14237452-27
NR7336--MA0089.1.MAFG::NFE2L1	chr2	70930994	70930999	-	0.000	0.000	Merged-chr2-70931049-24
NR12748--MA0089.1.MAFG::NFE2L1	chr8	83740305	83740310	-	0.000	0.000	Merged-chr8-83740218-49
NR866--MA0089.1.MAFG::NFE2L1	chr1	160309213	160309218	-	0.000	0.000	Merged-chr1-160309184-36
NR11227--MA0495.2.MAFF	chr6	94623147	94623167	+	0.000	0.000	Merged-chr6-94623201-16
NR2572--MA0591.1.Bach1::Mafk	chr12	25095903	25095917	-	0.000	0.000	Merged-chr12-25096104-64
NR4730--MA0501.1.MAF::NFE2	chr15	37644387	37644401	+	0.000	0.000	Merged-chr15-37644500-63
NR117--MA0495.2.MAFF	chr1	21963192	21963212	+	0.000	0.000	Merged-chr1-21963410-76
NR2856--MA0501.1.MAF::NFE2	chr12	82284810	82284824	-	0.000	0.000	Merged-chr12-82284829-46
NR1736--MA0089.1.MAFG::NFE2L1	chr10	89383871	89383876	+	0.000	0.000	Merged-chr10-89383738-30
NR3976--MA0496.2.MAFK	chr14	17414422	17414440	+	0.000	0.000	Merged-chr14-17414498-32
NR4811--MA0089.1.MAFG::NFE2L1	chr15	53328274	53328279	+	0.000	0.000	Merged-chr15-53328390-15
NR8998--MA0659.1.MAFG	chr3	154372398	154372418	-	0.000	0.000	Merged-chr3-154372398-2
NR12317--MA0495.2.MAFF	chr7	141072584	141072604	-	0.000	0.000	Merged-chr7-141072410-71
NR11139--MA0089.1.MAFG::NFE2L1	chr6	72601835	72601840	-	0.000	0.000	Merged-chr6-72601954-26
NR11515--MA0089.1.MAFG::NFE2L1	chr6	134148219	134148224	+	0.000	0.000	Merged-chr6-134148194-39
NR229--MA0495.2.MAFF	chr1	52631241	52631261	+	0.000	0.000	Merged-chr1-52631121-87
NR8839--MA0496.2.MAFK	chr3	136686691	136686709	+	0.000	0.000	Merged-chr3-136686664-13
NR5526--MA0501.1.MAF::NFE2	chr16	76763190	76763204	-	0.000	0.000	Merged-chr16-76763076-33
NR9219--MA0089.1.MAFG::NFE2L1	chr4	40239266	40239271	+	0.000	0.000	Merged-chr4-40239438-126
NR8856--MA0089.1.MAFG::NFE2L1	chr3	138715491	138715496	-	0.000	0.000	Merged-chr3-138715512-11
NR4246--MA0089.1.MAFG::NFE2L1	chr14	66190611	66190616	+	0.000	0.000	Merged-chr14-66190567-42
NR591--MA0591.1.Bach1::Mafk	chr1	106019757	106019771	-	0.000	0.000	Merged-chr1-106019933-3
NR12319--MA0659.1.MAFG	chr7	141072584	141072604	+	0.000	0.000	Merged-chr7-141072410-71
NR8886--MA0117.2.Mafb	chr3	142770988	142770999	-	0.000	0.000	Merged-chr3-142770783-6
NR12670--MA0496.2.MAFK	chr8	72571104	72571122	-	0.000	0.000	Merged-chr8-72571324-95
NR9636--MA0659.1.MAFG	chr4	109665333	109665353	+	0.000	0.000	Merged-chr4-109665283-1
NR13171--MA0089.1.MAFG::NFE2L1	chr9	62510771	62510776	+	0.000	0.000	Merged-chr9-62510656-38
NR9858--MA0495.2.MAFF	chr4	155129613	155129633	+	0.000	0.000	Merged-chr4-155129607-22
NR10529--MA0591.1.Bach1::Mafk	chr5	123171823	123171837	+	0.000	0.000	Merged-chr5-123171865-37
NR13422--MA0117.2.Mafb	chr9	108156979	108156990	-	0.000	0.000	Merged-chr9-108157018-18
NR13409--MA0659.1.MAFG	chr9	108150735	108150755	-	0.000	0.000	Merged-chr9-108150702-30
NR7623--MA0089.1.MAFG::NFE2L1	chr2	132282172	132282177	+	0.000	0.000	Merged-chr2-132282020-68
NR13613--MA0591.1.Bach1::Mafk	chrX	71468816	71468830	-	0.000	0.000	Merged-chrX-71468864-48
NR2461--MA0496.2.MAFK	chr11	117109897	117109915	-	0.000	0.000	Merged-chr11-117109823-31
NR2358--MA0591.1.Bach1::Mafk	chr11	94253172	94253186	+	0.000	0.000	Merged-chr11-94253305-42
NR9608--MA0089.1.MAFG::NFE2L1	chr4	101356210	101356215	-	0.000	0.000	Merged-chr4-101356432-43
NR9117--MA0089.1.MAFG::NFE2L1	chr4	14864329	14864334	-	0.000	0.000	Merged-chr4-14864429-92
NR3706--MA0089.1.MAFG::NFE2L1	chr13	107568392	107568397	-	0.000	0.000	Merged-chr13-107568405-110
NR4259--MA0089.1.MAFG::NFE2L1	chr14	73049212	73049217	-	0.000	0.000	Merged-chr14-73049322-54
NR11124--MA0089.1.MAFG::NFE2L1	chr6	70709430	70709435	+	0.000	0.000	Merged-chr6-70709572-48
NR1936--MA0089.1.MAFG::NFE2L1	chr10	111924394	111924399	+	0.000	0.000	Merged-chr10-111924366-28
NR3428--MA0117.2.Mafb	chr13	72650017	72650028	+	0.000	0.000	Merged-chr13-72650069-2
NR12920--MA0089.1.MAFG::NFE2L1	chr8	117256637	117256642	+	0.000	0.000	Merged-chr8-117256752-70
NR171--MA0089.1.MAFG::NFE2L1	chr1	37300231	37300236	-	0.000	0.000	Merged-chr1-37300017-82
NR9192--MA0089.1.MAFG::NFE2L1	chr4	33315972	33315977	-	0.000	0.000	Merged-chr4-33316014-28
NR12759--MA0089.1.MAFG::NFE2L1	chr8	84737906	84737911	+	0.000	0.000	Merged-chr8-84737825-38
NR7297--MA0501.1.MAF::NFE2	chr2	65170816	65170830	+	0.000	0.000	Merged-chr2-65170889-79
NR12250--MA0495.2.MAFF	chr7	122414404	122414424	-	0.000	0.000	Merged-chr7-122414418-49
NR13220--MA0501.1.MAF::NFE2	chr9	77467012	77467026	-	0.000	0.000	Merged-chr9-77466988-20
NR13420--MA0496.2.MAFK	chr9	108156925	108156943	+	0.000	0.000	Merged-chr9-108157018-18
NR13399--MA0089.1.MAFG::NFE2L1	chr9	105131627	105131632	+	0.000	0.000	Merged-chr9-105131725-87
NR2287--MA0089.1.MAFG::NFE2L1	chr11	63991564	63991569	-	0.000	0.000	Merged-chr11-63991436-1
NR8074--MA0089.1.MAFG::NFE2L1	chr3	14667334	14667339	-	0.000	0.000	Merged-chr3-14667308-20
NR5848--MA0495.2.MAFF	chr17	33781060	33781080	-	0.000	0.000	Merged-chr17-33781173-86
NR377--MA0591.1.Bach1::Mafk	chr1	72870502	72870516	+	0.000	0.000	Merged-chr1-72870469-25
NR475--MA0496.2.MAFK	chr1	88256136	88256154	+	0.000	0.000	Merged-chr1-88256034-1,Merged-chr1-88256312-2
NR13357--MA0591.1.Bach1::Mafk	chr9	94670454	94670468	+	0.000	0.000	Merged-chr9-94670459-1
NR11265--MA0117.2.Mafb	chr6	100581278	100581289	+	0.000	0.000	Merged-chr6-100581320-61
NR12766--MA0591.1.Bach1::Mafk	chr8	85700230	85700244	+	0.000	0.000	Merged-chr8-85700310-4
NR5245--MA0501.1.MAF::NFE2	chr16	29865266	29865280	+	0.000	0.000	Merged-chr16-29865304-40
NR3346--MA0495.2.MAFF	chr13	63365383	63365403	-	0.000	0.000	Merged-chr13-63365525-19
NR2274--MA0495.2.MAFF	chr11	62280803	62280823	+	0.000	0.000	Merged-chr11-62280813-1
NR10505--MA0495.2.MAFF	chr5	118269183	118269203	-	0.000	0.000	Merged-chr5-118269215-26
NR5879--MA0089.1.MAFG::NFE2L1	chr17	35969932	35969937	+	0.000	0.000	Merged-chr17-35969818-62
NR12253--MA0089.1.MAFG::NFE2L1	chr7	123377957	123377962	-	0.000	0.000	Merged-chr7-123378098-56
NR10470--MA0089.1.MAFG::NFE2L1	chr5	107061939	107061944	-	0.000	0.000	Merged-chr5-107061883-14
NR8466--MA0659.1.MAFG	chr3	78958961	78958981	-	0.000	0.000	Merged-chr3-78959037-23
NR11731--MA0659.1.MAFG	chr7	19332921	19332941	+	0.000	0.000	Merged-chr7-19332998-44
NR3348--MA0659.1.MAFG	chr13	63365383	63365403	-	0.000	0.000	Merged-chr13-63365525-19
NR10507--MA0659.1.MAFG	chr5	118269183	118269203	+	0.000	0.000	Merged-chr5-118269215-26
NR1785--MA0501.1.MAF::NFE2	chr10	94378535	94378549	+	0.000	0.000	Merged-chr10-94378414-58
NR1689--MA0501.1.MAF::NFE2	chr10	82859109	82859123	-	0.000	0.000	Merged-chr10-82859313-42
NR9190--MA0089.1.MAFG::NFE2L1	chr4	33072995	33073000	-	0.000	0.000	Merged-chr4-33073054-38
NR5185--MA0496.2.MAFK	chr16	14237422	14237440	+	0.000	0.000	Merged-chr16-14237452-27
NR13210--MA0496.2.MAFK	chr9	75582155	75582173	-	0.000	0.000	Merged-chr9-75582194-17
NR12152--MA0495.2.MAFF	chr7	104465137	104465157	+	0.000	0.000	Merged-chr7-104465292-53
NR5081--MA0591.1.Bach1::Mafk	chr16	4726350	4726364	+	0.000	0.000	Merged-chr16-4726559-61
NR13686--MA0089.1.MAFG::NFE2L1	chrX	113185505	113185510	-	0.000	0.000	Merged-chrX-113185378-53
NR6076--MA0659.1.MAFG	chr17	80139917	80139937	-	0.000	0.000	Merged-chr17-80140059-47
NR5781--MA0495.2.MAFF	chr17	23630405	23630425	-	0.000	0.000	Merged-chr17-23630399-39
NR11129--MA0496.2.MAFK	chr6	70709473	70709491	+	0.000	0.000	Merged-chr6-70709572-48
NR13235--MA0659.1.MAFG	chr9	78448210	78448230	-	0.000	0.000	Merged-chr9-78448370-64
NR10310--MA0659.1.MAFG	chr5	76565520	76565540	-	0.000	0.000	Merged-chr5-76565486-34
NR8527--MA0591.1.Bach1::Mafk	chr3	83863098	83863112	+	0.000	0.000	Merged-chr3-83863238-36
NR11437--MA0089.1.MAFG::NFE2L1	chr6	124829393	124829398	+	0.000	0.000	Merged-chr6-124829412-146
NR5864--MA0089.1.MAFG::NFE2L1	chr17	35021427	35021432	-	0.000	0.000	Merged-chr17-35021370-11
NR2276--MA0591.1.Bach1::Mafk	chr11	62280806	62280820	+	0.000	0.000	Merged-chr11-62280813-1
NR7936--MA0591.1.Bach1::Mafk	chr2	173749175	173749189	+	0.000	0.000	Merged-chr2-173749391-11
NR9220--MA0117.2.Mafb	chr4	40285606	40285617	+	0.000	0.000	Merged-chr4-40285687-24
NR7358--MA0089.1.MAFG::NFE2L1	chr2	75981847	75981852	+	0.000	0.000	Merged-chr2-75981805-58
NR13497--MA0089.1.MAFG::NFE2L1	chr9	121277663	121277668	+	0.000	0.000	Merged-chr9-121277649-80
NR9223--MA0495.2.MAFF	chr4	40773395	40773415	+	0.000	0.000	Merged-chr4-40773188-44
NR195--MA0089.1.MAFG::NFE2L1	chr1	43299651	43299656	-	0.000	0.000	Merged-chr1-43299668-27
NR1832--MA0089.1.MAFG::NFE2L1	chr10	99592301	99592306	-	0.000	0.000	Merged-chr10-99592304-27
NR9699--MA0501.1.MAF::NFE2	chr4	125114801	125114815	-	0.000	0.000	Merged-chr4-125114884-30
NR2385--MA0089.1.MAFG::NFE2L1	chr11	97999401	97999406	-	0.000	0.000	Merged-chr11-97999442-46
NR8851--MA0591.1.Bach1::Mafk	chr3	137981532	137981546	-	0.000	0.000	Merged-chr3-137981566-6
NR297--MA0495.2.MAFF	chr1	65186472	65186492	+	0.000	0.000	Merged-chr1-65186701-72
NR2388--MA0117.2.Mafb	chr11	98783236	98783247	+	0.000	0.000	Merged-chr11-98783373-52
NR9536--MA0501.1.MAF::NFE2	chr4	88275842	88275856	-	0.000	0.000	Merged-chr4-88275744-16
NR11622--MA0495.2.MAFF	chr6	144679046	144679066	+	0.000	0.000	Merged-chr6-144679049-11
NR6905--MA0089.1.MAFG::NFE2L1	chr2	6363355	6363360	-	0.000	0.000	Merged-chr2-6363298-8
NR1405--MA0591.1.Bach1::Mafk	chr10	39899000	39899014	-	0.000	0.000	Merged-chr10-39899143-58
NR3211--MA0089.1.MAFG::NFE2L1	chr13	24988651	24988656	+	0.000	0.000	Merged-chr13-24988665-13
NR13424--MA0591.1.Bach1::Mafk	chr9	108597639	108597653	-	0.000	0.000	Merged-chr9-108597519-47
NR988--MA0089.1.MAFG::NFE2L1	chr1	178463699	178463704	+	0.000	0.000	Merged-chr1-178463862-33
NR6616--MA0089.1.MAFG::NFE2L1	chr18	74431573	74431578	+	0.000	0.000	Merged-chr18-74431355-25
NR11826--MA0089.1.MAFG::NFE2L1	chr7	44896055	44896060	-	0.000	0.000	Merged-chr7-44895929-62
NR7169--MA0089.1.MAFG::NFE2L1	chr2	51388569	51388574	-	0.000	0.000	Merged-chr2-51388682-1
NR512--MA0495.2.MAFF	chr1	94497025	94497045	-	0.000	0.000	Merged-chr1-94497080-23
NR12755--MA0089.1.MAFG::NFE2L1	chr8	84257256	84257261	-	0.000	0.000	Merged-chr8-84257332-3
NR5762--MA0089.1.MAFG::NFE2L1	chr17	21009212	21009217	+	0.000	0.000	Merged-chr17-21009057-52
NR1921--MA0591.1.Bach1::Mafk	chr10	111107643	111107657	-	0.000	0.000	Merged-chr10-111107692-40
NR9572--MA0591.1.Bach1::Mafk	chr4	95194839	95194853	-	0.000	0.000	Merged-chr4-95194969-49
NR6916--MA0591.1.Bach1::Mafk	chr2	6787031	6787045	+	0.000	0.000	Merged-chr2-6786921-10
NR9639--MA0496.2.MAFK	chr4	109665334	109665352	+	0.000	0.000	Merged-chr4-109665283-1
NR13779--MA0496.2.MAFK	chrY	1010508	1010526	-	0.000	0.000	Merged-chrY-1010379-42
NR10995--MA0117.2.Mafb	chr6	54760026	54760037	-	0.000	0.000	Merged-chr6-54760187-57
NR12125--MA0591.1.Bach1::Mafk	chr7	101538239	101538253	-	0.000	0.000	Merged-chr7-101538203-73
