#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.up.bed
NR11092--MA0089.1.MAFG::NFE2L1	chr7	75326709	75326714	+	0.000	0.000	Merged-chr7-75326625-1
NR3183--MA0089.1.MAFG::NFE2L1	chr13	45912087	45912092	+	0.000	0.000	Merged-chr13-45912065-13
NR7818--MA0089.1.MAFG::NFE2L1	chr3	87387598	87387603	-	0.000	0.000	Merged-chr3-87387698-10
NR5242--MA0591.1.Bach1::Mafk	chr17	27051739	27051753	+	0.000	0.000	Merged-chr17-27051875-11
NR6656--MA0659.1.MAFG	chr2	65044576	65044596	-	0.000	0.000	Merged-chr2-65044504-13
NR284--MA0591.1.Bach1::Mafk	chr1	74800500	74800514	-	0.000	0.000	Merged-chr1-74800679-42
NR5886--MA0496.2.MAFK	chr18	67443152	67443170	-	0.000	0.000	Merged-chr18-67443121-15
NR9663--MA0089.1.MAFG::NFE2L1	chr5	113613431	113613436	-	0.000	0.000	Merged-chr5-113613297-13
NR3037--MA0501.1.MAF::NFE2	chr13	5890178	5890192	-	0.000	0.000	Merged-chr13-5890173-33
NR5383--MA0501.1.MAF::NFE2	chr17	63362388	63362402	-	0.000	0.000	Merged-chr17-63362357-31
NR6062--MA0501.1.MAF::NFE2	chr19	5724827	5724841	+	0.000	0.000	Merged-chr19-5724698-18
NR9646--MA0591.1.Bach1::Mafk	chr5	111357085	111357099	-	0.000	0.000	Merged-chr5-111357188-22
NR11098--MA0659.1.MAFG	chr7	75609599	75609619	+	0.000	0.000	Merged-chr7-75609701-11
NR3395--MA0591.1.Bach1::Mafk	chr13	91091605	91091619	-	0.000	0.000	Merged-chr13-91091674-66
NR2160--MA0591.1.Bach1::Mafk	chr11	90196680	90196694	-	0.000	0.000	Merged-chr11-90196675-9
NR12613--MA0117.2.Mafb	chr9	95120208	95120219	-	0.000	0.000	Merged-chr9-95120288-34
NR3485--MA0089.1.MAFG::NFE2L1	chr13	101707386	101707391	+	0.000	0.000	Merged-chr13-101707362-90
NR11770--MA0089.1.MAFG::NFE2L1	chr8	70506731	70506736	+	0.000	0.000	Merged-chr8-70506542-51
NR1083--MA0501.1.MAF::NFE2	chr1	191956694	191956708	+	0.000	0.000	Merged-chr1-191956552-42
NR8025--MA0591.1.Bach1::Mafk	chr3	116434931	116434945	+	0.000	0.000	Merged-chr3-116434903-21
NR6544--MA0117.2.Mafb	chr2	38536563	38536574	-	0.000	0.000	Merged-chr2-38536477-82
NR2778--MA0501.1.MAF::NFE2	chr12	101083326	101083340	+	0.000	0.000	Merged-chr12-101083518-85
NR3196--MA0089.1.MAFG::NFE2L1	chr13	49270739	49270744	+	0.000	0.000	Merged-chr13-49270675-31
NR4173--MA0501.1.MAF::NFE2	chr15	10723731	10723745	+	0.000	0.000	Merged-chr15-10723648-41
NR6112--MA0501.1.MAF::NFE2	chr19	17256650	17256664	+	0.000	0.000	Merged-chr19-17256835-48
NR7874--MA0495.2.MAFF	chr3	95664227	95664247	-	0.000	0.000	Merged-chr3-95664146-32
NR499--MA0591.1.Bach1::Mafk	chr1	120073873	120073887	+	0.000	0.000	Merged-chr1-120073802-51
NR10767--MA0089.1.MAFG::NFE2L1	chr6	145256833	145256838	-	0.000	0.000	Merged-chr6-145256997-16
NR6300--MA0496.2.MAFK	chr19	56647499	56647517	+	0.000	0.000	Merged-chr19-56647541-17
NR5013--MA0501.1.MAF::NFE2	chr16	89974511	89974525	+	0.000	0.000	Merged-chr16-89974505-28
NR2066--MA0496.2.MAFK	chr11	73131229	73131247	-	0.000	0.000	Merged-chr11-73131233-35
NR4172--MA0659.1.MAFG	chr15	10723725	10723745	-	0.000	0.000	Merged-chr15-10723648-41
NR4248--MA0117.2.Mafb	chr15	53222579	53222590	+	0.000	0.000	Merged-chr15-53222571-24
NR10223--MA0117.2.Mafb	chr6	85147822	85147833	-	0.000	0.000	Merged-chr6-85147771-14
NR2667--MA0501.1.MAF::NFE2	chr12	84417265	84417279	+	0.000	0.000	Merged-chr12-84417394-49
NR12882--MA0659.1.MAFG	chrX	59568329	59568349	+	0.000	0.000	Merged-chrX-59568240-6
NR1921--MA0501.1.MAF::NFE2	chr11	46083932	46083946	+	0.000	0.000	Merged-chr11-46083791-69
NR4154--MA0117.2.Mafb	chr15	8616120	8616131	-	0.000	0.000	Merged-chr15-8616259-27
NR95--MA0501.1.MAF::NFE2	chr1	40386291	40386305	+	0.000	0.000	Merged-chr1-40386352-39
NR5368--MA0089.1.MAFG::NFE2L1	chr17	56884950	56884955	-	0.000	0.000	Merged-chr17-56885050-19
NR9384--MA0117.2.Mafb	chr5	64024637	64024648	+	0.000	0.000	Merged-chr5-64024575-33
NR181--MA0501.1.MAF::NFE2	chr1	58721176	58721190	-	0.000	0.000	Merged-chr1-58721053-40
NR443--MA0495.2.MAFF	chr1	105292042	105292062	+	0.000	0.000	Merged-chr1-105291975-13
NR8386--MA0496.2.MAFK	chr4	11960987	11961005	-	0.000	0.000	Merged-chr4-11960864-24
NR7683--MA0501.1.MAF::NFE2	chr3	37292937	37292951	-	0.000	0.000	Merged-chr3-37292848-26
NR9622--MA0501.1.MAF::NFE2	chr5	107524501	107524515	+	0.000	0.000	Merged-chr5-107524666-44
NR8658--MA0089.1.MAFG::NFE2L1	chr4	89369137	89369142	+	0.000	0.000	Merged-chr4-89369224-21
NR4035--MA0089.1.MAFG::NFE2L1	chr14	102828623	102828628	+	0.000	0.000	Merged-chr14-102828632-27
NR8847--MA0501.1.MAF::NFE2	chr4	119809385	119809399	+	0.000	0.000	Merged-chr4-119809399-19
NR5911--MA0117.2.Mafb	chr18	73452488	73452499	+	0.000	0.000	Merged-chr18-73452682-34
NR11425--MA0117.2.Mafb	chr7	123397492	123397503	-	0.000	0.000	Merged-chr7-123397563-15
NR80--MA0501.1.MAF::NFE2	chr1	36262321	36262335	+	0.000	0.000	Merged-chr1-36262219-41
NR1270--MA0591.1.Bach1::Mafk	chr10	40688547	40688561	+	0.000	0.000	Merged-chr10-40688620-20
NR10550--MA0089.1.MAFG::NFE2L1	chr6	127575435	127575440	-	0.000	0.000	Merged-chr6-127575169-36
NR11309--MA0591.1.Bach1::Mafk	chr7	110824142	110824156	-	0.000	0.000	Merged-chr7-110824322-44
NR10427--MA0496.2.MAFK	chr6	115594718	115594736	+	0.000	0.000	Merged-chr6-115594731-47
NR11115--MA0089.1.MAFG::NFE2L1	chr7	79249754	79249759	+	0.000	0.000	Merged-chr7-79249720-34
NR1047--MA0089.1.MAFG::NFE2L1	chr1	189085413	189085418	-	0.000	0.000	Merged-chr1-189085418-26
NR500--MA0591.1.Bach1::Mafk	chr1	120073873	120073887	-	0.000	0.000	Merged-chr1-120073802-51
NR5000--MA0496.2.MAFK	chr16	87665447	87665465	-	0.000	0.000	Merged-chr16-87665627-46
NR7891--MA0089.1.MAFG::NFE2L1	chr3	96563289	96563294	-	0.000	0.000	Merged-chr3-96563377-23
NR12065--MA0496.2.MAFK	chr8	122299744	122299762	+	0.000	0.000	Merged-chr8-122299759-10
NR3138--MA0591.1.Bach1::Mafk	chr13	38038019	38038033	-	0.000	0.000	Merged-chr13-38038059-24
NR4716--MA0591.1.Bach1::Mafk	chr16	24474951	24474965	-	0.000	0.000	Merged-chr16-24474974-11
NR1433--MA0496.2.MAFK	chr10	77939676	77939694	-	0.000	0.000	Merged-chr10-77939812-4
NR4337--MA0089.1.MAFG::NFE2L1	chr15	66806496	66806501	+	0.000	0.000	Merged-chr15-66806580-18
NR1001--MA0117.2.Mafb	chr1	185204099	185204110	+	0.000	0.000	Merged-chr1-185204112-85
NR9385--MA0089.1.MAFG::NFE2L1	chr5	64497092	64497097	+	0.000	0.000	Merged-chr5-64497055-39
NR1312--MA0591.1.Bach1::Mafk	chr10	44004542	44004556	-	0.000	0.000	Merged-chr10-44004537-1
NR10476--MA0089.1.MAFG::NFE2L1	chr6	120470833	120470838	+	0.000	0.000	Merged-chr6-120470872-38
NR5642--MA0089.1.MAFG::NFE2L1	chr18	23828700	23828705	-	0.000	0.000	Merged-chr18-23828715-22
NR8919--MA0496.2.MAFK	chr4	129575382	129575400	-	0.000	0.000	Merged-chr4-129575376-54
NR351--MA0659.1.MAFG	chr1	85982152	85982172	-	0.000	0.000	Merged-chr1-85981995-4
NR5374--MA0501.1.MAF::NFE2	chr17	57126031	57126045	-	0.000	0.000	Merged-chr17-57126152-41
NR4371--MA0501.1.MAF::NFE2	chr15	73182618	73182632	-	0.000	0.000	Merged-chr15-73182706-35
NR7627--MA0089.1.MAFG::NFE2L1	chr3	19411337	19411342	-	0.000	0.000	Merged-chr3-19411369-33
NR4038--MA0117.2.Mafb	chr14	103033626	103033637	-	0.000	0.000	Merged-chr14-103033598-47
NR12298--MA0496.2.MAFK	chr9	43785162	43785180	+	0.000	0.000	Merged-chr9-43784994-20
NR2436--MA0659.1.MAFG	chr12	3892086	3892106	+	0.000	0.000	Merged-chr12-3892053-9
NR5900--MA0496.2.MAFK	chr18	70462883	70462901	-	0.000	0.000	Merged-chr18-70462917-22
NR3219--MA0089.1.MAFG::NFE2L1	chr13	51814101	51814106	+	0.000	0.000	Merged-chr13-51814319-87
NR287--MA0591.1.Bach1::Mafk	chr1	75486720	75486734	+	0.000	0.000	Merged-chr1-75486810-6
NR12057--MA0089.1.MAFG::NFE2L1	chr8	120716594	120716599	+	0.000	0.000	Merged-chr8-120716591-36
NR9196--MA0089.1.MAFG::NFE2L1	chr5	10245992	10245997	-	0.000	0.000	Merged-chr5-10245943-14
NR5944--MA0089.1.MAFG::NFE2L1	chr18	77794717	77794722	+	0.000	0.000	Merged-chr18-77794764-36
NR3785--MA0089.1.MAFG::NFE2L1	chr14	49226072	49226077	-	0.000	0.000	Merged-chr14-49226087-9
NR9304--MA0501.1.MAF::NFE2	chr5	29920562	29920576	+	0.000	0.000	Merged-chr5-29920570-23
NR2238--MA0501.1.MAF::NFE2	chr11	103028585	103028599	+	0.000	0.000	Merged-chr11-103028483-70
NR10931--MA0659.1.MAFG	chr7	29816016	29816036	-	0.000	0.000	Merged-chr7-29816029-62
NR2677--MA0591.1.Bach1::Mafk	chr12	85964546	85964560	+	0.000	0.000	Merged-chr12-85964665-5
NR11103--MA0117.2.Mafb	chr7	75863458	75863469	-	0.000	0.000	Merged-chr7-75863636-9
NR1778--MA0496.2.MAFK	chr10	127229322	127229340	-	0.000	0.000	Merged-chr10-127229219-13
NR6529--MA0496.2.MAFK	chr2	34977066	34977084	+	0.000	0.000	Merged-chr2-34977109-71
NR12430--MA0117.2.Mafb	chr9	65404821	65404832	-	0.000	0.000	Merged-chr9-65404846-10
NR8651--MA0495.2.MAFF	chr4	89351107	89351127	-	0.000	0.000	Merged-chr4-89351221-94
NR9356--MA0501.1.MAF::NFE2	chr5	48372386	48372400	-	0.000	0.000	Merged-chr5-48372456-58
NR9606--MA0591.1.Bach1::Mafk	chr5	105291092	105291106	+	0.000	0.000	Merged-chr5-105291153-16
NR9168--MA0495.2.MAFF	chr5	5420342	5420362	+	0.000	0.000	Merged-chr5-5420247-39
NR6435--MA0496.2.MAFK	chr2	19628290	19628308	+	0.000	0.000	Merged-chr2-19628399-27
NR1378--MA0591.1.Bach1::Mafk	chr10	67098587	67098601	-	0.000	0.000	Merged-chr10-67098623-29
NR5251--MA0089.1.MAFG::NFE2L1	chr17	29032620	29032625	-	0.000	0.000	Merged-chr17-29032504-80
NR5028--MA0495.2.MAFF	chr16	91366658	91366678	+	0.000	0.000	Merged-chr16-91366873-55
NR6716--MA0591.1.Bach1::Mafk	chr2	75685656	75685670	+	0.000	0.000	Merged-chr2-75685689-38
NR11390--MA0089.1.MAFG::NFE2L1	chr7	120754786	120754791	+	0.000	0.000	Merged-chr7-120754842-25
NR9019--MA0089.1.MAFG::NFE2L1	chr4	144894044	144894049	+	0.000	0.000	Merged-chr4-144893886-50
NR8405--MA0495.2.MAFF	chr4	20033151	20033171	+	0.000	0.000	Merged-chr4-20033263-40
NR12446--MA0089.1.MAFG::NFE2L1	chr9	69987935	69987940	-	0.000	0.000	Merged-chr9-69987848-24
NR36--MA0089.1.MAFG::NFE2L1	chr1	20766678	20766683	-	0.000	0.000	Merged-chr1-20766829-14
NR3117--MA0089.1.MAFG::NFE2L1	chr13	32864703	32864708	-	0.000	0.000	Merged-chr13-32864701-28
NR564--MA0089.1.MAFG::NFE2L1	chr1	132264740	132264745	-	0.000	0.000	Merged-chr1-132264829-22
NR4913--MA0089.1.MAFG::NFE2L1	chr16	64784157	64784162	-	0.000	0.000	Merged-chr16-64783982-5
NR10994--MA0501.1.MAF::NFE2	chr7	45771276	45771290	+	0.000	0.000	Merged-chr7-45771241-24
NR1913--MA0495.2.MAFF	chr11	43174584	43174604	-	0.000	0.000	Merged-chr11-43174624-53
NR4869--MA0591.1.Bach1::Mafk	chr16	55555392	55555406	-	0.000	0.000	Merged-chr16-55555428-28
NR4422--MA0089.1.MAFG::NFE2L1	chr15	78923485	78923490	-	0.000	0.000	Merged-chr15-78923681-44
NR6290--MA0591.1.Bach1::Mafk	chr19	55773301	55773315	+	0.000	0.000	Merged-chr19-55773145-3
NR12451--MA0495.2.MAFF	chr9	72097291	72097311	+	0.000	0.000	Merged-chr9-72097262-35
NR1925--MA0089.1.MAFG::NFE2L1	chr11	48788041	48788046	+	0.000	0.000	Merged-chr11-48788226-76
NR2478--MA0089.1.MAFG::NFE2L1	chr12	16006882	16006887	-	0.000	0.000	Merged-chr12-16006817-52
NR1434--MA0089.1.MAFG::NFE2L1	chr10	78092782	78092787	-	0.000	0.000	Merged-chr10-78092797-33
NR11328--MA0089.1.MAFG::NFE2L1	chr7	112679287	112679292	+	0.000	0.000	Merged-chr7-112679423-49
NR3878--MA0495.2.MAFF	chr14	64884951	64884971	-	0.000	0.000	Merged-chr14-64885056-34
NR8908--MA0591.1.Bach1::Mafk	chr4	129035256	129035270	+	0.000	0.000	Merged-chr4-129035433-55
NR6373--MA0495.2.MAFF	chr2	8870262	8870282	-	0.000	0.000	Merged-chr2-8870300-9
NR10009--MA0117.2.Mafb	chr6	33675663	33675674	+	0.000	0.000	Merged-chr6-33675584-7
NR6003--MA0089.1.MAFG::NFE2L1	chr18	82492980	82492985	+	0.000	0.000	Merged-chr18-82492983-14
NR12896--MA0117.2.Mafb	chrX	75056277	75056288	-	0.000	0.000	Merged-chrX-75056362-10
NR4166--MA0496.2.MAFK	chr15	9535389	9535407	+	0.000	0.000	Merged-chr15-9535427-15
NR4677--MA0591.1.Bach1::Mafk	chr16	18343883	18343897	-	0.000	0.000	Merged-chr16-18343895-61
NR12453--MA0659.1.MAFG	chr9	72097291	72097311	-	0.000	0.000	Merged-chr9-72097262-35
NR2001--MA0501.1.MAF::NFE2	chr11	61629877	61629891	+	0.000	0.000	Merged-chr11-61629890-18
NR3426--MA0495.2.MAFF	chr13	96697952	96697972	-	0.000	0.000	Merged-chr13-96698036-39
NR11800--MA0495.2.MAFF	chr8	75202261	75202281	-	0.000	0.000	Merged-chr8-75202303-18
NR3211--MA0495.2.MAFF	chr13	51738918	51738938	-	0.000	0.000	Merged-chr13-51738760-6
NR4811--MA0089.1.MAFG::NFE2L1	chr16	44778947	44778952	-	0.000	0.000	Merged-chr16-44778885-37
NR11457--MA0117.2.Mafb	chr7	127014384	127014395	+	0.000	0.000	Merged-chr7-127014477-45
NR7846--MA0591.1.Bach1::Mafk	chr3	90587054	90587068	+	0.000	0.000	Merged-chr3-90587051-129
NR4278--MA0496.2.MAFK	chr15	59650976	59650994	+	0.000	0.000	Merged-chr15-59650805-18
NR6384--MA0659.1.MAFG	chr2	9536067	9536087	-	0.000	0.000	Merged-chr2-9536121-12
NR8425--MA0659.1.MAFG	chr4	32257761	32257781	-	0.000	0.000	Merged-chr4-32257822-1
NR6305--MA0089.1.MAFG::NFE2L1	chr19	57131622	57131627	+	0.000	0.000	Merged-chr19-57131601-25
NR7581--MA0117.2.Mafb	chr2	180300403	180300414	+	0.000	0.000	Merged-chr2-180300527-7
NR2678--MA0117.2.Mafb	chr12	85964600	85964611	-	0.000	0.000	Merged-chr12-85964665-5
NR5451--MA0089.1.MAFG::NFE2L1	chr17	72939466	72939471	-	0.000	0.000	Merged-chr17-72939656-64
NR4719--MA0591.1.Bach1::Mafk	chr16	24517910	24517924	-	0.000	0.000	Merged-chr16-24517976-11
NR347--MA0117.2.Mafb	chr1	85953685	85953696	+	0.000	0.000	Merged-chr1-85953523-25
NR2465--MA0591.1.Bach1::Mafk	chr12	12278425	12278439	-	0.000	0.000	Merged-chr12-12278395-37
NR8856--MA0089.1.MAFG::NFE2L1	chr4	120062650	120062655	-	0.000	0.000	Merged-chr4-120062623-32
NR7803--MA0591.1.Bach1::Mafk	chr3	84046622	84046636	-	0.000	0.000	Merged-chr3-84046424-40
NR10365--MA0496.2.MAFK	chr6	106985344	106985362	+	0.000	0.000	Merged-chr6-106985589-26
NR9785--MA0089.1.MAFG::NFE2L1	chr5	135025143	135025148	-	0.000	0.000	Merged-chr5-135024997-58
NR7767--MA0496.2.MAFK	chr3	65516067	65516085	+	0.000	0.000	Merged-chr3-65515971-28
NR111--MA0501.1.MAF::NFE2	chr1	43224401	43224415	-	0.000	0.000	Merged-chr1-43224405-37
NR12885--MA0496.2.MAFK	chrX	59568330	59568348	-	0.000	0.000	Merged-chrX-59568240-6
NR3335--MA0591.1.Bach1::Mafk	chr13	75739141	75739155	-	0.000	0.000	Merged-chr13-75739041-26
NR979--MA0089.1.MAFG::NFE2L1	chr1	183179981	183179986	+	0.000	0.000	Merged-chr1-183179810-7
NR10587--MA0089.1.MAFG::NFE2L1	chr6	130195857	130195862	-	0.000	0.000	Merged-chr6-130195769-5
NR5753--MA0089.1.MAFG::NFE2L1	chr18	55176221	55176226	+	0.000	0.000	Merged-chr18-55176275-18
NR4479--MA0501.1.MAF::NFE2	chr15	83149657	83149671	+	0.000	0.000	Merged-chr15-83149470-115
NR3341--MA0495.2.MAFF	chr13	75844206	75844226	-	0.000	0.000	Merged-chr13-75844274-45
NR6826--MA0591.1.Bach1::Mafk	chr2	101871227	101871241	+	0.000	0.000	Merged-chr2-101871394-25
NR11229--MA0117.2.Mafb	chr7	97361721	97361732	-	0.000	0.000	Merged-chr7-97361642-27
NR9596--MA0089.1.MAFG::NFE2L1	chr5	103719956	103719961	-	0.000	0.000	Merged-chr5-103720100-12
NR12833--MA0089.1.MAFG::NFE2L1	chr9	124028740	124028745	-	0.000	0.000	Merged-chr9-124028680-14
NR4997--MA0659.1.MAFG	chr16	87665446	87665466	-	0.000	0.000	Merged-chr16-87665627-46
NR1721--MA0089.1.MAFG::NFE2L1	chr10	120270956	120270961	+	0.000	0.000	Merged-chr10-120271095-32
NR9508--MA0501.1.MAF::NFE2	chr5	92373330	92373344	-	0.000	0.000	Merged-chr5-92373310-21
NR1230--MA0089.1.MAFG::NFE2L1	chr10	28696586	28696591	-	0.000	0.000	Merged-chr10-28696715-18
NR6163--MA0495.2.MAFF	chr19	32172685	32172705	+	0.000	0.000	Merged-chr19-32172725-56
NR8409--MA0501.1.MAF::NFE2	chr4	20033157	20033171	+	0.000	0.000	Merged-chr4-20033263-40
NR7406--MA0501.1.MAF::NFE2	chr2	164017342	164017356	-	0.000	0.000	Merged-chr2-164017275-1
NR4144--MA0089.1.MAFG::NFE2L1	chr15	5184984	5184989	+	0.000	0.000	Merged-chr15-5185003-3
NR4368--MA0501.1.MAF::NFE2	chr15	73006580	73006594	-	0.000	0.000	Merged-chr15-73006650-8
NR171--MA0089.1.MAFG::NFE2L1	chr1	55489689	55489694	-	0.000	0.000	Merged-chr1-55489612-12
NR7592--MA0591.1.Bach1::Mafk	chr2	181601378	181601392	-	0.000	0.000	Merged-chr2-181601291-52
NR2356--MA0117.2.Mafb	chr11	116198758	116198769	+	0.000	0.000	Merged-chr11-116198930-70
NR3202--MA0501.1.MAF::NFE2	chr13	49294324	49294338	+	0.000	0.000	Merged-chr13-49294257-17
NR1647--MA0089.1.MAFG::NFE2L1	chr10	111214815	111214820	-	0.000	0.000	Merged-chr10-111214498-109
NR9509--MA0495.2.MAFF	chr5	92375101	92375121	+	0.000	0.000	Merged-chr5-92374946-3
NR4068--MA0496.2.MAFK	chr14	105177468	105177486	-	0.000	0.000	Merged-chr14-105177397-2
NR907--MA0117.2.Mafb	chr1	176835123	176835134	-	0.000	0.000	Merged-chr1-176835151-1
NR1167--MA0501.1.MAF::NFE2	chr10	10224830	10224844	+	0.000	0.000	Merged-chr10-10224805-34
NR10710--MA0496.2.MAFK	chr6	142338469	142338487	-	0.000	0.000	Merged-chr6-142338590-4
NR11185--MA0501.1.MAF::NFE2	chr7	88277949	88277963	-	0.000	0.000	Merged-chr7-88277726-133
NR6216--MA0089.1.MAFG::NFE2L1	chr19	40762495	40762500	+	0.000	0.000	Merged-chr19-40762334-20
NR473--MA0089.1.MAFG::NFE2L1	chr1	108038595	108038600	+	0.000	0.000	Merged-chr1-108038539-17
NR9965--MA0496.2.MAFK	chr6	17060330	17060348	-	0.000	0.000	Merged-chr6-17060384-13
NR11877--MA0501.1.MAF::NFE2	chr8	91545802	91545816	-	0.000	0.000	Merged-chr8-91545805-43
NR5335--MA0591.1.Bach1::Mafk	chr17	47511267	47511281	+	0.000	0.000	Merged-chr17-47511428-58
NR9696--MA0089.1.MAFG::NFE2L1	chr5	117388974	117388979	-	0.000	0.000	Merged-chr5-117388866-82
NR10787--MA0089.1.MAFG::NFE2L1	chr6	146081106	146081111	-	0.000	0.000	Merged-chr6-146081045-99
NR3901--MA0495.2.MAFF	chr14	68048502	68048522	-	0.000	0.000	Merged-chr14-68048538-29
NR9871--MA0496.2.MAFK	chr5	146655356	146655374	-	0.000	0.000	Merged-chr5-146655552-37
NR5462--MA0089.1.MAFG::NFE2L1	chr17	74328299	74328304	+	0.000	0.000	Merged-chr17-74328280-11
NR4042--MA0089.1.MAFG::NFE2L1	chr14	103469264	103469269	-	0.000	0.000	Merged-chr14-103469232-2
NR3831--MA0591.1.Bach1::Mafk	chr14	59397160	59397174	+	0.000	0.000	Merged-chr14-59397210-50
NR9719--MA0496.2.MAFK	chr5	121503093	121503111	-	0.000	0.000	Merged-chr5-121503139-12
NR7119--MA0495.2.MAFF	chr2	130030038	130030058	+	0.000	0.000	Merged-chr2-130029976-28
NR5245--MA0501.1.MAF::NFE2	chr17	27800236	27800250	-	0.000	0.000	Merged-chr17-27800159-41
NR10934--MA0496.2.MAFK	chr7	29816017	29816035	-	0.000	0.000	Merged-chr7-29816029-62
NR9102--MA0089.1.MAFG::NFE2L1	chr4	149759588	149759593	+	0.000	0.000	Merged-chr4-149759725-31
NR775--MA0089.1.MAFG::NFE2L1	chr1	160268516	160268521	+	0.000	0.000	Merged-chr1-160268500-8
NR12595--MA0495.2.MAFF	chr9	94441517	94441537	-	0.000	0.000	Merged-chr9-94441414-62
NR4146--MA0501.1.MAF::NFE2	chr15	6129947	6129961	+	0.000	0.000	Merged-chr15-6129923-16
NR6593--MA0089.1.MAFG::NFE2L1	chr2	52345469	52345474	+	0.000	0.000	Merged-chr2-52345388-8
NR9177--MA0501.1.MAF::NFE2	chr5	8056417	8056431	+	0.000	0.000	Merged-chr5-8056503-117
NR3894--MA0089.1.MAFG::NFE2L1	chr14	67951370	67951375	-	0.000	0.000	Merged-chr14-67951518-44
NR7120--MA0591.1.Bach1::Mafk	chr2	130030041	130030055	-	0.000	0.000	Merged-chr2-130029976-28
NR8000--MA0117.2.Mafb	chr3	109352538	109352549	-	0.000	0.000	Merged-chr3-109352543-53
NR12355--MA0117.2.Mafb	chr9	53806928	53806939	-	0.000	0.000	Merged-chr9-53806903-27
NR12214--MA0496.2.MAFK	chr9	15060178	15060196	+	0.000	0.000	Merged-chr9-15060271-40
NR4459--MA0089.1.MAFG::NFE2L1	chr15	81562241	81562246	+	0.000	0.000	Merged-chr15-81562208-7
NR6114--MA0089.1.MAFG::NFE2L1	chr19	18555805	18555810	-	0.000	0.000	Merged-chr19-18555822-23
NR3767--MA0591.1.Bach1::Mafk	chr14	46578217	46578231	-	0.000	0.000	Merged-chr14-46578431-37
NR1191--MA0591.1.Bach1::Mafk	chr10	20104786	20104800	+	0.000	0.000	Merged-chr10-20104701-24
NR3903--MA0659.1.MAFG	chr14	68048502	68048522	-	0.000	0.000	Merged-chr14-68048538-29
NR11357--MA0496.2.MAFK	chr7	117449845	117449863	+	0.000	0.000	Merged-chr7-117449738-12
NR2776--MA0089.1.MAFG::NFE2L1	chr12	100994817	100994822	-	0.000	0.000	Merged-chr12-100994584-90
NR2146--MA0117.2.Mafb	chr11	87662628	87662639	-	0.000	0.000	Merged-chr11-87662654-50
NR7721--MA0591.1.Bach1::Mafk	chr3	55600489	55600503	+	0.000	0.000	Merged-chr3-55600303-1
NR9619--MA0089.1.MAFG::NFE2L1	chr5	107303737	107303742	-	0.000	0.000	Merged-chr5-107303598-32
NR107--MA0089.1.MAFG::NFE2L1	chr1	43168786	43168791	+	0.000	0.000	Merged-chr1-43168933-57
NR11626--MA0089.1.MAFG::NFE2L1	chr8	13599160	13599165	-	0.000	0.000	Merged-chr8-13599016-7
NR12179--MA0089.1.MAFG::NFE2L1	chr8	128646934	128646939	-	0.000	0.000	Merged-chr8-128646767-27
NR7345--MA0089.1.MAFG::NFE2L1	chr2	158160169	158160174	+	0.000	0.000	Merged-chr2-158160127-37
NR4488--MA0591.1.Bach1::Mafk	chr15	83474198	83474212	+	0.000	0.000	Merged-chr15-83474258-63
NR5829--MA0591.1.Bach1::Mafk	chr18	62163118	62163132	+	0.000	0.000	Merged-chr18-62163179-10
NR1443--MA0089.1.MAFG::NFE2L1	chr10	79897682	79897687	+	0.000	0.000	Merged-chr10-79897818-26
NR9706--MA0089.1.MAFG::NFE2L1	chr5	118560785	118560790	+	0.000	0.000	Merged-chr5-118560633-117
NR2529--MA0501.1.MAF::NFE2	chr12	33160631	33160645	+	0.000	0.000	Merged-chr12-33160530-65
NR9755--MA0496.2.MAFK	chr5	125107468	125107486	+	0.000	0.000	Merged-chr5-125107407-3
NR7831--MA0495.2.MAFF	chr3	88491314	88491334	+	0.000	0.000	Merged-chr3-88491281-8
NR2928--MA0495.2.MAFF	chr12	114597840	114597860	-	0.000	0.000	Merged-chr12-114597947-25
NR12127--MA0117.2.Mafb	chr8	126585809	126585820	+	0.000	0.000	Merged-chr8-126585807-45
NR9668--MA0659.1.MAFG	chr5	113664320	113664340	-	0.000	0.000	Merged-chr5-113664370-10
NR828--MA0591.1.Bach1::Mafk	chr1	165682766	165682780	+	0.000	0.000	Merged-chr1-165682736-19
NR1369--MA0089.1.MAFG::NFE2L1	chr10	61940473	61940478	+	0.000	0.000	Merged-chr10-61940523-1
NR11813--MA0089.1.MAFG::NFE2L1	chr8	77482223	77482228	-	0.000	0.000	Merged-chr8-77482121-16
NR2039--MA0591.1.Bach1::Mafk	chr11	69332066	69332080	-	0.000	0.000	Merged-chr11-69332186-23
NR2158--MA0495.2.MAFF	chr11	90196677	90196697	-	0.000	0.000	Merged-chr11-90196675-9
NR9793--MA0117.2.Mafb	chr5	135713469	135713480	+	0.000	0.000	Merged-chr5-135713648-47
NR8548--MA0501.1.MAF::NFE2	chr4	59204836	59204850	-	0.000	0.000	Merged-chr4-59204829-36
NR1079--MA0659.1.MAFG	chr1	191499811	191499831	+	0.000	0.000	Merged-chr1-191499977-31
