#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Prdm1/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.dn.bed
NR190--MA0508.2.PRDM1	chr1	173635160	173635169	+	0.000	0.000	Merged-chr1-173635159-15
NR461--MA0508.2.PRDM1	chr11	118086180	118086189	-	0.000	0.000	Merged-chr11-118086043-2
NR2224--MA0508.2.PRDM1	chr6	33249105	33249114	+	0.000	0.000	Merged-chr6-33249191-56
NR636--MA0508.2.PRDM1	chr13	30792399	30792408	+	0.000	0.000	Merged-chr13-30792464-54
NR126--MA0508.2.PRDM1	chr1	128103200	128103209	-	0.000	0.000	Merged-chr1-128103135-101
NR2713--MA0508.2.PRDM1	chrX	77509282	77509291	+	0.000	0.000	Merged-chrX-77509424-59
NR583--MA0508.2.PRDM1	chr12	117995044	117995053	-	0.000	0.000	Merged-chr12-117995119-48
NR378--MA0508.2.PRDM1	chr10	111156973	111156982	-	0.000	0.000	Merged-chr10-111156928-138
NR758--MA0508.2.PRDM1	chr13	110564221	110564230	+	0.000	0.000	Merged-chr13-110564159-46
NR2726--MA0508.2.PRDM1	chrX	134566758	134566767	+	0.000	0.000	Merged-chrX-134566845-16
NR1710--MA0508.2.PRDM1	chr3	84622122	84622131	+	0.000	0.000	Merged-chr3-84622230-22
NR2150--MA0508.2.PRDM1	chr5	102373745	102373754	+	0.000	0.000	Merged-chr5-102373793-12
NR357--MA0508.2.PRDM1	chr10	99245177	99245186	+	0.000	0.000	Merged-chr10-99245013-5
NR2325--MA0508.2.PRDM1	chr6	129366092	129366101	+	0.000	0.000	Merged-chr6-129366136-25
NR989--MA0508.2.PRDM1	chr15	78596959	78596968	+	0.000	0.000	Merged-chr15-78597127-20
NR2609--MA0508.2.PRDM1	chr9	21235478	21235487	+	0.000	0.000	Merged-chr9-21235513-26
NR859--MA0508.2.PRDM1	chr14	79180670	79180679	-	0.000	0.000	Merged-chr14-79180563-9
NR2699--MA0508.2.PRDM1	chrX	11653504	11653513	-	0.000	0.000	Merged-chrX-11653555-22
NR174--MA0508.2.PRDM1	chr1	159953686	159953695	-	0.000	0.000	Merged-chr1-159953685-19
NR716--MA0508.2.PRDM1	chr13	91636032	91636041	-	0.000	0.000	Merged-chr13-91636122-22
NR1811--MA0508.2.PRDM1	chr3	152193887	152193896	+	0.000	0.000	Merged-chr3-152193769-51
NR729--MA0508.2.PRDM1	chr13	100854321	100854330	-	0.000	0.000	Merged-chr13-100854442-29
NR2277--MA0508.2.PRDM1	chr6	87887792	87887801	+	0.000	0.000	Merged-chr6-87887908-55
NR275--MA0508.2.PRDM1	chr10	40476411	40476420	-	0.000	0.000	Merged-chr10-40476553-4
NR798--MA0508.2.PRDM1	chr14	14716269	14716278	-	0.000	0.000	Merged-chr14-14716073-16
NR179--MA0508.2.PRDM1	chr1	161804526	161804535	+	0.000	0.000	Merged-chr1-161804729-61
NR288--MA0508.2.PRDM1	chr10	52382205	52382214	-	0.000	0.000	Merged-chr10-52382064-99
NR1131--MA0508.2.PRDM1	chr17	12692069	12692078	+	0.000	0.000	Merged-chr17-12692013-52
NR2126--MA0508.2.PRDM1	chr5	85781414	85781423	+	0.000	0.000	Merged-chr5-85781215-4
NR1938--MA0508.2.PRDM1	chr4	86748582	86748591	-	0.000	0.000	Merged-chr4-86748710-108
NR2506--MA0508.2.PRDM1	chr8	26622236	26622245	-	0.000	0.000	Merged-chr8-26622131-10
NR2519--MA0508.2.PRDM1	chr8	46030337	46030346	-	0.000	0.000	Merged-chr8-46030343-32
NR2628--MA0508.2.PRDM1	chr9	60991674	60991683	+	0.000	0.000	Merged-chr9-60991715-48
NR1898--MA0508.2.PRDM1	chr4	59331212	59331221	+	0.000	0.000	Merged-chr4-59331068-10
NR1341--MA0508.2.PRDM1	chr19	9911610	9911619	+	0.000	0.000	Merged-chr19-9911533-24
NR259--MA0508.2.PRDM1	chr10	25387422	25387431	+	0.000	0.000	Merged-chr10-25387454-21
NR2099--MA0508.2.PRDM1	chr5	53213783	53213792	+	0.000	0.000	Merged-chr5-53213963-3
NR1721--MA0508.2.PRDM1	chr3	100969744	100969753	+	0.000	0.000	Merged-chr3-100969599-56
NR940--MA0508.2.PRDM1	chr15	30458924	30458933	-	0.000	0.000	Merged-chr15-30458920-2
NR1354--MA0508.2.PRDM1	chr19	34846599	34846608	-	0.000	0.000	Merged-chr19-34846685-64
NR2588--MA0508.2.PRDM1	chr8	128709380	128709389	-	0.000	0.000	Merged-chr8-128709398-34
NR129--MA0508.2.PRDM1	chr1	131089790	131089799	-	0.000	0.000	Merged-chr1-131089879-35
NR1747--MA0508.2.PRDM1	chr3	123385939	123385948	+	0.000	0.000	Merged-chr3-123385920-64
NR60--MA0508.2.PRDM1	chr1	55088169	55088178	-	0.000	0.000	Merged-chr1-55087990-104
NR1346--MA0508.2.PRDM1	chr19	20409952	20409961	-	0.000	0.000	Merged-chr19-20409885-54
NR198--MA0508.2.PRDM1	chr1	180403776	180403785	-	0.000	0.000	Merged-chr1-180403715-60
NR1564--MA0508.2.PRDM1	chr2	145233990	145233999	+	0.000	0.000	Merged-chr2-145234039-59
NR1150--MA0508.2.PRDM1	chr17	31296185	31296194	-	0.000	0.000	Merged-chr17-31295980-148
NR640--MA0508.2.PRDM1	chr13	34163153	34163162	+	0.000	0.000	Merged-chr13-34163217-77
NR1782--MA0508.2.PRDM1	chr3	142674824	142674833	+	0.000	0.000	Merged-chr3-142674758-15
NR1577--MA0508.2.PRDM1	chr2	153632750	153632759	+	0.000	0.000	Merged-chr2-153632630-73
NR52--MA0508.2.PRDM1	chr1	51155454	51155463	+	0.000	0.000	Merged-chr1-51155443-2
NR1338--MA0508.2.PRDM1	chr19	6980057	6980066	+	0.000	0.000	Merged-chr19-6980205-101
NR1447--MA0508.2.PRDM1	chr2	55068870	55068879	+	0.000	0.000	Merged-chr2-55068760-4
NR2158--MA0508.2.PRDM1	chr5	107546186	107546195	+	0.000	0.000	Merged-chr5-107546120-23
NR1142--MA0508.2.PRDM1	chr17	21469216	21469225	+	0.000	0.000	Merged-chr17-21469407-5
NR980--MA0508.2.PRDM1	chr15	66561049	66561058	+	0.000	0.000	Merged-chr15-66561010-60
NR1665--MA0508.2.PRDM1	chr3	51553251	51553260	-	0.000	0.000	Merged-chr3-51553157-56
NR470--MA0508.2.PRDM1	chr12	8842630	8842639	-	0.000	0.000	Merged-chr12-8842561-54
NR1360--MA0508.2.PRDM1	chr19	42306426	42306435	+	0.000	0.000	Merged-chr19-42306300-48
NR1264--MA0508.2.PRDM1	chr18	38592492	38592501	-	0.000	0.000	Merged-chr18-38592462-9
NR1121--MA0508.2.PRDM1	chr17	5060978	5060987	-	0.000	0.000	Merged-chr17-5060798-16
NR1373--MA0508.2.PRDM1	chr2	6220491	6220500	-	0.000	0.000	Merged-chr2-6220387-36
NR1405--MA0508.2.PRDM1	chr2	27540337	27540346	-	0.000	0.000	Merged-chr2-27540208-76
NR23--MA0508.2.PRDM1	chr1	20820395	20820404	+	0.000	0.000	Merged-chr1-20820206-62
NR462--MA0508.2.PRDM1	chr11	118348902	118348911	+	0.000	0.000	Merged-chr11-118348908-46
NR1081--MA0508.2.PRDM1	chr16	65135976	65135985	+	0.000	0.000	Merged-chr16-65135972-1
NR1147--MA0508.2.PRDM1	chr17	28523141	28523150	-	0.000	0.000	Merged-chr17-28522997-85
NR985--MA0508.2.PRDM1	chr15	73146892	73146901	+	0.000	0.000	Merged-chr15-73146986-37
NR1875--MA0508.2.PRDM1	chr4	41064283	41064292	+	0.000	0.000	Merged-chr4-41064306-11
NR2430--MA0508.2.PRDM1	chr7	80232607	80232616	+	0.000	0.000	Merged-chr7-80232686-63
NR332--MA0508.2.PRDM1	chr10	82778359	82778368	+	0.000	0.000	Merged-chr10-82778212-17
NR1017--MA0508.2.PRDM1	chr16	10741345	10741354	+	0.000	0.000	Merged-chr16-10741370-34
