#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Runx/Bcl6KO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed
NR8337--MA0684.1.RUNX3	chr6	130538634	130538643	+	0.000	0.000	Merged-chr6-130538609-12
NR3181--MA0002.2.RUNX1	chr14	65085987	65085997	-	0.000	0.000	Merged-chr14-65085907-26
NR8189--MA0002.2.RUNX1	chr6	113681490	113681500	+	0.000	0.000	Merged-chr6-113681431-40
NR2278--MA0002.2.RUNX1	chr12	99576853	99576863	-	0.000	0.000	Merged-chr12-99576915-38
NR296--MA0684.1.RUNX3	chr1	94074943	94074952	-	0.000	0.000	Merged-chr1-94075001-17
NR5655--MA0002.2.RUNX1	chr2	90563610	90563620	-	0.000	0.000	Merged-chr2-90563524-16
NR2234--MA0511.2.RUNX2	chr12	91765685	91765693	+	0.000	0.000	Merged-chr12-91765630-19
NR6038--MA0684.1.RUNX3	chr2	166050084	166050093	-	0.000	0.000	Merged-chr2-166050194-5
NR8317--MA0002.2.RUNX1	chr6	128964724	128964734	+	0.000	0.000	Merged-chr6-128964717-18
NR6309--MA0684.1.RUNX3	chr3	84622164	84622173	+	0.000	0.000	Merged-chr3-84622230-22
NR375--MA0511.2.RUNX2	chr1	131446758	131446766	-	0.000	0.000	Merged-chr1-131446788-25
NR3660--MA0511.2.RUNX2	chr15	78528437	78528445	-	0.000	0.000	Merged-chr15-78528404-62
NR8175--MA0684.1.RUNX3	chr6	108630933	108630942	-	0.000	0.000	Merged-chr6-108631007-44
NR8717--MA0684.1.RUNX3	chr7	80209933	80209942	-	0.000	0.000	Merged-chr7-80209951-53
NR6766--MA0684.1.RUNX3	chr4	34848060	34848069	-	0.000	0.000	Merged-chr4-34847989-14
NR9872--MA0684.1.RUNX3	chr9	95832943	95832952	-	0.000	0.000	Merged-chr9-95832946-23
NR3627--MA0002.2.RUNX1	chr15	75116702	75116712	+	0.000	0.000	Merged-chr15-75116670-38
NR4215--MA0684.1.RUNX3	chr17	6008218	6008227	-	0.000	0.000	Merged-chr17-6008372-53
NR4338--MA0002.2.RUNX1	chr17	29003948	29003958	-	0.000	0.000	Merged-chr17-29004081-17
NR9680--MA0511.2.RUNX2	chr9	56104474	56104482	+	0.000	0.000	Merged-chr9-56104454-58
NR8303--MA0684.1.RUNX3	chr6	128769642	128769651	+	0.000	0.000	Merged-chr6-128769715-5
NR3879--MA0002.2.RUNX1	chr16	26668076	26668086	+	0.000	0.000	Merged-chr16-26667963-36
NR1804--MA0002.2.RUNX1	chr11	94275851	94275861	-	0.000	0.000	Merged-chr11-94275707-70
NR9581--MA0002.2.RUNX1	chr9	21909407	21909417	-	0.000	0.000	Merged-chr9-21909581-5
NR8111--MA0511.2.RUNX2	chr6	87541295	87541303	+	0.000	0.000	Merged-chr6-87541310-26
NR7573--MA0684.1.RUNX3	chr5	105556342	105556351	-	0.000	0.000	Merged-chr5-105556395-18
NR9647--MA0002.2.RUNX1	chr9	45294722	45294732	+	0.000	0.000	Merged-chr9-45294452-56
NR7030--MA0002.2.RUNX1	chr4	118162267	118162277	+	0.000	0.000	Merged-chr4-118162293-29
NR1884--MA0511.2.RUNX2	chr11	104319390	104319398	-	0.000	0.000	Merged-chr11-104319373-20
NR3670--MA0002.2.RUNX1	chr15	79106394	79106404	-	0.000	0.000	Merged-chr15-79106424-9
NR3736--MA0002.2.RUNX1	chr15	93486791	93486801	+	0.000	0.000	Merged-chr15-93487007-12
NR5972--MA0511.2.RUNX2	chr2	158791931	158791939	-	0.000	0.000	Merged-chr2-158791796-5
NR136--MA0511.2.RUNX2	chr1	60240769	60240777	-	0.000	0.000	Merged-chr1-60240726-17
NR407--MA0511.2.RUNX2	chr1	135268272	135268280	-	0.000	0.000	Merged-chr1-135268339-27
NR5816--MA0684.1.RUNX3	chr2	130555044	130555053	-	0.000	0.000	Merged-chr2-130555023-33
NR6256--MA0684.1.RUNX3	chr3	59081425	59081434	+	0.000	0.000	Merged-chr3-59081244-57
NR8059--MA0002.2.RUNX1	chr6	70831372	70831382	-	0.000	0.000	Merged-chr6-70831450-1
NR1371--MA0002.2.RUNX1	chr10	122748709	122748719	+	0.000	0.000	Merged-chr10-122748643-28
NR9690--MA0002.2.RUNX1	chr9	57759579	57759589	-	0.000	0.000	Merged-chr9-57759618-20
NR2148--MA0002.2.RUNX1	chr12	69579835	69579845	-	0.000	0.000	Merged-chr12-69579802-27
NR166--MA0684.1.RUNX3	chr1	62843469	62843478	+	0.000	0.000	Merged-chr1-62843391-6
NR2419--MA0002.2.RUNX1	chr12	115055202	115055212	+	0.000	0.000	Merged-chr12-115055317-37
NR1689--MA0002.2.RUNX1	chr11	76770773	76770783	-	0.000	0.000	Merged-chr11-76770779-7
NR9071--MA0002.2.RUNX1	chr7	140208240	140208250	+	0.000	0.000	Merged-chr7-140208138-66
NR7810--MA0684.1.RUNX3	chr5	140595006	140595015	+	0.000	0.000	Merged-chr5-140595051-2
NR2548--MA0684.1.RUNX3	chr13	19219834	19219843	+	0.000	0.000	Merged-chr13-19219739-41
NR3801--MA0511.2.RUNX2	chr16	4736428	4736436	-	0.000	0.000	Merged-chr16-4736414-28
NR7662--MA0002.2.RUNX1	chr5	114041829	114041839	-	0.000	0.000	Merged-chr5-114041714-24
NR55--MA0002.2.RUNX1	chr1	37473509	37473519	-	0.000	0.000	Merged-chr1-37473461-33
NR9742--MA0684.1.RUNX3	chr9	66883764	66883773	+	0.000	0.000	Merged-chr9-66883654-39
NR7791--MA0684.1.RUNX3	chr5	138657856	138657865	+	0.000	0.000	Merged-chr5-138657986-28
NR6444--MA0511.2.RUNX2	chr3	108061524	108061532	+	0.000	0.000	Merged-chr3-108061628-33
NR275--MA0684.1.RUNX3	chr1	91049441	91049450	+	0.000	0.000	Merged-chr1-91049511-13
NR9550--MA0511.2.RUNX2	chr8	128577441	128577449	-	0.000	0.000	Merged-chr8-128577516-12
NR5905--MA0002.2.RUNX1	chr2	150307354	150307364	-	0.000	0.000	Merged-chr2-150307166-50
NR8025--MA0002.2.RUNX1	chr6	53589949	53589959	+	0.000	0.000	Merged-chr6-53589975-53
NR1946--MA0684.1.RUNX3	chr11	109790430	109790439	-	0.000	0.000	Merged-chr11-109790418-22
NR1132--MA0002.2.RUNX1	chr10	77478379	77478389	+	0.000	0.000	Merged-chr10-77478359-10
NR2657--MA0684.1.RUNX3	chr13	47105883	47105892	+	0.000	0.000	Merged-chr13-47106094-91
NR8918--MA0511.2.RUNX2	chr7	118254168	118254176	-	0.000	0.000	Merged-chr7-118254195-24
NR5220--MA0002.2.RUNX1	chr19	44295863	44295873	-	0.000	0.000	Merged-chr19-44295859-46
NR4416--MA0511.2.RUNX2	chr17	45433669	45433677	+	0.000	0.000	Merged-chr17-45433642-78
NR2194--MA0511.2.RUNX2	chr12	82268113	82268121	-	0.000	0.000	Merged-chr12-82268056-22
NR1261--MA0684.1.RUNX3	chr10	96015687	96015696	-	0.000	0.000	Merged-chr10-96015913-48
NR3064--MA0002.2.RUNX1	chr14	40956702	40956712	-	0.000	0.000	Merged-chr14-40956605-62
NR9580--MA0684.1.RUNX3	chr9	21411819	21411828	-	0.000	0.000	Merged-chr9-21411941-54
NR3606--MA0002.2.RUNX1	chr15	67095539	67095549	+	0.000	0.000	Merged-chr15-67095617-30
NR1926--MA0002.2.RUNX1	chr11	108318137	108318147	-	0.000	0.000	Merged-chr11-108318112-2
NR2038--MA0684.1.RUNX3	chr12	13512612	13512621	+	0.000	0.000	Merged-chr12-13512538-15
NR9103--MA0002.2.RUNX1	chr7	142910327	142910337	+	0.000	0.000	Merged-chr7-142910300-13
NR1611--MA0511.2.RUNX2	chr11	55072723	55072731	+	0.000	0.000	Merged-chr11-55072689-24
NR179--MA0684.1.RUNX3	chr1	66816208	66816217	+	0.000	0.000	Merged-chr1-66816152-31
NR3858--MA0002.2.RUNX1	chr16	23322602	23322612	+	0.000	0.000	Merged-chr16-23322651-8
NR9831--MA0002.2.RUNX1	chr9	86624344	86624354	+	0.000	0.000	Merged-chr9-86624608-86
NR9626--MA0002.2.RUNX1	chr9	42418691	42418701	-	0.000	0.000	Merged-chr9-42418757-6
NR3715--MA0002.2.RUNX1	chr15	85982270	85982280	-	0.000	0.000	Merged-chr15-85982300-69
NR1764--MA0002.2.RUNX1	chr11	86573727	86573737	-	0.000	0.000	Merged-chr11-86573865-29
NR4870--MA0002.2.RUNX1	chr18	67464728	67464738	+	0.000	0.000	Merged-chr18-67464848-45
NR2147--MA0684.1.RUNX3	chr12	69539513	69539522	+	0.000	0.000	Merged-chr12-69539558-45
NR9212--MA0002.2.RUNX1	chr8	36182455	36182465	-	0.000	0.000	Merged-chr8-36182321-59
NR2418--MA0684.1.RUNX3	chr12	115027211	115027220	-	0.000	0.000	Merged-chr12-115027175-2
NR3301--MA0002.2.RUNX1	chr14	102828680	102828690	-	0.000	0.000	Merged-chr14-102828632-27
NR8594--MA0511.2.RUNX2	chr7	44528089	44528097	-	0.000	0.000	Merged-chr7-44527953-37
NR2399--MA0684.1.RUNX3	chr12	114615864	114615873	+	0.000	0.000	Merged-chr12-114615725-85
NR7932--MA0684.1.RUNX3	chr6	31126562	31126571	+	0.000	0.000	Merged-chr6-31126464-93
NR9464--MA0002.2.RUNX1	chr8	122008583	122008593	+	0.000	0.000	Merged-chr8-122008515-14
NR7784--MA0002.2.RUNX1	chr5	137692096	137692106	-	0.000	0.000	Merged-chr5-137692077-23
NR5776--MA0684.1.RUNX3	chr2	126252466	126252475	+	0.000	0.000	Merged-chr2-126252361-10
NR2127--MA0002.2.RUNX1	chr12	55016449	55016459	+	0.000	0.000	Merged-chr12-55016281-3
NR145--MA0684.1.RUNX3	chr1	60749551	60749560	-	0.000	0.000	Merged-chr1-60749384-12
NR1397--MA0002.2.RUNX1	chr10	128504823	128504833	+	0.000	0.000	Merged-chr10-128504918-39
NR1002--MA0002.2.RUNX1	chr10	57799672	57799682	-	0.000	0.000	Merged-chr10-57799667-19
NR4207--MA0684.1.RUNX3	chr17	5107994	5108003	-	0.000	0.000	Merged-chr17-5107865-36
NR2379--MA0002.2.RUNX1	chr12	112587318	112587328	+	0.000	0.000	Merged-chr12-112587298-29
NR7436--MA0002.2.RUNX1	chr5	63768030	63768040	-	0.000	0.000	Merged-chr5-63767981-25
NR3682--MA0684.1.RUNX3	chr15	80572481	80572490	-	0.000	0.000	Merged-chr15-80572443-63
NR5756--MA0002.2.RUNX1	chr2	120599744	120599754	-	0.000	0.000	Merged-chr2-120599667-35
NR5170--MA0511.2.RUNX2	chr19	34168162	34168170	-	0.000	0.000	Merged-chr19-34168201-28
NR5441--MA0511.2.RUNX2	chr2	30897091	30897099	+	0.000	0.000	Merged-chr2-30897276-26
NR1525--MA0002.2.RUNX1	chr11	34009518	34009528	-	0.000	0.000	Merged-chr11-34009597-4
NR3761--MA0511.2.RUNX2	chr15	97836699	97836707	-	0.000	0.000	Merged-chr15-97837039-84
NR3827--MA0511.2.RUNX2	chr16	14088428	14088436	-	0.000	0.000	Merged-chr16-14088440-49
NR5071--MA0002.2.RUNX1	chr19	10880208	10880218	+	0.000	0.000	Merged-chr19-10880366-39
NR5342--MA0002.2.RUNX1	chr2	6162865	6162875	+	0.000	0.000	Merged-chr2-6162817-31
NR10254--MA0002.2.RUNX1	chrX	167318993	167319003	+	0.000	0.000	Merged-chrX-167319032-24
NR1111--MA0002.2.RUNX1	chr10	75429721	75429731	-	0.000	0.000	Merged-chr10-75429705-8
NR6119--MA0002.2.RUNX1	chr2	178098005	178098015	-	0.000	0.000	Merged-chr2-178098176-53
NR4439--MA0002.2.RUNX1	chr17	47754380	47754390	+	0.000	0.000	Merged-chr17-47754343-10
NR6199--MA0511.2.RUNX2	chr3	37157322	37157330	-	0.000	0.000	Merged-chr3-37157248-37
NR9781--MA0511.2.RUNX2	chr9	75805158	75805166	+	0.000	0.000	Merged-chr9-75805166-16
NR7816--MA0002.2.RUNX1	chr5	141004561	141004571	+	0.000	0.000	Merged-chr5-141004418-16
NR7230--MA0511.2.RUNX2	chr4	150269496	150269504	+	0.000	0.000	Merged-chr4-150269601-64
NR1511--MA0684.1.RUNX3	chr11	32445733	32445742	+	0.000	0.000	Merged-chr11-32445818-14
NR3043--MA0002.2.RUNX1	chr14	26491382	26491392	-	0.000	0.000	Merged-chr14-26491416-20
NR5550--MA0511.2.RUNX2	chr2	65133924	65133932	+	0.000	0.000	Merged-chr2-65133825-19
NR3870--MA0511.2.RUNX2	chr16	24448611	24448619	-	0.000	0.000	Merged-chr16-24448687-6
NR9953--MA0002.2.RUNX1	chr9	110916895	110916905	+	0.000	0.000	Merged-chr9-110916944-19
NR7945--MA0684.1.RUNX3	chr6	38320859	38320868	-	0.000	0.000	Merged-chr6-38320889-16
NR9477--MA0002.2.RUNX1	chr8	122565117	122565127	+	0.000	0.000	Merged-chr8-122564920-4
NR6056--MA0511.2.RUNX2	chr2	168429763	168429771	+	0.000	0.000	Merged-chr2-168429700-17
NR7797--MA0002.2.RUNX1	chr5	139161164	139161174	+	0.000	0.000	Merged-chr5-139161216-37
NR6327--MA0511.2.RUNX2	chr3	87274562	87274570	-	0.000	0.000	Merged-chr3-87274512-10
NR8385--MA0684.1.RUNX3	chr6	140493270	140493279	+	0.000	0.000	Merged-chr6-140493334-8
NR5451--MA0002.2.RUNX1	chr2	32514517	32514527	-	0.000	0.000	Merged-chr2-32514526-37
NR8656--MA0684.1.RUNX3	chr7	66253504	66253513	+	0.000	0.000	Merged-chr7-66253544-6
NR158--MA0684.1.RUNX3	chr1	61424265	61424274	+	0.000	0.000	Merged-chr1-61424221-7
NR1763--MA0684.1.RUNX3	chr11	86386114	86386123	-	0.000	0.000	Merged-chr11-86385972-25
NR80--MA0511.2.RUNX2	chr1	40515391	40515399	+	0.000	0.000	Merged-chr1-40515347-62
NR3837--MA0002.2.RUNX1	chr16	17111193	17111203	-	0.000	0.000	Merged-chr16-17111088-81
NR4425--MA0684.1.RUNX3	chr17	45703419	45703428	+	0.000	0.000	Merged-chr17-45703436-19
NR3522--MA0511.2.RUNX2	chr15	51842718	51842726	+	0.000	0.000	Merged-chr15-51842617-12
NR7383--MA0002.2.RUNX1	chr5	36722553	36722563	+	0.000	0.000	Merged-chr5-36722614-37
NR5917--MA0684.1.RUNX3	chr2	151974258	151974267	-	0.000	0.000	Merged-chr2-151974232-5
NR3423--MA0002.2.RUNX1	chr15	5694034	5694044	+	0.000	0.000	Merged-chr15-5693934-13
NR1415--MA0684.1.RUNX3	chr11	3387160	3387169	-	0.000	0.000	Merged-chr11-3387260-37
NR9791--MA0002.2.RUNX1	chr9	79919425	79919435	-	0.000	0.000	Merged-chr9-79919473-56
NR489--MA0511.2.RUNX2	chr1	156408250	156408258	-	0.000	0.000	Merged-chr1-156408256-35
NR7240--MA0002.2.RUNX1	chr4	150566318	150566328	+	0.000	0.000	Merged-chr4-150566221-49
NR7511--MA0002.2.RUNX1	chr5	92245660	92245670	+	0.000	0.000	Merged-chr5-92245649-42
NR5898--MA0684.1.RUNX3	chr2	148191746	148191755	+	0.000	0.000	Merged-chr2-148191658-6
NR3946--MA0002.2.RUNX1	chr16	43661735	43661745	+	0.000	0.000	Merged-chr16-43661789-37
NR5311--MA0511.2.RUNX2	chr19	58238495	58238503	-	0.000	0.000	Merged-chr19-58238492-37
NR90--MA0002.2.RUNX1	chr1	43897360	43897370	-	0.000	0.000	Merged-chr1-43897288-49
NR7829--MA0002.2.RUNX1	chr5	144221511	144221521	-	0.000	0.000	Merged-chr5-144221643-44
NR1524--MA0684.1.RUNX3	chr11	34000613	34000622	-	0.000	0.000	Merged-chr11-34000673-2
NR1647--MA0002.2.RUNX1	chr11	69089345	69089355	+	0.000	0.000	Merged-chr11-69089284-10
NR9695--MA0002.2.RUNX1	chr9	57968576	57968586	-	0.000	0.000	Merged-chr9-57968801-58
NR7021--MA0684.1.RUNX3	chr4	116301150	116301159	-	0.000	0.000	Merged-chr4-116301152-13
NR9966--MA0002.2.RUNX1	chr9	114440787	114440797	+	0.000	0.000	Merged-chr9-114440811-53
NR4309--MA0002.2.RUNX1	chr17	24952718	24952728	-	0.000	0.000	Merged-chr17-24952658-7
NR5464--MA0002.2.RUNX1	chr2	34074241	34074251	+	0.000	0.000	Merged-chr2-34074171-45
NR3579--MA0002.2.RUNX1	chr15	61408832	61408842	-	0.000	0.000	Merged-chr15-61408601-39
NR9347--MA0002.2.RUNX1	chr8	94969848	94969858	+	0.000	0.000	Merged-chr8-94970048-23
NR5593--MA0684.1.RUNX3	chr2	73597937	73597946	+	0.000	0.000	Merged-chr2-73597981-26
NR7872--MA0002.2.RUNX1	chr5	150717959	150717969	-	0.000	0.000	Merged-chr5-150717955-23
NR1584--MA0511.2.RUNX2	chr11	52224161	52224169	+	0.000	0.000	Merged-chr11-52224357-50
NR5050--MA0002.2.RUNX1	chr19	8592422	8592432	-	0.000	0.000	Merged-chr19-8592238-38
NR10233--MA0002.2.RUNX1	chrX	159826262	159826272	-	0.000	0.000	Merged-chrX-159826450-12
NR1756--MA0002.2.RUNX1	chr11	85541617	85541627	-	0.000	0.000	Merged-chr11-85541666-11
NR8129--MA0511.2.RUNX2	chr6	97235086	97235094	-	0.000	0.000	Merged-chr6-97234982-1
NR8778--MA0684.1.RUNX3	chr7	98090400	98090409	+	0.000	0.000	Merged-chr7-98090470-13
NR5639--MA0002.2.RUNX1	chr2	80684883	80684893	-	0.000	0.000	Merged-chr2-80684823-58
NR1885--MA0684.1.RUNX3	chr11	104319389	104319398	-	0.000	0.000	Merged-chr11-104319373-20
NR1071--MA0002.2.RUNX1	chr10	67658076	67658086	+	0.000	0.000	Merged-chr10-67657975-87
NR4276--MA0684.1.RUNX3	chr17	18718439	18718448	+	0.000	0.000	Merged-chr17-18718477-13
NR3151--MA0684.1.RUNX3	chr14	60744638	60744647	-	0.000	0.000	Merged-chr14-60744715-28
NR1471--MA0684.1.RUNX3	chr11	14142622	14142631	-	0.000	0.000	Merged-chr11-14142731-31
NR6479--MA0684.1.RUNX3	chr3	115793772	115793781	-	0.000	0.000	Merged-chr3-115793653-57
NR10071--MA0002.2.RUNX1	chr9	123814394	123814404	-	0.000	0.000	Merged-chr9-123814525-64
NR3816--MA0002.2.RUNX1	chr16	10815182	10815192	-	0.000	0.000	Merged-chr16-10815093-30
NR4799--MA0684.1.RUNX3	chr18	56413121	56413130	-	0.000	0.000	Merged-chr18-56413005-50
NR8172--MA0511.2.RUNX2	chr6	108561135	108561143	+	0.000	0.000	Merged-chr6-108561234-16
NR5830--MA0684.1.RUNX3	chr2	135737686	135737695	-	0.000	0.000	Merged-chr2-135737673-31
NR9664--MA0511.2.RUNX2	chr9	52073830	52073838	-	0.000	0.000	Merged-chr9-52073999-13
NR5477--MA0002.2.RUNX1	chr2	44324033	44324043	+	0.000	0.000	Merged-chr2-44324055-19
NR9935--MA0511.2.RUNX2	chr9	108083386	108083394	-	0.000	0.000	Merged-chr9-108083224-47
NR2327--MA0511.2.RUNX2	chr12	105718792	105718800	+	0.000	0.000	Merged-chr12-105718832-21
NR6188--MA0002.2.RUNX1	chr3	30876915	30876925	+	0.000	0.000	Merged-chr3-30876888-40
NR5162--MA0511.2.RUNX2	chr19	32791966	32791974	-	0.000	0.000	Merged-chr19-32791960-10
NR3802--MA0684.1.RUNX3	chr16	4736427	4736436	-	0.000	0.000	Merged-chr16-4736414-28
NR3383--MA0002.2.RUNX1	chr14	121983212	121983222	+	0.000	0.000	Merged-chr14-121983424-16
NR3654--MA0002.2.RUNX1	chr15	77877412	77877422	-	0.000	0.000	Merged-chr15-77877456-21
NR10180--MA0002.2.RUNX1	chrX	77580135	77580145	+	0.000	0.000	Merged-chrX-77580117-37
NR9151--MA0002.2.RUNX1	chr8	18626573	18626583	-	0.000	0.000	Merged-chr8-18626725-25
NR12--MA0684.1.RUNX3	chr1	7147198	7147207	+	0.000	0.000	Merged-chr1-7147128-26
NR6667--MA0511.2.RUNX2	chr3	149443136	149443144	-	0.000	0.000	Merged-chr3-149443176-11
NR1725--MA0511.2.RUNX2	chr11	80323508	80323516	+	0.000	0.000	Merged-chr11-80323459-26
NR5586--MA0002.2.RUNX1	chr2	73451719	73451729	-	0.000	0.000	Merged-chr2-73451691-5
NR4116--MA0511.2.RUNX2	chr16	91826035	91826043	-	0.000	0.000	Merged-chr16-91826142-52
NR1503--MA0684.1.RUNX3	chr11	30191844	30191853	+	0.000	0.000	Merged-chr11-30191741-3
NR5271--MA0511.2.RUNX2	chr19	56530751	56530759	+	0.000	0.000	Merged-chr19-56530729-50
NR9674--MA0002.2.RUNX1	chr9	54612825	54612835	+	0.000	0.000	Merged-chr9-54612864-43
NR4017--MA0002.2.RUNX1	chr16	55520063	55520073	+	0.000	0.000	Merged-chr16-55519957-45
NR5986--MA0684.1.RUNX3	chr2	163084464	163084473	-	0.000	0.000	Merged-chr2-163084384-15
NR5443--MA0002.2.RUNX1	chr2	30897112	30897122	-	0.000	0.000	Merged-chr2-30897276-26
NR8648--MA0684.1.RUNX3	chr7	64090213	64090222	-	0.000	0.000	Merged-chr7-64090173-26
NR3706--MA0684.1.RUNX3	chr15	84681932	84681941	-	0.000	0.000	Merged-chr15-84682027-1
NR5238--MA0002.2.RUNX1	chr19	53461520	53461530	-	0.000	0.000	Merged-chr19-53461472-73
NR10084--MA0002.2.RUNX1	chr9	124146417	124146427	-	0.000	0.000	Merged-chr9-124146419-55
NR4417--MA0684.1.RUNX3	chr17	45433669	45433678	+	0.000	0.000	Merged-chr17-45433642-78
NR7375--MA0002.2.RUNX1	chr5	35166060	35166070	+	0.000	0.000	Merged-chr5-35166204-55
NR9882--MA0511.2.RUNX2	chr9	96583333	96583341	-	0.000	0.000	Merged-chr9-96583315-51
NR1612--MA0684.1.RUNX3	chr11	55072723	55072732	+	0.000	0.000	Merged-chr11-55072689-24
NR845--MA0002.2.RUNX1	chr10	18892345	18892355	-	0.000	0.000	Merged-chr10-18892324-9
NR8108--MA0511.2.RUNX2	chr6	86850881	86850889	-	0.000	0.000	Merged-chr6-86850884-40
NR7232--MA0002.2.RUNX1	chr4	150269502	150269512	-	0.000	0.000	Merged-chr4-150269601-64
NR6157--MA0511.2.RUNX2	chr3	14979457	14979465	-	0.000	0.000	Merged-chr3-14979339-24
NR3815--MA0684.1.RUNX3	chr16	10783392	10783401	-	0.000	0.000	Merged-chr16-10783266-6
NR3667--MA0002.2.RUNX1	chr15	78804221	78804231	-	0.000	0.000	Merged-chr15-78804260-4
NR1050--MA0002.2.RUNX1	chr10	60697258	60697268	-	0.000	0.000	Merged-chr10-60697198-23
NR3938--MA0002.2.RUNX1	chr16	38403790	38403800	-	0.000	0.000	Merged-chr16-38403737-54
NR9991--MA0511.2.RUNX2	chr9	115526287	115526295	-	0.000	0.000	Merged-chr9-115526484-32
NR1738--MA0511.2.RUNX2	chr11	83065349	83065357	+	0.000	0.000	Merged-chr11-83065248-62
NR831--MA0684.1.RUNX3	chr10	14066228	14066237	+	0.000	0.000	Merged-chr10-14066140-19
NR5204--MA0002.2.RUNX1	chr19	41330220	41330230	-	0.000	0.000	Merged-chr19-41330336-17
NR6901--MA0002.2.RUNX1	chr4	88088935	88088945	+	0.000	0.000	Merged-chr4-88088936-18
NR5062--MA0684.1.RUNX3	chr19	9104136	9104145	+	0.000	0.000	Merged-chr19-9104149-11
NR7341--MA0002.2.RUNX1	chr5	23637511	23637521	-	0.000	0.000	Merged-chr5-23637519-38
NR7407--MA0002.2.RUNX1	chr5	44181982	44181992	-	0.000	0.000	Merged-chr5-44181891-36
NR1497--MA0684.1.RUNX3	chr11	30127011	30127020	+	0.000	0.000	Merged-chr11-30127050-28
NR6882--MA0002.2.RUNX1	chr4	82513397	82513407	+	0.000	0.000	Merged-chr4-82513258-36
NR9273--MA0002.2.RUNX1	chr8	72350936	72350946	-	0.000	0.000	Merged-chr8-72350903-23
NR3732--MA0511.2.RUNX2	chr15	93302064	93302072	-	0.000	0.000	Merged-chr15-93302109-22
NR7864--MA0002.2.RUNX1	chr5	149368333	149368343	+	0.000	0.000	Merged-chr5-149368318-30
NR6789--MA0511.2.RUNX2	chr4	44962502	44962510	+	0.000	0.000	Merged-chr4-44962580-14
NR7388--MA0002.2.RUNX1	chr5	37047434	37047444	+	0.000	0.000	Merged-chr5-37047557-24
NR3510--MA0684.1.RUNX3	chr15	41846675	41846684	-	0.000	0.000	Merged-chr15-41846585-48
NR9895--MA0511.2.RUNX2	chr9	98333430	98333438	+	0.000	0.000	Merged-chr9-98333368-51
NR9500--MA0511.2.RUNX2	chr8	124317964	124317972	-	0.000	0.000	Merged-chr8-124317867-82
NR4238--MA0511.2.RUNX2	chr17	12163002	12163010	-	0.000	0.000	Merged-chr17-12163028-32
NR7344--MA0511.2.RUNX2	chr5	23719094	23719102	+	0.000	0.000	Merged-chr5-23719169-48
NR1477--MA0002.2.RUNX1	chr11	19972599	19972609	+	0.000	0.000	Merged-chr11-19972622-7
NR9796--MA0002.2.RUNX1	chr9	80266694	80266704	+	0.000	0.000	Merged-chr9-80266579-55
NR1433--MA0511.2.RUNX2	chr11	5336951	5336959	+	0.000	0.000	Merged-chr11-5336904-17
NR5836--MA0002.2.RUNX1	chr2	136889009	136889019	+	0.000	0.000	Merged-chr2-136888885-4
NR3014--MA0002.2.RUNX1	chr14	20025508	20025518	-	0.000	0.000	Merged-chr14-20025381-48
NR1334--MA0002.2.RUNX1	chr10	118407240	118407250	-	0.000	0.000	Merged-chr10-118407091-36
NR5694--MA0684.1.RUNX3	chr2	103659786	103659795	-	0.000	0.000	Merged-chr2-103659777-12
NR5422--MA0002.2.RUNX1	chr2	26902994	26903004	-	0.000	0.000	Merged-chr2-26902897-56
NR129--MA0684.1.RUNX3	chr1	59917568	59917577	-	0.000	0.000	Merged-chr1-59917651-27
NR9404--MA0511.2.RUNX2	chr8	111998969	111998977	+	0.000	0.000	Merged-chr8-111998914-9
NR1734--MA0684.1.RUNX3	chr11	81613445	81613454	-	0.000	0.000	Merged-chr11-81613412-31
NR4963--MA0002.2.RUNX1	chr18	81430069	81430079	+	0.000	0.000	Merged-chr18-81430139-51
NR9305--MA0002.2.RUNX1	chr8	84148088	84148098	+	0.000	0.000	Merged-chr8-84147896-59
NR5674--MA0002.2.RUNX1	chr2	101762690	101762700	+	0.000	0.000	Merged-chr2-101762548-65
NR1608--MA0511.2.RUNX2	chr11	55031376	55031384	+	0.000	0.000	Merged-chr11-55031517-56
NR3666--MA0684.1.RUNX3	chr15	78614699	78614708	+	0.000	0.000	Merged-chr15-78614745-50
NR18--MA0002.2.RUNX1	chr1	13559517	13559527	-	0.000	0.000	Merged-chr1-13559747-54
NR5198--MA0002.2.RUNX1	chr19	40618053	40618063	+	0.000	0.000	Merged-chr19-40618053-6
NR5469--MA0002.2.RUNX1	chr2	35448795	35448805	+	0.000	0.000	Merged-chr2-35448714-11
NR3123--MA0002.2.RUNX1	chr14	54227640	54227650	-	0.000	0.000	Merged-chr14-54227788-83
NR824--MA0002.2.RUNX1	chr10	12842824	12842834	+	0.000	0.000	Merged-chr10-12842715-46
NR1172--MA0002.2.RUNX1	chr10	82887536	82887546	-	0.000	0.000	Merged-chr10-82887554-36
NR9705--MA0684.1.RUNX3	chr9	61630506	61630515	+	0.000	0.000	Merged-chr9-61630561-11
NR189--MA0511.2.RUNX2	chr1	67181367	67181375	+	0.000	0.000	Merged-chr1-67181322-10
