#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Runx/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed
NR8533--MA0511.2.RUNX2	chr6	86850881	86850889	-	0.000	0.000	Merged-chr6-86850884-40
NR5920--MA0684.1.RUNX3	chr2	98662609	98662618	-	0.000	0.000	Merged-chr2-98662597-69
NR50--MA0002.2.RUNX1	chr1	37471644	37471654	-	0.000	0.000	Merged-chr1-37471561-5
NR8040--MA0684.1.RUNX3	chr5	112242446	112242455	-	0.000	0.000	Merged-chr5-112242517-49
NR5772--MA0002.2.RUNX1	chr2	68434868	68434878	-	0.000	0.000	Merged-chr2-68434802-41
NR1270--MA0002.2.RUNX1	chr10	94524081	94524091	+	0.000	0.000	Merged-chr10-94523917-65
NR4475--MA0684.1.RUNX3	chr17	8195731	8195740	-	0.000	0.000	Merged-chr17-8195901-46
NR9803--MA0684.1.RUNX3	chr8	25274713	25274722	-	0.000	0.000	Merged-chr8-25274715-82
NR9860--MA0002.2.RUNX1	chr8	57417039	57417049	+	0.000	0.000	Merged-chr8-57416909-32
NR4598--MA0002.2.RUNX1	chr17	32924810	32924820	-	0.000	0.000	Merged-chr17-32924876-38
NR11000--MA0002.2.RUNX1	chrX	167025097	167025107	-	0.000	0.000	Merged-chrX-167025120-15
NR2047--MA0002.2.RUNX1	chr11	115581559	115581569	+	0.000	0.000	Merged-chr11-115581536-6
NR6505--MA0511.2.RUNX2	chr3	59101877	59101885	-	0.000	0.000	Merged-chr3-59101725-81
NR1670--MA0684.1.RUNX3	chr11	58290444	58290453	-	0.000	0.000	Merged-chr11-58290425-28
NR10270--MA0002.2.RUNX1	chr9	22641247	22641257	+	0.000	0.000	Merged-chr9-22641148-30
NR4184--MA0002.2.RUNX1	chr16	43699134	43699144	+	0.000	0.000	Merged-chr16-43699187-66
NR3330--MA0002.2.RUNX1	chr14	60736917	60736927	+	0.000	0.000	Merged-chr14-60736893-73
NR1650--MA0002.2.RUNX1	chr11	53786551	53786561	+	0.000	0.000	Merged-chr11-53786697-28
NR3730--MA0684.1.RUNX3	chr15	57996119	57996128	+	0.000	0.000	Merged-chr15-57996173-39
NR4187--MA0511.2.RUNX2	chr16	44349930	44349938	-	0.000	0.000	Merged-chr16-44349911-10
NR9720--MA0511.2.RUNX2	chr7	143154070	143154078	+	0.000	0.000	Merged-chr7-143154031-30
NR5533--MA0002.2.RUNX1	chr2	9563812	9563822	-	0.000	0.000	Merged-chr2-9563735-15
NR3853--MA0002.2.RUNX1	chr15	80639971	80639981	-	0.000	0.000	Merged-chr15-80640065-19
NR6039--MA0002.2.RUNX1	chr2	127310283	127310293	-	0.000	0.000	Merged-chr2-127310323-17
NR697--MA0684.1.RUNX3	chr1	180268635	180268644	+	0.000	0.000	Merged-chr1-180268774-35
NR10302--MA0002.2.RUNX1	chr9	37576710	37576720	+	0.000	0.000	Merged-chr9-37576736-24
NR9873--MA0002.2.RUNX1	chr8	64805444	64805454	+	0.000	0.000	Merged-chr8-64805470-51
NR7051--MA0002.2.RUNX1	chr4	40760122	40760132	+	0.000	0.000	Merged-chr4-40760186-4
NR5642--MA0002.2.RUNX1	chr2	31145039	31145049	+	0.000	0.000	Merged-chr2-31145108-21
NR5913--MA0002.2.RUNX1	chr2	93823797	93823807	-	0.000	0.000	Merged-chr2-93823719-41
NR4074--MA0684.1.RUNX3	chr16	23197033	23197042	-	0.000	0.000	Merged-chr16-23196963-14
NR10825--MA0002.2.RUNX1	chrX	7618418	7618428	-	0.000	0.000	Merged-chrX-7618327-48
NR8228--MA0684.1.RUNX3	chr5	142406494	142406503	+	0.000	0.000	Merged-chr5-142406611-11
NR6277--MA0684.1.RUNX3	chr2	165956428	165956437	-	0.000	0.000	Merged-chr2-165956535-28
NR1663--MA0002.2.RUNX1	chr11	57911898	57911908	-	0.000	0.000	Merged-chr11-57911963-18
NR1934--MA0002.2.RUNX1	chr11	104443543	104443553	+	0.000	0.000	Merged-chr11-104443486-1
NR7974--MA0684.1.RUNX3	chr5	105675578	105675587	-	0.000	0.000	Merged-chr5-105675662-27
NR9111--MA0002.2.RUNX1	chr7	27860537	27860547	-	0.000	0.000	Merged-chr7-27860517-78
NR7431--MA0002.2.RUNX1	chr4	137909657	137909667	-	0.000	0.000	Merged-chr4-137909682-19
NR3595--MA0002.2.RUNX1	chr15	5671976	5671986	+	0.000	0.000	Merged-chr15-5671957-12
NR3200--MA0002.2.RUNX1	chr14	21654029	21654039	-	0.000	0.000	Merged-chr14-21654080-31
NR10663--MA0002.2.RUNX1	chr9	108578608	108578618	+	0.000	0.000	Merged-chr9-108578687-51
NR5880--MA0684.1.RUNX3	chr2	90487666	90487675	-	0.000	0.000	Merged-chr2-90487735-49
NR6213--MA0511.2.RUNX2	chr2	156918774	156918782	+	0.000	0.000	Merged-chr2-156918803-29
NR7954--MA0002.2.RUNX1	chr5	105010567	105010577	-	0.000	0.000	Merged-chr5-105010527-49
NR8066--MA0684.1.RUNX3	chr5	114041829	114041838	+	0.000	0.000	Merged-chr5-114041714-24
NR3600--MA0684.1.RUNX3	chr15	6574762	6574771	-	0.000	0.000	Merged-chr15-6574707-44
NR3452--MA0002.2.RUNX1	chr14	77874670	77874680	+	0.000	0.000	Merged-chr14-77874770-63
NR5926--MA0002.2.RUNX1	chr2	101762690	101762700	+	0.000	0.000	Merged-chr2-101762548-65
NR3975--MA0002.2.RUNX1	chr15	99365116	99365126	+	0.000	0.000	Merged-chr15-99365057-34
NR3104--MA0002.2.RUNX1	chr13	111043826	111043836	+	0.000	0.000	Merged-chr13-111043861-34
NR2949--MA0684.1.RUNX3	chr13	89418967	89418976	+	0.000	0.000	Merged-chr13-89418895-21
NR6051--MA0511.2.RUNX2	chr2	128153204	128153212	-	0.000	0.000	Merged-chr2-128153146-97
NR3290--MA0002.2.RUNX1	chr14	54042311	54042321	+	0.000	0.000	Merged-chr14-54042366-24
NR3561--MA0002.2.RUNX1	chr14	121961887	121961897	+	0.000	0.000	Merged-chr14-121961744-29
NR991--MA0002.2.RUNX1	chr10	40163570	40163580	+	0.000	0.000	Merged-chr10-40163524-42
NR3356--MA0002.2.RUNX1	chr14	65085943	65085953	-	0.000	0.000	Merged-chr14-65085907-26
NR1881--MA0002.2.RUNX1	chr11	97134443	97134453	-	0.000	0.000	Merged-chr11-97134334-6
NR7814--MA0511.2.RUNX2	chr5	72212855	72212863	-	0.000	0.000	Merged-chr5-72212800-19
NR1676--MA0002.2.RUNX1	chr11	58437010	58437020	+	0.000	0.000	Merged-chr11-58437152-28
NR5641--MA0684.1.RUNX3	chr2	30897091	30897100	+	0.000	0.000	Merged-chr2-30897276-26
NR1262--MA0002.2.RUNX1	chr10	93191225	93191235	+	0.000	0.000	Merged-chr10-93191041-25
NR10947--MA0002.2.RUNX1	chrX	106622660	106622670	-	0.000	0.000	Merged-chrX-106622619-36
NR1804--MA0002.2.RUNX1	chr11	82203896	82203906	-	0.000	0.000	Merged-chr11-82203990-35
NR8777--MA0511.2.RUNX2	chr6	128836399	128836407	+	0.000	0.000	Merged-chr6-128836446-70
NR6226--MA0511.2.RUNX2	chr2	158450879	158450887	+	0.000	0.000	Merged-chr2-158450944-19
NR4546--MA0511.2.RUNX2	chr17	26532893	26532901	+	0.000	0.000	Merged-chr17-26532798-20
NR3941--MA0002.2.RUNX1	chr15	96377442	96377452	-	0.000	0.000	Merged-chr15-96377378-14
NR6004--MA0684.1.RUNX3	chr2	118668076	118668085	+	0.000	0.000	Merged-chr2-118668058-11
NR7652--MA0511.2.RUNX2	chr5	23722212	23722220	+	0.000	0.000	Merged-chr5-23722080-21
NR9233--MA0002.2.RUNX1	chr7	64043159	64043169	-	0.000	0.000	Merged-chr7-64043125-48
NR407--MA0511.2.RUNX2	chr1	131446758	131446766	-	0.000	0.000	Merged-chr1-131446788-25
NR5002--MA0002.2.RUNX1	chr18	56566205	56566215	-	0.000	0.000	Merged-chr18-56566232-24
NR10933--MA0684.1.RUNX3	chrX	98265961	98265970	-	0.000	0.000	Merged-chrX-98266025-47
NR10990--MA0002.2.RUNX1	chrX	164318752	164318762	-	0.000	0.000	Merged-chrX-164318746-35
NR9961--MA0002.2.RUNX1	chr8	88288899	88288909	+	0.000	0.000	Merged-chr8-88288955-50
NR6606--MA0511.2.RUNX2	chr3	89187824	89187832	+	0.000	0.000	Merged-chr3-89188181-94
NR2419--MA0002.2.RUNX1	chr12	103116828	103116838	-	0.000	0.000	Merged-chr12-103116842-39
NR9712--MA0511.2.RUNX2	chr7	142910329	142910337	-	0.000	0.000	Merged-chr7-142910300-13
NR5525--MA0002.2.RUNX1	chr2	6162865	6162875	+	0.000	0.000	Merged-chr2-6162817-31
NR1771--MA0684.1.RUNX3	chr11	76993059	76993068	+	0.000	0.000	Merged-chr11-76993098-31
NR2499--MA0511.2.RUNX2	chr12	114612201	114612209	-	0.000	0.000	Merged-chr12-114612279-30
NR3845--MA0002.2.RUNX1	chr15	79740887	79740897	+	0.000	0.000	Merged-chr15-79740875-4
NR1894--MA0002.2.RUNX1	chr11	98943507	98943517	+	0.000	0.000	Merged-chr11-98943480-23
NR8809--MA0511.2.RUNX2	chr6	130197742	130197750	+	0.000	0.000	Merged-chr6-130197839-48
NR7662--MA0002.2.RUNX1	chr5	24915442	24915452	-	0.000	0.000	Merged-chr5-24915325-10
NR2005--MA0002.2.RUNX1	chr11	110897234	110897244	-	0.000	0.000	Merged-chr11-110897111-25
NR1645--MA0511.2.RUNX2	chr11	52232062	52232070	-	0.000	0.000	Merged-chr11-52232101-58
NR55--MA0002.2.RUNX1	chr1	37473509	37473519	-	0.000	0.000	Merged-chr1-37473461-33
NR9693--MA0511.2.RUNX2	chr7	140981913	140981921	+	0.000	0.000	Merged-chr7-140982058-21
NR7728--MA0002.2.RUNX1	chr5	43924202	43924212	-	0.000	0.000	Merged-chr5-43924057-20
NR9964--MA0511.2.RUNX2	chr8	88647368	88647376	+	0.000	0.000	Merged-chr8-88647358-34
NR3431--MA0002.2.RUNX1	chr14	75227531	75227541	+	0.000	0.000	Merged-chr14-75227646-35
NR3702--MA0002.2.RUNX1	chr15	44229387	44229397	-	0.000	0.000	Merged-chr15-44229418-16
NR1751--MA0002.2.RUNX1	chr11	73094866	73094876	+	0.000	0.000	Merged-chr11-73094669-63
NR1275--MA0002.2.RUNX1	chr10	95017120	95017130	+	0.000	0.000	Merged-chr10-95017083-8
NR5733--MA0511.2.RUNX2	chr2	59364679	59364687	+	0.000	0.000	Merged-chr2-59364601-33
NR7791--MA0684.1.RUNX3	chr5	65929286	65929295	-	0.000	0.000	Merged-chr5-65929353-41
NR1817--MA0002.2.RUNX1	chr11	85407856	85407866	+	0.000	0.000	Merged-chr11-85407928-27
NR6173--MA0511.2.RUNX2	chr2	151974259	151974267	-	0.000	0.000	Merged-chr2-151974232-5
NR5240--MA0684.1.RUNX3	chr19	10880209	10880218	-	0.000	0.000	Merged-chr19-10880366-39
NR6444--MA0511.2.RUNX2	chr3	37360911	37360919	+	0.000	0.000	Merged-chr3-37360899-19
NR7314--MA0002.2.RUNX1	chr4	117892107	117892117	+	0.000	0.000	Merged-chr4-117892019-55
NR5634--MA0002.2.RUNX1	chr2	30124537	30124547	+	0.000	0.000	Merged-chr2-30124519-66
NR6074--MA0002.2.RUNX1	chr2	130555043	130555053	+	0.000	0.000	Merged-chr2-130555023-33
NR1132--MA0002.2.RUNX1	chr10	75295226	75295236	-	0.000	0.000	Merged-chr10-75295166-22
NR5985--MA0511.2.RUNX2	chr2	116894059	116894067	+	0.000	0.000	Merged-chr2-116894094-31
NR7295--MA0002.2.RUNX1	chr4	111455963	111455973	+	0.000	0.000	Merged-chr4-111456023-24
NR3335--MA0002.2.RUNX1	chr14	61339543	61339553	+	0.000	0.000	Merged-chr14-61339598-17
NR4589--MA0684.1.RUNX3	chr17	31789344	31789353	+	0.000	0.000	Merged-chr17-31789470-34
NR10132--MA0002.2.RUNX1	chr8	122917787	122917797	-	0.000	0.000	Merged-chr8-122917932-59
NR5842--MA0511.2.RUNX2	chr2	79127633	79127641	+	0.000	0.000	Merged-chr2-79127545-30
NR9974--MA0002.2.RUNX1	chr8	94010097	94010107	-	0.000	0.000	Merged-chr8-94010222-45
NR4046--MA0002.2.RUNX1	chr16	14088466	14088476	+	0.000	0.000	Merged-chr16-14088440-49
NR10039--MA0511.2.RUNX2	chr8	111595925	111595933	+	0.000	0.000	Merged-chr8-111595874-65
NR8677--MA0684.1.RUNX3	chr6	114934410	114934419	+	0.000	0.000	Merged-chr6-114934394-6
NR5743--MA0002.2.RUNX1	chr2	60774692	60774702	-	0.000	0.000	Merged-chr2-60774747-55
NR3792--MA0002.2.RUNX1	chr15	73833430	73833440	+	0.000	0.000	Merged-chr15-73833465-20
NR2117--MA0511.2.RUNX2	chr12	10589700	10589708	-	0.000	0.000	Merged-chr12-10589543-1
NR3858--MA0002.2.RUNX1	chr15	81539771	81539781	-	0.000	0.000	Merged-chr15-81539760-43
NR10655--MA0002.2.RUNX1	chr9	107551215	107551225	-	0.000	0.000	Merged-chr9-107551360-55
NR9831--MA0002.2.RUNX1	chr8	36173243	36173253	-	0.000	0.000	Merged-chr8-36173226-63
NR7880--MA0002.2.RUNX1	chr5	92245653	92245663	+	0.000	0.000	Merged-chr5-92245649-42
NR1592--MA0511.2.RUNX2	chr11	43358961	43358969	-	0.000	0.000	Merged-chr11-43358857-56
NR3321--MA0684.1.RUNX3	chr14	57865434	57865443	-	0.000	0.000	Merged-chr14-57865451-38
NR8058--MA0684.1.RUNX3	chr5	113670842	113670851	-	0.000	0.000	Merged-chr5-113670817-25
NR1559--MA0002.2.RUNX1	chr11	23819051	23819061	-	0.000	0.000	Merged-chr11-23819028-15
NR4870--MA0002.2.RUNX1	chr18	5287993	5288003	+	0.000	0.000	Merged-chr18-5288103-12
NR115--MA0511.2.RUNX2	chr1	53784797	53784805	+	0.000	0.000	Merged-chr1-53784836-115
NR10863--MA0511.2.RUNX2	chrX	38248845	38248853	+	0.000	0.000	Merged-chrX-38248854-9
NR1720--MA0511.2.RUNX2	chr11	67633799	67633807	+	0.000	0.000	Merged-chr11-67633953-18
NR5524--MA0684.1.RUNX3	chr2	5704752	5704761	+	0.000	0.000	Merged-chr2-5704821-18
NR5581--MA0002.2.RUNX1	chr2	18939019	18939029	-	0.000	0.000	Merged-chr2-18939077-26
NR8786--MA0684.1.RUNX3	chr6	129045253	129045262	+	0.000	0.000	Merged-chr6-129045306-7
NR10764--MA0002.2.RUNX1	chr9	119256428	119256438	-	0.000	0.000	Merged-chr9-119256469-14
NR6358--MA0002.2.RUNX1	chr2	178146642	178146652	-	0.000	0.000	Merged-chr2-178146738-2
NR7661--MA0684.1.RUNX3	chr5	24393606	24393615	+	0.000	0.000	Merged-chr5-24393621-16
NR1416--MA0002.2.RUNX1	chr10	121189372	121189382	+	0.000	0.000	Merged-chr10-121189304-59
NR7784--MA0002.2.RUNX1	chr5	65653979	65653989	+	0.000	0.000	Merged-chr5-65654078-14
NR2127--MA0002.2.RUNX1	chr12	13512612	13512622	-	0.000	0.000	Merged-chr12-13512538-15
NR6487--MA0684.1.RUNX3	chr3	52343737	52343746	+	0.000	0.000	Merged-chr3-52343640-60
NR10350--MA0002.2.RUNX1	chr9	50537442	50537452	-	0.000	0.000	Merged-chr9-50537430-19
NR1668--MA0002.2.RUNX1	chr11	58290443	58290453	+	0.000	0.000	Merged-chr11-58290425-28
NR9050--MA0002.2.RUNX1	chr6	149261065	149261075	+	0.000	0.000	Merged-chr6-149260973-38
NR7436--MA0002.2.RUNX1	chr4	138257515	138257525	-	0.000	0.000	Merged-chr4-138257384-22
NR5485--MA0002.2.RUNX1	chr19	57411967	57411977	+	0.000	0.000	Merged-chr19-57412064-43
NR9943--MA0511.2.RUNX2	chr8	81704155	81704163	-	0.000	0.000	Merged-chr8-81703996-53
NR4015--MA0511.2.RUNX2	chr15	103264019	103264027	+	0.000	0.000	Merged-chr15-103264085-19
NR6073--MA0684.1.RUNX3	chr2	130555013	130555022	-	0.000	0.000	Merged-chr2-130555023-33
NR2064--MA0511.2.RUNX2	chr11	117872115	117872123	-	0.000	0.000	Merged-chr11-117872185-83
NR1797--MA0684.1.RUNX3	chr11	80323508	80323517	+	0.000	0.000	Merged-chr11-80323459-26
NR7770--MA0684.1.RUNX3	chr5	62772103	62772112	+	0.000	0.000	Merged-chr5-62772215-28
NR8498--MA0511.2.RUNX2	chr6	72841926	72841934	+	0.000	0.000	Merged-chr6-72841906-9
NR9800--MA0511.2.RUNX2	chr8	25274714	25274722	-	0.000	0.000	Merged-chr8-25274715-82
NR3662--MA0002.2.RUNX1	chr15	36562960	36562970	-	0.000	0.000	Merged-chr15-36562926-39
NR1654--MA0684.1.RUNX3	chr11	54492742	54492751	-	0.000	0.000	Merged-chr11-54492562-47
NR4168--MA0002.2.RUNX1	chr16	38403790	38403800	-	0.000	0.000	Merged-chr16-38403737-54
NR7750--MA0002.2.RUNX1	chr5	53509645	53509655	-	0.000	0.000	Merged-chr5-53509705-20
NR7274--MA0002.2.RUNX1	chr4	107196641	107196651	-	0.000	0.000	Merged-chr4-107196669-22
NR6199--MA0511.2.RUNX2	chr2	154754296	154754304	+	0.000	0.000	Merged-chr2-154754253-27
NR7816--MA0002.2.RUNX1	chr5	72212870	72212880	+	0.000	0.000	Merged-chr5-72212800-19
NR5550--MA0511.2.RUNX2	chr2	11040172	11040180	+	0.000	0.000	Merged-chr2-11040200-20
NR4839--MA0684.1.RUNX3	chr17	86779459	86779468	+	0.000	0.000	Merged-chr17-86779381-46
NR3295--MA0002.2.RUNX1	chr14	54138411	54138421	-	0.000	0.000	Merged-chr14-54138460-21
NR3566--MA0002.2.RUNX1	chr14	122041458	122041468	-	0.000	0.000	Merged-chr14-122041440-5
NR4154--MA0684.1.RUNX3	chr16	35905583	35905592	-	0.000	0.000	Merged-chr16-35905598-39
NR3837--MA0002.2.RUNX1	chr15	78614723	78614733	+	0.000	0.000	Merged-chr15-78614745-50
NR10905--MA0002.2.RUNX1	chrX	73922035	73922045	-	0.000	0.000	Merged-chrX-73921958-51
NR9063--MA0002.2.RUNX1	chr7	4524409	4524419	+	0.000	0.000	Merged-chr7-4524434-21
NR9605--MA0002.2.RUNX1	chr7	128158908	128158918	+	0.000	0.000	Merged-chr7-128158931-27
NR5851--MA0684.1.RUNX3	chr2	80579459	80579468	+	0.000	0.000	Merged-chr2-80579477-19
NR7383--MA0002.2.RUNX1	chr4	134043265	134043275	-	0.000	0.000	Merged-chr4-134043155-17
NR5974--MA0002.2.RUNX1	chr2	114566980	114566990	-	0.000	0.000	Merged-chr2-114567021-7
NR4899--MA0511.2.RUNX2	chr18	14675979	14675987	+	0.000	0.000	Merged-chr18-14675814-20
NR1620--MA0684.1.RUNX3	chr11	46462280	46462289	-	0.000	0.000	Merged-chr11-46462115-37
NR3152--MA0002.2.RUNX1	chr13	117051611	117051621	-	0.000	0.000	Merged-chr13-117051602-40
NR1472--MA0002.2.RUNX1	chr10	130439226	130439236	+	0.000	0.000	Merged-chr10-130439179-24
NR1809--MA0002.2.RUNX1	chr11	83569517	83569527	+	0.000	0.000	Merged-chr11-83569435-5
NR2249--MA0002.2.RUNX1	chr12	69539513	69539523	-	0.000	0.000	Merged-chr12-69539558-45
NR7306--MA0002.2.RUNX1	chr4	116168871	116168881	-	0.000	0.000	Merged-chr4-116168946-31
NR8289--MA0684.1.RUNX3	chr5	151704137	151704146	+	0.000	0.000	Merged-chr5-151704265-4
NR3675--MA0002.2.RUNX1	chr15	38129487	38129497	-	0.000	0.000	Merged-chr15-38129582-31
NR1001--MA0684.1.RUNX3	chr10	42068768	42068777	+	0.000	0.000	Merged-chr10-42068766-23
NR710--MA0002.2.RUNX1	chr1	181877212	181877222	+	0.000	0.000	Merged-chr1-181877231-15
NR1938--MA0684.1.RUNX3	chr11	104538431	104538440	+	0.000	0.000	Merged-chr11-104538419-8
NR9320--MA0684.1.RUNX3	chr7	84681780	84681789	+	0.000	0.000	Merged-chr7-84681796-26
NR6066--MA0002.2.RUNX1	chr2	129180167	129180177	+	0.000	0.000	Merged-chr2-129180074-1
NR8368--MA0511.2.RUNX2	chr6	33683816	33683824	-	0.000	0.000	Merged-chr6-33683719-46
NR9714--MA0002.2.RUNX1	chr7	143004973	143004983	+	0.000	0.000	Merged-chr7-143004947-1
NR8639--MA0511.2.RUNX2	chr6	108098721	108098729	+	0.000	0.000	Merged-chr6-108098714-35
NR9794--MA0511.2.RUNX2	chr8	23254891	23254899	-	0.000	0.000	Merged-chr8-23254830-5
NR6195--MA0684.1.RUNX3	chr2	154732922	154732931	+	0.000	0.000	Merged-chr2-154732933-29
NR3261--MA0002.2.RUNX1	chr14	47740831	47740841	-	0.000	0.000	Merged-chr14-47740703-52
NR9695--MA0002.2.RUNX1	chr7	140981913	140981923	-	0.000	0.000	Merged-chr7-140982058-21
NR9966--MA0002.2.RUNX1	chr8	88771383	88771393	+	0.000	0.000	Merged-chr8-88771445-24
NR3661--MA0684.1.RUNX3	chr15	36361438	36361447	+	0.000	0.000	Merged-chr15-36361606-62
NR13--MA0002.2.RUNX1	chr1	13154674	13154684	+	0.000	0.000	Merged-chr1-13154709-6
NR8126--MA0002.2.RUNX1	chr5	123765754	123765764	+	0.000	0.000	Merged-chr5-123765693-26
NR7100--MA0511.2.RUNX2	chr4	55398101	55398109	+	0.000	0.000	Merged-chr4-55398224-75
NR10918--MA0002.2.RUNX1	chrX	77580135	77580145	+	0.000	0.000	Merged-chrX-77580117-37
NR3535--MA0511.2.RUNX2	chr14	118124396	118124404	+	0.000	0.000	Merged-chr14-118124409-31
NR6797--MA0511.2.RUNX2	chr3	133078627	133078635	+	0.000	0.000	Merged-chr3-133078514-46
NR1855--MA0511.2.RUNX2	chr11	90675672	90675680	+	0.000	0.000	Merged-chr11-90675808-18
NR10603--MA0511.2.RUNX2	chr9	96583333	96583341	-	0.000	0.000	Merged-chr9-96583315-51
NR7667--MA0002.2.RUNX1	chr5	28043860	28043870	+	0.000	0.000	Merged-chr5-28043807-7
NR5321--MA0002.2.RUNX1	chr19	29196946	29196956	-	0.000	0.000	Merged-chr19-29196940-3
NR10981--MA0684.1.RUNX3	chrX	159828383	159828392	+	0.000	0.000	Merged-chrX-159828290-35
NR3979--MA0684.1.RUNX3	chr15	100060981	100060990	-	0.000	0.000	Merged-chr15-100060928-68
NR2139--MA0684.1.RUNX3	chr12	16584080	16584089	+	0.000	0.000	Merged-chr12-16584018-49
NR7253--MA0002.2.RUNX1	chr4	102712033	102712043	+	0.000	0.000	Merged-chr4-102711875-43
NR3565--MA0684.1.RUNX3	chr14	121970662	121970671	+	0.000	0.000	Merged-chr14-121970624-14
NR5844--MA0002.2.RUNX1	chr2	79227895	79227905	-	0.000	0.000	Merged-chr2-79227897-44
NR10362--MA0684.1.RUNX3	chr9	57340002	57340011	-	0.000	0.000	Merged-chr9-57339944-60
NR5639--MA0002.2.RUNX1	chr2	30897091	30897101	-	0.000	0.000	Merged-chr2-30897276-26
NR1885--MA0684.1.RUNX3	chr11	97830112	97830121	+	0.000	0.000	Merged-chr11-97830087-30
NR5800--MA0511.2.RUNX2	chr2	72590114	72590122	-	0.000	0.000	Merged-chr2-72590175-15
NR5973--MA0684.1.RUNX3	chr2	114145438	114145447	+	0.000	0.000	Merged-chr2-114145226-70
NR7776--MA0002.2.RUNX1	chr5	63943498	63943508	-	0.000	0.000	Merged-chr5-63943362-36
NR5225--MA0002.2.RUNX1	chr19	8953626	8953636	+	0.000	0.000	Merged-chr19-8953739-52
NR1537--MA0684.1.RUNX3	chr11	14142622	14142631	-	0.000	0.000	Merged-chr11-14142731-31
NR3816--MA0002.2.RUNX1	chr15	75884331	75884341	-	0.000	0.000	Merged-chr15-75884248-28
NR10342--MA0002.2.RUNX1	chr9	44981843	44981853	+	0.000	0.000	Merged-chr9-44981857-35
NR9585--MA0684.1.RUNX3	chr7	125635628	125635637	-	0.000	0.000	Merged-chr7-125635870-68
NR3501--MA0511.2.RUNX2	chr14	102806376	102806384	+	0.000	0.000	Merged-chr14-102806505-76
NR9979--MA0002.2.RUNX1	chr8	94969848	94969858	+	0.000	0.000	Merged-chr8-94970048-23
NR8509--MA0511.2.RUNX2	chr6	83066176	83066184	+	0.000	0.000	Merged-chr6-83066192-22
NR7633--MA0002.2.RUNX1	chr5	21673455	21673465	-	0.000	0.000	Merged-chr5-21673268-55
NR5477--MA0002.2.RUNX1	chr19	57100122	57100132	+	0.000	0.000	Merged-chr19-57100169-47
NR561--MA0002.2.RUNX1	chr1	160800245	160800255	+	0.000	0.000	Merged-chr1-160800185-22
NR8139--MA0002.2.RUNX1	chr5	124637665	124637675	+	0.000	0.000	Merged-chr5-124637524-49
NR10594--MA0002.2.RUNX1	chr9	96416166	96416176	+	0.000	0.000	Merged-chr9-96416210-33
NR9713--MA0684.1.RUNX3	chr7	142910328	142910337	-	0.000	0.000	Merged-chr7-142910300-13
NR5063--MA0002.2.RUNX1	chr18	70572505	70572515	+	0.000	0.000	Merged-chr18-70572603-19
NR3654--MA0002.2.RUNX1	chr15	36214893	36214903	+	0.000	0.000	Merged-chr15-36214970-54
NR10180--MA0002.2.RUNX1	chr8	127500372	127500382	+	0.000	0.000	Merged-chr8-127500234-70
NR5890--MA0511.2.RUNX2	chr2	90667866	90667874	+	0.000	0.000	Merged-chr2-90667868-44
NR10451--MA0002.2.RUNX1	chr9	72678950	72678960	+	0.000	0.000	Merged-chr9-72678882-22
NR9965--MA0684.1.RUNX3	chr8	88647368	88647377	+	0.000	0.000	Merged-chr8-88647358-34
NR9151--MA0002.2.RUNX1	chr7	38189538	38189548	+	0.000	0.000	Merged-chr7-38189634-49
NR10580--MA0684.1.RUNX3	chr9	94993757	94993766	+	0.000	0.000	Merged-chr9-94993790-30
NR6174--MA0684.1.RUNX3	chr2	151974258	151974267	-	0.000	0.000	Merged-chr2-151974232-5
NR10974--MA0002.2.RUNX1	chrX	157598136	157598146	-	0.000	0.000	Merged-chrX-157598277-89
NR10769--MA0002.2.RUNX1	chr9	119744091	119744101	-	0.000	0.000	Merged-chr9-119744132-67
NR1626--MA0002.2.RUNX1	chr11	50213201	50213211	+	0.000	0.000	Merged-chr11-50213336-46
NR9674--MA0002.2.RUNX1	chr7	139197238	139197248	-	0.000	0.000	Merged-chr7-139197222-17
NR7789--MA0002.2.RUNX1	chr5	65863568	65863578	-	0.000	0.000	Merged-chr5-65863563-64
NR3829--MA0002.2.RUNX1	chr15	76899957	76899967	-	0.000	0.000	Merged-chr15-76899846-50
NR1878--MA0002.2.RUNX1	chr11	97026332	97026342	+	0.000	0.000	Merged-chr11-97026216-31
NR10626--MA0002.2.RUNX1	chr9	99587777	99587787	-	0.000	0.000	Merged-chr9-99587893-32
NR9260--MA0002.2.RUNX1	chr7	67500544	67500554	+	0.000	0.000	Merged-chr7-67500556-27
NR3243--MA0511.2.RUNX2	chr14	36316927	36316935	+	0.000	0.000	Merged-chr14-36316941-55
NR9802--MA0002.2.RUNX1	chr8	25274712	25274722	+	0.000	0.000	Merged-chr8-25274715-82
NR5843--MA0684.1.RUNX3	chr2	79127633	79127642	+	0.000	0.000	Merged-chr2-79127545-30
NR5300--MA0002.2.RUNX1	chr19	23193339	23193349	+	0.000	0.000	Merged-chr19-23193368-5
