#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Runx/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed
NR1708--MA0002.2.RUNX1	chr11	113201777	113201787	-	0.000	0.000	Merged-chr11-113201628-64
NR3944--MA0511.2.RUNX2	chr16	93552877	93552885	-	0.000	0.000	Merged-chr16-93552984-42
NR5402--MA0684.1.RUNX3	chr2	140066580	140066589	+	0.000	0.000	Merged-chr2-140066734-59
NR5730--MA0002.2.RUNX1	chr3	41170107	41170117	-	0.000	0.000	Merged-chr3-41169963-6
NR7761--MA0511.2.RUNX2	chr6	97447186	97447194	-	0.000	0.000	Merged-chr6-97447180-22
NR289--MA0002.2.RUNX1	chr1	82819631	82819641	-	0.000	0.000	Merged-chr1-82819589-51
NR9071--MA0002.2.RUNX1	chr9	42158806	42158816	-	0.000	0.000	Merged-chr9-42158908-46
NR3801--MA0511.2.RUNX2	chr16	58718951	58718959	-	0.000	0.000	Merged-chr16-58718786-22
NR8045--MA0684.1.RUNX3	chr6	144910470	144910479	-	0.000	0.000	Merged-chr6-144910390-40
NR5777--MA0002.2.RUNX1	chr3	52498969	52498979	+	0.000	0.000	Merged-chr3-52498930-55
NR1751--MA0002.2.RUNX1	chr11	118379789	118379799	+	0.000	0.000	Merged-chr11-118379704-27
NR497--MA0511.2.RUNX2	chr1	135019149	135019157	+	0.000	0.000	Merged-chr1-135019182-17
NR2405--MA0684.1.RUNX3	chr13	46616883	46616892	-	0.000	0.000	Merged-chr13-46616857-10
NR5634--MA0002.2.RUNX1	chr3	19319243	19319253	-	0.000	0.000	Merged-chr3-19319228-45
NR1132--MA0002.2.RUNX1	chr10	82887536	82887546	-	0.000	0.000	Merged-chr10-82887554-36
NR1798--MA0002.2.RUNX1	chr12	8818046	8818056	-	0.000	0.000	Merged-chr12-8817903-12
NR7295--MA0002.2.RUNX1	chr5	120775836	120775846	+	0.000	0.000	Merged-chr5-120775735-65
NR5886--MA0002.2.RUNX1	chr3	76268629	76268639	+	0.000	0.000	Merged-chr3-76268438-1
NR3811--MA0002.2.RUNX1	chr16	62853031	62853041	+	0.000	0.000	Merged-chr16-62853027-5
NR3735--MA0684.1.RUNX3	chr16	43376987	43376996	-	0.000	0.000	Merged-chr16-43376977-35
NR2988--MA0511.2.RUNX2	chr14	64884972	64884980	-	0.000	0.000	Merged-chr14-64885056-34
NR2117--MA0511.2.RUNX2	chr12	98269813	98269821	+	0.000	0.000	Merged-chr12-98269804-132
NR3858--MA0002.2.RUNX1	chr16	76249895	76249905	+	0.000	0.000	Merged-chr16-76249767-78
NR9503--MA0684.1.RUNX3	chrX	77580136	77580145	-	0.000	0.000	Merged-chrX-77580117-37
NR159--MA0002.2.RUNX1	chr1	51104850	51104860	-	0.000	0.000	Merged-chr1-51104887-5
NR7902--MA0511.2.RUNX2	chr6	128007301	128007309	+	0.000	0.000	Merged-chr6-128007455-5
NR8342--MA0511.2.RUNX2	chr7	90131277	90131285	-	0.000	0.000	Merged-chr7-90131300-10
NR7883--MA0511.2.RUNX2	chr6	124730117	124730125	+	0.000	0.000	Merged-chr6-124730249-43
NR3696--MA0002.2.RUNX1	chr16	32190254	32190264	-	0.000	0.000	Merged-chr16-32190230-31
NR3301--MA0002.2.RUNX1	chr15	36562936	36562946	-	0.000	0.000	Merged-chr15-36562926-39
NR3967--MA0002.2.RUNX1	chr16	96273469	96273479	-	0.000	0.000	Merged-chr16-96273446-72
NR9193--MA0002.2.RUNX1	chr9	77966098	77966108	+	0.000	0.000	Merged-chr9-77966049-24
NR9420--MA0511.2.RUNX2	chrX	11647196	11647204	+	0.000	0.000	Merged-chrX-11647127-35
NR1750--MA0684.1.RUNX3	chr11	118232694	118232703	+	0.000	0.000	Merged-chr11-118232579-51
NR9321--MA0002.2.RUNX1	chr9	102539952	102539962	-	0.000	0.000	Merged-chr9-102539934-44
NR8246--MA0511.2.RUNX2	chr7	64101861	64101869	-	0.000	0.000	Merged-chr7-64101971-35
NR7370--MA0002.2.RUNX1	chr5	143235103	143235113	-	0.000	0.000	Merged-chr5-143235302-59
NR7641--MA0002.2.RUNX1	chr6	65590218	65590228	+	0.000	0.000	Merged-chr6-65590340-6
NR7912--MA0002.2.RUNX1	chr6	129067174	129067184	+	0.000	0.000	Merged-chr6-129067175-32
NR3490--MA0511.2.RUNX2	chr15	80572482	80572490	-	0.000	0.000	Merged-chr15-80572443-63
NR9573--MA0002.2.RUNX1	chrX	151344070	151344080	+	0.000	0.000	Merged-chrX-151344027-1
NR5071--MA0002.2.RUNX1	chr2	49313370	49313380	-	0.000	0.000	Merged-chr2-49313171-56
NR4809--MA0511.2.RUNX2	chr19	26646307	26646315	-	0.000	0.000	Merged-chr19-26646309-47
NR8084--MA0511.2.RUNX2	chr7	6434726	6434734	-	0.000	0.000	Merged-chr7-6434694-10
NR7422--MA0684.1.RUNX3	chr6	8068567	8068576	+	0.000	0.000	Merged-chr6-8068549-6
NR9225--MA0002.2.RUNX1	chr9	84031079	84031089	-	0.000	0.000	Merged-chr9-84030961-27
NR1733--MA0511.2.RUNX2	chr11	117872036	117872044	-	0.000	0.000	Merged-chr11-117872185-83
NR7230--MA0511.2.RUNX2	chr5	106677005	106677013	+	0.000	0.000	Merged-chr5-106676986-37
NR1511--MA0684.1.RUNX3	chr11	52224161	52224170	+	0.000	0.000	Merged-chr11-52224357-50
NR3043--MA0002.2.RUNX1	chr14	78908656	78908666	+	0.000	0.000	Merged-chr14-78908483-12
NR7896--MA0511.2.RUNX2	chr6	127434327	127434335	-	0.000	0.000	Merged-chr6-127434285-47
NR8878--MA0511.2.RUNX2	chr8	116689973	116689981	+	0.000	0.000	Merged-chr8-116689955-52
NR5451--MA0002.2.RUNX1	chr2	149283457	149283467	-	0.000	0.000	Merged-chr2-149283481-12
NR4376--MA0511.2.RUNX2	chr17	86038397	86038405	+	0.000	0.000	Merged-chr17-86038391-20
NR3771--MA0002.2.RUNX1	chr16	52007167	52007177	+	0.000	0.000	Merged-chr16-52007257-28
NR8193--MA0511.2.RUNX2	chr7	45082993	45083001	-	0.000	0.000	Merged-chr7-45083107-80
NR6228--MA0002.2.RUNX1	chr3	152355531	152355541	+	0.000	0.000	Merged-chr3-152355609-21
NR4992--MA0002.2.RUNX1	chr2	27693898	27693908	-	0.000	0.000	Merged-chr2-27693880-30
NR9334--MA0002.2.RUNX1	chr9	107975788	107975798	-	0.000	0.000	Merged-chr9-107975775-69
NR6628--MA0684.1.RUNX3	chr4	101207685	101207694	-	0.000	0.000	Merged-chr4-101207630-19
NR4677--MA0684.1.RUNX3	chr18	75716276	75716285	+	0.000	0.000	Merged-chr18-75716251-26
NR1809--MA0002.2.RUNX1	chr12	11178964	11178974	+	0.000	0.000	Merged-chr12-11178887-31
NR267--MA0684.1.RUNX3	chr1	74390212	74390221	-	0.000	0.000	Merged-chr1-74390334-35
NR9320--MA0684.1.RUNX3	chr9	102539905	102539914	-	0.000	0.000	Merged-chr9-102539934-44
NR1995--MA0002.2.RUNX1	chr12	73580909	73580919	-	0.000	0.000	Merged-chr12-73581050-7
NR5484--MA0684.1.RUNX3	chr2	158166806	158166815	+	0.000	0.000	Merged-chr2-158166857-55
NR5878--MA0002.2.RUNX1	chr3	75731470	75731480	-	0.000	0.000	Merged-chr3-75731321-54
NR1253--MA0684.1.RUNX3	chr10	108168050	108168059	-	0.000	0.000	Merged-chr10-108168166-48
NR2457--MA0511.2.RUNX2	chr13	63261596	63261604	-	0.000	0.000	Merged-chr13-63261451-54
NR3803--MA0002.2.RUNX1	chr16	58718949	58718959	+	0.000	0.000	Merged-chr16-58718786-22
NR1581--MA0002.2.RUNX1	chr11	76993050	76993060	-	0.000	0.000	Merged-chr11-76993098-31
NR7514--MA0511.2.RUNX2	chr6	34277855	34277863	+	0.000	0.000	Merged-chr6-34277890-22
NR1647--MA0002.2.RUNX1	chr11	96441759	96441769	+	0.000	0.000	Merged-chr11-96441741-50
NR9300--MA0002.2.RUNX1	chr9	96785404	96785414	-	0.000	0.000	Merged-chr9-96785400-18
NR5070--MA0684.1.RUNX3	chr2	48374447	48374456	+	0.000	0.000	Merged-chr2-48374556-9
NR2087--MA0002.2.RUNX1	chr12	91765685	91765695	-	0.000	0.000	Merged-chr12-91765630-19
NR3932--MA0684.1.RUNX3	chr16	91781029	91781038	+	0.000	0.000	Merged-chr16-91781071-63
NR5464--MA0002.2.RUNX1	chr2	152826006	152826016	-	0.000	0.000	Merged-chr2-152825903-49
NR7971--MA0511.2.RUNX2	chr6	136944726	136944734	+	0.000	0.000	Merged-chr6-136944749-25
NR2043--MA0511.2.RUNX2	chr12	85177263	85177271	-	0.000	0.000	Merged-chr12-85177311-38
NR3784--MA0002.2.RUNX1	chr16	55758395	55758405	-	0.000	0.000	Merged-chr16-55758589-1
NR7766--MA0511.2.RUNX2	chr6	99985480	99985488	-	0.000	0.000	Merged-chr6-99985483-19
NR4438--MA0684.1.RUNX3	chr18	7410390	7410399	-	0.000	0.000	Merged-chr18-7410256-40
NR4610--MA0002.2.RUNX1	chr18	64925659	64925669	-	0.000	0.000	Merged-chr18-64925642-4
NR5864--MA0684.1.RUNX3	chr3	69159662	69159671	+	0.000	0.000	Merged-chr3-69159681-49
NR7667--MA0002.2.RUNX1	chr6	72190328	72190338	-	0.000	0.000	Merged-chr6-72190479-35
NR5987--MA0002.2.RUNX1	chr3	103091964	103091974	+	0.000	0.000	Merged-chr3-103091976-34
NR2295--MA0511.2.RUNX2	chr13	13557079	13557087	-	0.000	0.000	Merged-chr13-13557258-36
NR3641--MA0002.2.RUNX1	chr16	18377256	18377266	+	0.000	0.000	Merged-chr16-18377300-20
NR8378--MA0002.2.RUNX1	chr7	104400913	104400923	-	0.000	0.000	Merged-chr7-104400949-29
NR3165--MA0002.2.RUNX1	chr14	118681223	118681233	+	0.000	0.000	Merged-chr14-118681179-25
NR3707--MA0002.2.RUNX1	chr16	35781230	35781240	+	0.000	0.000	Merged-chr16-35781109-15
NR8334--MA0511.2.RUNX2	chr7	84740072	84740080	-	0.000	0.000	Merged-chr7-84740151-41
NR7253--MA0002.2.RUNX1	chr5	111573524	111573534	+	0.000	0.000	Merged-chr5-111573602-40
NR4276--MA0684.1.RUNX3	chr17	62857484	62857493	+	0.000	0.000	Merged-chr17-62857583-41
NR3959--MA0002.2.RUNX1	chr16	95263159	95263169	-	0.000	0.000	Merged-chr16-95263048-64
NR1342--MA0002.2.RUNX1	chr11	3157496	3157506	+	0.000	0.000	Merged-chr11-3157744-93
NR1408--MA0002.2.RUNX1	chr11	19823813	19823823	+	0.000	0.000	Merged-chr11-19823630-23
NR7924--MA0684.1.RUNX3	chr6	130246074	130246083	+	0.000	0.000	Merged-chr6-130245976-1
NR1693--MA0511.2.RUNX2	chr11	106961728	106961736	+	0.000	0.000	Merged-chr11-106961822-47
NR6035--MA0511.2.RUNX2	chr3	115815790	115815798	+	0.000	0.000	Merged-chr3-115815828-66
NR6306--MA0511.2.RUNX2	chr4	11077683	11077691	+	0.000	0.000	Merged-chr4-11077783-17
NR3816--MA0002.2.RUNX1	chr16	64758703	64758713	+	0.000	0.000	Merged-chr16-64758494-145
NR9585--MA0684.1.RUNX3	chrX	159080706	159080715	+	0.000	0.000	Merged-chrX-159080720-54
NR7091--MA0002.2.RUNX1	chr5	72580633	72580643	-	0.000	0.000	Merged-chr5-72580712-41
NR7362--MA0002.2.RUNX1	chr5	140872746	140872756	+	0.000	0.000	Merged-chr5-140872723-52
NR197--MA0511.2.RUNX2	chr1	60907722	60907730	+	0.000	0.000	Merged-chr1-60907642-6
NR7762--MA0684.1.RUNX3	chr6	97447185	97447194	-	0.000	0.000	Merged-chr6-97447180-22
NR7885--MA0002.2.RUNX1	chr6	124898449	124898459	+	0.000	0.000	Merged-chr6-124898421-2
NR3383--MA0002.2.RUNX1	chr15	53324885	53324895	+	0.000	0.000	Merged-chr15-53324911-2
NR8248--MA0002.2.RUNX1	chr7	64141526	64141536	-	0.000	0.000	Merged-chr7-64141555-53
NR9280--MA0684.1.RUNX3	chr9	94621078	94621087	-	0.000	0.000	Merged-chr9-94620917-97
NR1355--MA0002.2.RUNX1	chr11	4206049	4206059	-	0.000	0.000	Merged-chr11-4206247-48
NR1212--MA0002.2.RUNX1	chr10	96721205	96721215	+	0.000	0.000	Merged-chr10-96721241-23
NR2195--MA0684.1.RUNX3	chr12	115623175	115623184	+	0.000	0.000	Merged-chr12-115623184-57
NR8456--MA0511.2.RUNX2	chr7	125597223	125597231	-	0.000	0.000	Merged-chr7-125597306-20
NR9055--MA0002.2.RUNX1	chr9	37576668	37576678	-	0.000	0.000	Merged-chr9-37576736-24
NR229--MA0511.2.RUNX2	chr1	67181367	67181375	+	0.000	0.000	Merged-chr1-67181322-10
NR9326--MA0002.2.RUNX1	chr9	105689681	105689691	+	0.000	0.000	Merged-chr9-105689631-24
NR5843--MA0684.1.RUNX3	chr3	65537571	65537580	-	0.000	0.000	Merged-chr3-65537527-21
NR1612--MA0684.1.RUNX3	chr11	82746990	82746999	+	0.000	0.000	Merged-chr11-82746953-51
NR1193--MA0002.2.RUNX1	chr10	94408831	94408841	+	0.000	0.000	Merged-chr10-94408966-47
NR1464--MA0002.2.RUNX1	chr11	34762526	34762536	-	0.000	0.000	Merged-chr11-34762658-71
NR6157--MA0511.2.RUNX2	chr3	142899428	142899436	-	0.000	0.000	Merged-chr3-142899348-46
NR3667--MA0002.2.RUNX1	chr16	23844809	23844819	-	0.000	0.000	Merged-chr16-23844946-41
NR702--MA0002.2.RUNX1	chr1	177670829	177670839	-	0.000	0.000	Merged-chr1-177670807-27
NR1321--MA0002.2.RUNX1	chr10	125317496	125317506	+	0.000	0.000	Merged-chr10-125317607-4
NR5952--MA0684.1.RUNX3	chr3	89871230	89871239	-	0.000	0.000	Merged-chr3-89871193-44
NR6014--MA0511.2.RUNX2	chr3	107062343	107062351	-	0.000	0.000	Merged-chr3-107062583-69
NR5599--MA0002.2.RUNX1	chr3	9567028	9567038	-	0.000	0.000	Merged-chr3-9567055-14
NR1516--MA0684.1.RUNX3	chr11	52314259	52314268	+	0.000	0.000	Merged-chr11-52314367-60
NR1097--MA0002.2.RUNX1	chr10	71247269	71247279	-	0.000	0.000	Merged-chr10-71247188-37
NR7884--MA0684.1.RUNX3	chr6	124730117	124730126	+	0.000	0.000	Merged-chr6-124730249-43
NR1639--MA0002.2.RUNX1	chr11	93884969	93884979	+	0.000	0.000	Merged-chr11-93885060-4
NR5141--MA0511.2.RUNX2	chr2	60774692	60774700	+	0.000	0.000	Merged-chr2-60774747-55
NR7807--MA0684.1.RUNX3	chr6	108535570	108535579	-	0.000	0.000	Merged-chr6-108535473-34
NR7388--MA0002.2.RUNX1	chr5	148709295	148709305	-	0.000	0.000	Merged-chr5-148709171-35
NR5042--MA0002.2.RUNX1	chr2	45017322	45017332	+	0.000	0.000	Merged-chr2-45017480-33
NR9401--MA0002.2.RUNX1	chr9	120340154	120340164	+	0.000	0.000	Merged-chr9-120340117-48
NR9530--MA0684.1.RUNX3	chrX	101128786	101128795	+	0.000	0.000	Merged-chrX-101128722-47
NR5521--MA0511.2.RUNX2	chr2	167996052	167996060	-	0.000	0.000	Merged-chr2-167996083-9
NR1605--MA0002.2.RUNX1	chr11	81613444	81613454	+	0.000	0.000	Merged-chr11-81613412-31
NR7724--MA0511.2.RUNX2	chr6	86850881	86850889	-	0.000	0.000	Merged-chr6-86850884-40
NR1542--MA0511.2.RUNX2	chr11	58978066	58978074	-	0.000	0.000	Merged-chr11-58978003-101
NR9434--MA0684.1.RUNX3	chrX	17521350	17521359	+	0.000	0.000	Merged-chrX-17521323-26
NR1714--MA0002.2.RUNX1	chr11	114321677	114321687	-	0.000	0.000	Merged-chr11-114321606-35
NR7754--MA0684.1.RUNX3	chr6	97016227	97016236	+	0.000	0.000	Merged-chr6-97016281-52
NR7877--MA0002.2.RUNX1	chr6	122804610	122804620	-	0.000	0.000	Merged-chr6-122804652-39
NR2935--MA0002.2.RUNX1	chr14	45155696	45155706	-	0.000	0.000	Merged-chr14-45155731-26
NR7291--MA0511.2.RUNX2	chr5	120577171	120577179	+	0.000	0.000	Merged-chr5-120577035-13
NR761--MA0511.2.RUNX2	chr1	189795639	189795647	-	0.000	0.000	Merged-chr1-189795440-7
NR9143--MA0002.2.RUNX1	chr9	66274930	66274940	-	0.000	0.000	Merged-chr9-66274857-15
NR1651--MA0511.2.RUNX2	chr11	97315644	97315652	-	0.000	0.000	Merged-chr11-97315787-53
NR5849--MA0002.2.RUNX1	chr3	65929644	65929654	-	0.000	0.000	Merged-chr3-65929899-83
NR2428--MA0511.2.RUNX2	chr13	52628201	52628209	+	0.000	0.000	Merged-chr13-52628204-1
NR7214--MA0511.2.RUNX2	chr5	103693348	103693356	-	0.000	0.000	Merged-chr5-103693380-4
NR5534--MA0511.2.RUNX2	chr2	170219240	170219248	+	0.000	0.000	Merged-chr2-170219301-96
NR7863--MA0684.1.RUNX3	chr6	120199717	120199726	-	0.000	0.000	Merged-chr6-120199707-32
NR4009--MA0002.2.RUNX1	chr17	7889198	7889208	+	0.000	0.000	Merged-chr17-7889151-33
NR3427--MA0684.1.RUNX3	chr15	67130174	67130183	+	0.000	0.000	Merged-chr15-67130106-32
NR1599--MA0002.2.RUNX1	chr11	79615051	79615061	+	0.000	0.000	Merged-chr11-79615076-27
NR2901--MA0002.2.RUNX1	chr14	32492741	32492751	+	0.000	0.000	Merged-chr14-32492758-31
NR7909--MA0002.2.RUNX1	chr6	128836399	128836409	-	0.000	0.000	Merged-chr6-128836446-70
NR7767--MA0684.1.RUNX3	chr6	99985479	99985488	-	0.000	0.000	Merged-chr6-99985483-19
NR5150--MA0684.1.RUNX3	chr2	61514184	61514193	-	0.000	0.000	Merged-chr2-61514287-58
NR5815--MA0002.2.RUNX1	chr3	60531040	60531050	-	0.000	0.000	Merged-chr3-60530998-30
NR3659--MA0002.2.RUNX1	chr16	23264253	23264263	-	0.000	0.000	Merged-chr16-23264212-1
NR7353--MA0684.1.RUNX3	chr5	139303758	139303767	+	0.000	0.000	Merged-chr5-139303910-62
NR4099--MA0002.2.RUNX1	chr17	19435175	19435185	-	0.000	0.000	Merged-chr17-19435269-18
NR3516--MA0002.2.RUNX1	chr15	89387214	89387224	+	0.000	0.000	Merged-chr15-89387305-17
NR1294--MA0002.2.RUNX1	chr10	119382449	119382459	+	0.000	0.000	Merged-chr10-119382475-33
NR1250--MA0511.2.RUNX2	chr10	107869158	107869166	+	0.000	0.000	Merged-chr10-107868994-49
NR5133--MA0511.2.RUNX2	chr2	59716628	59716636	-	0.000	0.000	Merged-chr2-59716624-17
NR5782--MA0684.1.RUNX3	chr3	52555212	52555221	+	0.000	0.000	Merged-chr3-52555195-52
NR1617--MA0684.1.RUNX3	chr11	84829256	84829265	-	0.000	0.000	Merged-chr11-84829158-56
NR6731--MA0002.2.RUNX1	chr4	136100573	136100583	-	0.000	0.000	Merged-chr4-136100586-63
NR8318--MA0511.2.RUNX2	chr7	80450004	80450012	+	0.000	0.000	Merged-chr7-80450087-44
NR5557--MA0002.2.RUNX1	chr2	174675947	174675957	+	0.000	0.000	Merged-chr2-174675833-26
NR370--MA0002.2.RUNX1	chr1	92064486	92064496	+	0.000	0.000	Merged-chr1-92064482-52
NR7859--MA0511.2.RUNX2	chr6	120124866	120124874	-	0.000	0.000	Merged-chr6-120124865-39
NR9374--MA0002.2.RUNX1	chr9	116212260	116212270	+	0.000	0.000	Merged-chr9-116212405-59
NR4703--MA0002.2.RUNX1	chr18	81400378	81400388	+	0.000	0.000	Merged-chr18-81400344-68
NR5957--MA0684.1.RUNX3	chr3	93609397	93609406	+	0.000	0.000	Merged-chr3-93609208-30
NR893--MA0002.2.RUNX1	chr10	17539348	17539358	+	0.000	0.000	Merged-chr10-17539427-37
NR9502--MA0002.2.RUNX1	chrX	77580135	77580145	+	0.000	0.000	Merged-chrX-77580117-37
NR5937--MA0002.2.RUNX1	chr3	88510192	88510202	+	0.000	0.000	Merged-chr3-88510082-59
NR9360--MA0684.1.RUNX3	chr9	114443479	114443488	-	0.000	0.000	Merged-chr9-114443515-48
NR1164--MA0002.2.RUNX1	chr10	89327137	89327147	+	0.000	0.000	Merged-chr10-89327162-49
NR7869--MA0002.2.RUNX1	chr6	120957517	120957527	+	0.000	0.000	Merged-chr6-120957473-22
NR3096--MA0002.2.RUNX1	chr14	101883017	101883027	+	0.000	0.000	Merged-chr14-101883175-35
NR3367--MA0002.2.RUNX1	chr15	50841965	50841975	-	0.000	0.000	Merged-chr15-50841998-15
NR2990--MA0684.1.RUNX3	chr14	64884971	64884980	-	0.000	0.000	Merged-chr14-64885056-34
NR5718--MA0684.1.RUNX3	chr3	37978661	37978670	-	0.000	0.000	Merged-chr3-37978790-50
NR5299--MA0002.2.RUNX1	chr2	112510300	112510310	+	0.000	0.000	Merged-chr2-112510265-49
NR5255--MA0511.2.RUNX2	chr2	91924163	91924171	-	0.000	0.000	Merged-chr2-91924034-46
NR4650--MA0002.2.RUNX1	chr18	70633836	70633846	-	0.000	0.000	Merged-chr18-70633740-34
NR3575--MA0511.2.RUNX2	chr15	102165736	102165744	+	0.000	0.000	Merged-chr15-102165758-28
NR1500--MA0511.2.RUNX2	chr11	50371494	50371502	+	0.000	0.000	Merged-chr11-50371605-32
NR1796--MA0002.2.RUNX1	chr12	8660063	8660073	-	0.000	0.000	Merged-chr12-8659979-34
NR3161--MA0511.2.RUNX2	chr14	118658446	118658454	+	0.000	0.000	Merged-chr14-118658326-68
NR4209--MA0511.2.RUNX2	chr17	46074014	46074022	-	0.000	0.000	Merged-chr17-46073947-66
NR3333--MA0002.2.RUNX1	chr15	41846674	41846684	+	0.000	0.000	Merged-chr15-41846585-48
NR9101--MA0002.2.RUNX1	chr9	50966604	50966614	-	0.000	0.000	Merged-chr9-50966454-25
NR7216--MA0002.2.RUNX1	chr5	103720193	103720203	+	0.000	0.000	Merged-chr5-103720100-12
NR8913--MA0002.2.RUNX1	chr8	123000551	123000561	-	0.000	0.000	Merged-chr8-123000494-51
NR4239--MA0684.1.RUNX3	chr17	52125414	52125423	-	0.000	0.000	Merged-chr17-52125389-32
NR4140--MA0002.2.RUNX1	chr17	28015636	28015646	+	0.000	0.000	Merged-chr17-28015703-1
NR2460--MA0002.2.RUNX1	chr13	63411078	63411088	+	0.000	0.000	Merged-chr13-63411317-71
NR7197--MA0002.2.RUNX1	chr5	100585346	100585356	-	0.000	0.000	Merged-chr5-100585262-59
NR1163--MA0684.1.RUNX3	chr10	88420838	88420847	-	0.000	0.000	Merged-chr10-88420922-64
NR4811--MA0684.1.RUNX3	chr19	26646306	26646315	-	0.000	0.000	Merged-chr19-26646309-47
NR3859--MA0511.2.RUNX2	chr16	76334571	76334579	+	0.000	0.000	Merged-chr16-76334595-11
NR5522--MA0684.1.RUNX3	chr2	167996051	167996060	-	0.000	0.000	Merged-chr2-167996083-9
NR7325--MA0002.2.RUNX1	chr5	130139567	130139577	+	0.000	0.000	Merged-chr5-130139526-15
NR1414--MA0002.2.RUNX1	chr11	20133216	20133226	-	0.000	0.000	Merged-chr11-20133191-35
NR6200--MA0002.2.RUNX1	chr3	146345378	146345388	+	0.000	0.000	Merged-chr3-146345390-35
NR3716--MA0511.2.RUNX2	chr16	36588197	36588205	+	0.000	0.000	Merged-chr16-36588182-35
NR7848--MA0002.2.RUNX1	chr6	119451208	119451218	-	0.000	0.000	Merged-chr6-119451010-23
NR776--MA0002.2.RUNX1	chr1	193181245	193181255	+	0.000	0.000	Merged-chr1-193181317-39
NR1609--MA0684.1.RUNX3	chr11	82183451	82183460	-	0.000	0.000	Merged-chr11-82183511-55
NR4772--MA0002.2.RUNX1	chr19	11362201	11362211	-	0.000	0.000	Merged-chr19-11362084-57
NR7106--MA0684.1.RUNX3	chr5	75791956	75791965	+	0.000	0.000	Merged-chr5-75792010-32
NR32--MA0002.2.RUNX1	chr1	10325539	10325549	-	0.000	0.000	Merged-chr1-10325689-27
NR1146--MA0511.2.RUNX2	chr10	85035481	85035489	-	0.000	0.000	Merged-chr10-85035484-19
NR3746--MA0684.1.RUNX3	chr16	45224874	45224883	-	0.000	0.000	Merged-chr16-45224800-5
NR5278--MA0002.2.RUNX1	chr2	102948327	102948337	-	0.000	0.000	Merged-chr2-102948525-77
NR5549--MA0002.2.RUNX1	chr2	173455381	173455391	+	0.000	0.000	Merged-chr2-173455329-43
NR3554--MA0511.2.RUNX2	chr15	97455695	97455703	-	0.000	0.000	Merged-chr15-97455795-23
NR9366--MA0002.2.RUNX1	chr9	115468812	115468822	+	0.000	0.000	Merged-chr9-115468882-11
NR6931--MA0511.2.RUNX2	chr5	23637511	23637519	+	0.000	0.000	Merged-chr5-23637519-38
NR9051--MA0511.2.RUNX2	chr9	37554457	37554465	-	0.000	0.000	Merged-chr9-37554470-32
NR1652--MA0684.1.RUNX3	chr11	97315643	97315652	-	0.000	0.000	Merged-chr11-97315787-53
NR3184--MA0002.2.RUNX1	chr14	120373173	120373183	-	0.000	0.000	Merged-chr14-120372978-21
NR8512--MA0002.2.RUNX1	chr7	143005003	143005013	-	0.000	0.000	Merged-chr7-143004947-1
NR6832--MA0002.2.RUNX1	chr4	155306844	155306854	-	0.000	0.000	Merged-chr4-155306831-50
NR9223--MA0002.2.RUNX1	chr9	84030862	84030872	+	0.000	0.000	Merged-chr9-84030961-27
NR7215--MA0684.1.RUNX3	chr5	103693347	103693356	-	0.000	0.000	Merged-chr5-103693380-4
NR1460--MA0511.2.RUNX2	chr11	34048974	34048982	+	0.000	0.000	Merged-chr11-34049016-54
NR2330--MA0002.2.RUNX1	chr13	23431040	23431050	-	0.000	0.000	Merged-chr13-23431185-78
NR7067--MA0002.2.RUNX1	chr5	65929347	65929357	-	0.000	0.000	Merged-chr5-65929353-41
NR3663--MA0511.2.RUNX2	chr16	23838336	23838344	-	0.000	0.000	Merged-chr16-23838386-46
NR2582--MA0002.2.RUNX1	chr13	93939604	93939614	+	0.000	0.000	Merged-chr13-93939742-17
NR5787--MA0684.1.RUNX3	chr3	54353429	54353438	+	0.000	0.000	Merged-chr3-54353382-25
NR2853--MA0002.2.RUNX1	chr14	20503199	20503209	-	0.000	0.000	Merged-chr14-20503247-33
NR9431--MA0511.2.RUNX2	chrX	17521350	17521358	+	0.000	0.000	Merged-chrX-17521323-26
NR4933--MA0684.1.RUNX3	chr2	16568288	16568297	-	0.000	0.000	Merged-chr2-16568402-24
NR9127--MA0002.2.RUNX1	chr9	58280706	58280716	+	0.000	0.000	Merged-chr9-58280700-28
NR5915--MA0684.1.RUNX3	chr3	81789077	81789086	-	0.000	0.000	Merged-chr3-81789091-24
NR5496--MA0002.2.RUNX1	chr2	160756899	160756909	+	0.000	0.000	Merged-chr2-160756885-65
NR851--MA0002.2.RUNX1	chr10	12985259	12985269	-	0.000	0.000	Merged-chr10-12985296-24
NR7798--MA0511.2.RUNX2	chr6	108098721	108098729	+	0.000	0.000	Merged-chr6-108098714-35
NR9256--MA0684.1.RUNX3	chr9	90259714	90259723	+	0.000	0.000	Merged-chr9-90259820-55
NR9584--MA0002.2.RUNX1	chrX	159080706	159080716	-	0.000	0.000	Merged-chrX-159080720-54
NR602--MA0511.2.RUNX2	chr1	161396534	161396542	-	0.000	0.000	Merged-chr1-161396646-31
NR1221--MA0511.2.RUNX2	chr10	99416940	99416948	+	0.000	0.000	Merged-chr10-99417083-63
