#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.dn.bed
NR6446--MA0496.2.MAFK	chr2	34140006	34140024	-	0.000	0.000	Merged-chr2-34139840-30
NR11200--MA0501.1.MAF::NFE2	chr8	10481070	10481084	+	0.000	0.000	Merged-chr8-10480951-33
NR1397--MA0501.1.MAF::NFE2	chr10	84701279	84701293	-	0.000	0.000	Merged-chr10-84701408-35
NR10515--MA0591.1.Bach1::Mafk	chr7	27731464	27731478	-	0.000	0.000	Merged-chr7-27731586-58
NR8084--MA0496.2.MAFK	chr3	153764830	153764848	+	0.000	0.000	Merged-chr3-153764846-117
NR10821--MA0117.2.Mafb	chr7	102426506	102426517	-	0.000	0.000	Merged-chr7-102426341-48
NR598--MA0591.1.Bach1::Mafk	chr1	151382088	151382102	-	0.000	0.000	Merged-chr1-151382217-13
NR9638--MA0591.1.Bach1::Mafk	chr6	30205806	30205820	+	0.000	0.000	Merged-chr6-30205764-30
NR4849--MA0495.2.MAFF	chr16	57500955	57500975	-	0.000	0.000	Merged-chr16-57500995-13
NR9469--MA0089.1.MAFG::NFE2L1	chr5	142464018	142464023	+	0.000	0.000	Merged-chr5-142463900-60
NR7686--MA0089.1.MAFG::NFE2L1	chr3	88325033	88325038	-	0.000	0.000	Merged-chr3-88325153-39
NR4891--MA0659.1.MAFG	chr16	75903184	75903204	+	0.000	0.000	Merged-chr16-75903251-33
NR8872--MA0496.2.MAFK	chr5	5420343	5420361	-	0.000	0.000	Merged-chr5-5420247-39
NR1809--MA0089.1.MAFG::NFE2L1	chr11	21314582	21314587	-	0.000	0.000	Merged-chr11-21314524-33
NR4228--MA0501.1.MAF::NFE2	chr15	41612398	41612412	+	0.000	0.000	Merged-chr15-41612397-47
NR9832--MA0591.1.Bach1::Mafk	chr6	72881455	72881469	-	0.000	0.000	Merged-chr6-72881581-61
NR8512--MA0089.1.MAFG::NFE2L1	chr4	118093652	118093657	-	0.000	0.000	Merged-chr4-118093764-17
NR7574--MA0117.2.Mafb	chr3	55153118	55153129	-	0.000	0.000	Merged-chr3-55153075-27
NR767--MA0501.1.MAF::NFE2	chr1	173673898	173673912	-	0.000	0.000	Merged-chr1-173673787-63
NR8434--MA0495.2.MAFF	chr4	106869719	106869739	+	0.000	0.000	Merged-chr4-106869679-64
NR11366--MA0591.1.Bach1::Mafk	chr8	71587146	71587160	-	0.000	0.000	Merged-chr8-71587200-14
NR3866--MA0496.2.MAFK	chr14	64434221	64434239	-	0.000	0.000	Merged-chr14-64434245-45
NR10453--MA0591.1.Bach1::Mafk	chr7	16314090	16314104	-	0.000	0.000	Merged-chr7-16314036-50
NR9761--MA0495.2.MAFF	chr6	59411873	59411893	+	0.000	0.000	Merged-chr6-59411943-3
NR11486--MA0659.1.MAFG	chr8	94812834	94812854	-	0.000	0.000	Merged-chr8-94812976-23
NR3869--MA0089.1.MAFG::NFE2L1	chr14	64627357	64627362	+	0.000	0.000	Merged-chr14-64627240-35
NR7497--MA0089.1.MAFG::NFE2L1	chr3	10466083	10466088	+	0.000	0.000	Merged-chr3-10466039-18
NR6219--MA0501.1.MAF::NFE2	chr19	55866019	55866033	-	0.000	0.000	Merged-chr19-55866165-31
NR508--MA0501.1.MAF::NFE2	chr1	131025955	131025969	-	0.000	0.000	Merged-chr1-131026004-32
NR4213--MA0501.1.MAF::NFE2	chr15	38199735	38199749	-	0.000	0.000	Merged-chr15-38199755-22
NR7509--MA0089.1.MAFG::NFE2L1	chr3	19707067	19707072	-	0.000	0.000	Merged-chr3-19706982-40
NR2111--MA0501.1.MAF::NFE2	chr11	80428850	80428864	-	0.000	0.000	Merged-chr11-80428757-61
NR10954--MA0495.2.MAFF	chr7	116409582	116409602	-	0.000	0.000	Merged-chr7-116409560-37
NR1691--MA0591.1.Bach1::Mafk	chr10	127744986	127745000	+	0.000	0.000	Merged-chr10-127744856-26
NR656--MA0501.1.MAF::NFE2	chr1	160800039	160800053	+	0.000	0.000	Merged-chr1-160800185-22
NR1968--MA0591.1.Bach1::Mafk	chr11	60935534	60935548	+	0.000	0.000	Merged-chr11-60935533-50
NR2342--MA0496.2.MAFK	chr11	109744079	109744097	+	0.000	0.000	Merged-chr11-109744155-21
NR9078--MA0089.1.MAFG::NFE2L1	chr5	65938227	65938232	-	0.000	0.000	Merged-chr5-65938272-22
NR433--MA0089.1.MAFG::NFE2L1	chr1	112451745	112451750	-	0.000	0.000	Merged-chr1-112451852-16
NR3884--MA0496.2.MAFK	chr14	66218935	66218953	+	0.000	0.000	Merged-chr14-66218968-32
NR3667--MA0117.2.Mafb	chr14	8099810	8099821	+	0.000	0.000	Merged-chr14-8099733-53
NR6236--MA0496.2.MAFK	chr19	57882119	57882137	-	0.000	0.000	Merged-chr19-57882261-17
NR10583--MA0591.1.Bach1::Mafk	chr7	51892591	51892605	-	0.000	0.000	Merged-chr7-51892724-31
NR1044--MA0117.2.Mafb	chr10	14045337	14045348	+	0.000	0.000	Merged-chr10-14045187-25
NR1190--MA0495.2.MAFF	chr10	45635338	45635358	-	0.000	0.000	Merged-chr10-45635407-27
NR10956--MA0659.1.MAFG	chr7	116409582	116409602	+	0.000	0.000	Merged-chr7-116409560-37
NR1984--MA0089.1.MAFG::NFE2L1	chr11	62879581	62879586	-	0.000	0.000	Merged-chr11-62879529-68
NR4429--MA0591.1.Bach1::Mafk	chr15	80582791	80582805	-	0.000	0.000	Merged-chr15-80582931-41
NR7723--MA0501.1.MAF::NFE2	chr3	95434258	95434272	-	0.000	0.000	Merged-chr3-95434415-68
NR7407--MA0089.1.MAFG::NFE2L1	chr2	174614085	174614090	-	0.000	0.000	Merged-chr2-174613856-91
NR6494--MA0591.1.Bach1::Mafk	chr2	44981870	44981884	+	0.000	0.000	Merged-chr2-44981813-26
NR4616--MA0496.2.MAFK	chr16	11501266	11501284	+	0.000	0.000	Merged-chr16-11501282-30
NR9651--MA0117.2.Mafb	chr6	31219077	31219088	+	0.000	0.000	Merged-chr6-31219106-11
NR8436--MA0117.2.Mafb	chr4	106869719	106869730	+	0.000	0.000	Merged-chr4-106869679-64
NR5872--MA0495.2.MAFF	chr18	80612045	80612065	+	0.000	0.000	Merged-chr18-80611991-79
NR3224--MA0117.2.Mafb	chr13	45917435	45917446	-	0.000	0.000	Merged-chr13-45917473-39
NR8147--MA0089.1.MAFG::NFE2L1	chr4	14864329	14864334	-	0.000	0.000	Merged-chr4-14864429-92
NR12115--MA0117.2.Mafb	chr9	82967473	82967484	+	0.000	0.000	Merged-chr9-82967336-26
NR11601--MA0495.2.MAFF	chr8	117328923	117328943	-	0.000	0.000	Merged-chr8-117329052-8
NR12476--MA0495.2.MAFF	chrX	77801762	77801782	-	0.000	0.000	Merged-chrX-77801758-16
NR5959--MA0117.2.Mafb	chr19	5532736	5532747	-	0.000	0.000	Merged-chr19-5532720-31
NR3562--MA0496.2.MAFK	chr13	108853810	108853828	-	0.000	0.000	Merged-chr13-108853912-1
NR2733--MA0591.1.Bach1::Mafk	chr12	87411189	87411203	+	0.000	0.000	Merged-chr12-87411276-22
NR9278--MA0089.1.MAFG::NFE2L1	chr5	105798651	105798656	-	0.000	0.000	Merged-chr5-105798670-49
NR5159--MA0089.1.MAFG::NFE2L1	chr17	24686768	24686773	+	0.000	0.000	Merged-chr17-24686693-5
NR1080--MA0117.2.Mafb	chr10	21976504	21976515	-	0.000	0.000	Merged-chr10-21976372-39
NR9471--MA0591.1.Bach1::Mafk	chr5	142881149	142881163	+	0.000	0.000	Merged-chr5-142881345-35
NR9996--MA0117.2.Mafb	chr6	108278447	108278458	+	0.000	0.000	Merged-chr6-108278400-27
NR1799--MA0591.1.Bach1::Mafk	chr11	20542895	20542909	+	0.000	0.000	Merged-chr11-20543083-82
NR10241--MA0089.1.MAFG::NFE2L1	chr6	136498015	136498020	+	0.000	0.000	Merged-chr6-136498019-38
NR2338--MA0496.2.MAFK	chr11	109480130	109480148	-	0.000	0.000	Merged-chr11-109480065-23
NR5737--MA0089.1.MAFG::NFE2L1	chr18	57970375	57970380	-	0.000	0.000	Merged-chr18-57970531-36
NR8321--MA0089.1.MAFG::NFE2L1	chr4	82858487	82858492	+	0.000	0.000	Merged-chr4-82858540-5
NR10832--MA0089.1.MAFG::NFE2L1	chr7	104291783	104291788	-	0.000	0.000	Merged-chr7-104291752-74
NR10196--MA0501.1.MAF::NFE2	chr6	130430850	130430864	+	0.000	0.000	Merged-chr6-130430787-10
NR12478--MA0659.1.MAFG	chrX	77801762	77801782	+	0.000	0.000	Merged-chrX-77801758-16
NR4211--MA0117.2.Mafb	chr15	38199735	38199746	+	0.000	0.000	Merged-chr15-38199755-22
NR9559--MA0501.1.MAF::NFE2	chr6	3536484	3536498	-	0.000	0.000	Merged-chr6-3536376-27
NR10543--MA0089.1.MAFG::NFE2L1	chr7	38093352	38093357	+	0.000	0.000	Merged-chr7-38093373-14
NR2143--MA0089.1.MAFG::NFE2L1	chr11	85235135	85235140	-	0.000	0.000	Merged-chr11-85234934-68
NR6130--MA0501.1.MAF::NFE2	chr19	40661356	40661370	-	0.000	0.000	Merged-chr19-40661209-23
NR1954--MA0501.1.MAF::NFE2	chr11	58189756	58189770	-	0.000	0.000	Merged-chr11-58189839-18
NR9042--MA0591.1.Bach1::Mafk	chr5	53543573	53543587	-	0.000	0.000	Merged-chr5-53543664-17
NR7897--MA0089.1.MAFG::NFE2L1	chr3	131019766	131019771	+	0.000	0.000	Merged-chr3-131019630-77
NR531--MA0089.1.MAFG::NFE2L1	chr1	135124914	135124919	-	0.000	0.000	Merged-chr1-135124933-9
NR1995--MA0089.1.MAFG::NFE2L1	chr11	66982989	66982994	+	0.000	0.000	Merged-chr11-66982927-21
NR11004--MA0591.1.Bach1::Mafk	chr7	122414407	122414421	+	0.000	0.000	Merged-chr7-122414418-49
NR11820--MA0496.2.MAFK	chr9	14559640	14559658	+	0.000	0.000	Merged-chr9-14559722-16
NR6073--MA0089.1.MAFG::NFE2L1	chr19	29391476	29391481	+	0.000	0.000	Merged-chr19-29391437-12
NR9643--MA0591.1.Bach1::Mafk	chr6	31079955	31079969	+	0.000	0.000	Merged-chr6-31079866-35
NR4411--MA0591.1.Bach1::Mafk	chr15	77798856	77798870	-	0.000	0.000	Merged-chr15-77798919-52
NR4290--MA0089.1.MAFG::NFE2L1	chr15	59520704	59520709	-	0.000	0.000	Merged-chr15-59520520-55
NR9728--MA0591.1.Bach1::Mafk	chr6	52825791	52825805	-	0.000	0.000	Merged-chr6-52825813-18
NR5608--MA0496.2.MAFK	chr18	23754630	23754648	-	0.000	0.000	Merged-chr18-23754514-42
NR3952--MA0089.1.MAFG::NFE2L1	chr14	75069673	75069678	-	0.000	0.000	Merged-chr14-75069632-2
NR1112--MA0089.1.MAFG::NFE2L1	chr10	26521339	26521344	+	0.000	0.000	Merged-chr10-26521176-55
NR11048--MA0117.2.Mafb	chr7	127014384	127014395	+	0.000	0.000	Merged-chr7-127014477-45
NR3930--MA0501.1.MAF::NFE2	chr14	73170124	73170138	+	0.000	0.000	Merged-chr14-73170198-47
NR4894--MA0496.2.MAFK	chr16	75903185	75903203	-	0.000	0.000	Merged-chr16-75903251-33
NR12449--MA0496.2.MAFK	chrX	59568330	59568348	+	0.000	0.000	Merged-chrX-59568240-6
NR1967--MA0117.2.Mafb	chr11	60935540	60935551	-	0.000	0.000	Merged-chr11-60935533-50
NR1826--MA0496.2.MAFK	chr11	31824816	31824834	-	0.000	0.000	Merged-chr11-31824780-24
NR10666--MA0501.1.MAF::NFE2	chr7	75641364	75641378	-	0.000	0.000	Merged-chr7-75641429-31
NR6071--MA0501.1.MAF::NFE2	chr19	29251326	29251340	-	0.000	0.000	Merged-chr19-29251639-67
NR9941--MA0089.1.MAFG::NFE2L1	chr6	99402040	99402045	-	0.000	0.000	Merged-chr6-99401904-51
NR5822--MA0089.1.MAFG::NFE2L1	chr18	73846872	73846877	+	0.000	0.000	Merged-chr18-73846935-30
NR6375--MA0089.1.MAFG::NFE2L1	chr2	18935624	18935629	+	0.000	0.000	Merged-chr2-18935718-26
NR3756--MA0591.1.Bach1::Mafk	chr14	36962629	36962643	-	0.000	0.000	Merged-chr14-36962609-55
NR9766--MA0496.2.MAFK	chr6	59411874	59411892	+	0.000	0.000	Merged-chr6-59411943-3
NR7139--MA0501.1.MAF::NFE2	chr2	150645488	150645502	-	0.000	0.000	Merged-chr2-150645418-8
NR1038--MA0089.1.MAFG::NFE2L1	chr10	13469059	13469064	+	0.000	0.000	Merged-chr10-13469041-19
NR7143--MA0496.2.MAFK	chr2	150840385	150840403	+	0.000	0.000	Merged-chr2-150840392-23
NR5897--MA0659.1.MAFG	chr18	84159131	84159151	+	0.000	0.000	Merged-chr18-84159275-32
NR15--MA0117.2.Mafb	chr1	10257658	10257669	-	0.000	0.000	Merged-chr1-10257584-29
NR3713--MA0591.1.Bach1::Mafk	chr14	24779274	24779288	-	0.000	0.000	Merged-chr14-24779334-63
NR8823--MA0089.1.MAFG::NFE2L1	chr4	151996271	151996276	-	0.000	0.000	Merged-chr4-151996356-68
NR240--MA0089.1.MAFG::NFE2L1	chr1	69545473	69545478	+	0.000	0.000	Merged-chr1-69544965-96
NR10930--MA0089.1.MAFG::NFE2L1	chr7	115213351	115213356	-	0.000	0.000	Merged-chr7-115213286-12
NR9646--MA0501.1.MAF::NFE2	chr6	31080829	31080843	-	0.000	0.000	Merged-chr6-31081023-63
NR3285--MA0089.1.MAFG::NFE2L1	chr13	56219621	56219626	+	0.000	0.000	Merged-chr13-56219461-20
NR11055--MA0496.2.MAFK	chr7	127083797	127083815	-	0.000	0.000	Merged-chr7-127083805-15
NR5324--MA0117.2.Mafb	chr17	56443638	56443649	-	0.000	0.000	Merged-chr17-56443573-18
NR10198--MA0496.2.MAFK	chr6	130430845	130430863	-	0.000	0.000	Merged-chr6-130430787-10
NR1748--MA0117.2.Mafb	chr11	5099437	5099448	+	0.000	0.000	Merged-chr11-5099369-106
NR7516--MA0089.1.MAFG::NFE2L1	chr3	21953069	21953074	+	0.000	0.000	Merged-chr3-21953185-77
NR1288--MA0591.1.Bach1::Mafk	chr10	67643729	67643743	+	0.000	0.000	Merged-chr10-67643830-49
NR6096--MA0117.2.Mafb	chr19	32953483	32953494	+	0.000	0.000	Merged-chr19-32953496-32
NR5285--MA0591.1.Bach1::Mafk	chr17	46829051	46829065	+	0.000	0.000	Merged-chr17-46829209-35
NR1513--MA0496.2.MAFK	chr10	98880175	98880193	+	0.000	0.000	Merged-chr10-98880383-54
NR11978--MA0495.2.MAFF	chr9	61708039	61708059	-	0.000	0.000	Merged-chr9-61708026-57
NR5948--MA0089.1.MAFG::NFE2L1	chr19	4811422	4811427	+	0.000	0.000	Merged-chr19-4811476-80
NR12437--MA0089.1.MAFG::NFE2L1	chrX	52743890	52743895	-	0.000	0.000	Merged-chrX-52743993-5
NR8601--MA0495.2.MAFF	chr4	130706881	130706901	-	0.000	0.000	Merged-chr4-130706849-20
NR12067--MA0501.1.MAF::NFE2	chr9	75408033	75408047	+	0.000	0.000	Merged-chr9-75408031-5
NR6373--MA0089.1.MAFG::NFE2L1	chr2	18872948	18872953	+	0.000	0.000	Merged-chr2-18873017-31
NR1210--MA0089.1.MAFG::NFE2L1	chr10	53344081	53344086	-	0.000	0.000	Merged-chr10-53344095-9
NR6964--MA0089.1.MAFG::NFE2L1	chr2	130563776	130563781	-	0.000	0.000	Merged-chr2-130563703-55
NR1031--MA0501.1.MAF::NFE2	chr10	10224979	10224993	+	0.000	0.000	Merged-chr10-10224805-34
NR579--MA0501.1.MAF::NFE2	chr1	144086345	144086359	-	0.000	0.000	Merged-chr1-144086303-34
NR2160--MA0591.1.Bach1::Mafk	chr11	86648337	86648351	+	0.000	0.000	Merged-chr11-86648255-12
NR7226--MA0501.1.MAF::NFE2	chr2	158361546	158361560	+	0.000	0.000	Merged-chr2-158361498-68
NR8458--MA0089.1.MAFG::NFE2L1	chr4	108579348	108579353	-	0.000	0.000	Merged-chr4-108579326-65
NR6638--MA0117.2.Mafb	chr2	77342173	77342184	+	0.000	0.000	Merged-chr2-77341964-71
NR10778--MA0117.2.Mafb	chr7	97361721	97361732	-	0.000	0.000	Merged-chr7-97361642-27
NR3485--MA0089.1.MAFG::NFE2L1	chr13	101707386	101707391	+	0.000	0.000	Merged-chr13-101707362-90
NR9589--MA0089.1.MAFG::NFE2L1	chr6	13871523	13871528	-	0.000	0.000	Merged-chr6-13871403-58
NR4930--MA0591.1.Bach1::Mafk	chr16	87700101	87700115	-	0.000	0.000	Merged-chr16-87700097-27
NR8545--MA0089.1.MAFG::NFE2L1	chr4	121016847	121016852	-	0.000	0.000	Merged-chr4-121016870-126
NR2643--MA0089.1.MAFG::NFE2L1	chr12	54353155	54353160	-	0.000	0.000	Merged-chr12-54353201-29
NR12220--MA0089.1.MAFG::NFE2L1	chr9	99699937	99699942	-	0.000	0.000	Merged-chr9-99699985-12
NR8118--MA0501.1.MAF::NFE2	chr4	6218826	6218840	-	0.000	0.000	Merged-chr4-6219032-9
NR2534--MA0659.1.MAFG	chr12	25095900	25095920	-	0.000	0.000	Merged-chr12-25096104-64
NR11998--MA0659.1.MAFG	chr9	62425367	62425387	-	0.000	0.000	Merged-chr9-62425384-15
NR5244--MA0659.1.MAFG	chr17	36042869	36042889	+	0.000	0.000	Merged-chr17-36042760-57
NR5964--MA0501.1.MAF::NFE2	chr19	5818195	5818209	+	0.000	0.000	Merged-chr19-5818156-38
NR6977--MA0089.1.MAFG::NFE2L1	chr2	132269393	132269398	+	0.000	0.000	Merged-chr2-132269487-27
NR11630--MA0501.1.MAF::NFE2	chr8	120332945	120332959	-	0.000	0.000	Merged-chr8-120332869-43
NR11647--MA0495.2.MAFF	chr8	122299743	122299763	+	0.000	0.000	Merged-chr8-122299759-10
NR12006--MA0501.1.MAF::NFE2	chr9	63602416	63602430	+	0.000	0.000	Merged-chr9-63602538-63
NR3953--MA0591.1.Bach1::Mafk	chr14	75175416	75175430	-	0.000	0.000	Merged-chr14-75175322-22
NR3308--MA0089.1.MAFG::NFE2L1	chr13	63541683	63541688	+	0.000	0.000	Merged-chr13-63541673-31
NR755--MA0089.1.MAFG::NFE2L1	chr1	172290409	172290414	-	0.000	0.000	Merged-chr1-172290126-34
NR11783--MA0089.1.MAFG::NFE2L1	chr8	128646936	128646941	+	0.000	0.000	Merged-chr8-128646767-27
NR7670--MA0659.1.MAFG	chr3	87744156	87744176	-	0.000	0.000	Merged-chr3-87744056-12
NR5696--MA0117.2.Mafb	chr18	46201103	46201114	-	0.000	0.000	Merged-chr18-46201005-50
NR4850--MA0501.1.MAF::NFE2	chr16	57500955	57500969	-	0.000	0.000	Merged-chr16-57500995-13
NR11530--MA0496.2.MAFK	chr8	107504403	107504421	+	0.000	0.000	Merged-chr8-107504298-30
NR351--MA0089.1.MAFG::NFE2L1	chr1	91065339	91065344	-	0.000	0.000	Merged-chr1-91065226-49
NR4190--MA0659.1.MAFG	chr15	34390209	34390229	+	0.000	0.000	Merged-chr15-34390161-14
NR4933--MA0117.2.Mafb	chr16	87713185	87713196	-	0.000	0.000	Merged-chr16-87713250-69
NR2608--MA0496.2.MAFK	chr12	40017107	40017125	+	0.000	0.000	Merged-chr12-40017136-45
NR5079--MA0089.1.MAFG::NFE2L1	chr17	7164328	7164333	-	0.000	0.000	Merged-chr17-7164154-31
NR4437--MA0591.1.Bach1::Mafk	chr15	81819705	81819719	-	0.000	0.000	Merged-chr15-81819861-26
NR4035--MA0089.1.MAFG::NFE2L1	chr14	103469264	103469269	-	0.000	0.000	Merged-chr14-103469232-2
NR10174--MA0089.1.MAFG::NFE2L1	chr6	128972830	128972835	+	0.000	0.000	Merged-chr6-128972909-46
NR9138--MA0117.2.Mafb	chr5	90595192	90595203	-	0.000	0.000	Merged-chr5-90595203-46
NR1449--MA0659.1.MAFG	chr10	91141579	91141599	+	0.000	0.000	Merged-chr10-91141704-33
NR7088--MA0117.2.Mafb	chr2	145903139	145903150	+	0.000	0.000	Merged-chr2-145903332-51
NR10633--MA0591.1.Bach1::Mafk	chr7	66250208	66250222	-	0.000	0.000	Merged-chr7-66250161-34
NR2467--MA0089.1.MAFG::NFE2L1	chr11	121204297	121204302	-	0.000	0.000	Merged-chr11-121204419-68
NR4826--MA0659.1.MAFG	chr16	52418693	52418713	-	0.000	0.000	Merged-chr16-52418568-49
NR2505--MA0496.2.MAFK	chr12	8859037	8859055	-	0.000	0.000	Merged-chr12-8859142-27
NR10955--MA0591.1.Bach1::Mafk	chr7	116409585	116409599	-	0.000	0.000	Merged-chr7-116409560-37
NR12044--MA0089.1.MAFG::NFE2L1	chr9	69450553	69450558	-	0.000	0.000	Merged-chr9-69450525-8
NR11681--MA0089.1.MAFG::NFE2L1	chr8	124255708	124255713	+	0.000	0.000	Merged-chr8-124255729-8
NR7457--MA0591.1.Bach1::Mafk	chr2	180070690	180070704	+	0.000	0.000	Merged-chr2-180070748-65
NR2225--MA0591.1.Bach1::Mafk	chr11	95356972	95356986	-	0.000	0.000	Merged-chr11-95356897-59
NR6222--MA0591.1.Bach1::Mafk	chr19	56320284	56320298	-	0.000	0.000	Merged-chr19-56320419-43
NR5266--MA0089.1.MAFG::NFE2L1	chr17	43017558	43017563	-	0.000	0.000	Merged-chr17-43017530-9
NR11896--MA0089.1.MAFG::NFE2L1	chr9	45955289	45955294	-	0.000	0.000	Merged-chr9-45955056-98
NR12131--MA0089.1.MAFG::NFE2L1	chr9	85672289	85672294	-	0.000	0.000	Merged-chr9-85672342-1
NR4928--MA0089.1.MAFG::NFE2L1	chr16	87405293	87405298	-	0.000	0.000	Merged-chr16-87405198-12
NR8694--MA0591.1.Bach1::Mafk	chr4	141861997	141862011	+	0.000	0.000	Merged-chr4-141862091-43
NR6218--MA0659.1.MAFG	chr19	55866019	55866039	-	0.000	0.000	Merged-chr19-55866165-31
NR6538--MA0501.1.MAF::NFE2	chr2	52938453	52938467	-	0.000	0.000	Merged-chr2-52938398-15
NR10187--MA0089.1.MAFG::NFE2L1	chr6	129587022	129587027	-	0.000	0.000	Merged-chr6-129586992-7
NR2738--MA0496.2.MAFK	chr12	87411187	87411205	-	0.000	0.000	Merged-chr12-87411276-22
NR2654--MA0089.1.MAFG::NFE2L1	chr12	55467051	55467056	-	0.000	0.000	Merged-chr12-55467058-2
NR11484--MA0591.1.Bach1::Mafk	chr8	94812837	94812851	-	0.000	0.000	Merged-chr8-94812976-23
NR6158--MA0591.1.Bach1::Mafk	chr19	44267095	44267109	+	0.000	0.000	Merged-chr19-44267087-85
NR2306--MA0117.2.Mafb	chr11	106742862	106742873	-	0.000	0.000	Merged-chr11-106742740-23
NR1610--MA0089.1.MAFG::NFE2L1	chr10	117918729	117918734	+	0.000	0.000	Merged-chr10-117918701-83
NR1451--MA0496.2.MAFK	chr10	91141580	91141598	-	0.000	0.000	Merged-chr10-91141704-33
NR5567--MA0591.1.Bach1::Mafk	chr18	10609985	10609999	+	0.000	0.000	Merged-chr18-10609969-69
NR1398--MA0501.1.MAF::NFE2	chr10	84701522	84701536	-	0.000	0.000	Merged-chr10-84701408-35
NR5153--MA0495.2.MAFF	chr17	24344784	24344804	+	0.000	0.000	Merged-chr17-24344874-27
NR1901--MA0117.2.Mafb	chr11	49100553	49100564	+	0.000	0.000	Merged-chr11-49100506-9
NR12305--MA0659.1.MAFG	chr9	114787911	114787931	+	0.000	0.000	Merged-chr9-114787935-34
NR5271--MA0117.2.Mafb	chr17	44188756	44188767	+	0.000	0.000	Merged-chr17-44188735-54
NR7929--MA0089.1.MAFG::NFE2L1	chr3	135212533	135212538	-	0.000	0.000	Merged-chr3-135212470-74
NR445--MA0117.2.Mafb	chr1	120073870	120073881	+	0.000	0.000	Merged-chr1-120073802-51
NR11253--MA0501.1.MAF::NFE2	chr8	25256137	25256151	-	0.000	0.000	Merged-chr8-25256219-29
NR4235--MA0089.1.MAFG::NFE2L1	chr15	50674472	50674477	+	0.000	0.000	Merged-chr15-50674419-23
NR10865--MA0089.1.MAFG::NFE2L1	chr7	108944132	108944137	+	0.000	0.000	Merged-chr7-108944158-41
NR2682--MA0117.2.Mafb	chr12	72520818	72520829	+	0.000	0.000	Merged-chr12-72520771-29
NR5392--MA0117.2.Mafb	chr17	73822331	73822342	+	0.000	0.000	Merged-chr17-73822361-73
NR3199--MA0117.2.Mafb	chr13	45455795	45455806	+	0.000	0.000	Merged-chr13-45455779-40
NR11315--MA0089.1.MAFG::NFE2L1	chr8	57638043	57638048	-	0.000	0.000	Merged-chr8-57637972-56
NR2667--MA0089.1.MAFG::NFE2L1	chr12	69501882	69501887	+	0.000	0.000	Merged-chr12-69501974-43
NR6220--MA0496.2.MAFK	chr19	55866020	55866038	+	0.000	0.000	Merged-chr19-55866165-31
NR9874--MA0089.1.MAFG::NFE2L1	chr6	87542134	87542139	-	0.000	0.000	Merged-chr6-87542145-24
NR9812--MA0496.2.MAFK	chr6	70714456	70714474	-	0.000	0.000	Merged-chr6-70714490-34
NR3654--MA0495.2.MAFF	chr13	119602005	119602025	+	0.000	0.000	Merged-chr13-119602220-57
NR5940--MA0501.1.MAF::NFE2	chr19	4037979	4037993	+	0.000	0.000	Merged-chr19-4037964-42
NR10670--MA0501.1.MAF::NFE2	chr7	75796653	75796667	-	0.000	0.000	Merged-chr7-75796614-49
NR10676--MA0089.1.MAFG::NFE2L1	chr7	75863671	75863676	-	0.000	0.000	Merged-chr7-75863636-9
NR9470--MA0089.1.MAFG::NFE2L1	chr5	142464026	142464031	-	0.000	0.000	Merged-chr5-142463900-60
NR3192--MA0089.1.MAFG::NFE2L1	chr13	43444398	43444403	+	0.000	0.000	Merged-chr13-43444281-15
NR5601--MA0495.2.MAFF	chr18	23754629	23754649	+	0.000	0.000	Merged-chr18-23754514-42
NR9631--MA0659.1.MAFG	chr6	29735986	29736006	+	0.000	0.000	Merged-chr6-29735888-24
NR288--MA0089.1.MAFG::NFE2L1	chr1	82724875	82724880	+	0.000	0.000	Merged-chr1-82725083-56
NR1979--MA0591.1.Bach1::Mafk	chr11	61660919	61660933	-	0.000	0.000	Merged-chr11-61660971-31
NR1964--MA0501.1.MAF::NFE2	chr11	60353048	60353062	-	0.000	0.000	Merged-chr11-60353018-61
NR6995--MA0501.1.MAF::NFE2	chr2	132874106	132874120	+	0.000	0.000	Merged-chr2-132874056-29
NR1810--MA0089.1.MAFG::NFE2L1	chr11	21549876	21549881	+	0.000	0.000	Merged-chr11-21549629-38
NR4186--MA0117.2.Mafb	chr15	34389262	34389273	+	0.000	0.000	Merged-chr15-34389092-27
NR12257--MA0089.1.MAFG::NFE2L1	chr9	107771162	107771167	+	0.000	0.000	Merged-chr9-107771032-67
NR7910--MA0591.1.Bach1::Mafk	chr3	132871460	132871474	+	0.000	0.000	Merged-chr3-132871536-48
NR2708--MA0501.1.MAF::NFE2	chr12	82284810	82284824	-	0.000	0.000	Merged-chr12-82284829-46
NR2894--MA0591.1.Bach1::Mafk	chr12	108764924	108764938	-	0.000	0.000	Merged-chr12-108765103-15
NR3870--MA0089.1.MAFG::NFE2L1	chr14	64628233	64628238	+	0.000	0.000	Merged-chr14-64628307-21
NR1030--MA0089.1.MAFG::NFE2L1	chr10	10224829	10224834	+	0.000	0.000	Merged-chr10-10224805-34
NR4833--MA0496.2.MAFK	chr16	52879650	52879668	+	0.000	0.000	Merged-chr16-52879758-28
