#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Bcl6/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1.dn.bed
NR969--MA0731.1.BCL6B	chr17	86506945	86506961	-	0.000	0.000	Merged-chr17-86506766-3,Merged-chr17-86507070-1
NR1588--MA0731.1.BCL6B	chr4	138319745	138319761	+	0.000	0.000	Merged-chr4-138319664-19
NR805--MA0463.1.Bcl6	chr15	96285881	96285894	+	0.000	0.000	Merged-chr15-96285638-75
NR521--MA0731.1.BCL6B	chr12	116200612	116200628	+	0.000	0.000	Merged-chr12-116200493-21
NR393--MA0463.1.Bcl6	chr11	97127124	97127137	+	0.000	0.000	Merged-chr11-97127179-61
NR2156--MA0463.1.Bcl6	chr8	85060065	85060078	-	0.000	0.000	Merged-chr8-85060180-46
NR183--MA0463.1.Bcl6	chr1	177457120	177457133	+	0.000	0.000	Merged-chr1-177456987-38
NR707--MA0463.1.Bcl6	chr14	74835050	74835063	-	0.000	0.000	Merged-chr14-74835162-39
NR1966--MA0463.1.Bcl6	chr7	30194056	30194069	-	0.000	0.000	Merged-chr7-30194047-25
NR1608--MA0463.1.Bcl6	chr4	149889170	149889183	-	0.000	0.000	Merged-chr4-149889246-22
NR971--MA0463.1.Bcl6	chr17	86904207	86904220	+	0.000	0.000	Merged-chr17-86904097-54
NR385--MA0731.1.BCL6B	chr11	80142247	80142263	-	0.000	0.000	Merged-chr11-80142193-43
NR510--MA0463.1.Bcl6	chr12	108894189	108894202	-	0.000	0.000	Merged-chr12-108894024-86
NR242--MA0731.1.BCL6B	chr10	57753263	57753279	+	0.000	0.000	Merged-chr10-57753371-62
NR837--MA0463.1.Bcl6	chr16	23300303	23300316	+	0.000	0.000	Merged-chr16-23300229-19
NR765--MA0731.1.BCL6B	chr15	38122933	38122949	+	0.000	0.000	Merged-chr15-38122880-9
NR640--MA0463.1.Bcl6	chr14	20766197	20766210	-	0.000	0.000	Merged-chr14-20766175-32
NR1756--MA0463.1.Bcl6	chr5	138155798	138155811	-	0.000	0.000	Merged-chr5-138155756-50
NR985--MA0463.1.Bcl6	chr18	32880671	32880684	-	0.000	0.000	Merged-chr18-32880667-46
NR2332--MA0731.1.BCL6B	chrX	60000259	60000275	-	0.000	0.000	Merged-chrX-60000246-8
NR1015--MA0731.1.BCL6B	chr18	67290579	67290595	-	0.000	0.000	Merged-chr18-67290612-3
NR1331--MA0463.1.Bcl6	chr3	75517780	75517793	-	0.000	0.000	Merged-chr3-75517936-30
NR1028--MA0731.1.BCL6B	chr18	73751951	73751967	+	0.000	0.000	Merged-chr18-73752198-43
NR220--MA0463.1.Bcl6	chr10	18197438	18197451	-	0.000	0.000	Merged-chr10-18197362-51
NR453--MA0463.1.Bcl6	chr12	65172677	65172690	-	0.000	0.000	Merged-chr12-65172767-62
NR845--MA0731.1.BCL6B	chr16	33056616	33056632	+	0.000	0.000	Merged-chr16-33056487-79
NR677--MA0463.1.Bcl6	chr14	59558951	59558964	-	0.000	0.000	Merged-chr14-59558966-13
NR1578--MA0463.1.Bcl6	chr4	132843297	132843310	+	0.000	0.000	Merged-chr4-132843203-52
NR301--MA0731.1.BCL6B	chr10	98785560	98785576	+	0.000	0.000	Merged-chr10-98785565-23
NR1807--MA0463.1.Bcl6	chr6	48086588	48086601	+	0.000	0.000	Merged-chr6-48086485-91
NR2276--MA0731.1.BCL6B	chr9	95858479	95858495	+	0.000	0.000	Merged-chr9-95858420-14
NR1825--MA0463.1.Bcl6	chr6	65573452	65573465	+	0.000	0.000	Merged-chr6-65573561-44
NR959--MA0731.1.BCL6B	chr17	78245441	78245457	+	0.000	0.000	Merged-chr17-78245592-60
NR2248--MA0463.1.Bcl6	chr9	62344858	62344871	-	0.000	0.000	Merged-chr9-62344675-54
NR797--MA0731.1.BCL6B	chr15	78903365	78903381	-	0.000	0.000	Merged-chr15-78903471-19
NR929--MA0463.1.Bcl6	chr17	29500923	29500936	+	0.000	0.000	Merged-chr17-29500871-30
NR177--MA0463.1.Bcl6	chr1	171939422	171939435	-	0.000	0.000	Merged-chr1-171939454-57
NR2234--MA0731.1.BCL6B	chr9	46067768	46067784	+	0.000	0.000	Merged-chr9-46067902-17
NR388--MA0731.1.BCL6B	chr11	87967898	87967914	+	0.000	0.000	Merged-chr11-87968039-56
NR746--MA0463.1.Bcl6	chr14	121478475	121478488	-	0.000	0.000	Merged-chr14-121478313-77
NR406--MA0463.1.Bcl6	chr11	109671896	109671909	+	0.000	0.000	Merged-chr11-109672054-52
NR1307--MA0463.1.Bcl6	chr3	37605793	37605806	-	0.000	0.000	Merged-chr3-37605967-27
NR782--MA0463.1.Bcl6	chr15	58655187	58655200	+	0.000	0.000	Merged-chr15-58655104-54
NR1231--MA0463.1.Bcl6	chr2	131423734	131423747	+	0.000	0.000	Merged-chr2-131423775-8
NR2312--MA0463.1.Bcl6	chr9	121317241	121317254	+	0.000	0.000	Merged-chr9-121317284-25
NR2348--MA0731.1.BCL6B	chrX	167108519	167108535	-	0.000	0.000	Merged-chrX-167108657-26
NR899--MA0463.1.Bcl6	chr16	92767833	92767846	+	0.000	0.000	Merged-chr16-92767826-70
NR1585--MA0463.1.Bcl6	chr4	135963678	135963691	+	0.000	0.000	Merged-chr4-135963723-59
NR2317--MA0463.1.Bcl6	chr9	123936671	123936684	-	0.000	0.000	Merged-chr9-123936830-62
NR1693--MA0731.1.BCL6B	chr5	92624739	92624755	-	0.000	0.000	Merged-chr5-92624653-16
NR197--MA0731.1.BCL6B	chr1	184441418	184441434	+	0.000	0.000	Merged-chr1-184441398-48
NR2232--MA0463.1.Bcl6	chr9	43784807	43784820	+	0.000	0.000	Merged-chr9-43784994-20
NR116--MA0463.1.Bcl6	chr1	131867396	131867409	+	0.000	0.000	Merged-chr1-131867489-64
NR380--MA0463.1.Bcl6	chr11	77606955	77606968	+	0.000	0.000	Merged-chr11-77606995-6
NR2250--MA0463.1.Bcl6	chr9	63738565	63738578	+	0.000	0.000	Merged-chr9-63738316-120
NR246--MA0463.1.Bcl6	chr10	60351997	60352010	-	0.000	0.000	Merged-chr10-60352057-41
