#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.up.bed
NR14149--MA0496.2.MAFK	chr9	21609995	21610013	+	0.000	0.000	Merged-chr9-21610100-42
NR13620--MA0089.1.MAFG::NFE2L1	chr8	72343868	72343873	+	0.000	0.000	Merged-chr8-72343901-44
NR9669--MA0089.1.MAFG::NFE2L1	chr3	152209744	152209749	+	0.000	0.000	Merged-chr3-152209810-2
NR4560--MA0659.1.MAFG	chr14	47367040	47367060	+	0.000	0.000	Merged-chr14-47367011-11
NR5046--MA0089.1.MAFG::NFE2L1	chr15	10723496	10723501	+	0.000	0.000	Merged-chr15-10723648-41
NR14751--MA0089.1.MAFG::NFE2L1	chr9	118518967	118518972	-	0.000	0.000	Merged-chr9-118519152-31
NR13527--MA0117.2.Mafb	chr8	46782517	46782528	-	0.000	0.000	Merged-chr8-46782438-21
NR2723--MA0089.1.MAFG::NFE2L1	chr11	105126494	105126499	-	0.000	0.000	Merged-chr11-105126391-86
NR11258--MA0659.1.MAFG	chr5	115085170	115085190	-	0.000	0.000	Merged-chr5-115085067-14
NR3345--MA0659.1.MAFG	chr12	105684031	105684051	+	0.000	0.000	Merged-chr12-105684124-9
NR14812--MA0501.1.MAF::NFE2	chrX	9139672	9139686	-	0.000	0.000	Merged-chrX-9139636-53
NR4708--MA0089.1.MAFG::NFE2L1	chr14	70963725	70963730	-	0.000	0.000	Merged-chr14-70963640-56
NR2840--MA0591.1.Bach1::Mafk	chr12	3283076	3283090	+	0.000	0.000	Merged-chr12-3283135-27
NR2058--MA0089.1.MAFG::NFE2L1	chr10	122800518	122800523	+	0.000	0.000	Merged-chr10-122800507-74
NR12502--MA0089.1.MAFG::NFE2L1	chr6	146271409	146271414	-	0.000	0.000	Merged-chr6-146271470-40
NR14622--MA0591.1.Bach1::Mafk	chr9	106203250	106203264	-	0.000	0.000	Merged-chr9-106203255-66
NR11272--MA0089.1.MAFG::NFE2L1	chr5	118082386	118082391	+	0.000	0.000	Merged-chr5-118082270-75
NR3363--MA0089.1.MAFG::NFE2L1	chr12	107051454	107051459	+	0.000	0.000	Merged-chr12-107051429-24
NR8599--MA0591.1.Bach1::Mafk	chr2	164938922	164938936	+	0.000	0.000	Merged-chr2-164938958-38
NR1484--MA0501.1.MAF::NFE2	chr10	40688550	40688564	+	0.000	0.000	Merged-chr10-40688620-20
NR1803--MA0496.2.MAFK	chr10	86727748	86727766	-	0.000	0.000	Merged-chr10-86727830-49
NR1510--MA0659.1.MAFG	chr10	44434865	44434885	+	0.000	0.000	Merged-chr10-44434814-22
NR3450--MA0089.1.MAFG::NFE2L1	chr12	114469074	114469079	-	0.000	0.000	Merged-chr12-114469182-47
NR2030--MA0089.1.MAFG::NFE2L1	chr10	121334836	121334841	-	0.000	0.000	Merged-chr10-121334819-22
NR14605--MA0501.1.MAF::NFE2	chr9	102860135	102860149	-	0.000	0.000	Merged-chr9-102860175-15
NR6513--MA0501.1.MAF::NFE2	chr17	72822139	72822153	+	0.000	0.000	Merged-chr17-72822157-16
NR15012--MA0089.1.MAFG::NFE2L1	chrX	135652326	135652331	+	0.000	0.000	Merged-chrX-135652437-22
NR2068--MA0591.1.Bach1::Mafk	chr10	124138701	124138715	-	0.000	0.000	Merged-chr10-124138683-21
NR7406--MA0591.1.Bach1::Mafk	chr19	56647501	56647515	+	0.000	0.000	Merged-chr19-56647541-17
NR14185--MA0496.2.MAFK	chr9	33080492	33080510	+	0.000	0.000	Merged-chr9-33080507-34
NR14979--MA0089.1.MAFG::NFE2L1	chrX	109120080	109120085	+	0.000	0.000	Merged-chrX-109119988-23
NR8725--MA0089.1.MAFG::NFE2L1	chr2	177498231	177498236	-	0.000	0.000	Merged-chr2-177498086-85
NR7305--MA0089.1.MAFG::NFE2L1	chr19	33053369	33053374	+	0.000	0.000	Merged-chr19-33053321-32
NR9278--MA0089.1.MAFG::NFE2L1	chr3	104856376	104856381	+	0.000	0.000	Merged-chr3-104856352-37
NR13493--MA0501.1.MAF::NFE2	chr8	36184258	36184272	+	0.000	0.000	Merged-chr8-36184209-47
NR1820--MA0591.1.Bach1::Mafk	chr10	88783295	88783309	+	0.000	0.000	Merged-chr10-88783253-12
NR3697--MA0495.2.MAFF	chr13	37783912	37783932	-	0.000	0.000	Merged-chr13-37783892-22
NR7241--MA0496.2.MAFK	chr19	20424389	20424407	-	0.000	0.000	Merged-chr19-20424322-22
NR7568--MA0501.1.MAF::NFE2	chr2	26753712	26753726	-	0.000	0.000	Merged-chr2-26753671-30
NR7380--MA0089.1.MAFG::NFE2L1	chr19	53800694	53800699	-	0.000	0.000	Merged-chr19-53800770-48
NR13602--MA0591.1.Bach1::Mafk	chr8	71587146	71587160	+	0.000	0.000	Merged-chr8-71587200-14
NR8643--MA0591.1.Bach1::Mafk	chr2	170126439	170126453	+	0.000	0.000	Merged-chr2-170126544-26
NR848--MA0089.1.MAFG::NFE2L1	chr1	153304318	153304323	-	0.000	0.000	Merged-chr1-153304263-23
NR10947--MA0089.1.MAFG::NFE2L1	chr5	66200069	66200074	+	0.000	0.000	Merged-chr5-66200219-43
NR148--MA0117.2.Mafb	chr1	38665547	38665558	+	0.000	0.000	Merged-chr1-38665313-102
NR3925--MA0591.1.Bach1::Mafk	chr13	73331172	73331186	+	0.000	0.000	Merged-chr13-73331232-64
NR9211--MA0495.2.MAFF	chr3	95664227	95664247	+	0.000	0.000	Merged-chr3-95664146-32
NR8491--MA0501.1.MAF::NFE2	chr2	153215092	153215106	+	0.000	0.000	Merged-chr2-153215232-79
NR8321--MA0089.1.MAFG::NFE2L1	chr2	131820290	131820295	-	0.000	0.000	Merged-chr2-131820410-33
NR4392--MA0089.1.MAFG::NFE2L1	chr14	20938759	20938764	-	0.000	0.000	Merged-chr14-20938813-17
NR10974--MA0117.2.Mafb	chr5	72636326	72636337	-	0.000	0.000	Merged-chr5-72636293-57
NR795--MA0591.1.Bach1::Mafk	chr1	144086348	144086362	-	0.000	0.000	Merged-chr1-144086303-34
NR12817--MA0089.1.MAFG::NFE2L1	chr7	74698146	74698151	+	0.000	0.000	Merged-chr7-74698017-54
NR8472--MA0117.2.Mafb	chr2	150135380	150135391	-	0.000	0.000	Merged-chr2-150135491-7
NR6293--MA0501.1.MAF::NFE2	chr17	32944790	32944804	+	0.000	0.000	Merged-chr17-32944718-11
NR119--MA0496.2.MAFK	chr1	33757037	33757055	+	0.000	0.000	Merged-chr1-33757115-3
NR3493--MA0659.1.MAFG	chr12	116620072	116620092	+	0.000	0.000	Merged-chr12-116620074-47
NR3699--MA0659.1.MAFG	chr13	37783912	37783932	+	0.000	0.000	Merged-chr13-37783892-22
NR7474--MA0496.2.MAFK	chr2	9536068	9536086	-	0.000	0.000	Merged-chr2-9536121-12
NR7191--MA0089.1.MAFG::NFE2L1	chr19	10839216	10839221	+	0.000	0.000	Merged-chr19-10839389-65
NR2282--MA0117.2.Mafb	chr11	32561585	32561596	+	0.000	0.000	Merged-chr11-32561785-56
NR5367--MA0591.1.Bach1::Mafk	chr15	84702171	84702185	-	0.000	0.000	Merged-chr15-84702122-13
NR3692--MA0496.2.MAFK	chr13	36534313	36534331	+	0.000	0.000	Merged-chr13-36534554-32
NR6058--MA0495.2.MAFF	chr16	94660247	94660267	+	0.000	0.000	Merged-chr16-94660460-20
NR9383--MA0501.1.MAF::NFE2	chr3	117438962	117438976	-	0.000	0.000	Merged-chr3-117438908-21
NR4899--MA0495.2.MAFF	chr14	105177467	105177487	+	0.000	0.000	Merged-chr14-105177397-2
NR2721--MA0089.1.MAFG::NFE2L1	chr11	104664068	104664073	+	0.000	0.000	Merged-chr11-104664090-22
NR12798--MA0591.1.Bach1::Mafk	chr7	68350178	68350192	+	0.000	0.000	Merged-chr7-68350249-38
NR9965--MA0591.1.Bach1::Mafk	chr4	59254654	59254668	+	0.000	0.000	Merged-chr4-59254568-45
NR2374--MA0496.2.MAFK	chr11	51264659	51264677	-	0.000	0.000	Merged-chr11-51264498-29
NR14688--MA0089.1.MAFG::NFE2L1	chr9	114743033	114743038	+	0.000	0.000	Merged-chr9-114742915-20
NR8434--MA0089.1.MAFG::NFE2L1	chr2	147030826	147030831	-	0.000	0.000	Merged-chr2-147030791-19
NR3558--MA0496.2.MAFK	chr13	8995334	8995352	+	0.000	0.000	Merged-chr13-8995380-1
NR8961--MA0501.1.MAF::NFE2	chr3	58470213	58470227	-	0.000	0.000	Merged-chr3-58470222-35
NR7936--MA0495.2.MAFF	chr2	84059439	84059459	-	0.000	0.000	Merged-chr2-84059493-47
NR11926--MA0501.1.MAF::NFE2	chr6	84559680	84559694	-	0.000	0.000	Merged-chr6-84559723-19
NR845--MA0495.2.MAFF	chr1	153288164	153288184	-	0.000	0.000	Merged-chr1-153288080-22
NR11171--MA0496.2.MAFK	chr5	105306181	105306199	+	0.000	0.000	Merged-chr5-105306151-101
NR13353--MA0117.2.Mafb	chr7	143628821	143628832	+	0.000	0.000	Merged-chr7-143628758-62
NR8429--MA0591.1.Bach1::Mafk	chr2	146497724	146497738	-	0.000	0.000	Merged-chr2-146497617-49
NR14763--MA0496.2.MAFK	chr9	119334540	119334558	-	0.000	0.000	Merged-chr9-119334532-37
NR10221--MA0591.1.Bach1::Mafk	chr4	106935344	106935358	+	0.000	0.000	Merged-chr4-106935357-64
NR13141--MA0495.2.MAFF	chr7	119861788	119861808	-	0.000	0.000	Merged-chr7-119861539-102
NR2392--MA0496.2.MAFK	chr11	52261028	52261046	+	0.000	0.000	Merged-chr11-52261104-14
NR7282--MA0591.1.Bach1::Mafk	chr19	26414885	26414899	-	0.000	0.000	Merged-chr19-26414799-20
NR8262--MA0117.2.Mafb	chr2	125667316	125667327	-	0.000	0.000	Merged-chr2-125667396-37
NR8850--MA0501.1.MAF::NFE2	chr3	28236949	28236963	-	0.000	0.000	Merged-chr3-28236857-20
NR11413--MA0591.1.Bach1::Mafk	chr5	143287899	143287913	+	0.000	0.000	Merged-chr5-143287992-36
NR9376--MA0089.1.MAFG::NFE2L1	chr3	116630321	116630326	+	0.000	0.000	Merged-chr3-116630474-26
NR1757--MA0659.1.MAFG	chr10	82778148	82778168	+	0.000	0.000	Merged-chr10-82778212-17
NR7396--MA0117.2.Mafb	chr19	55383407	55383418	-	0.000	0.000	Merged-chr19-55383240-23
NR12481--MA0501.1.MAF::NFE2	chr6	144909752	144909766	-	0.000	0.000	Merged-chr6-144909826-5
NR8591--MA0496.2.MAFK	chr2	163401424	163401442	-	0.000	0.000	Merged-chr2-163401452-24
NR2430--MA0089.1.MAFG::NFE2L1	chr11	58189906	58189911	+	0.000	0.000	Merged-chr11-58189839-18
NR3138--MA0495.2.MAFF	chr12	79488966	79488986	-	0.000	0.000	Merged-chr12-79488992-20
NR1073--MA0591.1.Bach1::Mafk	chr1	180313064	180313078	-	0.000	0.000	Merged-chr1-180313022-2
NR10988--MA0117.2.Mafb	chr5	74404336	74404347	-	0.000	0.000	Merged-chr5-74404312-40
NR4234--MA0117.2.Mafb	chr13	113322300	113322311	+	0.000	0.000	Merged-chr13-113322180-25
NR14111--MA0591.1.Bach1::Mafk	chr9	14171981	14171995	+	0.000	0.000	Merged-chr9-14171965-37
NR7329--MA0089.1.MAFG::NFE2L1	chr19	40762495	40762500	+	0.000	0.000	Merged-chr19-40762334-20
NR5776--MA0117.2.Mafb	chr16	51691084	51691095	+	0.000	0.000	Merged-chr16-51690993-50
NR2352--MA0501.1.MAF::NFE2	chr11	46474438	46474452	-	0.000	0.000	Merged-chr11-46474391-31
NR13468--MA0089.1.MAFG::NFE2L1	chr8	25654068	25654073	-	0.000	0.000	Merged-chr8-25654088-45
NR2356--MA0089.1.MAFG::NFE2L1	chr11	48788041	48788046	+	0.000	0.000	Merged-chr11-48788226-76
NR12192--MA0659.1.MAFG	chr6	120294491	120294511	-	0.000	0.000	Merged-chr6-120294540-46
NR8274--MA0495.2.MAFF	chr2	128365990	128366010	-	0.000	0.000	Merged-chr2-128365920-27
NR11055--MA0496.2.MAFK	chr5	92348939	92348957	-	0.000	0.000	Merged-chr5-92348973-52
NR2930--MA0591.1.Bach1::Mafk	chr12	31950445	31950459	-	0.000	0.000	Merged-chr12-31950155-135
NR715--MA0496.2.MAFK	chr1	132264731	132264749	+	0.000	0.000	Merged-chr1-132264829-22
NR6199--MA0117.2.Mafb	chr17	21475056	21475067	+	0.000	0.000	Merged-chr17-21475108-14
NR12435--MA0501.1.MAF::NFE2	chr6	142867551	142867565	+	0.000	0.000	Merged-chr6-142867733-58
NR10076--MA0501.1.MAF::NFE2	chr4	88110184	88110198	+	0.000	0.000	Merged-chr4-88110065-14
NR4458--MA0117.2.Mafb	chr14	30825874	30825885	-	0.000	0.000	Merged-chr14-30825884-66
NR12221--MA0591.1.Bach1::Mafk	chr6	122758925	122758939	-	0.000	0.000	Merged-chr6-122758915-39
NR5653--MA0496.2.MAFK	chr16	33769915	33769933	+	0.000	0.000	Merged-chr16-33769896-51
NR10567--MA0089.1.MAFG::NFE2L1	chr4	151996271	151996276	-	0.000	0.000	Merged-chr4-151996356-68
NR5733--MA0089.1.MAFG::NFE2L1	chr16	44778878	44778883	-	0.000	0.000	Merged-chr16-44778885-37
NR2726--MA0117.2.Mafb	chr11	106688382	106688393	-	0.000	0.000	Merged-chr11-106688521-67
NR7539--MA0591.1.Bach1::Mafk	chr2	18519345	18519359	+	0.000	0.000	Merged-chr2-18519177-24
NR11630--MA0591.1.Bach1::Mafk	chr6	30205806	30205820	+	0.000	0.000	Merged-chr6-30205764-30
NR2167--MA0089.1.MAFG::NFE2L1	chr11	5762422	5762427	-	0.000	0.000	Merged-chr11-5762236-58
NR8276--MA0659.1.MAFG	chr2	128365990	128366010	+	0.000	0.000	Merged-chr2-128365920-27
NR13151--MA0089.1.MAFG::NFE2L1	chr7	120754786	120754791	+	0.000	0.000	Merged-chr7-120754842-25
NR11096--MA0495.2.MAFF	chr5	98016905	98016925	-	0.000	0.000	Merged-chr5-98016849-63
NR3309--MA0501.1.MAF::NFE2	chr12	102725897	102725911	+	0.000	0.000	Merged-chr12-102725794-51
NR12812--MA0496.2.MAFK	chr7	73517588	73517606	+	0.000	0.000	Merged-chr7-73517689-25
NR1513--MA0496.2.MAFK	chr10	44434866	44434884	+	0.000	0.000	Merged-chr10-44434814-22
NR179--MA0089.1.MAFG::NFE2L1	chr1	43403597	43403602	+	0.000	0.000	Merged-chr1-43403565-20
NR7603--MA0089.1.MAFG::NFE2L1	chr2	32166623	32166628	-	0.000	0.000	Merged-chr2-32166737-9
NR2745--MA0089.1.MAFG::NFE2L1	chr11	109011782	109011787	+	0.000	0.000	Merged-chr11-109011875-52
NR1325--MA0089.1.MAFG::NFE2L1	chr10	12842793	12842798	+	0.000	0.000	Merged-chr10-12842715-46
NR931--MA0089.1.MAFG::NFE2L1	chr1	161734765	161734770	+	0.000	0.000	Merged-chr1-161734917-117
NR7793--MA0089.1.MAFG::NFE2L1	chr2	61712733	61712738	-	0.000	0.000	Merged-chr2-61712803-19
NR1701--MA0089.1.MAFG::NFE2L1	chr10	77630169	77630174	-	0.000	0.000	Merged-chr10-77630089-17
NR11583--MA0089.1.MAFG::NFE2L1	chr6	22424194	22424199	-	0.000	0.000	Merged-chr6-22424289-78
NR12947--MA0495.2.MAFF	chr7	97041452	97041472	+	0.000	0.000	Merged-chr7-97041400-3
NR11244--MA0591.1.Bach1::Mafk	chr5	112343076	112343090	-	0.000	0.000	Merged-chr5-112343084-79
NR10222--MA0501.1.MAF::NFE2	chr4	106935347	106935361	+	0.000	0.000	Merged-chr4-106935357-64
NR14154--MA0501.1.MAF::NFE2	chr9	22117291	22117305	-	0.000	0.000	Merged-chr9-22117236-62
NR13586--MA0591.1.Bach1::Mafk	chr8	69329095	69329109	+	0.000	0.000	Merged-chr8-69328899-30
NR1554--MA0495.2.MAFF	chr10	53346649	53346669	-	0.000	0.000	Merged-chr10-53346835-25
NR11098--MA0659.1.MAFG	chr5	98016905	98016925	-	0.000	0.000	Merged-chr5-98016849-63
NR14117--MA0659.1.MAFG	chr9	14248437	14248457	+	0.000	0.000	Merged-chr9-14248366-20
NR2995--MA0659.1.MAFG	chr12	41044928	41044948	-	0.000	0.000	Merged-chr12-41044922-24
NR5425--MA0496.2.MAFK	chr15	97213230	97213248	-	0.000	0.000	Merged-chr15-97213099-28
NR9497--MA0591.1.Bach1::Mafk	chr3	132871460	132871474	+	0.000	0.000	Merged-chr3-132871536-48
NR12117--MA0501.1.MAF::NFE2	chr6	114657110	114657124	-	0.000	0.000	Merged-chr6-114657175-55
NR14799--MA0089.1.MAFG::NFE2L1	chr9	123923470	123923475	+	0.000	0.000	Merged-chr9-123923476-12
NR8584--MA0591.1.Bach1::Mafk	chr2	162931537	162931551	+	0.000	0.000	Merged-chr2-162931607-133
NR13991--MA0501.1.MAF::NFE2	chr8	123051729	123051743	+	0.000	0.000	Merged-chr8-123051694-23
NR11374--MA0591.1.Bach1::Mafk	chr5	137857144	137857158	+	0.000	0.000	Merged-chr5-137857044-20
NR1697--MA0591.1.Bach1::Mafk	chr10	77531231	77531245	+	0.000	0.000	Merged-chr10-77531233-16
NR4077--MA0501.1.MAF::NFE2	chr13	101632986	101633000	-	0.000	0.000	Merged-chr13-101632965-14
NR9290--MA0659.1.MAFG	chr3	105892539	105892559	+	0.000	0.000	Merged-chr3-105892493-111
NR6486--MA0089.1.MAFG::NFE2L1	chr17	70746941	70746946	+	0.000	0.000	Merged-chr17-70746811-20
NR8141--MA0089.1.MAFG::NFE2L1	chr2	117352953	117352958	-	0.000	0.000	Merged-chr2-117352784-31
NR13351--MA0089.1.MAFG::NFE2L1	chr7	143501993	143501998	+	0.000	0.000	Merged-chr7-143502068-57
NR8843--MA0495.2.MAFF	chr3	28236949	28236969	+	0.000	0.000	Merged-chr3-28236857-20
NR425--MA0495.2.MAFF	chr1	85250857	85250877	-	0.000	0.000	Merged-chr1-85250842-29
NR1899--MA0495.2.MAFF	chr10	98776481	98776501	-	0.000	0.000	Merged-chr10-98776574-38
NR6372--MA0591.1.Bach1::Mafk	chr17	47511267	47511281	+	0.000	0.000	Merged-chr17-47511428-58
NR2516--MA0117.2.Mafb	chr11	72961928	72961939	+	0.000	0.000	Merged-chr11-72961970-1
NR7081--MA0496.2.MAFK	chr18	81572106	81572124	-	0.000	0.000	Merged-chr18-81572136-24
NR10363--MA0089.1.MAFG::NFE2L1	chr4	127319880	127319885	+	0.000	0.000	Merged-chr4-127319840-19
NR2454--MA0089.1.MAFG::NFE2L1	chr11	61629876	61629881	+	0.000	0.000	Merged-chr11-61629890-18
NR5692--MA0501.1.MAF::NFE2	chr16	38396290	38396304	+	0.000	0.000	Merged-chr16-38396327-34
NR5859--MA0089.1.MAFG::NFE2L1	chr16	64757610	64757615	-	0.000	0.000	Merged-chr16-64757779-2
NR10032--MA0591.1.Bach1::Mafk	chr4	75278436	75278450	-	0.000	0.000	Merged-chr4-75278246-1
NR12855--MA0117.2.Mafb	chr7	80410467	80410478	+	0.000	0.000	Merged-chr7-80410451-25
NR3076--MA0495.2.MAFF	chr12	69458505	69458525	+	0.000	0.000	Merged-chr12-69458442-59
NR13201--MA0591.1.Bach1::Mafk	chr7	127573111	127573125	-	0.000	0.000	Merged-chr7-127573236-53
NR7643--MA0117.2.Mafb	chr2	38510262	38510273	+	0.000	0.000	Merged-chr2-38510276-11
NR14103--MA0089.1.MAFG::NFE2L1	chr9	11329085	11329090	+	0.000	0.000	Merged-chr9-11329095-28
NR1894--MA0496.2.MAFK	chr10	96588456	96588474	-	0.000	0.000	Merged-chr10-96588454-52
NR9138--MA0117.2.Mafb	chr3	88685775	88685786	-	0.000	0.000	Merged-chr3-88685832-60
NR6488--MA0501.1.MAF::NFE2	chr17	70746963	70746977	+	0.000	0.000	Merged-chr17-70746811-20
NR10311--MA0591.1.Bach1::Mafk	chr4	120062492	120062506	+	0.000	0.000	Merged-chr4-120062623-32
NR9298--MA0089.1.MAFG::NFE2L1	chr3	106485958	106485963	+	0.000	0.000	Merged-chr3-106485995-50
NR5996--MA0591.1.Bach1::Mafk	chr16	89974508	89974522	+	0.000	0.000	Merged-chr16-89974505-28
NR7572--MA0501.1.MAF::NFE2	chr2	28540201	28540215	+	0.000	0.000	Merged-chr2-28540150-39
NR11202--MA0089.1.MAFG::NFE2L1	chr5	107303737	107303742	-	0.000	0.000	Merged-chr5-107303598-32
NR135--MA0501.1.MAF::NFE2	chr1	36264360	36264374	-	0.000	0.000	Merged-chr1-36264360-59
NR1956--MA0591.1.Bach1::Mafk	chr10	111478830	111478844	+	0.000	0.000	Merged-chr10-111478939-8
NR14402--MA0501.1.MAF::NFE2	chr9	75541743	75541757	+	0.000	0.000	Merged-chr9-75541698-38
NR11231--MA0495.2.MAFF	chr5	111330814	111330834	-	0.000	0.000	Merged-chr5-111330756-70
NR8800--MA0591.1.Bach1::Mafk	chr3	15228897	15228911	+	0.000	0.000	Merged-chr3-15228808-12
NR5353--MA0089.1.MAFG::NFE2L1	chr15	82112073	82112078	+	0.000	0.000	Merged-chr15-82112003-17
NR6501--MA0591.1.Bach1::Mafk	chr17	71214244	71214258	-	0.000	0.000	Merged-chr17-71214238-2
NR8610--MA0496.2.MAFK	chr2	166719467	166719485	-	0.000	0.000	Merged-chr2-166719426-29
NR4851--MA0495.2.MAFF	chr14	99266001	99266021	-	0.000	0.000	Merged-chr14-99266048-28
NR4639--MA0089.1.MAFG::NFE2L1	chr14	60129741	60129746	+	0.000	0.000	Merged-chr14-60129717-50
NR287--MA0591.1.Bach1::Mafk	chr1	69291466	69291480	-	0.000	0.000	Merged-chr1-69291557-40
NR6558--MA0117.2.Mafb	chr17	80392000	80392011	+	0.000	0.000	Merged-chr17-80391888-51
NR11233--MA0659.1.MAFG	chr5	111330814	111330834	-	0.000	0.000	Merged-chr5-111330756-70
NR2956--MA0089.1.MAFG::NFE2L1	chr12	36241354	36241359	+	0.000	0.000	Merged-chr12-36241330-19
NR5761--MA0591.1.Bach1::Mafk	chr16	49982464	49982478	-	0.000	0.000	Merged-chr16-49982447-38
NR8265--MA0591.1.Bach1::Mafk	chr2	125791846	125791860	+	0.000	0.000	Merged-chr2-125791694-59
NR2223--MA0501.1.MAF::NFE2	chr11	20107921	20107935	-	0.000	0.000	Merged-chr11-20107877-60
NR7254--MA0501.1.MAF::NFE2	chr19	21785904	21785918	-	0.000	0.000	Merged-chr19-21785964-7
NR768--MA0501.1.MAF::NFE2	chr1	138931158	138931172	+	0.000	0.000	Merged-chr1-138931080-29
NR895--MA0496.2.MAFK	chr1	156464433	156464451	-	0.000	0.000	Merged-chr1-156464548-8
NR13809--MA0496.2.MAFK	chr8	94186725	94186743	-	0.000	0.000	Merged-chr8-94186753-31
NR2436--MA0117.2.Mafb	chr11	58830091	58830102	+	0.000	0.000	Merged-chr11-58829916-12
NR13936--MA0501.1.MAF::NFE2	chr8	115771214	115771228	-	0.000	0.000	Merged-chr8-115771261-45
NR1913--MA0495.2.MAFF	chr10	99459977	99459997	+	0.000	0.000	Merged-chr10-99459996-60
NR9961--MA0089.1.MAFG::NFE2L1	chr4	59204839	59204844	-	0.000	0.000	Merged-chr4-59204829-36
NR5842--MA0089.1.MAFG::NFE2L1	chr16	59469922	59469927	-	0.000	0.000	Merged-chr16-59469978-46
NR8242--MA0501.1.MAF::NFE2	chr2	120599709	120599723	-	0.000	0.000	Merged-chr2-120599667-35
NR4600--MA0496.2.MAFK	chr14	54168971	54168989	+	0.000	0.000	Merged-chr14-54168999-35
NR288--MA0089.1.MAFG::NFE2L1	chr1	69545473	69545478	+	0.000	0.000	Merged-chr1-69544965-96
NR7567--MA0591.1.Bach1::Mafk	chr2	26753715	26753729	-	0.000	0.000	Merged-chr2-26753671-30
NR11213--MA0089.1.MAFG::NFE2L1	chr5	108629071	108629076	+	0.000	0.000	Merged-chr5-108629024-3
NR4856--MA0495.2.MAFF	chr14	99419087	99419107	-	0.000	0.000	Merged-chr14-99419131-33
NR9761--MA0501.1.MAF::NFE2	chr4	6925026	6925040	-	0.000	0.000	Merged-chr4-6924913-49
NR9989--MA0501.1.MAF::NFE2	chr4	62679271	62679285	-	0.000	0.000	Merged-chr4-62679364-27
NR2448--MA0495.2.MAFF	chr11	60935531	60935551	-	0.000	0.000	Merged-chr11-60935533-50
NR8986--MA0501.1.MAF::NFE2	chr3	60516468	60516482	+	0.000	0.000	Merged-chr3-60516379-60
NR7983--MA0501.1.MAF::NFE2	chr2	91187680	91187694	-	0.000	0.000	Merged-chr2-91187616-14
NR1369--MA0659.1.MAFG	chr10	19104809	19104829	-	0.000	0.000	Merged-chr10-19104955-55
NR2998--MA0496.2.MAFK	chr12	41044929	41044947	-	0.000	0.000	Merged-chr12-41044922-24
NR6494--MA0495.2.MAFF	chr17	71192185	71192205	+	0.000	0.000	Merged-chr17-71192022-46
NR117--MA0495.2.MAFF	chr1	33757036	33757056	+	0.000	0.000	Merged-chr1-33757115-3
NR7761--MA0591.1.Bach1::Mafk	chr2	59160501	59160515	-	0.000	0.000	Merged-chr2-59160665-10
NR11300--MA0089.1.MAFG::NFE2L1	chr5	122163508	122163513	-	0.000	0.000	Merged-chr5-122163401-39
NR11457--MA0117.2.Mafb	chr5	148325418	148325429	+	0.000	0.000	Merged-chr5-148325520-37
NR14091--MA0659.1.MAFG	chr9	7776014	7776034	+	0.000	0.000	Merged-chr9-7776145-26
NR3581--MA0089.1.MAFG::NFE2L1	chr13	13557113	13557118	-	0.000	0.000	Merged-chr13-13557258-36
NR2678--MA0117.2.Mafb	chr11	100692560	100692571	-	0.000	0.000	Merged-chr11-100692444-17
NR10388--MA0495.2.MAFF	chr4	130902719	130902739	-	0.000	0.000	Merged-chr4-130902724-33
NR9293--MA0496.2.MAFK	chr3	105892540	105892558	+	0.000	0.000	Merged-chr3-105892493-111
NR9219--MA0089.1.MAFG::NFE2L1	chr3	95909570	95909575	+	0.000	0.000	Merged-chr3-95909537-31
NR8856--MA0089.1.MAFG::NFE2L1	chr3	28709957	28709962	+	0.000	0.000	Merged-chr3-28710015-15
NR7409--MA0496.2.MAFK	chr19	56647499	56647517	+	0.000	0.000	Merged-chr19-56647541-17
NR12531--MA0089.1.MAFG::NFE2L1	chr6	148769437	148769442	+	0.000	0.000	Merged-chr6-148769548-3
NR4671--MA0501.1.MAF::NFE2	chr14	65106715	65106729	-	0.000	0.000	Merged-chr14-65106693-26
NR6131--MA0496.2.MAFK	chr17	5802393	5802411	-	0.000	0.000	Merged-chr17-5802429-65
NR979--MA0089.1.MAFG::NFE2L1	chr1	167212535	167212540	-	0.000	0.000	Merged-chr1-167212500-30
NR1371--MA0496.2.MAFK	chr10	19104810	19104828	-	0.000	0.000	Merged-chr10-19104955-55
NR14401--MA0089.1.MAFG::NFE2L1	chr9	75541761	75541766	-	0.000	0.000	Merged-chr9-75541698-38
NR7456--MA0117.2.Mafb	chr2	3764466	3764477	-	0.000	0.000	Merged-chr2-3764311-29
NR3556--MA0495.2.MAFF	chr13	8995333	8995353	-	0.000	0.000	Merged-chr13-8995380-1
NR13203--MA0659.1.MAFG	chr7	127573108	127573128	-	0.000	0.000	Merged-chr7-127573236-53
NR3674--MA0117.2.Mafb	chr13	33003865	33003876	-	0.000	0.000	Merged-chr13-33003757-27
NR13494--MA0501.1.MAF::NFE2	chr8	36194268	36194282	+	0.000	0.000	Merged-chr8-36194183-57
