#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Bcl6/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.up.bed
NR273--MA0463.1.Bcl6	chr10	118374299	118374312	-	0.000	0.000	Merged-chr10-118374391-6
NR385--MA0463.1.Bcl6	chr11	109591722	109591735	+	0.000	0.000	Merged-chr11-109591660-26
NR413--MA0731.1.BCL6B	chr12	30557461	30557477	-	0.000	0.000	Merged-chr12-30557589-12
NR909--MA0463.1.Bcl6	chr17	51762828	51762841	+	0.000	0.000	Merged-chr17-51762690-29
NR1962--MA0463.1.Bcl6	chr8	107505472	107505485	+	0.000	0.000	Merged-chr8-107505522-28
NR291--MA0463.1.Bcl6	chr11	3157550	3157563	+	0.000	0.000	Merged-chr11-3157744-93
NR5--MA0731.1.BCL6B	chr1	20740780	20740796	-	0.000	0.000	Merged-chr1-20740658-39
NR2091--MA0731.1.BCL6B	chr9	106070592	106070608	-	0.000	0.000	Merged-chr9-106070497-6
NR1613--MA0463.1.Bcl6	chr5	121796140	121796153	-	0.000	0.000	Merged-chr5-121796162-9
NR2014--MA0731.1.BCL6B	chr9	46067768	46067784	+	0.000	0.000	Merged-chr9-46067902-17
NR360--MA0731.1.BCL6B	chr11	87967898	87967914	+	0.000	0.000	Merged-chr11-87968039-56
NR175--MA0463.1.Bcl6	chr1	189795467	189795480	-	0.000	0.000	Merged-chr1-189795440-7
NR1076--MA0463.1.Bcl6	chr2	36009629	36009642	-	0.000	0.000	Merged-chr2-36009609-7
NR963--MA0463.1.Bcl6	chr18	39035478	39035491	+	0.000	0.000	Merged-chr18-39035384-28
NR15--MA0463.1.Bcl6	chr1	54924084	54924097	-	0.000	0.000	Merged-chr1-54924149-53
NR2070--MA0731.1.BCL6B	chr9	94668747	94668763	+	0.000	0.000	Merged-chr9-94668774-42
NR1094--MA0463.1.Bcl6	chr2	59440812	59440825	+	0.000	0.000	Merged-chr2-59440647-15
NR548--MA0731.1.BCL6B	chr13	51776548	51776564	-	0.000	0.000	Merged-chr13-51776600-43
NR495--MA0731.1.BCL6B	chr12	113485485	113485501	+	0.000	0.000	Merged-chr12-113485346-21
NR1533--MA0463.1.Bcl6	chr5	21786687	21786700	-	0.000	0.000	Merged-chr5-21786800-52
NR959--MA0463.1.Bcl6	chr18	36803026	36803039	+	0.000	0.000	Merged-chr18-36803077-8
NR1654--MA0463.1.Bcl6	chr6	37860996	37861009	-	0.000	0.000	Merged-chr6-37860992-1
NR875--MA0731.1.BCL6B	chr17	12880435	12880451	-	0.000	0.000	Merged-chr17-12880284-23
NR113--MA0731.1.BCL6B	chr1	155293642	155293658	+	0.000	0.000	Merged-chr1-155293636-24
NR883--MA0463.1.Bcl6	chr17	29304584	29304597	-	0.000	0.000	Merged-chr17-29304449-24
NR310--MA0463.1.Bcl6	chr11	22990643	22990656	+	0.000	0.000	Merged-chr11-22990714-63
NR1784--MA0463.1.Bcl6	chr7	45333426	45333439	+	0.000	0.000	Merged-chr7-45333550-67
NR2075--MA0731.1.BCL6B	chr9	95858479	95858495	+	0.000	0.000	Merged-chr9-95858420-14
NR758--MA0731.1.BCL6B	chr15	75862279	75862295	-	0.000	0.000	Merged-chr15-75862360-44
NR409--MA0463.1.Bcl6	chr12	25240252	25240265	-	0.000	0.000	Merged-chr12-25240283-42
NR1601--MA0731.1.BCL6B	chr5	107013610	107013626	+	0.000	0.000	Merged-chr5-107013528-15
NR785--MA0463.1.Bcl6	chr15	98677099	98677112	-	0.000	0.000	Merged-chr15-98677213-73
NR182--MA0731.1.BCL6B	chr1	191186760	191186776	+	0.000	0.000	Merged-chr1-191186681-9
NR1113--MA0463.1.Bcl6	chr2	72114344	72114357	-	0.000	0.000	Merged-chr2-72114293-55
NR2150--MA0731.1.BCL6B	chrX	113074894	113074910	-	0.000	0.000	Merged-chrX-113075086-29
NR1691--MA0731.1.BCL6B	chr6	94555092	94555108	+	0.000	0.000	Merged-chr6-94555106-40
NR230--MA0463.1.Bcl6	chr10	68147266	68147279	-	0.000	0.000	Merged-chr10-68147068-31
NR2054--MA0731.1.BCL6B	chr9	78553225	78553241	-	0.000	0.000	Merged-chr9-78553202-20
NR557--MA0463.1.Bcl6	chr13	63512765	63512778	-	0.000	0.000	Merged-chr13-63512619-6
NR466--MA0731.1.BCL6B	chr12	92647011	92647027	-	0.000	0.000	Merged-chr12-92646830-14
NR1458--MA0463.1.Bcl6	chr4	119127468	119127481	-	0.000	0.000	Merged-chr4-119127359-48
NR669--MA0463.1.Bcl6	chr14	55497507	55497520	-	0.000	0.000	Merged-chr14-55497522-22
NR1723--MA0731.1.BCL6B	chr6	124414230	124414246	-	0.000	0.000	Merged-chr6-124414404-3
NR2163--MA0731.1.BCL6B	chrX	159257257	159257273	-	0.000	0.000	Merged-chrX-159257265-34
NR1476--MA0463.1.Bcl6	chr4	132748936	132748949	-	0.000	0.000	Merged-chr4-132748989-25
NR687--MA0463.1.Bcl6	chr14	70781314	70781327	+	0.000	0.000	Merged-chr14-70781292-78
NR479--MA0731.1.BCL6B	chr12	102651551	102651567	+	0.000	0.000	Merged-chr12-102651576-1
NR329--MA0463.1.Bcl6	chr11	58116851	58116864	-	0.000	0.000	Merged-chr11-58116788-9
NR799--MA0463.1.Bcl6	chr16	21794450	21794463	-	0.000	0.000	Merged-chr16-21794397-74
NR1431--MA0731.1.BCL6B	chr4	88179518	88179534	-	0.000	0.000	Merged-chr4-88179548-21
NR2020--MA0463.1.Bcl6	chr9	52075395	52075408	+	0.000	0.000	Merged-chr9-52075566-6
NR262--MA0463.1.Bcl6	chr10	105841471	105841484	-	0.000	0.000	Merged-chr10-105841335-60
NR1163--MA0463.1.Bcl6	chr2	125673432	125673445	+	0.000	0.000	Merged-chr2-125673245-74
NR2007--MA0463.1.Bcl6	chr9	35324101	35324114	-	0.000	0.000	Merged-chr9-35323967-9
NR328--MA0731.1.BCL6B	chr11	57952816	57952832	-	0.000	0.000	Merged-chr11-57952769-40
NR2025--MA0463.1.Bcl6	chr9	58247240	58247253	-	0.000	0.000	Merged-chr9-58247218-31
NR1168--MA0463.1.Bcl6	chr2	128366044	128366057	+	0.000	0.000	Merged-chr2-128365920-27
NR2134--MA0731.1.BCL6B	chrX	20364486	20364502	+	0.000	0.000	Merged-chrX-20364570-48
NR559--MA0731.1.BCL6B	chr13	63792589	63792605	-	0.000	0.000	Merged-chr13-63792456-12
NR2004--MA0731.1.BCL6B	chr9	35123875	35123891	-	0.000	0.000	Merged-chr9-35124041-80
NR397--MA0731.1.BCL6B	chr11	117989987	117990003	+	0.000	0.000	Merged-chr11-117990122-16
NR1131--MA0731.1.BCL6B	chr2	91187627	91187643	+	0.000	0.000	Merged-chr2-91187616-14
NR630--MA0463.1.Bcl6	chr13	115172130	115172143	-	0.000	0.000	Merged-chr13-115171911-31
NR20--MA0731.1.BCL6B	chr1	58857040	58857056	-	0.000	0.000	Merged-chr1-58857046-16
NR158--MA0731.1.BCL6B	chr1	178187462	178187478	+	0.000	0.000	Merged-chr1-178187385-1
NR1088--MA0463.1.Bcl6	chr2	53088805	53088818	+	0.000	0.000	Merged-chr2-53088913-36
NR1540--MA0463.1.Bcl6	chr5	32714042	32714055	+	0.000	0.000	Merged-chr5-32713886-83
NR760--MA0463.1.Bcl6	chr15	76351094	76351107	-	0.000	0.000	Merged-chr15-76351256-113
NR402--MA0463.1.Bcl6	chr12	3745717	3745730	-	0.000	0.000	Merged-chr12-3745858-43
NR1661--MA0463.1.Bcl6	chr6	54956222	54956235	-	0.000	0.000	Merged-chr6-54956270-34
NR137--MA0731.1.BCL6B	chr1	165682669	165682685	+	0.000	0.000	Merged-chr1-165682736-19
NR644--MA0463.1.Bcl6	chr14	20174263	20174276	+	0.000	0.000	Merged-chr14-20174041-54
NR1330--MA0463.1.Bcl6	chr3	126596843	126596856	+	0.000	0.000	Merged-chr3-126597082-207
NR1994--MA0731.1.BCL6B	chr9	13509739	13509755	-	0.000	0.000	Merged-chr9-13509807-24
NR1123--MA0731.1.BCL6B	chr2	78988388	78988404	-	0.000	0.000	Merged-chr2-78988349-6
NR1657--MA0463.1.Bcl6	chr6	43349277	43349290	+	0.000	0.000	Merged-chr6-43349235-32
NR1503--MA0731.1.BCL6B	chr4	149889292	149889308	-	0.000	0.000	Merged-chr4-149889246-22
NR1612--MA0731.1.BCL6B	chr5	121185064	121185080	+	0.000	0.000	Merged-chr5-121185063-20
NR2118--MA0731.1.BCL6B	chr9	121675081	121675097	-	0.000	0.000	Merged-chr9-121675261-45
NR528--MA0463.1.Bcl6	chr13	23551448	23551461	-	0.000	0.000	Merged-chr13-23551555-61
NR1864--MA0731.1.BCL6B	chr7	125593318	125593334	-	0.000	0.000	Merged-chr7-125593204-10
NR90--MA0463.1.Bcl6	chr1	136255787	136255800	-	0.000	0.000	Merged-chr1-136255836-2
NR1102--MA0731.1.BCL6B	chr2	61754995	61755011	-	0.000	0.000	Merged-chr2-61755182-23
NR1232--MA0463.1.Bcl6	chr2	173431769	173431782	-	0.000	0.000	Merged-chr2-173431870-16
NR77--MA0463.1.Bcl6	chr1	127732848	127732861	+	0.000	0.000	Merged-chr1-127732945-24
NR779--MA0463.1.Bcl6	chr15	91735292	91735305	-	0.000	0.000	Merged-chr15-91735411-11
NR564--MA0463.1.Bcl6	chr13	68570002	68570015	-	0.000	0.000	Merged-chr13-68569883-34
NR81--MA0731.1.BCL6B	chr1	128615523	128615539	+	0.000	0.000	Merged-chr1-128615599-2
NR336--MA0463.1.Bcl6	chr11	66905901	66905914	+	0.000	0.000	Merged-chr11-66906049-23
NR1604--MA0731.1.BCL6B	chr5	110650347	110650363	+	0.000	0.000	Merged-chr5-110650328-3
NR354--MA0463.1.Bcl6	chr11	78766586	78766599	+	0.000	0.000	Merged-chr11-78766561-26
NR1255--MA0463.1.Bcl6	chr3	37753353	37753366	-	0.000	0.000	Merged-chr3-37753406-27
NR1040--MA0463.1.Bcl6	chr19	56756642	56756655	-	0.000	0.000	Merged-chr19-56756635-43
NR108--MA0463.1.Bcl6	chr1	153386977	153386990	-	0.000	0.000	Merged-chr1-153386899-25
NR1479--MA0463.1.Bcl6	chr4	133058092	133058105	+	0.000	0.000	Merged-chr4-133057911-45
NR531--MA0731.1.BCL6B	chr13	28685083	28685099	-	0.000	0.000	Merged-chr13-28685106-11
NR783--MA0731.1.BCL6B	chr15	97963918	97963934	+	0.000	0.000	Merged-chr15-97964061-82
NR1325--MA0731.1.BCL6B	chr3	121570746	121570762	-	0.000	0.000	Merged-chr3-121570822-16
NR2126--MA0463.1.Bcl6	chr9	123723168	123723181	-	0.000	0.000	Merged-chr9-123723255-25
NR489--MA0463.1.Bcl6	chr12	108903011	108903024	-	0.000	0.000	Merged-chr12-108903153-23
NR1175--MA0463.1.Bcl6	chr2	132607901	132607914	+	0.000	0.000	Merged-chr2-132607891-50
NR386--MA0463.1.Bcl6	chr11	109671896	109671909	+	0.000	0.000	Merged-chr11-109672054-52
NR1795--MA0731.1.BCL6B	chr7	65373762	65373778	-	0.000	0.000	Merged-chr7-65373607-20
NR491--MA0731.1.BCL6B	chr12	111182140	111182156	+	0.000	0.000	Merged-chr12-111182112-59
NR1381--MA0731.1.BCL6B	chr3	148419638	148419654	-	0.000	0.000	Merged-chr3-148419698-33
NR1447--MA0731.1.BCL6B	chr4	103095941	103095957	-	0.000	0.000	Merged-chr4-103096061-32
NR2162--MA0463.1.Bcl6	chrX	159257260	159257273	+	0.000	0.000	Merged-chrX-159257265-34
NR2019--MA0463.1.Bcl6	chr9	50849470	50849483	-	0.000	0.000	Merged-chr9-50849449-29
NR11--MA0463.1.Bcl6	chr1	37000525	37000538	-	0.000	0.000	Merged-chr1-37000533-36
NR1726--MA0463.1.Bcl6	chr6	127582688	127582701	+	0.000	0.000	Merged-chr6-127582626-90
NR1142--MA0731.1.BCL6B	chr2	103485213	103485229	-	0.000	0.000	Merged-chr2-103485172-63
NR1959--MA0463.1.Bcl6	chr8	105758600	105758613	-	0.000	0.000	Merged-chr8-105758558-56
NR1298--MA0731.1.BCL6B	chr3	101229000	101229016	+	0.000	0.000	Merged-chr3-101229120-28
NR1189--MA0463.1.Bcl6	chr2	146991267	146991280	-	0.000	0.000	Merged-chr2-146991413-14
NR1865--MA0463.1.Bcl6	chr7	125635678	125635691	-	0.000	0.000	Merged-chr7-125635870-68
NR1650--MA0463.1.Bcl6	chr6	31125737	31125750	+	0.000	0.000	Merged-chr6-31125664-26
NR718--MA0463.1.Bcl6	chr14	121164861	121164874	+	0.000	0.000	Merged-chr14-121164669-3
NR1012--MA0731.1.BCL6B	chr19	5662235	5662251	-	0.000	0.000	Merged-chr19-5662513-30
NR1404--MA0463.1.Bcl6	chr4	40823836	40823849	-	0.000	0.000	Merged-chr4-40823922-38
NR1422--MA0463.1.Bcl6	chr4	63928366	63928379	-	0.000	0.000	Merged-chr4-63928441-11
NR2082--MA0463.1.Bcl6	chr9	102577622	102577635	+	0.000	0.000	Merged-chr9-102577518-37
NR1025--MA0731.1.BCL6B	chr19	34244144	34244160	+	0.000	0.000	Merged-chr19-34244130-34
NR1548--MA0731.1.BCL6B	chr5	45675263	45675279	-	0.000	0.000	Merged-chr5-45675268-16
NR1819--MA0731.1.BCL6B	chr7	92752683	92752699	+	0.000	0.000	Merged-chr7-92752650-1
NR978--MA0463.1.Bcl6	chr18	65481390	65481403	-	0.000	0.000	Merged-chr18-65481395-37
NR1306--MA0463.1.Bcl6	chr3	104968184	104968197	+	0.000	0.000	Merged-chr3-104968115-29
NR1495--MA0731.1.BCL6B	chr4	144909007	144909023	-	0.000	0.000	Merged-chr4-144908993-28
NR884--MA0463.1.Bcl6	chr17	30335836	30335849	+	0.000	0.000	Merged-chr17-30335946-15
NR1785--MA0463.1.Bcl6	chr7	46607034	46607047	+	0.000	0.000	Merged-chr7-46607092-64
NR1352--MA0731.1.BCL6B	chr3	133437174	133437190	+	0.000	0.000	Merged-chr3-133436994-54
NR1539--MA0463.1.Bcl6	chr5	32104359	32104372	-	0.000	0.000	Merged-chr5-32104376-51
NR1324--MA0463.1.Bcl6	chr3	121570749	121570762	+	0.000	0.000	Merged-chr3-121570822-16
NR1779--MA0731.1.BCL6B	chr7	38090387	38090403	-	0.000	0.000	Merged-chr7-38090413-30
NR674--MA0463.1.Bcl6	chr14	59558951	59558964	-	0.000	0.000	Merged-chr14-59558966-13
NR92--MA0731.1.BCL6B	chr1	136600970	136600986	-	0.000	0.000	Merged-chr1-136600909-41
NR786--MA0463.1.Bcl6	chr15	102517145	102517158	+	0.000	0.000	Merged-chr15-102517077-26
NR821--MA0731.1.BCL6B	chr16	55951631	55951647	-	0.000	0.000	Merged-chr16-55951395-55
NR898--MA0463.1.Bcl6	chr17	36942673	36942686	-	0.000	0.000	Merged-chr17-36942723-44
NR1490--MA0463.1.Bcl6	chr4	137898901	137898914	+	0.000	0.000	Merged-chr4-137899052-12
NR725--MA0731.1.BCL6B	chr15	9535442	9535458	+	0.000	0.000	Merged-chr15-9535427-15
NR558--MA0463.1.Bcl6	chr13	63792592	63792605	+	0.000	0.000	Merged-chr13-63792456-12
NR1459--MA0463.1.Bcl6	chr4	119223882	119223895	+	0.000	0.000	Merged-chr4-119223905-18
NR455--MA0463.1.Bcl6	chr12	83951867	83951880	+	0.000	0.000	Merged-chr12-83951738-3
NR209--MA0463.1.Bcl6	chr10	42897825	42897838	+	0.000	0.000	Merged-chr10-42897771-65
NR1262--MA0463.1.Bcl6	chr3	58470240	58470253	+	0.000	0.000	Merged-chr3-58470222-35
NR227--MA0463.1.Bcl6	chr10	63582800	63582813	+	0.000	0.000	Merged-chr10-63582747-40
NR903--MA0463.1.Bcl6	chr17	44121610	44121623	-	0.000	0.000	Merged-chr17-44121634-62
NR956--MA0731.1.BCL6B	chr18	32880671	32880687	+	0.000	0.000	Merged-chr18-32880667-46
NR2003--MA0463.1.Bcl6	chr9	35123878	35123891	+	0.000	0.000	Merged-chr9-35124041-80
NR478--MA0463.1.Bcl6	chr12	102350886	102350899	+	0.000	0.000	Merged-chr12-102350976-38
NR826--MA0731.1.BCL6B	chr16	64770965	64770981	-	0.000	0.000	Merged-chr16-64770922-80
NR1182--MA0463.1.Bcl6	chr2	144198942	144198955	+	0.000	0.000	Merged-chr2-144198804-26
NR393--MA0463.1.Bcl6	chr11	116377261	116377274	-	0.000	0.000	Merged-chr11-116377399-54
NR2090--MA0731.1.BCL6B	chr9	105642907	105642923	-	0.000	0.000	Merged-chr9-105643016-54
NR1970--MA0463.1.Bcl6	chr8	115398277	115398290	-	0.000	0.000	Merged-chr8-115398205-61
NR568--MA0731.1.BCL6B	chr13	73740708	73740724	+	0.000	0.000	Merged-chr13-73740559-35
NR1187--MA0731.1.BCL6B	chr2	145804629	145804645	+	0.000	0.000	Merged-chr2-145804796-32
NR1048--MA0463.1.Bcl6	chr19	60874363	60874376	+	0.000	0.000	Merged-chr19-60874475-51
NR677--MA0731.1.BCL6B	chr14	65330861	65330877	+	0.000	0.000	Merged-chr14-65330788-23
NR2138--MA0463.1.Bcl6	chrX	57336972	57336985	-	0.000	0.000	Merged-chrX-57337198-20
NR1066--MA0463.1.Bcl6	chr2	28440934	28440947	-	0.000	0.000	Merged-chr2-28441015-6
NR1057--MA0731.1.BCL6B	chr2	13836413	13836429	+	0.000	0.000	Merged-chr2-13836576-22
NR1328--MA0731.1.BCL6B	chr3	123173829	123173845	+	0.000	0.000	Merged-chr3-123173705-1
NR398--MA0463.1.Bcl6	chr11	118000587	118000600	-	0.000	0.000	Merged-chr11-118000770-19
NR183--MA0463.1.Bcl6	chr1	191193935	191193948	+	0.000	0.000	Merged-chr1-191193945-62
NR1608--MA0463.1.Bcl6	chr5	114194254	114194267	+	0.000	0.000	Merged-chr5-114194325-12
NR1984--MA0463.1.Bcl6	chr8	124266025	124266038	+	0.000	0.000	Merged-chr8-124265993-45
NR855--MA0463.1.Bcl6	chr16	93918247	93918260	-	0.000	0.000	Merged-chr16-93918388-61
NR1774--MA0463.1.Bcl6	chr7	31041771	31041784	+	0.000	0.000	Merged-chr7-31041758-77
NR539--MA0731.1.BCL6B	chr13	41445683	41445699	-	0.000	0.000	Merged-chr13-41445652-2
NR891--MA0463.1.Bcl6	chr17	35673883	35673896	+	0.000	0.000	Merged-chr17-35673774-49
NR330--MA0731.1.BCL6B	chr11	62507993	62508009	+	0.000	0.000	Merged-chr11-62507903-32
NR1015--MA0731.1.BCL6B	chr19	8984436	8984452	+	0.000	0.000	Merged-chr19-8984601-50
NR853--MA0731.1.BCL6B	chr16	93816572	93816588	-	0.000	0.000	Merged-chr16-93816419-67
NR1546--MA0463.1.Bcl6	chr5	44181940	44181953	-	0.000	0.000	Merged-chr5-44181891-36
NR1331--MA0463.1.Bcl6	chr3	126650649	126650662	+	0.000	0.000	Merged-chr3-126650760-81
NR757--MA0463.1.Bcl6	chr15	75862282	75862295	+	0.000	0.000	Merged-chr15-75862360-44
NR1443--MA0463.1.Bcl6	chr4	97618790	97618803	+	0.000	0.000	Merged-chr4-97618905-10
NR305--MA0463.1.Bcl6	chr11	11820513	11820526	-	0.000	0.000	Merged-chr11-11820623-52
NR200--MA0731.1.BCL6B	chr10	14066209	14066225	+	0.000	0.000	Merged-chr10-14066140-19
NR529--MA0463.1.Bcl6	chr13	23581784	23581797	+	0.000	0.000	Merged-chr13-23581680-55
NR91--MA0463.1.Bcl6	chr1	136600970	136600983	-	0.000	0.000	Merged-chr1-136600909-41
NR220--MA0463.1.Bcl6	chr10	62037230	62037243	-	0.000	0.000	Merged-chr10-62037241-1
NR547--MA0463.1.Bcl6	chr13	51776549	51776562	-	0.000	0.000	Merged-chr13-51776600-43
NR1259--MA0731.1.BCL6B	chr3	52850196	52850212	-	0.000	0.000	Merged-chr3-52850315-12
NR350--MA0463.1.Bcl6	chr11	76399039	76399052	-	0.000	0.000	Merged-chr11-76399136-77
NR749--MA0731.1.BCL6B	chr15	64031801	64031817	-	0.000	0.000	Merged-chr15-64031961-34
NR87--MA0463.1.Bcl6	chr1	132316403	132316416	+	0.000	0.000	Merged-chr1-132316198-37
NR122--MA0463.1.Bcl6	chr1	161674565	161674578	-	0.000	0.000	Merged-chr1-161674719-1
NR967--MA0731.1.BCL6B	chr18	49755848	49755864	-	0.000	0.000	Merged-chr18-49755713-75
NR348--MA0731.1.BCL6B	chr11	72953771	72953787	-	0.000	0.000	Merged-chr11-72953852-64
NR355--MA0463.1.Bcl6	chr11	80142037	80142050	+	0.000	0.000	Merged-chr11-80142193-43
NR1041--MA0463.1.Bcl6	chr19	56771430	56771443	-	0.000	0.000	Merged-chr19-56771635-4
NR1791--MA0731.1.BCL6B	chr7	58825036	58825052	-	0.000	0.000	Merged-chr7-58824899-42
NR270--MA0463.1.Bcl6	chr10	117640118	117640131	+	0.000	0.000	Merged-chr10-117640177-35
NR239--MA0463.1.Bcl6	chr10	80677236	80677249	+	0.000	0.000	Merged-chr10-80677293-45
NR1089--MA0731.1.BCL6B	chr2	53088802	53088818	-	0.000	0.000	Merged-chr2-53088913-36
NR924--MA0463.1.Bcl6	chr17	71598725	71598738	+	0.000	0.000	Merged-chr17-71598732-66
NR2127--MA0463.1.Bcl6	chr9	124068594	124068607	-	0.000	0.000	Merged-chr9-124068612-53
NR1731--MA0463.1.Bcl6	chr6	133986387	133986400	+	0.000	0.000	Merged-chr6-133986314-22
NR2033--MA0463.1.Bcl6	chr9	63719960	63719973	+	0.000	0.000	Merged-chr9-63720041-13
NR1531--MA0731.1.BCL6B	chr5	21255528	21255544	+	0.000	0.000	Merged-chr5-21255594-85
NR181--MA0463.1.Bcl6	chr1	191186760	191186773	-	0.000	0.000	Merged-chr1-191186681-9
NR499--MA0463.1.Bcl6	chr12	114469202	114469215	-	0.000	0.000	Merged-chr12-114469182-47
NR415--MA0731.1.BCL6B	chr12	32292557	32292573	-	0.000	0.000	Merged-chr12-32292439-88
NR929--MA0463.1.Bcl6	chr17	79100012	79100025	-	0.000	0.000	Merged-chr17-79100085-51
NR1727--MA0463.1.Bcl6	chr6	127617404	127617417	+	0.000	0.000	Merged-chr6-127617353-34
NR2029--MA0463.1.Bcl6	chr9	62455350	62455363	+	0.000	0.000	Merged-chr9-62455455-9
NR1491--MA0731.1.BCL6B	chr4	138407834	138407850	+	0.000	0.000	Merged-chr4-138408066-23
NR965--MA0463.1.Bcl6	chr18	40308077	40308090	+	0.000	0.000	Merged-chr18-40308184-41
NR123--MA0731.1.BCL6B	chr1	161674565	161674581	+	0.000	0.000	Merged-chr1-161674719-1
NR719--MA0463.1.Bcl6	chr14	121349650	121349663	-	0.000	0.000	Merged-chr14-121349537-45
NR2072--MA0731.1.BCL6B	chr9	94678299	94678315	-	0.000	0.000	Merged-chr9-94678368-26
NR1629--MA0463.1.Bcl6	chr5	144040910	144040923	-	0.000	0.000	Merged-chr5-144040932-23
NR2083--MA0463.1.Bcl6	chr9	102784597	102784610	-	0.000	0.000	Merged-chr9-102784634-33
NR136--MA0731.1.BCL6B	chr1	165609835	165609851	-	0.000	0.000	Merged-chr1-165609765-26
NR746--MA0463.1.Bcl6	chr15	60136864	60136877	+	0.000	0.000	Merged-chr15-60136862-12
NR1645--MA0731.1.BCL6B	chr6	15793395	15793411	-	0.000	0.000	Merged-chr6-15793359-107
NR979--MA0463.1.Bcl6	chr18	66429403	66429416	-	0.000	0.000	Merged-chr18-66429331-35
NR1483--MA0731.1.BCL6B	chr4	134102477	134102493	+	0.000	0.000	Merged-chr4-134102653-39
NR1571--MA0463.1.Bcl6	chr5	76183673	76183686	-	0.000	0.000	Merged-chr5-76183772-3
NR80--MA0463.1.Bcl6	chr1	128615523	128615536	-	0.000	0.000	Merged-chr1-128615599-2
NR1720--MA0731.1.BCL6B	chr6	120529141	120529157	-	0.000	0.000	Merged-chr6-120529161-48
NR1898--MA0463.1.Bcl6	chr7	139156838	139156851	+	0.000	0.000	Merged-chr7-139156945-61
NR536--MA0463.1.Bcl6	chr13	34187735	34187748	+	0.000	0.000	Merged-chr13-34187711-22
NR1353--MA0731.1.BCL6B	chr3	133437191	133437207	-	0.000	0.000	Merged-chr3-133436994-54
NR2064--MA0731.1.BCL6B	chr9	86662058	86662074	-	0.000	0.000	Merged-chr9-86661955-9
NR442--MA0463.1.Bcl6	chr12	75669771	75669784	+	0.000	0.000	Merged-chr12-75669660-74
NR1455--MA0463.1.Bcl6	chr4	107006366	107006379	-	0.000	0.000	Merged-chr4-107006366-21
NR308--MA0463.1.Bcl6	chr11	19977881	19977894	+	0.000	0.000	Merged-chr11-19977912-19
NR1473--MA0463.1.Bcl6	chr4	130931051	130931064	+	0.000	0.000	Merged-chr4-130930977-2
NR1332--MA0731.1.BCL6B	chr3	126650646	126650662	+	0.000	0.000	Merged-chr3-126650760-81
NR1998--MA0731.1.BCL6B	chr9	21901646	21901662	+	0.000	0.000	Merged-chr9-21901660-8
NR232--MA0463.1.Bcl6	chr10	75354136	75354149	-	0.000	0.000	Merged-chr10-75354225-31
NR1693--MA0731.1.BCL6B	chr6	95621806	95621822	-	0.000	0.000	Merged-chr6-95621938-31
NR456--MA0463.1.Bcl6	chr12	84617495	84617508	+	0.000	0.000	Merged-chr12-84617513-53
NR1017--MA0463.1.Bcl6	chr19	10980044	10980057	+	0.000	0.000	Merged-chr19-10979908-59
NR904--MA0463.1.Bcl6	chr17	44121795	44121808	-	0.000	0.000	Merged-chr17-44121634-62
NR1292--MA0731.1.BCL6B	chr3	97796646	97796662	+	0.000	0.000	Merged-chr3-97796692-21
NR1563--MA0731.1.BCL6B	chr5	65867462	65867478	-	0.000	0.000	Merged-chr5-65867573-52
NR1420--MA0731.1.BCL6B	chr4	62407986	62408002	-	0.000	0.000	Merged-chr4-62407844-25
NR1943--MA0731.1.BCL6B	chr8	85060065	85060081	+	0.000	0.000	Merged-chr8-85060180-46
NR922--MA0463.1.Bcl6	chr17	70973772	70973785	+	0.000	0.000	Merged-chr17-70973710-59
