#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Bcl6/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.dn.bed
NR1527--MA0463.1.Bcl6	chr5	74277806	74277819	-	0.000	0.000	Merged-chr5-74277818-39
NR2073--MA0731.1.BCL6B	chr9	109082439	109082455	+	0.000	0.000	Merged-chr9-109082467-51
NR1433--MA0463.1.Bcl6	chr4	121628380	121628393	+	0.000	0.000	Merged-chr4-121628407-1
NR550--MA0463.1.Bcl6	chr13	91697219	91697232	-	0.000	0.000	Merged-chr13-91697201-18
NR774--MA0463.1.Bcl6	chr16	50229194	50229207	+	0.000	0.000	Merged-chr16-50229098-21
NR1214--MA0463.1.Bcl6	chr3	37753353	37753366	-	0.000	0.000	Merged-chr3-37753406-27
NR1120--MA0463.1.Bcl6	chr2	116900081	116900094	+	0.000	0.000	Merged-chr2-116900141-29
NR1250--MA0463.1.Bcl6	chr3	89998843	89998856	-	0.000	0.000	Merged-chr3-89998706-59
NR694--MA0463.1.Bcl6	chr15	38518287	38518300	-	0.000	0.000	Merged-chr15-38518309-9
NR336--MA0463.1.Bcl6	chr11	69581024	69581037	+	0.000	0.000	Merged-chr11-69580859-6
NR448--MA0463.1.Bcl6	chr12	107011658	107011671	+	0.000	0.000	Merged-chr12-107011663-34
NR1869--MA0731.1.BCL6B	chr7	131112869	131112885	+	0.000	0.000	Merged-chr7-131112700-22
NR1479--MA0463.1.Bcl6	chr4	150909630	150909643	-	0.000	0.000	Merged-chr4-150909856-55
NR1027--MA0463.1.Bcl6	chr2	18046848	18046861	+	0.000	0.000	Merged-chr2-18046867-13
NR390--MA0463.1.Bcl6	chr11	120354119	120354132	-	0.000	0.000	Merged-chr11-120353921-57
NR238--MA0463.1.Bcl6	chr10	81082406	81082419	-	0.000	0.000	Merged-chr10-81082466-12
NR1421--MA0731.1.BCL6B	chr4	114468230	114468246	-	0.000	0.000	Merged-chr4-114468336-4
NR1045--MA0463.1.Bcl6	chr2	32867552	32867565	+	0.000	0.000	Merged-chr2-32867635-14
NR911--MA0731.1.BCL6B	chr18	32880671	32880687	+	0.000	0.000	Merged-chr18-32880667-46
NR892--MA0731.1.BCL6B	chr17	86590998	86591014	+	0.000	0.000	Merged-chr17-86591130-5
NR368--MA0463.1.Bcl6	chr11	103344789	103344802	+	0.000	0.000	Merged-chr11-103344829-56
NR1434--MA0731.1.BCL6B	chr4	122884680	122884696	-	0.000	0.000	Merged-chr4-122884579-2
NR274--MA0463.1.Bcl6	chr10	117982728	117982741	+	0.000	0.000	Merged-chr10-117982814-16
NR941--MA0463.1.Bcl6	chr18	75392746	75392759	-	0.000	0.000	Merged-chr18-75392555-48
NR2019--MA0463.1.Bcl6	chr9	57910728	57910741	+	0.000	0.000	Merged-chr9-57910842-63
NR1520--MA0463.1.Bcl6	chr5	67260766	67260779	+	0.000	0.000	Merged-chr5-67260794-69
NR843--MA0463.1.Bcl6	chr17	43233050	43233063	+	0.000	0.000	Merged-chr17-43233095-49
NR1774--MA0731.1.BCL6B	chr7	37978522	37978538	-	0.000	0.000	Merged-chr7-37978660-9
NR1426--MA0731.1.BCL6B	chr4	117267545	117267561	+	0.000	0.000	Merged-chr4-117267580-14
NR1762--MA0463.1.Bcl6	chr7	19270154	19270167	+	0.000	0.000	Merged-chr7-19270064-6
NR1949--MA0731.1.BCL6B	chr8	107096622	107096638	+	0.000	0.000	Merged-chr8-107096330-78
NR2064--MA0463.1.Bcl6	chr9	102784597	102784610	-	0.000	0.000	Merged-chr9-102784634-33
NR231--MA0731.1.BCL6B	chr10	68908444	68908460	-	0.000	0.000	Merged-chr10-68908384-20
NR1995--MA0463.1.Bcl6	chr9	37232423	37232436	+	0.000	0.000	Merged-chr9-37232426-6
NR340--MA0731.1.BCL6B	chr11	69995661	69995677	+	0.000	0.000	Merged-chr11-69995623-48
NR633--MA0463.1.Bcl6	chr14	70781314	70781327	+	0.000	0.000	Merged-chr14-70781292-78
NR592--MA0731.1.BCL6B	chr14	7964613	7964629	+	0.000	0.000	Merged-chr14-7964637-21
NR43--MA0463.1.Bcl6	chr1	82787570	82787583	+	0.000	0.000	Merged-chr1-82787603-20
NR1482--MA0731.1.BCL6B	chr4	152341078	152341094	-	0.000	0.000	Merged-chr4-152341132-7
NR866--MA0463.1.Bcl6	chr17	66077045	66077058	+	0.000	0.000	Merged-chr17-66076994-114
NR508--MA0463.1.Bcl6	chr13	24547247	24547260	+	0.000	0.000	Merged-chr13-24547194-39
NR2069--MA0463.1.Bcl6	chr9	105694012	105694025	-	0.000	0.000	Merged-chr9-105694036-2
NR23--MA0731.1.BCL6B	chr1	58652805	58652821	-	0.000	0.000	Merged-chr1-58652657-88
NR210--MA0731.1.BCL6B	chr10	37232424	37232440	+	0.000	0.000	Merged-chr10-37232300-62
NR1113--MA0731.1.BCL6B	chr2	104095748	104095764	-	0.000	0.000	Merged-chr2-104095908-22
NR441--MA0463.1.Bcl6	chr12	100168534	100168547	+	0.000	0.000	Merged-chr12-100168610-40
NR1365--MA0731.1.BCL6B	chr4	6834675	6834691	+	0.000	0.000	Merged-chr4-6834506-4
NR1454--MA0463.1.Bcl6	chr4	140723989	140724002	-	0.000	0.000	Merged-chr4-140723991-19
NR307--MA0463.1.Bcl6	chr11	43410507	43410520	+	0.000	0.000	Merged-chr11-43410532-22
NR786--MA0463.1.Bcl6	chr16	75920952	75920965	-	0.000	0.000	Merged-chr16-75921068-56
NR1799--MA0463.1.Bcl6	chr7	79920759	79920772	+	0.000	0.000	Merged-chr7-79920663-50
NR1226--MA0463.1.Bcl6	chr3	60499343	60499356	+	0.000	0.000	Merged-chr3-60499297-2
NR1262--MA0463.1.Bcl6	chr3	101929712	101929725	-	0.000	0.000	Merged-chr3-101929538-16
NR1392--MA0463.1.Bcl6	chr4	82365045	82365058	+	0.000	0.000	Merged-chr4-82365199-20
NR800--MA0463.1.Bcl6	chr16	87726010	87726023	-	0.000	0.000	Merged-chr16-87726198-44
NR2003--MA0463.1.Bcl6	chr9	46120161	46120174	-	0.000	0.000	Merged-chr9-46120159-27
NR651--MA0731.1.BCL6B	chr14	103033507	103033523	+	0.000	0.000	Merged-chr14-103033598-47
NR1052--MA0463.1.Bcl6	chr2	36276734	36276747	+	0.000	0.000	Merged-chr2-36276714-8
NR1859--MA0731.1.BCL6B	chr7	127895917	127895933	+	0.000	0.000	Merged-chr7-127895657-49
NR284--MA0731.1.BCL6B	chr10	128895545	128895561	-	0.000	0.000	Merged-chr10-128895636-22
NR63--MA0731.1.BCL6B	chr1	106395688	106395704	+	0.000	0.000	Merged-chr1-106395596-30
NR1706--MA0463.1.Bcl6	chr6	129255235	129255248	+	0.000	0.000	Merged-chr6-129255226-26
NR630--MA0731.1.BCL6B	chr14	67045669	67045685	-	0.000	0.000	Merged-chr14-67045553-9
NR1048--MA0463.1.Bcl6	chr2	35299561	35299574	+	0.000	0.000	Merged-chr2-35299647-29
NR882--MA0731.1.BCL6B	chr17	79599513	79599529	-	0.000	0.000	Merged-chr17-79599396-20
NR268--MA0463.1.Bcl6	chr10	111583417	111583430	-	0.000	0.000	Merged-chr10-111583294-13
NR720--MA0463.1.Bcl6	chr15	78581567	78581580	+	0.000	0.000	Merged-chr15-78581743-66
NR263--MA0731.1.BCL6B	chr10	105841471	105841487	+	0.000	0.000	Merged-chr10-105841335-60
NR1742--MA0463.1.Bcl6	chr6	146391407	146391420	+	0.000	0.000	Merged-chr6-146391315-9
NR1328--MA0731.1.BCL6B	chr3	142744060	142744076	-	0.000	0.000	Merged-chr3-142744255-26
NR895--MA0731.1.BCL6B	chr17	87609029	87609045	-	0.000	0.000	Merged-chr17-87608990-28
NR799--MA0731.1.BCL6B	chr16	87354483	87354499	+	0.000	0.000	Merged-chr16-87354313-51
NR1179--MA0731.1.BCL6B	chr2	168007320	168007336	-	0.000	0.000	Merged-chr2-168007422-8
NR1738--MA0463.1.Bcl6	chr6	145104353	145104366	-	0.000	0.000	Merged-chr6-145104452-21
NR41--MA0463.1.Bcl6	chr1	79751408	79751421	-	0.000	0.000	Merged-chr1-79751461-38
NR855--MA0463.1.Bcl6	chr17	52461996	52462009	-	0.000	0.000	Merged-chr17-52461953-32
NR1868--MA0463.1.Bcl6	chr7	131112869	131112882	-	0.000	0.000	Merged-chr7-131112700-22
NR19--MA0463.1.Bcl6	chr1	40383107	40383120	+	0.000	0.000	Merged-chr1-40383046-56
NR539--MA0731.1.BCL6B	chr13	76018756	76018772	+	0.000	0.000	Merged-chr13-76018576-95
NR1313--MA0463.1.Bcl6	chr3	137611265	137611278	+	0.000	0.000	Merged-chr3-137611144-106
NR533--MA0463.1.Bcl6	chr13	67844440	67844453	-	0.000	0.000	Merged-chr13-67844387-42
NR2094--MA0463.1.Bcl6	chr9	123723168	123723181	-	0.000	0.000	Merged-chr9-123723255-25
NR757--MA0463.1.Bcl6	chr16	23988588	23988601	+	0.000	0.000	Merged-chr16-23988801-56
NR1443--MA0463.1.Bcl6	chr4	133005466	133005479	-	0.000	0.000	Merged-chr4-133005373-4
NR73--MA0463.1.Bcl6	chr1	128615523	128615536	-	0.000	0.000	Merged-chr1-128615599-2
NR723--MA0731.1.BCL6B	chr15	80318088	80318104	+	0.000	0.000	Merged-chr15-80318050-7
NR453--MA0463.1.Bcl6	chr12	110485211	110485224	+	0.000	0.000	Merged-chr12-110485299-1
NR1259--MA0731.1.BCL6B	chr3	97796646	97796662	+	0.000	0.000	Merged-chr3-97796692-21
NR207--MA0463.1.Bcl6	chr10	28816361	28816374	+	0.000	0.000	Merged-chr10-28816240-37
NR471--MA0463.1.Bcl6	chr12	115242929	115242942	-	0.000	0.000	Merged-chr12-115242881-34
NR910--MA0463.1.Bcl6	chr18	32880671	32880684	-	0.000	0.000	Merged-chr18-32880667-46
NR355--MA0463.1.Bcl6	chr11	87578496	87578509	-	0.000	0.000	Merged-chr11-87578522-34
NR1256--MA0463.1.Bcl6	chr3	96263109	96263122	-	0.000	0.000	Merged-chr3-96263071-120
NR467--MA0463.1.Bcl6	chr12	114253682	114253695	+	0.000	0.000	Merged-chr12-114253659-1
NR109--MA0463.1.Bcl6	chr1	156462767	156462780	+	0.000	0.000	Merged-chr1-156462820-12
NR373--MA0463.1.Bcl6	chr11	108235537	108235550	-	0.000	0.000	Merged-chr11-108235503-22
NR295--MA0731.1.BCL6B	chr11	3931991	3932007	-	0.000	0.000	Merged-chr11-3931934-36
NR1028--MA0463.1.Bcl6	chr2	18050907	18050920	-	0.000	0.000	Merged-chr2-18050783-11
NR1661--MA0731.1.BCL6B	chr6	70103457	70103473	-	0.000	0.000	Merged-chr6-70103466-27
NR2015--MA0463.1.Bcl6	chr9	53452368	53452381	-	0.000	0.000	Merged-chr9-53452460-4
NR257--MA0463.1.Bcl6	chr10	100742105	100742118	-	0.000	0.000	Merged-chr10-100742220-29
NR924--MA0463.1.Bcl6	chr18	60462365	60462378	-	0.000	0.000	Merged-chr18-60462470-32
NR830--MA0463.1.Bcl6	chr17	24414487	24414500	-	0.000	0.000	Merged-chr17-24414569-93
NR2033--MA0463.1.Bcl6	chr9	72408271	72408284	-	0.000	0.000	Merged-chr9-72408394-35
NR181--MA0463.1.Bcl6	chr1	191599406	191599419	-	0.000	0.000	Merged-chr1-191599385-45
NR1288--MA0463.1.Bcl6	chr3	126693673	126693686	+	0.000	0.000	Merged-chr3-126693413-64
NR714--MA0463.1.Bcl6	chr15	67398241	67398254	-	0.000	0.000	Merged-chr15-67398131-20
NR2112--MA0731.1.BCL6B	chrX	100476537	100476553	-	0.000	0.000	Merged-chrX-100476611-55
NR1521--MA0463.1.Bcl6	chr5	67260764	67260777	-	0.000	0.000	Merged-chr5-67260794-69
NR289--MA0463.1.Bcl6	chr11	3133595	3133608	-	0.000	0.000	Merged-chr11-3133574-54
NR504--MA0463.1.Bcl6	chr13	23551448	23551461	-	0.000	0.000	Merged-chr13-23551555-61
NR1423--MA0463.1.Bcl6	chr4	116651704	116651717	-	0.000	0.000	Merged-chr4-116651530-57
NR136--MA0731.1.BCL6B	chr1	173437390	173437406	-	0.000	0.000	Merged-chr1-173437499-84
NR746--MA0463.1.Bcl6	chr16	14705645	14705658	+	0.000	0.000	Merged-chr16-14705734-55
NR1647--MA0463.1.Bcl6	chr6	54069114	54069127	+	0.000	0.000	Merged-chr6-54069236-28
NR1553--MA0463.1.Bcl6	chr5	97090395	97090408	+	0.000	0.000	Merged-chr5-97090318-20
NR312--MA0463.1.Bcl6	chr11	52231872	52231885	-	0.000	0.000	Merged-chr11-52232101-58
NR258--MA0731.1.BCL6B	chr10	100742105	100742121	+	0.000	0.000	Merged-chr10-100742220-29
NR2088--MA0463.1.Bcl6	chr9	117896449	117896462	+	0.000	0.000	Merged-chr9-117896590-25
NR1101--MA0731.1.BCL6B	chr2	84715611	84715627	-	0.000	0.000	Merged-chr2-84715437-136
NR1462--MA0731.1.BCL6B	chr4	145246637	145246653	+	0.000	0.000	Merged-chr4-145246720-73
NR237--MA0731.1.BCL6B	chr10	80900832	80900848	-	0.000	0.000	Merged-chr10-80900760-63
NR590--MA0463.1.Bcl6	chr14	7791703	7791716	+	0.000	0.000	Merged-chr14-7791631-72
NR1441--MA0731.1.BCL6B	chr4	132775157	132775173	+	0.000	0.000	Merged-chr4-132775105-24
NR456--MA0463.1.Bcl6	chr12	111165941	111165954	+	0.000	0.000	Merged-chr12-111165903-22
NR931--MA0731.1.BCL6B	chr18	66452470	66452486	+	0.000	0.000	Merged-chr18-66452450-5
NR1263--MA0463.1.Bcl6	chr3	103780404	103780417	-	0.000	0.000	Merged-chr3-103780443-3
NR228--MA0463.1.Bcl6	chr10	66864663	66864676	-	0.000	0.000	Merged-chr10-66864707-69
NR229--MA0731.1.BCL6B	chr10	66864772	66864788	+	0.000	0.000	Merged-chr10-66864707-69
NR1917--MA0463.1.Bcl6	chr8	69832490	69832503	+	0.000	0.000	Merged-chr8-69832557-54
