#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/Bcl6KO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed
NR38129--MA0741.1.KLF16	chr3	108383923	108383933	-	0.000	0.000	Merged-chr3-108383794-50
NR57556--MA0493.1.Klf1	chr8	53639081	53639091	+	0.000	0.000	Merged-chr8-53639020-77
NR40497--MA0599.1.KLF5	chr4	46489495	46489504	-	0.000	0.000	Merged-chr4-46489438-58
NR20069--MA0742.1.Klf12	chr15	27630738	27630752	-	0.000	0.000	Merged-chr15-27630655-61
NR27245--MA1107.1.KLF9	chr17	84056506	84056518	-	0.000	0.000	Merged-chr17-84056540-29
NR59991--MA0742.1.Klf12	chr8	124046031	124046045	+	0.000	0.000	Merged-chr8-124045987-6
NR21234--MA0741.1.KLF16	chr15	80930416	80930426	-	0.000	0.000	Merged-chr15-80930587-88
NR59645--MA0657.1.KLF13	chr8	120276502	120276519	-	0.000	0.000	Merged-chr8-120276586-37
NR48091--MA1107.1.KLF9	chr5	146794932	146794944	+	0.000	0.000	Merged-chr5-146794783-76
NR57369--MA0741.1.KLF16	chr8	40963171	40963181	-	0.000	0.000	Merged-chr8-40963134-88
NR64607--MA0742.1.Klf12	chrX	103695607	103695621	-	0.000	0.000	Merged-chrX-103695530-55
NR34769--MA0741.1.KLF16	chr2	150608597	150608607	+	0.000	0.000	Merged-chr2-150608735-106
NR50387--MA0039.3.KLF4	chr6	108571219	108571229	+	0.000	0.000	Merged-chr6-108571232-71
NR49589--MA0493.1.Klf1	chr6	72538828	72538838	+	0.000	0.000	Merged-chr6-72538823-50
NR54890--MA1107.1.KLF9	chr7	102687318	102687330	+	0.000	0.000	Merged-chr7-102687241-53
NR40139--MA0599.1.KLF5	chr4	40143350	40143359	+	0.000	0.000	Merged-chr4-40143231-72
NR1237--MA0493.1.Klf1	chr1	85703776	85703786	-	0.000	0.000	Merged-chr1-85703643-71
NR52178--MA0742.1.Klf12	chr7	3289271	3289285	+	0.000	0.000	Merged-chr7-3289241-19
NR29348--MA0741.1.KLF16	chr19	3575751	3575761	+	0.000	0.000	Merged-chr19-3575906-73
NR53072--MA0741.1.KLF16	chr7	29156222	29156232	+	0.000	0.000	Merged-chr7-29155959-90
NR59302--MA0599.1.KLF5	chr8	111933850	111933859	-	0.000	0.000	Merged-chr8-111933748-53
NR42519--MA1107.1.KLF9	chr4	134853871	134853883	+	0.000	0.000	Merged-chr4-134853664-104
NR29999--MA0599.1.KLF5	chr19	21778240	21778249	-	0.000	0.000	Merged-chr19-21778385-93
NR40442--MA0740.1.KLF14	chr4	45084668	45084681	-	0.000	0.000	Merged-chr4-45084529-66
NR30267--MA0741.1.KLF16	chr19	38746191	38746201	-	0.000	0.000	Merged-chr19-38746267-36
NR44185--MA0599.1.KLF5	chr5	23758815	23758824	+	0.000	0.000	Merged-chr5-23758811-10
NR30711--MA0740.1.KLF14	chr19	53906229	53906242	-	0.000	0.000	Merged-chr19-53906236-47
NR53409--MA0741.1.KLF16	chr7	35754509	35754519	+	0.000	0.000	Merged-chr7-35754427-56
NR35558--MA0599.1.KLF5	chr2	166805476	166805485	+	0.000	0.000	Merged-chr2-166805621-76
NR54738--MA1107.1.KLF9	chr7	99536409	99536421	+	0.000	0.000	Merged-chr7-99536356-6
NR47857--MA0493.1.Klf1	chr5	142463819	142463829	+	0.000	0.000	Merged-chr5-142463900-60
NR27240--MA0039.3.KLF4	chr17	84056506	84056516	-	0.000	0.000	Merged-chr17-84056540-29
NR2769--MA0039.3.KLF4	chr1	162477006	162477016	+	0.000	0.000	Merged-chr1-162477062-12
NR53875--MA0742.1.Klf12	chr7	52006255	52006269	+	0.000	0.000	Merged-chr7-52006054-77
NR64771--MA0741.1.KLF16	chrX	136993216	136993226	-	0.000	0.000	Merged-chrX-136993018-95
NR52339--MA1107.1.KLF9	chr7	6383318	6383330	-	0.000	0.000	Merged-chr7-6383352-66
NR15954--MA0740.1.KLF14	chr13	69611470	69611483	+	0.000	0.000	Merged-chr13-69611588-99
NR46513--MA0741.1.KLF16	chr5	118245226	118245236	-	0.000	0.000	Merged-chr5-118245267-62
NR8199--MA0493.1.Klf1	chr11	20631942	20631952	-	0.000	0.000	Merged-chr11-20632117-165
NR53416--MA0493.1.Klf1	chr7	35991264	35991274	+	0.000	0.000	Merged-chr7-35991280-23
NR29426--MA0599.1.KLF5	chr19	4214573	4214582	+	0.000	0.000	Merged-chr19-4214536-81
NR61509--MA0599.1.KLF5	chr9	63758290	63758299	+	0.000	0.000	Merged-chr9-63758205-66
NR4873--MA1107.1.KLF9	chr10	42502065	42502077	+	0.000	0.000	Merged-chr10-42502256-85
NR56981--MA0742.1.Klf12	chr8	19784620	19784634	-	0.000	0.000	Merged-chr8-19784732-63
NR62239--MA0039.3.KLF4	chr9	89209042	89209052	+	0.000	0.000	Merged-chr9-89209095-42
NR50626--MA0599.1.KLF5	chr6	115853412	115853421	+	0.000	0.000	Merged-chr6-115853380-61
NR47562--MA0599.1.KLF5	chr5	139150111	139150120	+	0.000	0.000	Merged-chr5-139150117-104
NR1891--MA0742.1.Klf12	chr1	128570200	128570214	+	0.000	0.000	Merged-chr1-128570257-50
NR9744--MA0741.1.KLF16	chr11	77484085	77484095	+	0.000	0.000	Merged-chr11-77483872-51
NR59996--MA0599.1.KLF5	chr8	124046088	124046097	-	0.000	0.000	Merged-chr8-124045987-6
NR64004--MA0599.1.KLF5	chrX	17572218	17572227	+	0.000	0.000	Merged-chrX-17572112-81
NR43193--MA0493.1.Klf1	chr4	147579467	147579477	-	0.000	0.000	Merged-chr4-147579504-4
NR24441--MA1107.1.KLF9	chr16	95770166	95770178	+	0.000	0.000	Merged-chr16-95769994-72
NR2851--MA0741.1.KLF16	chr1	165091740	165091750	+	0.000	0.000	Merged-chr1-165091937-36
NR42948--MA0741.1.KLF16	chr4	141368361	141368371	-	0.000	0.000	Merged-chr4-141368229-19
NR37732--MA0741.1.KLF16	chr3	97227525	97227535	+	0.000	0.000	Merged-chr3-97227659-93
NR19869--MA0741.1.KLF16	chr15	5244275	5244285	-	0.000	0.000	Merged-chr15-5244344-100
NR11518--MA0740.1.KLF14	chr11	115367229	115367242	-	0.000	0.000	Merged-chr11-115367093-3
NR7010--MA1107.1.KLF9	chr10	111635682	111635694	-	0.000	0.000	Merged-chr10-111635766-22
NR27254--MA0741.1.KLF16	chr17	84119721	84119731	+	0.000	0.000	Merged-chr17-84119713-65
NR45830--MA0599.1.KLF5	chr5	103692354	103692363	-	0.000	0.000	Merged-chr5-103692321-99
NR39237--MA0599.1.KLF5	chr3	146039645	146039654	-	0.000	0.000	Merged-chr3-146039588-29
NR20400--MA0493.1.Klf1	chr15	55097327	55097337	-	0.000	0.000	Merged-chr15-55097336-26
NR39576--MA1107.1.KLF9	chr3	153276305	153276317	+	0.000	0.000	Merged-chr3-153276398-51
NR43780--MA0599.1.KLF5	chr4	155469267	155469276	+	0.000	0.000	Merged-chr4-155469158-19
NR8428--MA0599.1.KLF5	chr11	33147277	33147286	-	0.000	0.000	Merged-chr11-33147241-1
NR48746--MA0599.1.KLF5	chr6	31033161	31033170	+	0.000	0.000	Merged-chr6-31033300-19
NR48716--MA0741.1.KLF16	chr6	29694168	29694178	-	0.000	0.000	Merged-chr6-29694169-43
NR37863--MA0599.1.KLF5	chr3	101748388	101748397	+	0.000	0.000	Merged-chr3-101748481-44
NR33501--MA0741.1.KLF16	chr2	112240503	112240513	+	0.000	0.000	Merged-chr2-112240570-1
NR64276--MA0740.1.KLF14	chrX	56609827	56609840	-	0.000	0.000	Merged-chrX-56609887-66
NR10249--MA0493.1.Klf1	chr11	88620237	88620247	+	0.000	0.000	Merged-chr11-88620334-19
NR1948--MA0741.1.KLF16	chr1	131060528	131060538	-	0.000	0.000	Merged-chr1-131060576-40
NR14742--MA1107.1.KLF9	chr13	13584443	13584455	+	0.000	0.000	Merged-chr13-13584460-6
NR3443--MA1107.1.KLF9	chr1	180484012	180484024	+	0.000	0.000	Merged-chr1-180484030-25
NR36194--MA0039.3.KLF4	chr2	180732238	180732248	-	0.000	0.000	Merged-chr2-180732168-28
NR23575--MA1107.1.KLF9	chr16	50030669	50030681	+	0.000	0.000	Merged-chr16-50030749-51
NR21343--MA0741.1.KLF16	chr15	83205228	83205238	-	0.000	0.000	Merged-chr15-83205313-23
NR14948--MA1107.1.KLF9	chr13	28500931	28500943	+	0.000	0.000	Merged-chr13-28501043-27
NR1730--MA0599.1.KLF5	chr1	119492212	119492221	-	0.000	0.000	Merged-chr1-119492306-30
NR44214--MA0741.1.KLF16	chr5	24423572	24423582	+	0.000	0.000	Merged-chr5-24423684-50
NR21614--MA0741.1.KLF16	chr15	89315364	89315374	-	0.000	0.000	Merged-chr15-89315348-55
NR62494--MA0742.1.Klf12	chr9	101251889	101251903	+	0.000	0.000	Merged-chr9-101251656-72
NR57922--MA0740.1.KLF14	chr8	70158500	70158513	-	0.000	0.000	Merged-chr8-70158595-38
NR59982--MA0493.1.Klf1	chr8	123807255	123807265	-	0.000	0.000	Merged-chr8-123807206-24
NR24572--MA0599.1.KLF5	chr17	3314337	3314346	-	0.000	0.000	Merged-chr17-3314377-47
NR29457--MA0741.1.KLF16	chr19	4625702	4625712	+	0.000	0.000	Merged-chr19-4625607-74
NR1035--MA1107.1.KLF9	chr1	74807218	74807230	-	0.000	0.000	Merged-chr1-74806913-73
NR63454--MA0741.1.KLF16	chr9	119357531	119357541	-	0.000	0.000	Merged-chr9-119357613-43
NR32500--MA0740.1.KLF14	chr2	61655522	61655535	+	0.000	0.000	Merged-chr2-61655630-19
NR14286--MA0493.1.Klf1	chr12	111159875	111159885	+	0.000	0.000	Merged-chr12-111160075-57
NR37172--MA0039.3.KLF4	chr3	84259807	84259817	+	0.000	0.000	Merged-chr3-84259792-61
NR45140--MA0493.1.Klf1	chr5	72844495	72844505	+	0.000	0.000	Merged-chr5-72844506-23
NR14962--MA0493.1.Klf1	chr13	28762742	28762752	-	0.000	0.000	Merged-chr13-28762755-10
NR45275--MA0599.1.KLF5	chr5	76184458	76184467	-	0.000	0.000	Merged-chr5-76184561-3
NR17672--MA0493.1.Klf1	chr14	25505126	25505136	-	0.000	0.000	Merged-chr14-25505314-24
NR40031--MA0493.1.Klf1	chr4	32250332	32250342	-	0.000	0.000	Merged-chr4-32250559-148
NR25550--MA0599.1.KLF5	chr17	28801762	28801771	+	0.000	0.000	Merged-chr17-28801769-11
NR11138--MA0599.1.KLF5	chr11	106919709	106919718	+	0.000	0.000	Merged-chr11-106919659-9
NR19296--MA1107.1.KLF9	chr14	101879180	101879192	+	0.000	0.000	Merged-chr14-101879110-69
NR46417--MA0741.1.KLF16	chr5	115506642	115506652	-	0.000	0.000	Merged-chr5-115506705-56
NR13339--MA0741.1.KLF16	chr12	84114226	84114236	-	0.000	0.000	Merged-chr12-84114389-28
NR52993--MA0741.1.KLF16	chr7	28451728	28451738	-	0.000	0.000	Merged-chr7-28452002-19
NR51164--MA1107.1.KLF9	chr6	128796630	128796642	-	0.000	0.000	Merged-chr6-128796510-47
NR11388--MA0741.1.KLF16	chr11	113009481	113009491	+	0.000	0.000	Merged-chr11-113009621-13
NR26067--MA0599.1.KLF5	chr17	36951653	36951662	+	0.000	0.000	Merged-chr17-36951560-75
NR9670--MA0599.1.KLF5	chr11	75654231	75654240	-	0.000	0.000	Merged-chr11-75654262-32
NR36676--MA0742.1.Klf12	chr3	41083260	41083274	-	0.000	0.000	Merged-chr3-41083179-113
NR7697--MA0741.1.KLF16	chr10	127668350	127668360	-	0.000	0.000	Merged-chr10-127668367-39
NR62417--MA0742.1.Klf12	chr9	98601817	98601831	+	0.000	0.000	Merged-chr9-98601620-54
NR47875--MA0493.1.Klf1	chr5	142701314	142701324	-	0.000	0.000	Merged-chr5-142701333-1
NR39115--MA1107.1.KLF9	chr3	142882208	142882220	+	0.000	0.000	Merged-chr3-142881954-134
NR52018--MA0599.1.KLF5	chr6	147091486	147091495	-	0.000	0.000	Merged-chr6-147091623-77
NR27634--MA0741.1.KLF16	chr18	12236554	12236564	+	0.000	0.000	Merged-chr18-12236569-102
NR21288--MA1107.1.KLF9	chr15	81968777	81968789	-	0.000	0.000	Merged-chr15-81968524-13
NR50644--MA0599.1.KLF5	chr6	116337891	116337900	+	0.000	0.000	Merged-chr6-116338041-63
NR3466--MA0741.1.KLF16	chr1	180568873	180568883	+	0.000	0.000	Merged-chr1-180569049-54
NR23329--MA1107.1.KLF9	chr16	36041237	36041249	-	0.000	0.000	Merged-chr16-36041234-57
NR14902--MA0742.1.Klf12	chr13	23701267	23701281	-	0.000	0.000	Merged-chr13-23701211-46
NR38520--MA0740.1.KLF14	chr3	123508511	123508524	-	0.000	0.000	Merged-chr3-123508551-84
NR31874--MA0493.1.Klf1	chr2	32166597	32166607	-	0.000	0.000	Merged-chr2-32166737-9
NR22285--MA0599.1.KLF5	chr15	100914885	100914894	+	0.000	0.000	Merged-chr15-100915024-15
NR6128--MA0741.1.KLF16	chr10	81230821	81230831	-	0.000	0.000	Merged-chr10-81230614-44
NR23403--MA0741.1.KLF16	chr16	38341878	38341888	-	0.000	0.000	Merged-chr16-38341800-18
NR10733--MA0599.1.KLF5	chr11	98959601	98959610	-	0.000	0.000	Merged-chr11-98959702-39
NR18582--MA0741.1.KLF16	chr14	62342653	62342663	-	0.000	0.000	Merged-chr14-62342844-35
NR38315--MA0740.1.KLF14	chr3	116808262	116808275	+	0.000	0.000	Merged-chr3-116808199-73
NR46793--MA0039.3.KLF4	chr5	123512322	123512332	+	0.000	0.000	Merged-chr5-123512374-9
NR33149--MA1107.1.KLF9	chr2	91078504	91078516	-	0.000	0.000	Merged-chr2-91078502-21
NR45109--MA0493.1.Klf1	chr5	72182961	72182971	-	0.000	0.000	Merged-chr5-72182927-44
NR49602--MA1107.1.KLF9	chr6	72552822	72552834	-	0.000	0.000	Merged-chr6-72552853-56
NR36545--MA0599.1.KLF5	chr3	34020021	34020030	+	0.000	0.000	Merged-chr3-34020074-110
NR171--MA0599.1.KLF5	chr1	21079358	21079367	+	0.000	0.000	Merged-chr1-21079276-92
NR3480--MA0599.1.KLF5	chr1	180936895	180936904	-	0.000	0.000	Merged-chr1-180936862-28
NR64209--MA1107.1.KLF9	chrX	48433392	48433404	+	0.000	0.000	Merged-chrX-48433621-61
NR59647--MA0599.1.KLF5	chr8	120276508	120276517	-	0.000	0.000	Merged-chr8-120276586-37
NR55036--MA0741.1.KLF16	chr7	107748003	107748013	-	0.000	0.000	Merged-chr7-107748177-29
NR16134--MA1107.1.KLF9	chr13	80885656	80885668	-	0.000	0.000	Merged-chr13-80885729-117
NR14622--MA0741.1.KLF16	chr13	3637074	3637084	+	0.000	0.000	Merged-chr13-3636993-50
NR43520--MA0493.1.Klf1	chr4	151996279	151996289	-	0.000	0.000	Merged-chr4-151996356-68
NR15366--MA0039.3.KLF4	chr13	49248225	49248235	+	0.000	0.000	Merged-chr13-49248043-74
NR55278--MA0493.1.Klf1	chr7	114276178	114276188	-	0.000	0.000	Merged-chr7-114276213-86
NR60989--MA0742.1.Klf12	chr9	44646210	44646224	+	0.000	0.000	Merged-chr9-44646194-52
NR23469--MA0599.1.KLF5	chr16	44875296	44875305	+	0.000	0.000	Merged-chr16-44875362-12
NR7420--MA0742.1.Klf12	chr10	121420262	121420276	+	0.000	0.000	Merged-chr10-121420246-43
NR12586--MA0599.1.KLF5	chr12	36042523	36042532	+	0.000	0.000	Merged-chr12-36042318-87
NR39922--MA0599.1.KLF5	chr4	15945419	15945428	-	0.000	0.000	Merged-chr4-15945326-46
NR58664--MA0493.1.Klf1	chr8	91134039	91134049	+	0.000	0.000	Merged-chr8-91133941-78
NR30453--MA0740.1.KLF14	chr19	44931113	44931126	+	0.000	0.000	Merged-chr19-44931219-83
NR55297--MA0742.1.Klf12	chr7	115495322	115495336	+	0.000	0.000	Merged-chr7-115495056-66
NR55198--MA0599.1.KLF5	chr7	111781970	111781979	-	0.000	0.000	Merged-chr7-111782187-19
NR34813--MA0599.1.KLF5	chr2	151702502	151702511	-	0.000	0.000	Merged-chr2-151702413-39
NR33369--MA0493.1.Klf1	chr2	103485175	103485185	+	0.000	0.000	Merged-chr2-103485172-63
NR38599--MA0741.1.KLF16	chr3	127553428	127553438	-	0.000	0.000	Merged-chr3-127553183-75
NR29350--MA0599.1.KLF5	chr19	3575829	3575838	+	0.000	0.000	Merged-chr19-3575906-73
NR30146--MA0742.1.Klf12	chr19	32712358	32712372	+	0.000	0.000	Merged-chr19-32712408-94
NR15963--MA0599.1.KLF5	chr13	69611738	69611747	+	0.000	0.000	Merged-chr13-69611588-99
NR28836--MA0740.1.KLF14	chr18	74442310	74442323	-	0.000	0.000	Merged-chr18-74442456-61
NR8995--MA0039.3.KLF4	chr11	58239268	58239278	+	0.000	0.000	Merged-chr11-58239488-46
NR24312--MA0493.1.Klf1	chr16	94289935	94289945	-	0.000	0.000	Merged-chr16-94290109-67
NR50756--MA0599.1.KLF5	chr6	119848159	119848168	+	0.000	0.000	Merged-chr6-119848153-79
NR9757--MA0741.1.KLF16	chr11	77513370	77513380	+	0.000	0.000	Merged-chr11-77513241-55
NR13145--MA0740.1.KLF14	chr12	75818294	75818307	-	0.000	0.000	Merged-chr12-75818494-81
NR18505--MA0741.1.KLF16	chr14	61427373	61427383	+	0.000	0.000	Merged-chr14-61427434-25
NR44839--MA0599.1.KLF5	chr5	62752588	62752597	+	0.000	0.000	Merged-chr5-62752460-91
NR52502--MA0741.1.KLF16	chr7	17051269	17051279	-	0.000	0.000	Merged-chr7-17051285-27
NR16554--MA0741.1.KLF16	chr13	100015685	100015695	+	0.000	0.000	Merged-chr13-100015738-57
NR18971--MA0742.1.Klf12	chr14	75787115	75787129	+	0.000	0.000	Merged-chr14-75786967-70
NR64473--MA1107.1.KLF9	chrX	85871873	85871885	-	0.000	0.000	Merged-chrX-85871800-21
NR37950--MA0741.1.KLF16	chr3	103927744	103927754	-	0.000	0.000	Merged-chr3-103927636-31
NR33741--MA0599.1.KLF5	chr2	118861936	118861945	+	0.000	0.000	Merged-chr2-118861899-53
NR27472--MA0741.1.KLF16	chr17	87602379	87602389	+	0.000	0.000	Merged-chr17-87602344-31
NR45499--MA0599.1.KLF5	chr5	92042784	92042793	+	0.000	0.000	Merged-chr5-92042823-70
NR17886--MA0039.3.KLF4	chr14	33099322	33099332	+	0.000	0.000	Merged-chr14-33099452-34
NR37745--MA0741.1.KLF16	chr3	97658193	97658203	-	0.000	0.000	Merged-chr3-97658299-79
NR59633--MA0493.1.Klf1	chr8	120114011	120114021	-	0.000	0.000	Merged-chr8-120114148-66
NR27743--MA0741.1.KLF16	chr18	23843577	23843587	+	0.000	0.000	Merged-chr18-23843567-42
NR40615--MA0741.1.KLF16	chr4	52438971	52438981	-	0.000	0.000	Merged-chr4-52439085-87
NR11021--MA0493.1.Klf1	chr11	103344753	103344763	-	0.000	0.000	Merged-chr11-103344829-56
NR5526--MA0741.1.KLF16	chr10	75517403	75517413	+	0.000	0.000	Merged-chr10-75517574-101
NR22378--MA1107.1.KLF9	chr15	102234200	102234212	+	0.000	0.000	Merged-chr15-102234091-17
NR27538--MA0741.1.KLF16	chr17	88668598	88668608	+	0.000	0.000	Merged-chr17-88668603-31
NR48663--MA0741.1.KLF16	chr6	28878194	28878204	-	0.000	0.000	Merged-chr6-28878211-33
NR30137--MA0741.1.KLF16	chr19	32387979	32387989	+	0.000	0.000	Merged-chr19-32388357-80
NR12891--MA0740.1.KLF14	chr12	65258705	65258718	-	0.000	0.000	Merged-chr12-65258774-28
NR12323--MA0741.1.KLF16	chr12	20614954	20614964	+	0.000	0.000	Merged-chr12-20615080-62
NR5992--MA0742.1.Klf12	chr10	80539225	80539239	-	0.000	0.000	Merged-chr10-80539129-37
NR30408--MA0741.1.KLF16	chr19	43524728	43524738	-	0.000	0.000	Merged-chr19-43524654-33
NR19857--MA0599.1.KLF5	chr15	5116466	5116475	-	0.000	0.000	Merged-chr15-5116701-74
NR20498--MA0740.1.KLF14	chr15	58595075	58595088	+	0.000	0.000	Merged-chr15-58595150-15
NR38727--MA0741.1.KLF16	chr3	130788190	130788200	-	0.000	0.000	Merged-chr3-130788036-10
NR12492--MA0599.1.KLF5	chr12	32017822	32017831	+	0.000	0.000	Merged-chr12-32017895-23
NR57225--MA0493.1.Klf1	chr8	33636669	33636679	+	0.000	0.000	Merged-chr8-33636764-22
NR62690--MA0741.1.KLF16	chr9	106438462	106438472	+	0.000	0.000	Merged-chr9-106438400-53
NR3234--MA0599.1.KLF5	chr1	175692817	175692826	+	0.000	0.000	Merged-chr1-175692845-123
NR13034--MA0741.1.KLF16	chr12	71309736	71309746	-	0.000	0.000	Merged-chr12-71309948-65
NR43809--MA0742.1.Klf12	chr4	155774591	155774605	+	0.000	0.000	Merged-chr4-155774656-37
NR32606--MA0493.1.Klf1	chr2	69135808	69135818	+	0.000	0.000	Merged-chr2-69135944-40
NR57821--MA0599.1.KLF5	chr8	68062499	68062508	+	0.000	0.000	Merged-chr8-68062355-69
NR21356--MA0741.1.KLF16	chr15	83367414	83367424	+	0.000	0.000	Merged-chr15-83367311-32
NR31314--MA1107.1.KLF9	chr2	13793560	13793572	+	0.000	0.000	Merged-chr2-13793433-83
NR26266--MA0740.1.KLF14	chr17	46967126	46967139	+	0.000	0.000	Merged-chr17-46967168-48
NR58696--MA0599.1.KLF5	chr8	93810273	93810282	-	0.000	0.000	Merged-chr8-93810346-59
NR21929--MA0493.1.Klf1	chr15	96700388	96700398	+	0.000	0.000	Merged-chr15-96700302-2
NR39948--MA0741.1.KLF16	chr4	19709001	19709011	+	0.000	0.000	Merged-chr4-19709077-75
NR2098--MA0740.1.KLF14	chr1	134415337	134415350	-	0.000	0.000	Merged-chr1-134415467-59
NR29668--MA0599.1.KLF5	chr19	7383102	7383111	+	0.000	0.000	Merged-chr19-7383004-64
NR64040--MA0599.1.KLF5	chrX	20775831	20775840	+	0.000	0.000	Merged-chrX-20775787-26
NR55113--MA0740.1.KLF14	chr7	109781637	109781650	+	0.000	0.000	Merged-chr7-109781592-85
NR9660--MA1107.1.KLF9	chr11	75410448	75410460	+	0.000	0.000	Merged-chr11-75410293-22
NR50869--MA0741.1.KLF16	chr6	122801459	122801469	-	0.000	0.000	Merged-chr6-122801699-111
NR15174--MA1107.1.KLF9	chr13	38528524	38528536	+	0.000	0.000	Merged-chr13-38528691-1
NR53162--MA0740.1.KLF14	chr7	30072659	30072672	+	0.000	0.000	Merged-chr7-30072642-62
NR12846--MA0741.1.KLF16	chr12	55836370	55836380	-	0.000	0.000	Merged-chr12-55836489-75
NR16171--MA0599.1.KLF5	chr13	81657951	81657960	-	0.000	0.000	Merged-chr13-81657975-90
NR38952--MA1107.1.KLF9	chr3	135579483	135579495	-	0.000	0.000	Merged-chr3-135579457-44
NR267--MA0657.1.KLF13	chr1	33883602	33883619	+	0.000	0.000	Merged-chr1-33883578-48
NR23493--MA0741.1.KLF16	chr16	45742984	45742994	-	0.000	0.000	Merged-chr16-45742884-57
NR20502--MA0741.1.KLF16	chr15	58595066	58595076	+	0.000	0.000	Merged-chr15-58595150-15
NR64021--MA1107.1.KLF9	chrX	20425449	20425461	-	0.000	0.000	Merged-chrX-20425271-1,Merged-chrX-20425670-73
NR32399--MA0039.3.KLF4	chr2	58357779	58357789	+	0.000	0.000	Merged-chr2-58357773-63
NR23764--MA0741.1.KLF16	chr16	62847036	62847046	+	0.000	0.000	Merged-chr16-62846958-66
NR59233--MA0741.1.KLF16	chr8	111034093	111034103	+	0.000	0.000	Merged-chr8-111033975-55
NR28390--MA0599.1.KLF5	chr18	60753805	60753814	+	0.000	0.000	Merged-chr18-60753803-11
NR28198--MA0740.1.KLF14	chr18	46597706	46597719	-	0.000	0.000	Merged-chr18-46597780-100
NR23559--MA0741.1.KLF16	chr16	49959204	49959214	+	0.000	0.000	Merged-chr16-49959222-29
NR9595--MA0741.1.KLF16	chr11	74723874	74723884	-	0.000	0.000	Merged-chr11-74724086-135
NR44955--MA0741.1.KLF16	chr5	65435839	65435849	+	0.000	0.000	Merged-chr5-65436020-62
NR44717--MA1107.1.KLF9	chr5	45493317	45493329	+	0.000	0.000	Merged-chr5-45493482-59
NR57051--MA0599.1.KLF5	chr8	22701595	22701604	+	0.000	0.000	Merged-chr8-22701538-39
NR23272--MA0599.1.KLF5	chr16	33584118	33584127	+	0.000	0.000	Merged-chr16-33584365-76
NR29056--MA0741.1.KLF16	chr18	80200699	80200709	-	0.000	0.000	Merged-chr18-80200692-56
NR52731--MA0657.1.KLF13	chr7	24628964	24628981	+	0.000	0.000	Merged-chr7-24629039-26
NR1017--MA0039.3.KLF4	chr1	74570563	74570573	+	0.000	0.000	Merged-chr1-74570528-25
NR46589--MA0599.1.KLF5	chr5	120577136	120577145	+	0.000	0.000	Merged-chr5-120577035-13
NR19325--MA0741.1.KLF16	chr14	103070197	103070207	+	0.000	0.000	Merged-chr14-103070212-78
NR29654--MA0493.1.Klf1	chr19	7241237	7241247	+	0.000	0.000	Merged-chr19-7241194-51
NR9718--MA0039.3.KLF4	chr11	76791507	76791517	-	0.000	0.000	Merged-chr11-76791431-20
NR12585--MA1107.1.KLF9	chr12	35770598	35770610	+	0.000	0.000	Merged-chr12-35770526-40
NR23253--MA1107.1.KLF9	chr16	33251679	33251691	-	0.000	0.000	Merged-chr16-33251512-95
NR3955--MA0741.1.KLF16	chr1	191802752	191802762	-	0.000	0.000	Merged-chr1-191802759-25
NR14626--MA1107.1.KLF9	chr13	3917955	3917967	-	0.000	0.000	Merged-chr13-3918065-66
NR24330--MA0493.1.Klf1	chr16	94371050	94371060	-	0.000	0.000	Merged-chr16-94371065-139
NR48838--MA0741.1.KLF16	chr6	35252648	35252658	-	0.000	0.000	Merged-chr6-35252866-79
NR25664--MA0740.1.KLF14	chr17	31456837	31456850	-	0.000	0.000	Merged-chr17-31456921-12
NR44722--MA0493.1.Klf1	chr5	45669764	45669774	+	0.000	0.000	Merged-chr5-45669606-116
NR24250--MA0599.1.KLF5	chr16	93683181	93683190	-	0.000	0.000	Merged-chr16-93683048-46
NR35472--MA1107.1.KLF9	chr2	165983254	165983266	-	0.000	0.000	Merged-chr2-165983267-1
NR59182--MA0740.1.KLF14	chr8	110217830	110217843	-	0.000	0.000	Merged-chr8-110217807-69
NR59453--MA0740.1.KLF14	chr8	116645532	116645545	-	0.000	0.000	Merged-chr8-116645599-31
NR46855--MA0740.1.KLF14	chr5	124446142	124446155	-	0.000	0.000	Merged-chr5-124446268-1
NR65190--MA0741.1.KLF16	chrY	1010543	1010553	+	0.000	0.000	Merged-chrY-1010379-42
NR21465--MA0741.1.KLF16	chr15	85710508	85710518	-	0.000	0.000	Merged-chr15-85710376-29
NR31646--MA0493.1.Klf1	chr2	28517505	28517515	-	0.000	0.000	Merged-chr2-28517592-38
NR64838--MA0742.1.Klf12	chrX	152016297	152016311	-	0.000	0.000	Merged-chrX-152016475-78
NR41237--MA1107.1.KLF9	chr4	101217158	101217170	+	0.000	0.000	Merged-chr4-101217167-64
NR36919--MA0740.1.KLF14	chr3	61002698	61002711	+	0.000	0.000	Merged-chr3-61002853-90
NR25792--MA0599.1.KLF5	chr17	33843178	33843187	-	0.000	0.000	Merged-chr17-33843273-52
NR23473--MA0493.1.Klf1	chr16	45389937	45389947	+	0.000	0.000	Merged-chr16-45389886-49
