#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Prdm1/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed
NR540--MA0508.2.PRDM1	chr12	76886919	76886928	-	0.000	0.000	Merged-chr12-76886981-34
NR1430--MA0508.2.PRDM1	chr2	46302686	46302695	+	0.000	0.000	Merged-chr2-46302794-23
NR792--MA0508.2.PRDM1	chr14	10368281	10368290	-	0.000	0.000	Merged-chr14-10368196-11
NR1477--MA0508.2.PRDM1	chr2	78860102	78860111	+	0.000	0.000	Merged-chr2-78860154-39
NR920--MA0508.2.PRDM1	chr15	9529675	9529684	+	0.000	0.000	Merged-chr15-9529844-37
NR1063--MA0508.2.PRDM1	chr16	52067986	52067995	+	0.000	0.000	Merged-chr16-52068153-48
NR933--MA0508.2.PRDM1	chr15	25216734	25216743	-	0.000	0.000	Merged-chr15-25216736-38
NR2630--MA0508.2.PRDM1	chr9	62349517	62349526	-	0.000	0.000	Merged-chr9-62349502-36
NR1185--MA0508.2.PRDM1	chr17	63404308	63404317	+	0.000	0.000	Merged-chr17-63404255-16
NR1456--MA0508.2.PRDM1	chr2	59364704	59364713	-	0.000	0.000	Merged-chr2-59364601-33
NR1727--MA0508.2.PRDM1	chr3	106974651	106974660	+	0.000	0.000	Merged-chr3-106974504-27
NR74--MA0508.2.PRDM1	chr1	69350753	69350762	-	0.000	0.000	Merged-chr1-69350557-1
NR1151--MA0508.2.PRDM1	chr17	32528916	32528925	+	0.000	0.000	Merged-chr17-32528790-45
NR1198--MA0508.2.PRDM1	chr17	74753455	74753464	-	0.000	0.000	Merged-chr17-74753393-19
NR1469--MA0508.2.PRDM1	chr2	70933397	70933406	+	0.000	0.000	Merged-chr2-70933304-29
NR40--MA0508.2.PRDM1	chr1	38777796	38777805	-	0.000	0.000	Merged-chr1-38777708-41
NR641--MA0508.2.PRDM1	chr13	36366500	36366509	-	0.000	0.000	Merged-chr13-36366469-31
NR750--MA0508.2.PRDM1	chr13	108044469	108044478	+	0.000	0.000	Merged-chr13-108044472-63
NR1164--MA0508.2.PRDM1	chr17	42887604	42887613	+	0.000	0.000	Merged-chr17-42887503-23
NR1706--MA0508.2.PRDM1	chr3	83987959	83987968	-	0.000	0.000	Merged-chr3-83987942-35
NR53--MA0508.2.PRDM1	chr1	51572857	51572866	-	0.000	0.000	Merged-chr1-51572755-47
NR1544--MA0508.2.PRDM1	chr2	132643448	132643457	+	0.000	0.000	Merged-chr2-132643452-47
NR1068--MA0508.2.PRDM1	chr16	55637018	55637027	+	0.000	0.000	Merged-chr16-55636906-56
NR1339--MA0508.2.PRDM1	chr19	8518392	8518401	-	0.000	0.000	Merged-chr19-8518636-102
NR110--MA0508.2.PRDM1	chr1	106647497	106647506	-	0.000	0.000	Merged-chr1-106647524-44
NR1000--MA0508.2.PRDM1	chr15	96345068	96345077	-	0.000	0.000	Merged-chr15-96345150-30
NR1666--MA0508.2.PRDM1	chr3	51559774	51559783	-	0.000	0.000	Merged-chr3-51559853-4
NR1937--MA0508.2.PRDM1	chr4	86722002	86722011	-	0.000	0.000	Merged-chr4-86721990-52
NR1299--MA0508.2.PRDM1	chr18	64931242	64931251	-	0.000	0.000	Merged-chr18-64931407-12
NR1156--MA0508.2.PRDM1	chr17	34201879	34201888	-	0.000	0.000	Merged-chr17-34201999-10
NR2582--MA0508.2.PRDM1	chr8	126833020	126833029	+	0.000	0.000	Merged-chr8-126833007-101
NR1122--MA0508.2.PRDM1	chr17	7892787	7892796	+	0.000	0.000	Merged-chr17-7892904-34
NR484--MA0508.2.PRDM1	chr12	25256455	25256464	+	0.000	0.000	Merged-chr12-25256439-11
NR1169--MA0508.2.PRDM1	chr17	48316139	48316148	+	0.000	0.000	Merged-chr17-48316195-8
NR612--MA0508.2.PRDM1	chr13	14063585	14063594	+	0.000	0.000	Merged-chr13-14063519-130
NR2452--MA0508.2.PRDM1	chr7	107664528	107664537	+	0.000	0.000	Merged-chr7-107664561-57
NR58--MA0508.2.PRDM1	chr1	53909310	53909319	-	0.000	0.000	Merged-chr1-53909307-13
NR1406--MA0508.2.PRDM1	chr2	29622699	29622708	+	0.000	0.000	Merged-chr2-29622559-44
NR2290--MA0508.2.PRDM1	chr6	99429528	99429537	+	0.000	0.000	Merged-chr6-99429692-1
NR1387--MA0508.2.PRDM1	chr2	14879817	14879826	-	0.000	0.000	Merged-chr2-14879911-6
NR24--MA0508.2.PRDM1	chr1	20912552	20912561	-	0.000	0.000	Merged-chr1-20912686-65
NR1496--MA0508.2.PRDM1	chr2	90890289	90890298	+	0.000	0.000	Merged-chr2-90890259-1
NR986--MA0508.2.PRDM1	chr15	73629818	73629827	-	0.000	0.000	Merged-chr15-73629813-13
NR1005--MA0508.2.PRDM1	chr15	98623492	98623501	-	0.000	0.000	Merged-chr15-98623504-45
NR2683--MA0508.2.PRDM1	chr9	106752241	106752250	-	0.000	0.000	Merged-chr9-106752260-31
NR952--MA0508.2.PRDM1	chr15	39905283	39905292	-	0.000	0.000	Merged-chr15-39905299-27
NR333--MA0508.2.PRDM1	chr10	84070520	84070529	-	0.000	0.000	Merged-chr10-84070351-2
NR999--MA0508.2.PRDM1	chr15	94255282	94255291	+	0.000	0.000	Merged-chr15-94255177-46
NR1018--MA0508.2.PRDM1	chr16	10769881	10769890	+	0.000	0.000	Merged-chr16-10769811-36
NR965--MA0508.2.PRDM1	chr15	50694151	50694160	+	0.000	0.000	Merged-chr15-50694314-20
NR1507--MA0508.2.PRDM1	chr2	105021926	105021935	-	0.000	0.000	Merged-chr2-105022109-54
NR1488--MA0508.2.PRDM1	chr2	84660553	84660562	-	0.000	0.000	Merged-chr2-84660480-32
NR1597--MA0508.2.PRDM1	chr2	174932755	174932764	+	0.000	0.000	Merged-chr2-174932867-47
NR2532--MA0508.2.PRDM1	chr8	61283285	61283294	-	0.000	0.000	Merged-chr8-61283229-50
NR739--MA0508.2.PRDM1	chr13	105266985	105266994	+	0.000	0.000	Merged-chr13-105266881-21
NR577--MA0508.2.PRDM1	chr12	112130380	112130389	+	0.000	0.000	Merged-chr12-112130474-63
NR848--MA0508.2.PRDM1	chr14	64688869	64688878	+	0.000	0.000	Merged-chr14-64688922-18
NR163--MA0508.2.PRDM1	chr1	152010419	152010428	-	0.000	0.000	Merged-chr1-152010502-52
NR2383--MA0508.2.PRDM1	chr7	19573482	19573491	+	0.000	0.000	Merged-chr7-19573361-57
NR795--MA0508.2.PRDM1	chr14	11997994	11998003	-	0.000	0.000	Merged-chr14-11997983-1
NR1337--MA0508.2.PRDM1	chr19	6869651	6869660	+	0.000	0.000	Merged-chr19-6869528-29
NR304--MA0508.2.PRDM1	chr10	59974387	59974396	+	0.000	0.000	Merged-chr10-59974606-81
NR631--MA0508.2.PRDM1	chr13	23574209	23574218	+	0.000	0.000	Merged-chr13-23574347-69
NR1297--MA0508.2.PRDM1	chr18	61638217	61638226	+	0.000	0.000	Merged-chr18-61638222-61
NR2580--MA0508.2.PRDM1	chr8	123162984	123162993	+	0.000	0.000	Merged-chr8-123163099-40
NR2503--MA0508.2.PRDM1	chr8	25132731	25132740	+	0.000	0.000	Merged-chr8-25132757-32
NR2070--MA0508.2.PRDM1	chr5	31918817	31918826	-	0.000	0.000	Merged-chr5-31918818-43
NR2612--MA0508.2.PRDM1	chr9	30423285	30423294	+	0.000	0.000	Merged-chr9-30423278-2
NR819--MA0508.2.PRDM1	chr14	36932209	36932218	+	0.000	0.000	Merged-chr14-36932132-23
NR405--MA0508.2.PRDM1	chr11	5296652	5296661	+	0.000	0.000	Merged-chr11-5296760-21
NR352--MA0508.2.PRDM1	chr10	94829520	94829529	-	0.000	0.000	Merged-chr10-94829610-38
NR2734--MA0508.2.PRDM1	chrX	159626349	159626358	-	0.000	0.000	Merged-chrX-159626513-14
NR875--MA0508.2.PRDM1	chr14	89826978	89826987	+	0.000	0.000	Merged-chr14-89826834-10
NR474--MA0508.2.PRDM1	chr12	12172580	12172589	-	0.000	0.000	Merged-chr12-12172464-29
NR745--MA0508.2.PRDM1	chr13	106691992	106692001	+	0.000	0.000	Merged-chr13-106691961-50
NR331--MA0508.2.PRDM1	chr10	81350415	81350424	+	0.000	0.000	Merged-chr10-81350595-59
NR2442--MA0508.2.PRDM1	chr7	100449015	100449024	+	0.000	0.000	Merged-chr7-100449076-60
NR2551--MA0508.2.PRDM1	chr8	83741267	83741276	-	0.000	0.000	Merged-chr8-83741278-35
NR487--MA0508.2.PRDM1	chr12	28699887	28699896	+	0.000	0.000	Merged-chr12-28699931-23
NR2312--MA0508.2.PRDM1	chr6	121241940	121241949	-	0.000	0.000	Merged-chr6-121242053-23
NR248--MA0508.2.PRDM1	chr10	19168063	19168072	+	0.000	0.000	Merged-chr10-19167953-53
NR105--MA0508.2.PRDM1	chr1	98589842	98589851	+	0.000	0.000	Merged-chr1-98589738-39
NR2468--MA0508.2.PRDM1	chr7	122932333	122932342	-	0.000	0.000	Merged-chr7-122932357-26
NR2272--MA0508.2.PRDM1	chr6	82921955	82921964	-	0.000	0.000	Merged-chr6-82922037-57
NR2176--MA0508.2.PRDM1	chr5	140871436	140871445	+	0.000	0.000	Merged-chr5-140871418-38
NR2718--MA0508.2.PRDM1	chrX	102464157	102464166	+	0.000	0.000	Merged-chrX-102464174-20
NR349--MA0508.2.PRDM1	chr10	93453449	93453458	-	0.000	0.000	Merged-chr10-93453277-72
NR187--MA0508.2.PRDM1	chr1	173420451	173420460	+	0.000	0.000	Merged-chr1-173420566-40
NR458--MA0508.2.PRDM1	chr11	111792091	111792100	+	0.000	0.000	Merged-chr11-111792002-31
NR2298--MA0508.2.PRDM1	chr6	107015774	107015783	-	0.000	0.000	Merged-chr6-107015633-1
NR2155--MA0508.2.PRDM1	chr5	105495369	105495378	+	0.000	0.000	Merged-chr5-105495544-71
NR2678--MA0508.2.PRDM1	chr9	101099660	101099669	+	0.000	0.000	Merged-chr9-101099532-8
NR328--MA0508.2.PRDM1	chr10	79417332	79417341	-	0.000	0.000	Merged-chr10-79417442-89
NR2373--MA0508.2.PRDM1	chr7	6343580	6343589	+	0.000	0.000	Merged-chr7-6343741-28
NR166--MA0508.2.PRDM1	chr1	154786475	154786484	+	0.000	0.000	Merged-chr1-154786384-57
NR437--MA0508.2.PRDM1	chr11	71991749	71991758	-	0.000	0.000	Merged-chr11-71991697-3
NR1771--MA0508.2.PRDM1	chr3	138542900	138542909	+	0.000	0.000	Merged-chr3-138542669-46
NR1532--MA0508.2.PRDM1	chr2	117358210	117358219	+	0.000	0.000	Merged-chr2-117358189-8
NR1893--MA0508.2.PRDM1	chr4	57813604	57813613	-	0.000	0.000	Merged-chr4-57813680-42
NR2527--MA0508.2.PRDM1	chr8	57749557	57749566	-	0.000	0.000	Merged-chr8-57749718-8
NR2113--MA0508.2.PRDM1	chr5	63766920	63766929	+	0.000	0.000	Merged-chr5-63767035-24
NR2365--MA0508.2.PRDM1	chr6	145285860	145285869	+	0.000	0.000	Merged-chr6-145285757-35
NR2636--MA0508.2.PRDM1	chr9	77806872	77806881	+	0.000	0.000	Merged-chr9-77806830-39
NR538--MA0508.2.PRDM1	chr12	76752972	76752981	+	0.000	0.000	Merged-chr12-76753055-50
NR2073--MA0508.2.PRDM1	chr5	36996853	36996862	-	0.000	0.000	Merged-chr5-36996710-15
NR137--MA0508.2.PRDM1	chr1	138559838	138559847	-	0.000	0.000	Merged-chr1-138559796-44
NR1471--MA0508.2.PRDM1	chr2	71866729	71866738	-	0.000	0.000	Merged-chr2-71866752-47
NR1232--MA0508.2.PRDM1	chr18	11883434	11883443	-	0.000	0.000	Merged-chr18-11883419-27
NR2009--MA0508.2.PRDM1	chr4	148998232	148998241	+	0.000	0.000	Merged-chr4-148998288-20
NR1612--MA0508.2.PRDM1	chr3	8718383	8718392	+	0.000	0.000	Merged-chr3-8718167-60
NR1973--MA0508.2.PRDM1	chr4	128728608	128728617	-	0.000	0.000	Merged-chr4-128728655-13
NR1102--MA0508.2.PRDM1	chr16	84982725	84982734	+	0.000	0.000	Merged-chr16-84982791-18
NR1211--MA0508.2.PRDM1	chr17	84018935	84018944	-	0.000	0.000	Merged-chr17-84018962-14
NR1192--MA0508.2.PRDM1	chr17	69401401	69401410	-	0.000	0.000	Merged-chr17-69401476-24
NR2174--MA0508.2.PRDM1	chr5	139368037	139368046	+	0.000	0.000	Merged-chr5-139368071-16
NR81--MA0508.2.PRDM1	chr1	76754996	76755005	+	0.000	0.000	Merged-chr1-76755045-2
NR2349--MA0508.2.PRDM1	chr6	140308248	140308257	+	0.000	0.000	Merged-chr6-140308190-9
NR1062--MA0508.2.PRDM1	chr16	51705264	51705273	+	0.000	0.000	Merged-chr16-51705241-52
NR1333--MA0508.2.PRDM1	chr19	4114059	4114068	+	0.000	0.000	Merged-chr19-4113915-47
NR1585--MA0508.2.PRDM1	chr2	168230535	168230544	+	0.000	0.000	Merged-chr2-168230468-122
NR1508--MA0508.2.PRDM1	chr2	106003263	106003272	+	0.000	0.000	Merged-chr2-106003306-49
NR1965--MA0508.2.PRDM1	chr4	109102845	109102854	+	0.000	0.000	Merged-chr4-109102857-48
NR1726--MA0508.2.PRDM1	chr3	103466067	103466076	-	0.000	0.000	Merged-chr3-103466121-19
NR2166--MA0508.2.PRDM1	chr5	122422482	122422491	+	0.000	0.000	Merged-chr5-122422317-77
NR802--MA0508.2.PRDM1	chr14	16434335	16434344	-	0.000	0.000	Merged-chr14-16434532-15
NR1944--MA0508.2.PRDM1	chr4	88692666	88692675	+	0.000	0.000	Merged-chr4-88692699-24
NR1163--MA0508.2.PRDM1	chr17	42887544	42887553	-	0.000	0.000	Merged-chr17-42887503-23
NR1705--MA0508.2.PRDM1	chr3	81926125	81926134	+	0.000	0.000	Merged-chr3-81925986-23
NR1686--MA0508.2.PRDM1	chr3	71564229	71564238	+	0.000	0.000	Merged-chr3-71564100-40
NR762--MA0508.2.PRDM1	chr13	111656019	111656028	+	0.000	0.000	Merged-chr13-111655949-74
NR1033--MA0508.2.PRDM1	chr16	21836808	21836817	+	0.000	0.000	Merged-chr16-21836791-13
NR1827--MA0508.2.PRDM1	chr3	157572173	157572182	+	0.000	0.000	Merged-chr3-157572162-49
NR1046--MA0508.2.PRDM1	chr16	32190297	32190306	-	0.000	0.000	Merged-chr16-32190230-31
NR993--MA0508.2.PRDM1	chr15	80722058	80722067	-	0.000	0.000	Merged-chr15-80722026-5
NR850--MA0508.2.PRDM1	chr14	64884950	64884959	+	0.000	0.000	Merged-chr14-64885056-34
NR1439--MA0508.2.PRDM1	chr2	52979417	52979426	-	0.000	0.000	Merged-chr2-52979573-5
NR720--MA0508.2.PRDM1	chr13	92671879	92671888	-	0.000	0.000	Merged-chr13-92671922-24
NR1352--MA0508.2.PRDM1	chr19	34290479	34290488	+	0.000	0.000	Merged-chr19-34290594-61
NR1004--MA0508.2.PRDM1	chr15	97389813	97389822	+	0.000	0.000	Merged-chr15-97389746-17
NR2701--MA0508.2.PRDM1	chrX	12151831	12151840	+	0.000	0.000	Merged-chrX-12151801-24
NR571--MA0508.2.PRDM1	chr12	99773766	99773775	+	0.000	0.000	Merged-chr12-99773885-16
NR1094--MA0508.2.PRDM1	chr16	75877298	75877307	-	0.000	0.000	Merged-chr16-75877310-18
NR1745--MA0508.2.PRDM1	chr3	121105080	121105089	-	0.000	0.000	Merged-chr3-121105161-35
NR1269--MA0508.2.PRDM1	chr18	41861277	41861286	-	0.000	0.000	Merged-chr18-41861355-68
