#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Bcl6/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed
NR1755--MA0463.1.Bcl6	chr7	12880948	12880961	-	0.000	0.000	Merged-chr7-12881125-51
NR2126--MA0731.1.BCL6B	chrX	163868241	163868257	-	0.000	0.000	Merged-chrX-163868243-1
NR267--MA0731.1.BCL6B	chr10	110920255	110920271	-	0.000	0.000	Merged-chr10-110920143-70
NR1773--MA0463.1.Bcl6	chr7	37978525	37978538	+	0.000	0.000	Merged-chr7-37978660-9
NR1776--MA0731.1.BCL6B	chr7	38090387	38090403	-	0.000	0.000	Merged-chr7-38090413-30
NR1527--MA0463.1.Bcl6	chr5	74277806	74277819	-	0.000	0.000	Merged-chr5-74277818-39
NR2073--MA0731.1.BCL6B	chr9	109082439	109082455	+	0.000	0.000	Merged-chr9-109082467-51
NR1433--MA0463.1.Bcl6	chr4	121628380	121628393	+	0.000	0.000	Merged-chr4-121628407-1
NR550--MA0463.1.Bcl6	chr13	91697219	91697232	-	0.000	0.000	Merged-chr13-91697201-18
NR774--MA0463.1.Bcl6	chr16	50229194	50229207	+	0.000	0.000	Merged-chr16-50229098-21
NR1721--MA0731.1.BCL6B	chr6	137315891	137315907	+	0.000	0.000	Merged-chr6-137315766-1
NR1120--MA0463.1.Bcl6	chr2	116900081	116900094	+	0.000	0.000	Merged-chr2-116900141-29
NR1559--MA0463.1.Bcl6	chr5	110390701	110390714	+	0.000	0.000	Merged-chr5-110390618-8
NR1250--MA0463.1.Bcl6	chr3	89998843	89998856	-	0.000	0.000	Merged-chr3-89998706-59
NR701--MA0731.1.BCL6B	chr15	55106667	55106683	-	0.000	0.000	Merged-chr15-55106704-24
NR336--MA0463.1.Bcl6	chr11	69581024	69581037	+	0.000	0.000	Merged-chr11-69580859-6
NR448--MA0463.1.Bcl6	chr12	107011658	107011671	+	0.000	0.000	Merged-chr12-107011663-34
NR1869--MA0731.1.BCL6B	chr7	131112869	131112885	+	0.000	0.000	Merged-chr7-131112700-22
NR1479--MA0463.1.Bcl6	chr4	150909630	150909643	-	0.000	0.000	Merged-chr4-150909856-55
NR1600--MA0463.1.Bcl6	chr5	143037352	143037365	-	0.000	0.000	Merged-chr5-143037431-5
NR1421--MA0731.1.BCL6B	chr4	114468230	114468246	-	0.000	0.000	Merged-chr4-114468336-4
NR811--MA0463.1.Bcl6	chr16	95929983	95929996	+	0.000	0.000	Merged-chr16-95929936-27
NR368--MA0463.1.Bcl6	chr11	103344789	103344802	+	0.000	0.000	Merged-chr11-103344829-56
NR941--MA0463.1.Bcl6	chr18	75392746	75392759	-	0.000	0.000	Merged-chr18-75392555-48
NR176--MA0463.1.Bcl6	chr1	189922365	189922378	-	0.000	0.000	Merged-chr1-189922190-68
NR843--MA0463.1.Bcl6	chr17	43233050	43233063	+	0.000	0.000	Merged-chr17-43233095-49
NR2028--MA0731.1.BCL6B	chr9	67813929	67813945	-	0.000	0.000	Merged-chr9-67813867-45
NR1774--MA0731.1.BCL6B	chr7	37978522	37978538	-	0.000	0.000	Merged-chr7-37978660-9
NR1426--MA0731.1.BCL6B	chr4	117267545	117267561	+	0.000	0.000	Merged-chr4-117267580-14
NR1762--MA0463.1.Bcl6	chr7	19270154	19270167	+	0.000	0.000	Merged-chr7-19270064-6
NR1949--MA0731.1.BCL6B	chr8	107096622	107096638	+	0.000	0.000	Merged-chr8-107096330-78
NR1516--MA0463.1.Bcl6	chr5	62821112	62821125	+	0.000	0.000	Merged-chr5-62821040-10
NR231--MA0731.1.BCL6B	chr10	68908444	68908460	-	0.000	0.000	Merged-chr10-68908384-20
NR1995--MA0463.1.Bcl6	chr9	37232423	37232436	+	0.000	0.000	Merged-chr9-37232426-6
NR1482--MA0731.1.BCL6B	chr4	152341078	152341094	-	0.000	0.000	Merged-chr4-152341132-7
NR866--MA0463.1.Bcl6	chr17	66077045	66077058	+	0.000	0.000	Merged-chr17-66076994-114
NR508--MA0463.1.Bcl6	chr13	24547247	24547260	+	0.000	0.000	Merged-chr13-24547194-39
NR23--MA0731.1.BCL6B	chr1	58652805	58652821	-	0.000	0.000	Merged-chr1-58652657-88
NR210--MA0731.1.BCL6B	chr10	37232424	37232440	+	0.000	0.000	Merged-chr10-37232300-62
NR884--MA0463.1.Bcl6	chr17	80772954	80772967	+	0.000	0.000	Merged-chr17-80772766-52
NR1113--MA0731.1.BCL6B	chr2	104095748	104095764	-	0.000	0.000	Merged-chr2-104095908-22
NR1365--MA0731.1.BCL6B	chr4	6834675	6834691	+	0.000	0.000	Merged-chr4-6834506-4
NR1907--MA0731.1.BCL6B	chr8	41443766	41443782	+	0.000	0.000	Merged-chr8-41443750-12
NR1454--MA0463.1.Bcl6	chr4	140723989	140724002	-	0.000	0.000	Merged-chr4-140723991-19
NR6--MA0463.1.Bcl6	chr1	23321543	23321556	+	0.000	0.000	Merged-chr1-23321414-28
NR307--MA0463.1.Bcl6	chr11	43410507	43410520	+	0.000	0.000	Merged-chr11-43410532-22
NR428--MA0463.1.Bcl6	chr12	91790052	91790065	-	0.000	0.000	Merged-chr12-91789924-28
NR1226--MA0463.1.Bcl6	chr3	60499343	60499356	+	0.000	0.000	Merged-chr3-60499297-2
NR343--MA0463.1.Bcl6	chr11	72321044	72321057	+	0.000	0.000	Merged-chr11-72321004-18
NR361--MA0463.1.Bcl6	chr11	98348333	98348346	-	0.000	0.000	Merged-chr11-98348383-15
NR209--MA0463.1.Bcl6	chr10	37014253	37014266	+	0.000	0.000	Merged-chr10-37014409-21
NR1262--MA0463.1.Bcl6	chr3	101929712	101929725	-	0.000	0.000	Merged-chr3-101929538-16
NR890--MA0731.1.BCL6B	chr17	84231464	84231480	+	0.000	0.000	Merged-chr17-84231580-31
NR800--MA0463.1.Bcl6	chr16	87726010	87726023	-	0.000	0.000	Merged-chr16-87726198-44
NR2003--MA0463.1.Bcl6	chr9	46120161	46120174	-	0.000	0.000	Merged-chr9-46120159-27
NR651--MA0731.1.BCL6B	chr14	103033507	103033523	+	0.000	0.000	Merged-chr14-103033598-47
NR446--MA0731.1.BCL6B	chr12	104236110	104236126	-	0.000	0.000	Merged-chr12-104236095-61
NR1859--MA0731.1.BCL6B	chr7	127895917	127895933	+	0.000	0.000	Merged-chr7-127895657-49
NR284--MA0731.1.BCL6B	chr10	128895545	128895561	-	0.000	0.000	Merged-chr10-128895636-22
NR63--MA0731.1.BCL6B	chr1	106395688	106395704	+	0.000	0.000	Merged-chr1-106395596-30
NR2090--MA0731.1.BCL6B	chr9	118099591	118099607	-	0.000	0.000	Merged-chr9-118099608-24
NR630--MA0731.1.BCL6B	chr14	67045669	67045685	-	0.000	0.000	Merged-chr14-67045553-9
NR263--MA0731.1.BCL6B	chr10	105841471	105841487	+	0.000	0.000	Merged-chr10-105841335-60
NR1742--MA0463.1.Bcl6	chr6	146391407	146391420	+	0.000	0.000	Merged-chr6-146391315-9
NR1328--MA0731.1.BCL6B	chr3	142744060	142744076	-	0.000	0.000	Merged-chr3-142744255-26
NR895--MA0731.1.BCL6B	chr17	87609029	87609045	-	0.000	0.000	Merged-chr17-87608990-28
NR613--MA0463.1.Bcl6	chr14	48236232	48236245	+	0.000	0.000	Merged-chr14-48236278-24
NR799--MA0731.1.BCL6B	chr16	87354483	87354499	+	0.000	0.000	Merged-chr16-87354313-51
NR927--MA0731.1.BCL6B	chr18	60632960	60632976	-	0.000	0.000	Merged-chr18-60633052-25
NR725--MA0463.1.Bcl6	chr15	86028074	86028087	-	0.000	0.000	Merged-chr15-86028178-32
NR855--MA0463.1.Bcl6	chr17	52461996	52462009	-	0.000	0.000	Merged-chr17-52461953-32
NR1868--MA0463.1.Bcl6	chr7	131112869	131112882	-	0.000	0.000	Merged-chr7-131112700-22
NR873--MA0463.1.Bcl6	chr17	71598725	71598738	+	0.000	0.000	Merged-chr17-71598732-66
NR19--MA0463.1.Bcl6	chr1	40383107	40383120	+	0.000	0.000	Merged-chr1-40383046-56
NR985--MA0463.1.Bcl6	chr19	30924257	30924270	-	0.000	0.000	Merged-chr19-30924347-34
NR539--MA0731.1.BCL6B	chr13	76018756	76018772	+	0.000	0.000	Merged-chr13-76018576-95
NR1313--MA0463.1.Bcl6	chr3	137611265	137611278	+	0.000	0.000	Merged-chr3-137611144-106
NR533--MA0463.1.Bcl6	chr13	67844440	67844453	-	0.000	0.000	Merged-chr13-67844387-42
NR1443--MA0463.1.Bcl6	chr4	133005466	133005479	-	0.000	0.000	Merged-chr4-133005373-4
NR73--MA0463.1.Bcl6	chr1	128615523	128615536	-	0.000	0.000	Merged-chr1-128615599-2
NR1676--MA0463.1.Bcl6	chr6	97806942	97806955	+	0.000	0.000	Merged-chr6-97807026-80
NR529--MA0463.1.Bcl6	chr13	65176267	65176280	-	0.000	0.000	Merged-chr13-65176353-33
NR1259--MA0731.1.BCL6B	chr3	97796646	97796662	+	0.000	0.000	Merged-chr3-97796692-21
NR1484--MA0463.1.Bcl6	chr5	3503474	3503487	+	0.000	0.000	Merged-chr5-3503426-8
NR1701--MA0731.1.BCL6B	chr6	124361030	124361046	-	0.000	0.000	Merged-chr6-124360818-18
NR1256--MA0463.1.Bcl6	chr3	96263109	96263122	-	0.000	0.000	Merged-chr3-96263071-120
NR295--MA0731.1.BCL6B	chr11	3931991	3932007	-	0.000	0.000	Merged-chr11-3931934-36
NR1028--MA0463.1.Bcl6	chr2	18050907	18050920	-	0.000	0.000	Merged-chr2-18050783-11
NR239--MA0463.1.Bcl6	chr10	82666634	82666647	+	0.000	0.000	Merged-chr10-82666640-30
NR1661--MA0731.1.BCL6B	chr6	70103457	70103473	-	0.000	0.000	Merged-chr6-70103466-27
NR257--MA0463.1.Bcl6	chr10	100742105	100742118	-	0.000	0.000	Merged-chr10-100742220-29
NR1288--MA0463.1.Bcl6	chr3	126693673	126693686	+	0.000	0.000	Merged-chr3-126693413-64
NR2112--MA0731.1.BCL6B	chrX	100476537	100476553	-	0.000	0.000	Merged-chrX-100476611-55
NR289--MA0463.1.Bcl6	chr11	3133595	3133608	-	0.000	0.000	Merged-chr11-3133574-54
NR746--MA0463.1.Bcl6	chr16	14705645	14705658	+	0.000	0.000	Merged-chr16-14705734-55
NR1647--MA0463.1.Bcl6	chr6	54069114	54069127	+	0.000	0.000	Merged-chr6-54069236-28
NR1553--MA0463.1.Bcl6	chr5	97090395	97090408	+	0.000	0.000	Merged-chr5-97090318-20
NR670--MA0463.1.Bcl6	chr14	121000901	121000914	+	0.000	0.000	Merged-chr14-121000827-24
NR258--MA0731.1.BCL6B	chr10	100742105	100742121	+	0.000	0.000	Merged-chr10-100742220-29
NR1110--MA0463.1.Bcl6	chr2	93199062	93199075	+	0.000	0.000	Merged-chr2-93199242-68
NR1462--MA0731.1.BCL6B	chr4	145246637	145246653	+	0.000	0.000	Merged-chr4-145246720-73
NR237--MA0731.1.BCL6B	chr10	80900832	80900848	-	0.000	0.000	Merged-chr10-80900760-63
NR1998--MA0731.1.BCL6B	chr9	42897667	42897683	-	0.000	0.000	Merged-chr9-42897501-20
NR1603--MA0731.1.BCL6B	chr5	143917669	143917685	+	0.000	0.000	Merged-chr5-143917664-24
NR590--MA0463.1.Bcl6	chr14	7791703	7791716	+	0.000	0.000	Merged-chr14-7791631-72
NR250--MA0463.1.Bcl6	chr10	94378508	94378521	+	0.000	0.000	Merged-chr10-94378414-58
NR931--MA0731.1.BCL6B	chr18	66452470	66452486	+	0.000	0.000	Merged-chr18-66452450-5
NR116--MA0463.1.Bcl6	chr1	162215938	162215951	-	0.000	0.000	Merged-chr1-162215888-4
NR1393--MA0463.1.Bcl6	chr4	84001760	84001773	+	0.000	0.000	Merged-chr4-84001633-3
NR1917--MA0463.1.Bcl6	chr8	69832490	69832503	+	0.000	0.000	Merged-chr8-69832557-54
