#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed
NR64970--MA0039.3.KLF4	chr8	117262983	117262993	-	0.000	0.000	Merged-chr8-117262902-7
NR43163--MA0599.1.KLF5	chr3	107760512	107760521	+	0.000	0.000	Merged-chr3-107760330-76
NR47024--MA0741.1.KLF16	chr4	88641323	88641333	-	0.000	0.000	Merged-chr4-88641244-84
NR47863--MA0740.1.KLF14	chr4	123412059	123412072	-	0.000	0.000	Merged-chr4-123411950-84
NR60464--MA0740.1.KLF14	chr7	89308456	89308469	-	0.000	0.000	Merged-chr7-89308449-38
NR16736--MA0740.1.KLF14	chr13	38635049	38635062	+	0.000	0.000	Merged-chr13-38634880-74
NR37246--MA0599.1.KLF5	chr2	73214456	73214465	+	0.000	0.000	Merged-chr2-73214305-60
NR22473--MA0741.1.KLF16	chr14	121379269	121379279	+	0.000	0.000	Merged-chr14-121379142-144
NR48468--MA1107.1.KLF9	chr4	136178075	136178087	-	0.000	0.000	Merged-chr4-136177885-58
NR19234--MA1107.1.KLF9	chr13	117203239	117203251	-	0.000	0.000	Merged-chr13-117203167-67
NR38662--MA0493.1.Klf1	chr2	129065917	129065927	-	0.000	0.000	Merged-chr2-129066183-78
NR3851--MA1107.1.KLF9	chr1	162186922	162186934	+	0.000	0.000	Merged-chr1-162187046-32
NR68952--MA0742.1.Klf12	chrX	71492866	71492880	-	0.000	0.000	Merged-chrX-71492883-59
NR43188--MA0741.1.KLF16	chr3	108383923	108383933	-	0.000	0.000	Merged-chr3-108383794-50
NR30763--MA0599.1.KLF5	chr17	80441898	80441907	-	0.000	0.000	Merged-chr17-80441791-30
NR58847--MA0740.1.KLF14	chr7	27929236	27929249	+	0.000	0.000	Merged-chr7-27929384-28
NR37227--MA1107.1.KLF9	chr2	72874438	72874450	-	0.000	0.000	Merged-chr2-72874420-46
NR41681--MA0740.1.KLF14	chr3	52267413	52267426	-	0.000	0.000	Merged-chr3-52267357-1
NR24631--MA0599.1.KLF5	chr15	83350231	83350240	-	0.000	0.000	Merged-chr15-83350192-58
NR64533--MA0599.1.KLF5	chr8	104042632	104042641	-	0.000	0.000	Merged-chr8-104042673-23
NR57404--MA1107.1.KLF9	chr6	136938862	136938874	-	0.000	0.000	Merged-chr6-136938967-40
NR28307--MA0741.1.KLF16	chr17	6961216	6961226	+	0.000	0.000	Merged-chr17-6961334-74
NR49432--MA0741.1.KLF16	chr5	8996952	8996962	-	0.000	0.000	Merged-chr5-8996968-123
NR62033--MA0741.1.KLF16	chr7	144915058	144915068	+	0.000	0.000	Merged-chr7-144915039-103
NR48688--MA0493.1.Klf1	chr4	141617614	141617624	-	0.000	0.000	Merged-chr4-141617652-23
NR10106--MA0657.1.KLF13	chr11	22782981	22782998	-	0.000	0.000	Merged-chr11-22782908-24
NR49231--MA1107.1.KLF9	chr4	155774591	155774603	+	0.000	0.000	Merged-chr4-155774656-37
NR51537--MA0493.1.Klf1	chr5	90931230	90931240	+	0.000	0.000	Merged-chr5-90931301-77
NR18162--MA1107.1.KLF9	chr13	89454717	89454729	-	0.000	0.000	Merged-chr13-89454773-11
NR24676--MA0741.1.KLF16	chr15	84325524	84325534	+	0.000	0.000	Merged-chr15-84325665-1
NR15309--MA1107.1.KLF9	chr12	101082414	101082426	-	0.000	0.000	Merged-chr12-101082565-4
NR51457--MA0599.1.KLF5	chr5	88676283	88676292	-	0.000	0.000	Merged-chr5-88676360-5
NR29018--MA0741.1.KLF16	chr17	27325128	27325138	-	0.000	0.000	Merged-chr17-27325215-15
NR37447--MA0493.1.Klf1	chr2	80315680	80315690	+	0.000	0.000	Merged-chr2-80315576-77
NR7745--MA1107.1.KLF9	chr10	82178644	82178656	-	0.000	0.000	Merged-chr10-82178515-67
NR24644--MA0740.1.KLF14	chr15	83367413	83367426	+	0.000	0.000	Merged-chr15-83367311-32
NR55203--MA0741.1.KLF16	chr6	53986474	53986484	-	0.000	0.000	Merged-chr6-53986314-10
NR8957--MA0599.1.KLF5	chr10	117792865	117792874	-	0.000	0.000	Merged-chr10-117792709-55
NR45564--MA0740.1.KLF14	chr4	32950866	32950879	+	0.000	0.000	Merged-chr4-32950743-79
NR324--MA0599.1.KLF5	chr1	16656887	16656896	+	0.000	0.000	Merged-chr1-16656979-64
NR30073--MA0493.1.Klf1	chr17	56762171	56762181	-	0.000	0.000	Merged-chr17-56762183-32
NR3972--MA1107.1.KLF9	chr1	165841030	165841042	-	0.000	0.000	Merged-chr1-165841004-25
NR38495--MA0741.1.KLF16	chr2	125456202	125456212	-	0.000	0.000	Merged-chr2-125456296-22
NR38989--MA0493.1.Klf1	chr2	136532278	136532288	+	0.000	0.000	Merged-chr2-136532321-48
NR29941--MA0493.1.Klf1	chr17	52602273	52602283	+	0.000	0.000	Merged-chr17-52602412-35
NR20413--MA0740.1.KLF14	chr14	40966894	40966907	-	0.000	0.000	Merged-chr14-40966984-107
NR12196--MA1107.1.KLF9	chr11	99132677	99132689	-	0.000	0.000	Merged-chr11-99132520-18
NR35255--MA0742.1.Klf12	chr2	9594245	9594259	+	0.000	0.000	Merged-chr2-9594121-50
NR40207--MA0599.1.KLF5	chr2	173000086	173000095	-	0.000	0.000	Merged-chr2-173000238-62
NR38019--MA0740.1.KLF14	chr2	112510307	112510320	-	0.000	0.000	Merged-chr2-112510265-49
NR6818--MA0741.1.KLF16	chr10	61680304	61680314	-	0.000	0.000	Merged-chr10-61680390-61
NR35984--MA0599.1.KLF5	chr2	30658607	30658616	+	0.000	0.000	Merged-chr2-30658589-67
NR56175--MA0742.1.Klf12	chr6	95718854	95718868	-	0.000	0.000	Merged-chr6-95718685-98
NR24076--MA0599.1.KLF5	chr15	74753072	74753081	+	0.000	0.000	Merged-chr15-74752931-48
NR32034--MA0599.1.KLF5	chr18	34889088	34889097	-	0.000	0.000	Merged-chr18-34889033-16
NR13344--MA0741.1.KLF16	chr12	17257199	17257209	+	0.000	0.000	Merged-chr12-17257057-21
NR68408--MA1107.1.KLF9	chr9	122886860	122886872	-	0.000	0.000	Merged-chr9-122886924-53
NR30875--MA0599.1.KLF5	chr17	83632067	83632076	+	0.000	0.000	Merged-chr17-83632090-95
NR65384--MA0039.3.KLF4	chr8	125558864	125558874	+	0.000	0.000	Merged-chr8-125558804-33
NR12524--MA0599.1.KLF5	chr11	109331237	109331246	+	0.000	0.000	Merged-chr11-109331360-60
NR34264--MA0741.1.KLF16	chr19	28612454	28612464	+	0.000	0.000	Merged-chr19-28612481-21
NR52349--MA0741.1.KLF16	chr5	114639602	114639612	-	0.000	0.000	Merged-chr5-114639574-38
NR36295--MA0599.1.KLF5	chr2	37443127	37443136	-	0.000	0.000	Merged-chr2-37443185-70
NR16650--MA0493.1.Klf1	chr13	34130391	34130401	-	0.000	0.000	Merged-chr13-34130177-64
NR65933--MA0741.1.KLF16	chr9	24502973	24502983	+	0.000	0.000	Merged-chr9-24503196-85
NR49219--MA0599.1.KLF5	chr4	155669501	155669510	-	0.000	0.000	Merged-chr4-155669356-57
NR21132--MA1107.1.KLF9	chr14	61556994	61557006	-	0.000	0.000	Merged-chr14-61556804-76
NR10116--MA0599.1.KLF5	chr11	22872239	22872248	-	0.000	0.000	Merged-chr11-22872155-48
NR42601--MA0493.1.Klf1	chr3	90587046	90587056	-	0.000	0.000	Merged-chr3-90587051-129
NR50264--MA0742.1.Klf12	chr5	35893302	35893316	-	0.000	0.000	Merged-chr5-35893424-58
NR44234--MA1107.1.KLF9	chr3	143863769	143863781	-	0.000	0.000	Merged-chr3-143863871-1
NR16776--MA0599.1.KLF5	chr13	40922439	40922448	-	0.000	0.000	Merged-chr13-40922316-2
NR61284--MA0740.1.KLF14	chr7	120635181	120635194	-	0.000	0.000	Merged-chr7-120635408-90
NR39672--MA0599.1.KLF5	chr2	160471239	160471248	+	0.000	0.000	Merged-chr2-160471164-70
NR62031--MA0599.1.KLF5	chr7	144915058	144915067	+	0.000	0.000	Merged-chr7-144915039-103
NR58852--MA1107.1.KLF9	chr7	27929242	27929254	+	0.000	0.000	Merged-chr7-27929384-28
NR30699--MA0741.1.KLF16	chr17	79020834	79020844	-	0.000	0.000	Merged-chr17-79020706-82
NR12343--MA0740.1.KLF14	chr11	102467220	102467233	-	0.000	0.000	Merged-chr11-102467251-44
NR57069--MA0493.1.Klf1	chr6	127109649	127109659	+	0.000	0.000	Merged-chr6-127109560-52
NR53743--MA1107.1.KLF9	chr5	144223499	144223511	+	0.000	0.000	Merged-chr5-144223474-90
NR43839--MA0741.1.KLF16	chr3	133406339	133406349	-	0.000	0.000	Merged-chr3-133406363-24
NR30770--MA0742.1.Klf12	chr17	80468682	80468696	+	0.000	0.000	Merged-chr17-80468641-48
NR28995--MA0599.1.KLF5	chr17	27012144	27012153	+	0.000	0.000	Merged-chr17-27012329-58
NR11452--MA0599.1.KLF5	chr11	78165632	78165641	+	0.000	0.000	Merged-chr11-78165557-54
NR230--MA0599.1.KLF5	chr1	13374160	13374169	-	0.000	0.000	Merged-chr1-13374271-35
NR10810--MA0741.1.KLF16	chr11	59662640	59662650	-	0.000	0.000	Merged-chr11-59662530-59
NR41888--MA0741.1.KLF16	chr3	61002699	61002709	+	0.000	0.000	Merged-chr3-61002853-90
NR37479--MA0599.1.KLF5	chr2	83644733	83644742	+	0.000	0.000	Merged-chr2-83644622-62
NR20563--MA0742.1.Klf12	chr14	45565653	45565667	+	0.000	0.000	Merged-chr14-45565641-3
NR31015--MA0741.1.KLF16	chr17	87107443	87107453	+	0.000	0.000	Merged-chr17-87107301-129
NR69073--MA0493.1.Klf1	chrX	93701031	93701041	-	0.000	0.000	Merged-chrX-93701009-42
NR62981--MA0740.1.KLF14	chr8	40963169	40963182	-	0.000	0.000	Merged-chr8-40963134-88
NR40328--MA0599.1.KLF5	chr2	174556048	174556057	-	0.000	0.000	Merged-chr2-174555978-36
NR34893--MA1107.1.KLF9	chr19	53891095	53891107	+	0.000	0.000	Merged-chr19-53891075-34
NR16542--MA1107.1.KLF9	chr13	28762740	28762752	-	0.000	0.000	Merged-chr13-28762755-10
NR26381--MA0599.1.KLF5	chr16	30070460	30070469	-	0.000	0.000	Merged-chr16-30070422-63
NR20818--MA0599.1.KLF5	chr14	53553951	53553960	-	0.000	0.000	Merged-chr14-53553995-16
NR35890--MA0599.1.KLF5	chr2	28640914	28640923	+	0.000	0.000	Merged-chr2-28641113-91
NR43162--MA1107.1.KLF9	chr3	107233419	107233431	-	0.000	0.000	Merged-chr3-107233528-55
NR61921--MA0493.1.Klf1	chr7	141437737	141437747	-	0.000	0.000	Merged-chr7-141437625-56
NR26023--MA0599.1.KLF5	chr16	17234318	17234327	-	0.000	0.000	Merged-chr16-17234262-7
NR45203--MA1107.1.KLF9	chr4	11386618	11386630	+	0.000	0.000	Merged-chr4-11386729-1
NR68576--MA0741.1.KLF16	chrX	12088536	12088546	-	0.000	0.000	Merged-chrX-12088675-73
NR43705--MA0599.1.KLF5	chr3	129901432	129901441	-	0.000	0.000	Merged-chr3-129901484-63
NR58098--MA0741.1.KLF16	chr7	6286457	6286467	-	0.000	0.000	Merged-chr7-6286404-52
NR15346--MA0599.1.KLF5	chr12	102704991	102705000	-	0.000	0.000	Merged-chr12-102704988-92
NR26905--MA0599.1.KLF5	chr16	55895444	55895453	-	0.000	0.000	Merged-chr16-55895336-85
NR60387--MA0039.3.KLF4	chr7	84605957	84605967	+	0.000	0.000	Merged-chr7-84605972-68
NR57422--MA1107.1.KLF9	chr6	136967754	136967766	-	0.000	0.000	Merged-chr6-136967705-9
NR15685--MA1107.1.KLF9	chr12	113073934	113073946	-	0.000	0.000	Merged-chr12-113073878-6
NR2888--MA0599.1.KLF5	chr1	132417545	132417554	-	0.000	0.000	Merged-chr1-132417659-59
NR37315--MA0742.1.Klf12	chr2	76648079	76648093	+	0.000	0.000	Merged-chr2-76648077-91
NR56799--MA0599.1.KLF5	chr6	119199111	119199120	+	0.000	0.000	Merged-chr6-119199024-52
NR29400--MA0599.1.KLF5	chr17	35051319	35051328	+	0.000	0.000	Merged-chr17-35051326-6
NR63989--MA0493.1.Klf1	chr8	79639137	79639147	-	0.000	0.000	Merged-chr8-79639184-10
NR8093--MA0599.1.KLF5	chr10	93225996	93226005	+	0.000	0.000	Merged-chr10-93225944-30
NR6927--MA0741.1.KLF16	chr10	67201047	67201057	+	0.000	0.000	Merged-chr10-67200954-2
NR41442--MA0740.1.KLF14	chr3	40894235	40894248	-	0.000	0.000	Merged-chr3-40894272-62
NR62697--MA1107.1.KLF9	chr8	31187568	31187580	-	0.000	0.000	Merged-chr8-31187403-16
NR36800--MA0741.1.KLF16	chr2	57253111	57253121	-	0.000	0.000	Merged-chr2-57253205-15
NR26051--MA0741.1.KLF16	chr16	18073768	18073778	-	0.000	0.000	Merged-chr16-18073888-8
NR55905--MA1107.1.KLF9	chr6	88724399	88724411	+	0.000	0.000	Merged-chr6-88724613-50
NR69153--MA0742.1.Klf12	chrX	100777162	100777176	+	0.000	0.000	Merged-chrX-100777014-69
NR45558--MA0599.1.KLF5	chr4	32657100	32657109	-	0.000	0.000	Merged-chr4-32657142-58
NR36173--MA1107.1.KLF9	chr2	33131301	33131313	+	0.000	0.000	Merged-chr2-33131105-122
NR422--MA0493.1.Klf1	chr1	21079392	21079402	+	0.000	0.000	Merged-chr1-21079276-92
NR40314--MA0493.1.Klf1	chr2	174415757	174415767	+	0.000	0.000	Merged-chr2-174415920-60
NR53855--MA1107.1.KLF9	chr5	147431338	147431350	-	0.000	0.000	Merged-chr5-147431237-9
NR52458--MA0741.1.KLF16	chr5	117287646	117287656	+	0.000	0.000	Merged-chr5-117287576-66
NR54004--MA0742.1.Klf12	chr6	4087040	4087054	-	0.000	0.000	Merged-chr6-4086905-51
NR2993--MA0740.1.KLF14	chr1	135128303	135128316	+	0.000	0.000	Merged-chr1-135128273-30
NR55293--MA0741.1.KLF16	chr6	58596561	58596571	-	0.000	0.000	Merged-chr6-58596586-84
NR45291--MA0741.1.KLF16	chr4	14930483	14930493	+	0.000	0.000	Merged-chr4-14930557-36
NR23998--MA0599.1.KLF5	chr15	72859486	72859495	+	0.000	0.000	Merged-chr15-72859470-25
NR39181--MA0742.1.Klf12	chr2	146606366	146606380	-	0.000	0.000	Merged-chr2-146606447-27
NR39426--MA0599.1.KLF5	chr2	153292589	153292598	+	0.000	0.000	Merged-chr2-153292567-49
NR44668--MA0742.1.Klf12	chr3	152714092	152714106	+	0.000	0.000	Merged-chr3-152714247-60
NR55564--MA0741.1.KLF16	chr6	72391044	72391054	-	0.000	0.000	Merged-chr6-72391108-3
NR48259--MA0599.1.KLF5	chr4	133620025	133620034	-	0.000	0.000	Merged-chr4-133619983-15
NR35057--MA0493.1.Klf1	chr2	3284123	3284133	-	0.000	0.000	Merged-chr2-3284320-138
NR50483--MA0493.1.Klf1	chr5	45493317	45493327	+	0.000	0.000	Merged-chr5-45493482-59
NR52739--MA0493.1.Klf1	chr5	123907169	123907179	+	0.000	0.000	Merged-chr5-123907214-53
NR24557--MA0657.1.KLF13	chr15	81960930	81960947	-	0.000	0.000	Merged-chr15-81960727-98
NR5802--MA0741.1.KLF16	chr10	22058716	22058726	-	0.000	0.000	Merged-chr10-22058743-34
NR68228--MA0741.1.KLF16	chr9	118686366	118686376	-	0.000	0.000	Merged-chr9-118686441-13
NR45628--MA0741.1.KLF16	chr4	34889446	34889456	-	0.000	0.000	Merged-chr4-34889348-6
NR35052--MA0740.1.KLF14	chr2	3284120	3284133	-	0.000	0.000	Merged-chr2-3284320-138
NR323--MA1107.1.KLF9	chr1	16656862	16656874	+	0.000	0.000	Merged-chr1-16656979-64
NR14255--MA1107.1.KLF9	chr12	59170021	59170033	+	0.000	0.000	Merged-chr12-59170039-43
NR15590--MA0741.1.KLF16	chr12	111039332	111039342	+	0.000	0.000	Merged-chr12-111039246-79
NR41641--MA0493.1.Klf1	chr3	51701526	51701536	+	0.000	0.000	Merged-chr3-51701450-64
NR58692--MA0742.1.Klf12	chr7	25155909	25155923	+	0.000	0.000	Merged-chr7-25155994-40
NR36393--MA0493.1.Klf1	chr2	44927081	44927091	-	0.000	0.000	Merged-chr2-44927017-105
NR14040--MA1107.1.KLF9	chr12	52006547	52006559	-	0.000	0.000	Merged-chr12-52006433-52
NR41997--MA0741.1.KLF16	chr3	65957689	65957699	+	0.000	0.000	Merged-chr3-65957494-4
NR24841--MA0493.1.Klf1	chr15	88862062	88862072	+	0.000	0.000	Merged-chr15-88862154-76
NR44271--MA0599.1.KLF5	chr3	144412725	144412734	-	0.000	0.000	Merged-chr3-144412864-41
NR67443--MA0039.3.KLF4	chr9	92374643	92374653	-	0.000	0.000	Merged-chr9-92374703-37
NR59923--MA0741.1.KLF16	chr7	66689634	66689644	-	0.000	0.000	Merged-chr7-66689788-64
NR6308--MA0741.1.KLF16	chr10	42699281	42699291	+	0.000	0.000	Merged-chr10-42699170-35
NR6633--MA0657.1.KLF13	chr10	58323433	58323450	+	0.000	0.000	Merged-chr10-58323476-78
NR7545--MA0599.1.KLF5	chr10	80539297	80539306	-	0.000	0.000	Merged-chr10-80539129-37
NR13059--MA0599.1.KLF5	chr11	121847867	121847876	-	0.000	0.000	Merged-chr11-121848040-41
NR31951--MA0493.1.Klf1	chr18	33213961	33213971	+	0.000	0.000	Merged-chr18-33213882-74
NR26369--MA0741.1.KLF16	chr16	30008353	30008363	+	0.000	0.000	Merged-chr16-30008320-2
NR8951--MA0039.3.KLF4	chr10	117651287	117651297	-	0.000	0.000	Merged-chr10-117651194-26
NR52210--MA1107.1.KLF9	chr5	112298452	112298464	-	0.000	0.000	Merged-chr5-112298638-39
NR30865--MA1107.1.KLF9	chr17	83566004	83566016	-	0.000	0.000	Merged-chr17-83566119-8
NR33236--MA0599.1.KLF5	chr18	73810199	73810208	+	0.000	0.000	Merged-chr18-73810130-9
NR47733--MA0740.1.KLF14	chr4	120287784	120287797	-	0.000	0.000	Merged-chr4-120287807-68
NR5068--MA0741.1.KLF16	chr1	193146637	193146647	-	0.000	0.000	Merged-chr1-193146532-29
NR68956--MA0741.1.KLF16	chrX	71492869	71492879	-	0.000	0.000	Merged-chrX-71492883-59
NR27253--MA0740.1.KLF14	chr16	70314413	70314426	-	0.000	0.000	Merged-chr16-70314268-76
NR152--MA0741.1.KLF16	chr1	9700457	9700467	-	0.000	0.000	Merged-chr1-9700584-90
NR423--MA0741.1.KLF16	chr1	21079336	21079346	+	0.000	0.000	Merged-chr1-21079276-92
NR58175--MA0740.1.KLF14	chr7	10495389	10495402	+	0.000	0.000	Merged-chr7-10495279-68
NR49786--MA0039.3.KLF4	chr5	20845385	20845395	+	0.000	0.000	Merged-chr5-20845245-18
NR53536--MA0741.1.KLF16	chr5	139736491	139736501	+	0.000	0.000	Merged-chr5-139736342-40
NR20187--MA0741.1.KLF16	chr14	31131151	31131161	-	0.000	0.000	Merged-chr14-31131067-27
NR28655--MA0599.1.KLF5	chr17	15564473	15564482	+	0.000	0.000	Merged-chr17-15564357-71
NR68557--MA0599.1.KLF5	chrX	11999252	11999261	+	0.000	0.000	Merged-chrX-11999203-45
NR66238--MA0493.1.Klf1	chr9	42249261	42249271	+	0.000	0.000	Merged-chr9-42249420-32
NR6473--MA0599.1.KLF5	chr10	52417629	52417638	-	0.000	0.000	Merged-chr10-52417781-87
NR23411--MA0493.1.Klf1	chr15	38635249	38635259	+	0.000	0.000	Merged-chr15-38635237-53
NR6765--MA0741.1.KLF16	chr10	60831663	60831673	-	0.000	0.000	Merged-chr10-60831602-50
NR41280--MA0740.1.KLF14	chr3	36613427	36613440	+	0.000	0.000	Merged-chr3-36613405-48
NR48239--MA0740.1.KLF14	chr4	133241469	133241482	-	0.000	0.000	Merged-chr4-133241411-59
NR5118--MA1107.1.KLF9	chr1	194375627	194375639	+	0.000	0.000	Merged-chr1-194375699-1
NR39662--MA1107.1.KLF9	chr2	160367185	160367197	-	0.000	0.000	Merged-chr2-160367322-62
NR28950--MA0740.1.KLF14	chr17	26069585	26069598	+	0.000	0.000	Merged-chr17-26069503-58
NR52565--MA0599.1.KLF5	chr5	120577126	120577135	+	0.000	0.000	Merged-chr5-120577035-13
NR32379--MA0599.1.KLF5	chr18	46597676	46597685	-	0.000	0.000	Merged-chr18-46597780-100
NR48137--MA0742.1.Klf12	chr4	130520535	130520549	-	0.000	0.000	Merged-chr4-130520365-48
NR435--MA1107.1.KLF9	chr1	21271710	21271722	+	0.000	0.000	Merged-chr1-21271606-40
NR65613--MA1107.1.KLF9	chr9	13297919	13297931	+	0.000	0.000	Merged-chr9-13298112-64
NR57101--MA0599.1.KLF5	chr6	127453589	127453598	-	0.000	0.000	Merged-chr6-127453686-51
NR21003--MA0493.1.Klf1	chr14	57890349	57890359	+	0.000	0.000	Merged-chr14-57890199-76
NR52535--MA0740.1.KLF14	chr5	120088789	120088802	-	0.000	0.000	Merged-chr5-120088739-43
NR60889--MA0741.1.KLF16	chr7	105400037	105400047	+	0.000	0.000	Merged-chr7-105399855-131
NR2771--MA0493.1.Klf1	chr1	128667547	128667557	+	0.000	0.000	Merged-chr1-128667443-20
NR16019--MA0741.1.KLF16	chr13	8385550	8385560	+	0.000	0.000	Merged-chr13-8385507-1
NR16780--MA0493.1.Klf1	chr13	40922444	40922454	-	0.000	0.000	Merged-chr13-40922316-2
NR8191--MA0493.1.Klf1	chr10	95677961	95677971	-	0.000	0.000	Merged-chr10-95677953-62
NR14512--MA0740.1.KLF14	chr12	72536306	72536319	-	0.000	0.000	Merged-chr12-72536304-66
NR19249--MA0740.1.KLF14	chr13	117220697	117220710	+	0.000	0.000	Merged-chr13-117220840-63
NR18956--MA0599.1.KLF5	chr13	108316275	108316284	+	0.000	0.000	Merged-chr13-108316339-65
NR61840--MA1107.1.KLF9	chr7	140845134	140845146	+	0.000	0.000	Merged-chr7-140845076-30
NR44025--MA0599.1.KLF5	chr3	139075240	139075249	-	0.000	0.000	Merged-chr3-139075106-131
NR29624--MA0599.1.KLF5	chr17	44777209	44777218	+	0.000	0.000	Merged-chr17-44777259-107
NR61297--MA0740.1.KLF14	chr7	121034621	121034634	+	0.000	0.000	Merged-chr7-121034758-80
NR35737--MA1107.1.KLF9	chr2	24935276	24935288	+	0.000	0.000	Merged-chr2-24935171-110
NR38108--MA0599.1.KLF5	chr2	115581729	115581738	+	0.000	0.000	Merged-chr2-115581699-80
NR643--MA0740.1.KLF14	chr1	34462898	34462911	+	0.000	0.000	Merged-chr1-34462977-38
NR53534--MA0599.1.KLF5	chr5	139736491	139736500	+	0.000	0.000	Merged-chr5-139736342-40
NR66928--MA0741.1.KLF16	chr9	69073445	69073455	-	0.000	0.000	Merged-chr9-69073494-25
NR34979--MA0493.1.Klf1	chr19	58097325	58097335	-	0.000	0.000	Merged-chr19-58097459-44
NR51713--MA0741.1.KLF16	chr5	96990704	96990714	-	0.000	0.000	Merged-chr5-96990741-12
NR54950--MA0493.1.Klf1	chr6	43619501	43619511	+	0.000	0.000	Merged-chr6-43619418-19
NR47617--MA0599.1.KLF5	chr4	117251984	117251993	-	0.000	0.000	Merged-chr4-117251889-52
NR11582--MA0599.1.KLF5	chr11	80301618	80301627	+	0.000	0.000	Merged-chr11-80301422-73
NR68678--MA0599.1.KLF5	chrX	20775826	20775835	+	0.000	0.000	Merged-chrX-20775787-26
NR41506--MA0741.1.KLF16	chr3	41742607	41742617	-	0.000	0.000	Merged-chr3-41742487-85
NR28331--MA0740.1.KLF14	chr17	7170096	7170109	-	0.000	0.000	Merged-chr17-7169938-73
NR20066--MA0599.1.KLF5	chr14	25505126	25505135	-	0.000	0.000	Merged-chr14-25505314-24
NR48277--MA0599.1.KLF5	chr4	133887415	133887424	-	0.000	0.000	Merged-chr4-133887364-2
NR19934--MA0599.1.KLF5	chr14	20546230	20546239	+	0.000	0.000	Merged-chr14-20546209-85
NR31073--MA1107.1.KLF9	chr17	88316357	88316369	-	0.000	0.000	Merged-chr17-88316434-22
NR33329--MA1107.1.KLF9	chr18	76929991	76930003	-	0.000	0.000	Merged-chr18-76929986-57
NR67336--MA0740.1.KLF14	chr9	86695953	86695966	-	0.000	0.000	Merged-chr9-86695858-50
NR56225--MA1107.1.KLF9	chr6	98113895	98113907	+	0.000	0.000	Merged-chr6-98113834-14
NR11263--MA0741.1.KLF16	chr11	74522812	74522822	+	0.000	0.000	Merged-chr11-74522748-45
NR32150--MA0493.1.Klf1	chr18	38144877	38144887	-	0.000	0.000	Merged-chr18-38144926-39
NR51465--MA1107.1.KLF9	chr5	88676304	88676316	-	0.000	0.000	Merged-chr5-88676360-5
NR34405--MA0741.1.KLF16	chr19	34846573	34846583	-	0.000	0.000	Merged-chr19-34846685-64
NR26368--MA0599.1.KLF5	chr16	30008353	30008362	+	0.000	0.000	Merged-chr16-30008320-2
NR45548--MA1107.1.KLF9	chr4	32388038	32388050	+	0.000	0.000	Merged-chr4-32387941-10
NR19239--MA1107.1.KLF9	chr13	117203249	117203261	-	0.000	0.000	Merged-chr13-117203167-67
NR2305--MA1107.1.KLF9	chr1	105990275	105990287	-	0.000	0.000	Merged-chr1-105990318-9
NR60974--MA1107.1.KLF9	chr7	107659438	107659450	-	0.000	0.000	Merged-chr7-107659322-39
NR45052--MA0741.1.KLF16	chr4	8647598	8647608	-	0.000	0.000	Merged-chr4-8647545-77
NR27784--MA0493.1.Klf1	chr16	90220988	90220998	+	0.000	0.000	Merged-chr16-90220998-103
NR45891--MA0740.1.KLF14	chr4	43058913	43058926	-	0.000	0.000	Merged-chr4-43059054-50
NR45989--MA0741.1.KLF16	chr4	45530839	45530849	+	0.000	0.000	Merged-chr4-45530813-118
NR42478--MA0742.1.Klf12	chr3	88716848	88716862	+	0.000	0.000	Merged-chr3-88716875-51
NR30774--MA0741.1.KLF16	chr17	80479369	80479379	-	0.000	0.000	Merged-chr17-80479314-1,Merged-chr17-80479567-11
NR12960--MA0741.1.KLF16	chr11	119041081	119041091	+	0.000	0.000	Merged-chr11-119041092-76
NR12202--MA0599.1.KLF5	chr11	99163371	99163380	-	0.000	0.000	Merged-chr11-99163230-42
NR65072--MA0493.1.Klf1	chr8	120078309	120078319	+	0.000	0.000	Merged-chr8-120078339-32
NR22638--MA0657.1.KLF13	chr15	5116484	5116501	+	0.000	0.000	Merged-chr15-5116701-74
NR56875--MA0740.1.KLF14	chr6	120916865	120916878	+	0.000	0.000	Merged-chr6-120916830-68
NR33799--MA0740.1.KLF14	chr19	4169516	4169529	+	0.000	0.000	Merged-chr19-4169695-50
NR69539--MA0740.1.KLF14	chrX	159809741	159809754	-	0.000	0.000	Merged-chrX-159809700-46
NR49411--MA0741.1.KLF16	chr5	8456773	8456783	-	0.000	0.000	Merged-chr5-8456696-26
NR18167--MA1107.1.KLF9	chr13	89454727	89454739	-	0.000	0.000	Merged-chr13-89454773-11
NR42978--MA0599.1.KLF5	chr3	103102625	103102634	-	0.000	0.000	Merged-chr3-103102606-96
NR24627--MA0599.1.KLF5	chr15	83350009	83350018	+	0.000	0.000	Merged-chr15-83350192-58
NR64529--MA0599.1.KLF5	chr8	104039727	104039736	-	0.000	0.000	Merged-chr8-104039758-41
NR13910--MA0740.1.KLF14	chr12	40445943	40445956	+	0.000	0.000	Merged-chr12-40446006-78
NR55820--MA1107.1.KLF9	chr6	86127183	86127195	-	0.000	0.000	Merged-chr6-86127203-6
