#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Bcl6/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.up.bed
NR1588--MA0463.1.Bcl6	chr5	135134247	135134260	+	0.000	0.000	Merged-chr5-135134293-53
NR1248--MA0463.1.Bcl6	chr3	88914017	88914030	+	0.000	0.000	Merged-chr3-88913993-52
NR1954--MA0731.1.BCL6B	chr8	110813182	110813198	+	0.000	0.000	Merged-chr8-110813191-16
NR1266--MA0463.1.Bcl6	chr3	104968184	104968197	+	0.000	0.000	Merged-chr3-104968115-29
NR2020--MA0463.1.Bcl6	chr9	58247240	58247253	-	0.000	0.000	Merged-chr9-58247218-31
NR458--MA0731.1.BCL6B	chr12	111182140	111182156	+	0.000	0.000	Merged-chr12-111182112-59
NR729--MA0731.1.BCL6B	chr15	93379443	93379459	+	0.000	0.000	Merged-chr15-93379459-27
NR1920--MA0731.1.BCL6B	chr8	70611833	70611849	-	0.000	0.000	Merged-chr8-70611821-55
NR153--MA0731.1.BCL6B	chr1	180906882	180906898	-	0.000	0.000	Merged-chr1-180906731-1,Merged-chr1-180906986-1
NR219--MA0731.1.BCL6B	chr10	59570337	59570353	+	0.000	0.000	Merged-chr10-59570235-1
NR1181--MA0463.1.Bcl6	chr2	168904459	168904472	-	0.000	0.000	Merged-chr2-168904404-53
NR1029--MA0463.1.Bcl6	chr2	18765774	18765787	+	0.000	0.000	Merged-chr2-18765910-35
NR1602--MA0463.1.Bcl6	chr5	143485210	143485223	-	0.000	0.000	Merged-chr5-143485209-17
NR2025--MA0463.1.Bcl6	chr9	63712140	63712153	-	0.000	0.000	Merged-chr9-63712041-20
NR1771--MA0731.1.BCL6B	chr7	28372749	28372765	-	0.000	0.000	Merged-chr7-28372841-69
NR1186--MA0463.1.Bcl6	chr2	173077132	173077145	-	0.000	0.000	Merged-chr2-173077118-17
NR836--MA0463.1.Bcl6	chr17	33865564	33865577	-	0.000	0.000	Merged-chr17-33865585-36
NR40--MA0463.1.Bcl6	chr1	74808094	74808107	-	0.000	0.000	Merged-chr1-74808255-37
NR2039--MA0463.1.Bcl6	chr9	79970823	79970836	+	0.000	0.000	Merged-chr9-79970896-33
NR1643--MA0463.1.Bcl6	chr6	48086588	48086601	+	0.000	0.000	Merged-chr6-48086485-91
NR1763--MA0731.1.BCL6B	chr7	19310286	19310302	-	0.000	0.000	Merged-chr7-19310248-55
NR1791--MA0463.1.Bcl6	chr7	66180295	66180308	-	0.000	0.000	Merged-chr7-66180398-100
NR1563--MA0463.1.Bcl6	chr5	117107521	117107534	+	0.000	0.000	Merged-chr5-117107665-16
NR1581--MA0463.1.Bcl6	chr5	130204817	130204830	+	0.000	0.000	Merged-chr5-130204591-44
NR1214--MA0463.1.Bcl6	chr3	37753353	37753366	-	0.000	0.000	Merged-chr3-37753406-27
NR831--MA0731.1.BCL6B	chr17	27027834	27027850	-	0.000	0.000	Merged-chr17-27027661-33
NR1693--MA0463.1.Bcl6	chr6	116682455	116682468	+	0.000	0.000	Merged-chr6-116682504-22
NR77--MA0463.1.Bcl6	chr1	131010627	131010640	-	0.000	0.000	Merged-chr1-131010715-50
NR206--MA0463.1.Bcl6	chr10	28684249	28684262	+	0.000	0.000	Merged-chr10-28684367-6
NR1371--MA0463.1.Bcl6	chr4	12778303	12778316	+	0.000	0.000	Merged-chr4-12778412-28
NR1909--MA0731.1.BCL6B	chr8	46753126	46753142	-	0.000	0.000	Merged-chr8-46753180-8
NR224--MA0463.1.Bcl6	chr10	60531571	60531584	-	0.000	0.000	Merged-chr10-60531472-32
NR694--MA0463.1.Bcl6	chr15	38518287	38518300	-	0.000	0.000	Merged-chr15-38518309-9
NR1027--MA0463.1.Bcl6	chr2	18046848	18046861	+	0.000	0.000	Merged-chr2-18046867-13
NR390--MA0463.1.Bcl6	chr11	120354119	120354132	-	0.000	0.000	Merged-chr11-120353921-57
NR238--MA0463.1.Bcl6	chr10	81082406	81082419	-	0.000	0.000	Merged-chr10-81082466-12
NR1139--MA0463.1.Bcl6	chr2	132607901	132607914	+	0.000	0.000	Merged-chr2-132607891-50
NR531--MA0731.1.BCL6B	chr13	66905343	66905359	-	0.000	0.000	Merged-chr13-66905214-64
NR1045--MA0463.1.Bcl6	chr2	32867552	32867565	+	0.000	0.000	Merged-chr2-32867635-14
NR1927--MA0463.1.Bcl6	chr8	75071698	75071711	-	0.000	0.000	Merged-chr8-75071889-52
NR1712--MA0463.1.Bcl6	chr6	135011564	135011577	-	0.000	0.000	Merged-chr6-135011680-51
NR2014--MA0463.1.Bcl6	chr9	52188081	52188094	+	0.000	0.000	Merged-chr9-52188310-18
NR911--MA0731.1.BCL6B	chr18	32880671	32880687	+	0.000	0.000	Merged-chr18-32880667-46
NR892--MA0731.1.BCL6B	chr17	86590998	86591014	+	0.000	0.000	Merged-chr17-86591130-5
NR1945--MA0463.1.Bcl6	chr8	105855013	105855026	-	0.000	0.000	Merged-chr8-105855087-69
NR1434--MA0731.1.BCL6B	chr4	122884680	122884696	-	0.000	0.000	Merged-chr4-122884579-2
NR274--MA0463.1.Bcl6	chr10	117982728	117982741	+	0.000	0.000	Merged-chr10-117982814-16
NR180--MA0463.1.Bcl6	chr1	191193935	191193948	+	0.000	0.000	Merged-chr1-191193945-62
NR386--MA0463.1.Bcl6	chr11	118200471	118200484	+	0.000	0.000	Merged-chr11-118200400-19
NR1502--MA0463.1.Bcl6	chr5	33543294	33543307	-	0.000	0.000	Merged-chr5-33543525-21
NR2019--MA0463.1.Bcl6	chr9	57910728	57910741	+	0.000	0.000	Merged-chr9-57910842-63
NR928--MA0463.1.Bcl6	chr18	60803610	60803623	+	0.000	0.000	Merged-chr18-60803637-35
NR871--MA0731.1.BCL6B	chr17	71334349	71334365	+	0.000	0.000	Merged-chr17-71334455-18
NR1520--MA0463.1.Bcl6	chr5	67260766	67260779	+	0.000	0.000	Merged-chr5-67260794-69
NR2037--MA0463.1.Bcl6	chr9	78443112	78443125	-	0.000	0.000	Merged-chr9-78443025-84
NR731--MA0463.1.Bcl6	chr15	93519406	93519419	+	0.000	0.000	Merged-chr15-93519280-70
NR632--MA0731.1.BCL6B	chr14	70076773	70076789	+	0.000	0.000	Merged-chr14-70076912-39
NR741--MA0731.1.BCL6B	chr16	11034623	11034639	+	0.000	0.000	Merged-chr16-11034584-21
NR16--MA0463.1.Bcl6	chr1	37478659	37478672	+	0.000	0.000	Merged-chr1-37478552-128
NR2064--MA0463.1.Bcl6	chr9	102784597	102784610	-	0.000	0.000	Merged-chr9-102784634-33
NR615--MA0463.1.Bcl6	chr14	52257854	52257867	-	0.000	0.000	Merged-chr14-52257717-61
NR340--MA0731.1.BCL6B	chr11	69995661	69995677	+	0.000	0.000	Merged-chr11-69995623-48
NR633--MA0463.1.Bcl6	chr14	70781314	70781327	+	0.000	0.000	Merged-chr14-70781292-78
NR592--MA0731.1.BCL6B	chr14	7964613	7964629	+	0.000	0.000	Merged-chr14-7964637-21
NR43--MA0463.1.Bcl6	chr1	82787570	82787583	+	0.000	0.000	Merged-chr1-82787603-20
NR2069--MA0463.1.Bcl6	chr9	105694012	105694025	-	0.000	0.000	Merged-chr9-105694036-2
NR1038--MA0731.1.BCL6B	chr2	25534383	25534399	-	0.000	0.000	Merged-chr2-25534396-66
NR517--MA0463.1.Bcl6	chr13	50417942	50417955	+	0.000	0.000	Merged-chr13-50418093-77
NR1682--MA0463.1.Bcl6	chr6	108318376	108318389	-	0.000	0.000	Merged-chr6-108318445-25
NR441--MA0463.1.Bcl6	chr12	100168534	100168547	+	0.000	0.000	Merged-chr12-100168610-40
NR1557--MA0463.1.Bcl6	chr5	107953079	107953092	-	0.000	0.000	Merged-chr5-107953037-18
NR1094--MA0731.1.BCL6B	chr2	79127665	79127681	+	0.000	0.000	Merged-chr2-79127545-30
NR768--MA0463.1.Bcl6	chr16	45223047	45223060	+	0.000	0.000	Merged-chr16-45223020-10
NR1669--MA0463.1.Bcl6	chr6	88939542	88939555	+	0.000	0.000	Merged-chr6-88939617-36
NR584--MA0731.1.BCL6B	chr13	117223188	117223204	+	0.000	0.000	Merged-chr13-117223399-24
NR786--MA0463.1.Bcl6	chr16	75920952	75920965	-	0.000	0.000	Merged-chr16-75921068-56
NR571--MA0463.1.Bcl6	chr13	107866946	107866959	-	0.000	0.000	Merged-chr13-107866970-30
NR1687--MA0463.1.Bcl6	chr6	113442464	113442477	-	0.000	0.000	Merged-chr6-113442615-46
NR1799--MA0463.1.Bcl6	chr7	79920759	79920772	+	0.000	0.000	Merged-chr7-79920663-50
NR1758--MA0731.1.BCL6B	chr7	16874381	16874397	-	0.000	0.000	Merged-chr7-16874249-24
NR1244--MA0463.1.Bcl6	chr3	86961080	86961093	+	0.000	0.000	Merged-chr3-86961231-31
NR834--MA0731.1.BCL6B	chr17	29395509	29395525	-	0.000	0.000	Merged-chr17-29395437-29
NR1150--MA0463.1.Bcl6	chr2	144198942	144198955	+	0.000	0.000	Merged-chr2-144198804-26
NR98--MA0463.1.Bcl6	chr1	151344108	151344121	+	0.000	0.000	Merged-chr1-151344132-5
NR1989--MA0731.1.BCL6B	chr9	21015788	21015804	-	0.000	0.000	Merged-chr9-21015745-80
NR1128--MA0463.1.Bcl6	chr2	125673432	125673445	+	0.000	0.000	Merged-chr2-125673245-74
NR1392--MA0463.1.Bcl6	chr4	82365045	82365058	+	0.000	0.000	Merged-chr4-82365199-20
NR366--MA0463.1.Bcl6	chr11	101641913	101641926	-	0.000	0.000	Merged-chr11-101641901-72
NR1052--MA0463.1.Bcl6	chr2	36276734	36276747	+	0.000	0.000	Merged-chr2-36276714-8
NR1258--MA0463.1.Bcl6	chr3	96576887	96576900	+	0.000	0.000	Merged-chr3-96576802-53
NR1070--MA0463.1.Bcl6	chr2	60880863	60880876	+	0.000	0.000	Merged-chr2-60880763-2
NR1276--MA0463.1.Bcl6	chr3	108726571	108726584	-	0.000	0.000	Merged-chr3-108726514-23
NR393--MA0731.1.BCL6B	chr12	4436420	4436436	+	0.000	0.000	Merged-chr12-4436328-23
NR129--MA0463.1.Bcl6	chr1	170853712	170853725	+	0.000	0.000	Merged-chr1-170853758-47
NR1182--MA0463.1.Bcl6	chr2	170126584	170126597	+	0.000	0.000	Merged-chr2-170126544-26
NR1706--MA0463.1.Bcl6	chr6	129255235	129255248	+	0.000	0.000	Merged-chr6-129255226-26
NR1048--MA0463.1.Bcl6	chr2	35299561	35299574	+	0.000	0.000	Merged-chr2-35299647-29
NR882--MA0731.1.BCL6B	chr17	79599513	79599529	-	0.000	0.000	Merged-chr17-79599396-20
NR2026--MA0463.1.Bcl6	chr9	64824823	64824836	+	0.000	0.000	Merged-chr9-64824731-59
NR268--MA0463.1.Bcl6	chr10	111583417	111583430	-	0.000	0.000	Merged-chr10-111583294-13
NR720--MA0463.1.Bcl6	chr15	78581567	78581580	+	0.000	0.000	Merged-chr15-78581743-66
NR841--MA0463.1.Bcl6	chr17	35673883	35673896	+	0.000	0.000	Merged-chr17-35673774-49
NR372--MA0731.1.BCL6B	chr11	106762572	106762588	+	0.000	0.000	Merged-chr11-106762485-69
NR707--MA0463.1.Bcl6	chr15	58655187	58655200	+	0.000	0.000	Merged-chr15-58655104-54
NR1689--MA0731.1.BCL6B	chr6	113668825	113668841	+	0.000	0.000	Merged-chr6-113668955-38
NR1179--MA0731.1.BCL6B	chr2	168007320	168007336	-	0.000	0.000	Merged-chr2-168007422-8
NR1738--MA0463.1.Bcl6	chr6	145104353	145104366	-	0.000	0.000	Merged-chr6-145104452-21
NR41--MA0463.1.Bcl6	chr1	79751408	79751421	-	0.000	0.000	Merged-chr1-79751461-38
NR2094--MA0463.1.Bcl6	chr9	123723168	123723181	-	0.000	0.000	Merged-chr9-123723255-25
NR757--MA0463.1.Bcl6	chr16	23988588	23988601	+	0.000	0.000	Merged-chr16-23988801-56
NR723--MA0731.1.BCL6B	chr15	80318088	80318104	+	0.000	0.000	Merged-chr15-80318050-7
NR332--MA0463.1.Bcl6	chr11	68451467	68451480	+	0.000	0.000	Merged-chr11-68451501-45
NR1448--MA0463.1.Bcl6	chr4	136031602	136031615	+	0.000	0.000	Merged-chr4-136031447-41
NR322--MA0731.1.BCL6B	chr11	57952816	57952832	-	0.000	0.000	Merged-chr11-57952769-40
NR453--MA0463.1.Bcl6	chr12	110485211	110485224	+	0.000	0.000	Merged-chr12-110485299-1
NR565--MA0463.1.Bcl6	chr13	102085952	102085965	-	0.000	0.000	Merged-chr13-102085968-1
NR207--MA0463.1.Bcl6	chr10	28816361	28816374	+	0.000	0.000	Merged-chr10-28816240-37
NR471--MA0463.1.Bcl6	chr12	115242929	115242942	-	0.000	0.000	Merged-chr12-115242881-34
NR1596--MA0463.1.Bcl6	chr5	139303891	139303904	+	0.000	0.000	Merged-chr5-139303910-62
NR2001--MA0463.1.Bcl6	chr9	45828569	45828582	-	0.000	0.000	Merged-chr9-45828671-68
NR910--MA0463.1.Bcl6	chr18	32880671	32880684	-	0.000	0.000	Merged-chr18-32880667-46
NR18--MA0731.1.BCL6B	chr1	37478656	37478672	-	0.000	0.000	Merged-chr1-37478552-128
NR355--MA0463.1.Bcl6	chr11	87578496	87578509	-	0.000	0.000	Merged-chr11-87578522-34
NR1923--MA0463.1.Bcl6	chr8	72285484	72285497	+	0.000	0.000	Merged-chr8-72285397-19
NR467--MA0463.1.Bcl6	chr12	114253682	114253695	+	0.000	0.000	Merged-chr12-114253659-1
NR109--MA0463.1.Bcl6	chr1	156462767	156462780	+	0.000	0.000	Merged-chr1-156462820-12
NR373--MA0463.1.Bcl6	chr11	108235537	108235550	-	0.000	0.000	Merged-chr11-108235503-22
NR2015--MA0463.1.Bcl6	chr9	53452368	53452381	-	0.000	0.000	Merged-chr9-53452460-4
NR924--MA0463.1.Bcl6	chr18	60462365	60462378	-	0.000	0.000	Merged-chr18-60462470-32
NR369--MA0463.1.Bcl6	chr11	106536328	106536341	+	0.000	0.000	Merged-chr11-106536245-61
NR830--MA0463.1.Bcl6	chr17	24414487	24414500	-	0.000	0.000	Merged-chr17-24414569-93
NR2033--MA0463.1.Bcl6	chr9	72408271	72408284	-	0.000	0.000	Merged-chr9-72408394-35
NR942--MA0463.1.Bcl6	chr18	75740775	75740788	-	0.000	0.000	Merged-chr18-75740758-31
NR181--MA0463.1.Bcl6	chr1	191599406	191599419	-	0.000	0.000	Merged-chr1-191599385-45
NR144--MA0731.1.BCL6B	chr1	178187462	178187478	+	0.000	0.000	Merged-chr1-178187385-1
NR714--MA0463.1.Bcl6	chr15	67398241	67398254	-	0.000	0.000	Merged-chr15-67398131-20
NR1400--MA0463.1.Bcl6	chr4	89178165	89178178	+	0.000	0.000	Merged-chr4-89178152-23
NR1401--MA0731.1.BCL6B	chr4	89351187	89351203	+	0.000	0.000	Merged-chr4-89351221-94
NR1521--MA0463.1.Bcl6	chr5	67260764	67260777	-	0.000	0.000	Merged-chr5-67260794-69
NR1924--MA0731.1.BCL6B	chr8	72285481	72285497	-	0.000	0.000	Merged-chr8-72285397-19
NR30--MA0463.1.Bcl6	chr1	65179840	65179853	-	0.000	0.000	Merged-chr1-65179947-8
NR750--MA0463.1.Bcl6	chr16	18127358	18127371	-	0.000	0.000	Merged-chr16-18127553-42
NR1866--MA0463.1.Bcl6	chr7	130673942	130673955	-	0.000	0.000	Merged-chr7-130673894-22
NR1871--MA0731.1.BCL6B	chr7	131540223	131540239	+	0.000	0.000	Merged-chr7-131540239-21
NR719--MA0463.1.Bcl6	chr15	78475676	78475689	+	0.000	0.000	Merged-chr15-78475824-65
NR1096--MA0463.1.Bcl6	chr2	80579474	80579487	-	0.000	0.000	Merged-chr2-80579477-19
NR504--MA0463.1.Bcl6	chr13	23551448	23551461	-	0.000	0.000	Merged-chr13-23551555-61
NR983--MA0463.1.Bcl6	chr19	30095538	30095551	+	0.000	0.000	Merged-chr19-30095625-14
NR616--MA0463.1.Bcl6	chr14	52304831	52304844	-	0.000	0.000	Merged-chr14-52304982-66
NR26--MA0463.1.Bcl6	chr1	60977868	60977881	-	0.000	0.000	Merged-chr1-60977872-47
NR1423--MA0463.1.Bcl6	chr4	116651704	116651717	-	0.000	0.000	Merged-chr4-116651530-57
NR1629--MA0463.1.Bcl6	chr6	29271104	29271117	+	0.000	0.000	Merged-chr6-29271103-44
NR136--MA0731.1.BCL6B	chr1	173437390	173437406	-	0.000	0.000	Merged-chr1-173437499-84
NR2104--MA0731.1.BCL6B	chrX	20364486	20364502	+	0.000	0.000	Merged-chrX-20364570-48
NR867--MA0463.1.Bcl6	chr17	66101675	66101688	+	0.000	0.000	Merged-chr17-66101673-100
NR1768--MA0463.1.Bcl6	chr7	25780165	25780178	+	0.000	0.000	Merged-chr7-25780138-19
NR312--MA0463.1.Bcl6	chr11	52231872	52231885	-	0.000	0.000	Merged-chr11-52232101-58
NR2088--MA0463.1.Bcl6	chr9	117896449	117896462	+	0.000	0.000	Merged-chr9-117896590-25
NR1683--MA0463.1.Bcl6	chr6	108512120	108512133	+	0.000	0.000	Merged-chr6-108512233-21
NR1101--MA0731.1.BCL6B	chr2	84715611	84715627	-	0.000	0.000	Merged-chr2-84715437-136
NR536--MA0463.1.Bcl6	chr13	73718503	73718516	+	0.000	0.000	Merged-chr13-73718441-19
NR1624--MA0731.1.BCL6B	chr6	13838596	13838612	+	0.000	0.000	Merged-chr6-13838758-42
NR1210--MA0731.1.BCL6B	chr3	36495642	36495658	-	0.000	0.000	Merged-chr3-36495675-35
NR1455--MA0463.1.Bcl6	chr4	141874592	141874605	+	0.000	0.000	Merged-chr4-141874897-70
NR7--MA0463.1.Bcl6	chr1	23399750	23399763	-	0.000	0.000	Merged-chr1-23399724-29
NR1491--MA0463.1.Bcl6	chr5	15463353	15463366	+	0.000	0.000	Merged-chr5-15463395-183
NR1800--MA0463.1.Bcl6	chr7	80123349	80123362	+	0.000	0.000	Merged-chr7-80123359-34
NR1441--MA0731.1.BCL6B	chr4	132775157	132775173	+	0.000	0.000	Merged-chr4-132775105-24
NR456--MA0463.1.Bcl6	chr12	111165941	111165954	+	0.000	0.000	Merged-chr12-111165903-22
NR1151--MA0463.1.Bcl6	chr2	144267615	144267628	+	0.000	0.000	Merged-chr2-144267809-49
NR1263--MA0463.1.Bcl6	chr3	103780404	103780417	-	0.000	0.000	Merged-chr3-103780443-3
NR595--MA0463.1.Bcl6	chr14	20885650	20885663	-	0.000	0.000	Merged-chr14-20885499-75
NR228--MA0463.1.Bcl6	chr10	66864663	66864676	-	0.000	0.000	Merged-chr10-66864707-69
NR229--MA0731.1.BCL6B	chr10	66864772	66864788	+	0.000	0.000	Merged-chr10-66864707-69
NR1129--MA0463.1.Bcl6	chr2	125859091	125859104	-	0.000	0.000	Merged-chr2-125858986-61
NR349--MA0463.1.Bcl6	chr11	81996271	81996284	+	0.000	0.000	Merged-chr11-81996367-24
NR134--MA0463.1.Bcl6	chr1	171939422	171939435	-	0.000	0.000	Merged-chr1-171939454-57
NR2004--MA0463.1.Bcl6	chr9	46273043	46273056	-	0.000	0.000	Merged-chr9-46273034-67
