#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Prdm1/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed
NR577--MA0508.2.PRDM1	chr12	112130380	112130389	+	0.000	0.000	Merged-chr12-112130474-63
NR848--MA0508.2.PRDM1	chr14	64688869	64688878	+	0.000	0.000	Merged-chr14-64688922-18
NR1467--MA0508.2.PRDM1	chr2	68430850	68430859	-	0.000	0.000	Merged-chr2-68430660-54
NR163--MA0508.2.PRDM1	chr1	152010419	152010428	-	0.000	0.000	Merged-chr1-152010502-52
NR1053--MA0508.2.PRDM1	chr16	45024178	45024187	-	0.000	0.000	Merged-chr16-45024089-23
NR543--MA0508.2.PRDM1	chr12	79634010	79634019	+	0.000	0.000	Merged-chr12-79634130-2
NR814--MA0508.2.PRDM1	chr14	32201971	32201980	-	0.000	0.000	Merged-chr14-32201951-64
NR2383--MA0508.2.PRDM1	chr7	19573482	19573491	+	0.000	0.000	Merged-chr7-19573361-57
NR447--MA0508.2.PRDM1	chr11	94601809	94601818	-	0.000	0.000	Merged-chr11-94601858-52
NR1337--MA0508.2.PRDM1	chr19	6869651	6869660	+	0.000	0.000	Merged-chr19-6869528-29
NR2492--MA0508.2.PRDM1	chr8	14997065	14997074	-	0.000	0.000	Merged-chr8-14996995-10
NR631--MA0508.2.PRDM1	chr13	23574209	23574218	+	0.000	0.000	Merged-chr13-23574347-69
NR426--MA0508.2.PRDM1	chr11	44540297	44540306	-	0.000	0.000	Merged-chr11-44540371-5
NR1297--MA0508.2.PRDM1	chr18	61638217	61638226	+	0.000	0.000	Merged-chr18-61638222-61
NR806--MA0508.2.PRDM1	chr14	21032266	21032275	+	0.000	0.000	Merged-chr14-21032326-46
NR2232--MA0508.2.PRDM1	chr6	50416936	50416945	+	0.000	0.000	Merged-chr6-50417055-62
NR2503--MA0508.2.PRDM1	chr8	25132731	25132740	+	0.000	0.000	Merged-chr8-25132757-32
NR439--MA0508.2.PRDM1	chr11	78328290	78328299	-	0.000	0.000	Merged-chr11-78328473-53
NR2484--MA0508.2.PRDM1	chr7	142435693	142435702	+	0.000	0.000	Merged-chr7-142435660-33
NR2612--MA0508.2.PRDM1	chr9	30423285	30423294	+	0.000	0.000	Merged-chr9-30423278-2
NR548--MA0508.2.PRDM1	chr12	86879814	86879823	+	0.000	0.000	Merged-chr12-86879844-2
NR243--MA0508.2.PRDM1	chr10	16830080	16830089	+	0.000	0.000	Merged-chr10-16829982-2
NR352--MA0508.2.PRDM1	chr10	94829520	94829529	-	0.000	0.000	Merged-chr10-94829610-38
NR190--MA0508.2.PRDM1	chr1	173635160	173635169	+	0.000	0.000	Merged-chr1-173635159-15
NR461--MA0508.2.PRDM1	chr11	118086180	118086189	-	0.000	0.000	Merged-chr11-118086043-2
NR636--MA0508.2.PRDM1	chr13	30792399	30792408	+	0.000	0.000	Merged-chr13-30792464-54
NR745--MA0508.2.PRDM1	chr13	106691992	106692001	+	0.000	0.000	Merged-chr13-106691961-50
NR126--MA0508.2.PRDM1	chr1	128103200	128103209	-	0.000	0.000	Merged-chr1-128103135-101
NR583--MA0508.2.PRDM1	chr12	117995044	117995053	-	0.000	0.000	Merged-chr12-117995119-48
NR378--MA0508.2.PRDM1	chr10	111156973	111156982	-	0.000	0.000	Merged-chr10-111156928-138
NR2551--MA0508.2.PRDM1	chr8	83741267	83741276	-	0.000	0.000	Merged-chr8-83741278-35
NR2150--MA0508.2.PRDM1	chr5	102373745	102373754	+	0.000	0.000	Merged-chr5-102373793-12
NR2325--MA0508.2.PRDM1	chr6	129366092	129366101	+	0.000	0.000	Merged-chr6-129366136-25
NR989--MA0508.2.PRDM1	chr15	78596959	78596968	+	0.000	0.000	Merged-chr15-78597127-20
NR2609--MA0508.2.PRDM1	chr9	21235478	21235487	+	0.000	0.000	Merged-chr9-21235513-26
NR2176--MA0508.2.PRDM1	chr5	140871436	140871445	+	0.000	0.000	Merged-chr5-140871418-38
NR859--MA0508.2.PRDM1	chr14	79180670	79180679	-	0.000	0.000	Merged-chr14-79180563-9
NR349--MA0508.2.PRDM1	chr10	93453449	93453458	-	0.000	0.000	Merged-chr10-93453277-72
NR1811--MA0508.2.PRDM1	chr3	152193887	152193896	+	0.000	0.000	Merged-chr3-152193769-51
NR187--MA0508.2.PRDM1	chr1	173420451	173420460	+	0.000	0.000	Merged-chr1-173420566-40
NR729--MA0508.2.PRDM1	chr13	100854321	100854330	-	0.000	0.000	Merged-chr13-100854442-29
NR2298--MA0508.2.PRDM1	chr6	107015774	107015783	-	0.000	0.000	Merged-chr6-107015633-1
NR2155--MA0508.2.PRDM1	chr5	105495369	105495378	+	0.000	0.000	Merged-chr5-105495544-71
NR2678--MA0508.2.PRDM1	chr9	101099660	101099669	+	0.000	0.000	Merged-chr9-101099532-8
NR328--MA0508.2.PRDM1	chr10	79417332	79417341	-	0.000	0.000	Merged-chr10-79417442-89
NR2373--MA0508.2.PRDM1	chr7	6343580	6343589	+	0.000	0.000	Merged-chr7-6343741-28
NR166--MA0508.2.PRDM1	chr1	154786475	154786484	+	0.000	0.000	Merged-chr1-154786384-57
NR1771--MA0508.2.PRDM1	chr3	138542900	138542909	+	0.000	0.000	Merged-chr3-138542669-46
NR798--MA0508.2.PRDM1	chr14	14716269	14716278	-	0.000	0.000	Merged-chr14-14716073-16
NR288--MA0508.2.PRDM1	chr10	52382205	52382214	-	0.000	0.000	Merged-chr10-52382064-99
NR2527--MA0508.2.PRDM1	chr8	57749557	57749566	-	0.000	0.000	Merged-chr8-57749718-8
NR2113--MA0508.2.PRDM1	chr5	63766920	63766929	+	0.000	0.000	Merged-chr5-63767035-24
NR2636--MA0508.2.PRDM1	chr9	77806872	77806881	+	0.000	0.000	Merged-chr9-77806830-39
NR2126--MA0508.2.PRDM1	chr5	85781414	85781423	+	0.000	0.000	Merged-chr5-85781215-4
NR137--MA0508.2.PRDM1	chr1	138559838	138559847	-	0.000	0.000	Merged-chr1-138559796-44
NR1471--MA0508.2.PRDM1	chr2	71866729	71866738	-	0.000	0.000	Merged-chr2-71866752-47
NR1898--MA0508.2.PRDM1	chr4	59331212	59331221	+	0.000	0.000	Merged-chr4-59331068-10
NR2009--MA0508.2.PRDM1	chr4	148998232	148998241	+	0.000	0.000	Merged-chr4-148998288-20
NR1341--MA0508.2.PRDM1	chr19	9911610	9911619	+	0.000	0.000	Merged-chr19-9911533-24
NR1721--MA0508.2.PRDM1	chr3	100969744	100969753	+	0.000	0.000	Merged-chr3-100969599-56
NR940--MA0508.2.PRDM1	chr15	30458924	30458933	-	0.000	0.000	Merged-chr15-30458920-2
NR1354--MA0508.2.PRDM1	chr19	34846599	34846608	-	0.000	0.000	Merged-chr19-34846685-64
NR1211--MA0508.2.PRDM1	chr17	84018935	84018944	-	0.000	0.000	Merged-chr17-84018962-14
NR2588--MA0508.2.PRDM1	chr8	128709380	128709389	-	0.000	0.000	Merged-chr8-128709398-34
NR129--MA0508.2.PRDM1	chr1	131089790	131089799	-	0.000	0.000	Merged-chr1-131089879-35
NR2174--MA0508.2.PRDM1	chr5	139368037	139368046	+	0.000	0.000	Merged-chr5-139368071-16
NR81--MA0508.2.PRDM1	chr1	76754996	76755005	+	0.000	0.000	Merged-chr1-76755045-2
NR1747--MA0508.2.PRDM1	chr3	123385939	123385948	+	0.000	0.000	Merged-chr3-123385920-64
NR1346--MA0508.2.PRDM1	chr19	20409952	20409961	-	0.000	0.000	Merged-chr19-20409885-54
NR198--MA0508.2.PRDM1	chr1	180403776	180403785	-	0.000	0.000	Merged-chr1-180403715-60
NR1726--MA0508.2.PRDM1	chr3	103466067	103466076	-	0.000	0.000	Merged-chr3-103466121-19
NR1944--MA0508.2.PRDM1	chr4	88692666	88692675	+	0.000	0.000	Merged-chr4-88692699-24
NR1705--MA0508.2.PRDM1	chr3	81926125	81926134	+	0.000	0.000	Merged-chr3-81925986-23
NR1686--MA0508.2.PRDM1	chr3	71564229	71564238	+	0.000	0.000	Merged-chr3-71564100-40
NR2158--MA0508.2.PRDM1	chr5	107546186	107546195	+	0.000	0.000	Merged-chr5-107546120-23
NR1033--MA0508.2.PRDM1	chr16	21836808	21836817	+	0.000	0.000	Merged-chr16-21836791-13
NR1142--MA0508.2.PRDM1	chr17	21469216	21469225	+	0.000	0.000	Merged-chr17-21469407-5
NR1046--MA0508.2.PRDM1	chr16	32190297	32190306	-	0.000	0.000	Merged-chr16-32190230-31
NR470--MA0508.2.PRDM1	chr12	8842630	8842639	-	0.000	0.000	Merged-chr12-8842561-54
NR993--MA0508.2.PRDM1	chr15	80722058	80722067	-	0.000	0.000	Merged-chr15-80722026-5
NR850--MA0508.2.PRDM1	chr14	64884950	64884959	+	0.000	0.000	Merged-chr14-64885056-34
NR1264--MA0508.2.PRDM1	chr18	38592492	38592501	-	0.000	0.000	Merged-chr18-38592462-9
NR1373--MA0508.2.PRDM1	chr2	6220491	6220500	-	0.000	0.000	Merged-chr2-6220387-36
NR720--MA0508.2.PRDM1	chr13	92671879	92671888	-	0.000	0.000	Merged-chr13-92671922-24
NR1405--MA0508.2.PRDM1	chr2	27540337	27540346	-	0.000	0.000	Merged-chr2-27540208-76
NR1081--MA0508.2.PRDM1	chr16	65135976	65135985	+	0.000	0.000	Merged-chr16-65135972-1
NR1352--MA0508.2.PRDM1	chr19	34290479	34290488	+	0.000	0.000	Merged-chr19-34290594-61
NR1147--MA0508.2.PRDM1	chr17	28523141	28523150	-	0.000	0.000	Merged-chr17-28522997-85
NR985--MA0508.2.PRDM1	chr15	73146892	73146901	+	0.000	0.000	Merged-chr15-73146986-37
NR1094--MA0508.2.PRDM1	chr16	75877298	75877307	-	0.000	0.000	Merged-chr16-75877310-18
NR1017--MA0508.2.PRDM1	chr16	10741345	10741354	+	0.000	0.000	Merged-chr16-10741370-34
NR1745--MA0508.2.PRDM1	chr3	121105080	121105089	-	0.000	0.000	Merged-chr3-121105161-35
