#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Prdm1/Prdm1KO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed
NR2119--MA0508.2.PRDM1	chr9	91365295	91365304	+	0.000	0.000	Merged-chr9-91365340-1
NR1180--MA0508.2.PRDM1	chr2	73281399	73281408	+	0.000	0.000	Merged-chr2-73281326-31
NR941--MA0508.2.PRDM1	chr17	33824544	33824553	+	0.000	0.000	Merged-chr17-33824550-48
NR1355--MA0508.2.PRDM1	chr3	97076594	97076603	+	0.000	0.000	Merged-chr3-97076384-70
NR1193--MA0508.2.PRDM1	chr2	91078435	91078444	+	0.000	0.000	Merged-chr2-91078502-21
NR1987--MA0508.2.PRDM1	chr8	40577697	40577706	-	0.000	0.000	Merged-chr8-40577674-21
NR1116--MA0508.2.PRDM1	chr2	4883404	4883413	-	0.000	0.000	Merged-chr2-4883400-34
NR1334--MA0508.2.PRDM1	chr3	83993486	83993495	+	0.000	0.000	Merged-chr3-83993440-19
NR1586--MA0508.2.PRDM1	chr5	52149276	52149285	+	0.000	0.000	Merged-chr5-52149380-37
NR824--MA0508.2.PRDM1	chr15	97842536	97842545	-	0.000	0.000	Merged-chr15-97842393-22
NR410--MA0508.2.PRDM1	chr11	100847813	100847822	+	0.000	0.000	Merged-chr11-100847806-1
NR1823--MA0508.2.PRDM1	chr7	28609464	28609473	-	0.000	0.000	Merged-chr7-28609310-17
NR2--MA0508.2.PRDM1	chr1	13281560	13281569	+	0.000	0.000	Merged-chr1-13281685-7
NR771--MA0508.2.PRDM1	chr15	8234389	8234398	+	0.000	0.000	Merged-chr15-8234402-16
NR1390--MA0508.2.PRDM1	chr3	127162272	127162281	-	0.000	0.000	Merged-chr3-127162441-39
NR1185--MA0508.2.PRDM1	chr2	84678380	84678389	-	0.000	0.000	Merged-chr2-84678253-56
NR1456--MA0508.2.PRDM1	chr4	41255897	41255906	-	0.000	0.000	Merged-chr4-41255920-18
NR1727--MA0508.2.PRDM1	chr6	87887792	87887801	+	0.000	0.000	Merged-chr6-87887908-55
NR1042--MA0508.2.PRDM1	chr18	68297172	68297181	+	0.000	0.000	Merged-chr18-68297357-15
NR1979--MA0508.2.PRDM1	chr8	25948927	25948936	+	0.000	0.000	Merged-chr8-25949044-65
NR370--MA0508.2.PRDM1	chr11	69980689	69980698	+	0.000	0.000	Merged-chr11-69980688-100
NR641--MA0508.2.PRDM1	chr13	102656833	102656842	+	0.000	0.000	Merged-chr13-102657027-1
NR1326--MA0508.2.PRDM1	chr3	68056599	68056608	-	0.000	0.000	Merged-chr3-68056784-48
NR1687--MA0508.2.PRDM1	chr6	35462700	35462709	+	0.000	0.000	Merged-chr6-35462751-23
NR1273--MA0508.2.PRDM1	chr2	168230535	168230544	+	0.000	0.000	Merged-chr2-168230468-122
NR1068--MA0508.2.PRDM1	chr19	6980057	6980066	+	0.000	0.000	Merged-chr19-6980205-101
NR1339--MA0508.2.PRDM1	chr3	88254476	88254485	-	0.000	0.000	Merged-chr3-88254557-24
NR1653--MA0508.2.PRDM1	chr5	140215979	140215988	-	0.000	0.000	Merged-chr5-140215756-33
NR620--MA0508.2.PRDM1	chr13	75901121	75901130	-	0.000	0.000	Merged-chr13-75901199-5
NR1034--MA0508.2.PRDM1	chr18	60624637	60624646	+	0.000	0.000	Merged-chr18-60624660-132
NR1557--MA0508.2.PRDM1	chr5	8675489	8675498	-	0.000	0.000	Merged-chr5-8675688-64
NR7--MA0508.2.PRDM1	chr1	20820395	20820404	+	0.000	0.000	Merged-chr1-20820206-62
NR110--MA0508.2.PRDM1	chr1	151353177	151353186	-	0.000	0.000	Merged-chr1-151353190-33
NR904--MA0508.2.PRDM1	chr16	94383605	94383614	+	0.000	0.000	Merged-chr16-94383515-34
NR1299--MA0508.2.PRDM1	chr3	21949631	21949640	-	0.000	0.000	Merged-chr3-21949708-8
NR742--MA0508.2.PRDM1	chr14	77581075	77581084	+	0.000	0.000	Merged-chr14-77581248-1
NR994--MA0508.2.PRDM1	chr17	88042613	88042622	+	0.000	0.000	Merged-chr17-88042729-54
NR755--MA0508.2.PRDM1	chr14	103719037	103719046	+	0.000	0.000	Merged-chr14-103719095-60
NR864--MA0508.2.PRDM1	chr16	36602819	36602828	+	0.000	0.000	Merged-chr16-36602811-38
NR1278--MA0508.2.PRDM1	chr2	173660538	173660547	+	0.000	0.000	Merged-chr2-173660540-10
NR450--MA0508.2.PRDM1	chr12	32017854	32017863	+	0.000	0.000	Merged-chr12-32017895-23
NR1135--MA0508.2.PRDM1	chr2	29622699	29622708	+	0.000	0.000	Merged-chr2-29622559-44
NR1387--MA0508.2.PRDM1	chr3	126628682	126628691	-	0.000	0.000	Merged-chr3-126628752-25
NR24--MA0508.2.PRDM1	chr1	43897353	43897362	-	0.000	0.000	Merged-chr1-43897288-49
NR830--MA0508.2.PRDM1	chr15	103215469	103215478	+	0.000	0.000	Merged-chr15-103215427-34
NR1515--MA0508.2.PRDM1	chr4	117289476	117289485	-	0.000	0.000	Merged-chr4-117289417-85
NR1496--MA0508.2.PRDM1	chr4	89359779	89359788	+	0.000	0.000	Merged-chr4-89359690-21
NR1101--MA0508.2.PRDM1	chr19	55260853	55260862	+	0.000	0.000	Merged-chr19-55260920-21
NR1767--MA0508.2.PRDM1	chr6	127219584	127219593	-	0.000	0.000	Merged-chr6-127219541-27
NR1257--MA0508.2.PRDM1	chr2	150578693	150578702	+	0.000	0.000	Merged-chr2-150578789-44
NR1114--MA0508.2.PRDM1	chr19	60681667	60681676	-	0.000	0.000	Merged-chr19-60681647-27
NR747--MA0508.2.PRDM1	chr14	87066619	87066628	-	0.000	0.000	Merged-chr14-87066806-16
NR999--MA0508.2.PRDM1	chr18	6281386	6281395	+	0.000	0.000	Merged-chr18-6281338-48
NR585--MA0508.2.PRDM1	chr13	34163153	34163162	+	0.000	0.000	Merged-chr13-34163217-77
NR16--MA0508.2.PRDM1	chr1	36883963	36883972	-	0.000	0.000	Merged-chr1-36883943-16
NR822--MA0508.2.PRDM1	chr15	96700369	96700378	+	0.000	0.000	Merged-chr15-96700302-2
NR660--MA0508.2.PRDM1	chr13	111788625	111788634	+	0.000	0.000	Merged-chr13-111788503-44
NR978--MA0508.2.PRDM1	chr17	78362369	78362378	+	0.000	0.000	Merged-chr17-78362512-60
NR2152--MA0508.2.PRDM1	chrX	11653504	11653513	-	0.000	0.000	Merged-chrX-11653555-22
NR29--MA0508.2.PRDM1	chr1	59180294	59180303	-	0.000	0.000	Merged-chr1-59180254-19
NR1183--MA0508.2.PRDM1	chr2	79087414	79087423	-	0.000	0.000	Merged-chr2-79087442-58
NR1358--MA0508.2.PRDM1	chr3	99233965	99233974	-	0.000	0.000	Merged-chr3-99234214-90
NR1629--MA0508.2.PRDM1	chr5	108669060	108669069	+	0.000	0.000	Merged-chr5-108669200-57
NR325--MA0508.2.PRDM1	chr10	128213104	128213113	+	0.000	0.000	Merged-chr10-128213111-44
NR848--MA0508.2.PRDM1	chr16	24152155	24152164	+	0.000	0.000	Merged-chr16-24152137-5
NR2022--MA0508.2.PRDM1	chr8	105746493	105746502	-	0.000	0.000	Merged-chr8-105746434-56
NR163--MA0508.2.PRDM1	chr1	178463756	178463765	+	0.000	0.000	Merged-chr1-178463862-33
NR434--MA0508.2.PRDM1	chr12	8500050	8500059	+	0.000	0.000	Merged-chr12-8499918-111
NR1053--MA0508.2.PRDM1	chr18	82751106	82751115	-	0.000	0.000	Merged-chr18-82751310-32
NR1119--MA0508.2.PRDM1	chr2	6661578	6661587	+	0.000	0.000	Merged-chr2-6661644-7
NR891--MA0508.2.PRDM1	chr16	78532151	78532160	-	0.000	0.000	Merged-chr16-78532286-51
NR957--MA0508.2.PRDM1	chr17	47508187	47508196	-	0.000	0.000	Merged-chr17-47508113-61
NR543--MA0508.2.PRDM1	chr12	115298215	115298224	-	0.000	0.000	Merged-chr12-115298159-31
NR652--MA0508.2.PRDM1	chr13	108316207	108316216	-	0.000	0.000	Merged-chr13-108316339-65
NR923--MA0508.2.PRDM1	chr17	17609361	17609370	+	0.000	0.000	Merged-chr17-17609399-1
NR98--MA0508.2.PRDM1	chr1	131204715	131204724	+	0.000	0.000	Merged-chr1-131204658-49
NR490--MA0508.2.PRDM1	chr12	82171162	82171171	+	0.000	0.000	Merged-chr12-82171094-10
NR2001--MA0508.2.PRDM1	chr8	70808447	70808456	+	0.000	0.000	Merged-chr8-70808420-14
NR413--MA0508.2.PRDM1	chr11	103951374	103951383	-	0.000	0.000	Merged-chr11-103951331-24
NR1079--MA0508.2.PRDM1	chr19	32186694	32186703	+	0.000	0.000	Merged-chr19-32186788-54
NR2110--MA0508.2.PRDM1	chr9	82964121	82964130	+	0.000	0.000	Merged-chr9-82964235-29
NR522--MA0508.2.PRDM1	chr12	107734619	107734628	+	0.000	0.000	Merged-chr12-107734744-35
NR317--MA0508.2.PRDM1	chr10	121427387	121427396	-	0.000	0.000	Merged-chr10-121427344-22
NR1459--MA0508.2.PRDM1	chr4	47799350	47799359	-	0.000	0.000	Merged-chr4-47799329-53
NR360--MA0508.2.PRDM1	chr11	53128858	53128867	+	0.000	0.000	Merged-chr11-53128879-36
NR426--MA0508.2.PRDM1	chr11	119352365	119352374	+	0.000	0.000	Merged-chr11-119352427-33
NR77--MA0508.2.PRDM1	chr1	98589790	98589799	-	0.000	0.000	Merged-chr1-98589738-39
NR806--MA0508.2.PRDM1	chr15	86007814	86007823	+	0.000	0.000	Merged-chr15-86007897-35
NR121--MA0508.2.PRDM1	chr1	156673798	156673807	-	0.000	0.000	Merged-chr1-156673751-1
NR373--MA0508.2.PRDM1	chr11	72735128	72735137	-	0.000	0.000	Merged-chr11-72734997-16
NR439--MA0508.2.PRDM1	chr12	11300958	11300967	+	0.000	0.000	Merged-chr12-11300955-23
NR1329--MA0508.2.PRDM1	chr3	78890037	78890046	-	0.000	0.000	Merged-chr3-78890015-28
NR230--MA0508.2.PRDM1	chr10	39600359	39600368	+	0.000	0.000	Merged-chr10-39600436-54
NR896--MA0508.2.PRDM1	chr16	84995478	84995487	+	0.000	0.000	Merged-chr16-84995665-26
NR501--MA0508.2.PRDM1	chr12	91604033	91604042	-	0.000	0.000	Merged-chr12-91603854-1
NR277--MA0508.2.PRDM1	chr10	94021150	94021159	-	0.000	0.000	Merged-chr10-94021256-59
NR819--MA0508.2.PRDM1	chr15	95850110	95850119	+	0.000	0.000	Merged-chr15-95850129-22
NR134--MA0508.2.PRDM1	chr1	164061625	164061634	-	0.000	0.000	Merged-chr1-164061459-15
NR591--MA0508.2.PRDM1	chr13	44376101	44376110	-	0.000	0.000	Merged-chr13-44376077-22
NR386--MA0508.2.PRDM1	chr11	79654460	79654469	+	0.000	0.000	Merged-chr11-79654538-19
NR243--MA0508.2.PRDM1	chr10	57463527	57463536	+	0.000	0.000	Merged-chr10-57463564-15
NR2192--MA0508.2.PRDM1	chrX	167319178	167319187	-	0.000	0.000	Merged-chrX-167319032-24
NR636--MA0508.2.PRDM1	chr13	98691975	98691984	-	0.000	0.000	Merged-chr13-98692096-35
NR1970--MA0508.2.PRDM1	chr8	18954089	18954098	+	0.000	0.000	Merged-chr8-18954142-48
NR48--MA0508.2.PRDM1	chr1	80637467	80637476	+	0.000	0.000	Merged-chr1-80637446-57
NR583--MA0508.2.PRDM1	chr13	30972270	30972279	-	0.000	0.000	Merged-chr13-30972253-49
NR235--MA0508.2.PRDM1	chr10	44529602	44529611	+	0.000	0.000	Merged-chr10-44529535-56
NR248--MA0508.2.PRDM1	chr10	62187122	62187131	+	0.000	0.000	Merged-chr10-62187045-24
NR519--MA0508.2.PRDM1	chr12	105684196	105684205	+	0.000	0.000	Merged-chr12-105684124-9
NR2150--MA0508.2.PRDM1	chr9	122399008	122399017	+	0.000	0.000	Merged-chr9-122399009-31
NR2054--MA0508.2.PRDM1	chr9	7473079	7473088	+	0.000	0.000	Merged-chr9-7473003-16
NR466--MA0508.2.PRDM1	chr12	61994433	61994442	-	0.000	0.000	Merged-chr12-61994556-31
NR227--MA0508.2.PRDM1	chr10	30538226	30538235	+	0.000	0.000	Merged-chr10-30538265-95
NR336--MA0508.2.PRDM1	chr11	11498164	11498173	+	0.000	0.000	Merged-chr11-11498094-24
NR607--MA0508.2.PRDM1	chr13	63246510	63246519	+	0.000	0.000	Merged-chr13-63246406-68
NR2033--MA0508.2.PRDM1	chr8	117305652	117305661	-	0.000	0.000	Merged-chr8-117305515-32
NR283--MA0508.2.PRDM1	chr10	95880522	95880531	-	0.000	0.000	Merged-chr10-95880381-56
NR1920--MA0508.2.PRDM1	chr7	120830961	120830970	+	0.000	0.000	Merged-chr7-120830904-87
NR567--MA0508.2.PRDM1	chr13	12395238	12395247	-	0.000	0.000	Merged-chr13-12395311-75
NR838--MA0508.2.PRDM1	chr16	10769881	10769890	+	0.000	0.000	Merged-chr16-10769811-36
NR2059--MA0508.2.PRDM1	chr9	14248385	14248394	+	0.000	0.000	Merged-chr9-14248366-20
NR1662--MA0508.2.PRDM1	chr5	148708242	148708251	-	0.000	0.000	Merged-chr5-148708348-12
NR166--MA0508.2.PRDM1	chr1	179578866	179578875	+	0.000	0.000	Merged-chr1-179578897-31
NR689--MA0508.2.PRDM1	chr14	27376162	27376171	-	0.000	0.000	Merged-chr14-27376322-41
NR1261--MA0508.2.PRDM1	chr2	152332441	152332450	-	0.000	0.000	Merged-chr2-152332475-59
NR1803--MA0508.2.PRDM1	chr6	146530553	146530562	+	0.000	0.000	Merged-chr6-146530581-26
NR2038--MA0508.2.PRDM1	chr8	122680446	122680455	+	0.000	0.000	Merged-chr8-122680358-14
NR1370--MA0508.2.PRDM1	chr3	108124505	108124514	-	0.000	0.000	Merged-chr3-108124378-33
NR2081--MA0508.2.PRDM1	chr9	56418587	56418596	-	0.000	0.000	Merged-chr9-56418520-156
NR2094--MA0508.2.PRDM1	chr9	64832009	64832018	-	0.000	0.000	Merged-chr9-64831906-29
NR1981--MA0508.2.PRDM1	chr8	34686660	34686669	-	0.000	0.000	Merged-chr8-34686570-26
NR2073--MA0508.2.PRDM1	chr9	42995490	42995499	+	0.000	0.000	Merged-chr9-42995452-17
NR137--MA0508.2.PRDM1	chr1	165796170	165796179	-	0.000	0.000	Merged-chr1-165796055-6
NR408--MA0508.2.PRDM1	chr11	100574826	100574835	+	0.000	0.000	Merged-chr11-100574858-115
NR1808--MA0508.2.PRDM1	chr7	4026913	4026922	-	0.000	0.000	Merged-chr7-4027016-25
NR246--MA0508.2.PRDM1	chr10	61658069	61658078	+	0.000	0.000	Merged-chr10-61658061-29
NR1232--MA0508.2.PRDM1	chr2	128502761	128502770	+	0.000	0.000	Merged-chr2-128502877-18
NR1341--MA0508.2.PRDM1	chr3	89730749	89730758	-	0.000	0.000	Merged-chr3-89730861-61
NR2118--MA0508.2.PRDM1	chr9	91362238	91362247	+	0.000	0.000	Merged-chr9-91362188-45
NR259--MA0508.2.PRDM1	chr10	76802277	76802286	-	0.000	0.000	Merged-chr10-76802342-40
NR1593--MA0508.2.PRDM1	chr5	64959265	64959274	-	0.000	0.000	Merged-chr5-64959516-90
NR1721--MA0508.2.PRDM1	chr6	83109339	83109348	-	0.000	0.000	Merged-chr6-83109230-66
NR1768--MA0508.2.PRDM1	chr6	127307384	127307393	+	0.000	0.000	Merged-chr6-127307394-44
NR1192--MA0508.2.PRDM1	chr2	90847368	90847377	-	0.000	0.000	Merged-chr2-90847182-63
NR1986--MA0508.2.PRDM1	chr8	36028348	36028357	-	0.000	0.000	Merged-chr8-36028490-56
NR1638--MA0508.2.PRDM1	chr5	122422482	122422491	+	0.000	0.000	Merged-chr5-122422317-77
NR1224--MA0508.2.PRDM1	chr2	121570237	121570246	-	0.000	0.000	Merged-chr2-121570231-16
NR1694--MA0508.2.PRDM1	chr6	42324984	42324993	-	0.000	0.000	Merged-chr6-42324834-128
NR932--MA0508.2.PRDM1	chr17	27017807	27017816	-	0.000	0.000	Merged-chr17-27018034-35
NR1822--MA0508.2.PRDM1	chr7	28423100	28423109	-	0.000	0.000	Merged-chr7-28423189-12
NR1617--MA0508.2.PRDM1	chr5	98161461	98161470	+	0.000	0.000	Merged-chr5-98161434-16
NR1869--MA0508.2.PRDM1	chr7	80232607	80232616	+	0.000	0.000	Merged-chr7-80232686-63
NR1726--MA0508.2.PRDM1	chr6	87447261	87447270	-	0.000	0.000	Merged-chr6-87447444-55
NR2166--MA0508.2.PRDM1	chrX	96130406	96130415	-	0.000	0.000	Merged-chrX-96130578-90
NR1293--MA0508.2.PRDM1	chr3	5272106	5272115	-	0.000	0.000	Merged-chr3-5272073-63
NR2036--MA0508.2.PRDM1	chr8	120888099	120888108	+	0.000	0.000	Merged-chr8-120888081-22
NR1782--MA0508.2.PRDM1	chr6	134883881	134883890	-	0.000	0.000	Merged-chr6-134883955-22
NR1020--MA0508.2.PRDM1	chr18	41861277	41861286	-	0.000	0.000	Merged-chr18-41861355-68
NR1686--MA0508.2.PRDM1	chr6	35257827	35257836	-	0.000	0.000	Merged-chr6-35257977-28
NR924--MA0508.2.PRDM1	chr17	17840979	17840988	-	0.000	0.000	Merged-chr17-17841002-20
NR1338--MA0508.2.PRDM1	chr3	84711013	84711022	+	0.000	0.000	Merged-chr3-84710907-12
NR1795--MA0508.2.PRDM1	chr6	143176984	143176993	+	0.000	0.000	Merged-chr6-143176847-16
NR1400--MA0508.2.PRDM1	chr3	133412032	133412041	-	0.000	0.000	Merged-chr3-133411903-38
NR1699--MA0508.2.PRDM1	chr6	52991365	52991374	+	0.000	0.000	Merged-chr6-52991289-8
NR1827--MA0508.2.PRDM1	chr7	30321742	30321751	-	0.000	0.000	Merged-chr7-30321790-4
NR1142--MA0508.2.PRDM1	chr2	34790478	34790487	-	0.000	0.000	Merged-chr2-34790571-52
NR980--MA0508.2.PRDM1	chr17	80062228	80062237	-	0.000	0.000	Merged-chr17-80062114-120
NR1665--MA0508.2.PRDM1	chr5	149203209	149203218	-	0.000	0.000	Merged-chr5-149203183-18
NR1522--MA0508.2.PRDM1	chr4	129496812	129496821	+	0.000	0.000	Merged-chr4-129496759-24
NR1046--MA0508.2.PRDM1	chr18	74880281	74880290	-	0.000	0.000	Merged-chr18-74880525-86
NR1317--MA0508.2.PRDM1	chr3	55517379	55517388	-	0.000	0.000	Merged-chr3-55517605-60
NR884--MA0508.2.PRDM1	chr16	57473666	57473675	-	0.000	0.000	Merged-chr16-57473811-19
NR1298--MA0508.2.PRDM1	chr3	21598168	21598177	-	0.000	0.000	Merged-chr3-21598278-24
NR470--MA0508.2.PRDM1	chr12	69447453	69447462	+	0.000	0.000	Merged-chr12-69447284-163
NR741--MA0508.2.PRDM1	chr14	76188298	76188307	+	0.000	0.000	Merged-chr14-76188312-28
NR1426--MA0508.2.PRDM1	chr3	148844485	148844494	-	0.000	0.000	Merged-chr3-148844306-23
NR1012--MA0508.2.PRDM1	chr18	34759304	34759313	+	0.000	0.000	Merged-chr18-34759316-108
NR1678--MA0508.2.PRDM1	chr6	17629954	17629963	-	0.000	0.000	Merged-chr6-17630018-29
NR44--MA0508.2.PRDM1	chr1	75533541	75533550	+	0.000	0.000	Merged-chr1-75533497-24
NR850--MA0508.2.PRDM1	chr16	25250281	25250290	+	0.000	0.000	Merged-chr16-25250353-21
NR340--MA0508.2.PRDM1	chr11	19823597	19823606	-	0.000	0.000	Merged-chr11-19823630-23
NR1025--MA0508.2.PRDM1	chr18	50053409	50053418	+	0.000	0.000	Merged-chr18-50053279-83
NR720--MA0508.2.PRDM1	chr14	56283893	56283902	+	0.000	0.000	Merged-chr14-56284057-2
NR23--MA0508.2.PRDM1	chr1	43224399	43224408	+	0.000	0.000	Merged-chr1-43224405-37
NR1038--MA0508.2.PRDM1	chr18	66442189	66442198	+	0.000	0.000	Merged-chr18-66442128-39
NR210--MA0508.2.PRDM1	chr10	17920153	17920162	+	0.000	0.000	Merged-chr10-17920210-30
NR462--MA0508.2.PRDM1	chr12	55366686	55366695	+	0.000	0.000	Merged-chr12-55366796-37
NR733--MA0508.2.PRDM1	chr14	71120489	71120498	+	0.000	0.000	Merged-chr14-71120653-22
NR1147--MA0508.2.PRDM1	chr2	35507149	35507158	+	0.000	0.000	Merged-chr2-35507253-54
NR1418--MA0508.2.PRDM1	chr3	142744351	142744360	+	0.000	0.000	Merged-chr3-142744255-26
NR1399--MA0508.2.PRDM1	chr3	133320093	133320102	+	0.000	0.000	Merged-chr3-133320044-21
NR1004--MA0508.2.PRDM1	chr18	13787159	13787168	+	0.000	0.000	Merged-chr18-13787099-71
NR571--MA0508.2.PRDM1	chr13	14063585	14063594	+	0.000	0.000	Merged-chr13-14063519-130
NR842--MA0508.2.PRDM1	chr16	19761874	19761883	-	0.000	0.000	Merged-chr16-19761931-27
NR1256--MA0508.2.PRDM1	chr2	150558809	150558818	-	0.000	0.000	Merged-chr2-150558773-40
NR680--MA0508.2.PRDM1	chr14	12307864	12307873	-	0.000	0.000	Merged-chr14-12307905-40
NR1094--MA0508.2.PRDM1	chr19	42306426	42306435	+	0.000	0.000	Merged-chr19-42306300-48
NR1636--MA0508.2.PRDM1	chr5	120777721	120777730	+	0.000	0.000	Merged-chr5-120777652-8
NR603--MA0508.2.PRDM1	chr13	56507216	56507225	+	0.000	0.000	Merged-chr13-56507278-42
NR855--MA0508.2.PRDM1	chr16	30550527	30550536	-	0.000	0.000	Merged-chr16-30550510-54
