#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Runx/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed
NR194--MA0511.2.RUNX2	chr1	60744506	60744514	-	0.000	0.000	Merged-chr1-60744410-6
NR4461--MA0511.2.RUNX2	chr16	48594584	48594592	+	0.000	0.000	Merged-chr16-48594719-53
NR366--MA0002.2.RUNX1	chr1	91764034	91764044	+	0.000	0.000	Merged-chr1-91763975-10
NR2576--MA0511.2.RUNX2	chr12	100201977	100201985	+	0.000	0.000	Merged-chr12-100202001-42
NR8388--MA0002.2.RUNX1	chr5	106639782	106639792	-	0.000	0.000	Merged-chr5-106639695-17
NR6313--MA0002.2.RUNX1	chr2	107006053	107006063	+	0.000	0.000	Merged-chr2-107005967-12
NR1100--MA0002.2.RUNX1	chr10	53461315	53461325	-	0.000	0.000	Merged-chr10-53461441-37
NR8993--MA0684.1.RUNX3	chr6	82922027	82922036	-	0.000	0.000	Merged-chr6-82922037-57
NR2748--MA0002.2.RUNX1	chr12	116000007	116000017	+	0.000	0.000	Merged-chr12-116000112-33
NR9055--MA0511.2.RUNX2	chr6	99389124	99389132	+	0.000	0.000	Merged-chr6-99389059-78
NR766--MA0684.1.RUNX3	chr1	179493151	179493160	+	0.000	0.000	Merged-chr1-179493163-27
NR9499--MA0684.1.RUNX3	chr7	25674667	25674676	+	0.000	0.000	Merged-chr7-25674756-20
NR9942--MA0002.2.RUNX1	chr7	122317088	122317098	-	0.000	0.000	Merged-chr7-122317075-24
NR11477--MA0002.2.RUNX1	chrX	140537818	140537828	+	0.000	0.000	Merged-chrX-140537922-35
NR2129--MA0002.2.RUNX1	chr11	109497227	109497237	-	0.000	0.000	Merged-chr11-109497188-14
NR5440--MA0002.2.RUNX1	chr18	65819116	65819126	+	0.000	0.000	Merged-chr18-65819211-50
NR3760--MA0002.2.RUNX1	chr14	122012007	122012017	-	0.000	0.000	Merged-chr14-122012077-50
NR6965--MA0684.1.RUNX3	chr3	95930473	95930482	-	0.000	0.000	Merged-chr3-95930587-7
NR2956--MA0511.2.RUNX2	chr13	41367504	41367512	-	0.000	0.000	Merged-chr13-41367378-61
NR2192--MA0684.1.RUNX3	chr11	115839073	115839082	+	0.000	0.000	Merged-chr11-115839007-18
NR11211--MA0684.1.RUNX3	chr9	114778159	114778168	+	0.000	0.000	Merged-chr9-114778253-39
NR226--MA0511.2.RUNX2	chr1	64527765	64527773	-	0.000	0.000	Merged-chr1-64527761-39
NR4537--MA0002.2.RUNX1	chr16	59571042	59571052	+	0.000	0.000	Merged-chr16-59570986-31
NR4222--MA0511.2.RUNX2	chr15	103177128	103177136	-	0.000	0.000	Merged-chr15-103177180-34
NR6551--MA0684.1.RUNX3	chr2	154754296	154754305	+	0.000	0.000	Merged-chr2-154754253-27
NR8354--MA0002.2.RUNX1	chr5	102960141	102960151	-	0.000	0.000	Merged-chr5-102960204-17
NR127--MA0002.2.RUNX1	chr1	43888668	43888678	+	0.000	0.000	Merged-chr1-43888618-32
NR1190--MA0002.2.RUNX1	chr10	74823619	74823629	+	0.000	0.000	Merged-chr10-74823662-27
NR2320--MA0684.1.RUNX3	chr12	26057915	26057924	+	0.000	0.000	Merged-chr12-26057851-43
NR8483--MA0684.1.RUNX3	chr5	115693470	115693479	+	0.000	0.000	Merged-chr5-115693567-32
NR2238--MA0002.2.RUNX1	chr11	120600906	120600916	+	0.000	0.000	Merged-chr11-120600932-23
NR4252--MA0684.1.RUNX3	chr16	10806273	10806282	-	0.000	0.000	Merged-chr16-10806280-14
NR11320--MA0684.1.RUNX3	chr9	122233121	122233130	-	0.000	0.000	Merged-chr9-122233247-97
NR335--MA0511.2.RUNX2	chr1	87637247	87637255	-	0.000	0.000	Merged-chr1-87637275-111
NR3620--MA0511.2.RUNX2	chr14	74646556	74646564	-	0.000	0.000	Merged-chr14-74646498-47
NR11172--MA0002.2.RUNX1	chr9	110594066	110594076	+	0.000	0.000	Merged-chr9-110594121-11
NR9703--MA0002.2.RUNX1	chr7	79728416	79728426	+	0.000	0.000	Merged-chr7-79728407-21
NR11443--MA0002.2.RUNX1	chrX	98265960	98265970	+	0.000	0.000	Merged-chrX-98266025-47
NR7481--MA0002.2.RUNX1	chr4	40721127	40721137	-	0.000	0.000	Merged-chr4-40721165-38
NR8611--MA0684.1.RUNX3	chr5	139320773	139320782	-	0.000	0.000	Merged-chr5-139320705-5
NR4997--MA0511.2.RUNX2	chr17	47754382	47754390	-	0.000	0.000	Merged-chr17-47754343-10
NR4602--MA0511.2.RUNX2	chr16	84995833	84995841	+	0.000	0.000	Merged-chr16-84995665-26
NR8192--MA0002.2.RUNX1	chr5	57857537	57857547	+	0.000	0.000	Merged-chr5-57857424-31
NR5201--MA0002.2.RUNX1	chr17	86872889	86872899	+	0.000	0.000	Merged-chr17-86872864-48
NR4126--MA0511.2.RUNX2	chr15	93275367	93275375	+	0.000	0.000	Merged-chr15-93275409-98
NR236--MA0002.2.RUNX1	chr1	69496258	69496268	-	0.000	0.000	Merged-chr1-69496310-11
NR5108--MA0511.2.RUNX2	chr17	73815029	73815037	-	0.000	0.000	Merged-chr17-73814943-62
NR6849--MA0002.2.RUNX1	chr3	58581721	58581731	+	0.000	0.000	Merged-chr3-58581767-20
NR7881--MA0684.1.RUNX3	chr4	136060221	136060230	-	0.000	0.000	Merged-chr4-136060160-34
NR4898--MA0002.2.RUNX1	chr17	29155805	29155815	+	0.000	0.000	Merged-chr17-29155963-15
NR11300--MA0002.2.RUNX1	chr9	120116423	120116433	-	0.000	0.000	Merged-chr9-120116499-4
NR365--MA0684.1.RUNX3	chr1	91755271	91755280	-	0.000	0.000	Merged-chr1-91755348-8
NR4854--MA0511.2.RUNX2	chr17	21733926	21733934	+	0.000	0.000	Merged-chr17-21733799-41
NR8658--MA0684.1.RUNX3	chr5	144308222	144308231	-	0.000	0.000	Merged-chr5-144308281-9
NR10398--MA0684.1.RUNX3	chr8	86708097	86708106	+	0.000	0.000	Merged-chr8-86708082-46
NR9911--MA0511.2.RUNX2	chr7	117559222	117559230	-	0.000	0.000	Merged-chr7-117559166-31
NR3773--MA0002.2.RUNX1	chr14	123163086	123163096	-	0.000	0.000	Merged-chr14-123163033-38
NR10570--MA0002.2.RUNX1	chr8	121650749	121650759	-	0.000	0.000	Merged-chr8-121650674-17
NR6435--MA0002.2.RUNX1	chr2	130555028	130555038	+	0.000	0.000	Merged-chr2-130555023-33
NR11281--MA0002.2.RUNX1	chr9	119744240	119744250	+	0.000	0.000	Merged-chr9-119744132-67
NR6564--MA0684.1.RUNX3	chr2	156918686	156918695	-	0.000	0.000	Merged-chr2-156918803-29
NR8638--MA0002.2.RUNX1	chr5	143038778	143038788	+	0.000	0.000	Merged-chr5-143038769-30
NR6021--MA0002.2.RUNX1	chr2	25913385	25913395	+	0.000	0.000	Merged-chr2-25913406-29
NR1474--MA0002.2.RUNX1	chr10	121189337	121189347	-	0.000	0.000	Merged-chr10-121189304-59
NR301--MA0511.2.RUNX2	chr1	80755834	80755842	+	0.000	0.000	Merged-chr1-80755729-75
NR9793--MA0002.2.RUNX1	chr7	101027879	101027889	+	0.000	0.000	Merged-chr7-101027827-19
NR4407--MA0002.2.RUNX1	chr16	35747540	35747550	+	0.000	0.000	Merged-chr16-35747565-9
NR2456--MA0002.2.RUNX1	chr12	80069269	80069279	+	0.000	0.000	Merged-chr12-80069261-23
NR5291--MA0002.2.RUNX1	chr18	34827856	34827866	+	0.000	0.000	Merged-chr18-34827772-23
NR269--MA0684.1.RUNX3	chr1	75436765	75436774	-	0.000	0.000	Merged-chr1-75436956-4
NR6150--MA0684.1.RUNX3	chr2	60774692	60774701	+	0.000	0.000	Merged-chr2-60774747-55
NR2412--MA0511.2.RUNX2	chr12	70280743	70280751	+	0.000	0.000	Merged-chr12-70280726-6
NR4536--MA0684.1.RUNX3	chr16	59564220	59564229	+	0.000	0.000	Merged-chr16-59564268-14
NR282--MA0511.2.RUNX2	chr1	78657916	78657924	-	0.000	0.000	Merged-chr1-78658063-75
NR6339--MA0002.2.RUNX1	chr2	116066179	116066189	-	0.000	0.000	Merged-chr2-116065884-36
NR9650--MA0002.2.RUNX1	chr7	67500544	67500554	+	0.000	0.000	Merged-chr7-67500556-27
NR9921--MA0002.2.RUNX1	chr7	119673632	119673642	-	0.000	0.000	Merged-chr7-119673662-33
NR2979--MA0002.2.RUNX1	chr13	46780001	46780011	+	0.000	0.000	Merged-chr13-46780080-38
NR2664--MA0511.2.RUNX2	chr12	110454471	110454479	-	0.000	0.000	Merged-chr12-110454424-31
NR8747--MA0002.2.RUNX1	chr6	13078913	13078923	+	0.000	0.000	Merged-chr6-13078885-13
NR4122--MA0684.1.RUNX3	chr15	91643903	91643912	-	0.000	0.000	Merged-chr15-91644070-43
NR10602--MA0002.2.RUNX1	chr8	124509391	124509401	+	0.000	0.000	Merged-chr8-124509346-29
NR4245--MA0002.2.RUNX1	chr16	8459375	8459385	-	0.000	0.000	Merged-chr16-8459319-22
NR3120--MA0002.2.RUNX1	chr13	89540473	89540483	+	0.000	0.000	Merged-chr13-89540544-3
NR6719--MA0002.2.RUNX1	chr2	180080936	180080946	+	0.000	0.000	Merged-chr2-180080885-21
NR2489--MA0684.1.RUNX3	chr12	84933859	84933868	-	0.000	0.000	Merged-chr12-84934066-14
NR4519--MA0511.2.RUNX2	chr16	57465311	57465319	+	0.000	0.000	Merged-chr16-57465471-22
NR6305--MA0002.2.RUNX1	chr2	104177442	104177452	-	0.000	0.000	Merged-chr2-104177493-61
NR109--MA0511.2.RUNX2	chr1	40473884	40473892	-	0.000	0.000	Merged-chr1-40473860-44
NR487--MA0684.1.RUNX3	chr1	133847641	133847650	-	0.000	0.000	Merged-chr1-133847657-11
NR4105--MA0511.2.RUNX2	chr15	85328196	85328204	-	0.000	0.000	Merged-chr15-85328019-32
NR11280--MA0684.1.RUNX3	chr9	119744091	119744100	+	0.000	0.000	Merged-chr9-119744132-67
NR11075--MA0684.1.RUNX3	chr9	92217806	92217815	+	0.000	0.000	Merged-chr9-92217904-40
NR10599--MA0511.2.RUNX2	chr8	124317964	124317972	-	0.000	0.000	Merged-chr8-124317867-82
NR11198--MA0002.2.RUNX1	chr9	114440787	114440797	+	0.000	0.000	Merged-chr9-114440811-53
NR5161--MA0002.2.RUNX1	chr17	83772990	83773000	+	0.000	0.000	Merged-chr17-83772963-43
NR8489--MA0002.2.RUNX1	chr5	117182533	117182543	+	0.000	0.000	Merged-chr5-117182580-11
NR4135--MA0684.1.RUNX3	chr15	93302063	93302072	-	0.000	0.000	Merged-chr15-93302109-22
NR6414--MA0002.2.RUNX1	chr2	128502839	128502849	+	0.000	0.000	Merged-chr2-128502877-18
NR4192--MA0002.2.RUNX1	chr15	99365116	99365126	+	0.000	0.000	Merged-chr15-99365057-34
NR4406--MA0684.1.RUNX3	chr16	35741828	35741837	-	0.000	0.000	Merged-chr16-35741769-10
NR11203--MA0684.1.RUNX3	chr9	114462776	114462785	-	0.000	0.000	Merged-chr9-114462838-21
NR2578--MA0002.2.RUNX1	chr12	100277062	100277072	-	0.000	0.000	Merged-chr12-100277058-24
NR2849--MA0002.2.RUNX1	chr13	20306317	20306327	+	0.000	0.000	Merged-chr13-20306536-31
NR2534--MA0511.2.RUNX2	chr12	91765685	91765693	+	0.000	0.000	Merged-chr12-91765630-19
NR2805--MA0511.2.RUNX2	chr13	6515598	6515606	+	0.000	0.000	Merged-chr13-6515620-23
NR3404--MA0002.2.RUNX1	chr14	36316927	36316937	-	0.000	0.000	Merged-chr14-36316941-55
NR2041--MA0684.1.RUNX3	chr11	102739354	102739363	+	0.000	0.000	Merged-chr11-102739455-28
NR8031--MA0511.2.RUNX2	chr5	3355972	3355980	-	0.000	0.000	Merged-chr5-3355997-73
NR10108--MA0511.2.RUNX2	chr7	143644145	143644153	+	0.000	0.000	Merged-chr7-143644190-29
NR8746--MA0684.1.RUNX3	chr6	12038491	12038500	-	0.000	0.000	Merged-chr6-12038478-25
NR1582--MA0684.1.RUNX3	chr11	10276400	10276409	-	0.000	0.000	Merged-chr11-10276392-45
NR11312--MA0684.1.RUNX3	chr9	121757622	121757631	-	0.000	0.000	Merged-chr9-121757681-27
NR4096--MA0002.2.RUNX1	chr15	84212362	84212372	-	0.000	0.000	Merged-chr15-84212289-37
NR71--MA0002.2.RUNX1	chr1	37471649	37471659	-	0.000	0.000	Merged-chr1-37471561-5
NR6003--MA0511.2.RUNX2	chr2	21222924	21222932	+	0.000	0.000	Merged-chr2-21222970-39
NR7744--MA0002.2.RUNX1	chr4	114382928	114382938	+	0.000	0.000	Merged-chr4-114382825-1
NR105--MA0684.1.RUNX3	chr1	40412576	40412585	+	0.000	0.000	Merged-chr1-40412603-5
NR11120--MA0511.2.RUNX2	chr9	98616577	98616585	-	0.000	0.000	Merged-chr9-98616546-17
NR8184--MA0002.2.RUNX1	chr5	53402739	53402749	-	0.000	0.000	Merged-chr5-53402586-70
NR228--MA0002.2.RUNX1	chr1	64549479	64549489	+	0.000	0.000	Merged-chr1-64549530-8
NR1562--MA0002.2.RUNX1	chr11	4289433	4289443	+	0.000	0.000	Merged-chr11-4289401-53
NR10310--MA0002.2.RUNX1	chr8	68793925	68793935	+	0.000	0.000	Merged-chr8-68794098-69
NR3149--MA0511.2.RUNX2	chr13	92859009	92859017	-	0.000	0.000	Merged-chr13-92859070-18
NR6460--MA0511.2.RUNX2	chr2	135737687	135737695	-	0.000	0.000	Merged-chr2-135737673-31
NR2339--MA0002.2.RUNX1	chr12	32895345	32895355	+	0.000	0.000	Merged-chr12-32895351-16
NR5650--MA0002.2.RUNX1	chr19	10742307	10742317	-	0.000	0.000	Merged-chr19-10742399-21
NR10710--MA0684.1.RUNX3	chr9	20765499	20765508	-	0.000	0.000	Merged-chr9-20765445-35
NR7952--MA0511.2.RUNX2	chr4	148102322	148102330	-	0.000	0.000	Merged-chr4-148102321-24
NR11150--MA0684.1.RUNX3	chr9	106070485	106070494	-	0.000	0.000	Merged-chr9-106070497-6
NR10833--MA0002.2.RUNX1	chr9	57273029	57273039	-	0.000	0.000	Merged-chr9-57273113-38
NR2197--MA0684.1.RUNX3	chr11	116554672	116554681	+	0.000	0.000	Merged-chr11-116554635-8
NR10198--MA0511.2.RUNX2	chr8	25263166	25263174	+	0.000	0.000	Merged-chr8-25263139-17
NR7582--MA0002.2.RUNX1	chr4	63644529	63644539	+	0.000	0.000	Merged-chr4-63644435-12
NR11068--MA0002.2.RUNX1	chr9	90259616	90259626	+	0.000	0.000	Merged-chr9-90259820-55
NR214--MA0684.1.RUNX3	chr1	61402534	61402543	+	0.000	0.000	Merged-chr1-61402618-25
NR5968--MA0002.2.RUNX1	chr2	12439743	12439753	-	0.000	0.000	Merged-chr2-12439797-45
NR3351--MA0002.2.RUNX1	chr14	16173513	16173523	-	0.000	0.000	Merged-chr14-16173543-50
NR4210--MA0684.1.RUNX3	chr15	101147438	101147447	-	0.000	0.000	Merged-chr15-101147362-18
NR1671--MA0002.2.RUNX1	chr11	43494196	43494206	-	0.000	0.000	Merged-chr11-43494170-22
NR4062--MA0002.2.RUNX1	chr15	78614723	78614733	+	0.000	0.000	Merged-chr15-78614745-50
NR2054--MA0684.1.RUNX3	chr11	103951403	103951412	+	0.000	0.000	Merged-chr11-103951331-24
NR2177--MA0002.2.RUNX1	chr11	114945334	114945344	-	0.000	0.000	Merged-chr11-114945333-7
NR7710--MA0002.2.RUNX1	chr4	106598649	106598659	+	0.000	0.000	Merged-chr4-106598618-21
NR9741--MA0511.2.RUNX2	chr7	88459939	88459947	-	0.000	0.000	Merged-chr7-88459917-15
NR5554--MA0002.2.RUNX1	chr18	82503860	82503870	+	0.000	0.000	Merged-chr18-82503961-54
NR6142--MA0684.1.RUNX3	chr2	59631587	59631596	+	0.000	0.000	Merged-chr2-59631488-48
NR5510--MA0511.2.RUNX2	chr18	79297926	79297934	+	0.000	0.000	Merged-chr18-79298014-36
NR2577--MA0684.1.RUNX3	chr12	100201977	100201986	+	0.000	0.000	Merged-chr12-100202001-42
NR2034--MA0002.2.RUNX1	chr11	102209019	102209029	+	0.000	0.000	Merged-chr11-102208952-14
NR8345--MA0684.1.RUNX3	chr5	100886743	100886752	+	0.000	0.000	Merged-chr5-100886788-32
NR890--MA0002.2.RUNX1	chr1	193181245	193181255	+	0.000	0.000	Merged-chr1-193181317-39
NR8197--MA0002.2.RUNX1	chr5	62772103	62772113	-	0.000	0.000	Merged-chr5-62772215-28
NR797--MA0511.2.RUNX2	chr1	182504347	182504355	-	0.000	0.000	Merged-chr1-182504417-24
NR8325--MA0002.2.RUNX1	chr5	97632945	97632955	+	0.000	0.000	Merged-chr5-97632924-44
NR4908--MA0684.1.RUNX3	chr17	31220268	31220277	-	0.000	0.000	Merged-chr17-31220235-19
NR9751--MA0002.2.RUNX1	chr7	90345091	90345101	+	0.000	0.000	Merged-chr7-90345081-52
NR7200--MA0002.2.RUNX1	chr3	135602817	135602827	+	0.000	0.000	Merged-chr3-135602965-32
NR7866--MA0002.2.RUNX1	chr4	134787144	134787154	+	0.000	0.000	Merged-chr4-134787167-34
NR4716--MA0511.2.RUNX2	chr16	95263159	95263167	+	0.000	0.000	Merged-chr16-95263048-64
NR9880--MA0684.1.RUNX3	chr7	114480043	114480052	-	0.000	0.000	Merged-chr7-114480046-60
NR3906--MA0002.2.RUNX1	chr15	50653685	50653695	-	0.000	0.000	Merged-chr15-50653595-45
NR1684--MA0002.2.RUNX1	chr11	46127729	46127739	-	0.000	0.000	Merged-chr11-46127766-5
NR6582--MA0511.2.RUNX2	chr2	158133242	158133250	-	0.000	0.000	Merged-chr2-158133215-37
NR1911--MA0511.2.RUNX2	chr11	83550393	83550401	+	0.000	0.000	Merged-chr11-83550444-44
NR7723--MA0002.2.RUNX1	chr4	108987529	108987539	+	0.000	0.000	Merged-chr4-108987548-41
NR4031--MA0511.2.RUNX2	chr15	75797086	75797094	-	0.000	0.000	Merged-chr15-75797145-9
NR5838--MA0002.2.RUNX1	chr19	47133351	47133361	+	0.000	0.000	Merged-chr19-47133332-21
NR8229--MA0002.2.RUNX1	chr5	66105685	66105695	+	0.000	0.000	Merged-chr5-66105655-12
NR10955--MA0002.2.RUNX1	chr9	72390453	72390463	+	0.000	0.000	Merged-chr9-72390608-30
NR7852--MA0684.1.RUNX3	chr4	134059083	134059092	+	0.000	0.000	Merged-chr4-134059039-2
NR1607--MA0002.2.RUNX1	chr11	19823813	19823823	+	0.000	0.000	Merged-chr11-19823630-23
NR3843--MA0511.2.RUNX2	chr15	31440252	31440260	-	0.000	0.000	Merged-chr15-31440136-19
NR9655--MA0002.2.RUNX1	chr7	68350154	68350164	+	0.000	0.000	Merged-chr7-68350249-38
NR4554--MA0511.2.RUNX2	chr16	70365448	70365456	+	0.000	0.000	Merged-chr16-70365429-20
NR3621--MA0684.1.RUNX3	chr14	74646555	74646564	-	0.000	0.000	Merged-chr14-74646498-47
NR607--MA0684.1.RUNX3	chr1	156615520	156615529	-	0.000	0.000	Merged-chr1-156615670-66
NR4349--MA0511.2.RUNX2	chr16	24468008	24468016	-	0.000	0.000	Merged-chr16-24467843-15
NR6012--MA0684.1.RUNX3	chr2	24745582	24745591	+	0.000	0.000	Merged-chr2-24745465-17
NR459--MA0002.2.RUNX1	chr1	128787116	128787126	+	0.000	0.000	Merged-chr1-128787255-73
NR4061--MA0684.1.RUNX3	chr15	78564141	78564150	-	0.000	0.000	Merged-chr15-78564204-56
NR9069--MA0684.1.RUNX3	chr6	100841735	100841744	-	0.000	0.000	Merged-chr6-100841733-15
NR1793--MA0002.2.RUNX1	chr11	64116918	64116928	+	0.000	0.000	Merged-chr11-64116814-48
NR4184--MA0002.2.RUNX1	chr15	99065732	99065742	+	0.000	0.000	Merged-chr15-99065640-20
NR9241--MA0002.2.RUNX1	chr6	129067174	129067184	+	0.000	0.000	Merged-chr6-129067175-32
NR2447--MA0684.1.RUNX3	chr12	77788441	77788450	-	0.000	0.000	Merged-chr12-77788504-44
NR8437--MA0511.2.RUNX2	chr5	112273145	112273153	+	0.000	0.000	Merged-chr5-112273170-1
NR859--MA0684.1.RUNX3	chr1	191119058	191119067	-	0.000	0.000	Merged-chr1-191119060-9
NR5947--MA0002.2.RUNX1	chr2	9796207	9796217	-	0.000	0.000	Merged-chr2-9796210-5
NR760--MA0002.2.RUNX1	chr1	178629360	178629370	-	0.000	0.000	Merged-chr1-178629339-6
NR10793--MA0002.2.RUNX1	chr9	46282784	46282794	+	0.000	0.000	Merged-chr9-46282956-57
NR11381--MA0684.1.RUNX3	chrX	47998587	47998596	-	0.000	0.000	Merged-chrX-47998612-33
NR4379--MA0684.1.RUNX3	chr16	31205789	31205798	-	0.000	0.000	Merged-chr16-31205914-4
NR1445--MA0002.2.RUNX1	chr10	118448970	118448980	-	0.000	0.000	Merged-chr10-118448976-2
NR3681--MA0511.2.RUNX2	chr14	101480705	101480713	+	0.000	0.000	Merged-chr14-101480860-35
NR667--MA0511.2.RUNX2	chr1	164966197	164966205	+	0.000	0.000	Merged-chr1-164966286-53
NR2156--MA0002.2.RUNX1	chr11	113005337	113005347	-	0.000	0.000	Merged-chr11-113005354-7
NR5804--MA0002.2.RUNX1	chr19	40267494	40267504	-	0.000	0.000	Merged-chr19-40267576-38
NR3582--MA0002.2.RUNX1	chr14	69979173	69979183	+	0.000	0.000	Merged-chr14-69979172-46
NR4170--MA0684.1.RUNX3	chr15	97727292	97727301	+	0.000	0.000	Merged-chr15-97727348-17
NR6244--MA0002.2.RUNX1	chr2	84779437	84779447	-	0.000	0.000	Merged-chr2-84779489-49
NR10921--MA0002.2.RUNX1	chr9	69174353	69174363	+	0.000	0.000	Merged-chr9-69174203-32
NR1031--MA0002.2.RUNX1	chr10	34118005	34118015	+	0.000	0.000	Merged-chr10-34117997-36
NR11033--MA0684.1.RUNX3	chr9	85671751	85671760	-	0.000	0.000	Merged-chr9-85671881-60
NR4088--MA0002.2.RUNX1	chr15	83172418	83172428	+	0.000	0.000	Merged-chr15-83172251-88
NR7465--MA0002.2.RUNX1	chr4	34778239	34778249	-	0.000	0.000	Merged-chr4-34778308-51
NR1924--MA0511.2.RUNX2	chr11	84829171	84829179	+	0.000	0.000	Merged-chr11-84829158-56
NR2364--MA0511.2.RUNX2	chr12	41500246	41500254	-	0.000	0.000	Merged-chr12-41500391-75
NR2635--MA0511.2.RUNX2	chr12	107146954	107146962	+	0.000	0.000	Merged-chr12-107147062-75
NR2906--MA0511.2.RUNX2	chr13	30682003	30682011	-	0.000	0.000	Merged-chr13-30682181-38
NR6439--MA0684.1.RUNX3	chr2	130555044	130555053	-	0.000	0.000	Merged-chr2-130555023-33
NR10302--MA0002.2.RUNX1	chr8	67986948	67986958	+	0.000	0.000	Merged-chr8-67986835-44
NR2413--MA0684.1.RUNX3	chr12	70280743	70280752	+	0.000	0.000	Merged-chr12-70280726-6
NR5642--MA0002.2.RUNX1	chr19	10198988	10198998	+	0.000	0.000	Merged-chr19-10198987-5
NR3691--MA0002.2.RUNX1	chr14	101892389	101892399	+	0.000	0.000	Merged-chr14-101892350-14
NR3905--MA0684.1.RUNX3	chr15	50646810	50646819	+	0.000	0.000	Merged-chr15-50646765-38
NR8699--MA0002.2.RUNX1	chr5	149641831	149641841	+	0.000	0.000	Merged-chr5-149641711-30
NR1411--MA0002.2.RUNX1	chr10	116664342	116664352	-	0.000	0.000	Merged-chr10-116664420-26
NR6419--MA0002.2.RUNX1	chr2	129180047	129180057	+	0.000	0.000	Merged-chr2-129180074-1
NR11265--MA0002.2.RUNX1	chr9	118519257	118519267	+	0.000	0.000	Merged-chr9-118519152-31
NR5894--MA0002.2.RUNX1	chr19	57411967	57411977	+	0.000	0.000	Merged-chr19-57412064-43
NR8285--MA0002.2.RUNX1	chr5	88765041	88765051	-	0.000	0.000	Merged-chr5-88764989-68
NR7530--MA0511.2.RUNX2	chr4	53826424	53826432	-	0.000	0.000	Merged-chr4-53826364-82
NR3343--MA0002.2.RUNX1	chr14	10593655	10593665	-	0.000	0.000	Merged-chr14-10593654-13
NR1934--MA0002.2.RUNX1	chr11	86371399	86371409	+	0.000	0.000	Merged-chr11-86371454-26
NR9982--MA0002.2.RUNX1	chr7	127342499	127342509	+	0.000	0.000	Merged-chr7-127342580-14
NR7160--MA0002.2.RUNX1	chr3	130571234	130571244	+	0.000	0.000	Merged-chr3-130571110-5
NR5480--MA0002.2.RUNX1	chr18	73765241	73765251	+	0.000	0.000	Merged-chr18-73765273-28
NR8956--MA0684.1.RUNX3	chr6	71595949	71595958	+	0.000	0.000	Merged-chr6-71596014-5
NR458--MA0684.1.RUNX3	chr1	128614922	128614931	-	0.000	0.000	Merged-chr1-128615083-92
NR5817--MA0002.2.RUNX1	chr19	41597724	41597734	+	0.000	0.000	Merged-chr19-41597921-2
NR2125--MA0511.2.RUNX2	chr11	109496315	109496323	+	0.000	0.000	Merged-chr11-109496356-118
NR8493--MA0511.2.RUNX2	chr5	118271942	118271950	-	0.000	0.000	Merged-chr5-118271976-24
NR7831--MA0684.1.RUNX3	chr4	131696216	131696225	+	0.000	0.000	Merged-chr4-131696229-22
NR9363--MA0002.2.RUNX1	chr6	144961868	144961878	+	0.000	0.000	Merged-chr6-144962023-22
NR3822--MA0511.2.RUNX2	chr15	18951819	18951827	-	0.000	0.000	Merged-chr15-18951851-25
NR1871--MA0511.2.RUNX2	chr11	77519248	77519256	-	0.000	0.000	Merged-chr11-77519189-54
NR2026--MA0002.2.RUNX1	chr11	101199796	101199806	-	0.000	0.000	Merged-chr11-101199720-6
NR5798--MA0002.2.RUNX1	chr19	36559554	36559564	-	0.000	0.000	Merged-chr19-36559499-3
NR167--MA0002.2.RUNX1	chr1	54421901	54421911	-	0.000	0.000	Merged-chr1-54421982-33
NR6657--MA0684.1.RUNX3	chr2	169590635	169590644	-	0.000	0.000	Merged-chr2-169590672-10
NR2377--MA0511.2.RUNX2	chr12	52830989	52830997	-	0.000	0.000	Merged-chr12-52830906-26
NR1715--MA0684.1.RUNX3	chr11	52224161	52224170	+	0.000	0.000	Merged-chr11-52224357-50
NR6114--MA0002.2.RUNX1	chr2	53102493	53102503	+	0.000	0.000	Merged-chr2-53102302-39
NR4106--MA0684.1.RUNX3	chr15	85328195	85328204	-	0.000	0.000	Merged-chr15-85328019-32
NR1567--MA0002.2.RUNX1	chr11	5216015	5216025	-	0.000	0.000	Merged-chr11-5215848-30
NR7540--MA0002.2.RUNX1	chr4	56114154	56114164	+	0.000	0.000	Merged-chr4-56114012-43
NR2278--MA0002.2.RUNX1	chr12	16136628	16136638	+	0.000	0.000	Merged-chr12-16136516-15
NR1523--MA0511.2.RUNX2	chr10	127586351	127586359	-	0.000	0.000	Merged-chr10-127586318-36
NR8046--MA0002.2.RUNX1	chr5	7829815	7829825	+	0.000	0.000	Merged-chr5-7829791-41
NR4292--MA0684.1.RUNX3	chr16	14355065	14355074	+	0.000	0.000	Merged-chr16-14355199-2
NR2505--MA0511.2.RUNX2	chr12	86819379	86819387	-	0.000	0.000	Merged-chr12-86819231-52
NR8317--MA0002.2.RUNX1	chr5	96962314	96962324	-	0.000	0.000	Merged-chr5-96962460-75
NR10772--MA0002.2.RUNX1	chr9	42272815	42272825	-	0.000	0.000	Merged-chr9-42272782-11
NR4087--MA0684.1.RUNX3	chr15	82235890	82235899	+	0.000	0.000	Merged-chr15-82235726-13
