#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gata/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.dn.bed
NR7094--MA0140.2.GATA1::TAL1	chrX	13347146	13347163	-	0.000	0.000	Merged-chrX-13347316-78
NR3521--MA0036.3.GATA2	chr19	12805882	12805892	-	0.000	0.000	Merged-chr19-12806193-62
NR7200--MA0140.2.GATA1::TAL1	chrX	167201489	167201506	+	0.000	0.000	Merged-chrX-167201586-47
NR3316--MA0036.3.GATA2	chr18	38350148	38350158	+	0.000	0.000	Merged-chr18-38350190-47
NR6725--MA0037.3.GATA3	chr9	41118252	41118259	+	0.000	0.000	Merged-chr9-41118206-38
NR3824--MA1104.1.GATA6	chr2	60845540	60845552	+	0.000	0.000	Merged-chr2-60845573-40
NR7051--MA0140.2.GATA1::TAL1	chr9	121857607	121857624	+	0.000	0.000	Merged-chr9-121857638-93
NR198--MA0482.1.Gata4	chr1	105803092	105803102	-	0.000	0.000	Merged-chr1-105803155-19
NR5865--MA1104.1.GATA6	chr6	129586991	129587003	-	0.000	0.000	Merged-chr6-129586992-7
NR4025--MA1104.1.GATA6	chr2	117374269	117374281	-	0.000	0.000	Merged-chr2-117374468-47
NR582--MA0037.3.GATA3	chr10	34172906	34172913	+	0.000	0.000	Merged-chr10-34172961-40
NR3592--MA0482.1.Gata4	chr19	34640571	34640581	+	0.000	0.000	Merged-chr19-34640764-45
NR6049--MA0482.1.Gata4	chr7	19093680	19093690	+	0.000	0.000	Merged-chr7-19093740-100
NR6850--MA0035.3.Gata1	chr9	79970744	79970754	-	0.000	0.000	Merged-chr9-79970896-33
NR6438--MA0140.2.GATA1::TAL1	chr8	71542801	71542818	+	0.000	0.000	Merged-chr8-71542903-45
NR2345--MA0037.3.GATA3	chr14	78687948	78687955	-	0.000	0.000	Merged-chr14-78687892-42
NR1625--MA0766.1.GATA5	chr12	111897202	111897209	-	0.000	0.000	Merged-chr12-111897164-28
NR6289--MA0140.2.GATA1::TAL1	chr7	121641348	121641365	-	0.000	0.000	Merged-chr7-121641450-48
NR4973--MA0036.3.GATA2	chr4	145263889	145263899	-	0.000	0.000	Merged-chr4-145263821-10
NR1944--MA0482.1.Gata4	chr13	90930170	90930180	+	0.000	0.000	Merged-chr13-90930019-46
NR5955--MA0036.3.GATA2	chr6	140598740	140598750	+	0.000	0.000	Merged-chr6-140598794-45
NR4038--MA1104.1.GATA6	chr2	120026842	120026854	+	0.000	0.000	Merged-chr2-120026874-2
NR2358--MA1104.1.GATA6	chr14	79481995	79482007	-	0.000	0.000	Merged-chr14-79481875-1
NR2307--MA0482.1.Gata4	chr14	66241477	66241487	+	0.000	0.000	Merged-chr14-66241484-22
NR1187--MA0140.2.GATA1::TAL1	chr11	99024215	99024232	+	0.000	0.000	Merged-chr11-99024246-49
NR3595--MA0035.3.Gata1	chr19	34640570	34640580	+	0.000	0.000	Merged-chr19-34640764-45
NR6972--MA0035.3.Gata1	chr9	103426518	103426528	-	0.000	0.000	Merged-chr9-103426550-25
NR2741--MA0035.3.Gata1	chr16	7419925	7419935	+	0.000	0.000	Merged-chr16-7419949-42
NR2650--MA0766.1.GATA5	chr15	82906893	82906900	+	0.000	0.000	Merged-chr15-82906941-10
NR3090--MA0766.1.GATA5	chr17	18718469	18718476	+	0.000	0.000	Merged-chr17-18718477-13
NR1543--MA0482.1.Gata4	chr12	93227050	93227060	+	0.000	0.000	Merged-chr12-93227052-12
NR3294--MA0140.2.GATA1::TAL1	chr18	5592807	5592824	-	0.000	0.000	Merged-chr18-5592886-93
NR7040--MA0482.1.Gata4	chr9	120493245	120493255	+	0.000	0.000	Merged-chr9-120493281-1
NR4249--MA0140.2.GATA1::TAL1	chr2	181879342	181879359	-	0.000	0.000	Merged-chr2-181879155-37
NR1575--MA0036.3.GATA2	chr12	104067615	104067625	+	0.000	0.000	Merged-chr12-104067684-35
NR5857--MA1104.1.GATA6	chr6	129218537	129218549	+	0.000	0.000	Merged-chr6-129218550-1
NR1259--MA0037.3.GATA3	chr11	108101664	108101671	-	0.000	0.000	Merged-chr11-108101692-19
NR4907--MA0037.3.GATA3	chr4	126103849	126103856	-	0.000	0.000	Merged-chr4-126103759-104
NR1212--MA1104.1.GATA6	chr11	101661873	101661885	+	0.000	0.000	Merged-chr11-101661964-4
NR3712--MA0482.1.Gata4	chr2	25054340	25054350	+	0.000	0.000	Merged-chr2-25054565-53
NR5848--MA0766.1.GATA5	chr6	125353461	125353468	+	0.000	0.000	Merged-chr6-125353566-72
NR3369--MA0035.3.Gata1	chr18	56733837	56733847	-	0.000	0.000	Merged-chr18-56734019-60
NR5163--MA0766.1.GATA5	chr5	33468771	33468778	-	0.000	0.000	Merged-chr5-33468852-15
NR1203--MA0766.1.GATA5	chr11	101604893	101604900	-	0.000	0.000	Merged-chr11-101604778-40
NR1726--MA0766.1.GATA5	chr13	8457041	8457048	-	0.000	0.000	Merged-chr13-8457184-81
NR5363--MA0035.3.Gata1	chr5	114374679	114374689	+	0.000	0.000	Merged-chr5-114374787-5
NR5429--MA0035.3.Gata1	chr5	136136239	136136249	+	0.000	0.000	Merged-chr5-136136075-63
NR3478--MA0035.3.Gata1	chr19	5088431	5088441	+	0.000	0.000	Merged-chr19-5088339-71
NR5610--MA0482.1.Gata4	chr6	41141089	41141099	+	0.000	0.000	Merged-chr6-41141136-19
NR1031--MA0036.3.GATA2	chr11	51967586	51967596	-	0.000	0.000	Merged-chr11-51967758-57
NR351--MA0035.3.Gata1	chr1	162615721	162615731	-	0.000	0.000	Merged-chr1-162615694-15
NR6964--MA0035.3.Gata1	chr9	100522271	100522281	-	0.000	0.000	Merged-chr9-100522209-27
NR5447--MA0766.1.GATA5	chr5	138280045	138280052	+	0.000	0.000	Merged-chr5-138280109-50
NR5437--MA0036.3.GATA2	chr5	137747961	137747971	+	0.000	0.000	Merged-chr5-137747869-32
NR521--MA0036.3.GATA2	chr10	12806116	12806126	+	0.000	0.000	Merged-chr10-12806040-40
NR1791--MA1104.1.GATA6	chr13	32993664	32993676	-	0.000	0.000	Merged-chr13-32993550-50
NR2642--MA0766.1.GATA5	chr15	81522972	81522979	-	0.000	0.000	Merged-chr15-81522874-123
NR2632--MA0036.3.GATA2	chr15	81199597	81199607	-	0.000	0.000	Merged-chr15-81199619-17
NR5376--MA0035.3.Gata1	chr5	121335427	121335437	-	0.000	0.000	Merged-chr5-121335584-25
NR2961--MA0482.1.Gata4	chr16	91433537	91433547	-	0.000	0.000	Merged-chr16-91433677-29
NR457--MA0037.3.GATA3	chr1	184536792	184536799	+	0.000	0.000	Merged-chr1-184536773-10
NR6799--MA0037.3.GATA3	chr9	62810880	62810887	+	0.000	0.000	Merged-chr9-62811056-2
NR4702--MA0766.1.GATA5	chr4	32615369	32615376	-	0.000	0.000	Merged-chr4-32615355-52
NR3181--MA0036.3.GATA2	chr17	52150039	52150049	+	0.000	0.000	Merged-chr17-52149947-112
NR840--MA0035.3.Gata1	chr10	117938872	117938882	+	0.000	0.000	Merged-chr10-117938782-19
NR7064--MA0036.3.GATA2	chr9	123931829	123931839	+	0.000	0.000	Merged-chr9-123931993-21
NR2425--MA0037.3.GATA3	chr14	120525793	120525800	-	0.000	0.000	Merged-chr14-120525808-27
NR3499--MA0036.3.GATA2	chr19	11516951	11516961	+	0.000	0.000	Merged-chr19-11516991-67
NR3104--MA0036.3.GATA2	chr17	26532843	26532853	-	0.000	0.000	Merged-chr17-26532798-20
NR199--MA1104.1.GATA6	chr1	105803092	105803104	+	0.000	0.000	Merged-chr1-105803155-19
NR5613--MA0035.3.Gata1	chr6	41141088	41141098	+	0.000	0.000	Merged-chr6-41141136-19
NR887--MA0035.3.Gata1	chr10	122976186	122976196	-	0.000	0.000	Merged-chr10-122976254-31
NR218--MA0037.3.GATA3	chr1	125466896	125466903	+	0.000	0.000	Merged-chr1-125466833-56
NR1819--MA0482.1.Gata4	chr13	43485436	43485446	+	0.000	0.000	Merged-chr13-43485409-24
NR1262--MA0036.3.GATA2	chr11	108101663	108101673	+	0.000	0.000	Merged-chr11-108101692-19
NR3593--MA1104.1.GATA6	chr19	34640569	34640581	-	0.000	0.000	Merged-chr19-34640764-45
NR4910--MA0036.3.GATA2	chr4	126103848	126103858	+	0.000	0.000	Merged-chr4-126103759-104
NR752--MA0036.3.GATA2	chr10	96599686	96599696	+	0.000	0.000	Merged-chr10-96599778-54
NR2964--MA0035.3.Gata1	chr16	91433538	91433548	-	0.000	0.000	Merged-chr16-91433677-29
NR4846--MA0037.3.GATA3	chr4	101192431	101192438	-	0.000	0.000	Merged-chr4-101192584-17
NR5525--MA0036.3.GATA2	chr5	149246271	149246281	-	0.000	0.000	Merged-chr5-149246178-51
NR5060--MA0482.1.Gata4	chr4	156235718	156235728	-	0.000	0.000	Merged-chr4-156235547-2
NR3717--MA0482.1.Gata4	chr2	25111313	25111323	+	0.000	0.000	Merged-chr2-25111409-51
NR65--MA0766.1.GATA5	chr1	43520879	43520886	-	0.000	0.000	Merged-chr1-43520918-1
NR1945--MA1104.1.GATA6	chr13	90930168	90930180	-	0.000	0.000	Merged-chr13-90930019-46
NR2818--MA0037.3.GATA3	chr16	32645538	32645545	-	0.000	0.000	Merged-chr16-32645495-50
NR3698--MA0482.1.Gata4	chr2	18935689	18935699	+	0.000	0.000	Merged-chr2-18935718-26
NR2308--MA1104.1.GATA6	chr14	66241475	66241487	-	0.000	0.000	Merged-chr14-66241484-22
NR2725--MA0035.3.Gata1	chr15	100750371	100750381	+	0.000	0.000	Merged-chr15-100750259-57
NR1208--MA0766.1.GATA5	chr11	101627409	101627416	-	0.000	0.000	Merged-chr11-101627512-104
NR2363--MA0766.1.GATA5	chr14	79499549	79499556	-	0.000	0.000	Merged-chr14-79499625-44
NR797--MA0037.3.GATA3	chr10	111583207	111583214	+	0.000	0.000	Merged-chr10-111583294-13
NR3606--MA0036.3.GATA2	chr19	37266072	37266082	+	0.000	0.000	Merged-chr19-37265985-31
NR2311--MA0035.3.Gata1	chr14	66241476	66241486	+	0.000	0.000	Merged-chr14-66241484-22
NR2513--MA0037.3.GATA3	chr15	36375104	36375111	+	0.000	0.000	Merged-chr15-36375084-60
NR1559--MA0036.3.GATA2	chr12	99544690	99544700	-	0.000	0.000	Merged-chr12-99544732-47
NR7088--MA0037.3.GATA3	chrX	13347157	13347164	+	0.000	0.000	Merged-chrX-13347316-78
NR5657--MA0766.1.GATA5	chr6	54096388	54096395	-	0.000	0.000	Merged-chr6-54096523-11
NR460--MA0036.3.GATA2	chr1	184536790	184536800	-	0.000	0.000	Merged-chr1-184536773-10
NR731--MA0036.3.GATA2	chr10	95283593	95283603	+	0.000	0.000	Merged-chr10-95283638-28
NR1177--MA1104.1.GATA6	chr11	97949928	97949940	-	0.000	0.000	Merged-chr11-97949895-26
NR4851--MA0482.1.Gata4	chr4	102568738	102568748	+	0.000	0.000	Merged-chr4-102568697-4
NR5485--MA0036.3.GATA2	chr5	142920703	142920713	-	0.000	0.000	Merged-chr5-142920894-48
NR897--MA0766.1.GATA5	chr10	128504783	128504790	+	0.000	0.000	Merged-chr10-128504918-39
NR74--MA0140.2.GATA1::TAL1	chr1	43538870	43538887	+	0.000	0.000	Merged-chr1-43538951-30
NR3713--MA1104.1.GATA6	chr2	25054338	25054350	-	0.000	0.000	Merged-chr2-25054565-53
NR2887--MA0037.3.GATA3	chr16	58679050	58679057	+	0.000	0.000	Merged-chr16-58678885-20
NR1235--MA0482.1.Gata4	chr11	106057070	106057080	+	0.000	0.000	Merged-chr11-106057103-42
NR5323--MA0482.1.Gata4	chr5	107533777	107533787	+	0.000	0.000	Merged-chr5-107533890-8
NR2796--MA0140.2.GATA1::TAL1	chr16	23328329	23328346	-	0.000	0.000	Merged-chr16-23328334-50
NR4149--MA0482.1.Gata4	chr2	151530971	151530981	-	0.000	0.000	Merged-chr2-151531035-38
NR5769--MA0036.3.GATA2	chr6	98843187	98843197	+	0.000	0.000	Merged-chr6-98843089-22
NR930--MA0482.1.Gata4	chr11	6528673	6528683	-	0.000	0.000	Merged-chr11-6528717-51
NR1809--MA0036.3.GATA2	chr13	41097618	41097628	-	0.000	0.000	Merged-chr13-41097728-40
NR4915--MA0036.3.GATA2	chr4	126677481	126677491	-	0.000	0.000	Merged-chr4-126677717-65
NR4997--MA0035.3.Gata1	chr4	146483485	146483495	+	0.000	0.000	Merged-chr4-146483496-1
NR2651--MA0035.3.Gata1	chr15	82906891	82906901	-	0.000	0.000	Merged-chr15-82906941-10
NR5611--MA1104.1.GATA6	chr6	41141087	41141099	-	0.000	0.000	Merged-chr6-41141136-19
NR2753--MA0140.2.GATA1::TAL1	chr16	11526680	11526697	-	0.000	0.000	Merged-chr16-11526520-43
NR587--MA0035.3.Gata1	chr10	34172904	34172914	-	0.000	0.000	Merged-chr10-34172961-40
NR2821--MA0036.3.GATA2	chr16	32645537	32645547	+	0.000	0.000	Merged-chr16-32645495-50
NR5494--MA0140.2.GATA1::TAL1	chr5	143976897	143976914	-	0.000	0.000	Merged-chr5-143976902-14
NR4763--MA0766.1.GATA5	chr4	53384822	53384829	-	0.000	0.000	Merged-chr4-53384912-31
NR3165--MA0036.3.GATA2	chr17	47223322	47223332	-	0.000	0.000	Merged-chr17-47223346-2
NR200--MA0036.3.GATA2	chr1	105803093	105803103	-	0.000	0.000	Merged-chr1-105803155-19
NR921--MA0140.2.GATA1::TAL1	chr11	3159752	3159769	-	0.000	0.000	Merged-chr11-3159670-75
NR2962--MA1104.1.GATA6	chr16	91433537	91433549	+	0.000	0.000	Merged-chr16-91433677-29
NR5849--MA0035.3.Gata1	chr6	125353459	125353469	-	0.000	0.000	Merged-chr6-125353566-72
NR5349--MA0482.1.Gata4	chr5	112219581	112219591	+	0.000	0.000	Merged-chr5-112219700-2
NR6303--MA0036.3.GATA2	chr7	127745505	127745515	-	0.000	0.000	Merged-chr7-127745605-87
NR2630--MA0035.3.Gata1	chr15	79927797	79927807	-	0.000	0.000	Merged-chr15-79927783-58
NR2356--MA0037.3.GATA3	chr14	79481997	79482004	-	0.000	0.000	Merged-chr14-79481875-1
NR736--MA0036.3.GATA2	chr10	96204410	96204420	+	0.000	0.000	Merged-chr10-96204406-28
NR6239--MA0037.3.GATA3	chr7	113419587	113419594	+	0.000	0.000	Merged-chr7-113419557-35
NR988--MA0036.3.GATA2	chr11	32445892	32445902	+	0.000	0.000	Merged-chr11-32445818-14
NR6674--MA0766.1.GATA5	chr9	15029165	15029172	+	0.000	0.000	Merged-chr9-15029277-27
NR3635--MA0482.1.Gata4	chr19	46613397	46613407	+	0.000	0.000	Merged-chr19-46613309-39
NR6260--MA0766.1.GATA5	chr7	114616936	114616943	+	0.000	0.000	Merged-chr7-114616980-17
NR4939--MA0037.3.GATA3	chr4	133879300	133879307	-	0.000	0.000	Merged-chr4-133879423-50
NR2890--MA0036.3.GATA2	chr16	58679048	58679058	-	0.000	0.000	Merged-chr16-58678885-20
NR2643--MA0035.3.Gata1	chr15	81522971	81522981	+	0.000	0.000	Merged-chr15-81522874-123
NR6849--MA0766.1.GATA5	chr9	79970746	79970753	+	0.000	0.000	Merged-chr9-79970896-33
NR3718--MA1104.1.GATA6	chr2	25111311	25111323	-	0.000	0.000	Merged-chr2-25111409-51
NR3025--MA0140.2.GATA1::TAL1	chr16	97879304	97879321	-	0.000	0.000	Merged-chr16-97879438-25
NR4603--MA0140.2.GATA1::TAL1	chr3	145942064	145942081	-	0.000	0.000	Merged-chr3-145942154-31
NR1720--MA0037.3.GATA3	chr13	8457034	8457041	-	0.000	0.000	Merged-chr13-8457184-81
NR2993--MA0140.2.GATA1::TAL1	chr16	95820237	95820254	-	0.000	0.000	Merged-chr16-95820235-13
NR4703--MA0035.3.Gata1	chr4	32615368	32615378	+	0.000	0.000	Merged-chr4-32615355-52
NR2752--MA0035.3.Gata1	chr16	11526689	11526699	-	0.000	0.000	Merged-chr16-11526520-43
NR2717--MA0036.3.GATA2	chr15	97790276	97790286	-	0.000	0.000	Merged-chr15-97790248-21
NR5855--MA0037.3.GATA3	chr6	129218540	129218547	+	0.000	0.000	Merged-chr6-129218550-1
NR2713--MA0140.2.GATA1::TAL1	chr15	97406298	97406315	+	0.000	0.000	Merged-chr15-97406164-9
NR5712--MA0037.3.GATA3	chr6	71962928	71962935	+	0.000	0.000	Merged-chr6-71962835-53
NR4270--MA0035.3.Gata1	chr3	37753350	37753360	+	0.000	0.000	Merged-chr3-37753406-27
NR1210--MA0037.3.GATA3	chr11	101661876	101661883	+	0.000	0.000	Merged-chr11-101661964-4
NR977--MA0766.1.GATA5	chr11	21314374	21314381	+	0.000	0.000	Merged-chr11-21314524-33
NR4995--MA1104.1.GATA6	chr4	146483484	146483496	-	0.000	0.000	Merged-chr4-146483496-1
NR4968--MA0035.3.Gata1	chr4	137603968	137603978	+	0.000	0.000	Merged-chr4-137603877-24
NR4852--MA1104.1.GATA6	chr4	102568736	102568748	-	0.000	0.000	Merged-chr4-102568697-4
NR5655--MA0482.1.Gata4	chr6	54096388	54096398	+	0.000	0.000	Merged-chr6-54096523-11
NR1153--MA0482.1.Gata4	chr11	90225057	90225067	+	0.000	0.000	Merged-chr11-90225249-59
NR66--MA0035.3.Gata1	chr1	43520878	43520888	+	0.000	0.000	Merged-chr1-43520918-1
NR6395--MA0766.1.GATA5	chr8	33898110	33898117	+	0.000	0.000	Merged-chr8-33898095-27
NR6959--MA0037.3.GATA3	chr9	100522273	100522280	+	0.000	0.000	Merged-chr9-100522209-27
NR2231--MA0482.1.Gata4	chr14	53802812	53802822	+	0.000	0.000	Merged-chr14-53802676-18
NR3136--MA0036.3.GATA2	chr17	32350600	32350610	+	0.000	0.000	Merged-chr17-32350599-47
NR6242--MA0036.3.GATA2	chr7	113419585	113419595	-	0.000	0.000	Merged-chr7-113419557-35
NR1328--MA0482.1.Gata4	chr11	119023242	119023252	+	0.000	0.000	Merged-chr11-119023233-65
NR1236--MA1104.1.GATA6	chr11	106057068	106057080	-	0.000	0.000	Merged-chr11-106057103-42
NR1209--MA0035.3.Gata1	chr11	101627408	101627418	+	0.000	0.000	Merged-chr11-101627512-104
NR2364--MA0035.3.Gata1	chr14	79499548	79499558	+	0.000	0.000	Merged-chr14-79499625-44
NR5324--MA1104.1.GATA6	chr5	107533775	107533787	-	0.000	0.000	Merged-chr5-107533890-8
NR6361--MA0766.1.GATA5	chr8	19703493	19703500	+	0.000	0.000	Merged-chr8-19703358-67
NR1089--MA0036.3.GATA2	chr11	70653430	70653440	-	0.000	0.000	Merged-chr11-70653653-5
NR931--MA1104.1.GATA6	chr11	6528673	6528685	+	0.000	0.000	Merged-chr11-6528717-51
NR4942--MA0036.3.GATA2	chr4	133879299	133879309	+	0.000	0.000	Merged-chr4-133879423-50
NR4153--MA0035.3.Gata1	chr2	151530972	151530982	-	0.000	0.000	Merged-chr2-151531035-38
NR7113--MA1104.1.GATA6	chrX	42399487	42399499	+	0.000	0.000	Merged-chrX-42399563-21
NR5162--MA1104.1.GATA6	chr5	33468769	33468781	-	0.000	0.000	Merged-chr5-33468852-15
NR197--MA0037.3.GATA3	chr1	105803095	105803102	+	0.000	0.000	Merged-chr1-105803155-19
NR2631--MA0140.2.GATA1::TAL1	chr15	80743668	80743685	-	0.000	0.000	Merged-chr15-80743505-96
NR1202--MA0037.3.GATA3	chr11	101604893	101604900	-	0.000	0.000	Merged-chr11-101604778-40
NR72--MA1104.1.GATA6	chr1	43538867	43538879	-	0.000	0.000	Merged-chr1-43538951-30
NR4371--MA0035.3.Gata1	chr3	101800464	101800474	+	0.000	0.000	Merged-chr3-101800601-48
NR6048--MA0037.3.GATA3	chr7	19093680	19093687	-	0.000	0.000	Merged-chr7-19093740-100
NR6473--MA0036.3.GATA2	chr8	84357742	84357752	+	0.000	0.000	Merged-chr8-84357932-29
NR1169--MA0035.3.Gata1	chr11	95336986	95336996	-	0.000	0.000	Merged-chr11-95337203-127
NR2846--MA0140.2.GATA1::TAL1	chr16	44242812	44242829	-	0.000	0.000	Merged-chr16-44242893-16
NR2985--MA0482.1.Gata4	chr16	93918466	93918476	+	0.000	0.000	Merged-chr16-93918388-61
NR3399--MA1104.1.GATA6	chr18	66458000	66458012	-	0.000	0.000	Merged-chr18-66457995-2
NR1416--MA0482.1.Gata4	chr12	31997091	31997101	-	0.000	0.000	Merged-chr12-31997107-37
NR1943--MA0037.3.GATA3	chr13	90930170	90930177	-	0.000	0.000	Merged-chr13-90930019-46
NR2518--MA0035.3.Gata1	chr15	36375102	36375112	-	0.000	0.000	Merged-chr15-36375084-60
NR6800--MA0140.2.GATA1::TAL1	chr9	62972571	62972588	-	0.000	0.000	Merged-chr9-62972468-50
NR6811--MA0035.3.Gata1	chr9	64780047	64780057	+	0.000	0.000	Merged-chr9-64779927-39
NR839--MA0766.1.GATA5	chr10	117938873	117938880	-	0.000	0.000	Merged-chr10-117938782-19
NR7022--MA0482.1.Gata4	chr9	118059237	118059247	+	0.000	0.000	Merged-chr9-118059304-13
NR3636--MA1104.1.GATA6	chr19	46613395	46613407	-	0.000	0.000	Merged-chr19-46613309-39
NR2536--MA0766.1.GATA5	chr15	50667571	50667578	-	0.000	0.000	Merged-chr15-50667671-62
NR938--MA0036.3.GATA2	chr11	6568133	6568143	+	0.000	0.000	Merged-chr11-6568162-40
NR6301--MA0035.3.Gata1	chr7	127083789	127083799	+	0.000	0.000	Merged-chr7-127083805-15
NR4044--MA0036.3.GATA2	chr2	121457052	121457062	+	0.000	0.000	Merged-chr2-121457132-54
NR1015--MA0482.1.Gata4	chr11	48874848	48874858	-	0.000	0.000	Merged-chr11-48874732-31
NR4848--MA0766.1.GATA5	chr4	101192431	101192438	-	0.000	0.000	Merged-chr4-101192584-17
NR2845--MA0035.3.Gata1	chr16	42172735	42172745	-	0.000	0.000	Merged-chr16-42172689-43
NR89--MA0766.1.GATA5	chr1	52456796	52456803	+	0.000	0.000	Merged-chr1-52456813-18
NR6593--MA1104.1.GATA6	chr8	123015269	123015281	-	0.000	0.000	Merged-chr8-123015317-27
NR2929--MA0766.1.GATA5	chr16	77095208	77095215	-	0.000	0.000	Merged-chr16-77095315-45
NR3711--MA0037.3.GATA3	chr2	25054340	25054347	-	0.000	0.000	Merged-chr2-25054565-53
NR6465--MA0036.3.GATA2	chr8	83715200	83715210	-	0.000	0.000	Merged-chr8-83715259-53
NR3941--MA0766.1.GATA5	chr2	92192029	92192036	+	0.000	0.000	Merged-chr2-92192158-30
NR723--MA0482.1.Gata4	chr10	93225926	93225936	+	0.000	0.000	Merged-chr10-93225944-30
NR6675--MA0035.3.Gata1	chr9	15029163	15029173	-	0.000	0.000	Merged-chr9-15029277-27
NR975--MA0482.1.Gata4	chr11	21314371	21314381	-	0.000	0.000	Merged-chr11-21314524-33
NR4971--MA0482.1.Gata4	chr4	145263888	145263898	-	0.000	0.000	Merged-chr4-145263821-10
NR6261--MA0035.3.Gata1	chr7	114616934	114616944	-	0.000	0.000	Merged-chr7-114616980-17
NR3312--MA0140.2.GATA1::TAL1	chr18	36701897	36701914	-	0.000	0.000	Merged-chr18-36701992-26
NR5656--MA1104.1.GATA6	chr6	54096386	54096398	-	0.000	0.000	Merged-chr6-54096523-11
NR4490--MA0766.1.GATA5	chr3	133335294	133335301	-	0.000	0.000	Merged-chr3-133335260-10
NR6969--MA0482.1.Gata4	chr9	103426517	103426527	-	0.000	0.000	Merged-chr9-103426550-25
NR6478--MA0036.3.GATA2	chr8	85429363	85429373	+	0.000	0.000	Merged-chr8-85429526-12
NR2232--MA1104.1.GATA6	chr14	53802810	53802822	-	0.000	0.000	Merged-chr14-53802676-18
NR5289--MA1104.1.GATA6	chr5	97055839	97055851	+	0.000	0.000	Merged-chr5-97055881-18
NR1329--MA1104.1.GATA6	chr11	119023240	119023252	-	0.000	0.000	Merged-chr11-119023233-65
NR4298--MA0766.1.GATA5	chr3	52840429	52840436	-	0.000	0.000	Merged-chr3-52840378-53
NR2960--MA0037.3.GATA3	chr16	91433540	91433547	+	0.000	0.000	Merged-chr16-91433677-29
NR1167--MA1104.1.GATA6	chr11	95336985	95336997	+	0.000	0.000	Merged-chr11-95337203-127
NR4764--MA0140.2.GATA1::TAL1	chr4	53384823	53384840	+	0.000	0.000	Merged-chr4-53384912-31
NR1340--MA0036.3.GATA2	chr12	3427691	3427701	+	0.000	0.000	Merged-chr12-3427631-4
NR4012--MA0766.1.GATA5	chr2	115855978	115855985	-	0.000	0.000	Merged-chr2-115856078-28
NR1368--MA0482.1.Gata4	chr12	13512376	13512386	+	0.000	0.000	Merged-chr12-13512538-15
NR6728--MA0036.3.GATA2	chr9	41118250	41118260	-	0.000	0.000	Merged-chr9-41118206-38
NR4762--MA1104.1.GATA6	chr4	53384820	53384832	-	0.000	0.000	Merged-chr4-53384912-31
NR4464--MA0035.3.Gata1	chr3	130810235	130810245	-	0.000	0.000	Merged-chr3-130810133-82
NR4440--MA0482.1.Gata4	chr3	126691143	126691153	-	0.000	0.000	Merged-chr3-126690917-48
NR6396--MA0035.3.Gata1	chr8	33898108	33898118	-	0.000	0.000	Merged-chr8-33898095-27
NR1059--MA0140.2.GATA1::TAL1	chr11	62731400	62731417	-	0.000	0.000	Merged-chr11-62731270-1
NR2986--MA1104.1.GATA6	chr16	93918464	93918476	-	0.000	0.000	Merged-chr16-93918388-61
NR4465--MA0140.2.GATA1::TAL1	chr3	130810226	130810243	-	0.000	0.000	Merged-chr3-130810133-82
NR1417--MA1104.1.GATA6	chr12	31997091	31997103	+	0.000	0.000	Merged-chr12-31997107-37
NR6362--MA0035.3.Gata1	chr8	19703491	19703501	-	0.000	0.000	Merged-chr8-19703358-67
NR1420--MA0035.3.Gata1	chr12	31997092	31997102	-	0.000	0.000	Merged-chr12-31997107-37
NR2128--MA0037.3.GATA3	chr14	14019694	14019701	+	0.000	0.000	Merged-chr14-14019640-26
NR7023--MA1104.1.GATA6	chr9	118059235	118059247	-	0.000	0.000	Merged-chr9-118059304-13
NR2348--MA0036.3.GATA2	chr14	78687947	78687957	+	0.000	0.000	Merged-chr14-78687892-42
NR6436--MA0036.3.GATA2	chr8	70558449	70558459	-	0.000	0.000	Merged-chr8-70558477-31
NR6826--MA0766.1.GATA5	chr9	69298080	69298087	-	0.000	0.000	Merged-chr9-69298140-58
NR6351--MA0482.1.Gata4	chr8	4507820	4507830	+	0.000	0.000	Merged-chr8-4507701-32
NR6622--MA0482.1.Gata4	chr8	126210245	126210255	+	0.000	0.000	Merged-chr8-126210143-17
NR1198--MA0482.1.Gata4	chr11	100545861	100545871	+	0.000	0.000	Merged-chr11-100545700-39
NR1794--MA0035.3.Gata1	chr13	32993665	32993675	+	0.000	0.000	Merged-chr13-32993550-50
NR1974--MA0766.1.GATA5	chr13	95697072	95697079	-	0.000	0.000	Merged-chr13-95697036-46
NR1651--MA0035.3.Gata1	chr12	114300002	114300012	+	0.000	0.000	Merged-chr12-114300093-52
NR1234--MA0037.3.GATA3	chr11	106057070	106057077	-	0.000	0.000	Merged-chr11-106057103-42
NR5322--MA0037.3.GATA3	chr5	107533777	107533784	-	0.000	0.000	Merged-chr5-107533890-8
NR2927--MA0482.1.Gata4	chr16	77095208	77095218	+	0.000	0.000	Merged-chr16-77095315-45
NR2537--MA0035.3.Gata1	chr15	50667570	50667580	+	0.000	0.000	Merged-chr15-50667671-62
NR976--MA1104.1.GATA6	chr11	21314371	21314383	+	0.000	0.000	Merged-chr11-21314524-33
