#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed
NR12908--MA0591.1.Bach1::Mafk	chr8	115844180	115844194	-	0.000	0.000	Merged-chr8-115844208-1
NR1279--MA0089.1.MAFG::NFE2L1	chr10	21186863	21186868	+	0.000	0.000	Merged-chr10-21186963-29
NR6130--MA0496.2.MAFK	chr17	86063693	86063711	-	0.000	0.000	Merged-chr17-86063661-27
NR1712--MA0501.1.MAF::NFE2	chr10	85829471	85829485	-	0.000	0.000	Merged-chr10-85829298-76
NR6743--MA0501.1.MAF::NFE2	chr19	5850313	5850327	-	0.000	0.000	Merged-chr19-5850230-41
NR10389--MA0659.1.MAFG	chr5	92353778	92353798	-	0.000	0.000	Merged-chr5-92353751-46
NR4065--MA0089.1.MAFG::NFE2L1	chr14	36316078	36316083	+	0.000	0.000	Merged-chr14-36316254-1
NR13408--MA0659.1.MAFG	chr9	108150735	108150755	+	0.000	0.000	Merged-chr9-108150702-30
NR10382--MA0496.2.MAFK	chr5	92348951	92348969	+	0.000	0.000	Merged-chr5-92348973-52
NR4545--MA0501.1.MAF::NFE2	chr14	122000896	122000910	-	0.000	0.000	Merged-chr14-122000857-51
NR9601--MA0089.1.MAFG::NFE2L1	chr4	99942369	99942374	-	0.000	0.000	Merged-chr4-99942261-47
NR4252--MA0089.1.MAFG::NFE2L1	chr14	69733564	69733569	+	0.000	0.000	Merged-chr14-69733649-8
NR11140--MA0591.1.Bach1::Mafk	chr6	72601931	72601945	-	0.000	0.000	Merged-chr6-72601954-26
NR6613--MA0089.1.MAFG::NFE2L1	chr18	73816679	73816684	-	0.000	0.000	Merged-chr18-73816843-39
NR9626--MA0117.2.Mafb	chr4	106935350	106935361	-	0.000	0.000	Merged-chr4-106935357-64
NR2467--MA0117.2.Mafb	chr11	118245198	118245209	+	0.000	0.000	Merged-chr11-118245259-33
NR6372--MA0496.2.MAFK	chr18	39068274	39068292	-	0.000	0.000	Merged-chr18-39068377-42
NR5545--MA0591.1.Bach1::Mafk	chr16	78532154	78532168	+	0.000	0.000	Merged-chr16-78532286-51
NR6828--MA0089.1.MAFG::NFE2L1	chr19	36533188	36533193	-	0.000	0.000	Merged-chr19-36533224-11
NR13554--MA0495.2.MAFF	chrX	48310730	48310750	-	0.000	0.000	Merged-chrX-48310773-8
NR11251--MA0501.1.MAF::NFE2	chr6	97420173	97420187	-	0.000	0.000	Merged-chr6-97420267-23
NR4162--MA0501.1.MAF::NFE2	chr14	46578293	46578307	-	0.000	0.000	Merged-chr14-46578431-37
NR4178--MA0089.1.MAFG::NFE2L1	chr14	48199269	48199274	+	0.000	0.000	Merged-chr14-48199252-26
NR7051--MA0591.1.Bach1::Mafk	chr2	24745476	24745490	+	0.000	0.000	Merged-chr2-24745465-17
NR4554--MA0089.1.MAFG::NFE2L1	chr14	123163261	123163266	-	0.000	0.000	Merged-chr14-123163033-38
NR618--MA0501.1.MAF::NFE2	chr1	108038596	108038610	+	0.000	0.000	Merged-chr1-108038539-17
NR11258--MA0089.1.MAFG::NFE2L1	chr6	99220668	99220673	-	0.000	0.000	Merged-chr6-99220619-12
NR3123--MA0659.1.MAFG	chr13	8385605	8385625	+	0.000	0.000	Merged-chr13-8385507-1
NR3011--MA0591.1.Bach1::Mafk	chr12	112860878	112860892	+	0.000	0.000	Merged-chr12-112860925-89
NR2485--MA0117.2.Mafb	chr12	3441356	3441367	-	0.000	0.000	Merged-chr12-3441534-29
NR5909--MA0591.1.Bach1::Mafk	chr17	44614177	44614191	-	0.000	0.000	Merged-chr17-44614219-8
NR8646--MA0496.2.MAFK	chr3	105892540	105892558	-	0.000	0.000	Merged-chr3-105892493-111
NR10416--MA0089.1.MAFG::NFE2L1	chr5	96948964	96948969	+	0.000	0.000	Merged-chr5-96949155-39
NR2269--MA0591.1.Bach1::Mafk	chr11	61642333	61642347	-	0.000	0.000	Merged-chr11-61642233-10
NR10504--MA0495.2.MAFF	chr5	118269183	118269203	+	0.000	0.000	Merged-chr5-118269215-26
NR11832--MA0501.1.MAF::NFE2	chr7	49335179	49335193	+	0.000	0.000	Merged-chr7-49335315-27
NR7001--MA0496.2.MAFK	chr2	16568169	16568187	-	0.000	0.000	Merged-chr2-16568402-24
NR8899--MA0117.2.Mafb	chr3	143936478	143936489	-	0.000	0.000	Merged-chr3-143936594-7
NR2293--MA0089.1.MAFG::NFE2L1	chr11	68447293	68447298	+	0.000	0.000	Merged-chr11-68447453-15
NR3347--MA0659.1.MAFG	chr13	63365383	63365403	+	0.000	0.000	Merged-chr13-63365525-19
NR11952--MA0495.2.MAFF	chr7	73588797	73588817	-	0.000	0.000	Merged-chr7-73589087-116
NR6073--MA0495.2.MAFF	chr17	80139917	80139937	-	0.000	0.000	Merged-chr17-80140059-47
NR10808--MA0496.2.MAFK	chr6	17629865	17629883	-	0.000	0.000	Merged-chr6-17630018-29
NR3141--MA0591.1.Bach1::Mafk	chr13	9882506	9882520	+	0.000	0.000	Merged-chr13-9882509-19
NR5522--MA0117.2.Mafb	chr16	76202324	76202335	-	0.000	0.000	Merged-chr16-76202306-30
NR13223--MA0495.2.MAFF	chr9	78074138	78074158	+	0.000	0.000	Merged-chr9-78074095-46
NR7867--MA0591.1.Bach1::Mafk	chr2	162931537	162931551	+	0.000	0.000	Merged-chr2-162931607-133
NR11954--MA0659.1.MAFG	chr7	73588797	73588817	-	0.000	0.000	Merged-chr7-73589087-116
NR6075--MA0659.1.MAFG	chr17	80139917	80139937	+	0.000	0.000	Merged-chr17-80140059-47
NR5780--MA0495.2.MAFF	chr17	23630405	23630425	+	0.000	0.000	Merged-chr17-23630399-39
NR6827--MA0117.2.Mafb	chr19	36477338	36477349	+	0.000	0.000	Merged-chr19-36477668-89
NR1991--MA0659.1.MAFG	chr10	122987857	122987877	-	0.000	0.000	Merged-chr10-122987873-30
NR2163--MA0117.2.Mafb	chr11	23257568	23257579	+	0.000	0.000	Merged-chr11-23257441-61
NR3045--MA0089.1.MAFG::NFE2L1	chr12	117993607	117993612	+	0.000	0.000	Merged-chr12-117993666-52
NR4841--MA0089.1.MAFG::NFE2L1	chr15	61546879	61546884	-	0.000	0.000	Merged-chr15-61546786-37
NR2830--MA0117.2.Mafb	chr12	75572498	75572509	-	0.000	0.000	Merged-chr12-75572455-24
NR12613--MA0501.1.MAF::NFE2	chr8	64826687	64826701	-	0.000	0.000	Merged-chr8-64826546-37
NR11169--MA0089.1.MAFG::NFE2L1	chr6	83763019	83763024	+	0.000	0.000	Merged-chr6-83763123-27
NR2349--MA0496.2.MAFK	chr11	87074102	87074120	-	0.000	0.000	Merged-chr11-87073947-35
NR10501--MA0089.1.MAFG::NFE2L1	chr5	117388974	117388979	-	0.000	0.000	Merged-chr5-117388866-82
NR10506--MA0117.2.Mafb	chr5	118269183	118269194	+	0.000	0.000	Merged-chr5-118269215-26
NR13039--MA0089.1.MAFG::NFE2L1	chr9	14926806	14926811	-	0.000	0.000	Merged-chr9-14926732-51
NR3025--MA0659.1.MAFG	chr12	114991122	114991142	-	0.000	0.000	Merged-chr12-114991248-55
NR12676--MA0089.1.MAFG::NFE2L1	chr8	75084011	75084016	-	0.000	0.000	Merged-chr8-75083999-30
NR11632--MA0089.1.MAFG::NFE2L1	chr6	145340060	145340065	-	0.000	0.000	Merged-chr6-145340016-10
NR8548--MA0496.2.MAFK	chr3	89872364	89872382	+	0.000	0.000	Merged-chr3-89872416-43
NR1183--MA0496.2.MAFK	chr10	12823923	12823941	+	0.000	0.000	Merged-chr10-12823956-45
NR2379--MA0591.1.Bach1::Mafk	chr11	97728509	97728523	-	0.000	0.000	Merged-chr11-97728662-57
NR6742--MA0117.2.Mafb	chr19	5850313	5850324	+	0.000	0.000	Merged-chr19-5850230-41
NR4887--MA0496.2.MAFK	chr15	69158261	69158279	-	0.000	0.000	Merged-chr15-69158261-1
NR6233--MA0089.1.MAFG::NFE2L1	chr18	10531709	10531714	+	0.000	0.000	Merged-chr18-10531815-35
NR11090--MA0117.2.Mafb	chr6	67348193	67348204	+	0.000	0.000	Merged-chr6-67348220-52
NR13428--MA0089.1.MAFG::NFE2L1	chr9	109862857	109862862	-	0.000	0.000	Merged-chr9-109862838-42
NR12008--MA0089.1.MAFG::NFE2L1	chr7	78685190	78685195	+	0.000	0.000	Merged-chr7-78685016-20
NR2264--MA0501.1.MAF::NFE2	chr11	60108754	60108768	+	0.000	0.000	Merged-chr11-60108750-22
NR9234--MA0501.1.MAF::NFE2	chr4	40876945	40876959	+	0.000	0.000	Merged-chr4-40876932-30
NR5028--MA0089.1.MAFG::NFE2L1	chr15	93712836	93712841	-	0.000	0.000	Merged-chr15-93712745-43
NR2193--MA0495.2.MAFF	chr11	32561585	32561605	+	0.000	0.000	Merged-chr11-32561785-56
NR2201--MA0089.1.MAFG::NFE2L1	chr11	34010295	34010300	+	0.000	0.000	Merged-chr11-34010377-133
NR10974--MA0496.2.MAFK	chr6	49128469	49128487	-	0.000	0.000	Merged-chr6-49128471-29
NR8472--MA0496.2.MAFK	chr3	79100355	79100373	-	0.000	0.000	Merged-chr3-79100420-9
NR6754--MA0495.2.MAFF	chr19	8997796	8997816	-	0.000	0.000	Merged-chr19-8997882-60
NR1186--MA0089.1.MAFG::NFE2L1	chr10	14058112	14058117	+	0.000	0.000	Merged-chr10-14058073-111
NR8097--MA0591.1.Bach1::Mafk	chr3	18623970	18623984	+	0.000	0.000	Merged-chr3-18624063-31
NR2195--MA0659.1.MAFG	chr11	32561585	32561605	+	0.000	0.000	Merged-chr11-32561785-56
NR6622--MA0089.1.MAFG::NFE2L1	chr18	76259856	76259861	-	0.000	0.000	Merged-chr18-76259816-26
NR1979--MA0089.1.MAFG::NFE2L1	chr10	121331255	121331260	+	0.000	0.000	Merged-chr10-121331107-36
NR4012--MA0117.2.Mafb	chr14	27560687	27560698	+	0.000	0.000	Merged-chr14-27560598-17
NR13211--MA0089.1.MAFG::NFE2L1	chr9	75645726	75645731	+	0.000	0.000	Merged-chr9-75645586-46
NR7750--MA0495.2.MAFF	chr2	148408351	148408371	+	0.000	0.000	Merged-chr2-148408263-26
NR11831--MA0591.1.Bach1::Mafk	chr7	49335176	49335190	+	0.000	0.000	Merged-chr7-49335315-27
NR1009--MA0089.1.MAFG::NFE2L1	chr1	185193693	185193698	-	0.000	0.000	Merged-chr1-185193700-43
NR2289--MA0117.2.Mafb	chr11	64187032	64187043	+	0.000	0.000	Merged-chr11-64187104-15
NR1084--MA0089.1.MAFG::NFE2L1	chr1	191259313	191259318	-	0.000	0.000	Merged-chr1-191259374-46
NR3126--MA0496.2.MAFK	chr13	8385606	8385624	+	0.000	0.000	Merged-chr13-8385507-1
NR9838--MA0089.1.MAFG::NFE2L1	chr4	148742849	148742854	-	0.000	0.000	Merged-chr4-148742861-33
NR10308--MA0495.2.MAFF	chr5	76565520	76565540	-	0.000	0.000	Merged-chr5-76565486-34
NR1665--MA0659.1.MAFG	chr10	79909196	79909216	-	0.000	0.000	Merged-chr10-79909301-6
NR9852--MA0501.1.MAF::NFE2	chr4	152318824	152318838	-	0.000	0.000	Merged-chr4-152318994-28
NR8014--MA0089.1.MAFG::NFE2L1	chr2	180256361	180256366	+	0.000	0.000	Merged-chr2-180256201-1
NR4952--MA0089.1.MAFG::NFE2L1	chr15	80735480	80735485	-	0.000	0.000	Merged-chr15-80735548-45
NR10901--MA0089.1.MAFG::NFE2L1	chr6	35133985	35133990	-	0.000	0.000	Merged-chr6-35133862-87
NR12637--MA0591.1.Bach1::Mafk	chr8	69183851	69183865	-	0.000	0.000	Merged-chr8-69184043-75
NR13387--MA0501.1.MAF::NFE2	chr9	99469970	99469984	-	0.000	0.000	Merged-chr9-99469936-29
NR2095--MA0495.2.MAFF	chr11	10276496	10276516	-	0.000	0.000	Merged-chr11-10276392-45
NR8795--MA0089.1.MAFG::NFE2L1	chr3	130976469	130976474	+	0.000	0.000	Merged-chr3-130976377-12
NR2893--MA0089.1.MAFG::NFE2L1	chr12	91746020	91746025	+	0.000	0.000	Merged-chr12-91745848-45
NR11016--MA0591.1.Bach1::Mafk	chr6	57583832	57583846	-	0.000	0.000	Merged-chr6-57584006-3
NR9736--MA0089.1.MAFG::NFE2L1	chr4	135567843	135567848	+	0.000	0.000	Merged-chr4-135567986-19
NR11252--MA0089.1.MAFG::NFE2L1	chr6	97447145	97447150	+	0.000	0.000	Merged-chr6-97447180-22
NR12181--MA0089.1.MAFG::NFE2L1	chr7	109265802	109265807	-	0.000	0.000	Merged-chr7-109265818-41
NR8550--MA0591.1.Bach1::Mafk	chr3	89912852	89912866	+	0.000	0.000	Merged-chr3-89912987-87
NR2634--MA0117.2.Mafb	chr12	36317334	36317345	-	0.000	0.000	Merged-chr12-36317326-46
NR9238--MA0117.2.Mafb	chr4	41714401	41714412	+	0.000	0.000	Merged-chr4-41714458-10
NR7938--MA0496.2.MAFK	chr2	173749173	173749191	+	0.000	0.000	Merged-chr2-173749391-11
NR7595--MA0501.1.MAF::NFE2	chr2	125136046	125136060	+	0.000	0.000	Merged-chr2-125136116-38
NR881--MA0501.1.MAF::NFE2	chr1	162735259	162735273	-	0.000	0.000	Merged-chr1-162735223-28
NR4275--MA0495.2.MAFF	chr14	78273820	78273840	-	0.000	0.000	Merged-chr14-78273841-14
NR3057--MA0117.2.Mafb	chr13	4110540	4110551	-	0.000	0.000	Merged-chr13-4110676-26
NR4393--MA0117.2.Mafb	chr14	103017209	103017220	-	0.000	0.000	Merged-chr14-103017290-44
NR9258--MA0089.1.MAFG::NFE2L1	chr4	47287681	47287686	-	0.000	0.000	Merged-chr4-47287610-6
NR1110--MA0117.2.Mafb	chr1	194600296	194600307	-	0.000	0.000	Merged-chr1-194600218-2
NR5139--MA0089.1.MAFG::NFE2L1	chr16	8470799	8470804	-	0.000	0.000	Merged-chr16-8470808-56
NR5577--MA0117.2.Mafb	chr16	84972108	84972119	+	0.000	0.000	Merged-chr16-84972104-8
NR968--MA0496.2.MAFK	chr1	174921247	174921265	-	0.000	0.000	Merged-chr1-174921307-1
NR4298--MA0501.1.MAF::NFE2	chr14	86847324	86847338	-	0.000	0.000	Merged-chr14-86847401-13
NR894--MA0117.2.Mafb	chr1	165763775	165763786	-	0.000	0.000	Merged-chr1-165763682-102
NR744--MA0591.1.Bach1::Mafk	chr1	139179655	139179669	-	0.000	0.000	Merged-chr1-139179531-1
NR3028--MA0496.2.MAFK	chr12	114991123	114991141	-	0.000	0.000	Merged-chr12-114991248-55
NR6531--MA0089.1.MAFG::NFE2L1	chr18	61638188	61638193	-	0.000	0.000	Merged-chr18-61638222-61
NR595--MA0591.1.Bach1::Mafk	chr1	106158132	106158146	-	0.000	0.000	Merged-chr1-106158254-8
NR835--MA0501.1.MAF::NFE2	chr1	152010406	152010420	+	0.000	0.000	Merged-chr1-152010502-52
NR2181--MA0501.1.MAF::NFE2	chr11	26640668	26640682	-	0.000	0.000	Merged-chr11-26640535-47
NR10032--MA0089.1.MAFG::NFE2L1	chr5	20845378	20845383	+	0.000	0.000	Merged-chr5-20845245-18
NR4975--MA0501.1.MAF::NFE2	chr15	83474201	83474215	+	0.000	0.000	Merged-chr15-83474258-63
NR12381--MA0089.1.MAFG::NFE2L1	chr8	13976748	13976753	-	0.000	0.000	Merged-chr8-13976763-5
NR10380--MA0495.2.MAFF	chr5	92348938	92348958	-	0.000	0.000	Merged-chr5-92348973-52
NR4597--MA0496.2.MAFK	chr15	8625547	8625565	-	0.000	0.000	Merged-chr15-8625615-29
NR10131--MA0117.2.Mafb	chr5	43425120	43425131	+	0.000	0.000	Merged-chr5-43425059-17
NR5492--MA0117.2.Mafb	chr16	70421351	70421362	+	0.000	0.000	Merged-chr16-70421204-38
NR11888--MA0117.2.Mafb	chr7	58770478	58770489	+	0.000	0.000	Merged-chr7-58770520-9
NR9747--MA0089.1.MAFG::NFE2L1	chr4	140948246	140948251	-	0.000	0.000	Merged-chr4-140948211-54
NR9386--MA0117.2.Mafb	chr4	63486681	63486692	+	0.000	0.000	Merged-chr4-63486767-20
NR11754--MA0089.1.MAFG::NFE2L1	chr7	28209117	28209122	-	0.000	0.000	Merged-chr7-28209018-32
NR8893--MA0089.1.MAFG::NFE2L1	chr3	143399664	143399669	-	0.000	0.000	Merged-chr3-143399493-1
NR11263--MA0089.1.MAFG::NFE2L1	chr6	99643708	99643713	-	0.000	0.000	Merged-chr6-99643748-32
NR431--MA0496.2.MAFK	chr1	81301964	81301982	-	0.000	0.000	Merged-chr1-81301857-6
NR813--MA0089.1.MAFG::NFE2L1	chr1	149127700	149127705	-	0.000	0.000	Merged-chr1-149127777-1
NR205--MA0117.2.Mafb	chr1	45825388	45825399	+	0.000	0.000	Merged-chr1-45825325-25
NR10636--MA0089.1.MAFG::NFE2L1	chr5	147063457	147063462	-	0.000	0.000	Merged-chr5-147063758-85
NR11189--MA0089.1.MAFG::NFE2L1	chr6	88379068	88379073	-	0.000	0.000	Merged-chr6-88379095-25
NR8229--MA0591.1.Bach1::Mafk	chr3	37174728	37174742	+	0.000	0.000	Merged-chr3-37174845-28
NR3793--MA0591.1.Bach1::Mafk	chr13	119472036	119472050	-	0.000	0.000	Merged-chr13-119472102-16
NR2490--MA0501.1.MAF::NFE2	chr12	3823693	3823707	-	0.000	0.000	Merged-chr12-3823687-29
NR6731--MA0089.1.MAFG::NFE2L1	chr18	90098930	90098935	+	0.000	0.000	Merged-chr18-90098932-1
NR1382--MA0089.1.MAFG::NFE2L1	chr10	37721369	37721374	+	0.000	0.000	Merged-chr10-37721362-7
NR8738--MA0495.2.MAFF	chr3	121593326	121593346	-	0.000	0.000	Merged-chr3-121593516-30
NR248--MA0089.1.MAFG::NFE2L1	chr1	54914583	54914588	-	0.000	0.000	Merged-chr1-54914560-13
NR6124--MA0495.2.MAFF	chr17	86063692	86063712	+	0.000	0.000	Merged-chr17-86063661-27
NR1730--MA0591.1.Bach1::Mafk	chr10	88405930	88405944	-	0.000	0.000	Merged-chr10-88405928-47
NR2342--MA0495.2.MAFF	chr11	87074101	87074121	+	0.000	0.000	Merged-chr11-87073947-35
NR2308--MA0117.2.Mafb	chr11	73137763	73137774	-	0.000	0.000	Merged-chr11-73137945-101
NR12211--MA0495.2.MAFF	chr7	112369096	112369116	-	0.000	0.000	Merged-chr7-112369142-36
NR7082--MA0089.1.MAFG::NFE2L1	chr2	34790510	34790515	+	0.000	0.000	Merged-chr2-34790571-52
NR2410--MA0089.1.MAFG::NFE2L1	chr11	106613082	106613087	+	0.000	0.000	Merged-chr11-106612974-112
NR6898--MA0591.1.Bach1::Mafk	chr2	5063780	5063794	-	0.000	0.000	Merged-chr2-5063869-93
NR13031--MA0089.1.MAFG::NFE2L1	chr9	13536892	13536897	+	0.000	0.000	Merged-chr9-13536890-20
NR13513--MA0117.2.Mafb	chrX	9254245	9254256	-	0.000	0.000	Merged-chrX-9254140-30
NR6633--MA0501.1.MAF::NFE2	chr18	78579514	78579528	-	0.000	0.000	Merged-chr18-78579539-1
NR12515--MA0496.2.MAFK	chr8	40962897	40962915	-	0.000	0.000	Merged-chr8-40963134-88
NR1001--MA0496.2.MAFK	chr1	180268832	180268850	-	0.000	0.000	Merged-chr1-180268774-35
NR5620--MA0591.1.Bach1::Mafk	chr16	92696776	92696790	+	0.000	0.000	Merged-chr16-92696848-16
NR9543--MA0089.1.MAFG::NFE2L1	chr4	89351297	89351302	+	0.000	0.000	Merged-chr4-89351221-94
NR12213--MA0659.1.MAFG	chr7	112369096	112369116	+	0.000	0.000	Merged-chr7-112369142-36
NR2465--MA0659.1.MAFG	chr11	117878437	117878457	+	0.000	0.000	Merged-chr11-117878483-30
NR3641--MA0089.1.MAFG::NFE2L1	chr13	101664126	101664131	-	0.000	0.000	Merged-chr13-101664276-40
NR10036--MA0495.2.MAFF	chr5	21658704	21658724	+	0.000	0.000	Merged-chr5-21658802-28
NR7460--MA0501.1.MAF::NFE2	chr2	101871230	101871244	+	0.000	0.000	Merged-chr2-101871394-25
NR12814--MA0591.1.Bach1::Mafk	chr8	91545805	91545819	-	0.000	0.000	Merged-chr8-91545805-43
NR12115--MA0089.1.MAFG::NFE2L1	chr7	99027423	99027428	+	0.000	0.000	Merged-chr7-99027397-37
NR2815--MA0591.1.Bach1::Mafk	chr12	69893059	69893073	-	0.000	0.000	Merged-chr12-69892936-80
NR6366--MA0495.2.MAFF	chr18	39068273	39068293	-	0.000	0.000	Merged-chr18-39068377-42
NR1592--MA0496.2.MAFK	chr10	67512299	67512317	-	0.000	0.000	Merged-chr10-67512381-13
NR7062--MA0591.1.Bach1::Mafk	chr2	26753715	26753729	-	0.000	0.000	Merged-chr2-26753671-30
NR12896--MA0089.1.MAFG::NFE2L1	chr8	111527342	111527347	-	0.000	0.000	Merged-chr8-111527388-53
NR6126--MA0117.2.Mafb	chr17	86063701	86063712	-	0.000	0.000	Merged-chr17-86063661-27
NR5054--MA0117.2.Mafb	chr15	99009003	99009014	+	0.000	0.000	Merged-chr15-99008995-43
NR5928--MA0089.1.MAFG::NFE2L1	chr17	51408573	51408578	+	0.000	0.000	Merged-chr17-51408616-68
NR1809--MA0089.1.MAFG::NFE2L1	chr10	96725018	96725023	+	0.000	0.000	Merged-chr10-96724956-66
NR9917--MA0591.1.Bach1::Mafk	chr5	8798566	8798580	+	0.000	0.000	Merged-chr5-8798453-77
NR11072--MA0089.1.MAFG::NFE2L1	chr6	66155080	66155085	-	0.000	0.000	Merged-chr6-66154948-26
NR12679--MA0659.1.MAFG	chr8	75084001	75084021	-	0.000	0.000	Merged-chr8-75083999-30
NR5033--MA0089.1.MAFG::NFE2L1	chr15	94276645	94276650	-	0.000	0.000	Merged-chr15-94276800-21
NR1595--MA0089.1.MAFG::NFE2L1	chr10	67658044	67658049	+	0.000	0.000	Merged-chr10-67657975-87
NR834--MA0591.1.Bach1::Mafk	chr1	152010403	152010417	+	0.000	0.000	Merged-chr1-152010502-52
NR12236--MA0591.1.Bach1::Mafk	chr7	118922766	118922780	-	0.000	0.000	Merged-chr7-118922669-15
NR2436--MA0496.2.MAFK	chr11	115463666	115463684	+	0.000	0.000	Merged-chr11-115463666-29
NR8814--MA0089.1.MAFG::NFE2L1	chr3	133563707	133563712	-	0.000	0.000	Merged-chr3-133563771-42
NR11253--MA0117.2.Mafb	chr6	98105382	98105393	-	0.000	0.000	Merged-chr6-98105536-59
NR1691--MA0591.1.Bach1::Mafk	chr10	82887501	82887515	-	0.000	0.000	Merged-chr10-82887554-36
NR2045--MA0089.1.MAFG::NFE2L1	chr10	130311663	130311668	+	0.000	0.000	Merged-chr10-130311798-35
NR8049--MA0501.1.MAF::NFE2	chr3	9833530	9833544	-	0.000	0.000	Merged-chr3-9833444-80
NR10638--MA0501.1.MAF::NFE2	chr5	147063447	147063461	-	0.000	0.000	Merged-chr5-147063758-85
NR1800--MA0501.1.MAF::NFE2	chr10	95971023	95971037	-	0.000	0.000	Merged-chr10-95971075-85
NR6379--MA0089.1.MAFG::NFE2L1	chr18	39801296	39801301	+	0.000	0.000	Merged-chr18-39801283-11
NR4596--MA0089.1.MAFG::NFE2L1	chr15	8577694	8577699	+	0.000	0.000	Merged-chr15-8577774-16
NR4862--MA0496.2.MAFK	chr15	64041701	64041719	+	0.000	0.000	Merged-chr15-64041818-65
NR5913--MA0089.1.MAFG::NFE2L1	chr17	45632145	45632150	+	0.000	0.000	Merged-chr17-45632137-18
NR5046--MA0089.1.MAFG::NFE2L1	chr15	96709636	96709641	-	0.000	0.000	Merged-chr15-96709487-2
NR4666--MA0591.1.Bach1::Mafk	chr15	27518266	27518280	-	0.000	0.000	Merged-chr15-27518308-43
NR5614--MA0117.2.Mafb	chr16	91793525	91793536	+	0.000	0.000	Merged-chr16-91793603-12
NR12681--MA0496.2.MAFK	chr8	75084002	75084020	+	0.000	0.000	Merged-chr8-75083999-30
NR6133--MA0496.2.MAFK	chr17	86185078	86185096	+	0.000	0.000	Merged-chr17-86185009-23
NR12126--MA0089.1.MAFG::NFE2L1	chr7	101896630	101896635	-	0.000	0.000	Merged-chr7-101896554-69
NR4217--MA0089.1.MAFG::NFE2L1	chr14	55745690	55745695	+	0.000	0.000	Merged-chr14-55745715-52
NR10540--MA0591.1.Bach1::Mafk	chr5	125158609	125158623	-	0.000	0.000	Merged-chr5-125158641-59
NR13281--MA0591.1.Bach1::Mafk	chr9	83548440	83548454	+	0.000	0.000	Merged-chr9-83548335-44
NR9341--MA0591.1.Bach1::Mafk	chr4	58236005	58236019	+	0.000	0.000	Merged-chr4-58236026-17
NR3074--MA0089.1.MAFG::NFE2L1	chr13	5806245	5806250	-	0.000	0.000	Merged-chr13-5806398-17
NR2736--MA0089.1.MAFG::NFE2L1	chr12	52796533	52796538	-	0.000	0.000	Merged-chr12-52796443-43
NR11198--MA0089.1.MAFG::NFE2L1	chr6	90370355	90370360	+	0.000	0.000	Merged-chr6-90370434-4
NR3665--MA0089.1.MAFG::NFE2L1	chr13	102895939	102895944	+	0.000	0.000	Merged-chr13-102896052-33
NR2245--MA0089.1.MAFG::NFE2L1	chr11	52320617	52320622	-	0.000	0.000	Merged-chr11-52320694-9
NR11950--MA0089.1.MAFG::NFE2L1	chr7	72306444	72306449	+	0.000	0.000	Merged-chr7-72306656-56
NR2411--MA0591.1.Bach1::Mafk	chr11	107479721	107479735	-	0.000	0.000	Merged-chr11-107479567-52
NR1799--MA0591.1.Bach1::Mafk	chr10	95971026	95971040	-	0.000	0.000	Merged-chr10-95971075-85
NR7241--MA0496.2.MAFK	chr2	57698741	57698759	+	0.000	0.000	Merged-chr2-57698890-7
NR11164--MA0117.2.Mafb	chr6	82775641	82775652	-	0.000	0.000	Merged-chr6-82775550-35
NR11229--MA0496.2.MAFK	chr6	94623148	94623166	+	0.000	0.000	Merged-chr6-94623201-16
NR8132--MA0659.1.MAFG	chr3	21917647	21917667	+	0.000	0.000	Merged-chr3-21917648-70
NR11132--MA0501.1.MAF::NFE2	chr6	71125156	71125170	+	0.000	0.000	Merged-chr6-71125305-30
NR935--MA0089.1.MAFG::NFE2L1	chr1	170218615	170218620	+	0.000	0.000	Merged-chr1-170218734-21
NR3021--MA0495.2.MAFF	chr12	114991122	114991142	+	0.000	0.000	Merged-chr12-114991248-55
NR8232--MA0501.1.MAF::NFE2	chr3	37978667	37978681	-	0.000	0.000	Merged-chr3-37978790-50
NR10968--MA0495.2.MAFF	chr6	49128468	49128488	-	0.000	0.000	Merged-chr6-49128471-29
NR6262--MA0089.1.MAFG::NFE2L1	chr18	15552676	15552681	+	0.000	0.000	Merged-chr18-15552635-38
NR1780--MA0089.1.MAFG::NFE2L1	chr10	93442398	93442403	+	0.000	0.000	Merged-chr10-93442339-20
NR5710--MA0591.1.Bach1::Mafk	chr17	12301064	12301078	-	0.000	0.000	Merged-chr17-12301160-36
NR4691--MA0591.1.Bach1::Mafk	chr15	30662285	30662299	+	0.000	0.000	Merged-chr15-30662184-17
NR833--MA0117.2.Mafb	chr1	151766370	151766381	+	0.000	0.000	Merged-chr1-151766309-19
NR11021--MA0501.1.MAF::NFE2	chr6	57814070	57814084	+	0.000	0.000	Merged-chr6-57814077-20
NR12239--MA0591.1.Bach1::Mafk	chr7	119861791	119861805	+	0.000	0.000	Merged-chr7-119861539-102
NR6559--MA0591.1.Bach1::Mafk	chr18	66041378	66041392	+	0.000	0.000	Merged-chr18-66041389-38
