#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gata/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1.dn.bed
NR7620--MA1104.1.GATA6	chr9	54614612	54614624	+	0.000	0.000	Merged-chr9-54614475-15
NR1014--MA0140.2.GATA1::TAL1	chr10	128696396	128696413	+	0.000	0.000	Merged-chr10-128696320-57
NR1734--MA0766.1.GATA5	chr12	102350999	102351006	-	0.000	0.000	Merged-chr12-102350976-38
NR6538--MA0482.1.Gata4	chr6	128764089	128764099	+	0.000	0.000	Merged-chr6-128764213-62
NR430--MA0766.1.GATA5	chr1	151457358	151457365	+	0.000	0.000	Merged-chr1-151457268-30
NR6794--MA0037.3.GATA3	chr7	30280502	30280509	+	0.000	0.000	Merged-chr7-30280528-94
NR5142--MA0482.1.Gata4	chr3	136611951	136611961	-	0.000	0.000	Merged-chr3-136611929-48
NR7483--MA0766.1.GATA5	chr9	13466584	13466591	+	0.000	0.000	Merged-chr9-13466686-68
NR1187--MA0035.3.Gata1	chr11	58171749	58171759	-	0.000	0.000	Merged-chr11-58171716-43
NR1638--MA0766.1.GATA5	chr12	84773167	84773174	-	0.000	0.000	Merged-chr12-84773092-54
NR2119--MA1104.1.GATA6	chr13	101702249	101702261	+	0.000	0.000	Merged-chr13-101702260-81
NR3090--MA0766.1.GATA5	chr16	45942381	45942388	+	0.000	0.000	Merged-chr16-45942365-39
NR7977--MA0482.1.Gata4	chrX	134601054	134601064	+	0.000	0.000	Merged-chrX-134601254-82
NR7376--MA0140.2.GATA1::TAL1	chr8	111595994	111596011	+	0.000	0.000	Merged-chr8-111595874-65
NR433--MA0036.3.GATA2	chr1	153141157	153141167	+	0.000	0.000	Merged-chr1-153140977-54
NR6141--MA0037.3.GATA3	chr5	146882396	146882403	-	0.000	0.000	Merged-chr5-146882424-24
NR2850--MA0035.3.Gata1	chr15	78835267	78835277	-	0.000	0.000	Merged-chr15-78835387-37
NR3951--MA0482.1.Gata4	chr19	29367423	29367433	-	0.000	0.000	Merged-chr19-29367376-49
NR5334--MA1104.1.GATA6	chr4	33110180	33110192	-	0.000	0.000	Merged-chr4-33110299-20
NR6568--MA1104.1.GATA6	chr6	130102976	130102988	-	0.000	0.000	Merged-chr6-130103023-31
NR914--MA0035.3.Gata1	chr10	96015953	96015963	-	0.000	0.000	Merged-chr10-96015913-48
NR5810--MA0037.3.GATA3	chr5	30887493	30887500	+	0.000	0.000	Merged-chr5-30887642-12
NR6593--MA0140.2.GATA1::TAL1	chr6	131405138	131405155	-	0.000	0.000	Merged-chr6-131405258-29
NR1708--MA0035.3.Gata1	chr12	92976671	92976681	+	0.000	0.000	Merged-chr12-92976529-13
NR55--MA0035.3.Gata1	chr1	38662664	38662674	+	0.000	0.000	Merged-chr1-38662810-22
NR3919--MA0036.3.GATA2	chr19	12805882	12805892	-	0.000	0.000	Merged-chr19-12806193-62
NR5785--MA0036.3.GATA2	chr5	24505728	24505738	+	0.000	0.000	Merged-chr5-24505685-17
NR696--MA0037.3.GATA3	chr10	21975620	21975627	-	0.000	0.000	Merged-chr10-21975536-24
NR1359--MA0766.1.GATA5	chr11	101627409	101627416	-	0.000	0.000	Merged-chr11-101627512-104
NR993--MA0482.1.Gata4	chr10	117918706	117918716	-	0.000	0.000	Merged-chr10-117918701-83
NR3471--MA1104.1.GATA6	chr17	44893784	44893796	+	0.000	0.000	Merged-chr17-44893726-24
NR1197--MA0766.1.GATA5	chr11	58948841	58948848	+	0.000	0.000	Merged-chr11-58948790-70
NR6037--MA1104.1.GATA6	chr5	107265162	107265174	-	0.000	0.000	Merged-chr5-107265096-67
NR2839--MA0037.3.GATA3	chr15	78495178	78495185	+	0.000	0.000	Merged-chr15-78495177-43
NR1939--MA0035.3.Gata1	chr13	45850806	45850816	+	0.000	0.000	Merged-chr13-45850664-56
NR7555--MA0482.1.Gata4	chr9	41118249	41118259	-	0.000	0.000	Merged-chr9-41118206-38
NR7436--MA0035.3.Gata1	chr8	124520719	124520729	+	0.000	0.000	Merged-chr8-124520851-52
NR840--MA0035.3.Gata1	chr10	77530588	77530598	+	0.000	0.000	Merged-chr10-77530396-56
NR5179--MA0036.3.GATA2	chr3	142281017	142281027	+	0.000	0.000	Merged-chr3-142281213-32
NR6513--MA0037.3.GATA3	chr6	125231717	125231724	-	0.000	0.000	Merged-chr6-125231768-97
NR7909--MA1104.1.GATA6	chr9	120493243	120493255	-	0.000	0.000	Merged-chr9-120493281-1
NR3433--MA0482.1.Gata4	chr17	32350601	32350611	+	0.000	0.000	Merged-chr17-32350599-47
NR1819--MA0482.1.Gata4	chr12	116177228	116177238	+	0.000	0.000	Merged-chr12-116177118-24
NR7402--MA0035.3.Gata1	chr8	120563936	120563946	-	0.000	0.000	Merged-chr8-120564046-29
NR5180--MA0035.3.Gata1	chr3	142281017	142281027	+	0.000	0.000	Merged-chr3-142281213-32
NR2493--MA0766.1.GATA5	chr14	66241477	66241484	-	0.000	0.000	Merged-chr14-66241484-22
NR7106--MA0766.1.GATA5	chr7	143649723	143649730	-	0.000	0.000	Merged-chr7-143649559-54
NR3542--MA0482.1.Gata4	chr17	71491184	71491194	+	0.000	0.000	Merged-chr17-71491103-50
NR3102--MA1104.1.GATA6	chr16	49774801	49774813	-	0.000	0.000	Merged-chr16-49774880-113
NR2024--MA0037.3.GATA3	chr13	66991739	66991746	+	0.000	0.000	Merged-chr13-66991703-16
NR3369--MA0036.3.GATA2	chr17	12165547	12165557	+	0.000	0.000	Merged-chr17-12165459-54
NR3226--MA0036.3.GATA2	chr16	75984112	75984122	+	0.000	0.000	Merged-chr16-75984013-36
NR6539--MA1104.1.GATA6	chr6	128839184	128839196	+	0.000	0.000	Merged-chr6-128839257-138
NR1899--MA0035.3.Gata1	chr13	29979221	29979231	-	0.000	0.000	Merged-chr13-29979339-43
NR242--MA0036.3.GATA2	chr1	94048305	94048315	+	0.000	0.000	Merged-chr1-94048267-32
NR1875--MA0482.1.Gata4	chr13	10019409	10019419	-	0.000	0.000	Merged-chr13-10019536-22
NR3064--MA0036.3.GATA2	chr16	44965407	44965417	-	0.000	0.000	Merged-chr16-44965339-61
NR3019--MA0037.3.GATA3	chr16	27395273	27395280	-	0.000	0.000	Merged-chr16-27395267-15
NR1779--MA0482.1.Gata4	chr12	112743309	112743319	+	0.000	0.000	Merged-chr12-112743369-41
NR7199--MA0036.3.GATA2	chr8	33898108	33898118	-	0.000	0.000	Merged-chr8-33898095-27
NR2733--MA0036.3.GATA2	chr15	34412344	34412354	-	0.000	0.000	Merged-chr15-34412458-31
NR7481--MA0482.1.Gata4	chr9	13466581	13466591	-	0.000	0.000	Merged-chr9-13466686-68
NR680--MA0482.1.Gata4	chr10	17550174	17550184	-	0.000	0.000	Merged-chr10-17550297-37
NR2842--MA0036.3.GATA2	chr15	78495176	78495186	-	0.000	0.000	Merged-chr15-78495177-43
NR1002--MA0036.3.GATA2	chr10	120183061	120183071	+	0.000	0.000	Merged-chr10-120183053-23
NR2159--MA1104.1.GATA6	chr13	107571659	107571671	-	0.000	0.000	Merged-chr13-107571801-8
NR1878--MA0035.3.Gata1	chr13	10019410	10019420	-	0.000	0.000	Merged-chr13-10019536-22
NR92--MA0482.1.Gata4	chr1	61203277	61203287	-	0.000	0.000	Merged-chr1-61203375-24
NR6935--MA0035.3.Gata1	chr7	90007379	90007389	-	0.000	0.000	Merged-chr7-90007418-46
NR74--MA0140.2.GATA1::TAL1	chr1	43538870	43538887	+	0.000	0.000	Merged-chr1-43538951-30
NR3442--MA1104.1.GATA6	chr17	35741880	35741892	+	0.000	0.000	Merged-chr17-35741988-36
NR7211--MA0140.2.GATA1::TAL1	chr8	36159091	36159108	+	0.000	0.000	Merged-chr8-36159106-37
NR744--MA0036.3.GATA2	chr10	39488318	39488328	-	0.000	0.000	Merged-chr10-39488240-32
NR3965--MA1104.1.GATA6	chr19	31210682	31210694	-	0.000	0.000	Merged-chr19-31210653-54
NR4965--MA0140.2.GATA1::TAL1	chr3	89231608	89231625	+	0.000	0.000	Merged-chr3-89231593-29
NR5897--MA1104.1.GATA6	chr5	65832146	65832158	-	0.000	0.000	Merged-chr5-65832305-23
NR3372--MA0482.1.Gata4	chr17	12205680	12205690	+	0.000	0.000	Merged-chr17-12205812-57
NR1639--MA0035.3.Gata1	chr12	84773166	84773176	+	0.000	0.000	Merged-chr12-84773092-54
NR4654--MA0766.1.GATA5	chr2	153350783	153350790	+	0.000	0.000	Merged-chr2-153350886-63
NR3091--MA0035.3.Gata1	chr16	45942379	45942389	-	0.000	0.000	Merged-chr16-45942365-39
NR6194--MA0037.3.GATA3	chr6	15793429	15793436	+	0.000	0.000	Merged-chr6-15793359-107
NR2002--MA0140.2.GATA1::TAL1	chr13	63112806	63112823	-	0.000	0.000	Merged-chr13-63112828-16
NR4019--MA0482.1.Gata4	chr2	3764478	3764488	+	0.000	0.000	Merged-chr2-3764311-29
NR4796--MA0140.2.GATA1::TAL1	chr3	9924646	9924663	-	0.000	0.000	Merged-chr3-9924809-24
NR7556--MA1104.1.GATA6	chr9	41118249	41118261	+	0.000	0.000	Merged-chr9-41118206-38
NR7529--MA0035.3.Gata1	chr9	32710126	32710136	+	0.000	0.000	Merged-chr9-32710187-80
NR7167--MA0766.1.GATA5	chr8	22783515	22783522	+	0.000	0.000	Merged-chr8-22783714-26
NR6579--MA0140.2.GATA1::TAL1	chr6	130312046	130312063	+	0.000	0.000	Merged-chr6-130312055-26
NR5078--MA0482.1.Gata4	chr3	126693183	126693193	+	0.000	0.000	Merged-chr3-126693084-1
NR6969--MA0036.3.GATA2	chr7	101504103	101504113	+	0.000	0.000	Merged-chr7-101503907-73
NR1204--MA0035.3.Gata1	chr11	62076948	62076958	-	0.000	0.000	Merged-chr11-62077068-25
NR213--MA0036.3.GATA2	chr1	90677874	90677884	+	0.000	0.000	Merged-chr1-90677857-31
NR3434--MA1104.1.GATA6	chr17	32350599	32350611	-	0.000	0.000	Merged-chr17-32350599-47
NR1846--MA0482.1.Gata4	chr12	118255859	118255869	-	0.000	0.000	Merged-chr12-118255780-45
NR7276--MA0766.1.GATA5	chr8	75082611	75082618	+	0.000	0.000	Merged-chr8-75082480-28
NR6242--MA0035.3.Gata1	chr6	42245803	42245813	+	0.000	0.000	Merged-chr6-42245976-48
NR475--MA0766.1.GATA5	chr1	161794946	161794953	-	0.000	0.000	Merged-chr1-161794797-65
NR4710--MA0140.2.GATA1::TAL1	chr2	166754395	166754412	+	0.000	0.000	Merged-chr2-166754668-37
NR5637--MA1104.1.GATA6	chr4	145312625	145312637	+	0.000	0.000	Merged-chr4-145312696-44
NR3454--MA0140.2.GATA1::TAL1	chr17	36844344	36844361	-	0.000	0.000	Merged-chr17-36844405-20
NR3297--MA0766.1.GATA5	chr16	93918466	93918473	-	0.000	0.000	Merged-chr16-93918388-61
NR3910--MA0037.3.GATA3	chr19	11540581	11540588	-	0.000	0.000	Merged-chr19-11540460-39
NR3543--MA1104.1.GATA6	chr17	71491182	71491194	-	0.000	0.000	Merged-chr17-71491103-50
NR1259--MA0036.3.GATA2	chr11	75169168	75169178	+	0.000	0.000	Merged-chr11-75169080-24
NR3970--MA0140.2.GATA1::TAL1	chr19	32172571	32172588	+	0.000	0.000	Merged-chr19-32172725-56
NR5357--MA0766.1.GATA5	chr4	47319835	47319842	+	0.000	0.000	Merged-chr4-47319930-54
NR1116--MA0036.3.GATA2	chr11	23754516	23754526	-	0.000	0.000	Merged-chr11-23754497-34
NR1198--MA0035.3.Gata1	chr11	58948839	58948849	-	0.000	0.000	Merged-chr11-58948790-70
NR6640--MA0766.1.GATA5	chr6	140598741	140598748	-	0.000	0.000	Merged-chr6-140598794-45
NR3006--MA0035.3.Gata1	chr16	19985111	19985121	+	0.000	0.000	Merged-chr16-19985121-18
NR7417--MA0766.1.GATA5	chr8	122533230	122533237	+	0.000	0.000	Merged-chr8-122533289-14
NR1876--MA1104.1.GATA6	chr13	10019409	10019421	+	0.000	0.000	Merged-chr13-10019536-22
NR7301--MA0140.2.GATA1::TAL1	chr8	85025511	85025528	-	0.000	0.000	Merged-chr8-85025499-64
NR5108--MA0036.3.GATA2	chr3	130810235	130810245	-	0.000	0.000	Merged-chr3-130810133-82
NR6566--MA0037.3.GATA3	chr6	130102978	130102985	-	0.000	0.000	Merged-chr6-130103023-31
NR6786--MA0036.3.GATA2	chr7	27933592	27933602	-	0.000	0.000	Merged-chr7-27933719-74
NR2927--MA0035.3.Gata1	chr15	103258539	103258549	+	0.000	0.000	Merged-chr15-103258343-65
NR7574--MA0482.1.Gata4	chr9	45945095	45945105	-	0.000	0.000	Merged-chr9-45945206-63
NR7482--MA1104.1.GATA6	chr9	13466581	13466593	+	0.000	0.000	Merged-chr9-13466686-68
NR2540--MA1104.1.GATA6	chr14	78687946	78687958	-	0.000	0.000	Merged-chr14-78687892-42
NR967--MA0036.3.GATA2	chr10	111583205	111583215	-	0.000	0.000	Merged-chr10-111583294-13
NR3343--MA0482.1.Gata4	chr17	7927890	7927900	+	0.000	0.000	Merged-chr17-7928003-98
NR681--MA1104.1.GATA6	chr10	17550174	17550186	+	0.000	0.000	Merged-chr10-17550297-37
NR7107--MA0035.3.Gata1	chr7	143649722	143649732	+	0.000	0.000	Merged-chr7-143649559-54
NR1238--MA0036.3.GATA2	chr11	69991097	69991107	+	0.000	0.000	Merged-chr11-69991335-71
NR1509--MA0036.3.GATA2	chr12	40427689	40427699	-	0.000	0.000	Merged-chr12-40427719-34
NR1044--MA0482.1.Gata4	chr11	6528673	6528683	-	0.000	0.000	Merged-chr11-6528717-51
NR4995--MA1104.1.GATA6	chr3	102804001	102804013	-	0.000	0.000	Merged-chr3-102804136-20
NR7088--MA0035.3.Gata1	chr7	139861702	139861712	-	0.000	0.000	Merged-chr7-139861613-5
NR3181--MA0482.1.Gata4	chr16	58670210	58670220	+	0.000	0.000	Merged-chr16-58670422-58
NR5384--MA0482.1.Gata4	chr4	59204659	59204669	+	0.000	0.000	Merged-chr4-59204829-36
NR1219--MA0482.1.Gata4	chr11	65806924	65806934	-	0.000	0.000	Merged-chr11-65807044-98
NR93--MA1104.1.GATA6	chr1	61203277	61203289	+	0.000	0.000	Merged-chr1-61203375-24
NR4950--MA0140.2.GATA1::TAL1	chr3	84040295	84040312	-	0.000	0.000	Merged-chr3-84040133-152
NR6370--MA1104.1.GATA6	chr6	91125077	91125089	+	0.000	0.000	Merged-chr6-91125010-35
NR4782--MA0482.1.Gata4	chr2	181497622	181497632	+	0.000	0.000	Merged-chr2-181497766-4
NR2435--MA0766.1.GATA5	chr14	54227579	54227586	+	0.000	0.000	Merged-chr14-54227788-83
NR1998--MA0037.3.GATA3	chr13	62880365	62880372	+	0.000	0.000	Merged-chr13-62880327-44
NR7619--MA0482.1.Gata4	chr9	54614612	54614622	-	0.000	0.000	Merged-chr9-54614475-15
NR7527--MA1104.1.GATA6	chr9	32710125	32710137	-	0.000	0.000	Merged-chr9-32710187-80
NR476--MA0140.2.GATA1::TAL1	chr1	161794947	161794964	+	0.000	0.000	Merged-chr1-161794797-65
NR1166--MA0482.1.Gata4	chr11	51760530	51760540	-	0.000	0.000	Merged-chr11-51760433-27
NR2120--MA0036.3.GATA2	chr13	101702250	101702260	-	0.000	0.000	Merged-chr13-101702260-81
NR6035--MA0037.3.GATA3	chr5	107265164	107265171	-	0.000	0.000	Merged-chr5-107265096-67
NR2924--MA0766.1.GATA5	chr15	101388145	101388152	-	0.000	0.000	Merged-chr15-101388154-52
NR6558--MA0037.3.GATA3	chr6	130078306	130078313	-	0.000	0.000	Merged-chr6-130078295-22
NR6255--MA0036.3.GATA2	chr6	50387874	50387884	-	0.000	0.000	Merged-chr6-50387910-30
NR4846--MA0036.3.GATA2	chr3	51744641	51744651	+	0.000	0.000	Merged-chr3-51744632-10
NR4652--MA0482.1.Gata4	chr2	153350780	153350790	-	0.000	0.000	Merged-chr2-153350886-63
NR7907--MA0037.3.GATA3	chr9	120493245	120493252	-	0.000	0.000	Merged-chr9-120493281-1
NR72--MA1104.1.GATA6	chr1	43538867	43538879	-	0.000	0.000	Merged-chr1-43538951-30
NR5542--MA0037.3.GATA3	chr4	109136724	109136731	-	0.000	0.000	Merged-chr4-109136872-28
NR6502--MA0766.1.GATA5	chr6	122742624	122742631	-	0.000	0.000	Merged-chr6-122742614-91
NR5124--MA0482.1.Gata4	chr3	133332579	133332589	+	0.000	0.000	Merged-chr3-133332565-72
NR4793--MA0036.3.GATA2	chr3	9867515	9867525	-	0.000	0.000	Merged-chr3-9867662-24
NR7056--MA0482.1.Gata4	chr7	127293656	127293666	+	0.000	0.000	Merged-chr7-127293782-25
NR3100--MA0037.3.GATA3	chr16	49774803	49774810	-	0.000	0.000	Merged-chr16-49774880-113
NR5079--MA1104.1.GATA6	chr3	126693181	126693193	-	0.000	0.000	Merged-chr3-126693084-1
NR1416--MA0482.1.Gata4	chr11	114883353	114883363	-	0.000	0.000	Merged-chr11-114883420-19
NR7048--MA0140.2.GATA1::TAL1	chr7	126330100	126330117	-	0.000	0.000	Merged-chr7-126330286-32
NR7579--MA0482.1.Gata4	chr9	46149548	46149558	-	0.000	0.000	Merged-chr9-46149631-49
NR4697--MA0036.3.GATA2	chr2	162998788	162998798	-	0.000	0.000	Merged-chr2-162998735-32
NR2449--MA0037.3.GATA3	chr14	57713188	57713195	+	0.000	0.000	Merged-chr14-57713043-44
NR6540--MA0035.3.Gata1	chr6	128839185	128839195	-	0.000	0.000	Merged-chr6-128839257-138
NR4655--MA0035.3.Gata1	chr2	153350781	153350791	-	0.000	0.000	Merged-chr2-153350886-63
NR1850--MA0035.3.Gata1	chr12	118255860	118255870	-	0.000	0.000	Merged-chr12-118255780-45
NR7569--MA0035.3.Gata1	chr9	44772869	44772879	-	0.000	0.000	Merged-chr9-44772887-60
NR6101--MA0766.1.GATA5	chr5	138280045	138280052	+	0.000	0.000	Merged-chr5-138280109-50
NR2470--MA0766.1.GATA5	chr14	60131692	60131699	-	0.000	0.000	Merged-chr14-60131750-51
NR677--MA0766.1.GATA5	chr10	14326191	14326198	+	0.000	0.000	Merged-chr10-14326395-38
NR253--MA0036.3.GATA2	chr1	95747471	95747481	-	0.000	0.000	Merged-chr1-95747553-17
NR3295--MA0482.1.Gata4	chr16	93918466	93918476	+	0.000	0.000	Merged-chr16-93918388-61
NR3891--MA0035.3.Gata1	chr19	3533539	3533549	-	0.000	0.000	Merged-chr19-3533432-13
NR7059--MA0035.3.Gata1	chr7	127293655	127293665	+	0.000	0.000	Merged-chr7-127293782-25
NR7976--MA0037.3.GATA3	chrX	134601054	134601061	-	0.000	0.000	Merged-chrX-134601254-82
NR6561--MA0036.3.GATA2	chr6	130078305	130078315	+	0.000	0.000	Merged-chr6-130078295-22
NR7910--MA0036.3.GATA2	chr9	120493244	120493254	+	0.000	0.000	Merged-chr9-120493281-1
NR7667--MA0482.1.Gata4	chr9	72465981	72465991	-	0.000	0.000	Merged-chr9-72465991-47
NR2091--MA1104.1.GATA6	chr13	95697070	95697082	-	0.000	0.000	Merged-chr13-95697036-46
NR2454--MA0482.1.Gata4	chr14	59397232	59397242	-	0.000	0.000	Merged-chr14-59397210-50
NR7575--MA1104.1.GATA6	chr9	45945095	45945107	+	0.000	0.000	Merged-chr9-45945206-63
NR3344--MA1104.1.GATA6	chr17	7927888	7927900	-	0.000	0.000	Merged-chr17-7928003-98
NR1188--MA1104.1.GATA6	chr11	58189859	58189871	+	0.000	0.000	Merged-chr11-58189839-18
NR4657--MA0482.1.Gata4	chr2	153525960	153525970	+	0.000	0.000	Merged-chr2-153526092-26
NR3298--MA0035.3.Gata1	chr16	93918465	93918475	+	0.000	0.000	Merged-chr16-93918388-61
NR1045--MA1104.1.GATA6	chr11	6528673	6528685	+	0.000	0.000	Merged-chr11-6528717-51
NR2409--MA0036.3.GATA2	chr14	51089607	51089617	-	0.000	0.000	Merged-chr14-51089414-103
NR3954--MA0766.1.GATA5	chr19	29367426	29367433	+	0.000	0.000	Merged-chr19-29367376-49
NR659--MA0036.3.GATA2	chr10	12993574	12993584	+	0.000	0.000	Merged-chr10-12993694-35
NR2410--MA0035.3.Gata1	chr14	51089607	51089617	-	0.000	0.000	Merged-chr14-51089414-103
NR2104--MA0036.3.GATA2	chr13	100201825	100201835	+	0.000	0.000	Merged-chr13-100202015-43
NR2847--MA0482.1.Gata4	chr15	78835266	78835276	-	0.000	0.000	Merged-chr15-78835387-37
NR6858--MA0036.3.GATA2	chr7	68225792	68225802	+	0.000	0.000	Merged-chr7-68225775-20
NR4036--MA0036.3.GATA2	chr2	11320205	11320215	-	0.000	0.000	Merged-chr2-11320345-22
NR1167--MA1104.1.GATA6	chr11	51760530	51760542	+	0.000	0.000	Merged-chr11-51760433-27
NR3920--MA0766.1.GATA5	chr19	12805884	12805891	+	0.000	0.000	Merged-chr19-12806193-62
NR7554--MA0037.3.GATA3	chr9	41118252	41118259	+	0.000	0.000	Merged-chr9-41118206-38
NR2465--MA0036.3.GATA2	chr14	60072722	60072732	+	0.000	0.000	Merged-chr14-60072713-24
NR6747--MA1104.1.GATA6	chr7	19332939	19332951	-	0.000	0.000	Merged-chr7-19332998-44
NR6087--MA0766.1.GATA5	chr5	124022517	124022524	-	0.000	0.000	Merged-chr5-124022476-27
NR6154--MA0482.1.Gata4	chr5	149246270	149246280	-	0.000	0.000	Merged-chr5-149246178-51
NR4474--MA0482.1.Gata4	chr2	121457053	121457063	+	0.000	0.000	Merged-chr2-121457132-54
NR6829--MA0035.3.Gata1	chr7	44496629	44496639	+	0.000	0.000	Merged-chr7-44496496-71
NR3432--MA0037.3.GATA3	chr17	32350601	32350608	-	0.000	0.000	Merged-chr17-32350599-47
NR7567--MA1104.1.GATA6	chr9	44772868	44772880	+	0.000	0.000	Merged-chr9-44772887-60
NR1818--MA0037.3.GATA3	chr12	116177228	116177235	-	0.000	0.000	Merged-chr12-116177118-24
NR2303--MA0482.1.Gata4	chr14	25857535	25857545	+	0.000	0.000	Merged-chr14-25857742-93
NR3541--MA0037.3.GATA3	chr17	71491184	71491191	-	0.000	0.000	Merged-chr17-71491103-50
NR2436--MA0035.3.Gata1	chr14	54227577	54227587	-	0.000	0.000	Merged-chr14-54227788-83
NR6280--MA1104.1.GATA6	chr6	58832865	58832877	-	0.000	0.000	Merged-chr6-58832889-39
NR7057--MA1104.1.GATA6	chr7	127293654	127293666	-	0.000	0.000	Merged-chr7-127293782-25
NR434--MA0035.3.Gata1	chr1	153141157	153141167	+	0.000	0.000	Merged-chr1-153140977-54
NR1417--MA1104.1.GATA6	chr11	114883353	114883365	+	0.000	0.000	Merged-chr11-114883420-19
NR1733--MA0036.3.GATA2	chr12	102350998	102351008	+	0.000	0.000	Merged-chr12-102350976-38
NR4124--MA0036.3.GATA2	chr2	32857712	32857722	+	0.000	0.000	Merged-chr2-32857854-19
NR1420--MA0035.3.Gata1	chr11	114883354	114883364	-	0.000	0.000	Merged-chr11-114883420-19
NR2045--MA0482.1.Gata4	chr13	73505699	73505709	+	0.000	0.000	Merged-chr13-73505560-1
NR6542--MA0766.1.GATA5	chr6	129284596	129284603	-	0.000	0.000	Merged-chr6-129284661-64
NR6931--MA0037.3.GATA3	chr7	90007381	90007388	+	0.000	0.000	Merged-chr7-90007418-46
NR7913--MA0140.2.GATA1::TAL1	chr9	121857607	121857624	+	0.000	0.000	Merged-chr9-121857638-93
NR7166--MA0037.3.GATA3	chr8	22783515	22783522	+	0.000	0.000	Merged-chr8-22783714-26
NR474--MA1104.1.GATA6	chr1	161794944	161794956	-	0.000	0.000	Merged-chr1-161794797-65
NR3370--MA0766.1.GATA5	chr17	12165548	12165555	-	0.000	0.000	Merged-chr17-12165459-54
NR7480--MA0037.3.GATA3	chr9	13466584	13466591	+	0.000	0.000	Merged-chr9-13466686-68
NR6503--MA0035.3.Gata1	chr6	122742623	122742633	+	0.000	0.000	Merged-chr6-122742614-91
NR1318--MA0140.2.GATA1::TAL1	chr11	96830003	96830020	-	0.000	0.000	Merged-chr11-96830081-68
NR5315--MA0140.2.GATA1::TAL1	chr4	11721581	11721598	-	0.000	0.000	Merged-chr4-11721470-80
NR5356--MA1104.1.GATA6	chr4	47319832	47319844	+	0.000	0.000	Merged-chr4-47319930-54
NR6797--MA0036.3.GATA2	chr7	30280500	30280510	-	0.000	0.000	Merged-chr7-30280528-94
NR1813--MA0035.3.Gata1	chr12	115158964	115158974	-	0.000	0.000	Merged-chr12-115158919-2
NR6664--MA0766.1.GATA5	chr6	142823508	142823515	+	0.000	0.000	Merged-chr6-142823375-40
NR4161--MA0482.1.Gata4	chr2	43739404	43739414	+	0.000	0.000	Merged-chr2-43739518-2
NR7732--MA0036.3.GATA2	chr9	87025899	87025909	+	0.000	0.000	Merged-chr9-87025935-38
NR2157--MA0035.3.Gata1	chr13	106836444	106836454	+	0.000	0.000	Merged-chr13-106836459-51
NR1821--MA0036.3.GATA2	chr12	116177227	116177237	+	0.000	0.000	Merged-chr12-116177118-24
NR7671--MA0035.3.Gata1	chr9	72465982	72465992	-	0.000	0.000	Merged-chr9-72465991-47
NR915--MA0140.2.GATA1::TAL1	chr10	96015944	96015961	-	0.000	0.000	Merged-chr10-96015913-48
NR7036--MA0140.2.GATA1::TAL1	chr7	121641348	121641365	-	0.000	0.000	Merged-chr7-121641450-48
NR4607--MA0482.1.Gata4	chr2	144217578	144217588	-	0.000	0.000	Merged-chr2-144217495-19
NR2656--MA0482.1.Gata4	chr14	121423096	121423106	-	0.000	0.000	Merged-chr14-121422910-45
NR678--MA0035.3.Gata1	chr10	14326189	14326199	-	0.000	0.000	Merged-chr10-14326395-38
NR3963--MA0035.3.Gata1	chr19	29641361	29641371	+	0.000	0.000	Merged-chr19-29641308-66
NR5813--MA0036.3.GATA2	chr5	30887491	30887501	-	0.000	0.000	Merged-chr5-30887642-12
NR5500--MA0035.3.Gata1	chr4	95068327	95068337	-	0.000	0.000	Merged-chr4-95068269-28
NR4103--MA0140.2.GATA1::TAL1	chr2	25111314	25111331	+	0.000	0.000	Merged-chr2-25111409-51
NR7634--MA0037.3.GATA3	chr9	62421170	62421177	+	0.000	0.000	Merged-chr9-62421317-30
NR6372--MA0766.1.GATA5	chr6	91125080	91125087	+	0.000	0.000	Merged-chr6-91125010-35
NR2921--MA0140.2.GATA1::TAL1	chr15	100423036	100423053	-	0.000	0.000	Merged-chr15-100423026-56
NR2848--MA1104.1.GATA6	chr15	78835266	78835278	+	0.000	0.000	Merged-chr15-78835387-37
NR3904--MA0766.1.GATA5	chr19	5802464	5802471	-	0.000	0.000	Merged-chr19-5802452-32
NR6096--MA0035.3.Gata1	chr5	135545445	135545455	+	0.000	0.000	Merged-chr5-135545364-67
NR6367--MA0035.3.Gata1	chr6	88189800	88189810	-	0.000	0.000	Merged-chr6-88189765-31
NR7197--MA0482.1.Gata4	chr8	33898107	33898117	-	0.000	0.000	Merged-chr8-33898095-27
NR1781--MA0036.3.GATA2	chr12	112743308	112743318	+	0.000	0.000	Merged-chr12-112743369-41
NR432--MA1104.1.GATA6	chr1	153141156	153141168	-	0.000	0.000	Merged-chr1-153140977-54
NR5622--MA0035.3.Gata1	chr4	134047865	134047875	-	0.000	0.000	Merged-chr4-134047792-28
NR6155--MA1104.1.GATA6	chr5	149246270	149246282	+	0.000	0.000	Merged-chr5-149246178-51
NR4475--MA1104.1.GATA6	chr2	121457051	121457063	-	0.000	0.000	Merged-chr2-121457132-54
