#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.dn.bed
NR141--MA0495.2.MAFF	chr1	37308181	37308201	-	0.000	0.000	Merged-chr1-37308112-49
NR5511--MA0089.1.MAFG::NFE2L1	chr16	11646904	11646909	-	0.000	0.000	Merged-chr16-11646915-14
NR12000--MA0089.1.MAFG::NFE2L1	chr6	97387388	97387393	-	0.000	0.000	Merged-chr6-97387514-39
NR13354--MA0501.1.MAF::NFE2	chr7	143629598	143629612	+	0.000	0.000	Merged-chr7-143629700-38
NR5262--MA0501.1.MAF::NFE2	chr15	65795872	65795886	-	0.000	0.000	Merged-chr15-65795798-23
NR4643--MA0591.1.Bach1::Mafk	chr14	60744871	60744885	-	0.000	0.000	Merged-chr14-60744715-28
NR12533--MA0496.2.MAFK	chr6	148914014	148914032	+	0.000	0.000	Merged-chr6-148914162-22
NR1234--MA0496.2.MAFK	chr1	191420991	191421009	-	0.000	0.000	Merged-chr1-191421132-37
NR11476--MA0089.1.MAFG::NFE2L1	chr5	150519690	150519695	+	0.000	0.000	Merged-chr5-150519774-16
NR5222--MA0089.1.MAFG::NFE2L1	chr15	59641272	59641277	+	0.000	0.000	Merged-chr15-59641442-25
NR2061--MA0501.1.MAF::NFE2	chr10	122815308	122815322	+	0.000	0.000	Merged-chr10-122815337-49
NR14181--MA0501.1.MAF::NFE2	chr9	32652416	32652430	+	0.000	0.000	Merged-chr9-32652377-47
NR9167--MA0591.1.Bach1::Mafk	chr3	90587092	90587106	-	0.000	0.000	Merged-chr3-90587051-129
NR9556--MA0089.1.MAFG::NFE2L1	chr3	138992831	138992836	-	0.000	0.000	Merged-chr3-138992913-17
NR6914--MA0117.2.Mafb	chr18	64516559	64516570	-	0.000	0.000	Merged-chr18-64516532-71
NR7157--MA0501.1.MAF::NFE2	chr19	5816030	5816044	-	0.000	0.000	Merged-chr19-5816092-50
NR13088--MA0117.2.Mafb	chr7	114817825	114817836	-	0.000	0.000	Merged-chr7-114817676-52
NR13147--MA0501.1.MAF::NFE2	chr7	120063133	120063147	-	0.000	0.000	Merged-chr7-120063262-12
NR3869--MA0089.1.MAFG::NFE2L1	chr13	62785874	62785879	+	0.000	0.000	Merged-chr13-62785718-57
NR9286--MA0496.2.MAFK	chr3	105763607	105763625	-	0.000	0.000	Merged-chr3-105763665-52
NR6944--MA0089.1.MAFG::NFE2L1	chr18	67390124	67390129	+	0.000	0.000	Merged-chr18-67389985-1
NR9403--MA0495.2.MAFF	chr3	121874812	121874832	+	0.000	0.000	Merged-chr3-121874730-10
NR1971--MA0089.1.MAFG::NFE2L1	chr10	111924221	111924226	+	0.000	0.000	Merged-chr10-111924366-28
NR9858--MA0089.1.MAFG::NFE2L1	chr4	40839363	40839368	-	0.000	0.000	Merged-chr4-40839433-53
NR7620--MA0591.1.Bach1::Mafk	chr2	34826229	34826243	-	0.000	0.000	Merged-chr2-34826203-51
NR170--MA0659.1.MAFG	chr1	43139746	43139766	+	0.000	0.000	Merged-chr1-43139813-33
NR5059--MA0659.1.MAFG	chr15	12321735	12321755	-	0.000	0.000	Merged-chr15-12321794-133
NR1579--MA0496.2.MAFK	chr10	58383471	58383489	-	0.000	0.000	Merged-chr10-58383440-43
NR10278--MA0495.2.MAFF	chr4	116018506	116018526	-	0.000	0.000	Merged-chr4-116018460-3
NR14762--MA0501.1.MAF::NFE2	chr9	119271676	119271690	+	0.000	0.000	Merged-chr9-119271668-22
NR3340--MA0117.2.Mafb	chr12	105069094	105069105	+	0.000	0.000	Merged-chr12-105069151-33
NR1409--MA0591.1.Bach1::Mafk	chr10	25140549	25140563	-	0.000	0.000	Merged-chr10-25140477-16
NR3806--MA0501.1.MAF::NFE2	chr13	52807789	52807803	+	0.000	0.000	Merged-chr13-52807824-44
NR584--MA0496.2.MAFK	chr1	106187587	106187605	+	0.000	0.000	Merged-chr1-106187715-26
NR12315--MA0089.1.MAFG::NFE2L1	chr6	130429671	130429676	-	0.000	0.000	Merged-chr6-130429681-16
NR2255--MA0659.1.MAFG	chr11	23570306	23570326	+	0.000	0.000	Merged-chr11-23570355-13
NR14827--MA0501.1.MAF::NFE2	chrX	12937058	12937072	-	0.000	0.000	Merged-chrX-12936951-61
NR13620--MA0089.1.MAFG::NFE2L1	chr8	72343868	72343873	+	0.000	0.000	Merged-chr8-72343901-44
NR7878--MA0591.1.Bach1::Mafk	chr2	75964936	75964950	-	0.000	0.000	Merged-chr2-75964949-43
NR14021--MA0591.1.Bach1::Mafk	chr8	126188894	126188908	+	0.000	0.000	Merged-chr8-126188962-13
NR11722--MA0501.1.MAF::NFE2	chr6	53455711	53455725	+	0.000	0.000	Merged-chr6-53455637-20
NR9669--MA0089.1.MAFG::NFE2L1	chr3	152209744	152209749	+	0.000	0.000	Merged-chr3-152209810-2
NR5579--MA0591.1.Bach1::Mafk	chr16	23609948	23609962	-	0.000	0.000	Merged-chr16-23609976-53
NR4560--MA0659.1.MAFG	chr14	47367040	47367060	+	0.000	0.000	Merged-chr14-47367011-11
NR8034--MA0501.1.MAF::NFE2	chr2	102401074	102401088	-	0.000	0.000	Merged-chr2-102401021-85
NR4997--MA0495.2.MAFF	chr14	121903485	121903505	-	0.000	0.000	Merged-chr14-121903586-22
NR2090--MA0591.1.Bach1::Mafk	chr10	127041924	127041938	-	0.000	0.000	Merged-chr10-127041778-74
NR13527--MA0117.2.Mafb	chr8	46782517	46782528	-	0.000	0.000	Merged-chr8-46782438-21
NR1493--MA0089.1.MAFG::NFE2L1	chr10	42934724	42934729	-	0.000	0.000	Merged-chr10-42934777-29
NR3345--MA0659.1.MAFG	chr12	105684031	105684051	+	0.000	0.000	Merged-chr12-105684124-9
NR9866--MA0117.2.Mafb	chr4	41569509	41569520	-	0.000	0.000	Merged-chr4-41569502-63
NR4708--MA0089.1.MAFG::NFE2L1	chr14	70963725	70963730	-	0.000	0.000	Merged-chr14-70963640-56
NR2058--MA0089.1.MAFG::NFE2L1	chr10	122800518	122800523	+	0.000	0.000	Merged-chr10-122800507-74
NR3352--MA0495.2.MAFF	chr12	106447410	106447430	+	0.000	0.000	Merged-chr12-106447324-1
NR9265--MA0089.1.MAFG::NFE2L1	chr3	101948811	101948816	-	0.000	0.000	Merged-chr3-101948658-63
NR5943--MA0496.2.MAFK	chr16	77644508	77644526	-	0.000	0.000	Merged-chr16-77644361-24
NR14622--MA0591.1.Bach1::Mafk	chr9	106203250	106203264	-	0.000	0.000	Merged-chr9-106203255-66
NR8599--MA0591.1.Bach1::Mafk	chr2	164938922	164938936	+	0.000	0.000	Merged-chr2-164938958-38
NR9843--MA0089.1.MAFG::NFE2L1	chr4	33315972	33315977	-	0.000	0.000	Merged-chr4-33316014-28
NR11487--MA0089.1.MAFG::NFE2L1	chr6	3498376	3498381	-	0.000	0.000	Merged-chr6-3498450-52
NR1510--MA0659.1.MAFG	chr10	44434865	44434885	+	0.000	0.000	Merged-chr10-44434814-22
NR9405--MA0117.2.Mafb	chr3	121874821	121874832	-	0.000	0.000	Merged-chr3-121874730-10
NR13619--MA0496.2.MAFK	chr8	72324326	72324344	+	0.000	0.000	Merged-chr8-72324323-7
NR9192--MA0591.1.Bach1::Mafk	chr3	93506445	93506459	+	0.000	0.000	Merged-chr3-93506465-61
NR3450--MA0089.1.MAFG::NFE2L1	chr12	114469074	114469079	-	0.000	0.000	Merged-chr12-114469182-47
NR5860--MA0591.1.Bach1::Mafk	chr16	64796760	64796774	+	0.000	0.000	Merged-chr16-64796887-9
NR3354--MA0659.1.MAFG	chr12	106447410	106447430	+	0.000	0.000	Merged-chr12-106447324-1
NR7516--MA0501.1.MAF::NFE2	chr2	14712053	14712067	+	0.000	0.000	Merged-chr2-14711970-14
NR7293--MA0089.1.MAFG::NFE2L1	chr19	30125327	30125332	-	0.000	0.000	Merged-chr19-30125411-22
NR4090--MA0089.1.MAFG::NFE2L1	chr13	102645056	102645061	-	0.000	0.000	Merged-chr13-102645059-45
NR7305--MA0089.1.MAFG::NFE2L1	chr19	33053369	33053374	+	0.000	0.000	Merged-chr19-33053321-32
NR13493--MA0501.1.MAF::NFE2	chr8	36184258	36184272	+	0.000	0.000	Merged-chr8-36184209-47
NR14635--MA0117.2.Mafb	chr9	107340790	107340801	+	0.000	0.000	Merged-chr9-107340908-4
NR7568--MA0501.1.MAF::NFE2	chr2	26753712	26753726	-	0.000	0.000	Merged-chr2-26753671-30
NR13602--MA0591.1.Bach1::Mafk	chr8	71587146	71587160	+	0.000	0.000	Merged-chr8-71587200-14
NR8643--MA0591.1.Bach1::Mafk	chr2	170126439	170126453	+	0.000	0.000	Merged-chr2-170126544-26
NR3925--MA0591.1.Bach1::Mafk	chr13	73331172	73331186	+	0.000	0.000	Merged-chr13-73331232-64
NR8321--MA0089.1.MAFG::NFE2L1	chr2	131820290	131820295	-	0.000	0.000	Merged-chr2-131820410-33
NR9674--MA0659.1.MAFG	chr3	153260800	153260820	+	0.000	0.000	Merged-chr3-153260790-34
NR4392--MA0089.1.MAFG::NFE2L1	chr14	20938759	20938764	-	0.000	0.000	Merged-chr14-20938813-17
NR5131--MA0089.1.MAFG::NFE2L1	chr15	41429472	41429477	+	0.000	0.000	Merged-chr15-41429607-8
NR9896--MA0495.2.MAFF	chr4	46560560	46560580	-	0.000	0.000	Merged-chr4-46560470-31
NR3268--MA0501.1.MAF::NFE2	chr12	98674814	98674828	-	0.000	0.000	Merged-chr12-98674935-52
NR8472--MA0117.2.Mafb	chr2	150135380	150135391	-	0.000	0.000	Merged-chr2-150135491-7
NR6293--MA0501.1.MAF::NFE2	chr17	32944790	32944804	+	0.000	0.000	Merged-chr17-32944718-11
NR11587--MA0089.1.MAFG::NFE2L1	chr6	24527544	24527549	+	0.000	0.000	Merged-chr6-24527621-68
NR119--MA0496.2.MAFK	chr1	33757037	33757055	+	0.000	0.000	Merged-chr1-33757115-3
NR14289--MA0501.1.MAF::NFE2	chr9	48444050	48444064	-	0.000	0.000	Merged-chr9-48444071-7
NR12319--MA0496.2.MAFK	chr6	130429678	130429696	-	0.000	0.000	Merged-chr6-130429681-16
NR1780--MA0089.1.MAFG::NFE2L1	chr10	85359479	85359484	-	0.000	0.000	Merged-chr10-85359625-39
NR2948--MA0591.1.Bach1::Mafk	chr12	34953599	34953613	-	0.000	0.000	Merged-chr12-34953447-1
NR3142--MA0495.2.MAFF	chr12	79502029	79502049	+	0.000	0.000	Merged-chr12-79502114-6
NR14877--MA0089.1.MAFG::NFE2L1	chrX	57200528	57200533	+	0.000	0.000	Merged-chrX-57200663-17
NR9383--MA0501.1.MAF::NFE2	chr3	117438962	117438976	-	0.000	0.000	Merged-chr3-117438908-21
NR2721--MA0089.1.MAFG::NFE2L1	chr11	104664068	104664073	+	0.000	0.000	Merged-chr11-104664090-22
NR1067--MA0117.2.Mafb	chr1	179185021	179185032	+	0.000	0.000	Merged-chr1-179184943-3
NR6982--MA0659.1.MAFG	chr18	70544411	70544431	-	0.000	0.000	Merged-chr18-70544560-36
NR3108--MA0117.2.Mafb	chr12	73611100	73611111	-	0.000	0.000	Merged-chr12-73611155-79
NR12138--MA0659.1.MAFG	chr6	116287117	116287137	+	0.000	0.000	Merged-chr6-116287137-8
NR11368--MA0496.2.MAFK	chr5	136550857	136550875	-	0.000	0.000	Merged-chr5-136550897-14
NR5002--MA0591.1.Bach1::Mafk	chr14	121903613	121903627	-	0.000	0.000	Merged-chr14-121903586-22
NR1327--MA0591.1.Bach1::Mafk	chr10	12875022	12875036	-	0.000	0.000	Merged-chr10-12875013-52
NR7984--MA0089.1.MAFG::NFE2L1	chr2	91265163	91265168	-	0.000	0.000	Merged-chr2-91265194-57
NR3921--MA0495.2.MAFF	chr13	72959366	72959386	-	0.000	0.000	Merged-chr13-72959557-1
NR1396--MA0496.2.MAFK	chr10	21659610	21659628	+	0.000	0.000	Merged-chr10-21659696-16
NR9406--MA0591.1.Bach1::Mafk	chr3	121874815	121874829	+	0.000	0.000	Merged-chr3-121874730-10
NR10413--MA0495.2.MAFF	chr4	134483935	134483955	-	0.000	0.000	Merged-chr4-134483836-10
NR13079--MA0501.1.MAF::NFE2	chr7	113241947	113241961	-	0.000	0.000	Merged-chr7-113241990-10
NR1640--MA0117.2.Mafb	chr10	67512433	67512444	+	0.000	0.000	Merged-chr10-67512381-13
NR8058--MA0089.1.MAFG::NFE2L1	chr2	103668157	103668162	-	0.000	0.000	Merged-chr2-103668249-32
NR14688--MA0089.1.MAFG::NFE2L1	chr9	114743033	114743038	+	0.000	0.000	Merged-chr9-114742915-20
NR833--MA0089.1.MAFG::NFE2L1	chr1	151698037	151698042	+	0.000	0.000	Merged-chr1-151698105-31
NR8434--MA0089.1.MAFG::NFE2L1	chr2	147030826	147030831	-	0.000	0.000	Merged-chr2-147030791-19
NR4996--MA0089.1.MAFG::NFE2L1	chr14	121879680	121879685	-	0.000	0.000	Merged-chr14-121879691-39
NR8961--MA0501.1.MAF::NFE2	chr3	58470213	58470227	-	0.000	0.000	Merged-chr3-58470222-35
NR3834--MA0501.1.MAF::NFE2	chr13	58206782	58206796	-	0.000	0.000	Merged-chr13-58206802-1
NR5313--MA0495.2.MAFF	chr15	76908067	76908087	+	0.000	0.000	Merged-chr15-76908278-27
NR9074--MA0089.1.MAFG::NFE2L1	chr3	81102217	81102222	-	0.000	0.000	Merged-chr3-81102418-9
NR13353--MA0117.2.Mafb	chr7	143628821	143628832	+	0.000	0.000	Merged-chr7-143628758-62
NR759--MA0089.1.MAFG::NFE2L1	chr1	137898539	137898544	+	0.000	0.000	Merged-chr1-137898663-56
NR6087--MA0659.1.MAFG	chr16	96358152	96358172	+	0.000	0.000	Merged-chr16-96358039-35
NR12140--MA0496.2.MAFK	chr6	116287118	116287136	+	0.000	0.000	Merged-chr6-116287137-8
NR14947--MA0591.1.Bach1::Mafk	chrX	94169500	94169514	+	0.000	0.000	Merged-chrX-94169687-15
NR3713--MA0591.1.Bach1::Mafk	chr13	41249758	41249772	-	0.000	0.000	Merged-chr13-41249879-71
NR12237--MA0089.1.MAFG::NFE2L1	chr6	124829393	124829398	+	0.000	0.000	Merged-chr6-124829412-146
NR7190--MA0117.2.Mafb	chr19	10829821	10829832	-	0.000	0.000	Merged-chr19-10829902-50
NR1757--MA0659.1.MAFG	chr10	82778148	82778168	+	0.000	0.000	Merged-chr10-82778212-17
NR2287--MA0117.2.Mafb	chr11	32714225	32714236	+	0.000	0.000	Merged-chr11-32714386-17
NR7177--MA0659.1.MAFG	chr19	8997796	8997816	-	0.000	0.000	Merged-chr19-8997882-60
NR1618--MA0117.2.Mafb	chr10	62508041	62508052	-	0.000	0.000	Merged-chr10-62508148-1
NR2430--MA0089.1.MAFG::NFE2L1	chr11	58189906	58189911	+	0.000	0.000	Merged-chr11-58189839-18
NR5553--MA0501.1.MAF::NFE2	chr16	22602608	22602622	+	0.000	0.000	Merged-chr16-22602605-18
NR3932--MA0117.2.Mafb	chr13	75053978	75053989	+	0.000	0.000	Merged-chr13-75053881-13
NR10554--MA0089.1.MAFG::NFE2L1	chr4	149854401	149854406	+	0.000	0.000	Merged-chr4-149854542-67
NR1073--MA0591.1.Bach1::Mafk	chr1	180313064	180313078	-	0.000	0.000	Merged-chr1-180313022-2
NR5720--MA0089.1.MAFG::NFE2L1	chr16	43624986	43624991	+	0.000	0.000	Merged-chr16-43625129-31
NR10988--MA0117.2.Mafb	chr5	74404336	74404347	-	0.000	0.000	Merged-chr5-74404312-40
NR4234--MA0117.2.Mafb	chr13	113322300	113322311	+	0.000	0.000	Merged-chr13-113322180-25
NR2258--MA0496.2.MAFK	chr11	23570307	23570325	+	0.000	0.000	Merged-chr11-23570355-13
NR7329--MA0089.1.MAFG::NFE2L1	chr19	40762495	40762500	+	0.000	0.000	Merged-chr19-40762334-20
NR12539--MA0089.1.MAFG::NFE2L1	chr7	3693596	3693601	+	0.000	0.000	Merged-chr7-3693587-203
NR13468--MA0089.1.MAFG::NFE2L1	chr8	25654068	25654073	-	0.000	0.000	Merged-chr8-25654088-45
NR11004--MA0089.1.MAFG::NFE2L1	chr5	86673053	86673058	+	0.000	0.000	Merged-chr5-86673072-6
NR10968--MA0496.2.MAFK	chr5	68033469	68033487	-	0.000	0.000	Merged-chr5-68033501-23
NR8274--MA0495.2.MAFF	chr2	128365990	128366010	-	0.000	0.000	Merged-chr2-128365920-27
NR1414--MA0501.1.MAF::NFE2	chr10	25457256	25457270	-	0.000	0.000	Merged-chr10-25457296-47
NR11863--MA0117.2.Mafb	chr6	70714417	70714428	-	0.000	0.000	Merged-chr6-70714490-34
NR8721--MA0089.1.MAFG::NFE2L1	chr2	177398275	177398280	-	0.000	0.000	Merged-chr2-177398378-54
NR9274--MA0089.1.MAFG::NFE2L1	chr3	103907901	103907906	+	0.000	0.000	Merged-chr3-103907790-52
NR12435--MA0501.1.MAF::NFE2	chr6	142867551	142867565	+	0.000	0.000	Merged-chr6-142867733-58
NR5653--MA0496.2.MAFK	chr16	33769915	33769933	+	0.000	0.000	Merged-chr16-33769896-51
NR2726--MA0117.2.Mafb	chr11	106688382	106688393	-	0.000	0.000	Merged-chr11-106688521-67
NR1614--MA0089.1.MAFG::NFE2L1	chr10	62186845	62186850	-	0.000	0.000	Merged-chr10-62187045-24
NR14265--MA0501.1.MAF::NFE2	chr9	44999344	44999358	+	0.000	0.000	Merged-chr9-44999415-9
NR11630--MA0591.1.Bach1::Mafk	chr6	30205806	30205820	+	0.000	0.000	Merged-chr6-30205764-30
NR8276--MA0659.1.MAFG	chr2	128365990	128366010	+	0.000	0.000	Merged-chr2-128365920-27
NR2629--MA0591.1.Bach1::Mafk	chr11	94253172	94253186	+	0.000	0.000	Merged-chr11-94253305-42
NR1728--MA0496.2.MAFK	chr10	79937281	79937299	-	0.000	0.000	Merged-chr10-79937148-47
NR1513--MA0496.2.MAFK	chr10	44434866	44434884	+	0.000	0.000	Merged-chr10-44434814-22
NR5098--MA0496.2.MAFK	chr15	32526186	32526204	-	0.000	0.000	Merged-chr15-32526016-1
NR555--MA0089.1.MAFG::NFE2L1	chr1	104215342	104215347	-	0.000	0.000	Merged-chr1-104215254-1
NR12951--MA0501.1.MAF::NFE2	chr7	97371709	97371723	-	0.000	0.000	Merged-chr7-97371683-55
NR1325--MA0089.1.MAFG::NFE2L1	chr10	12842793	12842798	+	0.000	0.000	Merged-chr10-12842715-46
NR931--MA0089.1.MAFG::NFE2L1	chr1	161734765	161734770	+	0.000	0.000	Merged-chr1-161734917-117
NR11583--MA0089.1.MAFG::NFE2L1	chr6	22424194	22424199	-	0.000	0.000	Merged-chr6-22424289-78
NR440--MA0089.1.MAFG::NFE2L1	chr1	87098822	87098827	+	0.000	0.000	Merged-chr1-87098850-16
NR7068--MA0495.2.MAFF	chr18	80671894	80671914	+	0.000	0.000	Merged-chr18-80671844-8
NR9109--MA0495.2.MAFF	chr3	84732098	84732118	-	0.000	0.000	Merged-chr3-84732134-27
NR4615--MA0089.1.MAFG::NFE2L1	chr14	55745690	55745695	+	0.000	0.000	Merged-chr14-55745715-52
NR5327--MA0591.1.Bach1::Mafk	chr15	78607720	78607734	-	0.000	0.000	Merged-chr15-78607691-21
NR151--MA0089.1.MAFG::NFE2L1	chr1	39559237	39559242	+	0.000	0.000	Merged-chr1-39559167-24
NR13586--MA0591.1.Bach1::Mafk	chr8	69329095	69329109	+	0.000	0.000	Merged-chr8-69328899-30
NR7070--MA0591.1.Bach1::Mafk	chr18	80671897	80671911	+	0.000	0.000	Merged-chr18-80671844-8
NR14117--MA0659.1.MAFG	chr9	14248437	14248457	+	0.000	0.000	Merged-chr9-14248366-20
NR8834--MA0089.1.MAFG::NFE2L1	chr3	27331126	27331131	+	0.000	0.000	Merged-chr3-27331014-40
NR5631--MA0089.1.MAFG::NFE2L1	chr16	32868021	32868026	-	0.000	0.000	Merged-chr16-32868243-54
NR2995--MA0659.1.MAFG	chr12	41044928	41044948	-	0.000	0.000	Merged-chr12-41044922-24
NR10841--MA0089.1.MAFG::NFE2L1	chr5	45676811	45676816	-	0.000	0.000	Merged-chr5-45676772-9
NR14264--MA0591.1.Bach1::Mafk	chr9	44999341	44999355	-	0.000	0.000	Merged-chr9-44999415-9
NR14609--MA0089.1.MAFG::NFE2L1	chr9	103595398	103595403	-	0.000	0.000	Merged-chr9-103595480-3
NR11541--MA0117.2.Mafb	chr6	15163987	15163998	-	0.000	0.000	Merged-chr6-15163954-12
NR8053--MA0501.1.MAF::NFE2	chr2	103271650	103271664	+	0.000	0.000	Merged-chr2-103271548-6
NR7050--MA0501.1.MAF::NFE2	chr18	79589343	79589357	+	0.000	0.000	Merged-chr18-79589307-27
NR4930--MA0591.1.Bach1::Mafk	chr14	115015514	115015528	+	0.000	0.000	Merged-chr14-115015527-11
NR1211--MA0117.2.Mafb	chr1	189799127	189799138	-	0.000	0.000	Merged-chr1-189799097-29
NR13842--MA0089.1.MAFG::NFE2L1	chr8	103979271	103979276	-	0.000	0.000	Merged-chr8-103979175-27
NR605--MA0591.1.Bach1::Mafk	chr1	107590015	107590029	-	0.000	0.000	Merged-chr1-107590197-16
NR8141--MA0089.1.MAFG::NFE2L1	chr2	117352953	117352958	-	0.000	0.000	Merged-chr2-117352784-31
NR6862--MA0089.1.MAFG::NFE2L1	chr18	56718251	56718256	-	0.000	0.000	Merged-chr18-56718184-1
NR1899--MA0495.2.MAFF	chr10	98776481	98776501	-	0.000	0.000	Merged-chr10-98776574-38
NR8948--MA0591.1.Bach1::Mafk	chr3	54592455	54592469	-	0.000	0.000	Merged-chr3-54592638-50
NR1326--MA0495.2.MAFF	chr10	12875019	12875039	+	0.000	0.000	Merged-chr10-12875013-52
NR9478--MA0117.2.Mafb	chr3	130900325	130900336	+	0.000	0.000	Merged-chr3-130900467-40
NR7081--MA0496.2.MAFK	chr18	81572106	81572124	-	0.000	0.000	Merged-chr18-81572136-24
NR12958--MA0117.2.Mafb	chr7	98995279	98995290	+	0.000	0.000	Merged-chr7-98995432-21
NR9093--MA0501.1.MAF::NFE2	chr3	81835954	81835968	+	0.000	0.000	Merged-chr3-81835793-30
NR5859--MA0089.1.MAFG::NFE2L1	chr16	64757610	64757615	-	0.000	0.000	Merged-chr16-64757779-2
NR14697--MA0089.1.MAFG::NFE2L1	chr9	115134830	115134835	+	0.000	0.000	Merged-chr9-115134877-14
NR13191--MA0495.2.MAFF	chr7	126725378	126725398	-	0.000	0.000	Merged-chr7-126725257-13
NR2891--MA0591.1.Bach1::Mafk	chr12	17373770	17373784	+	0.000	0.000	Merged-chr12-17373480-96
NR10032--MA0591.1.Bach1::Mafk	chr4	75278436	75278450	-	0.000	0.000	Merged-chr4-75278246-1
NR13598--MA0496.2.MAFK	chr8	70700049	70700067	-	0.000	0.000	Merged-chr8-70699898-12
NR10354--MA0591.1.Bach1::Mafk	chr4	126181269	126181283	+	0.000	0.000	Merged-chr4-126181413-29
NR12855--MA0117.2.Mafb	chr7	80410467	80410478	+	0.000	0.000	Merged-chr7-80410451-25
NR1741--MA0591.1.Bach1::Mafk	chr10	80917804	80917818	+	0.000	0.000	Merged-chr10-80917926-53
NR1328--MA0659.1.MAFG	chr10	12875019	12875039	-	0.000	0.000	Merged-chr10-12875013-52
NR635--MA0496.2.MAFK	chr1	119469664	119469682	+	0.000	0.000	Merged-chr1-119469584-5
NR13673--MA0501.1.MAF::NFE2	chr8	77550137	77550151	-	0.000	0.000	Merged-chr8-77550010-38
NR1462--MA0117.2.Mafb	chr10	38884900	38884911	+	0.000	0.000	Merged-chr10-38884993-65
NR9789--MA0089.1.MAFG::NFE2L1	chr4	14864329	14864334	-	0.000	0.000	Merged-chr4-14864429-92
NR9298--MA0089.1.MAFG::NFE2L1	chr3	106485958	106485963	+	0.000	0.000	Merged-chr3-106485995-50
NR5000--MA0496.2.MAFK	chr14	121903486	121903504	+	0.000	0.000	Merged-chr14-121903586-22
NR11537--MA0117.2.Mafb	chr6	13838606	13838617	+	0.000	0.000	Merged-chr6-13838758-42
NR2784--MA0591.1.Bach1::Mafk	chr11	113684019	113684033	-	0.000	0.000	Merged-chr11-113684068-98
NR11202--MA0089.1.MAFG::NFE2L1	chr5	107303737	107303742	-	0.000	0.000	Merged-chr5-107303598-32
NR11231--MA0495.2.MAFF	chr5	111330814	111330834	-	0.000	0.000	Merged-chr5-111330756-70
NR10361--MA0501.1.MAF::NFE2	chr4	126862137	126862151	+	0.000	0.000	Merged-chr4-126861919-23
NR9467--MA0501.1.MAF::NFE2	chr3	129602462	129602476	-	0.000	0.000	Merged-chr3-129602465-51
NR8610--MA0496.2.MAFK	chr2	166719467	166719485	-	0.000	0.000	Merged-chr2-166719426-29
NR5245--MA0591.1.Bach1::Mafk	chr15	62726726	62726740	-	0.000	0.000	Merged-chr15-62726785-12
NR4851--MA0495.2.MAFF	chr14	99266001	99266021	-	0.000	0.000	Merged-chr14-99266048-28
NR4639--MA0089.1.MAFG::NFE2L1	chr14	60129741	60129746	+	0.000	0.000	Merged-chr14-60129717-50
NR4009--MA0496.2.MAFK	chr13	90101752	90101770	+	0.000	0.000	Merged-chr13-90101603-11
NR5096--MA0591.1.Bach1::Mafk	chr15	32526188	32526202	-	0.000	0.000	Merged-chr15-32526016-1
NR5279--MA0089.1.MAFG::NFE2L1	chr15	72742468	72742473	+	0.000	0.000	Merged-chr15-72742645-6
NR11233--MA0659.1.MAFG	chr5	111330814	111330834	-	0.000	0.000	Merged-chr5-111330756-70
NR10865--MA0089.1.MAFG::NFE2L1	chr5	52669686	52669691	+	0.000	0.000	Merged-chr5-52669668-56
NR2897--MA0117.2.Mafb	chr12	21467973	21467984	-	0.000	0.000	Merged-chr12-21468092-6
NR7791--MA0117.2.Mafb	chr2	61492430	61492441	-	0.000	0.000	Merged-chr2-61492330-26
NR233--MA0495.2.MAFF	chr1	55630405	55630425	+	0.000	0.000	Merged-chr1-55630357-14
NR5466--MA0496.2.MAFK	chr15	101198268	101198286	+	0.000	0.000	Merged-chr15-101198379-35
NR968--MA0089.1.MAFG::NFE2L1	chr1	165132474	165132479	-	0.000	0.000	Merged-chr1-165132661-25
NR7350--MA0501.1.MAF::NFE2	chr19	46198993	46199007	-	0.000	0.000	Merged-chr19-46199074-12
NR12359--MA0089.1.MAFG::NFE2L1	chr6	134217897	134217902	-	0.000	0.000	Merged-chr6-134217908-11
NR5025--MA0117.2.Mafb	chr15	5580415	5580426	+	0.000	0.000	Merged-chr15-5580453-13
NR8756--MA0659.1.MAFG	chr2	180227843	180227863	+	0.000	0.000	Merged-chr2-180227803-24
NR853--MA0089.1.MAFG::NFE2L1	chr1	153700901	153700906	+	0.000	0.000	Merged-chr1-153700855-14
NR12080--MA0501.1.MAF::NFE2	chr6	108895322	108895336	+	0.000	0.000	Merged-chr6-108895381-27
NR7254--MA0501.1.MAF::NFE2	chr19	21785904	21785918	-	0.000	0.000	Merged-chr19-21785964-7
NR6295--MA0089.1.MAFG::NFE2L1	chr17	33851549	33851554	-	0.000	0.000	Merged-chr17-33851490-17
NR768--MA0501.1.MAF::NFE2	chr1	138931158	138931172	+	0.000	0.000	Merged-chr1-138931080-29
NR7413--MA0496.2.MAFK	chr19	56822158	56822176	-	0.000	0.000	Merged-chr19-56822073-89
NR895--MA0496.2.MAFK	chr1	156464433	156464451	-	0.000	0.000	Merged-chr1-156464548-8
