#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh.dn.bed
NR4426--MA0496.2.MAFK	chr14	27268382	27268400	+	0.000	0.000	Merged-chr14-27268313-23
NR1953--MA0501.1.MAF::NFE2	chr10	111378299	111378313	+	0.000	0.000	Merged-chr10-111378501-63
NR2159--MA0117.2.Mafb	chr11	5099437	5099448	+	0.000	0.000	Merged-chr11-5099369-106
NR3091--MA0501.1.MAF::NFE2	chr12	70713620	70713634	-	0.000	0.000	Merged-chr12-70713725-41
NR8027--MA0659.1.MAFG	chr2	101678594	101678614	+	0.000	0.000	Merged-chr2-101678794-92
NR634--MA0659.1.MAFG	chr1	119469663	119469683	-	0.000	0.000	Merged-chr1-119469584-5
NR12170--MA0089.1.MAFG::NFE2L1	chr6	117932871	117932876	+	0.000	0.000	Merged-chr6-117932837-16
NR10891--MA0089.1.MAFG::NFE2L1	chr5	57964487	57964492	+	0.000	0.000	Merged-chr5-57964492-18
NR4206--MA0591.1.Bach1::Mafk	chr13	112466862	112466876	+	0.000	0.000	Merged-chr13-112466730-20
NR3489--MA0495.2.MAFF	chr12	116315653	116315673	+	0.000	0.000	Merged-chr12-116315725-53
NR11990--MA0117.2.Mafb	chr6	95515634	95515645	-	0.000	0.000	Merged-chr6-95515480-1
NR8975--MA0501.1.MAF::NFE2	chr3	59296666	59296680	-	0.000	0.000	Merged-chr3-59296543-72
NR2229--MA0591.1.Bach1::Mafk	chr11	20477618	20477632	+	0.000	0.000	Merged-chr11-20477652-51
NR5896--MA0089.1.MAFG::NFE2L1	chr16	71114788	71114793	+	0.000	0.000	Merged-chr16-71114794-1
NR6852--MA0496.2.MAFK	chr18	55184456	55184474	+	0.000	0.000	Merged-chr18-55184641-11
NR5635--MA0591.1.Bach1::Mafk	chr16	32972771	32972785	+	0.000	0.000	Merged-chr16-32972762-21
NR535--MA0501.1.MAF::NFE2	chr1	97764136	97764150	-	0.000	0.000	Merged-chr1-97764346-16
NR8116--MA0089.1.MAFG::NFE2L1	chr2	114059831	114059836	-	0.000	0.000	Merged-chr2-114059851-34
NR4151--MA0659.1.MAFG	chr13	108498728	108498748	-	0.000	0.000	Merged-chr13-108498755-24
NR13866--MA0501.1.MAF::NFE2	chr8	105827422	105827436	-	0.000	0.000	Merged-chr8-105827361-75
NR12601--MA0117.2.Mafb	chr7	19228404	19228415	-	0.000	0.000	Merged-chr7-19228320-141
NR11626--MA0495.2.MAFF	chr6	30162228	30162248	-	0.000	0.000	Merged-chr6-30162256-14
NR3144--MA0591.1.Bach1::Mafk	chr12	79502032	79502046	+	0.000	0.000	Merged-chr12-79502114-6
NR12079--MA0591.1.Bach1::Mafk	chr6	108895319	108895333	+	0.000	0.000	Merged-chr6-108895381-27
NR8001--MA0089.1.MAFG::NFE2L1	chr2	93454550	93454555	+	0.000	0.000	Merged-chr2-93454506-54
NR4999--MA0501.1.MAF::NFE2	chr14	121903491	121903505	+	0.000	0.000	Merged-chr14-121903586-22
NR1864--MA0089.1.MAFG::NFE2L1	chr10	94689283	94689288	-	0.000	0.000	Merged-chr10-94689288-1
NR728--MA0117.2.Mafb	chr1	133146148	133146159	+	0.000	0.000	Merged-chr1-133146237-29
NR2790--MA0591.1.Bach1::Mafk	chr11	115660530	115660544	+	0.000	0.000	Merged-chr11-115660651-9
NR4048--MA0501.1.MAF::NFE2	chr13	96510790	96510804	+	0.000	0.000	Merged-chr13-96510915-80
NR4006--MA0495.2.MAFF	chr13	90101751	90101771	-	0.000	0.000	Merged-chr13-90101603-11
NR6550--MA0591.1.Bach1::Mafk	chr17	80139920	80139934	-	0.000	0.000	Merged-chr17-80140059-47
NR7060--MA0496.2.MAFK	chr18	80554954	80554972	+	0.000	0.000	Merged-chr18-80555147-42
NR5557--MA0495.2.MAFF	chr16	22661302	22661322	-	0.000	0.000	Merged-chr16-22661270-2
NR2830--MA0501.1.MAF::NFE2	chr11	120800013	120800027	-	0.000	0.000	Merged-chr11-120800256-20
NR516--MA0495.2.MAFF	chr1	94497025	94497045	-	0.000	0.000	Merged-chr1-94497080-23
NR2734--MA0501.1.MAF::NFE2	chr11	106994510	106994524	+	0.000	0.000	Merged-chr11-106994404-9
NR1731--MA0501.1.MAF::NFE2	chr10	80249141	80249155	-	0.000	0.000	Merged-chr10-80249310-65
NR11715--MA0496.2.MAFK	chr6	52825669	52825687	+	0.000	0.000	Merged-chr6-52825813-18
NR4658--MA0591.1.Bach1::Mafk	chr14	63681669	63681683	+	0.000	0.000	Merged-chr14-63681701-9
NR3126--MA0496.2.MAFK	chr12	76052066	76052084	-	0.000	0.000	Merged-chr12-76052186-4
NR12752--MA0501.1.MAF::NFE2	chr7	58148188	58148202	+	0.000	0.000	Merged-chr7-58147990-20
NR7926--MA0501.1.MAF::NFE2	chr2	83625423	83625437	-	0.000	0.000	Merged-chr2-83625624-59
NR6923--MA0501.1.MAF::NFE2	chr18	65272256	65272270	-	0.000	0.000	Merged-chr18-65272227-29
NR5920--MA0501.1.MAF::NFE2	chr16	76409429	76409443	-	0.000	0.000	Merged-chr16-76409543-10
NR1008--MA0501.1.MAF::NFE2	chr1	170136613	170136627	-	0.000	0.000	Merged-chr1-170136601-45
NR12606--MA0659.1.MAFG	chr7	19872430	19872450	+	0.000	0.000	Merged-chr7-19872321-3
NR12283--MA0089.1.MAFG::NFE2L1	chr6	128803270	128803275	+	0.000	0.000	Merged-chr6-128803141-52
NR11653--MA0501.1.MAF::NFE2	chr6	34869614	34869628	+	0.000	0.000	Merged-chr6-34869594-48
NR1887--MA0495.2.MAFF	chr10	96519651	96519671	-	0.000	0.000	Merged-chr10-96519469-9
NR248--MA0591.1.Bach1::Mafk	chr1	58742700	58742714	+	0.000	0.000	Merged-chr1-58742743-31
NR9142--MA0495.2.MAFF	chr3	89727207	89727227	-	0.000	0.000	Merged-chr3-89727230-25
NR1171--MA0089.1.MAFG::NFE2L1	chr1	185217935	185217940	+	0.000	0.000	Merged-chr1-185218106-25
NR7779--MA0089.1.MAFG::NFE2L1	chr2	59997949	59997954	+	0.000	0.000	Merged-chr2-59997998-11
NR3037--MA0591.1.Bach1::Mafk	chr12	54835306	54835320	-	0.000	0.000	Merged-chr12-54835214-18
NR7034--MA0591.1.Bach1::Mafk	chr18	78014753	78014767	-	0.000	0.000	Merged-chr18-78014896-40
NR7288--MA0089.1.MAFG::NFE2L1	chr19	29261902	29261907	+	0.000	0.000	Merged-chr19-29261826-30
NR7356--MA0591.1.Bach1::Mafk	chr19	46478918	46478932	-	0.000	0.000	Merged-chr19-46479050-50
NR13107--MA0496.2.MAFK	chr7	116409583	116409601	+	0.000	0.000	Merged-chr7-116409560-37
NR10146--MA0591.1.Bach1::Mafk	chr4	100095990	100096004	-	0.000	0.000	Merged-chr4-100096138-68
NR2818--MA0089.1.MAFG::NFE2L1	chr11	119352198	119352203	-	0.000	0.000	Merged-chr11-119352427-33
NR8795--MA0089.1.MAFG::NFE2L1	chr3	10466041	10466046	+	0.000	0.000	Merged-chr3-10466039-18
NR3733--MA0659.1.MAFG	chr13	44260146	44260166	+	0.000	0.000	Merged-chr13-44260111-9
NR1412--MA0496.2.MAFK	chr10	25140547	25140565	+	0.000	0.000	Merged-chr10-25140477-16
NR10876--MA0496.2.MAFK	chr5	53401310	53401328	-	0.000	0.000	Merged-chr5-53401251-38
NR2703--MA0089.1.MAFG::NFE2L1	chr11	103808856	103808861	+	0.000	0.000	Merged-chr11-103808730-15
NR4676--MA0089.1.MAFG::NFE2L1	chr14	66805902	66805907	+	0.000	0.000	Merged-chr14-66805736-29
NR1473--MA0089.1.MAFG::NFE2L1	chr10	39430564	39430569	+	0.000	0.000	Merged-chr10-39430541-24
NR9820--MA0659.1.MAFG	chr4	24569373	24569393	-	0.000	0.000	Merged-chr4-24569297-30
NR3740--MA0495.2.MAFF	chr13	44420069	44420089	-	0.000	0.000	Merged-chr13-44420007-1
NR5590--MA0117.2.Mafb	chr16	24953197	24953208	-	0.000	0.000	Merged-chr16-24953085-11
NR2737--MA0117.2.Mafb	chr11	107407779	107407790	-	0.000	0.000	Merged-chr11-107407910-19
NR14471--MA0501.1.MAF::NFE2	chr9	83564276	83564290	+	0.000	0.000	Merged-chr9-83564254-44
NR13902--MA0089.1.MAFG::NFE2L1	chr8	111527344	111527349	+	0.000	0.000	Merged-chr8-111527388-53
NR8882--MA0089.1.MAFG::NFE2L1	chr3	37161296	37161301	-	0.000	0.000	Merged-chr3-37161165-34
NR6774--MA0117.2.Mafb	chr18	36700601	36700612	+	0.000	0.000	Merged-chr18-36700596-10
NR11252--MA0089.1.MAFG::NFE2L1	chr5	114773548	114773553	-	0.000	0.000	Merged-chr5-114773401-70
NR5226--MA0495.2.MAFF	chr15	61539014	61539034	+	0.000	0.000	Merged-chr15-61539170-27
NR12076--MA0495.2.MAFF	chr6	108895316	108895336	-	0.000	0.000	Merged-chr6-108895381-27
NR11958--MA0089.1.MAFG::NFE2L1	chr6	91440937	91440942	+	0.000	0.000	Merged-chr6-91441090-75
NR10538--MA0089.1.MAFG::NFE2L1	chr4	147904931	147904936	-	0.000	0.000	Merged-chr4-147904845-69
NR2254--MA0591.1.Bach1::Mafk	chr11	23570309	23570323	-	0.000	0.000	Merged-chr11-23570355-13
NR735--MA0496.2.MAFK	chr1	133146149	133146167	+	0.000	0.000	Merged-chr1-133146237-29
NR13437--MA0501.1.MAF::NFE2	chr8	18768246	18768260	-	0.000	0.000	Merged-chr8-18768213-14
NR11662--MA0591.1.Bach1::Mafk	chr6	37723511	37723525	+	0.000	0.000	Merged-chr6-37723494-25
NR1341--MA0591.1.Bach1::Mafk	chr10	13424689	13424703	+	0.000	0.000	Merged-chr10-13424690-40
NR2898--MA0591.1.Bach1::Mafk	chr12	21467967	21467981	+	0.000	0.000	Merged-chr12-21468092-6
NR14596--MA0495.2.MAFF	chr9	102587546	102587566	-	0.000	0.000	Merged-chr9-102587549-11
NR3297--MA0495.2.MAFF	chr12	102588572	102588592	-	0.000	0.000	Merged-chr12-102588735-27
NR8618--MA0089.1.MAFG::NFE2L1	chr2	167967795	167967800	-	0.000	0.000	Merged-chr2-167967809-5
NR5324--MA0496.2.MAFK	chr15	77970841	77970859	-	0.000	0.000	Merged-chr15-77970844-78
NR11930--MA0089.1.MAFG::NFE2L1	chr6	85029842	85029847	-	0.000	0.000	Merged-chr6-85029852-8
NR2601--MA0089.1.MAFG::NFE2L1	chr11	88011852	88011857	+	0.000	0.000	Merged-chr11-88011784-26
NR13166--MA0495.2.MAFF	chr7	123327112	123327132	-	0.000	0.000	Merged-chr7-123327122-14
NR3724--MA0117.2.Mafb	chr13	43555048	43555059	-	0.000	0.000	Merged-chr13-43555011-40
NR4394--MA0501.1.MAF::NFE2	chr14	21032474	21032488	-	0.000	0.000	Merged-chr14-21032326-46
NR7979--MA0089.1.MAFG::NFE2L1	chr2	90560139	90560144	+	0.000	0.000	Merged-chr2-90560115-12
NR11769--MA0089.1.MAFG::NFE2L1	chr6	59209386	59209391	-	0.000	0.000	Merged-chr6-59209207-107
NR5234--MA0501.1.MAF::NFE2	chr15	62145428	62145442	-	0.000	0.000	Merged-chr15-62145292-46
NR9262--MA0501.1.MAF::NFE2	chr3	101600447	101600461	-	0.000	0.000	Merged-chr3-101600504-6
NR4446--MA0591.1.Bach1::Mafk	chr14	30273210	30273224	+	0.000	0.000	Merged-chr14-30273182-14
NR308--MA0659.1.MAFG	chr1	72449904	72449924	-	0.000	0.000	Merged-chr1-72450027-13
NR9115--MA0496.2.MAFK	chr3	84732099	84732117	-	0.000	0.000	Merged-chr3-84732134-27
NR7160--MA0501.1.MAF::NFE2	chr19	5850313	5850327	-	0.000	0.000	Merged-chr19-5850230-41
NR11546--MA0495.2.MAFF	chr6	15726619	15726639	-	0.000	0.000	Merged-chr6-15726718-35
NR7882--MA0117.2.Mafb	chr2	77342173	77342184	+	0.000	0.000	Merged-chr2-77341964-71
NR6549--MA0495.2.MAFF	chr17	80139917	80139937	-	0.000	0.000	Merged-chr17-80140059-47
NR3149--MA0496.2.MAFK	chr12	79502030	79502048	-	0.000	0.000	Merged-chr12-79502114-6
NR14374--MA0117.2.Mafb	chr9	66990274	66990285	-	0.000	0.000	Merged-chr9-66990263-13
NR8632--MA0659.1.MAFG	chr2	169396602	169396622	+	0.000	0.000	Merged-chr2-169396513-5
NR3280--MA0501.1.MAF::NFE2	chr12	99544008	99544022	-	0.000	0.000	Merged-chr12-99544035-2
NR15005--MA0089.1.MAFG::NFE2L1	chrX	134566714	134566719	+	0.000	0.000	Merged-chrX-134566845-16
NR3658--MA0089.1.MAFG::NFE2L1	chr13	30154492	30154497	-	0.000	0.000	Merged-chr13-30154580-19
NR9903--MA0496.2.MAFK	chr4	47272967	47272985	+	0.000	0.000	Merged-chr4-47272801-22
NR3167--MA0089.1.MAFG::NFE2L1	chr12	84031109	84031114	+	0.000	0.000	Merged-chr12-84031100-14
NR4963--MA0089.1.MAFG::NFE2L1	chr14	119227905	119227910	-	0.000	0.000	Merged-chr14-119227938-9
NR2670--MA0117.2.Mafb	chr11	98513118	98513129	+	0.000	0.000	Merged-chr11-98513180-30
NR11452--MA0089.1.MAFG::NFE2L1	chr5	147187278	147187283	-	0.000	0.000	Merged-chr5-147187234-26
NR2471--MA0591.1.Bach1::Mafk	chr11	62822167	62822181	+	0.000	0.000	Merged-chr11-62822095-14
NR9151--MA0501.1.MAF::NFE2	chr3	89912855	89912869	+	0.000	0.000	Merged-chr3-89912987-87
NR3812--MA0591.1.Bach1::Mafk	chr13	55255262	55255276	+	0.000	0.000	Merged-chr13-55255412-37
NR7171--MA0089.1.MAFG::NFE2L1	chr19	8798592	8798597	-	0.000	0.000	Merged-chr19-8798550-51
NR4190--MA0495.2.MAFF	chr13	111265851	111265871	+	0.000	0.000	Merged-chr13-111265821-37
NR8972--MA0117.2.Mafb	chr3	59130633	59130644	-	0.000	0.000	Merged-chr3-59130608-34
NR9312--MA0501.1.MAF::NFE2	chr3	108781691	108781705	-	0.000	0.000	Merged-chr3-108781707-12
NR2829--MA0089.1.MAFG::NFE2L1	chr11	120776302	120776307	+	0.000	0.000	Merged-chr11-120776291-32
NR111--MA0659.1.MAFG	chr1	33454541	33454561	+	0.000	0.000	Merged-chr1-33454547-11
NR6457--MA0089.1.MAFG::NFE2L1	chr17	66074078	66074083	+	0.000	0.000	Merged-chr17-66074199-45
NR10247--MA0089.1.MAFG::NFE2L1	chr4	109665980	109665985	-	0.000	0.000	Merged-chr4-109666142-157
NR15045--MA0501.1.MAF::NFE2	chrX	142883741	142883755	+	0.000	0.000	Merged-chrX-142883855-35
NR4674--MA0089.1.MAFG::NFE2L1	chr14	66190611	66190616	+	0.000	0.000	Merged-chr14-66190567-42
NR5413--MA0089.1.MAFG::NFE2L1	chr15	94235382	94235387	+	0.000	0.000	Merged-chr15-94235397-15
NR10623--MA0089.1.MAFG::NFE2L1	chr5	4948460	4948465	+	0.000	0.000	Merged-chr5-4948385-16
NR12276--MA0591.1.Bach1::Mafk	chr6	128345843	128345857	+	0.000	0.000	Merged-chr6-128345779-18
NR15021--MA0659.1.MAFG	chrX	139610652	139610672	+	0.000	0.000	Merged-chrX-139610581-86
NR6082--MA0591.1.Bach1::Mafk	chr16	95893617	95893631	+	0.000	0.000	Merged-chr16-95893684-47
NR9908--MA0501.1.MAF::NFE2	chr4	47716211	47716225	-	0.000	0.000	Merged-chr4-47716164-4
NR12199--MA0117.2.Mafb	chr6	120955347	120955358	+	0.000	0.000	Merged-chr6-120955395-24
NR2750--MA0591.1.Bach1::Mafk	chr11	109375549	109375563	+	0.000	0.000	Merged-chr11-109375589-56
NR9254--MA0496.2.MAFK	chr3	100415298	100415316	-	0.000	0.000	Merged-chr3-100415276-1
NR8327--MA0089.1.MAFG::NFE2L1	chr2	132691840	132691845	+	0.000	0.000	Merged-chr2-132691913-20
NR10772--MA0591.1.Bach1::Mafk	chr5	31576934	31576948	-	0.000	0.000	Merged-chr5-31576784-60
NR5500--MA0089.1.MAFG::NFE2L1	chr16	8470856	8470861	-	0.000	0.000	Merged-chr16-8470808-56
NR8893--MA0089.1.MAFG::NFE2L1	chr3	41031639	41031644	-	0.000	0.000	Merged-chr3-41031560-12
NR10710--MA0089.1.MAFG::NFE2L1	chr5	20882148	20882153	+	0.000	0.000	Merged-chr5-20882102-89
NR2801--MA0089.1.MAFG::NFE2L1	chr11	117092971	117092976	-	0.000	0.000	Merged-chr11-117092893-43
NR13717--MA0495.2.MAFF	chr8	83131932	83131952	-	0.000	0.000	Merged-chr8-83131891-13
NR10111--MA0496.2.MAFK	chr4	94476967	94476985	-	0.000	0.000	Merged-chr4-94477144-23
NR10458--MA0117.2.Mafb	chr4	141952347	141952358	-	0.000	0.000	Merged-chr4-141952458-47
NR14668--MA0089.1.MAFG::NFE2L1	chr9	112174593	112174598	+	0.000	0.000	Merged-chr9-112174843-101
NR4701--MA0501.1.MAF::NFE2	chr14	69813202	69813216	+	0.000	0.000	Merged-chr14-69813335-19
NR7596--MA0591.1.Bach1::Mafk	chr2	31172202	31172216	-	0.000	0.000	Merged-chr2-31172206-22
NR2364--MA0591.1.Bach1::Mafk	chr11	50433087	50433101	+	0.000	0.000	Merged-chr11-50433184-24
NR9105--MA0501.1.MAF::NFE2	chr3	84595297	84595311	-	0.000	0.000	Merged-chr3-84595329-34
NR6361--MA0591.1.Bach1::Mafk	chr17	44718205	44718219	-	0.000	0.000	Merged-chr17-44718379-50
NR4042--MA0496.2.MAFK	chr13	95347411	95347429	+	0.000	0.000	Merged-chr13-95347309-34
NR2512--MA0089.1.MAFG::NFE2L1	chr11	72207276	72207281	-	0.000	0.000	Merged-chr11-72207242-88
NR14813--MA0117.2.Mafb	chrX	9243706	9243717	+	0.000	0.000	Merged-chrX-9243541-17
NR13623--MA0495.2.MAFF	chr8	72571103	72571123	-	0.000	0.000	Merged-chr8-72571324-95
NR8626--MA0495.2.MAFF	chr2	168583321	168583341	-	0.000	0.000	Merged-chr2-168583356-49
NR517--MA0501.1.MAF::NFE2	chr1	94497031	94497045	+	0.000	0.000	Merged-chr1-94497080-23
NR11548--MA0117.2.Mafb	chr6	15726619	15726630	+	0.000	0.000	Merged-chr6-15726718-35
NR13220--MA0089.1.MAFG::NFE2L1	chr7	129764607	129764612	-	0.000	0.000	Merged-chr7-129764736-16
NR3152--MA0089.1.MAFG::NFE2L1	chr12	79581808	79581813	+	0.000	0.000	Merged-chr12-79581763-13
NR1873--MA0089.1.MAFG::NFE2L1	chr10	95557502	95557507	-	0.000	0.000	Merged-chr10-95557525-27
NR3878--MA0591.1.Bach1::Mafk	chr13	63431576	63431590	+	0.000	0.000	Merged-chr13-63431477-108
NR7875--MA0591.1.Bach1::Mafk	chr2	75823975	75823989	-	0.000	0.000	Merged-chr2-75823994-29
NR8685--MA0501.1.MAF::NFE2	chr2	173048241	173048255	+	0.000	0.000	Merged-chr2-173048246-44
NR1730--MA0591.1.Bach1::Mafk	chr10	80249144	80249158	-	0.000	0.000	Merged-chr10-80249310-65
NR14294--MA0659.1.MAFG	chr9	48538398	48538418	-	0.000	0.000	Merged-chr9-48538454-59
NR5580--MA0501.1.MAF::NFE2	chr16	23609945	23609959	-	0.000	0.000	Merged-chr16-23609976-53
NR6587--MA0659.1.MAFG	chr17	86063692	86063712	-	0.000	0.000	Merged-chr17-86063661-27
NR12493--MA0591.1.Bach1::Mafk	chr6	145677666	145677680	-	0.000	0.000	Merged-chr6-145677669-10
NR937--MA0501.1.MAF::NFE2	chr1	162207443	162207457	+	0.000	0.000	Merged-chr1-162207431-48
NR1581--MA0591.1.Bach1::Mafk	chr10	58480253	58480267	-	0.000	0.000	Merged-chr10-58480234-23
NR3454--MA0089.1.MAFG::NFE2L1	chr12	114587445	114587450	-	0.000	0.000	Merged-chr12-114587375-26
NR9241--MA0089.1.MAFG::NFE2L1	chr3	96936772	96936777	-	0.000	0.000	Merged-chr3-96936595-28
NR4387--MA0496.2.MAFK	chr14	20253560	20253578	+	0.000	0.000	Merged-chr14-20253489-29
NR9613--MA0495.2.MAFF	chr3	146063412	146063432	+	0.000	0.000	Merged-chr3-146063322-20
NR14598--MA0591.1.Bach1::Mafk	chr9	102587549	102587563	+	0.000	0.000	Merged-chr9-102587549-11
NR2540--MA0501.1.MAF::NFE2	chr11	75541179	75541193	-	0.000	0.000	Merged-chr11-75541431-19
NR3210--MA0659.1.MAFG	chr12	91604327	91604347	+	0.000	0.000	Merged-chr12-91604206-14,Merged-chr12-91604478-1
NR4980--MA0117.2.Mafb	chr14	120572435	120572446	+	0.000	0.000	Merged-chr14-120572441-59
NR12609--MA0496.2.MAFK	chr7	19872431	19872449	-	0.000	0.000	Merged-chr7-19872321-3
NR8527--MA0089.1.MAFG::NFE2L1	chr2	156970708	156970713	+	0.000	0.000	Merged-chr2-156970494-23
NR338--MA0495.2.MAFF	chr1	74398274	74398294	+	0.000	0.000	Merged-chr1-74398237-10
NR12316--MA0659.1.MAFG	chr6	130429677	130429697	+	0.000	0.000	Merged-chr6-130429681-16
NR2646--MA0496.2.MAFK	chr11	96435095	96435113	-	0.000	0.000	Merged-chr11-96435210-8
NR2625--MA0089.1.MAFG::NFE2L1	chr11	90586654	90586659	-	0.000	0.000	Merged-chr11-90586478-10
NR11087--MA0089.1.MAFG::NFE2L1	chr5	96825067	96825072	+	0.000	0.000	Merged-chr5-96825060-50
NR11463--MA0089.1.MAFG::NFE2L1	chr5	149160677	149160682	-	0.000	0.000	Merged-chr5-149160687-30
NR14388--MA0117.2.Mafb	chr9	72389806	72389817	+	0.000	0.000	Merged-chr9-72389636-26
NR6--MA0089.1.MAFG::NFE2L1	chr1	10037936	10037941	+	0.000	0.000	Merged-chr1-10038044-60
NR637--MA0089.1.MAFG::NFE2L1	chr1	119913076	119913081	+	0.000	0.000	Merged-chr1-119913218-55
NR340--MA0591.1.Bach1::Mafk	chr1	74398277	74398291	+	0.000	0.000	Merged-chr1-74398237-10
NR103--MA0591.1.Bach1::Mafk	chr1	32104206	32104220	+	0.000	0.000	Merged-chr1-32104339-13
NR8614--MA0089.1.MAFG::NFE2L1	chr2	167936102	167936107	+	0.000	0.000	Merged-chr2-167936072-3
NR5915--MA0089.1.MAFG::NFE2L1	chr16	76354384	76354389	+	0.000	0.000	Merged-chr16-76354540-16
NR4364--MA0591.1.Bach1::Mafk	chr14	14715940	14715954	+	0.000	0.000	Merged-chr14-14716073-16
NR7760--MA0089.1.MAFG::NFE2L1	chr2	59056036	59056041	+	0.000	0.000	Merged-chr2-59055992-29
NR8683--MA0591.1.Bach1::Mafk	chr2	173048238	173048252	+	0.000	0.000	Merged-chr2-173048246-44
NR7010--MA0659.1.MAFG	chr18	75304849	75304869	+	0.000	0.000	Merged-chr18-75304696-39
NR1480--MA0496.2.MAFK	chr10	40165138	40165156	-	0.000	0.000	Merged-chr10-40165050-35
NR12203--MA0501.1.MAF::NFE2	chr6	120955347	120955361	-	0.000	0.000	Merged-chr6-120955395-24
NR9631--MA0495.2.MAFF	chr3	146776671	146776691	-	0.000	0.000	Merged-chr3-146776816-2
NR6147--MA0591.1.Bach1::Mafk	chr17	9002575	9002589	-	0.000	0.000	Merged-chr17-9002640-32
NR3649--MA0659.1.MAFG	chr13	29805496	29805516	+	0.000	0.000	Merged-chr13-29805422-4
NR9823--MA0496.2.MAFK	chr4	24569374	24569392	-	0.000	0.000	Merged-chr4-24569297-30
NR356--MA0495.2.MAFF	chr1	78422793	78422813	-	0.000	0.000	Merged-chr1-78422740-38
NR5589--MA0496.2.MAFK	chr16	24391326	24391344	-	0.000	0.000	Merged-chr16-24391314-24
NR4396--MA0089.1.MAFG::NFE2L1	chr14	21076305	21076310	-	0.000	0.000	Merged-chr14-21076122-62
NR141--MA0495.2.MAFF	chr1	37308181	37308201	-	0.000	0.000	Merged-chr1-37308112-49
NR5511--MA0089.1.MAFG::NFE2L1	chr16	11646904	11646909	-	0.000	0.000	Merged-chr16-11646915-14
NR13354--MA0501.1.MAF::NFE2	chr7	143629598	143629612	+	0.000	0.000	Merged-chr7-143629700-38
NR5262--MA0501.1.MAF::NFE2	chr15	65795872	65795886	-	0.000	0.000	Merged-chr15-65795798-23
NR12533--MA0496.2.MAFK	chr6	148914014	148914032	+	0.000	0.000	Merged-chr6-148914162-22
NR4987--MA0089.1.MAFG::NFE2L1	chr14	121279416	121279421	-	0.000	0.000	Merged-chr14-121279286-44
NR14194--MA0495.2.MAFF	chr9	34996151	34996171	-	0.000	0.000	Merged-chr9-34996088-18
NR6642--MA0089.1.MAFG::NFE2L1	chr18	5334382	5334387	-	0.000	0.000	Merged-chr18-5334580-80
NR8991--MA0089.1.MAFG::NFE2L1	chr3	61344221	61344226	+	0.000	0.000	Merged-chr3-61344207-16
NR14181--MA0501.1.MAF::NFE2	chr9	32652416	32652430	+	0.000	0.000	Merged-chr9-32652377-47
NR9556--MA0089.1.MAFG::NFE2L1	chr3	138992831	138992836	-	0.000	0.000	Merged-chr3-138992913-17
NR358--MA0659.1.MAFG	chr1	78422793	78422813	-	0.000	0.000	Merged-chr1-78422740-38
NR13722--MA0089.1.MAFG::NFE2L1	chr8	84257256	84257261	-	0.000	0.000	Merged-chr8-84257332-3
NR3528--MA0117.2.Mafb	chr13	3782690	3782701	-	0.000	0.000	Merged-chr13-3782702-4
NR6914--MA0117.2.Mafb	chr18	64516559	64516570	-	0.000	0.000	Merged-chr18-64516532-71
NR12622--MA0591.1.Bach1::Mafk	chr7	25120360	25120374	+	0.000	0.000	Merged-chr7-25120558-69
NR7157--MA0501.1.MAF::NFE2	chr19	5816030	5816044	-	0.000	0.000	Merged-chr19-5816092-50
NR13088--MA0117.2.Mafb	chr7	114817825	114817836	-	0.000	0.000	Merged-chr7-114817676-52
NR3869--MA0089.1.MAFG::NFE2L1	chr13	62785874	62785879	+	0.000	0.000	Merged-chr13-62785718-57
NR14196--MA0659.1.MAFG	chr9	34996151	34996171	+	0.000	0.000	Merged-chr9-34996088-18
NR6944--MA0089.1.MAFG::NFE2L1	chr18	67390124	67390129	+	0.000	0.000	Merged-chr18-67389985-1
NR14807--MA0496.2.MAFK	chrX	7308347	7308365	-	0.000	0.000	Merged-chrX-7308441-13
NR9403--MA0495.2.MAFF	chr3	121874812	121874832	+	0.000	0.000	Merged-chr3-121874730-10
NR5900--MA0089.1.MAFG::NFE2L1	chr16	75823556	75823561	-	0.000	0.000	Merged-chr16-75823473-28
NR2459--MA0495.2.MAFF	chr11	62185075	62185095	-	0.000	0.000	Merged-chr11-62185170-13
NR9768--MA0591.1.Bach1::Mafk	chr4	11016765	11016779	+	0.000	0.000	Merged-chr4-11016850-8
NR5216--MA0501.1.MAF::NFE2	chr15	58927827	58927841	-	0.000	0.000	Merged-chr15-58927815-41
NR7480--MA0117.2.Mafb	chr2	9997638	9997649	+	0.000	0.000	Merged-chr2-9997770-18
NR1971--MA0089.1.MAFG::NFE2L1	chr10	111924221	111924226	+	0.000	0.000	Merged-chr10-111924366-28
NR12236--MA0591.1.Bach1::Mafk	chr6	124805730	124805744	+	0.000	0.000	Merged-chr6-124805887-69
NR7018--MA0089.1.MAFG::NFE2L1	chr18	75695160	75695165	+	0.000	0.000	Merged-chr18-75695286-58
NR7620--MA0591.1.Bach1::Mafk	chr2	34826229	34826243	-	0.000	0.000	Merged-chr2-34826203-51
