#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Bcl6/Prdm1KO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Prdm1KO_Tfh_vs_WT_Tfh.up.bed
NR865--MA0463.1.Bcl6	chr17	83850592	83850605	+	0.000	0.000	Merged-chr17-83850809-47
NR256--MA0731.1.BCL6B	chr10	128015416	128015432	-	0.000	0.000	Merged-chr10-128015228-41
NR404--MA0463.1.Bcl6	chr12	52818819	52818832	-	0.000	0.000	Merged-chr12-52818712-31
NR29--MA0463.1.Bcl6	chr1	60979578	60979591	-	0.000	0.000	Merged-chr1-60979583-29
NR1784--MA0463.1.Bcl6	chr7	130812771	130812784	-	0.000	0.000	Merged-chr7-130812664-20
NR637--MA0463.1.Bcl6	chr14	70100101	70100114	+	0.000	0.000	Merged-chr14-70100170-54
NR427--MA0463.1.Bcl6	chr12	80887378	80887391	-	0.000	0.000	Merged-chr12-80887298-29
NR1471--MA0463.1.Bcl6	chr5	76853850	76853863	+	0.000	0.000	Merged-chr5-76853838-28
NR519--MA0731.1.BCL6B	chr13	45651940	45651956	+	0.000	0.000	Merged-chr13-45651981-2
NR691--MA0463.1.Bcl6	chr15	38283001	38283014	+	0.000	0.000	Merged-chr15-38282908-49
NR445--MA0463.1.Bcl6	chr12	102069859	102069872	-	0.000	0.000	Merged-chr12-102069942-3
NR230--MA0463.1.Bcl6	chr10	105841471	105841484	-	0.000	0.000	Merged-chr10-105841335-60
NR1131--MA0463.1.Bcl6	chr2	167505401	167505414	-	0.000	0.000	Merged-chr2-167505349-52
NR463--MA0463.1.Bcl6	chr12	113879142	113879155	-	0.000	0.000	Merged-chr12-113879117-17
NR336--MA0731.1.BCL6B	chr11	97662228	97662244	+	0.000	0.000	Merged-chr11-97662254-27
NR1941--MA0731.1.BCL6B	chr9	46273043	46273059	+	0.000	0.000	Merged-chr9-46273034-67
NR1803--MA0463.1.Bcl6	chr7	140193006	140193019	-	0.000	0.000	Merged-chr7-140193008-50
NR697--MA0731.1.BCL6B	chr15	55106667	55106683	-	0.000	0.000	Merged-chr15-55106704-24
NR920--MA0463.1.Bcl6	chr18	73548730	73548743	+	0.000	0.000	Merged-chr18-73548790-35
NR1266--MA0463.1.Bcl6	chr3	137955595	137955608	+	0.000	0.000	Merged-chr3-137955835-60
NR1051--MA0463.1.Bcl6	chr2	72114344	72114357	-	0.000	0.000	Merged-chr2-72114293-55
NR477--MA0463.1.Bcl6	chr12	117678925	117678938	+	0.000	0.000	Merged-chr12-117679056-43
NR1553--MA0731.1.BCL6B	chr6	4052892	4052908	+	0.000	0.000	Merged-chr6-4052918-3
NR2059--MA0731.1.BCL6B	chrX	113074894	113074910	-	0.000	0.000	Merged-chrX-113075086-29
NR2007--MA0463.1.Bcl6	chr9	104373447	104373460	+	0.000	0.000	Merged-chr9-104373447-21
NR1423--MA0731.1.BCL6B	chr5	3508574	3508590	+	0.000	0.000	Merged-chr5-3508647-19
NR164--MA0463.1.Bcl6	chr10	11450003	11450016	+	0.000	0.000	Merged-chr10-11450038-22
NR1880--MA0731.1.BCL6B	chr8	107505469	107505485	-	0.000	0.000	Merged-chr8-107505522-28
NR952--MA0463.1.Bcl6	chr19	18585995	18586008	+	0.000	0.000	Merged-chr19-18585992-5
NR1261--MA0731.1.BCL6B	chr3	136743010	136743026	+	0.000	0.000	Merged-chr3-136742959-57
NR1750--MA0731.1.BCL6B	chr7	101310836	101310852	-	0.000	0.000	Merged-chr7-101310709-58
NR1545--MA0731.1.BCL6B	chr5	149427427	149427443	-	0.000	0.000	Merged-chr5-149427432-30
NR429--MA0731.1.BCL6B	chr12	82470805	82470821	+	0.000	0.000	Merged-chr12-82470743-2
NR1088--MA0463.1.Bcl6	chr2	126499986	126499999	+	0.000	0.000	Merged-chr2-126499929-54
NR18--MA0463.1.Bcl6	chr1	39196811	39196824	+	0.000	0.000	Merged-chr1-39196974-45
NR1312--MA0463.1.Bcl6	chr4	41708498	41708511	+	0.000	0.000	Merged-chr4-41708469-7
NR890--MA0463.1.Bcl6	chr18	39359391	39359404	-	0.000	0.000	Merged-chr18-39359497-11
NR54--MA0463.1.Bcl6	chr1	85894504	85894517	+	0.000	0.000	Merged-chr1-85894541-45
NR756--MA0463.1.Bcl6	chr16	29977891	29977904	-	0.000	0.000	Merged-chr16-29977874-22
NR1451--MA0463.1.Bcl6	chr5	43837488	43837501	+	0.000	0.000	Merged-chr5-43837616-20
NR1898--MA0731.1.BCL6B	chr8	123287619	123287635	+	0.000	0.000	Merged-chr8-123287508-25
NR1563--MA0463.1.Bcl6	chr6	30401863	30401876	+	0.000	0.000	Merged-chr6-30401803-70
NR201--MA0463.1.Bcl6	chr10	77984599	77984612	+	0.000	0.000	Merged-chr10-77984793-34
NR1317--MA0463.1.Bcl6	chr4	46404354	46404367	-	0.000	0.000	Merged-chr4-46404308-42
NR322--MA0463.1.Bcl6	chr11	80666516	80666529	+	0.000	0.000	Merged-chr11-80666360-28
NR77--MA0463.1.Bcl6	chr1	127732848	127732861	+	0.000	0.000	Merged-chr1-127732945-24
NR676--MA0463.1.Bcl6	chr14	122754731	122754744	-	0.000	0.000	Merged-chr14-122754701-5
NR1700--MA0731.1.BCL6B	chr7	47007890	47007906	-	0.000	0.000	Merged-chr7-47007764-1
NR1952--MA0731.1.BCL6B	chr9	61664154	61664170	+	0.000	0.000	Merged-chr9-61664278-40
NR1476--MA0731.1.BCL6B	chr5	86841518	86841534	+	0.000	0.000	Merged-chr5-86841347-21
NR1062--MA0731.1.BCL6B	chr2	84715611	84715627	-	0.000	0.000	Merged-chr2-84715437-136
NR1022--MA0463.1.Bcl6	chr2	44886908	44886921	+	0.000	0.000	Merged-chr2-44886860-30
NR1904--MA0463.1.Bcl6	chr8	125681375	125681388	-	0.000	0.000	Merged-chr8-125681275-28
NR94--MA0731.1.BCL6B	chr1	144689062	144689078	+	0.000	0.000	Merged-chr1-144689065-18
NR108--MA0731.1.BCL6B	chr1	155293642	155293658	+	0.000	0.000	Merged-chr1-155293636-24
NR354--MA0463.1.Bcl6	chr11	109591722	109591735	+	0.000	0.000	Merged-chr11-109591660-26
NR1508--MA0731.1.BCL6B	chr5	121185064	121185080	+	0.000	0.000	Merged-chr5-121185063-20
NR1255--MA0463.1.Bcl6	chr3	131250572	131250585	+	0.000	0.000	Merged-chr3-131250529-24
NR1922--MA0463.1.Bcl6	chr9	20581378	20581391	-	0.000	0.000	Merged-chr9-20581482-47
NR1965--MA0731.1.BCL6B	chr9	74142086	74142102	-	0.000	0.000	Merged-chr9-74142084-19
NR1869--MA0731.1.BCL6B	chr8	95428235	95428251	+	0.000	0.000	Merged-chr8-95428212-77
NR1940--MA0463.1.Bcl6	chr9	46273043	46273056	-	0.000	0.000	Merged-chr9-46273034-67
NR770--MA0731.1.BCL6B	chr16	49804388	49804404	+	0.000	0.000	Merged-chr16-49804249-6
NR596--MA0463.1.Bcl6	chr14	16256347	16256360	+	0.000	0.000	Merged-chr14-16256161-59
NR238--MA0463.1.Bcl6	chr10	115184857	115184870	+	0.000	0.000	Merged-chr10-115184922-20
NR1564--MA0731.1.BCL6B	chr6	31076174	31076190	-	0.000	0.000	Merged-chr6-31076077-28
NR1497--MA0463.1.Bcl6	chr5	107648917	107648930	+	0.000	0.000	Merged-chr5-107649073-49
NR531--MA0731.1.BCL6B	chr13	63340074	63340090	-	0.000	0.000	Merged-chr13-63340215-26
NR1421--MA0731.1.BCL6B	chr4	156008434	156008450	-	0.000	0.000	Merged-chr4-156008555-53
NR1927--MA0463.1.Bcl6	chr9	35117633	35117646	+	0.000	0.000	Merged-chr9-35117725-13
NR640--MA0731.1.BCL6B	chr14	72887683	72887699	+	0.000	0.000	Merged-chr14-72887877-24
NR1824--MA0463.1.Bcl6	chr8	31215210	31215223	-	0.000	0.000	Merged-chr8-31215317-8
NR816--MA0463.1.Bcl6	chr17	13542020	13542033	-	0.000	0.000	Merged-chr17-13541856-5
NR1708--MA0463.1.Bcl6	chr7	64373942	64373955	-	0.000	0.000	Merged-chr7-64373946-61
NR2019--MA0463.1.Bcl6	chr9	114762002	114762015	+	0.000	0.000	Merged-chr9-114761950-4
NR871--MA0731.1.BCL6B	chr17	87459657	87459673	+	0.000	0.000	Merged-chr17-87459671-41
NR158--MA0463.1.Bcl6	chr1	193576010	193576023	-	0.000	0.000	Merged-chr1-193576113-28
NR1520--MA0463.1.Bcl6	chr5	134437612	134437625	-	0.000	0.000	Merged-chr5-134437601-35
NR1208--MA0731.1.BCL6B	chr3	95434408	95434424	-	0.000	0.000	Merged-chr3-95434415-68
NR843--MA0463.1.Bcl6	chr17	56885000	56885013	+	0.000	0.000	Merged-chr17-56885050-19
NR1189--MA0463.1.Bcl6	chr3	79210354	79210367	+	0.000	0.000	Merged-chr3-79210417-27
NR470--MA0731.1.BCL6B	chr12	116145734	116145750	+	0.000	0.000	Merged-chr12-116145624-72
NR1155--MA0731.1.BCL6B	chr3	9718981	9718997	-	0.000	0.000	Merged-chr3-9719164-20
NR16--MA0463.1.Bcl6	chr1	37000525	37000538	-	0.000	0.000	Merged-chr1-37000533-36
NR718--MA0463.1.Bcl6	chr15	80149805	80149818	+	0.000	0.000	Merged-chr15-80149719-49
NR1404--MA0463.1.Bcl6	chr4	139578434	139578447	+	0.000	0.000	Merged-chr4-139578524-2
NR44--MA0731.1.BCL6B	chr1	81516646	81516662	+	0.000	0.000	Merged-chr1-81516674-2
NR1422--MA0463.1.Bcl6	chr5	3497909	3497922	-	0.000	0.000	Merged-chr5-3497810-31
NR1168--MA0731.1.BCL6B	chr3	31145929	31145945	-	0.000	0.000	Merged-chr3-31145985-42
NR43--MA0463.1.Bcl6	chr1	81516646	81516659	-	0.000	0.000	Merged-chr1-81516674-2
NR754--MA0463.1.Bcl6	chr16	21794450	21794463	-	0.000	0.000	Merged-chr16-21794397-74
NR1440--MA0463.1.Bcl6	chr5	21192572	21192585	+	0.000	0.000	Merged-chr5-21192683-24
NR1309--MA0731.1.BCL6B	chr4	32869023	32869039	+	0.000	0.000	Merged-chr4-32869066-16
NR1879--MA0463.1.Bcl6	chr8	107505472	107505485	+	0.000	0.000	Merged-chr8-107505522-28
NR884--MA0463.1.Bcl6	chr18	21300319	21300332	-	0.000	0.000	Merged-chr18-21300237-62
NR1324--MA0463.1.Bcl6	chr4	53385078	53385091	+	0.000	0.000	Merged-chr4-53384912-31
NR441--MA0463.1.Bcl6	chr12	99407123	99407136	+	0.000	0.000	Merged-chr12-99407209-65
NR768--MA0463.1.Bcl6	chr16	49500775	49500788	+	0.000	0.000	Merged-chr16-49500895-40
NR6--MA0463.1.Bcl6	chr1	21314432	21314445	+	0.000	0.000	Merged-chr1-21314472-2
NR964--MA0731.1.BCL6B	chr19	34193291	34193307	-	0.000	0.000	Merged-chr19-34193421-11
NR1378--MA0731.1.BCL6B	chr4	121002575	121002591	-	0.000	0.000	Merged-chr4-121002570-50
NR558--MA0463.1.Bcl6	chr13	99483698	99483711	+	0.000	0.000	Merged-chr13-99483602-15
NR1911--MA0463.1.Bcl6	chr8	128333551	128333564	-	0.000	0.000	Merged-chr8-128333532-18
NR1182--MA0731.1.BCL6B	chr3	67573297	67573313	+	0.000	0.000	Merged-chr3-67573176-41
NR1150--MA0463.1.Bcl6	chr2	179975347	179975360	+	0.000	0.000	Merged-chr2-179975451-14
NR576--MA0463.1.Bcl6	chr13	108542527	108542540	+	0.000	0.000	Merged-chr13-108542500-7
NR361--MA0463.1.Bcl6	chr11	114554283	114554296	-	0.000	0.000	Merged-chr11-114554350-35
NR738--MA0731.1.BCL6B	chr15	97355992	97356008	-	0.000	0.000	Merged-chr15-97356067-61
NR1374--MA0463.1.Bcl6	chr4	119897624	119897637	+	0.000	0.000	Merged-chr4-119897419-50
NR1804--MA0463.1.Bcl6	chr7	142435488	142435501	+	0.000	0.000	Merged-chr7-142435660-33
NR348--MA0463.1.Bcl6	chr11	104549616	104549629	-	0.000	0.000	Merged-chr11-104549653-13
NR1034--MA0463.1.Bcl6	chr2	55251567	55251580	+	0.000	0.000	Merged-chr2-55251694-22
NR366--MA0463.1.Bcl6	chr11	116377261	116377274	-	0.000	0.000	Merged-chr11-116377399-54
NR1934--MA0463.1.Bcl6	chr9	41935923	41935936	+	0.000	0.000	Merged-chr9-41935840-14
NR97--MA0731.1.BCL6B	chr1	151613380	151613396	-	0.000	0.000	Merged-chr1-151613371-29
NR1379--MA0463.1.Bcl6	chr4	121002613	121002626	+	0.000	0.000	Merged-chr4-121002570-50
NR316--MA0731.1.BCL6B	chr11	79254563	79254579	-	0.000	0.000	Merged-chr11-79254541-64
NR1970--MA0463.1.Bcl6	chr9	77544966	77544979	+	0.000	0.000	Merged-chr9-77544648-151
NR425--MA0731.1.BCL6B	chr12	80642984	80643000	-	0.000	0.000	Merged-chr12-80642937-15
NR786--MA0731.1.BCL6B	chr16	64770965	64770981	-	0.000	0.000	Merged-chr16-64770922-80
NR372--MA0731.1.BCL6B	chr11	117989987	117990003	+	0.000	0.000	Merged-chr11-117990122-16
NR2062--MA0463.1.Bcl6	chrX	151521073	151521086	-	0.000	0.000	Merged-chrX-151521261-1
NR1738--MA0463.1.Bcl6	chr7	90059404	90059417	-	0.000	0.000	Merged-chr7-90059452-5
NR743--MA0463.1.Bcl6	chr16	10725311	10725324	+	0.000	0.000	Merged-chr16-10725277-18
NR460--MA0731.1.BCL6B	chr12	113485485	113485501	+	0.000	0.000	Merged-chr12-113485346-21
NR1868--MA0463.1.Bcl6	chr8	95428235	95428248	-	0.000	0.000	Merged-chr8-95428212-77
NR364--MA0731.1.BCL6B	chr11	115628145	115628161	+	0.000	0.000	Merged-chr11-115628140-53
NR515--MA0463.1.Bcl6	chr13	41097586	41097599	+	0.000	0.000	Merged-chr13-41097728-40
NR1680--MA0463.1.Bcl6	chr7	16784767	16784780	-	0.000	0.000	Merged-chr7-16784780-17
NR412--MA0463.1.Bcl6	chr12	65172677	65172690	-	0.000	0.000	Merged-chr12-65172767-62
NR744--MA0731.1.BCL6B	chr16	11034623	11034639	+	0.000	0.000	Merged-chr16-11034584-21
NR739--MA0463.1.Bcl6	chr15	97374078	97374091	-	0.000	0.000	Merged-chr15-97373973-3
NR1434--MA0463.1.Bcl6	chr5	15463353	15463366	+	0.000	0.000	Merged-chr5-15463395-183
NR430--MA0463.1.Bcl6	chr12	84617495	84617508	+	0.000	0.000	Merged-chr12-84617513-53
NR55--MA0463.1.Bcl6	chr1	86344411	86344424	+	0.000	0.000	Merged-chr1-86344486-59
NR138--MA0731.1.BCL6B	chr1	178187462	178187478	+	0.000	0.000	Merged-chr1-178187385-1
NR452--MA0731.1.BCL6B	chr12	110845130	110845146	+	0.000	0.000	Merged-chr12-110845171-33
NR1676--MA0463.1.Bcl6	chr7	4083103	4083116	+	0.000	0.000	Merged-chr7-4082893-63
NR247--MA0731.1.BCL6B	chr10	118407040	118407056	-	0.000	0.000	Merged-chr10-118407091-36
NR1582--MA0463.1.Bcl6	chr6	54752285	54752298	-	0.000	0.000	Merged-chr6-54752219-16
NR793--MA0463.1.Bcl6	chr16	90455790	90455803	-	0.000	0.000	Merged-chr16-90455724-1
NR627--MA0731.1.BCL6B	chr14	62879606	62879622	-	0.000	0.000	Merged-chr14-62879632-33
NR988--MA0731.1.BCL6B	chr2	4299147	4299163	-	0.000	0.000	Merged-chr2-4299012-15
NR565--MA0463.1.Bcl6	chr13	102773450	102773463	+	0.000	0.000	Merged-chr13-102773383-12
NR350--MA0463.1.Bcl6	chr11	106536328	106536341	+	0.000	0.000	Merged-chr11-106536245-61
NR677--MA0463.1.Bcl6	chr15	5758803	5758816	+	0.000	0.000	Merged-chr15-5758752-33
NR319--MA0463.1.Bcl6	chr11	80499937	80499950	+	0.000	0.000	Merged-chr11-80499798-1
NR606--MA0731.1.BCL6B	chr14	30266117	30266133	+	0.000	0.000	Merged-chr14-30265946-17
NR1484--MA0463.1.Bcl6	chr5	96919191	96919204	-	0.000	0.000	Merged-chr5-96919308-24
NR587--MA0731.1.BCL6B	chr13	114885445	114885461	-	0.000	0.000	Merged-chr13-114885380-13
NR695--MA0463.1.Bcl6	chr15	54919970	54919983	+	0.000	0.000	Merged-chr15-54920011-57
NR239--MA0731.1.BCL6B	chr10	115184854	115184870	-	0.000	0.000	Merged-chr10-115184922-20
NR1129--MA0731.1.BCL6B	chr2	166264948	166264964	-	0.000	0.000	Merged-chr2-166264997-23
NR696--MA0731.1.BCL6B	chr15	54919967	54919983	-	0.000	0.000	Merged-chr15-54920011-57
NR243--MA0463.1.Bcl6	chr10	117209617	117209630	-	0.000	0.000	Merged-chr10-117209655-32
NR449--MA0463.1.Bcl6	chr12	108765905	108765918	+	0.000	0.000	Merged-chr12-108765872-68
NR1135--MA0463.1.Bcl6	chr2	169061754	169061767	-	0.000	0.000	Merged-chr2-169061680-26
NR355--MA0463.1.Bcl6	chr11	109671896	109671909	+	0.000	0.000	Merged-chr11-109672054-52
NR109--MA0731.1.BCL6B	chr1	156408130	156408146	-	0.000	0.000	Merged-chr1-156408256-35
NR579--MA0463.1.Bcl6	chr13	109232250	109232263	+	0.000	0.000	Merged-chr13-109232171-58
NR837--MA0731.1.BCL6B	chr17	50291676	50291692	-	0.000	0.000	Merged-chr17-50291771-9
NR127--MA0463.1.Bcl6	chr1	172376806	172376819	-	0.000	0.000	Merged-chr1-172376760-99
NR1028--MA0463.1.Bcl6	chr2	52570335	52570348	-	0.000	0.000	Merged-chr2-52570542-44
NR700--MA0463.1.Bcl6	chr15	58171635	58171648	-	0.000	0.000	Merged-chr15-58171434-29
NR812--MA0463.1.Bcl6	chr17	7905022	7905035	+	0.000	0.000	Merged-chr17-7905100-9
NR257--MA0463.1.Bcl6	chr11	3193514	3193527	-	0.000	0.000	Merged-chr11-3193402-56
NR165--MA0731.1.BCL6B	chr10	13057151	13057167	-	0.000	0.000	Merged-chr10-13057097-43
NR1158--MA0463.1.Bcl6	chr3	10682195	10682208	+	0.000	0.000	Merged-chr3-10682149-13
NR830--MA0463.1.Bcl6	chr17	43233050	43233063	+	0.000	0.000	Merged-chr17-43233095-49
NR1055--MA0463.1.Bcl6	chr2	79005096	79005109	+	0.000	0.000	Merged-chr2-79004997-23
NR1945--MA0731.1.BCL6B	chr9	52259708	52259724	+	0.000	0.000	Merged-chr9-52259787-26
NR181--MA0463.1.Bcl6	chr10	37207156	37207169	+	0.000	0.000	Merged-chr10-37207171-14
NR1955--MA0463.1.Bcl6	chr9	62509424	62509437	+	0.000	0.000	Merged-chr9-62509515-27
NR293--MA0463.1.Bcl6	chr11	54492681	54492694	-	0.000	0.000	Merged-chr11-54492562-47
NR1615--MA0463.1.Bcl6	chr6	108875994	108876007	+	0.000	0.000	Merged-chr6-108876104-51
NR1400--MA0463.1.Bcl6	chr4	136031602	136031615	+	0.000	0.000	Merged-chr4-136031447-41
NR1401--MA0731.1.BCL6B	chr4	136031599	136031615	-	0.000	0.000	Merged-chr4-136031447-41
NR1924--MA0731.1.BCL6B	chr9	32594531	32594547	+	0.000	0.000	Merged-chr9-32594541-47
NR157--MA0731.1.BCL6B	chr1	193303728	193303744	+	0.000	0.000	Merged-chr1-193303652-18
NR428--MA0731.1.BCL6B	chr12	80887378	80887394	+	0.000	0.000	Merged-chr12-80887298-29
NR844--MA0463.1.Bcl6	chr17	57124829	57124842	+	0.000	0.000	Merged-chr17-57124923-1
NR965--MA0463.1.Bcl6	chr19	34290522	34290535	+	0.000	0.000	Merged-chr19-34290594-61
NR1523--MA0731.1.BCL6B	chr5	136929158	136929174	-	0.000	0.000	Merged-chr5-136929293-20
NR1405--MA0463.1.Bcl6	chr4	140867309	140867322	+	0.000	0.000	Merged-chr4-140867435-11
NR410--MA0463.1.Bcl6	chr12	59162397	59162410	-	0.000	0.000	Merged-chr12-59162484-1
NR1302--MA0463.1.Bcl6	chr4	6513082	6513095	-	0.000	0.000	Merged-chr4-6513131-20
NR1632--MA0731.1.BCL6B	chr6	121017494	121017510	+	0.000	0.000	Merged-chr6-121017523-33
NR1781--MA0463.1.Bcl6	chr7	128392783	128392796	-	0.000	0.000	Merged-chr7-128392760-60
NR849--MA0463.1.Bcl6	chr17	65546290	65546303	-	0.000	0.000	Merged-chr17-65546399-18
NR1893--MA0463.1.Bcl6	chr8	120206092	120206105	-	0.000	0.000	Merged-chr8-120206117-13
NR1441--MA0463.1.Bcl6	chr5	21786687	21786700	-	0.000	0.000	Merged-chr5-21786800-52
NR1647--MA0463.1.Bcl6	chr6	135011564	135011577	-	0.000	0.000	Merged-chr6-135011680-51
NR1645--MA0731.1.BCL6B	chr6	134124678	134124694	+	0.000	0.000	Merged-chr6-134124552-10
NR867--MA0463.1.Bcl6	chr17	84336287	84336300	+	0.000	0.000	Merged-chr17-84336226-16
NR1611--MA0731.1.BCL6B	chr6	100011675	100011691	+	0.000	0.000	Merged-chr6-100011850-11
NR258--MA0731.1.BCL6B	chr11	3193514	3193530	+	0.000	0.000	Merged-chr11-3193402-56
NR1419--MA0463.1.Bcl6	chr4	155761221	155761234	-	0.000	0.000	Merged-chr4-155761063-52
NR80--MA0463.1.Bcl6	chr1	131110763	131110776	+	0.000	0.000	Merged-chr1-131110812-66
NR639--MA0463.1.Bcl6	chr14	72887683	72887696	-	0.000	0.000	Merged-chr14-72887877-24
NR424--MA0463.1.Bcl6	chr12	79600602	79600615	-	0.000	0.000	Merged-chr12-79600444-23
NR769--MA0463.1.Bcl6	chr16	49804388	49804401	-	0.000	0.000	Merged-chr16-49804249-6
NR102--MA0463.1.Bcl6	chr1	153712929	153712942	+	0.000	0.000	Merged-chr1-153712801-6
NR308--MA0463.1.Bcl6	chr11	71996080	71996093	-	0.000	0.000	Merged-chr11-71996185-51
NR787--MA0463.1.Bcl6	chr16	75920952	75920965	-	0.000	0.000	Merged-chr16-75921068-56
NR1688--MA0463.1.Bcl6	chr7	25644263	25644276	-	0.000	0.000	Merged-chr7-25644374-3
NR1332--MA0731.1.BCL6B	chr4	62757023	62757039	+	0.000	0.000	Merged-chr4-62756958-63
NR1998--MA0731.1.BCL6B	chr9	94668742	94668758	-	0.000	0.000	Merged-chr9-94668774-42
NR2043--MA0731.1.BCL6B	chrX	59590677	59590693	+	0.000	0.000	Merged-chrX-59590755-8
NR1170--MA0731.1.BCL6B	chr3	38483600	38483616	-	0.000	0.000	Merged-chr3-38483771-17
NR1912--MA0463.1.Bcl6	chr8	128506209	128506222	+	0.000	0.000	Merged-chr8-128506100-25
NR2056--MA0731.1.BCL6B	chrX	104587399	104587415	+	0.000	0.000	Merged-chrX-104587558-7
NR99--MA0463.1.Bcl6	chr1	152733408	152733421	+	0.000	0.000	Merged-chr1-152733286-16
NR349--MA0463.1.Bcl6	chr11	104581875	104581888	+	0.000	0.000	Merged-chr11-104581782-46
NR246--MA0463.1.Bcl6	chr10	118407043	118407056	+	0.000	0.000	Merged-chr10-118407091-36
