#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.dn.bed
NR4961--MA0501.1.MAF::NFE2	chr16	44778937	44778951	-	0.000	0.000	Merged-chr16-44778885-37
NR11697--MA0501.1.MAF::NFE2	chr8	36184258	36184272	+	0.000	0.000	Merged-chr8-36184209-47
NR5251--MA0495.2.MAFF	chr16	96358152	96358172	+	0.000	0.000	Merged-chr16-96358039-35
NR3862--MA0501.1.MAF::NFE2	chr13	119657428	119657442	-	0.000	0.000	Merged-chr13-119657260-10
NR3734--MA0495.2.MAFF	chr13	109822600	109822620	+	0.000	0.000	Merged-chr13-109822486-79
NR11708--MA0089.1.MAFG::NFE2L1	chr8	46636515	46636520	+	0.000	0.000	Merged-chr8-46636605-4
NR2763--MA0501.1.MAF::NFE2	chr12	72844375	72844389	-	0.000	0.000	Merged-chr12-72844339-47
NR2646--MA0659.1.MAFG	chr12	26398791	26398811	+	0.000	0.000	Merged-chr12-26398856-20
NR11738--MA0591.1.Bach1::Mafk	chr8	66495990	66496004	-	0.000	0.000	Merged-chr8-66495916-40
NR9337--MA0496.2.MAFK	chr5	67437632	67437650	-	0.000	0.000	Merged-chr5-67437495-24
NR11768--MA0495.2.MAFF	chr8	70635680	70635700	+	0.000	0.000	Merged-chr8-70635559-11
NR5005--MA0495.2.MAFF	chr16	52468520	52468540	-	0.000	0.000	Merged-chr16-52468577-24
NR4439--MA0089.1.MAFG::NFE2L1	chr15	37193060	37193065	+	0.000	0.000	Merged-chr15-37193081-4
NR3567--MA0591.1.Bach1::Mafk	chr13	91091605	91091619	-	0.000	0.000	Merged-chr13-91091674-66
NR729--MA0496.2.MAFK	chr1	163383764	163383782	-	0.000	0.000	Merged-chr1-163383772-21
NR842--MA0089.1.MAFG::NFE2L1	chr1	175625692	175625697	+	0.000	0.000	Merged-chr1-175625655-94
NR10578--MA0089.1.MAFG::NFE2L1	chr6	136547245	136547250	+	0.000	0.000	Merged-chr6-136547260-16
NR351--MA0089.1.MAFG::NFE2L1	chr1	94056132	94056137	-	0.000	0.000	Merged-chr1-94056150-27
NR10315--MA0496.2.MAFK	chr6	99420833	99420851	+	0.000	0.000	Merged-chr6-99420809-31
NR10100--MA0496.2.MAFK	chr6	54685255	54685273	-	0.000	0.000	Merged-chr6-54685260-34
NR7782--MA0659.1.MAFG	chr3	88503277	88503297	+	0.000	0.000	Merged-chr3-88503323-39
NR4437--MA0591.1.Bach1::Mafk	chr15	36938812	36938826	-	0.000	0.000	Merged-chr15-36938734-87
NR4759--MA0591.1.Bach1::Mafk	chr15	97361204	97361218	+	0.000	0.000	Merged-chr15-97361236-9
NR2756--MA0089.1.MAFG::NFE2L1	chr12	70995435	70995440	+	0.000	0.000	Merged-chr12-70995410-19
NR10902--MA0495.2.MAFF	chr7	30000772	30000792	+	0.000	0.000	Merged-chr7-30000834-5
NR12403--MA0117.2.Mafb	chr9	70761115	70761126	-	0.000	0.000	Merged-chr9-70761160-31
NR7928--MA0591.1.Bach1::Mafk	chr3	107274066	107274080	+	0.000	0.000	Merged-chr3-107274021-28
NR4626--MA0089.1.MAFG::NFE2L1	chr15	76766697	76766702	-	0.000	0.000	Merged-chr15-76766886-28
NR653--MA0089.1.MAFG::NFE2L1	chr1	155196183	155196188	-	0.000	0.000	Merged-chr1-155196106-8
NR2843--MA0089.1.MAFG::NFE2L1	chr12	86971334	86971339	+	0.000	0.000	Merged-chr12-86971344-14
NR12044--MA0089.1.MAFG::NFE2L1	chr8	122989265	122989270	+	0.000	0.000	Merged-chr8-122989184-11
NR8872--MA0659.1.MAFG	chr4	133625795	133625815	-	0.000	0.000	Merged-chr4-133625907-62
NR5804--MA0659.1.MAFG	chr18	34202739	34202759	+	0.000	0.000	Merged-chr18-34202543-19
NR11190--MA0089.1.MAFG::NFE2L1	chr7	101302097	101302102	+	0.000	0.000	Merged-chr7-101301960-107
NR7779--MA0591.1.Bach1::Mafk	chr3	88337492	88337506	-	0.000	0.000	Merged-chr3-88337526-21
NR11517--MA0496.2.MAFK	chr7	136152646	136152664	+	0.000	0.000	Merged-chr7-136152676-10
NR2879--MA0117.2.Mafb	chr12	92823563	92823574	+	0.000	0.000	Merged-chr12-92823421-39
NR2173--MA0501.1.MAF::NFE2	chr11	74444015	74444029	-	0.000	0.000	Merged-chr11-74444076-12
NR10526--MA0591.1.Bach1::Mafk	chr6	128843921	128843935	+	0.000	0.000	Merged-chr6-128843932-5
NR1592--MA0117.2.Mafb	chr10	95964827	95964838	+	0.000	0.000	Merged-chr10-95964744-26
NR4148--MA0089.1.MAFG::NFE2L1	chr14	77906646	77906651	+	0.000	0.000	Merged-chr14-77906717-3
NR12191--MA0501.1.MAF::NFE2	chr9	15530011	15530025	+	0.000	0.000	Merged-chr9-15530031-64
NR9196--MA0089.1.MAFG::NFE2L1	chr5	24842607	24842612	+	0.000	0.000	Merged-chr5-24842624-94
NR4524--MA0089.1.MAFG::NFE2L1	chr15	59618610	59618615	-	0.000	0.000	Merged-chr15-59618561-44
NR2365--MA0089.1.MAFG::NFE2L1	chr11	103776890	103776895	-	0.000	0.000	Merged-chr11-103776919-6
NR1321--MA0089.1.MAFG::NFE2L1	chr10	44403554	44403559	-	0.000	0.000	Merged-chr10-44403501-23
NR1099--MA0591.1.Bach1::Mafk	chr1	192736713	192736727	+	0.000	0.000	Merged-chr1-192736716-7
NR6464--MA0117.2.Mafb	chr2	8628739	8628750	+	0.000	0.000	Merged-chr2-8628681-1
NR6437--MA0591.1.Bach1::Mafk	chr2	3713418	3713432	-	0.000	0.000	Merged-chr2-3713630-67
NR4273--MA0496.2.MAFK	chr14	118796409	118796427	-	0.000	0.000	Merged-chr14-118796395-16
NR5655--MA0089.1.MAFG::NFE2L1	chr17	88060190	88060195	+	0.000	0.000	Merged-chr17-88060218-12
NR11100--MA0089.1.MAFG::NFE2L1	chr7	79392945	79392950	-	0.000	0.000	Merged-chr7-79393101-2
NR3592--MA0591.1.Bach1::Mafk	chr13	92241623	92241637	-	0.000	0.000	Merged-chr13-92241716-35
NR9989--MA0089.1.MAFG::NFE2L1	chr6	24527544	24527549	+	0.000	0.000	Merged-chr6-24527621-68
NR12311--MA0591.1.Bach1::Mafk	chr9	48817501	48817515	+	0.000	0.000	Merged-chr9-48817420-28
NR7254--MA0501.1.MAF::NFE2	chr2	145557511	145557525	-	0.000	0.000	Merged-chr2-145557638-12
NR10085--MA0089.1.MAFG::NFE2L1	chr6	52703429	52703434	-	0.000	0.000	Merged-chr6-52703457-14
NR2103--MA0495.2.MAFF	chr11	62185075	62185095	-	0.000	0.000	Merged-chr11-62185170-13
NR2552--MA0089.1.MAFG::NFE2L1	chr11	120776302	120776307	+	0.000	0.000	Merged-chr11-120776291-32
NR4913--MA0089.1.MAFG::NFE2L1	chr16	33769967	33769972	-	0.000	0.000	Merged-chr16-33769896-51
NR5466--MA0089.1.MAFG::NFE2L1	chr17	46378795	46378800	+	0.000	0.000	Merged-chr17-46378659-16
NR4046--MA0089.1.MAFG::NFE2L1	chr14	59691170	59691175	-	0.000	0.000	Merged-chr14-59691138-19
NR9961--MA0089.1.MAFG::NFE2L1	chr6	13871523	13871528	-	0.000	0.000	Merged-chr6-13871403-58
NR1925--MA0089.1.MAFG::NFE2L1	chr11	20477620	20477625	+	0.000	0.000	Merged-chr11-20477652-51
NR12042--MA0089.1.MAFG::NFE2L1	chr8	122953335	122953340	-	0.000	0.000	Merged-chr8-122953193-36
NR9181--MA0089.1.MAFG::NFE2L1	chr5	20792269	20792274	-	0.000	0.000	Merged-chr5-20792282-29
NR4504--MA0591.1.Bach1::Mafk	chr15	55906989	55907003	-	0.000	0.000	Merged-chr15-55906885-1
NR657--MA0501.1.MAF::NFE2	chr1	155224013	155224027	-	0.000	0.000	Merged-chr1-155224072-96
NR10272--MA0089.1.MAFG::NFE2L1	chr6	91440937	91440942	+	0.000	0.000	Merged-chr6-91441090-75
NR4839--MA0089.1.MAFG::NFE2L1	chr16	10976316	10976321	-	0.000	0.000	Merged-chr16-10976349-23
NR9083--MA0495.2.MAFF	chr5	3358936	3358956	-	0.000	0.000	Merged-chr5-3358967-15
NR1264--MA0495.2.MAFF	chr10	34096552	34096572	+	0.000	0.000	Merged-chr10-34096665-20
NR1521--MA0089.1.MAFG::NFE2L1	chr10	88826826	88826831	-	0.000	0.000	Merged-chr10-88826786-54
NR10831--MA0495.2.MAFF	chr7	19086152	19086172	-	0.000	0.000	Merged-chr7-19086207-16
NR4355--MA0591.1.Bach1::Mafk	chr15	5695181	5695195	+	0.000	0.000	Merged-chr15-5695186-29
NR10273--MA0117.2.Mafb	chr6	91440968	91440979	-	0.000	0.000	Merged-chr6-91441090-75
NR4401--MA0117.2.Mafb	chr15	27627258	27627269	+	0.000	0.000	Merged-chr15-27627368-1
NR2186--MA0591.1.Bach1::Mafk	chr11	76770744	76770758	+	0.000	0.000	Merged-chr11-76770779-7
NR6183--MA0591.1.Bach1::Mafk	chr19	14668744	14668758	-	0.000	0.000	Merged-chr19-14668781-26
NR4086--MA0495.2.MAFF	chr14	68048502	68048522	+	0.000	0.000	Merged-chr14-68048538-29
NR2614--MA0591.1.Bach1::Mafk	chr12	21167487	21167501	-	0.000	0.000	Merged-chr12-21167336-52
NR1266--MA0659.1.MAFG	chr10	34096552	34096572	+	0.000	0.000	Merged-chr10-34096665-20
NR7581--MA0117.2.Mafb	chr3	9715426	9715437	+	0.000	0.000	Merged-chr3-9715345-15
NR3606--MA0089.1.MAFG::NFE2L1	chr13	95592964	95592969	+	0.000	0.000	Merged-chr13-95593068-48
NR10166--MA0659.1.MAFG	chr6	67014762	67014782	+	0.000	0.000	Merged-chr6-67014748-19
NR12068--MA0089.1.MAFG::NFE2L1	chr8	124333691	124333696	-	0.000	0.000	Merged-chr8-124333870-7
NR8647--MA0495.2.MAFF	chr4	97831808	97831828	+	0.000	0.000	Merged-chr4-97831633-55
NR10833--MA0659.1.MAFG	chr7	19086152	19086172	-	0.000	0.000	Merged-chr7-19086207-16
NR2380--MA0591.1.Bach1::Mafk	chr11	106487908	106487922	-	0.000	0.000	Merged-chr11-106487771-62
NR4523--MA0501.1.MAF::NFE2	chr15	59599108	59599122	-	0.000	0.000	Merged-chr15-59599060-30
NR10165--MA0591.1.Bach1::Mafk	chr6	67014765	67014779	-	0.000	0.000	Merged-chr6-67014748-19
NR4992--MA0117.2.Mafb	chr16	52036492	52036503	-	0.000	0.000	Merged-chr16-52036544-1
NR9958--MA0117.2.Mafb	chr6	12082108	12082119	+	0.000	0.000	Merged-chr6-12082002-27
NR6784--MA0591.1.Bach1::Mafk	chr2	65170813	65170827	+	0.000	0.000	Merged-chr2-65170889-79
NR11516--MA0501.1.MAF::NFE2	chr7	136152651	136152665	+	0.000	0.000	Merged-chr7-136152676-10
NR8779--MA0501.1.MAF::NFE2	chr4	119921452	119921466	-	0.000	0.000	Merged-chr4-119921315-32
NR9294--MA0089.1.MAFG::NFE2L1	chr5	57964487	57964492	+	0.000	0.000	Merged-chr5-57964492-18
NR8745--MA0496.2.MAFK	chr4	115984226	115984244	-	0.000	0.000	Merged-chr4-115984376-24
NR9306--MA0089.1.MAFG::NFE2L1	chr5	65091565	65091570	+	0.000	0.000	Merged-chr5-65091600-42
NR7338--MA0495.2.MAFF	chr2	153350989	153351009	+	0.000	0.000	Merged-chr2-153350886-63
NR7739--MA0591.1.Bach1::Mafk	chr3	78958964	78958978	-	0.000	0.000	Merged-chr3-78959037-23
NR12247--MA0501.1.MAF::NFE2	chr9	32730797	32730811	+	0.000	0.000	Merged-chr9-32730710-3
NR1470--MA0501.1.MAF::NFE2	chr10	82859109	82859123	-	0.000	0.000	Merged-chr10-82859313-42
NR6318--MA0089.1.MAFG::NFE2L1	chr19	46617550	46617555	-	0.000	0.000	Merged-chr19-46617524-23
NR11023--MA0117.2.Mafb	chr7	64158958	64158969	+	0.000	0.000	Merged-chr7-64158985-48
NR6384--MA0117.2.Mafb	chr19	56722120	56722131	+	0.000	0.000	Merged-chr19-56721958-31
NR5913--MA0591.1.Bach1::Mafk	chr18	63692318	63692332	-	0.000	0.000	Merged-chr18-63692384-62
NR9910--MA0591.1.Bach1::Mafk	chr6	4086720	4086734	+	0.000	0.000	Merged-chr6-4086905-51
NR7623--MA0089.1.MAFG::NFE2L1	chr3	27183086	27183091	-	0.000	0.000	Merged-chr3-27183188-74
NR1721--MA0089.1.MAFG::NFE2L1	chr10	117393416	117393421	-	0.000	0.000	Merged-chr10-117393432-68
NR10907--MA0496.2.MAFK	chr7	30000773	30000791	-	0.000	0.000	Merged-chr7-30000834-5
NR11352--MA0496.2.MAFK	chr7	116409583	116409601	+	0.000	0.000	Merged-chr7-116409560-37
NR6999--MA0591.1.Bach1::Mafk	chr2	117447054	117447068	+	0.000	0.000	Merged-chr2-117447085-57
NR258--MA0659.1.MAFG	chr1	74398274	74398294	+	0.000	0.000	Merged-chr1-74398237-10
NR7334--MA0089.1.MAFG::NFE2L1	chr2	152788881	152788886	+	0.000	0.000	Merged-chr2-152788714-7,Merged-chr2-152789002-1
NR662--MA0089.1.MAFG::NFE2L1	chr1	156459786	156459791	+	0.000	0.000	Merged-chr1-156459929-41
NR8318--MA0659.1.MAFG	chr3	153764829	153764849	+	0.000	0.000	Merged-chr3-153764846-117
NR12920--MA0089.1.MAFG::NFE2L1	chrX	52988221	52988226	-	0.000	0.000	Merged-chrX-52988248-53
NR12053--MA0089.1.MAFG::NFE2L1	chr8	123319806	123319811	-	0.000	0.000	Merged-chr8-123319889-16
NR12458--MA0659.1.MAFG	chr9	78593280	78593300	-	0.000	0.000	Merged-chr9-78593326-11
NR5498--MA0496.2.MAFK	chr17	56162453	56162471	+	0.000	0.000	Merged-chr17-56162461-54
NR2905--MA0495.2.MAFF	chr12	98674814	98674834	-	0.000	0.000	Merged-chr12-98674935-52
NR4536--MA0659.1.MAFG	chr15	60141740	60141760	-	0.000	0.000	Merged-chr15-60141822-49
NR10034--MA0501.1.MAF::NFE2	chr6	34869614	34869628	+	0.000	0.000	Merged-chr6-34869594-48
NR4465--MA0591.1.Bach1::Mafk	chr15	43477236	43477250	-	0.000	0.000	Merged-chr15-43477381-63
NR11426--MA0089.1.MAFG::NFE2L1	chr7	125621881	125621886	-	0.000	0.000	Merged-chr7-125621906-18
NR8694--MA0659.1.MAFG	chr4	106869719	106869739	+	0.000	0.000	Merged-chr4-106869679-64
NR6997--MA0089.1.MAFG::NFE2L1	chr2	117331935	117331940	+	0.000	0.000	Merged-chr2-117331820-22
NR4157--MA0089.1.MAFG::NFE2L1	chr14	79522562	79522567	-	0.000	0.000	Merged-chr14-79522469-3
NR8320--MA0496.2.MAFK	chr3	153764830	153764848	+	0.000	0.000	Merged-chr3-153764846-117
NR1834--MA0089.1.MAFG::NFE2L1	chr10	127211598	127211603	-	0.000	0.000	Merged-chr10-127211540-55
NR3211--MA0496.2.MAFK	chr13	9082704	9082722	-	0.000	0.000	Merged-chr13-9082570-19
NR10296--MA0089.1.MAFG::NFE2L1	chr6	97277199	97277204	+	0.000	0.000	Merged-chr6-97277155-29
NR12460--MA0496.2.MAFK	chr9	78593281	78593299	+	0.000	0.000	Merged-chr9-78593326-11
NR8448--MA0659.1.MAFG	chr4	24569373	24569393	+	0.000	0.000	Merged-chr4-24569297-30
NR7485--MA0591.1.Bach1::Mafk	chr2	173048238	173048252	-	0.000	0.000	Merged-chr2-173048246-44
NR7119--MA0495.2.MAFF	chr2	128335844	128335864	-	0.000	0.000	Merged-chr2-128335870-5
NR10275--MA0591.1.Bach1::Mafk	chr6	91713042	91713056	-	0.000	0.000	Merged-chr6-91712946-25
NR11237--MA0089.1.MAFG::NFE2L1	chr7	104291783	104291788	-	0.000	0.000	Merged-chr7-104291752-74
NR2589--MA0089.1.MAFG::NFE2L1	chr12	8854550	8854555	+	0.000	0.000	Merged-chr12-8854460-15
NR3328--MA0089.1.MAFG::NFE2L1	chr13	32965638	32965643	+	0.000	0.000	Merged-chr13-32965785-122
NR9317--MA0089.1.MAFG::NFE2L1	chr5	66137392	66137397	+	0.000	0.000	Merged-chr5-66137441-17
NR9757--MA0117.2.Mafb	chr5	134266648	134266659	-	0.000	0.000	Merged-chr5-134266508-58
NR1191--MA0591.1.Bach1::Mafk	chr10	19691915	19691929	-	0.000	0.000	Merged-chr10-19692123-35
NR5843--MA0496.2.MAFK	chr18	43492937	43492955	-	0.000	0.000	Merged-chr18-43493033-11
NR10470--MA0089.1.MAFG::NFE2L1	chr6	124829393	124829398	+	0.000	0.000	Merged-chr6-124829412-146
NR5756--MA0659.1.MAFG	chr18	21020471	21020491	+	0.000	0.000	Merged-chr18-21020432-11
NR10876--MA0591.1.Bach1::Mafk	chr7	28716846	28716860	-	0.000	0.000	Merged-chr7-28716768-36
NR9404--MA0089.1.MAFG::NFE2L1	chr5	86079040	86079045	+	0.000	0.000	Merged-chr5-86079042-21
NR6705--MA0089.1.MAFG::NFE2L1	chr2	52938463	52938468	-	0.000	0.000	Merged-chr2-52938398-15
NR12015--MA0591.1.Bach1::Mafk	chr8	120702288	120702302	-	0.000	0.000	Merged-chr8-120702084-56
NR7255--MA0117.2.Mafb	chr2	145903139	145903150	+	0.000	0.000	Merged-chr2-145903332-51
NR6465--MA0591.1.Bach1::Mafk	chr2	8628742	8628756	-	0.000	0.000	Merged-chr2-8628681-1
NR107--MA0089.1.MAFG::NFE2L1	chr1	43168786	43168791	+	0.000	0.000	Merged-chr1-43168933-57
NR1074--MA0117.2.Mafb	chr1	191402721	191402732	-	0.000	0.000	Merged-chr1-191402800-7
NR8765--MA0089.1.MAFG::NFE2L1	chr4	117887413	117887418	-	0.000	0.000	Merged-chr4-117887306-54
NR4142--MA0089.1.MAFG::NFE2L1	chr14	76664834	76664839	+	0.000	0.000	Merged-chr14-76664986-18
NR12367--MA0495.2.MAFF	chr9	62425367	62425387	-	0.000	0.000	Merged-chr9-62425384-15
NR5774--MA0659.1.MAFG	chr18	23803865	23803885	+	0.000	0.000	Merged-chr18-23803965-77
NR12386--MA0501.1.MAF::NFE2	chr9	66615320	66615334	+	0.000	0.000	Merged-chr9-66615364-32
NR8852--MA0089.1.MAFG::NFE2L1	chr4	129189714	129189719	-	0.000	0.000	Merged-chr4-129189596-96
NR9540--MA0496.2.MAFK	chr5	100466828	100466846	+	0.000	0.000	Merged-chr5-100466890-43
NR9323--MA0117.2.Mafb	chr5	67395571	67395582	-	0.000	0.000	Merged-chr5-67395507-40
NR2164--MA0117.2.Mafb	chr11	73131237	73131248	-	0.000	0.000	Merged-chr11-73131233-35
NR2294--MA0659.1.MAFG	chr11	94243314	94243334	+	0.000	0.000	Merged-chr11-94243595-44
NR3024--MA0089.1.MAFG::NFE2L1	chr12	111182102	111182107	-	0.000	0.000	Merged-chr12-111182112-59
NR11813--MA0089.1.MAFG::NFE2L1	chr8	77436394	77436399	+	0.000	0.000	Merged-chr8-77436264-47
NR1745--MA0089.1.MAFG::NFE2L1	chr10	118499564	118499569	+	0.000	0.000	Merged-chr10-118499514-3
NR11609--MA0501.1.MAF::NFE2	chr8	10481070	10481084	+	0.000	0.000	Merged-chr8-10480951-33
NR1298--MA0117.2.Mafb	chr10	41450172	41450183	+	0.000	0.000	Merged-chr10-41450273-55
NR377--MA0496.2.MAFK	chr1	105971887	105971905	-	0.000	0.000	Merged-chr1-105971949-55
NR162--MA0496.2.MAFK	chr1	60875486	60875504	-	0.000	0.000	Merged-chr1-60875356-55
NR10726--MA0591.1.Bach1::Mafk	chr6	145135502	145135516	-	0.000	0.000	Merged-chr6-145135361-11
NR4659--MA0089.1.MAFG::NFE2L1	chr15	81819851	81819856	+	0.000	0.000	Merged-chr15-81819861-26
NR6181--MA0496.2.MAFK	chr19	14386889	14386907	-	0.000	0.000	Merged-chr19-14386985-23
NR12577--MA0496.2.MAFK	chr9	89674247	89674265	-	0.000	0.000	Merged-chr9-89674293-39
NR195--MA0089.1.MAFG::NFE2L1	chr1	62875856	62875861	-	0.000	0.000	Merged-chr1-62876051-68
NR12362--MA0496.2.MAFK	chr9	61708040	61708058	-	0.000	0.000	Merged-chr9-61708026-57
NR10169--MA0496.2.MAFK	chr6	67014763	67014781	+	0.000	0.000	Merged-chr6-67014748-19
NR6618--MA0659.1.MAFG	chr2	34982231	34982251	-	0.000	0.000	Merged-chr2-34982434-20
NR11739--MA0089.1.MAFG::NFE2L1	chr8	66860200	66860205	+	0.000	0.000	Merged-chr8-66860248-21
NR4746--MA0089.1.MAFG::NFE2L1	chr15	96497942	96497947	+	0.000	0.000	Merged-chr15-96497899-21
NR3326--MA0089.1.MAFG::NFE2L1	chr13	32868434	32868439	+	0.000	0.000	Merged-chr13-32868285-30
NR10885--MA0089.1.MAFG::NFE2L1	chr7	28962487	28962492	-	0.000	0.000	Merged-chr7-28962336-70
NR2621--MA0659.1.MAFG	chr12	21437726	21437746	-	0.000	0.000	Merged-chr12-21437615-25
NR12168--MA0591.1.Bach1::Mafk	chr9	7212462	7212476	+	0.000	0.000	Merged-chr9-7212368-16
NR8589--MA0089.1.MAFG::NFE2L1	chr4	83485784	83485789	-	0.000	0.000	Merged-chr4-83485831-3
NR727--MA0495.2.MAFF	chr1	163383763	163383783	-	0.000	0.000	Merged-chr1-163383772-21
NR2512--MA0591.1.Bach1::Mafk	chr11	116618832	116618846	-	0.000	0.000	Merged-chr11-116618798-12
NR11991--MA0659.1.MAFG	chr8	116755756	116755776	+	0.000	0.000	Merged-chr8-116755810-6
NR1081--MA0496.2.MAFK	chr1	191850424	191850442	+	0.000	0.000	Merged-chr1-191850553-19
NR12040--MA0591.1.Bach1::Mafk	chr8	122772828	122772842	-	0.000	0.000	Merged-chr8-122772813-21
NR1983--MA0501.1.MAF::NFE2	chr11	43410441	43410455	+	0.000	0.000	Merged-chr11-43410532-22
NR11046--MA0089.1.MAFG::NFE2L1	chr7	67421999	67422004	-	0.000	0.000	Merged-chr7-67421949-40
NR4933--MA0089.1.MAFG::NFE2L1	chr16	36989704	36989709	+	0.000	0.000	Merged-chr16-36989738-26
NR8567--MA0496.2.MAFK	chr4	75279033	75279051	+	0.000	0.000	Merged-chr4-75279089-1
NR12349--MA0496.2.MAFK	chr9	58542043	58542061	+	0.000	0.000	Merged-chr9-58542052-13
NR8941--MA0659.1.MAFG	chr4	142153734	142153754	-	0.000	0.000	Merged-chr4-142153700-30
NR10819--MA0501.1.MAF::NFE2	chr7	16314093	16314107	+	0.000	0.000	Merged-chr7-16314036-50
NR6620--MA0496.2.MAFK	chr2	34982232	34982250	+	0.000	0.000	Merged-chr2-34982434-20
NR9330--MA0496.2.MAFK	chr5	67404582	67404600	-	0.000	0.000	Merged-chr5-67404737-28
NR7847--MA0089.1.MAFG::NFE2L1	chr3	96635685	96635690	-	0.000	0.000	Merged-chr3-96635554-60
NR9692--MA0089.1.MAFG::NFE2L1	chr5	118710017	118710022	-	0.000	0.000	Merged-chr5-118710096-15
NR10402--MA0496.2.MAFK	chr6	114905020	114905038	+	0.000	0.000	Merged-chr6-114905018-60
NR2709--MA0495.2.MAFF	chr12	51871958	51871978	+	0.000	0.000	Merged-chr12-51871812-58
NR1078--MA0089.1.MAFG::NFE2L1	chr1	191780529	191780534	+	0.000	0.000	Merged-chr1-191780513-20
NR12298--MA0591.1.Bach1::Mafk	chr9	44999341	44999355	+	0.000	0.000	Merged-chr9-44999415-9
NR9657--MA0496.2.MAFK	chr5	115312988	115313006	-	0.000	0.000	Merged-chr5-115313005-7
NR10537--MA0495.2.MAFF	chr6	130430844	130430864	-	0.000	0.000	Merged-chr6-130430787-10
NR4539--MA0496.2.MAFK	chr15	60141741	60141759	-	0.000	0.000	Merged-chr15-60141822-49
NR5660--MA0089.1.MAFG::NFE2L1	chr17	88599190	88599195	+	0.000	0.000	Merged-chr17-88599180-35
NR5110--MA0501.1.MAF::NFE2	chr16	76763190	76763204	-	0.000	0.000	Merged-chr16-76763076-33
NR6853--MA0496.2.MAFK	chr2	79774755	79774773	+	0.000	0.000	Merged-chr2-79774648-24
NR3964--MA0591.1.Bach1::Mafk	chr14	37165413	37165427	-	0.000	0.000	Merged-chr14-37165502-22
NR8697--MA0496.2.MAFK	chr4	106869720	106869738	+	0.000	0.000	Merged-chr4-106869679-64
NR2713--MA0496.2.MAFK	chr12	51871959	51871977	+	0.000	0.000	Merged-chr12-51871812-58
NR4143--MA0659.1.MAFG	chr14	76764671	76764691	-	0.000	0.000	Merged-chr14-76764662-47
NR10606--MA0089.1.MAFG::NFE2L1	chr6	140466497	140466502	-	0.000	0.000	Merged-chr6-140466408-37
NR12579--MA0089.1.MAFG::NFE2L1	chr9	89871235	89871240	+	0.000	0.000	Merged-chr9-89871377-1
NR6607--MA0496.2.MAFK	chr2	33755939	33755957	-	0.000	0.000	Merged-chr2-33755774-20
NR4834--MA0591.1.Bach1::Mafk	chr16	8610456	8610470	-	0.000	0.000	Merged-chr16-8610568-23
NR2396--MA0089.1.MAFG::NFE2L1	chr11	108068696	108068701	-	0.000	0.000	Merged-chr11-108068595-28
NR9373--MA0659.1.MAFG	chr5	74471049	74471069	-	0.000	0.000	Merged-chr5-74471085-11
NR4051--MA0089.1.MAFG::NFE2L1	chr14	60744650	60744655	-	0.000	0.000	Merged-chr14-60744715-28
NR1569--MA0501.1.MAF::NFE2	chr10	93069523	93069537	+	0.000	0.000	Merged-chr10-93069523-27
NR1826--MA0501.1.MAF::NFE2	chr10	126936060	126936074	-	0.000	0.000	Merged-chr10-126935963-18
NR6857--MA0501.1.MAF::NFE2	chr2	80268278	80268292	-	0.000	0.000	Merged-chr2-80268215-10
NR2665--MA0591.1.Bach1::Mafk	chr12	33160628	33160642	+	0.000	0.000	Merged-chr12-33160530-65
NR10365--MA0591.1.Bach1::Mafk	chr6	108477012	108477026	-	0.000	0.000	Merged-chr6-108477065-48
NR7196--MA0495.2.MAFF	chr2	138245710	138245730	+	0.000	0.000	Merged-chr2-138245729-1
NR4126--MA0591.1.Bach1::Mafk	chr14	73170121	73170135	+	0.000	0.000	Merged-chr14-73170198-47
NR5182--MA0089.1.MAFG::NFE2L1	chr16	90727330	90727335	+	0.000	0.000	Merged-chr16-90727331-89
NR1930--MA0089.1.MAFG::NFE2L1	chr11	21180883	21180888	-	0.000	0.000	Merged-chr11-21180890-47
NR10859--MA0496.2.MAFK	chr7	25107336	25107354	+	0.000	0.000	Merged-chr7-25107253-25
NR10417--MA0089.1.MAFG::NFE2L1	chr6	117431693	117431698	+	0.000	0.000	Merged-chr6-117431708-65
NR1769--MA0089.1.MAFG::NFE2L1	chr10	122748724	122748729	-	0.000	0.000	Merged-chr10-122748643-28
NR2557--MA0501.1.MAF::NFE2	chr11	121039351	121039365	-	0.000	0.000	Merged-chr11-121039238-62
NR12968--MA0089.1.MAFG::NFE2L1	chrX	96025992	96025997	-	0.000	0.000	Merged-chrX-96026030-41
NR5484--MA0089.1.MAFG::NFE2L1	chr17	50171180	50171185	-	0.000	0.000	Merged-chr17-50171299-20
NR1741--MA0089.1.MAFG::NFE2L1	chr10	118166252	118166257	+	0.000	0.000	Merged-chr10-118166257-15
NR6233--MA0591.1.Bach1::Mafk	chr19	29251329	29251343	-	0.000	0.000	Merged-chr19-29251639-67
NR9628--MA0089.1.MAFG::NFE2L1	chr5	114041780	114041785	-	0.000	0.000	Merged-chr5-114041714-24
