#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.dn.bed
NR34838--MA0493.1.Klf1	chr2	24935226	24935236	+	0.000	0.000	Merged-chr2-24935171-110
NR434--MA0599.1.KLF5	chr1	37884552	37884561	+	0.000	0.000	Merged-chr1-37884608-6
NR16201--MA0599.1.KLF5	chr13	6648841	6648850	-	0.000	0.000	Merged-chr13-6648891-51
NR45998--MA0657.1.KLF13	chr4	107923678	107923695	+	0.000	0.000	Merged-chr4-107923581-50
NR45220--MA0599.1.KLF5	chr4	62663591	62663600	-	0.000	0.000	Merged-chr4-62663802-38
NR54944--MA0599.1.KLF5	chr6	91116862	91116871	-	0.000	0.000	Merged-chr6-91116696-82
NR25373--MA1107.1.KLF9	chr16	32516547	32516559	-	0.000	0.000	Merged-chr16-32516451-30
NR51378--MA0741.1.KLF16	chr5	121191423	121191433	+	0.000	0.000	Merged-chr5-121191320-65
NR68322--MA0599.1.KLF5	chr9	106429400	106429409	+	0.000	0.000	Merged-chr9-106429526-66
NR35266--MA0742.1.Klf12	chr2	32381917	32381931	+	0.000	0.000	Merged-chr2-32381893-56
NR59358--MA1107.1.KLF9	chr7	66228681	66228693	+	0.000	0.000	Merged-chr7-66228697-16
NR46433--MA0741.1.KLF16	chr4	120825616	120825626	-	0.000	0.000	Merged-chr4-120825534-85
NR8833--MA1107.1.KLF9	chr10	128094778	128094790	-	0.000	0.000	Merged-chr10-128094692-20
NR48850--MA0742.1.Klf12	chr5	24685861	24685875	+	0.000	0.000	Merged-chr5-24685796-115
NR69304--MA0741.1.KLF16	chr9	122294566	122294576	-	0.000	0.000	Merged-chr9-122294367-85
NR61722--MA0742.1.Klf12	chr7	137437535	137437549	-	0.000	0.000	Merged-chr7-137437784-89
NR59968--MA0741.1.KLF16	chr7	92669962	92669972	-	0.000	0.000	Merged-chr7-92669664-130
NR51324--MA1107.1.KLF9	chr5	120130370	120130382	+	0.000	0.000	Merged-chr5-120130302-37
NR49392--MA0740.1.KLF14	chr5	52138343	52138356	-	0.000	0.000	Merged-chr5-52138442-3
NR9664--MA0741.1.KLF16	chr11	49100590	49100600	-	0.000	0.000	Merged-chr11-49100506-9
NR66129--MA0599.1.KLF5	chr9	41935883	41935892	-	0.000	0.000	Merged-chr9-41935840-14
NR54008--MA0740.1.KLF14	chr6	48086673	48086686	+	0.000	0.000	Merged-chr6-48086485-91
NR28809--MA0740.1.KLF14	chr17	50292853	50292866	+	0.000	0.000	Merged-chr17-50292906-47
NR32689--MA1107.1.KLF9	chr19	5815872	5815884	+	0.000	0.000	Merged-chr19-5816092-50
NR4846--MA0740.1.KLF14	chr10	4386768	4386781	+	0.000	0.000	Merged-chr10-4386678-1
NR39456--MA0740.1.KLF14	chr2	170025140	170025153	+	0.000	0.000	Merged-chr2-170025063-12
NR49329--MA0599.1.KLF5	chr5	44239421	44239430	+	0.000	0.000	Merged-chr5-44239344-7
NR49729--MA0740.1.KLF14	chr5	72917096	72917109	-	0.000	0.000	Merged-chr5-72916932-38
NR17724--MA1107.1.KLF9	chr13	83524493	83524505	+	0.000	0.000	Merged-chr13-83524292-48
NR29061--MA1107.1.KLF9	chr17	57264408	57264420	-	0.000	0.000	Merged-chr17-57264332-13
NR50208--MA0493.1.Klf1	chr5	92001025	92001035	+	0.000	0.000	Merged-chr5-92000971-27
NR61830--MA0599.1.KLF5	chr7	139914561	139914570	-	0.000	0.000	Merged-chr7-139914511-29
NR16966--MA0493.1.Klf1	chr13	51726393	51726403	-	0.000	0.000	Merged-chr13-51726299-41
NR5667--MA0493.1.Klf1	chr10	43339997	43340007	-	0.000	0.000	Merged-chr10-43339927-12
NR4036--MA0599.1.KLF5	chr1	183297307	183297316	-	0.000	0.000	Merged-chr1-183297368-141
NR51759--MA0493.1.Klf1	chr5	129908478	129908488	+	0.000	0.000	Merged-chr5-129908644-57
NR29943--MA1107.1.KLF9	chr17	85901155	85901167	+	0.000	0.000	Merged-chr17-85901349-9
NR5704--MA0741.1.KLF16	chr10	44368930	44368940	-	0.000	0.000	Merged-chr10-44368737-26
NR12230--MA0741.1.KLF16	chr11	103808768	103808778	-	0.000	0.000	Merged-chr11-103808730-15
NR27716--MA0741.1.KLF16	chr17	27564907	27564917	-	0.000	0.000	Merged-chr17-27564806-2
NR10350--MA1107.1.KLF9	chr11	67025133	67025145	+	0.000	0.000	Merged-chr11-67025090-52
NR54254--MA0493.1.Klf1	chr6	54705530	54705540	-	0.000	0.000	Merged-chr6-54705596-27
NR165--MA0740.1.KLF14	chr1	21079335	21079348	+	0.000	0.000	Merged-chr1-21079276-92
NR7967--MA1107.1.KLF9	chr10	111385753	111385765	+	0.000	0.000	Merged-chr10-111385696-32
NR20676--MA0740.1.KLF14	chr14	67951870	67951883	+	0.000	0.000	Merged-chr14-67951902-1
NR45402--MA0039.3.KLF4	chr4	83568301	83568311	-	0.000	0.000	Merged-chr4-83568276-50
NR35708--MA1107.1.KLF9	chr2	52571666	52571678	+	0.000	0.000	Merged-chr2-52571551-87
NR15731--MA0740.1.KLF14	chr12	111810005	111810018	+	0.000	0.000	Merged-chr12-111809959-15
NR17975--MA0742.1.Klf12	chr13	92611075	92611089	-	0.000	0.000	Merged-chr13-92610910-95
NR24825--MA1107.1.KLF9	chr16	7550765	7550777	-	0.000	0.000	Merged-chr16-7550847-1
NR11768--MA0599.1.KLF5	chr11	97744879	97744888	+	0.000	0.000	Merged-chr11-97744849-90
NR10941--MA0657.1.KLF13	chr11	78261572	78261589	+	0.000	0.000	Merged-chr11-78261664-62
NR49076--MA0741.1.KLF16	chr5	34514061	34514071	+	0.000	0.000	Merged-chr5-34513990-85
NR19023--MA0599.1.KLF5	chr13	112801420	112801429	-	0.000	0.000	Merged-chr13-112801565-4
NR30295--MA0493.1.Klf1	chr18	7869137	7869147	-	0.000	0.000	Merged-chr18-7869140-116
NR31146--MA0657.1.KLF13	chr18	60059214	60059231	+	0.000	0.000	Merged-chr18-60059257-14
NR25822--MA0599.1.KLF5	chr16	59459488	59459497	-	0.000	0.000	Merged-chr16-59459484-51
NR68988--MA1107.1.KLF9	chr9	117553305	117553317	+	0.000	0.000	Merged-chr9-117553194-1
NR4703--MA0740.1.KLF14	chr1	193153098	193153111	-	0.000	0.000	Merged-chr1-193153117-43
NR44405--MA0741.1.KLF16	chr4	35225904	35225914	+	0.000	0.000	Merged-chr4-35225977-93
NR28532--MA0599.1.KLF5	chr17	44777204	44777213	+	0.000	0.000	Merged-chr17-44777259-107
NR7981--MA0493.1.Klf1	chr10	111562892	111562902	+	0.000	0.000	Merged-chr10-111562842-26
NR13495--MA0493.1.Klf1	chr12	12580877	12580887	+	0.000	0.000	Merged-chr12-12580881-28
NR40429--MA0599.1.KLF5	chr3	37419787	37419796	+	0.000	0.000	Merged-chr3-37419954-169
NR34100--MA0740.1.KLF14	chr19	56721989	56722002	-	0.000	0.000	Merged-chr19-56721958-31
NR9912--MA0657.1.KLF13	chr11	54764931	54764948	-	0.000	0.000	Merged-chr11-54764987-17
NR24911--MA0741.1.KLF16	chr16	11134699	11134709	+	0.000	0.000	Merged-chr16-11134662-66
NR25127--MA1107.1.KLF9	chr16	20622573	20622585	-	0.000	0.000	Merged-chr16-20622479-9
NR18236--MA0039.3.KLF4	chr13	98737377	98737387	+	0.000	0.000	Merged-chr13-98737529-22
NR14557--MA0740.1.KLF14	chr12	79488982	79488995	-	0.000	0.000	Merged-chr12-79488992-20
NR47255--MA0039.3.KLF4	chr4	137861879	137861889	+	0.000	0.000	Merged-chr4-137861990-96
NR30296--MA0741.1.KLF16	chr18	7869136	7869146	-	0.000	0.000	Merged-chr18-7869140-116
NR15456--MA0599.1.KLF5	chr12	107148576	107148585	+	0.000	0.000	Merged-chr12-107148670-11
NR55358--MA0599.1.KLF5	chr6	108630898	108630907	+	0.000	0.000	Merged-chr6-108631007-44
NR10696--MA0599.1.KLF5	chr11	74832288	74832297	+	0.000	0.000	Merged-chr11-74832279-76
NR55143--MA0599.1.KLF5	chr6	99666829	99666838	+	0.000	0.000	Merged-chr6-99666817-4
NR8283--MA0493.1.Klf1	chr10	118443074	118443084	-	0.000	0.000	Merged-chr10-118443080-28
NR23671--MA0741.1.KLF16	chr15	84325529	84325539	+	0.000	0.000	Merged-chr15-84325665-1
NR68248--MA0742.1.Klf12	chr9	105495263	105495277	-	0.000	0.000	Merged-chr9-105495346-114
NR16792--MA0599.1.KLF5	chr13	43261519	43261528	+	0.000	0.000	Merged-chr13-43261701-66
NR58246--MA0742.1.Klf12	chr7	25238265	25238279	+	0.000	0.000	Merged-chr7-25238227-126
NR20586--MA0039.3.KLF4	chr14	64628281	64628291	-	0.000	0.000	Merged-chr14-64628307-21
NR15415--MA0741.1.KLF16	chr12	106046459	106046469	-	0.000	0.000	Merged-chr12-106046288-9
NR13804--MA0493.1.Klf1	chr12	31567823	31567833	+	0.000	0.000	Merged-chr12-31567847-31
NR69981--MA0740.1.KLF14	chrX	85776721	85776734	-	0.000	0.000	Merged-chrX-85776712-109
NR70765--MA1107.1.KLF9	chrY	90800453	90800465	-	0.000	0.000	Merged-chrY-90800606-25
NR14669--MA0039.3.KLF4	chr12	83688318	83688328	-	0.000	0.000	Merged-chr12-83688610-119
NR38481--MA0742.1.Klf12	chr2	151748511	151748525	-	0.000	0.000	Merged-chr2-151748481-30
NR70550--MA1107.1.KLF9	chrX	164382012	164382024	+	0.000	0.000	Merged-chrX-164382152-46
NR50701--MA0599.1.KLF5	chr5	107980140	107980149	-	0.000	0.000	Merged-chr5-107980170-14
NR15676--MA0742.1.Klf12	chr12	110771025	110771039	-	0.000	0.000	Merged-chr12-110770987-31
NR44657--MA0741.1.KLF16	chr4	43045871	43045881	+	0.000	0.000	Merged-chr4-43046068-69
NR65782--MA0741.1.KLF16	chr9	22070967	22070977	-	0.000	0.000	Merged-chr9-22071062-89
NR53411--MA0599.1.KLF5	chr6	6955987	6955996	-	0.000	0.000	Merged-chr6-6956020-66
NR34856--MA0493.1.Klf1	chr2	25170654	25170664	-	0.000	0.000	Merged-chr2-25170502-21
NR452--MA0599.1.KLF5	chr1	37884696	37884705	+	0.000	0.000	Merged-chr1-37884608-6
NR7515--MA1107.1.KLF9	chr10	94647207	94647219	+	0.000	0.000	Merged-chr10-94647234-6
NR37761--MA0741.1.KLF16	chr2	131160105	131160115	-	0.000	0.000	Merged-chr2-131160222-100
NR19689--MA1107.1.KLF9	chr14	27351720	27351732	-	0.000	0.000	Merged-chr14-27351647-44
NR658--MA0599.1.KLF5	chr1	51478436	51478445	+	0.000	0.000	Merged-chr1-51478318-72
NR5126--MA0599.1.KLF5	chr10	17683985	17683994	+	0.000	0.000	Merged-chr10-17684024-29
NR55846--MA0741.1.KLF16	chr6	120464179	120464189	+	0.000	0.000	Merged-chr6-120464092-4
NR63795--MA0599.1.KLF5	chr8	83997020	83997029	+	0.000	0.000	Merged-chr8-83997144-69
NR50593--MA0493.1.Klf1	chr5	105599107	105599117	-	0.000	0.000	Merged-chr5-105598952-15
NR22538--MA1107.1.KLF9	chr15	51865540	51865552	-	0.000	0.000	Merged-chr15-51865405-64
NR63502--MA0741.1.KLF16	chr8	71654770	71654780	+	0.000	0.000	Merged-chr8-71654739-11
NR59713--MA0599.1.KLF5	chr7	80911181	80911190	+	0.000	0.000	Merged-chr7-80911261-13
NR17976--MA0599.1.KLF5	chr13	92611065	92611074	-	0.000	0.000	Merged-chr13-92610910-95
NR48830--MA0599.1.KLF5	chr5	24598808	24598817	-	0.000	0.000	Merged-chr5-24598728-19
NR46995--MA0599.1.KLF5	chr4	133620813	133620822	+	0.000	0.000	Merged-chr4-133620771-57
NR40674--MA1107.1.KLF9	chr3	57736257	57736269	+	0.000	0.000	Merged-chr3-57736067-78
NR28644--MA0599.1.KLF5	chr17	46681078	46681087	-	0.000	0.000	Merged-chr17-46680916-61
NR22323--MA1107.1.KLF9	chr15	36283161	36283173	+	0.000	0.000	Merged-chr15-36282913-112
NR35210--MA0741.1.KLF16	chr2	30982256	30982266	+	0.000	0.000	Merged-chr2-30982189-58
NR68885--MA1107.1.KLF9	chr9	116369141	116369153	-	0.000	0.000	Merged-chr9-116369265-54
NR29035--MA0493.1.Klf1	chr17	57126046	57126056	+	0.000	0.000	Merged-chr17-57126152-41
NR23535--MA0599.1.KLF5	chr15	81522157	81522166	+	0.000	0.000	Merged-chr15-81522350-9
NR51344--MA0741.1.KLF16	chr5	120511174	120511184	-	0.000	0.000	Merged-chr5-120511260-45
NR69394--MA0741.1.KLF16	chr9	123845250	123845260	-	0.000	0.000	Merged-chr9-123845275-20
NR23320--MA0599.1.KLF5	chr15	78773515	78773524	+	0.000	0.000	Merged-chr15-78773486-35
NR60851--MA1107.1.KLF9	chr7	117606977	117606989	+	0.000	0.000	Merged-chr7-117606880-32
NR34542--MA1107.1.KLF9	chr2	10080531	10080543	+	0.000	0.000	Merged-chr2-10080401-75
NR12858--MA0599.1.KLF5	chr11	116306797	116306806	-	0.000	0.000	Merged-chr11-116306675-50
NR41137--MA0741.1.KLF16	chr3	84345590	84345600	+	0.000	0.000	Merged-chr3-84345416-77
NR58926--MA0039.3.KLF4	chr7	45068180	45068190	-	0.000	0.000	Merged-chr7-45068056-13
NR53890--MA0599.1.KLF5	chr6	39811006	39811015	-	0.000	0.000	Merged-chr6-39810868-53
NR9153--MA1107.1.KLF9	chr11	6528855	6528867	-	0.000	0.000	Merged-chr11-6528717-51
NR28131--MA0742.1.Klf12	chr17	33998960	33998974	-	0.000	0.000	Merged-chr17-33999093-34
NR64979--MA0599.1.KLF5	chr8	120668220	120668229	-	0.000	0.000	Merged-chr8-120668120-83
NR19694--MA0493.1.Klf1	chr14	27429466	27429476	+	0.000	0.000	Merged-chr14-27429180-117
NR13955--MA0740.1.KLF14	chr12	40037414	40037427	+	0.000	0.000	Merged-chr12-40037304-3
NR48802--MA1107.1.KLF9	chr5	24393590	24393602	+	0.000	0.000	Merged-chr5-24393621-16
NR34036--MA0741.1.KLF16	chr19	55403003	55403013	+	0.000	0.000	Merged-chr19-55402966-18
NR30636--MA0599.1.KLF5	chr18	34855239	34855248	+	0.000	0.000	Merged-chr18-34855284-104
NR41304--MA0599.1.KLF5	chr3	89378611	89378620	-	0.000	0.000	Merged-chr3-89378543-26
NR33685--MA1107.1.KLF9	chr19	44069762	44069774	+	0.000	0.000	Merged-chr19-44069600-84
NR40580--MA0740.1.KLF14	chr3	52470108	52470121	-	0.000	0.000	Merged-chr3-52470194-16
NR35462--MA0741.1.KLF16	chr2	35448826	35448836	-	0.000	0.000	Merged-chr2-35448714-11
NR8982--MA0599.1.KLF5	chr11	3371487	3371496	-	0.000	0.000	Merged-chr11-3371528-30
NR42640--MA0599.1.KLF5	chr3	127633589	127633598	+	0.000	0.000	Merged-chr3-127633876-110
NR17599--MA0741.1.KLF16	chr13	73763688	73763698	+	0.000	0.000	Merged-chr13-73763821-72
NR49--MA1107.1.KLF9	chr1	9848213	9848225	-	0.000	0.000	Merged-chr1-9848247-58
NR51124--MA0599.1.KLF5	chr5	114824293	114824302	-	0.000	0.000	Merged-chr5-114824362-38
NR30402--MA1107.1.KLF9	chr18	20962690	20962702	-	0.000	0.000	Merged-chr18-20962550-26
NR61869--MA0741.1.KLF16	chr7	140264972	140264982	-	0.000	0.000	Merged-chr7-140265035-12
NR49897--MA0493.1.Klf1	chr5	76183575	76183585	-	0.000	0.000	Merged-chr5-76183772-3
NR8287--MA1107.1.KLF9	chr10	118460960	118460972	-	0.000	0.000	Merged-chr10-118461028-8
NR32489--MA0599.1.KLF5	chr19	4099447	4099456	+	0.000	0.000	Merged-chr19-4099401-31
NR206--MA0599.1.KLF5	chr1	24100349	24100358	+	0.000	0.000	Merged-chr1-24100239-49
NR53504--MA1107.1.KLF9	chr6	15748028	15748040	-	0.000	0.000	Merged-chr6-15747885-49
NR6744--MA0740.1.KLF14	chr10	80539226	80539239	-	0.000	0.000	Merged-chr10-80539129-37
NR51462--MA0742.1.Klf12	chr5	122707558	122707572	-	0.000	0.000	Merged-chr5-122707725-80
NR11213--MA0599.1.KLF5	chr11	85140147	85140156	+	0.000	0.000	Merged-chr11-85140096-67
NR66339--MA0493.1.Klf1	chr9	48985148	48985158	-	0.000	0.000	Merged-chr9-48985134-97
NR62482--MA0740.1.KLF14	chr8	18846426	18846439	-	0.000	0.000	Merged-chr8-18846559-82
NR20937--MA0599.1.KLF5	chr14	76152716	76152725	-	0.000	0.000	Merged-chr14-76152800-92
NR36715--MA0741.1.KLF16	chr2	93468972	93468982	+	0.000	0.000	Merged-chr2-93469030-22
NR32274--MA0599.1.KLF5	chr18	84888997	84889006	-	0.000	0.000	Merged-chr18-84889023-40
NR63888--MA1107.1.KLF9	chr8	84976366	84976378	-	0.000	0.000	Merged-chr8-84976450-61
NR21024--MA0741.1.KLF16	chr14	78732832	78732842	+	0.000	0.000	Merged-chr14-78732883-76
NR38656--MA0493.1.Klf1	chr2	154836461	154836471	+	0.000	0.000	Merged-chr2-154836645-24
NR47157--MA0741.1.KLF16	chr4	135873942	135873952	-	0.000	0.000	Merged-chr4-135873792-54
NR2242--MA0740.1.KLF14	chr1	134344789	134344802	+	0.000	0.000	Merged-chr1-134344743-32
NR5380--MA0741.1.KLF16	chr10	30600525	30600535	+	0.000	0.000	Merged-chr10-30600534-90
NR24254--MA0740.1.KLF14	chr15	98634713	98634726	+	0.000	0.000	Merged-chr15-98634819-42
NR38576--MA0599.1.KLF5	chr2	153492688	153492697	-	0.000	0.000	Merged-chr2-153492855-60
NR31487--MA0039.3.KLF4	chr18	67449296	67449306	-	0.000	0.000	Merged-chr18-67449102-80
NR34154--MA0742.1.Klf12	chr19	57243273	57243287	+	0.000	0.000	Merged-chr19-57243321-1
NR62351--MA0493.1.Klf1	chr8	11107241	11107251	-	0.000	0.000	Merged-chr8-11107220-18
NR4842--MA0599.1.KLF5	chr10	4341700	4341709	-	0.000	0.000	Merged-chr10-4341594-18
NR44135--MA0599.1.KLF5	chr4	8926796	8926805	-	0.000	0.000	Merged-chr4-8926844-63
NR10356--MA0599.1.KLF5	chr11	67580609	67580618	-	0.000	0.000	Merged-chr11-67580687-16
NR66397--MA0741.1.KLF16	chr9	50739435	50739445	+	0.000	0.000	Merged-chr9-50739429-50
NR53799--MA0741.1.KLF16	chr6	37442267	37442277	+	0.000	0.000	Merged-chr6-37442138-79
NR50258--MA0599.1.KLF5	chr5	93267194	93267203	+	0.000	0.000	Merged-chr5-93267290-2
NR58753--MA0599.1.KLF5	chr7	35991265	35991274	+	0.000	0.000	Merged-chr7-35991280-23
NR383--MA0740.1.KLF14	chr1	36939672	36939685	+	0.000	0.000	Merged-chr1-36939684-79
NR53644--MA0599.1.KLF5	chr6	29396575	29396584	+	0.000	0.000	Merged-chr6-29396533-35
NR12514--MA0741.1.KLF16	chr11	109792072	109792082	+	0.000	0.000	Merged-chr11-109792147-5
NR33458--MA0599.1.KLF5	chr19	37550743	37550752	-	0.000	0.000	Merged-chr19-37550611-70
NR37799--MA0493.1.Klf1	chr2	131955381	131955391	+	0.000	0.000	Merged-chr2-131955415-30
NR449--MA0740.1.KLF14	chr1	37884695	37884708	+	0.000	0.000	Merged-chr1-37884608-6
NR38342--MA1107.1.KLF9	chr2	147832633	147832645	+	0.000	0.000	Merged-chr2-147832545-2
NR15473--MA0740.1.KLF14	chr12	107961261	107961274	+	0.000	0.000	Merged-chr12-107961222-28
NR33582--MA1107.1.KLF9	chr19	41317866	41317878	-	0.000	0.000	Merged-chr19-41317870-18
NR54830--MA0741.1.KLF16	chr6	87887809	87887819	+	0.000	0.000	Merged-chr6-87887908-55
NR5698--MA1107.1.KLF9	chr10	43901515	43901527	-	0.000	0.000	Merged-chr10-43901598-80
NR676--MA0599.1.KLF5	chr1	52011443	52011452	-	0.000	0.000	Merged-chr1-52011364-58
NR31754--MA0741.1.KLF16	chr18	75392719	75392729	+	0.000	0.000	Merged-chr18-75392555-48
NR49262--MA0740.1.KLF14	chr5	37245699	37245712	-	0.000	0.000	Merged-chr5-37245884-16
NR22002--MA0599.1.KLF5	chr15	7217266	7217275	-	0.000	0.000	Merged-chr15-7217140-25
NR62405--MA0740.1.KLF14	chr8	13200675	13200688	-	0.000	0.000	Merged-chr8-13200567-28
NR42948--MA1107.1.KLF9	chr3	133583904	133583916	-	0.000	0.000	Merged-chr3-133583850-2
NR21818--MA0741.1.KLF16	chr14	121731853	121731863	+	0.000	0.000	Merged-chr14-121731976-67
NR11069--MA0741.1.KLF16	chr11	79962544	79962554	-	0.000	0.000	Merged-chr11-79962407-53
NR60745--MA0599.1.KLF5	chr7	114635702	114635711	+	0.000	0.000	Merged-chr7-114635824-28
NR34099--MA1107.1.KLF9	chr19	56721969	56721981	-	0.000	0.000	Merged-chr19-56721958-31
NR6480--MA0599.1.KLF5	chr10	77581684	77581693	-	0.000	0.000	Merged-chr10-77581783-63
NR47853--MA0740.1.KLF14	chr4	148167198	148167211	+	0.000	0.000	Merged-chr4-148167175-10
NR8736--MA0599.1.KLF5	chr10	127211640	127211649	-	0.000	0.000	Merged-chr10-127211540-55
NR34560--MA1107.1.KLF9	chr2	11202914	11202926	+	0.000	0.000	Merged-chr2-11202996-2
NR19832--MA0740.1.KLF14	chr14	34768543	34768556	+	0.000	0.000	Merged-chr14-34768619-7
NR58278--MA0493.1.Klf1	chr7	25683637	25683647	-	0.000	0.000	Merged-chr7-25683734-21
NR11100--MA1107.1.KLF9	chr11	80666468	80666480	+	0.000	0.000	Merged-chr11-80666360-28
NR60418--MA0742.1.Klf12	chr7	105633652	105633666	+	0.000	0.000	Merged-chr7-105633562-65
NR30753--MA0740.1.KLF14	chr18	38365196	38365209	+	0.000	0.000	Merged-chr18-38365063-36
NR25364--MA0741.1.KLF16	chr16	32215409	32215419	+	0.000	0.000	Merged-chr16-32215312-15
NR61978--MA0741.1.KLF16	chr7	141392076	141392086	-	0.000	0.000	Merged-chr7-141392195-61
NR66374--MA0657.1.KLF13	chr9	50528487	50528504	+	0.000	0.000	Merged-chr9-50528435-81
NR17108--MA0741.1.KLF16	chr13	54693932	54693942	-	0.000	0.000	Merged-chr13-54694129-87
NR62668--MA0039.3.KLF4	chr8	33384420	33384430	+	0.000	0.000	Merged-chr8-33384512-2
NR22776--MA0493.1.Klf1	chr15	60187560	60187570	-	0.000	0.000	Merged-chr15-60187458-69
NR30869--MA0599.1.KLF5	chr18	46525779	46525788	+	0.000	0.000	Merged-chr18-46525811-152
NR10420--MA0741.1.KLF16	chr11	69366847	69366857	+	0.000	0.000	Merged-chr11-69366832-87
NR10262--MA0599.1.KLF5	chr11	62731328	62731337	-	0.000	0.000	Merged-chr11-62731270-1
NR25906--MA0741.1.KLF16	chr16	64851823	64851833	+	0.000	0.000	Merged-chr16-64851941-100
NR69902--MA0741.1.KLF16	chrX	73716461	73716471	-	0.000	0.000	Merged-chrX-73716479-74
NR64709--MA0039.3.KLF4	chr8	115462276	115462286	+	0.000	0.000	Merged-chr8-115462396-21
NR20815--MA1107.1.KLF9	chr14	73349358	73349370	-	0.000	0.000	Merged-chr14-73349439-20
NR29846--MA0599.1.KLF5	chr17	84181177	84181186	+	0.000	0.000	Merged-chr17-84181390-116
NR33364--MA0599.1.KLF5	chr19	33589896	33589905	+	0.000	0.000	Merged-chr19-33589955-57
NR6648--MA0740.1.KLF14	chr10	79996444	79996457	-	0.000	0.000	Merged-chr10-79996471-52
NR70074--MA0741.1.KLF16	chrX	101429419	101429429	+	0.000	0.000	Merged-chrX-101429503-77
NR53756--MA0599.1.KLF5	chr6	34780857	34780866	+	0.000	0.000	Merged-chr6-34780682-73
NR49217--MA0741.1.KLF16	chr5	36574391	36574401	-	0.000	0.000	Merged-chr5-36574492-52
NR21799--MA0741.1.KLF16	chr14	121315914	121315924	-	0.000	0.000	Merged-chr14-121315767-6
NR15689--MA0742.1.Klf12	chr12	110992157	110992171	-	0.000	0.000	Merged-chr12-110992060-106,Merged-chr12-110992350-1
NR50145--MA1107.1.KLF9	chr5	90640700	90640712	-	0.000	0.000	Merged-chr5-90640561-39
NR38115--MA0599.1.KLF5	chr2	144173864	144173873	-	0.000	0.000	Merged-chr2-144174021-12
NR59176--MA0599.1.KLF5	chr7	51879292	51879301	-	0.000	0.000	Merged-chr7-51879410-58
NR65400--MA0741.1.KLF16	chr8	126536325	126536335	+	0.000	0.000	Merged-chr8-126536353-14
NR2178--MA0741.1.KLF16	chr1	132417544	132417554	-	0.000	0.000	Merged-chr1-132417659-59
NR30635--MA1107.1.KLF9	chr18	34777007	34777019	-	0.000	0.000	Merged-chr18-34776840-4
NR44914--MA0599.1.KLF5	chr4	52438972	52438981	-	0.000	0.000	Merged-chr4-52439085-87
NR7306--MA0599.1.KLF5	chr10	88504070	88504079	-	0.000	0.000	Merged-chr10-88503867-73
NR56251--MA0599.1.KLF5	chr6	128788587	128788596	+	0.000	0.000	Merged-chr6-128788729-15
NR62555--MA0742.1.Klf12	chr8	22653187	22653201	-	0.000	0.000	Merged-chr8-22653358-66
NR16259--MA0657.1.KLF13	chr13	12395082	12395099	-	0.000	0.000	Merged-chr13-12395311-75
NR27772--MA0741.1.KLF16	chr17	28177301	28177311	-	0.000	0.000	Merged-chr17-28177192-60
NR22329--MA0599.1.KLF5	chr15	36375000	36375009	+	0.000	0.000	Merged-chr15-36375084-60
NR32117--MA0741.1.KLF16	chr18	82692301	82692311	-	0.000	0.000	Merged-chr18-82692558-116
NR66151--MA0493.1.Klf1	chr9	42264294	42264304	+	0.000	0.000	Merged-chr9-42264244-61
NR50917--MA0741.1.KLF16	chr5	112276526	112276536	-	0.000	0.000	Merged-chr5-112276606-72
NR61293--MA0741.1.KLF16	chr7	127512306	127512316	-	0.000	0.000	Merged-chr7-127512446-128
NR9372--MA0039.3.KLF4	chr11	23306460	23306470	-	0.000	0.000	Merged-chr11-23306363-115
NR25378--MA1107.1.KLF9	chr16	32608933	32608945	-	0.000	0.000	Merged-chr16-32609068-64
NR40439--MA0741.1.KLF16	chr3	38044519	38044529	-	0.000	0.000	Merged-chr3-38044560-26
NR3882--MA0599.1.KLF5	chr1	180426377	180426386	+	0.000	0.000	Merged-chr1-180426337-1
NR28088--MA1107.1.KLF9	chr17	33565075	33565087	+	0.000	0.000	Merged-chr17-33564988-8
NR43750--MA0741.1.KLF16	chr3	152209703	152209713	-	0.000	0.000	Merged-chr3-152209810-2
NR65402--MA0599.1.KLF5	chr8	126584499	126584508	-	0.000	0.000	Merged-chr8-126584527-70
NR45216--MA0599.1.KLF5	chr4	62634180	62634189	-	0.000	0.000	Merged-chr4-62634288-50
NR28180--MA0740.1.KLF14	chr17	34850371	34850384	+	0.000	0.000	Merged-chr17-34850379-53
NR28278--MA0741.1.KLF16	chr17	35706199	35706209	-	0.000	0.000	Merged-chr17-35706172-14
NR30828--MA0657.1.KLF13	chr18	43492976	43492993	-	0.000	0.000	Merged-chr18-43493033-11
NR22918--MA0742.1.Klf12	chr15	66899017	66899031	-	0.000	0.000	Merged-chr15-66899064-14
NR33814--MA0741.1.KLF16	chr19	46573349	46573359	-	0.000	0.000	Merged-chr19-46573181-77
NR37382--MA1107.1.KLF9	chr2	119897331	119897343	+	0.000	0.000	Merged-chr2-119897563-82
NR23390--MA0657.1.KLF13	chr15	79774551	79774568	-	0.000	0.000	Merged-chr15-79774475-53
