#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Bcl6/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-WT_Tfh_vs_WT_Th1.up.bed
NR774--MA0731.1.BCL6B	chr15	50261745	50261761	-	0.000	0.000	Merged-chr15-50261633-22
NR833--MA0463.1.Bcl6	chr16	18127358	18127371	-	0.000	0.000	Merged-chr16-18127553-42
NR2123--MA0731.1.BCL6B	chr8	35321526	35321542	-	0.000	0.000	Merged-chr8-35321635-19
NR1846--MA0463.1.Bcl6	chr6	90653236	90653249	+	0.000	0.000	Merged-chr6-90653255-2
NR121--MA0731.1.BCL6B	chr1	135659879	135659895	+	0.000	0.000	Merged-chr1-135659715-46
NR787--MA0731.1.BCL6B	chr15	64078149	64078165	+	0.000	0.000	Merged-chr15-64078156-8
NR1076--MA0463.1.Bcl6	chr19	41031105	41031118	+	0.000	0.000	Merged-chr19-41031181-46
NR439--MA0731.1.BCL6B	chr12	34249077	34249093	-	0.000	0.000	Merged-chr12-34249045-49
NR2278--MA0463.1.Bcl6	chr9	96916796	96916809	+	0.000	0.000	Merged-chr9-96916836-41
NR1882--MA0463.1.Bcl6	chr6	117917776	117917789	+	0.000	0.000	Merged-chr6-117917768-1
NR2245--MA0731.1.BCL6B	chr9	57421340	57421356	+	0.000	0.000	Merged-chr9-57421302-52
NR520--MA0463.1.Bcl6	chr12	116049825	116049838	+	0.000	0.000	Merged-chr12-116049840-17
NR243--MA0731.1.BCL6B	chr10	58282344	58282360	+	0.000	0.000	Merged-chr10-58282409-26
NR418--MA0731.1.BCL6B	chr12	3322115	3322131	+	0.000	0.000	Merged-chr12-3322326-39
NR256--MA0731.1.BCL6B	chr10	68908444	68908460	-	0.000	0.000	Merged-chr10-68908384-20
NR113--MA0731.1.BCL6B	chr1	130548083	130548099	-	0.000	0.000	Merged-chr1-130548205-41
NR883--MA0463.1.Bcl6	chr16	75696404	75696417	+	0.000	0.000	Merged-chr16-75696433-23
NR1970--MA0731.1.BCL6B	chr7	39544305	39544321	-	0.000	0.000	Merged-chr7-39544508-62
NR525--MA0463.1.Bcl6	chr12	117678925	117678938	+	0.000	0.000	Merged-chr12-117679056-43
NR222--MA0731.1.BCL6B	chr10	19185108	19185124	+	0.000	0.000	Merged-chr10-19185061-36
NR269--MA0731.1.BCL6B	chr10	79926615	79926631	-	0.000	0.000	Merged-chr10-79926758-91
NR1681--MA0463.1.Bcl6	chr5	77285748	77285761	-	0.000	0.000	Merged-chr5-77285904-24
NR1538--MA0463.1.Bcl6	chr4	101349651	101349664	+	0.000	0.000	Merged-chr4-101349658-19
NR2346--MA0731.1.BCL6B	chrX	160604100	160604116	+	0.000	0.000	Merged-chrX-160604231-21
NR552--MA0463.1.Bcl6	chr13	34114729	34114742	+	0.000	0.000	Merged-chr13-34114809-14
NR409--MA0463.1.Bcl6	chr11	113574369	113574382	+	0.000	0.000	Merged-chr11-113574265-17
NR2041--MA0731.1.BCL6B	chr7	109781530	109781546	-	0.000	0.000	Merged-chr7-109781592-85
NR1686--MA0463.1.Bcl6	chr5	89051303	89051316	-	0.000	0.000	Merged-chr5-89051554-45
NR1471--MA0463.1.Bcl6	chr4	34049876	34049889	+	0.000	0.000	Merged-chr4-34050032-15
NR1113--MA0463.1.Bcl6	chr2	25241268	25241281	-	0.000	0.000	Merged-chr2-25241119-44
NR1798--MA0463.1.Bcl6	chr6	34955547	34955560	+	0.000	0.000	Merged-chr6-34955632-40
NR2150--MA0731.1.BCL6B	chr8	77367069	77367085	+	0.000	0.000	Merged-chr8-77367221-20
NR1962--MA0731.1.BCL6B	chr7	28372749	28372765	-	0.000	0.000	Merged-chr7-28372841-69
NR445--MA0463.1.Bcl6	chr12	41565991	41566004	-	0.000	0.000	Merged-chr12-41565825-5
NR2221--MA0463.1.Bcl6	chr9	28261428	28261441	-	0.000	0.000	Merged-chr9-28261552-34
NR2020--MA0731.1.BCL6B	chr7	98341407	98341423	-	0.000	0.000	Merged-chr7-98341648-39
NR329--MA0463.1.Bcl6	chr11	3931994	3932007	+	0.000	0.000	Merged-chr11-3931934-36
NR2304--MA0731.1.BCL6B	chr9	114412641	114412657	-	0.000	0.000	Merged-chr9-114412531-19
NR1431--MA0731.1.BCL6B	chr3	148419638	148419654	-	0.000	0.000	Merged-chr3-148419698-33
NR150--MA0463.1.Bcl6	chr1	160133897	160133910	-	0.000	0.000	Merged-chr1-160133869-7
NR2235--MA0463.1.Bcl6	chr9	46273043	46273056	-	0.000	0.000	Merged-chr9-46273034-67
NR1792--MA0731.1.BCL6B	chr6	31076174	31076190	-	0.000	0.000	Merged-chr6-31076077-28
NR1715--MA0731.1.BCL6B	chr5	100651692	100651708	+	0.000	0.000	Merged-chr5-100651654-38
NR495--MA0463.1.Bcl6	chr12	98445746	98445759	+	0.000	0.000	Merged-chr12-98445818-15
NR1410--MA0731.1.BCL6B	chr3	135665917	135665933	+	0.000	0.000	Merged-chr3-135665884-70
NR1835--MA0463.1.Bcl6	chr6	72615496	72615509	+	0.000	0.000	Merged-chr6-72615630-38
NR164--MA0463.1.Bcl6	chr1	165812653	165812666	+	0.000	0.000	Merged-chr1-165812825-36
NR2155--MA0463.1.Bcl6	chr8	84357763	84357776	+	0.000	0.000	Merged-chr8-84357932-29
NR1607--MA0463.1.Bcl6	chr4	148998327	148998340	+	0.000	0.000	Merged-chr4-148998288-20
NR1641--MA0731.1.BCL6B	chr5	23256167	23256183	+	0.000	0.000	Merged-chr5-23256254-4
NR2147--MA0731.1.BCL6B	chr8	75084049	75084065	-	0.000	0.000	Merged-chr8-75083999-30
NR1871--MA0463.1.Bcl6	chr6	114777875	114777888	-	0.000	0.000	Merged-chr6-114777982-17
NR1893--MA0731.1.BCL6B	chr6	126552060	126552076	-	0.000	0.000	Merged-chr6-126552098-38
NR939--MA0463.1.Bcl6	chr17	42999659	42999672	-	0.000	0.000	Merged-chr17-42999862-4
NR1983--MA0463.1.Bcl6	chr7	58569056	58569069	+	0.000	0.000	Merged-chr7-58568960-29
NR2113--MA0731.1.BCL6B	chr8	22405971	22405987	-	0.000	0.000	Merged-chr8-22405869-37
NR1643--MA0463.1.Bcl6	chr5	23844215	23844228	-	0.000	0.000	Merged-chr5-23844143-49
NR1540--MA0463.1.Bcl6	chr4	101998738	101998751	-	0.000	0.000	Merged-chr4-101998677-38
NR1773--MA0463.1.Bcl6	chr5	151416701	151416714	-	0.000	0.000	Merged-chr5-151416725-1
NR1639--MA0463.1.Bcl6	chr5	20845318	20845331	+	0.000	0.000	Merged-chr5-20845245-18
NR1545--MA0463.1.Bcl6	chr4	106281644	106281657	-	0.000	0.000	Merged-chr4-106281606-32
NR961--MA0731.1.BCL6B	chr17	80772627	80772643	-	0.000	0.000	Merged-chr17-80772766-52
NR662--MA0463.1.Bcl6	chr14	48236232	48236245	+	0.000	0.000	Merged-chr14-48236278-24
NR1335--MA0463.1.Bcl6	chr3	79254281	79254294	+	0.000	0.000	Merged-chr3-79254113-1
NR59--MA0463.1.Bcl6	chr1	86344411	86344424	+	0.000	0.000	Merged-chr1-86344486-59
NR1102--MA0731.1.BCL6B	chr2	18403850	18403866	+	0.000	0.000	Merged-chr2-18403900-7
NR1463--MA0731.1.BCL6B	chr4	11454055	11454071	+	0.000	0.000	Merged-chr4-11453952-20
NR1465--MA0463.1.Bcl6	chr4	11492943	11492956	+	0.000	0.000	Merged-chr4-11492964-72
NR1250--MA0463.1.Bcl6	chr2	152962498	152962511	-	0.000	0.000	Merged-chr2-152962501-29
NR2078--MA0731.1.BCL6B	chr7	131540223	131540239	+	0.000	0.000	Merged-chr7-131540239-21
NR448--MA0463.1.Bcl6	chr12	52701511	52701524	+	0.000	0.000	Merged-chr12-52701322-34
NR1810--MA0463.1.Bcl6	chr6	51545480	51545493	-	0.000	0.000	Merged-chr6-51545421-58
NR1255--MA0463.1.Bcl6	chr2	158794586	158794599	+	0.000	0.000	Merged-chr2-158794730-73
NR661--MA0731.1.BCL6B	chr14	47277005	47277021	-	0.000	0.000	Merged-chr14-47276879-81
NR1346--MA0731.1.BCL6B	chr3	84305540	84305556	-	0.000	0.000	Merged-chr3-84305403-2
NR2328--MA0731.1.BCL6B	chrX	47998431	47998447	+	0.000	0.000	Merged-chrX-47998612-33
NR1273--MA0463.1.Bcl6	chr2	169398595	169398608	+	0.000	0.000	Merged-chr2-169398588-9
NR1978--MA0731.1.BCL6B	chr7	45873193	45873209	+	0.000	0.000	Merged-chr7-45873052-66
NR1564--MA0731.1.BCL6B	chr4	121002575	121002591	-	0.000	0.000	Merged-chr4-121002570-50
NR802--MA0731.1.BCL6B	chr15	86173709	86173725	+	0.000	0.000	Merged-chr15-86173737-35
NR1944--MA0731.1.BCL6B	chr6	148436696	148436712	-	0.000	0.000	Merged-chr6-148436541-68
NR923--MA0463.1.Bcl6	chr17	23925348	23925361	+	0.000	0.000	Merged-chr17-23925294-2
NR2126--MA0463.1.Bcl6	chr8	36030435	36030448	-	0.000	0.000	Merged-chr8-36030382-8
NR1175--MA0463.1.Bcl6	chr2	76421639	76421652	+	0.000	0.000	Merged-chr2-76421582-29
NR386--MA0463.1.Bcl6	chr11	80666516	80666529	+	0.000	0.000	Merged-chr11-80666360-28
NR713--MA0463.1.Bcl6	chr14	78436194	78436207	-	0.000	0.000	Merged-chr14-78436014-44
NR1033--MA0731.1.BCL6B	chr18	79258159	79258175	+	0.000	0.000	Merged-chr18-79258074-1
NR1614--MA0463.1.Bcl6	chr5	3497909	3497922	-	0.000	0.000	Merged-chr5-3497810-31
NR1490--MA0731.1.BCL6B	chr4	54855896	54855912	-	0.000	0.000	Merged-chr4-54855897-1
NR2149--MA0463.1.Bcl6	chr8	77367069	77367082	-	0.000	0.000	Merged-chr8-77367221-20
NR964--MA0463.1.Bcl6	chr17	85189679	85189692	-	0.000	0.000	Merged-chr17-85189630-51
NR470--MA0731.1.BCL6B	chr12	76923262	76923278	-	0.000	0.000	Merged-chr12-76923289-32
NR1360--MA0731.1.BCL6B	chr3	95135853	95135869	-	0.000	0.000	Merged-chr3-95135773-59
NR1155--MA0731.1.BCL6B	chr2	53102298	53102314	+	0.000	0.000	Merged-chr2-53102302-39
NR231--MA0731.1.BCL6B	chr10	39133922	39133938	+	0.000	0.000	Merged-chr10-39134020-55
NR1995--MA0463.1.Bcl6	chr7	71242528	71242541	+	0.000	0.000	Merged-chr7-71242656-21
NR1749--MA0463.1.Bcl6	chr5	130088187	130088200	-	0.000	0.000	Merged-chr5-130088239-22
NR592--MA0731.1.BCL6B	chr13	84612705	84612721	+	0.000	0.000	Merged-chr13-84612634-1
NR866--MA0463.1.Bcl6	chr16	52292678	52292691	+	0.000	0.000	Merged-chr16-52292729-42
NR1657--MA0731.1.BCL6B	chr5	45790284	45790300	+	0.000	0.000	Merged-chr5-45790409-20
NR1212--MA0463.1.Bcl6	chr2	117441216	117441229	+	0.000	0.000	Merged-chr2-117441143-41
NR996--MA0463.1.Bcl6	chr18	52410204	52410217	-	0.000	0.000	Merged-chr18-52410134-29
NR36--MA0731.1.BCL6B	chr1	66279479	66279495	+	0.000	0.000	Merged-chr1-66279555-43
NR1256--MA0731.1.BCL6B	chr2	158794583	158794599	-	0.000	0.000	Merged-chr2-158794730-73
NR951--MA0731.1.BCL6B	chr17	57194412	57194428	-	0.000	0.000	Merged-chr17-57194359-63
NR2311--MA0463.1.Bcl6	chr9	119068015	119068028	-	0.000	0.000	Merged-chr9-119067852-20
NR1888--MA0731.1.BCL6B	chr6	121227013	121227029	-	0.000	0.000	Merged-chr6-121226970-16
NR441--MA0731.1.BCL6B	chr12	35831526	35831542	-	0.000	0.000	Merged-chr12-35831478-13
NR1002--MA0463.1.Bcl6	chr18	57976984	57976997	-	0.000	0.000	Merged-chr18-57976918-16
NR213--MA0463.1.Bcl6	chr1	193421645	193421658	+	0.000	0.000	Merged-chr1-193421738-60
NR1378--MA0731.1.BCL6B	chr3	108916907	108916923	-	0.000	0.000	Merged-chr3-108916963-5
NR1799--MA0463.1.Bcl6	chr6	34955545	34955558	-	0.000	0.000	Merged-chr6-34955632-40
NR558--MA0463.1.Bcl6	chr13	44260136	44260149	+	0.000	0.000	Merged-chr13-44260111-9
NR343--MA0463.1.Bcl6	chr11	22936719	22936732	-	0.000	0.000	Merged-chr11-22936648-30
NR28--MA0731.1.BCL6B	chr1	59923361	59923377	-	0.000	0.000	Merged-chr1-59923331-34
NR672--MA0731.1.BCL6B	chr14	55604120	55604136	+	0.000	0.000	Merged-chr14-55604128-61
NR943--MA0731.1.BCL6B	chr17	50291676	50291692	-	0.000	0.000	Merged-chr17-50291771-9
NR209--MA0463.1.Bcl6	chr1	191599406	191599419	-	0.000	0.000	Merged-chr1-191599385-45
NR1086--MA0731.1.BCL6B	chr19	61110280	61110296	+	0.000	0.000	Merged-chr19-61110222-22
NR98--MA0463.1.Bcl6	chr1	118403981	118403994	-	0.000	0.000	Merged-chr1-118403887-21
NR1495--MA0463.1.Bcl6	chr4	59295218	59295231	+	0.000	0.000	Merged-chr4-59295271-36
NR1128--MA0463.1.Bcl6	chr2	38739662	38739675	-	0.000	0.000	Merged-chr2-38739625-29
NR84--MA0731.1.BCL6B	chr1	105443380	105443396	-	0.000	0.000	Merged-chr1-105443622-43
NR2130--MA0731.1.BCL6B	chr8	41443766	41443782	+	0.000	0.000	Merged-chr8-41443750-12
NR97--MA0731.1.BCL6B	chr1	118403928	118403944	+	0.000	0.000	Merged-chr1-118403887-21
NR263--MA0463.1.Bcl6	chr10	75417577	75417590	-	0.000	0.000	Merged-chr10-75417748-37
NR1276--MA0463.1.Bcl6	chr2	170520575	170520588	-	0.000	0.000	Merged-chr2-170520657-42
NR281--MA0463.1.Bcl6	chr10	88346773	88346786	+	0.000	0.000	Merged-chr10-88346697-18
NR1182--MA0463.1.Bcl6	chr2	79698323	79698336	+	0.000	0.000	Merged-chr2-79698404-21
NR2008--MA0463.1.Bcl6	chr7	88460108	88460121	-	0.000	0.000	Merged-chr7-88459917-15
NR1458--MA0731.1.BCL6B	chr4	8903258	8903274	-	0.000	0.000	Merged-chr4-8903379-6
NR1729--MA0731.1.BCL6B	chr5	110653362	110653378	-	0.000	0.000	Merged-chr5-110653386-72
NR823--MA0463.1.Bcl6	chr16	10844226	10844239	-	0.000	0.000	Merged-chr16-10844299-63
NR882--MA0731.1.BCL6B	chr16	75617786	75617802	-	0.000	0.000	Merged-chr16-75617911-31
NR268--MA0463.1.Bcl6	chr10	79926618	79926631	+	0.000	0.000	Merged-chr10-79926758-91
NR534--MA0731.1.BCL6B	chr13	6471745	6471761	+	0.000	0.000	Merged-chr13-6471803-19
NR2138--MA0463.1.Bcl6	chr8	61283117	61283130	-	0.000	0.000	Merged-chr8-61283229-50
NR1742--MA0463.1.Bcl6	chr5	124907074	124907087	+	0.000	0.000	Merged-chr5-124907107-45
NR953--MA0463.1.Bcl6	chr17	65740379	65740392	-	0.000	0.000	Merged-chr17-65740416-17
NR1328--MA0731.1.BCL6B	chr3	69005920	69005936	-	0.000	0.000	Merged-chr3-69006115-39
NR895--MA0731.1.BCL6B	chr16	91374132	91374148	-	0.000	0.000	Merged-chr16-91374174-40
NR1299--MA0463.1.Bcl6	chr3	31145932	31145945	+	0.000	0.000	Merged-chr3-31145985-42
NR949--MA0463.1.Bcl6	chr17	56885000	56885013	+	0.000	0.000	Merged-chr17-56885050-19
NR1644--MA0463.1.Bcl6	chr5	25007033	25007046	-	0.000	0.000	Merged-chr5-25007008-18
NR1541--MA0463.1.Bcl6	chr4	102210083	102210096	+	0.000	0.000	Merged-chr4-102210111-10
NR112--MA0731.1.BCL6B	chr1	130548084	130548100	+	0.000	0.000	Merged-chr1-130548205-41
NR1397--MA0731.1.BCL6B	chr3	127763169	127763185	+	0.000	0.000	Merged-chr3-127763215-37
NR1774--MA0463.1.Bcl6	chr5	151416847	151416860	-	0.000	0.000	Merged-chr5-151416725-1
NR2076--MA0463.1.Bcl6	chr7	130812771	130812784	-	0.000	0.000	Merged-chr7-130812664-20
NR1528--MA0463.1.Bcl6	chr4	95053371	95053384	-	0.000	0.000	Merged-chr4-95053399-2
NR2188--MA0463.1.Bcl6	chr8	117303936	117303949	+	0.000	0.000	Merged-chr8-117303756-17
NR891--MA0463.1.Bcl6	chr16	87597755	87597768	+	0.000	0.000	Merged-chr16-87597793-27
NR533--MA0463.1.Bcl6	chr13	6471748	6471761	+	0.000	0.000	Merged-chr13-6471803-19
NR739--MA0463.1.Bcl6	chr14	118109843	118109856	-	0.000	0.000	Merged-chr14-118109992-14
NR2236--MA0731.1.BCL6B	chr9	46273043	46273059	+	0.000	0.000	Merged-chr9-46273034-67
NR430--MA0463.1.Bcl6	chr12	28699707	28699720	+	0.000	0.000	Merged-chr12-28699931-23
NR757--MA0463.1.Bcl6	chr15	31472915	31472928	+	0.000	0.000	Merged-chr15-31472972-16
NR1461--MA0463.1.Bcl6	chr4	11404254	11404267	+	0.000	0.000	Merged-chr4-11404244-13
NR1103--MA0463.1.Bcl6	chr2	18609092	18609105	+	0.000	0.000	Merged-chr2-18609153-119
NR681--MA0463.1.Bcl6	chr14	63193889	63193902	+	0.000	0.000	Merged-chr14-63193803-41
NR1389--MA0731.1.BCL6B	chr3	121593387	121593403	+	0.000	0.000	Merged-chr3-121593516-30
NR1582--MA0463.1.Bcl6	chr4	133843311	133843324	+	0.000	0.000	Merged-chr4-133843326-54
NR1121--MA0463.1.Bcl6	chr2	32553757	32553770	+	0.000	0.000	Merged-chr2-32553962-47
NR2305--MA0463.1.Bcl6	chr9	114427528	114427541	+	0.000	0.000	Merged-chr9-114427606-33
NR117--MA0731.1.BCL6B	chr1	132316104	132316120	+	0.000	0.000	Merged-chr1-132316198-37
NR369--MA0731.1.BCL6B	chr11	69766431	69766447	-	0.000	0.000	Merged-chr11-69766217-75
NR350--MA0463.1.Bcl6	chr11	34833783	34833796	+	0.000	0.000	Merged-chr11-34833705-58
NR207--MA0463.1.Bcl6	chr1	191193935	191193948	+	0.000	0.000	Merged-chr1-191193945-62
NR1831--MA0731.1.BCL6B	chr6	70103457	70103473	-	0.000	0.000	Merged-chr6-70103466-27
NR2271--MA0731.1.BCL6B	chr9	89842701	89842717	+	0.000	0.000	Merged-chr9-89842601-13
NR471--MA0463.1.Bcl6	chr12	77781603	77781616	+	0.000	0.000	Merged-chr12-77781498-27
NR2337--MA0731.1.BCL6B	chrX	104587399	104587415	+	0.000	0.000	Merged-chrX-104587558-7
NR1005--MA0463.1.Bcl6	chr18	61489723	61489736	+	0.000	0.000	Merged-chr18-61489584-71
NR444--MA0731.1.BCL6B	chr12	40579987	40580003	+	0.000	0.000	Merged-chr12-40580075-1
NR1023--MA0463.1.Bcl6	chr18	69644888	69644901	-	0.000	0.000	Merged-chr18-69644802-19
NR967--MA0731.1.BCL6B	chr17	86301247	86301263	+	0.000	0.000	Merged-chr17-86301226-81
NR2207--MA0463.1.Bcl6	chr8	127672146	127672159	-	0.000	0.000	Merged-chr8-127671980-1
NR449--MA0463.1.Bcl6	chr12	52818807	52818820	-	0.000	0.000	Merged-chr12-52818712-31
NR2225--MA0463.1.Bcl6	chr9	32668470	32668483	+	0.000	0.000	Merged-chr9-32668373-11
NR467--MA0463.1.Bcl6	chr12	75496175	75496188	-	0.000	0.000	Merged-chr12-75496120-14
NR728--MA0731.1.BCL6B	chr14	103550684	103550700	+	0.000	0.000	Merged-chr14-103550672-31
NR1368--MA0463.1.Bcl6	chr3	104968184	104968197	+	0.000	0.000	Merged-chr3-104968115-29
NR314--MA0731.1.BCL6B	chr10	117859939	117859955	-	0.000	0.000	Merged-chr10-117859986-12
NR295--MA0731.1.BCL6B	chr10	95557518	95557534	+	0.000	0.000	Merged-chr10-95557525-27
NR152--MA0731.1.BCL6B	chr1	161309642	161309658	+	0.000	0.000	Merged-chr1-161309457-43
NR1171--MA0463.1.Bcl6	chr2	71360338	71360351	-	0.000	0.000	Merged-chr2-71360379-16
NR391--MA0463.1.Bcl6	chr11	94236370	94236383	+	0.000	0.000	Merged-chr11-94236284-28
NR239--MA0463.1.Bcl6	chr10	53863685	53863698	+	0.000	0.000	Merged-chr10-53863643-19
NR906--MA0463.1.Bcl6	chr16	97869925	97869938	-	0.000	0.000	Merged-chr16-97869698-43
NR327--MA0731.1.BCL6B	chr10	128645864	128645880	-	0.000	0.000	Merged-chr10-128645990-43
NR2167--MA0731.1.BCL6B	chr8	94434330	94434346	-	0.000	0.000	Merged-chr8-94434227-54
NR165--MA0731.1.BCL6B	chr1	165812650	165812666	-	0.000	0.000	Merged-chr1-165812825-36
NR436--MA0731.1.BCL6B	chr12	30557461	30557477	-	0.000	0.000	Merged-chr12-30557589-12
NR163--MA0463.1.Bcl6	chr1	165762952	165762965	-	0.000	0.000	Merged-chr1-165762998-3
NR1731--MA0463.1.Bcl6	chr5	111201014	111201027	-	0.000	0.000	Merged-chr5-111200863-1
NR2145--MA0463.1.Bcl6	chr8	72279098	72279111	+	0.000	0.000	Merged-chr8-72279287-40
NR2051--MA0463.1.Bcl6	chr7	114817785	114817798	+	0.000	0.000	Merged-chr7-114817676-52
NR293--MA0463.1.Bcl6	chr10	94378508	94378521	+	0.000	0.000	Merged-chr10-94378414-58
NR2163--MA0463.1.Bcl6	chr8	90828934	90828947	+	0.000	0.000	Merged-chr8-90828979-56
NR1400--MA0463.1.Bcl6	chr3	129308481	129308494	+	0.000	0.000	Merged-chr3-129308560-67
NR620--MA0463.1.Bcl6	chr13	110683371	110683384	+	0.000	0.000	Merged-chr13-110683272-3
NR862--MA0463.1.Bcl6	chr16	50364128	50364141	-	0.000	0.000	Merged-chr16-50364238-69
NR410--MA0463.1.Bcl6	chr11	113612289	113612302	-	0.000	0.000	Merged-chr11-113612276-39
NR616--MA0463.1.Bcl6	chr13	108045820	108045833	+	0.000	0.000	Merged-chr13-108045887-18
NR1875--MA0463.1.Bcl6	chr6	116287138	116287151	-	0.000	0.000	Merged-chr6-116287137-8
NR880--MA0463.1.Bcl6	chr16	72218122	72218135	-	0.000	0.000	Merged-chr16-72218239-19
NR1996--MA0463.1.Bcl6	chr7	72261167	72261180	+	0.000	0.000	Merged-chr7-72261137-47
NR1470--MA0731.1.BCL6B	chr4	32869023	32869039	+	0.000	0.000	Merged-chr4-32869066-16
NR44--MA0463.1.Bcl6	chr1	79684420	79684433	-	0.000	0.000	Merged-chr1-79684355-13
NR1645--MA0731.1.BCL6B	chr5	25007033	25007049	+	0.000	0.000	Merged-chr5-25007008-18
NR1768--MA0463.1.Bcl6	chr5	147697206	147697219	+	0.000	0.000	Merged-chr5-147697335-17
NR1483--MA0731.1.BCL6B	chr4	49568025	49568041	+	0.000	0.000	Merged-chr4-49567834-34
NR764--MA0463.1.Bcl6	chr15	36708581	36708594	+	0.000	0.000	Merged-chr15-36708582-23
NR670--MA0463.1.Bcl6	chr14	55603985	55603998	+	0.000	0.000	Merged-chr14-55604128-61
NR1419--MA0463.1.Bcl6	chr3	142706757	142706770	+	0.000	0.000	Merged-chr3-142706916-9
NR2335--MA0731.1.BCL6B	chrX	100494214	100494230	-	0.000	0.000	Merged-chrX-100494288-61
NR1210--MA0731.1.BCL6B	chr2	116942592	116942608	-	0.000	0.000	Merged-chr2-116942591-14
NR67--MA0463.1.Bcl6	chr1	90676688	90676701	-	0.000	0.000	Merged-chr1-90676812-13
NR1191--MA0731.1.BCL6B	chr2	93199059	93199075	-	0.000	0.000	Merged-chr2-93199242-68
NR1462--MA0731.1.BCL6B	chr4	11404251	11404267	-	0.000	0.000	Merged-chr4-11404244-13
NR675--MA0463.1.Bcl6	chr14	57680133	57680146	+	0.000	0.000	Merged-chr14-57680165-28
NR7--MA0463.1.Bcl6	chr1	20740783	20740796	+	0.000	0.000	Merged-chr1-20740658-39
NR1209--MA0463.1.Bcl6	chr2	116942586	116942599	+	0.000	0.000	Merged-chr2-116942591-14
NR1688--MA0463.1.Bcl6	chr5	91960046	91960059	-	0.000	0.000	Merged-chr5-91960197-8
NR1680--MA0731.1.BCL6B	chr5	77130534	77130550	+	0.000	0.000	Merged-chr5-77130540-43
NR2186--MA0731.1.BCL6B	chr8	114986155	114986171	+	0.000	0.000	Merged-chr8-114986195-32
NR326--MA0463.1.Bcl6	chr10	128645867	128645880	+	0.000	0.000	Merged-chr10-128645990-43
NR1012--MA0463.1.Bcl6	chr18	65272282	65272295	+	0.000	0.000	Merged-chr18-65272227-29
NR590--MA0463.1.Bcl6	chr13	81351846	81351859	-	0.000	0.000	Merged-chr13-81351650-43
NR232--MA0463.1.Bcl6	chr10	39387280	39387293	-	0.000	0.000	Merged-chr10-39387129-14
NR438--MA0463.1.Bcl6	chr12	34249080	34249093	+	0.000	0.000	Merged-chr12-34249045-49
NR1339--MA0463.1.Bcl6	chr3	81102262	81102275	+	0.000	0.000	Merged-chr3-81102418-9
NR1800--MA0463.1.Bcl6	chr6	37564211	37564224	-	0.000	0.000	Merged-chr6-37564158-19
NR559--MA0463.1.Bcl6	chr13	44376071	44376084	+	0.000	0.000	Merged-chr13-44376077-22
NR2214--MA0463.1.Bcl6	chr9	13443678	13443691	-	0.000	0.000	Merged-chr9-13443699-54
NR1550--MA0731.1.BCL6B	chr4	109079933	109079949	-	0.000	0.000	Merged-chr4-109079913-32
NR1616--MA0731.1.BCL6B	chr5	5749605	5749621	+	0.000	0.000	Merged-chr5-5749564-48
NR689--MA0463.1.Bcl6	chr14	68044927	68044940	+	0.000	0.000	Merged-chr14-68044800-35
NR228--MA0463.1.Bcl6	chr10	28816361	28816374	+	0.000	0.000	Merged-chr10-28816240-37
NR229--MA0731.1.BCL6B	chr10	31742552	31742568	-	0.000	0.000	Merged-chr10-31742619-29
NR2107--MA0463.1.Bcl6	chr8	12672243	12672256	+	0.000	0.000	Merged-chr8-12672209-68
NR2219--MA0463.1.Bcl6	chr9	21679884	21679897	-	0.000	0.000	Merged-chr9-21680027-16
