#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-DKO_Th1_vs_WT_Th1.up.bed
NR7999--MA0089.1.MAFG::NFE2L1	chr3	116751425	116751430	+	0.000	0.000	Merged-chr3-116751371-23
NR4887--MA0117.2.Mafb	chr16	24840221	24840232	+	0.000	0.000	Merged-chr16-24840158-23
NR2490--MA0496.2.MAFK	chr11	115460241	115460259	+	0.000	0.000	Merged-chr11-115460107-26
NR12400--MA0089.1.MAFG::NFE2L1	chr9	69987729	69987734	-	0.000	0.000	Merged-chr9-69987848-24
NR3108--MA0659.1.MAFG	chr12	115258126	115258146	-	0.000	0.000	Merged-chr12-115257987-63
NR7257--MA0591.1.Bach1::Mafk	chr2	146062481	146062495	-	0.000	0.000	Merged-chr2-146062523-26
NR4666--MA0495.2.MAFF	chr15	83149651	83149671	+	0.000	0.000	Merged-chr15-83149470-115
NR10092--MA0591.1.Bach1::Mafk	chr6	53498091	53498105	+	0.000	0.000	Merged-chr6-53498072-40
NR5622--MA0089.1.MAFG::NFE2L1	chr17	84004425	84004430	-	0.000	0.000	Merged-chr17-84004507-68
NR6175--MA0089.1.MAFG::NFE2L1	chr19	12833815	12833820	-	0.000	0.000	Merged-chr19-12833671-54
NR4350--MA0659.1.MAFG	chr15	4124870	4124890	-	0.000	0.000	Merged-chr15-4124842-36
NR2170--MA0117.2.Mafb	chr11	73133127	73133138	-	0.000	0.000	Merged-chr11-73133140-9
NR8299--MA0501.1.MAF::NFE2	chr3	152315824	152315838	+	0.000	0.000	Merged-chr3-152315823-29
NR11963--MA0089.1.MAFG::NFE2L1	chr8	111821507	111821512	+	0.000	0.000	Merged-chr8-111821367-66
NR11096--MA0089.1.MAFG::NFE2L1	chr7	79249754	79249759	+	0.000	0.000	Merged-chr7-79249720-34
NR8105--MA0117.2.Mafb	chr3	133411787	133411798	-	0.000	0.000	Merged-chr3-133411903-38
NR6718--MA0659.1.MAFG	chr2	52955271	52955291	+	0.000	0.000	Merged-chr2-52955279-28
NR3142--MA0495.2.MAFF	chr12	117403964	117403984	-	0.000	0.000	Merged-chr12-117403786-38
NR5948--MA0496.2.MAFK	chr18	66409293	66409311	+	0.000	0.000	Merged-chr18-66409343-32
NR8132--MA0089.1.MAFG::NFE2L1	chr3	136688184	136688189	-	0.000	0.000	Merged-chr3-136688298-63
NR10507--MA0495.2.MAFF	chr6	127265242	127265262	+	0.000	0.000	Merged-chr6-127265230-18
NR11889--MA0089.1.MAFG::NFE2L1	chr8	91545812	91545817	-	0.000	0.000	Merged-chr8-91545805-43
NR9979--MA0501.1.MAF::NFE2	chr6	17633954	17633968	-	0.000	0.000	Merged-chr6-17634029-17
NR1880--MA0495.2.MAFF	chr11	4249445	4249465	-	0.000	0.000	Merged-chr11-4249438-7
NR1522--MA0495.2.MAFF	chr10	88875144	88875164	+	0.000	0.000	Merged-chr10-88875114-36
NR5628--MA0117.2.Mafb	chr17	85189690	85189701	+	0.000	0.000	Merged-chr17-85189630-51
NR129--MA0591.1.Bach1::Mafk	chr1	51594095	51594109	+	0.000	0.000	Merged-chr1-51594120-49
NR8338--MA0117.2.Mafb	chr3	155235702	155235713	-	0.000	0.000	Merged-chr3-155235663-12
NR2374--MA0496.2.MAFK	chr11	106001903	106001921	-	0.000	0.000	Merged-chr11-106001838-18
NR8058--MA0089.1.MAFG::NFE2L1	chr3	127892031	127892036	-	0.000	0.000	Merged-chr3-127892051-37
NR11941--MA0496.2.MAFK	chr8	106795005	106795023	-	0.000	0.000	Merged-chr8-106794988-23
NR9176--MA0501.1.MAF::NFE2	chr5	20082524	20082538	-	0.000	0.000	Merged-chr5-20082786-46
NR7902--MA0591.1.Bach1::Mafk	chr3	105892542	105892556	+	0.000	0.000	Merged-chr3-105892493-111
NR5306--MA0659.1.MAFG	chr17	10840174	10840194	+	0.000	0.000	Merged-chr17-10840429-74
NR2898--MA0501.1.MAF::NFE2	chr12	98249886	98249900	+	0.000	0.000	Merged-chr12-98249926-13
NR11861--MA0495.2.MAFF	chr8	84914096	84914116	+	0.000	0.000	Merged-chr8-84914135-5
NR7862--MA0501.1.MAF::NFE2	chr3	101056906	101056920	-	0.000	0.000	Merged-chr3-101056914-14
NR1524--MA0659.1.MAFG	chr10	88875144	88875164	+	0.000	0.000	Merged-chr10-88875114-36
NR264--MA0501.1.MAF::NFE2	chr1	74726840	74726854	-	0.000	0.000	Merged-chr1-74726770-27
NR7611--MA0659.1.MAFG	chr3	21917647	21917667	-	0.000	0.000	Merged-chr3-21917648-70
NR7807--MA0089.1.MAFG::NFE2L1	chr3	90446503	90446508	-	0.000	0.000	Merged-chr3-90446607-7
NR7316--MA0089.1.MAFG::NFE2L1	chr2	150918921	150918926	+	0.000	0.000	Merged-chr2-150918832-31
NR9679--MA0659.1.MAFG	chr5	118269183	118269203	+	0.000	0.000	Merged-chr5-118269215-26
NR11807--MA0496.2.MAFK	chr8	75084002	75084020	+	0.000	0.000	Merged-chr8-75083999-30
NR2787--MA0501.1.MAF::NFE2	chr12	77138857	77138871	+	0.000	0.000	Merged-chr12-77138910-46
NR10072--MA0591.1.Bach1::Mafk	chr6	50261847	50261861	+	0.000	0.000	Merged-chr6-50261833-23
NR4480--MA0117.2.Mafb	chr15	51803083	51803094	+	0.000	0.000	Merged-chr15-51803142-36
NR6521--MA0117.2.Mafb	chr2	17703200	17703211	-	0.000	0.000	Merged-chr2-17703026-82
NR6879--MA0089.1.MAFG::NFE2L1	chr2	84784886	84784891	-	0.000	0.000	Merged-chr2-84784837-8
NR2528--MA0501.1.MAF::NFE2	chr11	118000747	118000761	-	0.000	0.000	Merged-chr11-118000770-19
NR4415--MA0089.1.MAFG::NFE2L1	chr15	31418319	31418324	-	0.000	0.000	Merged-chr15-31418440-29
NR6388--MA0089.1.MAFG::NFE2L1	chr19	57150498	57150503	-	0.000	0.000	Merged-chr19-57150448-16
NR5658--MA0495.2.MAFF	chr17	88213760	88213780	+	0.000	0.000	Merged-chr17-88213709-19
NR12953--MA0659.1.MAFG	chrX	75764228	75764248	-	0.000	0.000	Merged-chrX-75764478-65
NR11751--MA0117.2.Mafb	chr8	68674248	68674259	-	0.000	0.000	Merged-chr8-68674402-29
NR9681--MA0496.2.MAFK	chr5	118269184	118269202	+	0.000	0.000	Merged-chr5-118269215-26
NR6475--MA0089.1.MAFG::NFE2L1	chr2	9867583	9867588	-	0.000	0.000	Merged-chr2-9867507-76
NR11004--MA0089.1.MAFG::NFE2L1	chr7	58584554	58584559	-	0.000	0.000	Merged-chr7-58584520-36
NR2356--MA0089.1.MAFG::NFE2L1	chr11	101910371	101910376	-	0.000	0.000	Merged-chr11-101910464-12
NR7780--MA0089.1.MAFG::NFE2L1	chr3	88491378	88491383	+	0.000	0.000	Merged-chr3-88491281-8
NR881--MA0495.2.MAFF	chr1	177702851	177702871	-	0.000	0.000	Merged-chr1-177702906-70
NR2265--MA0591.1.Bach1::Mafk	chr11	87074104	87074118	+	0.000	0.000	Merged-chr11-87073947-35
NR4131--MA0117.2.Mafb	chr14	74646622	74646633	+	0.000	0.000	Merged-chr14-74646498-47
NR2077--MA0659.1.MAFG	chr11	60199797	60199817	-	0.000	0.000	Merged-chr11-60199892-26
NR8708--MA0501.1.MAF::NFE2	chr4	108350026	108350040	-	0.000	0.000	Merged-chr4-108350117-42
NR11863--MA0117.2.Mafb	chr8	84914105	84914116	-	0.000	0.000	Merged-chr8-84914135-5
NR6199--MA0089.1.MAFG::NFE2L1	chr19	18555805	18555810	-	0.000	0.000	Merged-chr19-18555822-23
NR7596--MA0501.1.MAF::NFE2	chr3	18243873	18243887	+	0.000	0.000	Merged-chr3-18243680-52
NR8840--MA0591.1.Bach1::Mafk	chr4	127015767	127015781	-	0.000	0.000	Merged-chr4-127015612-55
NR10007--MA0591.1.Bach1::Mafk	chr6	30227526	30227540	-	0.000	0.000	Merged-chr6-30227395-32
NR12286--MA0117.2.Mafb	chr9	43096440	43096451	+	0.000	0.000	Merged-chr9-43096353-58
NR10771--MA0496.2.MAFK	chr6	148436635	148436653	+	0.000	0.000	Merged-chr6-148436541-68
NR3392--MA0501.1.MAF::NFE2	chr13	49213774	49213788	-	0.000	0.000	Merged-chr13-49213785-35
NR4528--MA0089.1.MAFG::NFE2L1	chr15	59653099	59653104	-	0.000	0.000	Merged-chr15-59653150-73
NR8532--MA0089.1.MAFG::NFE2L1	chr4	57928013	57928018	-	0.000	0.000	Merged-chr4-57928066-27
NR1290--MA0501.1.MAF::NFE2	chr10	39765057	39765071	+	0.000	0.000	Merged-chr10-39764888-24
NR1648--MA0495.2.MAFF	chr10	107858904	107858924	-	0.000	0.000	Merged-chr10-107858878-12
NR5659--MA0089.1.MAFG::NFE2L1	chr17	88511407	88511412	-	0.000	0.000	Merged-chr17-88511397-31
NR3889--MA0089.1.MAFG::NFE2L1	chr14	14068436	14068441	+	0.000	0.000	Merged-chr14-14068310-99
NR12033--MA0089.1.MAFG::NFE2L1	chr8	122704736	122704741	+	0.000	0.000	Merged-chr8-122704840-25
NR10438--MA0659.1.MAFG	chr6	121210700	121210720	-	0.000	0.000	Merged-chr6-121210795-40
NR6638--MA0117.2.Mafb	chr2	38536563	38536574	-	0.000	0.000	Merged-chr2-38536477-82
NR11885--MA0089.1.MAFG::NFE2L1	chr8	90936883	90936888	+	0.000	0.000	Merged-chr8-90936963-24
NR9175--MA0591.1.Bach1::Mafk	chr5	20082527	20082541	-	0.000	0.000	Merged-chr5-20082786-46
NR1512--MA0089.1.MAFG::NFE2L1	chr10	88327454	88327459	-	0.000	0.000	Merged-chr10-88327622-31
NR9313--MA0501.1.MAF::NFE2	chr5	65951605	65951619	+	0.000	0.000	Merged-chr5-65951579-1
NR648--MA0591.1.Bach1::Mafk	chr1	155040533	155040547	+	0.000	0.000	Merged-chr1-155040391-76
NR11374--MA0591.1.Bach1::Mafk	chr7	118595465	118595479	+	0.000	0.000	Merged-chr7-118595316-35
NR7434--MA0591.1.Bach1::Mafk	chr2	167986854	167986868	+	0.000	0.000	Merged-chr2-167986885-20
NR11806--MA0501.1.MAF::NFE2	chr8	75084001	75084015	-	0.000	0.000	Merged-chr8-75083999-30
NR9850--MA0089.1.MAFG::NFE2L1	chr5	146844437	146844442	+	0.000	0.000	Merged-chr5-146844411-3
NR4137--MA0089.1.MAFG::NFE2L1	chr14	75131285	75131290	+	0.000	0.000	Merged-chr14-75131133-67
NR2858--MA0089.1.MAFG::NFE2L1	chr12	91009109	91009114	-	0.000	0.000	Merged-chr12-91009085-35
NR5933--MA0089.1.MAFG::NFE2L1	chr18	64913497	64913502	+	0.000	0.000	Merged-chr18-64913437-34
NR12--MA0089.1.MAFG::NFE2L1	chr1	13052456	13052461	+	0.000	0.000	Merged-chr1-13052356-32
NR4513--MA0089.1.MAFG::NFE2L1	chr15	58649984	58649989	-	0.000	0.000	Merged-chr15-58650001-42
NR8541--MA0591.1.Bach1::Mafk	chr4	59682666	59682680	+	0.000	0.000	Merged-chr4-59682801-45
NR10440--MA0496.2.MAFK	chr6	121210701	121210719	-	0.000	0.000	Merged-chr6-121210795-40
NR8626--MA0591.1.Bach1::Mafk	chr4	89516002	89516016	-	0.000	0.000	Merged-chr4-89516226-43
NR13009--MA0501.1.MAF::NFE2	chrX	113075052	113075066	+	0.000	0.000	Merged-chrX-113075086-29
NR7950--MA0591.1.Bach1::Mafk	chr3	109124297	109124311	-	0.000	0.000	Merged-chr3-109124189-33
NR10075--MA0591.1.Bach1::Mafk	chr6	50553488	50553502	+	0.000	0.000	Merged-chr6-50553342-12
NR617--MA0496.2.MAFK	chr1	152254076	152254094	+	0.000	0.000	Merged-chr1-152254014-57
NR2569--MA0089.1.MAFG::NFE2L1	chr12	3745872	3745877	-	0.000	0.000	Merged-chr12-3745858-43
NR755--MA0089.1.MAFG::NFE2L1	chr1	165132474	165132479	-	0.000	0.000	Merged-chr1-165132661-25
NR3498--MA0089.1.MAFG::NFE2L1	chr13	73491112	73491117	-	0.000	0.000	Merged-chr13-73490941-1,Merged-chr13-73491277-13
NR7993--MA0089.1.MAFG::NFE2L1	chr3	116331916	116331921	-	0.000	0.000	Merged-chr3-116332074-27
NR8103--MA0501.1.MAF::NFE2	chr3	132979993	132980007	+	0.000	0.000	Merged-chr3-132979856-28
NR6627--MA0496.2.MAFK	chr2	35447542	35447560	-	0.000	0.000	Merged-chr2-35447488-46
NR7955--MA0501.1.MAF::NFE2	chr3	109323889	109323903	+	0.000	0.000	Merged-chr3-109323909-70
NR12743--MA0117.2.Mafb	chr9	114621151	114621162	-	0.000	0.000	Merged-chr9-114621254-26
NR11292--MA0089.1.MAFG::NFE2L1	chr7	109781589	109781594	-	0.000	0.000	Merged-chr7-109781592-85
NR4823--MA0591.1.Bach1::Mafk	chr16	4790140	4790154	+	0.000	0.000	Merged-chr16-4790072-71
NR4850--MA0501.1.MAF::NFE2	chr16	14237421	14237435	-	0.000	0.000	Merged-chr16-14237452-27
NR8715--MA0117.2.Mafb	chr4	109135038	109135049	-	0.000	0.000	Merged-chr4-109135224-18
NR2050--MA0089.1.MAFG::NFE2L1	chr11	55136889	55136894	+	0.000	0.000	Merged-chr11-55136995-49
NR6309--MA0089.1.MAFG::NFE2L1	chr19	45006390	45006395	-	0.000	0.000	Merged-chr19-45006531-66
NR10420--MA0501.1.MAF::NFE2	chr6	118099638	118099652	+	0.000	0.000	Merged-chr6-118099551-27
NR9946--MA0501.1.MAF::NFE2	chr6	10690801	10690815	-	0.000	0.000	Merged-chr6-10690708-20
NR8503--MA0495.2.MAFF	chr4	47314181	47314201	-	0.000	0.000	Merged-chr4-47314208-36
NR11028--MA0089.1.MAFG::NFE2L1	chr7	66116123	66116128	+	0.000	0.000	Merged-chr7-66116161-49
NR5309--MA0496.2.MAFK	chr17	10840175	10840193	-	0.000	0.000	Merged-chr17-10840429-74
NR8751--MA0659.1.MAFG	chr4	116018506	116018526	-	0.000	0.000	Merged-chr4-116018460-3
NR2611--MA0591.1.Bach1::Mafk	chr12	17710516	17710530	-	0.000	0.000	Merged-chr12-17710321-27
NR5030--MA0591.1.Bach1::Mafk	chr16	55975111	55975125	+	0.000	0.000	Merged-chr16-55975100-1
NR5352--MA0591.1.Bach1::Mafk	chr17	22165863	22165877	-	0.000	0.000	Merged-chr17-22165943-71
NR5646--MA0501.1.MAF::NFE2	chr17	86850856	86850870	+	0.000	0.000	Merged-chr17-86850931-27
NR1423--MA0089.1.MAFG::NFE2L1	chr10	75446552	75446557	-	0.000	0.000	Merged-chr10-75446685-44
NR2212--MA0659.1.MAFG	chr11	79207637	79207657	-	0.000	0.000	Merged-chr11-79207824-18
NR6471--MA0089.1.MAFG::NFE2L1	chr2	8965006	8965011	+	0.000	0.000	Merged-chr2-8965212-53
NR3772--MA0089.1.MAFG::NFE2L1	chr13	112509557	112509562	+	0.000	0.000	Merged-chr13-112509641-25
NR2897--MA0659.1.MAFG	chr12	98249880	98249900	-	0.000	0.000	Merged-chr12-98249926-13
NR4713--MA0089.1.MAFG::NFE2L1	chr15	93712836	93712841	-	0.000	0.000	Merged-chr15-93712745-43
NR10852--MA0089.1.MAFG::NFE2L1	chr7	24377288	24377293	+	0.000	0.000	Merged-chr7-24377357-8
NR13060--MA0089.1.MAFG::NFE2L1	chrX	167101843	167101848	+	0.000	0.000	Merged-chrX-167102061-51
NR955--MA0089.1.MAFG::NFE2L1	chr1	184741551	184741556	+	0.000	0.000	Merged-chr1-184741519-9
NR6538--MA0501.1.MAF::NFE2	chr2	18821913	18821927	-	0.000	0.000	Merged-chr2-18821841-56
NR2278--MA0089.1.MAFG::NFE2L1	chr11	87853247	87853252	-	0.000	0.000	Merged-chr11-87853280-46
NR3707--MA0496.2.MAFK	chr13	108498729	108498747	-	0.000	0.000	Merged-chr13-108498755-24
NR8368--MA0501.1.MAF::NFE2	chr3	157884228	157884242	-	0.000	0.000	Merged-chr3-157884103-23
NR2334--MA0501.1.MAF::NFE2	chr11	97703265	97703279	+	0.000	0.000	Merged-chr11-97703111-88
NR13052--MA0496.2.MAFK	chrX	166661609	166661627	+	0.000	0.000	Merged-chrX-166661565-108
NR9572--MA0089.1.MAFG::NFE2L1	chr5	103680516	103680521	-	0.000	0.000	Merged-chr5-103680526-14
NR671--MA0496.2.MAFK	chr1	156911154	156911172	+	0.000	0.000	Merged-chr1-156911198-16
NR11794--MA0089.1.MAFG::NFE2L1	chr8	72343868	72343873	+	0.000	0.000	Merged-chr8-72343901-44
NR10805--MA0591.1.Bach1::Mafk	chr7	15949562	15949576	-	0.000	0.000	Merged-chr7-15949519-32
NR3322--MA0501.1.MAF::NFE2	chr13	30732880	30732894	+	0.000	0.000	Merged-chr13-30733063-17
NR210--MA0496.2.MAFK	chr1	64486461	64486479	+	0.000	0.000	Merged-chr1-64486540-36
NR7794--MA0495.2.MAFF	chr3	89727207	89727227	-	0.000	0.000	Merged-chr3-89727230-25
NR11055--MA0591.1.Bach1::Mafk	chr7	72270223	72270237	-	0.000	0.000	Merged-chr7-72270231-51
NR12080--MA0501.1.MAF::NFE2	chr8	125344032	125344046	-	0.000	0.000	Merged-chr8-125344095-45
NR6251--MA0501.1.MAF::NFE2	chr19	32904729	32904743	-	0.000	0.000	Merged-chr19-32904627-33
NR6716--MA0591.1.Bach1::Mafk	chr2	52955274	52955288	+	0.000	0.000	Merged-chr2-52955279-28
NR6943--MA0501.1.MAF::NFE2	chr2	104208180	104208194	+	0.000	0.000	Merged-chr2-104208216-12
NR6059--MA0501.1.MAF::NFE2	chr18	82492905	82492919	-	0.000	0.000	Merged-chr18-82492983-14
NR1579--MA0117.2.Mafb	chr10	93933049	93933060	-	0.000	0.000	Merged-chr10-93933103-29
NR9094--MA0089.1.MAFG::NFE2L1	chr5	3494541	3494546	-	0.000	0.000	Merged-chr5-3494641-74
NR9183--MA0117.2.Mafb	chr5	21368753	21368764	-	0.000	0.000	Merged-chr5-21368960-21
NR3405--MA0117.2.Mafb	chr13	51418563	51418574	-	0.000	0.000	Merged-chr13-51418745-22
NR8050--MA0089.1.MAFG::NFE2L1	chr3	126831607	126831612	-	0.000	0.000	Merged-chr3-126831628-17
NR10898--MA0501.1.MAF::NFE2	chr7	29816016	29816030	-	0.000	0.000	Merged-chr7-29816029-62
NR9106--MA0089.1.MAFG::NFE2L1	chr5	8807529	8807534	-	0.000	0.000	Merged-chr5-8807445-55
NR11617--MA0089.1.MAFG::NFE2L1	chr8	11507053	11507058	+	0.000	0.000	Merged-chr8-11506999-19
NR6597--MA0089.1.MAFG::NFE2L1	chr2	32152279	32152284	+	0.000	0.000	Merged-chr2-32152273-53
NR8709--MA0496.2.MAFK	chr4	108350027	108350045	+	0.000	0.000	Merged-chr4-108350117-42
NR4398--MA0591.1.Bach1::Mafk	chr15	27518266	27518280	-	0.000	0.000	Merged-chr15-27518308-43
NR4826--MA0591.1.Bach1::Mafk	chr16	4790194	4790208	-	0.000	0.000	Merged-chr16-4790072-71
NR2226--MA0659.1.MAFG	chr11	80301633	80301653	-	0.000	0.000	Merged-chr11-80301422-73
NR2450--MA0089.1.MAFG::NFE2L1	chr11	113187343	113187348	-	0.000	0.000	Merged-chr11-113187180-1
NR6478--MA0659.1.MAFG	chr2	10825693	10825713	+	0.000	0.000	Merged-chr2-10825844-43
NR4007--MA0501.1.MAF::NFE2	chr14	50939150	50939164	-	0.000	0.000	Merged-chr14-50939148-9
NR6899--MA0089.1.MAFG::NFE2L1	chr2	92243992	92243997	-	0.000	0.000	Merged-chr2-92243919-9
NR6218--MA0089.1.MAFG::NFE2L1	chr19	24271823	24271828	+	0.000	0.000	Merged-chr19-24271931-46
NR3015--MA0089.1.MAFG::NFE2L1	chr12	110389608	110389613	+	0.000	0.000	Merged-chr12-110389691-32
NR5881--MA0501.1.MAF::NFE2	chr18	55050889	55050903	-	0.000	0.000	Merged-chr18-55050703-48
NR6721--MA0501.1.MAF::NFE2	chr2	52955271	52955285	-	0.000	0.000	Merged-chr2-52955279-28
NR7349--MA0089.1.MAFG::NFE2L1	chr2	154603870	154603875	+	0.000	0.000	Merged-chr2-154603925-61
NR11245--MA0495.2.MAFF	chr7	104465137	104465157	+	0.000	0.000	Merged-chr7-104465292-53
NR6625--MA0501.1.MAF::NFE2	chr2	35447547	35447561	+	0.000	0.000	Merged-chr2-35447488-46
NR2678--MA0117.2.Mafb	chr12	36317334	36317345	-	0.000	0.000	Merged-chr12-36317326-46
NR2376--MA0089.1.MAFG::NFE2L1	chr11	106165392	106165397	-	0.000	0.000	Merged-chr11-106165537-24
NR3378--MA0591.1.Bach1::Mafk	chr13	45623918	45623932	-	0.000	0.000	Merged-chr13-45624002-39
NR11355--MA0501.1.MAF::NFE2	chr7	116484455	116484469	+	0.000	0.000	Merged-chr7-116484434-42
NR1581--MA0501.1.MAF::NFE2	chr10	94021247	94021261	-	0.000	0.000	Merged-chr10-94021256-59
NR12214--MA0495.2.MAFF	chr9	21609994	21610014	+	0.000	0.000	Merged-chr9-21610100-42
NR4851--MA0496.2.MAFK	chr16	14237422	14237440	+	0.000	0.000	Merged-chr16-14237452-27
NR7561--MA0496.2.MAFK	chr2	181307397	181307415	-	0.000	0.000	Merged-chr2-181307341-24
NR764--MA0089.1.MAFG::NFE2L1	chr1	165722907	165722912	-	0.000	0.000	Merged-chr1-165722797-48
NR8712--MA0501.1.MAF::NFE2	chr4	108826237	108826251	+	0.000	0.000	Merged-chr4-108826101-25
NR11792--MA0089.1.MAFG::NFE2L1	chr8	72208725	72208730	-	0.000	0.000	Merged-chr8-72208866-14
NR3202--MA0089.1.MAFG::NFE2L1	chr13	8400881	8400886	+	0.000	0.000	Merged-chr13-8400702-31
NR6091--MA0089.1.MAFG::NFE2L1	chr18	86557915	86557920	-	0.000	0.000	Merged-chr18-86558016-9
NR4771--MA0495.2.MAFF	chr15	99715149	99715169	-	0.000	0.000	Merged-chr15-99715119-21
NR1749--MA0089.1.MAFG::NFE2L1	chr10	119083571	119083576	-	0.000	0.000	Merged-chr10-119083697-27
NR1499--MA0659.1.MAFG	chr10	86727747	86727767	-	0.000	0.000	Merged-chr10-86727830-49
NR11340--MA0501.1.MAF::NFE2	chr7	115615933	115615947	+	0.000	0.000	Merged-chr7-115616015-64
NR2477--MA0659.1.MAFG	chr11	115172976	115172996	-	0.000	0.000	Merged-chr11-115173098-6
NR4316--MA0501.1.MAF::NFE2	chr14	121931119	121931133	-	0.000	0.000	Merged-chr14-121931088-62
NR4525--MA0495.2.MAFF	chr15	59620004	59620024	+	0.000	0.000	Merged-chr15-59620120-63
NR3614--MA0591.1.Bach1::Mafk	chr13	96697955	96697969	-	0.000	0.000	Merged-chr13-96698036-39
NR1682--MA0591.1.Bach1::Mafk	chr10	111506614	111506628	-	0.000	0.000	Merged-chr10-111506860-100
NR11296--MA0501.1.MAF::NFE2	chr7	110109321	110109335	+	0.000	0.000	Merged-chr7-110109267-48
NR1767--MA0591.1.Bach1::Mafk	chr10	122602568	122602582	-	0.000	0.000	Merged-chr10-122602489-11
NR7710--MA0089.1.MAFG::NFE2L1	chr3	65886094	65886099	+	0.000	0.000	Merged-chr3-65886068-18
NR5188--MA0089.1.MAFG::NFE2L1	chr16	91443566	91443571	+	0.000	0.000	Merged-chr16-91443415-25
NR6984--MA0089.1.MAFG::NFE2L1	chr2	115610676	115610681	+	0.000	0.000	Merged-chr2-115610633-33
NR4764--MA0117.2.Mafb	chr15	98631606	98631617	-	0.000	0.000	Merged-chr15-98631640-23
NR2362--MA0501.1.MAF::NFE2	chr11	103262561	103262575	+	0.000	0.000	Merged-chr11-103262578-52
NR3228--MA0591.1.Bach1::Mafk	chr13	13784347	13784361	+	0.000	0.000	Merged-chr13-13784433-81
NR8969--MA0089.1.MAFG::NFE2L1	chr4	145342070	145342075	+	0.000	0.000	Merged-chr4-145342099-62
NR11679--MA0496.2.MAFK	chr8	33647108	33647126	+	0.000	0.000	Merged-chr8-33647058-21
NR3766--MA0496.2.MAFK	chr13	111807869	111807887	-	0.000	0.000	Merged-chr13-111808090-12
NR1296--MA0591.1.Bach1::Mafk	chr10	40527813	40527827	-	0.000	0.000	Merged-chr10-40527748-36
NR9177--MA0496.2.MAFK	chr5	20082525	20082543	+	0.000	0.000	Merged-chr5-20082786-46
NR5651--MA0089.1.MAFG::NFE2L1	chr17	87315165	87315170	-	0.000	0.000	Merged-chr17-87315064-70
NR964--MA0089.1.MAFG::NFE2L1	chr1	185193693	185193698	-	0.000	0.000	Merged-chr1-185193700-43
NR11973--MA0501.1.MAF::NFE2	chr8	115227110	115227124	+	0.000	0.000	Merged-chr8-115227272-68
NR11802--MA0089.1.MAFG::NFE2L1	chr8	75084011	75084016	-	0.000	0.000	Merged-chr8-75083999-30
NR6291--MA0089.1.MAFG::NFE2L1	chr19	40762495	40762500	+	0.000	0.000	Merged-chr19-40762334-20
NR5633--MA0495.2.MAFF	chr17	86188060	86188080	+	0.000	0.000	Merged-chr17-86187981-35
NR2900--MA0496.2.MAFK	chr12	98249881	98249899	-	0.000	0.000	Merged-chr12-98249926-13
NR32--MA0089.1.MAFG::NFE2L1	chr1	20766678	20766683	-	0.000	0.000	Merged-chr1-20766829-14
NR9581--MA0089.1.MAFG::NFE2L1	chr5	105515540	105515545	+	0.000	0.000	Merged-chr5-105515630-23
NR4561--MA0495.2.MAFF	chr15	64041700	64041720	-	0.000	0.000	Merged-chr15-64041818-65
NR4753--MA0496.2.MAFK	chr15	97213230	97213248	-	0.000	0.000	Merged-chr15-97213099-28
NR11616--MA0591.1.Bach1::Mafk	chr8	11477881	11477895	+	0.000	0.000	Merged-chr8-11477977-84
NR1169--MA0089.1.MAFG::NFE2L1	chr10	12875016	12875021	+	0.000	0.000	Merged-chr10-12875013-52
NR8788--MA0117.2.Mafb	chr4	120815857	120815868	-	0.000	0.000	Merged-chr4-120815867-58
NR6047--MA0495.2.MAFF	chr18	80684420	80684440	-	0.000	0.000	Merged-chr18-80684566-45
NR3143--MA0501.1.MAF::NFE2	chr12	117403970	117403984	+	0.000	0.000	Merged-chr12-117403786-38
NR1921--MA0089.1.MAFG::NFE2L1	chr11	19998229	19998234	-	0.000	0.000	Merged-chr11-19998211-11
NR2140--MA0501.1.MAF::NFE2	chr11	69411743	69411757	+	0.000	0.000	Merged-chr11-69411912-30
NR1605--MA0495.2.MAFF	chr10	98776481	98776501	-	0.000	0.000	Merged-chr10-98776574-38
NR11927--MA0501.1.MAF::NFE2	chr8	105121285	105121299	+	0.000	0.000	Merged-chr8-105121168-27
NR3039--MA0089.1.MAFG::NFE2L1	chr12	112702470	112702475	+	0.000	0.000	Merged-chr12-112702539-19
NR12744--MA0089.1.MAFG::NFE2L1	chr9	114743033	114743038	+	0.000	0.000	Merged-chr9-114742915-20
NR5167--MA0496.2.MAFK	chr16	87642409	87642427	+	0.000	0.000	Merged-chr16-87642367-32
NR7481--MA0496.2.MAFK	chr2	172976723	172976741	+	0.000	0.000	Merged-chr2-172976797-9
NR5966--MA0089.1.MAFG::NFE2L1	chr18	69346309	69346314	+	0.000	0.000	Merged-chr18-69346424-51
NR4874--MA0591.1.Bach1::Mafk	chr16	22920110	22920124	-	0.000	0.000	Merged-chr16-22920184-19
NR4662--MA0501.1.MAF::NFE2	chr15	82163822	82163836	+	0.000	0.000	Merged-chr15-82163866-28
NR7687--MA0496.2.MAFK	chr3	59062427	59062445	+	0.000	0.000	Merged-chr3-59062358-13
