#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Prdm1/Bcl6KO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/log2fc_selected/all.df.numx.c5-Bcl6KO_Th1_vs_WT_Th1.dn.bed
NR612--MA0508.2.PRDM1	chr15	50400562	50400571	+	0.000	0.000	Merged-chr15-50400444-64
NR1026--MA0508.2.PRDM1	chr2	118200040	118200049	+	0.000	0.000	Merged-chr2-118200163-35
NR1387--MA0508.2.PRDM1	chr5	105872384	105872393	-	0.000	0.000	Merged-chr5-105872355-24
NR1658--MA0508.2.PRDM1	chr7	128611242	128611251	-	0.000	0.000	Merged-chr7-128611334-65
NR1039--MA0508.2.PRDM1	chr2	132029792	132029801	-	0.000	0.000	Merged-chr2-132029738-120
NR1419--MA0508.2.PRDM1	chr5	137760357	137760366	-	0.000	0.000	Merged-chr5-137760235-32
NR1005--MA0508.2.PRDM1	chr2	101755965	101755974	-	0.000	0.000	Merged-chr2-101756112-111
NR843--MA0508.2.PRDM1	chr18	46574305	46574314	-	0.000	0.000	Merged-chr18-46574183-54
NR909--MA0508.2.PRDM1	chr19	23141120	23141129	-	0.000	0.000	Merged-chr19-23141154-104
NR1114--MA0508.2.PRDM1	chr3	59205213	59205222	-	0.000	0.000	Merged-chr3-59205065-6
NR681--MA0508.2.PRDM1	chr16	32130072	32130081	+	0.000	0.000	Merged-chr16-32130229-66
NR999--MA0508.2.PRDM1	chr2	84798927	84798936	-	0.000	0.000	Merged-chr2-84799053-115
NR856--MA0508.2.PRDM1	chr18	65263355	65263364	+	0.000	0.000	Merged-chr18-65263314-18
NR280--MA0508.2.PRDM1	chr11	43379770	43379779	+	0.000	0.000	Merged-chr11-43379857-7
NR822--MA0508.2.PRDM1	chr17	83633001	83633010	+	0.000	0.000	Merged-chr17-83632909-17
NR203--MA0508.2.PRDM1	chr10	88404340	88404349	-	0.000	0.000	Merged-chr10-88404346-22
NR184--MA0508.2.PRDM1	chr10	76238051	76238060	-	0.000	0.000	Merged-chr10-76237890-83
NR455--MA0508.2.PRDM1	chr13	19457226	19457235	-	0.000	0.000	Merged-chr13-19457344-7
NR1345--MA0508.2.PRDM1	chr5	38307966	38307975	-	0.000	0.000	Merged-chr5-38307807-52
NR564--MA0508.2.PRDM1	chr14	72807541	72807550	-	0.000	0.000	Merged-chr14-72807438-29
NR673--MA0508.2.PRDM1	chr16	26581729	26581738	-	0.000	0.000	Merged-chr16-26581670-77
NR1087--MA0508.2.PRDM1	chr2	180589440	180589449	+	0.000	0.000	Merged-chr2-180589507-64
NR325--MA0508.2.PRDM1	chr11	101119236	101119245	+	0.000	0.000	Merged-chr11-101119280-1
NR891--MA0508.2.PRDM1	chr19	4114053	4114062	+	0.000	0.000	Merged-chr19-4113915-47
NR490--MA0508.2.PRDM1	chr13	89521831	89521840	-	0.000	0.000	Merged-chr13-89521757-30
NR936--MA0508.2.PRDM1	chr2	3810518	3810527	+	0.000	0.000	Merged-chr2-3810542-48
NR569--MA0508.2.PRDM1	chr14	74928987	74928996	-	0.000	0.000	Merged-chr14-74929148-19
NR1188--MA0508.2.PRDM1	chr3	139016716	139016725	+	0.000	0.000	Merged-chr3-139016600-18
NR949--MA0508.2.PRDM1	chr2	13672643	13672652	-	0.000	0.000	Merged-chr2-13672808-37
NR264--MA0508.2.PRDM1	chr11	4289425	4289434	+	0.000	0.000	Merged-chr11-4289401-53
NR373--MA0508.2.PRDM1	chr12	72520732	72520741	-	0.000	0.000	Merged-chr12-72520771-29
NR1058--MA0508.2.PRDM1	chr2	145233990	145233999	+	0.000	0.000	Merged-chr2-145234039-59
NR482--MA0508.2.PRDM1	chr13	74861745	74861754	-	0.000	0.000	Merged-chr13-74861692-20
NR753--MA0508.2.PRDM1	chr17	22424139	22424148	-	0.000	0.000	Merged-chr17-22424161-65
NR277--MA0508.2.PRDM1	chr11	26586812	26586821	+	0.000	0.000	Merged-chr11-26586855-34
NR134--MA0508.2.PRDM1	chr1	193303781	193303790	+	0.000	0.000	Merged-chr1-193303652-18
NR56--MA0508.2.PRDM1	chr1	128617825	128617834	+	0.000	0.000	Merged-chr1-128617938-22
NR514--MA0508.2.PRDM1	chr13	110044564	110044573	+	0.000	0.000	Merged-chr13-110044688-32
NR100--MA0508.2.PRDM1	chr1	167212486	167212495	-	0.000	0.000	Merged-chr1-167212500-30
NR875--MA0508.2.PRDM1	chr18	81047062	81047071	+	0.000	0.000	Merged-chr18-81046946-36
NR1289--MA0508.2.PRDM1	chr4	135568138	135568147	-	0.000	0.000	Merged-chr4-135567986-19
NR461--MA0508.2.PRDM1	chr13	30933190	30933199	-	0.000	0.000	Merged-chr13-30933157-53
NR997--MA0508.2.PRDM1	chr2	84678380	84678389	-	0.000	0.000	Merged-chr2-84678253-56
NR378--MA0508.2.PRDM1	chr12	76957918	76957927	+	0.000	0.000	Merged-chr12-76957913-30
NR615--MA0508.2.PRDM1	chr15	53474281	53474290	-	0.000	0.000	Merged-chr15-53474355-25
NR596--MA0508.2.PRDM1	chr15	12606546	12606555	+	0.000	0.000	Merged-chr15-12606518-21
NR201--MA0508.2.PRDM1	chr10	85038367	85038376	-	0.000	0.000	Merged-chr10-85038353-15
NR182--MA0508.2.PRDM1	chr10	71285097	71285106	+	0.000	0.000	Merged-chr10-71285103-74
NR105--MA0508.2.PRDM1	chr1	171412291	171412300	+	0.000	0.000	Merged-chr1-171412217-14
NR1691--MA0508.2.PRDM1	chr8	31097098	31097107	+	0.000	0.000	Merged-chr8-31097238-35
NR323--MA0508.2.PRDM1	chr11	99099150	99099159	-	0.000	0.000	Merged-chr11-99099093-22
NR1561--MA0508.2.PRDM1	chr6	149343925	149343934	+	0.000	0.000	Merged-chr6-149343874-27
NR445--MA0508.2.PRDM1	chr13	6515638	6515647	-	0.000	0.000	Merged-chr13-6515620-23
NR307--MA0508.2.PRDM1	chr11	82048303	82048312	-	0.000	0.000	Merged-chr11-82048200-23
NR288--MA0508.2.PRDM1	chr11	53128858	53128867	+	0.000	0.000	Merged-chr11-53128879-36
NR1750--MA0508.2.PRDM1	chr8	122702392	122702401	+	0.000	0.000	Merged-chr8-122702580-1
NR668--MA0508.2.PRDM1	chr16	10814873	10814882	+	0.000	0.000	Merged-chr16-10814720-1
NR1402--MA0508.2.PRDM1	chr5	117138704	117138713	+	0.000	0.000	Merged-chr5-117138837-45
NR20--MA0508.2.PRDM1	chr1	60017118	60017127	-	0.000	0.000	Merged-chr1-60017133-4
NR158--MA0508.2.PRDM1	chr10	30655970	30655979	+	0.000	0.000	Merged-chr10-30655945-56
NR538--MA0508.2.PRDM1	chr14	27562754	27562763	+	0.000	0.000	Merged-chr14-27562668-44
NR1872--MA0508.2.PRDM1	chrX	96130406	96130415	-	0.000	0.000	Merged-chrX-96130578-90
NR1110--MA0508.2.PRDM1	chr3	55517379	55517388	-	0.000	0.000	Merged-chr3-55517605-60
NR137--MA0508.2.PRDM1	chr10	5194971	5194980	+	0.000	0.000	Merged-chr10-5194873-88
NR389--MA0508.2.PRDM1	chr12	83987859	83987868	+	0.000	0.000	Merged-chr12-83987988-78
NR1580--MA0508.2.PRDM1	chr7	35742521	35742530	+	0.000	0.000	Merged-chr7-35742502-39
NR12--MA0508.2.PRDM1	chr1	39559124	39559133	+	0.000	0.000	Merged-chr1-39559167-24
NR1070--MA0508.2.PRDM1	chr2	158160064	158160073	+	0.000	0.000	Merged-chr2-158160127-37
NR1341--MA0508.2.PRDM1	chr5	28269839	28269848	-	0.000	0.000	Merged-chr5-28269924-54
NR1593--MA0508.2.PRDM1	chr7	58750043	58750052	-	0.000	0.000	Merged-chr7-58750204-53
NR1102--MA0508.2.PRDM1	chr3	35747329	35747338	-	0.000	0.000	Merged-chr3-35747239-33
NR1768--MA0508.2.PRDM1	chr9	22085631	22085640	+	0.000	0.000	Merged-chr9-22085425-60
NR1625--MA0508.2.PRDM1	chr7	96818425	96818434	+	0.000	0.000	Merged-chr7-96818578-56
NR1476--MA0508.2.PRDM1	chr6	67266807	67266816	+	0.000	0.000	Merged-chr6-67267043-98
NR1856--MA0508.2.PRDM1	chrX	7789679	7789688	+	0.000	0.000	Merged-chrX-7789819-46
NR1171--MA0508.2.PRDM1	chr3	121105080	121105089	-	0.000	0.000	Merged-chr3-121105161-35
NR1694--MA0508.2.PRDM1	chr8	35628452	35628461	+	0.000	0.000	Merged-chr8-35628375-52
NR1216--MA0508.2.PRDM1	chr4	7987507	7987516	+	0.000	0.000	Merged-chr4-7987596-39
NR640--MA0508.2.PRDM1	chr15	86007864	86007873	+	0.000	0.000	Merged-chr15-86007897-35
NR892--MA0508.2.PRDM1	chr19	4114059	4114068	+	0.000	0.000	Merged-chr19-4113915-47
NR1782--MA0508.2.PRDM1	chr9	52287602	52287611	-	0.000	0.000	Merged-chr9-52287500-36
NR1577--MA0508.2.PRDM1	chr7	30184078	30184087	+	0.000	0.000	Merged-chr7-30184154-42
NR1705--MA0508.2.PRDM1	chr8	68735089	68735098	+	0.000	0.000	Merged-chr8-68735158-122
NR1609--MA0508.2.PRDM1	chr7	75821776	75821785	+	0.000	0.000	Merged-chr7-75821795-19
NR510--MA0508.2.PRDM1	chr13	108316207	108316216	-	0.000	0.000	Merged-chr13-108316339-65
NR1400--MA0508.2.PRDM1	chr5	115488926	115488935	-	0.000	0.000	Merged-chr5-115489040-3
NR1652--MA0508.2.PRDM1	chr7	125190145	125190154	-	0.000	0.000	Merged-chr7-125190262-47
NR1176--MA0508.2.PRDM1	chr3	123385939	123385948	+	0.000	0.000	Merged-chr3-123385920-64
NR1699--MA0508.2.PRDM1	chr8	40577697	40577706	-	0.000	0.000	Merged-chr8-40577674-21
NR1556--MA0508.2.PRDM1	chr6	145616546	145616555	-	0.000	0.000	Merged-chr6-145616643-48
NR903--MA0508.2.PRDM1	chr19	16956031	16956040	+	0.000	0.000	Merged-chr19-16955982-11
NR1522--MA0508.2.PRDM1	chr6	129366092	129366101	+	0.000	0.000	Merged-chr6-129366136-25
NR1317--MA0508.2.PRDM1	chr4	148998272	148998281	-	0.000	0.000	Merged-chr4-148998288-20
NR1569--MA0508.2.PRDM1	chr7	17135547	17135556	+	0.000	0.000	Merged-chr7-17135418-14
NR1360--MA0508.2.PRDM1	chr5	74348732	74348741	+	0.000	0.000	Merged-chr5-74348625-55
NR1678--MA0508.2.PRDM1	chr7	143822986	143822995	+	0.000	0.000	Merged-chr7-143822961-65
NR44--MA0508.2.PRDM1	chr1	97768984	97768993	+	0.000	0.000	Merged-chr1-97769161-2
NR754--MA0508.2.PRDM1	chr17	23193129	23193138	+	0.000	0.000	Merged-chr17-23193299-96
NR1168--MA0508.2.PRDM1	chr3	115815997	115816006	+	0.000	0.000	Merged-chr3-115815828-66
NR592--MA0508.2.PRDM1	chr15	5143983	5143992	-	0.000	0.000	Merged-chr15-5143962-110
NR1753--MA0508.2.PRDM1	chr8	126666799	126666808	-	0.000	0.000	Merged-chr8-126666737-66
NR1819--MA0508.2.PRDM1	chr9	91362238	91362247	+	0.000	0.000	Merged-chr9-91362188-45
NR720--MA0508.2.PRDM1	chr16	87507938	87507947	+	0.000	0.000	Merged-chr16-87507775-34
NR1243--MA0508.2.PRDM1	chr4	63899186	63899195	+	0.000	0.000	Merged-chr4-63899190-80
NR1495--MA0508.2.PRDM1	chr6	97526188	97526197	-	0.000	0.000	Merged-chr6-97526268-25
NR1399--MA0508.2.PRDM1	chr5	115133753	115133762	+	0.000	0.000	Merged-chr5-115133709-3
NR842--MA0508.2.PRDM1	chr18	44400496	44400505	-	0.000	0.000	Merged-chr18-44400643-35
NR1779--MA0508.2.PRDM1	chr9	45984926	45984935	+	0.000	0.000	Merged-chr9-45984810-70
NR951--MA0508.2.PRDM1	chr2	18989001	18989010	+	0.000	0.000	Merged-chr2-18989067-34
NR1094--MA0508.2.PRDM1	chr3	9715276	9715285	-	0.000	0.000	Merged-chr3-9715345-15
NR1365--MA0508.2.PRDM1	chr5	77367902	77367911	+	0.000	0.000	Merged-chr5-77367800-15
NR332--MA0508.2.PRDM1	chr11	108088210	108088219	-	0.000	0.000	Merged-chr11-108088190-36
NR1017--MA0508.2.PRDM1	chr2	114260608	114260617	-	0.000	0.000	Merged-chr2-114260586-35
NR49--MA0508.2.PRDM1	chr1	106561319	106561328	+	0.000	0.000	Merged-chr1-106561410-50
NR855--MA0508.2.PRDM1	chr18	65099380	65099389	-	0.000	0.000	Merged-chr18-65099318-13
NR1745--MA0508.2.PRDM1	chr8	120078268	120078277	+	0.000	0.000	Merged-chr8-120078339-32
NR1269--MA0508.2.PRDM1	chr4	120984713	120984722	-	0.000	0.000	Merged-chr4-120984598-23
