pos,gene_name,chr,start,end,matched_peak_name
within,Cxcr5,chr9,44548843,44549098,Merged-chr9-44549007-18
within,Cxcr5,chr9,44555070,44555453,Merged-chr9-44555234-8
right,Cxcr5,chr9,44562659,44563272,Merged-chr9-44562997-28
right,Cxcr5,chr9,44565443,44565695,Merged-chr9-44565580-5
right,Cxcr5,chr9,44567888,44568149,Merged-chr9-44568083-63
right,Cxcr5,chr9,44579461,44579732,Merged-chr9-44579570-13
right,Cxcr5,chr9,44581590,44582131,Merged-chr9-44581743-42
right,Cxcr5,chr9,44582480,44582703,Merged-chr9-44582588-15
right,Cxcr5,chr9,44587891,44588202,Merged-chr9-44588100-3
right,Cxcr5,chr9,44602848,44602998,Merged-chr9-44603451-46
right,Cxcr5,chr9,44603189,44603641,Merged-chr9-44603451-46
right,Cxcr5,chr9,44604368,44604518,Merged-chr9-44605079-132
right,Cxcr5,chr9,44604954,44605298,Merged-chr9-44605079-132
