#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed
NR8623--MA0523.1.TCF7L2	chr9	42463999	42464012	+	0.000	0.000	Merged-chr9-42464013-7
NR7816--MA0523.1.TCF7L2	chr7	79190893	79190906	+	0.000	0.000	Merged-chr7-79190820-25
NR6106--MA0523.1.TCF7L2	chr4	34429185	34429198	+	0.000	0.000	Merged-chr4-34429163-2
NR8493--MA0523.1.TCF7L2	chr8	126864514	126864527	+	0.000	0.000	Merged-chr8-126864545-1
NR613--MA1421.1.TCF7L1	chr1	176994951	176994962	-	0.000	0.000	Merged-chr1-176995011-9
NR5689--MA0523.1.TCF7L2	chr3	101066269	101066282	+	0.000	0.000	Merged-chr3-101066330-34
NR7019--MA1421.1.TCF7L1	chr5	149459345	149459356	+	0.000	0.000	Merged-chr5-149459249-24
NR8610--MA0523.1.TCF7L2	chr9	40759635	40759648	+	0.000	0.000	Merged-chr9-40759529-7
NR6350--MA0523.1.TCF7L2	chr4	109854808	109854821	-	0.000	0.000	Merged-chr4-109854829-14
NR2996--MA0523.1.TCF7L2	chr14	121354191	121354204	+	0.000	0.000	Merged-chr14-121354142-24
NR760--MA0523.1.TCF7L2	chr10	13467072	13467085	+	0.000	0.000	Merged-chr10-13467057-15
NR3572--MA0769.1.Tcf7	chr16	57177489	57177500	+	0.000	0.000	Merged-chr16-57177558-14
NR3584--MA0523.1.TCF7L2	chr16	58553481	58553494	-	0.000	0.000	Merged-chr16-58553585-23
NR7014--MA0769.1.Tcf7	chr5	149203177	149203188	-	0.000	0.000	Merged-chr5-149203183-18
NR4473--MA0523.1.TCF7L2	chr19	47915525	47915538	+	0.000	0.000	Merged-chr19-47915460-18
NR8825--MA0523.1.TCF7L2	chr9	88332673	88332686	-	0.000	0.000	Merged-chr9-88332643-26
NR5348--MA1421.1.TCF7L1	chr2	173444591	173444602	+	0.000	0.000	Merged-chr2-173444560-32
NR3630--MA1421.1.TCF7L1	chr16	84982746	84982757	-	0.000	0.000	Merged-chr16-84982791-18
NR8695--MA0523.1.TCF7L2	chr9	61745155	61745168	-	0.000	0.000	Merged-chr9-61745239-9
NR1016--MA0523.1.TCF7L2	chr10	78594767	78594780	+	0.000	0.000	Merged-chr10-78594668-32
NR1656--MA0523.1.TCF7L2	chr11	117092937	117092950	-	0.000	0.000	Merged-chr11-117092893-43
NR7536--MA0523.1.TCF7L2	chr6	134184019	134184032	+	0.000	0.000	Merged-chr6-134184108-53
NR4059--MA1421.1.TCF7L1	chr18	24237172	24237183	+	0.000	0.000	Merged-chr18-24237197-17
NR4902--MA1421.1.TCF7L1	chr2	84837928	84837939	+	0.000	0.000	Merged-chr2-84838147-43
NR3134--MA0769.1.Tcf7	chr15	50694323	50694334	+	0.000	0.000	Merged-chr15-50694314-20
NR3133--MA0523.1.TCF7L2	chr15	50694323	50694336	+	0.000	0.000	Merged-chr15-50694314-20
NR1729--MA0769.1.Tcf7	chr12	25601141	25601152	-	0.000	0.000	Merged-chr12-25601123-16
NR1475--MA0523.1.TCF7L2	chr11	75319049	75319062	+	0.000	0.000	Merged-chr11-75318979-50
NR6744--MA0769.1.Tcf7	chr5	89900166	89900177	-	0.000	0.000	Merged-chr5-89900078-10
NR2962--MA0769.1.Tcf7	chr14	115015359	115015370	+	0.000	0.000	Merged-chr14-115015527-11
NR6716--MA0523.1.TCF7L2	chr5	74471131	74471144	-	0.000	0.000	Merged-chr5-74471085-11
NR3817--MA0523.1.TCF7L2	chr17	33456822	33456835	+	0.000	0.000	Merged-chr17-33456861-18
NR6754--MA0523.1.TCF7L2	chr5	91960143	91960156	-	0.000	0.000	Merged-chr5-91960197-8
NR5690--MA0769.1.Tcf7	chr3	101066269	101066280	+	0.000	0.000	Merged-chr3-101066330-34
NR8248--MA0769.1.Tcf7	chr8	56398906	56398917	+	0.000	0.000	Merged-chr8-56398896-15
NR1630--MA0523.1.TCF7L2	chr11	113206356	113206369	+	0.000	0.000	Merged-chr11-113206318-17
NR1787--MA1421.1.TCF7L1	chr12	41167989	41168000	-	0.000	0.000	Merged-chr12-41167989-46
NR761--MA0769.1.Tcf7	chr10	13467072	13467083	+	0.000	0.000	Merged-chr10-13467057-15
NR5350--MA0769.1.Tcf7	chr2	173444591	173444602	+	0.000	0.000	Merged-chr2-173444560-32
NR7944--MA0523.1.TCF7L2	chr7	115218910	115218923	+	0.000	0.000	Merged-chr7-115218920-27
NR7194--MA0769.1.Tcf7	chr6	55256723	55256734	-	0.000	0.000	Merged-chr6-55256807-22
NR4126--MA0769.1.Tcf7	chr18	46381242	46381253	-	0.000	0.000	Merged-chr18-46381195-31
NR1340--MA1421.1.TCF7L1	chr11	20035502	20035513	+	0.000	0.000	Merged-chr11-20035595-25
NR4576--MA0523.1.TCF7L2	chr2	13080602	13080615	-	0.000	0.000	Merged-chr2-13080560-18
NR46--MA0769.1.Tcf7	chr1	30839814	30839825	+	0.000	0.000	Merged-chr1-30839662-25
NR8461--MA1421.1.TCF7L1	chr8	123404748	123404759	-	0.000	0.000	Merged-chr8-123404693-24
NR5489--MA1421.1.TCF7L1	chr3	55660081	55660092	+	0.000	0.000	Merged-chr3-55660012-44
NR1024--MA0523.1.TCF7L2	chr10	81249642	81249655	-	0.000	0.000	Merged-chr10-81249714-12
NR5899--MA0523.1.TCF7L2	chr3	138842536	138842549	+	0.000	0.000	Merged-chr3-138842482-12
NR8711--MA1421.1.TCF7L1	chr9	66899731	66899742	-	0.000	0.000	Merged-chr9-66899689-35
NR8826--MA0769.1.Tcf7	chr9	88332675	88332686	-	0.000	0.000	Merged-chr9-88332643-26
NR8611--MA0769.1.Tcf7	chr9	40759635	40759646	+	0.000	0.000	Merged-chr9-40759529-7
NR7110--MA0523.1.TCF7L2	chr6	34902136	34902149	+	0.000	0.000	Merged-chr6-34902272-26
NR4028--MA0769.1.Tcf7	chr18	10154685	10154696	+	0.000	0.000	Merged-chr18-10154788-16
NR1011--MA0523.1.TCF7L2	chr10	77677794	77677807	-	0.000	0.000	Merged-chr10-77677865-23
NR6790--MA1421.1.TCF7L1	chr5	97090319	97090330	+	0.000	0.000	Merged-chr5-97090318-20
NR3632--MA0769.1.Tcf7	chr16	84982746	84982757	-	0.000	0.000	Merged-chr16-84982791-18
NR5490--MA0523.1.TCF7L2	chr3	55660069	55660082	+	0.000	0.000	Merged-chr3-55660012-44
NR1710--MA1421.1.TCF7L1	chr12	21172236	21172247	+	0.000	0.000	Merged-chr12-21172304-14
NR3575--MA0523.1.TCF7L2	chr16	57319958	57319971	+	0.000	0.000	Merged-chr16-57319907-20
NR6122--MA0523.1.TCF7L2	chr4	41295754	41295767	+	0.000	0.000	Merged-chr4-41295781-15
NR7195--MA0523.1.TCF7L2	chr6	57449456	57449469	-	0.000	0.000	Merged-chr6-57449516-18
NR4800--MA0523.1.TCF7L2	chr2	65214400	65214413	+	0.000	0.000	Merged-chr2-65214427-21
NR1058--MA0523.1.TCF7L2	chr10	85050896	85050909	-	0.000	0.000	Merged-chr10-85050856-11
NR2299--MA0523.1.TCF7L2	chr13	52702317	52702330	-	0.000	0.000	Merged-chr13-52702318-14
NR2115--MA0523.1.TCF7L2	chr12	117679064	117679077	-	0.000	0.000	Merged-chr12-117679056-43
NR1264--MA0523.1.TCF7L2	chr10	121300836	121300849	-	0.000	0.000	Merged-chr10-121300859-24
NR96--MA0769.1.Tcf7	chr1	43475216	43475227	-	0.000	0.000	Merged-chr1-43475284-1
NR5942--MA0769.1.Tcf7	chr3	144232070	144232081	-	0.000	0.000	Merged-chr3-144232172-58
NR3586--MA1421.1.TCF7L1	chr16	58553514	58553525	+	0.000	0.000	Merged-chr16-58553585-23
NR346--MA0769.1.Tcf7	chr1	119795337	119795348	-	0.000	0.000	Merged-chr1-119795246-28
NR5435--MA0523.1.TCF7L2	chr3	28318053	28318066	-	0.000	0.000	Merged-chr3-28318064-9
NR2492--MA0523.1.TCF7L2	chr13	103357025	103357038	-	0.000	0.000	Merged-chr13-103356902-29
NR3573--MA1421.1.TCF7L1	chr16	57318254	57318265	-	0.000	0.000	Merged-chr16-57318126-31
NR5216--MA0523.1.TCF7L2	chr2	150130342	150130355	+	0.000	0.000	Merged-chr2-150130462-1
NR3726--MA0523.1.TCF7L2	chr17	3246828	3246841	+	0.000	0.000	Merged-chr17-3246798-10
NR5818--MA0523.1.TCF7L2	chr3	126825154	126825167	-	0.000	0.000	Merged-chr3-126825034-19
NR7611--MA1421.1.TCF7L1	chr6	145469522	145469533	+	0.000	0.000	Merged-chr6-145469437-17
NR3548--MA0769.1.Tcf7	chr16	50555183	50555194	-	0.000	0.000	Merged-chr16-50555141-20
NR7018--MA1421.1.TCF7L1	chr5	149427542	149427553	+	0.000	0.000	Merged-chr5-149427432-30
NR7021--MA0769.1.Tcf7	chr5	149459345	149459356	+	0.000	0.000	Merged-chr5-149459249-24
NR3392--MA1421.1.TCF7L1	chr16	15910370	15910381	+	0.000	0.000	Merged-chr16-15910429-9
NR1727--MA1421.1.TCF7L1	chr12	25601141	25601152	-	0.000	0.000	Merged-chr12-25601123-16
NR396--MA0769.1.Tcf7	chr1	135807886	135807897	-	0.000	0.000	Merged-chr1-135807785-37
NR900--MA1421.1.TCF7L1	chr10	54255357	54255368	+	0.000	0.000	Merged-chr10-54255218-57
NR4195--MA1421.1.TCF7L1	chr18	65016107	65016118	-	0.000	0.000	Merged-chr18-65016159-16
NR4773--MA0523.1.TCF7L2	chr2	59332460	59332473	-	0.000	0.000	Merged-chr2-59332590-12
NR998--MA1421.1.TCF7L1	chr10	75417807	75417818	+	0.000	0.000	Merged-chr10-75417748-37
NR5764--MA0769.1.Tcf7	chr3	115897972	115897983	-	0.000	0.000	Merged-chr3-115897908-5
NR64--MA0523.1.TCF7L2	chr1	36910447	36910460	+	0.000	0.000	Merged-chr1-36910479-15
NR8995--MA0523.1.TCF7L2	chr9	118890388	118890401	-	0.000	0.000	Merged-chr9-118890241-21
NR620--MA0769.1.Tcf7	chr1	179025496	179025507	-	0.000	0.000	Merged-chr1-179025362-29
NR2630--MA0523.1.TCF7L2	chr14	15273331	15273344	-	0.000	0.000	Merged-chr14-15273135-43
NR6743--MA1421.1.TCF7L1	chr5	89900166	89900177	-	0.000	0.000	Merged-chr5-89900078-10
NR1920--MA1421.1.TCF7L1	chr12	82187507	82187518	-	0.000	0.000	Merged-chr12-82187311-20
NR3351--MA0523.1.TCF7L2	chr16	4913139	4913152	-	0.000	0.000	Merged-chr16-4913166-6
NR4129--MA0523.1.TCF7L2	chr18	49721796	49721809	+	0.000	0.000	Merged-chr18-49721855-41
NR1002--MA0523.1.TCF7L2	chr10	75417902	75417915	-	0.000	0.000	Merged-chr10-75417748-37
NR1788--MA0523.1.TCF7L2	chr12	41167987	41168000	-	0.000	0.000	Merged-chr12-41167989-46
NR51--MA0523.1.TCF7L2	chr1	35580595	35580608	-	0.000	0.000	Merged-chr1-35580626-34
NR8220--MA1421.1.TCF7L1	chr8	41334274	41334285	-	0.000	0.000	Merged-chr8-41334366-24
NR3132--MA0523.1.TCF7L2	chr15	50694282	50694295	-	0.000	0.000	Merged-chr15-50694314-20
NR2956--MA0769.1.Tcf7	chr14	108374020	108374031	+	0.000	0.000	Merged-chr14-108373968-8
NR7613--MA0769.1.Tcf7	chr6	145469522	145469533	+	0.000	0.000	Merged-chr6-145469437-17
NR8595--MA0523.1.TCF7L2	chr9	36905421	36905434	-	0.000	0.000	Merged-chr9-36905642-9
NR3940--MA0523.1.TCF7L2	chr17	78304332	78304345	-	0.000	0.000	Merged-chr17-78304287-20
NR3061--MA0769.1.Tcf7	chr15	25828686	25828697	-	0.000	0.000	Merged-chr15-25828667-44
NR8027--MA0769.1.Tcf7	chr7	127922800	127922811	-	0.000	0.000	Merged-chr7-127922827-35
NR8712--MA0523.1.TCF7L2	chr9	66899729	66899742	-	0.000	0.000	Merged-chr9-66899689-35
NR3143--MA1421.1.TCF7L1	chr15	52887039	52887050	-	0.000	0.000	Merged-chr15-52887057-9
NR3818--MA0769.1.Tcf7	chr17	33456822	33456833	+	0.000	0.000	Merged-chr17-33456861-18
NR6792--MA0769.1.Tcf7	chr5	97090319	97090330	+	0.000	0.000	Merged-chr5-97090318-20
NR269--MA0523.1.TCF7L2	chr1	94025609	94025622	+	0.000	0.000	Merged-chr1-94025615-17
NR7627--MA0769.1.Tcf7	chr6	146960265	146960276	-	0.000	0.000	Merged-chr6-146960171-26
NR5488--MA1421.1.TCF7L1	chr3	55660069	55660080	+	0.000	0.000	Merged-chr3-55660012-44
NR3854--MA0769.1.Tcf7	chr17	45342331	45342342	-	0.000	0.000	Merged-chr17-45342322-7
NR5492--MA0769.1.Tcf7	chr3	55660069	55660080	+	0.000	0.000	Merged-chr3-55660012-44
NR3513--MA1421.1.TCF7L1	chr16	45361322	45361333	-	0.000	0.000	Merged-chr16-45361455-26
NR2433--MA0769.1.Tcf7	chr13	91564911	91564922	+	0.000	0.000	Merged-chr13-91564824-14
NR1003--MA0769.1.Tcf7	chr10	75417904	75417915	-	0.000	0.000	Merged-chr10-75417748-37
NR6928--MA1421.1.TCF7L1	chr5	124907041	124907052	-	0.000	0.000	Merged-chr5-124907107-45
NR120--MA0769.1.Tcf7	chr1	57952719	57952730	+	0.000	0.000	Merged-chr1-57952740-16
NR3235--MA0523.1.TCF7L2	chr15	80020709	80020722	+	0.000	0.000	Merged-chr15-80020745-7
NR7926--MA0523.1.TCF7L2	chr7	112213248	112213261	-	0.000	0.000	Merged-chr7-112213302-61
NR6709--MA1421.1.TCF7L1	chr5	74105560	74105571	-	0.000	0.000	Merged-chr5-74105575-19
NR4124--MA0523.1.TCF7L2	chr18	46381184	46381197	+	0.000	0.000	Merged-chr18-46381195-31
NR6048--MA0523.1.TCF7L2	chr4	7961626	7961639	-	0.000	0.000	Merged-chr4-7961828-25
NR3441--MA0523.1.TCF7L2	chr16	30656095	30656108	+	0.000	0.000	Merged-chr16-30655956-7
NR9185--MA0769.1.Tcf7	chrX	166718155	166718166	+	0.000	0.000	Merged-chrX-166718260-20
NR254--MA1421.1.TCF7L1	chr1	91626307	91626318	-	0.000	0.000	Merged-chr1-91626193-21
NR2864--MA1421.1.TCF7L1	chr14	73472603	73472614	+	0.000	0.000	Merged-chr14-73472602-8
NR1608--MA0523.1.TCF7L2	chr11	109785570	109785583	+	0.000	0.000	Merged-chr11-109785498-8
NR7113--MA0769.1.Tcf7	chr6	34939575	34939586	-	0.000	0.000	Merged-chr6-34939585-12
NR1192--MA1421.1.TCF7L1	chr10	111562791	111562802	+	0.000	0.000	Merged-chr10-111562842-26
NR4810--MA1421.1.TCF7L1	chr2	65871125	65871136	-	0.000	0.000	Merged-chr2-65871141-19
NR4076--MA0523.1.TCF7L2	chr18	33781014	33781027	+	0.000	0.000	Merged-chr18-33781041-12
NR3534--MA1421.1.TCF7L1	chr16	48745642	48745653	-	0.000	0.000	Merged-chr16-48745701-29
NR879--MA0523.1.TCF7L2	chr10	50650806	50650819	-	0.000	0.000	Merged-chr10-50650757-16
NR7756--MA1421.1.TCF7L1	chr7	63816454	63816465	+	0.000	0.000	Merged-chr7-63816277-96
NR5817--MA0523.1.TCF7L2	chr3	126825131	126825144	-	0.000	0.000	Merged-chr3-126825034-19
NR1728--MA0523.1.TCF7L2	chr12	25601139	25601152	-	0.000	0.000	Merged-chr12-25601123-16
NR6919--MA0769.1.Tcf7	chr5	121173009	121173020	+	0.000	0.000	Merged-chr5-121173124-16
NR4709--MA0523.1.TCF7L2	chr2	45946382	45946395	+	0.000	0.000	Merged-chr2-45946471-14
NR2931--MA0769.1.Tcf7	chr14	103017271	103017282	-	0.000	0.000	Merged-chr14-103017290-44
NR4313--MA0523.1.TCF7L2	chr18	84911821	84911834	-	0.000	0.000	Merged-chr18-84911932-15
NR8463--MA0769.1.Tcf7	chr8	123404748	123404759	-	0.000	0.000	Merged-chr8-123404693-24
NR2027--MA0769.1.Tcf7	chr12	106658339	106658350	-	0.000	0.000	Merged-chr12-106658505-23
NR1631--MA0769.1.Tcf7	chr11	113206337	113206348	+	0.000	0.000	Merged-chr11-113206318-17
NR1921--MA0523.1.TCF7L2	chr12	82187505	82187518	-	0.000	0.000	Merged-chr12-82187311-20
NR2628--MA1421.1.TCF7L1	chr14	15272608	15272619	+	0.000	0.000	Merged-chr14-15272424-5
NR731--MA1421.1.TCF7L1	chr10	6954709	6954720	-	0.000	0.000	Merged-chr10-6954726-16
NR8253--MA0769.1.Tcf7	chr8	60954792	60954803	+	0.000	0.000	Merged-chr8-60954738-34
NR5647--MA1421.1.TCF7L1	chr3	97274117	97274128	+	0.000	0.000	Merged-chr3-97274158-19
NR6512--MA0769.1.Tcf7	chr4	150517644	150517655	-	0.000	0.000	Merged-chr4-150517532-35
NR1609--MA0769.1.Tcf7	chr11	109785570	109785581	+	0.000	0.000	Merged-chr11-109785498-8
NR5756--MA0523.1.TCF7L2	chr3	115604041	115604054	+	0.000	0.000	Merged-chr3-115603959-15
NR7817--MA0769.1.Tcf7	chr7	79190893	79190904	+	0.000	0.000	Merged-chr7-79190820-25
NR1748--MA0769.1.Tcf7	chr12	31756178	31756189	-	0.000	0.000	Merged-chr12-31756239-29
NR8108--MA1421.1.TCF7L1	chr7	142967347	142967358	+	0.000	0.000	Merged-chr7-142967366-1
NR402--MA0523.1.TCF7L2	chr1	136618658	136618671	-	0.000	0.000	Merged-chr1-136618798-23
NR4033--MA0523.1.TCF7L2	chr18	12876590	12876603	+	0.000	0.000	Merged-chr18-12876665-8
NR1305--MA0769.1.Tcf7	chr11	3557883	3557894	+	0.000	0.000	Merged-chr11-3557717-6
NR3610--MA0769.1.Tcf7	chr16	76575446	76575457	-	0.000	0.000	Merged-chr16-76575582-30
NR8173--MA0769.1.Tcf7	chr8	25769246	25769257	+	0.000	0.000	Merged-chr8-25769209-9
NR3060--MA1421.1.TCF7L1	chr15	25828686	25828697	-	0.000	0.000	Merged-chr15-25828667-44
NR7625--MA0769.1.Tcf7	chr6	146960240	146960251	-	0.000	0.000	Merged-chr6-146960171-26
NR5217--MA0769.1.Tcf7	chr2	150130342	150130353	+	0.000	0.000	Merged-chr2-150130462-1
NR3609--MA0523.1.TCF7L2	chr16	76575444	76575457	-	0.000	0.000	Merged-chr16-76575582-30
NR4812--MA0769.1.Tcf7	chr2	65871125	65871136	-	0.000	0.000	Merged-chr2-65871141-19
NR8706--MA0769.1.Tcf7	chr9	65084569	65084580	-	0.000	0.000	Merged-chr9-65084631-10
NR1341--MA0769.1.Tcf7	chr11	20035502	20035513	+	0.000	0.000	Merged-chr11-20035595-25
NR65--MA0769.1.Tcf7	chr1	36910447	36910458	+	0.000	0.000	Merged-chr1-36910479-15
NR8171--MA1421.1.TCF7L1	chr8	25769246	25769257	+	0.000	0.000	Merged-chr8-25769209-9
NR2796--MA0523.1.TCF7L2	chr14	59202010	59202023	-	0.000	0.000	Merged-chr14-59201879-5
NR3853--MA0523.1.TCF7L2	chr17	45342329	45342342	-	0.000	0.000	Merged-chr17-45342322-7
NR3727--MA0769.1.Tcf7	chr17	3246828	3246839	+	0.000	0.000	Merged-chr17-3246798-10
NR5726--MA0523.1.TCF7L2	chr3	108124338	108124351	+	0.000	0.000	Merged-chr3-108124378-33
NR7446--MA1421.1.TCF7L1	chr6	115560105	115560116	+	0.000	0.000	Merged-chr6-115560075-18
NR8760--MA1421.1.TCF7L1	chr9	77683541	77683552	+	0.000	0.000	Merged-chr9-77683679-29
NR575--MA0769.1.Tcf7	chr1	167296112	167296123	-	0.000	0.000	Merged-chr1-167296095-13
NR1538--MA0523.1.TCF7L2	chr11	96058765	96058778	+	0.000	0.000	Merged-chr11-96058605-21
NR5775--MA1421.1.TCF7L1	chr3	117044690	117044701	+	0.000	0.000	Merged-chr3-117044595-20
NR902--MA0769.1.Tcf7	chr10	54255357	54255368	+	0.000	0.000	Merged-chr10-54255218-57
NR3258--MA1421.1.TCF7L1	chr15	85042792	85042803	-	0.000	0.000	Merged-chr15-85042702-72
NR4572--MA1421.1.TCF7L1	chr2	11441904	11441915	-	0.000	0.000	Merged-chr2-11441982-17
NR8588--MA1421.1.TCF7L1	chr9	35007272	35007283	+	0.000	0.000	Merged-chr9-35007274-11
NR2223--MA1421.1.TCF7L1	chr13	35842034	35842045	-	0.000	0.000	Merged-chr13-35841945-14
NR7624--MA0523.1.TCF7L2	chr6	146960238	146960251	-	0.000	0.000	Merged-chr6-146960171-26
NR8697--MA0523.1.TCF7L2	chr9	61745321	61745334	+	0.000	0.000	Merged-chr9-61745239-9
NR2728--MA0523.1.TCF7L2	chr14	45009529	45009542	-	0.000	0.000	Merged-chr14-45009601-8
NR7447--MA0769.1.Tcf7	chr6	115560105	115560116	+	0.000	0.000	Merged-chr6-115560075-18
NR1115--MA1421.1.TCF7L1	chr10	96955127	96955138	+	0.000	0.000	Merged-chr10-96955164-15
NR253--MA1421.1.TCF7L1	chr1	91625898	91625909	-	0.000	0.000	Merged-chr1-91625866-1
NR7854--MA1421.1.TCF7L1	chr7	90081893	90081904	-	0.000	0.000	Merged-chr7-90081975-11
NR7193--MA0523.1.TCF7L2	chr6	55256721	55256734	-	0.000	0.000	Merged-chr6-55256807-22
NR2598--MA0523.1.TCF7L2	chr14	7832268	7832281	-	0.000	0.000	Merged-chr14-7832137-26
NR4630--MA0523.1.TCF7L2	chr2	30648125	30648138	+	0.000	0.000	Merged-chr2-30648109-4
NR7839--MA0523.1.TCF7L2	chr7	84143204	84143217	-	0.000	0.000	Merged-chr7-84143230-35
NR1275--MA0769.1.Tcf7	chr10	122604119	122604130	+	0.000	0.000	Merged-chr10-122604110-13
NR2365--MA0769.1.Tcf7	chr13	73772886	73772897	+	0.000	0.000	Merged-chr13-73772920-55
NR8318--MA0769.1.Tcf7	chr8	81735892	81735903	-	0.000	0.000	Merged-chr8-81736050-71
NR3585--MA0769.1.Tcf7	chr16	58553483	58553494	-	0.000	0.000	Merged-chr16-58553585-23
NR5515--MA0523.1.TCF7L2	chr3	61368867	61368880	+	0.000	0.000	Merged-chr3-61368860-22
NR7607--MA0523.1.TCF7L2	chr6	145285831	145285844	-	0.000	0.000	Merged-chr6-145285757-35
NR7660--MA1421.1.TCF7L1	chr7	12987584	12987595	-	0.000	0.000	Merged-chr7-12987633-12
NR732--MA0523.1.TCF7L2	chr10	6954707	6954720	-	0.000	0.000	Merged-chr10-6954726-16
NR8452--MA0523.1.TCF7L2	chr8	120890474	120890487	-	0.000	0.000	Merged-chr8-120890385-4
NR706--MA0769.1.Tcf7	chr1	191486653	191486664	-	0.000	0.000	Merged-chr1-191486758-12
NR4102--MA0769.1.Tcf7	chr18	38701046	38701057	+	0.000	0.000	Merged-chr18-38700911-27
NR818--MA0769.1.Tcf7	chr10	25918280	25918291	+	0.000	0.000	Merged-chr10-25918351-16
NR6537--MA0523.1.TCF7L2	chr5	9107427	9107440	+	0.000	0.000	Merged-chr5-9107352-33
NR345--MA0523.1.TCF7L2	chr1	119795335	119795348	-	0.000	0.000	Merged-chr1-119795246-28
NR7778--MA0523.1.TCF7L2	chr7	67911887	67911900	+	0.000	0.000	Merged-chr7-67912081-16
NR2955--MA0523.1.TCF7L2	chr14	108374020	108374033	+	0.000	0.000	Merged-chr14-108373968-8
NR8014--MA0769.1.Tcf7	chr7	125561321	125561332	-	0.000	0.000	Merged-chr7-125561411-29
NR3375--MA0769.1.Tcf7	chr16	10399306	10399317	-	0.000	0.000	Merged-chr16-10399279-20
NR2993--MA0523.1.TCF7L2	chr14	121353971	121353984	-	0.000	0.000	Merged-chr14-121354142-24
NR6781--MA0523.1.TCF7L2	chr5	96254009	96254022	-	0.000	0.000	Merged-chr5-96254113-8
NR7207--MA0523.1.TCF7L2	chr6	59451110	59451123	-	0.000	0.000	Merged-chr6-59451158-16
NR5649--MA0769.1.Tcf7	chr3	97274117	97274128	+	0.000	0.000	Merged-chr3-97274158-19
NR8860--MA0523.1.TCF7L2	chr9	96696536	96696549	-	0.000	0.000	Merged-chr9-96696442-50
NR4904--MA0769.1.Tcf7	chr2	84837928	84837939	+	0.000	0.000	Merged-chr2-84838147-43
NR8950--MA0769.1.Tcf7	chr9	114592577	114592588	-	0.000	0.000	Merged-chr9-114592565-4
NR6511--MA0523.1.TCF7L2	chr4	150517642	150517655	-	0.000	0.000	Merged-chr4-150517532-35
NR1791--MA0769.1.Tcf7	chr12	41168055	41168066	+	0.000	0.000	Merged-chr12-41167989-46
NR8435--MA0523.1.TCF7L2	chr8	115237246	115237259	+	0.000	0.000	Merged-chr8-115237313-17
NR6175--MA0523.1.TCF7L2	chr4	56944535	56944548	-	0.000	0.000	Merged-chr4-56944579-16
NR5500--MA1421.1.TCF7L1	chr3	59277951	59277962	+	0.000	0.000	Merged-chr3-59277984-20
NR2514--MA0769.1.Tcf7	chr13	108763551	108763562	-	0.000	0.000	Merged-chr13-108763497-25
NR9105--MA0523.1.TCF7L2	chrX	85737705	85737718	-	0.000	0.000	Merged-chrX-85737636-10
NR2117--MA0523.1.TCF7L2	chr12	117761967	117761980	-	0.000	0.000	Merged-chr12-117761862-24
NR2816--MA1421.1.TCF7L1	chr14	64182429	64182440	+	0.000	0.000	Merged-chr14-64182620-14
NR6538--MA0769.1.Tcf7	chr5	9107427	9107438	+	0.000	0.000	Merged-chr5-9107352-33
NR7352--MA0523.1.TCF7L2	chr6	95682809	95682822	-	0.000	0.000	Merged-chr6-95682989-10
NR8593--MA0523.1.TCF7L2	chr9	36802533	36802546	+	0.000	0.000	Merged-chr9-36802612-8
NR2288--MA0523.1.TCF7L2	chr13	52144227	52144240	-	0.000	0.000	Merged-chr13-52144310-15
NR1746--MA1421.1.TCF7L1	chr12	31756178	31756189	-	0.000	0.000	Merged-chr12-31756239-29
NR7626--MA1421.1.TCF7L1	chr6	146960265	146960276	-	0.000	0.000	Merged-chr6-146960171-26
NR8624--MA0769.1.Tcf7	chr9	42463999	42464010	+	0.000	0.000	Merged-chr9-42464013-7
NR1687--MA0523.1.TCF7L2	chr12	8817860	8817873	+	0.000	0.000	Merged-chr12-8817903-12
NR3619--MA1421.1.TCF7L1	chr16	78595989	78596000	-	0.000	0.000	Merged-chr16-78595924-17
NR7407--MA1421.1.TCF7L1	chr6	103565084	103565095	+	0.000	0.000	Merged-chr6-103565102-16
NR2275--MA0523.1.TCF7L2	chr13	51712203	51712216	-	0.000	0.000	Merged-chr13-51712212-27
NR4199--MA0523.1.TCF7L2	chr18	65327447	65327460	-	0.000	0.000	Merged-chr18-65327246-34
NR1689--MA0769.1.Tcf7	chr12	8817860	8817871	+	0.000	0.000	Merged-chr12-8817903-12
NR2481--MA0523.1.TCF7L2	chr13	101713894	101713907	+	0.000	0.000	Merged-chr13-101713890-21
NR966--MA1421.1.TCF7L1	chr10	67697939	67697950	+	0.000	0.000	Merged-chr10-67697981-39
NR8589--MA0523.1.TCF7L2	chr9	35007272	35007285	+	0.000	0.000	Merged-chr9-35007274-11
NR1842--MA0523.1.TCF7L2	chr12	69446034	69446047	+	0.000	0.000	Merged-chr12-69446107-1
NR3370--MA0523.1.TCF7L2	chr16	8709013	8709026	-	0.000	0.000	Merged-chr16-8708953-12
NR1880--MA0523.1.TCF7L2	chr12	75494814	75494827	-	0.000	0.000	Merged-chr12-75494766-18
