#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_dn.bed
NR4736--MA1421.1.TCF7L1	chr2	6622259	6622270	-	0.000	0.000	Merged-chr2-6622331-33
NR4411--MA0523.1.TCF7L2	chr18	55107224	55107237	-	0.000	0.000	Merged-chr18-55107186-34
NR4243--MA0523.1.TCF7L2	chr18	10154685	10154698	+	0.000	0.000	Merged-chr18-10154788-16
NR1140--MA1421.1.TCF7L1	chr10	75417807	75417818	+	0.000	0.000	Merged-chr10-75417748-37
NR8797--MA0769.1.Tcf7	chr8	70160266	70160277	-	0.000	0.000	Merged-chr8-70160118-32
NR7286--MA1421.1.TCF7L1	chr5	89839742	89839753	+	0.000	0.000	Merged-chr5-89839903-20
NR8695--MA1421.1.TCF7L1	chr8	34817930	34817941	-	0.000	0.000	Merged-chr8-34817852-8
NR3594--MA0523.1.TCF7L2	chr16	8455243	8455256	+	0.000	0.000	Merged-chr16-8455328-28
NR3472--MA1421.1.TCF7L1	chr15	85042792	85042803	-	0.000	0.000	Merged-chr15-85042702-72
NR5770--MA1421.1.TCF7L1	chr3	55660069	55660080	+	0.000	0.000	Merged-chr3-55660012-44
NR1867--MA0769.1.Tcf7	chr12	41167989	41168000	-	0.000	0.000	Merged-chr12-41167989-46
NR7287--MA0769.1.Tcf7	chr5	89839742	89839753	+	0.000	0.000	Merged-chr5-89839903-20
NR934--MA0523.1.TCF7L2	chr10	30627891	30627904	-	0.000	0.000	Merged-chr10-30627801-15
NR2517--MA0523.1.TCF7L2	chr13	97439971	97439984	+	0.000	0.000	Merged-chr13-97439792-27
NR5470--MA0769.1.Tcf7	chr2	168575215	168575226	-	0.000	0.000	Merged-chr2-168575169-53
NR5164--MA1421.1.TCF7L1	chr2	102044477	102044488	+	0.000	0.000	Merged-chr2-102044515-18
NR7533--MA0523.1.TCF7L2	chr6	17932050	17932063	-	0.000	0.000	Merged-chr6-17932110-11
NR7534--MA0769.1.Tcf7	chr6	17932052	17932063	-	0.000	0.000	Merged-chr6-17932110-11
NR4426--MA1421.1.TCF7L1	chr18	57362759	57362770	-	0.000	0.000	Merged-chr18-57362721-19
NR8290--MA1421.1.TCF7L1	chr7	58618385	58618396	+	0.000	0.000	Merged-chr7-58618252-16
NR8502--MA1421.1.TCF7L1	chr7	113263111	113263122	+	0.000	0.000	Merged-chr7-113263148-32
NR2797--MA0769.1.Tcf7	chr14	31414854	31414865	-	0.000	0.000	Merged-chr14-31414970-54
NR5121--MA1421.1.TCF7L1	chr2	84837928	84837939	+	0.000	0.000	Merged-chr2-84838147-43
NR6311--MA1421.1.TCF7L1	chr4	6675100	6675111	-	0.000	0.000	Merged-chr4-6675237-24
NR1223--MA0523.1.TCF7L2	chr10	93050845	93050858	+	0.000	0.000	Merged-chr10-93050674-1
NR7369--MA0523.1.TCF7L2	chr5	110274208	110274221	+	0.000	0.000	Merged-chr5-110274346-15
NR1863--MA0523.1.TCF7L2	chr12	40529888	40529901	+	0.000	0.000	Merged-chr12-40529975-10
NR6056--MA0769.1.Tcf7	chr3	123084119	123084130	-	0.000	0.000	Merged-chr3-123084162-14
NR9014--MA0523.1.TCF7L2	chr9	14548118	14548131	+	0.000	0.000	Merged-chr9-14548192-17
NR7034--MA0769.1.Tcf7	chr5	24344609	24344620	+	0.000	0.000	Merged-chr5-24344705-18
NR2395--MA0769.1.Tcf7	chr13	73772886	73772897	+	0.000	0.000	Merged-chr13-73772920-55
NR3906--MA0769.1.Tcf7	chr16	95770572	95770583	+	0.000	0.000	Merged-chr16-95770718-9
NR9267--MA0523.1.TCF7L2	chr9	96696536	96696549	-	0.000	0.000	Merged-chr9-96696442-50
NR2325--MA1421.1.TCF7L1	chr13	52144340	52144351	-	0.000	0.000	Merged-chr13-52144310-15
NR4244--MA0769.1.Tcf7	chr18	10154685	10154696	+	0.000	0.000	Merged-chr18-10154788-16
NR6379--MA1421.1.TCF7L1	chr4	15929269	15929280	+	0.000	0.000	Merged-chr4-15929333-33
NR6092--MA0523.1.TCF7L2	chr3	131190857	131190870	-	0.000	0.000	Merged-chr3-131190965-19
NR3060--MA0523.1.TCF7L2	chr14	103017269	103017282	-	0.000	0.000	Merged-chr14-103017290-44
NR629--MA0769.1.Tcf7	chr1	165063212	165063223	+	0.000	0.000	Merged-chr1-165063084-17
NR7388--MA1421.1.TCF7L1	chr5	118678779	118678790	-	0.000	0.000	Merged-chr5-118678760-15
NR1566--MA0769.1.Tcf7	chr11	52346203	52346214	+	0.000	0.000	Merged-chr11-52346075-2
NR2674--MA0523.1.TCF7L2	chr14	7832268	7832281	-	0.000	0.000	Merged-chr14-7832137-26
NR3728--MA0769.1.Tcf7	chr16	48745642	48745653	-	0.000	0.000	Merged-chr16-48745701-29
NR3513--MA0769.1.Tcf7	chr15	95826626	95826637	+	0.000	0.000	Merged-chr15-95826706-34
NR7337--MA1421.1.TCF7L1	chr5	100929944	100929955	-	0.000	0.000	Merged-chr5-100929891-31
NR1238--MA1421.1.TCF7L1	chr10	95942225	95942236	+	0.000	0.000	Merged-chr10-95942106-29
NR279--MA0523.1.TCF7L2	chr1	82443948	82443961	+	0.000	0.000	Merged-chr1-82443829-28
NR3764--MA0769.1.Tcf7	chr16	57319958	57319969	+	0.000	0.000	Merged-chr16-57319907-20
NR1141--MA0769.1.Tcf7	chr10	75417807	75417818	+	0.000	0.000	Merged-chr10-75417748-37
NR1225--MA1421.1.TCF7L1	chr10	93205414	93205425	-	0.000	0.000	Merged-chr10-93205618-20
NR3727--MA0523.1.TCF7L2	chr16	48745640	48745653	-	0.000	0.000	Merged-chr16-48745701-29
NR4740--MA0523.1.TCF7L2	chr2	6622361	6622374	-	0.000	0.000	Merged-chr2-6622331-33
