#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_up.bed
NR7100--MA0089.1.MAFG::NFE2L1	chr2	146517123	146517128	+	0.000	0.000	Merged-chr2-146517219-24
NR4946--MA0496.2.MAFK	chr16	89974506	89974524	-	0.000	0.000	Merged-chr16-89974505-28
NR11812--MA0659.1.MAFG	chr9	14248437	14248457	-	0.000	0.000	Merged-chr9-14248366-20
NR113--MA0496.2.MAFK	chr1	39196873	39196891	+	0.000	0.000	Merged-chr1-39196974-45
NR12121--MA0495.2.MAFF	chr9	83564270	83564290	-	0.000	0.000	Merged-chr9-83564254-44
NR2556--MA0496.2.MAFK	chr12	25851736	25851754	+	0.000	0.000	Merged-chr12-25851772-17
NR2136--MA0495.2.MAFF	chr11	83828747	83828767	-	0.000	0.000	Merged-chr11-83828814-21
NR3195--MA0089.1.MAFG::NFE2L1	chr13	43788990	43788995	-	0.000	0.000	Merged-chr13-43789112-65
NR2140--MA0496.2.MAFK	chr11	83828748	83828766	-	0.000	0.000	Merged-chr11-83828814-21
NR6794--MA0501.1.MAF::NFE2	chr2	114059828	114059842	-	0.000	0.000	Merged-chr2-114059851-34
NR10362--MA0089.1.MAFG::NFE2L1	chr6	146185759	146185764	-	0.000	0.000	Merged-chr6-146185680-43
NR7576--MA0496.2.MAFK	chr3	55419475	55419493	-	0.000	0.000	Merged-chr3-55419547-37
NR11027--MA0089.1.MAFG::NFE2L1	chr7	125511602	125511607	-	0.000	0.000	Merged-chr7-125511628-40
NR8368--MA0089.1.MAFG::NFE2L1	chr4	89178073	89178078	+	0.000	0.000	Merged-chr4-89178152-23
NR7162--MA0117.2.Mafb	chr2	151944386	151944397	-	0.000	0.000	Merged-chr2-151944383-43
NR11411--MA0501.1.MAF::NFE2	chr8	79679128	79679142	+	0.000	0.000	Merged-chr8-79679083-33
NR7222--MA0089.1.MAFG::NFE2L1	chr2	158160169	158160174	+	0.000	0.000	Merged-chr2-158160127-37
NR9207--MA0089.1.MAFG::NFE2L1	chr5	96879054	96879059	-	0.000	0.000	Merged-chr5-96879087-37
NR11815--MA0496.2.MAFK	chr9	14248438	14248456	-	0.000	0.000	Merged-chr9-14248366-20
NR5751--MA0591.1.Bach1::Mafk	chr18	61626443	61626457	+	0.000	0.000	Merged-chr18-61626581-16
NR1622--MA0089.1.MAFG::NFE2L1	chr10	118766320	118766325	+	0.000	0.000	Merged-chr10-118766153-45
NR3196--MA0591.1.Bach1::Mafk	chr13	44507141	44507155	+	0.000	0.000	Merged-chr13-44507226-54
NR11933--MA0501.1.MAF::NFE2	chr9	56098164	56098178	+	0.000	0.000	Merged-chr9-56098023-21
NR10768--MA0117.2.Mafb	chr7	92420824	92420835	-	0.000	0.000	Merged-chr7-92420666-38
NR2992--MA0495.2.MAFF	chr12	116315653	116315673	+	0.000	0.000	Merged-chr12-116315725-53
NR676--MA0089.1.MAFG::NFE2L1	chr1	161436811	161436816	-	0.000	0.000	Merged-chr1-161436721-21
NR4689--MA0501.1.MAF::NFE2	chr16	24828452	24828466	-	0.000	0.000	Merged-chr16-24828599-16
NR2079--MA0495.2.MAFF	chr11	74973439	74973459	+	0.000	0.000	Merged-chr11-74973432-13
NR277--MA0501.1.MAF::NFE2	chr1	80321300	80321314	-	0.000	0.000	Merged-chr1-80321528-19
NR6015--MA0089.1.MAFG::NFE2L1	chr19	14534417	14534422	-	0.000	0.000	Merged-chr19-14534548-20
NR11791--MA0089.1.MAFG::NFE2L1	chr9	7510032	7510037	+	0.000	0.000	Merged-chr9-7510063-49
NR10213--MA0117.2.Mafb	chr6	134348651	134348662	-	0.000	0.000	Merged-chr6-134348726-53
NR8619--MA0501.1.MAF::NFE2	chr4	133185414	133185428	-	0.000	0.000	Merged-chr4-133185402-47
NR5678--MA0089.1.MAFG::NFE2L1	chr18	41979645	41979650	+	0.000	0.000	Merged-chr18-41979653-39
NR4634--MA0089.1.MAFG::NFE2L1	chr16	17024650	17024655	-	0.000	0.000	Merged-chr16-17024705-22
NR3214--MA0089.1.MAFG::NFE2L1	chr13	45884989	45884994	-	0.000	0.000	Merged-chr13-45885080-29
NR12052--MA0089.1.MAFG::NFE2L1	chr9	70310163	70310168	+	0.000	0.000	Merged-chr9-70310142-32
NR963--MA0089.1.MAFG::NFE2L1	chr1	191259313	191259318	-	0.000	0.000	Merged-chr1-191259374-46
NR9171--MA0495.2.MAFF	chr5	92353778	92353798	-	0.000	0.000	Merged-chr5-92353751-46
NR6103--MA0495.2.MAFF	chr19	33429569	33429589	+	0.000	0.000	Merged-chr19-33429713-40
NR11813--MA0501.1.MAF::NFE2	chr9	14248437	14248451	-	0.000	0.000	Merged-chr9-14248366-20
NR475--MA0501.1.MAF::NFE2	chr1	127320080	127320094	+	0.000	0.000	Merged-chr1-127320105-13
NR111--MA0495.2.MAFF	chr1	39196872	39196892	+	0.000	0.000	Merged-chr1-39196974-45
NR8177--MA0501.1.MAF::NFE2	chr4	32424392	32424406	-	0.000	0.000	Merged-chr4-32424256-17
NR603--MA0591.1.Bach1::Mafk	chr1	152038378	152038392	+	0.000	0.000	Merged-chr1-152038311-34
NR2486--MA0089.1.MAFG::NFE2L1	chr12	3846299	3846304	-	0.000	0.000	Merged-chr12-3846265-11
NR364--MA0659.1.MAFG	chr1	92119341	92119361	+	0.000	0.000	Merged-chr1-92119439-48
NR5789--MA0089.1.MAFG::NFE2L1	chr18	67255730	67255735	-	0.000	0.000	Merged-chr18-67255745-40
NR5286--MA0591.1.Bach1::Mafk	chr17	47171428	47171442	+	0.000	0.000	Merged-chr17-47171280-54
NR987--MA0089.1.MAFG::NFE2L1	chr1	193102918	193102923	+	0.000	0.000	Merged-chr1-193102904-19
NR4152--MA0089.1.MAFG::NFE2L1	chr15	10583678	10583683	+	0.000	0.000	Merged-chr15-10583571-15
NR9427--MA0089.1.MAFG::NFE2L1	chr5	134482411	134482416	-	0.000	0.000	Merged-chr5-134482403-23
NR5019--MA0089.1.MAFG::NFE2L1	chr16	95809371	95809376	-	0.000	0.000	Merged-chr16-95809247-50
NR8333--MA0495.2.MAFF	chr4	88079188	88079208	+	0.000	0.000	Merged-chr4-88079193-33
NR9885--MA0501.1.MAF::NFE2	chr6	90422837	90422851	-	0.000	0.000	Merged-chr6-90422836-47
NR2597--MA0089.1.MAFG::NFE2L1	chr12	36241354	36241359	+	0.000	0.000	Merged-chr12-36241330-19
NR185--MA0501.1.MAF::NFE2	chr1	58029748	58029762	+	0.000	0.000	Merged-chr1-58029750-23
NR5092--MA0117.2.Mafb	chr17	8237581	8237592	-	0.000	0.000	Merged-chr17-8237581-7
NR4690--MA0495.2.MAFF	chr16	24854663	24854683	+	0.000	0.000	Merged-chr16-24854563-13
NR5728--MA0117.2.Mafb	chr18	56547144	56547155	+	0.000	0.000	Merged-chr18-56547142-34
NR5483--MA0591.1.Bach1::Mafk	chr17	86206505	86206519	-	0.000	0.000	Merged-chr17-86206449-38
NR8335--MA0117.2.Mafb	chr4	88079197	88079208	-	0.000	0.000	Merged-chr4-88079193-33
NR6120--MA0089.1.MAFG::NFE2L1	chr19	36364984	36364989	-	0.000	0.000	Merged-chr19-36364955-22
NR1262--MA0089.1.MAFG::NFE2L1	chr10	61233192	61233197	+	0.000	0.000	Merged-chr10-61233317-40
NR8292--MA0501.1.MAF::NFE2	chr4	63899067	63899081	-	0.000	0.000	Merged-chr4-63899190-80
NR367--MA0496.2.MAFK	chr1	92119342	92119360	+	0.000	0.000	Merged-chr1-92119439-48
NR11934--MA0501.1.MAF::NFE2	chr9	56098158	56098172	-	0.000	0.000	Merged-chr9-56098023-21
NR4692--MA0117.2.Mafb	chr16	24854672	24854683	-	0.000	0.000	Merged-chr16-24854563-13
NR8899--MA0089.1.MAFG::NFE2L1	chr5	10246074	10246079	-	0.000	0.000	Merged-chr5-10245943-14
NR12124--MA0496.2.MAFK	chr9	83564271	83564289	+	0.000	0.000	Merged-chr9-83564254-44
NR11465--MA0591.1.Bach1::Mafk	chr8	91545805	91545819	-	0.000	0.000	Merged-chr8-91545805-43
NR4576--MA0117.2.Mafb	chr15	102717591	102717602	-	0.000	0.000	Merged-chr15-102717579-4
NR5619--MA0089.1.MAFG::NFE2L1	chr18	32543299	32543304	-	0.000	0.000	Merged-chr18-32543284-47
NR10338--MA0591.1.Bach1::Mafk	chr6	144909755	144909769	-	0.000	0.000	Merged-chr6-144909826-5
NR7286--MA0501.1.MAF::NFE2	chr2	166708484	166708498	-	0.000	0.000	Merged-chr2-166708496-46
NR847--MA0496.2.MAFK	chr1	182100629	182100647	-	0.000	0.000	Merged-chr1-182100503-13
NR60--MA0089.1.MAFG::NFE2L1	chr1	20740624	20740629	+	0.000	0.000	Merged-chr1-20740658-39
NR10458--MA0659.1.MAFG	chr7	16343735	16343755	+	0.000	0.000	Merged-chr7-16343810-22
NR8175--MA0117.2.Mafb	chr4	32405326	32405337	+	0.000	0.000	Merged-chr4-32405236-4
NR7777--MA0089.1.MAFG::NFE2L1	chr3	101651484	101651489	-	0.000	0.000	Merged-chr3-101651434-38
NR1499--MA0089.1.MAFG::NFE2L1	chr10	96535667	96535672	+	0.000	0.000	Merged-chr10-96535668-22
NR9610--MA0659.1.MAFG	chr6	22314618	22314638	+	0.000	0.000	Merged-chr6-22314730-22
NR11089--MA0089.1.MAFG::NFE2L1	chr7	132772572	132772577	+	0.000	0.000	Merged-chr7-132772585-7
NR4384--MA0591.1.Bach1::Mafk	chr15	73268472	73268486	-	0.000	0.000	Merged-chr15-73268336-36
NR4208--MA0089.1.MAFG::NFE2L1	chr15	38120472	38120477	-	0.000	0.000	Merged-chr15-38120488-27
NR5513--MA0089.1.MAFG::NFE2L1	chr17	88480633	88480638	-	0.000	0.000	Merged-chr17-88480530-23
NR9268--MA0501.1.MAF::NFE2	chr5	105305588	105305602	-	0.000	0.000	Merged-chr5-105305723-1
NR360--MA0495.2.MAFF	chr1	92119341	92119361	-	0.000	0.000	Merged-chr1-92119439-48
NR4942--MA0591.1.Bach1::Mafk	chr16	89974508	89974522	+	0.000	0.000	Merged-chr16-89974505-28
NR6795--MA0496.2.MAFK	chr2	114059829	114059847	+	0.000	0.000	Merged-chr2-114059851-34
NR4111--MA0501.1.MAF::NFE2	chr14	122000896	122000910	-	0.000	0.000	Merged-chr14-122000857-51
NR6363--MA0117.2.Mafb	chr2	17845441	17845452	-	0.000	0.000	Merged-chr2-17845339-45
NR2362--MA0659.1.MAFG	chr11	113174351	113174371	-	0.000	0.000	Merged-chr11-113174221-33
NR9609--MA0495.2.MAFF	chr6	22314618	22314638	-	0.000	0.000	Merged-chr6-22314730-22
NR363--MA0591.1.Bach1::Mafk	chr1	92119344	92119358	-	0.000	0.000	Merged-chr1-92119439-48
NR114--MA0496.2.MAFK	chr1	39196873	39196891	-	0.000	0.000	Merged-chr1-39196974-45
NR2557--MA0496.2.MAFK	chr12	25851736	25851754	-	0.000	0.000	Merged-chr12-25851772-17
NR11098--MA0089.1.MAFG::NFE2L1	chr7	135647132	135647137	+	0.000	0.000	Merged-chr7-135647119-33
NR11410--MA0591.1.Bach1::Mafk	chr8	79679125	79679139	+	0.000	0.000	Merged-chr8-79679083-33
NR11561--MA0089.1.MAFG::NFE2L1	chr8	111956164	111956169	+	0.000	0.000	Merged-chr8-111956180-5
NR8349--MA0089.1.MAFG::NFE2L1	chr4	88693552	88693557	-	0.000	0.000	Merged-chr4-88693660-22
NR1018--MA0501.1.MAF::NFE2	chr10	7041181	7041195	-	0.000	0.000	Merged-chr10-7041240-23
NR9793--MA0495.2.MAFF	chr6	67668204	67668224	+	0.000	0.000	Merged-chr6-67668321-12
NR11270--MA0089.1.MAFG::NFE2L1	chr8	33968385	33968390	-	0.000	0.000	Merged-chr8-33968508-27
NR11724--MA0659.1.MAFG	chr8	126686967	126686987	-	0.000	0.000	Merged-chr8-126687126-29
NR2545--MA0089.1.MAFG::NFE2L1	chr12	25306111	25306116	-	0.000	0.000	Merged-chr12-25306142-51
NR5620--MA0089.1.MAFG::NFE2L1	chr18	32598298	32598303	-	0.000	0.000	Merged-chr18-32598271-33
NR4434--MA0591.1.Bach1::Mafk	chr15	81308191	81308205	-	0.000	0.000	Merged-chr15-81308219-24
NR109--MA0591.1.Bach1::Mafk	chr1	38723982	38723996	-	0.000	0.000	Merged-chr1-38723833-22
NR11157--MA0591.1.Bach1::Mafk	chr7	141097385	141097399	+	0.000	0.000	Merged-chr7-141097451-2
NR366--MA0501.1.MAF::NFE2	chr1	92119347	92119361	+	0.000	0.000	Merged-chr1-92119439-48
NR11287--MA0591.1.Bach1::Mafk	chr8	40584824	40584838	-	0.000	0.000	Merged-chr8-40584789-43
NR4940--MA0495.2.MAFF	chr16	89974505	89974525	+	0.000	0.000	Merged-chr16-89974505-28
NR134--MA0591.1.Bach1::Mafk	chr1	43207348	43207362	+	0.000	0.000	Merged-chr1-43207362-30
NR10339--MA0501.1.MAF::NFE2	chr6	144909752	144909766	-	0.000	0.000	Merged-chr6-144909826-5
NR7225--MA0089.1.MAFG::NFE2L1	chr2	158166963	158166968	-	0.000	0.000	Merged-chr2-158166857-55
NR7972--MA0496.2.MAFK	chr3	142533311	142533329	-	0.000	0.000	Merged-chr3-142533345-44
NR12197--MA0117.2.Mafb	chr9	94945738	94945749	+	0.000	0.000	Merged-chr9-94945890-45
NR1973--MA0501.1.MAF::NFE2	chr11	61564298	61564312	+	0.000	0.000	Merged-chr11-61564144-31
NR6104--MA0495.2.MAFF	chr19	33429569	33429589	-	0.000	0.000	Merged-chr19-33429713-40
NR112--MA0495.2.MAFF	chr1	39196872	39196892	-	0.000	0.000	Merged-chr1-39196974-45
NR6480--MA0495.2.MAFF	chr2	38548156	38548176	-	0.000	0.000	Merged-chr2-38548313-22
NR555--MA0501.1.MAF::NFE2	chr1	138952349	138952363	+	0.000	0.000	Merged-chr1-138952405-35
NR10361--MA0089.1.MAFG::NFE2L1	chr6	146081106	146081111	-	0.000	0.000	Merged-chr6-146081045-99
NR2593--MA0501.1.MAF::NFE2	chr12	35534167	35534181	+	0.000	0.000	Merged-chr12-35534275-3
NR7501--MA0591.1.Bach1::Mafk	chr3	16227583	16227597	+	0.000	0.000	Merged-chr3-16227487-10
NR4711--MA0089.1.MAFG::NFE2L1	chr16	31205968	31205973	+	0.000	0.000	Merged-chr16-31205914-4
NR11466--MA0501.1.MAF::NFE2	chr8	91545802	91545816	-	0.000	0.000	Merged-chr8-91545805-43
NR1015--MA0117.2.Mafb	chr10	5448533	5448544	+	0.000	0.000	Merged-chr10-5448562-35
NR10479--MA0117.2.Mafb	chr7	19239705	19239716	+	0.000	0.000	Merged-chr7-19239613-31
NR6395--MA0089.1.MAFG::NFE2L1	chr2	25620596	25620601	-	0.000	0.000	Merged-chr2-25620603-21
NR799--MA0117.2.Mafb	chr1	179169976	179169987	-	0.000	0.000	Merged-chr1-179169843-56
NR365--MA0659.1.MAFG	chr1	92119341	92119361	-	0.000	0.000	Merged-chr1-92119439-48
NR10776--MA0089.1.MAFG::NFE2L1	chr7	97067531	97067536	-	0.000	0.000	Merged-chr7-97067401-28
NR7575--MA0495.2.MAFF	chr3	55419474	55419494	-	0.000	0.000	Merged-chr3-55419547-37
NR6016--MA0089.1.MAFG::NFE2L1	chr19	16255497	16255502	+	0.000	0.000	Merged-chr19-16255427-25
NR4939--MA0089.1.MAFG::NFE2L1	chr16	89872268	89872273	+	0.000	0.000	Merged-chr16-89872318-26
NR9179--MA0117.2.Mafb	chr5	92963210	92963221	+	0.000	0.000	Merged-chr5-92963069-8
NR3594--MA0089.1.MAFG::NFE2L1	chr13	111655550	111655555	+	0.000	0.000	Merged-chr13-111655433-3
NR2174--MA0089.1.MAFG::NFE2L1	chr11	88132167	88132172	-	0.000	0.000	Merged-chr11-88132051-21
NR4943--MA0501.1.MAF::NFE2	chr16	89974511	89974525	+	0.000	0.000	Merged-chr16-89974505-28
NR1547--MA0089.1.MAFG::NFE2L1	chr10	111214815	111214820	-	0.000	0.000	Merged-chr10-111214498-109
NR2135--MA0495.2.MAFF	chr11	83828747	83828767	+	0.000	0.000	Merged-chr11-83828814-21
NR2081--MA0591.1.Bach1::Mafk	chr11	74973442	74973456	+	0.000	0.000	Merged-chr11-74973432-13
NR8334--MA0495.2.MAFF	chr4	88079188	88079208	-	0.000	0.000	Merged-chr4-88079193-33
NR2137--MA0659.1.MAFG	chr11	83828747	83828767	+	0.000	0.000	Merged-chr11-83828814-21
NR3999--MA0496.2.MAFK	chr14	87050400	87050418	+	0.000	0.000	Merged-chr14-87050365-8
NR11331--MA0501.1.MAF::NFE2	chr8	68674322	68674336	+	0.000	0.000	Merged-chr8-68674402-29
NR7392--MA0495.2.MAFF	chr2	173452102	173452122	+	0.000	0.000	Merged-chr2-173452276-60
NR3213--MA0089.1.MAFG::NFE2L1	chr13	45884942	45884947	+	0.000	0.000	Merged-chr13-45885080-29
NR368--MA0496.2.MAFK	chr1	92119342	92119360	-	0.000	0.000	Merged-chr1-92119439-48
NR7970--MA0495.2.MAFF	chr3	142533310	142533330	-	0.000	0.000	Merged-chr3-142533345-44
NR5752--MA0501.1.MAF::NFE2	chr18	61626446	61626460	+	0.000	0.000	Merged-chr18-61626581-16
NR12125--MA0496.2.MAFK	chr9	83564271	83564289	-	0.000	0.000	Merged-chr9-83564254-44
NR4344--MA0117.2.Mafb	chr15	64173598	64173609	-	0.000	0.000	Merged-chr15-64173635-34
NR7919--MA0501.1.MAF::NFE2	chr3	133626798	133626812	-	0.000	0.000	Merged-chr3-133626779-42
NR11389--MA0501.1.MAF::NFE2	chr8	77376674	77376688	+	0.000	0.000	Merged-chr8-77376569-21
NR6791--MA0089.1.MAFG::NFE2L1	chr2	114059831	114059836	-	0.000	0.000	Merged-chr2-114059851-34
NR5338--MA0501.1.MAF::NFE2	chr17	63362388	63362402	-	0.000	0.000	Merged-chr17-63362357-31
NR2993--MA0659.1.MAFG	chr12	116315653	116315673	+	0.000	0.000	Merged-chr12-116315725-53
NR7084--MA0495.2.MAFF	chr2	145804907	145804927	+	0.000	0.000	Merged-chr2-145804796-32
NR554--MA0591.1.Bach1::Mafk	chr1	138952346	138952360	+	0.000	0.000	Merged-chr1-138952405-35
NR4696--MA0496.2.MAFK	chr16	24854664	24854682	+	0.000	0.000	Merged-chr16-24854563-13
NR5482--MA0495.2.MAFF	chr17	86206502	86206522	+	0.000	0.000	Merged-chr17-86206449-38
NR2082--MA0496.2.MAFK	chr11	74973440	74973458	+	0.000	0.000	Merged-chr11-74973432-13
NR10345--MA0591.1.Bach1::Mafk	chr6	145256833	145256847	+	0.000	0.000	Merged-chr6-145256997-16
NR10459--MA0659.1.MAFG	chr7	16343735	16343755	-	0.000	0.000	Merged-chr7-16343810-22
NR9324--MA0089.1.MAFG::NFE2L1	chr5	112273161	112273166	+	0.000	0.000	Merged-chr5-112273170-1
NR5050--MA0659.1.MAFG	chr16	97442080	97442100	+	0.000	0.000	Merged-chr16-97442198-19
NR9172--MA0117.2.Mafb	chr5	92353787	92353798	-	0.000	0.000	Merged-chr5-92353751-46
NR7567--MA0089.1.MAFG::NFE2L1	chr3	52791171	52791176	-	0.000	0.000	Merged-chr3-52791161-46
NR10461--MA0496.2.MAFK	chr7	16343736	16343754	+	0.000	0.000	Merged-chr7-16343810-22
NR9611--MA0659.1.MAFG	chr6	22314618	22314638	-	0.000	0.000	Merged-chr6-22314730-22
NR5366--MA0501.1.MAF::NFE2	chr17	70746963	70746977	+	0.000	0.000	Merged-chr17-70746811-20
NR6106--MA0591.1.Bach1::Mafk	chr19	33429572	33429586	+	0.000	0.000	Merged-chr19-33429713-40
NR5351--MA0501.1.MAF::NFE2	chr17	65826440	65826454	+	0.000	0.000	Merged-chr17-65826425-32
NR805--MA0089.1.MAFG::NFE2L1	chr1	179578778	179578783	-	0.000	0.000	Merged-chr1-179578897-31
NR4944--MA0501.1.MAF::NFE2	chr16	89974505	89974519	-	0.000	0.000	Merged-chr16-89974505-28
NR8972--MA0089.1.MAFG::NFE2L1	chr5	28382568	28382573	-	0.000	0.000	Merged-chr5-28382451-39
NR2013--MA0089.1.MAFG::NFE2L1	chr11	68447539	68447544	+	0.000	0.000	Merged-chr11-68447453-15
NR5418--MA0089.1.MAFG::NFE2L1	chr17	74864912	74864917	-	0.000	0.000	Merged-chr17-74864979-18
NR6111--MA0496.2.MAFK	chr19	33429570	33429588	+	0.000	0.000	Merged-chr19-33429713-40
NR8898--MA0089.1.MAFG::NFE2L1	chr5	10245992	10245997	-	0.000	0.000	Merged-chr5-10245943-14
NR6796--MA0496.2.MAFK	chr2	114059829	114059847	-	0.000	0.000	Merged-chr2-114059851-34
NR484--MA0117.2.Mafb	chr1	127322598	127322609	+	0.000	0.000	Merged-chr1-127322582-29
NR9795--MA0591.1.Bach1::Mafk	chr6	67668207	67668221	+	0.000	0.000	Merged-chr6-67668321-12
NR1673--MA0591.1.Bach1::Mafk	chr10	124138701	124138715	-	0.000	0.000	Merged-chr10-124138683-21
NR12223--MA0117.2.Mafb	chr9	101249844	101249855	+	0.000	0.000	Merged-chr9-101249791-43
NR11179--MA0089.1.MAFG::NFE2L1	chr7	143625360	143625365	+	0.000	0.000	Merged-chr7-143625204-46
NR11931--MA0089.1.MAFG::NFE2L1	chr9	56098161	56098166	-	0.000	0.000	Merged-chr9-56098023-21
NR4693--MA0591.1.Bach1::Mafk	chr16	24854666	24854680	+	0.000	0.000	Merged-chr16-24854563-13
NR2528--MA0089.1.MAFG::NFE2L1	chr12	17511194	17511199	-	0.000	0.000	Merged-chr12-17511273-48
NR5053--MA0496.2.MAFK	chr16	97442081	97442099	+	0.000	0.000	Merged-chr16-97442198-19
NR604--MA0591.1.Bach1::Mafk	chr1	152053410	152053424	+	0.000	0.000	Merged-chr1-152053412-31
NR9796--MA0501.1.MAF::NFE2	chr6	67668210	67668224	+	0.000	0.000	Merged-chr6-67668321-12
NR7776--MA0089.1.MAFG::NFE2L1	chr3	101651486	101651491	+	0.000	0.000	Merged-chr3-101651434-38
NR12330--MA0591.1.Bach1::Mafk	chr9	116319687	116319701	+	0.000	0.000	Merged-chr9-116319642-35
NR6732--MA0089.1.MAFG::NFE2L1	chr2	102701607	102701612	-	0.000	0.000	Merged-chr2-102701497-15
NR9794--MA0495.2.MAFF	chr6	67668204	67668224	-	0.000	0.000	Merged-chr6-67668321-12
NR6067--MA0089.1.MAFG::NFE2L1	chr19	29185756	29185761	+	0.000	0.000	Merged-chr19-29185697-46
NR2267--MA0591.1.Bach1::Mafk	chr11	101697344	101697358	-	0.000	0.000	Merged-chr11-101697250-12
NR11464--MA0089.1.MAFG::NFE2L1	chr8	91545812	91545817	-	0.000	0.000	Merged-chr8-91545805-43
NR2080--MA0495.2.MAFF	chr11	74973439	74973459	-	0.000	0.000	Merged-chr11-74973432-13
NR6625--MA0117.2.Mafb	chr2	75148091	75148102	+	0.000	0.000	Merged-chr2-75148078-33
NR5052--MA0501.1.MAF::NFE2	chr16	97442080	97442094	-	0.000	0.000	Merged-chr16-97442198-19
NR11288--MA0089.1.MAFG::NFE2L1	chr8	41334269	41334274	+	0.000	0.000	Merged-chr8-41334366-24
NR9735--MA0591.1.Bach1::Mafk	chr6	53709848	53709862	-	0.000	0.000	Merged-chr6-53709881-31
NR2571--MA0591.1.Bach1::Mafk	chr12	28835841	28835855	-	0.000	0.000	Merged-chr12-28835846-42
NR8713--MA0089.1.MAFG::NFE2L1	chr4	144906880	144906885	-	0.000	0.000	Merged-chr4-144906777-28
NR2521--MA0117.2.Mafb	chr12	16474684	16474695	+	0.000	0.000	Merged-chr12-16474710-17
NR11579--MA0501.1.MAF::NFE2	chr8	115771214	115771228	-	0.000	0.000	Merged-chr8-115771261-45
NR4941--MA0495.2.MAFF	chr16	89974505	89974525	-	0.000	0.000	Merged-chr16-89974505-28
NR10455--MA0495.2.MAFF	chr7	16343735	16343755	+	0.000	0.000	Merged-chr7-16343810-22
NR202--MA0495.2.MAFF	chr1	60361282	60361302	+	0.000	0.000	Merged-chr1-60361245-1
NR11386--MA0089.1.MAFG::NFE2L1	chr8	76902051	76902056	-	0.000	0.000	Merged-chr8-76902143-41
NR2551--MA0495.2.MAFF	chr12	25851735	25851755	+	0.000	0.000	Merged-chr12-25851772-17
NR3940--MA0089.1.MAFG::NFE2L1	chr14	74918882	74918887	-	0.000	0.000	Merged-chr14-74918775-39
NR213--MA0117.2.Mafb	chr1	60990266	60990277	+	0.000	0.000	Merged-chr1-60990456-63
