#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.05_up.bed
NR13370--MA0089.1.MAFG::NFE2L1	chr9	96936080	96936085	-	0.000	0.000	Merged-chr9-96936027-74
NR5812--MA0659.1.MAFG	chr17	27755570	27755590	-	0.000	0.000	Merged-chr17-27755639-7
NR7822--MA0089.1.MAFG::NFE2L1	chr2	158160169	158160174	+	0.000	0.000	Merged-chr2-158160127-37
NR1544--MA0089.1.MAFG::NFE2L1	chr10	61233192	61233197	+	0.000	0.000	Merged-chr10-61233317-40
NR8298--MA0117.2.Mafb	chr3	52638891	52638902	-	0.000	0.000	Merged-chr3-52638981-9
NR11637--MA0496.2.MAFK	chr6	145993222	145993240	+	0.000	0.000	Merged-chr6-145993129-56
NR1933--MA0089.1.MAFG::NFE2L1	chr10	111578563	111578568	-	0.000	0.000	Merged-chr10-111578564-64
NR2486--MA0089.1.MAFG::NFE2L1	chr12	3568935	3568940	+	0.000	0.000	Merged-chr12-3568895-12
NR4917--MA0496.2.MAFK	chr15	73627475	73627493	+	0.000	0.000	Merged-chr15-73627530-51
NR11474--MA0659.1.MAFG	chr6	130029867	130029887	-	0.000	0.000	Merged-chr6-130029953-23
NR1986--MA0501.1.MAF::NFE2	chr10	122742287	122742301	-	0.000	0.000	Merged-chr10-122742317-12
NR11230--MA0496.2.MAFK	chr6	94623148	94623166	-	0.000	0.000	Merged-chr6-94623201-16
NR12767--MA0089.1.MAFG::NFE2L1	chr8	86052138	86052143	-	0.000	0.000	Merged-chr8-86052123-41
NR4159--MA0591.1.Bach1::Mafk	chr14	46578217	46578231	-	0.000	0.000	Merged-chr14-46578431-37
NR5815--MA0496.2.MAFK	chr17	27755571	27755589	-	0.000	0.000	Merged-chr17-27755639-7
NR870--MA0089.1.MAFG::NFE2L1	chr1	161480050	161480055	-	0.000	0.000	Merged-chr1-161480099-19
NR13681--MA0089.1.MAFG::NFE2L1	chrX	106962485	106962490	+	0.000	0.000	Merged-chrX-106962471-28
NR6074--MA0591.1.Bach1::Mafk	chr17	80139920	80139934	-	0.000	0.000	Merged-chr17-80140059-47
NR3244--MA0659.1.MAFG	chr13	31505464	31505484	-	0.000	0.000	Merged-chr13-31505526-12
NR10025--MA0089.1.MAFG::NFE2L1	chr5	20061957	20061962	+	0.000	0.000	Merged-chr5-20062093-32
NR11477--MA0496.2.MAFK	chr6	130029868	130029886	-	0.000	0.000	Merged-chr6-130029953-23
NR10414--MA0089.1.MAFG::NFE2L1	chr5	96825067	96825072	+	0.000	0.000	Merged-chr5-96825060-50
NR7909--MA0591.1.Bach1::Mafk	chr2	170247789	170247803	+	0.000	0.000	Merged-chr2-170247949-28
NR6570--MA0591.1.Bach1::Mafk	chr18	68234693	68234707	+	0.000	0.000	Merged-chr18-68234781-25
NR4161--MA0089.1.MAFG::NFE2L1	chr14	46578307	46578312	+	0.000	0.000	Merged-chr14-46578431-37
NR268--MA0591.1.Bach1::Mafk	chr1	58742700	58742714	+	0.000	0.000	Merged-chr1-58742743-31
NR11623--MA0117.2.Mafb	chr6	144679046	144679057	+	0.000	0.000	Merged-chr6-144679049-11
NR6333--MA0089.1.MAFG::NFE2L1	chr18	32543299	32543304	-	0.000	0.000	Merged-chr18-32543284-47
NR9909--MA0591.1.Bach1::Mafk	chr5	8075509	8075523	+	0.000	0.000	Merged-chr5-8075370-38
NR8813--MA0495.2.MAFF	chr3	133563697	133563717	+	0.000	0.000	Merged-chr3-133563771-42
NR871--MA0117.2.Mafb	chr1	161480011	161480022	+	0.000	0.000	Merged-chr1-161480099-19
NR2491--MA0089.1.MAFG::NFE2L1	chr12	3989964	3989969	+	0.000	0.000	Merged-chr12-3989980-1
NR11409--MA0501.1.MAF::NFE2	chr6	119635736	119635750	-	0.000	0.000	Merged-chr6-119635924-52
NR11932--MA0089.1.MAFG::NFE2L1	chr7	68250585	68250590	-	0.000	0.000	Merged-chr7-68250535-42
NR10512--MA0089.1.MAFG::NFE2L1	chr5	118633282	118633287	+	0.000	0.000	Merged-chr5-118633117-20
NR9343--MA0496.2.MAFK	chr4	58236003	58236021	-	0.000	0.000	Merged-chr4-58236026-17
NR6078--MA0496.2.MAFK	chr17	80139918	80139936	-	0.000	0.000	Merged-chr17-80140059-47
NR4263--MA0117.2.Mafb	chr14	74918642	74918653	+	0.000	0.000	Merged-chr14-74918775-39
NR8329--MA0089.1.MAFG::NFE2L1	chr3	58583003	58583008	-	0.000	0.000	Merged-chr3-58583098-16
NR11641--MA0089.1.MAFG::NFE2L1	chr6	146481509	146481514	+	0.000	0.000	Merged-chr6-146481511-38
NR8981--MA0659.1.MAFG	chr3	153260800	153260820	-	0.000	0.000	Merged-chr3-153260790-34
NR11626--MA0496.2.MAFK	chr6	144679047	144679065	-	0.000	0.000	Merged-chr6-144679049-11
NR10045--MA0089.1.MAFG::NFE2L1	chr5	23394492	23394497	+	0.000	0.000	Merged-chr5-23394422-14
NR6251--MA0659.1.MAFG	chr18	12869310	12869330	-	0.000	0.000	Merged-chr18-12869252-13
NR11470--MA0495.2.MAFF	chr6	130029867	130029887	-	0.000	0.000	Merged-chr6-130029953-23
NR10857--MA0591.1.Bach1::Mafk	chr6	28351376	28351390	+	0.000	0.000	Merged-chr6-28351294-19
NR2545--MA0117.2.Mafb	chr12	17724601	17724612	+	0.000	0.000	Merged-chr12-17724763-61
NR10810--MA0089.1.MAFG::NFE2L1	chr6	17932003	17932008	+	0.000	0.000	Merged-chr6-17932110-11
NR11363--MA0089.1.MAFG::NFE2L1	chr6	114445149	114445154	-	0.000	0.000	Merged-chr6-114445139-32
NR1588--MA0495.2.MAFF	chr10	67512298	67512318	-	0.000	0.000	Merged-chr10-67512381-13
NR8601--MA0089.1.MAFG::NFE2L1	chr3	96936772	96936777	-	0.000	0.000	Merged-chr3-96936595-28
NR2827--MA0089.1.MAFG::NFE2L1	chr12	73648002	73648007	+	0.000	0.000	Merged-chr12-73647879-51
NR4725--MA0117.2.Mafb	chr15	36396458	36396469	+	0.000	0.000	Merged-chr15-36396472-80
NR4648--MA0501.1.MAF::NFE2	chr15	25216831	25216845	+	0.000	0.000	Merged-chr15-25216736-38
NR2431--MA0591.1.Bach1::Mafk	chr11	113612395	113612409	-	0.000	0.000	Merged-chr11-113612276-39
NR8727--MA0089.1.MAFG::NFE2L1	chr3	120458113	120458118	+	0.000	0.000	Merged-chr3-120457943-64
NR3754--MA0089.1.MAFG::NFE2L1	chr13	112288403	112288408	+	0.000	0.000	Merged-chr13-112288360-131
NR3969--MA0089.1.MAFG::NFE2L1	chr14	17414426	17414431	+	0.000	0.000	Merged-chr14-17414498-32
NR11408--MA0591.1.Bach1::Mafk	chr6	119635739	119635753	-	0.000	0.000	Merged-chr6-119635924-52
NR1807--MA0089.1.MAFG::NFE2L1	chr10	96602613	96602618	+	0.000	0.000	Merged-chr10-96602495-12
NR12011--MA0089.1.MAFG::NFE2L1	chr7	79190874	79190879	-	0.000	0.000	Merged-chr7-79190820-25
NR11863--MA0089.1.MAFG::NFE2L1	chr7	55960533	55960538	-	0.000	0.000	Merged-chr7-55960600-37
NR1519--MA0591.1.Bach1::Mafk	chr10	56486829	56486843	+	0.000	0.000	Merged-chr10-56486689-18
NR11070--MA0117.2.Mafb	chr6	65818513	65818524	-	0.000	0.000	Merged-chr6-65818480-32
NR9841--MA0089.1.MAFG::NFE2L1	chr4	149854401	149854406	+	0.000	0.000	Merged-chr4-149854542-67
NR13490--MA0495.2.MAFF	chr9	120960864	120960884	-	0.000	0.000	Merged-chr9-120960803-26
NR3035--MA0495.2.MAFF	chr12	116315653	116315673	+	0.000	0.000	Merged-chr12-116315725-53
NR3978--MA0089.1.MAFG::NFE2L1	chr14	17414480	17414485	+	0.000	0.000	Merged-chr14-17414498-32
NR3245--MA0496.2.MAFK	chr13	31505465	31505483	-	0.000	0.000	Merged-chr13-31505526-12
NR6084--MA0089.1.MAFG::NFE2L1	chr17	80772610	80772615	+	0.000	0.000	Merged-chr17-80772766-52
NR13219--MA0591.1.Bach1::Mafk	chr9	77467015	77467029	-	0.000	0.000	Merged-chr9-77466988-20
NR4915--MA0659.1.MAFG	chr15	73627474	73627494	+	0.000	0.000	Merged-chr15-73627530-51
NR353--MA0089.1.MAFG::NFE2L1	chr1	69683215	69683220	-	0.000	0.000	Merged-chr1-69683222-14
NR416--MA0495.2.MAFF	chr1	78422793	78422813	-	0.000	0.000	Merged-chr1-78422740-38
NR3973--MA0659.1.MAFG	chr14	17414421	17414441	+	0.000	0.000	Merged-chr14-17414498-32
NR872--MA0496.2.MAFK	chr1	161480012	161480030	-	0.000	0.000	Merged-chr1-161480099-19
NR2609--MA0591.1.Bach1::Mafk	chr12	32635200	32635214	-	0.000	0.000	Merged-chr12-32635321-24
NR1784--MA0591.1.Bach1::Mafk	chr10	94378532	94378546	+	0.000	0.000	Merged-chr10-94378414-58
NR3967--MA0495.2.MAFF	chr14	17414421	17414441	+	0.000	0.000	Merged-chr14-17414498-32
NR13753--MA0089.1.MAFG::NFE2L1	chrX	166185332	166185337	+	0.000	0.000	Merged-chrX-166185579-37
NR6118--MA0501.1.MAF::NFE2	chr17	85023743	85023757	+	0.000	0.000	Merged-chr17-85023702-53
NR8187--MA0117.2.Mafb	chr3	28969120	28969131	+	0.000	0.000	Merged-chr3-28968988-13
NR528--MA0496.2.MAFK	chr1	95263049	95263067	+	0.000	0.000	Merged-chr1-95263160-5
NR1710--MA0089.1.MAFG::NFE2L1	chr10	85829481	85829486	-	0.000	0.000	Merged-chr10-85829298-76
NR3355--MA0591.1.Bach1::Mafk	chr13	64432459	64432473	+	0.000	0.000	Merged-chr13-64432516-70
NR4918--MA0496.2.MAFK	chr15	73627475	73627493	-	0.000	0.000	Merged-chr15-73627530-51
NR5264--MA0089.1.MAFG::NFE2L1	chr16	35781166	35781171	+	0.000	0.000	Merged-chr16-35781109-15
NR13296--MA0501.1.MAF::NFE2	chr9	86373334	86373348	+	0.000	0.000	Merged-chr9-86373415-51
NR10170--MA0117.2.Mafb	chr5	52609894	52609905	-	0.000	0.000	Merged-chr5-52609918-24
NR2335--MA0591.1.Bach1::Mafk	chr11	82195122	82195136	-	0.000	0.000	Merged-chr11-82195229-33
NR4163--MA0591.1.Bach1::Mafk	chr14	46881271	46881285	+	0.000	0.000	Merged-chr14-46881096-8
NR13204--MA0591.1.Bach1::Mafk	chr9	75246434	75246448	+	0.000	0.000	Merged-chr9-75246433-36
NR5809--MA0117.2.Mafb	chr17	27755579	27755590	-	0.000	0.000	Merged-chr17-27755639-7
NR11469--MA0495.2.MAFF	chr6	130029867	130029887	+	0.000	0.000	Merged-chr6-130029953-23
NR3970--MA0089.1.MAFG::NFE2L1	chr14	17414424	17414429	-	0.000	0.000	Merged-chr14-17414498-32
NR11024--MA0089.1.MAFG::NFE2L1	chr6	58640370	58640375	+	0.000	0.000	Merged-chr6-58640552-47
NR6116--MA0089.1.MAFG::NFE2L1	chr17	84855742	84855747	-	0.000	0.000	Merged-chr17-84855735-62
NR11628--MA0089.1.MAFG::NFE2L1	chr6	144804582	144804587	-	0.000	0.000	Merged-chr6-144804553-29
NR1520--MA0501.1.MAF::NFE2	chr10	56486832	56486846	+	0.000	0.000	Merged-chr10-56486689-18
NR6720--MA0117.2.Mafb	chr18	89159581	89159592	+	0.000	0.000	Merged-chr18-89159613-61
NR5851--MA0591.1.Bach1::Mafk	chr17	33865654	33865668	-	0.000	0.000	Merged-chr17-33865585-36
NR13586--MA0089.1.MAFG::NFE2L1	chrX	57200528	57200533	+	0.000	0.000	Merged-chrX-57200663-17
NR2661--MA0089.1.MAFG::NFE2L1	chr12	38929180	38929185	+	0.000	0.000	Merged-chr12-38929031-63
NR5863--MA0501.1.MAF::NFE2	chr17	34304946	34304960	-	0.000	0.000	Merged-chr17-34305077-21
NR12960--MA0659.1.MAFG	chr8	126686967	126686987	+	0.000	0.000	Merged-chr8-126687126-29
NR8878--MA0089.1.MAFG::NFE2L1	chr3	141739036	141739041	-	0.000	0.000	Merged-chr3-141739144-3
NR1634--MA0117.2.Mafb	chr10	71362053	71362064	+	0.000	0.000	Merged-chr10-71362071-33
NR3613--MA0089.1.MAFG::NFE2L1	chr13	95393329	95393334	-	0.000	0.000	Merged-chr13-95393533-22
NR1830--MA0089.1.MAFG::NFE2L1	chr10	99581355	99581360	+	0.000	0.000	Merged-chr10-99581300-14
NR11636--MA0495.2.MAFF	chr6	145993221	145993241	+	0.000	0.000	Merged-chr6-145993129-56
NR11472--MA0591.1.Bach1::Mafk	chr6	130029870	130029884	-	0.000	0.000	Merged-chr6-130029953-23
NR12020--MA0591.1.Bach1::Mafk	chr7	80629091	80629105	+	0.000	0.000	Merged-chr7-80629014-41
NR8674--MA0089.1.MAFG::NFE2L1	chr3	109732715	109732720	-	0.000	0.000	Merged-chr3-109732646-37
NR2987--MA0089.1.MAFG::NFE2L1	chr12	107051454	107051459	+	0.000	0.000	Merged-chr12-107051429-24
NR12275--MA0089.1.MAFG::NFE2L1	chr7	130893287	130893292	+	0.000	0.000	Merged-chr7-130893114-41
NR10523--MA0501.1.MAF::NFE2	chr5	122288691	122288705	+	0.000	0.000	Merged-chr5-122288620-47
NR5521--MA0501.1.MAF::NFE2	chr16	76202104	76202118	+	0.000	0.000	Merged-chr16-76202306-30
NR4001--MA0591.1.Bach1::Mafk	chr14	25108465	25108479	+	0.000	0.000	Merged-chr14-25108517-12
NR11571--MA0117.2.Mafb	chr6	140817082	140817093	+	0.000	0.000	Merged-chr6-140817043-66
NR127--MA0501.1.MAF::NFE2	chr1	23882913	23882927	-	0.000	0.000	Merged-chr1-23882900-25
NR2668--MA0591.1.Bach1::Mafk	chr12	40090227	40090241	-	0.000	0.000	Merged-chr12-40090205-21
NR7869--MA0089.1.MAFG::NFE2L1	chr2	164081815	164081820	-	0.000	0.000	Merged-chr2-164081803-8
NR13282--MA0501.1.MAF::NFE2	chr9	83564276	83564290	+	0.000	0.000	Merged-chr9-83564254-44
NR8670--MA0089.1.MAFG::NFE2L1	chr3	108865799	108865804	-	0.000	0.000	Merged-chr3-108865766-27
NR2428--MA0495.2.MAFF	chr11	113536965	113536985	+	0.000	0.000	Merged-chr11-113536889-33
NR419--MA0496.2.MAFK	chr1	78422794	78422812	-	0.000	0.000	Merged-chr1-78422740-38
NR5862--MA0591.1.Bach1::Mafk	chr17	34304949	34304963	-	0.000	0.000	Merged-chr17-34305077-21
NR13133--MA0591.1.Bach1::Mafk	chr9	44510603	44510617	-	0.000	0.000	Merged-chr9-44510535-66
NR11931--MA0089.1.MAFG::NFE2L1	chr7	68250580	68250585	-	0.000	0.000	Merged-chr7-68250535-42
NR6072--MA0495.2.MAFF	chr17	80139917	80139937	+	0.000	0.000	Merged-chr17-80140059-47
NR1006--MA0089.1.MAFG::NFE2L1	chr1	183987870	183987875	+	0.000	0.000	Merged-chr1-183987914-47
NR11264--MA0089.1.MAFG::NFE2L1	chr6	100255720	100255725	+	0.000	0.000	Merged-chr6-100255672-12
NR3308--MA0496.2.MAFK	chr13	52144300	52144318	+	0.000	0.000	Merged-chr13-52144310-15
NR11415--MA0591.1.Bach1::Mafk	chr6	120799651	120799665	+	0.000	0.000	Merged-chr6-120799783-44
NR6852--MA0501.1.MAF::NFE2	chr19	47330905	47330919	+	0.000	0.000	Merged-chr19-47330943-31
NR4758--MA0591.1.Bach1::Mafk	chr15	41447452	41447466	-	0.000	0.000	Merged-chr15-41447450-62
NR7164--MA0117.2.Mafb	chr2	50813941	50813952	-	0.000	0.000	Merged-chr2-50813926-46
NR4160--MA0501.1.MAF::NFE2	chr14	46578214	46578228	-	0.000	0.000	Merged-chr14-46578431-37
NR8915--MA0495.2.MAFF	chr3	146063412	146063432	+	0.000	0.000	Merged-chr3-146063322-20
NR1596--MA0089.1.MAFG::NFE2L1	chr10	67698098	67698103	-	0.000	0.000	Merged-chr10-67697981-39
NR5827--MA0089.1.MAFG::NFE2L1	chr17	29552560	29552565	+	0.000	0.000	Merged-chr17-29552502-38
NR2839--MA0089.1.MAFG::NFE2L1	chr12	79623495	79623500	-	0.000	0.000	Merged-chr12-79623487-16
NR4916--MA0659.1.MAFG	chr15	73627474	73627494	-	0.000	0.000	Merged-chr15-73627530-51
NR7483--MA0089.1.MAFG::NFE2L1	chr2	103668157	103668162	-	0.000	0.000	Merged-chr2-103668249-32
NR4305--MA0089.1.MAFG::NFE2L1	chr14	87498403	87498408	-	0.000	0.000	Merged-chr14-87498346-23
NR11625--MA0496.2.MAFK	chr6	144679047	144679065	+	0.000	0.000	Merged-chr6-144679049-11
NR6117--MA0591.1.Bach1::Mafk	chr17	85023740	85023754	+	0.000	0.000	Merged-chr17-85023702-53
NR3974--MA0659.1.MAFG	chr14	17414421	17414441	-	0.000	0.000	Merged-chr14-17414498-32
NR7898--MA0089.1.MAFG::NFE2L1	chr2	169398676	169398681	-	0.000	0.000	Merged-chr2-169398588-9
NR3968--MA0495.2.MAFF	chr14	17414421	17414441	-	0.000	0.000	Merged-chr14-17414498-32
