#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.05_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.05_dn.bed
NR20980--MA0741.1.KLF16	chr14	73290097	73290107	-	0.000	0.000	Merged-chr14-73290096-39
NR33644--MA0741.1.KLF16	chr19	31337340	31337350	-	0.000	0.000	Merged-chr19-31337298-1
NR5194--MA0599.1.KLF5	chr10	10307608	10307617	-	0.000	0.000	Merged-chr10-10307543-35
NR1054--MA0599.1.KLF5	chr1	66932106	66932115	+	0.000	0.000	Merged-chr1-66932043-30
NR69234--MA0599.1.KLF5	chr9	66158205	66158214	+	0.000	0.000	Merged-chr9-66158396-48
NR34007--MA0741.1.KLF16	chr19	43809535	43809545	+	0.000	0.000	Merged-chr19-43809499-23
NR24768--MA1107.1.KLF9	chr15	100414228	100414240	+	0.000	0.000	Merged-chr15-100414270-26
NR48968--MA0741.1.KLF16	chr4	154105712	154105722	-	0.000	0.000	Merged-chr4-154105612-38
NR59481--MA0742.1.Klf12	chr7	25155909	25155923	+	0.000	0.000	Merged-chr7-25155994-40
NR28108--MA0599.1.KLF5	chr17	25248217	25248226	+	0.000	0.000	Merged-chr17-25248347-49
NR28836--MA0740.1.KLF14	chr17	35742070	35742083	+	0.000	0.000	Merged-chr17-35741988-36
NR30408--MA0741.1.KLF16	chr17	83654859	83654869	-	0.000	0.000	Merged-chr17-83654883-58
NR56851--MA0742.1.Klf12	chr6	108630897	108630911	+	0.000	0.000	Merged-chr6-108631007-44
NR7280--MA0599.1.KLF5	chr10	81401939	81401948	-	0.000	0.000	Merged-chr10-81401925-26
NR69235--MA0741.1.KLF16	chr9	66158205	66158215	+	0.000	0.000	Merged-chr9-66158396-48
NR21168--MA0493.1.Klf1	chr14	78692261	78692271	-	0.000	0.000	Merged-chr14-78692214-30
NR30452--MA0039.3.KLF4	chr17	83854490	83854500	+	0.000	0.000	Merged-chr17-83854411-35
NR10872--MA0599.1.KLF5	chr11	70597424	70597433	-	0.000	0.000	Merged-chr11-70597550-26
NR28125--MA1107.1.KLF9	chr17	25583845	25583857	+	0.000	0.000	Merged-chr17-25583989-33
NR65527--MA0039.3.KLF4	chr8	72291267	72291277	-	0.000	0.000	Merged-chr8-72291225-23
NR34458--MA0039.3.KLF4	chr19	56756562	56756572	-	0.000	0.000	Merged-chr19-56756635-43
NR26295--MA0493.1.Klf1	chr16	55735672	55735682	-	0.000	0.000	Merged-chr16-55735684-24
NR30480--MA0493.1.Klf1	chr17	84116652	84116662	-	0.000	0.000	Merged-chr17-84116630-65
NR56855--MA0741.1.KLF16	chr6	108630898	108630908	+	0.000	0.000	Merged-chr6-108631007-44
NR18290--MA0741.1.KLF16	chr13	101540641	101540651	+	0.000	0.000	Merged-chr13-101540748-63
NR57181--MA0599.1.KLF5	chr6	119199116	119199125	+	0.000	0.000	Merged-chr6-119199024-52
NR14681--MA0599.1.KLF5	chr12	79447261	79447270	+	0.000	0.000	Merged-chr12-79447275-32
NR23133--MA0742.1.Klf12	chr15	61408819	61408833	+	0.000	0.000	Merged-chr15-61408601-39
NR12394--MA0599.1.KLF5	chr11	104631541	104631550	-	0.000	0.000	Merged-chr11-104631492-24
NR65559--MA1107.1.KLF9	chr8	72762443	72762455	-	0.000	0.000	Merged-chr8-72762514-4
NR66895--MA1107.1.KLF9	chr8	117052565	117052577	-	0.000	0.000	Merged-chr8-117052612-3
NR48326--MA0599.1.KLF5	chr4	140983709	140983718	-	0.000	0.000	Merged-chr4-140983649-41
NR21727--MA0039.3.KLF4	chr14	115250766	115250776	-	0.000	0.000	Merged-chr14-115250840-27
NR22039--MA0493.1.Klf1	chr14	120520131	120520141	+	0.000	0.000	Merged-chr14-120520145-25
NR9241--MA0599.1.KLF5	chr11	5005466	5005475	+	0.000	0.000	Merged-chr11-5005546-13
NR35643--MA0741.1.KLF16	chr2	31131210	31131220	+	0.000	0.000	Merged-chr2-31131193-36
NR58249--MA0599.1.KLF5	chr6	140722427	140722436	+	0.000	0.000	Merged-chr6-140722560-90
NR56856--MA1107.1.KLF9	chr6	108630897	108630909	+	0.000	0.000	Merged-chr6-108631007-44
NR20800--MA0599.1.KLF5	chr14	67912074	67912083	+	0.000	0.000	Merged-chr14-67911920-26
NR66798--MA0740.1.KLF14	chr8	115397893	115397906	-	0.000	0.000	Merged-chr8-115397759-2
NR10330--MA0741.1.KLF16	chr11	57952969	57952979	-	0.000	0.000	Merged-chr11-57952769-40
NR31678--MA0493.1.Klf1	chr18	57249690	57249700	+	0.000	0.000	Merged-chr18-57249763-26
NR23949--MA0599.1.KLF5	chr15	82224398	82224407	+	0.000	0.000	Merged-chr15-82224462-30
NR24689--MA0493.1.Klf1	chr15	99009038	99009048	+	0.000	0.000	Merged-chr15-99008995-43
NR16939--MA0741.1.KLF16	chr13	51776417	51776427	+	0.000	0.000	Merged-chr13-51776600-43
NR66911--MA0741.1.KLF16	chr8	117289163	117289173	-	0.000	0.000	Merged-chr8-117289266-15
NR41037--MA0493.1.Klf1	chr3	52732159	52732169	+	0.000	0.000	Merged-chr3-52732187-17
NR28489--MA0493.1.Klf1	chr17	31077832	31077842	-	0.000	0.000	Merged-chr17-31077750-28
NR57194--MA1107.1.KLF9	chr6	119199106	119199118	+	0.000	0.000	Merged-chr6-119199024-52
NR31024--MA1107.1.KLF9	chr18	23828649	23828661	-	0.000	0.000	Merged-chr18-23828715-22
NR16623--MA1107.1.KLF9	chr13	38503553	38503565	+	0.000	0.000	Merged-chr13-38503650-43
NR26668--MA0599.1.KLF5	chr16	75921058	75921067	+	0.000	0.000	Merged-chr16-75921068-56
NR35276--MA1107.1.KLF9	chr2	25170652	25170664	-	0.000	0.000	Merged-chr2-25170502-21
NR29265--MA1107.1.KLF9	chr17	47943098	47943110	+	0.000	0.000	Merged-chr17-47943297-31
NR54458--MA0493.1.Klf1	chr6	3536249	3536259	+	0.000	0.000	Merged-chr6-3536376-27
NR5858--MA0741.1.KLF16	chr10	44368930	44368940	-	0.000	0.000	Merged-chr10-44368737-26
NR28399--MA1107.1.KLF9	chr17	29152729	29152741	-	0.000	0.000	Merged-chr17-29152803-18
NR61245--MA1107.1.KLF9	chr7	81075344	81075356	+	0.000	0.000	Merged-chr7-81075371-56
NR10327--MA0599.1.KLF5	chr11	57952970	57952979	-	0.000	0.000	Merged-chr11-57952769-40
NR3074--MA0599.1.KLF5	chr1	153304279	153304288	+	0.000	0.000	Merged-chr1-153304263-23
NR63765--MA1107.1.KLF9	chr7	142354081	142354093	+	0.000	0.000	Merged-chr7-142354183-49
NR4842--MA0741.1.KLF16	chr1	191738896	191738906	-	0.000	0.000	Merged-chr1-191738954-40
NR57186--MA0493.1.Klf1	chr6	119199115	119199125	+	0.000	0.000	Merged-chr6-119199024-52
NR7899--MA0741.1.KLF16	chr10	98776529	98776539	-	0.000	0.000	Merged-chr10-98776574-38
NR92--MA0742.1.Klf12	chr1	13301832	13301846	+	0.000	0.000	Merged-chr1-13301807-39
NR2507--MA1107.1.KLF9	chr1	133801265	133801277	-	0.000	0.000	Merged-chr1-133801271-79
NR42610--MA1107.1.KLF9	chr3	108459069	108459081	+	0.000	0.000	Merged-chr3-108458860-74
NR54256--MA0741.1.KLF16	chr5	148489495	148489505	-	0.000	0.000	Merged-chr5-148489625-52
NR42289--MA0599.1.KLF5	chr3	101570912	101570921	+	0.000	0.000	Merged-chr3-101570775-35
NR44463--MA1107.1.KLF9	chr4	6925027	6925039	-	0.000	0.000	Merged-chr4-6924913-49
NR66802--MA1107.1.KLF9	chr8	115397894	115397906	-	0.000	0.000	Merged-chr8-115397759-2
NR24850--MA1107.1.KLF9	chr15	101388110	101388122	+	0.000	0.000	Merged-chr15-101388154-52
NR42478--MA0741.1.KLF16	chr3	104771698	104771708	-	0.000	0.000	Merged-chr3-104771571-48
NR32496--MA0599.1.KLF5	chr18	80609768	80609777	+	0.000	0.000	Merged-chr18-80609939-56
NR45855--MA0741.1.KLF16	chr4	63401085	63401095	+	0.000	0.000	Merged-chr4-63401068-56
NR13358--MA0039.3.KLF4	chr12	4065645	4065655	+	0.000	0.000	Merged-chr12-4065716-30
NR12502--MA0657.1.KLF13	chr11	106536354	106536371	+	0.000	0.000	Merged-chr11-106536245-61
NR13727--MA0740.1.KLF14	chr12	25155527	25155540	-	0.000	0.000	Merged-chr12-25155613-40
NR57723--MA0740.1.KLF14	chr6	128796573	128796586	-	0.000	0.000	Merged-chr6-128796510-47
NR62049--MA0740.1.KLF14	chr7	110203785	110203798	-	0.000	0.000	Merged-chr7-110203728-41
NR46634--MA1107.1.KLF9	chr4	107006402	107006414	-	0.000	0.000	Merged-chr4-107006366-21
NR18612--MA0599.1.KLF5	chr13	108862404	108862413	+	0.000	0.000	Merged-chr13-108862166-40
NR56850--MA0740.1.KLF14	chr6	108630897	108630910	+	0.000	0.000	Merged-chr6-108631007-44
NR13166--MA1107.1.KLF9	chr11	119877300	119877312	-	0.000	0.000	Merged-chr11-119877317-14
NR8864--MA0599.1.KLF5	chr10	127141554	127141563	+	0.000	0.000	Merged-chr10-127141602-99
NR63859--MA0039.3.KLF4	chr7	143724084	143724094	+	0.000	0.000	Merged-chr7-143724096-15
NR119--MA0742.1.Klf12	chr1	13559532	13559546	-	0.000	0.000	Merged-chr1-13559747-54
NR68884--MA0493.1.Klf1	chr9	57278571	57278581	+	0.000	0.000	Merged-chr9-57278495-40
NR48801--MA0493.1.Klf1	chr4	150894668	150894678	+	0.000	0.000	Merged-chr4-150894695-19
NR12861--MA0742.1.Klf12	chr11	115603927	115603941	-	0.000	0.000	Merged-chr11-115603871-66
NR18630--MA0599.1.KLF5	chr13	109239466	109239475	+	0.000	0.000	Merged-chr13-109239401-35
NR26108--MA1107.1.KLF9	chr16	44362189	44362201	+	0.000	0.000	Merged-chr16-44362356-45
NR33218--MA1107.1.KLF9	chr19	8592093	8592105	-	0.000	0.000	Merged-chr19-8592238-38
NR70997--MA0493.1.Klf1	chr9	114016562	114016572	-	0.000	0.000	Merged-chr9-114016465-30
NR50023--MA0493.1.Klf1	chr5	35176592	35176602	+	0.000	0.000	Merged-chr5-35176446-65
NR63759--MA0740.1.KLF14	chr7	142354081	142354094	+	0.000	0.000	Merged-chr7-142354183-49
NR12504--MA0741.1.KLF16	chr11	106536356	106536366	+	0.000	0.000	Merged-chr11-106536245-61
NR11878--MA0493.1.Klf1	chr11	97104261	97104271	+	0.000	0.000	Merged-chr11-97104187-33
NR15529--MA0740.1.KLF14	chr12	107961261	107961274	+	0.000	0.000	Merged-chr12-107961222-28
NR37307--MA0741.1.KLF16	chr2	101762097	101762107	+	0.000	0.000	Merged-chr2-101762037-3
NR52444--MA1107.1.KLF9	chr5	120831203	120831215	+	0.000	0.000	Merged-chr5-120831228-43
NR66924--MA0493.1.Klf1	chr8	117481972	117481982	-	0.000	0.000	Merged-chr8-117482001-12
NR44482--MA0493.1.Klf1	chr4	8834802	8834812	-	0.000	0.000	Merged-chr4-8834782-18
NR30451--MA0599.1.KLF5	chr17	83854489	83854498	+	0.000	0.000	Merged-chr17-83854411-35
NR26457--MA0039.3.KLF4	chr16	64800653	64800663	+	0.000	0.000	Merged-chr16-64800516-42
NR25954--MA0740.1.KLF14	chr16	36985751	36985764	-	0.000	0.000	Merged-chr16-36985776-57
NR13728--MA0657.1.KLF13	chr12	25155524	25155541	-	0.000	0.000	Merged-chr12-25155613-40
NR69656--MA1107.1.KLF9	chr9	78074219	78074231	+	0.000	0.000	Merged-chr9-78074095-46
NR47890--MA1107.1.KLF9	chr4	134734841	134734853	+	0.000	0.000	Merged-chr4-134734669-83
NR33492--MA0493.1.Klf1	chr19	21786047	21786057	-	0.000	0.000	Merged-chr19-21785964-7
NR58420--MA0493.1.Klf1	chr6	142862378	142862388	-	0.000	0.000	Merged-chr6-142862347-56
NR15391--MA1107.1.KLF9	chr12	105001113	105001125	+	0.000	0.000	Merged-chr12-105001185-43
NR18178--MA0493.1.Klf1	chr13	98692033	98692043	-	0.000	0.000	Merged-chr13-98692096-35
NR22134--MA1107.1.KLF9	chr14	122187049	122187061	+	0.000	0.000	Merged-chr14-122187060-26
NR35645--MA0493.1.Klf1	chr2	31131250	31131260	+	0.000	0.000	Merged-chr2-31131193-36
NR6689--MA0493.1.Klf1	chr10	75536274	75536284	+	0.000	0.000	Merged-chr10-75536310-39
NR38198--MA0740.1.KLF14	chr2	128470705	128470718	-	0.000	0.000	Merged-chr2-128470524-44
NR48086--MA0599.1.KLF5	chr4	137603899	137603908	+	0.000	0.000	Merged-chr4-137603877-24
NR51274--MA1107.1.KLF9	chr5	93092476	93092488	-	0.000	0.000	Merged-chr5-93092425-6
NR33491--MA0039.3.KLF4	chr19	21786045	21786055	-	0.000	0.000	Merged-chr19-21785964-7
NR21726--MA0599.1.KLF5	chr14	115250768	115250777	-	0.000	0.000	Merged-chr14-115250840-27
NR12477--MA0741.1.KLF16	chr11	106193666	106193676	+	0.000	0.000	Merged-chr11-106193514-84
NR13735--MA0039.3.KLF4	chr12	25155610	25155620	+	0.000	0.000	Merged-chr12-25155613-40
NR42660--MA0039.3.KLF4	chr3	109133239	109133249	+	0.000	0.000	Merged-chr3-109133281-24
NR18876--MA1107.1.KLF9	chr13	114887433	114887445	-	0.000	0.000	Merged-chr13-114887526-35
NR34456--MA0740.1.KLF14	chr19	56756561	56756574	-	0.000	0.000	Merged-chr19-56756635-43
NR15127--MA0039.3.KLF4	chr12	94083600	94083610	+	0.000	0.000	Merged-chr12-94083592-14
NR50020--MA0740.1.KLF14	chr5	35176592	35176605	+	0.000	0.000	Merged-chr5-35176446-65
NR14917--MA0741.1.KLF16	chr12	87411316	87411326	-	0.000	0.000	Merged-chr12-87411276-22
NR21128--MA0741.1.KLF16	chr14	76579977	76579987	-	0.000	0.000	Merged-chr14-76580010-38
NR12281--MA0741.1.KLF16	chr11	102284777	102284787	-	0.000	0.000	Merged-chr11-102284938-63
NR48758--MA0599.1.KLF5	chr4	149759719	149759728	-	0.000	0.000	Merged-chr4-149759725-31
NR743--MA0741.1.KLF16	chr1	52578326	52578336	+	0.000	0.000	Merged-chr1-52578518-39
NR33647--MA0741.1.KLF16	chr19	31337343	31337353	-	0.000	0.000	Merged-chr19-31337298-1
NR16339--MA0741.1.KLF16	chr13	23581489	23581499	+	0.000	0.000	Merged-chr13-23581680-55
NR71205--MA0039.3.KLF4	chr9	117896557	117896567	+	0.000	0.000	Merged-chr9-117896590-25
NR51964--MA1107.1.KLF9	chr5	112239855	112239867	-	0.000	0.000	Merged-chr5-112239781-12
NR66893--MA1107.1.KLF9	chr8	117052561	117052573	-	0.000	0.000	Merged-chr8-117052612-3
NR2506--MA0741.1.KLF16	chr1	133801282	133801292	-	0.000	0.000	Merged-chr1-133801271-79
NR47685--MA1107.1.KLF9	chr4	132749038	132749050	-	0.000	0.000	Merged-chr4-132748989-25
NR50445--MA0741.1.KLF16	chr5	54111080	54111090	+	0.000	0.000	Merged-chr5-54110931-21
NR67635--MA0599.1.KLF5	chr8	128595266	128595275	-	0.000	0.000	Merged-chr8-128595191-53
NR27018--MA0741.1.KLF16	chr16	91588232	91588242	+	0.000	0.000	Merged-chr16-91588038-25
NR23951--MA0599.1.KLF5	chr15	82224430	82224439	-	0.000	0.000	Merged-chr15-82224462-30
NR15705--MA0039.3.KLF4	chr12	110506241	110506251	-	0.000	0.000	Merged-chr12-110506270-12
NR13046--MA0742.1.Klf12	chr11	117611226	117611240	+	0.000	0.000	Merged-chr11-117611199-52
NR23118--MA0493.1.Klf1	chr15	60120108	60120118	-	0.000	0.000	Merged-chr15-60120172-38
NR49884--MA0599.1.KLF5	chr5	31602559	31602568	-	0.000	0.000	Merged-chr5-31602596-35
NR60804--MA0657.1.KLF13	chr7	64043086	64043103	-	0.000	0.000	Merged-chr7-64043125-48
NR20234--MA0741.1.KLF16	chr14	52343664	52343674	+	0.000	0.000	Merged-chr14-52343445-41
NR69027--MA0599.1.KLF5	chr9	60998295	60998304	-	0.000	0.000	Merged-chr9-60998373-9
NR41080--MA0599.1.KLF5	chr3	54567655	54567664	+	0.000	0.000	Merged-chr3-54567528-25
NR57263--MA0039.3.KLF4	chr6	120264383	120264393	-	0.000	0.000	Merged-chr6-120264409-18
NR58634--MA0741.1.KLF16	chr6	146725225	146725235	+	0.000	0.000	Merged-chr6-146725139-81
NR12860--MA0740.1.KLF14	chr11	115603928	115603941	-	0.000	0.000	Merged-chr11-115603871-66
NR14867--MA0493.1.Klf1	chr12	85973778	85973788	+	0.000	0.000	Merged-chr12-85973794-44
NR11833--MA0741.1.KLF16	chr11	95834562	95834572	+	0.000	0.000	Merged-chr11-95834511-50
NR66889--MA1107.1.KLF9	chr8	117052553	117052565	-	0.000	0.000	Merged-chr8-117052612-3
NR11396--MA0493.1.Klf1	chr11	82214556	82214566	-	0.000	0.000	Merged-chr11-82214647-44
NR13357--MA0599.1.KLF5	chr12	4065644	4065653	+	0.000	0.000	Merged-chr12-4065716-30
NR56867--MA0742.1.Klf12	chr6	108665781	108665795	+	0.000	0.000	Merged-chr6-108665749-34
NR16043--MA0039.3.KLF4	chr12	118424068	118424078	-	0.000	0.000	Merged-chr12-118424167-25
NR16935--MA0493.1.Klf1	chr13	51748283	51748293	+	0.000	0.000	Merged-chr13-51748371-46
NR63858--MA0599.1.KLF5	chr7	143724083	143724092	+	0.000	0.000	Merged-chr7-143724096-15
NR47592--MA0493.1.Klf1	chr4	130899883	130899893	-	0.000	0.000	Merged-chr4-130900085-53
NR54288--MA0741.1.KLF16	chr5	149246287	149246297	+	0.000	0.000	Merged-chr5-149246178-51
NR61789--MA1107.1.KLF9	chr7	101634556	101634568	-	0.000	0.000	Merged-chr7-101634721-37
NR60806--MA0741.1.KLF16	chr7	64043091	64043101	-	0.000	0.000	Merged-chr7-64043125-48
NR41039--MA1107.1.KLF9	chr3	52732159	52732171	+	0.000	0.000	Merged-chr3-52732187-17
NR28946--MA0741.1.KLF16	chr17	37046869	37046879	+	0.000	0.000	Merged-chr17-37046853-1
NR54255--MA0599.1.KLF5	chr5	148489466	148489475	-	0.000	0.000	Merged-chr5-148489625-52
NR17339--MA0039.3.KLF4	chr13	63189528	63189538	-	0.000	0.000	Merged-chr13-63189715-33
NR17349--MA0493.1.Klf1	chr13	63189866	63189876	+	0.000	0.000	Merged-chr13-63189715-33
NR57927--MA0493.1.Klf1	chr6	134067259	134067269	-	0.000	0.000	Merged-chr6-134067446-111
NR49984--MA0742.1.Klf12	chr5	34636794	34636808	-	0.000	0.000	Merged-chr5-34636823-94
NR30478--MA0039.3.KLF4	chr17	84116639	84116649	-	0.000	0.000	Merged-chr17-84116630-65
NR12395--MA0741.1.KLF16	chr11	104631540	104631550	-	0.000	0.000	Merged-chr11-104631492-24
NR5193--MA0742.1.Klf12	chr10	10307604	10307618	-	0.000	0.000	Merged-chr10-10307543-35
NR30448--MA0740.1.KLF14	chr17	83854488	83854501	+	0.000	0.000	Merged-chr17-83854411-35
NR56653--MA1107.1.KLF9	chr6	99435232	99435244	+	0.000	0.000	Merged-chr6-99435291-39
NR29272--MA1107.1.KLF9	chr17	47943112	47943124	+	0.000	0.000	Merged-chr17-47943297-31
NR70525--MA0599.1.KLF5	chr9	104269540	104269549	+	0.000	0.000	Merged-chr9-104269530-16
NR15532--MA0493.1.Klf1	chr12	107961261	107961271	+	0.000	0.000	Merged-chr12-107961222-28
NR20794--MA0740.1.KLF14	chr14	67886974	67886987	+	0.000	0.000	Merged-chr14-67887091-21
NR66910--MA0742.1.Klf12	chr8	117289160	117289174	-	0.000	0.000	Merged-chr8-117289266-15
NR5416--MA0039.3.KLF4	chr10	21975566	21975576	+	0.000	0.000	Merged-chr10-21975536-24
NR54276--MA0742.1.Klf12	chr5	148929037	148929051	-	0.000	0.000	Merged-chr5-148928854-59
NR49986--MA0039.3.KLF4	chr5	34636796	34636806	-	0.000	0.000	Merged-chr5-34636823-94
NR15533--MA0741.1.KLF16	chr12	107961262	107961272	+	0.000	0.000	Merged-chr12-107961222-28
NR12863--MA0599.1.KLF5	chr11	115603931	115603940	-	0.000	0.000	Merged-chr11-115603871-66
NR26456--MA0599.1.KLF5	chr16	64800652	64800661	+	0.000	0.000	Merged-chr16-64800516-42
NR20802--MA1107.1.KLF9	chr14	67912073	67912085	+	0.000	0.000	Merged-chr14-67911920-26
NR16622--MA0493.1.Klf1	chr13	38503553	38503563	+	0.000	0.000	Merged-chr13-38503650-43
NR16735--MA0740.1.KLF14	chr13	43250874	43250887	+	0.000	0.000	Merged-chr13-43250604-89
NR33463--MA0599.1.KLF5	chr19	20424215	20424224	-	0.000	0.000	Merged-chr19-20424322-22
NR10209--MA0599.1.KLF5	chr11	53810298	53810307	-	0.000	0.000	Merged-chr11-53810428-22
NR6691--MA0599.1.KLF5	chr10	75536382	75536391	-	0.000	0.000	Merged-chr10-75536310-39
NR65164--MA1107.1.KLF9	chr8	68158281	68158293	+	0.000	0.000	Merged-chr8-68158417-16
NR65840--MA1107.1.KLF9	chr8	84127452	84127464	-	0.000	0.000	Merged-chr8-84127420-70
NR44458--MA0599.1.KLF5	chr4	6472884	6472893	-	0.000	0.000	Merged-chr4-6472958-17
NR50017--MA0599.1.KLF5	chr5	35176572	35176581	-	0.000	0.000	Merged-chr5-35176446-65
NR62101--MA0493.1.Klf1	chr7	110956798	110956808	+	0.000	0.000	Merged-chr7-110956692-58
NR30303--MA0741.1.KLF16	chr17	80169133	80169143	+	0.000	0.000	Merged-chr17-80169005-20
NR43152--MA1107.1.KLF9	chr3	127892091	127892103	-	0.000	0.000	Merged-chr3-127892051-37
NR56869--MA0493.1.Klf1	chr6	108665781	108665791	+	0.000	0.000	Merged-chr6-108665749-34
NR29268--MA1107.1.KLF9	chr17	47943104	47943116	+	0.000	0.000	Merged-chr17-47943297-31
NR21059--MA0741.1.KLF16	chr14	75069548	75069558	-	0.000	0.000	Merged-chr14-75069632-2
NR6690--MA1107.1.KLF9	chr10	75536274	75536286	+	0.000	0.000	Merged-chr10-75536310-39
NR43271--MA0742.1.Klf12	chr3	131057377	131057391	-	0.000	0.000	Merged-chr3-131057396-52
NR59485--MA0493.1.Klf1	chr7	25155929	25155939	+	0.000	0.000	Merged-chr7-25155994-40
NR9243--MA0039.3.KLF4	chr11	5005452	5005462	-	0.000	0.000	Merged-chr11-5005546-13
NR23660--MA1107.1.KLF9	chr15	78495159	78495171	+	0.000	0.000	Merged-chr15-78495177-43
NR52432--MA0742.1.Klf12	chr5	120688648	120688662	-	0.000	0.000	Merged-chr5-120688663-27
NR22230--MA1107.1.KLF9	chr15	3174250	3174262	-	0.000	0.000	Merged-chr15-3174330-41
NR10357--MA0599.1.KLF5	chr11	58096414	58096423	+	0.000	0.000	Merged-chr11-58096378-33
NR10359--MA0741.1.KLF16	chr11	58096414	58096424	+	0.000	0.000	Merged-chr11-58096378-33
NR43492--MA0039.3.KLF4	chr3	135675687	135675697	+	0.000	0.000	Merged-chr3-135675679-12
NR747--MA0039.3.KLF4	chr1	52578383	52578393	+	0.000	0.000	Merged-chr1-52578518-39
NR57190--MA0741.1.KLF16	chr6	119199105	119199115	+	0.000	0.000	Merged-chr6-119199024-52
NR50025--MA1107.1.KLF9	chr5	35176592	35176604	+	0.000	0.000	Merged-chr5-35176446-65
NR70999--MA0741.1.KLF16	chr9	114026770	114026780	+	0.000	0.000	Merged-chr9-114026652-59
NR26454--MA0657.1.KLF13	chr16	64800650	64800667	+	0.000	0.000	Merged-chr16-64800516-42
NR4358--MA0039.3.KLF4	chr1	182383214	182383224	-	0.000	0.000	Merged-chr1-182383219-38
NR14918--MA0599.1.KLF5	chr12	87411332	87411341	-	0.000	0.000	Merged-chr12-87411276-22
NR13051--MA0741.1.KLF16	chr11	117611227	117611237	+	0.000	0.000	Merged-chr11-117611199-52
NR26236--MA1107.1.KLF9	chr16	49982434	49982446	-	0.000	0.000	Merged-chr16-49982447-38
NR68968--MA0741.1.KLF16	chr9	58583282	58583292	-	0.000	0.000	Merged-chr9-58583464-18
NR63638--MA0039.3.KLF4	chr7	140999462	140999472	+	0.000	0.000	Merged-chr7-140999347-54
NR28123--MA0741.1.KLF16	chr17	25583846	25583856	+	0.000	0.000	Merged-chr17-25583989-33
NR13165--MA0493.1.Klf1	chr11	119877314	119877324	-	0.000	0.000	Merged-chr11-119877317-14
NR67111--MA0039.3.KLF4	chr8	120701896	120701906	-	0.000	0.000	Merged-chr8-120702084-56
NR15126--MA0599.1.KLF5	chr12	94083599	94083608	+	0.000	0.000	Merged-chr12-94083592-14
NR69233--MA0740.1.KLF14	chr9	66158204	66158217	+	0.000	0.000	Merged-chr9-66158396-48
NR16625--MA0742.1.Klf12	chr13	38503655	38503669	+	0.000	0.000	Merged-chr13-38503650-43
NR38204--MA0039.3.KLF4	chr2	128470706	128470716	-	0.000	0.000	Merged-chr2-128470524-44
NR45682--MA0493.1.Klf1	chr4	59264862	59264872	+	0.000	0.000	Merged-chr4-59265208-63
NR14030--MA0039.3.KLF4	chr12	40248927	40248937	-	0.000	0.000	Merged-chr12-40248857-57
NR12953--MA0740.1.KLF14	chr11	116615941	116615954	-	0.000	0.000	Merged-chr11-116616118-41
NR18873--MA0657.1.KLF13	chr13	114887429	114887446	-	0.000	0.000	Merged-chr13-114887526-35
NR34460--MA0741.1.KLF16	chr19	56756563	56756573	-	0.000	0.000	Merged-chr19-56756635-43
NR69654--MA1107.1.KLF9	chr9	78074215	78074227	+	0.000	0.000	Merged-chr9-78074095-46
NR2773--MA0742.1.Klf12	chr1	138588031	138588045	-	0.000	0.000	Merged-chr1-138588005-39
NR30551--MA1107.1.KLF9	chr17	85908829	85908841	+	0.000	0.000	Merged-chr17-85908968-35
NR65891--MA0599.1.KLF5	chr8	84825804	84825813	-	0.000	0.000	Merged-chr8-84825845-44
NR121--MA1107.1.KLF9	chr1	13559534	13559546	-	0.000	0.000	Merged-chr1-13559747-54
NR52433--MA0039.3.KLF4	chr5	120688650	120688660	-	0.000	0.000	Merged-chr5-120688663-27
NR54283--MA0740.1.KLF14	chr5	149246286	149246299	+	0.000	0.000	Merged-chr5-149246178-51
NR13049--MA0493.1.Klf1	chr11	117611226	117611236	+	0.000	0.000	Merged-chr11-117611199-52
NR42744--MA0493.1.Klf1	chr3	115673895	115673905	-	0.000	0.000	Merged-chr3-115673863-61
NR8861--MA0039.3.KLF4	chr10	127141096	127141106	+	0.000	0.000	Merged-chr10-127141144-2
NR54287--MA0493.1.Klf1	chr5	149246286	149246296	+	0.000	0.000	Merged-chr5-149246178-51
NR16140--MA0599.1.KLF5	chr13	8457116	8457125	+	0.000	0.000	Merged-chr13-8457184-81
NR58422--MA1107.1.KLF9	chr6	142862376	142862388	-	0.000	0.000	Merged-chr6-142862347-56
NR41887--MA0493.1.Klf1	chr3	94388229	94388239	-	0.000	0.000	Merged-chr3-94388255-39
NR52340--MA0493.1.Klf1	chr5	118404362	118404372	+	0.000	0.000	Merged-chr5-118404562-37
NR33934--MA0599.1.KLF5	chr19	41360631	41360640	+	0.000	0.000	Merged-chr19-41360707-21
NR39338--MA0741.1.KLF16	chr2	160657972	160657982	-	0.000	0.000	Merged-chr2-160657923-30
NR42748--MA1107.1.KLF9	chr3	115692526	115692538	+	0.000	0.000	Merged-chr3-115692552-34
NR15704--MA0599.1.KLF5	chr12	110506249	110506258	-	0.000	0.000	Merged-chr12-110506270-12
