#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_up.bed
NR12124--MA0089.1.MAFG::NFE2L1	chr6	115594669	115594674	-	0.000	0.000	Merged-chr6-115594731-47
NR7623--MA0591.1.Bach1::Mafk	chr2	34938706	34938720	-	0.000	0.000	Merged-chr2-34938971-69
NR3941--MA0659.1.MAFG	chr13	76129008	76129028	+	0.000	0.000	Merged-chr13-76128854-26
NR7838--MA0591.1.Bach1::Mafk	chr2	69415263	69415277	+	0.000	0.000	Merged-chr2-69415236-25
NR5347--MA0591.1.Bach1::Mafk	chr15	81308191	81308205	-	0.000	0.000	Merged-chr15-81308219-24
NR4140--MA0117.2.Mafb	chr13	107867073	107867084	+	0.000	0.000	Merged-chr13-107866970-30
NR7625--MA0659.1.MAFG	chr2	34938703	34938723	-	0.000	0.000	Merged-chr2-34938971-69
NR9374--MA0089.1.MAFG::NFE2L1	chr3	116434961	116434966	+	0.000	0.000	Merged-chr3-116434903-21
NR5651--MA0591.1.Bach1::Mafk	chr16	33769917	33769931	-	0.000	0.000	Merged-chr16-33769896-51
NR5028--MA0591.1.Bach1::Mafk	chr15	6555766	6555780	+	0.000	0.000	Merged-chr15-6555772-24
NR264--MA0591.1.Bach1::Mafk	chr1	61039454	61039468	-	0.000	0.000	Merged-chr1-61039499-28
NR11204--MA0495.2.MAFF	chr5	107646128	107646148	-	0.000	0.000	Merged-chr5-107646170-26
NR3944--MA0496.2.MAFK	chr13	76129009	76129027	-	0.000	0.000	Merged-chr13-76128854-26
NR15042--MA0659.1.MAFG	chrX	142792380	142792400	-	0.000	0.000	Merged-chrX-142792362-24
NR1367--MA0495.2.MAFF	chr10	19104809	19104829	-	0.000	0.000	Merged-chr10-19104955-55
NR1079--MA0591.1.Bach1::Mafk	chr1	180403757	180403771	-	0.000	0.000	Merged-chr1-180403715-60
NR10487--MA0089.1.MAFG::NFE2L1	chr4	145312520	145312525	-	0.000	0.000	Merged-chr4-145312696-44
NR14314--MA0089.1.MAFG::NFE2L1	chr9	54612918	54612923	-	0.000	0.000	Merged-chr9-54612864-43
NR14334--MA0591.1.Bach1::Mafk	chr9	60991739	60991753	-	0.000	0.000	Merged-chr9-60991715-48
NR1859--MA0501.1.MAF::NFE2	chr10	94021247	94021261	-	0.000	0.000	Merged-chr10-94021256-59
NR13617--MA0496.2.MAFK	chr8	72285428	72285446	+	0.000	0.000	Merged-chr8-72285397-19
NR3704--MA0089.1.MAFG::NFE2L1	chr13	37793011	37793016	-	0.000	0.000	Merged-chr13-37793215-44
NR1077--MA0495.2.MAFF	chr1	180403754	180403774	+	0.000	0.000	Merged-chr1-180403715-60
NR5210--MA0659.1.MAFG	chr15	58655206	58655226	-	0.000	0.000	Merged-chr15-58655104-54
NR6063--MA0501.1.MAF::NFE2	chr16	94660247	94660261	-	0.000	0.000	Merged-chr16-94660460-20
NR9894--MA0089.1.MAFG::NFE2L1	chr4	46404281	46404286	+	0.000	0.000	Merged-chr4-46404308-42
NR13946--MA0501.1.MAF::NFE2	chr8	117074719	117074733	+	0.000	0.000	Merged-chr8-117074609-38
NR4224--MA0501.1.MAF::NFE2	chr13	113168632	113168646	+	0.000	0.000	Merged-chr13-113168484-63
NR15040--MA0591.1.Bach1::Mafk	chrX	142792383	142792397	+	0.000	0.000	Merged-chrX-142792362-24
NR11992--MA0501.1.MAF::NFE2	chr6	95712230	95712244	-	0.000	0.000	Merged-chr6-95712332-22
NR4226--MA0496.2.MAFK	chr13	113168627	113168645	-	0.000	0.000	Merged-chr13-113168484-63
NR3965--MA0501.1.MAF::NFE2	chr13	81675851	81675865	-	0.000	0.000	Merged-chr13-81675595-44
NR11000--MA0591.1.Bach1::Mafk	chr5	77367828	77367842	+	0.000	0.000	Merged-chr5-77367800-15
NR14145--MA0495.2.MAFF	chr9	21609994	21610014	+	0.000	0.000	Merged-chr9-21610100-42
NR5477--MA0501.1.MAF::NFE2	chr15	103153084	103153098	+	0.000	0.000	Merged-chr15-103152944-45
NR13127--MA0089.1.MAFG::NFE2L1	chr7	118135777	118135782	+	0.000	0.000	Merged-chr7-118135744-21
NR11991--MA0591.1.Bach1::Mafk	chr6	95712233	95712247	-	0.000	0.000	Merged-chr6-95712332-22
NR14071--MA0117.2.Mafb	chr8	128572215	128572226	-	0.000	0.000	Merged-chr8-128572314-34
NR2650--MA0591.1.Bach1::Mafk	chr11	97123496	97123510	+	0.000	0.000	Merged-chr11-97123645-15
NR4611--MA0501.1.MAF::NFE2	chr14	54518670	54518684	-	0.000	0.000	Merged-chr14-54518806-37
NR11672--MA0591.1.Bach1::Mafk	chr6	40891144	40891158	-	0.000	0.000	Merged-chr6-40891354-82
NR13338--MA0501.1.MAF::NFE2	chr7	142056810	142056824	+	0.000	0.000	Merged-chr7-142056944-50
NR4854--MA0496.2.MAFK	chr14	99266002	99266020	+	0.000	0.000	Merged-chr14-99266048-28
NR2306--MA0591.1.Bach1::Mafk	chr11	34506623	34506637	-	0.000	0.000	Merged-chr11-34506583-46
NR7238--MA0495.2.MAFF	chr19	20424388	20424408	-	0.000	0.000	Merged-chr19-20424322-22
NR12017--MA0501.1.MAF::NFE2	chr6	98933386	98933400	-	0.000	0.000	Merged-chr6-98933342-15
NR6012--MA0501.1.MAF::NFE2	chr16	91366694	91366708	-	0.000	0.000	Merged-chr16-91366873-55
NR257--MA0501.1.MAF::NFE2	chr1	60758318	60758332	-	0.000	0.000	Merged-chr1-60758375-49
NR6356--MA0089.1.MAFG::NFE2L1	chr17	44556037	44556042	+	0.000	0.000	Merged-chr17-44556103-15
NR13927--MA0089.1.MAFG::NFE2L1	chr8	115183824	115183829	+	0.000	0.000	Merged-chr8-115183735-24
NR7780--MA0591.1.Bach1::Mafk	chr2	60328783	60328797	-	0.000	0.000	Merged-chr2-60328757-33
NR12851--MA0659.1.MAFG	chr7	80209870	80209890	-	0.000	0.000	Merged-chr7-80209951-53
NR5207--MA0495.2.MAFF	chr15	58655206	58655226	+	0.000	0.000	Merged-chr15-58655104-54
NR9051--MA0089.1.MAFG::NFE2L1	chr3	79177390	79177395	+	0.000	0.000	Merged-chr3-79177375-21
NR5211--MA0496.2.MAFK	chr15	58655207	58655225	+	0.000	0.000	Merged-chr15-58655104-54
NR12267--MA0496.2.MAFK	chr6	127302957	127302975	+	0.000	0.000	Merged-chr6-127302896-25
NR10317--MA0501.1.MAF::NFE2	chr4	121002459	121002473	-	0.000	0.000	Merged-chr4-121002570-50
NR9630--MA0591.1.Bach1::Mafk	chr3	146758060	146758074	+	0.000	0.000	Merged-chr3-146758289-47
NR8537--MA0089.1.MAFG::NFE2L1	chr2	158133365	158133370	+	0.000	0.000	Merged-chr2-158133215-37
NR13919--MA0117.2.Mafb	chr8	111976532	111976543	-	0.000	0.000	Merged-chr8-111976573-47
NR9273--MA0117.2.Mafb	chr3	103872771	103872782	-	0.000	0.000	Merged-chr3-103872856-42
NR3942--MA0501.1.MAF::NFE2	chr13	76129014	76129028	+	0.000	0.000	Merged-chr13-76128854-26
NR5521--MA0089.1.MAFG::NFE2L1	chr16	13845253	13845258	+	0.000	0.000	Merged-chr16-13845150-21
