#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.05_up.bed
NR6000--MA0599.1.KLF5	chr10	30655876	30655885	-	0.000	0.000	Merged-chr10-30655945-56
NR49788--MA1107.1.KLF9	chr5	20845383	20845395	+	0.000	0.000	Merged-chr5-20845245-18
NR20236--MA0039.3.KLF4	chr14	32716955	32716965	+	0.000	0.000	Merged-chr14-32716978-71
NR58052--MA0039.3.KLF4	chr7	4948534	4948544	+	0.000	0.000	Merged-chr7-4948568-26
NR53746--MA0599.1.KLF5	chr5	144295025	144295034	-	0.000	0.000	Merged-chr5-144295152-24
NR2330--MA0599.1.KLF5	chr1	106515686	106515695	+	0.000	0.000	Merged-chr1-106515798-55
NR6304--MA0493.1.Klf1	chr10	42699262	42699272	+	0.000	0.000	Merged-chr10-42699170-35
NR29929--MA1107.1.KLF9	chr17	52483866	52483878	+	0.000	0.000	Merged-chr17-52484066-25
NR58276--MA0039.3.KLF4	chr7	16197062	16197072	-	0.000	0.000	Merged-chr7-16196917-6
NR7863--MA0039.3.KLF4	chr10	84897310	84897320	+	0.000	0.000	Merged-chr10-84897526-62
NR6492--MA0742.1.Klf12	chr10	53461606	53461620	-	0.000	0.000	Merged-chr10-53461441-37
NR41344--MA0657.1.KLF13	chr3	38280291	38280308	+	0.000	0.000	Merged-chr3-38280395-39
NR11252--MA0741.1.KLF16	chr11	73281855	73281865	-	0.000	0.000	Merged-chr11-73281808-27
NR24439--MA0741.1.KLF16	chr15	80192527	80192537	+	0.000	0.000	Merged-chr15-80192413-58
NR61091--MA0599.1.KLF5	chr7	113572968	113572977	-	0.000	0.000	Merged-chr7-113573033-33
NR6493--MA0599.1.KLF5	chr10	53461610	53461619	-	0.000	0.000	Merged-chr10-53461441-37
NR50844--MA0599.1.KLF5	chr5	63943562	63943571	-	0.000	0.000	Merged-chr5-63943362-36
NR61032--MA0741.1.KLF16	chr7	110796447	110796457	-	0.000	0.000	Merged-chr7-110796429-1
NR1209--MA0493.1.Klf1	chr1	60017018	60017028	+	0.000	0.000	Merged-chr1-60017133-4
NR68110--MA0039.3.KLF4	chr9	114613220	114613230	-	0.000	0.000	Merged-chr9-114613191-38
NR49171--MA1107.1.KLF9	chr4	155050347	155050359	+	0.000	0.000	Merged-chr4-155050218-26
NR65737--MA0493.1.Klf1	chr9	20610048	20610058	+	0.000	0.000	Merged-chr9-20609876-14
NR32968--MA0599.1.KLF5	chr18	67255708	67255717	-	0.000	0.000	Merged-chr18-67255745-40
NR19086--MA0599.1.KLF5	chr13	111587745	111587754	+	0.000	0.000	Merged-chr13-111587851-12
NR15507--MA0741.1.KLF16	chr12	109446511	109446521	-	0.000	0.000	Merged-chr12-109446341-43
NR22817--MA0599.1.KLF5	chr15	12895613	12895622	-	0.000	0.000	Merged-chr15-12895648-51
NR57242--MA0493.1.Klf1	chr6	131294134	131294144	-	0.000	0.000	Merged-chr6-131294237-12
NR47734--MA0742.1.Klf12	chr4	120287788	120287802	-	0.000	0.000	Merged-chr4-120287807-68
NR51714--MA1107.1.KLF9	chr5	96990705	96990717	-	0.000	0.000	Merged-chr5-96990741-12
NR26741--MA1107.1.KLF9	chr16	48788728	48788740	-	0.000	0.000	Merged-chr16-48788871-49
NR60561--MA0493.1.Klf1	chr7	92420559	92420569	-	0.000	0.000	Merged-chr7-92420666-38
NR50852--MA0039.3.KLF4	chr5	64040800	64040810	+	0.000	0.000	Merged-chr5-64040859-39
NR68269--MA0599.1.KLF5	chr9	119453539	119453548	-	0.000	0.000	Merged-chr9-119453486-15
NR50847--MA0741.1.KLF16	chr5	63943575	63943585	-	0.000	0.000	Merged-chr5-63943362-36
NR64007--MA1107.1.KLF9	chr8	81012390	81012402	+	0.000	0.000	Merged-chr8-81012350-63
NR46243--MA0493.1.Klf1	chr4	56222650	56222660	+	0.000	0.000	Merged-chr4-56222492-84
NR10177--MA0493.1.Klf1	chr11	24077538	24077548	-	0.000	0.000	Merged-chr11-24077473-13
NR50079--MA0493.1.Klf1	chr5	28269892	28269902	-	0.000	0.000	Merged-chr5-28269924-54
NR51719--MA1107.1.KLF9	chr5	96990715	96990727	-	0.000	0.000	Merged-chr5-96990741-12
NR13168--MA0741.1.KLF16	chr12	8496611	8496621	+	0.000	0.000	Merged-chr12-8496481-10
NR48977--MA0039.3.KLF4	chr4	150087402	150087412	-	0.000	0.000	Merged-chr4-150087480-81
NR20235--MA0599.1.KLF5	chr14	32716954	32716963	+	0.000	0.000	Merged-chr14-32716978-71
NR29327--MA0493.1.Klf1	chr17	33947934	33947944	+	0.000	0.000	Merged-chr17-33947911-26
NR44673--MA0599.1.KLF5	chr3	152886829	152886838	-	0.000	0.000	Merged-chr3-152886887-20
NR47209--MA0740.1.KLF14	chr4	97996085	97996098	+	0.000	0.000	Merged-chr4-97996259-58
NR56864--MA1107.1.KLF9	chr6	120206737	120206749	+	0.000	0.000	Merged-chr6-120206801-39
NR58243--MA0493.1.Klf1	chr7	16001851	16001861	-	0.000	0.000	Merged-chr7-16001989-41
NR52820--MA0741.1.KLF16	chr5	125016669	125016679	-	0.000	0.000	Merged-chr5-125016719-26
NR13361--MA0742.1.Klf12	chr12	17511237	17511251	-	0.000	0.000	Merged-chr12-17511273-48
NR58275--MA0599.1.KLF5	chr7	16197064	16197073	-	0.000	0.000	Merged-chr7-16196917-6
NR29925--MA0742.1.Klf12	chr17	52483866	52483880	+	0.000	0.000	Merged-chr17-52484066-25
NR61030--MA0599.1.KLF5	chr7	110796448	110796457	-	0.000	0.000	Merged-chr7-110796429-1
NR61263--MA0599.1.KLF5	chr7	119860417	119860426	+	0.000	0.000	Merged-chr7-119860527-21
NR33508--MA0493.1.Klf1	chr18	82607557	82607567	+	0.000	0.000	Merged-chr18-82607647-23
NR44435--MA1107.1.KLF9	chr3	148488426	148488438	+	0.000	0.000	Merged-chr3-148488399-75
NR41753--MA0741.1.KLF16	chr3	55419534	55419544	+	0.000	0.000	Merged-chr3-55419547-37
NR26662--MA0493.1.Klf1	chr16	45261507	45261517	+	0.000	0.000	Merged-chr16-45261551-46
NR52818--MA0039.3.KLF4	chr5	125016668	125016678	-	0.000	0.000	Merged-chr5-125016719-26
NR13549--MA0742.1.Klf12	chr12	25247228	25247242	-	0.000	0.000	Merged-chr12-25247115-16
NR66250--MA1107.1.KLF9	chr9	42423875	42423887	+	0.000	0.000	Merged-chr9-42423784-11
NR3915--MA0657.1.KLF13	chr1	164882002	164882019	-	0.000	0.000	Merged-chr1-164882176-54
NR12188--MA0599.1.KLF5	chr11	99132690	99132699	-	0.000	0.000	Merged-chr11-99132520-18
NR43042--MA0599.1.KLF5	chr3	104616373	104616382	-	0.000	0.000	Merged-chr3-104616358-38
NR49889--MA1107.1.KLF9	chr5	23394520	23394532	+	0.000	0.000	Merged-chr5-23394422-14
NR67901--MA0599.1.KLF5	chr9	107334497	107334506	+	0.000	0.000	Merged-chr9-107334469-86
NR21395--MA0741.1.KLF16	chr14	74918663	74918673	+	0.000	0.000	Merged-chr14-74918775-39
NR57301--MA1107.1.KLF9	chr6	134183957	134183969	+	0.000	0.000	Merged-chr6-134184108-53
NR62317--MA0493.1.Klf1	chr8	13974843	13974853	+	0.000	0.000	Merged-chr8-13974729-61
NR6306--MA1107.1.KLF9	chr10	42699262	42699274	+	0.000	0.000	Merged-chr10-42699170-35
NR16888--MA0599.1.KLF5	chr13	44507199	44507208	+	0.000	0.000	Merged-chr13-44507226-54
NR67900--MA1107.1.KLF9	chr9	107334439	107334451	+	0.000	0.000	Merged-chr9-107334469-86
NR66245--MA0740.1.KLF14	chr9	42423875	42423888	+	0.000	0.000	Merged-chr9-42423784-11
NR9034--MA1107.1.KLF9	chr10	118633633	118633645	+	0.000	0.000	Merged-chr10-118633664-46
NR49787--MA0493.1.Klf1	chr5	20845383	20845393	+	0.000	0.000	Merged-chr5-20845245-18
NR21393--MA0599.1.KLF5	chr14	74918656	74918665	+	0.000	0.000	Merged-chr14-74918775-39
NR68109--MA0657.1.KLF13	chr9	114613216	114613233	-	0.000	0.000	Merged-chr9-114613191-38
NR67248--MA0599.1.KLF5	chr9	83446123	83446132	+	0.000	0.000	Merged-chr9-83446152-4
NR47738--MA0599.1.KLF5	chr4	120287855	120287864	-	0.000	0.000	Merged-chr4-120287807-68
NR50851--MA0599.1.KLF5	chr5	64040799	64040808	+	0.000	0.000	Merged-chr5-64040859-39
NR50853--MA0741.1.KLF16	chr5	64040799	64040809	+	0.000	0.000	Merged-chr5-64040859-39
NR23680--MA0493.1.Klf1	chr15	53267151	53267161	+	0.000	0.000	Merged-chr15-53267286-91
NR66246--MA0657.1.KLF13	chr9	42423874	42423891	+	0.000	0.000	Merged-chr9-42423784-11
NR65739--MA1107.1.KLF9	chr9	20610048	20610060	+	0.000	0.000	Merged-chr9-20609876-14
NR48976--MA0599.1.KLF5	chr4	150087404	150087413	-	0.000	0.000	Merged-chr4-150087480-81
NR49147--MA0740.1.KLF14	chr4	154012727	154012740	-	0.000	0.000	Merged-chr4-154012820-1
NR29924--MA0740.1.KLF14	chr17	52483866	52483879	+	0.000	0.000	Merged-chr17-52484066-25
NR66632--MA1107.1.KLF9	chr9	57647824	57647836	-	0.000	0.000	Merged-chr9-57647746-26
NR382--MA1107.1.KLF9	chr1	20825296	20825308	+	0.000	0.000	Merged-chr1-20825313-33
NR35684--MA1107.1.KLF9	chr2	21223022	21223034	-	0.000	0.000	Merged-chr2-21222970-39
NR52120--MA0742.1.Klf12	chr5	111039993	111040007	+	0.000	0.000	Merged-chr5-111039945-24
NR60563--MA1107.1.KLF9	chr7	92420557	92420569	-	0.000	0.000	Merged-chr7-92420666-38
NR58274--MA0741.1.KLF16	chr7	16197026	16197036	-	0.000	0.000	Merged-chr7-16196917-6
NR13548--MA0740.1.KLF14	chr12	25247229	25247242	-	0.000	0.000	Merged-chr12-25247115-16
NR49167--MA0742.1.Klf12	chr4	155050347	155050361	+	0.000	0.000	Merged-chr4-155050218-26
NR29325--MA0742.1.Klf12	chr17	33947934	33947948	+	0.000	0.000	Merged-chr17-33947911-26
NR9584--MA0741.1.KLF16	chr10	128940595	128940605	-	0.000	0.000	Merged-chr10-128940717-41
NR32966--MA0493.1.Klf1	chr18	67212684	67212694	+	0.000	0.000	Merged-chr18-67212775-57
NR52124--MA0741.1.KLF16	chr5	111039994	111040004	+	0.000	0.000	Merged-chr5-111039945-24
NR15504--MA0599.1.KLF5	chr12	109438214	109438223	+	0.000	0.000	Merged-chr12-109438029-53
NR46240--MA0039.3.KLF4	chr4	56070739	56070749	+	0.000	0.000	Merged-chr4-56070680-56
NR24464--MA0741.1.KLF16	chr15	80602606	80602616	+	0.000	0.000	Merged-chr15-80602759-36
NR33363--MA0742.1.Klf12	chr18	77743800	77743814	-	0.000	0.000	Merged-chr18-77743762-23
NR12596--MA1107.1.KLF9	chr11	113508531	113508543	-	0.000	0.000	Merged-chr11-113508478-30
NR14757--MA0657.1.KLF13	chr12	82165836	82165853	+	0.000	0.000	Merged-chr12-82165766-1
NR41751--MA0741.1.KLF16	chr3	55419532	55419542	+	0.000	0.000	Merged-chr3-55419547-37
NR32970--MA0741.1.KLF16	chr18	67255707	67255717	-	0.000	0.000	Merged-chr18-67255745-40
NR66436--MA1107.1.KLF9	chr9	48980583	48980595	+	0.000	0.000	Merged-chr9-48980590-7
NR1994--MA0742.1.Klf12	chr1	91095346	91095360	-	0.000	0.000	Merged-chr1-91095433-53
NR3011--MA0039.3.KLF4	chr1	135766475	135766485	-	0.000	0.000	Merged-chr1-135766283-55
NR44880--MA0039.3.KLF4	chr3	157938893	157938903	-	0.000	0.000	Merged-chr3-157938783-43
NR1988--MA0599.1.KLF5	chr1	91095286	91095295	+	0.000	0.000	Merged-chr1-91095433-53
NR12189--MA0741.1.KLF16	chr11	99132689	99132699	-	0.000	0.000	Merged-chr11-99132520-18
NR2732--MA1107.1.KLF9	chr1	127796455	127796467	-	0.000	0.000	Merged-chr1-127796546-56
NR1992--MA0493.1.Klf1	chr1	91095285	91095295	+	0.000	0.000	Merged-chr1-91095433-53
NR48632--MA0742.1.Klf12	chr4	140833013	140833027	-	0.000	0.000	Merged-chr4-140833040-18
NR44675--MA1107.1.KLF9	chr3	152886825	152886837	-	0.000	0.000	Merged-chr3-152886887-20
NR1204--MA0740.1.KLF14	chr1	60017018	60017031	+	0.000	0.000	Merged-chr1-60017133-4
NR36830--MA0599.1.KLF5	chr2	59482659	59482668	+	0.000	0.000	Merged-chr2-59482840-22
NR22404--MA0493.1.Klf1	chr14	120313644	120313654	+	0.000	0.000	Merged-chr14-120313531-118
NR9582--MA0039.3.KLF4	chr10	128940594	128940604	-	0.000	0.000	Merged-chr10-128940717-41
NR2728--MA1107.1.KLF9	chr1	127796439	127796451	-	0.000	0.000	Merged-chr1-127796546-56
NR47731--MA0599.1.KLF5	chr4	120287748	120287757	-	0.000	0.000	Merged-chr4-120287807-68
NR12194--MA1107.1.KLF9	chr11	99132673	99132685	-	0.000	0.000	Merged-chr11-99132520-18
NR22408--MA1107.1.KLF9	chr14	120313649	120313661	+	0.000	0.000	Merged-chr14-120313531-118
NR64938--MA0493.1.Klf1	chr8	116645535	116645545	-	0.000	0.000	Merged-chr8-116645599-31
NR61084--MA0742.1.Klf12	chr7	113263093	113263107	-	0.000	0.000	Merged-chr7-113263148-32
NR15511--MA0741.1.KLF16	chr12	109446515	109446525	-	0.000	0.000	Merged-chr12-109446341-43
NR62772--MA0741.1.KLF16	chr8	34398003	34398013	+	0.000	0.000	Merged-chr8-34397971-66
NR6001--MA0741.1.KLF16	chr10	30655875	30655885	-	0.000	0.000	Merged-chr10-30655945-56
NR65821--MA0039.3.KLF4	chr9	21419887	21419897	-	0.000	0.000	Merged-chr9-21419783-26
NR11535--MA0493.1.Klf1	chr11	79460527	79460537	-	0.000	0.000	Merged-chr11-79460483-1
NR1205--MA0657.1.KLF13	chr1	60017017	60017034	+	0.000	0.000	Merged-chr1-60017133-4
NR14253--MA0039.3.KLF4	chr12	59170023	59170033	+	0.000	0.000	Merged-chr12-59170039-43
NR33362--MA0740.1.KLF14	chr18	77743801	77743814	-	0.000	0.000	Merged-chr18-77743762-23
NR13552--MA0741.1.KLF16	chr12	25247231	25247241	-	0.000	0.000	Merged-chr12-25247115-16
NR47070--MA0741.1.KLF16	chr4	89169051	89169061	-	0.000	0.000	Merged-chr4-89169046-30
NR23682--MA1107.1.KLF9	chr15	53267151	53267163	+	0.000	0.000	Merged-chr15-53267286-91
NR5304--MA0742.1.Klf12	chr10	5448584	5448598	-	0.000	0.000	Merged-chr10-5448562-35
NR50845--MA0599.1.KLF5	chr5	63943567	63943576	-	0.000	0.000	Merged-chr5-63943362-36
NR32967--MA0741.1.KLF16	chr18	67212685	67212695	+	0.000	0.000	Merged-chr18-67212775-57
NR2331--MA0493.1.Klf1	chr1	106515685	106515695	+	0.000	0.000	Merged-chr1-106515798-55
NR13550--MA0599.1.KLF5	chr12	25247232	25247241	-	0.000	0.000	Merged-chr12-25247115-16
NR44114--MA0742.1.Klf12	chr3	141778822	141778836	-	0.000	0.000	Merged-chr3-141778800-74
NR47211--MA0741.1.KLF16	chr4	97996086	97996096	+	0.000	0.000	Merged-chr4-97996259-58
NR57024--MA0599.1.KLF5	chr6	125355220	125355229	-	0.000	0.000	Merged-chr6-125355418-28
NR32969--MA0599.1.KLF5	chr18	67255714	67255723	-	0.000	0.000	Merged-chr18-67255745-40
NR44338--MA0740.1.KLF14	chr3	146004977	146004990	-	0.000	0.000	Merged-chr3-146004832-23
NR68108--MA0493.1.Klf1	chr9	114613181	114613191	-	0.000	0.000	Merged-chr9-114613191-38
NR61092--MA0493.1.Klf1	chr7	113572968	113572978	-	0.000	0.000	Merged-chr7-113573033-33
NR34249--MA0599.1.KLF5	chr19	25360964	25360973	-	0.000	0.000	Merged-chr19-25360847-26
NR32875--MA0599.1.KLF5	chr18	65322465	65322474	-	0.000	0.000	Merged-chr18-65322333-46
NR57297--MA0740.1.KLF14	chr6	134183957	134183970	+	0.000	0.000	Merged-chr6-134184108-53
NR51715--MA1107.1.KLF9	chr5	96990707	96990719	-	0.000	0.000	Merged-chr5-96990741-12
NR62769--MA0741.1.KLF16	chr8	34398000	34398010	+	0.000	0.000	Merged-chr8-34397971-66
NR48978--MA1107.1.KLF9	chr4	150087402	150087414	-	0.000	0.000	Merged-chr4-150087480-81
NR51948--MA1107.1.KLF9	chr5	105004711	105004723	-	0.000	0.000	Merged-chr5-105004765-44
NR64008--MA1107.1.KLF9	chr8	81012392	81012404	+	0.000	0.000	Merged-chr8-81012350-63
NR58277--MA0741.1.KLF16	chr7	16197063	16197073	-	0.000	0.000	Merged-chr7-16196917-6
NR47739--MA0741.1.KLF16	chr4	120287854	120287864	-	0.000	0.000	Merged-chr4-120287807-68
NR26738--MA1107.1.KLF9	chr16	48788722	48788734	-	0.000	0.000	Merged-chr16-48788871-49
NR66042--MA0741.1.KLF16	chr9	31254732	31254742	+	0.000	0.000	Merged-chr9-31254853-49
NR1986--MA0599.1.KLF5	chr1	91095276	91095285	+	0.000	0.000	Merged-chr1-91095433-53
NR44339--MA0657.1.KLF13	chr3	146004974	146004991	-	0.000	0.000	Merged-chr3-146004832-23
NR25876--MA0039.3.KLF4	chr16	11073553	11073563	+	0.000	0.000	Merged-chr16-11073416-33
NR42346--MA0493.1.Klf1	chr3	83987972	83987982	+	0.000	0.000	Merged-chr3-83987942-35
NR1990--MA0493.1.Klf1	chr1	91095275	91095285	+	0.000	0.000	Merged-chr1-91095433-53
NR40501--MA0039.3.KLF4	chr2	180256330	180256340	+	0.000	0.000	Merged-chr2-180256201-1
NR61031--MA0599.1.KLF5	chr7	110796453	110796462	-	0.000	0.000	Merged-chr7-110796429-1
NR14758--MA0742.1.Klf12	chr12	82165837	82165851	+	0.000	0.000	Merged-chr12-82165766-1
NR49170--MA0741.1.KLF16	chr4	155050348	155050358	+	0.000	0.000	Merged-chr4-155050218-26
NR2726--MA1107.1.KLF9	chr1	127796435	127796447	-	0.000	0.000	Merged-chr1-127796546-56
NR14252--MA0599.1.KLF5	chr12	59170022	59170031	+	0.000	0.000	Merged-chr12-59170039-43
NR30195--MA0599.1.KLF5	chr17	63405678	63405687	+	0.000	0.000	Merged-chr17-63405591-44
NR29363--MA0039.3.KLF4	chr17	34287841	34287851	+	0.000	0.000	Merged-chr17-34287917-16
NR36679--MA0039.3.KLF4	chr2	53051379	53051389	-	0.000	0.000	Merged-chr2-53051556-37
NR5307--MA0493.1.Klf1	chr10	5448588	5448598	-	0.000	0.000	Merged-chr10-5448562-35
NR1211--MA1107.1.KLF9	chr1	60017018	60017030	+	0.000	0.000	Merged-chr1-60017133-4
NR13359--MA0493.1.Klf1	chr12	17511203	17511213	+	0.000	0.000	Merged-chr12-17511273-48
NR46625--MA1107.1.KLF9	chr4	71291515	71291527	-	0.000	0.000	Merged-chr4-71291736-94
NR47743--MA0599.1.KLF5	chr4	120288021	120288030	+	0.000	0.000	Merged-chr4-120287807-68
NR44343--MA0493.1.Klf1	chr3	146004980	146004990	-	0.000	0.000	Merged-chr3-146004832-23
NR21488--MA0599.1.KLF5	chr14	78619067	78619076	-	0.000	0.000	Merged-chr14-78619032-26
NR24438--MA0741.1.KLF16	chr15	80192526	80192536	+	0.000	0.000	Merged-chr15-80192413-58
NR21394--MA0599.1.KLF5	chr14	74918663	74918672	+	0.000	0.000	Merged-chr14-74918775-39
NR6768--MA0039.3.KLF4	chr10	61233351	61233361	+	0.000	0.000	Merged-chr10-61233317-40
NR66248--MA0493.1.Klf1	chr9	42423875	42423885	+	0.000	0.000	Merged-chr9-42423784-11
NR3009--MA0740.1.KLF14	chr1	135766474	135766487	-	0.000	0.000	Merged-chr1-135766283-55
NR13167--MA0493.1.Klf1	chr12	8496610	8496620	+	0.000	0.000	Merged-chr12-8496481-10
NR56155--MA0742.1.Klf12	chr6	94760882	94760896	+	0.000	0.000	Merged-chr6-94761021-48
NR57241--MA0599.1.KLF5	chr6	131294134	131294143	-	0.000	0.000	Merged-chr6-131294237-12
NR64444--MA1107.1.KLF9	chr8	96552650	96552662	-	0.000	0.000	Merged-chr8-96552694-31
NR55448--MA0741.1.KLF16	chr6	67480718	67480728	+	0.000	0.000	Merged-chr6-67480682-22
NR35680--MA1107.1.KLF9	chr2	21223014	21223026	-	0.000	0.000	Merged-chr2-21222970-39
NR46223--MA1107.1.KLF9	chr4	55343391	55343403	+	0.000	0.000	Merged-chr4-55343422-62
NR25875--MA0599.1.KLF5	chr16	11073552	11073561	+	0.000	0.000	Merged-chr16-11073416-33
NR15506--MA0741.1.KLF16	chr12	109446236	109446246	-	0.000	0.000	Merged-chr12-109446341-43
NR6496--MA1107.1.KLF9	chr10	53461608	53461620	-	0.000	0.000	Merged-chr10-53461441-37
NR66633--MA1107.1.KLF9	chr9	57647826	57647838	-	0.000	0.000	Merged-chr9-57647746-26
NR30240--MA1107.1.KLF9	chr17	64628988	64629000	-	0.000	0.000	Merged-chr17-64628994-21
NR24463--MA0599.1.KLF5	chr15	80602606	80602615	+	0.000	0.000	Merged-chr15-80602759-36
NR35685--MA1107.1.KLF9	chr2	21223024	21223036	-	0.000	0.000	Merged-chr2-21222970-39
NR52122--MA0039.3.KLF4	chr5	111039995	111040005	+	0.000	0.000	Merged-chr5-111039945-24
NR40500--MA0599.1.KLF5	chr2	180256329	180256338	+	0.000	0.000	Merged-chr2-180256201-1
NR29326--MA0599.1.KLF5	chr17	33947935	33947944	+	0.000	0.000	Merged-chr17-33947911-26
NR52024--MA1107.1.KLF9	chr5	107926651	107926663	+	0.000	0.000	Merged-chr5-107926816-56
NR66249--MA0741.1.KLF16	chr9	42423876	42423886	+	0.000	0.000	Merged-chr9-42423784-11
NR65431--MA0039.3.KLF4	chr8	126721955	126721965	-	0.000	0.000	Merged-chr8-126721826-22
NR33510--MA1107.1.KLF9	chr18	82607557	82607569	+	0.000	0.000	Merged-chr18-82607647-23
NR47425--MA0039.3.KLF4	chr4	107989142	107989152	-	0.000	0.000	Merged-chr4-107989218-22
NR26509--MA0599.1.KLF5	chr16	35742467	35742476	-	0.000	0.000	Merged-chr16-35742622-74
NR57026--MA1107.1.KLF9	chr6	125355218	125355230	-	0.000	0.000	Merged-chr6-125355418-28
NR44674--MA0741.1.KLF16	chr3	152886826	152886836	-	0.000	0.000	Merged-chr3-152886887-20
NR13360--MA1107.1.KLF9	chr12	17511203	17511215	+	0.000	0.000	Merged-chr12-17511273-48
NR22945--MA0039.3.KLF4	chr15	25696040	25696050	-	0.000	0.000	Merged-chr15-25696018-37
NR1989--MA0599.1.KLF5	chr1	91095291	91095300	+	0.000	0.000	Merged-chr1-91095433-53
NR65575--MA0039.3.KLF4	chr9	11329031	11329041	+	0.000	0.000	Merged-chr9-11329095-28
NR2733--MA1107.1.KLF9	chr1	127796457	127796469	-	0.000	0.000	Merged-chr1-127796546-56
NR29928--MA0741.1.KLF16	chr17	52483867	52483877	+	0.000	0.000	Merged-chr17-52484066-25
NR6767--MA0599.1.KLF5	chr10	61233350	61233359	+	0.000	0.000	Merged-chr10-61233317-40
NR12190--MA1107.1.KLF9	chr11	99132665	99132677	-	0.000	0.000	Merged-chr11-99132520-18
NR1993--MA0493.1.Klf1	chr1	91095290	91095300	+	0.000	0.000	Merged-chr1-91095433-53
NR56774--MA1107.1.KLF9	chr6	117937386	117937398	+	0.000	0.000	Merged-chr6-117937569-43
NR57025--MA0741.1.KLF16	chr6	125355219	125355229	-	0.000	0.000	Merged-chr6-125355418-28
NR68179--MA0493.1.Klf1	chr9	116187832	116187842	-	0.000	0.000	Merged-chr9-116187633-9
NR11606--MA0039.3.KLF4	chr11	82195243	82195253	+	0.000	0.000	Merged-chr11-82195229-33
NR44671--MA0039.3.KLF4	chr3	152886789	152886799	+	0.000	0.000	Merged-chr3-152886887-20
NR53832--MA0493.1.Klf1	chr5	146974169	146974179	+	0.000	0.000	Merged-chr5-146974233-28
NR57395--MA0742.1.Klf12	chr6	136684095	136684109	+	0.000	0.000	Merged-chr6-136683885-26
NR22405--MA0493.1.Klf1	chr14	120313649	120313659	+	0.000	0.000	Merged-chr14-120313531-118
NR65819--MA0599.1.KLF5	chr9	21419889	21419898	-	0.000	0.000	Merged-chr9-21419783-26
NR2729--MA1107.1.KLF9	chr1	127796441	127796453	-	0.000	0.000	Merged-chr1-127796546-56
NR9033--MA0741.1.KLF16	chr10	118633634	118633644	+	0.000	0.000	Merged-chr10-118633664-46
NR58615--MA0599.1.KLF5	chr7	24482004	24482013	-	0.000	0.000	Merged-chr7-24481860-36
NR12195--MA1107.1.KLF9	chr11	99132675	99132687	-	0.000	0.000	Merged-chr11-99132520-18
NR7865--MA1107.1.KLF9	chr10	84897308	84897320	+	0.000	0.000	Merged-chr10-84897526-62
NR44345--MA1107.1.KLF9	chr3	146004978	146004990	-	0.000	0.000	Merged-chr3-146004832-23
NR64989--MA0599.1.KLF5	chr8	117548648	117548657	-	0.000	0.000	Merged-chr8-117548585-70
NR44363--MA1107.1.KLF9	chr3	146063401	146063413	-	0.000	0.000	Merged-chr3-146063322-20
NR47740--MA1107.1.KLF9	chr4	120287853	120287865	-	0.000	0.000	Merged-chr4-120287807-68
NR13169--MA1107.1.KLF9	chr12	8496610	8496622	+	0.000	0.000	Merged-chr12-8496481-10
NR52121--MA0599.1.KLF5	chr5	111039994	111040003	+	0.000	0.000	Merged-chr5-111039945-24
NR19047--MA0599.1.KLF5	chr13	110044182	110044191	-	0.000	0.000	Merged-chr13-110044092-2
NR39572--MA1107.1.KLF9	chr2	158160111	158160123	-	0.000	0.000	Merged-chr2-158160127-37
NR50846--MA0599.1.KLF5	chr5	63943576	63943585	-	0.000	0.000	Merged-chr5-63943362-36
NR60562--MA0741.1.KLF16	chr7	92420558	92420568	-	0.000	0.000	Merged-chr7-92420666-38
NR20755--MA0599.1.KLF5	chr14	52427884	52427893	+	0.000	0.000	Merged-chr14-52427807-17
NR33276--MA0599.1.KLF5	chr18	75322373	75322382	+	0.000	0.000	Merged-chr18-75322404-42
NR42883--MA0493.1.Klf1	chr3	100582915	100582925	-	0.000	0.000	Merged-chr3-100582913-18
NR50078--MA0740.1.KLF14	chr5	28269889	28269902	-	0.000	0.000	Merged-chr5-28269924-54
NR58273--MA0741.1.KLF16	chr7	16197024	16197034	-	0.000	0.000	Merged-chr7-16196917-6
NR22944--MA0599.1.KLF5	chr15	25696042	25696051	-	0.000	0.000	Merged-chr15-25696018-37
NR46222--MA0493.1.Klf1	chr4	55343393	55343403	+	0.000	0.000	Merged-chr4-55343422-62
NR6495--MA0493.1.Klf1	chr10	53461610	53461620	-	0.000	0.000	Merged-chr10-53461441-37
NR27909--MA1107.1.KLF9	chr16	93552872	93552884	-	0.000	0.000	Merged-chr16-93552984-42
NR68270--MA0493.1.Klf1	chr9	119453529	119453539	-	0.000	0.000	Merged-chr9-119453486-15
NR44149--MA0039.3.KLF4	chr3	142892190	142892200	-	0.000	0.000	Merged-chr3-142892335-19
NR51716--MA1107.1.KLF9	chr5	96990709	96990721	-	0.000	0.000	Merged-chr5-96990741-12
NR13551--MA0493.1.Klf1	chr12	25247232	25247242	-	0.000	0.000	Merged-chr12-25247115-16
NR25877--MA1107.1.KLF9	chr16	11073551	11073563	+	0.000	0.000	Merged-chr16-11073416-33
