#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gata/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.05_up.bed
NR8932--MA0037.3.GATA3	chr7	113419587	113419594	+	0.000	0.000	Merged-chr7-113419557-35
NR9345--MA0035.3.Gata1	chr8	107164413	107164423	+	0.000	0.000	Merged-chr8-107164486-19
NR9720--MA0036.3.GATA2	chr9	90301325	90301335	+	0.000	0.000	Merged-chr9-90301276-26
NR149--MA0035.3.Gata1	chr1	36920486	36920496	+	0.000	0.000	Merged-chr1-36920402-81
NR9767--MA0036.3.GATA2	chr9	112174908	112174918	-	0.000	0.000	Merged-chr9-112174843-101
NR8713--MA0140.2.GATA1::TAL1	chr7	48795300	48795317	-	0.000	0.000	Merged-chr7-48795353-37
NR3547--MA0140.2.GATA1::TAL1	chr15	36440104	36440121	-	0.000	0.000	Merged-chr15-36440213-15
NR360--MA0037.3.GATA3	chr1	88578424	88578431	+	0.000	0.000	Merged-chr1-88578300-28
NR9727--MA0482.1.Gata4	chr9	92274454	92274464	+	0.000	0.000	Merged-chr9-92274591-56
NR9589--MA0035.3.Gata1	chr9	48538518	48538528	-	0.000	0.000	Merged-chr9-48538454-59
NR1897--MA0036.3.GATA2	chr12	28589597	28589607	+	0.000	0.000	Merged-chr12-28589573-34
NR1278--MA0036.3.GATA2	chr10	96201432	96201442	-	0.000	0.000	Merged-chr10-96201472-66
NR1878--MA0482.1.Gata4	chr12	25013045	25013055	+	0.000	0.000	Merged-chr12-25013214-16
NR7569--MA0036.3.GATA2	chr5	71903683	71903693	+	0.000	0.000	Merged-chr5-71903621-28
NR1759--MA0035.3.Gata1	chr11	106430742	106430752	+	0.000	0.000	Merged-chr11-106430638-37
NR8600--MA0036.3.GATA2	chr7	12987629	12987639	-	0.000	0.000	Merged-chr7-12987633-12
NR147--MA1104.1.GATA6	chr1	36920485	36920497	-	0.000	0.000	Merged-chr1-36920402-81
NR1752--MA1104.1.GATA6	chr11	106057068	106057080	-	0.000	0.000	Merged-chr11-106057103-42
NR5601--MA1104.1.GATA6	chr2	132292253	132292265	+	0.000	0.000	Merged-chr2-132292299-25
NR1599--MA0482.1.Gata4	chr11	32162426	32162436	+	0.000	0.000	Merged-chr11-32162378-27
NR2167--MA0482.1.Gata4	chr12	89719509	89719519	-	0.000	0.000	Merged-chr12-89719457-81
NR9632--MA0482.1.Gata4	chr9	78024981	78024991	+	0.000	0.000	Merged-chr9-78024957-31
NR7789--MA0766.1.GATA5	chr5	149392281	149392288	+	0.000	0.000	Merged-chr5-149392157-30
NR8637--MA0037.3.GATA3	chr7	24451980	24451987	+	0.000	0.000	Merged-chr7-24452185-33
NR665--MA0035.3.Gata1	chr1	151973292	151973302	-	0.000	0.000	Merged-chr1-151973357-25
NR1706--MA0482.1.Gata4	chr11	88455551	88455561	+	0.000	0.000	Merged-chr11-88455545-42
NR9728--MA1104.1.GATA6	chr9	92274452	92274464	-	0.000	0.000	Merged-chr9-92274591-56
NR6445--MA0140.2.GATA1::TAL1	chr3	135513419	135513436	-	0.000	0.000	Merged-chr3-135513515-51
NR1879--MA1104.1.GATA6	chr12	25013043	25013055	-	0.000	0.000	Merged-chr12-25013214-16
NR1707--MA0140.2.GATA1::TAL1	chr11	88455552	88455569	+	0.000	0.000	Merged-chr11-88455545-42
NR2450--MA0035.3.Gata1	chr13	14119712	14119722	-	0.000	0.000	Merged-chr13-14119585-9
NR1679--MA0482.1.Gata4	chr11	75282789	75282799	+	0.000	0.000	Merged-chr11-75282753-54
NR8340--MA0035.3.Gata1	chr6	127474042	127474052	-	0.000	0.000	Merged-chr6-127474146-19
NR365--MA0035.3.Gata1	chr1	88578422	88578432	-	0.000	0.000	Merged-chr1-88578300-28
NR264--MA0036.3.GATA2	chr1	66987716	66987726	+	0.000	0.000	Merged-chr1-66987794-41
NR9633--MA1104.1.GATA6	chr9	78024979	78024991	-	0.000	0.000	Merged-chr9-78024957-31
NR2171--MA0035.3.Gata1	chr12	89719510	89719520	-	0.000	0.000	Merged-chr12-89719457-81
NR3543--MA0482.1.Gata4	chr15	36440112	36440122	-	0.000	0.000	Merged-chr15-36440213-15
NR134--MA0036.3.GATA2	chr1	35653568	35653578	-	0.000	0.000	Merged-chr1-35653441-55
