#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Klf/Naive_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.05_selected/bed/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.05_up.bed
NR59918--MA0599.1.KLF5	chr7	66196800	66196809	-	0.000	0.000	Merged-chr7-66196712-1
NR48932--MA0599.1.KLF5	chr4	149518127	149518136	-	0.000	0.000	Merged-chr4-149518177-56
NR53746--MA0599.1.KLF5	chr5	144295025	144295034	-	0.000	0.000	Merged-chr5-144295152-24
NR51338--MA0599.1.KLF5	chr5	77144797	77144806	-	0.000	0.000	Merged-chr5-77144936-48
NR4662--MA0740.1.KLF14	chr1	184013532	184013545	-	0.000	0.000	Merged-chr1-184013369-24
NR67123--MA1107.1.KLF9	chr9	78074217	78074229	+	0.000	0.000	Merged-chr9-78074095-46
NR7863--MA0039.3.KLF4	chr10	84897310	84897320	+	0.000	0.000	Merged-chr10-84897526-62
NR17325--MA0741.1.KLF16	chr13	63189565	63189575	-	0.000	0.000	Merged-chr13-63189715-33
NR35005--MA0742.1.Klf12	chr19	60183110	60183124	+	0.000	0.000	Merged-chr19-60182957-49
NR6492--MA0742.1.Klf12	chr10	53461606	53461620	-	0.000	0.000	Merged-chr10-53461441-37
NR25159--MA0599.1.KLF5	chr15	96497817	96497826	-	0.000	0.000	Merged-chr15-96497899-21
NR29853--MA1107.1.KLF9	chr17	50025421	50025433	+	0.000	0.000	Merged-chr17-50025514-42
NR60310--MA0599.1.KLF5	chr7	81179565	81179574	-	0.000	0.000	Merged-chr7-81179607-41
NR60506--MA1107.1.KLF9	chr7	90355557	90355569	-	0.000	0.000	Merged-chr7-90355618-52
NR66612--MA0599.1.KLF5	chr9	57339968	57339977	-	0.000	0.000	Merged-chr9-57339944-60
NR27750--MA0741.1.KLF16	chr16	89849250	89849260	-	0.000	0.000	Merged-chr16-89849155-62
NR66705--MA1107.1.KLF9	chr9	60998293	60998305	-	0.000	0.000	Merged-chr9-60998373-9
NR6493--MA0599.1.KLF5	chr10	53461610	53461619	-	0.000	0.000	Merged-chr10-53461441-37
NR27105--MA1107.1.KLF9	chr16	64800651	64800663	+	0.000	0.000	Merged-chr16-64800516-42
NR6327--MA0493.1.Klf1	chr10	42869653	42869663	+	0.000	0.000	Merged-chr10-42869642-22
NR29857--MA0741.1.KLF16	chr17	50071708	50071718	-	0.000	0.000	Merged-chr17-50071769-42
NR67119--MA1107.1.KLF9	chr9	78074209	78074221	+	0.000	0.000	Merged-chr9-78074095-46
NR26449--MA0039.3.KLF4	chr16	32812945	32812955	-	0.000	0.000	Merged-chr16-32813091-39
NR61032--MA0741.1.KLF16	chr7	110796447	110796457	-	0.000	0.000	Merged-chr7-110796429-1
NR30896--MA0657.1.KLF13	chr17	83824027	83824044	+	0.000	0.000	Merged-chr17-83824004-16
NR50937--MA1107.1.KLF9	chr5	65019491	65019503	+	0.000	0.000	Merged-chr5-65019357-18
NR43103--MA0740.1.KLF14	chr3	105825730	105825743	+	0.000	0.000	Merged-chr3-105825792-34
NR39674--MA0493.1.Klf1	chr2	160471238	160471248	+	0.000	0.000	Merged-chr2-160471164-70
NR8650--MA0493.1.Klf1	chr10	111031828	111031838	+	0.000	0.000	Merged-chr10-111031729-43
NR12558--MA0599.1.KLF5	chr11	110919163	110919172	+	0.000	0.000	Merged-chr11-110919203-38
NR13302--MA1107.1.KLF9	chr12	13518261	13518273	-	0.000	0.000	Merged-chr12-13518316-35
NR32968--MA0599.1.KLF5	chr18	67255708	67255717	-	0.000	0.000	Merged-chr18-67255745-40
NR34333--MA0741.1.KLF16	chr19	31337342	31337352	-	0.000	0.000	Merged-chr19-31337298-1
NR60561--MA0493.1.Klf1	chr7	92420559	92420569	-	0.000	0.000	Merged-chr7-92420666-38
NR50852--MA0039.3.KLF4	chr5	64040800	64040810	+	0.000	0.000	Merged-chr5-64040859-39
NR34508--MA0741.1.KLF16	chr19	38746205	38746215	-	0.000	0.000	Merged-chr19-38746267-36
NR26447--MA0742.1.Klf12	chr16	32812943	32812957	-	0.000	0.000	Merged-chr16-32813091-39
NR59099--MA1107.1.KLF9	chr7	31087382	31087394	+	0.000	0.000	Merged-chr7-31087462-13
NR68269--MA0599.1.KLF5	chr9	119453539	119453548	-	0.000	0.000	Merged-chr9-119453486-15
NR21194--MA0493.1.Klf1	chr14	66196440	66196450	+	0.000	0.000	Merged-chr14-66196468-7
NR28479--MA0599.1.KLF5	chr17	12205536	12205545	+	0.000	0.000	Merged-chr17-12205392-1
NR10732--MA0493.1.Klf1	chr11	55131118	55131128	+	0.000	0.000	Merged-chr11-55131266-10
NR50893--MA1107.1.KLF9	chr5	64651650	64651662	-	0.000	0.000	Merged-chr5-64651532-36
NR53215--MA0657.1.KLF13	chr5	135115275	135115292	+	0.000	0.000	Merged-chr5-135115482-49
NR21193--MA0039.3.KLF4	chr14	66196442	66196452	+	0.000	0.000	Merged-chr14-66196468-7
NR50079--MA0493.1.Klf1	chr5	28269892	28269902	-	0.000	0.000	Merged-chr5-28269924-54
NR37414--MA1107.1.KLF9	chr2	79550507	79550519	-	0.000	0.000	Merged-chr2-79550583-34
NR29452--MA0493.1.Klf1	chr17	35764155	35764165	+	0.000	0.000	Merged-chr17-35764114-33
NR43104--MA0599.1.KLF5	chr3	105825735	105825744	+	0.000	0.000	Merged-chr3-105825792-34
NR13562--MA0039.3.KLF4	chr12	25339017	25339027	-	0.000	0.000	Merged-chr12-25338973-26
NR37544--MA1107.1.KLF9	chr2	85060853	85060865	-	0.000	0.000	Merged-chr2-85060915-54
NR18355--MA0599.1.KLF5	chr13	93763102	93763111	-	0.000	0.000	Merged-chr13-93763032-30
NR2019--MA0742.1.Klf12	chr1	92469187	92469201	+	0.000	0.000	Merged-chr1-92469061-38
NR13361--MA0742.1.Klf12	chr12	17511237	17511251	-	0.000	0.000	Merged-chr12-17511273-48
NR34338--MA0741.1.KLF16	chr19	31337347	31337357	-	0.000	0.000	Merged-chr19-31337298-1
NR39949--MA0599.1.KLF5	chr2	167840243	167840252	+	0.000	0.000	Merged-chr2-167840232-36
NR44131--MA0741.1.KLF16	chr3	142281223	142281233	+	0.000	0.000	Merged-chr3-142281213-32
NR8700--MA1107.1.KLF9	chr10	112000791	112000803	+	0.000	0.000	Merged-chr10-112000662-33
NR61030--MA0599.1.KLF5	chr7	110796448	110796457	-	0.000	0.000	Merged-chr7-110796429-1
NR61930--MA0740.1.KLF14	chr7	141579226	141579239	-	0.000	0.000	Merged-chr7-141579078-48
NR6325--MA0742.1.Klf12	chr10	42869653	42869667	+	0.000	0.000	Merged-chr10-42869642-22
NR12613--MA0599.1.KLF5	chr11	113802537	113802546	-	0.000	0.000	Merged-chr11-113802652-27
NR7808--MA0741.1.KLF16	chr10	83722886	83722896	-	0.000	0.000	Merged-chr10-83722684-72
NR61263--MA0599.1.KLF5	chr7	119860417	119860426	+	0.000	0.000	Merged-chr7-119860527-21
NR46509--MA0741.1.KLF16	chr4	63401085	63401095	+	0.000	0.000	Merged-chr4-63401068-56
NR33508--MA0493.1.Klf1	chr18	82607557	82607567	+	0.000	0.000	Merged-chr18-82607647-23
NR13549--MA0742.1.Klf12	chr12	25247228	25247242	-	0.000	0.000	Merged-chr12-25247115-16
NR50889--MA0039.3.KLF4	chr5	64651650	64651660	-	0.000	0.000	Merged-chr5-64651532-36
NR24080--MA0599.1.KLF5	chr15	75052597	75052606	+	0.000	0.000	Merged-chr15-75052580-18
NR15543--MA0742.1.Klf12	chr12	110506239	110506253	-	0.000	0.000	Merged-chr12-110506270-12
NR25353--MA0493.1.Klf1	chr15	100665100	100665110	+	0.000	0.000	Merged-chr15-100665160-50
NR61950--MA0742.1.Klf12	chr7	142354081	142354095	+	0.000	0.000	Merged-chr7-142354183-49
NR26448--MA0599.1.KLF5	chr16	32812972	32812981	-	0.000	0.000	Merged-chr16-32813091-39
NR47818--MA0599.1.KLF5	chr4	121196794	121196803	-	0.000	0.000	Merged-chr4-121196708-94
NR28480--MA0741.1.KLF16	chr17	12205536	12205546	+	0.000	0.000	Merged-chr17-12205392-1
NR67901--MA0599.1.KLF5	chr9	107334497	107334506	+	0.000	0.000	Merged-chr9-107334469-86
NR32789--MA0039.3.KLF4	chr18	62125526	62125536	+	0.000	0.000	Merged-chr18-62125570-18
NR65071--MA1107.1.KLF9	chr8	120050177	120050189	-	0.000	0.000	Merged-chr8-120050156-23
NR22312--MA0493.1.Klf1	chr14	118828100	118828110	-	0.000	0.000	Merged-chr14-118827968-19
NR67900--MA1107.1.KLF9	chr9	107334439	107334451	+	0.000	0.000	Merged-chr9-107334469-86
NR1573--MA1107.1.KLF9	chr1	75213261	75213273	-	0.000	0.000	Merged-chr1-75213327-22
NR15546--MA0039.3.KLF4	chr12	110506241	110506251	-	0.000	0.000	Merged-chr12-110506270-12
NR36598--MA0742.1.Klf12	chr2	49742599	49742613	+	0.000	0.000	Merged-chr2-49742585-10
NR8196--MA0742.1.Klf12	chr10	96325404	96325418	-	0.000	0.000	Merged-chr10-96325497-34
NR43056--MA0599.1.KLF5	chr3	104771699	104771708	-	0.000	0.000	Merged-chr3-104771571-48
NR22553--MA0039.3.KLF4	chr14	122187051	122187061	+	0.000	0.000	Merged-chr14-122187060-26
NR66740--MA0599.1.KLF5	chr9	61965763	61965772	+	0.000	0.000	Merged-chr9-61965647-41
NR1024--MA0599.1.KLF5	chr1	51577914	51577923	+	0.000	0.000	Merged-chr1-51577937-41
NR50851--MA0599.1.KLF5	chr5	64040799	64040808	+	0.000	0.000	Merged-chr5-64040859-39
NR50853--MA0741.1.KLF16	chr5	64040799	64040809	+	0.000	0.000	Merged-chr5-64040859-39
NR11189--MA0742.1.Klf12	chr11	70597420	70597434	-	0.000	0.000	Merged-chr11-70597550-26
NR60505--MA0493.1.Klf1	chr7	90355559	90355569	-	0.000	0.000	Merged-chr7-90355618-52
NR12463--MA0741.1.KLF16	chr11	106536354	106536364	+	0.000	0.000	Merged-chr11-106536245-61
NR17328--MA0741.1.KLF16	chr13	63189568	63189578	-	0.000	0.000	Merged-chr13-63189715-33
NR61953--MA0493.1.Klf1	chr7	142354081	142354091	+	0.000	0.000	Merged-chr7-142354183-49
NR27401--MA0742.1.Klf12	chr16	75920943	75920957	+	0.000	0.000	Merged-chr16-75921068-56
NR66704--MA0493.1.Klf1	chr9	60998295	60998305	-	0.000	0.000	Merged-chr9-60998373-9
NR9174--MA0493.1.Klf1	chr10	122717816	122717826	+	0.000	0.000	Merged-chr10-122717958-55
NR60504--MA0039.3.KLF4	chr7	90355557	90355567	-	0.000	0.000	Merged-chr7-90355618-52
NR21192--MA0599.1.KLF5	chr14	66196441	66196450	+	0.000	0.000	Merged-chr14-66196468-7
NR60311--MA0741.1.KLF16	chr7	81179564	81179574	-	0.000	0.000	Merged-chr7-81179607-41
NR29228--MA0741.1.KLF16	chr17	31077831	31077841	-	0.000	0.000	Merged-chr17-31077750-28
NR3517--MA0742.1.Klf12	chr1	153085239	153085253	-	0.000	0.000	Merged-chr1-153085366-59
NR3879--MA1107.1.KLF9	chr1	164079322	164079334	+	0.000	0.000	Merged-chr1-164079439-12
NR63445--MA0740.1.KLF14	chr8	64872036	64872049	-	0.000	0.000	Merged-chr8-64871934-64
NR4663--MA0741.1.KLF16	chr1	184013531	184013541	-	0.000	0.000	Merged-chr1-184013369-24
NR13301--MA0493.1.Klf1	chr12	13518263	13518273	-	0.000	0.000	Merged-chr12-13518316-35
NR60563--MA1107.1.KLF9	chr7	92420557	92420569	-	0.000	0.000	Merged-chr7-92420666-38
NR13548--MA0740.1.KLF14	chr12	25247229	25247242	-	0.000	0.000	Merged-chr12-25247115-16
NR1055--MA1107.1.KLF9	chr1	52578408	52578420	+	0.000	0.000	Merged-chr1-52578518-39
NR42925--MA0742.1.Klf12	chr3	101748435	101748449	+	0.000	0.000	Merged-chr3-101748481-44
NR43320--MA1107.1.KLF9	chr3	115758819	115758831	-	0.000	0.000	Merged-chr3-115758930-94
NR10734--MA1107.1.KLF9	chr11	55131118	55131130	+	0.000	0.000	Merged-chr11-55131266-10
NR27406--MA0742.1.Klf12	chr16	75920988	75921002	-	0.000	0.000	Merged-chr16-75921068-56
NR50888--MA0599.1.KLF5	chr5	64651647	64651656	-	0.000	0.000	Merged-chr5-64651532-36
NR37421--MA1107.1.KLF9	chr2	79550521	79550533	-	0.000	0.000	Merged-chr2-79550583-34
NR69218--MA0493.1.Klf1	chrX	106704772	106704782	-	0.000	0.000	Merged-chrX-106704745-40
NR27932--MA0039.3.KLF4	chr16	93777385	93777395	+	0.000	0.000	Merged-chr16-93777222-1
NR43307--MA1107.1.KLF9	chr3	115669470	115669482	+	0.000	0.000	Merged-chr3-115669354-51
NR8582--MA0493.1.Klf1	chr10	107941371	107941381	-	0.000	0.000	Merged-chr10-107941228-1
NR69584--MA0039.3.KLF4	chrX	162868477	162868487	+	0.000	0.000	Merged-chrX-162868446-21
NR30916--MA1107.1.KLF9	chr17	84004407	84004419	-	0.000	0.000	Merged-chr17-84004507-68
NR12396--MA0599.1.KLF5	chr11	104631541	104631550	-	0.000	0.000	Merged-chr11-104631492-24
NR60256--MA0599.1.KLF5	chr7	80450218	80450227	+	0.000	0.000	Merged-chr7-80450087-44
NR32970--MA0741.1.KLF16	chr18	67255707	67255717	-	0.000	0.000	Merged-chr18-67255745-40
NR37417--MA1107.1.KLF9	chr2	79550513	79550525	-	0.000	0.000	Merged-chr2-79550583-34
NR11815--MA0039.3.KLF4	chr11	93995234	93995244	-	0.000	0.000	Merged-chr11-93995310-5
NR9171--MA0742.1.Klf12	chr10	122717816	122717830	+	0.000	0.000	Merged-chr10-122717958-55
NR44880--MA0039.3.KLF4	chr3	157938893	157938903	-	0.000	0.000	Merged-chr3-157938783-43
NR60255--MA1107.1.KLF9	chr7	80450050	80450062	+	0.000	0.000	Merged-chr7-80450087-44
NR60161--MA1107.1.KLF9	chr7	79249795	79249807	-	0.000	0.000	Merged-chr7-79249720-34
NR53216--MA0742.1.Klf12	chr5	135115276	135115290	+	0.000	0.000	Merged-chr5-135115482-49
NR15545--MA0599.1.KLF5	chr12	110506249	110506258	-	0.000	0.000	Merged-chr12-110506270-12
NR34507--MA0599.1.KLF5	chr19	38746206	38746215	-	0.000	0.000	Merged-chr19-38746267-36
NR41882--MA0742.1.Klf12	chr3	60785691	60785705	+	0.000	0.000	Merged-chr3-60785574-76
NR9175--MA0741.1.KLF16	chr10	122717817	122717827	+	0.000	0.000	Merged-chr10-122717958-55
NR26516--MA0741.1.KLF16	chr16	35984020	35984030	-	0.000	0.000	Merged-chr16-35984000-4
NR27400--MA0740.1.KLF14	chr16	75920943	75920956	+	0.000	0.000	Merged-chr16-75921068-56
NR55225--MA0657.1.KLF13	chr6	54925958	54925975	+	0.000	0.000	Merged-chr6-54926058-40
NR22404--MA0493.1.Klf1	chr14	120313644	120313654	+	0.000	0.000	Merged-chr14-120313531-118
NR22408--MA1107.1.KLF9	chr14	120313649	120313661	+	0.000	0.000	Merged-chr14-120313531-118
NR64938--MA0493.1.Klf1	chr8	116645535	116645545	-	0.000	0.000	Merged-chr8-116645599-31
NR25164--MA0599.1.KLF5	chr15	96497845	96497854	+	0.000	0.000	Merged-chr15-96497899-21
NR21363--MA1107.1.KLF9	chr14	73290096	73290108	-	0.000	0.000	Merged-chr14-73290096-39
NR29916--MA0039.3.KLF4	chr17	52162346	52162356	-	0.000	0.000	Merged-chr17-52162259-1
NR65821--MA0039.3.KLF4	chr9	21419887	21419897	-	0.000	0.000	Merged-chr9-21419783-26
NR51339--MA0599.1.KLF5	chr5	77144803	77144812	-	0.000	0.000	Merged-chr5-77144936-48
NR65070--MA0493.1.Klf1	chr8	120050179	120050189	-	0.000	0.000	Merged-chr8-120050156-23
NR11816--MA0741.1.KLF16	chr11	93995358	93995368	+	0.000	0.000	Merged-chr11-93995310-5
NR29855--MA0599.1.KLF5	chr17	50071709	50071718	-	0.000	0.000	Merged-chr17-50071769-42
NR67124--MA1107.1.KLF9	chr9	78074219	78074231	+	0.000	0.000	Merged-chr9-78074095-46
NR1572--MA0493.1.Klf1	chr1	75213263	75213273	-	0.000	0.000	Merged-chr1-75213327-22
NR43306--MA0741.1.KLF16	chr3	115669503	115669513	+	0.000	0.000	Merged-chr3-115669354-51
NR45941--MA0742.1.Klf12	chr4	43973527	43973541	-	0.000	0.000	Merged-chr4-43973629-28
NR34329--MA0599.1.KLF5	chr19	31337334	31337343	-	0.000	0.000	Merged-chr19-31337298-1
NR13552--MA0741.1.KLF16	chr12	25247231	25247241	-	0.000	0.000	Merged-chr12-25247115-16
NR61955--MA1107.1.KLF9	chr7	142354081	142354093	+	0.000	0.000	Merged-chr7-142354183-49
NR9176--MA1107.1.KLF9	chr10	122717816	122717828	+	0.000	0.000	Merged-chr10-122717958-55
NR5304--MA0742.1.Klf12	chr10	5448584	5448598	-	0.000	0.000	Merged-chr10-5448562-35
NR13550--MA0599.1.KLF5	chr12	25247232	25247241	-	0.000	0.000	Merged-chr12-25247115-16
NR44114--MA0742.1.Klf12	chr3	141778822	141778836	-	0.000	0.000	Merged-chr3-141778800-74
NR9170--MA0740.1.KLF14	chr10	122717816	122717829	+	0.000	0.000	Merged-chr10-122717958-55
NR1026--MA1107.1.KLF9	chr1	51577913	51577925	+	0.000	0.000	Merged-chr1-51577937-41
NR30461--MA1107.1.KLF9	chr17	71288421	71288433	-	0.000	0.000	Merged-chr17-71288308-17
NR45032--MA1107.1.KLF9	chr4	6925027	6925039	-	0.000	0.000	Merged-chr4-6924913-49
NR32969--MA0599.1.KLF5	chr18	67255714	67255723	-	0.000	0.000	Merged-chr18-67255745-40
NR34109--MA1107.1.KLF9	chr19	10698498	10698510	-	0.000	0.000	Merged-chr19-10698600-31
NR43102--MA0741.1.KLF16	chr3	105825697	105825707	+	0.000	0.000	Merged-chr3-105825792-34
NR64411--MA0742.1.Klf12	chr8	94973550	94973564	-	0.000	0.000	Merged-chr8-94973516-27
NR32198--MA1107.1.KLF9	chr18	39141119	39141131	-	0.000	0.000	Merged-chr18-39140890-41
NR63707--MA0599.1.KLF5	chr8	70833133	70833142	-	0.000	0.000	Merged-chr8-70833236-40
NR53139--MA0742.1.Klf12	chr5	134494506	134494520	+	0.000	0.000	Merged-chr5-134494514-28
NR34334--MA0741.1.KLF16	chr19	31337343	31337353	-	0.000	0.000	Merged-chr19-31337298-1
NR51948--MA1107.1.KLF9	chr5	105004711	105004723	-	0.000	0.000	Merged-chr5-105004765-44
NR48305--MA0657.1.KLF13	chr4	134117099	134117116	+	0.000	0.000	Merged-chr4-134117148-42
NR34804--MA0493.1.Klf1	chr19	47829049	47829059	-	0.000	0.000	Merged-chr19-47829109-19
NR53143--MA1107.1.KLF9	chr5	134494506	134494518	+	0.000	0.000	Merged-chr5-134494514-28
NR66702--MA0742.1.Klf12	chr9	60998291	60998305	-	0.000	0.000	Merged-chr9-60998373-9
NR29620--MA0741.1.KLF16	chr17	44569346	44569356	+	0.000	0.000	Merged-chr17-44569444-63
NR34257--MA0039.3.KLF4	chr19	27967780	27967790	+	0.000	0.000	Merged-chr19-27967760-35
NR26515--MA0493.1.Klf1	chr16	35984021	35984031	-	0.000	0.000	Merged-chr16-35984000-4
NR36239--MA0740.1.KLF14	chr2	34938783	34938796	+	0.000	0.000	Merged-chr2-34938971-69
NR11191--MA0039.3.KLF4	chr11	70597422	70597432	-	0.000	0.000	Merged-chr11-70597550-26
NR61031--MA0599.1.KLF5	chr7	110796453	110796462	-	0.000	0.000	Merged-chr7-110796429-1
NR43901--MA1107.1.KLF9	chr3	135675685	135675697	+	0.000	0.000	Merged-chr3-135675679-12
NR34892--MA0741.1.KLF16	chr19	53889768	53889778	+	0.000	0.000	Merged-chr19-53889811-40
NR12614--MA0599.1.KLF5	chr11	113802543	113802552	-	0.000	0.000	Merged-chr11-113802652-27
NR61931--MA0599.1.KLF5	chr7	141579225	141579234	-	0.000	0.000	Merged-chr7-141579078-48
NR4580--MA0742.1.Klf12	chr1	180390388	180390402	-	0.000	0.000	Merged-chr1-180390562-55
NR36679--MA0039.3.KLF4	chr2	53051379	53051389	-	0.000	0.000	Merged-chr2-53051556-37
NR5307--MA0493.1.Klf1	chr10	5448588	5448598	-	0.000	0.000	Merged-chr10-5448562-35
NR24081--MA0599.1.KLF5	chr15	75052602	75052611	+	0.000	0.000	Merged-chr15-75052580-18
NR19226--MA1107.1.KLF9	chr13	117048308	117048320	-	0.000	0.000	Merged-chr13-117048588-56
NR13359--MA0493.1.Klf1	chr12	17511203	17511213	+	0.000	0.000	Merged-chr12-17511273-48
NR52418--MA0599.1.KLF5	chr5	115279683	115279692	+	0.000	0.000	Merged-chr5-115279813-46
NR17324--MA0741.1.KLF16	chr13	63189564	63189574	-	0.000	0.000	Merged-chr13-63189715-33
NR8197--MA0599.1.KLF5	chr10	96325408	96325417	-	0.000	0.000	Merged-chr10-96325497-34
NR58236--MA0742.1.Klf12	chr7	15949419	15949433	-	0.000	0.000	Merged-chr7-15949519-32
NR21362--MA0741.1.KLF16	chr14	73290097	73290107	-	0.000	0.000	Merged-chr14-73290096-39
NR35008--MA0741.1.KLF16	chr19	60183111	60183121	+	0.000	0.000	Merged-chr19-60182957-49
NR55954--MA0742.1.Klf12	chr6	88939585	88939599	-	0.000	0.000	Merged-chr6-88939617-36
NR67118--MA1107.1.KLF9	chr9	78074207	78074219	+	0.000	0.000	Merged-chr9-78074095-46
NR47819--MA0493.1.Klf1	chr4	121196794	121196804	-	0.000	0.000	Merged-chr4-121196708-94
NR56155--MA0742.1.Klf12	chr6	94760882	94760896	+	0.000	0.000	Merged-chr6-94761021-48
NR55906--MA0039.3.KLF4	chr6	88769885	88769895	-	0.000	0.000	Merged-chr6-88769866-45
NR8653--MA1107.1.KLF9	chr10	111031828	111031840	+	0.000	0.000	Merged-chr10-111031729-43
NR30897--MA0741.1.KLF16	chr17	83824029	83824039	+	0.000	0.000	Merged-chr17-83824004-16
NR17329--MA0741.1.KLF16	chr13	63189569	63189579	-	0.000	0.000	Merged-chr13-63189715-33
NR14704--MA0039.3.KLF4	chr12	80331801	80331811	-	0.000	0.000	Merged-chr12-80331845-24
NR5053--MA0493.1.Klf1	chr1	192778394	192778404	-	0.000	0.000	Merged-chr1-192778514-1
NR34332--MA0741.1.KLF16	chr19	31337341	31337351	-	0.000	0.000	Merged-chr19-31337298-1
NR34256--MA0599.1.KLF5	chr19	27967769	27967778	-	0.000	0.000	Merged-chr19-27967760-35
NR66741--MA0493.1.Klf1	chr9	61965762	61965772	+	0.000	0.000	Merged-chr9-61965647-41
NR6496--MA1107.1.KLF9	chr10	53461608	53461620	-	0.000	0.000	Merged-chr10-53461441-37
NR43897--MA0742.1.Klf12	chr3	135675685	135675699	+	0.000	0.000	Merged-chr3-135675679-12
NR1025--MA0493.1.Klf1	chr1	51577913	51577923	+	0.000	0.000	Merged-chr1-51577937-41
NR30460--MA0493.1.Klf1	chr17	71288423	71288433	-	0.000	0.000	Merged-chr17-71288308-17
NR23676--MA0039.3.KLF4	chr15	52753914	52753924	+	0.000	0.000	Merged-chr15-52753697-52
NR30899--MA0493.1.Klf1	chr17	83846387	83846397	+	0.000	0.000	Merged-chr17-83846499-25
NR30917--MA0742.1.Klf12	chr17	84022524	84022538	-	0.000	0.000	Merged-chr17-84022626-28
NR11190--MA0599.1.KLF5	chr11	70597424	70597433	-	0.000	0.000	Merged-chr11-70597550-26
NR55849--MA1107.1.KLF9	chr6	86607666	86607678	-	0.000	0.000	Merged-chr6-86607706-49
NR1051--MA0039.3.KLF4	chr1	52578410	52578420	+	0.000	0.000	Merged-chr1-52578518-39
NR33510--MA1107.1.KLF9	chr18	82607557	82607569	+	0.000	0.000	Merged-chr18-82607647-23
NR36243--MA0741.1.KLF16	chr2	34938774	34938784	-	0.000	0.000	Merged-chr2-34938971-69
NR34806--MA1107.1.KLF9	chr19	47829047	47829059	-	0.000	0.000	Merged-chr19-47829109-19
NR25163--MA0741.1.KLF16	chr15	96497816	96497826	-	0.000	0.000	Merged-chr15-96497899-21
NR69170--MA0599.1.KLF5	chrX	102032000	102032009	-	0.000	0.000	Merged-chrX-102031926-48
NR37422--MA1107.1.KLF9	chr2	79550523	79550535	-	0.000	0.000	Merged-chr2-79550583-34
NR35003--MA0740.1.KLF14	chr19	60183110	60183123	+	0.000	0.000	Merged-chr19-60182957-49
NR30918--MA0599.1.KLF5	chr17	84022528	84022537	-	0.000	0.000	Merged-chr17-84022626-28
NR13360--MA1107.1.KLF9	chr12	17511203	17511215	+	0.000	0.000	Merged-chr12-17511273-48
NR27402--MA0599.1.KLF5	chr16	75920944	75920953	+	0.000	0.000	Merged-chr16-75921068-56
NR25352--MA0599.1.KLF5	chr15	100665101	100665110	+	0.000	0.000	Merged-chr15-100665160-50
NR34337--MA0741.1.KLF16	chr19	31337346	31337356	-	0.000	0.000	Merged-chr19-31337298-1
NR26517--MA1107.1.KLF9	chr16	35984019	35984031	-	0.000	0.000	Merged-chr16-35984000-4
NR43321--MA0039.3.KLF4	chr3	115758850	115758860	-	0.000	0.000	Merged-chr3-115758930-94
NR53142--MA0493.1.Klf1	chr5	134494506	134494516	+	0.000	0.000	Merged-chr5-134494514-28
NR3796--MA0741.1.KLF16	chr1	159813051	159813061	+	0.000	0.000	Merged-chr1-159812982-41
NR10730--MA0742.1.Klf12	chr11	55131118	55131132	+	0.000	0.000	Merged-chr11-55131266-10
NR37418--MA1107.1.KLF9	chr2	79550515	79550527	-	0.000	0.000	Merged-chr2-79550583-34
NR4581--MA0039.3.KLF4	chr1	180390390	180390400	-	0.000	0.000	Merged-chr1-180390562-55
NR34801--MA0742.1.Klf12	chr19	47829045	47829059	-	0.000	0.000	Merged-chr19-47829109-19
NR43107--MA1107.1.KLF9	chr3	105825730	105825742	+	0.000	0.000	Merged-chr3-105825792-34
NR23817--MA0493.1.Klf1	chr15	60120203	60120213	+	0.000	0.000	Merged-chr15-60120172-38
NR56774--MA1107.1.KLF9	chr6	117937386	117937398	+	0.000	0.000	Merged-chr6-117937569-43
NR43900--MA0493.1.Klf1	chr3	135675685	135675695	+	0.000	0.000	Merged-chr3-135675679-12
NR57395--MA0742.1.Klf12	chr6	136684095	136684109	+	0.000	0.000	Merged-chr6-136683885-26
NR22405--MA0493.1.Klf1	chr14	120313649	120313659	+	0.000	0.000	Merged-chr14-120313531-118
NR65819--MA0599.1.KLF5	chr9	21419889	21419898	-	0.000	0.000	Merged-chr9-21419783-26
NR20942--MA0599.1.KLF5	chr14	55882664	55882673	-	0.000	0.000	Merged-chr14-55882429-48
NR57828--MA0039.3.KLF4	chr6	146434345	146434355	-	0.000	0.000	Merged-chr6-146434496-35
NR7865--MA1107.1.KLF9	chr10	84897308	84897320	+	0.000	0.000	Merged-chr10-84897526-62
NR43057--MA0741.1.KLF16	chr3	104771698	104771708	-	0.000	0.000	Merged-chr3-104771571-48
NR67120--MA1107.1.KLF9	chr9	78074211	78074223	+	0.000	0.000	Merged-chr9-78074095-46
NR53882--MA0599.1.KLF5	chr5	148489466	148489475	-	0.000	0.000	Merged-chr5-148489625-52
NR14705--MA0741.1.KLF16	chr12	80331798	80331808	-	0.000	0.000	Merged-chr12-80331845-24
NR63447--MA0599.1.KLF5	chr8	64872039	64872048	-	0.000	0.000	Merged-chr8-64871934-64
NR1569--MA0599.1.KLF5	chr1	75213253	75213262	-	0.000	0.000	Merged-chr1-75213327-22
