#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Gata/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval-0.1_up.bed
NR2554--MA0036.3.GATA2	chr15	52570470	52570480	+	0.000	0.000	Merged-chr15-52570490-21
NR3342--MA0482.1.Gata4	chr18	13016561	13016571	+	0.000	0.000	Merged-chr18-13016580-10
NR5131--MA0482.1.Gata4	chr4	89044206	89044216	+	0.000	0.000	Merged-chr4-89044155-38
NR7063--MA0482.1.Gata4	chr8	122712103	122712113	+	0.000	0.000	Merged-chr8-122712057-14
NR6961--MA0035.3.Gata1	chr8	94240435	94240445	+	0.000	0.000	Merged-chr8-94240399-13
NR3534--MA1104.1.GATA6	chr18	79027924	79027936	-	0.000	0.000	Merged-chr18-79027907-21
NR6180--MA0035.3.Gata1	chr6	130136665	130136675	+	0.000	0.000	Merged-chr6-130136655-31
NR930--MA1104.1.GATA6	chr10	117969928	117969940	+	0.000	0.000	Merged-chr10-117970017-9
NR7204--MA0482.1.Gata4	chr9	44717220	44717230	+	0.000	0.000	Merged-chr9-44717151-19
NR5043--MA0766.1.GATA5	chr4	47319835	47319842	+	0.000	0.000	Merged-chr4-47319930-54
NR6128--MA0140.2.GATA1::TAL1	chr6	124375792	124375809	-	0.000	0.000	Merged-chr6-124375670-49
NR1178--MA0482.1.Gata4	chr11	68726939	68726949	+	0.000	0.000	Merged-chr11-68726851-12
NR2690--MA0035.3.Gata1	chr15	93486927	93486937	+	0.000	0.000	Merged-chr15-93487007-12
NR2498--MA0140.2.GATA1::TAL1	chr14	123015953	123015970	+	0.000	0.000	Merged-chr14-123015903-11
NR5898--MA0482.1.Gata4	chr6	58832867	58832877	+	0.000	0.000	Merged-chr6-58832889-39
NR2626--MA0035.3.Gata1	chr15	80590804	80590814	-	0.000	0.000	Merged-chr15-80590747-44
NR1808--MA0482.1.Gata4	chr13	19219719	19219729	+	0.000	0.000	Merged-chr13-19219739-41
NR528--MA0035.3.Gata1	chr1	181951070	181951080	+	0.000	0.000	Merged-chr1-181951117-29
NR3821--MA0140.2.GATA1::TAL1	chr2	9867377	9867394	+	0.000	0.000	Merged-chr2-9867507-76
NR3343--MA1104.1.GATA6	chr18	13016559	13016571	-	0.000	0.000	Merged-chr18-13016580-10
NR103--MA0482.1.Gata4	chr1	69496217	69496227	-	0.000	0.000	Merged-chr1-69496310-11
NR2352--MA0766.1.GATA5	chr14	66218980	66218987	-	0.000	0.000	Merged-chr14-66218968-32
NR7064--MA1104.1.GATA6	chr8	122712101	122712113	-	0.000	0.000	Merged-chr8-122712057-14
NR4396--MA0036.3.GATA2	chr2	156882621	156882631	-	0.000	0.000	Merged-chr2-156882642-42
NR2624--MA1104.1.GATA6	chr15	80590803	80590815	+	0.000	0.000	Merged-chr15-80590747-44
NR6185--MA0036.3.GATA2	chr6	130312044	130312054	+	0.000	0.000	Merged-chr6-130312055-26
NR5899--MA1104.1.GATA6	chr6	58832865	58832877	-	0.000	0.000	Merged-chr6-58832889-39
NR3892--MA0140.2.GATA1::TAL1	chr2	29753050	29753067	-	0.000	0.000	Merged-chr2-29753036-13
NR3068--MA0766.1.GATA5	chr17	12165548	12165555	-	0.000	0.000	Merged-chr17-12165459-54
NR2414--MA0035.3.Gata1	chr14	101477377	101477387	-	0.000	0.000	Merged-chr14-101477413-70
NR1220--MA0037.3.GATA3	chr11	83550291	83550298	-	0.000	0.000	Merged-chr11-83550444-44
NR5831--MA0037.3.GATA3	chr6	33051811	33051818	+	0.000	0.000	Merged-chr6-33051908-11
NR706--MA0482.1.Gata4	chr10	53461301	53461311	-	0.000	0.000	Merged-chr10-53461441-37
NR6634--MA0482.1.Gata4	chr7	114616933	114616943	-	0.000	0.000	Merged-chr7-114616980-17
NR4192--MA0036.3.GATA2	chr2	117374270	117374280	+	0.000	0.000	Merged-chr2-117374468-47
NR104--MA1104.1.GATA6	chr1	69496217	69496229	+	0.000	0.000	Merged-chr1-69496310-11
NR3816--MA0037.3.GATA3	chr2	9688420	9688427	+	0.000	0.000	Merged-chr2-9688295-16
NR4247--MA0766.1.GATA5	chr2	127923473	127923480	-	0.000	0.000	Merged-chr2-127923410-36
NR2838--MA0766.1.GATA5	chr16	43690240	43690247	-	0.000	0.000	Merged-chr16-43690423-59
NR6502--MA0036.3.GATA2	chr7	90007379	90007389	-	0.000	0.000	Merged-chr7-90007418-46
NR2353--MA0035.3.Gata1	chr14	66218979	66218989	+	0.000	0.000	Merged-chr14-66218968-32
NR7612--MA0037.3.GATA3	chrX	77640427	77640434	-	0.000	0.000	Merged-chrX-77640531-25
NR5900--MA0036.3.GATA2	chr6	58832866	58832876	+	0.000	0.000	Merged-chr6-58832889-39
NR5042--MA0037.3.GATA3	chr4	47319835	47319842	+	0.000	0.000	Merged-chr4-47319930-54
NR2852--MA0482.1.Gata4	chr16	49771836	49771846	-	0.000	0.000	Merged-chr16-49771808-11
NR4978--MA0036.3.GATA2	chr4	10770162	10770172	-	0.000	0.000	Merged-chr4-10770192-53
NR7529--MA0037.3.GATA3	chr9	118059237	118059244	-	0.000	0.000	Merged-chr9-118059304-13
NR4306--MA0482.1.Gata4	chr2	144198961	144198971	-	0.000	0.000	Merged-chr2-144198804-26
NR3341--MA0037.3.GATA3	chr18	13016561	13016568	-	0.000	0.000	Merged-chr18-13016580-10
NR2170--MA0035.3.Gata1	chr13	113580115	113580125	-	0.000	0.000	Merged-chr13-113580257-62
NR5130--MA0037.3.GATA3	chr4	89044206	89044213	-	0.000	0.000	Merged-chr4-89044155-38
NR7062--MA0037.3.GATA3	chr8	122712103	122712110	-	0.000	0.000	Merged-chr8-122712057-14
NR2496--MA0036.3.GATA2	chr14	123015951	123015961	+	0.000	0.000	Merged-chr14-123015903-11
NR5883--MA0766.1.GATA5	chr6	54991388	54991395	-	0.000	0.000	Merged-chr6-54991459-9
NR6635--MA1104.1.GATA6	chr7	114616933	114616945	+	0.000	0.000	Merged-chr7-114616980-17
NR3734--MA0037.3.GATA3	chr19	46613397	46613404	-	0.000	0.000	Merged-chr19-46613309-39
NR3556--MA0140.2.GATA1::TAL1	chr18	80600775	80600792	-	0.000	0.000	Merged-chr18-80600681-25
NR2637--MA0036.3.GATA2	chr15	82906891	82906901	-	0.000	0.000	Merged-chr15-82906941-10
NR6193--MA0766.1.GATA5	chr6	130419322	130419329	-	0.000	0.000	Merged-chr6-130419325-26
NR5852--MA0036.3.GATA2	chr6	41141088	41141098	+	0.000	0.000	Merged-chr6-41141136-19
NR1177--MA0037.3.GATA3	chr11	68726939	68726946	-	0.000	0.000	Merged-chr11-68726851-12
NR5897--MA0037.3.GATA3	chr6	58832867	58832874	-	0.000	0.000	Merged-chr6-58832889-39
NR7402--MA0036.3.GATA2	chr9	92314082	92314092	+	0.000	0.000	Merged-chr9-92314019-19
NR4386--MA0036.3.GATA2	chr2	153211619	153211629	-	0.000	0.000	Merged-chr2-153211681-14
NR4115--MA0482.1.Gata4	chr2	102852289	102852299	-	0.000	0.000	Merged-chr2-102852175-26
NR6175--MA0036.3.GATA2	chr6	130102977	130102987	+	0.000	0.000	Merged-chr6-130103023-31
NR3197--MA0037.3.GATA3	chr17	50136229	50136236	-	0.000	0.000	Merged-chr17-50136209-46
NR4248--MA0035.3.Gata1	chr2	127923472	127923482	+	0.000	0.000	Merged-chr2-127923410-36
NR4512--MA1104.1.GATA6	chr3	21939969	21939981	+	0.000	0.000	Merged-chr3-21939939-4
NR589--MA0482.1.Gata4	chr1	193198413	193198423	+	0.000	0.000	Merged-chr1-193198474-9
NR4779--MA0036.3.GATA2	chr3	132886774	132886784	+	0.000	0.000	Merged-chr3-132886809-16
NR7046--MA0037.3.GATA3	chr8	117548685	117548692	-	0.000	0.000	Merged-chr8-117548585-70
NR5857--MA0036.3.GATA2	chr6	41163688	41163698	-	0.000	0.000	Merged-chr6-41163628-13
NR102--MA0037.3.GATA3	chr1	69496220	69496227	+	0.000	0.000	Merged-chr1-69496310-11
NR4118--MA0035.3.Gata1	chr2	102852290	102852300	-	0.000	0.000	Merged-chr2-102852175-26
NR2226--MA1104.1.GATA6	chr14	15770133	15770145	+	0.000	0.000	Merged-chr14-15770075-60
NR2553--MA1104.1.GATA6	chr15	52570469	52570481	-	0.000	0.000	Merged-chr15-52570490-21
NR5669--MA0140.2.GATA1::TAL1	chr5	107759258	107759275	-	0.000	0.000	Merged-chr5-107759301-16
NR7399--MA0037.3.GATA3	chr9	92314083	92314090	-	0.000	0.000	Merged-chr9-92314019-19
NR6178--MA1104.1.GATA6	chr6	130136664	130136676	-	0.000	0.000	Merged-chr6-130136655-31
NR3346--MA0035.3.Gata1	chr18	13016560	13016570	+	0.000	0.000	Merged-chr18-13016580-10
NR2837--MA0037.3.GATA3	chr16	43690240	43690247	-	0.000	0.000	Merged-chr16-43690423-59
NR5796--MA0036.3.GATA2	chr5	148397627	148397637	+	0.000	0.000	Merged-chr5-148397526-5
NR7614--MA0766.1.GATA5	chrX	77640427	77640434	-	0.000	0.000	Merged-chrX-77640531-25
NR6519--MA0140.2.GATA1::TAL1	chr7	98797518	98797535	+	0.000	0.000	Merged-chr7-98797577-28
NR4116--MA1104.1.GATA6	chr2	102852289	102852301	+	0.000	0.000	Merged-chr2-102852175-26
NR4394--MA0482.1.Gata4	chr2	156882620	156882630	-	0.000	0.000	Merged-chr2-156882642-42
NR6319--MA1104.1.GATA6	chr7	24407233	24407245	-	0.000	0.000	Merged-chr7-24407263-37
NR6183--MA0482.1.Gata4	chr6	130312045	130312055	+	0.000	0.000	Merged-chr6-130312055-26
NR6633--MA0037.3.GATA3	chr7	114616936	114616943	+	0.000	0.000	Merged-chr7-114616980-17
NR3824--MA0482.1.Gata4	chr2	11617067	11617077	+	0.000	0.000	Merged-chr2-11617013-39
NR2169--MA0766.1.GATA5	chr13	113580117	113580124	+	0.000	0.000	Merged-chr13-113580257-62
NR3200--MA0766.1.GATA5	chr17	50136229	50136236	-	0.000	0.000	Merged-chr17-50136209-46
NR5132--MA0766.1.GATA5	chr4	89044206	89044213	-	0.000	0.000	Merged-chr4-89044155-38
NR5655--MA0766.1.GATA5	chr5	105192811	105192818	-	0.000	0.000	Merged-chr5-105192735-25
NR4801--MA0766.1.GATA5	chr3	135590667	135590674	+	0.000	0.000	Merged-chr3-135590750-10
NR5135--MA0036.3.GATA2	chr4	89400518	89400528	-	0.000	0.000	Merged-chr4-89400416-12
NR6188--MA0482.1.Gata4	chr6	130342155	130342165	+	0.000	0.000	Merged-chr6-130342331-49
NR5270--MA0140.2.GATA1::TAL1	chr4	133058065	133058082	+	0.000	0.000	Merged-chr4-133057911-45
NR1829--MA0140.2.GATA1::TAL1	chr13	24230988	24231005	+	0.000	0.000	Merged-chr13-24231017-39
NR3067--MA0036.3.GATA2	chr17	12165547	12165557	+	0.000	0.000	Merged-chr17-12165459-54
NR1360--MA0140.2.GATA1::TAL1	chr11	110919281	110919298	-	0.000	0.000	Merged-chr11-110919203-38
NR4305--MA0037.3.GATA3	chr2	144198964	144198971	+	0.000	0.000	Merged-chr2-144198804-26
NR4395--MA1104.1.GATA6	chr2	156882620	156882632	+	0.000	0.000	Merged-chr2-156882642-42
NR6184--MA1104.1.GATA6	chr6	130312043	130312055	-	0.000	0.000	Merged-chr6-130312055-26
NR5141--MA0035.3.Gata1	chr4	95068327	95068337	-	0.000	0.000	Merged-chr4-95068269-28
NR1756--MA0766.1.GATA5	chr12	118255862	118255869	+	0.000	0.000	Merged-chr12-118255780-45
NR7615--MA0035.3.Gata1	chrX	77640426	77640436	+	0.000	0.000	Merged-chrX-77640531-25
NR7048--MA0766.1.GATA5	chr8	117548685	117548692	-	0.000	0.000	Merged-chr8-117548585-70
NR2237--MA0037.3.GATA3	chr14	23475556	23475563	-	0.000	0.000	Merged-chr14-23475735-25
NR6994--MA0035.3.Gata1	chr8	111955417	111955427	+	0.000	0.000	Merged-chr8-111955328-48
NR7014--MA0766.1.GATA5	chr8	114879816	114879823	+	0.000	0.000	Merged-chr8-114879936-19
NR2620--MA0035.3.Gata1	chr15	78835267	78835277	-	0.000	0.000	Merged-chr15-78835387-37
NR5847--MA0036.3.GATA2	chr6	39284044	39284054	-	0.000	0.000	Merged-chr6-39284001-16
NR931--MA0036.3.GATA2	chr10	117969929	117969939	-	0.000	0.000	Merged-chr10-117970017-9
NR1626--MA0766.1.GATA5	chr12	98247087	98247094	-	0.000	0.000	Merged-chr12-98247130-40
NR5433--MA0036.3.GATA2	chr5	29901929	29901939	+	0.000	0.000	Merged-chr5-29901920-39
NR1964--MA0140.2.GATA1::TAL1	chr13	76304120	76304137	+	0.000	0.000	Merged-chr13-76304055-1
NR3201--MA0035.3.Gata1	chr17	50136228	50136238	+	0.000	0.000	Merged-chr17-50136209-46
NR3367--MA0482.1.Gata4	chr18	34783894	34783904	-	0.000	0.000	Merged-chr18-34783714-45
NR5854--MA0140.2.GATA1::TAL1	chr6	41141090	41141107	+	0.000	0.000	Merged-chr6-41141136-19
NR792--MA0766.1.GATA5	chr10	83733969	83733976	-	0.000	0.000	Merged-chr10-83733897-13
NR5656--MA0035.3.Gata1	chr5	105192810	105192820	+	0.000	0.000	Merged-chr5-105192735-25
NR5294--MA0766.1.GATA5	chr4	145263891	145263898	+	0.000	0.000	Merged-chr4-145263821-10
NR5884--MA0482.1.Gata4	chr6	54991440	54991450	+	0.000	0.000	Merged-chr6-54991459-9
NR7174--MA0035.3.Gata1	chr9	32928776	32928786	-	0.000	0.000	Merged-chr9-32928770-94
NR6962--MA0482.1.Gata4	chr8	94969659	94969669	+	0.000	0.000	Merged-chr8-94969690-1
NR3508--MA0482.1.Gata4	chr18	73765132	73765142	+	0.000	0.000	Merged-chr18-73765273-28
NR7638--MA0766.1.GATA5	chrX	107088384	107088391	-	0.000	0.000	Merged-chrX-107088422-23
NR7400--MA0482.1.Gata4	chr9	92314083	92314093	+	0.000	0.000	Merged-chr9-92314019-19
NR4780--MA0766.1.GATA5	chr3	132886775	132886782	-	0.000	0.000	Merged-chr3-132886809-16
NR4980--MA0035.3.Gata1	chr4	10770162	10770172	-	0.000	0.000	Merged-chr4-10770192-53
NR4106--MA0037.3.GATA3	chr2	102812794	102812801	+	0.000	0.000	Merged-chr2-102812992-26
NR7065--MA0036.3.GATA2	chr8	122712102	122712112	+	0.000	0.000	Merged-chr8-122712057-14
NR3686--MA0482.1.Gata4	chr19	31321986	31321996	-	0.000	0.000	Merged-chr19-31321995-11
NR2817--MA0140.2.GATA1::TAL1	chr16	33687809	33687826	-	0.000	0.000	Merged-chr16-33687969-54
NR5127--MA0482.1.Gata4	chr4	88875958	88875968	-	0.000	0.000	Merged-chr4-88875849-45
NR5855--MA0482.1.Gata4	chr6	41163687	41163697	-	0.000	0.000	Merged-chr6-41163628-13
NR2625--MA0036.3.GATA2	chr15	80590804	80590814	-	0.000	0.000	Merged-chr15-80590747-44
NR3689--MA0035.3.Gata1	chr19	31321987	31321997	-	0.000	0.000	Merged-chr19-31321995-11
NR7015--MA0035.3.Gata1	chr8	114879814	114879824	-	0.000	0.000	Merged-chr8-114879936-19
