#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.1_dn.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.1_dn.bed
NR6333--MA1421.1.TCF7L1	chr4	107260085	107260096	+	0.000	0.000	Merged-chr4-107260166-15
NR2276--MA0769.1.Tcf7	chr13	51712205	51712216	-	0.000	0.000	Merged-chr13-51712212-27
NR8257--MA1421.1.TCF7L1	chr8	61436794	61436805	+	0.000	0.000	Merged-chr8-61436904-17
NR814--MA0523.1.TCF7L2	chr10	25387444	25387457	-	0.000	0.000	Merged-chr10-25387454-21
NR8859--MA1421.1.TCF7L1	chr9	96696538	96696549	-	0.000	0.000	Merged-chr9-96696442-50
NR743--MA1421.1.TCF7L1	chr10	7995744	7995755	-	0.000	0.000	Merged-chr10-7995784-10
NR733--MA0769.1.Tcf7	chr10	6954709	6954720	-	0.000	0.000	Merged-chr10-6954726-16
NR3151--MA0769.1.Tcf7	chr15	55327407	55327418	-	0.000	0.000	Merged-chr15-55327422-12
NR8109--MA0523.1.TCF7L2	chr7	142967347	142967360	+	0.000	0.000	Merged-chr7-142967366-1
NR7927--MA0769.1.Tcf7	chr7	112213250	112213261	-	0.000	0.000	Merged-chr7-112213302-61
NR5865--MA1421.1.TCF7L1	chr3	135324655	135324666	+	0.000	0.000	Merged-chr3-135324604-5
NR7945--MA0769.1.Tcf7	chr7	115218910	115218921	+	0.000	0.000	Merged-chr7-115218920-27
NR7112--MA0523.1.TCF7L2	chr6	34939573	34939586	-	0.000	0.000	Merged-chr6-34939585-12
NR4474--MA0769.1.Tcf7	chr19	47915525	47915536	+	0.000	0.000	Merged-chr19-47915460-18
NR8521--MA0523.1.TCF7L2	chr9	11559576	11559589	-	0.000	0.000	Merged-chr9-11559688-28
NR4371--MA0769.1.Tcf7	chr19	16274720	16274731	-	0.000	0.000	Merged-chr19-16274697-6
NR4611--MA1421.1.TCF7L1	chr2	22722071	22722082	-	0.000	0.000	Merged-chr2-22721936-56
NR993--MA0769.1.Tcf7	chr10	75137253	75137264	+	0.000	0.000	Merged-chr10-75137301-35
NR8904--MA0523.1.TCF7L2	chr9	105689612	105689625	+	0.000	0.000	Merged-chr9-105689631-24
NR3167--MA1421.1.TCF7L1	chr15	59913999	59914010	+	0.000	0.000	Merged-chr15-59913956-28
NR8172--MA0523.1.TCF7L2	chr8	25769246	25769259	+	0.000	0.000	Merged-chr8-25769209-9
NR6668--MA1421.1.TCF7L1	chr5	64029907	64029918	+	0.000	0.000	Merged-chr5-64029830-27
NR1845--MA1421.1.TCF7L1	chr12	69825405	69825416	-	0.000	0.000	Merged-chr12-69825253-21
NR1677--MA1421.1.TCF7L1	chr12	3990035	3990046	+	0.000	0.000	Merged-chr12-3989980-1
NR6316--MA1421.1.TCF7L1	chr4	102967967	102967978	+	0.000	0.000	Merged-chr4-102968093-31
NR3373--MA1421.1.TCF7L1	chr16	10399306	10399317	-	0.000	0.000	Merged-chr16-10399279-20
NR8713--MA0769.1.Tcf7	chr9	66899731	66899742	-	0.000	0.000	Merged-chr9-66899689-35
NR6918--MA1421.1.TCF7L1	chr5	121173009	121173020	+	0.000	0.000	Merged-chr5-121173124-16
NR8798--MA1421.1.TCF7L1	chr9	83564263	83564274	-	0.000	0.000	Merged-chr9-83564254-44
NR726--MA1421.1.TCF7L1	chr10	4512824	4512835	+	0.000	0.000	Merged-chr10-4512791-21
NR5900--MA0769.1.Tcf7	chr3	138842536	138842547	+	0.000	0.000	Merged-chr3-138842482-12
NR3613--MA0769.1.Tcf7	chr16	76765862	76765873	+	0.000	0.000	Merged-chr16-76765749-14
NR8761--MA0523.1.TCF7L2	chr9	77683541	77683554	+	0.000	0.000	Merged-chr9-77683679-29
NR8861--MA0769.1.Tcf7	chr9	96696538	96696549	-	0.000	0.000	Merged-chr9-96696442-50
NR4101--MA0523.1.TCF7L2	chr18	38701046	38701059	+	0.000	0.000	Merged-chr18-38700911-27
NR5493--MA0769.1.Tcf7	chr3	55660081	55660092	+	0.000	0.000	Merged-chr3-55660012-44
NR5738--MA0523.1.TCF7L2	chr3	109421018	109421031	+	0.000	0.000	Merged-chr3-109421125-43
NR860--MA0523.1.TCF7L2	chr10	40098798	40098811	-	0.000	0.000	Merged-chr10-40098735-11
NR77--MA0769.1.Tcf7	chr1	40847738	40847749	-	0.000	0.000	Merged-chr1-40847809-27
NR1226--MA1421.1.TCF7L1	chr10	117377570	117377581	-	0.000	0.000	Merged-chr10-117377577-5
NR3515--MA0769.1.Tcf7	chr16	45361322	45361333	-	0.000	0.000	Merged-chr16-45361455-26
NR7409--MA0769.1.Tcf7	chr6	103565084	103565095	+	0.000	0.000	Merged-chr6-103565102-16
NR3259--MA0523.1.TCF7L2	chr15	85042790	85042803	-	0.000	0.000	Merged-chr15-85042702-72
NR7047--MA0523.1.TCF7L2	chr6	6189131	6189144	-	0.000	0.000	Merged-chr6-6189088-9
NR2826--MA0523.1.TCF7L2	chr14	66268992	66269005	+	0.000	0.000	Merged-chr14-66269142-9
NR1116--MA0523.1.TCF7L2	chr10	96955127	96955140	+	0.000	0.000	Merged-chr10-96955164-15
NR3093--MA1421.1.TCF7L1	chr15	35917965	35917976	+	0.000	0.000	Merged-chr15-35918069-6
NR2357--MA0523.1.TCF7L2	chr13	73484649	73484662	-	0.000	0.000	Merged-chr13-73484644-8
NR94--MA1421.1.TCF7L1	chr1	43475216	43475227	-	0.000	0.000	Merged-chr1-43475284-1
NR278--MA1421.1.TCF7L1	chr1	95375654	95375665	-	0.000	0.000	Merged-chr1-95375799-8
NR3620--MA0523.1.TCF7L2	chr16	78595987	78596000	-	0.000	0.000	Merged-chr16-78595924-17
NR2176--MA0523.1.TCF7L2	chr13	13582033	13582046	-	0.000	0.000	Merged-chr13-13582107-29
NR3220--MA0769.1.Tcf7	chr15	75634464	75634475	-	0.000	0.000	Merged-chr15-75634516-4
NR8959--MA0523.1.TCF7L2	chr9	116018865	116018878	-	0.000	0.000	Merged-chr9-116018785-16
NR2550--MA0523.1.TCF7L2	chr13	114086610	114086623	-	0.000	0.000	Merged-chr13-114086496-8
NR8731--MA0523.1.TCF7L2	chr9	70584886	70584899	-	0.000	0.000	Merged-chr9-70584670-22
NR8110--MA0769.1.Tcf7	chr7	142967347	142967358	+	0.000	0.000	Merged-chr7-142967366-1
NR7661--MA0523.1.TCF7L2	chr7	12987582	12987595	-	0.000	0.000	Merged-chr7-12987633-12
NR2493--MA0769.1.Tcf7	chr13	103357027	103357038	-	0.000	0.000	Merged-chr13-103356902-29
NR5727--MA0769.1.Tcf7	chr3	108124338	108124349	+	0.000	0.000	Merged-chr3-108124378-33
NR7068--MA0523.1.TCF7L2	chr6	15710928	15710941	-	0.000	0.000	Merged-chr6-15710892-35
NR193--MA0523.1.TCF7L2	chr1	82429188	82429201	+	0.000	0.000	Merged-chr1-82429225-23
NR8317--MA1421.1.TCF7L1	chr8	81735892	81735903	-	0.000	0.000	Merged-chr8-81736050-71
NR4427--MA0769.1.Tcf7	chr19	34510905	34510916	+	0.000	0.000	Merged-chr19-34511025-19
NR4280--MA0523.1.TCF7L2	chr18	79267915	79267928	+	0.000	0.000	Merged-chr18-79267984-24
NR3665--MA1421.1.TCF7L1	chr16	91413339	91413350	+	0.000	0.000	Merged-chr16-91413429-37
NR1847--MA0769.1.Tcf7	chr12	69825405	69825416	-	0.000	0.000	Merged-chr12-69825253-21
NR1089--MA0523.1.TCF7L2	chr10	93050742	93050755	-	0.000	0.000	Merged-chr10-93050674-1
NR4105--MA0769.1.Tcf7	chr18	38701109	38701120	+	0.000	0.000	Merged-chr18-38700911-27
NR7840--MA0769.1.Tcf7	chr7	84143206	84143217	-	0.000	0.000	Merged-chr7-84143230-35
NR395--MA0523.1.TCF7L2	chr1	135807884	135807897	-	0.000	0.000	Merged-chr1-135807785-37
NR8026--MA0523.1.TCF7L2	chr7	127922798	127922811	-	0.000	0.000	Merged-chr7-127922827-35
NR3145--MA0769.1.Tcf7	chr15	52887039	52887050	-	0.000	0.000	Merged-chr15-52887057-9
NR9172--MA0523.1.TCF7L2	chrX	158939875	158939888	-	0.000	0.000	Merged-chrX-158939775-8
NR3812--MA0769.1.Tcf7	chr17	31693696	31693707	-	0.000	0.000	Merged-chr17-31693537-59
NR5127--MA0523.1.TCF7L2	chr2	135823830	135823843	-	0.000	0.000	Merged-chr2-135823878-14
NR2740--MA0769.1.Tcf7	chr14	48226347	48226358	-	0.000	0.000	Merged-chr14-48226336-60
NR7257--MA0523.1.TCF7L2	chr6	70103442	70103455	+	0.000	0.000	Merged-chr6-70103466-27
NR2626--MA1421.1.TCF7L1	chr14	15011595	15011606	+	0.000	0.000	Merged-chr14-15011517-9
NR5767--MA0523.1.TCF7L2	chr3	115944556	115944569	+	0.000	0.000	Merged-chr3-115944558-15
NR8013--MA0523.1.TCF7L2	chr7	125561319	125561332	-	0.000	0.000	Merged-chr7-125561411-29
NR5114--MA0523.1.TCF7L2	chr2	132691812	132691825	+	0.000	0.000	Merged-chr2-132691913-20
NR7206--MA0523.1.TCF7L2	chr6	59363440	59363453	-	0.000	0.000	Merged-chr6-59363496-31
NR4103--MA1421.1.TCF7L1	chr18	38701109	38701120	+	0.000	0.000	Merged-chr18-38700911-27
NR8485--MA0523.1.TCF7L2	chr8	126539840	126539853	-	0.000	0.000	Merged-chr8-126539798-23
NR2651--MA0769.1.Tcf7	chr14	21078678	21078689	-	0.000	0.000	Merged-chr14-21078723-20
NR4369--MA1421.1.TCF7L1	chr19	16274720	16274731	-	0.000	0.000	Merged-chr19-16274697-6
NR1747--MA0523.1.TCF7L2	chr12	31756176	31756189	-	0.000	0.000	Merged-chr12-31756239-29
NR1539--MA0769.1.Tcf7	chr11	96058765	96058776	+	0.000	0.000	Merged-chr11-96058605-21
NR3611--MA0523.1.TCF7L2	chr16	76765779	76765792	+	0.000	0.000	Merged-chr16-76765749-14
NR5491--MA0523.1.TCF7L2	chr3	55660081	55660094	+	0.000	0.000	Merged-chr3-55660012-44
NR4710--MA0769.1.Tcf7	chr2	45946382	45946393	+	0.000	0.000	Merged-chr2-45946471-14
NR2629--MA0769.1.Tcf7	chr14	15272608	15272619	+	0.000	0.000	Merged-chr14-15272424-5
NR2432--MA1421.1.TCF7L1	chr13	91564865	91564876	-	0.000	0.000	Merged-chr13-91564824-14
NR5765--MA1421.1.TCF7L1	chr3	115933847	115933858	-	0.000	0.000	Merged-chr3-115933714-29
NR7408--MA0523.1.TCF7L2	chr6	103565084	103565097	+	0.000	0.000	Merged-chr6-103565102-16
NR4958--MA1421.1.TCF7L1	chr2	103668301	103668312	-	0.000	0.000	Merged-chr2-103668249-32
NR6557--MA0523.1.TCF7L2	chr5	20087381	20087394	-	0.000	0.000	Merged-chr5-20087381-40
NR967--MA0523.1.TCF7L2	chr10	67697939	67697952	+	0.000	0.000	Merged-chr10-67697981-39
NR1105--MA1421.1.TCF7L1	chr10	95942225	95942236	+	0.000	0.000	Merged-chr10-95942106-29
NR4612--MA0769.1.Tcf7	chr2	22722071	22722082	-	0.000	0.000	Merged-chr2-22721936-56
NR7322--MA0769.1.Tcf7	chr6	89288317	89288328	-	0.000	0.000	Merged-chr6-89288372-31
NR4284--MA0523.1.TCF7L2	chr18	80661138	80661151	+	0.000	0.000	Merged-chr18-80661262-3
NR558--MA0769.1.Tcf7	chr1	165063212	165063223	+	0.000	0.000	Merged-chr1-165063084-17
NR4027--MA0523.1.TCF7L2	chr18	10154685	10154698	+	0.000	0.000	Merged-chr18-10154788-16
NR8417--MA0523.1.TCF7L2	chr8	111582536	111582549	-	0.000	0.000	Merged-chr8-111582684-27
NR3550--MA0523.1.TCF7L2	chr16	50839894	50839907	+	0.000	0.000	Merged-chr16-50839866-11
NR5967--MA1421.1.TCF7L1	chr3	148493442	148493453	-	0.000	0.000	Merged-chr3-148493527-10
NR3984--MA0523.1.TCF7L2	chr17	86034451	86034464	+	0.000	0.000	Merged-chr17-86034509-12
NR3222--MA1421.1.TCF7L1	chr15	75894512	75894523	+	0.000	0.000	Merged-chr15-75894455-46
NR8623--MA0523.1.TCF7L2	chr9	42463999	42464012	+	0.000	0.000	Merged-chr9-42464013-7
NR7816--MA0523.1.TCF7L2	chr7	79190893	79190906	+	0.000	0.000	Merged-chr7-79190820-25
NR6106--MA0523.1.TCF7L2	chr4	34429185	34429198	+	0.000	0.000	Merged-chr4-34429163-2
NR8493--MA0523.1.TCF7L2	chr8	126864514	126864527	+	0.000	0.000	Merged-chr8-126864545-1
NR613--MA1421.1.TCF7L1	chr1	176994951	176994962	-	0.000	0.000	Merged-chr1-176995011-9
NR5689--MA0523.1.TCF7L2	chr3	101066269	101066282	+	0.000	0.000	Merged-chr3-101066330-34
NR7019--MA1421.1.TCF7L1	chr5	149459345	149459356	+	0.000	0.000	Merged-chr5-149459249-24
NR8610--MA0523.1.TCF7L2	chr9	40759635	40759648	+	0.000	0.000	Merged-chr9-40759529-7
NR6350--MA0523.1.TCF7L2	chr4	109854808	109854821	-	0.000	0.000	Merged-chr4-109854829-14
NR2996--MA0523.1.TCF7L2	chr14	121354191	121354204	+	0.000	0.000	Merged-chr14-121354142-24
NR3150--MA0523.1.TCF7L2	chr15	55327405	55327418	-	0.000	0.000	Merged-chr15-55327422-12
NR760--MA0523.1.TCF7L2	chr10	13467072	13467085	+	0.000	0.000	Merged-chr10-13467057-15
NR3572--MA0769.1.Tcf7	chr16	57177489	57177500	+	0.000	0.000	Merged-chr16-57177558-14
NR3584--MA0523.1.TCF7L2	chr16	58553481	58553494	-	0.000	0.000	Merged-chr16-58553585-23
NR7014--MA0769.1.Tcf7	chr5	149203177	149203188	-	0.000	0.000	Merged-chr5-149203183-18
NR4473--MA0523.1.TCF7L2	chr19	47915525	47915538	+	0.000	0.000	Merged-chr19-47915460-18
NR8825--MA0523.1.TCF7L2	chr9	88332673	88332686	-	0.000	0.000	Merged-chr9-88332643-26
NR5348--MA1421.1.TCF7L1	chr2	173444591	173444602	+	0.000	0.000	Merged-chr2-173444560-32
NR3630--MA1421.1.TCF7L1	chr16	84982746	84982757	-	0.000	0.000	Merged-chr16-84982791-18
NR8695--MA0523.1.TCF7L2	chr9	61745155	61745168	-	0.000	0.000	Merged-chr9-61745239-9
NR1016--MA0523.1.TCF7L2	chr10	78594767	78594780	+	0.000	0.000	Merged-chr10-78594668-32
NR5739--MA0769.1.Tcf7	chr3	109421018	109421029	+	0.000	0.000	Merged-chr3-109421125-43
NR6576--MA1421.1.TCF7L1	chr5	23610872	23610883	+	0.000	0.000	Merged-chr5-23610857-14
NR1656--MA0523.1.TCF7L2	chr11	117092937	117092950	-	0.000	0.000	Merged-chr11-117092893-43
NR7536--MA0523.1.TCF7L2	chr6	134184019	134184032	+	0.000	0.000	Merged-chr6-134184108-53
NR5276--MA0523.1.TCF7L2	chr2	160383110	160383123	-	0.000	0.000	Merged-chr2-160383104-3
NR4059--MA1421.1.TCF7L1	chr18	24237172	24237183	+	0.000	0.000	Merged-chr18-24237197-17
NR4902--MA1421.1.TCF7L1	chr2	84837928	84837939	+	0.000	0.000	Merged-chr2-84838147-43
NR3134--MA0769.1.Tcf7	chr15	50694323	50694334	+	0.000	0.000	Merged-chr15-50694314-20
NR3133--MA0523.1.TCF7L2	chr15	50694323	50694336	+	0.000	0.000	Merged-chr15-50694314-20
NR1729--MA0769.1.Tcf7	chr12	25601141	25601152	-	0.000	0.000	Merged-chr12-25601123-16
NR1475--MA0523.1.TCF7L2	chr11	75319049	75319062	+	0.000	0.000	Merged-chr11-75318979-50
NR6744--MA0769.1.Tcf7	chr5	89900166	89900177	-	0.000	0.000	Merged-chr5-89900078-10
NR5263--MA0523.1.TCF7L2	chr2	158673176	158673189	-	0.000	0.000	Merged-chr2-158673458-23
NR2295--MA0769.1.Tcf7	chr13	52617347	52617358	+	0.000	0.000	Merged-chr13-52617361-10
NR2962--MA0769.1.Tcf7	chr14	115015359	115015370	+	0.000	0.000	Merged-chr14-115015527-11
NR6716--MA0523.1.TCF7L2	chr5	74471131	74471144	-	0.000	0.000	Merged-chr5-74471085-11
NR3773--MA0523.1.TCF7L2	chr17	21661789	21661802	-	0.000	0.000	Merged-chr17-21661730-8
NR3817--MA0523.1.TCF7L2	chr17	33456822	33456835	+	0.000	0.000	Merged-chr17-33456861-18
NR6754--MA0523.1.TCF7L2	chr5	91960143	91960156	-	0.000	0.000	Merged-chr5-91960197-8
NR5690--MA0769.1.Tcf7	chr3	101066269	101066280	+	0.000	0.000	Merged-chr3-101066330-34
NR8248--MA0769.1.Tcf7	chr8	56398906	56398917	+	0.000	0.000	Merged-chr8-56398896-15
NR1630--MA0523.1.TCF7L2	chr11	113206356	113206369	+	0.000	0.000	Merged-chr11-113206318-17
NR1787--MA1421.1.TCF7L1	chr12	41167989	41168000	-	0.000	0.000	Merged-chr12-41167989-46
NR761--MA0769.1.Tcf7	chr10	13467072	13467083	+	0.000	0.000	Merged-chr10-13467057-15
NR5350--MA0769.1.Tcf7	chr2	173444591	173444602	+	0.000	0.000	Merged-chr2-173444560-32
NR7944--MA0523.1.TCF7L2	chr7	115218910	115218923	+	0.000	0.000	Merged-chr7-115218920-27
NR5684--MA0523.1.TCF7L2	chr3	100999103	100999116	-	0.000	0.000	Merged-chr3-100999215-37
NR7194--MA0769.1.Tcf7	chr6	55256723	55256734	-	0.000	0.000	Merged-chr6-55256807-22
NR1904--MA1421.1.TCF7L1	chr12	77070157	77070168	-	0.000	0.000	Merged-chr12-77070291-10
NR4126--MA0769.1.Tcf7	chr18	46381242	46381253	-	0.000	0.000	Merged-chr18-46381195-31
NR1340--MA1421.1.TCF7L1	chr11	20035502	20035513	+	0.000	0.000	Merged-chr11-20035595-25
NR1680--MA0769.1.Tcf7	chr12	3990030	3990041	-	0.000	0.000	Merged-chr12-3989980-1
NR4576--MA0523.1.TCF7L2	chr2	13080602	13080615	-	0.000	0.000	Merged-chr2-13080560-18
NR46--MA0769.1.Tcf7	chr1	30839814	30839825	+	0.000	0.000	Merged-chr1-30839662-25
NR3769--MA0523.1.TCF7L2	chr17	21438158	21438171	-	0.000	0.000	Merged-chr17-21438248-5
NR8461--MA1421.1.TCF7L1	chr8	123404748	123404759	-	0.000	0.000	Merged-chr8-123404693-24
NR5489--MA1421.1.TCF7L1	chr3	55660081	55660092	+	0.000	0.000	Merged-chr3-55660012-44
NR1024--MA0523.1.TCF7L2	chr10	81249642	81249655	-	0.000	0.000	Merged-chr10-81249714-12
NR5899--MA0523.1.TCF7L2	chr3	138842536	138842549	+	0.000	0.000	Merged-chr3-138842482-12
NR8711--MA1421.1.TCF7L1	chr9	66899731	66899742	-	0.000	0.000	Merged-chr9-66899689-35
NR2309--MA0523.1.TCF7L2	chr13	55255253	55255266	-	0.000	0.000	Merged-chr13-55255412-37
NR8826--MA0769.1.Tcf7	chr9	88332675	88332686	-	0.000	0.000	Merged-chr9-88332643-26
NR8611--MA0769.1.Tcf7	chr9	40759635	40759646	+	0.000	0.000	Merged-chr9-40759529-7
NR7110--MA0523.1.TCF7L2	chr6	34902136	34902149	+	0.000	0.000	Merged-chr6-34902272-26
NR4028--MA0769.1.Tcf7	chr18	10154685	10154696	+	0.000	0.000	Merged-chr18-10154788-16
NR1011--MA0523.1.TCF7L2	chr10	77677794	77677807	-	0.000	0.000	Merged-chr10-77677865-23
NR6790--MA1421.1.TCF7L1	chr5	97090319	97090330	+	0.000	0.000	Merged-chr5-97090318-20
NR3632--MA0769.1.Tcf7	chr16	84982746	84982757	-	0.000	0.000	Merged-chr16-84982791-18
NR6548--MA0769.1.Tcf7	chr5	16947643	16947654	-	0.000	0.000	Merged-chr5-16947688-4
NR60--MA0523.1.TCF7L2	chr1	36646630	36646643	+	0.000	0.000	Merged-chr1-36646512-17
NR5490--MA0523.1.TCF7L2	chr3	55660069	55660082	+	0.000	0.000	Merged-chr3-55660012-44
NR1710--MA1421.1.TCF7L1	chr12	21172236	21172247	+	0.000	0.000	Merged-chr12-21172304-14
NR6669--MA0769.1.Tcf7	chr5	64029907	64029918	+	0.000	0.000	Merged-chr5-64029830-27
NR4426--MA0523.1.TCF7L2	chr19	34510905	34510918	+	0.000	0.000	Merged-chr19-34511025-19
NR3575--MA0523.1.TCF7L2	chr16	57319958	57319971	+	0.000	0.000	Merged-chr16-57319907-20
NR6122--MA0523.1.TCF7L2	chr4	41295754	41295767	+	0.000	0.000	Merged-chr4-41295781-15
NR3095--MA0769.1.Tcf7	chr15	35917965	35917976	+	0.000	0.000	Merged-chr15-35918069-6
NR7195--MA0523.1.TCF7L2	chr6	57449456	57449469	-	0.000	0.000	Merged-chr6-57449516-18
NR4800--MA0523.1.TCF7L2	chr2	65214400	65214413	+	0.000	0.000	Merged-chr2-65214427-21
NR1058--MA0523.1.TCF7L2	chr10	85050896	85050909	-	0.000	0.000	Merged-chr10-85050856-11
NR2299--MA0523.1.TCF7L2	chr13	52702317	52702330	-	0.000	0.000	Merged-chr13-52702318-14
NR2115--MA0523.1.TCF7L2	chr12	117679064	117679077	-	0.000	0.000	Merged-chr12-117679056-43
NR1264--MA0523.1.TCF7L2	chr10	121300836	121300849	-	0.000	0.000	Merged-chr10-121300859-24
NR2998--MA1421.1.TCF7L1	chr14	121992794	121992805	-	0.000	0.000	Merged-chr14-121992584-62
NR96--MA0769.1.Tcf7	chr1	43475216	43475227	-	0.000	0.000	Merged-chr1-43475284-1
NR5942--MA0769.1.Tcf7	chr3	144232070	144232081	-	0.000	0.000	Merged-chr3-144232172-58
NR3586--MA1421.1.TCF7L1	chr16	58553514	58553525	+	0.000	0.000	Merged-chr16-58553585-23
NR4503--MA0769.1.Tcf7	chr19	57088821	57088832	-	0.000	0.000	Merged-chr19-57088913-21
NR346--MA0769.1.Tcf7	chr1	119795337	119795348	-	0.000	0.000	Merged-chr1-119795246-28
NR131--MA0769.1.Tcf7	chr1	60883022	60883033	-	0.000	0.000	Merged-chr1-60883000-15
NR5435--MA0523.1.TCF7L2	chr3	28318053	28318066	-	0.000	0.000	Merged-chr3-28318064-9
NR2492--MA0523.1.TCF7L2	chr13	103357025	103357038	-	0.000	0.000	Merged-chr13-103356902-29
NR4681--MA1421.1.TCF7L1	chr2	43992734	43992745	-	0.000	0.000	Merged-chr2-43992698-17
NR3776--MA0769.1.Tcf7	chr17	21661845	21661856	+	0.000	0.000	Merged-chr17-21661730-8
NR3573--MA1421.1.TCF7L1	chr16	57318254	57318265	-	0.000	0.000	Merged-chr16-57318126-31
NR5216--MA0523.1.TCF7L2	chr2	150130342	150130355	+	0.000	0.000	Merged-chr2-150130462-1
NR3726--MA0523.1.TCF7L2	chr17	3246828	3246841	+	0.000	0.000	Merged-chr17-3246798-10
NR5818--MA0523.1.TCF7L2	chr3	126825154	126825167	-	0.000	0.000	Merged-chr3-126825034-19
NR7611--MA1421.1.TCF7L1	chr6	145469522	145469533	+	0.000	0.000	Merged-chr6-145469437-17
NR3548--MA0769.1.Tcf7	chr16	50555183	50555194	-	0.000	0.000	Merged-chr16-50555141-20
NR7018--MA1421.1.TCF7L1	chr5	149427542	149427553	+	0.000	0.000	Merged-chr5-149427432-30
NR7021--MA0769.1.Tcf7	chr5	149459345	149459356	+	0.000	0.000	Merged-chr5-149459249-24
NR3507--MA0523.1.TCF7L2	chr16	44735811	44735824	+	0.000	0.000	Merged-chr16-44735956-40
NR3392--MA1421.1.TCF7L1	chr16	15910370	15910381	+	0.000	0.000	Merged-chr16-15910429-9
NR4602--MA0523.1.TCF7L2	chr2	19316120	19316133	-	0.000	0.000	Merged-chr2-19316159-10
NR1727--MA1421.1.TCF7L1	chr12	25601141	25601152	-	0.000	0.000	Merged-chr12-25601123-16
NR396--MA0769.1.Tcf7	chr1	135807886	135807897	-	0.000	0.000	Merged-chr1-135807785-37
NR900--MA1421.1.TCF7L1	chr10	54255357	54255368	+	0.000	0.000	Merged-chr10-54255218-57
NR4195--MA1421.1.TCF7L1	chr18	65016107	65016118	-	0.000	0.000	Merged-chr18-65016159-16
NR3911--MA0769.1.Tcf7	chr17	65740462	65740473	-	0.000	0.000	Merged-chr17-65740416-17
NR4773--MA0523.1.TCF7L2	chr2	59332460	59332473	-	0.000	0.000	Merged-chr2-59332590-12
NR998--MA1421.1.TCF7L1	chr10	75417807	75417818	+	0.000	0.000	Merged-chr10-75417748-37
NR5764--MA0769.1.Tcf7	chr3	115897972	115897983	-	0.000	0.000	Merged-chr3-115897908-5
NR64--MA0523.1.TCF7L2	chr1	36910447	36910460	+	0.000	0.000	Merged-chr1-36910479-15
NR8995--MA0523.1.TCF7L2	chr9	118890388	118890401	-	0.000	0.000	Merged-chr9-118890241-21
NR620--MA0769.1.Tcf7	chr1	179025496	179025507	-	0.000	0.000	Merged-chr1-179025362-29
NR2630--MA0523.1.TCF7L2	chr14	15273331	15273344	-	0.000	0.000	Merged-chr14-15273135-43
NR2294--MA0523.1.TCF7L2	chr13	52617347	52617360	+	0.000	0.000	Merged-chr13-52617361-10
NR6743--MA1421.1.TCF7L1	chr5	89900166	89900177	-	0.000	0.000	Merged-chr5-89900078-10
NR6575--MA1421.1.TCF7L1	chr5	23610829	23610840	+	0.000	0.000	Merged-chr5-23610857-14
NR1920--MA1421.1.TCF7L1	chr12	82187507	82187518	-	0.000	0.000	Merged-chr12-82187311-20
NR3351--MA0523.1.TCF7L2	chr16	4913139	4913152	-	0.000	0.000	Merged-chr16-4913166-6
NR4129--MA0523.1.TCF7L2	chr18	49721796	49721809	+	0.000	0.000	Merged-chr18-49721855-41
NR1002--MA0523.1.TCF7L2	chr10	75417902	75417915	-	0.000	0.000	Merged-chr10-75417748-37
NR1788--MA0523.1.TCF7L2	chr12	41167987	41168000	-	0.000	0.000	Merged-chr12-41167989-46
NR51--MA0523.1.TCF7L2	chr1	35580595	35580608	-	0.000	0.000	Merged-chr1-35580626-34
NR8220--MA1421.1.TCF7L1	chr8	41334274	41334285	-	0.000	0.000	Merged-chr8-41334366-24
NR3132--MA0523.1.TCF7L2	chr15	50694282	50694295	-	0.000	0.000	Merged-chr15-50694314-20
NR766--MA1421.1.TCF7L1	chr10	16742193	16742204	+	0.000	0.000	Merged-chr10-16742341-18
NR2956--MA0769.1.Tcf7	chr14	108374020	108374031	+	0.000	0.000	Merged-chr14-108373968-8
NR7613--MA0769.1.Tcf7	chr6	145469522	145469533	+	0.000	0.000	Merged-chr6-145469437-17
NR8595--MA0523.1.TCF7L2	chr9	36905421	36905434	-	0.000	0.000	Merged-chr9-36905642-9
NR3940--MA0523.1.TCF7L2	chr17	78304332	78304345	-	0.000	0.000	Merged-chr17-78304287-20
NR3061--MA0769.1.Tcf7	chr15	25828686	25828697	-	0.000	0.000	Merged-chr15-25828667-44
NR8027--MA0769.1.Tcf7	chr7	127922800	127922811	-	0.000	0.000	Merged-chr7-127922827-35
NR3311--MA1421.1.TCF7L1	chr15	97842349	97842360	-	0.000	0.000	Merged-chr15-97842393-22
NR8712--MA0523.1.TCF7L2	chr9	66899729	66899742	-	0.000	0.000	Merged-chr9-66899689-35
NR3143--MA1421.1.TCF7L1	chr15	52887039	52887050	-	0.000	0.000	Merged-chr15-52887057-9
NR3721--MA0523.1.TCF7L2	chr16	97402539	97402552	-	0.000	0.000	Merged-chr16-97402543-6
NR3818--MA0769.1.Tcf7	chr17	33456822	33456833	+	0.000	0.000	Merged-chr17-33456861-18
