#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_WT_Tfh-pval-0.1_up.bed
NR14530--MA0591.1.Bach1::Mafk	chr9	95151982	95151996	+	0.000	0.000	Merged-chr9-95151869-50
NR11205--MA0496.2.MAFK	chr5	107646129	107646147	+	0.000	0.000	Merged-chr5-107646170-26
NR6495--MA0495.2.MAFF	chr17	71192185	71192205	-	0.000	0.000	Merged-chr17-71192022-46
NR13725--MA0496.2.MAFK	chr8	84825733	84825751	+	0.000	0.000	Merged-chr8-84825845-44
NR1237--MA0089.1.MAFG::NFE2L1	chr1	191499940	191499945	+	0.000	0.000	Merged-chr1-191499977-31
NR3673--MA0089.1.MAFG::NFE2L1	chr13	32993542	32993547	-	0.000	0.000	Merged-chr13-32993550-50
NR10088--MA0089.1.MAFG::NFE2L1	chr4	89178073	89178078	+	0.000	0.000	Merged-chr4-89178152-23
NR14394--MA0089.1.MAFG::NFE2L1	chr9	73068535	73068540	+	0.000	0.000	Merged-chr9-73068515-27
NR8041--MA0501.1.MAF::NFE2	chr2	102813058	102813072	+	0.000	0.000	Merged-chr2-102812992-26
NR14147--MA0591.1.Bach1::Mafk	chr9	21609997	21610011	-	0.000	0.000	Merged-chr9-21610100-42
NR7180--MA0117.2.Mafb	chr19	9038340	9038351	+	0.000	0.000	Merged-chr19-9038318-39
NR9317--MA0591.1.Bach1::Mafk	chr3	109165417	109165431	-	0.000	0.000	Merged-chr3-109165436-34
NR13034--MA0501.1.MAF::NFE2	chr7	108954452	108954466	-	0.000	0.000	Merged-chr7-108954427-29
NR1082--MA0496.2.MAFK	chr1	180403755	180403773	-	0.000	0.000	Merged-chr1-180403715-60
NR7501--MA0495.2.MAFF	chr2	13237655	13237675	-	0.000	0.000	Merged-chr2-13237654-25
NR5841--MA0089.1.MAFG::NFE2L1	chr16	59459685	59459690	-	0.000	0.000	Merged-chr16-59459484-51
NR14241--MA0659.1.MAFG	chr9	43785161	43785181	+	0.000	0.000	Merged-chr9-43784994-20
NR14315--MA0089.1.MAFG::NFE2L1	chr9	55102276	55102281	+	0.000	0.000	Merged-chr9-55102396-26
NR13924--MA0501.1.MAF::NFE2	chr8	113656298	113656312	+	0.000	0.000	Merged-chr8-113656358-52
NR7422--MA0089.1.MAFG::NFE2L1	chr19	57131622	57131627	+	0.000	0.000	Merged-chr19-57131601-25
NR7624--MA0659.1.MAFG	chr2	34938703	34938723	+	0.000	0.000	Merged-chr2-34938971-69
NR10562--MA0501.1.MAF::NFE2	chr4	150991502	150991516	+	0.000	0.000	Merged-chr4-150991460-24
NR12269--MA0089.1.MAFG::NFE2L1	chr6	127617297	127617302	-	0.000	0.000	Merged-chr6-127617353-34
NR7407--MA0591.1.Bach1::Mafk	chr19	56647501	56647515	-	0.000	0.000	Merged-chr19-56647541-17
NR13603--MA0591.1.Bach1::Mafk	chr8	71587146	71587160	-	0.000	0.000	Merged-chr8-71587200-14
NR11203--MA0495.2.MAFF	chr5	107646128	107646148	+	0.000	0.000	Merged-chr5-107646170-26
NR5346--MA0117.2.Mafb	chr15	81308188	81308199	+	0.000	0.000	Merged-chr15-81308219-24
NR1948--MA0089.1.MAFG::NFE2L1	chr10	111214815	111214820	-	0.000	0.000	Merged-chr10-111214498-109
NR3393--MA0591.1.Bach1::Mafk	chr12	110939573	110939587	+	0.000	0.000	Merged-chr12-110939619-21
NR9831--MA0117.2.Mafb	chr4	32127082	32127093	+	0.000	0.000	Merged-chr4-32126903-56
NR2007--MA0089.1.MAFG::NFE2L1	chr10	119083571	119083576	-	0.000	0.000	Merged-chr10-119083697-27
NR6011--MA0117.2.Mafb	chr16	90995165	90995176	-	0.000	0.000	Merged-chr16-90995039-12
NR4852--MA0117.2.Mafb	chr14	99266001	99266012	+	0.000	0.000	Merged-chr14-99266048-28
NR15041--MA0659.1.MAFG	chrX	142792380	142792400	+	0.000	0.000	Merged-chrX-142792362-24
NR7627--MA0496.2.MAFK	chr2	34938704	34938722	-	0.000	0.000	Merged-chr2-34938971-69
NR5350--MA0591.1.Bach1::Mafk	chr15	81819705	81819719	-	0.000	0.000	Merged-chr15-81819861-26
NR1366--MA0495.2.MAFF	chr10	19104809	19104829	+	0.000	0.000	Merged-chr10-19104955-55
NR12395--MA0591.1.Bach1::Mafk	chr6	137316523	137316537	+	0.000	0.000	Merged-chr6-137316445-24
NR2480--MA0117.2.Mafb	chr11	64116882	64116893	+	0.000	0.000	Merged-chr11-64116814-48
NR6233--MA0496.2.MAFK	chr17	26572480	26572498	+	0.000	0.000	Merged-chr17-26572396-49
NR4223--MA0591.1.Bach1::Mafk	chr13	113168629	113168643	+	0.000	0.000	Merged-chr13-113168484-63
NR14146--MA0089.1.MAFG::NFE2L1	chr9	21610004	21610009	-	0.000	0.000	Merged-chr9-21610100-42
NR4078--MA0089.1.MAFG::NFE2L1	chr13	101664126	101664131	-	0.000	0.000	Merged-chr13-101664276-40
NR6373--MA0591.1.Bach1::Mafk	chr17	47598366	47598380	-	0.000	0.000	Merged-chr17-47598322-32
NR3866--MA0501.1.MAF::NFE2	chr13	60897577	60897591	-	0.000	0.000	Merged-chr13-60897577-48
NR11245--MA0089.1.MAFG::NFE2L1	chr5	112488431	112488436	-	0.000	0.000	Merged-chr5-112488536-19
NR5206--MA0089.1.MAFG::NFE2L1	chr15	58649984	58649989	-	0.000	0.000	Merged-chr15-58650001-42
NR11671--MA0501.1.MAF::NFE2	chr6	40891075	40891089	+	0.000	0.000	Merged-chr6-40891354-82
NR4855--MA0496.2.MAFK	chr14	99266002	99266020	-	0.000	0.000	Merged-chr14-99266048-28
NR3698--MA0591.1.Bach1::Mafk	chr13	37783915	37783929	+	0.000	0.000	Merged-chr13-37783892-22
NR1075--MA0089.1.MAFG::NFE2L1	chr1	180387643	180387648	-	0.000	0.000	Merged-chr1-180387589-46
NR5652--MA0659.1.MAFG	chr16	33769914	33769934	+	0.000	0.000	Merged-chr16-33769896-51
NR6074--MA0591.1.Bach1::Mafk	chr16	95168392	95168406	+	0.000	0.000	Merged-chr16-95168544-53
NR12650--MA0089.1.MAFG::NFE2L1	chr7	30909687	30909692	-	0.000	0.000	Merged-chr7-30909899-34
NR15044--MA0496.2.MAFK	chrX	142792381	142792399	-	0.000	0.000	Merged-chrX-142792362-24
NR7251--MA0089.1.MAFG::NFE2L1	chr19	21785914	21785919	-	0.000	0.000	Merged-chr19-21785964-7
NR8886--MA0089.1.MAFG::NFE2L1	chr3	37606061	37606066	+	0.000	0.000	Merged-chr3-37605967-27
NR5764--MA0117.2.Mafb	chr16	50632883	50632894	-	0.000	0.000	Merged-chr16-50633027-57
NR6498--MA0496.2.MAFK	chr17	71192186	71192204	-	0.000	0.000	Merged-chr17-71192022-46
NR1651--MA0089.1.MAFG::NFE2L1	chr10	68512603	68512608	-	0.000	0.000	Merged-chr10-68512591-23
NR9538--MA0089.1.MAFG::NFE2L1	chr3	136688184	136688189	-	0.000	0.000	Merged-chr3-136688298-63
NR14691--MA0659.1.MAFG	chr9	114787911	114787931	+	0.000	0.000	Merged-chr9-114787935-34
NR6713--MA0496.2.MAFK	chr18	23828828	23828846	+	0.000	0.000	Merged-chr18-23828715-22
NR7839--MA0501.1.MAF::NFE2	chr2	69415266	69415280	+	0.000	0.000	Merged-chr2-69415236-25
NR4635--MA0591.1.Bach1::Mafk	chr14	59553428	59553442	+	0.000	0.000	Merged-chr14-59553394-22
NR1508--MA0591.1.Bach1::Mafk	chr10	44434868	44434882	+	0.000	0.000	Merged-chr10-44434814-22
NR2660--MA0591.1.Bach1::Mafk	chr11	97728509	97728523	-	0.000	0.000	Merged-chr11-97728662-57
NR13033--MA0659.1.MAFG	chr7	108954452	108954472	-	0.000	0.000	Merged-chr7-108954427-29
NR14230--MA0117.2.Mafb	chr9	38728387	38728398	-	0.000	0.000	Merged-chr9-38728411-36
NR2573--MA0501.1.MAF::NFE2	chr11	80785938	80785952	+	0.000	0.000	Merged-chr11-80785938-31
NR12610--MA0117.2.Mafb	chr7	19946079	19946090	-	0.000	0.000	Merged-chr7-19946114-52
NR12295--MA0495.2.MAFF	chr6	129406125	129406145	+	0.000	0.000	Merged-chr6-129406250-15
NR2603--MA0089.1.MAFG::NFE2L1	chr11	88132167	88132172	-	0.000	0.000	Merged-chr11-88132051-21
NR12485--MA0089.1.MAFG::NFE2L1	chr6	145257188	145257193	-	0.000	0.000	Merged-chr6-145256997-16
NR7837--MA0117.2.Mafb	chr2	69415269	69415280	-	0.000	0.000	Merged-chr2-69415236-25
NR4225--MA0496.2.MAFK	chr13	113168627	113168645	+	0.000	0.000	Merged-chr13-113168484-63
NR14657--MA0089.1.MAFG::NFE2L1	chr9	111047388	111047393	-	0.000	0.000	Merged-chr9-111047494-21
NR4181--MA0501.1.MAF::NFE2	chr13	109843231	109843245	-	0.000	0.000	Merged-chr13-109843139-39
NR847--MA0496.2.MAFK	chr1	153288165	153288183	-	0.000	0.000	Merged-chr1-153288080-22
NR9130--MA0089.1.MAFG::NFE2L1	chr3	87846942	87846947	+	0.000	0.000	Merged-chr3-87846918-77
NR7609--MA0117.2.Mafb	chr2	32715337	32715348	+	0.000	0.000	Merged-chr2-32715137-51
NR5212--MA0496.2.MAFK	chr15	58655207	58655225	-	0.000	0.000	Merged-chr15-58655104-54
NR10471--MA0117.2.Mafb	chr4	144906688	144906699	-	0.000	0.000	Merged-chr4-144906777-28
NR6231--MA0495.2.MAFF	chr17	26572479	26572499	-	0.000	0.000	Merged-chr17-26572396-49
NR8603--MA0089.1.MAFG::NFE2L1	chr2	166264884	166264889	+	0.000	0.000	Merged-chr2-166264997-23
NR8793--MA0089.1.MAFG::NFE2L1	chr3	9853200	9853205	+	0.000	0.000	Merged-chr3-9853322-69
NR1686--MA0089.1.MAFG::NFE2L1	chr10	76542916	76542921	+	0.000	0.000	Merged-chr10-76543066-52
NR11250--MA0089.1.MAFG::NFE2L1	chr5	114041780	114041785	-	0.000	0.000	Merged-chr5-114041714-24
NR12470--MA0591.1.Bach1::Mafk	chr6	144670521	144670535	-	0.000	0.000	Merged-chr6-144670724-72
NR13614--MA0495.2.MAFF	chr8	72285427	72285447	+	0.000	0.000	Merged-chr8-72285397-19
NR7410--MA0496.2.MAFK	chr19	56647499	56647517	-	0.000	0.000	Merged-chr19-56647541-17
NR6557--MA0089.1.MAFG::NFE2L1	chr17	80174328	80174333	-	0.000	0.000	Merged-chr17-80174428-10
NR1858--MA0591.1.Bach1::Mafk	chr10	94021250	94021264	-	0.000	0.000	Merged-chr10-94021256-59
NR12870--MA0089.1.MAFG::NFE2L1	chr7	81179674	81179679	+	0.000	0.000	Merged-chr7-81179607-41
NR4106--MA0089.1.MAFG::NFE2L1	chr13	103412676	103412681	-	0.000	0.000	Merged-chr13-103412841-15
NR5027--MA0117.2.Mafb	chr15	6555772	6555783	-	0.000	0.000	Merged-chr15-6555772-24
NR14084--MA0591.1.Bach1::Mafk	chr9	7572797	7572811	+	0.000	0.000	Merged-chr9-7572579-40
NR7895--MA0501.1.MAF::NFE2	chr2	78961727	78961741	+	0.000	0.000	Merged-chr2-78961805-37
NR12681--MA0089.1.MAFG::NFE2L1	chr7	45338435	45338440	-	0.000	0.000	Merged-chr7-45338434-19
NR1871--MA0089.1.MAFG::NFE2L1	chr10	95179109	95179114	+	0.000	0.000	Merged-chr10-95179066-28
NR11206--MA0496.2.MAFK	chr5	107646129	107646147	-	0.000	0.000	Merged-chr5-107646170-26
NR14073--MA0089.1.MAFG::NFE2L1	chr8	128646934	128646939	-	0.000	0.000	Merged-chr8-128646767-27
NR7250--MA0495.2.MAFF	chr19	21785904	21785924	+	0.000	0.000	Merged-chr19-21785964-7
NR928--MA0501.1.MAF::NFE2	chr1	159812892	159812906	+	0.000	0.000	Merged-chr1-159812982-41
NR15038--MA0495.2.MAFF	chrX	142792380	142792400	-	0.000	0.000	Merged-chrX-142792362-24
NR7237--MA0495.2.MAFF	chr19	20424388	20424408	+	0.000	0.000	Merged-chr19-20424322-22
NR1733--MA0591.1.Bach1::Mafk	chr10	80342883	80342897	-	0.000	0.000	Merged-chr10-80342924-40
NR149--MA0591.1.Bach1::Mafk	chr1	38884063	38884077	+	0.000	0.000	Merged-chr1-38884000-31
NR9277--MA0591.1.Bach1::Mafk	chr3	104762378	104762392	+	0.000	0.000	Merged-chr3-104762450-40
NR1819--MA0117.2.Mafb	chr10	88783301	88783312	-	0.000	0.000	Merged-chr10-88783253-12
NR11518--MA0591.1.Bach1::Mafk	chr6	8649427	8649441	-	0.000	0.000	Merged-chr6-8649574-3
NR12124--MA0089.1.MAFG::NFE2L1	chr6	115594669	115594674	-	0.000	0.000	Merged-chr6-115594731-47
NR14184--MA0089.1.MAFG::NFE2L1	chr9	33080437	33080442	+	0.000	0.000	Merged-chr9-33080507-34
NR7623--MA0591.1.Bach1::Mafk	chr2	34938706	34938720	-	0.000	0.000	Merged-chr2-34938971-69
NR3941--MA0659.1.MAFG	chr13	76129008	76129028	+	0.000	0.000	Merged-chr13-76128854-26
NR12222--MA0501.1.MAF::NFE2	chr6	122758922	122758936	-	0.000	0.000	Merged-chr6-122758915-39
NR7838--MA0591.1.Bach1::Mafk	chr2	69415263	69415277	+	0.000	0.000	Merged-chr2-69415236-25
NR5347--MA0591.1.Bach1::Mafk	chr15	81308191	81308205	-	0.000	0.000	Merged-chr15-81308219-24
NR14242--MA0659.1.MAFG	chr9	43785161	43785181	-	0.000	0.000	Merged-chr9-43784994-20
NR4140--MA0117.2.Mafb	chr13	107867073	107867084	+	0.000	0.000	Merged-chr13-107866970-30
NR6009--MA0089.1.MAFG::NFE2L1	chr16	90475859	90475864	+	0.000	0.000	Merged-chr16-90475942-51
NR7625--MA0659.1.MAFG	chr2	34938703	34938723	-	0.000	0.000	Merged-chr2-34938971-69
NR3395--MA0117.2.Mafb	chr12	111442335	111442346	+	0.000	0.000	Merged-chr12-111442481-10
NR9374--MA0089.1.MAFG::NFE2L1	chr3	116434961	116434966	+	0.000	0.000	Merged-chr3-116434903-21
NR5651--MA0591.1.Bach1::Mafk	chr16	33769917	33769931	-	0.000	0.000	Merged-chr16-33769896-51
NR3702--MA0496.2.MAFK	chr13	37783913	37783931	+	0.000	0.000	Merged-chr13-37783892-22
NR5028--MA0591.1.Bach1::Mafk	chr15	6555766	6555780	+	0.000	0.000	Merged-chr15-6555772-24
NR264--MA0591.1.Bach1::Mafk	chr1	61039454	61039468	-	0.000	0.000	Merged-chr1-61039499-28
NR11204--MA0495.2.MAFF	chr5	107646128	107646148	-	0.000	0.000	Merged-chr5-107646170-26
NR13724--MA0495.2.MAFF	chr8	84825732	84825752	+	0.000	0.000	Merged-chr8-84825845-44
NR3944--MA0496.2.MAFK	chr13	76129009	76129027	-	0.000	0.000	Merged-chr13-76128854-26
NR6599--MA0089.1.MAFG::NFE2L1	chr17	88123955	88123960	+	0.000	0.000	Merged-chr17-88123873-45
NR3801--MA0501.1.MAF::NFE2	chr13	51849024	51849038	+	0.000	0.000	Merged-chr13-51849013-24
NR8884--MA0501.1.MAF::NFE2	chr3	37292937	37292951	-	0.000	0.000	Merged-chr3-37292848-26
NR15042--MA0659.1.MAFG	chrX	142792380	142792400	-	0.000	0.000	Merged-chrX-142792362-24
NR1367--MA0495.2.MAFF	chr10	19104809	19104829	-	0.000	0.000	Merged-chr10-19104955-55
NR1079--MA0591.1.Bach1::Mafk	chr1	180403757	180403771	-	0.000	0.000	Merged-chr1-180403715-60
NR10487--MA0089.1.MAFG::NFE2L1	chr4	145312520	145312525	-	0.000	0.000	Merged-chr4-145312696-44
NR7638--MA0089.1.MAFG::NFE2L1	chr2	37565818	37565823	+	0.000	0.000	Merged-chr2-37565860-32
NR6234--MA0496.2.MAFK	chr17	26572480	26572498	-	0.000	0.000	Merged-chr17-26572396-49
NR14314--MA0089.1.MAFG::NFE2L1	chr9	54612918	54612923	-	0.000	0.000	Merged-chr9-54612864-43
NR14334--MA0591.1.Bach1::Mafk	chr9	60991739	60991753	-	0.000	0.000	Merged-chr9-60991715-48
NR1859--MA0501.1.MAF::NFE2	chr10	94021247	94021261	-	0.000	0.000	Merged-chr10-94021256-59
NR13617--MA0496.2.MAFK	chr8	72285428	72285446	+	0.000	0.000	Merged-chr8-72285397-19
NR2402--MA0591.1.Bach1::Mafk	chr11	54017771	54017785	-	0.000	0.000	Merged-chr11-54017821-14
NR3704--MA0089.1.MAFG::NFE2L1	chr13	37793011	37793016	-	0.000	0.000	Merged-chr13-37793215-44
NR3800--MA0117.2.Mafb	chr13	51849027	51849038	-	0.000	0.000	Merged-chr13-51849013-24
NR1077--MA0495.2.MAFF	chr1	180403754	180403774	+	0.000	0.000	Merged-chr1-180403715-60
NR5210--MA0659.1.MAFG	chr15	58655206	58655226	-	0.000	0.000	Merged-chr15-58655104-54
NR14692--MA0659.1.MAFG	chr9	114787911	114787931	-	0.000	0.000	Merged-chr9-114787935-34
NR6063--MA0501.1.MAF::NFE2	chr16	94660247	94660261	-	0.000	0.000	Merged-chr16-94660460-20
NR7343--MA0089.1.MAFG::NFE2L1	chr19	42305982	42305987	+	0.000	0.000	Merged-chr19-42305883-1
NR9894--MA0089.1.MAFG::NFE2L1	chr4	46404281	46404286	+	0.000	0.000	Merged-chr4-46404308-42
NR10998--MA0089.1.MAFG::NFE2L1	chr5	77167484	77167489	+	0.000	0.000	Merged-chr5-77167373-14
NR8298--MA0089.1.MAFG::NFE2L1	chr2	129180153	129180158	+	0.000	0.000	Merged-chr2-129180074-1
NR13946--MA0501.1.MAF::NFE2	chr8	117074719	117074733	+	0.000	0.000	Merged-chr8-117074609-38
NR4224--MA0501.1.MAF::NFE2	chr13	113168632	113168646	+	0.000	0.000	Merged-chr13-113168484-63
NR15040--MA0591.1.Bach1::Mafk	chrX	142792383	142792397	+	0.000	0.000	Merged-chrX-142792362-24
NR11992--MA0501.1.MAF::NFE2	chr6	95712230	95712244	-	0.000	0.000	Merged-chr6-95712332-22
NR4226--MA0496.2.MAFK	chr13	113168627	113168645	-	0.000	0.000	Merged-chr13-113168484-63
NR3965--MA0501.1.MAF::NFE2	chr13	81675851	81675865	-	0.000	0.000	Merged-chr13-81675595-44
NR11000--MA0591.1.Bach1::Mafk	chr5	77367828	77367842	+	0.000	0.000	Merged-chr5-77367800-15
NR14145--MA0495.2.MAFF	chr9	21609994	21610014	+	0.000	0.000	Merged-chr9-21610100-42
NR5477--MA0501.1.MAF::NFE2	chr15	103153084	103153098	+	0.000	0.000	Merged-chr15-103152944-45
NR14243--MA0496.2.MAFK	chr9	43785162	43785180	+	0.000	0.000	Merged-chr9-43784994-20
NR13127--MA0089.1.MAFG::NFE2L1	chr7	118135777	118135782	+	0.000	0.000	Merged-chr7-118135744-21
NR11991--MA0591.1.Bach1::Mafk	chr6	95712233	95712247	-	0.000	0.000	Merged-chr6-95712332-22
NR14071--MA0117.2.Mafb	chr8	128572215	128572226	-	0.000	0.000	Merged-chr8-128572314-34
NR1387--MA0089.1.MAFG::NFE2L1	chr10	21335674	21335679	-	0.000	0.000	Merged-chr10-21335656-23
NR10613--MA0089.1.MAFG::NFE2L1	chr5	3509670	3509675	-	0.000	0.000	Merged-chr5-3509650-29
NR2650--MA0591.1.Bach1::Mafk	chr11	97123496	97123510	+	0.000	0.000	Merged-chr11-97123645-15
NR4611--MA0501.1.MAF::NFE2	chr14	54518670	54518684	-	0.000	0.000	Merged-chr14-54518806-37
NR11672--MA0591.1.Bach1::Mafk	chr6	40891144	40891158	-	0.000	0.000	Merged-chr6-40891354-82
NR13338--MA0501.1.MAF::NFE2	chr7	142056810	142056824	+	0.000	0.000	Merged-chr7-142056944-50
NR4854--MA0496.2.MAFK	chr14	99266002	99266020	+	0.000	0.000	Merged-chr14-99266048-28
NR2306--MA0591.1.Bach1::Mafk	chr11	34506623	34506637	-	0.000	0.000	Merged-chr11-34506583-46
NR7238--MA0495.2.MAFF	chr19	20424388	20424408	-	0.000	0.000	Merged-chr19-20424322-22
NR12017--MA0501.1.MAF::NFE2	chr6	98933386	98933400	-	0.000	0.000	Merged-chr6-98933342-15
NR6012--MA0501.1.MAF::NFE2	chr16	91366694	91366708	-	0.000	0.000	Merged-chr16-91366873-55
NR12696--MA0501.1.MAF::NFE2	chr7	48919488	48919502	-	0.000	0.000	Merged-chr7-48919531-17
NR257--MA0501.1.MAF::NFE2	chr1	60758318	60758332	-	0.000	0.000	Merged-chr1-60758375-49
NR6356--MA0089.1.MAFG::NFE2L1	chr17	44556037	44556042	+	0.000	0.000	Merged-chr17-44556103-15
NR5993--MA0089.1.MAFG::NFE2L1	chr16	89872268	89872273	+	0.000	0.000	Merged-chr16-89872318-26
NR13927--MA0089.1.MAFG::NFE2L1	chr8	115183824	115183829	+	0.000	0.000	Merged-chr8-115183735-24
NR7780--MA0591.1.Bach1::Mafk	chr2	60328783	60328797	-	0.000	0.000	Merged-chr2-60328757-33
NR14981--MA0501.1.MAF::NFE2	chrX	113075052	113075066	+	0.000	0.000	Merged-chrX-113075086-29
NR1135--MA0501.1.MAF::NFE2	chr1	184441267	184441281	+	0.000	0.000	Merged-chr1-184441398-48
NR12851--MA0659.1.MAFG	chr7	80209870	80209890	-	0.000	0.000	Merged-chr7-80209951-53
NR5207--MA0495.2.MAFF	chr15	58655206	58655226	+	0.000	0.000	Merged-chr15-58655104-54
NR2852--MA0501.1.MAF::NFE2	chr12	3823693	3823707	-	0.000	0.000	Merged-chr12-3823687-29
NR9051--MA0089.1.MAFG::NFE2L1	chr3	79177390	79177395	+	0.000	0.000	Merged-chr3-79177375-21
NR285--MA0501.1.MAF::NFE2	chr1	66649749	66649763	-	0.000	0.000	Merged-chr1-66649832-31
NR7845--MA0591.1.Bach1::Mafk	chr2	70933191	70933205	+	0.000	0.000	Merged-chr2-70933304-29
NR5211--MA0496.2.MAFK	chr15	58655207	58655225	+	0.000	0.000	Merged-chr15-58655104-54
NR12267--MA0496.2.MAFK	chr6	127302957	127302975	+	0.000	0.000	Merged-chr6-127302896-25
NR10317--MA0501.1.MAF::NFE2	chr4	121002459	121002473	-	0.000	0.000	Merged-chr4-121002570-50
NR9630--MA0591.1.Bach1::Mafk	chr3	146758060	146758074	+	0.000	0.000	Merged-chr3-146758289-47
NR14237--MA0495.2.MAFF	chr9	43785161	43785181	+	0.000	0.000	Merged-chr9-43784994-20
NR6250--MA0089.1.MAFG::NFE2L1	chr17	28013402	28013407	+	0.000	0.000	Merged-chr17-28013455-33
NR14693--MA0496.2.MAFK	chr9	114787912	114787930	+	0.000	0.000	Merged-chr9-114787935-34
NR3703--MA0496.2.MAFK	chr13	37783913	37783931	-	0.000	0.000	Merged-chr13-37783892-22
NR8537--MA0089.1.MAFG::NFE2L1	chr2	158133365	158133370	+	0.000	0.000	Merged-chr2-158133215-37
NR13919--MA0117.2.Mafb	chr8	111976532	111976543	-	0.000	0.000	Merged-chr8-111976573-47
NR4043--MA0117.2.Mafb	chr13	95419599	95419610	-	0.000	0.000	Merged-chr13-95419619-28
NR9273--MA0117.2.Mafb	chr3	103872771	103872782	-	0.000	0.000	Merged-chr3-103872856-42
NR3942--MA0501.1.MAF::NFE2	chr13	76129014	76129028	+	0.000	0.000	Merged-chr13-76128854-26
NR5521--MA0089.1.MAFG::NFE2L1	chr16	13845253	13845258	+	0.000	0.000	Merged-chr16-13845150-21
NR14239--MA0117.2.Mafb	chr9	43785170	43785181	-	0.000	0.000	Merged-chr9-43784994-20
