#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Lef1/WT_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-WT_Tfh_vs_WT_Th1-pval-0.1_up.bed
NR1533--MA0768.1.LEF1	chr2	114873165	114873179	+	0.000	0.000	Merged-chr2-114873203-5
NR51--MA0768.1.LEF1	chr1	66814146	66814160	+	0.000	0.000	Merged-chr1-66814050-6
NR753--MA0768.1.LEF1	chr14	15273330	15273344	-	0.000	0.000	Merged-chr14-15273135-43
NR2623--MA0768.1.LEF1	chr9	61745154	61745168	-	0.000	0.000	Merged-chr9-61745239-9
NR507--MA0768.1.LEF1	chr12	52644410	52644424	-	0.000	0.000	Merged-chr12-52644289-23
NR2068--MA0768.1.LEF1	chr5	97090319	97090333	+	0.000	0.000	Merged-chr5-97090318-20
NR1672--MA0768.1.LEF1	chr3	61368867	61368881	+	0.000	0.000	Merged-chr3-61368860-22
NR29--MA0768.1.LEF1	chr1	43403601	43403615	-	0.000	0.000	Merged-chr1-43403565-20
NR1784--MA0768.1.LEF1	chr3	142533251	142533265	-	0.000	0.000	Merged-chr3-142533345-44
NR1211--MA0768.1.LEF1	chr18	24237172	24237186	+	0.000	0.000	Merged-chr18-24237197-17
NR2086--MA0768.1.LEF1	chr5	105010601	105010615	+	0.000	0.000	Merged-chr5-105010527-49
NR1896--MA0768.1.LEF1	chr4	89505563	89505577	+	0.000	0.000	Merged-chr4-89505388-45
NR2771--MA0768.1.LEF1	chrY	11858272	11858286	-	0.000	0.000	Merged-chrY-11858126-43
NR2628--MA0768.1.LEF1	chr9	65084566	65084580	-	0.000	0.000	Merged-chr9-65084631-10
NR1556--MA0768.1.LEF1	chr2	132180715	132180729	+	0.000	0.000	Merged-chr2-132180846-32
NR65--MA0768.1.LEF1	chr1	84318772	84318786	+	0.000	0.000	Merged-chr1-84318831-8
NR1668--MA0768.1.LEF1	chr3	60124187	60124201	+	0.000	0.000	Merged-chr3-60124423-36
NR879--MA0768.1.LEF1	chr15	6726640	6726654	-	0.000	0.000	Merged-chr15-6726597-28
NR83--MA0768.1.LEF1	chr1	95375651	95375665	-	0.000	0.000	Merged-chr1-95375799-8
NR1113--MA0768.1.LEF1	chr17	21661845	21661859	+	0.000	0.000	Merged-chr17-21661730-8
NR897--MA0768.1.LEF1	chr15	31649926	31649940	+	0.000	0.000	Merged-chr15-31649789-27
NR324--MA0768.1.LEF1	chr10	96955127	96955141	+	0.000	0.000	Merged-chr10-96955164-15
NR1225--MA0768.1.LEF1	chr18	38701109	38701123	+	0.000	0.000	Merged-chr18-38700911-27
NR2561--MA0768.1.LEF1	chr8	125080823	125080837	-	0.000	0.000	Merged-chr8-125080812-18
NR1346--MA0768.1.LEF1	chr19	44282724	44282738	-	0.000	0.000	Merged-chr19-44282748-31
NR342--MA0768.1.LEF1	chr10	111578772	111578786	+	0.000	0.000	Merged-chr10-111578564-64
NR1243--MA0768.1.LEF1	chr18	60375873	60375887	-	0.000	0.000	Merged-chr18-60375896-42
NR79--MA0768.1.LEF1	chr1	91755294	91755308	+	0.000	0.000	Merged-chr1-91755348-8
NR2445--MA0768.1.LEF1	chr7	132773117	132773131	+	0.000	0.000	Merged-chr7-132773147-79
NR114--MA0768.1.LEF1	chr1	127348984	127348998	-	0.000	0.000	Merged-chr1-127349004-28
NR2566--MA0768.1.LEF1	chr8	126826117	126826131	-	0.000	0.000	Merged-chr8-126826357-7
NR2678--MA0768.1.LEF1	chr9	94620494	94620508	-	0.000	0.000	Merged-chr9-94620464-1
NR1248--MA0768.1.LEF1	chr18	61206958	61206972	+	0.000	0.000	Merged-chr18-61207122-39
NR1700--MA0768.1.LEF1	chr3	84569605	84569619	+	0.000	0.000	Merged-chr3-84569742-8
NR2141--MA0768.1.LEF1	chr5	151417186	151417200	+	0.000	0.000	Merged-chr5-151417137-15
NR383--MA0768.1.LEF1	chr11	16844306	16844320	-	0.000	0.000	Merged-chr11-16844385-25
NR2253--MA0768.1.LEF1	chr6	108334842	108334856	-	0.000	0.000	Merged-chr6-108334788-1
NR1723--MA0768.1.LEF1	chr3	101029429	101029443	+	0.000	0.000	Merged-chr3-101029545-28
NR267--MA0768.1.LEF1	chr10	59435688	59435702	-	0.000	0.000	Merged-chr10-59435699-1
NR1168--MA0768.1.LEF1	chr17	78304331	78304345	-	0.000	0.000	Merged-chr17-78304287-20
NR1620--MA0768.1.LEF1	chr2	164534495	164534509	-	0.000	0.000	Merged-chr2-164534526-17
NR182--MA0768.1.LEF1	chr1	180252832	180252846	-	0.000	0.000	Merged-chr1-180252895-14
NR706--MA0768.1.LEF1	chr13	103357024	103357038	-	0.000	0.000	Merged-chr13-103356902-29
NR970--MA0768.1.LEF1	chr15	100145185	100145199	-	0.000	0.000	Merged-chr15-100145354-14
NR818--MA0768.1.LEF1	chr14	73472603	73472617	+	0.000	0.000	Merged-chr14-73472602-8
NR1719--MA0768.1.LEF1	chr3	100475244	100475258	+	0.000	0.000	Merged-chr3-100475201-27
NR1983--MA0768.1.LEF1	chr5	20087380	20087394	-	0.000	0.000	Merged-chr5-20087381-40
NR1531--MA0768.1.LEF1	chr2	114197100	114197114	-	0.000	0.000	Merged-chr2-114197005-3
NR1737--MA0768.1.LEF1	chr3	109421018	109421032	+	0.000	0.000	Merged-chr3-109421125-43
NR40--MA0768.1.LEF1	chr1	60883019	60883033	-	0.000	0.000	Merged-chr1-60883000-15
NR2039--MA0768.1.LEF1	chr5	74132914	74132928	-	0.000	0.000	Merged-chr5-74132835-25
NR2715--MA0768.1.LEF1	chr9	118678457	118678471	-	0.000	0.000	Merged-chr9-118678587-68
NR2500--MA0768.1.LEF1	chr8	60954792	60954806	+	0.000	0.000	Merged-chr8-60954738-34
NR187--MA0768.1.LEF1	chr1	181157415	181157429	-	0.000	0.000	Merged-chr1-181157308-13
NR2612--MA0768.1.LEF1	chr9	48538518	48538532	+	0.000	0.000	Merged-chr9-48538454-59
NR1755--MA0768.1.LEF1	chr3	126825153	126825167	-	0.000	0.000	Merged-chr3-126825034-19
NR2733--MA0768.1.LEF1	chrX	37141902	37141916	-	0.000	0.000	Merged-chrX-37141960-22
NR2178--MA0768.1.LEF1	chr6	50009499	50009513	-	0.000	0.000	Merged-chr6-50009459-48
NR1509--MA0768.1.LEF1	chr2	104458886	104458900	+	0.000	0.000	Merged-chr2-104459041-25
NR2630--MA0768.1.LEF1	chr9	66899728	66899742	-	0.000	0.000	Merged-chr9-66899689-35
NR1200--MA0768.1.LEF1	chr18	10154685	10154699	+	0.000	0.000	Merged-chr18-10154788-16
NR2075--MA0768.1.LEF1	chr5	100651719	100651733	-	0.000	0.000	Merged-chr5-100651654-38
NR2751--MA0768.1.LEF1	chrX	106608147	106608161	+	0.000	0.000	Merged-chrX-106608183-10
NR1312--MA0768.1.LEF1	chr19	16274717	16274731	-	0.000	0.000	Merged-chr19-16274697-6
NR1791--MA0768.1.LEF1	chr3	144232067	144232081	-	0.000	0.000	Merged-chr3-144232172-58
NR644--MA0768.1.LEF1	chr13	52144226	52144240	-	0.000	0.000	Merged-chr13-52144310-15
NR2729--MA0768.1.LEF1	chrX	17521300	17521314	-	0.000	0.000	Merged-chrX-17521323-26
NR1451--MA0768.1.LEF1	chr2	61571790	61571804	+	0.000	0.000	Merged-chr2-61571777-18
NR2635--MA0768.1.LEF1	chr9	69313915	69313929	-	0.000	0.000	Merged-chr9-69313976-5
NR1205--MA0768.1.LEF1	chr18	15331923	15331937	-	0.000	0.000	Merged-chr18-15331866-28
NR2532--MA0768.1.LEF1	chr8	86779419	86779433	-	0.000	0.000	Merged-chr8-86779479-38
NR680--MA0768.1.LEF1	chr13	84791265	84791279	-	0.000	0.000	Merged-chr13-84791325-24
NR1335--MA0768.1.LEF1	chr19	34510905	34510919	+	0.000	0.000	Merged-chr19-34511025-19
NR59--MA0768.1.LEF1	chr1	80416613	80416627	-	0.000	0.000	Merged-chr1-80416536-28
NR2519--MA0768.1.LEF1	chr8	79060043	79060057	-	0.000	0.000	Merged-chr8-79060066-12
NR546--MA0768.1.LEF1	chr12	91065576	91065590	-	0.000	0.000	Merged-chr12-91065547-31
NR1353--MA0768.1.LEF1	chr19	47915525	47915539	+	0.000	0.000	Merged-chr19-47915460-18
NR1559--MA0768.1.LEF1	chr2	132669231	132669245	+	0.000	0.000	Merged-chr2-132669439-31
NR564--MA0768.1.LEF1	chr12	105538348	105538362	+	0.000	0.000	Merged-chr12-105538395-6
NR470--MA0768.1.LEF1	chr12	8817860	8817874	+	0.000	0.000	Merged-chr12-8817903-12
NR676--MA0768.1.LEF1	chr13	81762061	81762075	+	0.000	0.000	Merged-chr13-81761926-24
NR1595--MA0768.1.LEF1	chr2	150134372	150134386	-	0.000	0.000	Merged-chr2-150134419-14
NR2206--MA0768.1.LEF1	chr6	73210573	73210587	+	0.000	0.000	Merged-chr6-73210689-51
NR1810--MA0768.1.LEF1	chr3	154694065	154694079	-	0.000	0.000	Merged-chr3-154694103-10
NR484--MA0768.1.LEF1	chr12	31756175	31756189	-	0.000	0.000	Merged-chr12-31756239-29
NR1139--MA0768.1.LEF1	chr17	48318939	48318953	+	0.000	0.000	Merged-chr17-48318964-29
NR1045--MA0768.1.LEF1	chr16	57319958	57319972	+	0.000	0.000	Merged-chr16-57319907-20
NR2587--MA0768.1.LEF1	chr9	24331761	24331775	+	0.000	0.000	Merged-chr9-24331833-14
NR256--MA0768.1.LEF1	chr10	50650805	50650819	-	0.000	0.000	Merged-chr10-50650757-16
NR1824--MA0768.1.LEF1	chr4	11610155	11610169	+	0.000	0.000	Merged-chr4-11610147-18
NR162--MA0768.1.LEF1	chr1	165850916	165850930	-	0.000	0.000	Merged-chr1-165850957-6
NR1945--MA0768.1.LEF1	chr4	141184061	141184075	-	0.000	0.000	Merged-chr4-141184066-30
NR2390--MA0768.1.LEF1	chr7	92805403	92805417	-	0.000	0.000	Merged-chr7-92805492-6
NR2032--MA0768.1.LEF1	chr5	67930820	67930834	-	0.000	0.000	Merged-chr5-67930859-12
NR1081--MA0768.1.LEF1	chr16	94596335	94596349	-	0.000	0.000	Merged-chr16-94596534-16
NR1614--MA0768.1.LEF1	chr2	158723965	158723979	-	0.000	0.000	Merged-chr2-158724013-3
NR158--MA0768.1.LEF1	chr1	161480189	161480203	-	0.000	0.000	Merged-chr1-161480099-19
NR2704--MA0768.1.LEF1	chr9	114592574	114592588	-	0.000	0.000	Merged-chr9-114592565-4
NR1990--MA0768.1.LEF1	chr5	22747519	22747533	+	0.000	0.000	Merged-chr5-22747535-33
NR1632--MA0768.1.LEF1	chr2	174389701	174389715	-	0.000	0.000	Merged-chr2-174389676-5
NR1744--MA0768.1.LEF1	chr3	116386819	116386833	+	0.000	0.000	Merged-chr3-116386953-10
NR2722--MA0768.1.LEF1	chr9	122398993	122399007	+	0.000	0.000	Merged-chr9-122399009-31
NR964--MA0768.1.LEF1	chr15	94255220	94255234	-	0.000	0.000	Merged-chr15-94255177-46
NR1650--MA0768.1.LEF1	chr3	35722039	35722053	+	0.000	0.000	Merged-chr3-35722000-30
NR2279--MA0768.1.LEF1	chr6	125355587	125355601	+	0.000	0.000	Merged-chr6-125355418-28
NR1995--MA0768.1.LEF1	chr5	28382467	28382481	-	0.000	0.000	Merged-chr5-28382451-39
NR2606--MA0768.1.LEF1	chr9	40759635	40759649	+	0.000	0.000	Merged-chr9-40759529-7
NR633--MA0768.1.LEF1	chr13	43191846	43191860	+	0.000	0.000	Merged-chr13-43191968-21
NR199--MA0768.1.LEF1	chr1	184197638	184197652	-	0.000	0.000	Merged-chr1-184197455-33
NR2624--MA0768.1.LEF1	chr9	61745321	61745335	+	0.000	0.000	Merged-chr9-61745239-9
NR866--MA0768.1.LEF1	chr14	121137384	121137398	+	0.000	0.000	Merged-chr14-121137502-35
NR1767--MA0768.1.LEF1	chr3	133626825	133626839	+	0.000	0.000	Merged-chr3-133626779-42
NR61--MA0768.1.LEF1	chr1	82429188	82429202	+	0.000	0.000	Merged-chr1-82429225-23
NR772--MA0768.1.LEF1	chr14	34670398	34670412	+	0.000	0.000	Merged-chr14-34670464-10
NR2736--MA0768.1.LEF1	chrX	52930407	52930421	-	0.000	0.000	Merged-chrX-52930355-32
NR1--MA0768.1.LEF1	chr1	6519352	6519366	-	0.000	0.000	Merged-chr1-6519375-11
NR1212--MA0768.1.LEF1	chr18	32543278	32543292	-	0.000	0.000	Merged-chr18-32543284-47
NR1418--MA0768.1.LEF1	chr2	45946382	45946396	+	0.000	0.000	Merged-chr2-45946471-14
NR996--MA0768.1.LEF1	chr16	24836571	24836585	+	0.000	0.000	Merged-chr16-24836747-26
NR1230--MA0768.1.LEF1	chr18	53411604	53411618	+	0.000	0.000	Merged-chr18-53411654-14
NR1454--MA0768.1.LEF1	chr2	65214400	65214414	+	0.000	0.000	Merged-chr2-65214427-21
NR2432--MA0768.1.LEF1	chr7	127922797	127922811	-	0.000	0.000	Merged-chr7-127922827-35
NR2638--MA0768.1.LEF1	chr9	70584831	70584845	+	0.000	0.000	Merged-chr9-70584670-22
NR213--MA0768.1.LEF1	chr10	6954706	6954720	-	0.000	0.000	Merged-chr10-6954726-16
NR2450--MA0768.1.LEF1	chr7	136211566	136211580	+	0.000	0.000	Merged-chr7-136211556-10
NR898--MA0768.1.LEF1	chr15	35465166	35465180	-	0.000	0.000	Merged-chr15-35465086-12
NR1490--MA0768.1.LEF1	chr2	84837928	84837942	+	0.000	0.000	Merged-chr2-84838147-43
NR1132--MA0768.1.LEF1	chr17	44336877	44336891	+	0.000	0.000	Merged-chr17-44337024-21
NR2674--MA0768.1.LEF1	chr9	92217743	92217757	-	0.000	0.000	Merged-chr9-92217904-40
NR2316--MA0768.1.LEF1	chr6	144922981	144922995	-	0.000	0.000	Merged-chr6-144923057-24
NR1459--MA0768.1.LEF1	chr2	65871122	65871136	-	0.000	0.000	Merged-chr2-65871141-19
NR2222--MA0768.1.LEF1	chr6	89421746	89421760	-	0.000	0.000	Merged-chr6-89421751-50
NR2549--MA0768.1.LEF1	chr8	111582535	111582549	-	0.000	0.000	Merged-chr8-111582684-27
NR2240--MA0768.1.LEF1	chr6	100255577	100255591	+	0.000	0.000	Merged-chr6-100255672-12
NR473--MA0768.1.LEF1	chr12	17726666	17726680	-	0.000	0.000	Merged-chr12-17726607-38
NR1034--MA0768.1.LEF1	chr16	50070627	50070641	+	0.000	0.000	Merged-chr16-50070751-51
NR2697--MA0768.1.LEF1	chr9	108617523	108617537	+	0.000	0.000	Merged-chr9-108617434-16
NR2021--MA0768.1.LEF1	chr5	57868926	57868940	-	0.000	0.000	Merged-chr5-57869019-33
NR384--MA0768.1.LEF1	chr11	20035502	20035516	+	0.000	0.000	Merged-chr11-20035595-25
NR1070--MA0768.1.LEF1	chr16	89835746	89835760	+	0.000	0.000	Merged-chr16-89835915-50
NR1276--MA0768.1.LEF1	chr18	75374206	75374220	-	0.000	0.000	Merged-chr18-75374196-25
NR805--MA0768.1.LEF1	chr14	61770737	61770751	-	0.000	0.000	Merged-chr14-61770762-4
NR1970--MA0768.1.LEF1	chr4	155082287	155082301	+	0.000	0.000	Merged-chr4-155082260-14
NR1724--MA0768.1.LEF1	chr3	101066269	101066283	+	0.000	0.000	Merged-chr3-101066330-34
NR165--MA0768.1.LEF1	chr1	167296109	167296123	-	0.000	0.000	Merged-chr1-167296095-13
NR2711--MA0768.1.LEF1	chr9	117400612	117400626	+	0.000	0.000	Merged-chr9-117400417-34
NR183--MA0768.1.LEF1	chr1	180252841	180252855	-	0.000	0.000	Merged-chr1-180252895-14
NR1084--MA0768.1.LEF1	chr16	95900271	95900285	+	0.000	0.000	Merged-chr16-95900278-53
NR1966--MA0768.1.LEF1	chr4	152042417	152042431	+	0.000	0.000	Merged-chr4-152042286-12
NR725--MA0768.1.LEF1	chr13	113203242	113203256	-	0.000	0.000	Merged-chr13-113203194-33
NR1411--MA0768.1.LEF1	chr2	44528727	44528741	-	0.000	0.000	Merged-chr2-44528768-19
NR631--MA0768.1.LEF1	chr13	41453786	41453800	-	0.000	0.000	Merged-chr13-41453592-40
NR1890--MA0768.1.LEF1	chr4	88122427	88122441	+	0.000	0.000	Merged-chr4-88122493-27
NR1523--MA0768.1.LEF1	chr2	112656428	112656442	+	0.000	0.000	Merged-chr2-112656502-8
NR2613--MA0768.1.LEF1	chr9	51185627	51185641	+	0.000	0.000	Merged-chr9-51185836-35
NR855--MA0768.1.LEF1	chr14	108374020	108374034	+	0.000	0.000	Merged-chr14-108373968-8
NR1756--MA0768.1.LEF1	chr3	126834995	126835009	+	0.000	0.000	Merged-chr3-126834809-55
NR1662--MA0768.1.LEF1	chr3	55660069	55660083	+	0.000	0.000	Merged-chr3-55660012-44
NR1989--MA0768.1.LEF1	chr5	22587656	22587670	-	0.000	0.000	Merged-chr5-22587622-39
NR1680--MA0768.1.LEF1	chr3	67033638	67033652	+	0.000	0.000	Merged-chr3-67033715-15
NR739--MA0768.1.LEF1	chr13	119649600	119649614	+	0.000	0.000	Merged-chr13-119649440-22
NR2761--MA0768.1.LEF1	chrX	158939874	158939888	-	0.000	0.000	Merged-chrX-158939775-8
NR2748--MA0768.1.LEF1	chrX	100789426	100789440	-	0.000	0.000	Merged-chrX-100789555-32
NR1215--MA0768.1.LEF1	chr18	33056669	33056683	+	0.000	0.000	Merged-chr18-33056653-9
NR2408--MA0768.1.LEF1	chr7	112860101	112860115	-	0.000	0.000	Merged-chr7-112860209-23
NR220--MA0768.1.LEF1	chr10	13467072	13467086	+	0.000	0.000	Merged-chr10-13467057-15
NR1121--MA0768.1.LEF1	chr17	29552549	29552563	-	0.000	0.000	Merged-chr17-29552502-38
NR1448--MA0768.1.LEF1	chr2	60803054	60803068	+	0.000	0.000	Merged-chr2-60802993-21
NR2211--MA0768.1.LEF1	chr6	82921997	82922011	+	0.000	0.000	Merged-chr6-82922037-57
NR453--MA0768.1.LEF1	chr11	111056295	111056309	+	0.000	0.000	Merged-chr11-111056370-11
NR78--MA0768.1.LEF1	chr1	91626304	91626318	-	0.000	0.000	Merged-chr1-91626193-21
NR2323--MA0768.1.LEF1	chr6	146960237	146960251	-	0.000	0.000	Merged-chr6-146960171-26
NR565--MA0768.1.LEF1	chr12	105538381	105538395	+	0.000	0.000	Merged-chr12-105538395-6
NR207--MA0768.1.LEF1	chr1	191486650	191486664	-	0.000	0.000	Merged-chr1-191486758-12
NR1578--MA0768.1.LEF1	chr2	139925146	139925160	+	0.000	0.000	Merged-chr2-139925145-30
NR2341--MA0768.1.LEF1	chr7	24468100	24468114	-	0.000	0.000	Merged-chr7-24468111-23
NR1023--MA0768.1.LEF1	chr16	44735811	44735825	+	0.000	0.000	Merged-chr16-44735956-40
NR261--MA0768.1.LEF1	chr10	54255357	54255371	+	0.000	0.000	Merged-chr10-54255218-57
NR1153--MA0768.1.LEF1	chr17	63404156	63404170	-	0.000	0.000	Merged-chr17-63404255-16
NR2131--MA0768.1.LEF1	chr5	146287347	146287361	-	0.000	0.000	Merged-chr5-146287302-17
NR239--MA0768.1.LEF1	chr10	25387443	25387457	-	0.000	0.000	Merged-chr10-25387454-21
NR1158--MA0768.1.LEF1	chr17	70702359	70702373	+	0.000	0.000	Merged-chr17-70702396-15
NR830--MA0768.1.LEF1	chr14	79234664	79234678	+	0.000	0.000	Merged-chr14-79234697-12
NR2248--MA0768.1.LEF1	chr6	103565084	103565098	+	0.000	0.000	Merged-chr6-103565102-16
NR2700--MA0768.1.LEF1	chr9	112175259	112175273	+	0.000	0.000	Merged-chr9-112175419-1
NR2145--MA0768.1.LEF1	chr6	6189130	6189144	-	0.000	0.000	Merged-chr6-6189088-9
NR1503--MA0768.1.LEF1	chr2	102312968	102312982	+	0.000	0.000	Merged-chr2-102313063-19
NR2378--MA0768.1.LEF1	chr7	82715863	82715877	+	0.000	0.000	Merged-chr7-82715837-23
NR2163--MA0768.1.LEF1	chr6	34364727	34364741	+	0.000	0.000	Merged-chr6-34364838-25
NR929--MA0768.1.LEF1	chr15	61423138	61423152	+	0.000	0.000	Merged-chr15-61423219-20
NR1727--MA0768.1.LEF1	chr3	103640394	103640408	-	0.000	0.000	Merged-chr3-103640406-6
NR947--MA0768.1.LEF1	chr15	79729194	79729208	+	0.000	0.000	Merged-chr15-79729133-34
NR1991--MA0768.1.LEF1	chr5	23610872	23610886	+	0.000	0.000	Merged-chr5-23610857-14
NR1633--MA0768.1.LEF1	chr2	174612772	174612786	-	0.000	0.000	Merged-chr2-174612913-27
NR844--MA0768.1.LEF1	chr14	103017268	103017282	-	0.000	0.000	Merged-chr14-103017290-44
NR2723--MA0768.1.LEF1	chr9	122399007	122399021	-	0.000	0.000	Merged-chr9-122399009-31
NR1651--MA0768.1.LEF1	chr3	37174957	37174971	+	0.000	0.000	Merged-chr3-37174845-28
NR2065--MA0768.1.LEF1	chr5	96254008	96254022	-	0.000	0.000	Merged-chr5-96254113-8
NR983--MA0768.1.LEF1	chr16	10399303	10399317	-	0.000	0.000	Merged-chr16-10399279-20
NR2083--MA0768.1.LEF1	chr5	103459330	103459344	-	0.000	0.000	Merged-chr5-103459309-20
NR1768--MA0768.1.LEF1	chr3	135324655	135324669	+	0.000	0.000	Merged-chr3-135324604-5
NR764--MA0768.1.LEF1	chr14	21078675	21078689	-	0.000	0.000	Merged-chr14-21078723-20
NR885--MA0768.1.LEF1	chr15	10447302	10447316	+	0.000	0.000	Merged-chr15-10447359-14
NR518--MA0768.1.LEF1	chr12	69825402	69825416	-	0.000	0.000	Merged-chr12-69825253-21
NR1213--MA0768.1.LEF1	chr18	32543342	32543356	-	0.000	0.000	Merged-chr18-32543284-47
NR80--MA0768.1.LEF1	chr1	94025609	94025623	+	0.000	0.000	Merged-chr1-94025615-17
NR639--MA0768.1.LEF1	chr13	51712202	51712216	-	0.000	0.000	Merged-chr13-51712212-27
NR2639--MA0768.1.LEF1	chr9	70584885	70584899	-	0.000	0.000	Merged-chr9-70584670-22
NR1361--MA0768.1.LEF1	chr19	55792728	55792742	-	0.000	0.000	Merged-chr19-55792789-50
NR2330--MA0768.1.LEF1	chr6	148934689	148934703	+	0.000	0.000	Merged-chr6-148934708-2
NR899--MA0768.1.LEF1	chr15	35917965	35917979	+	0.000	0.000	Merged-chr15-35918069-6
NR2675--MA0768.1.LEF1	chr9	92218022	92218036	+	0.000	0.000	Merged-chr9-92217904-40
NR1245--MA0768.1.LEF1	chr18	60502488	60502502	-	0.000	0.000	Merged-chr18-60502470-34
NR250--MA0768.1.LEF1	chr10	44444529	44444543	+	0.000	0.000	Merged-chr10-44444573-2
NR456--MA0768.1.LEF1	chr11	113206356	113206370	+	0.000	0.000	Merged-chr11-113206318-17
NR362--MA0768.1.LEF1	chr10	122604119	122604133	+	0.000	0.000	Merged-chr10-122604110-13
NR1478--MA0768.1.LEF1	chr2	74887203	74887217	-	0.000	0.000	Merged-chr2-74887240-10
NR492--MA0768.1.LEF1	chr12	39649176	39649190	-	0.000	0.000	Merged-chr12-39649191-14
NR349--MA0768.1.LEF1	chr10	117377575	117377589	-	0.000	0.000	Merged-chr10-117377577-5
NR134--MA0768.1.LEF1	chr1	143749789	143749803	+	0.000	0.000	Merged-chr1-143749938-18
NR2595--MA0768.1.LEF1	chr9	32592065	32592079	-	0.000	0.000	Merged-chr9-32592064-58
NR2040--MA0768.1.LEF1	chr5	74471130	74471144	-	0.000	0.000	Merged-chr5-74471085-11
NR806--MA0768.1.LEF1	chr14	61773199	61773213	+	0.000	0.000	Merged-chr14-61773241-2
NR1183--MA0768.1.LEF1	chr17	85023791	85023805	+	0.000	0.000	Merged-chr17-85023702-53
NR394--MA0768.1.LEF1	chr11	46399251	46399265	+	0.000	0.000	Merged-chr11-46399258-50
NR1819--MA0768.1.LEF1	chr4	7455298	7455312	+	0.000	0.000	Merged-chr4-7455242-36
NR1510--MA0768.1.LEF1	chr2	104459121	104459135	+	0.000	0.000	Merged-chr2-104459041-25
NR2385--MA0768.1.LEF1	chr7	89712886	89712900	+	0.000	0.000	Merged-chr7-89712844-48
NR2027--MA0768.1.LEF1	chr5	63767926	63767940	+	0.000	0.000	Merged-chr5-63767981-25
NR2600--MA0768.1.LEF1	chr9	35007272	35007286	+	0.000	0.000	Merged-chr9-35007274-11
NR1067--MA0768.1.LEF1	chr16	87700039	87700053	-	0.000	0.000	Merged-chr16-87700097-27
NR1743--MA0768.1.LEF1	chr3	115933844	115933858	-	0.000	0.000	Merged-chr3-115933714-29
NR1967--MA0768.1.LEF1	chr4	152190027	152190041	-	0.000	0.000	Merged-chr4-152190053-24
NR1752--MA0768.1.LEF1	chr3	123178426	123178440	-	0.000	0.000	Merged-chr3-123178392-7
NR1197--MA0768.1.LEF1	chr18	5816632	5816646	+	0.000	0.000	Merged-chr18-5816511-9
NR24--MA0768.1.LEF1	chr1	40847735	40847749	-	0.000	0.000	Merged-chr1-40847809-27
NR726--MA0768.1.LEF1	chr13	114086609	114086623	-	0.000	0.000	Merged-chr13-114086496-8
NR990--MA0768.1.LEF1	chr16	18460035	18460049	-	0.000	0.000	Merged-chr16-18460092-61
NR1891--MA0768.1.LEF1	chr4	88237059	88237073	-	0.000	0.000	Merged-chr4-88237071-4
NR1645--MA0768.1.LEF1	chr3	21995859	21995873	+	0.000	0.000	Merged-chr3-21996009-51
