#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Maf/DKO_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_Bcl6KO_Th1-pval-0.1_up.bed
NR11811--MA0659.1.MAFG	chr9	14248437	14248457	+	0.000	0.000	Merged-chr9-14248366-20
NR178--MA0501.1.MAF::NFE2	chr1	55196488	55196502	+	0.000	0.000	Merged-chr1-55196547-23
NR12120--MA0495.2.MAFF	chr9	83564270	83564290	+	0.000	0.000	Merged-chr9-83564254-44
NR5377--MA0089.1.MAFG::NFE2L1	chr17	72822227	72822232	+	0.000	0.000	Merged-chr17-72822157-16
NR5511--MA0501.1.MAF::NFE2	chr17	88213816	88213830	-	0.000	0.000	Merged-chr17-88213709-19
NR6393--MA0089.1.MAFG::NFE2L1	chr2	25620598	25620603	+	0.000	0.000	Merged-chr2-25620603-21
NR359--MA0495.2.MAFF	chr1	92119341	92119361	+	0.000	0.000	Merged-chr1-92119439-48
NR2361--MA0089.1.MAFG::NFE2L1	chr11	113174285	113174290	-	0.000	0.000	Merged-chr11-113174221-33
NR6198--MA0501.1.MAF::NFE2	chr19	53760490	53760504	+	0.000	0.000	Merged-chr19-53760542-10
NR2916--MA0591.1.Bach1::Mafk	chr12	112449503	112449517	-	0.000	0.000	Merged-chr12-112449427-68
NR12122--MA0591.1.Bach1::Mafk	chr9	83564273	83564287	+	0.000	0.000	Merged-chr9-83564254-44
NR4968--MA0496.2.MAFK	chr16	91545686	91545704	+	0.000	0.000	Merged-chr16-91545855-29
NR12243--MA0117.2.Mafb	chr9	106234135	106234146	+	0.000	0.000	Merged-chr9-106234085-16
NR4666--MA0659.1.MAFG	chr16	22794955	22794975	+	0.000	0.000	Merged-chr16-22794765-7
NR1972--MA0495.2.MAFF	chr11	61564180	61564200	+	0.000	0.000	Merged-chr11-61564144-31
NR9177--MA0501.1.MAF::NFE2	chr5	92373330	92373344	-	0.000	0.000	Merged-chr5-92373310-21
NR4433--MA0117.2.Mafb	chr15	81308188	81308199	+	0.000	0.000	Merged-chr15-81308219-24
NR11810--MA0591.1.Bach1::Mafk	chr9	14248440	14248454	-	0.000	0.000	Merged-chr9-14248366-20
NR4691--MA0495.2.MAFF	chr16	24854663	24854683	-	0.000	0.000	Merged-chr16-24854563-13
NR107--MA0089.1.MAFG::NFE2L1	chr1	38557862	38557867	+	0.000	0.000	Merged-chr1-38557840-50
NR3724--MA0501.1.MAF::NFE2	chr14	26919463	26919477	+	0.000	0.000	Merged-chr14-26919575-5
NR843--MA0495.2.MAFF	chr1	182100628	182100648	-	0.000	0.000	Merged-chr1-182100503-13
NR6910--MA0501.1.MAF::NFE2	chr2	122020597	122020611	+	0.000	0.000	Merged-chr2-122020740-8
NR828--MA0591.1.Bach1::Mafk	chr1	181299467	181299481	+	0.000	0.000	Merged-chr1-181299360-30
NR7641--MA0501.1.MAF::NFE2	chr3	84595486	84595500	+	0.000	0.000	Merged-chr3-84595329-34
NR845--MA0659.1.MAFG	chr1	182100628	182100648	-	0.000	0.000	Merged-chr1-182100503-13
NR7920--MA0496.2.MAFK	chr3	133626799	133626817	+	0.000	0.000	Merged-chr3-133626779-42
NR9056--MA0591.1.Bach1::Mafk	chr5	62816022	62816036	+	0.000	0.000	Merged-chr5-62815867-48
NR11814--MA0496.2.MAFK	chr9	14248438	14248456	+	0.000	0.000	Merged-chr9-14248366-20
NR6691--MA0089.1.MAFG::NFE2L1	chr2	91835340	91835345	+	0.000	0.000	Merged-chr2-91835374-51
NR12351--MA0089.1.MAFG::NFE2L1	chr9	118361144	118361149	-	0.000	0.000	Merged-chr9-118361138-26
NR6208--MA0591.1.Bach1::Mafk	chr19	55401797	55401811	+	0.000	0.000	Merged-chr19-55401887-30
NR8978--MA0089.1.MAFG::NFE2L1	chr5	30240764	30240769	-	0.000	0.000	Merged-chr5-30240775-35
NR4174--MA0501.1.MAF::NFE2	chr15	28081382	28081396	+	0.000	0.000	Merged-chr15-28081319-36
NR8339--MA0496.2.MAFK	chr4	88079189	88079207	-	0.000	0.000	Merged-chr4-88079193-33
NR2570--MA0089.1.MAFG::NFE2L1	chr12	28829700	28829705	-	0.000	0.000	Merged-chr12-28829718-31
NR9123--MA0591.1.Bach1::Mafk	chr5	86783382	86783396	-	0.000	0.000	Merged-chr5-86783243-43
NR10897--MA0117.2.Mafb	chr7	112239002	112239013	-	0.000	0.000	Merged-chr7-112238810-51
NR6792--MA0591.1.Bach1::Mafk	chr2	114059831	114059845	+	0.000	0.000	Merged-chr2-114059851-34
NR9512--MA0501.1.MAF::NFE2	chr5	147063447	147063461	-	0.000	0.000	Merged-chr5-147063758-85
NR362--MA0591.1.Bach1::Mafk	chr1	92119344	92119358	+	0.000	0.000	Merged-chr1-92119439-48
NR6801--MA0089.1.MAFG::NFE2L1	chr2	115610676	115610681	+	0.000	0.000	Merged-chr2-115610633-33
NR7470--MA0591.1.Bach1::Mafk	chr3	9151718	9151732	+	0.000	0.000	Merged-chr3-9151770-9
NR4665--MA0591.1.Bach1::Mafk	chr16	22794958	22794972	-	0.000	0.000	Merged-chr16-22794765-7
NR2044--MA0591.1.Bach1::Mafk	chr11	71230852	71230866	+	0.000	0.000	Merged-chr11-71230864-28
NR2091--MA0496.2.MAFK	chr11	75878753	75878771	-	0.000	0.000	Merged-chr11-75878686-10
NR9170--MA0495.2.MAFF	chr5	92353778	92353798	+	0.000	0.000	Merged-chr5-92353751-46
NR3248--MA0089.1.MAFG::NFE2L1	chr13	49270739	49270744	+	0.000	0.000	Merged-chr13-49270675-31
NR4622--MA0591.1.Bach1::Mafk	chr16	14350969	14350983	-	0.000	0.000	Merged-chr16-14350919-24
NR2419--MA0089.1.MAFG::NFE2L1	chr11	117092971	117092976	-	0.000	0.000	Merged-chr11-117092893-43
NR4640--MA0089.1.MAFG::NFE2L1	chr16	18377403	18377408	-	0.000	0.000	Merged-chr16-18377300-20
NR7159--MA0501.1.MAF::NFE2	chr2	150918954	150918968	+	0.000	0.000	Merged-chr2-150918832-31
NR6317--MA0501.1.MAF::NFE2	chr2	8870192	8870206	-	0.000	0.000	Merged-chr2-8870300-9
NR1217--MA0495.2.MAFF	chr10	53348580	53348600	+	0.000	0.000	Merged-chr10-53348557-41
NR5665--MA0591.1.Bach1::Mafk	chr18	39657176	39657190	+	0.000	0.000	Merged-chr18-39657147-8
NR9511--MA0089.1.MAFG::NFE2L1	chr5	147063457	147063462	-	0.000	0.000	Merged-chr5-147063758-85
NR4967--MA0591.1.Bach1::Mafk	chr16	91545688	91545702	+	0.000	0.000	Merged-chr16-91545855-29
NR7814--MA0591.1.Bach1::Mafk	chr3	109165417	109165431	-	0.000	0.000	Merged-chr3-109165436-34
NR4259--MA0591.1.Bach1::Mafk	chr15	53400150	53400164	-	0.000	0.000	Merged-chr15-53400350-16
NR12189--MA0496.2.MAFK	chr9	93131712	93131730	+	0.000	0.000	Merged-chr9-93131866-17
NR10211--MA0089.1.MAFG::NFE2L1	chr6	134148219	134148224	+	0.000	0.000	Merged-chr6-134148194-39
NR6636--MA0089.1.MAFG::NFE2L1	chr2	76421649	76421654	-	0.000	0.000	Merged-chr2-76421582-29
NR9732--MA0117.2.Mafb	chr6	53498097	53498108	-	0.000	0.000	Merged-chr6-53498072-40
NR414--MA0089.1.MAFG::NFE2L1	chr1	106515788	106515793	+	0.000	0.000	Merged-chr1-106515798-55
NR6404--MA0501.1.MAF::NFE2	chr2	28540201	28540215	+	0.000	0.000	Merged-chr2-28540150-39
NR3533--MA0089.1.MAFG::NFE2L1	chr13	108100867	108100872	+	0.000	0.000	Merged-chr13-108100820-31
NR9385--MA0501.1.MAF::NFE2	chr5	122288691	122288705	+	0.000	0.000	Merged-chr5-122288620-47
NR6479--MA0495.2.MAFF	chr2	38548156	38548176	+	0.000	0.000	Merged-chr2-38548313-22
NR9175--MA0496.2.MAFK	chr5	92353779	92353797	+	0.000	0.000	Merged-chr5-92353751-46
NR2045--MA0501.1.MAF::NFE2	chr11	71230855	71230869	+	0.000	0.000	Merged-chr11-71230864-28
NR2804--MA0089.1.MAFG::NFE2L1	chr12	99610497	99610502	+	0.000	0.000	Merged-chr12-99610571-42
NR10887--MA0591.1.Bach1::Mafk	chr7	110824142	110824156	-	0.000	0.000	Merged-chr7-110824322-44
NR9837--MA0089.1.MAFG::NFE2L1	chr6	73210625	73210630	+	0.000	0.000	Merged-chr6-73210689-51
NR5666--MA0501.1.MAF::NFE2	chr18	39657179	39657193	+	0.000	0.000	Merged-chr18-39657147-8
NR9780--MA0495.2.MAFF	chr6	65765317	65765337	+	0.000	0.000	Merged-chr6-65765316-29
NR9057--MA0089.1.MAFG::NFE2L1	chr5	62858651	62858656	+	0.000	0.000	Merged-chr5-62858471-55
NR3725--MA0501.1.MAF::NFE2	chr14	26919493	26919507	+	0.000	0.000	Merged-chr14-26919575-5
NR3531--MA0089.1.MAFG::NFE2L1	chr13	107967029	107967034	+	0.000	0.000	Merged-chr13-107967058-4
NR4783--MA0495.2.MAFF	chr16	45310575	45310595	-	0.000	0.000	Merged-chr16-45310615-7
NR11599--MA0117.2.Mafb	chr8	117299269	117299280	+	0.000	0.000	Merged-chr8-117299202-13
NR4688--MA0089.1.MAFG::NFE2L1	chr16	24539237	24539242	+	0.000	0.000	Merged-chr16-24539202-40
NR11808--MA0495.2.MAFF	chr9	14248437	14248457	-	0.000	0.000	Merged-chr9-14248366-20
NR10348--MA0089.1.MAFG::NFE2L1	chr6	145374520	145374525	-	0.000	0.000	Merged-chr6-145374595-4
NR12003--MA0089.1.MAFG::NFE2L1	chr9	63133597	63133602	+	0.000	0.000	Merged-chr9-63133405-2
NR9947--MA0591.1.Bach1::Mafk	chr6	99498105	99498119	+	0.000	0.000	Merged-chr6-99498294-17
NR3187--MA0501.1.MAF::NFE2	chr13	42113899	42113913	-	0.000	0.000	Merged-chr13-42113906-29
NR8151--MA0501.1.MAF::NFE2	chr4	19311162	19311176	+	0.000	0.000	Merged-chr4-19311302-15
NR8370--MA0117.2.Mafb	chr4	89350396	89350407	+	0.000	0.000	Merged-chr4-89350457-2
NR6947--MA0089.1.MAFG::NFE2L1	chr2	128372394	128372399	-	0.000	0.000	Merged-chr2-128372488-21
NR9798--MA0591.1.Bach1::Mafk	chr6	67668303	67668317	-	0.000	0.000	Merged-chr6-67668321-12
NR349--MA0089.1.MAFG::NFE2L1	chr1	90739103	90739108	+	0.000	0.000	Merged-chr1-90739110-18
NR6114--MA0501.1.MAF::NFE2	chr19	34505418	34505432	-	0.000	0.000	Merged-chr19-34505331-35
NR3076--MA0501.1.MAF::NFE2	chr13	13582231	13582245	+	0.000	0.000	Merged-chr13-13582107-29
NR1439--MA0591.1.Bach1::Mafk	chr10	89589889	89589903	-	0.000	0.000	Merged-chr10-89590018-36
NR2990--MA0089.1.MAFG::NFE2L1	chr12	116140770	116140775	+	0.000	0.000	Merged-chr12-116140817-28
NR6793--MA0501.1.MAF::NFE2	chr2	114059834	114059848	+	0.000	0.000	Merged-chr2-114059851-34
NR4975--MA0089.1.MAFG::NFE2L1	chr16	92744079	92744084	+	0.000	0.000	Merged-chr16-92743989-33
NR1987--MA0089.1.MAFG::NFE2L1	chr11	63873441	63873446	-	0.000	0.000	Merged-chr11-63873500-16
NR11967--MA0659.1.MAFG	chr9	61187130	61187150	-	0.000	0.000	Merged-chr9-61187199-16
NR12397--MA0495.2.MAFF	chr9	123740893	123740913	-	0.000	0.000	Merged-chr9-123740966-33
NR6481--MA0591.1.Bach1::Mafk	chr2	38548159	38548173	+	0.000	0.000	Merged-chr2-38548313-22
NR10344--MA0089.1.MAFG::NFE2L1	chr6	145256833	145256838	-	0.000	0.000	Merged-chr6-145256997-16
NR5510--MA0089.1.MAFG::NFE2L1	chr17	88213608	88213613	+	0.000	0.000	Merged-chr17-88213709-19
NR7004--MA0089.1.MAFG::NFE2L1	chr2	135891302	135891307	+	0.000	0.000	Merged-chr2-135891354-60
NR8259--MA0501.1.MAF::NFE2	chr4	56944548	56944562	+	0.000	0.000	Merged-chr4-56944579-16
NR11593--MA0591.1.Bach1::Mafk	chr8	116689872	116689886	+	0.000	0.000	Merged-chr8-116689955-52
NR846--MA0496.2.MAFK	chr1	182100629	182100647	+	0.000	0.000	Merged-chr1-182100503-13
NR6318--MA0501.1.MAF::NFE2	chr2	8870268	8870282	+	0.000	0.000	Merged-chr2-8870300-9
NR5610--MA0089.1.MAFG::NFE2L1	chr18	23845166	23845171	+	0.000	0.000	Merged-chr18-23845063-50
NR11564--MA0501.1.MAF::NFE2	chr8	113656298	113656312	+	0.000	0.000	Merged-chr8-113656358-52
NR7546--MA0591.1.Bach1::Mafk	chr3	37174728	37174742	+	0.000	0.000	Merged-chr3-37174845-28
NR7868--MA0591.1.Bach1::Mafk	chr3	123192156	123192170	+	0.000	0.000	Merged-chr3-123192207-28
NR4480--MA0089.1.MAFG::NFE2L1	chr15	91619520	91619525	-	0.000	0.000	Merged-chr15-91619613-11
NR11725--MA0501.1.MAF::NFE2	chr8	126686967	126686981	-	0.000	0.000	Merged-chr8-126687126-29
NR6723--MA0501.1.MAF::NFE2	chr2	101616049	101616063	+	0.000	0.000	Merged-chr2-101616143-32
NR1013--MA0089.1.MAFG::NFE2L1	chr10	4671392	4671397	-	0.000	0.000	Merged-chr10-4671393-20
NR7870--MA0496.2.MAFK	chr3	123192154	123192172	+	0.000	0.000	Merged-chr3-123192207-28
NR6612--MA0501.1.MAF::NFE2	chr2	70920183	70920197	+	0.000	0.000	Merged-chr2-70920097-22
NR892--MA0591.1.Bach1::Mafk	chr1	184751389	184751403	-	0.000	0.000	Merged-chr1-184751461-18
NR184--MA0591.1.Bach1::Mafk	chr1	58029745	58029759	+	0.000	0.000	Merged-chr1-58029750-23
NR6107--MA0659.1.MAFG	chr19	33429569	33429589	+	0.000	0.000	Merged-chr19-33429713-40
NR2268--MA0501.1.MAF::NFE2	chr11	101697341	101697355	-	0.000	0.000	Merged-chr11-101697250-12
NR7087--MA0496.2.MAFK	chr2	145804908	145804926	-	0.000	0.000	Merged-chr2-145804796-32
NR10484--MA0117.2.Mafb	chr7	19819198	19819209	-	0.000	0.000	Merged-chr7-19819165-4
NR12123--MA0501.1.MAF::NFE2	chr9	83564276	83564290	+	0.000	0.000	Merged-chr9-83564254-44
NR4395--MA0496.2.MAFK	chr15	73627475	73627493	-	0.000	0.000	Merged-chr15-73627530-51
NR6650--MA0089.1.MAFG::NFE2L1	chr2	79698315	79698320	+	0.000	0.000	Merged-chr2-79698404-21
NR8176--MA0501.1.MAF::NFE2	chr4	32405326	32405340	-	0.000	0.000	Merged-chr4-32405236-4
NR11929--MA0501.1.MAF::NFE2	chr9	55410493	55410507	+	0.000	0.000	Merged-chr9-55410514-19
NR7100--MA0089.1.MAFG::NFE2L1	chr2	146517123	146517128	+	0.000	0.000	Merged-chr2-146517219-24
NR1639--MA0501.1.MAF::NFE2	chr10	121494133	121494147	-	0.000	0.000	Merged-chr10-121494014-41
NR4946--MA0496.2.MAFK	chr16	89974506	89974524	-	0.000	0.000	Merged-chr16-89974505-28
NR9677--MA0089.1.MAFG::NFE2L1	chr6	38809661	38809666	-	0.000	0.000	Merged-chr6-38809579-1
NR11812--MA0659.1.MAFG	chr9	14248437	14248457	-	0.000	0.000	Merged-chr9-14248366-20
NR113--MA0496.2.MAFK	chr1	39196873	39196891	+	0.000	0.000	Merged-chr1-39196974-45
NR12121--MA0495.2.MAFF	chr9	83564270	83564290	-	0.000	0.000	Merged-chr9-83564254-44
NR2556--MA0496.2.MAFK	chr12	25851736	25851754	+	0.000	0.000	Merged-chr12-25851772-17
NR599--MA0117.2.Mafb	chr1	151465705	151465716	-	0.000	0.000	Merged-chr1-151465762-7
NR4404--MA0591.1.Bach1::Mafk	chr15	76190366	76190380	+	0.000	0.000	Merged-chr15-76190238-30
NR2136--MA0495.2.MAFF	chr11	83828747	83828767	-	0.000	0.000	Merged-chr11-83828814-21
NR3195--MA0089.1.MAFG::NFE2L1	chr13	43788990	43788995	-	0.000	0.000	Merged-chr13-43789112-65
NR12549--MA0089.1.MAFG::NFE2L1	chrX	140664955	140664960	-	0.000	0.000	Merged-chrX-140664923-33
NR4969--MA0496.2.MAFK	chr16	91545686	91545704	-	0.000	0.000	Merged-chr16-91545855-29
NR2140--MA0496.2.MAFK	chr11	83828748	83828766	-	0.000	0.000	Merged-chr11-83828814-21
NR4667--MA0659.1.MAFG	chr16	22794955	22794975	-	0.000	0.000	Merged-chr16-22794765-7
NR6794--MA0501.1.MAF::NFE2	chr2	114059828	114059842	-	0.000	0.000	Merged-chr2-114059851-34
NR11965--MA0591.1.Bach1::Mafk	chr9	61187133	61187147	-	0.000	0.000	Merged-chr9-61187199-16
NR10362--MA0089.1.MAFG::NFE2L1	chr6	146185759	146185764	-	0.000	0.000	Merged-chr6-146185680-43
NR7576--MA0496.2.MAFK	chr3	55419475	55419493	-	0.000	0.000	Merged-chr3-55419547-37
NR1491--MA0501.1.MAF::NFE2	chr10	95998134	95998148	+	0.000	0.000	Merged-chr10-95998321-17
NR11027--MA0089.1.MAFG::NFE2L1	chr7	125511602	125511607	-	0.000	0.000	Merged-chr7-125511628-40
NR5670--MA0495.2.MAFF	chr18	39877921	39877941	-	0.000	0.000	Merged-chr18-39877975-43
NR11574--MA0501.1.MAF::NFE2	chr8	115227110	115227124	+	0.000	0.000	Merged-chr8-115227272-68
NR8368--MA0089.1.MAFG::NFE2L1	chr4	89178073	89178078	+	0.000	0.000	Merged-chr4-89178152-23
NR7162--MA0117.2.Mafb	chr2	151944386	151944397	-	0.000	0.000	Merged-chr2-151944383-43
NR11411--MA0501.1.MAF::NFE2	chr8	79679128	79679142	+	0.000	0.000	Merged-chr8-79679083-33
NR7626--MA0089.1.MAFG::NFE2L1	chr3	79336218	79336223	-	0.000	0.000	Merged-chr3-79336264-23
NR7222--MA0089.1.MAFG::NFE2L1	chr2	158160169	158160174	+	0.000	0.000	Merged-chr2-158160127-37
NR9207--MA0089.1.MAFG::NFE2L1	chr5	96879054	96879059	-	0.000	0.000	Merged-chr5-96879087-37
NR6508--MA0089.1.MAFG::NFE2L1	chr2	48322594	48322599	-	0.000	0.000	Merged-chr2-48322438-54
NR11815--MA0496.2.MAFK	chr9	14248438	14248456	-	0.000	0.000	Merged-chr9-14248366-20
NR4173--MA0591.1.Bach1::Mafk	chr15	28081379	28081393	+	0.000	0.000	Merged-chr15-28081319-36
NR1622--MA0089.1.MAFG::NFE2L1	chr10	118766320	118766325	+	0.000	0.000	Merged-chr10-118766153-45
NR3196--MA0591.1.Bach1::Mafk	chr13	44507141	44507155	+	0.000	0.000	Merged-chr13-44507226-54
NR4786--MA0496.2.MAFK	chr16	45310576	45310594	+	0.000	0.000	Merged-chr16-45310615-7
NR11883--MA0591.1.Bach1::Mafk	chr9	44510603	44510617	-	0.000	0.000	Merged-chr9-44510535-66
NR2903--MA0501.1.MAF::NFE2	chr12	110389664	110389678	-	0.000	0.000	Merged-chr12-110389691-32
NR10768--MA0117.2.Mafb	chr7	92420824	92420835	-	0.000	0.000	Merged-chr7-92420666-38
NR2992--MA0495.2.MAFF	chr12	116315653	116315673	+	0.000	0.000	Merged-chr12-116315725-53
NR676--MA0089.1.MAFG::NFE2L1	chr1	161436811	161436816	-	0.000	0.000	Merged-chr1-161436721-21
NR4689--MA0501.1.MAF::NFE2	chr16	24828452	24828466	-	0.000	0.000	Merged-chr16-24828599-16
NR2079--MA0495.2.MAFF	chr11	74973439	74973459	+	0.000	0.000	Merged-chr11-74973432-13
NR277--MA0501.1.MAF::NFE2	chr1	80321300	80321314	-	0.000	0.000	Merged-chr1-80321528-19
NR6015--MA0089.1.MAFG::NFE2L1	chr19	14534417	14534422	-	0.000	0.000	Merged-chr19-14534548-20
NR11791--MA0089.1.MAFG::NFE2L1	chr9	7510032	7510037	+	0.000	0.000	Merged-chr9-7510063-49
NR10213--MA0117.2.Mafb	chr6	134348651	134348662	-	0.000	0.000	Merged-chr6-134348726-53
NR4144--MA0117.2.Mafb	chr15	8616120	8616131	-	0.000	0.000	Merged-chr15-8616259-27
NR5678--MA0089.1.MAFG::NFE2L1	chr18	41979645	41979650	+	0.000	0.000	Merged-chr18-41979653-39
NR4634--MA0089.1.MAFG::NFE2L1	chr16	17024650	17024655	-	0.000	0.000	Merged-chr16-17024705-22
NR12052--MA0089.1.MAFG::NFE2L1	chr9	70310163	70310168	+	0.000	0.000	Merged-chr9-70310142-32
NR11968--MA0496.2.MAFK	chr9	61187131	61187149	+	0.000	0.000	Merged-chr9-61187199-16
NR963--MA0089.1.MAFG::NFE2L1	chr1	191259313	191259318	-	0.000	0.000	Merged-chr1-191259374-46
NR9171--MA0495.2.MAFF	chr5	92353778	92353798	-	0.000	0.000	Merged-chr5-92353751-46
NR6103--MA0495.2.MAFF	chr19	33429569	33429589	+	0.000	0.000	Merged-chr19-33429713-40
NR11813--MA0501.1.MAF::NFE2	chr9	14248437	14248451	-	0.000	0.000	Merged-chr9-14248366-20
NR475--MA0501.1.MAF::NFE2	chr1	127320080	127320094	+	0.000	0.000	Merged-chr1-127320105-13
NR8731--MA0591.1.Bach1::Mafk	chr4	144996074	144996088	-	0.000	0.000	Merged-chr4-144996009-47
NR111--MA0495.2.MAFF	chr1	39196872	39196892	+	0.000	0.000	Merged-chr1-39196974-45
NR8177--MA0501.1.MAF::NFE2	chr4	32424392	32424406	-	0.000	0.000	Merged-chr4-32424256-17
NR7157--MA0089.1.MAFG::NFE2L1	chr2	150918921	150918926	+	0.000	0.000	Merged-chr2-150918832-31
NR603--MA0591.1.Bach1::Mafk	chr1	152038378	152038392	+	0.000	0.000	Merged-chr1-152038311-34
NR8066--MA0501.1.MAF::NFE2	chr3	152800796	152800810	-	0.000	0.000	Merged-chr3-152800764-1
NR2486--MA0089.1.MAFG::NFE2L1	chr12	3846299	3846304	-	0.000	0.000	Merged-chr12-3846265-11
NR5776--MA0089.1.MAFG::NFE2L1	chr18	64913497	64913502	+	0.000	0.000	Merged-chr18-64913437-34
NR9301--MA0089.1.MAFG::NFE2L1	chr5	107754956	107754961	-	0.000	0.000	Merged-chr5-107754930-37
NR8091--MA0591.1.Bach1::Mafk	chr3	155235653	155235667	+	0.000	0.000	Merged-chr3-155235663-12
NR820--MA0591.1.Bach1::Mafk	chr1	181157219	181157233	-	0.000	0.000	Merged-chr1-181157308-13
NR364--MA0659.1.MAFG	chr1	92119341	92119361	+	0.000	0.000	Merged-chr1-92119439-48
NR5789--MA0089.1.MAFG::NFE2L1	chr18	67255730	67255735	-	0.000	0.000	Merged-chr18-67255745-40
NR6305--MA0591.1.Bach1::Mafk	chr2	3925275	3925289	+	0.000	0.000	Merged-chr2-3925386-29
NR5286--MA0591.1.Bach1::Mafk	chr17	47171428	47171442	+	0.000	0.000	Merged-chr17-47171280-54
NR987--MA0089.1.MAFG::NFE2L1	chr1	193102918	193102923	+	0.000	0.000	Merged-chr1-193102904-19
NR1020--MA0501.1.MAF::NFE2	chr10	7826314	7826328	-	0.000	0.000	Merged-chr10-7826287-40
NR9427--MA0089.1.MAFG::NFE2L1	chr5	134482411	134482416	-	0.000	0.000	Merged-chr5-134482403-23
NR821--MA0659.1.MAFG	chr1	181157216	181157236	+	0.000	0.000	Merged-chr1-181157308-13
NR5019--MA0089.1.MAFG::NFE2L1	chr16	95809371	95809376	-	0.000	0.000	Merged-chr16-95809247-50
NR9514--MA0089.1.MAFG::NFE2L1	chr5	147448722	147448727	-	0.000	0.000	Merged-chr5-147448805-80
NR8333--MA0495.2.MAFF	chr4	88079188	88079208	+	0.000	0.000	Merged-chr4-88079193-33
NR9885--MA0501.1.MAF::NFE2	chr6	90422837	90422851	-	0.000	0.000	Merged-chr6-90422836-47
NR2597--MA0089.1.MAFG::NFE2L1	chr12	36241354	36241359	+	0.000	0.000	Merged-chr12-36241330-19
NR185--MA0501.1.MAF::NFE2	chr1	58029748	58029762	+	0.000	0.000	Merged-chr1-58029750-23
NR9781--MA0495.2.MAFF	chr6	65765317	65765337	-	0.000	0.000	Merged-chr6-65765316-29
NR3740--MA0501.1.MAF::NFE2	chr14	31367878	31367892	-	0.000	0.000	Merged-chr14-31367995-29
NR5092--MA0117.2.Mafb	chr17	8237581	8237592	-	0.000	0.000	Merged-chr17-8237581-7
NR7921--MA0117.2.Mafb	chr3	133760372	133760383	+	0.000	0.000	Merged-chr3-133760332-18
NR4690--MA0495.2.MAFF	chr16	24854663	24854683	+	0.000	0.000	Merged-chr16-24854563-13
NR12072--MA0089.1.MAFG::NFE2L1	chr9	75541823	75541828	-	0.000	0.000	Merged-chr9-75541698-38
NR5728--MA0117.2.Mafb	chr18	56547144	56547155	+	0.000	0.000	Merged-chr18-56547142-34
NR5483--MA0591.1.Bach1::Mafk	chr17	86206505	86206519	-	0.000	0.000	Merged-chr17-86206449-38
NR8335--MA0117.2.Mafb	chr4	88079197	88079208	-	0.000	0.000	Merged-chr4-88079193-33
NR6120--MA0089.1.MAFG::NFE2L1	chr19	36364984	36364989	-	0.000	0.000	Merged-chr19-36364955-22
NR1262--MA0089.1.MAFG::NFE2L1	chr10	61233192	61233197	+	0.000	0.000	Merged-chr10-61233317-40
NR8292--MA0501.1.MAF::NFE2	chr4	63899067	63899081	-	0.000	0.000	Merged-chr4-63899190-80
NR367--MA0496.2.MAFK	chr1	92119342	92119360	+	0.000	0.000	Merged-chr1-92119439-48
NR2418--MA0089.1.MAFG::NFE2L1	chr11	117092973	117092978	+	0.000	0.000	Merged-chr11-117092893-43
NR8973--MA0089.1.MAFG::NFE2L1	chr5	29205966	29205971	+	0.000	0.000	Merged-chr5-29205850-28
NR4692--MA0117.2.Mafb	chr16	24854672	24854683	-	0.000	0.000	Merged-chr16-24854563-13
NR8899--MA0089.1.MAFG::NFE2L1	chr5	10246074	10246079	-	0.000	0.000	Merged-chr5-10245943-14
NR5015--MA0089.1.MAFG::NFE2L1	chr16	95729025	95729030	-	0.000	0.000	Merged-chr16-95728966-56
NR12070--MA0089.1.MAFG::NFE2L1	chr9	75541761	75541766	-	0.000	0.000	Merged-chr9-75541698-38
NR12124--MA0496.2.MAFK	chr9	83564271	83564289	+	0.000	0.000	Merged-chr9-83564254-44
NR11465--MA0591.1.Bach1::Mafk	chr8	91545805	91545819	-	0.000	0.000	Merged-chr8-91545805-43
NR10903--MA0089.1.MAFG::NFE2L1	chr7	112679287	112679292	+	0.000	0.000	Merged-chr7-112679423-49
NR824--MA0496.2.MAFK	chr1	181157217	181157235	+	0.000	0.000	Merged-chr1-181157308-13
NR4576--MA0117.2.Mafb	chr15	102717591	102717602	-	0.000	0.000	Merged-chr15-102717579-4
NR5619--MA0089.1.MAFG::NFE2L1	chr18	32543299	32543304	-	0.000	0.000	Merged-chr18-32543284-47
NR4389--MA0089.1.MAFG::NFE2L1	chr15	73599728	73599733	-	0.000	0.000	Merged-chr15-73599756-21
NR1071--MA0089.1.MAFG::NFE2L1	chr10	21029361	21029366	-	0.000	0.000	Merged-chr10-21029256-16
NR6678--MA0591.1.Bach1::Mafk	chr2	85223660	85223674	+	0.000	0.000	Merged-chr2-85223588-7
NR10338--MA0591.1.Bach1::Mafk	chr6	144909755	144909769	-	0.000	0.000	Merged-chr6-144909826-5
NR4391--MA0495.2.MAFF	chr15	73627474	73627494	-	0.000	0.000	Merged-chr15-73627530-51
