#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/WT_Th1_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Th1_vs_WT_Th1-pval-0.1_up.bed
NR3617--MA1421.1.TCF7L1	chr3	138334344	138334355	-	0.000	0.000	Merged-chr3-138334424-50
NR1489--MA0769.1.Tcf7	chr13	45924789	45924800	+	0.000	0.000	Merged-chr13-45924771-59
NR515--MA0523.1.TCF7L2	chr10	26879379	26879392	+	0.000	0.000	Merged-chr10-26879299-36
NR1816--MA0769.1.Tcf7	chr14	64734721	64734732	-	0.000	0.000	Merged-chr14-64734579-23
NR2092--MA0523.1.TCF7L2	chr15	94255221	94255234	-	0.000	0.000	Merged-chr15-94255177-46
NR2024--MA0769.1.Tcf7	chr15	65810845	65810856	-	0.000	0.000	Merged-chr15-65810890-18
NR2328--MA1421.1.TCF7L1	chr16	95869617	95869628	+	0.000	0.000	Merged-chr16-95869616-44
NR502--MA0523.1.TCF7L2	chr10	19321923	19321936	+	0.000	0.000	Merged-chr10-19321944-43
NR2924--MA0769.1.Tcf7	chr2	26623143	26623154	+	0.000	0.000	Merged-chr2-26623162-26
NR2968--MA1421.1.TCF7L1	chr2	48322474	48322485	-	0.000	0.000	Merged-chr2-48322438-54
NR181--MA0769.1.Tcf7	chr1	105565176	105565187	-	0.000	0.000	Merged-chr1-105565114-33
NR3884--MA0523.1.TCF7L2	chr4	121002521	121002534	-	0.000	0.000	Merged-chr4-121002570-50
NR5589--MA0523.1.TCF7L2	chr9	107334462	107334475	-	0.000	0.000	Merged-chr9-107334469-86
NR2955--MA1421.1.TCF7L1	chr2	44345135	44345146	+	0.000	0.000	Merged-chr2-44345197-78
NR1245--MA1421.1.TCF7L1	chr12	79692327	79692338	+	0.000	0.000	Merged-chr12-79692424-46
NR4470--MA1421.1.TCF7L1	chr6	84617256	84617267	-	0.000	0.000	Merged-chr6-84617241-46
NR2349--MA1421.1.TCF7L1	chr17	5748002	5748013	-	0.000	0.000	Merged-chr17-5748141-46
NR35--MA0769.1.Tcf7	chr1	39895714	39895725	-	0.000	0.000	Merged-chr1-39895697-26
NR1775--MA0523.1.TCF7L2	chr14	46578262	46578275	+	0.000	0.000	Merged-chr14-46578431-37
NR1872--MA1421.1.TCF7L1	chr14	103017271	103017282	-	0.000	0.000	Merged-chr14-103017290-44
NR547--MA1421.1.TCF7L1	chr10	41620211	41620222	+	0.000	0.000	Merged-chr10-41620205-22
NR1423--MA0523.1.TCF7L2	chr13	5757565	5757578	-	0.000	0.000	Merged-chr13-5757363-53
NR2613--MA0523.1.TCF7L2	chr18	39049206	39049219	-	0.000	0.000	Merged-chr18-39049078-69
NR3686--MA0523.1.TCF7L2	chr3	152212097	152212110	-	0.000	0.000	Merged-chr3-152212044-45
NR34--MA0523.1.TCF7L2	chr1	39895712	39895725	-	0.000	0.000	Merged-chr1-39895697-26
NR424--MA0523.1.TCF7L2	chr1	184793766	184793779	-	0.000	0.000	Merged-chr1-184793551-66
NR5605--MA1421.1.TCF7L1	chr9	114613208	114613219	+	0.000	0.000	Merged-chr9-114613191-38
NR1831--MA0523.1.TCF7L2	chr14	70962241	70962254	-	0.000	0.000	Merged-chr14-70962142-29
NR2494--MA1421.1.TCF7L1	chr17	63356501	63356512	+	0.000	0.000	Merged-chr17-63356437-30
NR4996--MA0523.1.TCF7L2	chr7	125511553	125511566	+	0.000	0.000	Merged-chr7-125511628-40
NR4286--MA0769.1.Tcf7	chr5	134333003	134333014	-	0.000	0.000	Merged-chr5-134333065-45
NR4124--MA0523.1.TCF7L2	chr5	75662509	75662522	-	0.000	0.000	Merged-chr5-75662405-46
NR3370--MA1421.1.TCF7L1	chr3	38280379	38280390	-	0.000	0.000	Merged-chr3-38280395-39
NR230--MA0523.1.TCF7L2	chr1	133012416	133012429	-	0.000	0.000	Merged-chr1-133012523-20
NR4354--MA1421.1.TCF7L1	chr6	22340122	22340133	+	0.000	0.000	Merged-chr6-22340067-27
NR4186--MA1421.1.TCF7L1	chr5	98018288	98018299	+	0.000	0.000	Merged-chr5-98018284-53
NR4188--MA0769.1.Tcf7	chr5	98018288	98018299	+	0.000	0.000	Merged-chr5-98018284-53
NR504--MA1421.1.TCF7L1	chr10	21353635	21353646	-	0.000	0.000	Merged-chr10-21353510-2
NR1017--MA0769.1.Tcf7	chr11	100824191	100824202	-	0.000	0.000	Merged-chr11-100824336-61
NR2353--MA0769.1.Tcf7	chr17	5748010	5748021	-	0.000	0.000	Merged-chr17-5748141-46
NR2028--MA0523.1.TCF7L2	chr15	66998422	66998435	+	0.000	0.000	Merged-chr15-66998486-48
NR879--MA0523.1.TCF7L2	chr11	49722942	49722955	-	0.000	0.000	Merged-chr11-49723086-55
NR5062--MA1421.1.TCF7L1	chr7	140947313	140947324	-	0.000	0.000	Merged-chr7-140947277-49
NR367--MA0769.1.Tcf7	chr1	170853792	170853803	+	0.000	0.000	Merged-chr1-170853758-47
NR4388--MA1421.1.TCF7L1	chr6	41113489	41113500	+	0.000	0.000	Merged-chr6-41113305-59
NR2617--MA0523.1.TCF7L2	chr18	39877980	39877993	-	0.000	0.000	Merged-chr18-39877975-43
NR3630--MA0523.1.TCF7L2	chr3	142533252	142533265	-	0.000	0.000	Merged-chr3-142533345-44
NR2186--MA0523.1.TCF7L2	chr16	33053357	33053370	-	0.000	0.000	Merged-chr16-33053250-22
NR2002--MA0523.1.TCF7L2	chr15	59805125	59805138	-	0.000	0.000	Merged-chr15-59805045-21
NR4547--MA0769.1.Tcf7	chr6	108836142	108836153	-	0.000	0.000	Merged-chr6-108836247-72
NR4300--MA0523.1.TCF7L2	chr5	143630878	143630891	-	0.000	0.000	Merged-chr5-143630947-39
NR1076--MA0769.1.Tcf7	chr11	111065058	111065069	+	0.000	0.000	Merged-chr11-111065000-37
NR5541--MA0523.1.TCF7L2	chr9	92218022	92218035	+	0.000	0.000	Merged-chr9-92217904-40
NR3230--MA0523.1.TCF7L2	chr2	150578759	150578772	-	0.000	0.000	Merged-chr2-150578789-44
NR4699--MA0523.1.TCF7L2	chr6	146081207	146081220	+	0.000	0.000	Merged-chr6-146081045-99
NR4471--MA0523.1.TCF7L2	chr6	84617254	84617267	-	0.000	0.000	Merged-chr6-84617241-46
NR829--MA0769.1.Tcf7	chr11	22164002	22164013	+	0.000	0.000	Merged-chr11-22164019-19
NR5178--MA1421.1.TCF7L1	chr8	79679108	79679119	+	0.000	0.000	Merged-chr8-79679083-33
NR3011--MA0523.1.TCF7L2	chr2	68882157	68882170	-	0.000	0.000	Merged-chr2-68882205-16
NR3171--MA0769.1.Tcf7	chr2	132669231	132669242	+	0.000	0.000	Merged-chr2-132669439-31
NR2594--MA0523.1.TCF7L2	chr18	32543279	32543292	-	0.000	0.000	Merged-chr18-32543284-47
NR4355--MA0769.1.Tcf7	chr6	22340122	22340133	+	0.000	0.000	Merged-chr6-22340067-27
NR2981--MA0769.1.Tcf7	chr2	52891408	52891419	-	0.000	0.000	Merged-chr2-52891472-34
NR258--MA1421.1.TCF7L1	chr1	138952414	138952425	+	0.000	0.000	Merged-chr1-138952405-35
NR3719--MA1421.1.TCF7L1	chr4	7455298	7455309	+	0.000	0.000	Merged-chr4-7455242-36
NR619--MA0769.1.Tcf7	chr10	80659059	80659070	-	0.000	0.000	Merged-chr10-80658824-84
NR5188--MA0523.1.TCF7L2	chr8	83740307	83740320	+	0.000	0.000	Merged-chr8-83740218-49
NR2753--MA0769.1.Tcf7	chr18	82607534	82607545	+	0.000	0.000	Merged-chr18-82607647-23
NR3470--MA0523.1.TCF7L2	chr3	100475183	100475196	+	0.000	0.000	Merged-chr3-100475201-27
NR570--MA0769.1.Tcf7	chr10	58354866	58354877	-	0.000	0.000	Merged-chr10-58354769-20
NR1168--MA0523.1.TCF7L2	chr12	40536138	40536151	+	0.000	0.000	Merged-chr12-40536190-67
NR212--MA0769.1.Tcf7	chr1	127796578	127796589	-	0.000	0.000	Merged-chr1-127796546-56
NR569--MA0523.1.TCF7L2	chr10	58354864	58354877	-	0.000	0.000	Merged-chr10-58354769-20
NR3802--MA0523.1.TCF7L2	chr4	86722085	86722098	+	0.000	0.000	Merged-chr4-86721990-52
NR1170--MA1421.1.TCF7L1	chr12	41167989	41168000	-	0.000	0.000	Merged-chr12-41167989-46
NR4054--MA0523.1.TCF7L2	chr5	28402976	28402989	-	0.000	0.000	Merged-chr5-28402904-51
NR981--MA0523.1.TCF7L2	chr11	88103375	88103388	-	0.000	0.000	Merged-chr11-88103479-31
NR4065--MA0769.1.Tcf7	chr5	31831722	31831733	+	0.000	0.000	Merged-chr5-31831785-25
NR1949--MA1421.1.TCF7L1	chr15	36396451	36396462	-	0.000	0.000	Merged-chr15-36396472-80
NR3432--MA0769.1.Tcf7	chr3	84595450	84595461	-	0.000	0.000	Merged-chr3-84595329-34
NR1915--MA0769.1.Tcf7	chr14	122952207	122952218	-	0.000	0.000	Merged-chr14-122951933-82
NR2217--MA0769.1.Tcf7	chr16	45261674	45261685	+	0.000	0.000	Merged-chr16-45261551-46
NR1319--MA0523.1.TCF7L2	chr12	102581813	102581826	+	0.000	0.000	Merged-chr12-102581960-56
NR5063--MA0523.1.TCF7L2	chr7	140947311	140947324	-	0.000	0.000	Merged-chr7-140947277-49
NR1950--MA0523.1.TCF7L2	chr15	36396449	36396462	-	0.000	0.000	Merged-chr15-36396472-80
NR4858--MA0523.1.TCF7L2	chr7	83852587	83852600	+	0.000	0.000	Merged-chr7-83852721-40
NR1951--MA0769.1.Tcf7	chr15	36396451	36396462	-	0.000	0.000	Merged-chr15-36396472-80
NR4896--MA0523.1.TCF7L2	chr7	97067537	97067550	-	0.000	0.000	Merged-chr7-97067401-28
NR796--MA0523.1.TCF7L2	chr10	128940662	128940675	-	0.000	0.000	Merged-chr10-128940717-41
NR2495--MA0769.1.Tcf7	chr17	63356501	63356512	+	0.000	0.000	Merged-chr17-63356437-30
NR1780--MA1421.1.TCF7L1	chr14	47740485	47740496	+	0.000	0.000	Merged-chr14-47740703-52
NR4086--MA1421.1.TCF7L1	chr5	52126117	52126128	-	0.000	0.000	Merged-chr5-52126006-25
NR3012--MA0769.1.Tcf7	chr2	68882159	68882170	-	0.000	0.000	Merged-chr2-68882205-16
NR4504--MA1421.1.TCF7L1	chr6	94681555	94681566	+	0.000	0.000	Merged-chr6-94681460-83
NR5644--MA0769.1.Tcf7	chr9	120082887	120082898	+	0.000	0.000	Merged-chr9-120082843-44
NR3204--MA0523.1.TCF7L2	chr2	144167664	144167677	-	0.000	0.000	Merged-chr2-144167536-46
NR345--MA0523.1.TCF7L2	chr1	163374838	163374851	+	0.000	0.000	Merged-chr1-163374764-34
NR1174--MA1421.1.TCF7L1	chr12	41168055	41168066	+	0.000	0.000	Merged-chr12-41167989-46
NR3844--MA0523.1.TCF7L2	chr4	101217141	101217154	+	0.000	0.000	Merged-chr4-101217167-64
NR2970--MA0769.1.Tcf7	chr2	48322474	48322485	-	0.000	0.000	Merged-chr2-48322438-54
NR5321--MA0523.1.TCF7L2	chr9	7501333	7501346	+	0.000	0.000	Merged-chr9-7501482-49
NR4213--MA0523.1.TCF7L2	chr5	105010601	105010614	+	0.000	0.000	Merged-chr5-105010527-49
NR2742--MA0769.1.Tcf7	chr18	80600716	80600727	+	0.000	0.000	Merged-chr18-80600681-25
NR1270--MA0523.1.TCF7L2	chr12	89719236	89719249	-	0.000	0.000	Merged-chr12-89719457-81
NR210--MA1421.1.TCF7L1	chr1	127796578	127796589	-	0.000	0.000	Merged-chr1-127796546-56
NR5383--MA1421.1.TCF7L1	chr9	46015114	46015125	-	0.000	0.000	Merged-chr9-46015200-37
NR2187--MA0769.1.Tcf7	chr16	33053359	33053370	-	0.000	0.000	Merged-chr16-33053250-22
NR2093--MA0769.1.Tcf7	chr15	94255223	94255234	-	0.000	0.000	Merged-chr15-94255177-46
NR4275--MA1421.1.TCF7L1	chr5	129190414	129190425	-	0.000	0.000	Merged-chr5-129190300-30
NR2626--MA0769.1.Tcf7	chr18	46181992	46182003	+	0.000	0.000	Merged-chr18-46182052-26
NR3661--MA1421.1.TCF7L1	chr3	146192742	146192753	-	0.000	0.000	Merged-chr3-146192596-55
NR2322--MA0769.1.Tcf7	chr16	94185592	94185603	+	0.000	0.000	Merged-chr16-94185634-42
NR5643--MA0523.1.TCF7L2	chr9	120082887	120082900	+	0.000	0.000	Merged-chr9-120082843-44
NR231--MA1421.1.TCF7L1	chr1	133012465	133012476	+	0.000	0.000	Merged-chr1-133012523-20
NR3618--MA0769.1.Tcf7	chr3	138334344	138334355	-	0.000	0.000	Merged-chr3-138334424-50
NR4860--MA0769.1.Tcf7	chr7	83852807	83852818	+	0.000	0.000	Merged-chr7-83852721-40
NR5749--MA1421.1.TCF7L1	chrX	159828200	159828211	+	0.000	0.000	Merged-chrX-159828290-35
NR233--MA0769.1.Tcf7	chr1	133012465	133012476	+	0.000	0.000	Merged-chr1-133012523-20
NR5630--MA0523.1.TCF7L2	chr9	118285729	118285742	-	0.000	0.000	Merged-chr9-118285683-37
NR1810--MA0769.1.Tcf7	chr14	62928379	62928390	-	0.000	0.000	Merged-chr14-62928345-50
NR4990--MA0769.1.Tcf7	chr7	123354475	123354486	+	0.000	0.000	Merged-chr7-123354508-1
NR2696--MA0523.1.TCF7L2	chr18	69548096	69548109	-	0.000	0.000	Merged-chr18-69547959-32
NR5243--MA0523.1.TCF7L2	chr8	115771146	115771159	+	0.000	0.000	Merged-chr8-115771261-45
NR3426--MA0769.1.Tcf7	chr3	83997231	83997242	+	0.000	0.000	Merged-chr3-83997240-19
NR4762--MA0769.1.Tcf7	chr7	25835639	25835650	-	0.000	0.000	Merged-chr7-25835602-47
NR5064--MA0769.1.Tcf7	chr7	140947313	140947324	-	0.000	0.000	Merged-chr7-140947277-49
NR3332--MA0769.1.Tcf7	chr2	181483763	181483774	-	0.000	0.000	Merged-chr2-181483913-67
NR4217--MA0523.1.TCF7L2	chr5	105198257	105198270	+	0.000	0.000	Merged-chr5-105198197-37
NR3462--MA0769.1.Tcf7	chr3	96814544	96814555	-	0.000	0.000	Merged-chr3-96814496-20
NR274--MA0769.1.Tcf7	chr1	143819072	143819083	-	0.000	0.000	Merged-chr1-143819193-15
NR1175--MA0769.1.Tcf7	chr12	41168055	41168066	+	0.000	0.000	Merged-chr12-41167989-46
NR3521--MA0523.1.TCF7L2	chr3	108124256	108124269	-	0.000	0.000	Merged-chr3-108124378-33
NR104--MA0523.1.TCF7L2	chr1	78591295	78591308	-	0.000	0.000	Merged-chr1-78591432-38
NR5445--MA0523.1.TCF7L2	chr9	72660352	72660365	-	0.000	0.000	Merged-chr9-72660303-37
NR3592--MA0769.1.Tcf7	chr3	133626744	133626755	-	0.000	0.000	Merged-chr3-133626779-42
NR4602--MA1421.1.TCF7L1	chr6	129239825	129239836	+	0.000	0.000	Merged-chr6-129239949-37
NR4897--MA0769.1.Tcf7	chr7	97067539	97067550	-	0.000	0.000	Merged-chr7-97067401-28
NR2013--MA0523.1.TCF7L2	chr15	63971803	63971816	-	0.000	0.000	Merged-chr15-63971776-11
NR4472--MA0769.1.Tcf7	chr6	84617256	84617267	-	0.000	0.000	Merged-chr6-84617241-46
NR1874--MA0769.1.Tcf7	chr14	103017271	103017282	-	0.000	0.000	Merged-chr14-103017290-44
NR5306--MA1421.1.TCF7L1	chr8	128418695	128418706	-	0.000	0.000	Merged-chr8-128418642-30
NR523--MA1421.1.TCF7L1	chr10	30570577	30570588	+	0.000	0.000	Merged-chr10-30570499-22
NR2215--MA0523.1.TCF7L2	chr16	45261674	45261687	+	0.000	0.000	Merged-chr16-45261551-46
NR3128--MA1421.1.TCF7L1	chr2	117418888	117418899	-	0.000	0.000	Merged-chr2-117418760-26
NR2855--MA0523.1.TCF7L2	chr19	55792754	55792767	+	0.000	0.000	Merged-chr19-55792789-50
NR3334--MA1421.1.TCF7L1	chr3	10151768	10151779	-	0.000	0.000	Merged-chr3-10151750-17
NR1074--MA1421.1.TCF7L1	chr11	111065058	111065069	+	0.000	0.000	Merged-chr11-111065000-37
NR380--MA1421.1.TCF7L1	chr1	173432613	173432624	-	0.000	0.000	Merged-chr1-173432561-56
NR1844--MA1421.1.TCF7L1	chr14	79236623	79236634	-	0.000	0.000	Merged-chr14-79236608-48
NR232--MA0523.1.TCF7L2	chr1	133012465	133012478	+	0.000	0.000	Merged-chr1-133012523-20
NR389--MA1421.1.TCF7L1	chr1	175631972	175631983	+	0.000	0.000	Merged-chr1-175631822-65
NR4276--MA0769.1.Tcf7	chr5	129190414	129190425	-	0.000	0.000	Merged-chr5-129190300-30
NR213--MA0769.1.Tcf7	chr1	127796594	127796605	-	0.000	0.000	Merged-chr1-127796546-56
NR5655--MA0523.1.TCF7L2	chr9	122399008	122399021	-	0.000	0.000	Merged-chr9-122399009-31
NR4438--MA1421.1.TCF7L1	chr6	61125650	61125661	+	0.000	0.000	Merged-chr6-61125660-31
NR4042--MA1421.1.TCF7L1	chr5	22587659	22587670	-	0.000	0.000	Merged-chr5-22587622-39
NR5628--MA1421.1.TCF7L1	chr9	118285718	118285729	-	0.000	0.000	Merged-chr9-118285683-37
NR653--MA0523.1.TCF7L2	chr10	89766142	89766155	-	0.000	0.000	Merged-chr10-89765992-47
NR1141--MA0769.1.Tcf7	chr12	17726669	17726680	-	0.000	0.000	Merged-chr12-17726607-38
NR325--MA1421.1.TCF7L1	chr1	156710951	156710962	-	0.000	0.000	Merged-chr1-156710970-33
NR2891--MA1421.1.TCF7L1	chr2	8965213	8965224	-	0.000	0.000	Merged-chr2-8965212-53
