#Name (cmd = mergePeaks -d 200 -cobound 1 ./2_mpbs_Tcf7/DKO_Tfh_mpbs.ordered.bed /Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval-0.1_up.bed)	chr	start	end	strand	stat	stat2	/Volumes/Yolanda/jycATAC/JYC_DataAnalysis/4_DEseq2/pval-0.1_selected/pval-0.1_updn/all.df.numx.c5-DKO_Tfh_vs_Prdm1KO_Tfh-pval-0.1_up.bed
NR2939--MA0769.1.Tcf7	chr17	50070396	50070407	-	0.000	0.000	Merged-chr17-50070273-24
NR760--MA0769.1.Tcf7	chr10	75294290	75294301	-	0.000	0.000	Merged-chr10-75294298-11
NR5177--MA1421.1.TCF7L1	chr5	97075789	97075800	-	0.000	0.000	Merged-chr5-97075788-14
NR113--MA0523.1.TCF7L2	chr1	69496188	69496201	+	0.000	0.000	Merged-chr1-69496310-11
NR1376--MA1421.1.TCF7L1	chr12	35770565	35770576	+	0.000	0.000	Merged-chr12-35770526-40
NR6654--MA0769.1.Tcf7	chr9	56273653	56273664	+	0.000	0.000	Merged-chr9-56273762-19
NR777--MA1421.1.TCF7L1	chr10	78115089	78115100	-	0.000	0.000	Merged-chr10-78115092-14
NR6617--MA1421.1.TCF7L1	chr9	43784938	43784949	+	0.000	0.000	Merged-chr9-43784994-20
NR6314--MA0769.1.Tcf7	chr8	25949148	25949159	+	0.000	0.000	Merged-chr8-25949044-65
NR2117--MA0523.1.TCF7L2	chr14	54061807	54061820	-	0.000	0.000	Merged-chr14-54061633-25
NR6211--MA0769.1.Tcf7	chr7	130816459	130816470	-	0.000	0.000	Merged-chr7-130816442-11
NR5715--MA1421.1.TCF7L1	chr6	128474316	128474327	+	0.000	0.000	Merged-chr6-128474299-11
NR1120--MA0769.1.Tcf7	chr11	68432895	68432906	+	0.000	0.000	Merged-chr11-68432875-7
NR4712--MA0769.1.Tcf7	chr4	89393655	89393666	-	0.000	0.000	Merged-chr4-89393499-15
NR1085--MA0523.1.TCF7L2	chr11	54249496	54249509	-	0.000	0.000	Merged-chr11-54249400-28
NR6364--MA0523.1.TCF7L2	chr8	57387856	57387869	+	0.000	0.000	Merged-chr8-57387843-7
NR5681--MA0523.1.TCF7L2	chr6	120181444	120181457	-	0.000	0.000	Merged-chr6-120181471-9
NR4708--MA0769.1.Tcf7	chr4	89302313	89302324	-	0.000	0.000	Merged-chr4-89302202-17
NR6313--MA0523.1.TCF7L2	chr8	25949148	25949161	+	0.000	0.000	Merged-chr8-25949044-65
NR5028--MA0769.1.Tcf7	chr5	32148874	32148885	+	0.000	0.000	Merged-chr5-32148738-21
NR1127--MA1421.1.TCF7L1	chr11	70113941	70113952	-	0.000	0.000	Merged-chr11-70113983-20
NR2242--MA0769.1.Tcf7	chr14	101892409	101892420	-	0.000	0.000	Merged-chr14-101892350-14
NR6902--MA0523.1.TCF7L2	chr9	119453609	119453622	-	0.000	0.000	Merged-chr9-119453486-15
NR3791--MA0523.1.TCF7L2	chr2	117089661	117089674	+	0.000	0.000	Merged-chr2-117089625-28
NR4780--MA0769.1.Tcf7	chr4	103113538	103113549	+	0.000	0.000	Merged-chr4-103113589-3
NR2014--MA0769.1.Tcf7	chr13	117223470	117223481	+	0.000	0.000	Merged-chr13-117223399-24
NR3968--MA0523.1.TCF7L2	chr2	158719399	158719412	-	0.000	0.000	Merged-chr2-158719347-62
NR2464--MA0523.1.TCF7L2	chr15	73182578	73182591	+	0.000	0.000	Merged-chr15-73182706-35
NR963--MA0523.1.TCF7L2	chr10	121188608	121188621	+	0.000	0.000	Merged-chr10-121188810-4
NR4000--MA1421.1.TCF7L1	chr2	166665689	166665700	+	0.000	0.000	Merged-chr2-166665700-84
NR53--MA0523.1.TCF7L2	chr1	43538894	43538907	-	0.000	0.000	Merged-chr1-43538951-30
NR3627--MA1421.1.TCF7L1	chr2	68882159	68882170	-	0.000	0.000	Merged-chr2-68882205-16
NR5925--MA1421.1.TCF7L1	chr7	45120578	45120589	+	0.000	0.000	Merged-chr7-45120364-12
NR5432--MA0523.1.TCF7L2	chr6	33675687	33675700	+	0.000	0.000	Merged-chr6-33675584-7
NR3099--MA0523.1.TCF7L2	chr18	39049206	39049219	-	0.000	0.000	Merged-chr18-39049078-69
NR2816--MA0769.1.Tcf7	chr16	96273448	96273459	-	0.000	0.000	Merged-chr16-96273446-72
NR5311--MA0769.1.Tcf7	chr5	134269609	134269620	+	0.000	0.000	Merged-chr5-134269909-65
NR658--MA0523.1.TCF7L2	chr10	30570577	30570590	+	0.000	0.000	Merged-chr10-30570499-22
NR5479--MA0523.1.TCF7L2	chr6	51545384	51545397	-	0.000	0.000	Merged-chr6-51545421-58
NR1762--MA0769.1.Tcf7	chr13	44807244	44807255	-	0.000	0.000	Merged-chr13-44807320-10
NR2653--MA0523.1.TCF7L2	chr16	33053357	33053370	-	0.000	0.000	Merged-chr16-33053250-22
NR4468--MA0769.1.Tcf7	chr3	145663384	145663395	-	0.000	0.000	Merged-chr3-145663343-1
NR4236--MA1421.1.TCF7L1	chr3	98027568	98027579	-	0.000	0.000	Merged-chr3-98027437-43
NR3844--MA0769.1.Tcf7	chr2	132115528	132115539	-	0.000	0.000	Merged-chr2-132115491-16
NR4779--MA0523.1.TCF7L2	chr4	103113538	103113551	+	0.000	0.000	Merged-chr4-103113589-3
NR2784--MA1421.1.TCF7L1	chr16	91555427	91555438	+	0.000	0.000	Merged-chr16-91555577-12
NR2790--MA0769.1.Tcf7	chr16	91781056	91781067	-	0.000	0.000	Merged-chr16-91781071-63
NR1566--MA0769.1.Tcf7	chr12	107144657	107144668	-	0.000	0.000	Merged-chr12-107144688-5
NR1123--MA0769.1.Tcf7	chr11	68498959	68498970	-	0.000	0.000	Merged-chr11-68499042-49
NR5436--MA0523.1.TCF7L2	chr6	35462668	35462681	-	0.000	0.000	Merged-chr6-35462751-23
NR1482--MA1421.1.TCF7L1	chr12	82304084	82304095	-	0.000	0.000	Merged-chr12-82304111-12
NR6586--MA0769.1.Tcf7	chr9	14908165	14908176	+	0.000	0.000	Merged-chr9-14908176-52
